GEN.1.1	Yama nagkamchakug, Apajuík nayaimpin nugkajai najanauwai. 
LUK.17.10	Numamtuk ainagme atumshakam, Apajuí takatan amasbauwa imá duke umikjum idaikugmek: ‘Jutii inak aidautik atsumchatai ainaji, imá ni tujabauk umiká idayidau asaja’, tumainaitjume.”
LUK.17.11	Jisus Jerusalén wegak, Samaria nugka, Galilea nugkajai tesagdayamunum jinta asamtai nagkaebau. 
LUK.17.12	Nuna nagkagag jegawajui aents yaakta ukukiag batsatbaunum, nuniai diez aents lepra achikam waitú batsamin igkugtatus jiinag ikaag ijunas, 
LUK.17.13	senchi untsumkag:
LUK.17.13	—¡Jisusah jintinkagtinuh, jutiish wait anenkagtujia! —wajaidau.
LUK.17.14	Imatiagtai Jisuschakam:
LUK.17.14	—Sacerdote pujamunum jegajum wantinkatajum, —tiu.
LUK.17.14	Tima ditashkam jintá wesag, dita jaamujinak tsagagkaju. 
LUK.17.15	Nunik dita aina nuwiya makichik ni tsagagbaujin wainmamak, senchi jiiká Apajuin eme emematak waketak, 
LUK.17.16	Jisusan jegantun tikishmag pujujus, see tau ni tsagagbaunum, duka Samarianmaya aajakuí. 
LUK.17.17	Nunitai Jisus chichajak:
LUK.17.17	—¿Diez aidau tsagagchagmaka? ¿Nueveya dusha wajukawagmae? 
LUK.17.18	¿Imá jukeuchikaih tikich nugkanmayayaitak wakitki Apajuí ememati duka? —tau.
LUK.17.19	Tusa Jisus:
LUK.17.19	—Wajakim wetá, amek minai kajintsá anentaimam duwi tsagajume, —tiuwai.
LUK.17.20	Fariseo aidau Jisusan iniinak:
LUK.17.20	—¿Wajupa asaya Apajuí jutiin inapamush atinaita? —tusag iniidau.
LUK.17.20	Tama ni ayaak:
LUK.17.20	—Apajuí inamjatna duka duwiyap atatua tusaish kakajus dekamaitsui. 
LUK.17.21	Nuniau asamtai: ‘Apajuik juwi inamui, awi inamae’, tabauk achatnai. Apajuik yamaiya juwik atumnak inapajume, —tiuwai.
LUK.17.22	Tusa idayak ni jintintaiji aidaun pempeentuki chichajak:
LUK.17.22	—Tsawan jegatnai, wi Apajuí Uchijiyaitkun Aentsmagan Akiinauwaitag nuna wakitkimtai, atum utusaik makichik tsawantaikish wainkag tusajum wakeyagtinaitjum nunú, tujash takugmeshkam minak waitkashtin ainagme. 
LUK.17.23	Nunashkam tujabiagtinai: ‘Juwi pujawai, awi pujume’, tujamainakuish wegpajum. 
LUK.17.24	Wi Apajuí Uchijiyaitkun Aentsmaga Akiinauwaitag nunak, peem pachiachmau peeti wamkes nayaimpin tsaaptin emak, tikich yantamnumash tsaapmitkama numamtuk wajaktinaitjai. 
LUK.17.25	Nunú tsawan jegatsaig, dekatkauk senchi waittsattajai, aantsag aents aidaush dakitjiagtatui. 
LUK.17.26	Wi Apajuí Uchijiyaitkun Aentsmagan Akiinauwaitag nuna minittakun wajataik, Noé pujai wajukejakú aina numamtuk wajagtinai. 
LUK.17.27	Ditak yutain yuwinak, umutan umuinak, nuwentan nuween, aishintan aishin, nawanjin suju wajá batsatai tsawan jegamtai, Noé arcanum egkemá waitin epenmatai, nujag abauji ashí nugkan amuak, tikich aents aidaunak ashí tajak utsagkui. 
LUK.17.28	Nunisag Lot pujusmataish, yutan yuwinak, umuinak, sumainak, sujuinak, ajakmainak, nuigtú jegá jegam wajainak batsamajakú aina numamtuk wajagtinai, wi juwi minittaku wajataish. 
LUK.17.29	Lot yaakat Sodoma pujau jiinki wematai, nayaimpinmaya jii azufrejai pachimjamu, yumi yutak wajukeama imaanik iyaajui, nuniak aents aidaunak ashí apekag ijinawajui. 
LUK.17.30	Numamtuk wajaktinai, Wi Apajuí Uchijiyaitkun Aentsmagan Akiinauwaitag nuna minakun wantinbaush.
LUK.17.31	“Nu tsawantin aents jega jegamká tuntupé paka inagnakbaunum waka pujaushkam, wajiiji jegá aunak akaikig jumaitsui. Nunisag ajajin takaak wekagushkam jeenig waketmaitsui. 
LUK.17.32	Adeagtajum Lota nuwe wajukauwaita nunú. 
LUK.17.33	Ashí aents ju nugka juwi pujutan wakegak, mina nemagtuk waittan dakitauk uwemtijashtin ainawai. Untsu dita pujutin uyumachuk uwemjatin ainawai.
LUK.17.34	“Junashkam tajime: Jimag aents kashi makichik pegaknumag tsanias tepaushkam, makichik juwaku, tikichik ukuam atinai. 
LUK.17.35	Jimag nuwa shaa dekeenak pujuidaushkam makichik juwaku, tikichik ukuam atinai. 
LUK.17.36	Jimag aents ajanum takaak wekagushkam, makichik juwaku, tikichik ukuam atinai.”
LUK.17.37	Juna Jisus tutai:
LUK.17.37	—Apuh, ¿dusha tuwig dekaskesh nuniktinaita? —tusag iniidau.
LUK.17.37	Tuinam Jisus:
LUK.17.37	—Duka tuwí jakau tepettawa, nuanuí chuwagkak tuwakagtinai, —tiuwai.
LUK.18.1	Junashkam Jisus mijamtsuk Apajuinash ausatnume tusa jintinkagtak nagkama augmatu: 
LUK.18.2	“Makichik yaaktanum pujujakuí apu chichaman epegkin, duka Apajuinash ishamsash anentaimtuchu, aents aidaunashkam ajantus diichu aajakuí. 
LUK.18.3	Nunú yaaktanmag makichik nuwa wajeshkam pujau asa utugchat ajusam, apun jegajua: ‘Jujú epegtujuata’, tusa segau. 
LUK.18.4	Tusa imatjú pujugmash yaitnak dakitú pujau asa nigki anentaimas: ‘Apajuinash ishamsanush anentaimtuchuitjai, aents aidaunashkam ajantusnush diichuitjai; 
LUK.18.5	nunin akunush, nuwa waje waa waamak tajutak waitkaja junak, yaigkan epegtuatjai dutikam agkan idaitusti’,” tiuwai.
LUK.18.6	Jisus juna ti: “Apu chichama epegkin tikima pegkegchaukesh aatus tiuwa nunin aish, 
LUK.18.7	Apajuish niina nemajin aidau utugchatnum pujusag kashi tsawaishkam untsuamash, ¿yaitsuk idaimainkaih? ¿Nuniachkush dukap asan yaigtajai tumainkaih? 
LUK.18.8	Dekas tajime: Apajuik dukap atsuk waamak yaimpamainaitjume. Tujash wi Apajuí Uchijiyaitkun Aentsmagan Akiinauwaitag nuna ataktú nugká minaknuk, wajumchik Apajuí anentaimtuidauk batsatai taatnaitjai”, tiuwai.
LUK.18.9	Aents aidau dita imá pegkejan takauwa iman anenmamainak, tikich aidaunak dakituidau asagmatai, Jisus jujú augmatbaun pachis: 
LUK.18.10	“Jimag aents Apajuin ausatatus jega Apajuí ememattainum wegajui, makichik fariseo, tikich apú kuichkiji atinun yajumnujai. 
LUK.18.11	Nunik fariseo Apajuin aujak wajai wajas: ‘Apawah, see tajame, wika tikich aents aidau kasa, pegkegchau takau, tsanijimta wekaetin, jujú apú kuichkiji atinun yajumin puja juninkesh atsujai. 
LUK.18.12	Wika aminak makichik tumigtinig jimag tsawantai yujumkan ijagmá pujusan segaugme, kuichkinash mina akijuinakuig diezmó wajaujai’, tau. 
LUK.18.13	Tujash apú kuichkiji atinun yajumnuk nigka ukunum wajas, ni tudaujin anentaimtus wake besemag dekapeak, machikish nayaimpinak pagkaish diitsuk detsepen ijuak: ‘Apajuiyah, wika tudauwaitjai, minash wait anenjugta’,” tiuwai. 
LUK.18.14	Jisus nuna ti: “Dekas tajime: Apú kuichkiji atinun yajumna duka tudauji tsagkujamu asa shiig aneas waketai, fariseok nunikchauwai. Ashí aents eme anenmamaidaunak Apajuik imanchauch diyawai; untsu imanchauch anenmamaidaun eme anentus diyawai”, tiuwai.
LUK.18.15	Nuna tusa ashimkamtai uchi aidaun Jisusan ikautuidau uchin antinjukti tusag. Imatikiagtai ni jintintaiji aidau wainkag uchigtin aidaun jiyaidau. 
LUK.18.16	Tiagtatman Jisus antuk, uchin untsuká:
LUK.18.16	—Tutsuk idaisatajum, ashí uchi aidauk minai kauntatnume, utugkajum awagkigpajum. Jujú uchi anentaimaina jumamtin aidaunum Apajuik inamjata tawai. 
LUK.18.17	Dekas tajime: Aents aidau, uchi mina anentaimjutuina imanis anentaimjutuinachuk, Apajuí inamak amain ainatsui, —tiuwai.
LUK.18.18	Nuna Jisus timatai apu wiyakuch Jisusan iniak:
LUK.18.18	—Jintinkagtin pegkejah, ¿wajina dutikmainaitja pujut tuke atina nuna jukitasanush? —tau.
LUK.18.19	Tama Jisus ayaak:
LUK.18.19	—¿Wagka pegkejá tujutme? Makichkish pegkejak atsawai, imá Apajuiya duke pegkejak. 
LUK.18.20	Amek dekame chicham umiktin agagbaunum: ‘Tsanijinawaipa, magkagtuawaipa, kasamkaipa, wainkamek tsanumkagtujaipa, amina apa dukujai eme anentsam diiyaakum yaigtá’, tawa nunú.
LUK.18.21	Tama ni chichaak:
LUK.18.21	—Wika nunak datsauch asanuk ashí umikuitjai.
LUK.18.22	Nuna tutai Jisus antuk ayaak:
LUK.18.22	—Nuigtú makichik umimain ajutjamui: Ashí amina ajutjamaina duka sujukam ujunauch aina nu susata. Nu dutikawamin nayaimpinum wajigmik ajutjamtinai. Nu dutika ukuakum mina nemagtukta, —tiuwai.
LUK.18.23	Nu tama antuk wake besekuí, shiig wiyakuch asa. 
LUK.18.24	Nunik senchi wake besektatman Jisus wainak chichajak:
LUK.18.24	—Wiyakuch aidauk kakajus Apajuí minash inatjati tusag idaimamainchau ainawai. 
LUK.18.25	Camellok aujá jiinish waigká nagkaemamainai, tujash wiyakuch aidauk Apajuí minai inamjati tusag kakajus idaimamainchau ainawai, —tiuwai.
LUK.18.26	Jisus tabaun tikich aidaushkam antukag:
LUK.18.26	—¿Yaki tujash uwemjaush amainaita? —tuidau.
LUK.18.27	Tiagtai Jisus ayaak:
LUK.18.27	—Aents aidau dutikmainchauwa nunak Apajuí dutikmainai, —tiuwai.
LUK.18.28	Tutai Pedro ayaak:
LUK.18.28	—Jutii aidautik iina ajutjamaidauk ukuinaku nemagkamiajime, —tau.
LUK.18.29	Tutai Jisus ayaak:
LUK.18.29	—Ashí aents Apajuinun takainak yujainak jeen, nuwen, yachin, uchijin, apajin dukujijai ukukiag yujaidauk, 
LUK.18.30	jujú nugka juwi pujusash, ni ukukbaujin nagkaesau jukiagtinai, nuigtushkam atak atina duwi pujut tuke atina nui pujusagtin ainawai.
LUK.18.31	Jisus ni jintintaiji doce aina nuna akanak juki: “Jerusalén jegattag duwi, Apajuí etsegtin aidau, Apajuí Uchijí Aentsmaga Akiinauk nuniktinai tusa agajajua duka uminkattawai. 
LUK.18.32	Nuniau asamtai minak aents judiuchu aidaunum sujutkagtatui, dutijuawagmatai pegkegchau chichagtuinak, dushiktuinak usuktiagtatui; 
LUK.18.33	asututnash asutu awa awajtuinakua mantuawagtatui; tujash dutijuawagmataish kampatum tsawanta juwi ataktú nantaktatjai”, tau.
LUK.18.34	Tujash ni jintintaiji aidauk shiig dekamainchau dekapedau, shiig antukchamnum tau asamtai.
LUK.18.35	Jisus yaakat Jericó jegattak wegai, aents wainmachu jintá yantamen ekeemas: “Kuichik sujustajum”, tusa sumá eketu. 
LUK.18.36	Nuniau kuashat aents nagkaemainak pampainamun antuk iniimu:
LUK.18.36	—Wagka imatainawa, —tusa. 
LUK.18.37	Tutai: —Jisus Nazaretnumia wetai imatuinawai —tusag ujaidau. 
LUK.18.38	Tiagtai senchi untsumak:
LUK.18.38	—¡Jisusah, David wegantu uchijiyah, minash wait anenjugta! —wajau.
LUK.18.39	Imattai aents eemak ashinaidau itatkati tusag jiyaidau, tujash nigka nuní senchi untsumak:
LUK.18.39	—¡David wegantu uchijiyah, minash wait anenjugta! —wajau.
LUK.18.40	Wainmachu imatbaun antuk Jisus wajantá:
LUK.18.40	—Jukijum juwi itagtuatajum, —timatai jukí ejentuntam, 
LUK.18.41	Jisus iniak:
LUK.18.41	—¿Minash utugtukti tusamea wakegame? —tau.
LUK.18.41	Tama ni ayaak:
LUK.18.41	—Apuh, wika niimtijiti tusan wakegajai, —tau.
LUK.18.42	Tutai Jisus chichajak:
LUK.18.42	—¡Wainmakta! Amek minai kajintsá anentaimam duwi tsagajume, —tiu.
LUK.18.43	Tusá tamawaik wainmakui. Nunik Apajuin emematkamaikia Jisusan nemagkauwai. Tuja ashí aents nuna wainkajushkam Apajuin emematuidau.
LUK.19.1	Nuna dutika ukuak Jisusak yaakat Jericó wayaa nagkaebau. 
LUK.19.2	Nuniai Zaqueo apú kuichkiji atinun yajumin aidaun apuji shiig wiyakuch, nunú yaaktanmak pujau. 
LUK.19.3	Nuniau asa, Jisusash wajukukita tusa wainkatatus wakegau, nuniayatak kuashat aents tuwagkagmatai wainmainchau dekapjau sutajuch asa. 
LUK.19.4	Nuniak Jisus wetinmanini eemak tupikaki, numi sicómoro wajaunum waka ekeemsau, Jisus nagkaematai wainkatatus. 
LUK.19.5	Nuniai Jisuschakam nui jegak pagkai diyak:
LUK.19.5	—Zaqueoh, wamkesam akaikita, amina jeemin minajai, —tiu.
LUK.19.6	Tama Zaqueoshkam wamkes akaiki, shiig anentus Jisusan juki niina jeen emauwai. 
LUK.19.7	Nunitai ashí aents aidau: Aents tudaugtinu jeen kanagtatus wegawai, tusag augmatuidau. 
LUK.19.8	Tujash Zaqueok niina jeen ejega wajakí, Jisusan:
LUK.19.8	—Apuh, yamai nagkamsanuk aents ujunauch aina auna jimaituk wajiijun akantukan tinamtajai, dutikakun wi kasagkamug aidaunash ipaksumta imajin susatjai, —tau.
LUK.19.9	Tutai Jisus ayaak:
LUK.19.9	—Yamaik ashí amina pataimijai uwemkaugme, Abraham dekaskeapi tiuwa nunisjumek dekaskeapi tujutium nuaduí, dekas Abraham wegantu wajasugme. 
LUK.19.10	Wi Apajuí Uchijiyaitkun Aentsmaga Akiinauwaitag nunak, aents megkaejau aidaun egakan uwemtijatasan tauwaitjai, —tiuwai.
LUK.19.11	Jisus Jerusalén jegattak wegau asamtai, aents aidau ni chichaamu antugkaju asag, awi jegaa apu wajasá waamak inamjashtimpash tusag anentaimaidau asagmatai augmatbaun nagkabau.
LUK.19.12	Nuniak tau: “Makichik aents ashí aents aidau eme anentsá diitai aajakuí, nunú tikich nugkanum atushat weuwai, nuwi apu emam wakitki niina nugkeen taatatus. 
LUK.19.13	Eke wetsuk niina inaken diez aina nuna untsuká ikaunmak, makí makichik aentsun, cien tsawantai takasá jumainun kuichkin tinamí chichajak: ‘Jujú kuichkia juwik wají sujakjum, kuichik aan kuashat ikaugkatajum, nuniagmin wisha taatjai’, tiuwai. 
LUK.19.14	Nunikunak aents niina kajejuidau asag, dekas apun chichaman awetuinak: ‘Jutiik dakitaji aanú iina apuji atí tusaik’, tiajui.
LUK.19.15	“Tujash nigka apu adaikam wakitki niina nugkeen tauwai. Nunik niina inake kuichik tinamká ukukbauji aidaun untsukaju, maki makichik aentsush kuichkinash wajupak ikaugkaje tusa dekajuatatus. 
LUK.19.16	Tiajam makichik niiyá eemak jegantá: ‘Apuh, ame kuichik sujusmayum nunak, aan nagkaemasan cien tsawantai takasá jumainun ikauntukjame’, tau. 
LUK.19.17	Tama ni ayaak: ‘Ayú, amek inak pegkejaitme, machik susamuitkum kuashat ikaugkaume, duwi wishakam diez yaakat aina nuna apuji emattajame.’ 
LUK.19.18	Tusa inagnaig tikitchakam jegantun chichajak: ‘Apuh ame kuichik sujusmayum duka, nuigtú cincoa imajin kawegke.’ 
LUK.19.19	Tutai nunashkam aikasag chichajak: ‘Ameshkam cinco yaakta apuji atá’, tiuwai.
LUK.19.20	“Tuja tikitchakam tajuntun chichajak: ‘Apuh, juuwai kuichkigmek jukita, jaanchi shiig ijian kuitamkamun itajuagme, 
LUK.19.21	wika amek senchi takamtikagtakum waitkagkagtinaitam nuna dekagjame, nuigtush ame susachu ayatkum atantin, aikasmek ame ajak ajakmachbau aig, juukam yajumin asamin, ishamakun kuichkigminak takamtiksachmajai’, tau. 
LUK.19.22	Tama ni ayaak: ‘Amek inak pegkegchauwaitme, amina chichamjuminig bakumattame, wi senchi takamtikagtakun waitkagkagtin, susachu ayatkun tikichnash atantin, aikasnuk wi ajachbaugnak ju waitiatkumesh, 
LUK.19.23	¿wagka kuichik kawegti tusa egketainum egkeam ukugtukchamiume? Dutikauwaitkuminig wi wakitki taakun kawegkun jumain awajkajai’, tau. 
LUK.19.24	Tusa idayak tikich nui ijunun chichajak: ‘Aanú kuichkin takaka nu jujukjum, cien tsawantai takasá jumainun ikaugka nu susatajum.’ 
LUK.19.25	Tutai aents chichajuinak: ‘Apuh, niinuk cien tsawantai takasá jumain kuichik ikaugkamuji ajajama’, tuidau. 
LUK.19.26	Tujash wi tajime: ‘Ni kuashat ajá duka nuní dukap uwaetuka suwam atinai; untsu piipich ajá duka, nu piipich ajamua duke atantam atinai’, tiu. 
LUK.19.27	Nuna tusa idayak aents nui ijunun chichajak: ‘Mina, apu we tusa dakitjuju aina nunú juwi itanjum kajegtajum’,” tiuwai.
LUK.19.28	Juna tusa ashimak Jisus nagkaemaki Jerusalén weuwai. 
LUK.19.29	Nunik yaakat Betfagé tutai Betaniajai olivosan mujajin tikiju abaunum jegantatak wegak, Jisus ni jintintaijin jimajan awemak:
LUK.19.30	—Wetajum au yaakat jegattak aents batsata awi, awi jegakmajum burro makichik aentskesh entsamchatai jigkaam wajau wainkattagme, nu atia jukim itagtuatajum. 
LUK.19.31	Nu atiagmin makichik aentskesh: Wagka atiame tujamkujaish: Apu atsumau asamtai juwaji titajum, —tiu.
LUK.19.32	Tiajam Jisusa jintintaiji aidaushkam wegag, jegakmá ni tibaunak imatiksag betek wainkaju. 
LUK.19.33	Nunik jegantun atittaman burrugtin wainak:
LUK.19.33	—¿Wagka burrush atiagme? —tau.
LUK.19.34	Tama dita aiinak:
LUK.19.34	—Apu atsumau asamtai juwaji, —tiaju.
LUK.19.35	Dutika jukiag Jisusan itaantaju, dutikawag awantak nugkuagbaujin jukiag burro tuntupen aitkagmatai, Jisus ekeemiu. 
LUK.19.36	Nunik Jisus wetai, aents aidauk dita awantak nugkuagbaujin jintanum ainag emaidau. 
LUK.19.37	Nunikag olivosan mujají chapaibaunum jegantatak weenak, ashí Jisusa nemajin aidauk shiig dakujusag senchi jiikag Apajuin emematuidau, Jisus ashí pegkeg takaamun wainkaju asag, nuninak:
LUK.19.38	—¡Apajuí awemamu iina Apuji mina juuwai iina agkanmitkagmatna duka, nayaimpinum agkan batsata dushakam aantsag agkan batsamiagtatui! —wajaidau.
LUK.19.39	Imatiagtai wajumak fariseo nui pachitkau aidau:
LUK.19.39	—Jintinkagtinuh, amina nemagtamin aidau imataina nu imattsuk itatjata tusa itatmitkajia, —tuidau.
LUK.19.40	Tama Jisus ayaak:
LUK.19.40	—Dita itatiagtaik kaya aina ju pampaumain ainawai, —tiu.
LUK.19.41	Jisus Jerusalén tikiju wesa yaaktan wainak, aents nui batsamin aidaun anentaimtus buutu. 
LUK.19.42	“Jerusalegnumia aidautijum, wi agkanmitkamainaitjim nunú yamaikish dekawagminig, Apajuik agkanmitkagmamainai. Tujash atumek Apajuí awemamuapita tujutchaujum nuaduí, Apajuishkam dekamainchau etamkaje. 
LUK.19.43	Nunin asamtai atumnak tsawan tikima ishamain ajutjamtinaitjume, shiwajum kautjamkag yaaktagminak peegmak apagtamak, ashí yantamnum dakagmajag jetepakagtinai. 
LUK.19.44	Dutijamainak atumnak ashí amupainak jeemnash ashí tsaikagtinai, imatikamu asa makichik kayakesh tikich kayanum patamiukesh juwakchatnai. Atumek Apajuí atumin tajutjabau aigkish: Iina uwemtijamjatasampap tae, tusagmek dekaachu asagmin.”
LUK.19.45	Nuna tusa idayak, Jisus wayau jega Apajuí emematku ijuntainum, nunik nui sujak batsamtatman jiijú. 
LUK.19.46	Dutika chichajuinak:
LUK.19.46	—Apajuí chichame agagbaunum: ‘Mina jegajuk Apajuí aujku ijuntaiyai’ tawa nuniaig, atum kasá aidau batsamtai awasaugme, —tiu.
LUK.19.47	Nunik Jisusak jega Apajuí ememattainum kashí kashinig jintinkagtau. Nunitai sacerdote apuji, chicham umiktinun jintinkagtin, nuigtú judío apuji aidaujai wajuk maawajik tusag chichaidau. 
LUK.19.48	Tujash yupichu dutikmainchau dekapedau, kuashat aents aidaush ni chichagkagtamunak puyatjus antujuidau asagmatai.
LUK.20.1	Jisus jega Apajuí ememattainum wayaa, yamajam chichama nuna aents aidaun jintintak pujujai, sacerdote apuji aidau, chicham umiktinun jintinkagtin, tikich judío apuji aidaujai utsanawajui. 
LUK.20.2	Nunikag Jisusan iniinak:
LUK.20.2	—¿Aminash ya jintinkagtuata tusash awetamae? ¿Yana chichamenia jusha juniame? —tuidau.
LUK.20.3	Tama Jisus ayaak:
LUK.20.3	—Wishakam iniastajime, aigkatajum: 
LUK.20.4	¿Ya Juagnash yamijatjata tusash awemauwaita, Apajuik awemauwait, atsa aents aidauk awemauwait? —tau.
LUK.20.5	Tama utujimkag ditak pempeentunikiag chichainak: “Juagnak Apajuí awemauwai, tajinish, ‘¿Tujash wagka dekaskeapi tichau ainagme?’ tujamtata jama. 
LUK.20.6	Tuja aents awemauwai tajinchakam, ashí ju aents aina juka: Juagkak Apajuí etsegtinai, tuidau asag kayai tukugmag mantamain ainawai”, tuidau. 
LUK.20.7	Nunikag: “Dekatsji” timi tusag Jisusan jegaantag:
LUK.20.7	—Dekatsji, yatsu Juagnash yamijatjata tusash awemauwait, —tuidau. 
LUK.20.8	Tiagtai Jisus ayaak:
LUK.20.8	—Ayú, wisha tichattajime yana chichamenia jutikaja nunak, —tiu.
LUK.20.9	Junashkam Jisus aents aidaun jintintak augmatbau nagkama tau: “Makichik aents ajajin uvan ajakmakui, dutika wajumak aentsun: ‘Atum ju takastajum, dutikakjum minash sujustajum’, tusa susa ukuak weuwai dukap asan taamig tusa. 
LUK.20.10	Nunik uva juut jegamtai, makichik inaken awemauwai, aents ajanum takaina nui jegamtai, uva neje susam jukí itagtuati tusa, dutikam jegattaman achikag suwi suwimainakua sutsuk wainak awagkiajui. 
LUK.20.11	Dutikawagmatai tikich inaken awemauwai, dutikam jegattaman, nunashkam suwimawag pegkegchau chicha chichajuinakua sutsuk wainak awagkiajui. 
LUK.20.12	Nuna dutikawagmatai ataktushkam kampatuma juna tikich inaken awemauwai, dutikamtaishkam ajanum takaina nu senchi suwimá, upu upujú jiikí ajapawajui.
LUK.20.13	“Dutikawagmatai dekas ajagtina nunú chichaak: ‘¿Yamaish utugkatjaki? dekas mina uchig anetaijua juna awetitjai, dutika ai nuna wainkag ajantus diischajaintash’ tiuwai. 
LUK.20.14	Tujash ajanum takainak batsata nu uchi minittaman wainkag: ‘Auwai ju aja juna jukitnuk, dekas maa ajapami, dutika juka iinu emami’, tuidau. 
LUK.20.15	Tusag achiká jukiag ajá ukumtikiag maawajui.
LUK.20.15	“¿Nunash ajagtina dusha itugmainaita? 
LUK.20.16	Dekas ajagtina nu tajakug nunú ajanum takaina nunak kajeg utsaak, tikich aents aidaun susa idaimainai.”
LUK.20.16	Nuna Jisus tutai antukag:
LUK.20.16	—¡Duka tuke dutikamak achatnaitji! —tuidau.
LUK.20.17	Tiagtai Jisus ditan diyaak:
LUK.20.17	—¿Tujash wajina pachisaya Apajuí chichame agagbauwa nuwish:
LUK.20.17	‘Aents jegá jegamin aidau kayá ajapawajua nunú, kaya dekas jegá ichichkatin apututia iman wajasé’, tawa nunash tawa?
LUK.20.18	Aents nu kaya nui iyauk tsainkatnai, tuja kaya aentsnum iyaakug aentsnak tuke yuku ematnai, —tau.
LUK.20.19	Nuna augmatus tutai antukag: “Jutiinak tujamak tawai”, tusag sacerdote apuji aidau, chicham umiktinun jintinkagtin aidaujai achikta tuidau. Nuninayatak aents aidaun ishamainak dutikainachu.
LUK.20.20	Nuninak aentsun awemajui, iish pegkeg aina duke takainaji tusajum yunumkajum, Jisus makichik iniibau iniastajum, wajintuk tujamit nunikmatai tsanumjuja achiká Romanmaya apunum sujukmi tusag. 
LUK.20.21	Tiajam ditashkam Jisusan jegajiag:
LUK.20.21	—Jintinkagtinuh, jutiik dekainaji amek dekas tutupit dekaskea duke jintinkagtame, aentsú imanjinkish etegkeatsme, Apajuí jinti dekaskea duke jintiame. 
LUK.20.22	Nuniau asamin amina iniagme: ¿Roma apuji kuichkijish sumainkaih, atsa sumainchaukaih? —tuidau.
LUK.20.23	Tama Jisus dita anentaibaujin shiig dekaju asa:
LUK.20.23	—¿Wagka minash tsanujatasagmesh wakejutagme? 
LUK.20.24	Iwaintugkakjua makichik kuichik. ¿Yana niimé dakumkaya daajish agagbauwaita?
LUK.20.24	Tama dita aiinak:
LUK.20.24	—Anka Roma apuji dakumkamui tuidau. 
LUK.20.25	Tiagtai Jisus ayaak:
LUK.20.25	—Roma apujinua duka nigki susatajum, Apajuinua dushakam Apajuik susatajum, —tiu.
LUK.20.26	Nuna Jisus ashí aents antuinamunum timatai, tsanumjujag achikta tuinakush dutikmainchau diisaju, nuninak nu aaja aikam, ayatak puyatjukag diidau.
LUK.20.27	Juna tusa machik aig, wajumak saduceo aidau, jakauk nantagchagtin ainawai tinu asag, Jisusan iniinak:
LUK.20.28	—Jintinkagtinuh, Moisés papí agag ukugtamkiuwa nui: ‘Aents nuwan juki uchin akiitsuk jakamtaig, ni yachintin nuwan juki uchin akiimainai, dutika yachí uchijiya nunin emamainai’, tawai. 
LUK.20.29	Tuja nuniamunum, siete yachigbau aajakajui, nuanuiya nagkamchak iwai nuwedauwai, tujash uchinak akiitsuk jakauwai. 
LUK.20.30	Nunikmatai tikich yachi jukishkam, uchinak akiitsuk jakauwai. 
LUK.20.31	Tuja kampatuma nu jukish, uchinak akiitsuk jakauwai, nuni nuninakua siete aajakajua duka, uchinak akiitsuk ashí jinawajui. 
LUK.20.32	Nunikagmatai duwi pujus nuwashkam jakauwai. 
LUK.20.33	Siete aajakajua duka ashí nunak nuwatjaju aina duwish ¿dekas yana nuweg atinaita atak nantainamunmash? —tuidau.
LUK.20.34	Tusa tiagtai Jisus ayaak:
LUK.20.34	—Ju nugka juwig aishmag aidauk nuwenainawai, nuwa aidaushkam aishinainawai, 
LUK.20.35	tujash uwemkaju aidau jakau nantajag, tuke pujustin aina nuwig makichkish nuwenbauk atsutnai, 
LUK.20.36	jatanash jakachagtinai. Ditak Apajuí aentsji nayaimpinum batsata nuninuk agtinai, ditak jakauwaitak nantakiaju asag Apajuí uchijí agtinai. 
LUK.20.37	Jakau aidau nantajagtinun pachis Moisés agajua nunú shiig dekamtijamui, Apajuí numi zarza tutai kegamunum chichaak: ‘Wika Abraham, Isaac, Jacob aina nuna Apajuijiyaitjai’, tiuwai. 
LUK.20.38	Wagki ¡Apajuik jakau aina nuna Apajuijinchui, nigka iwaaku aidaun Apajuijiyai! Apajuí diismak jakau aidaush iwaaku batsatainawai.
LUK.20.39	Aatus timatai chicham umiktinun jintinkagtin aidau:
LUK.20.39	—Jintinkagtinuh yajau tichaume, —tuidau.
LUK.20.40	Nuna timatai ataktuk iniaschajui.
LUK.20.41	Nuniagtai Jisus ditan iniinak:
LUK.20.41	—¿Wajuk asamtaiya Kristuk David wegantui tuinawa? 
LUK.20.42	Davidchakam aikasag Salmosnum agak:
LUK.20.42	‘Apu mina Apujun chichajak, ekeemsata mina untsujuí;
LUK.20.43	nunikamin wi amina shiwajum aidaunak,
LUK.20.43	ame najamsa ekeemtaigmin ikaunmakmatai duwi ame diisminum’, tiuwai.
LUK.20.44	David Apug tujakua nuniaish ¿wajuk asaya David wegantush amainaita? —tau.
LUK.20.45	Ashí antú ijunainai niina jintintaiji aidaun chichajak: 
LUK.20.46	“Atumek kuitamamkatajum, chicham umiktinun jintinkagtin aidau, nugkutai esagman nugkujag yujatan wakejin aina nunin aijum. Ditak aents kuashat ayamunum igkuntuinakush, eme anenjus kumpamjitnume tusa wakegainawai, nunisag jega ijuntainum utsanainakush, dekas apú ekeemtai shiig iwajamu aina imannum ekeemsatatus wakegainawai. Jistatin yuwamunmash, ekeemtai shiig iwajamunum ekeemsatatus wakegainawai. 
