MAT.1.1	Ade Yesu Kristo kĩ ɛnyɛ Dawid ɔwa, kĩ Dawid lɛmɛ nyɛ Abraham ɔwa a bawanyɔ kasinu buĩ nɛ awĩ a.
ROM.3.31	Katsa fɔatsa kĩ katɛkado sũ bɔfɔnɛ mbla a awɛ? Oowo! Fɔlá lɔmɔ kɔlaa, mbom bupini mbla a mɔ ɔsĩ mɔ ɔsĩ.
ROM.4.1	Litsa bɔ́apuli bɔlɛ nɛ boe kade ɔwanyɔ Abraham akũ? Litsa ɛmɔ́ eyi ɔsũ nɛ fɔlɛtsa kĩĩ akũ? 
ROM.4.2	Ntɛ tudzuma a kĩ ɛkɛna a akũ fɔtsã sũ Baguma bu Abraham kĩ ɛnyɛ oti kpĩĩ ni, kekɔ̃ yaana litsedi kĩ yakɔa ebo ɔwɔlɛ, lɛmɛ nnɛ́ nɛ Baguma anɛ. 
ROM.4.3	Kitonɛkĩ Katsɛlɛ Kpalɛwa a lɛ kĩ, “Abraham tɛ Baguma edo, ade nɛ ye katɛkado sũ Baguma tɛ ye kĩ yadã kpĩĩ.”
ROM.4.4	Oti kĩ yakɛna adzuma ni, base ye kɔtɔ, lɛmɛ baábu kɔtɔkase a ndɛ futetsa, mbom fɔnyɛ lɛtsa a kĩ fɔfɛta fɔkpa ye adzuma a kĩ ɛkɛna a. 
ROM.4.5	Lɛmɛ ntɛ odi tátɛ dĩ nɛ adzuma kakɛna kamɛ, mɔ ɛtɛ edo kĩ Baguma akɛna bikĩ baávila ye bati kpĩĩ ni, nɛ ye katɛkado sũ Baguma aabu ye kĩ ɛnyɛ oti kpĩĩ. 
ROM.4.6	Ade foe Lɛgã Dawid lɛmɛ lɛ kĩ bihila oti a kĩ Baguma bu ye kĩ ɛnyɛ oti kpĩĩ, kĩ nnɛ́ ye adzuma wĩ a kĩ ɛkɛna a sũ. Dawid lɛ kĩ,
ROM.4.7	“Baguma hila bikĩ ye mɔawɛ
ROM.4.7	ɛkɔa be tɔkpa ete be a,
ROM.4.7	bikĩ ɛkɔa be titikpa ɛkɔla.
ROM.4.8	Baguma hila oti a
ROM.4.8	kĩ Baguma nyɛ anɛ nɛ ye tɔkpa akũ.”
ROM.4.9	Nhila fɔlɛtsa a kĩ Dawid lɛ nɛ awĩ a ni, bikĩ bitsua fɔkpati a odi fude yanɛ, mbɔɛɛ kĩ mɔ bikĩ bɛtátsua fɔkpati a? Oowo! Ɛnyɛ bikĩ bɛtátsua fɔkpati a lɛmɛ ade, kitonɛkĩ bɔlɛ butomɛna Katsɛlɛ Kpalɛwa a kamɛ kĩ, “Nɛ Abraham katɛkado sũ, Baguma bu ye oti kpĩĩ.” 
ROM.4.10	Lɔkɔ lɔwɔdabe Baguma bu ye oti kpĩĩ? Nɛ lɔkɔ a kĩ bitsua Abraham lɛkpati a, mbɔɛɛ lɔkɔ a kĩ bɛtátsua de tɔ̃ a? Fɔnyɛ lɔkɔ a kĩ ɛtátsua tɔ̃ lɛkpati a, nnɛ́ lɔkɔ a kĩ etsua liti a. 
ROM.4.11	Ke liti kɔlaa fɔmɔ bitsua Abraham lɛkpati. Ye lɛkpati katsua lɛmɛ nyɛ nsɛntsɛlɛni kĩ Baguma tɛ ye kĩ ɛnyɛ oti kpĩĩ nɛ ye katɛkado sũ, titɔ kĩ nɛ lɔkɔ a na kamɛ malo bɛtátsua tɔ̃ ye lɛkpati. Foesũ Abraham yadani bati a kĩ bɛtɛ Baguma bido a flee hũhũ kamɛ ɔlɛga. Titɔ kĩ bɛtátsua fɔkpati malo ni, bɛtɛ be ndɛ bati kpĩĩ. 
ROM.4.12	Ade ayea Abraham nyɛ bikĩ bitsua fɔkpati a lɛmɛ ɔlɛga a. Lɛmɛ nnɛ́ nɛ ayekĩ bitsua be fɔkpati a odi sũ, mbom nɛ ayekĩ bidzi nkpã nɛ katɛkado kamɛ ndɛ ayekĩ boe ɔlɛga Abraham dzi fɔmɔ bitsua ye lɛkpati a sũ.
ROM.4.13	Baguma kpa Abraham mɔ ye kasinu kamɛ babi bɔhɛ kĩ katinya kĩĩ kamɛ aanya be adzapadiɛ. Ɛkɛna foe nnɛ́ nɛ ayekĩ Abraham kɛna nɛ mbla a akũ sũ, mbom nɛ ayekĩ ɛtɛ edo kĩ Baguma bu ye oti kpĩĩ sũ. 
ROM.4.14	Kitonɛkĩ ntɛ bikĩ bakɛna nɛ mbla a akũ odi aanya fɔtsa a kĩ ɛlɛ eyi a ni, kekɔ̃ katɛkado lɛnyɛ́ lɛtsama ade Baguma kalɛkayi a lɛmɛ nyɛ fɔtsa pupulidza a. 
ROM.4.15	Mbla a avɛlɛ Baguma kalɔkpa kayamɛna, lɛmɛ awã kĩ mbla lɛláa ni, mbla kafum lɛláa.
ROM.4.16	Foesũ bɔhɛ a dzɛ̃ nɛ katɛkado akũ, ayekĩ bɔhɛ a aatim ndɛ fɔtsa a kĩ Baguma mɔ kɔnya ɛkɔa ete Abraham kasinu a kamɛ babi. Nnɛ́ bikĩ bakɛna nɛ mbla a akũ odi fɔwaa fɔkpa, mbom mɔ bikĩ bɛtɛ bido ndɛ ayekĩ Abraham tɛ edo a, kitonɛkĩ Abraham nyɛ boe flee hũhũ kamɛ ɔlɛga, 
ROM.4.17	ndɛ ayekĩ Katsɛlɛ Kpalɛwa a lɛ kĩ, “Nkɔa nɔ nkɛna fude fude pii ɔlɛga.” Foesũ bɔhɛ a nɛnɛ nɛ Baguma anɛ. Ade ye nyɛ Baguma a kĩ Abraham tɛ edo kĩ yadzɛla banɔkpa bayidza kadzi nkpã, kĩ yafɔ̃ fɔtsa a kĩ fɔláa kɔkɔɛ fɔanɛ katinya.
ROM.4.18	Titɔ kĩ anɛ kate adima buki ɛláa malo ni, Abraham tɛ edo ɛkadã anɛ, ade foesũ ɛkɛna fude pii ɔlɛga, ndɛ ayekĩ Baguma bi ye a kĩ, “Nɔ babi mɔ bawa aama bɛsa beblebee ndɛ fusibii aye.” 
ROM.4.19	Nɛ lɔkɔ a, Abraham tɛ ndɛ futeli ɔha, lɛmɛ ye katɛkado onukpɛ̃ tádɔ, titɔ kĩ ɛmɔ eyi ɔsũ kĩ kɔbɛ̃ woli nɛ ye sukɛna kamɛ, mɔ ayekĩ Sara lɛmɛ tɛ̃ kɔma kana malo a. 
ROM.4.20	Ɛtátɛ fɔtsa a kĩ Baguma lɛ eyi kĩ yaakɛna ɛkpa ye a akũ atsindze, ade ɛtáfɔnɛ ye katɛkado awɛ a, mbom ye katɛkado a do ye kɔbɛ̃, edo Baguma obu. 
ROM.4.21	Ɛtɛ edo pipiipi kĩ Baguma aapuli ɛkɛna nɛ lɛtsa a kĩ ɛlɛ eyi a akũ. 
ROM.4.22	Ade Abraham katɛkado sũ mɔ Baguma bu ye kĩ ɛnyɛ oti kpĩĩ a. 
ROM.4.23	Fɔlɛtsa a kĩ bɛlɛ kĩ, “Baguma bu ye kĩ yadã kpĩĩ” a, nnɛ́ Abraham odi sũ bɛtsɛlɛ foe, 
ROM.4.24	mbom bɛtsɛlɛ foe bɛkpa boe lɛmɛ. Boe a kĩ bɔ́atɛ oti a kĩ ɛdzɛla boe Ɔlate Yesu etomɛna kanɔkpa a budo a, baabu boe kĩ bɔnyɛ bati kpĩĩ. 
ROM.4.25	Boe titikpa sũ Baguma fɔnɛ Kristo awɛ ɛkpa kĩ bɛkɔ, ade ɛdzɛla ye edzi nkpã, ayekĩ yaabu boe bati kpĩĩ.
ROM.5.1	Finyaa, kĩ Baguma bu boe bati kpĩĩ nɛ boe katɛkado sũ ni, bɔtsɛ̃ boe Ɔlate Yesu Kristo akũ bɔna lukudɔ nɛ bɔmɔ Baguma kayite. 
ROM.5.2	Ye akũ lɛmɛ bɔtsã mɔ osi binya ɛkpa boe kĩ Baguma aamɔ boe kɔnya, budzi nɛ ye kɔnyakamɔ a kamɛ. Nɛ foesũ bɔapia nɛ kɔnɛte a kĩ budeĩ kĩ bɔ́ana tsɛfã nɛ Baguma kukũkpalɛ a kamɛ. 
ROM.5.3	Nɛ ɔhau pii kamɛ malo bɔamɔ kawɔlɛ, kitonɛkĩ bunyina kĩ ɔhau afɔ̃ bɔakɔlɛ ɔwɔlɛ kado, 
ROM.5.4	ɔwɔlɛ kado afɔ̃ bɔadza pintii, ade kadza pintii afɔ̃ bɔana kɔnɛte a. 
ROM.5.5	Ade kɔnɛte láfɔ̃ kɔnyɔã awo boe, kitonɛkĩ Baguma kɔa ye ɔdɔ edo nɛ boe tɔwɔlɛ kamɛ ɛtsãmɛna ye Hũhũ Kpalɛwa a kĩ ɛkpa boe a akũ.
ROM.5.6	Kitonɛkĩ kĩ bubuki bɔlá kɔbɛ̃ kudima a, ade lɔkɔ a na kamɛ Kristo ku nɛ tɔkpa bakɛnanɛ lɔlɔ, ndɛ ayekĩ Baguma mɔawɛ yi ɛkpa a. 
ROM.5.7	Fɔnyɛ lɛtsa mɔ ɔsĩ kĩ oti odi aku nɛ oti kpĩĩ lɔlɔ. Fɔ́apuli fɔya malo kĩ oti odi aado ɔwɔlɛ kĩ yaku nɛ oti wĩ lɔlɔ. 
ROM.5.8	Lɛmɛ Baguma tsa boe ayekĩ eti yawɛ boe kalɛ, kitonɛkĩ lɔkɔ a kĩ bubuki bɔnyɛ tɔkpa bakɛnanɛ a, Kristo ku nɛ boe lɔlɔ.
ROM.5.9	Ɛtsã ye wuda kamɛ ɛkɛna bati boe kpĩĩ nɛ Baguma anɛ. Wuda kĩĩ sũ yaanyɛ boe etomɛna Baguma kalɔkpa a kamɛ. 
ROM.5.10	Bɔnya Baguma bakesĩnɛ lɛmɛ ɛkɛna boe ye bakɔba ɛtsãmɛna ye Obi wuda a kĩ ɛkɔa ɛpata ye a kamɛ. Finyaa kĩ ɛkpɔla Baguma ɛkpa boe kĩĩ ni, yaatɛ boe ɛba, kitonɛkĩ edzi nkpã. 
ROM.5.11	Lɛmɛ nnɛ́ fukĩĩ odi, mbom bɔamɔ kawɔlɛ nɛ lɛtsa a kĩ Baguma tsã boe Ɔlate Yesu Kristo akũ ɛlɔla bɔmɔ ye kayite a sũ.
ROM.5.12	Tɔkpa tsã oti mɔa akũ tɛya nɛ katinya kamɛ, ade wuda tsã ye akũ ɛya a. Nɛ fukĩĩ sũ ni, wuda yalɛ ewo nɛ batidziwa flee kamɛ, kitonɛkĩ odi nyɛ odi kɛna tɔkpa. 
ROM.5.13	Nɛ ɔnɔkɔali kamɛ ni, tɔkpa na nɛ katinya kamɛ fɔmɔ mbla a ya, lɛmɛ awã kĩ mbla lɛláa ni, baábu lɛtsama kĩ lɛnyɛ tɔkpa. 
ROM.5.14	Lɛmɛ kito Adam lɔkɔ kɛyawo Mose lɔkɔ a ni, wuda nya batidziwa flee akũ, mɔ bikĩ bɛtákɛna tɔkpa ndɛ tikĩ Adam kɛna a malo. Adam kĩĩ dzɛ̃ ndɛ oti a kĩ yaaya a.
ROM.5.15	Lɛmɛ be bati nviã a bɛtáketi, kitonɛkĩ Baguma futetsa faa a lɛlá ndɛ Adam tɔkpa a. Fɔnyɛ ɔnɔkɔali kĩ bati pii ku nɛ oti mɔa tɔkpa sũ. Lɛmɛ Baguma kɔnyakamɔ bɛ̃ kɔlaa, foesũ ade ayea ye futetsa a kĩ yakpa bati pii faa katsãmɛna oti mɔa kĩ ɛnyɛ Yesu Kristo akũ a la a. 
ROM.5.16	Futesa a kĩ Baguma kpa faa a lɛlá ndɛ lɛtsa a kĩ oti mɔa tɔkpa vɛlɛ tɛyamɛna a, kitonɛkĩ tɔkpa a kĩ oti mɔa a kɛna a yamɔ kadzɛ mɔ kɔtɔkaku. Lɛmɛ futetsa a kĩ Baguma kpa faa a fɔ̃ bibu bati beblebee tɔkpa a kĩ bɛkɛna a kĩ badã kpĩĩ. 
ROM.5.17	Fɔnyɛ ɔnɔkɔali kĩ oti mɔa tɔkpa a kĩ ɛkɛna sũ wuda yaanya akũ. Lɛmɛ lɛtsa a kĩ oti mɔa a kĩ ɛnyɛ Yesu Kristo kɛna a bɛ̃ foe flee. Bikĩ bɛna Baguma kɔnyakamɔ baũ kĩĩ flee a, kĩ ɛkɛna be bati kpĩĩ lɛmɛ a, aanya akũ nɛ nkpã kamɛ bɛtsãmɛna Kristo akũ.
ROM.5.18	Foesũ ndɛ ayekĩ oti mɔa tɔkpa a kĩ ɛkɛna fɔ̃ bɛkɔ batidziwa flee kɔtɔ a, ade ayea oti mɔa tuwĩ kĩ ɛkɛna a kpa batidziwa flee ɔtɔbɛ, bɛna nkpã lɛmɛ a. 
ROM.5.19	Ade ndɛ ayekĩ oti mɔa atɔ ɔsĩ kakɛna fɔ̃ bati flee dani tɔkpa bakɛnanɛ a ni, ade ayea oti mɔa Baguma ɔlɛdo akũ kakɛna aafɔ̃ bɛkɛna bati pii kpĩĩ nɛ Baguma anɛ a.
ROM.5.20	Bɛyamɛna mbla a ayekĩ tɔkpa kakɛna aapɔ ebu, lɛmɛ awã kĩ tɔkpa kakɛna pɔnɛ ni, Baguma kɔnyakamɔ lɛmɛ apɔ kabu. 
ROM.5.21	Foesũ ayekĩ tɔkpa nya akũ nɛ wuda kamɛ a ni, ade ayea Baguma kɔnyakamɔ anya akũ katsãmɛna kadzi kpĩĩ kamɛ, kakpã boe kawomɛna nkpã a kĩ kɛlá kawũna a kamɛ, nɛ boe Ɔlate Yesu Kristo dĩ akũ a.
ROM.6.1	Foesũ, finyaa litsa bɔ́alɛ? Bɔ́ana nɛ tɔkpa kakɛna kamɛ ayekĩ Baguma kɔnyakamɔ aapɔ kibu mbɔɛɛ? 
ROM.6.2	Oowo! Kĩ buku bɔkpa tɔkpa kɔkɔɛ a, nde bɔabuki budzi nkpã bɔkakɛna tɔkpa? 
ROM.6.3	Mbɔɛɛ minyína kĩ, kĩ bɛwɔla boe mui, bɔkɛna ɔmɔa mɔ Yesu Kristo a, bɛwɔla boe mui bɔkɛna ɔmɔa mɔ ye wuda a lɛmɛ? 
ROM.6.4	Nɛ boe mui kawɔla kĩĩ kamɛ a, bɔna tsɛfã nɛ ye wuda a kamɛ, ade bibila bɔmɔ ye a. Ndɛ ayekĩ Ɔlɛga a tsã ye kukũkpalɛ kɔbɛ̃ kamɛ ɛdzɛla Kristo etomɛna banɔkpa kamɛ a, ade aye boe malo bɔ́ayidza budzi nkpã vɔɛ̃ a.
ROM.6.5	Kitonɛkĩ ayekĩ bɔkɛna ɔmɔa mɔ ye nɛ ye wuda kamɛ a, ade ayea bɔ́abuki bɔkɛna ɔmɔa mɔ ye nɛ boe kadzɛla kadzi nkpã kamɛ ndɛ ayekĩ bɛdzɛla ye a. 
ROM.6.6	Bunyina kĩ, kĩ bɛbɔa boe kutitse kɔɛ a nɛ asendua akũ mɔ Kristo ayekĩ boe sukɛna kĩ sawɛ tɔkpa kakɛna a aawɔ, ayekĩ bɔláabuki bɔnya tɔkpa basate. 
ROM.6.7	Kitonɛkĩ ntɛ oti sila eku ni, bɛnyɛ ye nɛ tɔkpa kɔbɛ̃ kayɔ.
ROM.6.8	Ntɛ buku mɔ Kristo ni, bɔtɛ budo kĩ bɔ́adzi nkpã lɛmɛ mɔ ye. 
ROM.6.9	Bunyina kĩ, kĩ Baguma dzɛla Kristo etomɛna kanɔkpa sũ ni, ɛláabuki eku da. Wuda buki lɛláabuki ɛna kɔbɛ̃ kudima nɛ ye akũ. 
ROM.6.10	Wuda a kĩ Kristo ku a, eku ye deedimɔapɛ ɛkpa tɔkpa, lɛmɛ nkpã a kĩ edzi finyaa, edzi ye ɛkpa Baguma. 
ROM.6.11	Ade ayea mi malo mibu mi akũ kĩ miku mikpa tɔkpa, lɛmɛ Baguma nɛ ɔmɔa kakɛna mɔ Kristo Yesu kamɛ.
ROM.6.12	Kɛtánɛ kĩ tɔkpa tibuki tɛnya mi sukɛna a kĩ saku a akũ, ayekĩ míakakɛna nɛ se fɔwɛtsa akũ. 
ROM.6.13	Mitafɔnɛ mi sukɛna kakɔma awɛ mikpa tɔkpa tɛkɔa tɛkɛna ablɔ adima, mbom mikɔa mi akũ mikpa Baguma ndɛ bati kĩ ɛnyɛ etomɛna wuda kamɛ ɛyamɛna nɛ nkpã kamɛ. Mifɔnɛ mi akũ flee awɛ mikpa Baguma fɔnya fɔtsa kĩ yaakɔa ɛkɛna tuwĩ. 
ROM.6.14	Kɛtánɛ kĩ tɔkpa tɛnya mi akũ, kitonɛkĩ miláa mbla kayɔ, mbom mideĩ nɛ Baguma kɔnyakamɔ kayɔ.
ROM.6.15	Foesũ litsa bɔalɛ? Bɔ́akɛna tɔkpa kitonɛkĩ bɔláa mbla kayɔ, mbom budeĩ nɛ Baguma kɔnyakamɔ kayɔ sũ? Oowo! 
ROM.6.16	Minyina pefee kĩ ntɛ mikɔa mi akũ mikɛna odi basumunɛ ni, minyɛ ɔlate a kĩ ye kayɔ mideĩ a basate. Ntɛ mikɔa akũ mikpa tɔkpa kakɛna ni, lɛtsa a kĩ laanɛ nɛ foe kamɛ nyɛ wuda, lɛmɛ ntɛ mikɛna nɛ Baguma ɔlɛdo akũ ni, foe nfasɔ nyɛ kadzi kpĩĩ nɛ Baguma anɛ.
ROM.6.17	Bɔanyɛ Baguma kɔlɛ paa, kitonɛkĩ titɔ kĩ minya tɔkpa basate miyatɛ̃ malo ni, finyaa mitɛ ɔnɔkɔali fɔtsa katsa a mɔ mi tɔwɔlɛ, milamɔ foe akũ kakɛna pɛpɛɛpɛ. 
ROM.6.18	Baguma nyɛ mi etomɛna tɔkpa kamɛ, midani fɔtsa wĩ kakɛna basate.
ROM.6.19	Malɛ kɔdzɛla ndɛ otidziwa aye nɛ ayekĩ otidziwa adɔ nɛ sukɛna kamɛ sũ. Nɛ lɔkɔ lidi kĩ lɛtɛ̃ kamɛ ni, mifɔnɛ mi akũ flee awɛ ndɛ basate mikpa efĩĩ mɔ ablɔ fɔtsa kakɛna. Ade ayea kɛnɛ kĩ finyaa miafɔnɛ mi akũ flee awɛ mikpa ndɛ tuwĩ kakɛna basate a. 
ROM.6.20	Kĩ minya tɔkpa kakɛna basate a, tuwĩ kakɛna tánya ɔhɛ fɔkpa mi. 
ROM.6.21	Litsa nfasɔ mina mitomɛna fɔtsa a kĩ mikakɛna a kĩ finyaa fɔakɔ mi kɔnyɔã a kamɛ? Fɔtsa a na bamɛ flee kawũna nyɛ wuda.
ROM.6.22	Lɛmɛ finyaa, Baguma nyɛ mi nɛ tɔkpa kamɛ midani ye basate. Nfasɔ a kĩ míana nyɛ kĩ miakɔa mi akũ flee mikpa Baguma ɛkpalɛ ye akũ, lɔkɔa nɛ foe kawũna mina nkpã kĩ ɛlá kawũna a. 
ROM.6.23	Kitonɛkĩ tɔkpa kɔtɔkase nyɛ wuda, lɛmɛ Baguma futetsa faa nyɛ nkpã kĩ ɛlá kawũna a, nɛ ɔmɔa kakɛna mɔ boe Ɔlate Kristo Yesu kamɛ.
ROM.7.1	Nwaɛ̃ amɛ, mi a kĩ minyina Mose mbla a, míanu lɛtsa a kĩ mawɛ kĩ malɛ nɛ awĩ a kayɔ. Mbla anya oti akũ nɛ lɔkɔ a kĩ edzi nkpã a odi. 
ROM.7.2	Foe nfantuhũ nyɛ kĩ mbla sui otsole kĩ edzi kɔnyɔ edo nɛ ɔnyɔ kayɔ nɛ onyole a nkpã kamɛ. Lɛmɛ ntɛ onyole a ku ni, otsole a nɛ́ nɛ mbla a kĩ esui ye ɛmɛna mɔ onyole a kamɛ. 
ROM.7.3	Foesũ ntɛ otsole a naa onyole bɛbã sɛkɛ̃ nɛ lɔkɔ a kĩ ɔnyɔ a buki edzi nkpã ni, baavɛ ye ɔdɔpaani. Lɛmɛ ntɛ ɔnyɔ a ku kɔ̃ ni, mbla kĩĩ tásui ye, ade ntɛ ɛnadzi mɔ onyole bɛbã ni, ɛtábɔa adɔpaa.
ROM.7.4	Nwaɛ̃ amɛ, ade aye fɔla fɔkpa mi malo a. Nɛ mbla a onukpɛ̃ ni, mi malo miku, kitonɛkĩ minyɛ Kristo sukɛna a sɛkɛ sidi. Ade finyaa minyɛ ye a kĩ Baguma dzɛla etomɛna kanɔkpa a bade, ayekĩ bɔ́anɛ libi bɔkpa Baguma. 
ROM.7.5	Kitonɛkĩ kĩ budzi nkpã nɛ sukɛna kamɛ a ni, sukɛna fɔwɛtsa kpa a kĩ mbla a dzɛla nɛ boe kamɛ a, kɛna adzuma nɛ boe kamɛ, ɛmanɛ boe ɛkpa wuda. 
ROM.7.6	Lɛmɛ finyaa bɔnɛ́ nɛ mbla a kayɔ, kitonɛkĩ buku bɔkpa fɔtsa a kĩ fusuli boe ndɛ kɔla bawanɛ a. Bɔláabuki busum nɛ mbla kĩ bɛtsɛlɛ osi kɔɛ a akũ, mbom bɔ́asum nɛ Hũhũ kamɛ osi vɔɛ̃ a akũ.
ROM.7.7	Finyaa litsa bɔ́alɛ? Kalɛ bɔ́alɛ kĩ mbla nyɛ tɔkpa? Oowo! Fɔlá lɔmɔ. Lɛmɛ mbla a lɛfɔ̃ ĩnyi lɛtsa a kĩ tɔkpa anɛ. Ntɛ mbla a ɛtalɛ kĩ, “Tayɔɔla anɛ nɛ oti bɛbã fɔtsa akũ” ni, kufɛ ĩnyína anɛngbã kawɛ a na. 
ROM.7.8	Lɛmɛ fɔtsã mbla a akũ, tɔkpa na osi tinyina odo kakɔ fɔtsa kpa flee nɛ yĩ kamɛ. Ntɛ mbla kalaa ɛláa ni, kufɛ tɔkpa lɛmɛ ku. 
ROM.7.9	Yĩ mɔawɛ a ndzi tɔ̃ nkpã, kĩ mbla a tána, lɛmɛ kĩ mbla a ya a, tɔkpa yidza tidzi nkpã, 
ROM.7.10	ade nku a. Ade mbla a kĩ kufɛ ɛma yĩ nkpã a, yĩ kɔ̃ wuda ɛkɔa ɛma yĩ. 
ROM.7.11	Tɔkpa tsã mbla akũ tɛna osi tɛkɛ yĩ, ade tɛkɔ yĩ a.
ROM.7.12	Foesũ mbla mɔawɛ a akũ kpalɛ, ade ayea ye nhihiɛ a adã kpĩĩ, ɛnɛnɛ lɛmɛ a. 
ROM.7.13	Lɔkɔa lɛtsa wĩ a kĩ lɛnɛnɛ a dani wuda lɛkpa yĩ? Oowo! Fɔlá lɔmɔ. Tɔkpa tsã tuwĩ akũ tɛkɔa wuda tɛma yĩ, ayekĩ taanyɛ te kutitse paa a tɛtsa. Foesũ fɔtsã mbla akũ bɛnyɛ tɔkpa bɛtsa ndɛ lɛtsa kpa kĩ liti lɛnɛ́nɛ koũ.
ROM.7.14	Bunyina kĩ mbla a nyɛ hũhũ kamɛ fɔtsa, lɛmɛ yĩ kɔ̃ ĩnyɛ otidziwa, kĩ bɛnɔ ɔsate bɛkpa tɔkpa. 
ROM.7.15	Maánu yĩ fɔtsa kɛnawa a kayɔ, kitonɛkĩ maákɛna lɛtsa a kĩ mawɛ kĩ makɛna a, mbom makɛna lɛtsa a kĩ makesĩ a. 
ROM.7.16	Ntɛ lɛtsa a kĩ maáwɛ a makɛna kɔ̃ ni, kekɔ̃ ntunɔ kĩ mbla a nɛnɛ. 
ROM.7.17	Foesũ nnɛ́ yĩ mɔawɛ akɛna fɔtsa a, mbom tɔkpa a kĩ tideĩ nɛ yĩ kamɛ a akɛna foe.
ROM.7.18	Ĩnyina kĩ tuwĩ tidima lidzí nɛ yĩ kamɛ ayekĩ ĩnyɛ otidziwa sũ. Kitonɛkĩ titɔ kĩ kawɛ a kĩ makɛna tuwĩ deĩ nɛ yĩ kamɛ malo ni, maápuli nkɛna te. 
ROM.7.19	Tuwĩ a kĩ mawɛ kĩ makɛna a, maákɛna te, mbom makɛna tɔkpa a kĩ maáwɛ kĩ makɛna a. 
ROM.7.20	Ntɛ lɛtsa a kĩ maáwɛ a makɛna ni, kekɔ̃ nnɛ́ yĩ mɔawɛ a akɛna foe, mbom tɔkpa a kĩ tideĩ nɛ yĩ kamɛ a akɛna foe.
ROM.7.21	Foesũ mmɔ́ mbla kĩĩ fɔlɛtsa ĩyi ɔsũ, kĩ ntɛ mawɛ kĩ makɛna tuwĩ ni, tɔkpa mbom makɛna. 
ROM.7.22	Nɛ yĩ kamɛkamɛ ni, mamɔ kawɔlɛ nɛ Baguma mbla a akũ. 
ROM.7.23	Lɛmɛ mamɔ mbla bɛbã nɛ yĩ sukɛna kamɛ kĩ yanɔ lɛma mɔ yĩ lɔlɔ kamɛ tuwĩ kĩ mawɛ a. Ɛkɛna yĩ kɔla ɔwanɛ ɛkpa tɔkpa mbla a kĩ edeĩ nɛ yĩ sukɛna kamɛ. 
ROM.7.24	Nkɛna oti kĩ ye akũ akɔ kɔnya. Owei aatɛ yĩ etomɛna sukɛna kĩ sɛkpã yĩ sanamɛna wuda kamɛ a awɛ? 
ROM.7.25	Kɔlɛ bɔanyɛ Baguma bɔtsãmɛna boe Ɔlate Yesu Kristo akũ.
ROM.7.25	Finyaa, ayekĩ nla nyɛ kĩ nɛ yĩ mɔa akũ akũ ni, nnɛɛ yĩ adzuma makɛna nɛ Baguma mbla a akũ, lɛmɛ sukɛna a kɔ̃ ni, nnɛ masum tɔkpa mbla a.
ROM.8.1	Foesũ finyaa kɔtɔkakɔ lɛláa kɛkpa bikĩ bɛkɛna ɔmɔa mɔ Kristo Yesu a. 
ROM.8.2	Kitonɛkĩ Hũhũ mbla a kĩ yakpa oti nkpã nɛ ɔmɔa kakɛna kamɛ mɔ Kristo Yesu a, nyɛ yĩ etomɛna tɔkpa mɔ wuda mbla a kamɛ. 
ROM.8.3	Lɛtsa a kĩ mbla a tápuli ɛkɛna a, ayekĩ sukɛna a tɛ kɔbɛ̃ nɛ ye awɛ sũ ni, Baguma kɔ̃ kɛna foe. Edo ye mɔawɛ obi ɛya nɛ otidziwa sukɛna kĩ sakɛna tɔkpa kamɛ, ade ɛyakɔ tɔkpa kɔtɔ, ɛnyɛ te a. 
ROM.8.4	Baguma kɛna fukĩĩ ayekĩ boe a kĩ budzi nɛ Hũhũ kamɛ, kĩ nnɛ́ nɛ sukɛna kamɛ a, bɔ́apuli budzi nɛ tuwĩ kakɛna a kĩ ye mbla awɛ a onukpɛ̃.
ROM.8.5	Bati kĩ bidzi nkpã ndɛ ayekĩ be sukɛna awɛ a onukpɛ̃ ni, fɔtsa a kĩ be sukɛna awɛ a akũ bakɔna. Lɛmɛ bikĩ bidzi nkpã ndɛ ayekĩ Hũhũ a awɛ a onukpɛ̃ ni, fɔtsa a kĩ Hũhũ a awɛ a akũ be adzuni ana. 
ROM.8.6	Oti kadzi nɛ sukɛna fɔwɛtsa tsɛ̃mɔ wuda, lɛmɛ oti kĩ Hũhũ a akpã ye a, ana nkpã mɔ lukudɔ. 
ROM.8.7	Nɛ foesũ oti a kĩ ye sukɛna fɔwɛtsa nya ye akũ a adani Baguma okesĩnɛ, kitonɛkĩ yaákɛna nɛ Baguma mbla akũ, ade nɛ ɔnɔkɔali kamɛ ni, ɛláapuli ɛkɛna nɛ ye akũ. 
ROM.8.8	Bikĩ bidzi nkpã nɛ be sukɛna kawɛ onukpɛ̃ a fɔkɛlatsa lɛláapuli fuwo Baguma anɛ.
ROM.8.9	Lɛmɛ mi kɔ̃ midzí nɛ sukɛna kawɛ onukpɛ̃, mbom midzi ndɛ ayekĩ Hũhũ a awɛ kĩ midzi a. Odi nyɛ odi kĩ Kristo Hũhũ lɛláa ye kamɛ lɛnyɛ́ Kristo ode. 
ROM.8.10	Lɛmɛ ntɛ Kristo deĩ nɛ nɔ kamɛ a, Hũhũ a nyɛ nkpã ɛkpa nɔ, kitonɛkĩ ɛkɛna nɔ oti kpĩĩ nɛ Baguma anɛ, titɔ kĩ nɔ sukɛna ayaku malo nɛ tɔkpa sũ. 
