MAT.1.1	Gɛ́ ŋwɛ mabɔ ukwéne antɛ Jisɔs Kras mpyáne mfwa Dɛvid, Dɛvid mpyáne Abraham. 
ACT.26.17	Mférégé nyɛ wɔ né amu bɔɔ́ Jus ne mférégé nyɛ wɔ ntó né amu bɔɔ́ abi álá pɔ́ bɔɔ́ Jus, ne ntɔme le wɔ ɛta bɔɔ́ bimbɔ. 
ACT.26.18	Ɔjyɛgé ɛwú, néné ɛbwɔ́ amɛ, ne ɔférégé ɛbwɔ́ né gemua, ɔpyɛ ɛbwɔ́ áchwɔ́ né geŋgbɔ́. Ɛwéna ɛtɛné nnó ɔferege nyɛ ɛbwɔ́ né amú danchɔmeló, ɔchwɔ́ ne ɛbwɔ́ né ɛ́gbɛ́ Ɛsɔwɔ nnó áfyɛɛ́ matɔɔ́ ne me ne Ɛsɔwɔ ajige nyɛ nte gabo ɛbwɔ́, ne ábɔ́ nyɛ melu né geluage bɔɔ́ Ɛsɔwɔ abi ji ajyá.’
ACT.26.19	“Ata Agripa nkane ɛlúmbɔ, nshyá fɔ́ meko ayi atane mfaánebuú wɔ́. 
ACT.26.20	Nlɔ né Damaskɔs ngaré mekomejɔɔ́ wuú ne nle nchwɔ́ fa né Jɛrosalɛ. Nfɛ́ ntó yɛndé mbaá né malɔ bɔɔ́ Jus ne ayi álá pɔ́ bɔɔ́ Jus. Mbɔ́ ne ngarege yɛ́ndémuú nnó ákwɔre metɔɔ́ alyaá gabo wuú, ákéré mbaá Ɛsɔwɔ ne ápyɛge unó bi ulɛre nnó ɛbwɔ́ ákwɔre geŋwá bwɔ́. 
ACT.26.21	Gɛ́ genó ɛyi gepyɛ́ bɔɔ́ Jus ápyɛ́né me né mmu ɛcha upɛ Ɛsɔwɔ ákɛlege manwá mbɔ. 
ACT.26.22	Yɛ́mbɔ Ɛsɔwɔ apoó me yɛndégébé kpaá tɛ fi. Ne ntɛne ngarege mekomejɔɔ́ ayi áfyɛ́ me né ɛbwɔ mbaá bɔɔ́ ne ubyaŋkwɔ́ bɔ́. Ngarege le unó bi bɔɔ́ ɛkpávé Ɛsɔwɔ ne Mosis ábɔ́ ájɔɔ́ tɛ gachí nnó upyɛ nyɛ. 
ACT.26.23	Ɛbwɔ́ ábɔ́ ájɔɔ́ nnó, “Muú yi Ɛsɔwɔ akweré ji ɛlá gefwa abɔ́ mangbó ne ábɛ́ muú mbɛ yi akwile né negbo ne apyɛ bɔɔ́ Jus ne abi álá pɔ́ bɔɔ́ Jus ágɛ́ geŋgbɔ́.”
ACT.26.24	Ndɛre Pɔl alu áŋmɛ́nege gemɛ jií, Fɛstos aweé ji aké, “Pɔl ɔmée gebwɔ́. Unó bi ɔgií dɔɔ́ upyɛ wɔ́ ɔle mée gebwɔ́?” 
ACT.26.25	Ne Pɔl ashuú ji meko aké, “Ata me mmée fɔ́ gebwɔ́, njɔgé le unó bi úlú wáwálé. 
ACT.26.26	Wáwálé alu nnó mfwa Agripa akaá depɔ ti deko, nkaáwune njɔgé mbɔ nlá pɔ́ ne ɛfɔ metɔɔ́, nende depɔ tire na depyɛ́ fɔ́ bibií wɔ́. 
ACT.26.27	Mfwa Agripa, pɔ́ ɔkamé ntó depɔ ɛti bɔɔ́ ɛkpávé Ɛsɔwɔ ásámé? Me kaá nnó mfwa akamé.” 
ACT.26.28	Ɛwyage mfwa Agripa agií Pɔl aké, “Wɔ ɔfɛré nnó ɔkage pyɛ me wyɛ tɛnétɛné nnó mbɛ́ meŋkwɔle Kras?”
ACT.26.29	Ne Pɔl ashuú ji meko aké, “Yɛ ɛbɛ́ le nana, yɛ meso gébé, nnɛnemmyɛ mbaá Ɛsɔwɔ nnó wɔ ne bɔɔ́ ako abi awuú mbɔ me fi nnó debɛ́ ɛ́ké me, yɛ́mbɔ ɛpɔ́fɔ́ nnó ɛnyú dekpɛ denɔ nkane me nkpɛné.”
ACT.26.30	Pɔl ajɔgé mbɔ, mfwa Agripa, gɔmena Fɛstos, Bɛnise ne bɔɔ́ bifɔ́ ákwilé ka. 
ACT.26.31	Ne ndɛre ɛbwɔ́ ájyɛ́ dafyɛ, ájɔge ne atɛ aké, “Mende yina apyɛ́ fɔ́ genó ɛyigé abɔ mangbó wɔ́ yɛ denɔ mankpɛ wɔ́.” 
ACT.26.32	Mfwa Agripa ajɔɔ́ ne Fɛstos aké, “Mbɔgé mende yina ábɛ́ danjyɛ ne mechɔ ɛwé mbaá mfwa Rom, mbɔ́ delyaá ji.”
ACT.27.1	Nkane ákame nnó dejyɛ, ɛfɛɛ́ ne dejyɛ kpɛ ɛsogeka, ɛwé ɛjyɛ́ melɔ Itali. Ágbaré Pɔl ne bɔɔ́ denɔ abifɔ áchyɛ muú kpaá bɔɔ́ bee ayi ákuú ji Julyɔs. Ji alu né geluage bɔɔ́ bee abi mfwa kpa bɔɔ́ Rom. 
ACT.27.2	Ne ɛsé ako dekpɛ ɛsogeka ɛ́wé ɛ́tané melɔ Adramatim ɛ́jyɛ malu yi makpé átárege né gebagé mewaá Ɛsya [Aristakɔs ayi atané melɔ Tɛssalonika né gebagé mewaá Masedonia, alu ntó ne ɛsé.] 
ACT.27.3	Bií ujyágé ɛsé dekwɔné né Sidɔn. Julyɔs alɔ́ɔ melu ne Pɔl tɛ alya ji nnó ajyɛ gɛ́ ajeé bií nnó áchyɛ ji genó ɛyigé gelií ji. 
ACT.27.4	Détánégé Sidɔn delɔ manjyɛ, ne gétúgé mbyo atané ɛsé mbɛ, degya defɛ́ ɛgbɛ Syaprɔs melɔ ɛwé nnyi nenɔɔ́ ɛwu mme mbaá ayi mbyo álá pɔ́ dɔɔ́. 
ACT.27.5	Ɛsé déchyágé ɛbɛɛ́ mega ɛwé ɛ́lú toitoi ne Silisya ne ɛwe fɔ ɛwé ɛ́lú toitoi ne Pamfilya, ɛfɛɛ́ ne déchwɔ kwɔ́ne né Mira né gebagé mewaá Lysha. 
ACT.27.6	Muú kpaá bɔɔ́ bee yimbɔ agɛ ɛsogeka ɛwécha ɛwé ɛtané né melɔ Aleksandra ɛjyɛ melɔ Itali, ɛfɛɛ́ ne afyɛ ɛsé mmu.
ACT.27.7	Ɛsé dekɛ perepere né gejamégé ndɔ, degɛ́ ɛfwyale ne délé kwɔ́ne melɔ Snedus. Ndɛre mbyo álá kamé nnó ɛsé déjyɛ mbɛ wɔ́, dekwɔré defɛ́ ɛ́gbɛ́ ɛwé *Kret melɔ ɛwé nnyi nenɔɔ́ ɛwú mme, dekoó nechyɛ né Salmɔnɛ. 
ACT.27.8	Dekɛne dejyɛ mapeá mapeá, melɔ ɛwé nnyi nenɔɔ́ ɛwú ne mme démyɛ kpaá dékwɔné nechyɛ ɛniné ákuú nnó nechyɛ népere, kwɔ́kwɔ́lé ne melɔ Lasiya. 
ACT.27.9	Ɛsé debɔ́ dechɔ mɛ́ gejamégé ndɔ ne bií kpaá ɛbi ápyɛ́ gepɛ mashwɔné ubée ubi úkoó mɛ́. 
ACT.27.10	“Aŋmɛ́ ba, ngɛ́ nnó mbɔgé detogé ɛshyɛ dejyɛgé gejamé unó unóme nyɛ chóncho ne ɛsogeka ne bɔɔ́ ágbóo nyɛ ntó.” 
ACT.27.11	Yɛ ɛ́le Pɔl ajɔɔ́ depɔ ti, muú kpaá bɔɔ́ bee afyɛ yɛɛ́ mekpo wɔ́, akwɔlé le mekoyi menjamé ne mbɔɔ́ ɛsogeka ájɔɔ́ge. 
ACT.27.12	Tɛ ndɛre nechyɛ ɛniné mbɔ nela nepɔ́ nechyɛ nelɔ́ nelɔ́ ɛniné bɔɔ́ ájwɔlege gébégé gefwene, gejamégé bɔɔ́ akɛ́lege nnó ɛsé dejyɛ mbɛ kpaá tɛ dekwɔnege nechyɛ ɛniné ákuú nnó Fonis né melɔ Kret. Fonis alu mbaá ayi ɛbɛɛ́ mega ɛkaré ufafa upea.
ACT.27.13	Ɛwyagé mbyo atané nteé ɛbɛɛ́ mega alɔ manchwɔ́ ne bɔɔ́ bi álú né ɛsogeka áfɛrége nnó ɛfwɔ́ ɛkwɔlé ɛbwɔ́. Ne ɛbwɔ́ áfɛré dáŋgmáa ɛ́soŋeka afyɛ́ mmu ɛsogeka. Ápyɛgembɔ, álɔ manjyɛ mapea Kret melɔ ɛwé nnyi ne nɔɔ́ ɛwú né mme. 
ACT.27.14	Ɛwyá yɛ wɔ́, mbyo nnyi atané achwɔɔ́ ɛsé mmyɛ né ɛgbɛ ɛbwɔnyɛ, mbaá ayi ŋmɛɛ́ ɛtanege né Kret. 
ACT.27.15	Mbyo nnyi yimbɔ achwɔ́ ado ɛsogeka ayi ánjamé álá kágé bwɔ́le mekpo ɛsogeka nnó ɛjyɛ mewaá. Ɛbwɔ́ akpɛ lyaá nnó mbyo akpa ɛ́wú. 
ACT.27.16	Ndɛre dejyɛ dekóo maá melɔ fɔ ayi nnyi nenɔɔ́ ji mme, melɔ ɛwémbɔ ákuú nnó Koda. Ne ndɛre dekoge maá melɔ yimbɔ unó bi úlú wyɛ ugbɛ mbyo nnyi nnó áchwɔ́gé ne ɛshyɛ. Ne ɛsé demyɛ deja ɛ́kpée ɛwé áshií né ula ɛsogeka defyɛ mmu. 
ACT.27.17	Ápyɛge mbɔ, ábané ɛkpée ne ɛsogeka áwɛ ne manyií nnó ɛkagé ɛkpée ɛgyale ne ɛsé debɔ́ ɛfɔ nnó ɛsogeka ɛshulege nyɛ ɛfɛ́ kwɔ́kwɔ́le ne Lybia ne ɛfáage nyɛ né manchwɛ́ usɔɔ́ ayi átánege né ɛbɛɛ́ mega. Ɛfɛɛ́ ne ɛbwɔ́ anyaá ndeé nnó mbyo akpɛ mmu ákpá ɛsogeka. 
ACT.27.18	Ndɛre mbyo nnyi alú kóoge ne ɛshyɛ, ne bií újyágé ɛbwɔ́ áférege matuú ayi álú mmu ɛsogeka áfómege nnyi nnó ɛwu ɛfuú. 
ACT.27.19	Bií bimbɔ ukoóge ne dóndo, bɔɔ́ bi ájáme ɛsogeka ákpa unó bi ápyɛ utɔɔ́ né ɛsogeka áfumé nnyi. 
ACT.27.20	Ne ɛsé déla wyɛ́mbɔ né gejamégé ndɔ yɛɛ́ ŋmɛɛ́, yɛɛ́ ambe degɛ wɔ́ ne mbyo nnyi akpane ɛ́soŋeka ɛjyɛ ɛgbɛ ɛwé ne ɛwé. Ndɛre mbyo nnyi apyɛmbɔ, manɛ magyále ɛsé ne défɛré nnó dechwɔ degbó.
ACT.27.21	Nkaáwú ne ɛfɔ ɛpyɛ́ bɔɔ́ álaá mesa né gejamégé ndɔ. Ɛwyagé Pɔl akwilé ka aké ne ɛbwɔ́, “Aŋmɛ́ ba, mbɔge ɛnyú debɔ́ dewú majyɛɛ́ ma ne ɛsé dela né Kret, mbɔ ɛkpée ne gejamégé unó uchɔ mbɔ wɔ́. 
ACT.27.22	Ne me nnɛne ɛnyú mmyɛ nnó dégbáré matɔɔ́. Yɛ muú ayi agbo nyɛ apɔ́ wyɛɛ́ ɛsogeka ɛwú ɛwú ne ɛ́nóme nyɛ. 
ACT.27.23	Njɔge mbɔ getúge Ɛsɔwɔ ayi abɔ me ne Ɛsɔwɔ yi me nnóge ne atɔ́me ɛkiɛ́nné wuú ne utuú ɛbi njuú. Ɛchwɔ́gé ɛtɛné me nekuné mmyɛ, 
ACT.27.24	ɛké ne me, ‘Pɔl ɔ́fɔgé fɔ́. Ɔtɛnege nyɛ mbɛ ushu mfwa Rom. Né ulɔɔ́ melu Ɛsɔwɔ, yɛ muú nyú ama ayi agboó nyɛ apɔ́.’ 
ACT.27.25	Ndɛre ɛkiɛ́nné ɛwémbɔ ɛchwɔ́ ne mekomejɔɔ́ yina, nkamé ne Ɛsɔwɔ. Ngarege ɛnyú nnó dégbáré matɔɔ́ dépɛ́lé, Ɛsɔwɔ apyɛ nkane ji ajɔɔ́. 
ACT.27.26	Pɔl ama jɔɔ́ aké, Mbyo ákpane nyɛ ɛsogeka ateé né gebage mewaá ɛyige nnyi nenɔɔ́ mme.”
ACT.27.27	Ne ndɔ ɛkwɔ́négé ɛfya ne ɛni, mbyo nnyi akpá ɛsogeka ɛchyá ɛbɛɛ́ mega. Ɛbɛɛ́ ɛwémbɔ ákuú nnó Adraya. Metɔɔ́ utúu ɛ́kwɔ́négé ánjamé ɛsogeka áfɛrége nnó ɛsé delú kwɔ́kwɔ́lé ne mapea mewaá. 
ACT.27.28	Ne ɛbwɔ́ ábɔ́ menyií áshií né genó gefɔ ɛyi genɔɔ́, áŋme mmu nnyi nnó ámɛɛ́ ndɛre nnyi négomé. Ámɛgé ágɛ́ nnó nelu usaá bɔ ratɔgé ukéné. Ɛwyagé ama mɛɛ́ ne ágɛ́ nnó nnyi néla nana usaá bɔ ratɔgé uní meso ɛfya. 
ACT.27.29	Ngarege ɛbwɔ́ áfɔ́ɔ nnó mbyo nnyi atɛne nyɛ ɛsogeka ɛfɛ́ ɛdo né mataá ayi alú mmu nnyi, ɛfɛɛ́ ne áféré bɔ dáŋgmáa ɛsogeka anií áŋmé né mmu nnyi nnó ɛsogeka ɛtɛné. Ápyɛge mbɔ, áshyáge nnó bií ujyá wáwá. 
ACT.27.30	Ɛlé ánjamé ɛsogeka ákɛ́lege mambó ájyɛ, ɛfɛɛ́ ne ápwyaá ɛ́kpée ashulé né nnyi ne áma aké, ɛbwɔ́ ájyɛ ŋma genó fɔ né mbɛ ɛsogeka. 
ACT.27.31	Pɔl akaá ne ajɔɔ́ ne bɔɔ́ bee ne muú kpaá bwɔ́ aké, “Mbɔgé ánjamé ɛsogeka átanégé, ɛbyɛnnó muú ayi ápóme nyɛ apɔ́.” 
ACT.27.32	Pɔl ajɔgé mbɔ, ɛfɛɛ́ ne bɔɔ́ bee ajyɛ sɔré manyií ayi áwɛlé ɛ́kpée wyɛ́. Ásɔ́régé manyií yimbɔ, álya ɛ́kpée nnó ɛjyɛ́.
ACT.27.33	Wyɛ ndɛre bií uchwɔ́ jyaá, Pɔl anɛ bɔɔ́ ako mmyɛ nnó ányɛ menyɛɛ́, ajɔgé aké, “Ndɔ ɛlɛ mbɔ ɛfya ne ɛnií fi ɛyi degile nnó mbyo nnyi yina abyɛ nyɛ, ne yɛ genó denyɛ́ wɔ́. 
ACT.27.34	Ne nnɛne ɛnyú mmyɛ nnó denyɛɛ́ ɛkɛ́ genó nnó débɔ́ ɛshyɛ, ɛkage degbó. Yɛ muú yi mekpo ɛmyɛ nyɛ ji apɔ́.” 
ACT.27.35	Ajɔgé mbɔ abɔ́ nto brɛd, atamé Ɛsɔwɔ, agya geba alɔ manyɛɛ́ né mbɛ ushú ɛbwɔ́ ako. 
ACT.27.36	Ne ɛbwɔ́ ako agbaré matɔɔ́, abɔ nto brɛd ányɛɛ́. 
ACT.27.37	Mpa bɔɔ́ ako abi álu mmu ɛ́kpée ɛwena, álú usaá ufya ne ulɛɛ́ meso nekuú ne ama (276). 
ACT.27.38	Yɛ́ndémuú anyɛ́ agbeé, ɛbwɔ́ ákpa menyɛɛ́ yi álaá né mmu ɛsogeka ágbɛ́ né nnyi nnó ɛsogeka ɛfuú.
ACT.27.39	Bií ujyágé, ɛbwɔ́ ákaá fɔ́ geba ɛyígé ɛbwɔ́ álú wɔ́ yɛ́mbɔ ágɛ́ nechyɛ né nnyi ɛni nelú gesɔ́ gesɔ́. Ɛfɛɛ́ ne ɛbwɔ́ amuamé mampyɛ ɛsogeka ɛjyɛ né mbále nechyɛ ɛniné mbɔ. 
ACT.27.40	Ne ɛbwɔ́ ásɔré manyií ayi abɔ́ áshií ne uno ɛbi áŋmaá ɛsogeka, ásɔré ntó manyií yi áwɛlé bɔ nsɔm abi áŋwɔ́lege mekpo ɛsogeka ákwe né nnyi, ama tɛ ndée ɛyi ɛlú mbɛ ɛ́kpée mfa. Mbyo nnyi akpage ɛse ɛfɛɛ́ né delɔ manjyɛ mapeá mewaá. 
ACT.27.41	Ndɛre ɛsogeka ɛjyɛ, ɛdo né nchwɛ́né usɔ́ ɛni nelú nteé nnyi ne mekpo ɛsogeka ɛjyɛ kpɛ né gesɔ́ ɛfɛɛ́ ne ɛsogeka ɛkwamé. Ndɛre ɛlu ɛfɛɛ́ mgbannyi adóo ɛsogeka ɛwémbɔ kpaá tɛ ɛgyalé.
ACT.27.42	Ne bɔɔ́ bee bimbɔ ákɛ́lege manwá bɔɔ́ denɔ ako nnó ɛkágé ɛbwɔ́ áwɔ́ akwɔ́ mewaá ne ábó. 
ACT.27.43	Yɛ́mbɔ muú kpaá bwɔ́ abɔ́ akɛlege nnó ɛkage átá Pɔl ne agbɛ́ ɛbwɔ́. Ne aké yɛ́ndémuú ayi akage wɔ́ nnyi, abɔ mbɛ awɔ́ áchya. 
ACT.27.44	Ne bɔɔ́ abi fɔ́ abi ála káge wɔ́ ágbaré uba ɛsogeka awɔ́ ákwɔ́lége ɛbwɔ́. Wyɛmbɔ ne yɛ́ndémuú ápyɛ́ɛ ne akwɔné mapea mewaá cháŋéné.
ACT.28.1	Ndɛre ɛsé dekwɔne melɔ ɛwe nnyi nenɔɔ́ ɛwu mme, ápyɛ ɛsé dekaá nnó akuú ɛwú Malta. 
ACT.28.2	Bɔɔ́ bi álú né mbále nnyi ágɛ́gé ɛsé, meshwɛ apyɛ ɛbwɔ́ ne ásɛ ɛsé cháŋéné. Ɛbwɔ́ áséné mewɛ nnó ɛsé déwyagé gétúgé manaá abɔ́ akwené ne gefwene gelú. 
ACT.28.3	Deweé ɛtiré mbɔ desɔɔ́gé deko, Pɔl anyweré mechyɛ́ deweé afyɛ́ mewɛ ne gelugé mewɛ gépyɛ gétɔ́ɔ getané né deweé ɛtiré mbɔ géchwɔ́ nɔ́ ji né ɛbwɔ génií wyɛ. 
ACT.28.4	Bɔɔ́ melɔ ɛwé ágɛ́gé nkane gétɔ́ɔ yimbɔ genií Pɔl né ɛbwɔ, álɔ maŋmené ne atɛ áké, “Mende yina negbo nekoó ji amɛ né ɛsogeka ne gabo wuú akámé nnó ji ábɛ́ mebɛ wɔ́.” 
ACT.28.5	Ne Pɔl anyigé ɛbwɔ wuú gétɔ́ɔ yimbɔ gétané gékwé mmu mewɛ ɛyi gelá pyɛɛ́ ji genó wɔ́. 
ACT.28.6	Bɔɔ́ bina apɛ́le nnó Pɔl amuále nyɛ, akwe mme agbó. Ɛbwɔ́ ágɛ́gé nnó yɛ genó ɛyi gepyɛ Pɔl gepɔ́, akwɔré mejɔɔ́ meno áké, “Mende yina alu mbɔ ɛlé meló.”
ACT.28.7	Mfwa Publos ayi ágbare melɔ ɛwé, awya dachi ne makɔɔ́ jií alú kwɔ́kwɔ́lé ne melɔ. Ágɛ́gé ɛsé asɛ ɛsé chánchá ne debɛlé ndɔ ɛlɛɛ́ né dachi wuú. 
ACT.28.8	Ndɛre delu ɛfɛɛ́, Pɔl awú nnó ntɛ Publos ameé gefwene ne ɛfɔgékó. Akwilé ajyɛ gɛ́ ji ne anɛre ji ɛbwɔ mmyɛ, anɛmmyɛ mbaá Ɛsɔwɔ ne mende yimbɔ átoó. 
ACT.28.9	Bɔɔ́ awúgé nnó Pɔl apyɛ mende yimbɔ atoó, bɔɔ́ mamée áchwɔ́ mbaá Pɔl ne apyɛ ɛbwɔ́ átoóge. 
ACT.28.10	Ne bɔɔ́ bimbɔ ánogé ɛsé dɔɔ́. Áchyɛ́ ɛsé gejamégé unó ne gébégé ɛsé déwúlege, ama chyɛ́ ɛsé unó ɛbí upóge ɛsé né nekɛ ɛniné mbɔ.
ACT.28.11	Ne amfaá alɛɛ́ ákoógé, ɛsé dejyɛ dekpɛ ɛsogeka ɛwé ɛtané melɔ́ Aleksandra ákuú ɛ́wú nnó 
ACT.28.12	Ne ɛsé dékwɔ́négé né nechyɛ né Sirakɔs ɛfɛɛ́ ne débɛlé wyɛ́ ndɔ ɛlɛɛ́. 
ACT.28.13	Délyágé ɛfɛɛ́, dekwɔné nechyɛ ne Rɛgum, débɛlé wyɛ́ ndɔ ama. Bií újyagé mbyo atané ɛsé meso nteé nnyi ne ɛ́ké ɛ́kwɔ́nege ndɔ ɛpea, dechwɔ́ né Putoli. 
ACT.28.14	Ɛfɛɛ́ ɛsé degɛ́ bɔɔ́ Jisɔs fɔ abi ánɛné ɛsé mmyɛ nnó débɛlé ne ɛbwɔ́ uwyaá uma. Ájɔ́gé mbɔ, ɛsé dekamé, debɛlé ne délé jyɛ né Rom. 
ACT.28.15	Ndɛre dejyɛ́, bɔɔ́ Jisɔs abi alú né Rom awúgé nnó dechwɔ́, áchwɔ́ɔ gí ɛsé. Débané abifɔ né ntoné gesegé Apius, débané ntó abifɔ né melu ɛwé aŋkɛɛ́ ábɛ́lege mmu áchyɛge manka. Gébégé Pɔl agɛné ɛbwɔ́ afɛɛ́ Ɛsɔwɔ ne metɔɔ́ wuú ntó ɛ́kwené. 
ACT.28.16	Ne ɛsé dékwɔ́négé né Rom, ályá Pɔl nnó ajyɛ́ bɛ́lé mbaá ayi ji akɛ́lege, áchyɛ muú bee nnó ábámé ji.
ACT.28.17	Ɛbɛ́légé ndɔ́ ɛ́lɛɛ́, Pɔl akuú ákpákpá bɔɔ́ Jus. Áchwɔgé aké ne ɛbwɔ́, “Áŋmɛ́ ba, nlu fá nkane muú denɔ; Ápyɛ me né Jɛrosalɛ áfyɛ né amú bɔɔ́ Rom ayi nlá mpyɛ́ mechɔ fɔ́ mebo wɔ́ ɛwé áwane me. 
ACT.28.18	Bɔɔ́ Rom ágígé me gejamégé bɔ nkwɛ́, ágɛ́ nnó nkwé fɔ́ ɛ́bɛ́ wɔ́ nkaáwú ne ábɔ́ ákɛ́lege manlyá me njyɛ́ gétúgé nlá mpyɛ́ mechɔ fɔ mebo ɛwé áwáne me wɔ́. 
ACT.28.19	Yɛ́mbɔ bɔɔ́ Jus áshya nnó aferege me, ɛfɛɛ́ ne njyɛɛ́ ne mpa wa nnó mfwa Rom ápá, yɛ́mbɔ ɛpɔ́fɔ́ nnó nchwɔ́ maáma bɔɔ́ ba mechɔ mmyɛ. 
ACT.28.20	Gɛ́ ula bi nkuú ɛnyú nnó ɛsé déjwɔ́lé déjɔɔ́ mechɔ́ ɛwé. Manyií ayi áwɛlé me na ɛlé gétúgé muú yi ɛsé bɔɔ́ Isrɛli dégile.”
ACT.28.21	Bɔɔ́ bimbɔ áshuú ji meko áké, “Ɛsé degɛ́ yɛ bɔ ŋwɛ́ abi átané Judiya, yɛ́ meko mebomebo ayi akpane getugé jyɛ ne gabo ayi ɔpyɛ wɔ́. 
ACT.28.22	Yɛ́mbɔ ɛsé dekɛlege manwú ɛta wyɛ́. Genó gema ɛyigé ɛsé dékaá gelu nnó yɛndé mbaá ayi bɔɔ́ ájwɔlégé, ájɔ́ge gabo gétúgé ɛchomele ɛwé wɔ ɔ́lú wyɛɛ́.”
ACT.28.23	Ájɔ́gé mbɔ, ákwyɛ́ bií ɛbi átúuge ne Pɔl. Bií bimbɔ úkwɔ́négé, gejamégé bɔɔ́ áchwɔ́ áchomé né gepúge Pɔl ne álɔ mangaré ɛbwɔ́ mekomejɔɔ́ Ɛsɔwɔ né dondo kpaá tɛ nkwale. Agarege ɛbwɔ́ nkane gefwage Ɛsɔwɔ gélu. Amuame mampyɛ ɛbwɔ́ nnó ákwɔré gepɔge bwɔ́ áfyɛ matɔɔ́ ne Jisɔs nkane ájɔge né ŋwɛ Mosis ne abi bɔɔ́ ɛkpávé Ɛsɔ́wɔ. 
ACT.28.24	Áwúgé mbɔ, abifɔ ákamé ne abifɔ ákamé fɔ́ mekomejɔɔ́ wuú wɔ́, 
ACT.28.25	ne álɔ manyɛ mbeé ɛbwɔ́ ɛbwɔ́. Gébégé ɛbwɔ́ áchwɔ jyɛ́, Pɔl ama jɔɔ́ meko yimbɔ aké, “Mendoó Ukpea ɛ́pyɛ gechánchá genó mangaré wáwálé mbaá ukwéne antɛ nyú ndɛre Asaya muú ɛkpávé Ɛsɔ́wɔ nnó asá nnó, 
ACT.28.26	‘Chó garé bɔɔ́ bimbɔ nnó dewúu nyɛ lé wú ne dekágé ula, depɛlé nyɛ́ lé pɛ́le ne dégɛ́né. 
ACT.28.27	Ɛ́lúmbɔ gétúgé bɔɔ́ bina áŋeá matɔɔ́ dɔɔ́. Ɛbwɔ́ ágbɛ́ ntó matu bwɔ́ ne áma mále amɛ. Ápyɛmbɔ nnó ɛbwɔ́ ágɛgé sé mbaá ne áwugé sé. Mbɔgé ɛbwɔ́ ákeregé meso ɛtá Ɛsɔ́wɔ, apyɛ nyɛ́ ɛbwɔ́ átoó.’” 
ACT.28.28	Ne Pɔl anere manjɔɔ́ aké, “Ɛnyú debɔ́ mankaá nnó abya melɔ́mélɔ́ yina alɛrege nkane Ɛsɔwɔ aferege bɔɔ́ né ɛfwyale gabo. Abya melɔ́mélɔ́ yina ajyɛ nana mbaá bɔɔ́ abi álá pɔ́ bɔɔ́ Jus ne áwú nyɛ́ ji.” 
ACT.28.29	[Pɔl ajɔ́gé mbɔ, bɔɔ́ Jus álɔ mantané dafyɛ́, mbeé akwé ɛbwɔ́ ɛbwɔ́.]
ACT.28.30	Né aŋmɛ́ ápea ayi Pɔl abɛlé né gepú ɛyigé ji achyɛge ŋka, asɛle yɛ́ndémuú ayi achwɔ́ gɛ́ ji. 
ACT.28.31	Pɔl álú wyɛ́ ɛ́fɛɛ́ agarege bɔɔ́ nkane gefwage Ɛsɔwɔ gélú ne alɛrege bɔɔ́ depɔ ɛtiré Ata Jisɔs Kras, ajɔge depɔ gbɔ́gɔ́nɔ́ ayi álá pɔ́ ne ɛfɔ metɔɔ́ ne yɛ muú ayi achyɛ́ ji ɛfwyale apɔ́.
ROM.1.1	Me Pɔl, maá defwɛ Jisɔs Kras, ne nsáme ŋwɛ yina. Ɛsɔwɔ ajya me nnó mbɛ ŋgbá Jisɔs ne achyɛɛ́ me utɔɔ́ nnó ngaregé abya melɔ́mélɔ́ wuú. 
ROM.1.2	Ɛlé abya melɔ́mélɔ́ yina ne Ɛsɔwɔ anyɛɛ́ nya meno tɛ gachií gébégé ji apyɛɛ́ bɔɔ́ ɛkpávé bií ásamé né mmu ŋwɛ wuú. 
ROM.1.3	Abya melɔ́mélɔ́ yina átome ne Maá wuú, ji alu mpyáne mfwa Dɛvid. Ábyɛ́ ji ndɛre mekwaá. 
ROM.1.4	Mendoó Ukpea alɛré ne utó nnó Ji alú Maá Ɛsɔwɔ gébégé apyɛɛ́ ji akwilé né negbo. Ji yimbɔ ɛlé Jisɔs Kras. 
ROM.1.5	Ne gétú ji, Ɛsɔwɔ alɛré me galɔ́gálɔ́, ne apyɛ nnó me mbɛ ŋgbá Kras ngaregé bɔɔ́ né malɔ mme mako nnó áfyɛɛ́gé metɔɔ́ ne ji ne áwúgé ne ji, 
ROM.1.6	chóncho ne ɛnyú abi Ɛsɔwɔ akuú nnó décho mmyɛ ne Jisɔs Kras. 
ROM.1.7	Getú ɛyigémbɔ ne nsáme ŋwɛ yina ɛta nyú ako abi délú né Rom, ɛnyú abi Ɛsɔwɔ ágboó ne ɛnyú dɔɔ́ ne akuú ɛnyú nnó débɛ bɔɔ́ bií. Nnɛnemmyɛ nnó Ntɛ sé Ɛsɔwɔ ne Ata Jisɔs Kras álɛ́régé ɛnyú galɔ́gálɔ́, ne ápyɛ ɛnyú débɛ né nesɔ.
ROM.1.8	Me mbɔɔ́ kpɛ mbɛ, ntame Ɛsɔwɔ wa gétúgé ɛnyú ako né genó ɛyigé Jisɔs Kras apyɛɛ́ ɛta sé, né gétúgé bɔɔ́ ágaré abya metɔɔ́ ɛwé ɛnyú défyɛɛ́ ne Ɛsɔwɔ. Abya yimbɔ akɛ akwɔné malɔ mme mako. 
