MAT.1.1	Inan binndi kollooji inɗe maamiraaɓe Iisaa Almasiihu, dimaaɗo ley lenyol Daawda, taan Ibrahiima:
ROM.6.17	Ammaa jettooje ngoodanii Laamɗo! Arande wo on maccuɓe hakke, de joonin on laatake jokkirɓe laawol ngol njannginaɗon ngool e ɓerɗe laaɓuɗe. 
ROM.6.18	On ndimɗinaama e hakke, on laatake maccuɓe fonnditaare. 
ROM.6.19	Miɗo haalda ɗo no yimɓe paamirta ni saabe lokkaaku mooɗon. Arande oɗon ngattunoo terɗe mon ley hawju tuundi e bonanda faa ko boni ɓeydoo. Joonin kaa, ngaɗiron ɗe noon ley hawju fonnditaare faa ngollon ko senii.
ROM.6.20	Nde ngonnoɗon ley maccungaaku hakke ndeen, on laataakino gollooɓe ɗowtaniiɓe fonnditaare. 
ROM.6.21	Nafaa oye keɓuɗon e majjum wakkati oon? Fay huunde, si wanaa ko cemtirton hannden ɗuum, sabo cakitte majjum wo maayde. 
ROM.6.22	Ammaa joonin, on ndimɗinaama e maccungaaku hakke, on laatake maccuɓe Laamɗo. Nafaa mo keɓuɗon wo joonnde seniinde, de cakitte majjum du wo nguurndam nduumiiɗam. 
ROM.6.23	Sabo njobdi hakke wo maayde, ammaa dokkal Laamɗo wo nguurndam nduumiiɗam e ley kawtal Iisaa Almasiihu Joomiraaɗo meeɗen.
ROM.7.1	Sakiraaɓe, miɗo haalana on onon annduɓe Tawreeta Muusaa. Oɗon anndi jamirooje Tawreeta na ndawrana neɗɗo haddi nguurndam muuɗum tan. 
ROM.7.2	Hono nii debbo ɓaŋaaɗo du, jamirooje kaɓɓiri ɗum e gorum oon si gorum oon ina wuuri. Ammaa si gorum oon maayii fu, o haɓɓitaama e jamirooje kaɓɓunooɗe mo ɗeen. 
ROM.7.3	Si goɗɗo ɓaŋii mo e ley nguurndam goriiko oon, wi'ete wo o jeenoowo. Ammaa si goriiko oon maayii, jamirooje ɗeen njoppan mo, o wi'ataake jeenoowo si o ɓaŋundurii e gorko goɗɗo. 
ROM.7.4	Sakiraaɓe am, onon du, fodde Tawreeta Muusaa, on laatake maayɓe. On ƴuwii e ley muuɗum saabe ɓanndu Almasiihu tontanaandu on nduun faa njeyaɗon e muuɗum. Kam woni mo Laamɗo iirtini e hakkunde maayɓe oon faa ngollen ko welata Laamɗo. 
ROM.7.5	Wakkati nde ngonnoɗen ley hawju muuyɗe terɗe ndeen, muuyɗe meeɗen bonɗe ɗe Tawreeta ummini ɗeen ina ngolla e ɓalli men faa njaara en to maayde. 
ROM.7.6	Ammaa joonin, en ndimɗinaama e Tawreeta. Fodde Tawreeta kaɓɓunooɗo en oon, en laatake maayɓe, faa mbaawen gollande Laamɗo dow laawol kesol ngol Ruuhu muuɗum hawjii, wanaa dow laawol kiinngol ngol binndi njamirnoo.
ROM.7.7	Ndelle, ɗume mbi'eten? Tawreeta Muusaa oon wo hakke naa? Wanaa koy! Ammaa, si Tawreeta walaa fu, mi anndaano ko woni hakke. Sabo mi anndaano ko woni muuyude ko jeyaa si Tawreeta wi'aayno: «Taa muuyu ko a jeyaa!» 
ROM.7.8	Ammaa hakke adii ko jamirooje kaɗi ɗuum, de waɗi e am siyiiji muuyɗe terɗe fuu. Sabo si Tawreeta walaano fu, hakke wo huunde waatunde. 
ROM.7.9	Miin e hoore am, nde mi anndaano Tawreeta arande ndeen, miɗo wuurnoo, ammaa ko kaɗaaɗi ɗiin ngari ɗuum, hakkeeji laatii buurɗi, 
ROM.7.10	de miin du, maayumi. Jamirooje kaanunooɗe waɗande kam nguurndam ɗeen, laatii jaarooje kam to maayde. 
ROM.7.11	Sabo hakke adii kaɗaaɗi ɗiin, de hiili kam, wardi kam ɗi. 
ROM.7.12	Ndelle, Tawreeta Muusaa wo ceniiɗo, jamirooje ɗeen du wo ceniiɗe, wo ponnditiiɗe, wo moƴƴuɗe.
ROM.7.13	Ndelle, yalla ko wooɗi waddanii kam maayde naa? Ɗum waawaa laataade! Wo hakke waɗi ɗum. Hono nii hakke annditirtee wo hakke jaati, sabo o nawtorake ko wooɗi faa rimana kam maayde. Ndelle, jamirooje ɗeen kolli hakke oon wo huunde bonnde faa faltii haddi.
ROM.7.14	Eɗen anndi Tawreeta Muusaa oon to Ruuhu Ceniiɗo ƴuuri. De miin kaa, mi adunanke tan mo hakke dawrani. 
ROM.7.15	Sabo mi faamaay ko ngaɗammi ɗuum: ko njiɗumi waɗude ɗuum, mi waɗataa ɗum, de ko mbanyumi ɗuum, wo ɗuum ngaɗammi. 
ROM.7.16	Si miɗo waɗa ko mi yiɗaa waɗude ɗuum, ina holla mi jaɓii jamirooje Tawreeta ɗeen ina mbooɗi. 
ROM.7.17	Ndelle, wanaa miin waɗirta noon, wo hakke gonɗo ley am. 
ROM.7.18	Miɗo anndi e ley am, ɗum woni e ley ɓanndu am, ko wooɗi walaa e muuɗum. Yiɗude waɗude ko wooɗi ina woni e am, de mi waawaa waɗude ɗum. 
ROM.7.19	Mi waɗataa ko wooɗi ko njiɗumi ɗuum, wo ko boni ko mi yiɗaa ɗuum ngaɗammi. 
ROM.7.20	Ammaa si mi waɗii ko mi yiɗaa, wanaa miin gollirta noon, wo hakke gonɗo ley am oon. 
ROM.7.21	Ko taykiimi dey: wakkati fuu miɗo yiɗi waɗude ko wooɗi, de ko boni ina woni e am, ina haɗa kam. 
ROM.7.22	E ley ɓernde am miɗo seyoroo Jamirooje Laamɗo ɗeen. 
ROM.7.23	Ammaa miɗo maata al'aada bonɗo e ley ɓanndu am, ina haɓa e laawol ngol hakkillo am wi'i na wooɗi ngool. Al'aada bonɗo oon ina waɗa kam maccuɗo hakke gonɗo ley ɓanndu am oon. 
ROM.7.24	Kay, miɗo yurminii! Moy waawi dannude kam e ɓanndu yaarooru kam to maayde ndu? 
ROM.7.25	Jettooje ngoodanii Laamɗo saabe Joomiraaɗo meeɗen Iisaa Almasiihu!
ROM.7.25	Ndelle miin, e ley hakkillo am wo mi maccuɗo jamirooje Laamɗo, ammaa e ɓanndu am wo mi maccuɗo laawol hakke.
ROM.8.1	Joonin kaa, jukkungo fuu walaa e hawtuɓe e Iisaa Almasiihu ɓeen, 
ROM.8.2	sabo baawɗe Ruuhu kokkooje en nguurndam saabe Iisaa Almasiihu ɗeen ndimɗinii en e baawɗe hakke e maayde fuu. 
ROM.8.3	Ko Tawreeta Muusaa waawaayno waɗude saabe lokkaaku ɓalli men, wo ɗuum Laamɗo waɗi. O nuli Ɓiyiiko e ley tagaadi nanndundi e ɓiɓɓe-Aadama jom'en hakkeeji ɓeen faa itta hakke. E ley tagaadi ndiin o jukkii hakke golloowo e ley ɓalli men. 
ROM.8.4	Ɗum fuu wo faa laaɓal ngal Tawreeta yamiri ngaal hiɓɓa e dow meeɗen, enen jokkuɓe Ruuhu ɓe nganaa jokkuɓe muuyɗe terɗe ɓeen. 
ROM.8.5	Jokkuɓe muuyɗe terɗe ɓeen, muuyɗe terɗe na ndawrana hakkillooji muɓɓen. De jokkuɓe Ruuhu ɓeen, wo Ruuhu dawranta hakkillooji muɓɓen. 
ROM.8.6	Hakkillo jokkoowo muuyɗe terɗe muuɗum, na waddana joomum maayde. Hakkillo jokkoowo ko Ruuhu jeyi du, na waddana joomum nguurndam e jam. 
ROM.8.7	Sabo hakkillo jokkoowo muuyɗe terɗe muuɗum tan ina wanyi Laamɗo. Joomum ɗowtantaako Jamirooje Laamɗo ɗeen. Si goonga du, waawaa. 
ROM.8.8	Jokkuɓe muuyɗe terɗe ɓeen mbaawaa welude Laamɗo.
ROM.8.9	De onon le, on njokkataa muuyɗe terɗe, ammaa oɗon njokka Ruuhu, si goonga fu Ruuhu Laamɗo ina woni ley ɓerɗe mooɗon. Neɗɗo fuu mo walaa Ruuhu Almasiihu oon, waldaa e Almasiihu. 
ROM.8.10	Kaa si Almasiihu ina woni e mooɗon, fay si taweede ɓalli mon wo maayɗi saabe hakke, yonkiiji mon kaa wo buurɗi saabe on ndaardaama on fonnditiiɓe. 
ROM.8.11	Si Ruuhu Laamɗo ina woni ley ɓerɗe mooɗon, Laamɗo buurtinɗo Iisaa Almasiihu e hakkunde maayɓe oon, hokkan ɓalli mon maayooji ɗiin nguurndam, hokkiran ɗum Ruuhu muuɗum gonɗo ley ɓerɗe mon oon.
ROM.8.12	Ndelle, sakiraaɓe, won ko tilsani en, de ɗum wanaa jokkude muuyɗe terɗe. 
ROM.8.13	Sabo si on mbuurdii oɗon njokka muuyɗe terɗe, on maayan. Ammaa si on mbardii muuyɗe ɗeen Ruuhu Laamɗo fu, on mbuuran. 
ROM.8.14	Ɓe Ruuhu Laamɗo ɗowata fuu wo ɓiɓɓe Laamɗo. 
ROM.8.15	Laamɗo hokkaay on Ruuhu gaɗoowo on maccuɓe faa ngarton e kulol. O hokkii on Ruuhu gaɗoowo on ɓiɓɓe Laamɗo. Kam waɗata faa noddiren Laamɗo «Abba». 
ROM.8.16	Ruuhu oon e hoore muuɗum na hawta e ɓerɗe meeɗen faa laamna en wo en ɓiɓɓe Laamɗo. 
ROM.8.17	Si en ɓiɓɓe, wo en ronooɓe du. En ndonan ko Laamɗo aadinoo ɗuum, en ndondan e Almasiihu du. Sabo sini en njardi torra e makko fu, en keɓidan e makko teddeengal du.
ROM.8.18	Mi hiisake torraaji wakkati joonin mbaawaa fonndeede e teddeengal ngal Laamɗo ɓanginanta en. 
ROM.8.19	Si goonga, tagoore fuu ina heppi nyannde nde Laamɗo ɓanginta ɓiɓɓe muuɗum ndeen. 
ROM.8.20	Sabo tagoore ndeen ina faddee hiɓɓinde ko nde jeyi gollude. Wanaa e muuyɗe mayre ɗum waɗaa, wo Laamɗo muuynoo ɗum. Ammaa jikke ina heddii, 
ROM.8.21	sabo tagoore ndeen rimɗinte e maccungaaku nyolngu, yaaree e ley ndimaaku e teddeengal ngal ɓiɓɓe Laamɗo ndesanaa. 
ROM.8.22	Sabo eɗen anndi, faa joonin tagoore ndeen fuu ina uuma ina tampi e naawalla ŋatawere. 
ROM.8.23	Wanaa ko tagaa tan uumata, enen heɓirɓe Ruuhu Laamɗo oon hono dokkal Laamɗo artiingal, enen du eɗen uuma. Eɗen keppi Laamɗo waɗaay en ɓiɓɓe muuɗum, de rimɗina ɓalli men. 
ROM.8.24	En kisinaama, de wo ley jikke dow ko warata tafon. De jikke keɓaaɗo selii laataade jikke, sabo neɗɗo yowataa jikke e dow ko heɓi. 
ROM.8.25	Ammaa si eɗen njowi jikke e dow ko en keɓaay tafon, en ndoomiran ɗum munyal.
ROM.8.26	Katin du, Ruuhu waran na walla en e lokkaaku men. Sabo si goonga, en anndaa no kaanɗen waɗirde du'aare ni. Ammaa Ruuhu oon e hoore muuɗum nyaaganto en Laamɗo, nyaagoranoo en uumaali ɓurɗi haalaaji luggude. 
ROM.8.27	Laamɗo kumpitiiɗo ko woni ley ɓerɗe men oon du ina anndi anniya Ruuhu, sabo wo e muuyɗe makko Ruuhu oon nyaagirantoo seniiɓe ɓeen.
ROM.8.28	Eɗen anndi Laamɗo ina gollira huunde fuu faa laatanoo yiɗuɓe ɗum ko wooɗi, ɓe o noddi fodde anniya makko. 
ROM.8.29	Sabo ɓe Laamɗo anndi gilla tagaaka ɓeen, o fodanake ɗum'en nanndude e Ɓiyiiko oon, faa Ɓiɗɗo oon laatoo afo ardiiɗo dow sakiraaɓe heewɓe. 
ROM.8.30	Katin du ɓe o fodanii ɓeen, o noddii ɗum'en, ɓe o noddi ɓeen, o tiigorake ɗum'en fonnditiiɓe, ɓe o tiigorii fonnditiiɓe ɓeen du, o hokkii ɗum'en ngeɗu muɓɓen e teddeengal makko.
ROM.8.31	Caggal ɗuum fuu, ɗume mbi'eten? Si Laamɗo ina wondi e meeɗen, moy waawani en? 
ROM.8.32	Kanko, fay Ɓiyiiko oon e hoore muuɗum o haɗaay en, o hokkitirii ɗum saabe meeɗen en fuu. Si noon woni moƴƴere makko, wanaa o hokkidan en e muuɗum huunde fuu naa? 
ROM.8.33	Moy yaarata ɓe Laamɗo suɓii ɓeen sariya? Fay gooto, sabo Laamɗo tiigorake ɓe fonnditiiɓe! 
ROM.8.34	Moy waawi felude ɓe yeeso sariya? Fay gooto, sabo Iisaa Almasiihu maayii, ko ɓuri ɗum du, o iirtake. Imo jooɗii gere nyaamo Laamɗo, imo nyaaganoo en. 
ROM.8.35	Ɗume waawi senndude en e njinngu Almasiihu? Tiiɗallaaji naa, ɓillaare naa, torra naa, yolbere naa, kolndam naa, masiiba naa, maa kaafaahi naa? 
ROM.8.36	Wo hono no Binndi ɗiin mbiiri:
ROM.8.36	«Saabe maaɗa miɗen nesa maayde
ROM.8.36	nyannde fuu,
ROM.8.36	miɗen ndaardee hono baali kirseteeɗi ni.»
ROM.8.37	Ammaa e ley majjum fuu, saabe jiɗɗo en oon, eɗen ɓuri fay jaalotooɓe. 
ROM.8.38	Sabo miɗo tannyori, wanaa maayde, wanaa nguurndam, wanaa maleyka'en, wanaa laamu, wanaa ko wari joonin, wanaa ko waroyta, wanaa semmbe, 
ROM.8.39	wanaa ko woni faa dow, wanaa ko woni faa ley, huunde fuu ko tagaa waawaa senndude en e njinngu ngu Laamɗo waɗani en ley kawtal meeɗen e Joomiraaɗo men Iisaa Almasiihu.
ROM.9.1	Wo goonga kaalammi miin kawtuɗo e Almasiihu, mi fenataa. Ɓernde am nde Ruuhu Ceniiɗo ɗowata ndeen, ina seedanoo kam miɗo haala goonga. 
ROM.9.2	Ɓernde am ina woodi mettorgal cattungal, nde selataa naawude 
ROM.9.3	saabe Alhuudiyankooɓe ɓeen. Mi jaɓanno laataade kuɗaaɗo mi seeda e Almasiihu miin e hoore am si ina nafannoo sakiraaɓe am ɓe kawtumi ƴuwdi ɓeen. 
ROM.9.4	Ɓeen ngoni Israa'iila'en. Laamɗo waɗi ɓe ɓiɓɓe muuɗum, holli ɓe teddeengal muuɗum. Kamɓe njeyi aadiiji ɗiin e Tawreeta Muusaa oon. Wo kamɓe Laamɗo anndini no ɓe ndewirta ɗum, kamɓe Laamɗo waɗani amaanaaji muuɗum. 
ROM.9.5	Kamɓe ƴuuri e maamiraaɓe Israa'iila arandeeɓe ɓeen. Almasiihu du, neɗɗaaku muuɗum ƴuuri e lenyol ngool. Jettooje ngoodanii Laamɗo tiimuɗo huunde fuu faa abada! Aamiina.
ROM.9.6	Ɗum fuu wanaa wi'ude konngol Laamɗo ngool hunngake laataade. Sabo wanaa ƴuuruɓe e Israa'iila ɓeen fuu ngoni Israa'iilankooɓe, 
ROM.9.7	wanaa ƴuuruɓe e Ibrahiima ɓeen fuu ngoni ɓiɓɓe muuɗum jaati. Sabo Laamɗo wi'ii Ibrahiima: «Wo faro Isiyaaka ƴuwdi maa hiisortee.»
ROM.9.8	Inan ko ɗum yiɗi wi'ude: wanaa ɓiɓɓe Ibrahiima rimiraaɓe no yimɓe fuu ndimirtee nii ngoni ɓiɓɓe Laamɗo, ammaa wo rimiraaɓe saabe amaana ɓeen tiigoraa wo ƴuwdi makko. 
ROM.9.9	Sabo Laamɗo waɗii amaana e haalaaji ɗiin, wi'i, «Mi wartan e hono wakkati o mawuuri, de Saaratu heɓan ɓiɗɗo gorko.»
ROM.9.10	Wanaa ɗum tan. Ndaaren no Rebeka hooƴiri reedu ɓiɓɓe ɗiɗo du. Baaba maɓɓe wo gooto, Isiyaaka, maami en oon. 
ROM.9.11+ROM.9.12	Gilla ɓiɓɓe ɓeen ndimaaka sakko ɓe ngaɗa ko wooɗi naa ko boni, ndeen Laamɗo wi'i Rebeka: «Mawniiwo oon laatoto maccuɗo minyiiwo oon.»
ROM.9.13	Wo noon Binndi ɗiin mbiiri: «Yaakuuba korsinmi, de Isuwa mbanyumi.»
ROM.9.14	Ndelle, ɗume mbi'eten? Laamɗo wo oonyiiɗo naa? Kayto! Fay seeɗa! 
ROM.9.15	Inan ko o wi'i Muusaa:
ROM.9.15	«Mi hinnoto mo muuyumi hinnaade,
ROM.9.15	mi yurmoto mo muuyumi yurmaade.»
ROM.9.16	Ndelle, suɓagol makko yowaaki e muuyɗe neɗɗo naa e tinnaare muuɗum, ammaa wo dow Laamɗo jurmotooɗo oon ngol yowii. 
ROM.9.17	Sabo e ley Binndi ɗiin, Laamɗo wi'ii Fira'awna: «Ko ngaɗirmaami kaananke dey, faa mi hollira baawɗe am e maaɗa, katin du faa innde am gooynee e adunaaru ndu fuu.»
ROM.9.18	Ndelle, Laamɗo yurmoto mo muuyi, yoornan ɓernde mo muuyi.
ROM.9.19	Ndelle on ƴaman kam: «Si wo noon worri fu, ɗume Laamɗo felirta yimɓe? Moy waawi salaade muuyɗe makko ɗeen?» 
ROM.9.20	Aan ɓii-Aadama oon, wo a moy faa njeddaa Laamɗo? Yalla loonde mahaande ina ƴama mahuɗo ɗum oon: «Ko waɗi de mahirɗaa kam ni?»? 
ROM.9.21	Mahoowo looɗe ina waawi waɗude e loope ɗeen ko yiɗi fuu: e loopal gootal o maha loonde gollirteende ko teddi, o maha wonnde du gollirteende ko heɓaa fuu. 
ROM.9.22	Wooɗi, fay si taweede Laamɗo muuyi ɓanginde tikkere muuɗum e baawɗe muuɗum, o munyanii ɓe o tikkani ɓeen munyal cattungal, ɗum woni haanduɓe e halkude ɓeen. 
ROM.9.23	O waɗirii noon du faa o ɓangina keewal darja makko dow ɓe o yurmotoo ɓeen, ɓe o segilanii gilla ko ɓooyi faa ngonda e darja makko. 
ROM.9.24	Ɗum woni enen ɓe o noddi ɓeen. De wanaa e ley Alhuudiyankooɓe tan, wo e ley lenyi goɗɗi ɗiin du. 
ROM.9.25	Ɗum woni ko Laamɗo wi'i e annabi Hoseya:
ROM.9.25	«Yimɓe ɓe nganaa yimɓe am,
ROM.9.25	mi noddiran ɓe yimɓe am,
ROM.9.25	yimɓe ɓe korsinaaka ɓeen,
ROM.9.25	mi noddiran ɓe yimɓe am horsuɓe.
ROM.9.26	Katin du, nokku ɗo ɓe mbi'etee ɓe nganaa yimɓe am,
ROM.9.26	ɗoon ɓe inndiroytee ɓiɓɓe Laamɗo buurɗo.»
ROM.9.27	Annabi Esaaya du haalii haala Israa'iilankooɓe, wi'i: «Fay si ɓiɓɓe Israa'iila keewiri no njaareendi maayo ni, seeɗa maɓɓe tan hisintee, 
ROM.9.28	sabo Joomiraaɗo tabintinan konngol muuɗum dow adunaaru, hiɓɓinan ngol fuu law.»
ROM.9.29	Katin du wo nii Esaaya wiirunoo gilla arande:
ROM.9.29	«Sini Joomiraaɗo jom baawɗe fuu oon accidaayno en ƴuwdi,
ROM.9.29	tawanno en laatake hono wuro Sodoma ni, en nanndii e wuro Gomoora.»
ROM.9.30	Ndelle, ɗume mbi'eten? Inan ko mbi'eten: yimɓe ɓe nganaa Alhuudiyankooɓe ɓe pilaakino fonnditaare ɓeen, ɓe keɓii fonnditaare, ɗum woni fonnditaare saabe goonɗinal. 
ROM.9.31	Ammaa Israa'iilankooɓe pilorake fonnditaare e jokkugol Tawreeta, de ɓe keɓaay fonnditaare ndeen. 
ROM.9.32	Ko waɗi? Sabo ɓe piloraaki ɗum goonɗinal, wo e golle maɓɓe ɓe pilorii ɗum. Ndelle ɓe pergake e «hayre fergoore ndeen» 
ROM.9.33	hono no Binndi ɗiin mbiiri ni:
ROM.9.33	«Inan, mi joƴƴinan e Siyona hayre nde yimɓe pergotoo e muuɗum,
ROM.9.33	tefaare liɓoore ɗum'en.
ROM.9.33	De goonɗinɗo nde fuu semtintaake.»
ROM.10.1	Sakiraaɓe, ko muuyumi ley ɓernde am e ko nyaagotoomi Laamɗo wo Israa'iilankooɓe kisinee. 
ROM.10.2	Miɗo seedanoo ɓe ɓe njinnganii Laamɗo sanne, de jinngi ɗiin ngaldaa e paamal. 
ROM.10.3	Ɓe paamaay fonnditaare nde Laamɗo hokkata ndeen, faa ɓe pilanii ko'e maɓɓe dabare laataade fonnditiiɓe. Ɗuum waɗi de ɓe ɗowtanaaki laawol ngol Laamɗo ndaardata neɗɗo wo ponnditiiɗo ngool. 
ROM.10.4	Sabo Almasiihu woni timmoode jamirooje Tawreeta faa goonɗinɗo ɗum fuu ndaardee ponnditiiɗo.
ROM.10.5	Inan ko Muusaa winndi dow fonnditaare ƴuurunde e Tawreeta ndeen: «Neɗɗo gaɗoowo jamirooje Tawreeta, kam wuurdata saabe majje.»
ROM.10.6	Ammaa inan ko haala Laamɗo wi'i dow fonnditaare ƴuurunde e goonɗinal ndeen: taa wi'u e ɓernde maa «Moy ƴeeŋata dow kammu?» Ɗum woni faa jippina Almasiihu, 
ROM.10.7	naa «Moy yahata laakara?» Ɗum woni faa ummintina Almasiihu e hakkunde maayɓe. 
ROM.10.8	Ndelle, ɗume Binndi ɗiin mbi'i? «Konngol Laamɗo ina ɓadii ma, ingol woni e hunnduko maa, ingol woni e ɓernde maa.»
ROM.10.9	Si a wi'ii e hunnduko maa Iisaa wo Joomiraaɗo, de a goonɗinii e ɓernde maa Laamɗo iirtinii mo e maayde fu, a hisinte. 
ROM.10.10	Sabo wo e ɓernde neɗɗo goonɗinta, de Laamɗo ndaardan ɗum ponnditiiɗo. Wo e hunnduko neɗɗo haaldata ko goonɗini, de Laamɗo hisina ɗum. 
ROM.10.11	Wo hono Binndi ɗiin mbiiri: «Goonɗinɗo mo fuu semtintaake.» 
ROM.10.12	Joonin, walaa ko senndi Alhuudiyanke e mo wanaa Alhuudiyanke. Ɓe fuu Joomii ɓe wo gooto, kam woni kebbinoowo moƴƴereeji muuɗum e noddooɓe ɗum ɓeen fuu. 
ROM.10.13	Sabo «neɗɗo fuu nodduɗo innde Joomiraaɗo, hisinte.»
ROM.10.14	Ammaa noy ɓe keɓirta noddude mo si ɓe ngoonɗinaay mo? Noy ɓe ngoonɗinirta mo si ɓe nanaay kabaaru makko? Noy ɓe nanirta kabaaru makko si baajotooɗo walaa? 
ROM.10.15	Noy yimɓe mbaajortoo du si nulaaka? Binndi ɗiin mbi'ii: «Ndaar, koyɗe jottinooje Kabaaru Lobbo na mbelna ɓernde koy!»
ROM.10.16	De wanaa yimɓe fuu njaɓani Kabaaru Lobbo oon. Annabi Esaaya wi'ii: «Joomiraaɗo, moy goonɗini waaju amin?»
ROM.10.17	Ndelle goonɗinal ina ƴuura e nanude waaju, waaju du ina ƴuura e konngol Almasiihu.
ROM.10.18	De miɗo ƴama yalla Israa'iilankooɓe nanaay naa? Ɓe nanii koy! Aayaare wi'ii:
ROM.10.18	«Daaɗe maɓɓe nanaama e adunaaru fuu,
ROM.10.18	konngi maɓɓe njottake faa hoore leydi.»
ROM.10.19	Miɗo ƴama katin: Israa'iilankooɓe paamaay naa? Gilla arande Muusaa winndii ko Laamɗo wi'i:
ROM.10.19	«Mi waɗan faa kiron yimɓe ɓe nganaa ƴuwdi goongaari,
ROM.10.19	mi waɗan faa tikkanon ƴuwdi ndi walaa hakkillo.»
ROM.10.20	Ndeen kaa, annabi Esaaya hulaay wi'ude caggal ɗuum:
ROM.10.20	«Yimɓe ɓe pilaakino kam ɓeen njiitii kam,
ROM.10.20	yimɓe ɓe ƴamanaay kam ɓeen du,
ROM.10.20	mi ɓanganii ɗum'en hoore am.»
ROM.10.21	Ammaa to Israa'iila, Laamɗo wi'ii:
ROM.10.21	«Fajiri faa futuro miɗo filoo jaɓɓaade yimɓe saliiɓe, sattuɓe.»
ROM.11.1	Ndelle, miɗo ƴama yalla Laamɗo yoppii yimɓe muuɗum Israa'iilankooɓe ɓeen naa? O yoppaay! Sabo miin e hoore am wo mi Israa'iilanke, wo mi ƴuwdi Ibrahiima, wo e lenyol Benyamin njeyaami. 
ROM.11.2	Laamɗo yoppaay yimɓe muuɗum ɓe suɓinoo gilla arande ɓeen. Yalla on anndaa ko Binndi ɗiin mbi'i nde annabi Iliyaasa woyanannoo Israa'iilankooɓe ɓeen to Laamɗo naa? O wi'ii: 
ROM.11.3	«Joomiraaɗo, ɓe mbarii annabaaɓe maa, ɓe kalkii kirsirɗe maa sadaka. Miin tan heddii, de iɓe ndaara no ɓe mbarda kam.» 
ROM.11.4	Ammaa ɗume Laamɗo jaabii mo? O wi'ii: «Mi resanii hoore am worɓe ujunaaje njeɗɗo ɓe cujidanaay tooru wi'eteendu Ba'al.» 
ROM.11.5	Hono noon, hakkunde yimɓe hannden ɓeen, ina woodi yimɓe seeɗa ɓe Laamɗo suɓorii saabe hinney muuɗum. 
ROM.11.6	De si o suɓorake ɓe hinney fu, en anndan o suɓoraaki ɓe saabe golle maɓɓe. Si wo saabe golle maɓɓe fu, hinney Laamɗo oon heddataako laataade hinney katin.
ROM.11.7	Ndelle, ɗume laatii? Ko laatii dey, Israa'iilankooɓe ɓeen keɓaay ko pilotonoo ɗuum, wo ɓe Laamɗo suɓii ɓeen ni keɓi ɗum. Heddiiɓe ɓeen, ɓerɗe muɓɓen njoornaa 
ROM.11.8	hono no winndiraa ni:
ROM.11.8	«Laamɗo uddii hakkillooji maɓɓe,
ROM.11.8	wumnii gite maɓɓe, faaɗinii noppi maɓɓe.
ROM.11.8	Faa hannden noon worri.»
ROM.11.9	Daawda du wi'ii:
ROM.11.9	«Wo rewugol maɓɓe bonngol ngool laatanoo ɓe tuugol
ROM.11.9	laatanoo ɓe fergere faa ɓe njukkee.
ROM.11.10	Wo gite maɓɓe niɓɓinee taa ɓe nji'a,
ROM.11.10	wo ɓaawe maɓɓe turee faa abada!»
ROM.11.11	Ndelle, miɗo ƴama: ko Alhuudiyankooɓe ɓeen pergii ɗuum, yalla wo faa ɓe caama faa abada naa? Wanaa koy! De wo saabe lutti maɓɓe ɗiin, yimɓe ɓe nganaa Alhuudiyankooɓe ɓeen keɓiri kisindam, faa Alhuudiyankooɓe ɓeen kira. 
ROM.11.12	Si lutti maɓɓe ɗiin laatanake yimɓe adunaaru barke, si mursey maɓɓe du laatanake ɓe nganaa Alhuudiyankooɓe ɓeen barke, barke oon ɓuran ɗum manngu sanne si Alhuudiyankooɓe ɓeen fuu tuubii.
ROM.11.13	Joonin, wo onon yimɓe ɓe nganaa Alhuudiyankooɓe ɓeen kaaldammi: ko laatiimi nulaaɗo e mooɗon ɗuum, miɗo mantoroo gollal ngal kokkaami ngaal 
ROM.11.14	de na hasii mi heɓan waddude kiram e ley lenyol am, faa mi hisina woɓɓe maɓɓe. 
ROM.11.15	Sabo si woɗɗineede Alhuudiyankooɓe waɗi de yimɓe adunaaru ndewrintinaa e Laamɗo fu, ɗume laatoytoo si ɓe njaɓɓowaama? Ɗum laatorto hono wo ɓe yaltuɓe e maayde!
ROM.11.16	Si tamre arandeere sakkaama Laamɗo, tame keddiiɗe ɗeen du cakkaama. Si ɗaɗi lekki cakkaama Laamɗo, licce ɗeen du cakkaama. 
ROM.11.17	Joonin le, Israa'iilankooɓe ina nga'i hono no lekki jaytun ki licce muuɗum goɗɗe caltaa. Aan mo wanaa Alhuudiyanke nannduɗo e liccal jaytun laddeehi, a waddaama, a dobaama e jaytun kiin. Nii keɓirɗaa ngeɗu e ko ƴuurata e ɗaɗi jaytun kiin. Aɗa heɓa barke lekki kiin, aɗa mawnida e licce goɗɗe ɗeen. 
ROM.11.18	Saabe majjum, taa mantoɗaa yeeso licce caltaaɗe ɗeen. De si aɗa mantoo fu, miccoɗaa wanaa aan wuurni ɗaɗi ɗiin, wo ɗaɗi ɗiin mbuurni ma. 
ROM.11.19	Ina wooɗi tawee aɗa wi'a: «Ko waɗi de licce ɗeen caltaa dey, wo faa miin mi naata, mi dobee ɗo.» 
ROM.11.20	Goonga! Ammaa ko ɗe caltiraa dey, wo rafi goonɗinal majje. Aan aɗa heddii e dobeede saabe goonɗinal maa. Ndelle, taa mawninkina, ammaa hulu. 
ROM.11.21	Sabo si Laamɗo accaay licce arandeeje ɗeen fu, accataa ma aan du. 
