GEN.1.1	Ekuqalekeni uThixo wadala amazulu nehlabathi.
PSA.5.7	Ke mna, ndinokungena endlwini yakho ngenceba yakho eninzi,
PSA.5.7	Ndiqubude, ndibhekise etempileni yakho engcwele ngokukoyika.
PSA.5.8	Yehova, ndíkhaphe ngobulungisa bakho ngenxa yabandilaleleyo;
PSA.5.8	Yilungelelanise indlela yakho phambi kwam.
PSA.5.9	Ngokuba emlonyeni wabo akukho nto imiyo,
PSA.5.9	Umbilini wabo ngumeyeliselo;
PSA.5.9	Lingcwaba elivuliweyo umqala wabo;
PSA.5.9	Bathetha okugudileyo ngolwimi lwabo.
PSA.5.10	Báthwalise ityala, Thixo;
PSA.5.10	Makatshitshe amaqhinga abo;
PSA.5.10	Elukreqweni lwabo oluninzi bátyhale,
PSA.5.10	Ngokuba bakuphikisile.
PSA.5.11	Mabavuye bonke abazímela ngawe,
PSA.5.11	Bamemelele ngonaphakade, ubakhusele;
PSA.5.11	Badlamke ngawe abalithandayo igama lakho.
PSA.5.12	Ngokuba wena uyalisikelela ilungisa, Yehova,
PSA.5.12	Ùlihlanganisele ngenkoliseko njengekhaka.
PSA.6.1	Yehova, musa ukundohlwaya únomsindo,
PSA.6.1	Ungandithethisi únobushushu.
PSA.6.2	Ndíbabale, Yehova, ngokuba ndintshwenyile;
PSA.6.2	Ndíphilise, Yehova, ngokuba ekhwankqisiwe amathambo am.
PSA.6.3	Umphefumlo wam ukhwankqiswe kakhulu;
PSA.6.3	Ke wena, Yehova, koda kube nini na?
PSA.6.4	Buya, Yehova, uwuhlangule umphefumlo wam;
PSA.6.4	Ndísindise ngenxa yenceba yakho.
PSA.6.5	Ngokuba ekufeni akusekho kukukhumbula;
PSA.6.5	Kwelabafileyo ngubani na osenokubulela kuwe?
PSA.6.6	Ndidiniwe kukugcuma kwam;
PSA.6.6	Ndiludadisa ubusuku bonke ukhuko lwam,
PSA.6.6	Ndiwenza manzi umandlalo wam ngeenyembezi zam.
PSA.6.7	Lonakele kukukhathazeka iliso lam;
PSA.6.7	Laluphele ngenxa yababandezeli bam bonke.
PSA.6.8	Sukani kum, nina nonke basebenzi bobutshinga;
PSA.6.8	Ngokuba uYehova ulivile ilizwi lokulila kwam.
PSA.6.9	Ukuvile uYehova ukutarhuzisa kwam;
PSA.6.9	UYehova umthandazo wam uyawamkela.
PSA.6.10	Ziya kudana, zikhwankqe kakhulu, zonke iintshaba zam;
PSA.6.10	Ziya kubuyiswa zidanile ngephanyazo.
PSA.7.1	Yehova, Thixo wam, ndizímela ngawe;
PSA.7.1	Ndísindise kubo bonke abandisukelayo, undihlangule,
PSA.7.2	Hleze bawuqwenge njengengonyama umphefumlo wam,
PSA.7.2	Bawudlavule, kungekho mhlanguli.
PSA.7.3	Yehova, Thixo wam, ukuba ndithe ndenza oku,
PSA.7.3	Ukuba kukho ubugqwetha ezandleni zam,
PSA.7.4	Ukuba ndimphethe kakubi obexolelene nam,
PSA.7.4	Ndambhunyula ondibandezele kungekho sizathu:
PSA.7.5	Maluwusukele utshaba umphefumlo wam, luwufumane,
PSA.7.5	Lubunyashele phantsi ubomi bam,
PSA.7.5	Uzuko lwam lululalise eluthulini. 
PSA.7.6	Khawusuk' ume, Yehova, únomsindo,
PSA.7.6	Kuphakamele ukuphuphuma komsindo wabandibandezelayo;
PSA.7.6	Uvuke, undikhawulele; wena umisé umgwebo.
PSA.7.7	Ibandla lezizwe malikungqonge;
PSA.7.7	Ubuyèle phezulu phezu kwalo.
PSA.7.8	UYehova uya kugweba phakathi kwezizwe.
PSA.7.8	Lithethe ityala lam, Yehova, ngobulungisa bam, nangokugqibelela kwam okukum.
PSA.7.9	Mabuphele ububi babangendawo, ulizimase ilungisa;
PSA.7.9	Ùngumcikidi weentliziyo nezintso, Thixo wobulungisa.
PSA.7.10	Ingweletshetshe yam inoThixo,
PSA.7.10	Umsindisi wabantliziyo zithe tye.
PSA.7.11	UThixo ngumgwebi olilungisa;
PSA.7.11	ÚnguThixo obhavuma yonke imihla.
PSA.7.12	Ukuba ongendawo uthe akabuya, ulilolile ikrele lakhe;
PSA.7.12	Úsityedile isaphetha sakhe, wasilungisa.
PSA.7.13	Uzibhekisé kuye izixhobo zokufa,
PSA.7.13	Uzenzé zanomlilo iintolo zakhe.
PSA.7.14	Yabona, yena unenimba yobutshinga;
PSA.7.14	Ukhawulé ububi, wazala ubuxoki;
PSA.7.15	Umbé umhadi, wawugomba;
PSA.7.15	Weyela esihogweni awasisebenzayo.
PSA.7.16	Ububi bakhe bobuyela entlokweni yakhe,
PSA.7.16	Naselukakayini lwakhe kufike ukugonyamela kwakhe.
PSA.7.17	Ndiya kubulela kuYehova ngokobulungisa bakhe,
PSA.7.17	Ndivume ngendumiso kwigama likaYehova ophezu konke.
PSA.8.1	Yehova, Nkosi yethu,
PSA.8.1	Hayi, ubungangamsha begama lakho ehlabathini lonke!
PSA.8.1	Wena uwambathise amazulu ngendili yakho.
PSA.8.2	Emlonyeni wabantwana nabanyáyo useké amandla,
PSA.8.2	Ngenxa yababandezeli bakho,
PSA.8.2	Ukuze udambise utshaba nophindezelayo.
PSA.8.3	Xa ndilikhangelayo izulu lakho, umsebenzi weminwe yakho,
PSA.8.3	Inyanga neenkwenkwezi ozimisileyo:
PSA.8.4	Uyintoni na umntu lo, le nto umkhumbulelayo?
PSA.8.4	Unyana womntu, le nto umvelelayo?
PSA.8.5	Umsilelise kancinane ebuThixweni,
PSA.8.5	Wamthi jize ngobuqaqawuli nangobungangamela.
PSA.8.6	Umphathisé ubukhosi phezu kwemisebenzi yezandla zakho,
PSA.8.6	Zonke izinto ùzibeke phantsi kweenyawo zakhe:
PSA.8.7	Impahla emfutshane, neenkomo zonke ziphelele,
PSA.8.7	Kwaneenyamakazi zonke;
PSA.8.8	Iintaka zezulu, neentlanzi zolwandle,
PSA.8.8	Into ehamba ngeendlela zolwandle.
PSA.8.9	Yehova, Nkosi yethu,
PSA.8.9	Hayi, ubungangamsha begama lakho ehlabathini lonke!
PSA.9.1	Ndiya kubulela kuYehova ngentliziyo yam yonke;
PSA.9.1	Ndiya kuyibalisa yonke imisebenzi yakho ebalulekileyo.
PSA.9.2	Ndiya kuvuya ndidlamke ngawe;
PSA.9.2	Ndiya kulibethela uhadi igama lakho,
PSA.9.2	Wena usenyangweni.
PSA.9.3	Ekubuyeni kweentshaba zam umva,
PSA.9.3	Ziyawa, zibhubhe ebusweni bakho.
PSA.9.4	Ngokuba ùlifezile ityala lam nebango lam;
PSA.9.4	Ùhleli etroneni ungumgwebi olilungisa.
PSA.9.5	Ùzikhalimele iintlanga, wabatshabalalisa abangendawo;
PSA.9.5	Igama lazo ùlicimile ngonaphakade kanaphakade.
PSA.9.6	Iintshaba zona zigqibele, yangamanxuwa kwaphela;
PSA.9.6	Imizi ùyinyothule,
PSA.9.6	Yadaka inkumbulo yayo yona.
PSA.9.7	Ke yena uYehova uhleli ngonaphakade,
PSA.9.7	Uyizinzisele ugwebo itrone yakhe.
PSA.9.8	Úya kugweba yena kwelimiweyo ngobulungisa,
PSA.9.8	Agwebe phakathi kwezizwe ngokuthe tye.
PSA.9.9	UYehova makabe yingxonde kotyunyuziweyo,
PSA.9.9	Ingxonde ngamaxesha engxingongo;
PSA.9.10	Bakholòse ngawe abalaziyo igama lakho;
PSA.9.10	Ngokuba akubashiyanga abakuquqelayo wena, Yehova.
PSA.9.11	Vumani ngendumiso kuYehova ohlala eZiyon;
PSA.9.11	Xelani ezizweni izenzo zakhe ezincamisileyo;
PSA.9.12	Ukuba umphindezeli wamagazi ubakhumbule,
PSA.9.12	Akakulibalanga ukukhala kwabalulamileyo.
PSA.9.13	Ndíbabale, Yehova;
PSA.9.13	Zíbone iintsizi zam ezikhoyo ngabandithiyayo,
PSA.9.13	Mphakamisi wam emasangweni okufa;
PSA.9.14	Ukuze ndibalise yonke indumiso yakho,
PSA.9.14	Emasangweni entombi uZiyon,
PSA.9.14	Ndigcobe ngosindiso lwakho.
PSA.9.15	Iintlanga zitshoné esihogweni ezasenzayo,
PSA.9.15	Emnatheni ezawugqumelayo kubanjiswe kwaolwazo unyawo.
PSA.9.16	Úzazisile uYehova; wenza umgwebo,
PSA.9.16	Emthiyela ngomsebenzi wezandla zakhe ongendawo. 
PSA.9.17	Baya kubuyela kwelabafileyo abangendawo,
PSA.9.17	Kwaiintlanga zonke ezimlibalayo uThixo;
PSA.9.18	Ngokuba aliyi kuhlala lilityalwa ihlwempu,
PSA.9.18	Ithemba leentsizana aliyi kudaka ngonaphakade.
PSA.9.19	Khawusuk' ume, Yehova; malungàngcwangushi uluntu,
PSA.9.19	Mazigwetywe iintlanga phambi kwakho,
PSA.9.20	Zimisele ukoyika, Yehova,
PSA.9.20	Zazi iintlanga ukuba ziluluntu kuphela. 
PSA.10.1	Yini na ukuba umele mgama, Yehova,
PSA.10.1	Uzifihle ngamaxesha engxingongo?
PSA.10.2	Ngokukratsha kwabangendawo bayatsha abaziintsizana;
PSA.10.2	Babanjiswa ngamayelenqe abawacingileyo.
PSA.10.3	Ngokuba ongendawo uyaqhayisa ngeminqweno yomphefumlo wakhe.
PSA.10.3	Nolibawa wahlukene noYehova, wamgiba.
PSA.10.4	Ongendawo ngobuchi bakhe 
PSA.10.4	Yonke iminkqangiyelo yakhe ithi, Akukho Thixo.
PSA.10.5	Ziqinile iindlela zakhe ngamaxesha onke;
PSA.10.5	Ziphakamile izigwebo zakho, zikude kuye;
PSA.10.5	Bonke ababandezeli bakhe úyabafuthela.
PSA.10.6	Úthi entliziyweni yakhe, Andisayi kushukunyiswa;
PSA.10.6	Izizukulwana ngezizukulwana, ndingongayi kuba sebubini.
PSA.10.7	Umlomo wakhe uzele kukushwabula nokukhohlisa nokuxinezela.
PSA.10.7	Ngaphantsi kolwimi lwakhe bububi nobutshinga.
PSA.10.8	Uhlala emilaleleni yeengqili,
PSA.10.8	Agwinte omsulwa entsithelweni;
PSA.10.8	Amehlo akhe azonda oludwayi.
PSA.10.9	Úlalela entsithelweni njengengonyama eludadeni wayo;
PSA.10.9	Ulalela ukuba axwile emke nosizana;
PSA.10.9	Uxwila emke nolusizana, elutsala ngomnatha wakhe.
PSA.10.10	Uyabuthuma, uyabunguzela,
PSA.10.10	Bawele ezinzitsheni zakhe abaziindwayi.
PSA.10.11	Úthi entliziyweni yakhe, UThixo ulibele,
PSA.10.11	Ubusithelisile ubuso bakhe, akabonanga nento.
PSA.10.12	Khawusuk' ume, Yehova, phakamisa isandla sakho, Thixo.
PSA.10.12	Musa ukubalibala abalulamileyo.
PSA.10.13	Kungenxa yani na ukuba ongendawo amgibe uThixo,
PSA.10.13	Athi entliziyweni yakhe, Akuyi kubuza?
PSA.10.14	Ùbonile wena; ngokuba uyabubona ububi nenkathazo, ubùbeke esandleni sakho;
PSA.10.14	Úzinikela kuwe oludwayi;
PSA.10.14	Ùngumncedi weenkedama wena.
PSA.10.15	Yaphula ingalo yongendawo;
PSA.10.15	Onobubi, mbuze okungendawo kwakhe, kungasali nento.
PSA.10.16	UYehova nguKumkani ngonaphakade kanaphakade;
PSA.10.16	Zitshabalele iintlanga, azabakho ehlabathini lakhe.
PSA.10.17	Umnqweno wabalulamileyo uwuvile, Yehova;
PSA.10.17	Wazizimasa iintliziyo zabo, wayibaza indlebe yakho,
PSA.10.18	Ukuba ugwebe ityala lenkedama noxinzelelweyo,
PSA.10.18	Angabi sabangcangcazelisa umntu wasehlabathini.
PSA.11.1	Ndizímela ngoYehova;
PSA.11.1	Ningáthini na ukuthi kumphefumlo wam,
PSA.11.1	Balekela entabeni yakho njengentaka?
PSA.11.2	Ngokuba nâbó abangendawo begoba isaphetha,
PSA.11.2	Bezilungisile iintolo zabo entanjeni,
PSA.11.2	Ukuba batole besithele kwabantliziyo zithe tye.
PSA.11.3	Xa iziseko zithe zagungxulwa,
PSA.11.3	Ilungisa linokuthini na?
PSA.11.4	UYehova, ulotempile yakhe iyingcwele,
PSA.11.4	UYehova, ulotrone yakhe isemazulwini,
PSA.11.4	Amehlo akhe ayababona, iinkophe zakhe ziyabacikida oonyana babantu.
PSA.11.5	UYehova uyalicikida ilungisa;
PSA.11.5	Ke yena ongendawo nothanda ukugonyamela, úmthiyile umphefumlo wakhe.
PSA.11.6	Úya kubanisela abangendawo imigibe;
PSA.11.6	Umlilo, nesulfure, nomoya olulophu, yindebe yabo abayabelweyo;
PSA.11.7	Ngokuba lilungisa uYehova; uthanda imisebenzi yobulungisa;
PSA.11.7	Othe tye uya kububona ubuso bakhe.
PSA.12.1	Sindisa, Yehova, ngokuba úphelile owenceba,
PSA.12.1	Ngokuba bathe shwaka abanyanisileyo koonyana babantu.
PSA.12.2	Bathetha inkohlakalo omnye nomnye;
PSA.12.2	Bathetha ngomlomo ogudileyo, nangentliziyo embaxa.
PSA.12.3	Ngamana uYehova angáyinqumla yonke imilebe yomlomo ogudileyo,
PSA.12.3	Ulwimi oluthetha izinto ezinkulu;
PSA.12.4	Ábathe, Ulwimi lwethu siyalupheza;
PSA.12.4	Imilomo yethu yeyethu; ngubani na oyinkosi kuthi?
PSA.12.5	Ngenxa yokubhuqwa kweentsizana, ngenxa yokuncwina kwamahlwempu,
PSA.12.5	Ndiya kusuka ndime ngoku, utsho uYehova;
PSA.12.5	Ndiya kumbeka elusindisweni lowo ululangazelelayo.
PSA.12.6	Amazwi kaYehova ngamazwi acocekileyo,
PSA.12.6	Yisilivere enyibilikiselwe eziko, yéla emhlabeni,
PSA.12.6	Ehluzwe kasixhenxe.
PSA.12.7	Wena, Yehova, uya kubagcina,
PSA.12.7	Ùya kubalondoloza kwesi sizukulwana ngonaphakade.
PSA.12.8	Abangendawo bahambahamba ngeenxa zonke,
PSA.12.8	Xa kuphakanyiswe abangeni phakathi koonyana babantu.
PSA.13.1	Kunini na, Yehova, undilibele kwaphela?
PSA.13.1	Kunini na ubusithelisa ubuso bakho kum?
PSA.13.2	Kunini na ndicebacebisana nomphefumlo wam,
PSA.13.2	Ndinesingqala entliziyweni yam imini le?
PSA.13.2	Kunini na lundiphakamele utshaba lwam?
PSA.13.3	Bheka undiphendule, Yehova, Thixo wam;
PSA.13.3	Khanyisa amehlo am, hleze ndilale ukufa;
PSA.13.4	Hleze utshaba lwam luthi, Ndimeyisile;
PSA.13.4	Bagcobe abandibandezelàyo, xa ndithe ndashukunyiswa.
PSA.13.5	Mna ndikholosé ngenceba yakho,
PSA.13.5	Mayigcobe intliziyo yam ngosindiso lwakho.
PSA.13.6	Ndiya kuvuma kuYehova,
PSA.13.6	Ngokuba endiphethe kakuhle.
PSA.14.1	Sithi isidenge entliziyweni yaso, Akukho Thixo.
PSA.14.1	Bonákalisile, balisikizi ngeentlondi zabo;
PSA.14.1	Akukho wenza okulungileyo.
PSA.14.2	UYehova esemazulwini uqondele koonyana babantu,
PSA.14.2	Ukubona ukuba ukho na oqiqayo,
PSA.14.2	Oquqela kuThixo.
PSA.14.3	Bonke batyekile, bayimbozisa bephelele;
PSA.14.3	Akukho wenza okulungileyo,
PSA.14.3	Akukho nokuba abe mnye.
PSA.14.4	Àbanakwazi na bonke abasebenzi bobutshinga,
PSA.14.4	Àbathi, bebadla abantu bam, bathi badla isonka,
PSA.14.4	Bangamnquli uYehova?
PSA.14.5	Apho bankwantya benkwantyile;
PSA.14.5	Ngokuba uThixo usesizukulwaneni samalungisa.
PSA.14.6	Icebo losizana ningálidanisa,
PSA.14.6	Kodwa uYehova ulihlathi lalo.
PSA.14.7	Akwaba bekuvela eZiyon ukusindiswa kwamaSirayeli!
PSA.14.7	Ekubabuyiseni kukaYehova abantu bakhe ekuthinjweni,
PSA.14.7	Wogcoba uYakobi, avuye uSirayeli.
PSA.15.1	Yehova, ngubani na owophambukela ententeni yakho?
PSA.15.1	Ngubani na owohlala entabeni yakho engcwele?
PSA.15.2	Ngohamba ngokugqibeleleyo, esenza ubulungisa,
PSA.15.2	Othetha inyaniso ngentliziyo yakhe.
PSA.15.3	Ngongàhlebiyo ngolwimi lwakhe,
PSA.15.3	Ongamenziyo into embi uwabo,
PSA.15.3	Ongamngcikiviyo ummelwane wakhe;
PSA.15.4	Odelekileyo, ecekiseka, kwawakhe amehlo,
PSA.15.4	Obazukisayo ke bona abamoyikayo uYehova;
PSA.15.4	Ofunga, angajiki, nokuba kubi kuye,
PSA.15.5	Ongayinikeliyo imali yakhe ukuba adle abantu ngayo,
PSA.15.5	Ongenakugaqelwa ngaye omsulwa.
PSA.15.5	Okwenzayo oko akayi kuza ashukunyiswe naphakade.
PSA.16.1	Ndígcine, Thixo, ngokuba ndizímela ngawe.
PSA.16.2	Ndithé kuYehova, ÙyiNkosi yam,
PSA.16.2	Andinanto indilungeleyo ngaphezu kwakho.
PSA.16.3	Ndithe kwabangcwele abasehlabathini,
PSA.16.3	Bòna bazizinhanha apho, kukhona konke endikunanzileyo.
PSA.16.4	Ziya kwanda iimbulaleko zâbo bamananisa ngathixo wumbi 
PSA.16.4	Andiyi kuyithulula iminikelo yabo ethululwayo yegazi;
PSA.16.4	Andiyi kuwaphatha amagama abo ngomlomo wam.
PSA.16.5	NguYehova isahlulo endasabelwáyo, nendebe endayabelwáyo;
PSA.16.5	Ùlenzé banzi ilifa lam.
PSA.16.6	Amacandelo andiwele ezindaweni ezimnandi;
PSA.16.6	Hee! Ndide ndaba nelifa elihle.
PSA.16.7	Ndiya kumbonga uYehova ondinike icebo;
PSA.16.7	Nasebusuku ziyandithethisa izintso zam.
PSA.16.8	Ndimmisile uYehova phambi kwam amaxesha onke;
PSA.16.8	Ngokuba esekunene kum nje, andiyi kushukunyiswa.
PSA.16.9	Ngako oko iyavuya intliziyo yam, luyagcoba uzuko lwam:
PSA.16.9	Nenyama yam iya kuhlala ikholosile.
PSA.16.10	Ngokuba akuyi kuwushiya umphefumlo wam kwelabafileyo;
PSA.16.10	Akuyi kumyekela owakho wenceba ukuba abonane nesihogo.
PSA.16.11	Ùya kundazisa umendo wobomi;
PSA.16.11	Ebusweni bakho yinzaliseko yemivuyo;
PSA.16.11	Ekunene kwakho yimihlali ngonaphakade.
PSA.17.1	Búve, Yehova, ubulungisa; kubázele indlebe ukuhlahlamba kwam;
PSA.17.1	Wubekele indlebe umthandazo wam, ongengamlomo ukhohlisayo.
PSA.17.2	Ibango lam malivele ebusweni bakho,
PSA.17.2	Amehlo akho akhangele ngokuthe tye.
PSA.17.3	Ùyicikidile intliziyo yam; undivelele ebusuku;
PSA.17.3	Ùndinyibilikisile, akwafumana nto;
PSA.17.3	Ndíyinkqangiyele into embi, ayiyi kuwugqitha umlomo wam.
PSA.17.4	Malunga nemisebenzi yabantu, ngelizwi lomlomo wakho,
PSA.17.4	Mna ndizigcinile, andangena kwiindlela zamanyangaza.
PSA.17.5	Imikhondo yam ibambe iindlela zakho, Azashukuma iinyawo zam.
PSA.17.6	Mna ndinqula wena, ngokuba undiphendula, Thixo;
PSA.17.6	Ndíthobele indlebe yakho, kúve ukuthetha kwam.
PSA.17.7	Zibalule iinceba zakho, wena wabasindisayo abazímela ngawe,
PSA.17.7	Ngesandla sakho sokunene, ngenxa yabasukela phezulu kubo.
PSA.17.8	Ndígcine njengeliso, njengokhozo lwalo,
PSA.17.8	Ndísithelise ngesithunzi samaphiko akho,
PSA.17.9	Phambi kwabangendawo abandibhuqayo,
PSA.17.9	Phambi kweentshaba zam ngokwasemphefumlweni ezindingungelayo.
PSA.17.10	Zithe fithi kukutyeba;
PSA.17.10	Ngomlomo wazo zithetha ngekratshi.
PSA.17.11	Zindijikelezile ngoku ekuhambeni kwam;
PSA.17.11	Amehlo azo ziwamisele ukundinqumela emhlabeni.
PSA.17.12	Ukufana kwazo kunjengengonyama engxamele ukuqwenga,
PSA.17.12	Kunjengengonyama entsha ihleli entsithelweni.
PSA.17.13	Khawusuk' ume, Yehova,
PSA.17.13	Uyihlangabeze, uyiwise yona;
PSA.17.13	Wusindise umphefumlo wam kongendawo ngekrele lakho;
PSA.17.14	Kubafo, ngesandla sakho, Yehova,
PSA.17.14	Kubafo beli phakade, abasahlulo sikobu bomi;
PSA.17.14	Osizalisileyo isisu sabo ngeengqwebo zakho;
PSA.17.14	Bakholisile ngoonyana,
PSA.17.14	Ukuphuphuma kwabo bakushiya neentsapho zabo.
PSA.17.15	Mna ndiya kububona ubuso bakho ndisebulungiseni;
PSA.17.15	Ndiya kwaneliswa sisithomo sakho ekuvukeni kwam.
PSA.18.1	Ndikuthanda ngembilini yam, Yehova, lomelelo lwam.
PSA.18.2	Yehova, ngxondorha yam, mboniselo yam, msindisi wam,
PSA.18.2	Thixo wam, liwa lam endizímela ngalo,
PSA.18.2	Ngweletshetshe yam, luphondo losindiso lwam, ngxonde yam!
PSA.18.3	Ndinqula uYehova ongowokudunyiswa,
PSA.18.3	Ndiyasindiswa ezintshabeni zam.
PSA.18.4	Izintya zokufa zandijikela;
PSA.18.4	Imilambo yobutshijolo yandidandathekisa.
PSA.18.5	Izintya zelabafileyo zandibhijela;
PSA.18.5	Izirhintyelo zokufa zabetha kum.
PSA.18.6	Ekubandezelekeni kwam ndanqula uYehova,
PSA.18.6	Ndazibika kuThixo wam;
PSA.18.6	Waliva etempileni yakhe izwi lam,
PSA.18.6	Ukuzibika kwam kwafika phambi kwakhe ezindlebeni zakhe.
PSA.18.7	Lahexa ke lanyikima ihlabathi,
PSA.18.7	Iziseko zeentaba zagungqa,
PSA.18.7	Zahexa, ngokuba enomsindo.
PSA.18.8	Kwathi thaphu umsi emathatheni akhe,
PSA.18.8	Wadla umlilo, uphuma emlonyeni wakhe,
PSA.18.8	Kwavutha amalahle ephuma kuwo.
PSA.18.9	Wawathoba amazulu, wehla,
PSA.18.9	Yangamafu amnyama phantsi kweenyawo zakhe.
PSA.18.10	Wakhwela ekerubhini,* waphaphazela,
PSA.18.10	Wee tshwebelele ngamaphiko omoya.
PSA.18.11	Wamisa ubumnyama baba lisithe lakhe, umnquba wakhe ngeenxa zonke kuye;
PSA.18.11	Ubumnyama bamanzi, iingqimba zamafu.
PSA.18.12	Ekukhanyeni okuphambi kwakhe, kwatyhoboza emafini akhe
PSA.18.12	Isiphango samatye, namalahle omlilo.
PSA.18.13	Wadudumisa ezulwini uYehova,
PSA.18.13	Ophezu konke walikhupha ilizwi lakhe.
PSA.18.13	Yasisiphango samatye namalahle omlilo.
PSA.18.14	Wathuma iintolo zakhe, wabaphangalalisa;
PSA.18.14	Yamininzi imibane, wabadubaduba.
PSA.18.15	Imiphantsi yamanzi yabonakala,
PSA.18.15	Kwatyhileka iziseko zelimiweyo
PSA.18.15	Ngokukhalima kwakho, Yehova,
PSA.18.15	Ngokufutha komoya womsindo wakho.
PSA.18.16	Wolula isandla ephezulu, wandibamba,
PSA.18.16	Wandirhola emanzini amaninzi.
PSA.18.17	Wandihlangula elutshabeni lwam olunamandla,
PSA.18.17	Kwabandithiyileyo, ngokuba bebomelele kunam.
PSA.18.18	Bandifikela ngemini yokusindeka kwam,
PSA.18.18	UYehova wandixhasa.
PSA.18.19	Wandikhuphela endaweni ebanzi,
PSA.18.19	Wandihlangula, ngokuba endithandile.
PSA.18.20	UYehova wandiphatha kakuhle ngokobulungisa bam,
PSA.18.20	Wandibuyisela ngokobunyulu bezandla zam.
PSA.18.21	Ngokuba ndizigcina iindlela zikaYehova,
PSA.18.21	Andemka ngokungendawo kuThixo wam.
PSA.18.22	Ngokuba onke amasiko akhe aphambi kwam,
PSA.18.22	Nemimiselo yakhe andiyisusi kum;
PSA.18.23	Ndaye ndingogqibeleleyo kuye,
PSA.18.23	Ndazigcina, andaba nabugwenxa,
PSA.18.24	Wandibuyisela ke uYehova ngokobulungisa bam,
PSA.18.24	Ngokobunyulu bezandla zam phambi kwamehlo akhe.
PSA.18.25	Kowenceba ùzenza owenceba,
PSA.18.25	Kwigorha eligqibeleleyo uzenza ogqibeleleyo;
PSA.18.26	Kozenze nyulu uzenza onyulu,
PSA.18.26	Kojibilizayo uzenza onobuqhokolo.
PSA.18.27	Ngokuba wena uyabasindisa abantu ababandezelekileyo,
PSA.18.27	Uwathobe amehlo aqwayingileyo.
PSA.18.28	Ngokuba ùyasilumeka isibane sam wena;
PSA.18.28	UYehova uThixo wam uyabukhanyisela ubumnyama bam.
PSA.18.29	Ngokuba ngawe ndigila amajarha,
PSA.18.29	NgoThixo wam ndiqabela ezindongeni.
PSA.18.30	UThixo yena, igqibelele indlela yakhe;
PSA.18.30	Ilizwi likaYehova linyibilikisiwe,
PSA.18.30	Úyingweletshetshe kubo bonke abazimela ngaye.
PSA.18.31	Ngokuba ngubani na onguThixo, ingenguye uYehova?
PSA.18.31	Ngubani na oliliwa, ingenguThixo wethu?
PSA.18.32	UloThixo undibhinqise ubukroti,
PSA.18.32	Uyigqibelelisileyo indlela yam;
PSA.18.33	Uzifanisayo iinyawo zam nezamaxhamakazi,
PSA.18.33	Undimisayo emimangweni yam;
PSA.18.34	Uzifundisayo ukulwa izandla zam,
PSA.18.34	Zityede isaphetha sobhedu iingalo zam.
PSA.18.35	Undinikileyo ingweletshetshe yosindiso lwakho;
PSA.18.35	Sandixhasa isandla sakho sokunene;
PSA.18.35	Ululamo lwakho lwandikhulisa.
PSA.18.36	Wawenzela indawo ebanzi amanyathela am phantsi kwam,
PSA.18.36	Amaxhwele am akahexa.
PSA.18.37	Ndazisukela iintshaba zam, ndazifumana;
PSA.18.37	Andabuya zada zaphela.
PSA.18.38	Ndaziqoba; azaba nakuvuka,
PSA.18.38	Zawa phantsi kweenyawo zam.
PSA.18.39	Wandibhinqisa ubukroti ekulweni,
PSA.18.39	Wabaguqisa phantsi kwam abasukela phezulu kum;
PSA.18.40	Wandinika ikhosi leentshaba zam,
PSA.18.40	Abandithiyayo ndababhangisa.
PSA.18.41	Bazibika, akwabakho msindisi;
PSA.18.42	Ndabacola, banjengothuli phambi komoya,
PSA.18.42	Ndabaphalaza njengodaka lwezitrato.
PSA.18.43	Wandisiza ekubambaneni kwabantu,
PSA.18.43	Wandimisa ndayintloko yeentlanga;
PSA.18.43	Abantu ebe ndingabazi bandikhonza.
PSA.18.44	Besave ngeendlebe, bandithobela,
PSA.18.44	Oonyana bolunye uhlanga bahanahanisa kum;
PSA.18.45	Oonyana bolunye uhlanga bantshwenya,
PSA.18.45	Baphuma bengcangcazela ekuvingcelweni kwabo.
PSA.18.46	UYehova uhleli; lelokubongwa iliwa lam,
PSA.18.46	Aphakanyìswe uThixo ondisindisayo.
PSA.18.47	UloThixo wandinika impindezelo,
PSA.18.47	Uzikhandaniselayo izizwe phantsi kwam;
PSA.18.48	Úndisiza ezintshabeni zam;
PSA.18.48	Ewe, wena undiphakamisayo kwabasukela phezulu kum,
PSA.18.48	Undihlàngule kumfo ogonyamelayo.
PSA.18.49	Ngenxa yoko ndiya kubulela kuwe, Yehova, phakathi kweentlanga,
PSA.18.49	Ndivume kwigama lakho.
PSA.18.50	Ulokhulisa iintsindiso zokumkani wakhe;
PSA.18.50	Wenzayo inceba kumthanjiswa wakhe,
PSA.18.50	KuDavide, nakwimbewu yakhe kude kuse ephakadeni.
PSA.19.1	Izulu libalisa uzuko lukaThixo,
PSA.19.1	Saye isibhakabhaka sixela umsebenzi wezandla zakhe.
PSA.19.2	Imini impompozelela imini intetho,
PSA.19.2	Ubusuku buxelela ubusuku ukwazi.
PSA.19.3	Akukho ntetho, akukho mazwi,
PSA.19.3	Apho singavakaliyo isandi sawo.
PSA.19.4	Intambo yawo yokulinganisa iphume yaya ehlabathini lonke,
PSA.19.4	Kwaba seziphelweni zelimiweyo ukukhuluma kwawo.
PSA.19.4	Ilanga úlimisele intente kuwo,
PSA.19.5	Lona linjengomyeni ke ephuma egumbini lakhe;
PSA.19.5	Linemihlali njengegorha, ukugidima ngomendo walo.
