MAT.1.1	Kɛse ɓo mɛtjil Isa al‑Masige. Naan̰ *goon Daud ɔɔ goon *Abraam.
JHN.16.25	«Taargen maam mꞋtaaɗseno paac se, mꞋtaaɗseno ute kaal naagŋ taara. Gaŋ kaaɗin̰ utu Ꞌkaan se, maam mꞋutu mꞋasen taaɗn ute kaal naagŋ taar ey sum. Num naan ki se nakgen taaɗ taa Bubum se mꞋutu mꞋasesin̰ taaɗn tal tal. 
JHN.16.26	Ɓiin se naase aki tɔnd mɛtn nakge paac ute ro maama. Maam mꞋasen taaɗa taa naase se maam mꞋkɔŋ tɔnd mɛtn Bu ey sum; 
JHN.16.27	taa Bu mala se jese taa naase Ꞌjemki maama ɔɔ naase Ꞌjeelkiga maam se mꞋiin̰o gɔtn Raa ki. 
JHN.16.28	Maam mꞋɓaaɗo do naaŋ ki se mꞋiin̰o gɔtn Bubum ki; ɓɔrse maam mꞋkiin̰ do naaŋ ki se mꞋɓaa gɔtn Bubum ki.» 
JHN.16.29	Gɔtn se jee mɛtin̰ ki ɗeekin̰ ɔɔ: «ꞋBooyo, ɓɔrse naai Ꞌtaaɗjen tal tal aaljen naagŋ taar ey sum. 
JHN.16.30	Ɓɔrse naaje kꞋjeele, naai se Ꞌjeel nakge paac ɔɔ Ꞌje nam Ꞌtɔnd mɛti ey sum. Taa naan̰ se ɓo naaje kꞋjeele naai se iin̰o gɔtn Raa ki.» 
JHN.16.31	Isa tɛrlɗen ɔɔ: «Ɓɔrse naase Ꞌjeelkiga sum la? 
JHN.16.32	ꞋBooyki! Kaaɗin̰ utu Ꞌkaana, ɔɔ ɓɔrse kaaɗin̰ se aanga, naase utu aki Ꞌkaan̰ wɔɔkɔ ɔɔ naŋa kic ɓo Ꞌkuun ɗoobin̰ ɗoobin̰a ɔɔ utu amki kɔn̰ kalum ki, naɓo maam se mꞋkalum ki eyo, num Bu se utu te maama. 
JHN.16.33	Taargen maam mꞋtaaɗsesin̰ se, taa ute maam se naase aki Ꞌkɔŋ tɔɔsɛ. Ɗeere, naase utu aki Ꞌkɔŋ dubar do naaŋ ki, naɓo aayki kaamse taa maam cirga dunia.»
JHN.17.1	Kɛn Isa jaay taaɗ naŋ taarin̰ se, naan̰ uun kaamin̰ raan ɗeek ɔɔ: «Bua, ɓɛrɛ, kaaɗin̰ se aasga naai *Ꞌnook Gooni, taa Gooni kic ai nooko. 
JHN.17.2	Naai ɛɗin̰ga jikilimge paac kaam jin̰a, taa naan̰ kɛɗn *kaajn̰ gɛn daayum jeege tun naai ɛɗin̰sin̰ga se. 
JHN.17.3	Kaajn̰ gɛn daayum kɛn ese se taa naaɗe ai jeeli naai Raa mala kɛn kalaŋ lak ɔɔ am jeel maam Isa *al‑Masi kɛn naai ɔlumo. 
JHN.17.4	Do naaŋ ki se maam nookiga ɔɔ naabi naai ɛɗum se, maam mꞋtɛɗ naŋin̰ga. 
JHN.17.5	Ɓɔrse Bua, Ꞌnookum naani ki aan gɔɔ kɛn naai Ꞌnookumo kaaɗ kɛn naai aal te dunia ey ɓɔrt se.
JHN.17.6	«Maam mꞋtaaɗɗenga naaɗe jeeliga naai jeegen kɛn naai Ꞌbɛɛr tɔɔɗo do naaŋ ki jaay ɛɗumɗen se. Naaɗe se jee naaige, ɔɔ naai ɛɗumɗenga kaam jima, ɔɔ naaɗe booy uunga taar naai. 
JHN.17.7	Ɓɔrse naaɗe jeele, nakŋ naai ɛɗumo paac se iin̰o gɔtn naai ki. 
JHN.17.8	Taar kɛn naai Ꞌtaaɗumo se, maam mꞋtaaɗɗesin̰ga kici. Ɔɔ naaɗe took uunga, naaɗe jeelga ɗeere, maam se mꞋiin̰o gɔtn naai ki ɔɔ naaɗe tookga naai ɓo ɔlumo.
JHN.17.9	«Maam mꞋtɔnd mɛti se taa naaɗe sum, ey num gɛn jee do naaŋ kɛn ɓaa se paac eyo. Anum mꞋtɔnd mɛti se gɛn jee naai ɛɗumɗeno kaam jima, taa naaɗe se jee naaige. 
JHN.17.10	Nakŋ maam mꞋɔk paac se gɛn naai ɔɔ nakŋ naai ɔk paac se lɛ, gɛn maama; ɔɔ ute ɗoobm naaɗe se ɓo, jeege Ꞌkaakŋ nookuma. 
JHN.17.11	Naan ki se maam mꞋkɔŋ kiŋg do naaŋ ki ey sum. Gaŋ naaɗe se utu kiŋg do naaŋ ki ɔɔ maam lɛ mꞋtɛrl tɛrl gɔtn naai ki. Bua, naai Debm *Salal se, bɔɔbɗe ute tɔɔgi kɛn naai ɛɗum se. ꞋBɔɔbɗe taa naaɗe Ꞌtɛɗn kalaŋ aan gɔɔ maam ute naai naaje kꞋkalaŋ se. 
JHN.17.12	Kaaɗ kɛn maam mꞋiŋgo te naaɗe se, maam lɛ mꞋbɔɔbɗeno ute tɔɔgŋ kɛn naai ɛɗumo se. Maam se mꞋbɔɔbɗenoga maakɗe ki se nam kalaŋ tap ɓo ut eyo, ɔɔ deb kalaŋ kɛn ut se lɛ, taa taar kꞋraaŋo do dɔkin̰ se Ꞌkaan te ɗoobin̰a. 
JHN.17.13	Ɓɔrse maam mꞋtɛrl tɛrl gɔtn naai ki ɔɔ kɛn ɓɔrse mꞋutu do naaŋ ki jaay mꞋtaaɗɗen taargen se, taa naaɗe kɔŋ maak‑raapuma ɔɔ maak‑raapm naaɗe se, Ꞌtɛɗn maak‑raapm maraadin̰ ki. 
JHN.17.14	Maam mꞋtaaɗɗenga taar naai, gaŋ jee do naaŋ ki se ɔɔɗ undɗenga taa naaɗe se mɛtn jee do naaŋ kɛn ɓaa se eyo, aan gɔɔ maam kic mɛtn jee do naaŋ kɛn ɓaa se ey se. 
JHN.17.15	Maam mꞋtɔnd mɛti se taa aɗen tɔsn naatn do naaŋ ki eyo, num taa aɗen bɔɔbm ro Deb kɛn iŋg ɓo gɛn tɛɗn *kusin̰ sum se. 
JHN.17.16	Naaɗe se mɛtn jee do naaŋ kɛn ɓaa se eyo, aan gɔɔ maam kic mɛtn jee do naaŋ kɛn ɓaa se ey se. 
JHN.17.17	Ute taar naai mɛt ki se, naai Ꞌtɛɗɗen naaɗe Ꞌtɛɗn jee naaigen mala mala; taa taar naai se taar mɛt ki. 
JHN.17.18	Aan gɔɔ kɛn naai ɔlumo do naaŋ ki se, maam kic mꞋɔlɗen do naaŋ ki. 
JHN.17.19	Taa naaɗe se, maam mꞋɛɗi rom paac, taa naaɗe kic ai kɛɗn roɗe paac ute taar mɛt ki.
JHN.17.20	«Kɛn mꞋtɔnd mɛti se taa naaɗe sum eyo, num mꞋtɔnd mɛti, taa jeegen utu Ꞌtookŋ taarɗe ɔɔ utu Ꞌkaal maakɗe dom ki se kici. 
JHN.17.21	Ɔn̰ɗe naaɗe paac Ꞌtɛɗn kalaŋ. Bua, Ꞌtɛɗɗen naaɗe Ꞌtɛɗn kalaŋ ute naaje kici, aan gɔɔ naai iŋg *dɔɔk ute maama ɔɔ maam mꞋiŋg dɔɔk te naai se. ꞋTɛɗɗe naaɗe Ꞌtɛɗn kalaŋ kici, jaay jee do naaŋ ki se Ꞌjeel naai ɓo ɔlumo. 
JHN.17.22	Maam mꞋtaaɗɗenoga nookŋ naai ɛɗumo se, ute naan̰ se naaɗe tɛɗn kalaŋ aan gɔɔ maam mꞋutu naai kꞋkalaŋ se. 
JHN.17.23	Maam mꞋiŋg mꞋdɔɔk te naaɗe, aan gɔɔ naai iŋg dɔɔk te maam se. Bin se naaɗe Ꞌkɔŋ dɔɔkŋ tɛɗn kalaŋ, jaay jee do naaŋ ki se Ꞌjeele naai ɓo ɔlumo ɔɔ naai Ꞌjeɗe aan gɔɔ naai Ꞌjem maam se. 
JHN.17.24	Bua, jee se naai ɓo ɛɗumɗeno ɔɔ mꞋje gɔtn maam mꞋiŋg se, naaɗe Ꞌkiŋg ute maam kici. Taa naaɗe kaakŋ nookuma, nookŋ kɛn naai ɛɗumo. Taa naai Ꞌjemoga kaaɗ kɛn naai aalo te do naaŋ ey ɓɔrtɔ. 
JHN.17.25	Bua, naai se debm daan ki, naɓo jee do naaŋ ki se jeeli te eyo, gaŋ maam se mꞋjeeli, ɔɔ jee se kic jeelga kɛn naai ɓo ɔlumo. 
JHN.17.26	Maam mꞋtaaɗɗen naaɗe jeelga roi, ɔɔ maam mꞋutu mꞋaɗen tɛɗn naaɗe ai jeel kɔkɔ, taa maak‑jei kɛn naai ɔk dom ki se Ꞌtɛɗn do naaɗe ki kici, bin se jaay maam mꞋkiŋg dɔɔkŋ te naaɗe.»
JHN.18.1	Kɛn Isa jaay taaɗ naŋ taarin̰ se, naan̰ iin̰ te jee mɛtin̰ ki gaaŋ kaam maane kꞋdaŋin̰ Sedrɔn deel ɓaa jɛŋ kɛn kaam naane. Gɔtn se ɔk jinɛnɛ ɔɔ naan̰ ute jee mɛtin̰ ki se ɓaa ɛnd maak ki. 
JHN.18.2	Gaŋ Judas je kutn Isa se, jeel gɔtn ese kici taa Isa ute jee mɛtin̰ ki se, lee ɓaaɗo tus tus gɔtn ese. 
JHN.18.3	Naan̰ deelo naan dɔɔl asgar *Rɔmɛge tu, ute asgargen kɛn lee bɔɔb *Ɓee Raa. Naaɗe se *Parizige ute *magal jee tɛɗn sɛrkɛ Raage tu ɓo ɔlɗeno. Naaɗe ɓaaɗo jinɛnɛ ki se, ute jɛl pooɗge te lɔɔmpɗege ɔɔ ute nakŋ tɛɗn bɔɔrɗege. 
JHN.18.4	Num gaŋ Isa jeel paac nakŋ utu kaan don̰ ki se, naan̰ iiko cɛɛɗe ki ɗeekɗen ɔɔ: «Naase Ꞌjeki naŋa?» 
JHN.18.5	Naaɗe tɛrlin̰ ɔɔ: «Naaje kꞋje Isan kɔɗ Nazarɛt.» Gɔtn se Isa tɛrlɗen ɔɔ: «Kɛse ɓo maama.» Gaŋ Judas debm kɛn je kutin̰ se utu maakŋ jeege tun se kici. 
JHN.18.6	Kɛn jee se jaay booy Isa ɗeekɗen ɔɔ: «Kɛse maam se,» jee se tɛr te mɛtɗe diwir ɔɔ naaɗe paac si naaŋ ki. 
JHN.18.7	Tɛr Isa tɔnd mɛtɗe daala ɔɔ: «Naase tap ɓo, Ꞌjeki naŋa?» Naaɗe tɛrlin̰ ɔɔ: «Naaje kꞋje Isan kɔɗ Nazarɛt.» 
JHN.18.8	Isa tɛrlɗen ɔɔ: «Maam mꞋtaaɗsenoga taaɗa mꞋɔɔ kɛse ɓo maama. Kɛn naase jaay, Ꞌjemki maam sum num, ɔn̰ki jee mɛtum ki se Ꞌɓaao.» 
JHN.18.9	Taar kɛn Isa taaɗo se aanga ɗoobin̰ ki kɛn ɔɔ: 
JHN.18.10	Gɔtn se, Simon Piɛr ɔɔɗ gɔrɗ‑jɛrlin̰ se, ɔɔ ɔg gaaŋ te bi debm tɛɗn naabm magal debm tɛɗn sɛrkɛ Raa ki. Naan̰ gaaŋ te bin̰ do ji daama ɔɔ gaabm se kꞋdaŋin̰ Malkus. 
JHN.18.11	Gaŋ Isa taaɗ Piɛr ki ɔɔ: «Gɔrɗ‑jɛrli se ɔlin̰ saapin̰ ki gɔtin̰ ki! *Kɔɔpm dubar kɛn Bubum ɛɗumo se, maam mꞋan̰ kaayin̰ ey la?»
JHN.18.12	Gɔtn se dɔɔl asgar *Rɔmɛge, ute bubɗe ɔɔ te asgargen kɛn lee bɔɔb *Ɓee Raa kɛn Yaudge ɔlɗeno se, iij‑ɔk Isa ɔɔ dɔɔkin̰a. 
JHN.18.13	Naaɗe ɔk ɓaansin̰o deet se gɔtn Annan ki. Ɔɔ Annan se ɓo moom Kayipm gaaba. Ɔɔ ɓaar kɛn ese Kayipm ɓo *magal debm tɛɗn sɛrkɛ Raa ki. 
JHN.18.14	Kayipm ese ɓo kɛn taaɗo magal Yaudge tu ɔɔ: kɛn asen tɛɗn jiga naase ki se, deb kalaŋ ɓo Ꞌkooyo ɔɔ Ꞌkɔn̰ jee dɛna.
JHN.18.15	Simon Piɛr ute debm mɛtn Isa kɛn kuuy se, naaɗe ɔko mɛtn Isa. Num debm mɛtn Isa kɛn kuuy se, *magal debm tɛɗn sɛrkɛ Raa ki se jeelin̰a, gɔtn se naan̰ ɛnd te Isa kalaŋ ɓaa daan bɔɔr ɓee magal debm tɛɗn sɛrkɛ Raa ki se. 
JHN.18.16	Gaŋ Piɛr se ɔɔp iŋg naatn taa ɗoob ki, anum debm mɛtn Isa kɛn kuuy, kɛn magal debm tɛɗn sɛrkɛ Raa ki jeelin̰ se teeco. Ɔɔ ɓaaɗo taaɗ mɛnd kɛn iŋg bɔɔb taa ɗoobo se, ɔɔ jꞋɔn̰ Piɛr se ɛndo. 
JHN.18.17	Ɔɔ mɛnd kɛn iŋg bɔɔb taa ɗoobo se, naan̰ ɗeek Piɛr ki ɔɔ: «Naai kic ɓo maakŋ jeege tun mɛtn gaab kɛn se la?» Piɛr tɛrlin̰ ɔɔ: «Maam se mɛtn naaɗe eyo!» 
JHN.18.18	Ɓii kɛn se kuulu ɔɔn̰ɔ, taa naan̰ se ɓo jee tɛɗn naabge ute asgargen kɛn lee bɔɔb *Ɓee Raa se, gɔtn se naaɗe tuuy pooɗo ɔɔ ɗaar riib riibi. Gɔtn se Piɛr kic ɗaar riib te naaɗe.
JHN.18.19	Gaŋ magal debm tɛɗn sɛrkɛ Raa ki se baag tɔnd mɛtn Isa se taa jee mɛtin̰ ki ɔɔ do taar kɛn naan̰ lee dooyɗe. 
JHN.18.20	Isa tɛrlin̰ ɔɔ: «Jee te dɛnɗe se maam taaɗɗenga tal tal ɔɔ daayum maam mꞋlee dooyo jeege maakŋ *ɓee kɛn Yaudge lee tusn maak ki ɔɔ mꞋdooyo jeege daan bɔɔr *Ɓee Raa ki, gɔtn kɛn Yaudge paac lɛ tusn se taar ɗim kalaŋ tap ɓo maam mꞋɔyin̰ te eyo. 
JHN.18.21	Naai tap ɓo Ꞌtɔnd mɛtum bin se taa ɗio? Naai Ꞌtɔnd mɛtn jeegen tiŋg booyo taar kɛn maam mꞋlee taaɗɗeno se. Ɔɔ mɛtn taar kɛn maam taaɗɗeno se lɛ, naaɗe jeelin̰ paac.» 
JHN.18.22	Do taar kɛn se sum ɓo maakŋ asgarge tun kɛn lee bɔɔb Ɓee Raa se deb kalaŋ kɛn cɛɛn̰ ki se, ɔndin̰ mɛtn bin̰ ki ɔɔ ɗeekin̰ ɔɔ: «Magal debm tɛɗn sɛrkɛ Raa ki ɓo kꞋtaaɗin̰ taar kɛn bin ne?» 
JHN.18.23	Gaŋ Isa tɛrlin̰ ɔɔ: «ꞋTaaɗum tu taar ɗi kɛn maam mꞋtaaɗ mꞋtujin̰ se! Ɔɔ kɛn maam jaay mꞋtaaɗga taar mɛt ki num, gɛn ɗi jaay naai ɔndum se?» 
JHN.18.24	Isa jaay Annan ɔlin̰ gɔtn Kayipm kɛn magal debm tɛɗn sɛrkɛ Raa ki se, Isa kꞋdɔɔkin̰ga dɔɔkɔ.
JHN.18.25	Kaaɗ kɛn Simon Piɛr ɗaar riib riib pooɗo gɔtn ese se, naaɗe ɗeekin̰ ɔɔ: «Maakŋ jeege tun mɛtn gaab kɛn se, naai kic ɓo maakɗe ki la!» Gɔtn se Piɛr naaj ɔɔ: «Maam se mɛtn naaɗe eyo.» 
JHN.18.26	Gaŋ maakŋ jee tɛɗn naabm *magal debm tɛɗn sɛrkɛ Raa ki se, deb kalaŋ se taasn gaabm kɛn Piɛr ɔg gaaŋo te bin̰ se, naan̰ ɗeek Piɛr ki ɔɔ: «Naai se, maam mꞋaakioga te naan̰ maakŋ jinɛn ki ɗaamo?» 
JHN.18.27	Gaŋ tɛr gɔtn se Piɛr naaj daala ɔɔ kaaɗ kɛn se sum ɓo gaŋ kɔrɔn̰jɔ naar ɔɔɗ ɔɔyɔ.
JHN.18.28	Tanɔɔrin̰ nɔɔrin̰ se, naaɗe ɔko Isa gɔtn Kayip ki ɔɔ ɓaansin̰ ɓee magal *Rɔmɛge tu ron̰ Pilat. Gaŋ naaɗe baate kɛnd maak ki taa naaɗe ɗaapga ɗaap roɗe gɛn kɔsn *laa Paak, taa naaɗe je tɛɗn kusin̰a roɗe ki eyo. 
JHN.18.29	Gɔtn se Pilat teec ɔŋɗe naatn ɔɔ ɗeekɗen ɔɔ: «Gaabm se naase ɔkin̰ki mindin̰ gɛn ɗi?» 
JHN.18.30	Naaɗe tɛrlin̰ ɔɔ: «Gaabm se kɛn tuj te ɗim ey sum ɓo naaje jꞋansin̰o kɔkŋ ɓaa gɔti ki la?» 
JHN.18.31	Gɔtn se Pilat tɛrlɗen ɔɔ: «Naase mala ɔk ɓaansin̰ki, ɔɔ taar se, ɓaa aakin̰ki ute ɗoobm naase.» Gaŋ Yaudge tɛrlin̰ ɔɔ: «Naaje jꞋundjen te kulu gɛn tɔɔl deba eyo.» 
JHN.18.32	Bin ɓo taar kɛn Isa taaɗo ɔɔ te ɗoobm gay kɛn naan̰ utu an kooy se, aanga ɗoobin̰ ki.
JHN.18.33	Gɔtn se Pilat tɛrl ɛnd maak ki daala, ɔl kꞋdaŋo Isa, ɔɔ naan̰ tɔnd mɛtin̰ ɔɔ: «Naai ɓo Gaar Yaudge la?» 
JHN.18.34	Num Isa tɛrlin̰ ɔɔ: «Taar naai Ꞌtaaɗ se, naai mala ɓo saap ɔŋin̰ lɔɓu, jeegen kuuy ɓo taaɗi taa maam lɛ?» 
JHN.18.35	Pilat tɛrlin̰ ɔɔ: «Naai aakum maam se, mꞋkɔɗ Yaud la? Kɛse jeeige mala naaɗen *jee magal tɛɗn sɛrkɛ Raa ki se ɓo ɔk ɓaansio gɔtum ki je ai kutu. Naai tap ɓo tujga ɗio?» 
JHN.18.36	Gɔtn se Isa tɛrlin̰ ɔɔ: «Gaar maam se gɛn do naaŋa ara eyo. Kɛn gaar maam jaay gɛn do naaŋa ara num, asgarumge am kɔŋ kɔn̰um Yaudge am kɔk eyo. Num ɓɔrse gaar maam se, gɛn do naaŋa ara eyo.» 
JHN.18.37	Gɔtn se Pilat ɗeekin̰ ɔɔ: «Kɛn bin se, naai gaarge ɗaamo?» Isa tɛrlin̰ ɔɔ: «Yɛɛ aan gɔɔ kɛn naai Ꞌtaaɗin̰ se, maam se mꞋgaarge. Taa naan̰ se ɓo maam jꞋoojuma ɔɔ maam mꞋɓaaɗo do naaŋ ki se taa mꞋtɛɗn saaɗa do taar kɛn mɛt ki. Ɔɔ debm jaay iŋg ute taar mɛt ki se, booy kuun taaruma.» 
JHN.18.38	Pilat tɛrl Isa ki ɔɔ: «Taar mɛt ki se, taar gayo?»
JHN.18.38	Num kɛn Pilat jaay taaɗ taar ese se, naan̰ tɛrl teec ɓaa ɔŋ Yaudge daala ɔɔ ɗeekɗen ɔɔ: «Gaabm se, maam mꞋɔŋ te taar ɗim kusin̰ gɔtin̰ ki eyo. 
JHN.18.39	Aan gɔɔ aanga laa Paakŋ gɛn Yaudge tak ɓo, maam mꞋlee mꞋtɔɔɗ tɔlsen tɔl maakŋ jee daŋgayge tu deba kalaŋ se, ɓɔrse naase Ꞌjeki mꞋasen kɔɔɗn kɔl Gaar Yaudge se la?» 
JHN.18.40	Tɛr gɔtn se naaɗe baag tɔɔyɔ ɔɔ: «Naaje kꞋje Barabas, ey num naan̰ se eyo!» Anum gaŋ Barabas se, naan̰ debm tujn̰ nakŋ jeege.
JHN.19.1	Gɔtn se, Pilat ɔl ɔɔ jꞋɔk kꞋɓaano te Isa ɔɔ kꞋtɔndin̰ ute mɛɛjɛ. 
JHN.19.2	Ɔɔ asgarge se, uj ɗaapo jɛkɛ gɛn kɔrɔndɔ ɓaaɗo ɔndin̰ don̰ ki, tɛr naaɗe uun uusin̰ kal gaarin̰ge aac boŋ. 
JHN.19.3	Naaɗe iiko cɛɛn̰ ki ɔɔ ɗeekin̰ ɔɔ: «Tɔɔsɛ naai ki, Gaar Yaudge!» Gɔtn se, naaɗe baagin̰ tɔnd mɛtn bin̰ ki. 
JHN.19.4	Tɛr Pilat teeco kuuy daala ɔɔ ɗeek Yaudge tu ɔɔ: «ꞋBooyki, gaabm se maam mꞋan̰o kɔɔɗn teecn̰ naatn. Taa naase aki jeele maam se mꞋɔŋ te taar ɗim kɛn naase ɔkin̰ki mindin̰ ro ki eyo.» 
JHN.19.5	Gɔtn se Isa teeco naatn ute jɛkŋ kɔrɔndɔ don̰ ki ɔɔ te kal gaarin̰gen aac se ron̰ ki. Anum Pilat ɗeekɗen ɔɔ: «Kɛse ɓo gaabm se!» 
JHN.19.6	Num kɛn *magal jee tɛɗn sɛrkɛ Raa ki te jeeɗege jaay aakin̰ se, naaɗe baag tɔɔɗn tɔɔyɔ ɔɔ: «Naan̰ se tupu tɔɔlin̰ ro kaag ki! Tupu tɔɔlin̰ ro kaag ki!» Gaŋ Pilat taaɗɗen ɔɔ: «Naase mala ɔk ɓaa tupu Ꞌtɔɔlin̰ki ro kaag ki; ey num maam se mꞋɔŋ te taar ɗim kɛn naase ɔkin̰ki mindin̰ ro ki eyo.» 
JHN.19.7	Yaudge tɛrlin̰ ɔɔ: «Naaje se jꞋɔk *Ko Taar kɛn Raa ɛɗo Musa ki ɔɔ maakŋ Ko Taar naajege se taaɗ ɔɔ debm bin se jꞋan̰ tɔɔlɔ. Taa naan̰ tɛɗ ron̰ Goon *Raa.» 
JHN.19.8	Kɛn Pilat jaay booy taarɗe se, ɓeere ɔkin̰ cir daala. 
JHN.19.9	Pilat tɛrl ɓaa ɔŋ Isa maak ki tɔnd mɛtin̰ ɔɔ: «Naai tap ɓo iin̰o gay?» Num gaŋ Isa baate tɛrlin̰ taara. 
JHN.19.10	Gɔtn se Pilat ɗeekin̰ ɔɔ: «Maam ara ɓo naai Ꞌbaate tɛrlum taara ne? Naai Ꞌjeel ey la kɛn maam mꞋɔk tɔɔgɔ ɔɔ kɛn mꞋje num, mꞋai kɔɔɗn kɔlɔ ɔɔ kɛn gɔtɔ lɛ mꞋɔk tɔɔgɔ kɛn mꞋai tupm tɔɔl ro kaag ki se?» 
JHN.19.11	Gaŋ Isa tɛrlin̰ ɔɔ: «Naai se kɛn Raa jaay ɛɗi eyo te tɔɔg ey se, naai ɔk tɔɔgɔ dom ki eyo. Taa naan̰ se ɓo debm ɔk ɔlum ji naai ki se, tɛɗga *kusin̰ ciri naai se daala.»
JHN.19.12	Naan̰ kɛn se sum ɓo, Pilat je ɗoobm an kɔɔɗn kɔl Isa. Num gaŋ Yaudge baag tɔɔɗn tɔɔyɔ ɗeek ɔɔ: «Kɛn naai jaay ɔɔɗ ɔlin̰ga num, naai se mɛɗn Sezar
JHN.19.13	Kɛn Pilat jaay booy taargen se naan̰ ɔl kꞋjꞋɔk kꞋjꞋɔɔɗo Isa naatn, naan̰ ɓaaɗo ɔndin̰ gɔt kɛn jꞋiin̰ kꞋɗaapin̰ga ɗaap te koa kɛn naan̰ lee ɔjn̰ bɔɔrɔ jeege tu. Gɔtn se kꞋdaŋin̰ te taar Ɛbre: 
JHN.19.14	Aan gɔɔr te katar se, Pilat taaɗ Yaudge tu ɔɔ: «Aakki, kɛse ɓo gaarse!» Naan̰ kɛn se, naaɗe ɗaap ɗaap roɗe gɛn tɛɗn *laa Paak gɛn Yaudge tɛgɛr.
JHN.19.15	Num gaŋ Yaudge tɛrl baag tɔɔɗn tɔɔyɔ ɔɔ: «Naan̰ se, nakin̰ yoa, naan̰ se nakin̰ yoa! ꞋƁaa tupu tɔɔlin̰ ro kaag ki gam naane!» Pilat tɛrlɗen ɔɔ: «Gaarse ɓo, naase Ꞌjeki mꞋan̰ tupm tɔɔl ro kaag ki la?» Magal jee tɛɗn sɛrkɛ Raage tu tɛrlin̰ ɔɔ: «Naaje se Gaarje Sezar sum, gaar kuuy se naaje kꞋjꞋɔk eyo!» 
JHN.19.16	Gɔtn se sum ɓo, Pilat ɔk ɔlɗen Isa taa naaɗe an̰ ɓaa tupm tɔɔlin̰ ro kaag ki. Ɔɔ gɔtn se asgarge ɔk ɓaan te Isa.
JHN.19.17	Kɛn Isa teec teec maakŋ Jeruzalɛm ki se, naaɗe ɔn̰in̰ naan̰ mala uun kaagŋ jꞋansin̰ tupm ro ki se, daamin̰ ki. Ɔɔ naaɗe ɓaansin̰ gɔt kɛn kꞋdaŋin̰ kaaɗn do deba. Gɔtn se te taar *Ɛbre se, ron̰ Golgota. 
JHN.19.18	Ɔɔ gɔtn ese ɓo naaɗe tupin̰ ro kaag ki ɔɔ naaɗe tup jeege dio ro kaagge tu kici; deb kalaŋ jꞋuun kꞋɗaarin̰ cɛɛsin̰ kɛn kalaŋ ɔɔ deb kuuy se jꞋuun kꞋɗaarin̰ cɛɛsin̰ kɛn kuuy ɔɔ naaɗe ɔl Isa ɗaar daan ki. 
JHN.19.19	Tɛr Pilat raaŋ ro kaag ki ɔl kꞋɓaa kꞋtupin̰ raan kaam do kaag kɛn kꞋtupm Isa ro ki. Ɔɔ taar naan̰ raaŋ se taaɗ ɔɔ: «Isan kɔɗ Nazarɛt se, naan̰ Gaar Yaudge». 
JHN.19.20	Gaŋ dɛn Yaudge se dooyga taar se, taa gɔtn kꞋtupm Isa ro kaag ki se, naan̰ gɔɔr te Jeruzalɛm. Ɔɔ taar naan̰ raaŋin̰ se lɛ raaŋin̰ te taar Ɛbre, taar Laatin ɔɔ ute taar Grɛk kici. 
JHN.19.21	Num *magal jee tɛɗn sɛrkɛ Raa ki gɛn Yaudge se, ɗeek Pilat ki ɔɔ: «Ɔn̰te raaŋ ɔɔ: naan̰ se Gaar Yaudge, num raaŋ ɔɔ: naan̰ ɓo taaɗ ɔɔ naan̰ Gaar Yaudge.» 
JHN.19.22	Gaŋ Pilat tɛrlɗen ɔɔ: «Taar maam mꞋraaŋin̰ga se, mꞋraaŋin̰ga sum.»
JHN.19.23	Kɛn asgarge jaay tup Isa ro kaag ki aas se, naaɗe tɔs kalin̰ge ɔɔ nigin̰ gɔtɔ kaam sɔɔ. Deba kic ɓo uun bɛɗin̰ bɛɗin̰a. Ɔɔp kalin̰ kalaŋ kɛn naan̰ uusin̰ga num lee tuusin̰ kalgen kuuy do ki se, ɔɔ kal se ɔnd raan bini bɔɔy aan naaŋ ki se ɔk gɔtn kur eyo. 
JHN.19.24	Gɔtn se asgarge taaɗ te naapa ɔɔ: «Kal se jꞋɔn̰te Ꞌnɛɛpin̰ki, num gaŋ kꞋtɛɗin̰ salatia, debm kɛn oocin̰ga ɓo Ꞌkuun sum.» Anum nakŋ se aanga ɗoobin̰ ki aan gɔɔ taar kꞋraaŋo do dɔkin̰ kɛn ɔɔ:
JHN.19.24	Ɔɔ kɛse ɓo naabm kɛn asgarge tɛɗa.
JHN.19.25	Cɛɛ kaag kɛn kꞋtupm Isa se, ko Isa ute gɛnaan̰ mɛnda, ɔɔ Mari mɛnd Kleopas ute Mari kɛn iin̰o Magdala ki, naaɗe utu ɗaar gɔtn ese. 
JHN.19.26	Gɔtn se, Isa aak kon̰a ɗaar ɗaar cɛɛ debm mɛtin̰ kɛn naan̰ jen̰ se, naan̰ ɗeek kon̰ ki ɔɔ: «Kaaya aaka, kɛse ɓo gooni.» 
JHN.19.27	Tɛr naan̰ taaɗ deb kɛn mɛtin̰ ki se, ɔɔ: «Aaka, kɛse ɓo koi.» Ɓii kɛn se sum ɓo debm mɛtn Isa ki se ɔk ɓaansin̰ ɓeen̰ ki. 
JHN.19.28	Kɛn nakgen se jaay deel paac sum se, aan gɔɔ Isa jeel naabm kɛn naan̰ ɓaano ro ki se naŋga, num taa taar kꞋraaŋo do dɔkin̰ Ꞌkaan ɗoobin̰ ki se, naan̰ ɗeek ɔɔ: «Maam se, maane tɔɔluma.» 
