MAT.1.1	Abraham chapa Devid, ava Chapa Jisu Khrista ki charuwl Laaika. 
ACT.24.5	Mleija hava miilaija khusiir tparthit na khat, ungta dultipaam mkheng thu ka am Jihudia miirek hin pauvi vawng kuplum lik Nasareth lop berksu khatti amda. 
ACT.24.6	Mma ngi luwbuk Inn ruk mdo kchou kre nra kurthlongda, pdainu neenni kjowng dok innu, neenki Nowlam dil kṭoiji kṭewl nikaan di. 
ACT.24.7	Pdainu rawlmii berksu Lysia thlengda neen kukhut thungki nam trommi mlowng inda, 
ACT.24.8	mma ki mraal kpiirek ava nah amaiṭhuwmmi mthlen nraan paureenda. Neenni mma ki mraal kdo piik naan khim khaija nah adak katti aparsin nabi, dei daat nadi. 
ACT.24.9	Jihudia rek rukva hava khim khaija anto pi dilamda the tpom lamda.
ACT.24.10	Ungta paam kpupa ngi mpau nra mmik makcha psuk thungta, Poul li arthawngda:
ACT.24.10	“Hava chati rek tunni nang ngi akṭewlla tdit neiji kdo dee chaak leiji plung kngammi karthe loi chni. 
ACT.24.11	Neiji Jerusalem tha luwkbuk ra kahan chaak ava nii sowm leiknii kheel mlai tdit nang ngi dei nadi; 
ACT.24.12	Ungta mmaanni ku mii khat lee hin nei kdo karteen ṭhi mdit mata kurtuwl miirek vawng kdo plum ava luwbuk Inn thung daat don mata synagog rek thung daat don mata khuwpii thung daat don pha lamme. 
ACT.24.13	Mdit mata mmaanni neiki kraal mdo tpiik naanki mlei kat ava pii pchaang lam nime. 
ACT.24.14	Pdainu nah hinni hava kthe chaakka, mleija mmaanni karmak lop mdodit in ava Lam dil kṭoiji neiji nenki npahle ki Isowr luwbuk nu, Nowlam thu mata khulpu rek dokjit thu do khim khai rin chnu, 
ACT.24.15	kindit rek ruk kindit kma rek ruk mikniing ngi kring karheelra dida hava mmaan mdaksaan kat rukva mdorot in Isowr ava hinni neiji kuplung kdo var chaak. 
ACT.24.16	Ava leiji neiji Isowr hin ruk ungta miirek hin rukva plung kpanchel deekki ka am nra kja ngi plung kdo purdun chaak. 
ACT.24.17	Tunva kum mruk diltha nei kchati rek hin chla ungu tlaaikdown chra kthleng cha ping. 
ACT.24.18	Kurtuwl mii mata vawngklum ktaak liitti luwbuk Inn thu kartleu dokki hava kdotlot slii pha lamda. Pdainu Asia ki Jihudia miirek angṭhe am lamda. 
ACT.24.19	Mmaanni nei kihin kraal mdo piik nraan ma ambi, mun hava thu nah amaiṭhuwmmi athe lamso. 
ACT.24.20	Mdit mata hava miirek mdaksaan katti neiji karseel lop maiṭhuwm mi kri mpha thu kdo parma ma amta athe lamso. 
ACT.24.21	Kdiyou thungki kring karheel mlei thu snii naan amaiṭhuwm inni ado tparsin naan hava krowl hanto daatti neiji mmaan arlakva krip ping.
ACT.24.22	Pdainu Philiks ava ngi Lam tdit mlei thu mkindit kat deida, “Rawlmii klin sii Lysia murjunta naanki mleija reelro laini,” dida the thida mnit sown pthiida. 
ACT.24.23	Ava dilli mma kṭha deekki mdo seel psuk nraan, pdainu mplap rekki mdo kriin mdo purdon pik chaak nra, kintekki mdo thiik nraan, rawlmii berksu hin paupṭum da.
ACT.24.24	Ma am bong diltha, Philiks ava ngi mnumei Jihudia snu miilai khat kurthuwk Drusila ṭhida, Poul ku ownra mii siida, Khrista Jisu hin krin cha mlei thu mdo the pik karyaa ra arvada. 
ACT.24.25	Ungta mma rinkidit ungu daksaa kjuwm ungta dilki kekṭewl mlei thu ngi mkarteen in thungta, Philiks va ṭida, ungu theda, “Hava mpha ki tumva sun; neiki mpha ma am thu a own laini.” 
ACT.24.26	Poulva sum mikpii luwng rangmo kdi rukva binda. Ava leiji maknem thu mma ngi mii siida, ownda ungu karbiik ṭhida. 
ACT.24.27	Pdainu kum knii mve dok thungta, Porsias Phestas ava ngi Philiks kchang donda; Philiks va Jihudia rek san nuwm da, Poul la rownginn thu ma daat da.
ACT.25.1	Tunva Phestas ava ngi mpaam thung ngi arvang lutda, nii kdum diltha Kaisaria ki Jerusalem tha hangda. 
ACT.25.2	Ungta thiimpu kinreel rek leh Jihudia rek berksu miirekki Poul ki mraal the lamda, mhin ktham chlamda, 
ACT.25.3	lamtha mmaanni pthlimda mdo eayo nraan, mma ava Jerusalem tha mdo hansii da mdosan nraan pau khewl chlamda. 
ACT.25.4	Phestas ava ngi arthawngda, Poul la Kaisaria tha am daatda mma mdak katti ava tha kbeiji mjun nra theda. 
ACT.25.5	Ava leiji mma ngi theda, “Naan arlakki rutan kthloi miirekki mjunṭoi lamso, ungu ava miilai do parma ma amta, mmaanni mraal kpii lamra.”
ACT.25.6	Mma ngi mmaan arlakki nii tret mata nii sowm kipkheel kma ambong thida, Kaisaria tha jungda; ungu mupduk niingi kekṭewl ko onna tunni ko ong thida, Poul mdo arvan ṭhi nraan paupṭumda. 
ACT.25.7	Ungu mma marvan ṭhiin thungta, Jerusalem kikjung Jihudia rekki klop dok lamda, mlei kat ktaakki krik krik pau knempokki mraal pii lamda. 
ACT.25.8	Poul karthe loi, “Neiji Jihudia rek Nowlam tun mata luwbuk Inn tun mata Kaisar tun mraal kpii ngi karmak nong tlo liit maang.” 
ACT.25.9	Pdainu Phestas ava ngi Jihudia rek mdosan nuwm leiji, Poul hin theda, “Nang ngi Jerusalem tha hangda hava pau mlei thung ngi nei kmaiṭhuwmmi avatha aparsin nuwmma?” 
ACT.25.10	Pdainu Poul li theda, “Neia paamkpu Kaisar maiṭhuwm mi krip daat ping, ava thung ngi ado tparsin kat raan; Jihudia rek hin neiji karmak nong tlo liit maang tdit nang ngi kminni ado dee dok. 
ACT.25.11	Anto daat joso neiji karmak tloda ungu kdiyou kroki do khat ktlotbi; neiji kdiyou rangki karthlet ra thlaam maang; pdainu mmaanni kraal mdo tpiik lam thung ngi do khat lee ma am mabi, ku mii khat lee ngi neia mmaan hin mpii pchaang nime. Neiji Kaisar hin pau kdo naak dok.” 
ACT.25.12	Ava dilli Phestas ava ngi karseel lop tu pau mkaryaak ndok diltha arthawngda, “Nang ngi Keisar hin pau ado naak dok leiji Keisar hin vangcha.”
ACT.25.13	Tunva niikhu mve bong diltha kruwng Agripa leh Barnis ava ngi Phestas dokowl rang ngi Kaisaria tha thlung lamda. 
ACT.25.14	Ungta mmaanni niikhuw roiksotti makcheen dil thaan, Poul mlei thu Phestas ava ngi kruwng maiṭhuwmmi ṭhida, theda, “Philiks do maak daat rownginn thung ngi miilai khat am daat da; 
ACT.25.15	ungta neiji Jerusalem thu ka am daat mpha thu, thiimpu kinreel rek leh Jihudia rek kver rekki, mma mlei thu kihin the lamda, mma mlei thu mraal kpii rangki mkhewl lamda. 
ACT.25.16	Neiji arthawng lamnu, mleija mdo the psul in mii ava ngi kthe psul rek kurdut ṭhida mmaan dothe naki mraal mlei thu mkarthe loi du khim khai ku mii khat ti miilai ava mpiik dok bi ava Romia ki nopa pme. 
ACT.25.17	Ava ngi mlei kurthuwkda, mmaanni hava thu mthuw kurku in mpha thu, neiva krem maang, pdainu mupduk niingi kekṭewl ku onna tunni ko ongnu ungu miilai ava mdo arvan ṭhi nraan pau pṭumnu. 
ACT.25.18	Mraal kpii rekki rip lamda mma mlei thung ngi neiji kṭha kma ngi kdobin hep luluva khat lee the lam mda; 
ACT.25.19	mmaan karteenna ava, mmaanki dhormo mlei thu, Jisu tdit miilai khat, kdiyou thungki ava Poul li kring karheel pi dida, mdothe ava mmaan poibin thung ngi mdo purthun susu in thung ngi karteen psuk lamda. 
ACT.25.20	Hava le mlei thu neiji tak heppi khewl nikda dinu, mma ngi Jerusalem tha hangda ava mlei thung ngi mpirsin nuwm mo dinu khewl nu. 
ACT.25.21	Pdainu Poul li paamkpu kinreel dobin dil kṭoiji, mdo seel psuk nraan mthe thungta, neiji mma ava Kaisar hin ksii du khim khai mdo seel psuk nraan paureennu. 
ACT.25.22	Ungta Agripa ngi Phestas hin theda, “Nei kdaksaa katti mii ava karyaak nuwmma.” Mma ngi theda, “Pduknii ngi mhin aryaa nadi.”
ACT.25.23	Ava leiji mupduk niingi Agripa leh Barnis ava ngi marchaang klin ni rawlmii ki klin siirek leh khuwpii ki klinksaang rek tu kilṭhida mii kurtuwlna inn klin thu lut lamda. Ava dilli Phestas ti Poul mdo arvan luṭhi nraan pau pṭumda. 
ACT.25.24	Ungta Phestas ti theda, “Kruwng Agripa ungu hava thu ka am nen nkheng, Jerusalem leh hava thu ka am Jihudia miirek mkheng ngi nei kihin mlei mdo kjit in miilai ava asuwn, mleija mma mrin bong rang pme kdingi owng lamda. 
ACT.25.25	Pdainu mma ngi mdiyo nrangki do khat lee neiji pha manu, ungta mma mdaksaa rukva paamkpu kinreel hin pau mdo naak dok leiji, mma kdosi dok nra reel dok nu. 
ACT.25.26	Pdainu neiki paam kpupa hin mma mlei thu kdo kjit kat ra do khat lee am mda. Ava ngi mlei kurthuwkda, naan amaiṭhuwm inni kṭhi pthuw chaakka ungu kinreel siingi kruwng Agripa, nenni mma npirsin ndok dil thaanni, neiji mlei mruk kdo kjit chaak rang nga kpha cha kro ping. 
ACT.25.27	Mleija rownginn thungki miilai khat ava mma ki mraal kikjit pik kma nsii pthiibi, ava dosi nime mo kdingi bin chnu.
ACT.26.1	Agripa ngi Poul hin theda, “Nah adaksaa ki tummi kpaura akrot pikka. Ava dilli Poul li mkhut haida karthe loi chda:
ACT.26.2	“Kruwng Agripa, Jihudia rek mii mkheng ngi nei mdo tithe psul nlam, ava nah amaiṭhuwmmi snii ngi kdo theloi chaak rang leiji ksuwkṭha changi kirbin kchaam ping, 
ACT.26.3	mleija nang ngi Jihudia rek leh pau kthuwk mkheng ado tdee pik ava ngi mlei kurthuwkda, nei kpausaam karyaa thung ngi ado tdiil pik chaak nra kaktham kcha imping.
ACT.26.4	“Neiji keksenao ki kupṭhunni kdaksaa katki kchati rek arlakki Jerusalem thung ngi ka am kcha ping, Jihudia rek mkheng ngi ava mdodee dok. 
ACT.26.5	Mmaanni sakhi mpiik nuwm inbi, mpha roiksot thung ngi mmaanni mdodee in, mleija neenki dhormo thu knet merri Pharisi miilai khatti ka am cha ping. 
ACT.26.6	Ungta tunva neen kpahle hin Isowr paureel dok ava kdo arngai chaak leiji mdo kṭewl rangki hava thung ngi krip kchaam ping; 
ACT.26.7	sumkhur sowm lei knii ngi suwn jaan knai kma plung klutti luwbukda mdo phaak chaak raanki mdo arngai in. Ungta O kruwng hava karngai ji Jihudia rekki kraal mpii lamda! 
ACT.26.8	Isowr ri kdiyou thungki mdo prin pinlet ava naan ku mii khatva talu leiji do ksi kma thleer ri abin inna?
ACT.26.9	Nei kdaksaa kat daat rukva, Nasareth ki Jisu kro kma ngi nong knempok kdo tlot kat kat ra dinu kdobin. 
ACT.26.10	Ungta ava neiji Jerusalem thung ngi tlonu; thiimpu kinreel rek rutan piikki, kintiing rek mii knempok ava rownginn thung daatti kukhum kma, pdainu mmaanni mi eayo in mpha thung rukva neiji mraal in kpii thu kdo tpom lam. 
ACT.26.11	Ungta neiji maknem thung ngi synagog rek mkheng thu mraal pii lamnu, Isowr kjowm kcha ngi mdo tlot nraan kurthlongnu; ungu kdung plung kthingi mraal pii lamnu, paam ktlokki khuwpii rek kpha ruk pja chlamnu.
ACT.26.12	“Hanto neiji thiimpu kinreel rek rutan ki paupṭum tu kilṭhi ngi Damaskas tha chetnu. 
ACT.26.13	Kunthun ṭimmi, O kruwng, lamtha neiji parwaanki mar awng khat deinu, kniw kheel dekki kleng mar awng ngi nei leh kmiiṭhi rekka mtukhul dok inda. 
ACT.26.14	Ungta kikheng inni dul leen ktluk chaak in thungta, Hebru pauvi nei kihin mdo the slii neiji aryaanu, “Soul, Soul, talu leiji Neia atapjat chaakka? Nang ngi tarliing akaubi lim chnadi.’ 
ACT.26.15	Ungbi neiji thenu, ‘Mukpu, Nah ku ptida?’ Ungbi Mukpu ngi kihin theda, ‘Neia nah do pjat slii Jisu ava ping.’ 
ACT.26.16	Pdainu kardelra akhu ngi rip; mleija hava tummi neiji ahin ktardet ping, mleija nang ngi ado tdee ungta Neiji ado ktidet ra ava sok loda sakhi ado piik nra Neiji ado kukchol khiin nra, 
ACT.26.17	Neiji miirek leh ktlok chati rek thungki aṭen pthuwk nikdon 
ACT.26.18	mleija mmaanni kjiing thungki mar awngtha, seitaan rutan thungki Isowr ktongtha kinle da, pnu rek kuptlot pik mdo arlaan chaak nraan ungu Nei mikrin kchangi kartleu dok rek arlakki ado thiik lam nra, mmik in kapvan pik ra Neiji aksii kurthuwk ping.’
ACT.26.19	“Ava ngi mlei kurthuwkda, O kruwng Agripa, neiva parwaan ki mik kleng thu kleekka pchaang maang, 
ACT.26.20	pdainu rukri reeppi Damaskas tha, ava dilli Jerusalem tha ungu Judia paamkowl mkheng thu, ungta ktlok chati rek hin rukva thethuw nu, mleija mmaanni plungren hurda ungu Isowr hin mkinlet nraan ungta mmaanni plungren hurda kurhui nong mdo tlot nrang lei. 
ACT.26.21	Mleija hava ngi mlei kurthuwkda, luwbuk Inn thu Jihudia rekki mukjowng lamda, ungu mke eayoura kurthlong lamda. 
ACT.26.22	Snii kpha thu neiji Isowr hinki kbom thloi chnu ungta hava thu ripnu kdil leh klin hinni sakhi kpiik chaakka, 
ACT.26.23	mleija Khrista ngi kja kakham parteel kat da, ungu ava ngi, kdiyou thungki rukri reeppi ring kinle da, miirek leh ktlok chati rek mikniing hinni mar awng mkaryaam nra, kthuwk dok khulpu rek leh Mousi dothe ava kma donle neiji do khat lee the chmaang.”
ACT.26.24	Ungu mma ngi hanto mkarthe loi thungta, krowl kparyaa ngi Phestas ti theda, “Poul, mong kukto kchaamti, kdung reenni akurchu chaakki mong atupto pthia.” 
ACT.26.25	Pdainu Poul li theda, “Kinreel sii Phestas, neia mong kto maang, pdainu mkindit kat kthe cha ping. 
ACT.26.26	Mleija kruwng ngi hava le mlei deida, ungu mma hinni kintekki kpau kcha ping; mleija mma hinva paurek ava kurdowl ava pme mleija neiji deinu, ditta hava kensi khat thung ngi kthuwk nong ava pme. 
ACT.26.27	Kruwng Agripa, khulpu rekka nangva arin chaak mo? Nang ngi rin chna tdit neiji kdea.” 
ACT.26.28	Ungbi Agripa ngi Poul hin theda, “Mpha ktoi tek thung ngi khristen atpurthuw nuwm ma!”
ACT.26.29	Ungbi Poul li theda, “Toi tek daat joso mata saangpa daat joso Isowr hin kṭhil kma donle, nang daat kma pdainu snii ngi mkaryaa kcha mii mkheng rukva, hava thiir ri hephep daat kma nei klulu mkurthuw nrang leiki.”
ACT.26.30	Ava dilli kruwng leh paamkpupa Barnis leh kuk ong miirekka rip lamda; 
ACT.26.31	ungu mmaanni mkunsun in thungta, khat leh khatti the lamda, “Hava miilaija mdiyo nra mata rownginn thung ngi tukhum nrangki mlei do khat lee ame.” 
ACT.26.32	Ungta Agripa ngi Phestas hin theda, “Hava miilaija Kaisar hin mthe thut ma tlaangbi, kintekki tapthlat pthii rang nga.”
ACT.27.1	Ungta neenni Romia kira arkuwngpii ktuwngra kukurthlon in thungta, mmaanni Poul leh rownginn thungki mii murson rekka, Agastas rawlmii kinreel sii mdodit rawlmii rek berksu mmiing Julias mdodit ava hin parlaan lamda. 
ACT.27.2	Ungta Asia paam ktai thung ngi kchet ra Adramitian arkuwngpii khat tun tuwng innu, neenni truwn leen howl innu, ungu Thessalonikia ki Masidonia mii khat Aristarkas ti neenna mṭhiinda. 
ACT.27.3	Mupduk nii ngi Sodon thlung innu; ungta Julia va Poul la wonsat klongi tloda, mplap rekki tuk mdosut pik nra rot pikda. 
ACT.27.4	Ungta ava thungki ngi truwn leen arkuwngpii tun ktuwn in thungta, tchangkhuw ngi mdo traan lei inni, Kupras prahpaam ktongtha howl innu. 
ACT.27.5	Silisia leh Pamphilia dusukki truwn thung ngi howl innu, neenni Lisia thungki Maira tha thlung innu. 
ACT.27.6	Ava thung ngi Italy kira Alekjandria ki arkuwngpii khat, rawlmii berksuva phada, ava thu neen rukka muptuwng chaanda. 
ACT.27.7	Niikhuw roiksot dokki neenni ktap naam naammi howl innu ungu kparsa langlang ngi Knidias thlung innu, ungu kche kurnowl raanna tchangkhuw kraang ngi mkarsit ma thungta, Salmonia ki Kretia prahpaam ava kurdungi howl innu. 
ACT.27.8	Kparsa langlang ngi neenni arkuwngpii thlunna mun kuhui deek mdo dit Lasia khuwpii ktinel tek thung ngi thlung innu.
ACT.27.9	Mpha roiksot reenni maangda, ungu kthen ngowl naan ro mso reen leiji arkuwngpii kuhowl ava parsa langlangda, Poul li mhin inni parseel lamda, 
ACT.27.10	theda, “Ocha rek arkuwngpii ava do ngi nor donle knemmi kmaangra, arkuwngpii leh mthungki dona rek daat kma nrinkhu inrukka kmaangra.” 
ACT.27.11	Pdainu rawlmii ki berksuva Poul dothe hinva, arkuwng ksa leh ava kpupa pau knaa tkiin betda. 
ACT.27.12	Ungta arkuwngpii thlunna ava phalbii thung ngi mthlunna mṭhat ma leiji, mii maknemmi ava thungki truwn thung ngi mdo thiik nra parseelda Kretia ki arkuwngpii rina Phonikis mdodit karthakki kniw thuwna ktong ki leh kurdu ki kniw thuwna ktarngaiji thlung innu, ungu ava thangva phalbii kurthuwkda.
ACT.27.13	Ungta kurdu ktongki tarthli marhan raan hiir hiir thungta, mmaanni mdo ngei in kpha kcha heppi karbin lamda, mmaanni mnareeng ri khiing lamda, diibiing ktinel tek Kretia tha howl lamda. 
ACT.27.14	Pdainu tunkat daatti tchangkhuw kraang ngi, karthakki kniw thuwna mdodit avaki ngi laan ktongtha kdung ngi raanda; 
ACT.27.15	ungta arkuwngpii kjowngda tchangkhuw mdiil pchaan ma raan thungta, neenni mlam ma pthiinnu anto mhowl inda. 
ACT.27.16	Ungta Kouda mdodit prahpaam kdilsuwn ava tingi chenda, kparsa langlang ngi neenni arkuwng ava kjowng innu; 
ACT.27.17	ava mkhiin dil thaan rongi, mmaanni arkuwngpiia mdo howl nraan ktong thang ngi howl lamda, ava dilli Sytias tha kchen daat rang mo kdingi ṭi lamda, mmaanni arkuwng buwdaar ava pchowm lamda, ungu anto howl lamda. 
ACT.27.18	Tchang khuw kraang ngi kdung reenni mdo traan lei inni, mupduk niiva mmaanni arkuwngpii leenki dona ava arkuwng leen kvar pṭhun lamda; 
ACT.27.19	ungta mnii kdumna nitva arkuwng thungki dona ava mkhut kat inni var lamda. 
ACT.27.20	Ungta nii kursonni bursi ruk kniw ruk mkandanma thungta, tchangkhuw kraang ngi kdung mjiil dok inda, kring chra kdobin chaak in mkheng ava am mda.
ACT.27.21	Then mdo chaak manaan roi mso reen thungta, Poul li mhin inni arvangda, ungu theda, “Miirek, naanni ataryaak pik daat tlaang in, ungta Kretia ki nhowl ma tlaang inbi, kar eakrep leh kmaang amnime. 
ACT.27.22	Pdainu plung ado pnet nraan neiji akatham chaak inna; mleija naan arlakki ku khat lee rinkhu maang nime, pdainu arkuwngpii daat ra. 
ACT.27.23	Mleija snii jaanni Mma ki Waan tamsii kurthuwk neiji luw kdobuk ava ngi kbe tha ripda, 
ACT.27.24	ungu kihin theda, ‘ṭi liit ma, Poul; nang ngi Kaisar maiṭhuwmmi arima rome, ungta asuw, nangtu kilṭhi ngi kohowl miirek mkheng nga Isowr ri mrot pikka.’ 
ACT.27.25	Ava leiji miirek, plung apnet chaan, mleija Isowr rinchnu, nei kdothe hep hep daat ra. 
ACT.27.26	Pdainu prahpaam murson tha nenni tchen maan rome.”
ACT.27.27	Jaan ava mnii sowm lei plitna veida, neenni Adria truwn thung ngi tchangkhuw doraanni kaklaan in thungta, thanṭim arveelli arkuwngpii kohowlva, laan nai pakda kdingi binda. 
ACT.27.28	Ava leiji mmaanni lam somknii kukthuk archaang pha lamda, mhai kursown bet in thungta, lam sowm lei parnga archaang ngi pha nowl lamda. 
ACT.27.29	Ungta neenni lung klin nor daat nikaan mo kdingi ṭi innu, mmaanni arkuwngpii mdil ktongki mnareeng plii ava pchowm lamda, khuw var nra ṭhil chaannu. 
ACT.27.30	Ungta arkuwngpii kohowl rekki mchen chaak nraan mlam thlaam lamda, arkuwngpii thungki mnareeng kupchowm dotlot tlo leek lamda, arkuwng ava truwn thu pṭum lamda, 
ACT.27.31	ungbi Poul li rawlmii ki berksu hin theda, “Hava miirekki arkuwngpii thu ma am maanbi, kartlan pchaang nimaanti.” 
ACT.27.32	Ava leiji rawlmii rekki arkuwng ri kvetbuk lamda, ungu anto pthla pthii lamda.
ACT.27.33	Khuw mtlei rang thungta, mkheng inni then mruk ruk mdo chaak nraan Poul li ktham chlamda, theda, “Sniiva naanni then ado chaak liit mnaanki nii sowmlei plitna kurthuwkka, naanni nowl nowlda sown maan, akheng inni then mruk ruk achaan. 
ACT.27.34	Ava ngi mlei kurthuwkda, arutan nraan then mruk ruk achaan, mleija naan ku mii khat lee luwleenki sam khdaat pre ṭuh nime.” 
ACT.27.35	Ungta mma ngi hava the thida, mma ngi thenpen louda, mmaan mkhengki maiṭhuwm mi panpaak thida khuida kchaa pṭhunda. 
ACT.27.36	Ava dilli mmaan mkheng inni plung pngar lamda, mdaksaan ki then mruk ruk chaa lamda. 
ACT.27.37	(Arkuwngpii thungki neenna kikheng inni arjaa knii som tikheu lei truk in ping.) 
ACT.27.38	Ungta kukhoppi mmaal dok inle, arkuwngpii mthowm nra, kehu rekka truwn thu var pthii lamda.
ACT.27.39	Tunva khuw mtlei thungta, mmaanni laan ava tin chlam mda, pdainu diibiing khat dei lamda, mrot khim khai thu arkuwngpii ava diibiing ava tha ṭhi nuwm lamda. 
ACT.27.40	Ava leiji mmaanni mri khim khai kvet lamda truwn thu var pthii lamda, mpha ava kat thung ngi arkuwng nareeng ruk parthlet lamda; ava dilli mduki arkuwng ava tchangkhuw kraang ktongtha thii lamda, diibiing tha howl lamda. 
ACT.27.41	Pdainu diibiingki sitphui norda, mdu ktongki ava diithu tla chdokda; arkuwngpia sitphui thu nowt dokda, kakna liit kma am chdaatda, ungta mdil ktongki ava tchangkhuw kraang ngi mlaak mlaakki kui chda. 
ACT.27.42	Rownginn thu mdo khum ku mii khat lee ngi dii kbulda mchen chaak ma nraan rawlmii rekva ke eayou rangki kurthlong lamda; 
ACT.27.43	pdainu rawlmii rek berksu ngi Poul mdo ktlan nuwm leiji, mdobin in ava mdotlot ma nraan theda. Dii kukbul dei rekki arkuwngpii leenki junkhuwngda, rukri ngi laan mthlun nraan pau pṭumda, 
ACT.27.44	ungta ka am daat rekva dingphel mata arkuwngpii klekṭik tun aklaan so dida. Ungu ava leiji mii mkheng ngi laan tha kal chaannu.
ACT.28.1	Neenni ka karthle dok dil thaanni, neenni Maltia tdit parhpaam deiro innu. 
ACT.28.2	Ungta khuwpaam ava thungki miirekki kheel siingi wonsat mlo chaanda; mleija khuwkra pṭhunda kheel reenni kjiil sikda, mmaanni mei pchok lamda kikheng inni mkowl chaanda. 
ACT.28.3	Poulva ding tut khat thlaamda ungu mei thu dikda, msat thungta pruwl khat thuwkda mkhut tha purkol dokda. 
ACT.28.4	Khuwpaam ava thungki miirekki, mkhut leenki pruwl mdee in thungta, khat leh khatti the lamda, “Hava miilaija miilai khat ke aeyou munra. Mma ngi truwn thungki karthlet chdaat joso, ringthleng mun nime,” kdingi the lamda. 
ACT.28.5	Anto kurthuwk chdaat joso mma ngi pruwl ava mei thung ngi kṭhik lot pthiida kja nangme. 
ACT.28.6	Mmaanva ktarthliing ra mata tluw daat don kdiyou rang mo kdingi arda lamda; pdainu mmaanni roiksotti arda lamda mhin do khat lee mthuw ma thungta, muplungbin in parthleng lamda, mma mukpu khat kdingi the lamda.
ACT.28.7	Tunva mun ava arveelli paam avaki prahpaam kpupa mmiing Pablias tdit miilai khat amda, mma ngi mkowl chaanda, nii kdum lik thu mwonsatti mupthlung chaanda. 
ACT.28.8	Hanto thuwkda, ditta Pablias pah ava riphaak leh poisen ni koi chda, ungbi Poul li velda, mleen mkhut khiingda ṭhil pikda, ungbi dam chda. 
ACT.28.9	Ungta hava mthuw thungta, prahpaam thu ka am omlai kthloi cha rekki thleng lamda ungu pdam pik chlamda. 
ACT.28.10	Mmaanni chla knempok mpii chaanda; ungu neenni arkuwngpii leen kuhowl rangki ktuwn in thungta, kdo kriin chaak in mkheng msim pik inda.
ACT.28.11	Thla kdum diltha neenni prahpaam thu phalbi pvei dok in thiinnu, unao kanphiir kdujik Alekjandria ki arkuwngpii khat leen howl innu. 
ACT.28.12	Syrikias thu tparngat innu, neenni nii kdum kcheeng innu. 
ACT.28.13	Ungta ava thungki neenni lam punkoi innu, Rhegiam thlung innu; ungu nii khat diltha kurdu ktongki tirthli raangda, ungbi mnii knitna rongi Putiolia thlung innu. 
ACT.28.14	Ava tha neenni ku u knaorek pha chaannu ungu mmaanni mo own chaanda, nii tikheu kcheen ṭhiinnu. Ungta neenni anto Romia thlung chaannu. 
ACT.28.15	Ungta avaki ku u knao rek inni, neen mtaryaak in thungta, Apias bajaar mdodit ungu innlu kdum kpha dek lamkla ngi neenna mdu chaanda. Mmaan mdee thungta Poul li Isowr panpaak da, ungu plung tapngar chda. 
ACT.28.16	Ungu neenni Romia kthlun in thungta, Poul la mthina ngi rawlmii doseelli ma am nra rot pikda.
ACT.28.17	Nii kdum diltha, mma ngi khuw ava thungki Judia miirek berksurek own purkuk da, mma ngi mhin inni theda, “Ku u knaorek, neiji miirek mata nenki npahle nopa do khat lee raal piimaang, anto daat joso neia Jerusalem ki rownginn thu mdo tkhum lammi Romia rek khut thu mparlaan lamda. 
ACT.28.18	Mmaanni mpirsin dok lamda, kdiyo nrangki mlei khat lee ma amma thungta, mmaanni neia kintekki mapthla nuwm lamda. 
ACT.28.19	Pdainu Jihudia rekki mrot ma thungta, neiji kchati miirek hin kdo psul nlamra dokhat lee am mdaat joso, neia Kaisar hin lusang kdo tur oima rome di chnu. 
ACT.28.20	Ava ngi mlei kurthuwkda, neiji adei inda pau kdosaam chaak nra, ado ko own in, mleija Isreel rekki plung ngi kdung mdo arngai chaak, ava tummi neia hava thiirri ngi mdo tbowl. 
ACT.28.21	Ungta mmaanni mhin the lamda, “Nah mlei thung ngi neenni Judiaki chethi khat lee arlaang chmaan ring, ungta hava nang mlei thu pau ksongra mata kṭha pau ksong ra ku u knaorek in khat lee thlengme. 
ACT.28.22	Pdainu nah poibinna talu tdit neenni nah hinki karyaak chaak nuwm inna; mleija nah amna mun kteen thu miirekki araal piida tdit neenni dei innu.
ACT.28.23	Mmaanni mma tummi nii khat mpalreen in thungta, mma amna thung ngi mii knempokki thlengda. Ungta mma ngi Mousi Nowlam leh khulpu rek dokjit mikniing thungki Isowr Kruwngpaam sakhi piida, Jisu mlei thung ngi plungren mdohur nraanki jiingsun kingi kjiing kpha dekki the pik lamda. 
ACT.28.24	Ungta mii angṭhea mma pausaammi plungren hurda, ungu murson rekva rin chlamme. 
ACT.28.25	Ava leiji mmaan msingreel in thu kulrot nlam mda, Poul li hava paukhat mthe dilthang rongi sun lamda: “Pthla Kchiir ri naanki apah khulpu Isaijah hintha hanto tiptheda:
ACT.28.26	‘Hava miirek hin chet ra ungu athe,
ACT.28.26	naanni taryaakka aryaa naandi pdainu aryaa pandi nimaanti,
ACT.28.26	ungu naanni tsutta suw naandi pdainu suw pandi nimaanti,
ACT.28.27	mleija hava miirek plung nga kurmowl cha a,
ACT.28.27	ungta maknaa inna mdo aryaak naan thungki krik cha a,
ACT.28.27	ungu mmik inna mipjiin pthiinna,
ACT.28.27	anto mkurthut ma tlaangbi mmik inni suw pindi lamdon,
ACT.28.27	ungta maknaa inni aryaa lam don,
ACT.28.27	ungu muplung inni dei pindi lam don,
ACT.28.27	ungta mdam chaak nraan Nei kihin kinle lamra.”
ACT.28.28	Hava Isowr ki kirliinna ava ktlok chatii rek hintha msia tdit naanni adei chaan; mmaanni knaa ktikiinra.” 
