GEN.1.1	La început Dumnezeu a creat cerul și pământul.
1CH.10.3	Și bătălia s-a încins împotriva lui Saul și arcașii l-au lovit și a fost rănit de arcași.
1CH.10.4	Atunci Saul a spus purtătorului său de arme: Scoate-ți sabia și străpunge-mă cu ea, ca nu cumva acești necircumciși să vină și să își bată joc de mine. Dar purtătorul său de arme nu a voit, pentru că se temea foarte tare. De aceea Saul a luat o sabie și s-a aruncat în ea.
1CH.10.5	Și când purtătorul său de arme a văzut că Saul era mort, a căzut și el în sabie și a murit.
1CH.10.6	Astfel Saul a murit și cei trei fii ai săi și toată casa lui a murit împreună.
1CH.10.7	Și când toți bărbații lui Israel, care 
1CH.10.8	Și s-a întâmplat a doua zi, când filistenii au venit să dezbrace pe cei uciși, că au găsit pe Saul și pe fiii lui, căzuți în muntele Ghilboa.
1CH.10.9	Și după ce i-au dezbrăcat, i-au luat capul și armura și le-au trimis de jur împrejur în țara filistenilor, ca să dea de știre idolilor lor și poporului.
1CH.10.10	Și au pus armura lui în casa dumnezeilor lor și au pironit capul lui în templul lui Dagon.
1CH.10.11	Și când tot Iabes-Galaadul a auzit tot ce i-au făcut filistenii lui Saul,
1CH.10.12	S-au ridicat, toți bărbații viteji și au luat trupul lui Saul și trupurile fiilor lui și le-au adus la Iabes și le-au îngropat oasele sub stejarul din Iabes și au postit șapte zile.
1CH.10.13	Astfel Saul a murit pentru fărădelegea lui pe care a făcut-o împotriva DOMNULUI, împotriva cuvântului DOMNULUI, pe care nu l-a ținut și de asemenea pentru că a întrebat 
1CH.10.14	Și nu a cerut sfat de la DOMNUL; de aceea l-a ucis și a întors împărăția la David, fiul lui Isai.
1CH.11.1	Atunci tot Israelul s-a adunat la David la Hebron, spunând: Iată, noi 
1CH.11.2	Și mai mult, odinioară, chiar când Saul era împărat, tu 
1CH.11.3	De aceea au venit toți bătrânii lui Israel la împărat în Hebron; și David a făcut un legământ cu ei în Hebron înaintea DOMNULUI; și ei au uns pe David împărat peste Israel, conform cuvântului DOMNULUI prin Samuel.
1CH.11.4	Și David și tot Israelul au mers la Ierusalim, care 
1CH.11.5	Și locuitorii din Iebus i-au spus lui David: Să nu intri aici. Totuși David a luat cetățuia Sionului, care 
1CH.11.6	Și David a spus: Oricine lovește primul pe iebusiți va fi mai marele și căpetenia. Atunci Ioab, fiul Țeruiei, s-a urcat primul și a fost mai marele.
1CH.11.7	Și David a locuit în cetățuie; de aceea au numit-o cetatea lui David.
1CH.11.8	Și a construit cetatea de jur împrejur, de la Milo de jur împrejur; și Ioab a reparat restul cetății.
1CH.11.9	Astfel David a crescut din ce în ce mai mare, fiindcă DOMNUL oștirilor 
1CH.11.10	Aceștia de asemenea 
1CH.11.11	Și acesta 
1CH.11.12	Și după el 
1CH.11.13	El era cu David la Pas-Damim și acolo filistenii s-au adunat la bătălie, unde era o bucată de pământ plină de orz; și poporul a fugit din fața filistenilor.
1CH.11.14	Și ei s-au așezat în mijlocul acelei bucăți și au eliberat-o și au ucis pe filisteni; și DOMNUL 
1CH.11.15	Și trei dintre cele treizeci de căpetenii au coborât la stânca lui David în peștera lui Adulam; și oastea filistenilor avea tabăra așezată în valea lui Refaim.
1CH.11.16	Și David 
1CH.11.17	Și David a tânjit și a spus: Ah, de mi-ar da cineva să beau apă din fântâna Betleemului, care 
1CH.11.18	Și cei trei au pătruns prin oastea filistenilor și au tras apă din fântâna Betleemului, care 
1CH.11.19	Și a spus: Dumnezeul meu să mă ferească să fac acest lucru! Să beau sângele acestor bărbați care și-au pus viețile în primejdie? căci cu 
1CH.11.20	Și Abișai, fratele lui Ioab, el era mai marele celor trei, căci ridicându-și sulița împotriva a trei sute, 
1CH.11.21	Dintre cei trei, el era demn de mai multă cinste decât ceilalți doi; căci era căpetenia lor, totuși nu a ajuns pe cei trei 
1CH.11.22	Benaia, fiul lui Iehoiada, fiul unui bărbat viteaz, din Cabțeel, care făcuse multe fapte; a ucis doi bărbați, ca niște lei, din Moab, de asemenea a coborât și a ucis un leu, într-o groapă, într-o zi cu zăpadă.
1CH.11.23	Și a ucis un egiptean, un bărbat de o 
1CH.11.24	Aceste lucruri le-a făcut Benaia fiul lui Iehoiada și a avut 
1CH.11.25	Iată, era demn de cinste printre cei treizeci, dar nu a ajuns la cei trei 
1CH.11.26	De asemenea războinicii din armate 
1CH.11.27	Șamot, haroritul; Haleț, pelonitul;
1CH.11.28	Ira fiul lui Icheș, tecoitul; Abiezer, antotitul;
1CH.11.29	Sibecai, hușatitul; Ilai, ahohitul;
1CH.11.30	Maharai, netofatitul; Heled, fiul lui Baana, netofatitul;
1CH.11.31	Itai, fiul lui Ribai din Ghibea 
1CH.11.32	Hurai de la pâraiele din Gaaș; Abiel, arbatitul;
1CH.11.33	Azmavet, baharumitul; Eliahba, șaalbonitul;
1CH.11.34	Fiii lui Hașem, ghizonitul; Ionatan, fiul lui Șaghe, hararitul;
1CH.11.35	Ahiam, fiul lui Sacar, hararitul; Elifal, fiul lui Ur;
1CH.11.36	Hefer, mecheratitul; Ahiia, pelonitul;
1CH.11.37	Hețro, carmelitul; Naarai, fiul lui Ezbai;
1CH.11.38	Ioel, fratele lui Natan; Mibhar, fiul lui Hagri;
1CH.11.39	Țelec, amonitul; Naharai, beerotitul, purtătorul de arme al lui Ioab, fiul Țeruiei;
1CH.11.40	Ira, ieteritul; Gareb, ieteritul;
1CH.11.41	Urie, hititul; Zabad, fiul lui Ahlai;
1CH.11.42	Adina, fiul lui Șiza, rubenitul, o căpetenie a rubeniților și treizeci cu el;
1CH.11.43	Hanan, fiul lui Maaca; și Iosafat, mitnitul;
1CH.11.44	Ozia, așterotitul; Șama și Iehiel, fiii lui Hotam, aroeritul;
1CH.11.45	Iediael, fiul lui Șimri; și Ioha, fratele său, tițitul;
1CH.11.46	Eliel, mahavitul; și Ieribai și Ioșavia, fiii lui Elnaam; și Itma, moabitul;
1CH.11.47	Eliel și Obed și Iaasiel, mesobaitul.
1CH.12.1	Și aceștia s
1CH.12.3	Mai marele 
1CH.12.4	Și Ismaia din Gabaon, un războinic printre cei treizeci și peste cei treizeci; și Ieremia și Iahaziel și Iohanan și Iozabad din Ghederot,
1CH.12.5	Eluzai și Ierimot și Bealia și Șemaria și Șefatia harofitul,
1CH.12.6	Elcana și Iesia și Azareel și Ioezer și Iașobeam, coreiți,
1CH.12.7	Și Ioela și Zebadia, fiii lui Ieroham din Ghedor.
1CH.12.8	Și dintre gadiți s-au separat acolo pentru David în întăritura din pustie, războinici viteji și bărbați războinici 
1CH.12.9	Ezer, întâiul; Obadia, al doilea; Eliab, al treilea;
1CH.12.10	Mișmana, al patrulea; Ieremia al cincilea;
1CH.12.11	Atai, al șaselea; Eliel al șaptelea;
1CH.12.12	Iohanan, al optulea; Elzabad al nouălea;
1CH.12.13	Ieremia, al zecelea; Macbanai, al unsprezecelea.
1CH.12.14	Aceștia 
1CH.12.15	Aceștia 
1CH.12.16	Și acolo au venit copiii lui Beniamin și Iuda la întăritura lui David.
1CH.12.17	Și David a ieșit să îi întâmpine și le-a răspuns și le-a zis: Dacă veniți în pace să mă ajutați, inima mea va fi unită cu voi, dar dacă 
1CH.12.18	Atunci duhul a venit peste Amasai, 
1CH.12.19	Și acolo au trecut 
1CH.12.20	Mergând la Țiclag, acolo au trecut la el din Manase: Adnah și Iozabad și Iediael și Mihail și Iozabad și Elihu și Țiltai, căpeteniile miilor care 
1CH.12.21	Și l-au ajutat pe David împotriva cetei 
1CH.12.22	Fiindcă în 
1CH.12.23	Și acestea 
1CH.12.24	Copiii lui Iuda care purtau scut și suliță 
1CH.12.25	Dintre copiii lui Simeon, războinici viteji 
1CH.12.26	Dintre copiii lui Levi patru mii șase sute.
1CH.12.27	Și Iehoiada 
1CH.12.28	Și Țadoc, un tânăr, războinic viteaz; și din casa tatălui său, douăzeci și două de căpetenii.
1CH.12.29	Și dintre copiii lui Beniamin, rudele lui Saul, trei mii, căci până atunci cea mai mare parte dintre ei ținuseră parte casei lui Saul.
1CH.12.30	Și dintre copiii lui Efraim douăzeci de mii opt sute, războinici viteji, faimoși din casa părinților lor.
1CH.12.31	Și din jumătatea tribului lui Manase, optsprezece mii, care erau chemați pe nume să vină să facă pe David împărat.
1CH.12.32	Și dintre copiii lui Isahar, care aveau înțelegerea timpurilor, pentru a cunoaște ce avea Israel de făcut; capii lor 
1CH.12.33	Din Zabulon, cei care au pornit la bătălie, deprinși la război, cu toate uneltele de război, cincizeci de mii, care puteau sta umăr la umăr, 
1CH.12.34	Și din Neftali, o mie de căpetenii, și împreună cu ei, treizeci și șapte de mii, cu scut și suliță.
1CH.12.35	Și dintre daniți, deprinși la război, douăzeci și opt de mii șase sute.
1CH.12.36	Și din Așer, cei care au pornit la bătălie, deprinși la război, patruzeci de mii.
1CH.12.37	Și de partea cealaltă a Iordanului, dintre rubeniți și gadiți și din jumătatea tribului lui Manase, cu tot felul de unelte de război pentru bătălie, o sută douăzeci de mii.
1CH.12.38	Toți acești bărbați de război, care puteau sta umăr la umăr, au venit cu toată inima la Hebron, pentru a-l face pe David împărat peste tot Israelul; și de asemenea tot restul Israelului 
1CH.12.39	Și acolo au fost cu David trei zile, mâncând și bând; fiindcă frații lor le pregătiseră.
1CH.12.40	Mai mult, cei care erau aproape de ei, spre Isahar și Zabulon și Neftali, au adus pâine pe măgari și pe cămile și pe catâri și pe boi și carne, mâncare, turte de smochine și grămezi de stafide și vin și untdelemn și boi și oi din abundență, fiindcă 
1CH.13.1	Și David s-a sfătuit cu căpeteniile miilor și a sutelor și cu fiecare conducător.
1CH.13.2	Și David a spus întregii adunări a lui Israel: Dacă vi 
1CH.13.3	Și să aducem din nou chivotul Dumnezeului nostru la noi, fiindcă nu am cerut sfat de la el în zilele lui Saul.
1CH.13.4	Și întreaga adunare a spus că ar dori să facă astfel, căci lucrul era drept în ochii întregului popor.
1CH.13.5	Astfel David a adunat tot Israelul împreună, de la Șihor din Egipt chiar până la intrarea din Hamat, pentru a aduce chivotul lui Dumnezeu de la Chiriat-Iearim.
1CH.13.6	Și David și tot Israelul s-a urcat la Baala, 
1CH.13.7	Și au dus chivotul lui Dumnezeu într-un car din casa lui Abinadab; și Uza și Ahio au condus carul.
1CH.13.8	Și David și întregul Israel au jucat înaintea lui Dumnezeu cu toată puterea 
1CH.13.9	Și când au ajuns la aria lui Chidon, Uza și-a întins mâna pentru a ține chivotul; fiindcă boii s-au poticnit.
1CH.13.10	Și mânia DOMNULUI s-a aprins împotriva lui Uza și l-a lovit, deoarece și-a pus mâna pe chivot și acolo a murit înaintea lui Dumnezeu.
1CH.13.11	Și David a fost nemulțumit, deoarece DOMNUL făcuse o spărtură asupra lui Uza, de aceea acel loc este numit Pereț-Uza până în această zi.
1CH.13.12	Și David s-a temut de Dumnezeu în acea zi, spunând: Cum voi aduce chivotul lui Dumnezeu 
1CH.13.13	Astfel David nu a adus chivotul 
1CH.13.14	Și chivotul lui Dumnezeu a rămas cu familia lui Obed-Edom, în casa lui, trei luni. Și DOMNUL a binecuvântat casa lui Obed-Edom și tot ce avea.
1CH.14.1	Și Hiram, împăratul Tirului, a trimis la David mesageri și lemnărie de cedru, cu pietrari și tâmplari, pentru a-i construi o casă.
1CH.14.2	Și David a înțeles că DOMNUL l-a întărit împărat peste Israel, fiindcă împărăția sa a fost ridicată pe înălțimi, din cauza poporului său Israel.
1CH.14.3	Și David 
1CH.14.4	Și acestea 
1CH.14.5	Și pe Ibhar și pe Elișua și pe Elpelet,
1CH.14.6	Și pe Noga și pe Nefeg și pe Iafia,
1CH.14.7	Și pe Elișama și pe Beeliada și pe Elifelet.
1CH.14.8	Și când filistenii au auzit că David a fost uns împărat peste întregul Israel, toți filistenii s-au urcat să îl caute pe David. Și David a auzit 
1CH.14.9	Și filistenii au venit și s-au întins în valea lui Refaim.
1CH.14.10	Și David a cerut sfat de la Dumnezeu, spunând: Să mă urc împotriva filistenilor; îi vei da în mâna mea? Și DOMNUL i-a spus: Urcă-te; căci îi voi da în mâna ta.
1CH.14.11	Astfel s-au urcat la Baal-Perațim; și David i-a lovit acolo. Atunci David a spus: Dumnezeu s-a năpustit asupra dușmanilor mei prin mâna mea ca năpustirea apelor, de aceea au pus acelui loc numele, Baal-Perațim.
1CH.14.12	Și ei și-au lăsat dumnezeii acolo, iar David a dat poruncă și au fost arși cu foc.
1CH.14.13	Și filistenii s-au întins din nou în vale.
1CH.14.14	De aceea David a cerut din nou, sfat de la Dumnezeu; și Dumnezeu i-a spus: Nu te urca după ei; întoarce-te de la ei și vino asupra lor de partea opusă, a duzilor.
1CH.14.15	Și va fi, când vei auzi un foșnit de pași în vârful duzilor, atunci să ieși la bătălie, fiindcă Dumnezeu a ieșit înaintea ta pentru a lovi oastea filistenilor.
1CH.14.16	David de aceea a făcut precum Dumnezeu îi poruncise, și au lovit oastea filistenilor de la Gabaon chiar până la Ghezer.
1CH.14.17	Și faima lui David s-a răspândit în toate țările; și DOMNUL a adus frica de el asupra tuturor națiunilor.
1CH.15.1	Și 
1CH.15.2	Atunci David a spus: Nimeni nu trebuie să poarte chivotul lui Dumnezeu ci doar leviții, fiindcă pe ei i-a ales DOMNUL să poarte chivotul lui Dumnezeu și să îi servească pentru totdeauna.
1CH.15.3	Și David a adunat tot Israelul la Ierusalim, pentru a aduce chivotul DOMNULUI la locul lui, pe care îl pregătise pentru el.
1CH.15.4	Și David a adunat pe copiii lui Aaron și pe leviți;
1CH.15.5	Dintre fiii lui Chehat: mai marele Uriel și frații lui, o sută douăzeci;
1CH.15.6	Dintre fiii lui Merari: mai marele Asaia și frații lui, două sute douăzeci;
1CH.15.7	Dintre fiii lui Gherșom: mai marele Ioel și frații lui, o sută treizeci;
1CH.15.8	Dintre fiii lui Elițafan: mai marele Șemaia și frații lui, două sute;
1CH.15.9	Dintre fiii lui Hebron: mai marele Eliel și frații lui, optzeci;
1CH.15.10	Dintre fiii lui Uziel: mai marele Aminadab și frații lui, o sută doisprezece.
1CH.15.11	Și David a chemat pe Țadoc și pe Abiatar, preoții, și pe leviți, pe Uriel, pe Asaia și pe Ioel, pe Șemaia și pe Eliel și pe Aminadab,
1CH.15.12	Și le-a spus: Voi 
1CH.15.13	Fiindcă voi 
1CH.15.14	Astfel preoții și leviții s-au sfințit pentru a duce chivotul DOMNULUI Dumnezeul lui Israel.
1CH.15.15	Și copiii leviților au purtat chivotul lui Dumnezeu, pe umerii lor, cu drugii în el, precum Moise poruncise conform cuvântului DOMNULUI.
1CH.15.16	Și David a vorbit mai marelui leviților să rânduiască pe frații lor 
1CH.15.17	Astfel leviții au rânduit pe Heman, fiul lui Ioel; și dintre frații săi, pe Asaf, fiul lui Berechia; și dintre fiii lui Merari, frații lor, pe Etan, fiul lui Cușaia;
1CH.15.18	Și cu ei pe frații lor de 
1CH.15.19	Astfel cântăreții: Heman, Asaf și Etan, 
1CH.15.20	Și pe Zaharia și pe Aziel și pe Șemiramot și pe Iehiel și pe Uni și pe Eliab și pe Maaseia și pe Benaia, cu psalterioane pe alamot;
1CH.15.21	Și pe Matitia și pe Elifele și pe Micneia și pe Obed-Edom și pe Ieiel și pe Azazia, 
1CH.15.22	Și Chenania, mai marele leviților, 
1CH.15.23	Și Berechia și Elcana 
1CH.15.24	Și Șebania și Iosafat și Netaneel și Amasai și Zaharia și Benaia și Eliezer, preoții, au suflat din trâmbițe înaintea chivotului lui Dumnezeu. Și Obed-Edom și Iehia 
1CH.15.25	Astfel David și bătrânii Israelului și căpeteniile peste mii, au mers să aducă chivotul legământului DOMNULUI din casa lui Obed-Edom, cu bucurie.
1CH.15.26	Și s-a întâmplat, când Dumnezeu a ajutat pe leviții care au purtat chivotul legământului DOMNULUI, că au oferit șapte tauri și șapte berbeci.
1CH.15.27	Și David și toți leviții care au purtat chivotul și cântăreții și Chenania, maestrul cântării cu cântăreții, 
1CH.15.28	Astfel tot Israelul a adus chivotul legământului DOMNULUI cu strigare și cu sunet de cornet și cu trâmbițe și cu chimvale, sunând din psalterioane și harpe.
1CH.15.29	Și s-a întâmplat, 
1CH.16.1	Astfel au adus chivotul lui Dumnezeu și l-au așezat în mijlocul cortului pe care David l-a ridicat pentru el; și au oferit sacrificii arse și ofrande de pace înaintea lui Dumnezeu.
1CH.16.2	Și când David a sfârșit oferirea ofrandelor arse și a ofrandelor de pace, a binecuvântat poporul în numele DOMNULUI.
1CH.16.3	Și a împărțit fiecăruia din Israel, deopotrivă bărbat și femeie, fiecăruia o pâine și o bucată bună de carne și un ulcior 
1CH.16.4	Și a rânduit leviți să servească înaintea chivotului DOMNULUI și să mărturisească și să mulțumească și să laude pe DOMNUL Dumnezeul lui Israel,
1CH.16.5	Asaf, mai marele; și lângă el, Zaharia, Ieiel și Șemiramot și Iehiel și Matitia și Eliab și Benaia și Obed-Edom; și Ieiel cu psalterioane și cu harpe; dar Asaf suna cu chimvale,
1CH.16.6	Benaia de asemenea și Iahaziel, preoții, cu trâmbițe 
1CH.16.7	Atunci în acea zi David a dat întâi 
1CH.16.8	Aduceți mulțumiri DOMNULUI; chemați numele lui, faceți cunoscute faptele lui printre popoare.
1CH.16.9	Cântați-i, cântați-i psalmi, vorbiți despre toate lucrările lui minunate.
1CH.16.10	Glorificați-vă în sfântul său nume, să se bucure inima celor ce caută pe DOMNUL.
1CH.16.11	Căutați pe DOMNUL și puterea lui, căutați neîncetat fața lui.
1CH.16.12	Amintiți-vă lucrările lui minunate pe care le-a făcut; minunile lui și judecățile gurii sale;
1CH.16.13	Voi, sămânță al lui Israel, servitorul lui, copii a lui Iacob, aleșii lui.
1CH.16.15	Amintiți-vă legământul său întotdeauna, cuvântul 
1CH.16.17	Și a întărit același 
1CH.16.18	Spunând: Ție îți voi da țara Canaanului, sorțul moștenirii tale;
1CH.16.19	Când ați fost 
1CH.16.20	Și 
1CH.16.21	El nu a permis niciunui om să le facă rău; da, a mustrat împărați pentru ei,
1CH.16.23	Cântați DOMNULUI, tot pământul; arătați zi de zi salvarea lui.
1CH.16.24	Vestiți gloria lui printre păgâni 
1CH.16.25	Pentru că mare 
1CH.16.26	Căci toți dumnezeii popoarelor 
1CH.16.27	Glorie și onoare 
1CH.16.28	Dați DOMNULUI familii de popoare; dați DOMNULUI glorie și tărie.
1CH.16.29	Dați DOMNULUI gloria 
1CH.16.30	Temeți-vă înaintea lui, tot pământul; lumea de asemenea va fi întemeiată, încât nu se va clătina.
1CH.16.31	Să se veselească cerurile și să se bucure pământul; și să spună 
1CH.16.32	Să urle marea și plinătatea ei; să se bucure câmpurile și tot ce 
1CH.16.33	Atunci vor cânta copacii pădurii la prezența DOMNULUI, deoarece el vine să judece pământul.
1CH.16.34	Aduceți mulțumiri DOMNULUI, pentru că 
1CH.16.35	Și spuneți: Salvează-ne, Dumnezeu al salvării noastre și adună-ne și eliberează-ne de păgâni, ca să aducem mulțumiri numelui tău sfânt 
1CH.16.36	Binecuvântat 
1CH.16.37	Astfel a lăsat acolo înaintea chivotului legământului DOMNULUI pe Asaf și pe frații lui, să servească neîncetat înaintea chivotului, precum cerea lucrarea fiecărei zile;
1CH.16.38	Și pe Obed-Edom cu frații lui, șaizeci și opt; pe Obed-Edom de asemenea, fiul lui Iedutun, și pe Hosa 
1CH.16.39	Și pe preotul Țadoc și frații săi, preoții, înaintea tabernacolului DOMNULUI pe înălțimea care 
1CH.16.40	Pentru a aduce ofrande arse DOMNULUI pe altarul ofrandei arse, neîncetat, dimineața și seara; și 
1CH.16.41	Și cu ei pe Heman și Iedutun, și restul care au fost aleși, care au fost chemați pe nume, să dea mulțumiri DOMNULUI, că a lui milă 
1CH.16.42	Și cu ei 
1CH.16.43	Și tot poporul a plecat, fiecare om la casa lui, iar David s-a întors să binecuvânteze casa lui.
1CH.17.1	Și s-a întâmplat, precum David ședea în casa lui, că David i-a spus profetului Natan: Iată, eu locuiesc într-o casă de cedri, dar chivotul legământului DOMNULUI 
1CH.17.2	Atunci Natan i-a spus lui David: Fă tot ce 
1CH.17.3	Și s-a întâmplat, că în aceeași noapte, cuvântul lui Dumnezeu a venit la Natan, spunând:
1CH.17.4	Du-te și spune-i lui David, servitorul meu: Astfel spune DOMNUL: Să nu îmi construiești o casă de locuit;
1CH.17.5	Fiindcă nu am locuit într-o casă din ziua în care am scos pe Israel până în această zi; ci am mers din cort în cort și dintr-
1CH.17.6	Orișiunde am umblat cu tot Israelul, am vorbit eu un cuvânt vreunui judecător din Israel, căruia i-am poruncit să pască poporul meu, spunând: De ce nu mi-ați construit o casă de cedri?
1CH.17.7	Și acum, astfel să spui servitorului meu David: Astfel spune DOMNUL oștirilor: Te-am luat de la staulul oilor, din urma oilor, ca să fii conducător peste poporul meu Israel;
1CH.17.8	Și am fost cu tine pretutindeni unde ai umblat și am stârpit pe toți dușmanii tăi dinaintea ta și ți-am făcut numele ca numele oamenilor mari care 
1CH.17.9	De asemenea voi rândui un loc pentru poporul meu Israel și îi voi sădi și vor locui în locul lor și nu vor mai fi mutați; nici copiii stricăciunii nu îi vor mai risipi, ca la început,
1CH.17.10	De când am poruncit 
1CH.17.11	Și se va întâmpla, când zilele tale se vor sfârși, și vei merge 
1CH.17.12	El îmi va construi o casă și eu îi voi întemeia tronul pentru totdeauna.
1CH.17.13	Voi fi tatăl lui și el va fi fiul meu și nu îmi voi lua mila de la el, precum am luat-
1CH.17.14	Ci îl voi așeza în casa mea și în împărăția mea pentru totdeauna; și tronul său va fi întemeiat pentru totdeauna.
1CH.17.15	Conform cu toate aceste cuvinte și conform cu toată această viziune, astfel i-a vorbit Natan lui David.
1CH.17.16	Și împăratul David a venit și a șezut înaintea DOMNULUI și a spus: Cine 
1CH.17.17	Și 
1CH.17.18	Ce să îți mai 
1CH.17.19	DOAMNE, de dragul servitorului tău și conform cu inima ta, ai făcut toată această măreție, făcând cunoscute toate 
1CH.17.20	DOAMNE, nu 
1CH.17.21	Și ce națiune pe pământ 
1CH.17.22	Pentru că pe poporul tău Israel l-ai făcut propriul tău popor pentru totdeauna; și tu, DOAMNE, tu ai devenit Dumnezeul lor.
1CH.17.23	Și acum, DOAMNE, să fie întemeiat, pentru totdeauna, acest lucru pe care l-ai vorbit referitor la servitorul tău și referitor la casa lui și să faci precum ai spus.
1CH.17.24	Să fie întemeiat ca numele tău să fie preamărit pentru totdeauna, spunând: DOMNUL oștirilor 
1CH.17.25	Fiindcă tu, Dumnezeul meu, ai spus servitorului tău că îi vei construi o casă; de aceea servitorul tău a găsit 
1CH.17.26	Și acum, DOAMNE, tu ești Dumnezeu și ai promis această bunătate servitorului tău;
1CH.17.27	Și acum, binevoiește să binecuvântezi casa servitorului tău, ca să fie înaintea ta pentru totdeauna; căci tu 
1CH.18.1	Și după aceasta s-a întâmplat, că David a lovit pe filisteni și i-a supus și a luat Gat și orașele ei din mâna filistenilor.
1CH.18.2	Și a lovit Moabul; și moabiții au devenit servitorii lui David 
1CH.18.3	Și David a lovit pe Hadarezer, împăratul Țobei, până la Hamat, în timp ce acesta mergea să își întemeieze stăpânirea, până la râul Eufrat.
1CH.18.4	Și David a luat de la el o mie de care și șapte mii de călăreți și douăzeci de mii de pedeștri; David de asemenea a tăiat tendoanele tuturor 
1CH.18.5	Și când sirienii din Damasc au venit să îl ajute pe Hadarezer, împăratul Țobei, David a ucis dintre sirieni douăzeci și două de mii de bărbați.
1CH.18.6	Atunci David a pus 
1CH.18.7	Și David a luat scuturile de aur care erau pe servitorii lui Hadarezer și le-a adus la Ierusalim.
1CH.18.8	La fel de la Tibhat și din Cun, cetăți ale lui Hadarezer, a adus David foarte multă aramă, cu care Solomon a făcut marea de aramă și coloanele și vasele de aramă.
1CH.18.9	Și când Tohu, împăratul Hamatului, a auzit cum David lovise toată oastea lui Hadarezer, împăratul Țobei,
1CH.18.10	A trimis pe Hadoram, fiul său, la împăratul David, pentru a-l întreba de bunăstare și pentru a-l felicita, deoarece luptase împotriva lui Hadarezer și îl lovise; (căci Hadarezer avea război cu Tohu); și 
1CH.18.11	Pe acestea de asemenea David le-a dedicat DOMNULUI, cu argintul și aurul pe care l-a adus de la toate 
1CH.18.12	Mai mult, Abișai, fiul Țeruiei, a ucis dintre edomiți în valea sării, optsprezece mii.
1CH.18.13	Și a pus garnizoană în Edom; și toți edomiții au devenit servitorii lui David. Astfel DOMNUL a păstrat pe David oriunde el a mers.
1CH.18.14	Și David a domnit peste tot Israelul și a făcut judecată și dreptate în tot poporul său.
1CH.18.15	Și Ioab, fiul Țeruiei, 
1CH.18.16	Și Țadoc, fiul lui Ahitub, și Abimelec, fiul lui Abiatar, 
1CH.18.17	Și Benaia, fiul Iehoiada, 
1CH.19.1	Și după aceasta s-a întâmplat, că Nahaș, împăratul copiilor lui Amon, a murit și fiul său a domnit în locul său.
1CH.19.2	Și David a spus: Voi arăta bunătate lui Hanun, fiul lui Nahaș, deoarece tatăl său mi-a arătat bunătate. Și David a trimis mesageri să îl mângâie referitor la tatăl său. Astfel servitorii lui David au intrat în țara copiilor lui Amon la Hanun, să îl mângâie.
1CH.19.3	Dar prinții copiilor lui Amon i-au spus lui Hanun: Crezi că David onorează pe tatăl tău, încât a trimis mângâietori la tine; nu au venit servitorii lui la tine să cerceteze și să dărâme și să spioneze țara?
1CH.19.4	De aceea Hanun a luat pe servitorii lui David și i-a ras și le-a retezat veșmintele la mijloc aproape până la fese și i-a trimis.
1CH.19.5	Atunci au mers 
1CH.19.6	Și când copiii lui Amon au văzut că s-au împuțit înaintea lui David, Hanun și copiii lui Amon au trimis o mie de talanți de argint pentru a-și angaja care și călăreți din Mesopotamia și din Siria-Maaca și din Țoba.
1CH.19.7	Astfel au angajat treizeci și două de mii de care și pe împăratul din Maaca și poporul său, care au venit și au așezat tabăra înaintea Medebei. Și copiii lui Amon s-au adunat din cetățile lor și au venit la bătălie.
1CH.19.8	Și când David a auzit 
1CH.19.9	Și copiii lui Amon au ieșit și s-au desfășurat de bătălie înaintea porții cetății; și împărații care veniseră 
1CH.19.10	Și când Ioab a văzut că bătălia era desfășurată împotriva lui înainte și înapoi, a ales dintre cei mai aleși din Israel și 
1CH.19.11	Și restul poporului l-a dat în mâna lui Abișai, fratele său, și s-au desfășurat împotriva copiilor lui Amon.
1CH.19.12	Și a spus: Dacă sirienii sunt prea tari pentru mine, atunci tu să mă ajuți, iar dacă fiii lui Amon sunt prea tari pentru tine, atunci eu te voi ajuta.
1CH.19.13	Încurajează-te și să ne purtăm cu vitejie pentru poporul nostru și pentru cetățile Dumnezeului nostru și DOMNUL să facă 
1CH.19.14	Astfel Ioab și poporul care 
1CH.19.15	Și când copiii lui Amon au văzut că sirienii au fugit, au fugit la fel din fața lui Abișai fratele său și au intrat în cetate. Atunci Ioab a venit la Ierusalim.
1CH.19.16	Și când sirienii au văzut că au fost învinși înaintea lui Israel, au trimis mesageri și au scos pe sirienii care 
1CH.19.17	Și i s-a spus lui David; iar el a adunat tot Israelul și a trecut Iordanul și a venit asupra lor și 
1CH.19.18	Dar sirienii au fugit dinaintea lui Israel; și David a ucis dintre Sirieni șapte mii 
1CH.19.19	Și când servitorii lui Hadarezer au văzut că au fost învinși în fața lui Israel, au făcut pace cu David și au devenit servitorii lui, iar sirienii nu au mai dorit să îi ajute pe copiii lui Amon vreodată.
1CH.20.1	Și s-a întâmplat, după ce s-a încheiat anul, pe timpul când împărații ies 
1CH.20.2	Și David a luat coroana împăratului lor de capul lui și a găsit-o cântărind un talant de aur și 
1CH.20.3	Și a scos poporul care 
1CH.20.4	Și s-a întâmplat după aceasta, că a izbucnit război cu filistenii la Ghezer; în care Sibecai hușatitul a ucis pe Sipai, 
1CH.20.5	Și a fost război din nou cu filistenii; și Elhanan, fiul lui Iair, a ucis pe Lahmi, fratele lui Goliat, din Gat, coada suliței lui 
1CH.20.6	Și din nou a fost război la Gat, unde un bărbat avea 
