GEN.1.1	La început
PSA.25.6	căci sunt veșnice.
PSA.25.7	Nu-Ţi aduce aminte de greșelile
PSA.25.7	ci adu-Ţi aminte de mine,
PSA.25.7	după
PSA.25.8	Domnul este bun și drept,
PSA.25.8	de aceea arată El păcătoșilor calea.
PSA.25.9	El face pe cei smeriţi să umble în tot ce este drept.
PSA.25.9	El învaţă pe cei smeriţi calea Sa.
PSA.25.10	Toate cărările Domnului sunt îndurare și credincioșie
PSA.25.10	pentru cei ce păzesc legământul și poruncile Lui.
PSA.25.11	Pentru
PSA.25.11	căci
PSA.25.12	Cine este omul care se teme de Domnul?
PSA.25.12	Aceluia
PSA.25.13	El
PSA.25.13	și sămânţa
PSA.25.14	Prietenia
PSA.25.14	și legământul făcut cu El le dă învăţătură.
PSA.25.15	Eu îmi întorc necurmat ochii
PSA.25.15	căci El îmi va scoate picioarele din laţ.
PSA.25.16	Privește-mă
PSA.25.16	căci sunt părăsit și nenorocit!
PSA.25.17	Neliniștea inimii mele crește:
PSA.25.17	scoate-mă din necazul meu!
PSA.25.18	Uită-Te
PSA.25.18	și iartă-mi toate păcatele mele!
PSA.25.19	Vezi cât de mulţi sunt vrăjmașii mei
PSA.25.19	și cu ce ură mare mă urmăresc.
PSA.25.20	Păzește-mi sufletul și scapă-mă!
PSA.25.20	Nu
PSA.25.21	Să mă ocrotească nevinovăţia și neprihănirea,
PSA.25.21	când îmi pun nădejdea în Tine!
PSA.25.22	Izbăvește
PSA.26.1	Fă-mi
PSA.26.1	și mă
PSA.26.2	Cercetează-mă
PSA.26.2	trece-mi prin cuptorul de foc rărunchii și inima!
PSA.26.3	Căci bunătatea Ta este înaintea ochilor mei
PSA.26.3	și umblu
PSA.26.4	Nu șed împreună cu
PSA.26.4	și nu merg împreună cu oamenii vicleni.
PSA.26.5	Urăsc
PSA.26.5	și
PSA.26.6	Îmi spăl mâinile în
PSA.26.6	și așa înconjor altarul Tău, Doamne,
PSA.26.7	ca să izbucnesc în mulţumiri
PSA.26.7	și să istorisesc toate minunile Tale.
PSA.26.8	Doamne, eu iubesc
PSA.26.8	și locul în care locuiește slava Ta.
PSA.26.9	Nu-mi
PSA.26.9	nici viaţa cu oamenii care varsă sânge,
PSA.26.10	ale căror mâini sunt nelegiuite
PSA.26.10	și a căror dreaptă este plină de mită
PSA.26.11	Eu umblu
PSA.26.11	izbăvește-mă și ai milă de mine!
PSA.26.12	Piciorul
PSA.26.12	voi binecuvânta pe Domnul în
PSA.27.1	Domnul este lumina
PSA.27.1	De cine să mă tem?
PSA.27.1	Domnul
PSA.27.1	De cine să-mi fie frică?
PSA.27.2	Când înaintează cei răi împotriva mea,
PSA.27.2	ca
PSA.27.2	tocmai ei – prigonitorii și vrăjmașii mei –
PSA.27.2	se clatină și cad.
PSA.27.3	Chiar o oștire de
PSA.27.3	inima mea tot nu s-ar teme.
PSA.27.3	Chiar război de s-ar ridica împotriva mea,
PSA.27.3	tot plin de încredere aș fi.
PSA.27.4	Un
PSA.27.4	și-l doresc fierbinte:
PSA.27.4	aș vrea să locuiesc
PSA.27.4	ca să privesc frumuseţea
PSA.27.4	și să mă minunez de Templul Lui.
PSA.27.5	Căci El mă va ocroti în coliba Lui în
PSA.27.5	mă va ascunde sub acoperișul cortului Lui
PSA.27.5	și mă va înălţa pe
PSA.27.6	Iată că mi se și înalţă capul
PSA.27.6	voi aduce jertfe în cortul Lui
PSA.27.6	în sunetul trâmbiţei,
PSA.27.6	voi cânta și voi lăuda pe Domnul.
PSA.27.7	Ascultă-mi, Doamne, glasul când Te chem:
PSA.27.7	ai milă de mine și ascultă-mă!
PSA.27.8	Inima îmi zice din partea Ta: „Caută
PSA.27.8	Și Faţa Ta, Doamne, o caut!
PSA.27.9	Nu-mi
PSA.27.9	nu îndepărta cu mânie pe robul Tău!
PSA.27.9	Tu ești ajutorul meu, nu mă lăsa,
PSA.27.9	nu mă părăsi, Dumnezeul mântuirii mele!
PSA.27.10	Căci
PSA.27.10	dar Domnul mă primește.
PSA.27.11	Învaţă-mă
PSA.27.11	din pricina vrăjmașilor mei.
PSA.27.12	Nu
PSA.27.12	Căci împotriva mea se ridică niște martori
PSA.27.12	și niște oameni care nu suflă
PSA.27.13	O, dacă n-aș fi încredinţat că voi vedea bunătatea Domnului
PSA.27.13	pe
PSA.27.14	Nădăjduiește
PSA.27.14	Fii tare, îmbărbătează-ţi inima
PSA.27.14	și nădăjduiește în Domnul!
PSA.28.1	Doamne, către Tine strig. Stânca mea!
PSA.28.1	Nu
PSA.28.1	ca
PSA.28.1	să ajung ca cei ce se coboară în groapă!
PSA.28.2	Ascultă glasul rugăciunilor mele, când strig către Tine
PSA.28.2	și când
PSA.28.3	Nu
PSA.28.3	și cu oamenii nelegiuiţi,
PSA.28.3	care
PSA.28.3	și, când colo, au răutate în inimă!
PSA.28.4	Răsplătește-le
PSA.28.4	și după răutatea faptelor lor,
PSA.28.4	răsplătește-le după lucrarea mâinilor lor!
PSA.28.4	Dă-le plata care li se cuvine!
PSA.28.5	Căci ei
PSA.28.5	la lucrarea mâinilor Lui.
PSA.28.5	Să-i doboare și să nu-i mai scoale!
PSA.28.6	Binecuvântat să fie Domnul,
PSA.28.6	căci ascultă glasul rugăciunilor mele!
PSA.28.7	Domnul este tăria
PSA.28.7	în El mi se
PSA.28.7	De aceea îmi este plină de veselie inima
PSA.28.7	și-L laud prin cântările mele.
PSA.28.8	Domnul este tăria poporului Său,
PSA.28.8	El este Stânca
PSA.28.9	Mântuiește, Doamne, poporul Tău
PSA.28.9	și binecuvântează moștenirea
PSA.28.9	Fii păstorul și
PSA.29.1	Fiii lui Dumnezeu, daţi
PSA.29.1	daţi Domnului slavă și cinste!
PSA.29.2	Daţi Domnului slava cuvenită Numelui Lui!
PSA.29.2	Închinaţi-vă înaintea Domnului îmbrăcaţi cu podoabe
PSA.29.3	Glasul Domnului răsună pe ape,
PSA.29.3	Dumnezeul
PSA.29.3	Domnul este pe ape mari.
PSA.29.4	Glasul Domnului este puternic,
PSA.29.4	glasul Domnului este măreţ.
PSA.29.5	Glasul Domnului sfărâmă cedrii;
PSA.29.5	Domnul sfărâmă cedrii
PSA.29.6	îi
PSA.29.6	și Libanul și Sirionul
PSA.29.7	Glasul Domnului face să ţâșnească flăcări de foc,
PSA.29.8	glasul Domnului face să se cutremure pustia;
PSA.29.8	Domnul face să tremure pustia Cades
PSA.29.9	Glasul Domnului face pe cerboaice
PSA.29.9	El despoaie pădurile;
PSA.29.9	în locașul Lui totul strigă: „Slavă!”
PSA.29.10	Domnul stătea
PSA.29.10	și Domnul împărăţește în veci pe scaunul Lui de domnie.
PSA.29.11	Domnul
PSA.29.11	Domnul binecuvântează pe poporul Său cu pace.
PSA.30.1	Te înalţ, Doamne, căci m-ai
PSA.30.1	și n-ai lăsat pe vrăjmașii mei să se bucure
PSA.30.2	Doamne Dumnezeule,
PSA.30.2	eu am strigat către Tine,
PSA.30.2	și Tu m-ai vindecat
PSA.30.3	Doamne, Tu mi-ai ridicat
PSA.30.3	Tu m-ai adus la viaţă din mijlocul celor ce se coboară
PSA.30.4	Cântaţi
PSA.30.4	măriţi prin laudele voastre Numele Lui cel sfânt!
PSA.30.5	Căci mânia Lui ţine numai o clipă
PSA.30.5	dar îndurarea Lui ţine toată
PSA.30.5	seara vine plânsul,
PSA.30.5	iar dimineaţa
PSA.30.6	Când îmi mergea bine
PSA.30.6	„Nu mă voi clătina niciodată!”
PSA.30.7	Doamne, prin bunăvoinţa Ta mă așezaseși pe un munte tare,
PSA.30.7	dar Ţi-ai ascuns
PSA.30.8	Doamne, eu am strigat către Tine
PSA.30.8	și m-am rugat Domnului zicând:
PSA.30.9	„Ce vei câștiga dacă-mi verși sângele și mă cobori în groapă?
PSA.30.9	Poate să Te laude ţărâna
PSA.30.9	Poate ea să vestească credincioșia Ta?
PSA.30.10	Ascultă, Doamne, ai milă de mine!
PSA.30.10	Doamne, ajută-mă!”
PSA.30.11	Și mi-ai prefăcut
PSA.30.11	mi-ai dezlegat sacul de jale și m-ai încins cu bucurie,
PSA.30.12	pentru ca inima mea să-Ţi cânte și să nu stea mută.
PSA.30.12	Doamne Dumnezeule, eu pururea Te voi lăuda!
PSA.31.1	Doamne, în Tine
PSA.31.1	Izbăvește-mă, în
PSA.31.2	Pleacă-Ţi
PSA.31.2	Fii pentru mine o stâncă ocrotitoare, o cetăţuie unde să-mi găsesc scăparea!
PSA.31.3	Căci
PSA.31.3	și, pentru
PSA.31.4	Scoate-mă din laţul pe care mi l-au întins vrăjmașii,
PSA.31.4	căci Tu ești Ocrotitorul meu!
PSA.31.5	În mâinile
PSA.31.5	Tu mă vei izbăvi, Doamne Dumnezeule adevărat!
PSA.31.6	Eu urăsc pe cei ce
PSA.31.6	și mă încred în Domnul.
PSA.31.7	Fă-mă să mă veselesc și să mă bucur de îndurarea Ta,
PSA.31.7	căci vezi ticăloșia mea, știi
PSA.31.8	și nu mă vei da
PSA.31.8	ci îmi vei pune picioarele
PSA.31.9	Ai milă de mine, Doamne, căci sunt în strâmtorare:
PSA.31.9	faţa, sufletul și trupul mi s-au topit
PSA.31.10	mi se sfârșește viaţa în durere și anii în suspine.
PSA.31.10	Mi s-au sleit puterile din pricina fărădelegii mele și-mi putrezesc oasele
PSA.31.11	Din pricina potrivnicilor mei, am ajuns
PSA.31.11	de mare ocară, pentru vecinii
PSA.31.11	cei ce
PSA.31.12	Sunt uitat de
PSA.31.12	am ajuns ca un vas sfărâmat.
PSA.31.13	Aud
PSA.31.13	văd spaima
PSA.31.13	când se sfătuiesc
PSA.31.13	și uneltesc să-mi ia viaţa.
PSA.31.14	Dar eu mă încred în Tine, Doamne,
PSA.31.14	și zic: „Tu ești Dumnezeul meu!”
PSA.31.15	Soarta mea este în mâna Ta;
PSA.31.15	scapă-mă de vrăjmașii și de prigonitorii mei!
PSA.31.16	Fă
PSA.31.16	scapă-mă prin îndurarea Ta!
PSA.31.17	Doamne, să nu
PSA.31.17	ci să rămână de rușine cei răi și ei să se coboare muţi
PSA.31.18	Să amuţească
PSA.31.18	care vorbesc
PSA.31.18	cu trufie și dispreţ împotriva celui neprihănit!
PSA.31.19	O, cât
PSA.31.19	și pe care o arăţi celor ce se încred
PSA.31.19	în Tine, în faţa fiilor oamenilor!
PSA.31.20	Tu
PSA.31.20	îi
PSA.31.21	Binecuvântat să fie Domnul,
PSA.31.21	căci Și-a arătat în
PSA.31.21	parc-aș fi fost într-o
PSA.31.22	În
PSA.31.22	Dar Tu ai auzit glasul rugăciunilor mele
PSA.31.22	când am strigat spre Tine.
PSA.31.23	Iubiţi
PSA.31.23	căci Domnul păzește pe cei credincioși
PSA.31.23	și pedepsește aspru pe cei mândri!
PSA.31.24	Fiţi tari
PSA.31.24	toţi cei ce nădăjduiţi în Domnul!
PSA.32.1	Ferice de cel cu fărădelegea iertată
PSA.32.1	și de cel cu păcatul acoperit!
PSA.32.2	Ferice de omul căruia nu-i ţine în seamă
PSA.32.2	și în
PSA.32.3	Câtă vreme am tăcut, mi se topeau oasele de gemetele mele necurmate,
PSA.32.4	căci zi și noapte mâna
PSA.32.4	mi se usca vlaga cum se usucă pământul de seceta verii. 
PSA.32.5	Atunci Ţi-am mărturisit păcatul meu și nu mi-am ascuns fărădelegea.
PSA.32.5	Am zis: „Îmi voi mărturisi
PSA.32.5	Și Tu ai iertat vina păcatului meu.
PSA.32.6	De
PSA.32.6	Și chiar de s-ar vărsa ape mari, pe el nu-l vor atinge deloc.
PSA.32.7	Tu
PSA.32.7	Tu mă înconjori cu cântări
PSA.32.8	„Eu, zice Domnul, te voi învăţa și-ţi voi arăta calea pe care trebuie s-o urmezi,
PSA.32.8	te voi sfătui și voi avea privirea îndreptată asupra ta.”
PSA.32.9	Nu
PSA.32.9	pe care-l strunești cu un frâu și o zăbală cu care-l legi
PSA.32.9	ca să nu se apropie de tine!
PSA.32.10	De multe
PSA.32.10	dar cel ce
PSA.32.11	Neprihăniţilor, bucuraţi-vă
PSA.32.11	Scoateţi strigăte de bucurie, toţi cei cu inima fără prihană!
PSA.33.1	Neprihăniţilor, bucuraţi-vă în
PSA.33.1	Oamenilor
PSA.33.2	Lăudaţi pe Domnul cu harpa,
PSA.33.2	lăudaţi-L cu alăuta cu
PSA.33.3	Cântaţi-I
PSA.33.3	Faceţi să răsune coardele și glasurile voastre!
PSA.33.4	Căci Cuvântul Domnului este adevărat
PSA.33.4	și toate lucrările Lui se împlinesc cu credincioșie.
PSA.33.5	El
PSA.33.5	bunătatea
PSA.33.6	Cerurile au fost făcute prin
PSA.33.6	și toată
PSA.33.7	El
PSA.33.7	și pune adâncurile în cămări.
PSA.33.8	Tot pământul să se teamă de Domnul!
PSA.33.8	Toţi locuitorii lumii să tremure înaintea Lui!
PSA.33.9	Căci El
PSA.33.9	poruncește și ce poruncește ia fiinţă.
PSA.33.10	Domnul
PSA.33.10	zădărnicește planurile popoarelor.
PSA.33.11	Dar sfaturile
PSA.33.11	și planurile inimii Lui, din neam în neam.
PSA.33.12	Ferice
PSA.33.12	Ferice de poporul pe care Și-l alege
PSA.33.13	Domnul privește din
PSA.33.13	și vede pe toţi fiii oamenilor.
PSA.33.14	Din locașul locuinţei Lui, El privește
PSA.33.14	pe toţi locuitorii pământului.
PSA.33.15	El le întocmește inima la toţi
PSA.33.15	și ia aminte
PSA.33.16	Nu mărimea oștirii scapă pe împărat
PSA.33.16	nu mărimea puterii izbăvește pe viteaz;
PSA.33.17	calul nu poate
PSA.33.17	și toată vlaga lui nu dă izbăvirea.
PSA.33.18	Iată
PSA.33.18	peste cei ce nădăjduiesc în bunătatea Lui,
PSA.33.19	ca să le scape sufletul de la moarte
PSA.33.19	și să-i ţină
PSA.33.20	Sufletul
PSA.33.20	El
PSA.33.21	Da, inima
PSA.33.21	căci avem încredere în Numele Lui cel sfânt.
PSA.33.22	Doamne, fie îndurarea Ta peste noi,
PSA.33.22	după cum o nădăjduim noi de la Tine!
PSA.34.1	Voi binecuvânta
PSA.34.1	lauda Lui va fi totdeauna în gura mea.
PSA.34.2	Să mi se laude
PSA.34.2	Să asculte cei
PSA.34.3	Înălţaţi
PSA.34.3	Să lăudăm cu toţii Numele Lui!
PSA.34.4	Eu am căutat
PSA.34.4	m-a izbăvit din toate temerile mele.
PSA.34.5	Când îţi întorci privirile spre El, te luminezi de bucurie
PSA.34.5	și nu ţi se umple faţa de rușine.
PSA.34.6	Când strigă un nenorocit
PSA.34.6	și-l scapă din
PSA.34.7	Îngerul
PSA.34.7	și-i scapă din primejdie.
PSA.34.8	Gustaţi
PSA.34.8	Ferice
PSA.34.9	Temeţi-vă
PSA.34.9	căci de nimic nu duc lipsă cei ce se tem de El!
PSA.34.10	Puii de leu
PSA.34.10	dar
PSA.34.11	Veniţi, fiilor, și ascultaţi-mă,
PSA.34.11	căci vă voi
PSA.34.12	Cine
PSA.34.12	și vrea să aibă parte de zile fericite?
PSA.34.13	Ferește-ţi limba de rău
PSA.34.13	și buzele de
PSA.34.14	Depărtează-te
PSA.34.14	caută
PSA.34.15	Ochii
PSA.34.15	și urechile Lui iau aminte la strigătele
PSA.34.16	Domnul Își întoarce Faţa
PSA.34.16	ca
PSA.34.17	Când strigă cei fără prihană, Domnul
PSA.34.17	și-i scapă din toate necazurile lor.
PSA.34.18	Domnul este aproape
PSA.34.18	și mântuiește pe cei cu duhul zdrobit.
PSA.34.19	De multe
PSA.34.19	dar
PSA.34.20	Toate oasele i le păzește,
PSA.34.20	ca niciunul
PSA.34.21	Pe
PSA.34.21	dar vrăjmașii celui fără prihană sunt pedepsiţi.
PSA.34.22	Domnul scapă
PSA.34.22	și niciunul din cei ce se încred în El nu este osândit.
PSA.35.1	Apără-mă
PSA.35.1	luptă
PSA.35.2	Ia
PSA.35.2	și scoală-Te să-mi ajuţi!
PSA.35.3	Învârte suliţa și săgeata împotriva prigonitorilor mei!
PSA.35.3	Zi sufletului meu: „Eu sunt mântuirea ta”!
PSA.35.4	Rușinaţi
PSA.35.4	Să dea înapoi
PSA.35.5	Să fie
PSA.35.5	și să-i gonească îngerul Domnului!
PSA.35.6	Drumul să le fie întunecos
PSA.35.6	și să-i urmărească îngerul Domnului!
PSA.35.7	Căci mi-au întins
PSA.35.7	pe care au săpat-o fără temei, ca să-mi ia viaţa;
PSA.35.8	să-i ajungă
PSA.35.8	să fie prinși în laţul
PSA.35.8	să cadă în el și să piară!
PSA.35.9	Și atunci mi se va bucura sufletul în Domnul:
PSA.35.9	se
PSA.35.10	Toate
PSA.35.10	să scape pe cel nenorocit de unul mai tare decât el,
PSA.35.10	pe cel nenorocit și sărac de cel ce-l jefuiește?”
PSA.35.11	Niște martori
PSA.35.11	și mă întreabă de ceea ce nu știu.
PSA.35.12	Îmi întorc
PSA.35.12	mi-au lăsat sufletul pustiu.
PSA.35.13	Și eu, când
PSA.35.13	îmi smeream sufletul cu post
PSA.35.13	și mă rugam
PSA.35.14	Umblam plin de durere ca pentru un prieten, pentru un frate;
PSA.35.14	cu capul plecat, ca de jalea unei mame.
PSA.35.15	Dar când mă clatin eu, ei se bucură și se strâng;
PSA.35.15	se strâng fără știrea mea
PSA.35.15	și mă sfâșie
PSA.35.16	Scrâșnesc
PSA.35.16	împreună cu cei nelegiuiţi, cu secăturile batjocoritoare.
PSA.35.17	Doamne, până când Te vei uita
PSA.35.17	Scapă-mi sufletul din cursele lor,
PSA.35.17	scapă-mi viaţa
PSA.35.18	Și eu Te voi lăuda
PSA.35.18	și Te voi slăvi în mijlocul unui popor mare la număr.
PSA.35.19	Să
PSA.35.19	nici să
PSA.35.20	Căci ei nu vorbesc de pace,
PSA.35.20	ci urzesc înșelătorii împotriva oamenilor liniștiţi din ţară.
PSA.35.21	Își deschid
PSA.35.21	și zic: „Ha
PSA.35.22	Doamne, Tu vezi
PSA.35.22	Nu Te depărta
PSA.35.23	Trezește-Te și scoală-Te
PSA.35.23	Dumnezeule și Doamne, apără-mi pricina!
PSA.35.24	Judecă-mă
PSA.35.24	ca să
PSA.35.25	Să
PSA.35.25	Să nu zică: „L-am înghiţit
PSA.35.26	Ci să fie rușinaţi
PSA.35.26	Să se îmbrace
PSA.35.27	Să
PSA.35.27	și să zică
PSA.35.27	care
PSA.35.28	Și atunci limba
PSA.35.28	în toate zilele va spune lauda Ta.
PSA.36.1	Nelegiuirea celui rău zice inimii mele:
PSA.36.1	„Nu
PSA.36.2	Căci se măgulește
PSA.36.2	ca să-și desăvârșească fărădelegea, ca să-și potolească ura.
PSA.36.3	Cuvintele gurii lui sunt mincinoase și înșelătoare
PSA.36.3	nu mai vrea
PSA.36.4	În așternutul lui se gândește la răutate
PSA.36.4	stă pe
PSA.36.4	și nu urăște răul.
PSA.36.5	Bunătatea Ta, Doamne, ajunge până
PSA.36.5	și credincioșia Ta, până la nori.
PSA.36.6	Dreptatea Ta este ca munţii lui Dumnezeu
PSA.36.6	și judecăţile
PSA.36.6	Doamne, Tu sprijini pe oameni
PSA.36.7	Cât
PSA.36.7	La umbra aripilor Tale găsesc
PSA.36.8	Se
PSA.36.8	și-i adăpi din șuvoiul
PSA.36.9	Căci
PSA.36.9	prin
PSA.36.10	Întinde-Ţi și mai departe bunătatea peste
PSA.36.10	și dreptatea peste cei cu inima neprihănită
PSA.36.11	Să nu m-ajungă piciorul celui mândru
PSA.36.11	și să nu mă pună pe fugă mâna celor răi!
PSA.36.12	Cei ce fac fărădelegea au și început să cadă;
PSA.36.12	sunt răsturnaţi și
PSA.37.1	Nu
PSA.37.1	și nu te uita cu jind la cei ce fac răul;
PSA.37.2	căci sunt cosiţi iute, ca
PSA.37.2	și se veștejesc ca verdeaţa!
PSA.37.3	Încrede-te în Domnul și fă binele;
PSA.37.3	locuiește în ţară și umblă în credincioșie!
PSA.37.4	Domnul să-ţi fie desfătarea
PSA.37.4	și El îţi va da tot ce-ţi dorește inima.
PSA.37.5	Încredinţează-ţi
PSA.37.5	încrede-te în El și El va lucra!
PSA.37.6	El va
PSA.37.6	și dreptul tău ca soarele la amiază.
PSA.37.7	Taci
PSA.37.7	Nu
PSA.37.7	pe omul care își vede împlinirea planurilor lui rele!
PSA.37.8	Lasă mânia, părăsește iuţimea;
PSA.37.8	nu
PSA.37.9	Fiindcă
PSA.37.9	iar cei ce nădăjduiesc în Domnul vor stăpâni
PSA.37.10	Încă
PSA.37.10	te vei
PSA.37.11	Cei
PSA.37.11	și au belșug de pace.
PSA.37.12	Cel rău face la planuri împotriva celui neprihănit
PSA.37.12	și
PSA.37.13	Domnul
PSA.37.13	căci vede că-i vine și lui ziua
PSA.37.14	Cei răi trag sabia și își încordează arcul,
PSA.37.14	ca să doboare pe cel nenorocit și sărac,
PSA.37.14	ca să înjunghie pe cei cu inima neprihănită.
PSA.37.15	Dar sabia
PSA.37.15	și li se sfărâmă arcurile.
PSA.37.16	Mai
PSA.37.16	decât belșugul multor răi.
PSA.37.17	Căci braţele
PSA.37.17	dar Domnul sprijină pe cei neprihăniţi.
PSA.37.18	Domnul
PSA.37.18	și moștenirea lor ţine pe
PSA.37.19	Ei nu rămân de rușine în ziua nenorocirii,
PSA.37.19	ci au de ajuns în
PSA.37.20	Dar cei răi pier
PSA.37.20	și vrăjmașii Domnului sunt ca cele mai frumoase pășuni:
PSA.37.20	pier, pier ca
PSA.37.21	Cel rău ia cu împrumut și nu dă înapoi,
PSA.37.21	dar cel neprihănit
PSA.37.22	Căci
PSA.37.22	dar cei blestemaţi de El sunt
PSA.37.23	Domnul
PSA.37.23	când Îi place calea lui;
PSA.37.24	dacă se
PSA.37.24	căci Domnul îl apucă de mână.
PSA.37.25	Am fost tânăr și am îmbătrânit, dar n-am văzut pe cel neprihănit părăsit,
PSA.37.25	nici pe urmașii lui cerșindu-și
PSA.37.26	Ci el totdeauna
PSA.37.26	și urmașii lui sunt binecuvântaţi.
PSA.37.27	Depărtează-te
PSA.37.27	și vei dăinui pe vecie!
PSA.37.28	Căci Domnul iubește
PSA.37.28	și nu părăsește pe credincioșii Lui.
PSA.37.28	Totdeauna ei sunt sub paza Lui,
PSA.37.28	dar
PSA.37.29	Cei
PSA.37.29	și vor locui în ea pe vecie.
PSA.37.30	Gura
PSA.37.30	și limba lui trâmbiţează dreptatea.
PSA.37.31	Legea
PSA.37.31	și nu i se clatină pașii.
PSA.37.32	Cel rău pândește
PSA.37.32	și caută să-l omoare,
PSA.37.33	dar Domnul nu-l lasă
PSA.37.33	și nu-l osândește
PSA.37.34	Nădăjduiește
PSA.37.34	și El te va înălţa ca să stăpânești ţara:
PSA.37.34	vei vedea pe cei răi nimiciţi
PSA.37.35	Am văzut
PSA.37.35	se întindea ca un copac verde.
PSA.37.36	Dar când am trecut a doua oară, nu mai era
PSA.37.36	l-am căutat, dar nu l-am mai putut găsi.
PSA.37.37	Uită-te bine la cel fără prihană și privește pe cel fără vicleșug,
PSA.37.37	căci omul
PSA.37.38	dar
PSA.37.38	sămânţa celor răi este prăpădită.
PSA.37.39	Scăparea
PSA.37.39	El este ocrotitorul lor la vremea necazului
PSA.37.40	Domnul îi
PSA.37.40	îi izbăvește de cei răi și-i scapă,
PSA.37.40	pentru că
PSA.38.1	Doamne
PSA.38.1	și nu mă pedepsi în urgia Ta!
PSA.38.2	Căci săgeţile
PSA.38.2	și mâna
PSA.38.3	N-a mai rămas nimic sănătos în carnea mea din pricina mâniei Tale;
PSA.38.3	nu mai este nicio
PSA.38.4	Căci fărădelegile
PSA.38.4	ca o povară grea, sunt
PSA.38.5	Rănile mele miros greu și sunt pline de coptură,
PSA.38.5	în urma nebuniei mele.
PSA.38.6	Sunt gârbovit, peste măsură de istovit
PSA.38.6	Toată ziua umblu
PSA.38.7	Căci o durere arzătoare
PSA.38.7	și n-a mai rămas nimic
PSA.38.8	Sunt fără putere, zdrobit cu desăvârșire;
PSA.38.8	tulburarea inimii mele mă face să gem
PSA.38.9	Doamne, toate dorinţele mele sunt înaintea Ta
PSA.38.9	și suspinele mele nu-Ţi sunt ascunse.
PSA.38.10	Inima îmi bate cu tărie, puterea mă părăsește
PSA.38.10	și lumina
PSA.38.11	Prietenii
PSA.38.11	și rudele mele stau
PSA.38.12	Cei ce vor să-mi ia viaţa își întind cursele
PSA.38.12	cei ce-mi caută nenorocirea spun
PSA.38.12	și toată ziua urzesc
PSA.38.13	Iar eu
PSA.38.13	sunt
PSA.38.14	Sunt ca un om care n-aude
PSA.38.14	și în gura căruia nu este niciun răspuns.
PSA.38.15	Doamne, în Tine nădăjduiesc
PSA.38.15	Tu vei răspunde, Doamne Dumnezeule!
PSA.38.16	Căci zic: „Nu îngădui să
PSA.38.16	și să se fudulească
PSA.38.17	Căci sunt aproape să cad
PSA.38.17	și durerea mea este totdeauna înaintea mea.
PSA.38.18	Îmi mărturisesc
PSA.38.18	mă doare
PSA.38.19	Dar vrăjmașii mei sunt plini de viaţă și plini de putere;
PSA.38.19	cei ce mă urăsc fără
PSA.38.20	Ei îmi întorc
PSA.38.20	îmi sunt potrivnici, pentru că
PSA.38.21	Nu mă părăsi, Doamne!
PSA.38.21	Dumnezeule, nu
PSA.38.22	Vino degrabă în ajutorul meu,
PSA.38.22	Doamne, Mântuirea
PSA.39.1	Ziceam: „Voi veghea
PSA.39.1	ca să nu păcătuiesc cu limba;
PSA.39.1	îmi voi pune frâu gurii
PSA.39.1	cât
PSA.39.2	Am stat
PSA.39.2	am tăcut, măcar că eram nenorocit,
PSA.39.2	și totuși durerea mea nu era mai puţin mare.
PSA.39.3	Îmi ardea inima în mine,
PSA.39.3	un foc
PSA.39.3	și atunci mi-a venit cuvântul pe limbă și am zis:
PSA.39.4	„Doamne, spune-mi
PSA.39.4	care este măsura zilelor mele,
PSA.39.4	ca să știu cât de trecător sunt!”
PSA.39.5	Iată că zilele mele sunt cât un lat de mână
PSA.39.5	și viaţa
PSA.39.5	Da
PSA.39.6	Da, omul umblă ca o
PSA.39.6	se frământă degeaba,
PSA.39.6	strânge
PSA.39.7	Acum, Doamne, ce mai pot nădăjdui eu?
PSA.39.7	În Tine îmi este nădejdea
PSA.39.8	Izbăvește-mă de toate fărădelegile mele!
PSA.39.8	Nu mă face de ocara
PSA.39.9	Stau
PSA.39.9	căci Tu
PSA.39.10	Abate-Ţi
PSA.39.10	Îmi iese sufletul sub loviturile mâinii Tale.
PSA.39.11	Tu pedepsești pe om și-l lovești pentru fărădelegea lui;
PSA.39.11	îi prăpădești, ca molia
PSA.39.11	Da
PSA.39.12	Ascultă-mi rugăciunea, Doamne,
PSA.39.12	și pleacă-Ţi urechea la strigătele mele!
PSA.39.12	Nu tăcea în faţa lacrimilor mele!
PSA.39.12	Căci
PSA.39.12	un pribeag, ca
PSA.39.13	Abate-Ţi
PSA.39.13	până nu mă duc și să nu mai fiu
PSA.40.1	Îmi pusesem nădejdea
PSA.40.1	și El S-a plecat spre mine, mi-a ascultat strigătele.
PSA.40.2	M-a scos din groapa pieirii, din fundul mocirlei
PSA.40.2	mi-a pus
PSA.40.3	Mi-a pus în gură o cântare
PSA.40.3	Mulţi
PSA.40.3	și s-au încrezut în Domnul.
PSA.40.4	Ferice
PSA.40.4	și care nu
PSA.40.5	Doamne Dumnezeule, multe
PSA.40.5	nimeni nu se poate asemăna cu Tine.
PSA.40.5	Aș vrea să le vestesc și să le trâmbiţez,
PSA.40.5	dar numărul lor este prea mare ca să le povestesc.
PSA.40.6	Tu nu dorești nici jertfă
PSA.40.6	ci mi-ai străpuns urechile;
PSA.40.6	nu ceri nici ardere-de-tot, nici jertfă de ispășire.
PSA.40.7	Atunci am zis: „Iată-mă că vin! –
PSA.40.7	În sulul cărţii este scris
PSA.40.8	Vreau
PSA.40.8	Și Legea Ta este în
PSA.40.9	Vestesc
PSA.40.9	iată că nu-mi închid buzele
