GEN.1.1	Ла ынчепут
2CH.3.17	А ашезат
2CH.4.1	А фэкут ун алтар
2CH.4.2	А фэкут маря
2CH.4.3	Суб
2CH.4.4	Ера ашезатэ пе дойспрезече бой, динтре каре трей ынторшь спре мязэноапте, трей ынторшь спре апус, трей ынторшь спре мязэзи ши трей ынторшь спре рэсэрит; маря ера ашезатэ пе ей ши тоатэ партя диндэрэт а трупурилор лор ера ынэунтру. 
2CH.4.5	Гросимя ей ера де ун лат де мынэ ши марӂиня, ка марӂиня унуй пахар, ера фэкутэ ын фелул уней флорь де крин. Путяу сэ ынкапэ ын еа трей мий де баць
2CH.4.6	А фэкут зече
2CH.4.7	А май
2CH.4.8	А май фэкут
2CH.4.9	А май фэкут
2CH.4.10	А ашезат маря
2CH.4.11	Хирам
2CH.4.11	Астфел а испрэвит Хирам лукраря пе каре й-а дат-о ымпэратул Соломон с-о факэ пентру Каса луй Думнезеу: 
2CH.4.12	дой стылпь, ку челе доуэ капете
2CH.4.13	челе патру суте
2CH.4.14	челе зече темелий
2CH.4.15	маря ши чей дойспрезече бой де суб еа; 
2CH.4.16	ченушареле, лопециле ши фуркулицеле. Тоате ачесте унелте, пе каре ле-а дат ымпэратул Соломон луй Хурам-Аби
2CH.4.17	Ымпэратул а пус сэ ле тоарне ын кымпия
2CH.4.18	Соломон
2CH.4.19	Соломон
2CH.4.20	сфешничеле ши канделеле лор де аур курат, каре требуяу апринсе дупэ порункэ
2CH.4.21	флориле
2CH.4.22	куцителе, потиреле, чештиле ши кэцуиле де аур курат ши арипиле де аур пентру уша динэунтру а касей, де ла интраря Локулуй Прясфынт, ши пентру уша касей де ла интраря Темплулуй.
2CH.5.1	Астфел а фост испрэвитэ тоатэ
2CH.5.2	Атунч
2CH.5.3	Тоць бэрбаций луй Исраел с-ау адунат
2CH.5.4	Кынд ау ажунс тоць бэтрыний луй Исраел, левиций ау ридикат кивотул. 
2CH.5.5	Ау адус кивотул, кортул ынтылнирий ши тоате унелтеле сфинте каре ерау ын корт; преоций ши левиций ле-ау дус. 
2CH.5.6	Ымпэратул Соломон ши тоатэ адунаря луй Исраел кематэ ла ел ау стат ынаинтя кивотулуй. Ау жертфит ой ши бой, каре ну се пот нич сокоти, нич нумэра дин причина мулцимий лор. 
2CH.5.7	Преоций ау дус кивотул легэмынтулуй Домнулуй ла локул луй, ын Сфынтул Локаш ал касей, ын Локул Прясфынт, суб арипиле херувимилор. 
2CH.5.8	Херувимий авяу арипиле ынтинсе песте локул кивотулуй ши акоперяу кивотул ши друӂий луй пе дясупра. 
2CH.5.9	Друӂилор ли се дэдусе о астфел де лунӂиме ынкыт капетеле лор се ведяу ла о депэртаре де кивот динаинтя Сфынтулуй Локаш, дар ну се ведяу де афарэ. Кивотул а фост аколо пынэ ын зиуа де азь. 
2CH.5.10	Ын кивот ну ерау декыт челе доуэ табле, пе каре ле пусесе
2CH.5.11	Ын клипа кынд ау ешит преоций дин Локул Сфынт – кэч тоць преоций де фацэ се сфинцисерэ фэрэ сэ май цинэ ширул четелор 
2CH.5.12	ши тоць левиций
2CH.5.13	ши кынд чей че сунау дин трымбице ши чей че кынтау, унинду-се ынтр-ун глас ка сэ мэряскэ ши сэ лауде пе Домнул, ау сунат дин трымбице, кимвале ши челелалте инструменте ши ау мэрит пе Домнул прин ачесте кувинте: „Кэч есте бун
2CH.5.14	Преоций н-ау путут сэ май стя аколо ка сэ факэ служба дин причина норулуй, кэч
2CH.6.1	Атунч, Соломон
2CH.6.2	Ши еу ам зидит о касэ каре-Ць ва фи локуинца, ун лок унде вей локуи ын вечь!” 
2CH.6.3	Ымпэратул шь-а ынторс фаца ши а бинекувынтат тоатэ адунаря луй Исраел. Ши тоатэ адунаря луй Исраел стэтя ын пичоаре. 
2CH.6.4	Ши ел а зис: „Бинекувынтат сэ фие Домнул Думнезеул луй Исраел, каре а ворбит ку гура Са татэлуй меу, Давид, ши а ымплинит прин путеря Са че спусесе кынд а зис: 
2CH.6.5	‘Дин зиуа кынд ам скос пе попорул Меу дин цара Еӂиптулуй, н-ам алес ничо четате динтре тоате семинцииле луй Исраел ка сэ се зидяскэ аколо о касэ ын каре сэ локуяскэ Нумеле Меу ши н-ам алес пе ничун ом каре сэ фие кэпетения попорулуй Меу Исраел. 
2CH.6.6	Чи
2CH.6.7	Татэл меу, Давид, авя
2CH.6.8	Ши Домнул а зис татэлуй меу, Давид: ‘Фииндкэ ай авут де гынд сэ зидешть о касэ Нумелуй Меу, бине ай фэкут кэ ай авут гындул ачеста! 
2CH.6.9	Нумай кэ ну ту вей зиди каса, чи фиул тэу, ешит дин тине, ва зиди Нумелуй Меу о касэ.’ 
2CH.6.10	Домнул а ымплинит кувынтул пе каре-л спусесе. Еу м-ам ридикат ын локул татэлуй меу Давид ши ам шезут пе скаунул де домние ал луй Исраел, кум вестисе Домнул, ши ам зидит о касэ Нумелуй Домнулуй Думнезеулуй луй Исраел. 
2CH.6.11	Ам ашезат ын еа кивотул, ын каре
2CH.6.12	Соломон с-а ашезат
2CH.6.13	Кэч Соломон фэкусе о тряптэ де арамэ ши о пусесе ын мижлокул курций. Еа ера лунгэ де чинч коць, латэ де чинч коць ши ыналтэ де трей коць; а шезут пе еа, с-а ашезат ын ӂенункь ын фаца ынтреӂий адунэрь а луй Исраел ши а ынтинс мыниле спре чер. 
2CH.6.14	Ши а зис:
2CH.6.14	„Доамне, Думнезеул луй Исраел! Ну
2CH.6.15	Астфел, Ць-ай цинут кувынтул
2CH.6.16	Акум, Доамне, Думнезеул луй Исраел, цине фэгэдуинца пе каре ай фэкут-о татэлуй меу, Давид, кынд ай зис: ‘Ничодатэ
2CH.6.17	Ымплиняскэ-се дар, Доамне, Думнезеул луй Исраел, фэгэдуинца пе каре ай фэкут-о робулуй Тэу Давид! 
2CH.6.18	Дар че, сэ локуяскэ Думнезеу ку адевэрат ымпреунэ ку омул пе пэмынт? Ятэ
2CH.6.19	Тотушь, Доамне, Думнезеул меу, я аминте ла ругэчуня робулуй Тэу ши ла череря луй! Аскултэ стригэтул ши ругэчуня пе каре Ць-о фаче робул Тэу. 
2CH.6.20	Окий Тэй сэ фие зи ши ноапте дескишь песте каса ачаста, песте локул деспре каре ай зис кэ аколо ва фи Нумеле Тэу! Аскултэ ругэчуня пе каре о фаче робул Тэу ын локул ачеста! 
2CH.6.21	Аскултэ черериле робулуй Тэу ши але попорулуй Тэу Исраел, кынд се вор руга ын локул ачеста! Аскултэ дин локул локуинцей Тале, дин черурь, аскултэ ши яртэ! 
2CH.6.22	Дакэ ва пэкэтуи чинева ымпотрива апроапелуй сэу ши се ва пуне песте ел ун журэмынт ка сэ-л факэ сэ журе ши дакэ ва вени сэ журе ынаинтя алтарулуй Тэу, ын каса ачаста, 
2CH.6.23	аскултэ-л дин черурь, лукрязэ ши жудекэ пе робий Тэй; осындеште пе чел виноват ши фэ ка пуртаря луй сэ кадэ асупра капулуй луй; фэ дрептате челуй невиноват ши рэсплэтеште-й дупэ невиновэция луй! 
2CH.6.24	Кынд попорул тэу Исраел ва фи бэтут де врэжмаш пентру кэ а пэкэтуит ымпотрива Та, дакэ се вор ынтоарче ла Тине ши вор да славэ Нумелуй Тэу, дакэ Ыць вор фаче ругэчунь ши черерь ын каса ачаста, 
2CH.6.25	аскултэ-й дин черурь, яртэ пэкатул попорулуй Тэу Исраел ши аду-й ынапой ын цара пе каре ай дат-о лор ши пэринцилор лор. 
2CH.6.26	Кынд черул
2CH.6.27	аскултэ-й дин черурь, яртэ пэкатул робилор Тэй ши ал попорулуй Тэу Исраел, ынвацэ-й каля чя бунэ ын каре требуе сэ мяргэ ши тримите плоае пе пэмынтул пе каре л-ай дат де моштенире попорулуй Тэу! 
2CH.6.28	Кынд вор фи ын царэ фоаметя
2CH.6.29	дакэ ун ом, дакэ тот попорул Тэу Исраел ва фаче ругэчунь ши черерь ши фиекаре ышь ва куноаште рана ши дуреря ши ва ынтинде мыниле спре каса ачаста, 
2CH.6.30	аскултэ-л дин черурь, дин локул локуинцей Тале, ши яртэ-л; рэсплэтеште фиекэруя дупэ кэиле луй, Ту каре куношть
2CH.6.31	ка сэ се тямэ де Тине ши сэ умбле ын кэиле Тале тот тимпул кыт вор трэи ын цара пе каре ай дат-о пэринцилор ноштри! 
2CH.6.32	Кынд стрэинул, каре
2CH.6.33	аскултэ-л дин черурь, дин локул локуинцей Тале, ши дэ стрэинулуй ачелуя тот че-Ць ва чере, пентру ка тоате попоареле пэмынтулуй сэ куноаскэ Нумеле Тэу, сэ се тямэ де Тине, ка попорул Тэу Исраел, ши сэ штие кэ Нумеле Тэу есте кемат песте каса ачаста пе каре ам зидит-о! 
2CH.6.34	Кынд ва еши попорул Тэу ла луптэ ымпотрива врэжмашилор луй, урмынд каля пе каре ый вей порунчи с-о урмезе, дакэ Ыць вор фаче ругэчунь ку привириле ындрептате спре четатя ачаста пе каре ай алес-о ши спре каса пе каре ам зидит-о ын Нумеле Тэу, 
2CH.6.35	аскултэ дин черурь ругэчуниле ши черериле лор ши фэ-ле дрептате! 
2CH.6.36	Кынд вор пэкэтуи ымпотрива Та, кэч ну
2CH.6.37	дакэ ышь вор вени ын фире ын цара унде вор фи робь, дакэ се вор ынтоарче ла Тине ши Ыць вор фаче черерь ын цара робией лор ши вор зиче: ‘Ам пэкэтуит, ам сэвыршит фэрэделеӂь, ам фэкут рэу’, 
2CH.6.38	дакэ се вор ынтоарче ла Тине дин тоатэ инима лор ши дин тот суфлетул лор ын цара робией лор, унде ау фост душь робь, дакэ-Ць вор фаче ругэчунь ку привириле ынтоарсе спре цара лор, пе каре ай дат-о пэринцилор лор, спре четатя пе каре ай алес-о ши спре каса пе каре ам зидит-о Нумелуй Тэу, 
2CH.6.39	аскултэ дин черурь, дин локул локуинцей Тале, ругэчуниле ши черериле лор ши фэ-ле дрептате; яртэ попорулуй Тэу пэкателе фэкуте ымпотрива Та! 
2CH.6.40	Акум, Думнезеуле, окий Тэй сэ фие дескишь ши урекиле сэ-Ць фие ку луаре аминте ла ругэчуня фэкутэ ын локул ачеста! 
2CH.6.41	Акум
2CH.6.42	Доамне Думнезеуле, ну ындепэрта пе унсул Тэу, аду-Ць
2CH.7.1	Кынд
2CH.7.2	Преоций
2CH.7.3	Тоць копиий луй Исраел ау вэзут коборынду-се фокул ши слава Домнулуй песте касэ; ей шь-ау плекат фаца ла пэмынт пе пардосялэ, с-ау ынкинат ши ау лэудат пе Домнул, зикынд
2CH.7.4	Ымпэратул
2CH.7.5	Ымпэратул Соломон а ынжунгият доуэзечь ши доуэ де мий де бой ши о сутэ доуэзечь де мий де ой. Астфел ау фэкут ымпэратул ши тот попорул сфинциря Касей луй Думнезеу. 
2CH.7.6	Преоций
2CH.7.7	Соломон а сфинцит
2CH.7.8	Соломон а прэзнуит сэрбэтоаря ын время ачея
2CH.7.9	Ын зиуа а опта, ау авут о адунаре де сэрбэтоаре, кэч сфинциря алтарулуй ау фэкут-о шапте зиле ши сэрбэтоаря тот шапте зиле. 
2CH.7.10	Ын а доуэзечь ши трея
2CH.7.11	Кынд а испрэвит
2CH.7.12	Домнул С-а арэтат луй Соломон ноаптя ши й-а зис: „Ыць аскулт ругэчуня ши алег локул
2CH.7.13	Кынд вой
2CH.7.14	дакэ попорул Меу, песте каре есте кемат Нумеле Меу, се ва
2CH.7.15	Окий
2CH.7.16	Акум, алег
2CH.7.17	Ши ту
2CH.7.18	вой ынтэри скаунул де домние ал ымпэрэцией тале, кум ам фэгэдуит татэлуй тэу, Давид, кынд ам зис: ‘Ничодатэ ну
2CH.7.19	Дар, дакэ вэ
2CH.7.20	вэ вой смулӂе дин цара Мя, пе каре в-ам дат-о, вой лепэда де ла Мине каса ачаста пе каре ам ынкинат-о Нумелуй Меу ши о вой фаче де поминэ ши де батжокурэ принтре тоате попоареле. 
2CH.7.21	Ши, кыт де ыналтэ есте каса ачаста, орьчине ва трече пе лынгэ еа ва рэмыне ынкременит ши ва зиче: ‘Пентру че
2CH.7.22	Ши се ва рэспунде: ‘Пентру кэ ау пэрэсит пе Домнул Думнезеул пэринцилор лор, каре й-а скос дин цара Еӂиптулуй, пентру кэ с-ау алипит де алць думнезей, с-ау ынкинат ынаинтя лор ши ле-ау служит; ятэ де че а тримис песте ей тоате ачесте реле.’”
2CH.8.1	Дупэ доуэзечь
2CH.8.2	а ынтэрит четэциле пе каре и ле-а дат Хирам ши а ашезат ын еле пе копиий луй Исраел. 
2CH.8.3	Соломон а мерс ымпотрива Хаматулуй, ла Цоба, ши а пус стэпынире пе еа. 
2CH.8.4	А ынтэрит
2CH.8.5	А ынтэрит апой Бет-Хоронул де Сус ши Бет-Хоронул де Жос, ка четэць ынтэрите ку зидурь, порць ши зэвоаре; 
2CH.8.6	Баалатул ши тоате четэциле каре служяу ка четэць пентру меринде ши каре циняу де ел, тоате четэциле пентру каре, четэциле пентру кэлэриме ши тот че а гэсит ку кале Соломон сэ зидяскэ ла Иерусалим, ла Либан ши ын тоатэ цара ал кэрей стэпын ера. 
2CH.8.7	Пе
2CH.8.8	пе урмаший лор каре рэмэсесерэ дупэ ей ын царэ ши пе каре ну-й нимичисерэ копиий луй Исраел, Соломон й-а ридикат ка оамень де корвоадэ, чея че ау фост пынэ ын зиуа де азь. 
2CH.8.9	Соломон н-а ынтребуинцат ка робь пентру лукрэриле луй пе ничунул дин копиий луй Исраел, кэч ей ерау оамень де рэзбой, кэпетенииле луй, службаший луй, май-марий карелор ши кэлэримий луй. 
2CH.8.10	Кэпетенииле пусе де ымпэратул Соломон ын фрунтя попорулуй ши ынсэрчинате сэ привегезе песте ел ерау ын нумэр де доуэ суте чинчзечь
2CH.8.11	Соломон
2CH.8.12	Атунч, Соломон а адус ардерь-де-тот Домнулуй пе алтарул Домнулуй, пе каре-л зидисе ынаинтя придворулуй. 
2CH.8.13	Адучя че ера порунчит де Мойсе пентру фиекаре зи
2CH.8.14	А пус ын службеле лор, аша кум ле рындуисе татэл сэу, Давид, четеле
2CH.8.15	Ну с-ау абэтут де ла порунка ымпэратулуй ку привире ла преоць ши левиць, нич ку привире ла вреун алт лукру, нич ын привинца вистиериилор. 
2CH.8.16	Аша с-а ынфэптуит тоатэ лукраря луй Соломон, дин зиуа кынд с-а пус темелия Касей Домнулуй ши пынэ ын зиуа кынд а фост испрэвитэ. Каса Домнулуй а фост деч испрэвитэ. 
2CH.8.17	Соломон а плекат атунч ла Ецион-Гебер
2CH.8.18	Ши
2CH.9.1	Ымпэрэтяса
2CH.9.2	Соломон й-а рэспунс ла тоате ынтребэриле ши н-а фост нимик пе каре сэ ну фи штиут Соломон сэ и-л лэмуряскэ. 
2CH.9.3	Ымпэрэтяса дин Себа а вэзут ынцелепчуня луй Соломон ши каса пе каре о зидисе, 
2CH.9.4	ши букателе де ла маса луй, ши локуинца служиторилор луй, ши службеле, ши хайнеле челор че-й служяу, ши пахарничий луй, ши хайнеле лор, ши трептеле пе каре се суя ла Каса Домнулуй. 
2CH.9.5	Уймитэ, еа а зис ымпэратулуй: „Есте адевэрат деч че ам аузит еу ын цара мя деспре фаптеле ши ынцелепчуня та! 
2CH.9.6	Ну кредям тот че се зичя, пынэ н-ам венит ши ам вэзут ку окий мей. Ши ятэ кэ ну ми с-а историсит нич жумэтате дин мэриря ши ынцелепчуня та. Ту ынтречь файма пе каре ам аузит-о деспре тине. 
2CH.9.7	Фериче де оамений тэй, фериче де служиторий тэй, каре сунт пуруря ынаинтя та ши каре ауд ынцелепчуня та! 
2CH.9.8	Бинекувынтат сэ фие Домнул Думнезеул тэу, каре С-а ындурат де тине ши те-а пус пе скаунул Луй де домние ка ымпэрат пентру Домнул Думнезеул тэу! Пентру кэ Думнезеул тэу юбеште пе Исраел ши вря сэ-л факэ сэ рэмынэ ын пичоаре пе вечие, пентру ачея те-а пус ымпэрат песте ел, ка сэ фачь жудекатэ ши дрептате.” 
2CH.9.9	Еа а дат ымпэратулуй о сутэ доуэзечь де таланць де аур, фоарте мулте миродений ши петре скумпе. Н-ау май фост миродений ка челе дате ымпэратулуй Соломон де ымпэрэтяса дин Себа. 
2CH.9.10	Служиторий луй Хирам ши служиторий луй Соломон каре
2CH.9.11	Ымпэратул а фэкут ку лемнул мироситор скэрь пентру Каса Домнулуй ши пентру каса ымпэратулуй ши харпе ши алэуте пентру кынтэрець. Ну се май вэзусе аша чева ын цара луй Иуда. 
2CH.9.12	Ымпэратул Соломон а дат ымпэрэтесей дин Себа тот че а дорит еа, че а черут, май мулт декыт адусесе еа ымпэратулуй. Апой с-а ынторс ши с-а дус ын цара ей, еа ши служиторий ей.
2CH.9.13	Греутатя аурулуй каре веня пе фиекаре ан луй Соломон ера де шасе суте шайзечь ши шасе де таланць де аур, 
2CH.9.14	афарэ де че луа де ла негусторий чей марь ши де ла чей мичь, де ла тоць ымпэраций Арабией ши де ла дрегэторий цэрий, каре адучяу аур ши арӂинт луй Соломон. 
2CH.9.15	Ымпэратул Соломон а фэкут доуэ суте де скутурь марь де аур бэтут, ши пентру фиекаре дин еле а ынтребуинцат шасе суте де сикли де аур бэтут, 
2CH.9.16	ши алте трей суте де скутурь де аур бэтут, ши пентру фиекаре дин еле а ынтребуинцат трей суте де сикли де аур; ши ымпэратул ле-а пус ын каса пэдурий Либанулуй. 
2CH.9.17	Ымпэратул а фэкут ун маре скаун де домние де филдеш ши л-а акоперит ку аур курат. 
2CH.9.18	Скаунул ачеста де домние авя шасе трепте ши ун аштернут пентру пичоаре, де аур, каре се циня де скаунул де домние; де фиекаре парте а скаунулуй ерау реземэторь, лынгэ реземэторь ерау дой лей 
2CH.9.19	ши, пе челе шасе трепте, де о парте ши де алта, ерау дойспрезече лей. Аша чева ну с-а фэкут пентру ничо ымпэрэцие. 
2CH.9.20	Тоате пахареле ымпэратулуй Соломон ерау де аур ши тоате васеле дин каса пэдурий Либанулуй ерау де аур курат. Ну ера нимик де арӂинт – арӂинтулуй ну и се дэдя ничун прец пе время луй Соломон. 
2CH.9.21	Кэч ымпэратул авя корэбий дин Тарсис, каре кэлэторяу ку служиторий луй Хирам; ши ла фиекаре трей ань веняу корэбииле дин Тарсис адукынд аур ши арӂинт, филдеш, маймуце ши пэунь. 
2CH.9.22	Ымпэратул Соломон а ынтрекут пе тоць ымпэраций пэмынтулуй прин богэцииле ши ынцелепчуня луй. 
2CH.9.23	Тоць ымпэраций пэмынтулуй кэутау сэ-л вадэ пе Соломон ка сэ аудэ ынцелепчуня пе каре о пусесе Думнезеу ын инима луй. 
2CH.9.24	Ши фиекаре дин ей ышь адучя дарул луй, лукрурь де арӂинт ши лукрурь де аур, хайне, арме, миродений, кай ши катырь; аша ера ын фиекаре ан. 
2CH.9.25	Соломон
2CH.9.26	Ел стэпыня
2CH.9.27	Ымпэратул
2CH.9.28	Дин Еӂипт ши дин тоате цэриле се адучяу
2CH.9.29	Челелалте
2CH.9.30	Соломон
2CH.9.31	Апой Соломон а адормит ку пэринций луй ши л-ау ынгропат ын четатя татэлуй сэу, Давид. Ши, ын локул луй, а домнит фиул сэу Робоам.
2CH.10.1	Робоам
2CH.10.2	Кынд а аузит лукрул ачеста, Иеробоам, фиул луй Небат, ера ын Еӂипт, унде
2CH.10.3	Ау тримис сэ-л кеме. Атунч, Иеробоам ши тот Исраелул ау венит ла Робоам ши й-ау ворбит аша: 
2CH.10.4	„Татэл тэу не-а ынгреуят жугул, акум ушурязэ ачастэ аспрэ робие ши жугул греу пе каре л-а пус песте ной татэл тэу. Ши ыць вом служи.” 
2CH.10.5	Ел ле-а зис: „Ынтоарчеци-вэ ла мине дупэ трей зиле.” Ши попорул а плекат. 
2CH.10.6	Ымпэратул Робоам а ынтребат пе бэтрыний каре фусесерэ ку татэл сэу, Соломон, ын тимпул веций луй ши а зис: „Че мэ сфэтуиць сэ рэспунд попорулуй ачестуя?” 
2CH.10.7	Ши ятэ че й-ау зис ей: „Дакэ вей фи бун ку попорул ачеста, дакэ-й вей прими бине ши дакэ ле вей ворби ку бунэвоинцэ, ыць вор служи пе вечие.” 
2CH.10.8	Дар Робоам а лэсат сфатул пе каре и-л дэдяу бэтрыний ши а ынтребат пе тинерий каре крескусерэ ку ел ши каре-л ынконжурау. 
2CH.10.9	Ел ле-а зис: „Че мэ сфэтуиць сэ рэспунд попорулуй ачестуя каре-мь ворбеште астфел: ‘Ушурязэ жугул пе каре л-а пус татэл тэу песте ной’?” 
2CH.10.10	Ши ятэ че й-ау зис тинерий каре крескусерэ ку ел: „Аша сэ ворбешть попорулуй ачестуя каре ць-а ворбит аша: ‘Татэл тэу не-а ынгреуят жугул, яр ту ушурязэ-ни-л!’ сэ ле ворбешть аша: ‘Деӂетул меу чел мик есте май грос декыт коапселе татэлуй меу. 
2CH.10.11	Акум, татэл меу а пус песте вой ун жуг греу, дар еу ыл вой фаче ши май греу; татэл меу в-а педепсит ку биче, дар еу вэ вой педепси ку скорпиоане.’” 
2CH.10.12	Иеробоам ши тот попорул ау венит ла Робоам а трея зи, дупэ кум ле спусесе ымпэратул: „Ынтоарчеци-вэ ла мине песте трей зиле.” 
2CH.10.13	Ымпэратул ле-а рэспунс аспру. Ымпэратул Робоам а лэсат сфатул бэтрынилор 
2CH.10.14	ши ле-а ворбит аша, дупэ сфатул тинерилор: „Татэл меу в-а ынгреуят жугул, дар еу ыл вой ынгреуя ши май мулт; татэл меу в-а педепсит ку биче, дар еу вэ вой педепси ку скорпиоане.” 
2CH.10.15	Астфел, ымпэратул н-а аскултат пе попор, кэч
2CH.10.16	Кынд а вэзут тот Исраелул кэ ымпэратул ну-л аскултэ, попорул а рэспунс ымпэратулуй: „Че парте авем ной ку Давид? Ной н-авем ничо моштенире ку фиул луй Исай! Ла кортуриле тале, Исраеле! Акум, везь-ць де касэ, Давиде!” Ши тот Исраелул с-а дус ын кортуриле луй. 
2CH.10.17	Копиий луй Исраел каре локуяу ын четэциле луй Иуда ау фост сингурий песте каре а домнит Робоам. 
2CH.10.18	Атунч, ымпэратул Робоам а тримис пе Хадорам, каре ера май-маре песте дэрь. Хадорам а фост ымпрошкат ку петре де копиий луй Исраел ши а мурит. Ши ымпэратул Робоам с-а
2CH.10.19	Астфел с-а дезлипит Исраел де каса луй Давид пынэ ын зиуа де азь.
2CH.11.1	Робоам, венинд
2CH.11.2	Дар Кувынтул Домнулуй а ворбит астфел луй Шемая
2CH.11.3	„Ворбеште луй Робоам, фиул луй Соломон, ымпэратул луй Иуда, ши ынтрегулуй Исраел дин Иуда ши дин Бениамин. Ши спуне-ле: 
2CH.11.4	‘Аша ворбеште Домнул: «Сэ ну вэ суиць ши сэ ну фачець рэзбой ымпотрива фрацилор воштри! Фиекаре дин вой сэ се ынтоаркэ акасэ, кэч де ла Мине с-а ынтымплат лукрул ачеста.»’” Ей ау аскултат де кувинтеле Домнулуй, с-ау ынторс акасэ ши ну с-ау май дус ымпотрива луй Иеробоам. 
2CH.11.5	Робоам а локуит ла Иерусалим ши а зидит четэць ынтэрите ын Иуда. 
2CH.11.6	А зидит Бетлеемул, Етамул, Текоа, 
2CH.11.7	Бет-Цурул, Сокоул, Адулам, 
2CH.11.8	Гатул, Мареша, Зифул, 
2CH.11.9	Адораимул, Лакисул, Азека, 
2CH.11.10	Цорея, Аиалонул ши Хебронул, каре ерау ын Иуда ши ын Бениамин, ши а фэкут дин еле ниште четэць ынтэрите. 
2CH.11.11	Ле-а ынтэрит, а пус ын еле кэпитань ши магазий де букате, де унтделемн ши вин. 
2CH.11.12	А пус ын фиекаре дин ачесте четэць скутурь ши сулице ши ле-а фэкут фоарте тарь. Иуда ши Бениамин ерау ай луй. 
2CH.11.13	Преоций ши левиций каре се афлау ын тот Исраелул шь-ау пэрэсит локуинцеле ши с-ау дус ла ел, 
2CH.11.14	кэч левиций шь-ау пэрэсит
2CH.11.15	Иеробоам а пус
2CH.11.16	Ачея дин тоате семинцииле луй Исраел каре авяу пе инимэ сэ кауте пе Домнул Думнезеул луй Исраел ау урмат
2CH.11.17	Ей ау дат астфел тэрие
2CH.11.18	Робоам а луат де невастэ пе Махалат, фата луй Иеримот, фиул луй Давид ши ал Абихаилей, фата луй Елиаб, фиул луй Исай. 
2CH.11.19	Еа й-а нэскут фий пе: Иеуш, Шемария ши Захам. 
2CH.11.20	Дупэ еа, а луат пе Маака
2CH.11.21	Робоам юбя пе Маака, фата луй Абсалом, май мулт декыт пе тоате невестеле ши циитоареле луй, кэч а авут оптспрезече невесте ши шайзечь де циитоаре ши а нэскут доуэзечь ши опт де фий ши шайзечь де фете. 
2CH.11.22	Робоам а дат чел динтый лок луй Абия, фиул Маакей, ши л-а пус
2CH.11.23	Ел а лукрат ку минте, ымпрэштиинд пе тоць фиий сэй ын тоате цинутуриле луй Иуда ши луй Бениамин, ын тоате четэциле ынтэрите; ле-а дат де мынкаре дин белшуг ши ле-а кэутат о мулциме де невесте.
2CH.12.1	Кынд
2CH.12.2	Ын ал чинчиля
2CH.12.3	Авя о мие доуэ суте де каре ши шайзечь де мий де кэлэрець ши, ымпреунэ ку ел, а венит дин Еӂипт ун попор фэрэ нумэр, динтре либиень
2CH.12.4	А луат четэциле ынтэрите але луй Иуда ши а ажунс пынэ ла Иерусалим. 
2CH.12.5	Атунч, пророкул
2CH.12.6	Кэпетенииле луй Исраел ши ымпэратул с-ау смерит
2CH.12.7	Ши, дакэ а вэзут Домнул кэ с-ау смерит, кувынтул Домнулуй а
2CH.12.8	дар ый вор фи супушь
2CH.12.9	Шишак, ымпэратул Еӂиптулуй, с-а суит
2CH.12.10	Ымпэратул Робоам а фэкут ын локул лор ниште скутурь де арамэ ши ле-а дат ын грижа кэпетениилор
2CH.12.11	Орь де кыте орь се дучя ымпэратул ла Каса Домнулуй, алергэторий веняу ши ле пуртау ынаинтя луй, апой ле адучяу ярэшь ын одая алергэторилор. 
2CH.12.12	Пентру кэ Робоам се смерисе, Домнул Шь-а абэтут мыния де ла ел ши ну л-а нимичит де тот. Ши тот май ера чева бун ын Иуда. 
2CH.12.13	Ымпэратул Робоам с-а ынтэрит ын Иерусалим ши а домнит. Авя патрузечь ши уну
2CH.12.14	Ел а фэкут лукрурь реле, пентру кэ ну шь-а пус инима сэ кауте пе Домнул. 
2CH.12.15	Фаптеле луй Робоам, челе динтый ши челе де пе урмэ, ну сунт скрисе оаре ын картя пророкулуй Шемая ши а пророкулуй Идо
2CH.12.15	Тотдяуна а фост рэзбой
2CH.12.16	Робоам а адормит ку пэринций сэй ши а фост ынгропат ын четатя луй Давид. Ши, ын локул луй, а домнит фиул сэу Абия
2CH.13.1	Ын
2CH.13.2	Ел а домнит трей ань ла Иерусалим. Мама са се нумя Микая
2CH.13.3	Абия а ынчепут лупта ку о оасте де рэзбойничь витежь, патру суте де мий де оамень алешь, ши Иеробоам с-а ыншируит де бэтае ымпотрива луй ку опт суте де мий де оамень алешь, рэзбойничь витежь. 
2CH.13.4	Де пе вырфул мунтелуй Цемараим
2CH.13.5	Ну требуе оаре сэ штиць кэ Домнул Думнезеул луй Исраел а дат
2CH.13.6	Дар Иеробоам, фиул луй Небат, служиторул луй Соломон, фиул луй Давид, с-а скулат
2CH.13.7	Ниште оамень
2CH.13.8	Ши акум, вой кредець кэ путець еши бируиторь асупра ымпэрэцией Домнулуй, каре есте ын мыниле фиилор луй Давид, ши вой сунтець о маре мулциме ши авець ку вой вицеий де аур пе каре ви й-а фэкут
2CH.13.9	Н-аць
2CH.13.10	Дар, кыт деспре ной, Домнул есте Думнезеул ностру ши ной ну Л-ам пэрэсит, преоций дин служба Домнулуй сунт фий ай луй Аарон ши левиций стау ши ышь ымплинеск службеле. 
2CH.13.11	Ной адучем
2CH.13.12	Ятэ кэ Думнезеу ши преоций Луй
