GEN.1.1	La
PRO.25.17	Pune‐ți rar piciorul în casa aproapelui tău ca să nu se sature de tine și să te urască. 
PRO.25.18	Cel ce
PRO.25.19	Încrederea la vreme de strâmtorare într‐un necredincios este 
PRO.25.20	Cel ce cântă cântări unei inimi triste este ca cel ce se dezbracă de haină pe o zi rece 
PRO.25.21	Dacă
PRO.25.22	căci
PRO.25.23	Vântul
PRO.25.24	Mai
PRO.25.25	O știre bună dintr‐o țară depărtată este ca apele reci pentru un suflet însetat. 
PRO.25.26	Dreptul care se clatină înaintea celui rău este ca o fântână tulbure și un izvor spurcat. 
PRO.25.27	Nu
PRO.25.28	Cel ce
PRO.26.1	Ca zăpada vara și
PRO.26.2	Ca vrabia când sare ici și colo, ca rândunica atunci când zboară, așa și blestemul
PRO.26.3	Biciul
PRO.26.4	Nu răspunde nebunului după nebunia sa ca să nu te faci asemenea lui. 
PRO.26.5	Răspunde
PRO.26.6	Cel ce trimite o știre prin mâna unui nebun își taie picioarele 
PRO.26.7	Picioarele ologului sunt slabe, așa este pilda în gura nebunilor. 
PRO.26.8	Ca cel ce leagă o piatră în praștie, așa este cel ce dă cinste nebunului. 
PRO.26.9	Ca un spin care ajunge în mâna celui beat, așa este pilda în gura nebunilor. 
PRO.26.10	Ca arcașul care rănește totul, așa este cel ce‐și tocmește pe nebun și tocmește pe trecători. 
PRO.26.11	Cum
PRO.26.12	Ai văzut
PRO.26.13	Leneșul
PRO.26.14	Cum se învârtește ușa în țâțânele ei, așa și leneșul
PRO.26.15	Leneșul își îngroapă mâna în strachină: îi e greu s‐o ducă iarăși la gură. 
PRO.26.16	Leneșul este mai înțelept în ochii săi decât șapte oameni care răspund cu bun simț. 
PRO.26.17	Cel ce trece și se aprinde pentru o ceartă ce nu‐i a lui, acela apucă un câine de urechi. 
PRO.26.18	Ca nebunul ce aruncă tăciuni de foc, săgeți și moarte, 
PRO.26.19	așa este cel ce înșeală pe aproapele său și zice: Oare n‐am
PRO.26.20	Unde nu sunt lemne, focul se stinge și unde nu
PRO.26.21	Ca niște
PRO.26.22	Cuvintele
PRO.26.23	Buzele arzătoare și o inimă rea sunt ca argint plin de zgură turnat peste un vas de lut. 
PRO.26.24	Cel ce urăște se preface cu buzele și păstrează înșelăciunea înăuntrul său: 
PRO.26.25	Când
PRO.26.26	Ura 
PRO.26.27	Cel ce
PRO.26.28	Limba mincinoasă urăște pe cei pe care i‐a doborât și gura lingușitoare lucrează prăpăd.
PRO.27.1	Nu
PRO.27.2	Altul
PRO.27.3	Grea este piatra, greu este nisipul, dar voioșia celui nebun este mai grea decât amândouă. 
PRO.27.4	Mânia este nemiloasă și furia un potop, dar cine
PRO.27.5	Mai bine o mustrare
PRO.27.6	Rănile
PRO.27.7	Sufletul sătul calcă în picioare fagurul, dar sufletului
PRO.27.8	Ca pasărea care rătăcește din cuibul ei, așa este bărbatul care rătăcește din locul său. 
PRO.27.9	Untdelemnul și mireasma veselesc inima: așa și dulceața prietenului care vine dintr‐un sfat din inimă. 
PRO.27.10	Nu părăsi pe prietenul tău și pe prietenul tatălui tău și nu intra în casa fratelui tău în ziua nenorocirii tale. Mai
PRO.27.11	 Fii înțelept, fiul meu, și înveselește‐mi inima ca să pot da răspuns celui ce mă ocărește. 
PRO.27.12	Omul chibzuit
PRO.27.13	Ia‐i
PRO.27.14	Cel ce binecuvântează pe prietenul său cu glas tare, sculându‐se de dimineață, i se va socoti blestem. 
PRO.27.15	O
PRO.27.16	Cel ce o va opri, oprește vântul și dreapta sa întâlnește untdelemn. 
PRO.27.17	Fierul se ascute cu fier; tot așa și un om ascute fața prietenului său. 
PRO.27.18	Cel ce
PRO.27.19	Precum în apă față răspunde la față, așa și inima de om la om. 
PRO.27.20	Șeolul
PRO.27.21	Tigaia
PRO.27.22	Pe nebun chiar
PRO.27.23	Caută să cunoști înfățișarea turmelor tale; 
PRO.27.24	Căci avuția nu este în veac; și ține oare cununa din neam în neam? 
PRO.27.25	Fânul
PRO.27.26	Mieii sunt pentru îmbrăcămintea ta și țapii sunt prețul ogorului; 
PRO.27.27	și belșugul de lapte de capre 
PRO.28.1	Cel rău
PRO.28.2	Prin greșeala unei țări mai marii ei sunt mulți, dar printr‐un om cu pricepere și cunoștință i se lungește statornicia. 
PRO.28.3	Omul
PRO.28.4	Cei ce
PRO.28.5	Oamenii
PRO.28.6	Mai
PRO.28.7	Cel ce
PRO.28.8	Cel ce
PRO.28.9	Cel ce‐și întoarce urechea ca să n‐audă legea, chiar
PRO.28.10	Cel ce
PRO.28.11	Omul bogat este înțelept în ochii săi, dar săracul care este înțelept îl cercetează. 
PRO.28.12	Când
PRO.28.13	Cel ce
PRO.28.14	Ferice de omul care
PRO.28.15	Leu
PRO.28.16	Voievodul lipsit de pricepere este și un mare apăsător; cel ce urăște câștigul necinstit își va lungi zilele. 
PRO.28.17	Omul
PRO.28.18	Cel ce
PRO.28.19	Cel ce
PRO.28.20	Bărbatul cu credincioșie va prisosi în binecuvântări, dar
PRO.28.21	Nu este bine a
PRO.28.22	Cel ce
PRO.28.23	Cel ce
PRO.28.24	Cel ce pradă pe tatăl său și pe mamă‐sa și zice: Nu‐i păcat! este tovarăș
PRO.28.25	Cel lacom
PRO.28.26	Cel ce se încrede în inima sa este un nebun, dar cel ce umblă cu înțelepciune, acela va fi scăpat. 
PRO.28.27	Cel ce
PRO.28.28	Când
PRO.29.1	Omul
PRO.29.2	Când
PRO.29.3	Cel ce
PRO.29.4	Împăratul întărește țara prin dreptate, dar cel ce ia daruri o surpă. 
PRO.29.5	Omul care lingușește pe aproapele său întinde o mreajă pașilor lui. 
PRO.29.6	În fărădelegea celui rău este o cursă, dar cel drept va cânta și se va bucura. 
PRO.29.7	Cel drept
PRO.29.8	Cei
PRO.29.9	Cel înțelept când se ceartă cu nebunul, fie că se mânie, fie că râde
PRO.29.10	Bărbații
PRO.29.11	Nebunul
PRO.29.12	Când cârmuitorul ascultă de cuvinte mincinoase, toți slujitorii săi sunt răi. 
PRO.29.13	Săracul și apăsătorul se
PRO.29.14	Împăratul
PRO.29.15	Nuiaua
PRO.29.16	Când se înmulțesc cei răi, se înmulțește fărădelegea, dar
PRO.29.17	Îndreaptă
PRO.29.18	Unde
PRO.29.19	Cu cuvinte nu se îndreaptă sluga: pricepe în adevăr, dar nu va răspunde. 
PRO.29.20	Ai văzut pe cineva grăbit în cuvintele sale? Este mai
PRO.29.21	Cel ce își răsfață sluga din tinerețe, la urmă o va avea fiu al casei. 
PRO.29.22	Omul
PRO.29.23	Trufia
PRO.29.24	Cel ce este părtaș cu hoțul își urăște sufletul; aude
PRO.29.25	Frica
PRO.29.26	Mulți
PRO.29.27	Cel rău este o urâciune celor drepți și cel neprihănit în cale este o urâciune celui rău.
PRO.30.1	Cuvintele lui Agur, fiul lui Iache. Cuvântul
PRO.30.2	Cu adevărat
PRO.30.3	și n‐am învățat înțelepciune, nici n‐am cunoștința Celui Sfânt. 
PRO.30.4	Cine
PRO.30.5	Fiecare
PRO.30.6	Nu adăuga
PRO.30.7	Îți voi cere două lucruri; nu mi le tăgădui înainte de a muri eu! 
PRO.30.8	Depărtează de la mine deșertăciunea și cuvântul minciunii; nu‐mi da nici sărăcie nici bogăție; hrănește‐mă
PRO.30.9	ca
PRO.30.10	Nu clevetiți pe slugă la domnul său ca să nu te blesteme și să fii vinovat. 
PRO.30.11	Este un neam care blastămă pe tatăl său și nu binecuvântează pe mamă‐sa. 
PRO.30.12	Este un neam care
PRO.30.13	Este un neam, o, ce semeț
PRO.30.14	Este
PRO.30.15	Lipitoarea are două fețe 
PRO.30.16	Șeolul
PRO.30.17	Ochiul
PRO.30.18	Trei lucruri sunt prea minunate pentru mine și patru pe care nu le cunosc. 
PRO.30.19	Calea vulturului în ceruri; calea șarpelui pe stâncă; calea corăbiei în inima mării și calea bărbatului cu o fecioară. 
PRO.30.20	Așa este calea femeii preacurve. Ea mănâncă și își șterge gura și zice: N‐am făcut nici o nelegiuire. 
PRO.30.21	Sub trei lucruri se clatină pământul și sub patru nu mai poate suferi: 
PRO.30.22	Sub o slugă
PRO.30.23	sub o femeie urâtă când se mărită și sub o roabă când moștenește pe stăpână‐sa. 
PRO.30.24	Patru lucruri sunt mici pe pământ și sunt înțelepte între înțelepți: 
PRO.30.25	furnicile
PRO.30.26	iepurele
PRO.30.27	lăcustele n‐au împărat, totuși toate pornesc în cete; 
PRO.30.28	păianjenul, îl apuci cu mâinile și este în palatele împăraților. 
PRO.30.29	Trei lucruri sunt care sunt mărețe în pașii lor și patru care merg frumos: 
PRO.30.30	leul, cel mai puternic dintre dobitoace, care nu se abate dinaintea niciunuia; 
PRO.30.31	calul bine încins la coapse și țapul; și împăratul împotriva căruia nu se poate scula nimeni. 
PRO.30.32	Dacă ai lucrat cu nebunie, semețindu‐te, și dacă ai gândit rău, 
PRO.30.33	Căci stoarcerea laptelui scoate untul, și stoarcerea nasului scoate sânge și stoarcerea furiei scoate ceartă.
PRO.31.1	Cuvintele împăratului Lemuel, învățătura
PRO.31.2	Ce, fiul meu? Și ce, fiul pântecelui meu? Și ce, fiul
PRO.31.3	Nu
PRO.31.4	Nu
PRO.31.5	Ca
PRO.31.6	Dați
PRO.31.7	el să bea și să‐și uite sărăcia și să nu‐și mai aducă aminte de necazul său. 
PRO.31.8	Deschide‐ți
PRO.31.9	Deschide‐ți gura, judecă
PRO.31.10	Cine va găsi o femeie
PRO.31.11	Inima bărbatului ei se încrede în ea și el nu va avea lipsă de pradă. 
PRO.31.12	Ea‐i face bine și nu rău în toate zilele vieții ei. 
PRO.31.13	Ea caută lână și in și lucrează de bună voie cu mâinile sale. 
PRO.31.14	Ea este ca și corăbiile negustorului: își aduce hrana de departe. 
PRO.31.15	Ea se
PRO.31.16	Ea își pune în gând un ogor și‐l cumpără; din munca mâinilor ei sădește o vie. 
PRO.31.17	Iși încinge coapsele cu putere și își întărește brațele. 
PRO.31.18	Ea vede că este bun câștigul ei; candela ei nu se stinge noaptea. 
PRO.31.19	Ea pune mâna pe furcă și palmele ei țin fusul. 
PRO.31.20	Ea
PRO.31.21	Ea nu se teme de zăpadă pentru casa ei căci toată casa ei este îmbrăcată cu stacojiu. 
PRO.31.22	Singură își face învelitoare de pat; îmbrăcămintea ei este in subțire și purpură. 
PRO.31.23	Bărbatul
PRO.31.24	Ea face cămăși de in și le vinde și dă cingători negustorului. 
PRO.31.25	Ea este îmbrăcată cu putere și vrednicie și își râde de ziua care vine. 
PRO.31.26	Iși deschide gura cu înțelepciune și legea bunătății este pe limba ei. 
PRO.31.27	Ea veghează asupra căilor casei ei și nu mănâncă pâinea lenevirii. 
PRO.31.28	Copiii ei se scoală și o numesc fericită, bărbatul ei de asemenea și‐o laudă 
PRO.31.29	Multe fete au lucrat cu vrednicie, dar tu le întreci pe toate. 
PRO.31.30	Lipiciurile sunt amăgitoare și frumusețea o deșărtăciune; 
PRO.31.31	Dați‐i din rodul mâinilor ei și s‐o laude faptele ei la porți.
ECC.1.1	Cuvintele Propovăduitorului
ECC.1.2	Deșertăciunea
ECC.1.3	Ce
ECC.1.4	Un neam trece și un neam vine dar
ECC.1.5	Soarele
ECC.1.6	Vântul
ECC.1.7	Toate
ECC.1.8	Toate lucrurile sunt în trudă, omul nu poate spune. Ochiul
ECC.1.9	Ce
ECC.1.10	Este oare ceva de care s‐ar putea zice: Vezi, aceasta este nou! A fost de mult în veacurile care au fost înainte de noi. 
ECC.1.11	Nu este nicio aducere aminte de cele trecute: nici nu va fi nicio aducere aminte de cele următoare care vor fi, la cei ce vor fi după aceea. 
ECC.1.12	Eu
ECC.1.13	Și mi‐am pus inima să cercetez și să adâncesc prin înțelepciune tot ce se face sub ceruri: aceasta
ECC.1.14	Am văzut toate lucrările care se fac sub soare; și iată totul este deșertăciune și vânare de vânt! 
ECC.1.15	Ce
ECC.1.16	Am vorbit cu inima mea, zicând: lată am ajuns mare și am dobândit
ECC.1.17	Și mi‐am
ECC.1.18	Căci în
ECC.2.1	Am zis
ECC.2.2	Am zis
ECC.2.3	Am cercetat
ECC.2.4	Mi‐am făcut lucruri mari: mi‐am zidit case; mi‐am sădit vii. 
ECC.2.5	Mi‐am făcut grădini și parcuri; și mi‐am sădit pomi în ele din tot felul de roade. 
ECC.2.6	Mi‐am făcut iazuri de apă să ud cu ele pădurea care răsare cu pomi. 
ECC.2.7	Am cumpărat robi și roabe și am avut robi născuți în casa mea; am avut și mari averi de cirezi și turme, mai mult decât toți cei ce au fost înainte de mine în Ierusalim. 
ECC.2.8	Mi‐am adunat
ECC.2.9	Și am fost
ECC.2.10	Și orice mi‐au dorit ochii n‐am oprit de la ei; nu mi‐am oprit inima de la nicio bucurie; căci inima mea s‐a bucurat din toată truda mea și aceasta
ECC.2.11	Și am privit la toate lucrurile pe care le‐au lucrat mâinile mele și la truda cu care m‐am trudit ca să le fac; și iată totul era deșertăciune
ECC.2.12	Și m‐am întors să privesc înțelepciunea și nebunia și prostia
ECC.2.13	Și am văzut că înțelepciunea cu atât întrece nebunia pe cât întrece lumina întunericul. 
ECC.2.14	Înțeleptul
ECC.2.15	Și am zis în inima mea: Cum se întâmplă nebunului așa mi se va întâmpla și mie: atunci pentru ce am fost eu deci mai înțelept? Atunci am zis în inima mea: Și aceasta este deșertăciune. 
ECC.2.16	Căci nu este aducere aminte în veac de cel înțelept cum nu este de cel nebun; căci totul se va uita de mult în zilele care vor veni. Și cum moare înțeleptul întocmai ca și cel nebun! 
ECC.2.17	Și am urât viața; căci fapta care se face sub soare m‐a dezgustat; căci totul este deșertăciune și vânare de vânt. 
ECC.2.18	Și am urât toată truda mea cu care m‐am trudit sub soare, fiindcă trebuie s‐o las
ECC.2.19	Și cine știe dacă va fi înțelept sau nebun? Totuși el va stăpâni peste toată truda mea cu care m‐am trudit și cu care am fost înțelept sub soare. Și aceasta este deșertăciune. 
ECC.2.20	Și am mers până acolo că mi‐am făcut inima să deznădăjduiască de toată truda mea cu care m‐am trudit sub soare. 
ECC.2.21	Căci este un om a cărui trudă a fost cu înțelepciune și cu cunoștință și cu iscusință: totuși o lasă unui om care nu s‐a trudit în ea ca partea lui. Și aceasta este deșertăciune și mare rău. 
ECC.2.22	Căci
ECC.2.23	Căci toate zilele lui sunt dureri
ECC.2.24	Nu
ECC.2.25	Căci cine mănâncă și se desfată mai mult decât mine? 
ECC.2.26	Căci 
ECC.3.1	Pentru orice este o vreme și pentru orice
ECC.3.2	Vreme de a se naște și vreme
ECC.3.3	vreme de a ucide și vreme de a vindeca; vreme de a surpa și vreme de a zidi; 
ECC.3.4	vreme de a plânge și vreme de a râde; vreme de a boci și vreme de a juca; 
ECC.3.5	vreme de a arunca pietre și vreme de a strânge pietre; vreme de a îmbrățișa și vreme
ECC.3.6	vreme de a căuta și vreme de a pierde; vreme de a ținea și vreme de a lepăda; 
ECC.3.7	vreme de a rupe și vreme de a coase; vreme
ECC.3.8	vreme de a iubi și vreme de a urî
ECC.3.9	Ce
ECC.3.10	Am văzut
ECC.3.11	El a făcut orice lucru frumos la vremea sa: și a pus și veșnicia în inima lor, și totuși omul
ECC.3.12	Am cunoscut
ECC.3.13	și chiar ca fiecare om să mănânce
ECC.3.14	Am cunoscut că tot ce face Dumnezeu va fi în veac; nimic nu se poate adăuga la aceasta și nimic
ECC.3.15	Ceea ce
ECC.3.16	Și am mai văzut
ECC.3.17	Am zis în inima mea: Dumnezeu
ECC.3.18	Am zis în inima mea: 
ECC.3.19	Căci
ECC.3.20	Totul merge la același loc, totul
ECC.3.21	Cine
ECC.3.22	Și
ECC.4.1	Și m‐am întors și am văzut toate apăsările
ECC.4.2	Și
ECC.4.3	Și
ECC.4.4	Și am văzut toată osteneala și toată iscusința la lucru, că pentru aceasta este pizma unuia împotriva altuia. Și aceasta este deșertăciune și vânare de vânt. 
ECC.4.5	Nebunul
ECC.4.6	Mai bine
ECC.4.7	Și m‐am întors și am văzut o deșertăciune sub soare. 
ECC.4.8	Este unul singur și fără al doilea și n‐are nici fiu nici frate: totuși munca lui nu are sfârșit și ochiul
ECC.4.9	Mai bine doi decât unul! Căci au bună plată pentru munca lor. 
ECC.4.10	Căci de cad, unul va ridica pe semenul său; dar vai de cel ce este singur când cade și nu este cine să‐l ridice! 
ECC.4.11	Iarăși, dacă se culcă doi împreună, le este cald; dar unul singur cum se va încălzi? 
ECC.4.12	Și dacă ar birui cineva pe unul, cei doi se vor împotrivi; și un fir pus în trei nu se rupe repede. 
ECC.4.13	Mai bine un tânăr sărac și înțelept decât un împărat bătrân și nebun, care nu mai știe cum să fie mustrat. 
ECC.4.14	Căci a ieșit din închisoare ca să domnească, deși s‐a născut sărac în împărăția sa. 
ECC.4.15	Am văzut pe toți cei vii care umblă sub soare, cu copilul, al doilea, care se va scula în locul lui. 
ECC.4.16	Nu avea sfârșit tot poporul, toți aceia peste care era el; totuși cei ce vor veni pe urmă nu se vor bucura de el. Cu adevărat și aceasta este o deșertăciune și vânare de vânt.
ECC.5.1	Păzește‐ți piciorul
ECC.5.2	Nu te pripi cu gura ta și să nu ți se grăbească inima să rostească ceva înaintea lui Dumnezeu, căci Dumnezeu este în ceruri și tu pe pământ; pentru aceasta cuvintele
ECC.5.3	Căci visul vine din mulțimea lucrului și glasul
ECC.5.4	Când
ECC.5.5	Mai
ECC.5.6	Nu învoi gurii tale să‐ți tragă carnea în păcat și nu
ECC.5.7	Căci în mulțimea visurilor sunt deșertăciuni ca și în multe vorbe; dar tu, teme‐te
ECC.5.8	Când vezi
ECC.5.9	Pământul este de folos în toate privințele, chiar împăratul este supus ogorului. 
ECC.5.10	Cel ce iubește argintul nu se va sătura de argint; nici cel ce iubește belșugul de venit. Și aceasta este deșertăciune. 
ECC.5.11	Când se înmulțesc bunurile, se înmulțesc cei ce le mănâncă; și ce folos are stăpânul lor decât că le privește cu ochii? 
ECC.5.12	Dulce este somnul lucrătorului, fie că a mâncat puțin sau mult; dar pe bogat nu‐l lasă să doarmă îmbelșugarea sa. 
ECC.5.13	Este
ECC.5.14	și aceste bogății se pierd printr‐o întâmplare rea; și el a născut un fiu și nu este nimic în mâna lui. 
ECC.5.15	Cum
ECC.5.16	Și acesta este un mare rău că în toate privințele cum a venit așa se duce: și ce
ECC.5.17	Și toate zilele lui mănâncă
ECC.5.18	Iată ce am văzut că este
ECC.5.19	Și orice om de asemenea căruia i‐a dat
ECC.5.20	Căci nu‐și va aduce aminte mult de zilele vieții sale pentru că Dumnezeu îi răspunde la bucuria inimii sale.
ECC.6.1	Este
ECC.6.2	Unul căruia îi dă Dumnezeu bogăție, bunuri și cinste și nu
ECC.6.3	Dacă ar naște cineva o sută de copii și ar trăi mulți ani și zilele anilor vieții sale ar fi multe, dar nu i s‐ar sătura sufletul de
ECC.6.4	Căci vine în deșertăciune și pleacă în întuneric și numele său e acoperit cu întuneric. 
ECC.6.5	Nici soarele nu l‐a văzut și nu l‐a cunoscut; acesta are odihnă mai degrabă decât acela. 
ECC.6.6	Și chiar dacă ar trăi de două ori o mie de ani, tot n‐a văzut nici un bine: oare nu merg toți la același loc? 
ECC.6.7	Toată
ECC.6.8	Căci cu cât este mai mult cel înțelept decât cel nebun? Ce are cel sărac care știe să umble înaintea celor vii? 
ECC.6.9	Mai bună este vederea ochilor decât rătăcirea sufletului; și aceasta este deșertăciune și vânare de vânt. 
ECC.6.10	Ceea ce este, de mult i s‐a pus numele; și ce este omul se cunoaște; și nici nu
ECC.6.11	Căci sunt multe lucruri care înmulțesc deșertăciunea: ce folos are omul? 
ECC.6.12	Căci cine știe ce este bine pentru om în viață, în toate zilele vieții sale deșarte pe care o petrece ca
ECC.7.1	Mai bine un nume
ECC.7.2	Mai bine să mergi la casa de jale, decât să mergi la casa de ospăț, întrucât aceea este sfârșitul tuturor oamenilor și cel viu o ia la inimă. 
ECC.7.3	Mai
ECC.7.4	Inima înțeleptului este în casa de jale, dar inima nebunilor în casa de veselie. 
ECC.7.5	Mai
ECC.7.6	Căci
ECC.7.7	Cu adevărat apăsarea, chiar și pe înțelept îl scoate din minte și
ECC.7.8	Mai bun este sfârșitul unui lucru decât începutul său. Mai bun este cel
ECC.7.9	Nu
ECC.7.10	Nu zice: Oare cum se face că zilele trecute erau mai bune decât acestea? Căci nu din înțelepciune întrebi de aceasta. 
ECC.7.11	Bună este înțelepciunea ca și moștenirea și de folos
ECC.7.12	Căci cineva este la umbra înțelepciunii ca la umbra banilor; dar folosul cunoștinței este că înțelepciunea face să trăiască pe cei ce o au. 
ECC.7.13	Privește lucrul lui Dumnezeu: căci cine
ECC.7.14	Bucură‐te de bine în
ECC.7.15	Am văzut de toate în zilele deșertăciunii mele; este un om drept
ECC.7.16	Nu
ECC.7.17	Nu fi prea rău și nu fi nebun! Pentru ce să mori înainte de vremea ta? 
ECC.7.18	Bine este să apuci aceasta și să nu‐ți oprești mâna de la aceea: căci cel ce se teme de Dumnezeu iese din toate. 
ECC.7.19	Înțelepciunea
ECC.7.20	Cu adevărat nu este nici un
ECC.7.21	Nu‐ți pune inima la toate vorbele care se vorbesc ca să n‐auzi pe sluga ta blestemându‐te. 
ECC.7.22	Căci inima ta știe că și tu ai blestemat de multe ori la fel pe alții. 
ECC.7.23	Toate acestea le‐am încercat cu înțelepciune. Am
ECC.7.24	Ce este, este departe
ECC.7.25	M‐am întors eu și inima mea să cunosc
ECC.7.26	Și
ECC.7.27	Iată, aceasta am aflat, zice Propovăduitorul
ECC.7.28	ceea ce caută încă sufletul meu și n‐am aflat: un
ECC.7.29	Iată, numai aceasta am aflat: că
ECC.8.1	Cine este ca cel înțelept? Și cine cunoaște înțelesul lucrurilor? Înțelepciunea
ECC.8.2	Eu 
ECC.8.3	Nu
ECC.8.4	căci cuvântul împăratului este putere și cine‐i
ECC.8.5	Cel ce păzește porunca nu va cunoaște niciun rău și inima celui înțelept cunoaște vremea și judecata. 
ECC.8.6	Căci pentru
ECC.8.7	Căci
ECC.8.8	Nu este om
ECC.8.9	Am văzut toate acestea și mi‐am îndreptat inima la orice lucru care se face sub soare: este o vreme când un om stăpânește pe altul spre nenorocirea sa însăși. 
ECC.8.10	Și am mai văzut pe cei răi înmormântați și intrând în odihnă și cei ce au lucrat drept au plecat de la locul sfânt și au fost uitați în
ECC.8.11	Fiindcă
ECC.8.12	Să facă
ECC.8.13	Dar nu va fi bine de cel rău și nu‐și va lungi zilele, 
ECC.8.14	Este o deșertăciune care se face pe pământ: că sunt drepți cărora li
ECC.8.15	Și am lăudat
ECC.8.16	Când mi‐am îndreptat inima să cunosc înțelepciunea și să văd lucrul care se face pe pământ (căci este unul care nu vede somn cu ochii lui nici ziua, nici noaptea): 
ECC.8.17	atunci am văzut cu privire la tot lucrul lui Dumnezeu că omul
ECC.9.1	Căci toate acestea mi le‐am pus la inimă, ca să cercetez toate acestea: că drepții
ECC.9.2	Totul se întâmplă deopotrivă tuturor
ECC.9.3	Acesta este un rău în tot ce se face sub soare, că un lucru se întâmplă la toți: da, și inima copiilor oamenilor este plină de rău, și nebunia este în inima lor cât trăiesc ei și după aceea 
ECC.9.4	Căci pentru cel ce este unit cu cei vii este nădejde; căci un câine viu este mai bun decât un leu mort. 
ECC.9.5	Căci cei ce trăiesc știu că vor muri, dar cei
ECC.9.6	Și iubirea lor și ura lor și pisma lor acum sunt pierdute și ei nu mai au nici o parte în veac, în tot ce se face sub soare. 
ECC.9.7	Mergi pe calea ta, mănâncă‐ți
ECC.9.8	Totdeauna hainele să‐ți fie albe și pe cap să nu‐ți lipsească untdelemnul. 
ECC.9.9	Bucură‐te de viață cu nevasta pe care o iubești în toate zilele vieții deșertăciunii tale, pe care ți le‐a dat sub soare în toate zilele deșertăciunii tale; căci
ECC.9.10	Tot ce găsește mâna ta să facă, fă cu toată puterea ta; căci nu este nici lucru, nici plan, nici cunoștință, nici înțelepciune în Șeol, unde te duci. 
ECC.9.11	M‐am întors și am văzut
ECC.9.12	Căci nici omul nu‐și
ECC.9.13	Am văzut și această înțelepciune sub soare și a fost mare pentru mine: 
ECC.9.14	era
ECC.9.15	Și s‐a găsit în ea un om sărac înțelept și el a scăpat cetatea cu înțelepciunea sa, dar nimeni nu și‐a adus aminte de acest om sărac. 
ECC.9.16	Atunci am zis
ECC.9.17	Cuvintele înțelepților ascultate în liniște sunt mai bune decât strigătul celui ce cârmuiește între nebuni. 
ECC.9.18	Mai
ECC.10.1	Muștele moarte fac să se împuțească și să dospească untdelemnul amestecătorului de mir; tot așa puțină nebunie este mai grea decât înțelepciunea și cinstea. 
ECC.10.2	Inima înțeleptului este la dreapta sa dar inima nebunului la stânga sa. 
ECC.10.3	Nebunul chiar când umblă pe cale îi lipsește inima și
ECC.10.4	Dacă se va ridica împotriva ta duhul cârmuitorului nu‐ți
ECC.10.5	Este un rău pe care l‐am văzut sub soare ca o greșeală care iese de la cârmuitor: 
ECC.10.6	Nebunia
ECC.10.7	Am văzut robi pe cai
ECC.10.8	Cel ce
ECC.10.9	Cel ce îndepărtează pietre va fi vătamat de ele; cel ce despică lemne se primejduiește cu ele. 
ECC.10.10	Dacă fierul este tocit și nu i se ascute tăișul, atunci trebuie să‐și pună 
ECC.10.11	Dacă mușcă șarpele pentru că nu este
ECC.10.12	Cuvintele
ECC.10.13	Începutul cuvintelor gurii lui este prostie: iar sfârșitul vorbirii lui este o nebunie pierzătoare. 
ECC.10.14	Și nebunul
ECC.10.15	Pe nebuni îi ostenește osteneala lor, căci ei nu știu cum să meargă în cetate. 
ECC.10.16	Vai
ECC.10.17	Ferice de tine, țară, când împăratul tău este fiu de neam ales și mai marii
ECC.10.18	De lene se afundă acoperișul și de lenevirea mâinilor picură în casă. 
ECC.10.19	Ospățul este pentru râs și vinul
ECC.10.20	Nici chiar în gândul tău nu vorbi de rău pe împărat, nici chiar în odăile tale de dormit nu
ECC.11.1	Aruncă‐ți pâinea pe
ECC.11.2	Dă o parte
ECC.11.3	Când norii sunt plini de ploaie, se golesc pe pământ: și când cade copacul spre miazăzi sau spre miazănoapte, în locul unde cade copacul, acolo va rămâne. 
ECC.11.4	Cel ce se uită la vânt nu va semăna și cel ce privește la nori, nu va secera. 
ECC.11.5	Cum nu
ECC.11.6	Dimineața seamănă‐ți sămânța și seara nu lăsa să ți se odihnească mâna; căci nu știi care va izbândi: aceasta sau aceea, sau dacă amândouă vor fi deopotrivă de bune. 
ECC.11.7	Cu adevărat dulce este lumina și plăcut este ochilor să
ECC.11.8	Deci dacă ar trăi omul mulți ani, să se bucure în ei toți, totuși să‐și aducă aminte de zilele de întuneric, căci vor fi multe: tot ce vine este deșertăciune. 
ECC.11.9	Bucură‐te, tinere, în tinerețea ta, și să te veselească inima ta în zilele tinereții tale și umblă
ECC.11.10	Depărtează
ECC.12.1	Și adu‐ți
ECC.12.2	Înainte ca să se întunece soarele și lumina și luna și stelele și să se întoarcă norii după ploaie. 
ECC.12.3	În ziua când păzitorii casei 
ECC.12.4	și ușile (buzele) se închid înspre uliță, când glasul râșnitorilor slăbește și unul se scoală la glasul păsării, și se pleacă toate fiicele cântării
ECC.12.5	da, se tem de ce este înalt și spaimele sunt pe cale; migdalul e în floare, și lăcusta este o sarcină și capera este fără urmare, căci omul merge spre casa
ECC.12.6	înainte ca să se slăbească funia de argint și să se sfărâme potirul de aur și să se spargă ulciorul la fântână și să se sfărâme roata la puț; 
ECC.12.7	și să se
ECC.12.8	Deșertăciunea
ECC.12.9	Și mai mult, pentru că Propovăduitorul a fost înțelept, a mai învățat pe popor cunoștință, și el a cumpănit și căutat și a pus în șir
ECC.12.10	Propovăduitorul a căutat să găsească cuvinte de desfătare și ceea ce s‐a scris este drept, cuvinte de adevăr. 
ECC.12.11	Cuvintele înțelepților sunt ca niște țepuși și adunările de pilde ca niște piroane înfipte: sunt date de un singur păstor. 
