GEN.1.1	La început, Dumnezeu
PSA.99.5	Înălțați‑L pe 
PSA.99.5	și închinați‑vă lângă scăunașul
PSA.99.5	El este sfânt!
PSA.99.6	Moise și Aaron erau dintre preoții Săi,
PSA.99.6	iar Samuel – dintre cei ce‑I chemau Numele;
PSA.99.6	ei L‑au chemat pe 
PSA.99.6	și El le‑a răspuns.
PSA.99.7	Le‑a vorbit din stâlpul de nor,
PSA.99.7	iar ei au păzit mărturiile și hotărârile pe care El le‑a dat.
PSA.99.8	Tu le‑ai răspuns;
PSA.99.8	ai fost pentru ei
PSA.99.8	dar și Unul Care Te‑ai răzbunat pe ei din cauza faptelor lor.
PSA.99.9	Înălțați pe 
PSA.99.9	și închinați‑vă pe muntele Lui cel sfânt,
PSA.99.9	căci 
PSA.100.1	Strigați de bucurie către 
PSA.100.2	Slujiți 
PSA.100.2	veniți înaintea Lui cu strigăte de veselie!
PSA.100.3	Să știți că 
PSA.100.3	El este Acela Care ne‑a făcut și ai Lui suntem
PSA.100.3	suntem poporul Lui și turma pășunii Lui!
PSA.100.4	Intrați pe porțile Lui cu mulțumire
PSA.100.4	și în curțile Lui – cu laudă!
PSA.100.4	Mulțumiți‑I! Binecuvântați‑I Numele!
PSA.100.5	Căci 
PSA.100.5	În veci 
PSA.100.5	și din generație în generație 
PSA.101.1	Voi cânta îndurarea și judecata.
PSA.101.1	Spre lauda Ta voi cânta, 
PSA.101.2	Voi fi cu luare aminte la calea desăvârșită.
PSA.101.2	Când vei veni la mine?
PSA.101.2	Voi umbla în curăție de inimă,
PSA.101.2	în mijlocul casei mele.
PSA.101.3	Nu voi pune înaintea ochilor mei
PSA.101.3	niciun lucru de nimic!
PSA.101.3	Urăsc lucrarea rebelilor;
PSA.101.3	ea nu se va lipi de mine!
PSA.101.4	Inima pervertită se va depărta de mine.
PSA.101.4	Nu vreau să cunosc răul!
PSA.101.5	Pe cel ce‑și bârfește semenul în secret
PSA.101.5	îl voi nimici.
PSA.101.5	Pe cel cu ochii trufași și cu inima îngâmfată
PSA.101.5	nu‑l voi suferi.
PSA.101.6	Ochii mei vor fi asupra credincioșilor din țară,
PSA.101.6	ca ei să locuiască cu mine;
PSA.101.6	cel ce umblă pe calea desăvârșită îmi va sluji.
PSA.101.7	Cel ce săvârșește nelegiuirea
PSA.101.7	nu va locui în casa mea;
PSA.101.7	cel ce spune minciuni
PSA.101.7	nu va sta în preajma mea.
PSA.101.8	În fiecare dimineață îi voi nimici
PSA.101.8	pe toți cei răi din țară,
PSA.101.8	ca să stârpesc din cetatea 
PSA.101.8	pe toți aceia care săvârșesc nelegiuirea.
PSA.102.1	Să ajungă la Tine strigătul meu după ajutor!
PSA.102.2	Nu‑Ți ascunde fața de mine
PSA.102.2	în ziua necazului meu!
PSA.102.2	Pleacă‑Ți urechea spre mine!
PSA.102.2	Răspunde‑mi degrabă în ziua când 
PSA.102.3	Căci zilele mi se sfârșesc în fum
PSA.102.3	iar oasele‑mi ard ca jarul.
PSA.102.4	Inima‑mi este rănită și se usucă precum iarba,
PSA.102.4	căci uit să‑mi mănânc pâinea.
PSA.102.5	Din cauza gemetelor mele
PSA.102.5	mi s‑au lipit oasele de carne.
PSA.102.6	Mă asemăn cu ciușul din pustie;
PSA.102.6	am ajuns ca o cucuvea printre dărâmături.
PSA.102.7	Stau treaz și sunt ca o pasăre singuratică pe acoperiș.
PSA.102.8	Toată ziua dușmanii mei mă batjocoresc;
PSA.102.8	cei ce mă iau în derâdere jură pe mine.
PSA.102.9	Mănânc cenușă în loc de pâine
PSA.102.9	și îmi amestec băutura cu lacrimi,
PSA.102.10	din cauza mâniei și a urgiei Tale;
PSA.102.10	căci Tu m‑ai ridicat și m‑ai aruncat.
PSA.102.11	Zilele îmi sunt ca umbra înserării
PSA.102.11	și mă usuc ca iarba.
PSA.102.12	Însă Tu, 
PSA.102.12	amintirea Ta 
PSA.102.13	Tu Te vei ridica și vei avea milă de Sion,
PSA.102.13	căci este timpul să‑Ți arăți bunăvoința față de el,
PSA.102.13	fiindcă i‑a sosit vremea.
PSA.102.14	Într-adevăr, robii Tăi îndrăgesc pietrele lui
PSA.102.14	și le este milă de țărâna lui.
PSA.102.15	Neamurile se vor teme de Numele 
PSA.102.15	și toți regii pământului – de slava Lui,
PSA.102.16	când 
PSA.102.16	și Se va arăta în slava Lui.
PSA.102.17	El va răspunde la rugăciunile celor nevoiași
PSA.102.17	și nu va disprețui rugăciunile lor.
PSA.102.18	Să se scrie aceasta pentru generația viitoare,
PSA.102.18	pentru ca poporul care se va naște să‑L laude pe 
PSA.102.19	Căci El privește din înălțimea sfințeniei Sale;
PSA.102.20	ca să ia aminte la gemetele prizonierilor,
PSA.102.20	să‑i elibereze pe cei condamnați la moarte.
PSA.102.21	Numele 
PSA.102.21	și lauda Lui – în Ierusalim,
PSA.102.22	când se vor strânge popoarele
PSA.102.22	și regatele ca să‑I slujească 
PSA.102.23	Mi‑a frânt puterea pe drum;
PSA.102.23	mi‑a scurtat zilele.
PSA.102.24	nu mă lua la jumătatea zilelor mele,
PSA.102.24	Tu, ai Cărui ani țin din generație în generație.
PSA.102.25	Tu ai întemeiat în vechime pământul,
PSA.102.25	iar cerurile sunt lucrarea mâinilor Tale.
PSA.102.26	Ele vor pieri, dar Tu rămâi,
PSA.102.26	și toate se vor învechi ca o haină.
PSA.102.26	Le vei schimba ca pe un veșmânt,
PSA.102.26	și ele vor trece.
PSA.102.27	Tu însă rămâi Același,
PSA.102.27	și anii Tăi nu se vor sfârși.
PSA.102.28	Fiii robilor Tăi vor locui aici,
PSA.102.28	și sămânța lor va rămâne în prezența Ta.“
PSA.103.1	Suflete al meu, binecuvântează‑L pe 
PSA.103.1	și tot ce este în mine 
PSA.103.2	Suflete al meu, binecuvântează‑L pe 
PSA.103.2	și nu uita niciuna din binefacerile Lui!
PSA.103.3	El îți iartă toate nelegiuirile,
PSA.103.3	îți vindecă toate bolile,
PSA.103.4	îți răscumpără viața din groapă,
PSA.103.4	te încununează cu îndurare și milă,
PSA.103.5	îți satură de bine vigoarea
PSA.103.5	și tinerețea ta este reînnoită precum a vulturului.
PSA.103.6	și judecată tuturor celor asupriți.
PSA.103.7	El Și‑a descoperit căile Sale lui Moise
PSA.103.7	și lucrările Sale – fiilor lui Israel.
PSA.103.8	încet la mânie și bogat în îndurare.
PSA.103.9	El nu Se ceartă veșnic
PSA.103.9	și nu ține mânie pe vecie.
PSA.103.10	El nu ne face după păcatele noastre
PSA.103.10	și nu ne răsplătește după nelegiuirile noastre,
PSA.103.11	ci cât de înalte sunt cerurile față de pământ,
PSA.103.11	tot atât de mare este și îndurarea Lui pentru cei ce se tem de El;
PSA.103.12	cât de departe este răsăritul de apus,
PSA.103.12	tot atât de mult îndepărtează El fărădelegile noastre de la noi.
PSA.103.13	Cum se îndură un tată de copiii lui,
PSA.103.13	așa Se îndură 
PSA.103.14	căci El știe din ce suntem făcuți;
PSA.103.14	Își amintește că suntem țărână.
PSA.103.15	Cât despre om, zilele lui sunt ca iarba.
PSA.103.15	Înflorește ca floarea de pe câmp,
PSA.103.16	iar când trece un vânt peste ea, nu mai este
PSA.103.16	și nu i se mai cunoaște locul unde a fost.
PSA.103.17	Însă îndurarea 
PSA.103.17	pentru cei ce se tem de El,
PSA.103.17	iar dreptatea Lui – pentru copiii copiilor lor,
PSA.103.18	pentru cei ce păzesc legământul Lui
PSA.103.18	și pentru cei ce își amintesc de orânduirile Lui, ca să le împlinească.
PSA.103.19	iar domnia Lui stăpânește peste toate.
PSA.103.20	Binecuvântați‑L pe 
PSA.103.20	care împliniți porunca Lui,
PSA.103.20	care ascultați de glasul cuvântului Său!
PSA.103.21	Binecuvântați‑L pe 
PSA.103.21	slujitorii Lui, care‑I împliniți voia!
PSA.103.22	Binecuvântați‑L pe 
PSA.103.22	din toate locurile stăpânirii Lui!
PSA.103.22	Suflete al meu, binecuvântează‑L pe 
PSA.104.1	Suflete al meu, binecuvântează‑L pe 
PSA.104.1	Tu ești îmbrăcat cu splendoare și măreție!
PSA.104.2	Tu Te învelești cu lumina ca și cu o manta;
PSA.104.2	Tu întinzi cerurile ca pe un cort,
PSA.104.3	Din nori Îți faci car
PSA.104.4	El îi face pe îngerii Săi duhuri
PSA.104.4	și pe slujitorii Săi – un foc arzător.
PSA.104.5	Tu ai statornicit pământul pe temeliile lui,
PSA.104.5	ca să nu se clatine niciodată.
PSA.104.6	L‑ai acoperit cu adâncul ca și cu o haină.
PSA.104.6	Apele stăteau pe munți,
PSA.104.7	dar la mustrarea Ta au fugit,
PSA.104.7	la bubuitul tunetului Tău au luat‑o la fugă.
PSA.104.8	S‑au scurs de pe munți, au coborât în văi,
PSA.104.8	în locul pe care l‑ai hotărât pentru ele.
PSA.104.9	Le‑ai pus un hotar peste care nu au voie să treacă,
PSA.104.9	ca să nu se întoarcă și să acopere pământul.
PSA.104.10	Tu faci să țâșnească izvoarele în albii uscate
PSA.104.10	și ele curg printre munți.
PSA.104.11	Toate vietățile câmpului se adapă din ele
PSA.104.11	și măgarii sălbatici își potolesc setea 
PSA.104.12	Pe malul lor își fac cuibul păsările cerului
PSA.104.12	care‑și fac auzit glasul din frunziș.
PSA.104.13	Din odăile de sus, Tu uzi munții;
PSA.104.13	pământul se satură de rodul lucrărilor Tale.
PSA.104.14	Tu faci să crească iarbă pentru vite
PSA.104.14	și verdețuri pe care omul să le cultive.
PSA.104.14	Faci să iasă hrană din pământ:
PSA.104.15	vin care înveselește inima omului,
PSA.104.15	ulei care dă strălucire feței
PSA.104.15	și pâine care întărește inima omului.
PSA.104.16	Copacii 
PSA.104.16	cedrii Libanului pe care El i‑a sădit.
PSA.104.17	În ei își fac cuibul păsările;
PSA.104.17	barza își are casa în chiparoși.
PSA.104.18	Munții cei înalți sunt ai țapilor sălbatici,
PSA.104.18	iar stâncile sunt un adăpost pentru viezurii de stâncă.
PSA.104.19	El a făcut luna să arate vremurile,
PSA.104.19	iar soarele știe când să apună.
PSA.104.20	Tu aduci întunericul și se face noapte;
PSA.104.20	atunci toate vietățile pădurii încep să mișune.
PSA.104.21	Puii de leu rag după pradă,
PSA.104.21	cerându‑și hrana de la Dumnezeu.
PSA.104.22	Când răsare soarele, se adună
PSA.104.22	și se culcă în vizuinile lor.
PSA.104.23	la munca lui – până seara.
PSA.104.24	Ce multe sunt lucrările Tale, 
PSA.104.24	Pe toate le‑ai făcut cu înțelepciune;
PSA.104.24	pământul este plin de vietățile
PSA.104.25	Iată marea cât de încăpătoare și de întinsă este!
PSA.104.25	Acolo mișună vietăți fără număr,
PSA.104.25	viețuitoare mici și mari.
PSA.104.26	Corăbiile o străbat,
PSA.104.26	în ea se joacă Leviatanul
PSA.104.26	pe care l‑ai întocmit Tu.
PSA.104.27	Toate nădăjduiesc în Tine
PSA.104.27	ca să le dai hrana la vreme.
PSA.104.28	Când Tu le‑o dai, ele o primesc;
PSA.104.28	când Tu Îți deschizi mâna, ele se satură de bunătăți.
PSA.104.29	Când Îți ascunzi fața, ele se îngrozesc;
PSA.104.29	când le iei suflarea, ele mor
PSA.104.29	și se întorc în țărână.
PSA.104.30	Când Îți trimiți Duhul
PSA.104.30	înnoind astfel fața pământului.
PSA.104.31	Fie ca slava 
PSA.104.32	El, Care atunci când privește pământul, acesta se cutremură,
PSA.104.32	iar când atinge munții, aceștia fumegă.
PSA.104.33	Voi cânta 
PSA.104.33	Voi cânta spre lauda Dumnezeului meu cât voi fi!
PSA.104.34	Fie‑I plăcută cugetarea mea!
PSA.104.34	Eu mă voi bucura în 
PSA.104.35	Să piară păcătoșii de pe pământ,
PSA.104.35	și cei răi să nu mai fie!
PSA.104.35	Suflete al meu, binecuvântează‑L pe 
PSA.104.35	Lăudați‑L pe 
PSA.105.1	Mulțumiți 
PSA.105.1	Faceți cunoscute printre popoare lucrările Lui!
PSA.105.2	Cântați‑I! Cântați spre lauda Lui!
PSA.105.2	Vestiți toate minunile Lui!
PSA.105.3	Lăudați‑vă cu Numele Lui cel sfânt!
PSA.105.3	Să se bucure inima celor ce‑L caută pe 
PSA.105.4	Căutați pe 
PSA.105.4	căutați întotdeauna fața Lui!
PSA.105.5	Aduceți‑vă aminte de minunile pe care le‑a făcut,
PSA.105.5	de semnele Sale și de judecățile 
PSA.105.6	sămânță a robului Său Avraam,
PSA.105.6	fii ai lui Iacov, aleșii Lui!
PSA.105.7	El este 
PSA.105.7	și judecățile Lui se împlinesc pe tot pământul.
PSA.105.8	El Își aduce aminte mereu de legământul Lui,
PSA.105.8	de cuvântul pe care l‑a poruncit pentru o mie de generații,
PSA.105.9	de jurământul Lui către Isaac,
PSA.105.10	pe care l‑a întărit față de Iacov printr‑o hotărâre
PSA.105.10	și față de Israel printr‑un legământ veșnic,
PSA.105.11	zicând: „Ție îți voi da țara Canaan,
PSA.105.11	ca parte a moștenirii voastre.“
PSA.105.12	Pe atunci erau doar câțiva oameni,
PSA.105.12	puțini la număr și străini în țară.
PSA.105.13	Ei călătoreau de la un neam la alt neam,
PSA.105.13	de la un regat la alt popor.
PSA.105.14	El nu a îngăduit niciunui om să‑i asuprească
PSA.105.14	și a mustrat regi pentru ei:
PSA.105.15	„Nu vă atingeți de unșii Mei
PSA.105.15	și nu‑i vătămați pe profeții Mei!“
PSA.105.16	A chemat foametea peste țară,
PSA.105.16	a frânt orice toiag al pâinii.
PSA.105.17	Trimisese înaintea lor un om,
PSA.105.17	pe Iosif, care a fost vândut ca rob.
PSA.105.18	I‑au strâns picioarele în lanțuri,
PSA.105.18	iar gâtul i‑a fost pus în fiare,
PSA.105.19	până la vremea când s‑a împlinit
PSA.105.19	când Cuvântul 
PSA.105.20	Atunci regele a trimis să‑l dezlege
PSA.105.20	și stăpânitorul popoarelor – să‑l elibereze.
PSA.105.21	L‑a pus stăpân peste casa lui
PSA.105.21	și stăpânitor peste toate averile lui,
PSA.105.22	ca să‑i lege după bunu‑i plac pe prinții lui
PSA.105.22	și să‑i învețe pe bătrânii lui înțelepciunea.
PSA.105.23	Atunci Israel a venit în Egipt,
PSA.105.23	Iacov a locuit ca străin în țara lui Ham.
PSA.105.24	și i‑a făcut mai tari decât pe vrăjmașii lor.
PSA.105.25	Acestora le‑a schimbat inima, ca să‑I urască poporul,
PSA.105.25	să se poarte mișelește cu robii Săi.
PSA.105.26	L‑a trimis pe Moise, robul Său,
PSA.105.26	și pe Aaron pe care‑l alesese.
PSA.105.27	Ei au înfăptuit semnele Lui printre vrăjmași
PSA.105.27	și au făcut minuni în țara lui Ham.
PSA.105.28	A trimis întunericul și s‑a făcut beznă;
PSA.105.29	Le‑a prefăcut apa în sânge
PSA.105.29	și le‑a omorât peștii.
PSA.105.30	Țara lor a mișunat de broaște,
PSA.105.31	El a zis, și au venit roiuri de muște;
PSA.105.31	au fost țânțari pe întreg teritoriul lor.
PSA.105.32	Le‑a dat grindină, în loc de ploaie,
PSA.105.32	și flăcări de foc peste țara lor.
PSA.105.33	Le‑a lovit viile și smochinii
PSA.105.33	și le‑a rupt copacii din teritoriul lor.
PSA.105.34	El a zis, și au venit lăcuste
PSA.105.34	lăcuste
PSA.105.35	Ele au devorat toată verdeața din țara lor
PSA.105.35	și au mâncat rodul pământului lor.
PSA.105.36	I‑a lovit pe toți întâii născuți în țara lor,
PSA.105.36	pârga întregii lor puteri.
PSA.105.37	El i‑a scos 
PSA.105.37	și n‑a fost niciunul din semințiile Lui care să se poticnească.
PSA.105.38	Egiptenii s‑au bucurat de plecarea lor,
PSA.105.38	căci îi apucaseră groaza de ei.
PSA.105.39	El a întins un nor ca 
PSA.105.39	și un foc ca să lumineze noaptea.
PSA.105.40	Au cerut, iar El le‑a trimis prepelițe
PSA.105.40	și i‑a săturat cu pâine din cer.
PSA.105.41	A despicat stânca și a curs apă;
PSA.105.41	un râu a curs prin locuri uscate.
PSA.105.42	Și aceasta pentru că Și‑a amintit de promisiunea Sa cea sfântă,
PSA.105.42	făcută lui Avraam, robul Său.
PSA.105.43	El Și‑a scos poporul cu bucurie,
PSA.105.43	Și
PSA.105.44	Le‑a dat teritoriile neamurilor
PSA.105.44	și au moștenit 
PSA.105.45	ca să păzească hotărârile Lui
PSA.105.45	și să trăiască după învățăturile
PSA.105.45	Lăudați‑L pe 
PSA.106.1	Lăudați‑L pe 
PSA.106.1	Mulțumiți 
PSA.106.1	căci în veac 
PSA.106.2	Cine poate spune toate isprăvile 
PSA.106.2	Cine poate vesti toată lauda Sa?
PSA.106.3	Ferice de cei care păzesc ce este drept
PSA.106.3	și care înfăptuiesc dreptatea tot timpul.
PSA.106.4	Adu‑Ți aminte de mine, 
PSA.106.4	în bunăvoința Ta față de poporul Tău!
PSA.106.4	Apropie‑Te de mine cu mântuirea Ta,
PSA.106.5	ca să văd bunăstarea aleșilor Tăi,
PSA.106.5	să mă bucur de bucuria poporului Tău
PSA.106.5	și să Te laud împreună cu moștenirea Ta.
PSA.106.6	Noi am păcătuit ca și părinții noștri,
PSA.106.6	am săvârșit nelegiuire, am făcut rău.
PSA.106.7	În timp ce erau în Egipt,
PSA.106.7	părinții noștri n‑au luat aminte la minunile Tale;
PSA.106.7	nu și‑au amintit de mulțimea îndurărilor Tale
PSA.106.7	și s‑au răzvrătit când au ajuns la mare, la Marea Roșie
PSA.106.8	Totuși, El i‑a izbăvit datorită Numelui Său,
PSA.106.8	ca să‑Și descopere puterea.
PSA.106.9	A mustrat Marea Roșie și aceasta s‑a uscat;
PSA.106.9	apoi i‑a condus prin adâncuri 
PSA.106.10	I‑a izbăvit din mâna celui ce‑i ura
PSA.106.10	și i‑a răscumpărat din mâna dușmanului.
PSA.106.11	Apele i‑au acoperit pe vrăjmașii lor,
PSA.106.11	fără ca vreunul din ei să scape.
PSA.106.12	Atunci I‑au crezut cuvintele
PSA.106.12	și I‑au cântat laudă.
PSA.106.13	nu I‑au așteptat sfatul.
PSA.106.14	Li s‑au aprins poftele în pustie
PSA.106.14	și L‑au pus la încercare
PSA.106.15	El le‑a îndeplinit cererea,
PSA.106.15	dar a trimis o boală nimicitoare peste ei.
PSA.106.16	În tabără au fost geloși pe Moise
PSA.106.16	și pe Aaron, cel sfințit 
PSA.106.17	Pământul s‑a deschis, l‑a înghițit pe Datan
PSA.106.17	și a acoperit comunitatea lui Abiram.
PSA.106.18	Focul le‑a consumat comunitatea;
PSA.106.18	flăcările i‑au mistuit pe cei răi.
PSA.106.19	La Horeb și‑au făcut un vițel
PSA.106.19	și s‑au închinat chipului turnat.
PSA.106.20	Au schimbat Slava lor
PSA.106.20	cu asemănarea unui bou care mănâncă iarbă.
PSA.106.21	L‑au uitat pe Dumnezeu, Mântuitorul lor,
PSA.106.21	pe Cel Ce făcuse lucruri mari în Egipt,
PSA.106.22	minuni în țara lui Ham,
PSA.106.22	lucruri de temut la Marea Roșie.
PSA.106.23	Astfel, El a spus că o să‑i nimicească,
PSA.106.23	însă Moise, alesul Său,
PSA.106.23	a stat în spărtură înaintea Lui,
PSA.106.23	ca să‑I abată mânia de la distrugere.
PSA.106.24	Apoi au respins țara cea plăcută;
PSA.106.24	ei n‑au crezut în cuvântul Lui.
PSA.106.25	Au cârtit în corturile lor
PSA.106.25	și nu au ascultat de glasul 
PSA.106.26	Atunci, El a jurat cu mâna ridicată
PSA.106.26	că îi va face să cadă în pustie,
PSA.106.27	că le va face sămânța să cadă printre neamuri
PSA.106.27	și‑i va împrăștia printre 
PSA.106.28	S‑au alipit de 
PSA.106.28	și au mâncat jertfe închinate morților
PSA.106.29	L‑au mâniat prin faptele lor,
PSA.106.29	astfel încât o urgie a izbucnit printre ei.
PSA.106.30	Dar s‑a ridicat Fineas, a făcut judecată
PSA.106.30	și urgia s‑a oprit.
PSA.106.31	Lucrul acesta i‑a fost considerat dreptate,
PSA.106.31	din generație în generație, pe vecie.
PSA.106.32	L‑au mâniat la apele Meriba,
PSA.106.32	iar din cauza lor i‑a mers rău lui Moise.
PSA.106.33	Căci s‑au răzvrătit împotriva Duhului Său,
PSA.106.33	iar Moise a vorbit necugetat cu buzele lui.
PSA.106.34	Ei nu au nimicit popoarele
PSA.106.34	despre care le spusese 
PSA.106.35	ci s‑au amestecat cu neamurile
PSA.106.35	și s‑au deprins cu faptele acestora.
PSA.106.36	Au slujit idolilor lor,
PSA.106.36	iar aceștia au devenit o cursă pentru ei.
PSA.106.37	Și‑au jertfit fiii și fiicele 
PSA.106.38	Au vărsat sânge nevinovat,
PSA.106.38	sângele fiilor și al fiicelor lor,
PSA.106.38	jertfindu‑i idolilor Canaanului,
PSA.106.38	și au spurcat țara din cauza sângelui.
PSA.106.39	S‑au întinat prin faptele lor
PSA.106.39	și s‑au prostituat prin lucrările lor.
PSA.106.40	Atunci s‑a aprins mânia 
PSA.106.40	și Și‑a urât moștenirea.
PSA.106.41	I‑a dat pe mâna neamurilor
PSA.106.41	și astfel cei ce îi urau au stăpânit peste ei.
PSA.106.42	Dușmanii lor i‑au asuprit
PSA.106.42	și au fost umiliți sub mâna lor.
PSA.106.43	El i‑a scăpat de multe ori,
PSA.106.43	dar ei se răzvrăteau prin planurile lor.
PSA.106.43	S‑au nenorocit prin nelegiuirea lor.
PSA.106.44	El a privit la strâmtorarea lor
PSA.106.44	când le‑a auzit strigătele.
PSA.106.45	Pentru ei Și‑a adus aminte de legământul Lui.
PSA.106.45	I s‑a făcut milă de ei datorită mulțimii îndurărilor Sale
PSA.106.46	și a făcut ca aceștia să capete milă
PSA.106.46	din partea tuturor celor ce‑i luaseră captivi.
PSA.106.47	Strânge‑ne dintre neamuri
PSA.106.47	ca să aducem mulțumiri Numelui Tău cel sfânt
PSA.106.47	și să ne fălim aducându‑Ți laudă.
PSA.106.48	Binecuvântat să fie 
PSA.106.48	din veșnicie în veșnicie!
PSA.106.48	Tot poporul să zică: „Amin!“
PSA.106.48	Lăudați‑L pe 
PSA.107.1	Mulțumiți 
PSA.107.1	căci în veac 
PSA.107.2	Așa să zică răscumpărații 
PSA.107.2	cei pe care i‑a răscumpărat din mâna vrăjmașului,
PSA.107.3	pe care i‑a adunat de pe 
PSA.107.3	de la răsărit și de la apus, de la nord și de la mare.
PSA.107.4	Ei rătăceau prin pustie, pe o cale neumblată,
PSA.107.4	fără să găsească o cetate în care să locuiască.
PSA.107.5	Flămânzi și însetați,
PSA.107.5	li se lihnise sufletul în ei.
PSA.107.6	Atunci, în strâmtorarea lor, au strigat către 
PSA.107.6	și El i‑a scăpat din necazurile lor.
PSA.107.7	I‑a călăuzit pe o cale dreaptă,
PSA.107.7	ca să meargă spre o cetate unde să locuiască.
PSA.107.8	Să‑I mulțumească deci 
PSA.107.8	și 
PSA.107.9	Căci El a potolit sufletul însetat
PSA.107.9	și a săturat sufletul flămând cu bunătăți.
PSA.107.10	Celor ce locuiau în întuneric și în umbra morții,
PSA.107.10	legați în chin și în fiare,
PSA.107.11	pentru că se răzvrătiseră față de mesajele lui Dumnezeu
PSA.107.11	și disprețuiseră sfatul Celui Preaînalt,
PSA.107.12	El le‑a smerit inima prin necaz;
PSA.107.12	ei se clătinaseră și nu era nimeni să‑i ajute.
PSA.107.13	Atunci, în strâmtorarea lor, au strigat către 
PSA.107.13	și El i‑a izbăvit din necazurile lor.
PSA.107.14	I‑a scos din întuneric și din umbra morții
PSA.107.14	și le‑a rupt legăturile.
PSA.107.15	Să‑I mulțumească deci 
PSA.107.15	și 
PSA.107.16	Căci El a zdrobit porți de bronz
PSA.107.16	și a tăiat zăvoare de fier.
PSA.107.17	Ei ajunseseră nebuni
PSA.107.17	și se nenorociseră din cauza nelegiuirilor lor.
PSA.107.18	Sufletul lor se dezgustase de orice hrană
PSA.107.18	și ajunseseră la porțile morții.
PSA.107.19	Atunci, în strâmtorarea lor, au strigat către 
PSA.107.19	și El i‑a izbăvit din necazurile lor.
PSA.107.20	Le‑a trimis Cuvântul Lui, i‑a vindecat
PSA.107.20	și i‑a scăpat din gropile lor.
PSA.107.21	Să‑I mulțumească deci 
PSA.107.21	și 
PSA.107.22	Să aducă jertfe de mulțumire
PSA.107.22	și să povestească lucrările Lui cu 
PSA.107.23	Cei ce coborau pe mare cu corăbiile,
PSA.107.23	cei ce făceau negoț pe ape mari,
PSA.107.24	au văzut ei înșiși lucrările 
PSA.107.24	și minunile Lui din adâncuri.
PSA.107.25	Când a grăit El, s‑a iscat un vânt năprasnic,
PSA.107.25	care a ridicat talazurile mării.
PSA.107.26	Se suiau spre ceruri și coborau în adâncuri;
PSA.107.26	sufletul li se înmuiase din cauza nenorocirii.
PSA.107.27	Se clătinau și se mișcau ca un om beat;
PSA.107.27	toată înțelepciunea lor fusese înghițită.
PSA.107.28	Atunci, în strâmtorarea lor, au strigat către 
PSA.107.28	și El i‑a izbăvit din necazurile lor.
PSA.107.29	A liniștit furtuna,
PSA.107.29	iar valurile s‑au potolit.
PSA.107.30	Ei s‑au bucurat că acestea s‑au liniștit,
PSA.107.30	iar El i‑a condus la limanul dorit.
PSA.107.31	Să‑I mulțumească deci 
PSA.107.31	și pentru minunile Lui față de fiii omului!
PSA.107.32	Să‑L înalțe în adunarea poporului
PSA.107.32	și să‑L laude în adunarea bătrânilor!
PSA.107.33	El preface râurile în pustiu,
PSA.107.33	izvoarele de ape în pământ uscat,
PSA.107.34	și pământul roditor în pământ sterp,
PSA.107.34	din cauza răutății locuitorilor țării.
PSA.107.35	El preface pustia într‑un iaz,
PSA.107.35	și pământul uscat în izvoare de ape.
PSA.107.36	Așază acolo pe cei flămânzi,
PSA.107.36	iar ei își întemeiază o cetate în care să locuiască,
PSA.107.37	își seamănă ogoare, își plantează vii
PSA.107.37	și au recolte bogate.
PSA.107.38	El îi binecuvântează, astfel încât se înmulțesc foarte mult,
PSA.107.38	iar vitele nu li le împuținează.
PSA.107.39	Când sunt împuținați și umiliți
PSA.107.39	din cauza asupririi, a necazului și a durerii,
PSA.107.40	El revarsă dispreț asupra nobililor
PSA.107.40	și‑i face să rătăcească prin pustietate fără drum.
PSA.107.41	Îi ridică însă pe cei nevoiași din întristare
PSA.107.41	și le înmulțește familiile ca pe o turmă.
PSA.107.42	Cei drepți văd și se bucură,
PSA.107.42	și orice nedreptate își închide gura.
PSA.107.43	Cine este înțelept, să păzească aceste lucruri
PSA.107.43	și să ia aminte la marea îndurare a 
PSA.108.1	Inima mea este pregătită, Dumnezeule!
PSA.108.1	Voi cânta spre lauda Ta și voi suna din instrumente.
PSA.108.2	Treziți‑vă, harfă și liră!
PSA.108.2	Voi trezi zorii.
PSA.108.3	Îți voi mulțumi, 
PSA.108.3	și voi cânta spre lauda Ta printre neamuri.
PSA.108.4	Căci mare este îndurarea Ta, mai presus de ceruri,
PSA.108.4	iar credincioșia Ta este până la nori.
PSA.108.5	Fii înălțat, Dumnezeule, mai presus de ceruri
PSA.108.5	și fie slava Ta peste întreg pământul!
PSA.108.6	Pentru ca preaiubiții Tăi să fie salvați,
PSA.108.6	izbăvește prin dreapta Ta și răspunde‑mi!
PSA.108.7	Dumnezeu a vorbit din Lăcașul Său
PSA.108.7	„Voi triumfa, voi împărți Șehemul
PSA.108.7	și voi măsura valea Sucot.
PSA.108.8	Al Meu este Ghiladul, al Meu este și Manase.
PSA.108.8	Efraim este coiful
PSA.108.8	iar Iuda – sceptrul Meu.
PSA.108.9	Moab este vasul în care Mă spăl.
PSA.108.9	Deasupra Edomului Îmi arunc încălțările,
PSA.108.9	iar strigătele Mele de triumf se aud peste Filistia.“
PSA.108.10	Cine mă va conduce în cetatea fortificată?
PSA.108.10	Cine mă va călăuzi până în Edom?
PSA.108.11	Oare nu Tu, Dumnezeule, ne‑ai respins?
PSA.108.11	Dumnezeule, nu vei mai ieși cu oștirile noastre?
PSA.108.12	Dă‑ne ajutor împotriva vrăjmașului,
PSA.108.12	căci zadarnic este ajutorul omului.
