MAT.1.1	Mukanda wa kibuti kia Yesu Klisto, muana wa Davidi, muana wa Abalahama.
JHN.6.56	Unsania walia ku mubili wane nu kunua ku mikila zane eli mundi, nunne mueli. 
JHN.6.57	Anga buku­lamaga Tatane wansingile, nunne nkulamaga ku Tatane; bubo nuwe wandia, nti akalamaga mundi. 
JHN.6.58	Kakano keli kampampa katukile muigulu; takeli anga mana maliaga basoinyue, nu bakule; tondo unsania walia ku kampampa kakano akalamaga kalamo katanakuzinda. 
JHN.6.59	Yesu atendile bubo mu numba za kukumba­mina, gegisagia ku Kapenuma.
JHN.6.60	Beigisibua bamozi bage gabongule ku bubo, batendile bune, Bubuno buli bubibu; nazi gunabungua? 
JHN.6.61	Yesu amenyinine wenyene buno, beigisibua bage bekuizuzuma na bubo, ababuide bune, Buni bukumuinia bubuno mitima? 
JHN.6.62	Buni bukaba tanga gamukamona Muana wa muntu ekuenda kuko kualingaga kuba? 
JHN.6.63	Muuza ugukulamagia, tondo bumba bua Adama tabukukita buampa: moki manamutendaga meli muuza, nu meli kalamo. 
JHN.6.64	Tondo kumuli kuli bamozi batakatizia. Kubuno Yesu alingile kumenya wakalazi batakatizia, nu wozo gukamugabula, 
JHN.6.65	Nu abatendile bune, Kukabamba kako namubuide buno, Takuli muntu unavua kundi ndi ntakasibua na Tatane. 
JHN.6.66	Beigisibua bage beingi basubanizie tabendile nage lingo. 
JHN.6.67	Yesu abuide beigisibua ikumi nu babili bune, Ndi nuinyue tamukutunda kuenda? 
JHN.6.68	Simona Petelo amubuide bune, Mukota, kua nazi kutuenda? Uli na moki ma kalamo katanakuzinda. 
JHN.6.69	Tuakatizia nu tuizi buno, uwe Uwasililila wa Kalaga. 
JHN.6.70	Yesu ababuide bune, Ndi nsiamu­sombuede inyue ikumi nu babili? Nu umozi wa kumuli u Liabo. 
JHN.6.71	Atendede ku Yudasa, muana wa Simona Isakaliote, kubuno ukamugabula, we abezaga umozi wa ku babo ikumi nu babili.
JHN.7.1	Nu gasilile bubo Yesu endaga mu Galela; asombile kuenda ku Yudaya, kubuno baYuda balondaga kumuita. 
JHN.7.2	Kisagulo kia baYuda, kisagulo kia nusu kiabezaga buigi. 
JHN.7.3	Bato bage ba­mubuide bune, Tuka gano, nu wende ku Yudaya, buno beigisibua bobe bamone ku mulimo ukukita. 
JHN.7.4	Takuli muntu ukukita mulimo nu kugubisa, ndi ekutunda kumenyua. Ndi ukukita mulimo wono, nti widolesia ku kisi. 
JHN.7.5	Kubuno aba bato bage tabamukatizizie. 
JHN.7.6	Yesu ababuide bune, Nkungu zane tazika; tondo nkungu zeinyu zakuka bindi binsania. 
JHN.7.7	Ba ga kisi tabekumusomba; tondo nne, bekunsomba, kubuno nkubalongekela buno, milimo zabo zili mibi. 
JHN.7.8	Endazi ku kisagulo: nsikuenda ku kisagulo kikio, kubuno nkungu zane tazika. 
JHN.7.9	Nu gababuide bubo, eikalile ku Galela.
JHN.7.10	Tondo gendile bato bage ku kisagulo, we endile ku lumbiso­mbiso, bantu tabamenyine. 
JHN.7.11	BaYuda bamulondile ga kisagulo, nu babuide bune, Kuni kueli? 
JHN.7.12	Babezaga bekuizuzuma ku kabamba kage: bamozi batendile bune, Eli muntu musoga; bango bune, Kilo, tondo we ekuengelelaga musanganano. 
JHN.7.13	Tondo takuli muntu watendile ku bango bantu, kubuno bakule baYuda boba.
JHN.7.14	Munkatini mua kisagulo Yesu engide mu numba nnene za kukumbamina, nu eigisizie. 
JHN.7.15	BaYuda bangamine, batendile bune, Kubuni muntu wono ekumenya masanzo, nu ntegisizibue? 
JHN.7.16	Yesu abakuide bune, Meigisia menkuigisia ta mane, tondo meli tugu ma wozo wansingile. 
JHN.7.17	Ndi muntu ekutunda kukita kuso­mbola kua Kalaga, nti anamenyinina mamo meigisia, ndi mekutuka kua Kalaga, aba ndi nkuitendela nnenyene. 
JHN.7.18	Wozo ukuitendela ekulonda lutanuno luage wenyene: tondo wozo ukulonda lutanuno lua wamusingile, wozo nti uwisanana, nu mueli nti tamuli buenge­lezi. 
JHN.7.19	Ndi Mose ntamukasile mulembe, tondo takuli umozi wanzile wozo mulembe? Nu buni bumukulonda kunita? 
JHN.7.20	Musanganano bamutendile bune, Uwe uli na musumbu: nazi ukulonda kukuita? 
JHN.7.21	Yesu abatendile bune, Nakitile mulimo umozi, nuinyue bansania muangamine nago. 
JHN.7.22	Mose amukasile kumonesibua (takuatukile ku Mose, kuatukile ku basonguluinyue); mukumonesagia mu busi bua sabato. 
JHN.7.23	Ndi muntu amonesibua busi bua sabato, buno mulembe unakua; buni bumukunongelua, ndi kubuno nonezie muntu mu busi bua sabato? 
JHN.7.24	Tamusungie muntu ku kilungi, tondo musungiazi ku buisa.
JHN.7.25	Bamozi ba Yelusalema batendile bune, Ndi wono tugu ugu­bakulonda buno bamuite? 
JHN.7.26	Tondo we ntekubisa buakutenda, nu tabamubula buampa. Embe bakulu beizi lebelebe buno, we eli Klisto? 
JHN.7.27	Tondo isue tuizi kuatukile wono, tondo gakavua Klisto, takuli wizi kuakatuka. 
JHN.7.28	Yesu alalukile mu numba nnene za ku­kumbamina nu eigisizie bune, Munizi, nu muizi kunatukile; nne nsivuilide nnenyene; tondo wozo wansingile eli bulili nu tamu­muizi. 
JHN.7.29	Tondo nne nimuizi; kubuno natukile kuage, nuwe uwansingile. 
JHN.7.30	Balondile kumukata; tondo takuli wavuamine kumukata: kubuno nkungu zage zabezaga tazika. 
JHN.7.31	Tondo mu musanganano wozo bantu beingi bamukatizizie; nu batendile bune, Ndi gakavua Klisto, akakita migeleko kutinga zikukita wono? 
JHN.7.32	BaFalese gabongule ku kuizuzuma musanganano ku bibio bitondo bia misagu zage, basankoga banene nu baFalese basingile bakoloboyo kuenda kumukata. 
JHN.7.33	Yesu ababuide bune, Nili neinyu nkungu nkeke, nu nende kua wansingile. 
JHN.7.34	Mukandonda, nu tamukamonako: nu kuko kunkaba tamukavuama kuvuako. 
JHN.7.35	BaYuda batendene buabo buabo bune, Muntu wono ekuenda kuni kututamumoneko? ende ku bantu babalanganine ku Geleka, nu akeigisia baGeleka? 
JHN.7.36	Buni buli bubuno buatenda bune, Mu­kandonda, nu tamukamonako; nu kuko kunkaba tamukavuama kuvuako?
JHN.7.37	Busi buzinda bua kisagulo, buabezaga busi bunene, Yesu emanukile, alalukile neiyuki inene bune, Ndi muntu eli na mpusia avue kuane, nu anue. 
JHN.7.38	Wono wankatizia anga bukutenda masanzo nuzi za mazi ma kalamo zikagelaga mueli. 
JHN.7.39	Tondo atendaga bubuno ku musagu wa Muuza, buno babo bamukatizia bakagukasua: kubuno Muuza abezaga ntevua; kubuno Yesu abezaga nteganunua.
JHN.7.40	Gongule bango bantu ku moki mamo, batendile bune, Lebe­lebe we eli mulengania. 
JHN.7.41	Bango batendile bune, We eli Klisto. Tondo bango bamozi batendile bune, Buni bunatukila Klisto ku Galela? 
JHN.7.42	Ndi masanzo tamekutenda buno, Klisto akatuka mu kikanga kia Davidi, nu ku Betelehema, muino wabezaga wa Davidi? 
JHN.7.43	Kuabede malekanuko munkatini mua bantu ba musanganano ku kabamba kage. 
JHN.7.44	Nu bamozi ba kubeli batundile kumukata, tondo takuli muntu umozi wamukatileko.
JHN.7.45	Nububo bakambi basubizie ku basankoga banene nu ba­Falese; bababuide bune, Kubuni tamuavua nage? 
JHN.7.46	Bakambi bababuide bune, Tukila kunsania takuli muntu umozi ukutendaga anga wozo. 
JHN.7.47	BaFalese bababuide bune, Inyue nuinyue muse­ngelelua? 
JHN.7.48	Banazi ku bakulu nu baFalese bamukatizizie? 
JHN.7.49	Tondo bantu ba musanganano wono bateizi mulembe basuililua. 
JHN.7.50	Nikodemo ababuide bune (wozo wamuvuilide mu kindi, abezaga umozi wa ku babo), 
JHN.7.51	Ndi mulembe weitu ukusungagia muntu ntelinga kungililua nu kumenya buakitile? 
JHN.7.52	Bamuakuide bune, Uwe nuwe uli wa ku Galela? Londa, nu umenye ndi mulengania anavuama kutuka ku Galela. 
JHN.7.53	Na muntu na muntu nawasubizie ku numba zage.
JHN.8.1	Tondo Yesu endile ku muiduko wa Oleve. 
JHN.8.2	Nu nindunindu endile lingo mu numba nnene zakukumbamina; nu bantu bansania bamuvuilide; nu ekede gansi, nu abegisizie. 
JHN.8.3	Basanzi nu baFalese bamuvuilide na mukikulu weitaga meiga, bamubikile munkatini muabo, 
JHN.8.4	babuide Yesu bune, Musozi, tuakata mukikulu wono eitaga meiga. 
JHN.8.5	Mose atukakizizie mu mulembe bune, Ndi muntu akita bubo nti bamulibula makozi: nu uwe buni buguna­tenda? 
JHN.8.6	Batendile bubo, kumulindika, buno balonde bubemu­songela. Tondo Yesu akumbamine, nu asanzile gansi na mu­nue wage. 
JHN.8.7	Tondo gabeitide kumubuzia, akumbamukile, nu ababuide bune, We uteli na misako za buagi ku muli, alinge kumuli­bula ikozi. 
JHN.8.8	Nu akumbamine lingo gansi, nu asanzile gansi na munue wage. 
JHN.8.9	Nu gabongule ku bubo, batukile umozi umozi, balembene, balingile ku wabezaga mukulu aba nu ku wakuzinda; nu Yesu asigede tugu wenyene, na wozo mukikulu, wabezaga wemana. 
JHN.8.10	Nu Yesu akumbamukile, abuzizie mukikulu bune, Kuni kubeli? Ndi takuli umozi wakusungia? 
JHN.8.11	Mukikulu amu­tendile bune, Mukota, takuli muntu. Yesu amubuide bune, nunne nsikukusungia: enda; ntuage lingo.
JHN.8.12	Yesu ababuide lingo bune, Nne nili kiengi kia kisi: wozo wanyanga ntakenda mu kapilo, tondo abe na kiengi kia kalamo. 
JHN.8.13	BaFalese bamuakuide bune, Uwe ukuidongekela uwenyene; bulongeki bobe tabuisanana. 
JHN.8.14	Yesu ababuide bune, Ndi nkuidongekela nnenyene, nti bulongeki buane nti buisa; kubuno nizi kunkutuka, nu kunkuenda; tondo inyue tamuizi kunkutuka, nu kunkuenda. 
JHN.8.15	Inyue mukusungia ku misako za muntu; tondo nne nsikusungia muntu. 
JHN.8.16	Tondo ndi nkusungia, lusungio luane luli bulili; kubuno nne nsili nnenyene, nili na Tatane wansingile. 
JHN.8.17	Nu mu mulembe weinyu muasanzilue buno, bulongeki bua bantu babili buli bulili. 
JHN.8.18	Nne nkuidongekela nnenyene, nu Tatane wansingile ekundongekela. 
JHN.8.19	Bamubuide bune, So eli kuni? Yesu ababuide bune, Nne tamunizi, aba Tatane tamu­muizi; gamunamenyine songo munamenyine Tatane. 
JHN.8.20	We atendile moki mamo geigisagia mu numba nnene za kukumbamina ku busio buisuku; nu takuli muntu wamukatile, kubuno nkungu zage zabezaga tazika.
JHN.8.21	Ababuide lingo bune, Neiyendela, nu mukandonda, nu mu­kakua mu misako za buagi bueinyu; tamukavuama kuvua kuko kunkaba. 
JHN.8.22	BaYuda batendile bune, Ndi eiyite, kubuno ekutenda bune, Tamukavuama kuvua kuko kunkaba. 
JHN.8.23	Ababuide bune, Inyue muli ba gansi; nne nili wa kuigulu; inyue muli ba kisi ki­kino; nunne nsili wa kisi kikino. 
JHN.8.24	Ububo bunamubuide bune, Mukakua mu misako za buagi bueinyu, ndi tamuakatizia buno, nili wozo, kasi mukakua mu misako za buagi bueinyu. 
JHN.8.25	Bamu­buzizie bune, Uwe u nazi? Yesu ababuide bune, Anga bunalingile kumubula aba nu kano kaluma. 
JHN.8.26	Nili na buingi bua kutenda nu buakumusungia; tondo wozo wansingile eli bulili; nu bubo bunkungua kuage, ububo bunkubula ga kisi. 
JHN.8.27	Tabamenyine buno, ekusambala musagu welsi. 
JHN.8.28	Yesu ababuide bune, Gamukasakika Muana wa muntu, mukamenyinina buno, nne u wozo, nu nsikukita kena nnenyene; 
JHN.8.29	kubuno bindi binsania nku­kitaga bubo bukumutananizagia. 
JHN.8.30	Gatendile bubo, beingi bamukatizizie.
JHN.8.31	Yesu abuide baYuda babo bamukatizizie bune, Ndi muikala mu idagi liane, nti museli beigisibua bane nunse; 
JHN.8.32	nu nti mu­amenyinine bulili, nu bubo bulili nti buamukandula. 
JHN.8.33	Bamu­akuide bune, Tuli kikanga kia Abalahama, tatuabezaga bakobe ba muntu aba nu kano kaluma; nu buni bukutenda bune, Tuabe ba­kandulua? 
JHN.8.34	Yesu ababuide bune, Lebelebe, lebelebe, nkumubula bune, Muntu unsania ukukitaga misako za buagi nti eli mukobe wa buagi. 
JHN.8.35	Mukobe ntekuikalaga mu numba bindi binsania: tondo muana ukuikalagamo bindi binsania. 
JHN.8.36	Kubuno ndi Muana amu­kandula, nti mukakandulua nunse. 
JHN.8.37	Nizi buno, muli kikanga kia Abalahama; tondo mukulonda kunita, kubuno iyuki liane talikuingila mu muli. 
JHN.8.38	Nne nkumubula binsania binamonineko ku Tatane; nuinyue mukukita binsania bimungule kubio ku soinyue. 
JHN.8.39	Ba­muakuide bune, Tateisue eli Abalahama. Yesu ababuide bune, Songo muli bana ba Abalahama, songo mukukita misako za Aba­lahama. 
JHN.8.40	Tondo kano kaluma mukulonda kunita, nne muntu ukumubula bitondo bia bulili bimungule ku Kalaga: Abalahama ntakitile bubo. 
JHN.8.41	Mukukita misako za soinyue. Bamubuide bune, Isue tatuabutilue mu butazi; tuli na Tateisue umozi tugu Kalaga. 
JHN.8.42	Yesu ababuide bune, Songo Kalaga eli Soinyue, songo munatundile: kubuno natukile kua Kalaga; nsiedusizie nnenyene, tondo we uwansingile. 
JHN.8.43	Kubuni inyue tamukumenyinina bu­nkutenda? Kubuno tamukuvuama kungua idagi liane. 
JHN.8.44	Inyue muli na soinyue, Liabo u Satana, mukutunda kukita ntundo mbi za soinyue. Mukulinga we abezaga muiti, ntemene mu bulili, kubuno we nteli na bulili mueli. Gekueka buza, akuitendela buage wenye­ne; kubuno we eli muza, nu eli isi wa boza. 
JHN.8.45	Tondo kubuno nkutenda bulili, inuye tamukinkatizia. 
JHN.8.46	Nazi wa kumuli uku­nkokomeka buno, nili muagi? Ndi nkutenda bulili kubuni tamuku­nkatizia? 
JHN.8.47	Wozo wa Kalaga ekunguaga malagi ma Kalaga: inyue tamukumongua, kubuno inyue tamuli ba Kalaga. 
JHN.8.48	Ba­Yuda bamuakuide bune, Ndi tatukutenda buligo buno uli muSa­malia, nu uli na musumbu? 
JHN.8.49	Yesu ababuide bune, Nsili na musumbu; tondo nkuanza Tatane, nuinyue mukumbenga. 
JHN.8.50	Tondo nsikulonda lutanuno luane nnenyene; kuli umozi ukulu­londa nu ukusungia. 
JHN.8.51	Lebelelebe, lebelebe, nkumubula bune, Ndi muntu anza idagi liane ntakamona lukuo. 
JHN.8.52	BaYuda ba­mubuide bune, Kano kaluma tuamenyinina nunse buno, uli na musumbu. Abalahama akule, nu balengania bakule, nu uwe uku­bula buno, wanza idagi liane ntakamona lukuo. 
JHN.8.53	Ndi uwe uwatinga tateisue Abalahama wakule? nu balengania bakule: nu uwe lino nazi? 
JHN.8.54	Yesu abakuide bune, Ndi nkuiganuna nnenyene, kasi lutanuno luane luli buliabulia: tondo Tatane ukuganunaga, nuinyue mukuibulaga buno eli Kalaga weinyu; 
JHN.8.55	nuinyue ta­mumuizi: tondo nne nimuizi; nu ndi nabula bune, Nsimuizi, nti nili muza anga inyue: tondo nimuizi, nu nkuanzaga idagi liage. 
JHN.8.56	Soinyue Abalahama abogilebogile gamonine busi buane; nu gabumonineko, abogilebogile. 
JHN.8.57	BaYuda bamubuide bune, Uwe uteba na miaka makumi matano, nu ndi wamuene ku Abalahama? 
JHN.8.58	Yesu ababuide bune, Lebelebe, lebelebe, nkumubula bune, Gabezaga Abalahama ntebutua nti nili. 
JHN.8.59	Basongezie makozi buno, bamulekelemo; tondo Yesu eibisile nu atukile mu numba nnene za kukumbamina.
JHN.9.1	Nu gabezaga ekutinga, amonine ku muntu wabutilue kiuku. 
JHN.9.2	Nu beigisibua bage bamubuzizie bune, Labi, nazi wagile, ndi muntu wono, aba ndi bamubuta, ukinsa abutilue kiuku? 
JHN.9.3	Yesu abakuide bune, Wono muntu ntagile aba bamubuta tabagile, tugu milimo za Kalaga zimoneke mueli. 
JHN.9.4	Buatunganana kukita milimo zawansingile, kungua musi ukili: ndi busi buida muntu ntanavuama kukita mulimo, 
JHN.9.5	Gendi mu kisi, nili kiengi kia kisi. 
JHN.9.6	Gatendile bubo, asuide matazi gansi, nu asuede na bisogo, nu amubongezie ku meiso, 
JHN.9.7	nu amubuide bune, Enda, woge mu kiziba kia Siloama (buisulilua buabo, Musingua). Endile kuko, ogile, asubizie esamona. 
JHN.9.8	Banyage nu babo balingaga kumumo­nako buno abezaga musegi, batendile bune, Ndi ta uwozo wikalaga gansi nu kusega? 
JHN.9.9	Bango batendile bune, Uwozo; bango bune, Kilo, tondo basusanania. Tondo we atendile bune, Unne wono. 
JHN.9.10	Bamubuzizie bune, Buni buazibuide meiso mobe? 
JHN.9.11	Aba­kuide bune, Muntu ukumanua Yesu, asuede bisogo, nu ambo­ngeziebio ku meiso, nu ambuide bune, Enda woge mu kiziba kia Siloama, bubo nendile koga, nu namonine. 
JHN.9.12	Bamubuzizie bune, Kuni kueli? Atendile bune, Nsizi.
JHN.9.13	Bavule na wozo wabezaga kiuku ku baFalese. 
JHN.9.14	Busi buasuede Yesu bisogo, nu kumuzibula meiso buabezaga busi bua sabato. 
JHN.9.15	BaFalese bamubuzizie lingo bune, Buni buwamonine? Nu ababuide bune, We ambongezie bisogo ku meiso, nu nogile, nu kano kaluma nisenamona. 
JHN.9.16	Bango BaFalese batendile bune, Muntu wono ntatukile kua Kalaga, kubuno ntakuanza busi bua sabato. Nu bango batendile bune, Ndi muagi anamenya kukita migeleko zeno? Nubo bengukene mu miango zabo. 
JHN.9.17	Nu ba­buzizie wozo muntu wabezaga kiuku bune, Uwe ukutenda buni ku wozo wakuzibuide meiso? Nu ababuide bune, We eli mule­ngania. 
JHN.9.18	BaYuda tabakatizizie buno we abezaga kiuku nu kuzibulua meiso, nu bamanine babo babutile wozo wazibulua meiso, 
JHN.9.19	nu bababuzizie bune, Ndi wozo eli muana weinyu umukutendaga buno, abutilue kiuku? kubuni kano kaluma esamona? 
JHN.9.20	Ba­mubuta babakuide bune, Tuizi buno, wono muana weitu abutilue kiuku: 
JHN.9.21	tondo buesamona, isue tatuizi; nu tatuizi nazi wamuzi­bula meiso; we esalengania; mubuziazi wenyene; atende bueizi. 
JHN.9.22	Bamubuta batendile bubo, kubuno bakuaga baYuda boba; BaYuda babezaga bakala luango buno, ndi muntu amuitabizia buno, u Klisto, nti atikibua mu numba za musanganano. 
JHN.9.23	Ku bubo bamubuta batendile bune, We esalengania; mubuziazi wenyene. 
JHN.9.24	Bubo bamanine lingo wozo wabutilue kiuku, nu bamubuide bune, Ganuna Kalaga; isue tuizi buno wozo eli muagi. 
JHN.9.25	We ababuide bune, Ndi wozo eli muagi, nsizi: nizi bumozi tugu, bune, Nabezaga kiuku, kano kaluma nise namona. 
JHN.9.26	Bamubuzizie bune, We akukitide kikizi? Nu buni buakuzibuide meiso? 
JHN.9.27	Aba­kuide bune, Namubuide kalazi, nu tamungule; ndi mukutunda kungua lingo? aba ndi mukutunda kuba beigisibua bage? 
JHN.9.28	Bamuililikile bune, Uwe u muigisibua wage; tondo isue tuli beigisibua ba Mose. 
JHN.9.29	Tuizi buno Kalaga atendile na Mose: tondo muntu wono, tatuizi kuatukile. 
JHN.9.30	Wozo muntu abakuide bune, Bubuno buli buakuangamia, tamuizi kuatukile, tondo we anzibuide meiso. 
JHN.9.31	Tuizi buno, Kalaga ntekunguilila bagi; tondo ndi muntu akumbamina Kalaga, nu kukita kusombola kuage, uwozo wakunguilila. 
JHN.9.32	Kutukila ku kulinga kua kisi aba nu kano kaluma tatunguaga buno, muntu azibula meiso ma muntu wabutilue kiuku. 
JHN.9.33	Songo muntu wono ntatukile kua Kalaga, songo ntana­menya kukita buampa. 
JHN.9.34	Bamuakuide bune, Uwe wabutilue na misako za buagi lebelebe, ndi ukutuigisia? Bamubasizie kumbuga.
JHN.9.35	Gongule Yesu buno, bamubasia kumbuga; nu gamumonine­ko, amubuzizie bune, Ndi ukukatizia Muana wa Kalaga? 
JHN.9.36	Amu­akuide bune, Mukota, nazi wozo nimukatizie? 
JHN.9.37	Yesu amubuide bune, Wamumueneko, unugukutenda nage. 
JHN.9.38	Nu atendile bune, Mukota, nakatizia. Nu amukumbamine. 
JHN.9.39	Nu Yesu amubuide bune, Navule ku kisi na lusungio buno batekumona bamone nu bekumona babe kiuku. 
JHN.9.40	BaFalese babezaga nage, gabongule ku bubo bamubuzizie bune, Ndi nuisue lingo tuli biuku? 
JHN.9.41	Yesu ababuide bune, Gamunabeide biuku, tamunabeide na buagi; tondo kano kaluma mukuibula buno, mukumona: kasi mukili na buagi.
JHN.10.1	Lebelebe, lebelebe, nkumubula bune, Wozo utengilila ku luibi lua mukumba wa mikoko, tondo ekubakamina kungo, nti eli muibi nu munyagi. 
JHN.10.2	Tondo wingilila ku luibi nti eli mulangi wa mikoko. 
JHN.10.3	Mulangi wa luibi ekumuigulilaga; nu mikoko nti zungua kuiyuki liaga; nu nti esazimana ku miena mazo, nu nti azisondelezia. 
JHN.10.4	Kungua azigula, nti atinga luabusio luazo, nu mikoko nti zamuyanga: kubuno zizi iyuki liage. 
JHN.10.5	Tondo tazinayanga mugeni, kubuno nti zikumutina: kubuno tazizi iyuki lia bageni. 
JHN.10.6	Yesu abeisile musumo wozo: tondo tabamenyinine bubo buatendaga.
JHN.10.7	Yesu ababuide lingo bune, Lebelebe, lebelebe, nkumubula bune, Nne nili luibi lua mikoko. 
JHN.10.8	Bansania balingile kuvua luabusio luane beli beibi nu banyagi: tondo mikoko tazongule ku moki mabo. 
JHN.10.9	Nne nili luibi; ndi muntu engila kundi, akonibua, akengila, nu kubasa, nu akamona idia. 
JHN.10.10	Muibi ekuvua kuiba, nu kuita, nu kubigia: nne navule buno babe na kalamo nunse. 
JHN.10.11	Nne nili mulangi musoga; mulangi musoga akasene kalamo kage ku kabamba ka mikoko. 
JHN.10.12	Tondo muntu wa mulimo nteli mulangi, kubuno mikoko tazili bikulo biage, ndi amona ku ngozi zikuvua, nti asiga mikoko nu nti atina, nu ngozi nti zazikata, nu kuzibalangania: 
JHN.10.13	nuwe ekutina, kubuno nteli mulangi wa mi­koko, kubuno eli muntu wa mulimo, nu ntakuikutia ku kabamba ka mikoko. 
JHN.10.14	Nne u mulangi musoga; nizi mikoko zane, nuzo zinizi, 
JHN.10.15	anga bunizi Tatane, nunne nizi Tatane; nu nkukasana kalamo kane ku kabamba ka mikoko. 
JHN.10.16	Nili neingo mikoko ziteli za mukumba wono: buatunganana kuzitola, nu zongue kuiyuki liane, zabe kibombo kimozi, nu mulangi umozi. 
JHN.10.17	Bubo Tatane anelamine, kubuno nakasana kalamo kane buno, nikatole lingo. 
JHN.10.18	Takuli muntu unantikiako, tondo nakakasana nnenyene. Nili na buangato bua kukakasana, nu nili na buangato bua kukatola lingo. Bubo ubunakakizizibue na Tatane.
JHN.10.19	Kuabede lingo malekanuko munkatini mua baYuda ku bubo buatendaga. 
JHN.10.20	Nu bango beingi babulaga bune, Eli na musumbu, eli muluba; kubuni mukimuamunguilila? 
JHN.10.21	Bango batendile bune, Mamano tameli moki ma muntu uli na musumbu. Ndi musumbu anamenya kuzibula meiso ma kiuku?
JHN.10.22	Kisagulo kia kusuagibua kiabezaga ku Yelusalema; 
JHN.10.23	nkungu zezo zabezaga mpego nkali; nu Yesu atabangaga mu numba nnene za kukumbamina mu kabelabela ka Solomona. 
JHN.10.24	BaYuda ba­mutimbile, nu bamubuzizie bune, Nkungu nkizi ziukatuikilizia mitima? Ndi uwe u Klisto tubule. 
JHN.10.25	Yesu abakuide bune, Nkumubula, tondo tamukunkatizia; tondo milimo zinkukita muizina lia Tatane, uzikundongekela. 
JHN.10.26	Tondo inyue tamukukatizia, kubuno inyue tamuli mikoko zane. 
JHN.10.27	Mikoko zane zikunguaga kuiyuki liane, nunne nizizi, nu zikunyangaga; 
JHN.10.28	nu nkuzikasaga kalamo katanakuzinda; nu tazikazimina nunse, nu takuli muntu unazinyaga mu kuboko kuane. 
JHN.10.29	Tatane wankasilezo atinga bansania magala; nu takuli umozi unazinyaga mu kuboko kua Tatane. 
JHN.10.30	Nne nu Tatane tuli umozi. 
JHN.10.31	Nu kububo baYuda basongezie lingo makozi buno bamulekelemo. 
JHN.10.32	Yesu ababuide bune, Namulolesezie milimo mingi misoga, zatukaga ku Tatane; nu mulimo mukizi umukundibulila makozi? 
JHN.10.33	BaYuda bamua­kuide bune, Tatukukulibulila makozi ku mulimo musoga uwakitile, tugu ku kulinga Kalaga; kubuno, uwe uli muntu, nu ukuibula buno, uli Kalaga. 
JHN.10.34	Yesu ababuide bune, Ndi tabuasanzilue mu mulembe weinyu bune, Nne natenda bune, Inyue muli tulaga? 
JHN.10.35	Ndi ekubamana buno tulaga, babo basingilue neidagi lia Kalaga (isanzo lia Kalaga talikatikibua), 
JHN.10.36	ndi mukubula wozo wasuagizi­bue nelsi nu wasingilue ku kisi buno, akulinga kubuno mukutenda Kalaga; kubuno nkuibula bune, Nili Muana wa Kalaga? 
JHN.10.37	Ndi nsikukita milimo za Tatane, kasi tamunkatizie. 
JHN.10.38	Tondo ndi nkuzikita ndi tamunkatizia, katiziazi zezo milimo: buno muamenye nu kumenyinina buno, Tatane eli mundi, nunne mu Tatane. 
JHN.10.39	Batundile kumukata lingo: tondo abasogonyokile mu maboko.
JHN.10.40	Nu endile ku lisilia lia Yadene kuko kualingaga kubatizizia Yoana; nu eikeide kuko. 
JHN.10.41	Nu bantu beingi bamuvuilide; nu babuide bune, Lebelebe, Yoana ntakitile migeleko, tondo bunsania buatendile Yoana bua wono muntu buligo. 
JHN.10.42	Nu beingi bamuka­tizizie kuko.
JHN.11.1	Muntu umozi abezaga na lusambo, izina liage Lazalo wa Betania, mu muino wabezaga mu Malia nu mubitu wage Ma­lata. 
JHN.11.2	Uwozo Malia wabongagia Mukota bulago, mu kumunyonyona ku magulu mage na nzuili zage, mubitu wage Lazalo abezaga na lusa­mbo. 
JHN.11.3	Babo babitu bage bamusingide mugenzi buno, Mukota, wozo watundaga eli na lusambo. 
JHN.11.4	Tondo gongule Yesu bubo, abuide bune, Luluno taluli lusambo lua kuita, tondo luli ku luga­nuno lua Kalaga, buno Muana wa Kalaga aganunue ku bubo. 
JHN.11.5	Yesu atundaga Malata, nu muto wage, nu Lazalo, 
JHN.11.6	Gongule ku musagu wa lusambo luage, atingizie bingo bindi bibili kuko kua­bezaga. 
JHN.11.7	Kusila kua bubo abuide beigisibua bage bune, Tusu­biazi ku Yudaya lingo. 
JHN.11.8	Beigisibua bamubuide bune, Labi, baYuda balondagile kukulibula makozi; nu ukusubia kuko lingo? 
JHN.11.9	Yesu akuide bune, Ndi taguli na nkungu ikumi na ibili ku busi bumozi? Ndi muntu ekutabanga mu musi, we ntanikuka kubuno we ekumona ku kiengi kia kisi kikino. 
JHN.11.10	Tondo ndi muntu ekutabanga mu kindi, nti ekuikuka, kubuno kiengi takili mueli. 
JHN.11.11	Gatendile bubo, ababuide bune, Muida weitu Lazalo eyombeka ku tulo tugu; tondo nkuenda kumuyukia kuto. 
JHN.11.12	Beigisibua bamubuide bune, Mukota, ndi eyombeka ku tulo, nti one. 
JHN.11.13	Yesu atendaga ku lukuo luage, tondo bakengede buno, ekutenda tugu bua tulo, 
JHN.11.14	Tondo Yesu ababuide bune, Lazalo akua. 
JHN.11.15	Nu nili na mbogimbogi ku kabamba keinyu kubuno nsiabezagile kuko buno mukatizie; tuendazi kueli. 
JHN.11.16	Toma wamanagua buno, Didumu, abuide beigisibua banyage bune, Tuendazi nuisue; buno tukue nage. 
JHN.11.17	Gavule Yesu asangile Lazalo ese bindi binazi mu nsinda. 
