MAT.1.1	Niján jíri linébaanfaangu Jesucrístu le jádaangiñebei meja ladǘgawagun Davíd lúma Abrahám.
ROM.2.5	Derétu banígi, májatibu basáansiruni bigáburi. Ligía abúnja lubeí agánwoundagüda lafáyeija bifígoun lubáme luwéyuri lagúseragüdün Búngiu dánme liábin lun líchuguni lisíadin le richábei, 
ROM.2.6	dánme le lafáyeiruni cáda ában según le ladǘgübei. 
ROM.2.7	Líchuguba ibágari magúmuchaditi joun ja áluajabalin uweíriguni, inébesei, lúma cátei lé buri magúmuchaditi yágüta siélu láu jadǘgüni le buídubei súnwandan ya uboúagu. 
ROM.2.8	Ánjaña sun gürígia ja magáambadibaña lun Búngiu, ja májabaña lun jafálaruni linárün Búngiu, jafálarei wuríbani, lafáyeirubaña Búngiu láu sun ligáñi. 
ROM.2.9	Níjeinbei asúfuriruni lúma igárigu joun sun ja adǘgübalin le wuríbabei, joun juríu furúmiñe, lúma gíñe joun ja mámabaña juríu. 
ROM.2.10	Ánjeinti joun sun ja adǘgübalin le buídubei, líchuguba Búngiu uweíriguni, inébesei, lúma darángilaü, juríu furúmiñe, lúma gíñe joun ja mámabaña juríu. 
ROM.2.11	Lugúndun ában lan lanǘgüniña Búngiu sun gürígia. 
ROM.2.12	sun ja afígounjabaña masúbudirunga jameí lilúrudun Búngiu le ledéregerubei joun gürígia lídaangiñe Moisés, jagúserawagüdǘba boúgudin lueí lúrudu ligía, tídiba jawáni máfiougatin. Játi afígounjabaña láu sun subúdi jamáni lilúrudun Búngiu, jagúserawagüdǘba láu lúrudu ligía, tídiba gíñe jawáni máfiougatin. 
ROM.2.13	Lugúndun máma ja agáambarügübalin lúrudu richáguabaña ligíbugiñe Búngiu, anáti ja agúnfulirubalin. 
ROM.2.14	Játi mámabaña juríu, ja ibídiñejabubaña lun lilúrudun Búngiu, gayáraagili jadǘgüni le lubeíbei Búngiu láurügü laríñagun jarítagun guánarügü joun luágu le buídubei lúma le wuríbabei. 
ROM.2.15	Láu jagáburi, arúfuda jamúti luágu níjein lan lilúrudun Búngiu bürǘñu tídan janígi, arúfuda tumúti janígi líra, áni laríñagubei jarítagun joun ánjein gadúnrun jabeí lúmoun madúnrun jamá. 
ROM.2.16	Luágume wéyu le lagúseragüdüniña Búngiu sun gürígia lídaangiñe Jesucrístu, larítaguba luágu sún buri cátei le, ladǘga lagúseragüdübei gíñe ásta cátei lé buri arámudagúabei tídan wanígi. Ítara lúba según ugánu luáguti asálbaruni le napúrichijabei.
ROM.2.17	Ánjein bugúya le pántabei luágu juríu ban, luágu bárügüdün luágu lilúrudun Moisés lun basálbarun, luágu Búngiu lan le inárüniti Bubúngiutebei. 
ROM.2.18	Subúdi bumúti lugúndan Búngiu, áni arúfudajati lilúrudun Moisés bun lun banúadajani cátei le buídutimaabei. 
ROM.2.19	Jarítaguatibu búngua luágu gayára lan badúndejan maríjintiña lídoun ǘma buíti lúma luágu gayára lan bíchugun larúgounga joun ja eíbugubaña lídan lubúriga. 
ROM.2.20	Jarítaguatibu luágu gayára lan barúfudajan joun ibídiougua táu luágu Búngiu, lúma lun barúfuduni ǘma joun ja isérigiñabaña lídan jafíñen, queísi barítagun luágu ibíja báani sun subúdi lúma inárüni lídan lilúrudun Moisés. 
ROM.2.21	Wel, ánjein lubeíti arúfudaja bubeí joun ámu, ¿cági uágu marúfudajan bubeí bun guánarügü? Ánjein apúrichija bubeí luágu lúnti lan míwerujoún lan, ¿cági uágu bíweruja? 
ROM.2.22	Ánjein aríñaga bubeí luágu moún lumuti lan jagámaridúniwa jámari gürígia maríeitiña, ¿cámegi badǘgei? Ánjein iyéreegu lubeí cátei lánina sándu bun, ¿cámegi bádaragua búngua lídoun buri cátei jánina sándu láu bíwerujani tirísin jalígilisin? 
ROM.2.23	Pántatibu láu lilúrudun Búngiu, ába bíchugun minébesei lun Búngiu láu magúnfulirun báani. 
ROM.2.24	Tinárün Lerérun Búngiu dan le taríñagunbei. “Jídaangiñeti, jugúya juríu, jadímurejanbei ja mámabaña juríu wuríba luágu Búngiu.”
ROM.2.25	Adǘga jumúti jugúya juríu igáburi le circuncisión lé meja liseíni lidáradun Búngiu jáma lánigu. Buíti igáburi ligía ánjaün agúnfulira lúma líbiri lilúrudun Búngiu lé meja líchugubei joun lánigu lídaangiñe Moisés. Ánjein magúnfulirun jumá, manǘgünti circuncisión ni cáta jun, queígubeirügü madügǘniwa lan. 
ROM.2.26	Gürígia ja mámabaña juríu, ánjein jadǘga buri cátei le lubeíbei lilúrudun Búngiu, janügǘba queísi lánigu Búngiu láu sun merésibirun jamáni circuncisión. 
ROM.2.27	Gürígia ja merésibirubalin circuncisión, ába jagúnfulirun lúma lilúrudun Búngiu, jarúfudunbei jidúnrun, jugúya le resíbi jumáalibei circuncisión, ja magúnfulirunbalin Lerérun Búngiu, láu sun jun lan labǘrüdǘwa. 
ROM.2.28	Le juríubei le tímatimaati, máma boúgudigiñerügü libíti juríu lan, máma gíñe láurügü wadǘgün cátei le boúguditi wabíti lánigu wamá Búngiu. 
ROM.2.29	Láu wafálaruni Búngiu táu sun wanígi, lánigu wagía le tímatimaati, wáfaaguba táu sun wanígi lun wadǘgüni lugúndan, lugúndun ni cáta circuncisión lun Búngiu. Ítara líña lubeíti, gürígia le lánigubei Búngiu tídaangiñe lanígi, ligía buídubei ligíbugiñe Búngiu íbini jarítagun gürígia luágu mabuídun lan.
ROM.3.1	Queísi ítara líña lubeí, ¿jalíañeinti jagáñiragüle gürígia lueígiñe juríu jamá? ¿o cági lubuíduña lerésibirúniwa circuncisión? 
ROM.3.2	Sarágu, áni gíbeti gíñe lébuna. Furúmiñeti cátei, rúlumuti Búngiu lerérun joun juríu. 
ROM.3.3	Ánjaña ñi jádaangiñe juríu, múaraantiña lúma Búngiu, ¿magúnfulirunbei funági Búngiu láu lerérun ladǘga líra? 
ROM.3.4	¡Máma líña! Lubáragiñe líra, lagúnfuliruba Búngiu láu lerérun láu sun yé jama sun gürígia uboúagu. Taríñajare Lerérun Búngiu.
ROM.3.4	Babájüdǘba queísi richáti lídan le baríñagubei,
ROM.3.4	áni buídubei báfuridun dánme le bagúserawagüdǘn.
ROM.3.5	Ábanya álügüdajani. ánjein seríwi lubeí luríban wagáburi lun larúfuduni luágu richágua lan Búngiu, ¿cábagi waríñaga? ¿Maríchati funági Búngiu lugúndun larúfuduni ligáñi luágu luríban wagáburi? (Nadímurejañatia queísi gürígia.) 
ROM.3.6	¡Máma líña! Lugúndun lun jamúga múaran lan Búngiu, ¿ída líña jamúgagi lagúseragüdüniña gürígia?
ROM.3.7	Ánjein gíñe seríwi lubeí wayéeni lun weírigutimá lan linárün Búngiu, ¿cáti uágu laríñawagúa wawágu luágu gafígoun wamá? 
ROM.3.8	¿Lúnti lubeí jamúga ladügǘn wuríbani lun larijoúniwa le buídubei? Niján cátei le jaríñagubei sarágu gürígia luágu ligía lan warúfudajabei. Gürígia ja aríñagubaña ítara, lúnti jamúga jasíadirúniwa.
ROM.3.9	¿Ída liñági? ¿Buítimaatiwa wagía juríu sügǘ jáu gürígia ja mámabaña juríu? ¡Uá! Lugúndun arúfuda wamáali luágu dándu lan juríu queísi máma juríu lábugiñeñanu lubáfu figoú. 
ROM.3.10	Taríñajare Lerérun Búngiu.
ROM.3.10	Úati ni ában gürígia richáguati ligíbugiñe Búngiu, ni íbini ábanrügü,
ROM.3.11	úati ni ában ánjaruti lun gunfaráanda lan,
ROM.3.11	úati ni ában áluajati Búngiu.
ROM.3.12	Yuríguaaña súngubei, ñǘdünjaña lídoun féridi.
ROM.3.12	Úati ni ában adǘgüti le buídubei, ni íbini ában.
ROM.3.13	Eyéeraguatiña láu jayúma,
ROM.3.13	júnren líña jayúma lun jadímurejan lagǘbüri dimúrei le mínsiñeguti
ROM.3.13	queísi limínsiñegun líjeme umúajaü júnren lárigiñe líchugúniwa jiláali ñíjin.
ROM.3.13	Yúsu jamúti jayúma lun jagádeirun jíri gürígia furése queísi láfarajan lupeísini jéwe.
ROM.3.14	Anábajani rügǘñein jadímurejan lau jeyéreejabu.
ROM.3.15	Furéseti jagúdi lun joúdin áfaraja.
ROM.3.16	Barǘti jagáburi gürínguaü lúma igárigu,
ROM.3.17	áni ibídiñeti ǘma lánina darángilaü joun.
ROM.3.18	Marítagungubeítiña luágu lanúfudewa lueí Búngiu.
ROM.3.19	Subúdi wamúti luágu sun lan le laríñagubei binádu lilúrudun Búngiu, joun lan ja lábugiñebaña lúrudu ligía laríñagei, lun jasúbudiruni gürígia jagía luágu gafígoun jamá. Ítara líña lubeíti, gadúnrun jamá sun gürígia ligíbugiñe Búngiu, dándu juríu queísi ja mámabaña juríu. 
ROM.3.20	Lugúndun úabei ni ában eréderuti richágu ligíbugiñe Búngiu lueígiñerügü ladǘgüni le lubeíbei lúrudu, lúnrügü lasúbudiragüdüni lúrudu woun luágu gafígoun wamá lesériwida.
ROM.3.21	Guetóti arúfuda láali Búngiu woun ída lúba lan ligáburi gayára lan weréderun richáguañu ligíbugiñe boúgudin lueí lúrudu lé meja líchugubei lídaangiñe Moisés. Gayáraati wasúbudiruni líra láu walíijanun lilíburuna to meme lilúrudun Moisés, túma jalíburun profétagu. 
ROM.3.22	Láu wafíñerun luágu Crístu, gayára lan weréderun richáguañu ligíbugiñe Búngiu, áni ában lan ladǘgüni Búngiu líra joun sun gürígia, 
ROM.3.23	lugúndun afígounjaaña sun gürígia áni siñáti lagúndaarun Búngiu jáu. 
ROM.3.24	Láu lareíni Búngiu, resíbi lumútiña sun gürígia queísi lánigu, mafáyeijaanga jagía luágu, lugúndun fáyeijali Crístu luágu wafígoun lun gayáraabei lan weréderun richáguañu ligíbugiñe Búngiu. 
ROM.3.25	Adǘgati Búngiu lun lébunabei lan ferúdun Crístu láu loúnwen luágu wafígoun, áni lídaangiñe wafíñerun luágu queísi Wasálbaragüle liábin ferúdun woun. Láu loúnwen Crístu queísi afáyeiragülei luágu figoú, ába larúfuduni Búngiu luágu úaragua lan áni iyéreeguti figoú lun. Ába lachíbuni líta Crístu jafígoun gürígia já meja aganoúbaña lídan dan le sügǘjalibei, le uágubei mafáyeijagüdün láañabaña lan, 
ROM.3.26	chibá lumuti gíñe jafígoun ja aganoúbaña lídan buri dan le, lun larúfuduni luágu úaragua lan, áni sun ja afíñebaña luágu Jesucrístu queísi Jasálbaragüle barǘ lumútiña queísi úaraguatiña.
ROM.3.27	Queísiti ítara líña lubeí, ¿cáti asúseredubei lun japántan gürígia luágu lubuídun jagáburi? Gumúguati. ¿Cági uágu? Lugúndun lun jamúga gayára lan wasálbarun láu lubuídun wagúnfulirun lúma binádu lilúrudun Búngiu, gayáraati jamúga wanáangun woúngua, queísi sálbañu wáña lubeí láurügü wafíñerun luágu Crístu, gumúgua lébuna wanáangun woúngua. 
ROM.3.28	Subúdi wamáali lubeíti buídu luágu resíbi láani Búngiu gürígia le afíñeti luágu Crístu queísi gürígia richáguati, mebéresegúnga ánjein gúnfulijali lubeí lúma lilúrudun Moisés lúmoun magúnfulirungili lan.
ROM.3.29	¿Juríu rügǘñanu funági Gabúngiutei Búngiu? ¿Ma funági gíñe Jabúngiute ja mámabaña juríu? Jabúngiute gíñe, 
ROM.3.30	lugúndun ában rügǘñein Búngiu, le erésibirubaliña sun gürígia ja afíñebaña luágu Jesucrístu queísi Jasálbaragüle, mebéresenga ligía ánjein resíbi jabálin circuncisión lúmoun merésibirun jamáni. 
ROM.3.31	¿Wayúsuruñein lubeíti afíñeni luágu Crístu lun warúfuduni luágu mebégi lan binádu lilúrudun Búngiu guetó? ¡Uá! Lubáragiñe líra, warúfuduñein luágu buídu méme lan lúrudu ligía.
ROM.4.1	¿Cábati waríñaga luágu Abrahám, le binádu wáguchi, wagía juríu? 
ROM.4.2	Lun jamúga lueígiñe lan ladǘgün cátei buíti lerésibirei Búngiu queísi ában gürígia richáguati, gébunati jamúga lapántajan, máma ligíbugiñe Búngiu. 
ROM.4.3	Taríñajare Lerérun Búngiu. “Afíñetí meja Abrahám luágu Búngiu, luágu lafíñen lerésibirei queísi wügǘri richáguati.” 
ROM.4.4	Dan le ladǘgün gürígia ában wadágimanu, fáyeiti le libíjubei lebégi luwádigimari, máma edéweejani. 
ROM.4.5	Ánjeinti gürígia le asálbaruti lídaangiñe lifígoun láurügü lafíñerun luágu Búngiu le erésibirubaliña gafígountiña, lerésibirubei Búngiu queísi ában gürígia richáguati luágu lafíñen, anáti líra, edéweejani. 
ROM.4.6	Davíd guánarügü adímurejati luágu jagúndan gürígia ja lerésibirubaña Búngiu queísi richáguatiña luágurügü jafíñen, mebéresenga ligía ca lán meja jadǘgübei. 
ROM.4.7	Laríñajare Davíd.
ROM.4.7	Gúndaatiña gürígia ja ferúduna lubáña Búngiu jaríban, áni chibáwa ligía jafígoun.
ROM.4.8	Gúndaati gürígia le lanǘgübei Búngiu queísi gürígia mafígounjaangili.
ROM.4.9	¿Joúnti rügǘñein funásan ja erésibirubalin circuncisión, ódi joúnti gíñe ja merésibirunbalin? Joúnti sun jawúyeri gürígia ugúndani ligía. Aríñagaadiwa luágu resíbi láani Búngiu Abrahám queísi wügǘri richáguati, luágu lafíñen. 
ROM.4.10	¿Ída bugági lerésibirei, lárigiñe lerésibiruni circuncisión ligía ódi lubáragiñe? Máma lárigiñe, lubáragiñe. 
ROM.4.11	Lárigiñe larúfuduni Abrahám lafíñen luágu Búngiu, ligía lerésibiruni circuncisión queísi seíni luágu resíbi láali lan Búngiu queísi wügǘri richáguati ladǘga lafíñen luágu. Ítara líña gíñe liábin Abrahám lun jáguchibei lan sun ja afíñebaña luágu Búngiu merésibirunga circuncisión, áni resíbi lumútiña gíñe Búngiu ítara queísi richáguatiña. 
ROM.4.12	Jáguchi gíñe ja resíbi jamáalibei circuncisión Abrahám, ja afíñebaña luágu Búngiu queísi lafíñerun Abrahám lúmagiñe lubáragiñé meja lerésibiruni circuncisión.
ROM.4.13	Aríñagatí meja Búngiu lun Abrahám luágu líchugubei lan uboú lun jáu sun linébaanfaangu queísi jalágaante, máma ladǘga lagúnfuliruni Abrahám lilúrudun Búngiu líchugúa dimúrei le lun, ladǘga lafíñerun luágu Búngiu, ába lerésibiruni Búngiu queísi ában wügǘri richáguati. 
ROM.4.14	Lun jamúga já rügǘñanu lan íchugubalin jeménigi luágu jagúnfulirun lúma lilúrudun Búngiu erésibira alágan, málati lubeíti jamúga jafíñerun ja eménigidubaña luágu jafíñen luágu Búngiu lun jerésibiruni. Málati jamúga gíñe dimúrei le líchugubei Búngiu luágu alágan lugúndun lídan linárün cátei, mabáfutiña gürígia lun jagúnfulirun lúma lilúrudun, 
ROM.4.15	barǘrügü lumúti lilúrudun Búngiu ligáñi jawágun gürígia luágu magúnfulirun jamáni. Ánjein le ñí lumuti úa lan lúrudu, úati gíñe dúru luágu ladǘraawagún.
ROM.4.16	Ligía, lun lubeí derégüda lan dimúrei le líchugubei Búngiu lun Abrahám joun sun linébaanfaangu, lúnti méja ábanbei lan edéweejani luágurügüti afíñeni. Mámarügü joúnti ja lábugiñebaña lilúrudun Búngiu le líchugubei joun juríu lídaangiñe Moisés dimúrei ligía, joúnti gíñe sun ja mámabaña juríu áni máma gíñe lábugiñeñanu lúrudu ligía, ába jafíñerun luágu Búngiu queísi lafíñerun Abrahám luágu. 
ROM.4.17	Ligíbugiñe Búngiu, ñǘbinti lubeíti Abrahám lun wáguchibei lan sun wagía le afíñebei luágu Búngiu, queísi taríñagun Lerérun Búngiu. “Adǘga náadibu lun jáguchi ban sarágu mútu.” Gabáfuti Búngiu lun ladǘgüni líra queísi gabáfu lan lun líchugun ibágari joun jiláaña, níjeingüdaleí buri cátei le úagili.
ROM.4.18	Láu sun uá lán yebe eménigini luágu Abrahám lun garaǘ lan ladǘga weíyaali lan, weíya tugúya Sára, afíñeti dán meja le laríñagubei Búngiu lun luágu ítara lúba lan jíbe ladǘgawagun queísi warúguma. Ába lasúseredun ítara lun jáguchibei lan sarágu mútu. 
ROM.4.19	Meféridirun lumúti lafíñen luágu dimúrei le laríñagubei Búngiu lun, láu sún meja yaráfaali lan lun lagúnfulirun san irúmu, áni weíyaaru gíñe Sára lun tagáraüdün. 
ROM.4.20	Maloúguadunti lafíñen luágu dimúrei le laríñagubei Búngiu lun, weíritimáarügüti lafíñen. 
ROM.4.21	Rúti uweíriguni lun Búngiu láu ában ichoúruni le tímatimaati luágu gabáfu lan Búngiu lun ladǘgüni sun le uágubei laríñaga. 
ROM.4.22	Ligía lerésibirunbalin Búngiu queísi wügǘri richáguati, luágu lafíñen.
ROM.4.23	Cátei le, luáguti lerésibiruniña Búngiu gürígia luágu jafíñen, mámarügü luágu Abrahám labǘrüjoúa, 
ROM.4.24	labǘrüjoúña gíñe wawágu. Lugúndun luágu wafíñen, resíbi lumútiwa gíñe Búngiu queísi richáguatiña, wagía le afíñebei luágu le ásaaragüdübalin Wabúreme Jesúsu lídaangiñe oúweni. 
ROM.4.25	Jesúsu le edéregerúabei lun loúnwen luágu wafígoun, ába lásaarun lídaangiñe oúweni lun larúfuduníwa richáguañu ligíbugiñe Búngiu.
ROM.5.1	Queísiti resíbi láadiwa lubeí Búngiu láu wafíñerun luágu, lídaanjadiwa dan lúma, lídaangiñe Wabúreme Jesucrístu. 
ROM.5.2	Ladǘga Crístu, biníwadiwa lubeí láu wafíñen luágu, derégüdagu wáña lídan lareíni Búngiu, áni gúndaatiwa láu eménigini luágu gafáanranbadiwa lan lídan luweírigun Búngiu. 
ROM.5.3	Áni máma rügǘñein líra, gúndaatiwa gíñe lídan wasúfurirun ya uboúagu, lugúndun subúdi wamúti luágu ru lan asúfuriruni gurásu woun, 
ROM.5.4	buídugüda lumúti gurásu wagáburi, áni láu líra, gayára lan weménigidun lun gafánraanbadiwa lan lídan luweírigun Búngiu yágüta siélu. 
ROM.5.5	Áni máburujanbei warǘna lurúma eménigini le, ladǘgübei Búngiu le aríñaga láalibei woun ladǘga línsiñejabu woun. Sandí wamaali línsiñejabu, buíngüda láaru wanígi láu línsiñejabu, láu Sífiri Sándu le rúlaalíbei woun.
ROM.5.6	Ladǘga línsiñejabu Búngiu woun, queí meja le mabáfu wabeí lun wasálbaragun woúngua lídaangiñe figoú le gádaanbaliwa, ába loúnajani Crístu lídan óra le lanúadirubei lun loúnwen wawágu, wagía le gafígounbei. 
ROM.5.7	Máma cátei ménreengunti lun loúnwen ában gürígia jawágu ámu gürígia, ni íbini lueígiñe ában gürígia le buídubei, láu sun níjein lan gürígia gayáraati jamúga loúnwen lueígiñe ában gürígia le buíti le tímatimaati. 
ROM.5.8	Ánjein Búngiu, ába larúfuduni luweírin línsiñejabu woun láu loúnajani Jesucrístu le Liraǘ lun loúnwen wawágu, láu sún meja gafígoungidiwa lan. 
ROM.5.9	Guetóti, láu resíbi láadiwa lan queísi gürígia richáguatiña láu loúnwen Crístu wawágu, choúrutimaati luágu weséfuruba lan lueí ligáñi Búngiu le lúnbei láburujan jawágun gafígountiña lídaanme luwéyuri agúseruni. 
ROM.5.10	Lugúndun ánjein ru lubáliwa Búngiu lídan dan lúmagua láu loúnwen Liraǘ dán meja le láganigídiwa, choúrutimaati luágu lasálbarubadiwa lan le gumúti, luágu Liraǘ le wínwañubei lúma, siélu. 
ROM.5.11	Áni máma rügǘñein cátei le, gúndaatiwa gíñe lúma Búngiu lídoun buri dan le, lídaangiñe Wabúreme Jesucrístu, le ídaangiñebei lídaanjadiwa lan dan lúma Búngiu.
ROM.5.12	Ítara queísi lídaangiñe lán meja ábanrügü wügǘri le gíribei Adán lebélura figoú uboúagun, ába lanǘgüni figoú oúweni lúmagua queísi lafáyeija, ítara líña gíñe joúweguba lubeí sun gürígia lugúndun afígounjatiña súngubei. 
ROM.5.13	Lubáragiñé meja líchuguni Búngiu lilúrudun joun gürígia lídaangiñe Moisés, añájeinjaña méja gürígia afígounjaña uboúagu, láu sun úagili lan lúrudu ligía lun gayáraabei lan jadǘraaguni. 
ROM.5.14	Láu sun líra, lúmagiñe meja lidáani Abrahám darí lúmoun lidáani Moisés, jilátiña gürígia luágu jafígoun láu sun máma lan ladǘga magáambadi jamá jafígounbei queísi ladǘgüni Adán le magáambadibei lun lerérun Búngiu lun. Lueígiñe ában oúbaü, Adán liyáwa Crístu le lúnbei liábin, ladǘga biángubei jagía barǘtiña som cátei joun gürígia.
ROM.5.15	¡Ámuñegueinarügü gíñe cátei le janǘgübei joun gürígia! Barǘti Adán oúweni joun sun gürígia láu lafígounjan, ánjeinti Crístu, barǘti asálbaruni joun sun gürígia, áni weíriti asálbaruni le líchugubei Búngiu láu lareíni woun lídaangiñe Crístu sügǘ láu lifígoun Adán. 
ROM.5.16	Weíriti gíñe le líchugubei asálbaruni sügǘ láu le líchugubei lifígoun Adán woun. Ladǘgarügü ában figoú, chülǘti oúweni joun sun gürígia, ánjeinti ladǘga loúnwen Crístu wawágu, ferúdunawati sun wafígoun le gíbebei, resíbi lumútiwa Búngiu queísi gürígia richáguatiña. 
ROM.5.17	Ánjein gabáfu lubeí oúweni jawágu sun gürígia ladǘga lidúnrun ábanrügü wügǘri—Adán, choúrutimaati luágu sun lan gürígia ja lerésibirubaña Búngiu láu lareíni queísi gürígia richáguatiña, jabíjubei ibágari magúmuchaditi lúma Búngiu, jarúeijaba úara lúma Crístu, ladǘga ábanrügü wügǘri ligía.
ROM.5.18	Ítara queísi líchuguniña Adán sun gürígia lábugiñe lisíadin Búngiu lun joúnwen láu ladǘgüni le áubei magúndan lan, ítara líña gíñe lagídaruniña Crístu gürígia lábugiñegiñe asíadiruni ligía, rúleí ibágari magúmuchaditi joun láu ladǘgüni lugúndan Búngiu lun loúnwen jawágu. 
ROM.5.19	Ladǘga lubeíti lumágaambadi ábanrügü wügǘri, ñǘbintiña sun gürígia lun jafígounjaba lan, ítara méme gíñe, ladǘga lagáambadi ábanrügü wügǘri, gayáraati jayábin sun gürígia lun richágua jamá ligíbugiñe Búngiu.
ROM.5.20	Rúati lilúrudun Moisés woun lun gayáraabei lan wasúbudiruni cátei lan figoúbei. Láu sun gíbe lan figoú uboúagu, weíritimaabei lareíni Búngiu lun lachíbuni sun figoú ligía. 
ROM.5.21	Ítarati queísi gabáfu lán meja figoú lun lanǘgüni oúweni, ítara gíñe gabáfuti lareíni Búngiu lun ladǘgüniña gürígia richágua ligíbugiñe, lúma lun líchugun ibágari magúmuchaditi joun lídaangiñe Wabúreme Jesucrístu.
ROM.6.1	¿Cábati waríñaga? ¿Wasígiruba afígounja lun larúfuduntima Búngiu lídaangiñe lareíni woun? 
ROM.6.2	¡Máma lúba! Wagía, jiláadiwa lun figoú, ¿ída lubáti gayára lan wasígirun afígounja? 
ROM.6.3	¿Ibídiñeti jun luágu láu lan lídan wamá ában lúma Crístu láu wabásterun, queísigubeirügü jamúga lídaañadiwa lan gíñe ában lúma lídan loúnwen, lun mabáfujali lánme figoú wawágu? 
ROM.6.4	Láu wabásterun, queísigubeirügü jamúga bunáwa wamá úara lúma Crístu, áni reídeitiwa jiláñu lun figoú. Queígubeirügü sarágüda láani Wáguchi Búngiu Crístu lídaangiñe oúweni láu luweírin lubáfu, sarágüda láadiwa gíñe lun isérijali lan wabágari.
ROM.6.5	Lugúndun ánjein ñǘbin wabeí lun lídaanbadiwa lan ában lúma Crístu lídan ában oúweni líbe loúnwen, ítara wába gíñe lídan lásaarun lídaangiñe oúweni. 
ROM.6.6	Subúdi wamúti luágu dáwagua lan binádu meja wagáburi lúma Crístu luágu gurúwa lun lagǘnrinchawagún lubáfu figoú lé meja wawágubei, lun merédeediwa lan queísi idámuni esériwida lun figoú queísi wayúbudiri. 
ROM.6.7	Lugúndun le jiláalibei, furíjali lídaangiñe figoú. 
ROM.6.8	Ánjein jiláadiwa lubeí lúma Crístu, gayáraati wafíñerun luágu wabágariduba lan gíñe lúma, 
ROM.6.9	lugúndun subúdi wamúti luágu sará lan Crístu ában weíyaasu lídaangiñe oúweni, moúnwendügǘyaali, mabáfujali oúweni luágu. 
ROM.6.10	Dan le loúnwenbei Crístu, ába lagúmuchaguagüdüni lubáfu figoú lun sun dan, áni ibágari le labágaridubei guetó, lun méme lesériwidun lun Búngiu labágaridei. 
ROM.6.11	Jugúya gíñe, rúgua jumá júngua queísi jiláguaaña lun figoú, áni wínwañu lun jesériwidun lun Búngiu, lídan ában lúma Crístu Jesúsu le Wabúreme.
ROM.6.12	Ligía, mígira jumá lubeí lun gabáfu méme lan figoú juágu, afósuraün lun jadǘgüni luríban jayúmajan. 
ROM.6.13	Míchaagua jumá júngua lun figoú lun layúsuruni júgubu lun cátei wuríbati. Lubáragiñe líra, derégegua jumá júngua lun Búngiu queísi gürígia jiláaña, ábaya jabágaridun, derége jumeí júgubu lun Búngiu lun layúsuruni lun cátei buíti. 
ROM.6.14	Mabáfujalíme figoú juágu, lugúndun mámaadün lábugiñe lilúrudun Búngiu, lábugiñejadün lareíni lun gayára lan jadǘgüni lugúndan.
ROM.6.15	Queísiti máma lubeí lídaangiñe wagúnfulirun lúma lilúrudun Búngiu le líchugubei lun Moisés liábin wasálbarun, lídaangiñe werésibiruni lareíni Búngiu, ¿gayáraati lubeíti wabágaridun lídan figoú ladǘga líra? ¡Siñáti! 
ROM.6.16	¿Ibídiñeti jun luágu le lan únti jíchaagua júngua lun jídin láu le lubeíbei lidámuñadün lan? Gayáraati lubeíti janúadajan cába lan un jíchaagua júngua, lún yebe figoú le íchugubei féridi, o lun lan agáambadi lun Búngiu, le íchugubei ában ibágari richáguati. 
ROM.6.17	Teínqui níña lun Búngiu luágu láu sun lan lidámun jumá meja figoú, guetó jídiña láu ligáburi arúfudajani buíti le jagáambubei, táu sun janígi. 
ROM.6.18	Mámaadün idámuni lun figoú, lidámunjadün Búngiu. 
ROM.6.19	(Nadímurejaña jun láu jémpulu le, le luáguti idámuni lúma labúreme, lúntima gunfaráanda jumánina.) Ítara queí meja lidámun jumá sun luwúyeri figoú, guetó lúnti jiábin lun lidámun jumá buri cátei le buídubei, lun jabágaridun ában ibágari derégeguañu lun Búngiu.
ROM.6.20	Lídan buri meja dan ligíra, dán meja le lidámuñadün lan figoú, mebéreseguntün meja lun jabágaridun ában ibágari buíti ligíbugiñe Búngiu. 
ROM.6.21	¿Ca mejáti cátei buíti lanǘgübeí buri cátei ligía jun le áubei buri nibúsigari jumá guetó? Ni cáta buíti, féridi rügǘñein lanǘga jun. 
ROM.6.22	Ánjeinti guetó, mámaadün lábugiñe lugúmadin figoú, lidámujadün Búngiu, barǘtiti cátei le arúmani tun janígi lúma ibágari magúmuchaditi jun. 
ROM.6.23	Lugúndun oúweni lafáyeijabei figoú, ánjeinti edéweejani le líchugubei Búngiu woun, ibágari le magúmuchaditi ladǘga lídaañadiwa lan ában lúma Wabúreme Jesucrístu.
ROM.7.1	Nidújeñu, jugúya le subúdijabúbei lun lúrudu, subúdi jumáali luágu dán rügǘñein lan wínwangili ában gürígia, ligía lábugiñeñein lan lúrudu. 
ROM.7.2	Quei jamúga, ában wǘri to maríeitu, rúlumutu lúrudu lábun lagúmadijan túmari sun dan le wínwangili lan, ánjein oúwe túmari, boúgudijaru lueí lúrudu le íchugubarun lábugiñe lagúmadijan túmari. 
ROM.7.3	Ánjoun lubeíti agánawa lúma ámu wügǘri sun wínwangili lan túmari, tadǘgüña figoú le gíribei adultériu, ánjein oúwe túmari, gidáaru lábugiñegiñe lúrudu ligía, áni gayáraati tamárieidun lúma ámu wügǘri, madǘgüntu adultériu.
ROM.7.4	Ítara gíñe jugúya, nidújeñu, láu loúnwen Crístu, furíjadün lábugiñegiñe lagúmadijan lilúrudun Moisés queísi wǘri to jiláali túmari, ába tagámaridun ámu. Guetó, lánijadün Crístu, le saráalibei lídaangiñe oúweni, lun gayáraabei lan jesériwidun lun Búngiu le gumúti. 
