MAT.1.1	Bɨ səŋ bɨ̂tà bɨ atsə bɨ Yesu Kristo, yìi mə à lɛ mfɛ̀'ɛ̀ a atsə David, mu Abraham aa mə:
ROM.10.15	Kə̀ m̀bə̂ bə̀ kâ ǹswoŋə aa mə akə mə mbə bɨ tuu waa too aa ɛ? Tso ajàŋə mə bɨ ŋwa'anə mə, “Yə nɨ ajàŋ mə mɨ̀kòrə̀ mə bə̂ bìi mə bɨ zì nɨ̂ ǹtoo yì sɨgɨ̀nə̀ aa mɨ bɔŋ mbə!”
ROM.10.16	Lâ kaa bə̀ bɨ̀tsɨ̀m burə tɨ̌ ntoo yì ǹsɨgɨ̀nə̀ ya kwɛrə̀. Ǹloŋ mə Isaiah à swǒŋ mə, “M̀mà'àmbî, ŋù yìi mə à bìì mə ntoo yìi mə bì'i swoŋə aa à nɨ̂ wò aa ɛ?”
ROM.10.17	Ma mùu ajàŋ, àbìintɨɨ a yòŋə̀ aa a njɨ̀mə ànnù yìi bɨ yu'u aà, ǹtoo ya mə bɨ yu'u aa ɨ bə aa annù yìi bɨ swoŋə nloŋə Kristo aà.
ROM.10.18	Lâ, mə tɨgə mbetə mə, bo lɛɛ̀ ŋ̀wa'à yu'u aa ɛ? Tsi'ǐ annù nɨ̂ŋkoŋ, bo lɛɛ̀ ǹyu'u, ǹloŋ mə àŋwà'ànə̀ Nwî a swoŋ mə,
ROM.10.18	“Ǹjì yàà ɨ̀ lɛ mfɛ̀'ɛ̀ ŋ̀ghɛɛ bɨ yu'u a ɨdɨgə tsɨ̀mə̀,
ROM.10.18	ǹtoo yàà ɨ ghɛɛ̀ ǹywe'e a nlwì'î m̀bî.”
ROM.10.19	Mə̀ bû m̀betə mə, baIsrael lɛ ŋwa'à naŋsə̀ ǹyu'u aa ɛ? Moses à lɛɛ̀ m̀foo nswoŋ mə,
ROM.10.19	“Mə̀ ka ghɨ̀rə tâ nɨ̀ tɨgə ŋghə'ənə bə̂ bìi kaa bɨ sɨ̀ tɛ'ɛ ŋku'unə mə mbə bɨ ntwoŋə nɨ̂ àtoo aà;
ROM.10.19	mə̀ ka ghɨ̀rə tâ nɨ̀ tɨgə nlwisə nɨ̂ ǹtɔ̀ŋ a nû àtoo yìi mə â tswê ɨ̀jɨ̌ŋtə bə̂ ghu aà.”
ROM.10.20	Isaiah a bû ǹswoŋ tsi'ì nɨ̀tɨ̀ɨ̀ mə,
ROM.10.20	“Bə̀ bìi mə bɨ lɛ ŋkaa wa'à gha ka nlɔɔ aa, bɨ lɛ nyə ghâ;
ROM.10.20	mə̀ lɛ ndɨ̀'ɨ ɨbɨɨnû gha a mbo bə̀ bìi kaa bɨ lɛ sɨ wa'à nɨ̀ gha betə̀ aà.”
ROM.10.21	Lâ a ŋghɛ̀ɛ a nɨ baIsrael, a swoŋ mə, “A ŋgɔ̀ŋ bɨ̀nòò bɨtsɨ̀m, mə lɛ nsàŋtə mbo ma, ntwoŋə nɨ̂ bə̀ bìi mə bɨ lɛ mbə ŋgàŋatɨ̀ɨ atu, ŋkɨɨ nlɨgɨtə nɨ̂ ànnù yìi mə mə̀ lɛ sɨ swoŋə aà.”
ROM.11.1	Mə tɨgə mbetə aà mə a bə mə Nwìŋgɔ̀ŋ à tùù mə̂ bìi bə̂ aa ɛ? Kaa a sɨ̀ maa ajàŋ bə̂! Mə a nɨ̂ ɨ̀tu ɨbɨɨnû gha, mə̀ laa mbə ŋû baIsrael, m̀bə mu Abraham, m̀fɛ'ɛ aa a atsə Benjamin. 
ROM.11.2	Kaa Nwìŋgɔ̀ŋ à burətə̀ bə̂ bìi mə à lɛ ntsɔ'ɔ a mbìi mbìì aa tuù. Nɨ̀ sɨ̌ annù yìi mə àŋwà'ànə̀ Nwî a swoŋ nloŋ ŋgaa Elijah zi aa ɛ? Wa adɨgə àŋwà'ànə̀ mə a ghàà ǹloŋ ajàŋ mə à lɛ nyə̀'ə̀ a mbo Nwì ǹloŋ annù yìi baIsrael ghɨrə aa ɛ? 
ROM.11.3	À lɛ nyə̀'ə̀ ǹswoŋ mə, “M̀mà'àmbî, wa bɨ zwìtə̀ mə ŋgǎŋtoò jo tsɨ̀mə̀. Bo kɨ̀ mə̂ ǹsa'a mɨkentə mɨ mɔ'ɔ mɨ mà'â wò, a tɨ̀gə mburə tsi'ì mə̀ mə̀. Bo kɨɨ̀ m̀bu nlɔ̀ɔ̀ nɨ̂ ǹzwìtə mə̀.”
ROM.11.4	Lâ Nwìŋgɔ̀ŋ à lɛ nkwi'i ghu mbo aa mə akə aa ɛ? À lɛ nswoŋ ghu mbo mə, “Wa mə̀ lə̀ə̀ mə̂ bə̂ ntsù'ù ji sàmbaa bìi mə kaa bɨ burə tɨ̀ aku'utə̌ yaa a nsi baal swɛ̂tə̀ aa a nɨ̂ bâ.”
ROM.11.5	À kɨ mbə a ŋgɨŋ ŋgɨ̀ŋ tsɨtsɔ̀ŋ mə mbùmtə̀ bə̂ ɨ burə ntswe ghu jìi mə Nwì à tsɔ̀'ɔ a njɨ̌m ɨ̀bɔ̀ŋə̂ yi. 
ROM.11.6	Ǹloŋ mə à lɛ ntsɔ'ɔ waa a njɨ̌m ɨbɔ̀ŋə̂ yi, kaa à lɛ ŋwa'a aa a njɨ̀mə̂ ɨ̀fà'à yî tsu mə bo fa'a yòŋə̀, à bə yòŋə̀ aa a njɨ̌m ɨ̀fà'à yìi mə bo fa'a boŋ kaa à sɨ ɨbɔ̀ŋ Nwî bû m̀bə.
ROM.11.7	A tɨgə̀ ǹdɨ'ɨ aa mə kaa baIsrael lɛ wa'a ayoo yìi bo lɛ sɨ lɔ̀ɔ̀ aa yə aa ɛ? Tsi'ǐ annù nɨ̂ŋkoŋə̀, à lɛ ŋkɨ mbə tsi'ì m̀bùmtə̀ jìi mə Nwì à lɛ ntsɔ'ɔ aa mə bɨ lɛ ŋkwɛrə. A mbo àbùgə̀ bə̂, bɨ ghɨrə̀ mɨ̀ntɨɨ̀ myaa tɨɨ̀, 
ROM.11.8	a ajàŋ yìi mə àŋwà'ànə̀ Nwî a swoŋə aa mə,
ROM.11.8	“Nwìŋgɔ̀ŋ à lɛ mfa azwì yìi mə a lɛ mfɨ̀ɨ atu yaa aa a mbo bo,
ROM.11.8	mə tâ mi'ì myaa ka nyə ɨdɨgə kaa wa'à kɨ̀ɨ̀ ǹyə,
ROM.11.8	ɨ̀toŋnə̀ jyaa kɨɨ nyu'u nɨ̂ ɨ̀nnù kaa wa'à kɨ̀ɨ̀ ǹyu'u,
ROM.11.8	ɨ yǐ kɔ'ɔ ywe'e siì.”
ROM.11.9	David à lɛ ŋkɨ nswoŋ mə,
ROM.11.9	“Tâ bɨ̀ ka bentə nɨ bɨ̀mâtaa â bo aa ŋkwokə ghu,
ROM.11.9	ŋ̀kɨɨ ntswetə nɨ̂ waa â bo aa naŋə a ataa
ROM.11.9	a noò yìi bo jɨ mɨkòô myaa aà,
ROM.11.9	tâ bo aa ŋkwantə ŋwòkə̀, tâ ǹjò aa ŋkuu a bàa bo.
ROM.11.10	Tâ bɨ̀ ma'a afə̀'ə̀ a mi'i bo tâ bo tsuu ɨdɨgə bǔ kɨ yə,
ROM.11.10	tâ ǹjɨ̌m jyaa tɨgə nto'o nɨ̂ ŋ̀gɨ'ɨ a ŋgɔ̀ŋ bɨ̀nòò bɨ̂tsɨ̀mə̀.”
ROM.11.11	Mə̀ tɨgə̀ m̀betə nɨ mə bo kwàntə̀ mə̂ aa kwàntə̀ ŋ̀wo nɨ̂ŋkoŋ aa ɛ? Ŋ̀gaŋ, kaa a sɨ̀ maa ajàŋ bə̂! Lâ àjàŋə mə bo fansə annù aa, a baŋnə ŋghɨ̀rə̀ Nwì a yweensə̀ bɨ̀tɨ̀zî Nwî, tǎ tâ baYuda tɨgə ntswe nɨ̂ àghə̀'ə̀nə̀. 
ROM.11.12	M̀bə a bə mə àfǎnsənnù yaa a baŋnə nzì nɨ̂ àfù'ù a mbô m̀bî ǹtsɨ̀m, àdɨ̀gə̀ yìi mə bo wo ghu aa a bâŋnə̀ m̀bə afù'ù bɨ̂tɨ̀zî Nwî, boŋ à sɨ̌ annù yì wè bə mə mbə bɨ bu nlɔ̀gə̀ waa fu bɨtsɨ̀mə̀ aa ɛ?
ROM.11.13	Mə tɨgə ŋghaa tsɨ̂tsɔ̀ŋ aa a mbo bù bɨ̂tɨ̀zî Nwî. Tsi'ì tsǒ ajàŋ mə mə̀ nɨ ŋgàŋntoò Kristo a mbo bɨ̀tɨ̀zî Nwî aa, mə̀ ka ŋɛntə ɨfà'â gha ɨ ghɨ̀rə tâ ɨ̀ tɨnsə, 
ROM.11.14	tǎ tâ bɨ̀lɨ̂m ba baYuda tâ bɨ̀ ka ŋghə'ənə mə̂ m̀bə mə̀ yweensə̀ waa bî mɔ'ɔ aa ɛ? 
ROM.11.15	M̀bə a bə mə ajàŋə mə bɨ lɛ ntuu waa, a lɛ ŋghɨ̀rə mə tâ Nwì bo bɨ̀ m̀bi bu mbòònsə̀ fu, bəə boŋ ajàŋ yìi mə Nwì aa bǔ kwɛrə waa fu aa a ka wa'à tɨ̀gə̀ m̀bə aa tsǒ bo yweenə aa a nɨwo aa ɛ? 
ROM.11.16	M̀bə a bə mə ŋkùgə̀ àbaa yì ǹtsyàmbìì ya yìi mə bɨ fa a mmà'a Nwì ghu aa ɨ̀ laa màŋsə̀ boŋ ŋ̀kyâ àbaa ya ntsɨ̀m ɨ̀ kɨ nlaa maŋsə; m̀bə a kɨ mbə mə mɨ̀ŋgàŋ mɨ ati mɨ laa, boŋ ǹtaa ɨti jya ɨ ka kɨɨ laa. 
ROM.11.17	M̀bə a bə yìi mə bɨ fa'a ntaa ɨti jî mɔ'ɔ a nɨ̂ àtì olive yìi mə a tswe a mûm ǹsòò, m̀fa'a nlɔ̀'ɔ̀sə̀, ŋ̀ghɛɛ nlɔ̀gə̀ ghuu, bìi mə nɨ̀ nɨ ntaa ati olive yìi a tswe a mûm àkò aa, ǹzi ntsugɨsə wa abwarə bo ŋkwerə, mə mbə nɨ̀ tswe nɨ̀ àbwarə wa nɨ̂ àfù'ù olive ya mə a tswe a mûm ǹsòò aa, 
ROM.11.18	nɨ̀ tsuu nû yùù ɨ kɨ ŋee a nu ntaa jyâ. Nɨ̀ tɨ ŋee nû yùù, nɨ̀ zi mə a ghuu aa a bè'è mɨ̂ŋgàŋ mya mbè'è nɨ̂ ghuu, kaa à sɨ bu be'e mbè'è nɨ mɨ̀ŋgàŋ myâ.
ROM.11.19	Nɨ̀ ka kɨ swoŋə nɨ mə, “Bɨ lɛ mfà'a ntaa ɨti jya nlɔ̀'ɔ̀sə̀ aa mə bɨ lɔ̀gə̀ yi'i ɨ zî bansə ghu kwerə.” 
ROM.11.20	À nɨ̂ ànnù nɨ̂ŋkoŋə̀, bɨ lɛ mfààtə̀ waa nlɔ'ɔsə aa nloŋ mə kaa bo lɛ ŋwa'à nɨ̂ àbìintɨɨ tswe aà, lâ m̀bə nɨ̀ kɨ̂ ǹtəə ntɨnsə ntsya aa tsi'ì a njɨ̀mə̂ àbìintɨɨ̀. A ku'ùnə̀ mə tâ nɨ̀ tsuu kɨ tə̀rə̀, nɨ̀ ka ntəə nɨ nɨ̀bɔ'ɔ̀. 
ROM.11.21	Ǹloŋ mə mbə a bə yìi Nwì à lɛ kɨ'ɨ ntaa ɨti mɨ nsoò mi lɨŋ, bəə boŋ, kaa mbə a wa'à ghuu kɨ nlɨŋə.
ROM.11.22	Tâ nɨ̀ naŋsə nyə tâ à laa falà ajàŋ mə àbɔ̀ŋəntɨɨ Nwî bo nɨ̀tsə'ə nɨ Nwî bə aa, nɨ̀tsə'ə nɨ Nwî nɨ ghɛ̀ɛ̀ a nɨ mbo bə̀ bya mə bɨ wò mə̂ aa, lâ àbɔ̀ŋəntɨɨ Nwî a bâŋnə̀ ǹzi nɨ a mbo bù, mə mbə nɨ̀ ghɛɛ nɨ̂ m̀bìì a mûm àbɔ̀ŋəntɨɨ̀ yi. A tsuu la bə boŋ baa kɨɨ fààtə̀ ghuu lɔ̀'ɔ̀sə̀. 
ROM.11.23	A nɨ baYuda, m̀bə bo ma'atə ànnǔ ajàŋ mə bo sɨ Nwî bii aa boŋ baa bǔ lɔ̀gə̀ waa ɨ zǐ bansə fu, ɨ bàŋnə bǔ kwèrə̀ ghuu lɔ̀'ɔ̀sə̀, ǹloŋ mə mbə Nwìŋgɔ̀ŋ à tse bǔ bansə waa fu kwerə, mə mbə a kɔŋə. 
ROM.11.24	M̀bə a bə yìi bɨ lɛ mbàŋnə̀ ŋ̀ghɛɛ mfààtə̀ ghuu a nɨ̂ ɨ̀tì olive tɨ lɨgə a mûm àkò, ǹzi mbansə ŋkwerə a nɨ̂ ɨ̀tì jìi bɨ lɨgə a mûm ǹsòò, ma yû a bə̂ annù yìi mə a tsyanə aa, bəə boŋ a ka fwààtə̀ mə mbə bɨ bû m̀bansə ntaa ɨti jya jìi mə ɨ lo a mûm ǹsòò aa fu.
ROM.11.25	Ànnù nɨ̂ŋkoŋ yì àlə̀ə̀ntə̀ yî mɔ'ɔ a tswe ghu yìi mə mə kɔ̌ŋ mə nɨ̀ zi mbâ bɨlɨ̂m bâ. M̀bə ma yû a kwɛtə̀ ghuu mə tâ nɨ̀ tsuu kɨ wa'atə nɨ a atu bu mə nɨ̀ wì'i ntsyɛ̀sə̀. A bə mə kaa à sɨ̀ baIsrael bɨtsɨ̀m bə mə bɨ tɨ̀ɨ atû bə̂, Nwìŋgɔ̀ŋ à lɛ ŋghɨrə mə tâ bo bî mɔ'ɔ tuu a mbii yu nywe'e aa a noò yìi mə ndùù bɨtɨ̀zî Nwî bìi bɨ tswe nɨ̀ nzi a mbo Nwì aa ɨ kù'ù mə̂. 
ROM.11.26	Maà noò, tâ Nwì à tɨgə nyweensə baIsrael bɨtsɨ̀mə̀, a ajàŋ mə bɨ ŋwa'anə a mûm àŋwà'ànə Nwì aa mə,
ROM.11.26	“Ŋ̀gàŋnywèènsə bə̀ à ka lǒ a nta'a Zion ɨ zì,
ROM.11.26	à ka yǐ fi'isə ànnǔ tɨ bɔ'ɔ̀ Nwî a tɨtɨ̀ɨ bɔɔ bɨ Yakob,
ROM.11.27	“tâ ma yû à bə akàà mə mə̀ ka wàrə̀ bi'ibo a noò yìi mə mə̀ lɔ̀'ɔ̀sə ɨnnù jî bɨ̂ jyaa aà.”
ROM.11.28	A ŋghɛ̀ɛ a nɨ ànnǔ ntoo yì ǹsɨgɨ̀nə̀, bo nɨ ŋgàŋkɨbàà Nwî m̀bɨ'ɨ ŋkwitû ghuu. Ŋ̀ghɛɛ nɨ annǔ ajàŋ mə Nwìŋgɔ̀ŋ à lɛ ntsɔ'ɔ waa, Nwìŋgɔ̀ŋ à kɔ̀ŋə waa tsi'ǐ a nɨ̂ m̀bə̂ ànnù ǹyoŋə a nɨ bɨ̀tà bɨ bɨtaà byaa. 
ROM.11.29	Ǹloŋ mə kaa Nwìŋgɔ̀ŋ à bə fa mɨtəŋnə a mbo bə̀ ɨ kɨɨ twoŋə waa mə bɨ̀ bə bɔɔ̀ bi boŋ kaa mbə a wa'ǎ ntɨɨ̀ yi bû ŋ̀kwensə. 
ROM.11.30	A ŋghɛ̀ɛ a nɨ bù bɨtɨ̀zî Nwî, nɨ̀ lɛ sɨ tɨ̀ɨ atu a mbo Nwì a mbìì, tsɨtɔ̀ŋ, Nwì à kò mə̂ mɨlɨ̀ŋnə̀ ghùù ǹloŋ atɨɨ atu baYuda. 
ROM.11.31	À kɨ mbə ŋgɨ̌ŋ ŋgɨ̀ŋ mə ajàŋ mə Nwìŋgɔ̀ŋ à dɨ̀'ɨ̀ mə̂ ŋko mɨ̀lɨ̀ŋnə̀ yì a mbo bù aa, baYuda aa tɨgə kɨ tɨ̀ɨ atu ghu mbo tsɨtɔ̀ŋ mə mbə Nwì a kɨ̂ ǹtɨgə ŋko mɨlɨ̀ŋnə̀ wàà lɛ. 
ROM.11.32	Ǹloŋ mə Nwìŋgɔ̀ŋ à ghɨ̀rə mə tâ bə̀ bɨ̀tsɨ̀m bə ɨbù'ù a mbô àtɨ̀ɨ atu tǎ tâ yù tɨgə ŋko mɨlɨ̀ŋnə̀ bə̀ bɨtsɨ̀mə̀. 
ROM.11.33	Wɛ bɛì! Wa àfù'ù Nwî bo bɨ̀ mɨ̀tsyɛ̀ mɨ Nwî naŋsə ŋgha'a aà ghà'à! À zî ɨ̀nnù ǹtsya mbô! M̀bə wò a tɔ'ɔtə̀ ǹji'i ɨnnù jìi mə Nwìŋgɔ̀ŋ à ghɨ̀rə aa ɛ? M̀bə a bɨ̂mâŋjǐ bi aa a naŋsə̀ ǹzi wo aa ɛ?
ROM.11.34	“Ɨmɔ̀ɔ̀ntə Mmà'àmbi aa a zi wò aa ɛ?
ROM.11.34	Kə̀ m̀bə a yi aà â dɨ'ɨtə̀ wò aa ɛ?”
ROM.11.35	“Ŋù yìi à lɛɛ̀ m̀fa ayoo ntəŋə yi ghu,
ROM.11.35	mə mbə a kâ ǹlii mə à ka bu bènsə̀ fu aa, à nɨ wò aa ɛ?”
ROM.11.36	Ǹloŋ mə a njoò tsɨ̀m aa â nàŋsə yu, ɨ tsyâ aa ghu mbo mfɛ̀'ɛ̀ ǹtswe, ŋkɨ ntɨgə ntswe aa ghu mbô. Tâ nɨ̀gha'a nɨ̀ tswe ghu mbo nlwì'ì nɨ̂ŋkoŋə̀! Amen.
ROM.12.1	Bɨ̀lɨ̂m bâ àjàŋ yìi mə Nwìŋgɔ̀ŋ a naŋsə ŋko mɨlɨ̀ŋnə̂ yì'inə̀ aa, mə bu'u mbo a mbo bù mə tâ nɨ̀ fa mɨbɨ̀ɨ̀ mɨ nû muu tsi'ì tso njoo mma'a Nwì jìi ɨ tswe ntɨ̀ɨ̀ ǹlaa, Nwìŋgɔ̀ŋ a kɨ̂ m̀beentə aà; a nɨ mânjì yìi mə à kù'ùnə mə boŋ nɨ gha'asə Nwî ghu aà. 
ROM.12.2	Nɨ̀ tsuu ɨnnù juu kɨ ghɨ̀rə yòŋə bə nɨ fɨ̀gə̀ m̀bi ghu bə̂, nɨ̀ ma'atə tâ Nwìŋgɔ̀ŋ à bəŋkə ghuu a ajàŋə mə a kwensə mɨ̂ntɨɨ̀ muu aa, tâ ɨ̀mɔ̀ɔ̀ntə ɨnnù juu ɨ bə jî fiì, tâ nɨ̀ naŋsə nzi annù yìi mə Nwìŋgɔ̀ŋ a lɔ̀ɔ̀ aa, mə à nɨ annù yìi a bɔŋ aa, a beentə̀, a kɨ̂ ŋ̀kɔ'ɔ ntəə aà.
ROM.12.3	Ǹyoŋə a njɨ̌m ɨbɔ̀ŋ yìi mə Nwìŋgɔ̀ŋ ghɨ̀rə a nu mə̀ aa, mə swoŋ a mbo bù yî mɔ̀'ɔ yî mɔ̀'ɔ mə, tâ ŋù tsù à tsuu lǒ lɔ̀gə ɨbɨɨ nû yi ɨ̀ kɔ'ɔnə ntsya ajàŋ yìi yu bə aà. Lâ tâ à baŋnə ŋka ntsyɛsə yi a nzî ŋû yìi yu bɔɔ mbə ghu aa, â ŋù yî mɔ̀'ɔ yî mɔ̀'ɔ, à ka nyoŋə afɨgə̀ àbìintɨɨ yìi mə Nwìŋgɔ̀ŋ à fa ghu mbo aà. 
ROM.12.4	Tsi'ì tsǒ àjàŋ yìi mə mbɨ̀ɨ̀nu yì m̀fùùrə̀ ɨ̀ tswe nɨ̂ ɨ̀dɨgə nu nnɔ̀ɔ̀ aa, kaa ɨdɨgə nu jya ɨ wa'à nɨ̂ ɨ̀fà'à yî fùùrə̀ kɨɨ mfa'a aa, 
ROM.12.5	à kɨ mbə ŋgɨ̌ŋ gɨ̀ŋ mə ka mə bì'inə̀ nɨ nnɔ̀ɔ̀ aa, bì'inə̀ nɨ̂ m̀bɨ̀ɨ̀nu yì m̀fùùrə̀ a mum Kristo ŋkɨ ntsugɨnə a nu bì'inə̀ nɨ bì'inə̀ tsi'ì tsǒ ɨ̀dɨ̀gə nu mbɨ̀ɨ̀nu yì m̀fùùrə̀.
ROM.12.6	Àjàŋ mə Nwìŋgɔ̀ŋ à fa mɨ̀tə̀ŋnə̀ a atu atu a mbo bì'inə̀, a njɨ̌m ɨ̀bɔ̀ŋə̂ yi aa, tâ bì'inə̀ aa mfa'a nɨ mu. M̀bə a bə a ŋka nyu'ù ǹtoò Nwì ŋ̀kɛ'ɛnə, bì'inə̀ aà ŋ̀ghɨrə nyòŋə̀ nɨ àbìintɨɨ yìi bì'inə̀ tswe nɨ yu aà. 
ROM.12.7	Bɛɛ a bə a ŋka mfà'a, bì'inə̀ fa'à, a bə a ŋka ndɨ̀'ɨ̂nnù, bì'inə̀ dɨ'ɨ̀. 
ROM.12.8	Bɛɛ mə a bə a ndɨ̀ɨ̀ntə bə̀ nɨ̂ àdɨ'ɨtə̀, bì'inə̀ dɨɨntə̀. Ŋù yìi mə a fa njoo a mbo bə̀ aa, tâ à ka ŋa'atə abô. Ŋù yìi mə à nɨ ntsyàsə̀ bə̀ aa, tâ à ka mfa'a nɨ̂ ǹtɨɨ̀ yi tsɨ̀mə̀, ŋù yìi mə a ghɨ̀rə ɨnnù jî sɨgɨ̀nə̀ a nu bə̀ aa, tâ à ka ŋghɨrə nɨ nɨ̀dorə̀.
ROM.12.9	Tâ àkɔ̀ŋə̂ yuu tâ à bə yi annù nɨ̂ŋkoŋə̀. Nɨ̀ ka ŋkhə ɨnnù jî bɨ̂, m̀baŋnə ntswa ɨnnu jî sɨgɨnə̀ ŋ̀kwo ghu. 
ROM.12.10	Nɨ̀ ka ŋkɔŋnə ghuu bu nɨ bù nɨ̂ àkɔ̀ŋnə̌ bɔɔ bɨ Kristo yî tɨ̀nsə̀. Nɨ̀ ka ŋgha'asə bɨlɨ̂m buu ntsya ajàŋ yìi mə bo gha'asə ghuu aà. 
ROM.12.11	Nɨ̀ tsuu kɨ bɔrɨkə bə̂, tâ Àzwì aa ŋkhɨ a ntɨɨ bù â nɨ̀ aa mfa'a nɨ̂tɨ̀ɨ̀. Ŋ̀ka mfa'a nɨ̂ ɨ̀fà'a Mmà'àmbi nɨ̀ ǹtɨɨ̀ ghuu tsɨ̀mə̀. 
ROM.12.12	Tâ nɨ̀ aa ndorɨtə nloŋ annù yìi nɨ bɛ aa, ŋka ntswa mɨ̂ntɨɨ̀ muu a noò ŋ̀gɨ'ɨ, ŋ̀ka ntsa'atə Nwîŋgɔ̀ŋ a ŋgɔ̀ŋ bɨ̀nòò bɨ̂tsɨ̀mə̀. 
ROM.12.13	Tâ nɨ̀ ka mfa njoo a mbo bə̀ bɨ Nwî bìi àyaa a boŋə aa, ŋkɨɨ ŋkwɛrə nɨ bɨ̀gɨ̀ɨ̀ a mɨla'a bù. 
ROM.12.14	Tâ nɨ̀ ka nnɨŋ mbɔɔnə a nu bə̀ bìi bɨ tsɔ'ɔ akòrə̂ yuu aa, ǹtsee bə̂ ǹdɔ̀ɔ̀ a atu bo kɨ nɨŋə. 
ROM.12.15	Nɨ̀ ka ndorɨtə bu bɨ̀ bə̀ bìi bɨ dorɨtə aa, ŋkɨɨ nyə'ə bu bɨ̀ bə̀ bìi bɨ yə̀'ə̀ aà. 
ROM.12.16	Nɨ̀ tswe nɨ̂ àmɔ̀ɔ̀ntə̀ yî fùùrə̀ bù nɨ bù. Nɨ̀ tsuu nu kɨ ŋee, mbaŋnə ŋka nsɨgɨtə nɨ̂ nû yùù a nsyɛ ntswe bu bɨ̀ bə̀ bî kə̀gə̂, ǹtsuu kɨ tə̀rə̀. 
ROM.12.17	Nɨ̀ tsuu annù yî bɨ a atû ànnù yî bɨ kwi'inə. Nɨ̀ ka ŋgaansə mɨtɨ̀ɨ̂ muu ŋka ŋghɨrə annù yìi mə bə̀ bɨtsɨ̀m beentə aà. 
ROM.12.18	Nɨ̀ ka ŋghɨrə ŋgɔ̀ŋ ɨnnǚ tsɨ̀m a nɨ yùu mbɛ̀ɛ̀ a nyə mə nɨ̀ tswe nɨ̂ m̀bɔɔnə bu bɨ̀ bə̀ bɨ̀tsɨ̀mə̀. 
ROM.12.19	Bɨ̀sû bâ bìi mə̀ kɔ̀ŋə aà, nɨ̀ tsuu annù yî bɨ a atû ànnù yî bɨ kwi'inə, nɨ̀ baŋnə mmà'àtə ɨsa'a bə a mbo àlwintɔŋə Nwî, nloŋ mə àŋwà'ànə̀ Nwî a swoŋ mə, “M̀mà'àmbî à swoŋ mə, ‘àwi'ì nɨkɔ̀ŋ à nɨ̂ ànnû yâ, mə̀ aa kwi'inə.’”
ROM.12.20	“M̀bə ǹjì ka nyaŋə kàŋkɨ̀bàâ ghò, ò fa mɨ̀jɨ ghu mbô, bɛɛ mə ntɨɨ̀ yi ɨ yoo, ò fa ŋ̀kì ghu mbo tâ à no. Ma mùu ajàŋ boŋ ɨ̀bɔ̀ŋə̂ gho wa ɨ ka tsyà yi,”
ROM.12.21	Nɨ̀ tsuu mà'àtə̀ mə tâ ɨ̀nnù ji bɨ ka ŋgha'a ghuu bə̂, nɨ̀ baŋnə ŋka ŋgha'a ɨnnù jì bɨ nɨ̀ ɨ̀bɔ̀ŋə̀.
ROM.13.1	Tâ ŋù ǹtsɨ̀m à yə mə yu yu'unə bɨsa'a bɨ ala'à bìi mə bɨ tswe nɨ̂ àdà'à a atu bù aà, ǹloŋ mə kaa ǹsa'à àla'a yì tsù à sɨ̀ ghu tswê tɨ ghə̂ mə a lə̀ə Nwì. Bìi bɨ tswe ghu tsɨ̂tsɔ̀ŋ aa, a waa a aləŋə aa a tswèsə Nwì. 
ROM.13.2	Ma mùu ajàŋ, ŋù yìi mə a swùŋnə̀ bo bɨ̀ bɨ̀sa'a bɨ ala'a aa, a swùŋnə̀ aa bo bɨ̀ ànnù yìi mə Nwì à tàŋtə nlə̀ə̀. Bə̀ bìi mə bɨ swùŋnə̀ bo bo aa, baa nɨŋ njo Nwi a abaa bo. 
ROM.13.3	Ǹloŋ mə kaa bɨ̀sa'a bɨla'a bɨ sɨ aa nɨ̀ nɨ̀bɔ'ɔ a nu ŋù yìi mə a ghɨ̀rə annu yî sɨgɨ̀nə̀ aa zì, bɨ bàŋnə̀ ǹzi nɨ nɨ̀bɔ'ɔ aa a nu ŋù yìi a ghɨ̀rə ɨbɨ aà. Nɨ kɔ̀ŋ mə kaa nɨ̀ aa wa'a nsa'à àla'a ka mbɔ'ɔ aa ɛ? Nɨ̀ kâ ŋ̀ghɨrə ɨnnù jî sɨgɨ̀nə̀ boŋ à ka beentə ghuu. 
ROM.13.4	Ǹloŋ mə à laa mbə ŋgàŋàfà'a Nwì mə a fà'à aa nloŋ aà ɨ̀bɔ̀ŋə̂ ghuu. Lâ m̀bə nɨ̀ ka ŋghɨrə ɨbɨ, nɨ̀ kâ m̀bɔ'ɔ. Ǹloŋ mə, àdà'à yìi à tswe nɨ yu aa, kaa sɨ̀ yi adàŋə̀ àdàŋə̀ bə̂. À laa mbə ŋgàŋàfà'a Nwì a nɨŋ njo Nwì a mûm àbàà bə̀ bìi bɨ ghɨ̀rə ɨnnù jî bɨ aà. 
ROM.13.5	A ku'ùnə̀ mə tâ ŋù à ka nyu'unə waa ta khə alwintɔŋə Nwî. Ta tâ ǹtɨɨ̀ yi tsuu nii kɨ sa'a.
ROM.13.6	À kɨ mbə nji'ì ànnù yìi mə a ku'unə mə tâ nɨ̀ ka ntwu bɨ̂taksì ghu aà. Ǹloŋ mə bə̀ bìi bɨ lèntə annù ma yû aà, à naa mbə ŋgǎŋfà'a Nwî mə à lə̀ə mə tâ bɨ̀ ka nlentə. 
