GEN.1.1	Lo yaþoodat Luwah ndah dørãg kï døning.
JOB.14.18	Mbang i kïkør ko loràat.
JOB.14.19	Man nda mbal ad ur bulo,
JOB.14.19	man kõ øi bu døning kø
JOB.14.19	Titbe tø la i nujïn kamkïndahdøt lo de ho ye.
JOB.14.20	I teeta ðøø kïndøgndøg ad tøi kø.
JOB.14.20	I mbeltakuma, i tuþaa kø.
JOB.14.21	Ngana kïdïngã ngahn køsïgon na ger al,
JOB.14.21	În nya kïkid na ndï dai døt.
JOB.14.22	De ger kamkil kam dãront î kïþe,
JOB.14.22	Hø ndo kïta ron koon.
JOB.15.1	Kamla Elipaj de kï Teman tur el an: 
JOB.15.2	De kï ngeterr a turta kï nyager kï pãbe.
JOB.15.2	Ke a ad kamïn sir kï nel kïloþakàdt a?
JOB.15.3	Sumba kad gak kï tag kïpãbe
JOB.15.3	Ke eltag în a teen kï nya mad kïmaj al a?
JOB.15.4	Rota, i ndï tuj þool Luwah,
JOB.15.4	I ndï øg kelta kï Luwah.
JOB.15.5	Ðagootal loi ndï ndoo tai kelta
JOB.15.5	Na i un ndon ngekelta kïlo ndokumt.
JOB.15.6	Ta kïtait gangta døit i mî al
JOB.15.6	Ta kï tee tait to la manaj ndoorïn ye.
JOB.15.7	Oojïn kete nõ ndeg degt tube
JOB.15.7	Ke i tee dasa nõ doorlogt a?
JOB.15.8	I oo dø køjta kokïro Luwaht a?
JOB.15.8	I oo roi ngeterrt in kï kïðaibe e?
JOB.15.9	Nya kï i ger, na kï ger al i ði a?
JOB.15.9	Nya ði i ger gira hã, na kï ger gira al tø a?
JOB.15.10	Deg kï bisïdød nda kï bïgag în danjt ne.
JOB.15.10	Tujoo þald tøi þal bøwi.
JOB.15.11	Sølkamg lo Luwah'n nya kï tëbe rolt
JOB.15.11	Kï tag kïsølsøl îgïn oo dø nõ a?
JOB.15.12	Kïtøði ngarkami ndï gooli a?
JOB.15.12	Kïtøði i ndan kumi sepsep a?
JOB.15.13	Mbã i ndoor Luwah kï wong loi
JOB.15.13	Na i nya ad tag kï titbe teen tait.
JOB.15.14	De i ði kad i kïkar nyang a?
JOB.15.14	De'n dekïdë ooja asï tel kïdenesew a?
JOB.15.15	Kïjaþatg lo Luwah kaa ne Luwah þakuld al,
JOB.15.15	Dørãg kïdõ în kïjajoi ta kumat al tø.
JOB.15.16	Yela de kïyerr kï kindum,
JOB.15.16	De'n ãi ðagootal tit man be.
JOB.15.17	Oo dø ndim, m'a m'øji nya 'nten.
JOB.15.17	M'a m'ørri hoi nya'n m'oo kete.
JOB.15.18	Nya'n deg kï ngeterr elïn taa,
JOB.15.18	Oon kokïro kadgt na yan døa al.
JOB.15.19	În kïkïðadbe la døning i lod.
JOB.15.19	Mbah mad kï and kudt goto.
JOB.15.20	Ndø ndï kï dø dõ tube lo ngeða majal i jarobãi,
JOB.15.20	De kï ngeða nya kïlo ngetøgt þala i titbe tø.
JOB.15.21	Ndita kï ad de þool ko mbiat
JOB.15.21	Ndø ndï kï lapia lo ngetujnya a so døat.
JOB.15.22	Øj kamïnt an: N'a n'tee lo kïdiwt al
JOB.15.22	Na oo kiyaðøø ndï ngooa.
JOB.15.23	Aw kï lo kïdangdang kïta sah nyasa, el an:
JOB.15.23	I ðah a? Ger ndo kïdiwtil i nderrbe.
JOB.15.24	Kamkøl kï jarobãi ndaa þoolt.
JOB.15.24	Dumïn døa tit ngar'n ða ron woi kïta ðøø.
JOB.15.25	Kïtø un jin kïdõ ndoorïn Luwah
JOB.15.25	Na ta ðøø Ngetøgtube.
JOB.15.26	Ãin ngod kïdøat kï døngang
JOB.15.26	Kï der lon kïnder ngãi jint.
JOB.15.27	Mboola ut takuma.
JOB.15.27	Mboola øi girrkama dirir.
JOB.15.28	Ndï þebogt kï tujïn kï kujg kï deg ndmt al,
JOB.15.28	Nãi nderrbe kad tujïn kø.
JOB.15.29	A i ngenyamajg al nyangah loa a tokïnõt al,
JOB.15.29	Nyakagþe loa a to mbuj døningt al tø.
JOB.15.30	A tee lo kïdiwt al, horr a oon døjiag,
JOB.15.30	Nel ørr kø kïtaat kø.
JOB.15.31	Ot kad þakul nya kïpãbe,
JOB.15.31	ndï gool ron ta gool
JOB.15.31	Kïtø nya kïpãbe a i nyabajia.
JOB.15.32	Døboia a ðe kete nõ kaglot loa
JOB.15.32	Døjia a ba kïmbool al.
JOB.15.33	A i tit dînduu'n ye kandïn kïmbuj al þaitø,
JOB.15.33	Tit kï kag olibie'n huta ur.
JOB.15.34	Kïtø kawna lo deg îgïn mbetïn
JOB.15.34	Luwah a tee kï kand kïmaj al,
JOB.15.34	Na horr a oon londï ngekad nya kutdø ta.
JOB.15.35	Ndamïn ðagootal na oojïn ndang,
JOB.15.35	Ngarkamd ndï ðago ndokum.
JOB.16.1	Kamla Job tur el an: 
JOB.16.2	Nja natnatbe m'oo dø tag kïtitbe.
JOB.16.2	În tube'n ngesølkam kï søkï wong.
JOB.16.3	Døboi tag kïkel kï nel to nõ oo?
JOB.16.3	Ta ði õ kami ad i turïm ta kitibe a?
JOB.16.4	Mî tø m'asï kelta tit'n be îla i ndin gotïmt.
JOB.16.4	M'asï koi tag kïdøsït ho,
JOB.16.4	Na kï m'ga døm misïmisï kïdøsït
JOB.16.5	M'a m'adsï ngang kï ta kïtamt,
JOB.16.5	Na ta sølkam kïtamt a ørr kamkil losï.
JOB.16.6	Îla m'elta ka a kamkil lom a tïga al,
JOB.16.6	Îla m'ndï tam mbo a ne, a ørra kø a?
JOB.16.7	Tajigla Luwah ad tøgïm goto,
JOB.16.7	Tuj ngékïþe lom tube.
JOB.16.8	Ad dãrom ngïra njakt njakti kïnat, manaj ndoorm,
JOB.16.8	Rom kinyem to tïga wakïsï takummt.
JOB.16.9	Tilm jengjeng na tuþa gom kï wong lon kïtalsøkïr,
JOB.16.9	Ngor ngangïn morrmorr dømt, ta
JOB.16.9	kum madngetam ða dømt soo.
JOB.16.10	Teen gan tad kïdømt, ndan køtïm tajmïn ne,
JOB.16.10	Ndan rod nat tube kïta ndoormïm.
JOB.16.11	Luwah lam ji ngeða nya kïgo lo Luwaht al.
JOB.16.11	Øsï lam ji ngéðamajalgt.
JOB.16.12	M'ndï lom na teetm ðelðel, hø køm ndam ningt
JOB.16.12	Dudïm rumrum ad mî nyanã jikat loa.
JOB.16.13	Ngekurkïrãg loa gugïn døm gej,
JOB.16.13	Øsïn urïm mbutïn kanj kokumto
JOB.16.13	ndo ad kedmanm ü ningt.
JOB.16.14	Adïm do kïdø døt,
JOB.16.14	ãi ngod kï dømt tit gõðøø be.
JOB.16.15	M'ur kub høndo m'la romt.
JOB.16.15	M'ndubir døm kam but.
JOB.16.16	Nõ tuj kumm,
JOB.16.16	ndil koi hø ndarkumm.
JOB.16.17	Be kaa nyaða kïlo ngetøgt goto romt,
JOB.16.17	Ta lom kï m'el kï Luwah i kïjajoi
JOB.16.18	A, døning, ot kut dø mosïm,
JOB.16.18	I ad nõ lom ngah lo taakò al tø.
JOB.16.19	Tajigla kaa oo mî kï ngemanaj lom kam dørãt nõ.
JOB.16.19	Ngeða ta lom i nu kam logt kï tøitøi kïdõ.
JOB.16.20	Madkïðamg ølmïn m'kø kïdø
JOB.16.20	Luwaht kï mankumm.
JOB.16.21	Kïtøkad ða kï de dø tat nõ Luwaht.
JOB.16.21	Tit'n de a ðan kï madþen.
JOB.16.22	Kïtø kør þal ndim kïdødõ nãi ngãi al
JOB.16.22	Na m'a m'aw kï ðob'n m'a m'tel m'ret gog al.
JOB.17.1	Køm ndï tee, ndømg ndï tïgan,
JOB.17.1	døþad ndï ngom kereng.
JOB.17.2	Rota, ngekølïm gugïn døm gej,
JOB.17.2	Kumm ða kïdø nyatajt lod.
JOB.17.3	Un ta lom kïdøit tînan nya kï roit î kïþe,
JOB.17.3	Be al a ne, nõ a elta lom a?
JOB.17.4	I ut hankald kø dø gergirrnyat,
JOB.17.4	Kïtø 'nten a i nya ad'd tetïn al.
JOB.17.5	De'n un dø namïng kad n'ngahn nya a ne,
JOB.17.5	Kum nganag a tø.
JOB.17.6	M'tel nya go kïro degt,
JOB.17.6	Kï de kïdangt'n deg a tiwin horr takummt.
JOB.17.7	Kumm meh kïta kamkil.
JOB.17.7	Nganromg tube ton tit ndilnya be.
JOB.17.8	Ta a ya deg kïdenesew
JOB.17.8	Na de kï ta goto døat þai ndoor de kï mbet Luwah.
JOB.17.9	De kïdenesew hø ron ngang kam ðobt lon,
JOB.17.9	De'n jia i kïkar nyang a ne, a ngah tøg kïdøtdøt.
JOB.17.10	Na în tube, i tel ðen
JOB.17.10	Na m'a m'ngah de kï ngeterr kïða kusït al.
JOB.17.11	Ndømg tøin woi køjtaðag lom nujïn,
JOB.17.11	Tujïn nyag kï kamm ndig.
JOB.17.12	Elïn anan: Kondø i kada, kàda i kondø.
JOB.17.12	Elïn anan: Kunj i nderrbe, lon i kondø þaitø.
JOB.17.13	Londï kï m'nda kamm døt i lo kï Koo,
JOB.17.13	M'a m'nda tïra tom kam lo kïdiwt.
JOB.17.14	M'el døþad m'an: În bøwm,
JOB.17.14	M'el kïdeg m'an: În kõmg kï kõnanmg.
JOB.17.15	I titbe a ne, nya ndahkamdøt lom i ðah?
JOB.17.15	Nyandahkamdøt lom ye nõ a oo a
JOB.17.16	A ðisï kï tabitg kï Koo
JOB.17.16	Lon j'a j'awïn nat lo taakòt kam buningt.
JOB.18.1	Kamla Bildad, de kï Suah,
JOB.18.1	un ta kï tant tur an:
JOB.18.2	Ðingãt ta losï a tïga a?
JOB.18.2	I gan kamsï døt kamla j'a j'elta.
JOB.18.3	Kïtøði oojïn tit dãg be a?
JOB.18.3	Kïtøði nøljïn tit deg kï kurdød goto a?
JOB.18.4	A, î kï i til roi hawhaw kï wong kï tøli søkir ye
JOB.18.4	Kïtatøi la døning a tujïn a?
JOB.18.4	Ke a ørrïn mbal kø loðat kïtatøi a?
JOB.18.5	Kunj lo ngeðamajal a oi.
JOB.18.5	Ndõhorr loa a nya ta kunjïn.
JOB.18.6	Kunj a diw til kam kujkubt loa.
JOB.18.6	Lamba kï ndï døat a oi,
JOB.18.7	Ndia loa kï tøga tel søl.
JOB.18.7	Køjtaðag loa kïkøsïsïdøa gaa gigt.
JOB.18.8	Kïtø njaa laa kam bandt
JOB.18.8	na ndia dø gumt.
JOB.18.9	Gum hø gidnjaa
JOB.18.9	na band þinda.
JOB.18.10	Yan ro kïla girr ningt kï gum dø
JOB.18.10	ðobt kïta høan.
JOB.18.11	Lo kïðen nya kïkootþool a
JOB.18.11	ad kï ngasa gaa,
JOB.18.11	A tuþa go njaa.
JOB.18.12	Lo ta tøga,
JOB.18.12	dangt ða kadat.
JOB.18.13	Yokoosï tuj ndar roa,
JOB.18.13	ngonderr koi sa nganroa mak.
JOB.18.14	Ørrïna kø kujkubt loa
JOB.18.14	Lo'n oo an: Ndit kï lapia,
JOB.18.14	Awïn sia ro ngart kïkootþool.
JOB.18.15	Nya kï i loa al ndï kujkubt loa,
JOB.18.15	Un supïr londït loa.
JOB.18.16	Ngïra kïningt ndï tut,
JOB.18.16	døjiag kï dõ ndulo mbaw,
JOB.18.17	Deg kïdøningt ne gan kamd døat gog al,
JOB.18.17	Toa goto kam duniat.
JOB.18.18	Tuþana ko kam kunjt,
JOB.18.18	lana kam tilt. Tuþana kam duniat.
JOB.18.19	Ngonkaa ke koah goto ku degt loa,
JOB.18.19	Ngéndï kïdø dõ kïða kaa goto kam londït loa.
JOB.18.20	Ta ya deg kïlokudkàdt dø nujt loa
JOB.18.20	Þool ða deg kïloþakàdt tø.
JOB.18.21	Rota, londï ngeðamajal i titbe,
JOB.18.21	Londï de kï ger Luwah al i titbe tø ho.
JOB.19.1	Kamla Job tur an:
JOB.19.2	Mbã ndø bãi a i nyan ta søkïm al
JOB.19.2	Kï tetmïm ðelðel kï tag losï a?
JOB.19.3	Oon, nja kïlah i lan rosøl dømt,
JOB.19.3	I ðan sem nya kïmajal na rosï sølsï døt ale?
JOB.19.4	Îla rota, m'ða majal a ne,
JOB.19.4	Majal lom a to dømt mî kïþe,
JOB.19.5	Na îgïn, în ngehit rosï,
JOB.19.5	I ndoormïm, i ndangmïn, lan ne rosøl dømt.
JOB.19.6	Maj kad i gerïn. Luwah øsï lam
JOB.19.6	Na la band lon gugïn døm.
JOB.19.7	Oon, m'ko kïta nyaða kïlo ngetøgt na de turïm al,
JOB.19.7	M'ko kad ðan sem na nyaða kïdenesew goto.
JOB.19.8	Nda bør utïn ta ðobm, m'asï tøi al,
JOB.19.8	La til dø ðobgt lom.
JOB.19.9	Ørr tøko lom,
JOB.19.9	ørr jøg kïmaj dømt kø.
JOB.19.10	Nda kadïm kïðen teet ad tøgïm goto,
JOB.19.10	Ørr kamkïndahdøt lom rup tit kag kïkørr kï ngïrag be.
JOB.19.11	Þawong kïtïngabil dømt,
JOB.19.11	oom tit madngetan be.
JOB.19.12	Þut ngéðøø loa ndan rod nat,
JOB.19.12	Ðan ðob lod mbã teen romt.
JOB.19.12	Ndan gong gugïn dø kujkub lom.
JOB.19.13	Øsïn ngankomg ko romt sãi
JOB.19.13	Na ad kam nammg oi dømt.
JOB.19.14	Noojïmg'n în nderrbe sem ye ãin na tube
JOB.19.14	madndiamg kamd oi døm ad ðan sem al.
JOB.19.15	Mbahg kïkam kujt lom, kamd oi dømt
JOB.19.15	Þerg lom kïdë omin tit nyakor be, mî mbah rodt.
JOB.19.16	M'kun ngekïlaþer lom na turïm al,
JOB.19.16	Kari na m'koa kï tam.
JOB.19.17	Ko kïtamt i nya kïyerr ro nëmt
JOB.19.17	Baim ot majal kïro ngankomgt.
JOB.19.18	Ngan kïdug kaa kidmïn,
JOB.19.18	Lon m'þai dõ ye gon dømt.
JOB.19.19	Nammg kijeje omin nya kïyerrt,
JOB.19.19	Îgïn m'tard turïn gid'd admïn.
JOB.19.20	Kïngam tïnyan'na kï ndarm kï danm
JOB.19.20	Lo gang lam kamla m'aj.
JOB.19.21	Oon kumtondo lom, oon kumtondo lom în nammg,
JOB.19.21	Kïtø ji Luwah ndam.
JOB.19.22	Kïtøði i ðan ne rom ndo tit Luwah kïdõ a?
JOB.19.22	Dãrom kïtuj nõ asï'si ale?
JOB.19.23	A, m'ndig kad ndàngin tag lom,
JOB.19.23	A, kad ndangïnd kam maktubt mad.
JOB.19.24	A, m'ndig kad jand kï hand dø mbalt,
JOB.19.24	Mbelïn nar plomb kïlë tit kad ton kïnõt.
JOB.19.25	Na m'ger Ngebadøm ndï kï døn dõ,
JOB.19.25	Ndø kïdøboit a ða dõ dø døningt.
JOB.19.26	Got'n dãrom tuj ko ke kï kanj dãrom
JOB.19.26	M'a m'oo Luwah.
JOB.19.27	M'a m'ooa mî kïdøm, kumm a ooa a i mbah al.
JOB.19.27	Kamm oi siw dø ngooat kerengë.
JOB.19.28	Lon a elïn anan: Kïtøði kï da roa ndo a?
JOB.19.28	Tit'n oon ne girrta i kammt.
JOB.19.29	Maj kad i þoolïn kiyaðøø kïta wong
JOB.19.29	a tee kï ndakøj lo kiyaðøø
JOB.19.29	Kad i gerïn ne takïgang i nõ.
JOB.20.1	Jopar, de kï Naama tur an:
JOB.20.2	Tagah ðam ad m'turta
JOB.20.2	kï to ta kïkammt asïm.
JOB.20.3	M'oo dø ta kïmajal'n adïm rosøl
JOB.20.3	Na kokam gergirrnyat lom ndil mad turïm an:
JOB.20.4	I ger ale? Kaglog tube lon Luwah
JOB.20.4	ndah'n de dø døningt
JOB.20.5	Buro kiga lo deg kï ngeðamjal aw sãi al
JOB.20.5	Ronel lo ngembet Luwah i kïta kaglo kïtëbe.
JOB.20.6	Ke neni ngala aw mbã tee dørãt dõ,
JOB.20.6	Ad døa ød kilndiig,
JOB.20.7	A nuj kø mbãkïnõt tit kî loa kïkøsïdøa be,
JOB.20.7	Îgïn ona a elïn anan: I ðah a?
JOB.20.8	A þai aw tit ni be na a ngahna al
JOB.20.8	A nyenmir ko tit nyakookamndilt kindo.
JOB.20.9	Kum kï ngekoa maði a oa gog al,
JOB.20.9	Londï loa a oa gog al ta.
JOB.20.10	Ngana a kon ngendog kad ðan sed maj
JOB.20.10	A tel ad deg nyamajg lon kï jin.
JOB.20.11	Kïngaroa kï basaat ðoosï kï ngang,
JOB.20.11	Kaa a ton ber nat sia kam buningt.
JOB.20.12	Kam ta det kï ngeðamajal
JOB.20.12	Majal kïða neltaat tit nya kï nyik be,
JOB.20.12	na yaro girr ndõnt,
JOB.20.13	Ngom majal nõ na ndig nyakø al,
JOB.20.13	na ngoma kam tant.
JOB.20.14	Nyasa kïkam tiat ndum,
JOB.20.14	tel titwong li kamat.
JOB.20.15	Ur nyamajg kamïnt na tel tomd kø
JOB.20.15	Luwah la ørr nyamajg'n non kamat ye.
JOB.20.16	Njiw wong li pir
JOB.20.16	na ndõn li nga ndam a tøla.
JOB.20.17	A la kumïn dø bahgt al,
JOB.20.17	bahg kï nün kï mbà
JOB.20.18	A tel ad nya'n ngah lo kïlat lon,
JOB.20.18	a ød tant al.
JOB.20.18	A tel ad nyamajg tube'n kaw kï
JOB.20.18	nat na a ngah ronel kamt al.
JOB.20.19	Kïtø ða ta kon ngendog, nyad kø,
JOB.20.19	Kuj'n ða al, taa kïlo ngetøgt.
JOB.20.20	Kumnda loa døboia goto
JOB.20.20	Na ku nyangahgt loa tube a ngonïm
JOB.20.20	nya kïða kamt al.
JOB.20.21	Nya mad kï ãi toi nyurkõ loa goto,
JOB.20.21	Kïtø 'nten nyamajg loa a ton køk al.
JOB.20.22	Kam nyangaht loa kïngãi a i dan kamkølt
JOB.20.22	Ji deg kïdangt tube a son døat.
JOB.20.23	Lon ndig ndan kamïn a ne,
JOB.20.23	Luwah a la wong kïtalsøkïr døat,
JOB.20.23	Ad ðe døat tit ndï be lon ndï sa nya.
JOB.20.24	Îla ãi ta nyakat kïhand a ne,
JOB.20.24	Kïrã ningakasï a urr mbuta.
JOB.20.25	Ørr kïrã'n non ront kø,
JOB.20.25	Takata kïndulo ngëingëi øsï ura tee
JOB.20.25	Þool koi ðe døat.
JOB.20.26	Ngonïmin til kï diw kirir ad i nya ngah loa,
JOB.20.26	Horr'n de ða al a õa mugj,
JOB.20.26	A oon nya kinãi kam kujkubt loa.
JOB.20.27	Dørã a tee kïdø ðagootal loa
JOB.20.27	na døning a þai ndoora.
JOB.20.28	A øin nyangah kï kuju loa
JOB.20.28	ko kam ndø wongt lo Luwah.
JOB.20.29	'Nten la i gaj in Luwah ad ngeða majal,
JOB.20.29	I nyanduba loa in Luwah nda ada.
JOB.21.1	Job tur an:
JOB.21.2	Oon dø ta lom maj,
JOB.21.2	sølkam koon la m'køsï ye.
JOB.21.3	Nyamïn ad m'elta,
JOB.21.3	Got'n m'elta woi a ne, i gomïn þai.
JOB.21.4	Kundo lom i dø de madt a?
JOB.21.4	Kïtøði ndïdøt lom a goto'n al a?
JOB.21.5	Telïn kumsï kïromt na ad yasi,
JOB.21.5	i ndan jisï tasït.
JOB.21.6	Lon m'gah døt ye þool ðam
JOB.21.6	ad rom ndad yatata.
JOB.21.7	Kïtøði ngéðamajalg ndïn ne kï dø ndï dõ,
JOB.21.7	Telïn bïga bugum na tøgd aw kï ketekete a?
JOB.21.8	Ngankad tøgïn sed nat,
JOB.21.8	Maj urr ngankamd takumdt.
JOB.21.9	Kamkujg lod în kï lapia kanj þool nya mad
JOB.21.9	Kagtøsï io Luwah ndad al bat.
JOB.21.10	Bal mangg lod awïn kï tøg,
JOB.21.10	Køøn mangg lod ndamïn ngan'g
JOB.21.10	na ørrïn ngan'g al bat.
JOB.21.11	Nyan ngandg ad ãin ngød tit batg be,
JOB.21.11	ngandg talïn dangdang.
JOB.21.12	Øsïn pa kï kød kï kïndeh,
JOB.21.12	ðan ronel kï ndï tow.
JOB.21.13	Ndïn kï død dõ dan majt
JOB.21.13	Na awïn lot kï Koo tentenbe.
JOB.21.14	Be kaa elïn Luwah anan: Ørr roi ko rojt,
JOB.21.14	Jî kï gee al kad kï ger ðobg loi.
JOB.21.15	Ngetøgtube i ði kad kï ða kïlaþer j'ada a?
JOB.21.15	Lon kï ko kïroat kaa j'a kï ngah ði a?
JOB.21.16	Nyamaig lod în jidt ale?
JOB.21.16	Kï køjta lo ngéðamajalg i sãi romt.
JOB.21.17	Tølïn horr lamba lo ngeðamajal nja bãi a?
JOB.21.17	Kamkøl tee dødt nja bain a?
JOB.21.17	Nja bãi Luwah kegd nyakïto kï wong lon kïtal søkir a?
JOB.21.18	În tit kï gind mu in nel un ko
JOB.21.18	Titkï tisa in nélbarwãin oi kø a?
JOB.21.19	I elïn anan: Luwah ngomd majal lod kïta ngandg.
JOB.21.19	Maj kad Luwah bad, kamla a gerïn taa.
JOB.21.20	Ad kumd în kïþeg oo nujkø lod
JOB.21.20	Ad'd ãin kam kop wongt lo Ngetøitøi.
JOB.21.21	Kïtø usa ði kï ngékïþe loa lon oi,
JOB.21.21	Lon tïdan nahg loa tïga a?
JOB.21.22	De asï ndoo Luwah nyager a?
JOB.21.22	In i Ngegangta dø ngendï dørãt.
JOB.21.23	De mad woi lon tøga i ngãi þaitø,
JOB.21.23	Lon ndï kari kï lapia.
JOB.21.24	Dãroa ðoosï kï mbool,
JOB.21.24	kïngaa ðoosï kï yib.
JOB.21.25	Kï mad woi kï ron kï at kãrïr
JOB.21.25	Kanj ngah nya kïða kïmaj.
JOB.21.26	În tujoo ton kam buningt
JOB.21.26	În tujoo telïn nyasa kideg.
JOB.21.27	Oon, m'ger tagahsï kï køjtaðag losï
JOB.21.27	kï i øjïn dømt,
JOB.21.28	Kïtø i elïn anan: Kuj lo de kïbo i ðah a?
JOB.21.28	Kujkub'n ngéðamajalg ndïnt i ðah a?
JOB.21.29	I ndïjen ta ngetoi ðobo ale?
JOB.21.29	I gerïn najkïma lod ale?
JOB.21.30	De kï ngemajal ngah kaj ndø kamkølt
JOB.21.30	Tee kï lapia ndø wongt.
JOB.21.31	Nõ a øja go ðob loa takumat,
JOB.21.31	Nõ a bajia kïta kïla in ða a?
JOB.21.32	Awïn sia þada
JOB.21.32	na ngomïn døþada,
JOB.21.33	Mbal ning kï hoollot nela, deg tube ndulon goat
JOB.21.33	Na deg'n awïn kete nõat dum da kørd.
JOB.21.34	Titbãi a sølïn kamm kï tag kïpãbe a?
JOB.21.34	Kïtø ta kïtur losï i takïbal koon.
JOB.22.1	Kamla Elipaj, de kï Teman, tur an:
JOB.22.2	De asï ða nya kïmaj kïta Luwah a?
JOB.22.2	Rota, ngeterr ða nya kïmaj kïta ron.
JOB.22.3	Ngetøgtube ngah ronel kïta kïla ðai kïdenesew a?
JOB.22.3	A ngah nya mad kïta kini de kï kasïnatap a?
JOB.22.4	Kïtø þool kï i þool Luwah la ndángi
JOB.22.4	Na aw sei lo gangtat a?
JOB.22.5	Majal loi i kïbobe ale?
JOB.22.5	Ðagootal loi døngoia goto.
JOB.22.6	I ta nyatîna lo ngankomg kari kï kanj ta,
JOB.22.6	I ørr kub ro degt ko ad rod to kari.
JOB.22.7	De'n ørr røkï i ada man kãi al,
JOB.22.7	I øg nyasa de'n þoo õa.
JOB.22.8	De kïngang la i ngedøning ye
JOB.22.8	Na de'n deg øsïn gona to la ndit ho.
JOB.22.9	I tuþa ngengawkoig jid kari,
JOB.22.9	tetïn ji nganhalg.
JOB.22.10	Kïtø 'nten yan gum gugïn døi
JOB.22.10	Na þool tee døit tentenbe.
JOB.22.11	Lo kïdiw øgi ko lo
JOB.22.11	na mankõ ut døi.
JOB.22.12	Luwah i dõ dørãt nu ale?
JOB.22.12	Oo, kïmëg kïdõ în sãi nu.
JOB.22.13	Na i el an: Ði Luwah ger a?
JOB.22.13	Luwah asï nda lo kïdiw gang, gangtaa a?
JOB.22.14	Kilndii ut døa mbã asï ko lo al,
JOB.22.14	Ndia kam lot kïtat kï dørãt dõ.
JOB.22.15	Bain, i ndig kun kon ðob
JOB.22.15	in ngeða majalg ndiant a?
JOB.22.16	Ørrïnd kø kete lon kaglo lod asï al þaitø,
JOB.22.16	Mankõ teet girrd.
JOB.22.17	Elïn Luwah anan: Ørr roi ko rojt.
JOB.22.17	Ði Ngetøgtube a ða sej a?
JOB.22.18	Na Luwah ðoosï kujg lod kï nya majg
JOB.22.18	Takøj lo ngéðamajalg i sãi koromt
JOB.22.19	Deg kïdenesew oon na ðan ronel,
JOB.22.19	De kïkanj ta døat øld takøl.
JOB.22.20	Elïn anan: Rota, madngétajg nujïn kø
JOB.22.20	Horr õ nyamajg lod mugj.
JOB.22.21	I la nooj nat kï Luwah kad i ndï kï lapia.
JOB.22.21	A i ngah majkurr titbe tø.
JOB.22.22	I ta nyandoo kï tee taat
JOB.22.22	na i nda tag loa ngarkamit.
JOB.22.23	Îla i tel kïro Ngetøgtube kï dø kïsøl,
JOB.22.23	Îla i nyàgo nyaða kïgootal ko kam kujkubt loi,
JOB.22.24	Îla i la nar ør kam buningt
JOB.22.24	Nar ør kï døning Opir dan køsïgt kam baht,
JOB.22.25	Na Ngetøgtube a i nar ør loi kï nar
JOB.22.25	arjã loi kï gata i ngãi,
JOB.22.26	Kamla a i ngah ronel kam Ngetøgt tube,
JOB.22.26	Na a i turta kumi kï ro Luwaht.
JOB.22.27	A i elsia ta a oo dø ta loi;
JOB.22.27	Na a i tølkon kunkøg loi.
JOB.22.28	Maj a uri dø køjtaðagt loi,
JOB.22.28	Kunj a øsï dø ðobgt loi.
JOB.22.29	Luwah la do ngedøsïr ningt
JOB.22.29	na aj ngesøldø.
JOB.22.30	Ke neni de aw kï ta dønt kaa a aja,
JOB.22.30	Kïtakul jii kïkar nyang la a ug ørin ye.
JOB.23.1	Kamla Job tur an:
JOB.23.2	Þone kah nõ lom i taro,
JOB.23.2	Jia oim toi ton ðusïðusï lom.
JOB.23.3	A, îla m'ger lo in m'a m'ngaaht a ne,
JOB.23.3	Îla m'aw mbã londïat.
JOB.23.4	M'a m'eltag lom kïnõat,
JOB.23.4	M'a m'ad tam ðoosï kï tag kïkørr dømt.
JOB.23.5	M'ndïg ger ta in a turïm,
JOB.23.5	M'a m'oo girr ta'n a elïm.
JOB.23.6	A ðøø sem kï tøgïn tube e?
JOB.23.6	A'a na a oo dø ta lom.
JOB.23.7	Nu la de kïdenesew a maj sia ta
JOB.23.7	Na m'a mî kï kørrtadøt kïnõt ji Ngegangtat lom.
JOB.23.8	Îla m'aw kï loþakàdt a ne, gotot,
JOB.23.8	M'tel m'aw lokudkàd kaa m'ooa al.
JOB.23.9	Ndï ða kïla ko jigelt a? M'ooa al.
JOB.23.9	Þo ron ko jikõt a? M'asï koa al.
JOB.23.10	Ger ðob lom in m'ndiat,
JOB.23.10	Lon nanm oo ye m'a m'tee janjoi tit nar ør be.
JOB.23.11	Njam ho go njaa sem, m'ngomd go ðob loa,
JOB.23.11	M'to go ðobt loa al bat.
JOB.23.12	M'nyàgo mberkïnda in tee taat ko
JOB.23.12	M'tel rom go tag kïtaat tøi ða ndig lom kïkøsïdøm.
JOB.23.13	Lon øj ta ða nya mad ye nõ asï kada mbel kon a?
JOB.23.13	Nya'n kama ndig a tøl kona.
JOB.23.14	A tølkon køjtaðag lon kïdømt
JOB.23.14	Na øj ta ða nya madg kïtitbe ngãibe.
JOB.23.15	Kïtø 'nten la þool ðam nõat.
JOB.23.15	Lon m'gah døat ye þool ðam.
JOB.23.16	Luwah ad ngarkamm oi siw.
JOB.23.16	Ngetøgtube ndam þoolt.
JOB.23.17	Kïtø nya'n ndam dïlalot i til kï diw.
JOB.23.17	Lo kïdiw kirir ut takumm tø.
JOB.24.1	A Kïtøði Ngetøgtube nda kaglog kïta gangta al a?
JOB.24.1	Kïtøði îgïn gerïna oon ndog loa al a?
