GEN.1.1	Maawac tahsh kihci niikaan, Kishemanitoo okii oshihtoon kiishik, ahkiini kaye. 
PSA.119.60	Kaawiin hsa ninka pwaahtawiihsii
PSA.119.60	ci⁠weyiipisiyaan ci⁠na'ihtamaan kitoonahshowewin.
PSA.119.61	Mihsawaa ko kakwe nakwaashiwaatc meci'ishiwepisiwaatc,
PSA.119.61	kaawiin hsa ninka waniihkehsii kikihkino'amaakewin.
PSA.119.62	Aapihtaa tipihkahk hsa ninka wanishkaa ci⁠miikwehciweniminaan,
PSA.119.62	aaniihsh kwayahkohsinoon kitoonahshowewinan.
PSA.119.63	Nisaaki wiiciiwaak hsa kahkina kaa⁠kohtaanenimihkwaa,
PSA.119.63	kahkina kaa⁠piminisha'amowaatc ehkitowatc.
PSA.119.64	Oo Tepencikeyan, kisaaki'iwewin hsa ko misiwe ayaamakan ahkiink;
PSA.119.64	kihkino'amawihshin hsa tahsh kitoonahshowewinan.
PSA.119.65	Oo Tepencikeyan, minotootawihshin hsa
PSA.119.65	niin tepahsenimoyaan kitanohkii'aakan mayaa piko eshihsink kitihkitowin.
PSA.119.66	Kihkino'amawihshin ci⁠kihkentamaan aaniin keni ishihcikeyaan,
PSA.119.66	ci⁠okihkentamaawiniyaan kaye, aaniihsh nintepwehtaanan kitoonahshowewinan.
PSA.119.67	Cipwaa hsa nana'ahshiyan ninkii nihtaa wawaniinaapan,
PSA.119.67	noonkom itahsh wiin ninkihciwentaan ehkitoyan.
PSA.119.68	Etatawe hsa kisasekaayentaakos wiinke hsa e⁠nihtaa minotootaakeyan,
PSA.119.68	kihkino'amawihshin hsa kitinaahkonikewinan.
PSA.119.69	Iki hsa kehci inenintisowaatc noociko nintinaacimikook eh⁠kiiwanimowaatc;
PSA.119.69	niin itahsh wiin iko enikohkote'eyaan ninka tipitootaanan kitinaahkonikewinan.
PSA.119.70	Kaawiin kanake ci⁠koohpaatenimiwewaatc,
PSA.119.70	niin itahsh wiin ninciihkentaan eshi kikihkino'amaakeyan.
PSA.119.71	Kii⁠onishihshinikopan iinsan kaakii nana'ahshiyampan,
PSA.119.71	cikii onci kihkentamaampaan kitinaahkonikewinan.
PSA.119.72	Kitoonahshowewin hsa kaa⁠wiintaman nawac nintoonishihshentaan
PSA.119.72	ahpiihc wiin niipiwa' kihcimitaahswaahk waapaapihko shooniyaak,
PSA.119.72	osaawi shooniyaak kaye.
PSA.119.89	Oo Tepencikeyan,
PSA.119.89	kitihkitowin kii⁠nehpici onahcikaate ci⁠ayaak kihcikiishikonk.
PSA.119.90	I'i hsa kaashi tepweyentaakosiyan nehpic tani ayaamakan
PSA.119.90	minihk iko keni ayaanihke nihtaawikinaaniwank;
PSA.119.90	kiin iitok kaakii onahtooyan ahki keshi ahtek, miihsh i'imaa eyaak.
PSA.119.91	I'i hsa kaakii ishi onahcikeyan keyaapi noonkom kaa⁠kiishikahk pimihse,
PSA.119.91	kiin aaniihsh kahkina kekoon kitipentaan ci⁠pamiihtaakoyan.
PSA.119.92	Kitoonahshowewin hsa kaa⁠minwentami'ikoyaan.
PSA.119.92	Kiishpin o'o ishihsehsinokipan,
PSA.119.92	aasha iinsan nintaakii nihsikoon o'o kaashi kakwaatakihtooyaan.
PSA.119.93	Kaawiin hsa wiihkaa ninka waniihkenotansiinan kaa⁠inaahkonikeyan,
PSA.119.93	mii iitok i'imaa wenci miishiyan ci⁠pimaatisiyaan.
PSA.119.94	Naatamawihshin, kiin iitok kitipenimihsh;
PSA.119.94	ninka kakwe piminisha'aanan kitinaahkonikewinan.
PSA.119.95	Mecaatisiwaatc ohsha nintahkamaakook ewii nihshiwaatc;
PSA.119.95	shaakooc itahsh ninka naanaakatawentaanan kitinaacimowinan.
PSA.119.96	Nintishi kihkentaan hsa kahkina kekoonan aana kiishinaakwahkin
PSA.119.96	shaakooc itahsh mihci tipinamawaakaatewan;
PSA.119.96	kitinaahkonikewinan itahsh wiin kaawiin tipinikaatehsinoonan.
PSA.119.97	Etatawe hsa nisaakihtoon kitoonahshowewin,
PSA.119.97	mii hsa iwe kapekiishik kaa⁠naanaakatawentamaan.
PSA.119.98	Kitinaahkonikewinan hsa mooshak e⁠wiiciiwikoyaan
PSA.119.98	mii 'i niin nawac kaa⁠onci kakiihtaawentamaan ahpiihc wiin iki kaa⁠shiinkenimiwaatc.
PSA.119.99	Nawac hsa nintoonihsitohtamowinim ahpiihc wiin kahkina kehkino'amawiwaatc,
PSA.119.99	aaniihsh kitinaahkonikewinan ninihtaa naanaakatawentaanan.
PSA.119.100	Nawac kaye niipiwa' nintoonihsitohtamaawinim ahpiihc wiin kihci aya'aak,
PSA.119.100	aaniihsh nina'ihtaanan kitinaahkonikewinan.
PSA.119.101	Ninkanawenintis ihsa
PSA.119.101	ci⁠maci'ishiwepisihsiwaan aaniihsh niwii na'ihtaan kitihkitowin.
PSA.119.102	Kaawiin hsa nintoonci nakatansiinan kikihkino'amaakewinan,
PSA.119.102	kiin iitok iko kaa⁠kihkino'amawihshiyan.
PSA.119.103	Etatawe hsa nisaakihtoonan kitihkitowinan,
PSA.119.103	ahpiihc wiin kaashi minohpitamaan aamoowi siinsipaahkwat.
PSA.119.104	Kitihkitowinink hsa nintoontinaan nihsitohtamowin;
PSA.119.104	miitahsh kaa⁠onci shiinkentamaan entahsinkin wanitootamowinan.
PSA.119.105	Kitihkitowin hsa nintoowaahsahkonencikan ci⁠kihkinowinikoyaan,
PSA.119.105	miihsh ke⁠onci waahseyaak inahke keni ishaayaan.
PSA.119.106	Tepencikeyan, tepwe hsa ninkii ayiici ahpim
PSA.119.106	ewiih tootamaan kaa⁠kwayahkwentaakwahkin kitoonahshowewinan.
PSA.119.107	Oo Tepencikeyan etatawe hsa nimpi kihci kakwaatakihtoo;
PSA.119.107	kiiwe pimaatisii'ihshin ci‑ishihsek mayaa kaa⁠ihkitoyan.
PSA.119.108	Oo Tepencikeyan, minwaapantan o'o kaashi miikwehci anami'ehtawinaan,
PSA.119.108	kihkino'amawihshin kitoonahshowewinan.
PSA.119.109	Aanawiin mooshak hsa ko e⁠naniisaaninaakwahk nimpimaatisiwin;
PSA.119.109	kaawiin itahsh ninka waniihkehsii kitoonahshowewin.
PSA.119.110	Meci'ishiwepisiwaatc hsa otoonahtoonaawaa waa⁠ishi kaahcici'iwaatc,
PSA.119.110	shaakooc itahsh kaawiin nintoonci pahkenotansiinan kitinaahkonikewinan.
PSA.119.111	Kitinaahkonikewinan hsa ninehpici tipinawewis eh⁠kihtakintamaan,
PSA.119.111	mii iitok i'imaa wenci minwentamaan ninte'ink.
PSA.119.112	Ninte'ink hsa ko ninkii ishi onentaanaapan
PSA.119.112	ewiih kanawentamaan kitinaahkonikewin minihk iko ke⁠pimaatisiyaan.
PSA.119.129	Etatawe hsa maamahkaasihtaakwanoon kitinaahkonikewinan,
PSA.119.129	miitahsh wiinke misiwe piko kaa⁠onci inentamaan ewiih kanawentamaan.
PSA.119.130	Kehkino'amaakeyan hsa kaashi kiihkaa waawiintekin mii 'imaa wenci waahseyaak.
PSA.119.130	Mii iitok i'imaa kaa⁠onihsitohtamaawinihsikwaa ke⁠onci maacii kakiihtaawentamowaatc.
PSA.119.131	Wiinke hsa piko tepwe nimihsawentaanan kitoonahshowewinan
PSA.119.131	e⁠inentaakwahk taapishkoo e⁠noontayaapaakwenotamaan kitihkitowinan.
PSA.119.132	Piinaapin, ci⁠koohpaatenimiyan,
PSA.119.132	ci⁠tootawiyan kaa⁠nihtaa tootawatwaa iki kaa⁠saaki'ihkwaa.
PSA.119.133	Kaakii ishi ahshotamawiyan hsa ishihcike'ihshin ci⁠kanawenimiyan
PSA.119.133	ci⁠pisokehshinsiwaan, keko pakitinanken meci kekoon ci⁠tipenimikoyaan.
PSA.119.134	Shaapwii'ihshin hsa kaawiih tootawiwaatc ininiwak
PSA.119.134	ke⁠wehsaani'iwaatc miihsh pisaan ci⁠na'ihtamaan kitinaahkonikewinan.
PSA.119.135	Taka hsa wiinke minwaapamihshin,
PSA.119.135	kihkino'amawihshin kitihkitowinan.
PSA.119.136	Siipiiwentaakwan hsa kaashi oncikawaapiyaan
PSA.119.136	onsaam aaniihsh kaawiin awiyak ona'ihtansiinaawaa kitoonahshowewin.
PSA.119.137	Oo Tepencikeyan, kiin hsa kikwayahkwaatis,
PSA.119.137	kwayahk e⁠inaahkonikeyan.
PSA.119.138	Ini hsa kitinaahkonikewinan kaa⁠onahtooyan tepweyentaakwanoon
PSA.119.138	wiinke kaye eh⁠kwayahkwentaakwahkin.
PSA.119.139	Aahpici hsa ninishki'ikowaanan
PSA.119.139	eshihcikewaatc iki kaa⁠shiinkenimiwaatc eh⁠papaamihtansikwaa kitihkitowinan.
PSA.119.140	Kahkina hsa eshi ahshotamaakeyan kehcinaac tepweyentaakwanoon,
PSA.119.140	etatawe nisaakihtoonan.
PSA.119.141	Wiinke hsa niin nintapahsentaakos, nintaanawentaakos kaye,
PSA.119.141	shaakooc itahsh kaawiin niwaniihkenotansiinan kitinaahkonikewinan.
PSA.119.142	Eshi kwayahkwaatisiyan hsa kaawiin wiihkaa ta⁠poonihsehsinoon,
PSA.119.142	kitoonahshowewin hsa kaye tepwewan.
PSA.119.143	Aanawiin otihsikoyaan maanshihsewin, wahsitaawentamowin kaye,
PSA.119.143	shaakooc iko kitinaahkonikewinink nintoonci ciihkentam.
PSA.119.144	Kitinaahkonikewinan hsa nehpic iko kwayahkwentaakwanoon.
PSA.119.144	Miinshihshin hsa kwayahk ci⁠nihsitohtamaan ci⁠pimaatisiyaan.
PSA.119.153	Inashke kanawaapamihshin eshi kakwaatakihseyaan ci⁠naatamawiyan,
PSA.119.153	kaawiin iitok niwaniihkenotansiin kitoonahshowewin.
PSA.119.154	Naatamawihshin o'o kaa⁠ishi maanshihseyaan, ci⁠tako saakisi'iyan,
PSA.119.154	ci⁠kiiwe pimaatisii'iyan mayaa piko ci‑ishihsek eshihsinkin kitihkitowinan.
PSA.119.155	Mecaatisiwaatc hsa wiinke onaawaapantaanaawaa pimaaci'ikoowisiwin,
PSA.119.155	onsaam kaawiin ishihcikehsiiwak ciwiih kakwe na'ihtamowaahpan kitinaahkonikewinan.
PSA.119.156	Wiinke hsa wenootan eshi koohpaatenimiweyan oo Tepencikeyan,
PSA.119.156	tootawihshin tepwe ci⁠pimaatisiyaan ci‑ishihsek mayaa eshihsinkin kitinaahkonikewinan.
PSA.119.157	Paahtiinowak hsa kaa⁠shiinkenimiwaatc kekwaataki'iwaatc,
PSA.119.157	kaawiin itahsh nintoonci nakatansiinan kitihkitowinan.
PSA.119.158	Kiih⁠kanawaapamakwaa hsa iki meci'ishiwepisiwaatc,
PSA.119.158	wiinke hsa ninkakwaanihsakamanci', aaniihsh kaawiin ona'ihtansiinaawaa kitihkitowin.
PSA.119.159	Inashke niin ehpiihci saakihtooyaan kitihkitowinan,
PSA.119.159	oo Tepencikeyan kanawentan nimpimaatisiwin taapishkoo kaashi saaki'iweyan.
PSA.119.160	Kahkina hsa kitihkitowinan tepweyentaakwanoon;
PSA.119.160	kahkina kweyahkwentaakwahkin kitoonahshowewinan nehpic ta‑ayaawan.
PSA.119.169	Oo Tepencikeyan, taka noontawihshin o'o kaashi shaakowaaninaan ci⁠wiici'iyan,
PSA.119.169	miishihshin nihsitohtamowin ci‑ishihsek mayaa eshihsink kitihkitowin.
PSA.119.170	Pisintawihshin o'o kaashi kakweciminaan,
PSA.119.170	ishi naatamawihshin inahke kaakii ishi ahshotaman.
PSA.119.171	Taka hsa nintoonink kika onci miikwehciwenimin,
PSA.119.171	kikihkino'amaw aaniihsh kitihkitowinan.
PSA.119.172	Taka hsa ninka nikamoohtaanan kitihkitowinan,
PSA.119.172	kahkina iitok kitinaahkonikewinan kwayahkwentaakwanoon.
PSA.119.173	Taka mooshak ahshwiin ciwi wiici'iyan,
PSA.119.173	kitihkitowinan iitok ninkii onentaanan ewiih piminisha'amaan.
PSA.119.174	Oo Tepencikeyan, wiinke hsa nimihsawentaan kipimaaci'iwewin,
PSA.119.174	e⁠minwentamaan kitoonahshowewin.
PSA.119.175	Taka ninka pimaatis ci⁠miikwehciweniminaan;
PSA.119.175	ci⁠wiitoohkaakoyaan kitoonahshowewin.
PSA.119.176	Ninkii wanihshin hsa taapishkoo maanahcaanihsh.
PSA.119.176	Antone'ohshin, niin iitok kitanohkii'aakan,
PSA.119.176	kaawiin iitok niwaniihkenotansiinan kitoonahshowewinan.
PSA.120.1	Kii⁠maanshihseyaan hsa nishaakowaanaa kaaTipenciketc,
PSA.120.1	ninoontaak kaye.
PSA.120.2	Tepencikeyan, naatamawihshin iki onci kekiinawishkiwaatc,
PSA.120.2	kaa⁠wayeshihtaakosiwaatc kaye.
PSA.120.3	Kiinawaa tahsh kekiinawishkiyek, aaniin itahsh ke⁠tootawinek Kishemanitoo?
PSA.120.3	Aaniin itahsh inaa keshi nana'ahsinek?
PSA.120.4	Miikaasowininiwan hsa kaa⁠kaahshaanik opihkwahkoni oka aapacihtoon,
PSA.120.4	ke⁠shaawankitenikin kaye ishkwaahkishen.
PSA.120.5	Etatawe hsa ninkoohpaasinaakos e⁠ishitaayaan Miihshek 
PSA.120.5	e⁠wiicikapehshiimakwaa kaye iki Kiitar 
PSA.120.6	Onsaam ihsa kinwesh ninkii wiici'ayaamaak
PSA.120.6	kaa⁠shiinkentamowaatc pisaan ayayaawin.
PSA.120.7	Ahpii eh⁠tashintamaan pisaan ayaawin,
PSA.120.7	mii hsa wiinawaa eshi wii miikaasowaatc.
PSA.121.1	Weti nintinaap ishpimink kaashi pihkwatinaak;
PSA.121.1	aanti tahsh inaa ke⁠onciikipan ke⁠naatamaakoyaan?
PSA.121.2	KaaTipenciketc ohsha kaa⁠naatamawitc,
PSA.121.2	kaakii oshihtootc kiishik, ahkiini kaye.
PSA.121.3	Kaawiin hsa kika pakitinikohsii ci⁠pisokehshinowatc;
PSA.121.3	a'a hsa kaa⁠kanawenimihk kaawiin wiihkaa ta⁠noontenkwahshihsii.
PSA.121.4	Inashke, a'a kaa⁠kanawenimaatc Isriyala' 
PSA.121.4	kaawiin wiihkaa ontamiinkwaamihsii kaawiin kaye wiihkaa kawinkwahshihsii.
PSA.121.5	KaaTipenciketc ohsha kaa⁠kanawenimihk;
PSA.121.5	wiinke kaye pehsho kaa⁠wiiciiwihk ewii naatamawihk
PSA.121.6	Kiisihs hsa mekwaa kiishikaninik kaawiin kika wiihsakaahkisokohsii,
PSA.121.6	tipihkikiisihs kaye tipihkaninik kaawiin kekoon kika inaahpinanikohsii.
PSA.121.7	KaaTipenciketc ohsha kika kanawenimik kekoon ci‑ishihsewaahsiwatc;
PSA.121.7	oka kanawentaan kaye kipimaatisiwin.
PSA.121.8	KaaTipenciketc ihsa kaa⁠kanawenimihk ani maacaawatc miinawaahsh pikiiwewatc;
PSA.121.8	noonkom, nehpic iko kaye kika ishihcike'ik.
PSA.122.1	Wiinke ninkii minwentam ahpii kii'ishiwaatc,
PSA.122.1	“Taka hsa ishaawaataa kaaTipenciketc owaahkaa'ikanink.”
PSA.122.2	Inashke tahsh aasha nimpi takohshinimin kaa⁠onci niipawiyaank
PSA.122.2	kihci ishkwaantenk i'imaa ootenaank Ceroosalamink 
PSA.122.3	Ceroosalam hsa kii‑ishihcikaate ci⁠kihci ootenaawank,
PSA.122.3	wiinke iitok ayiici ayaamakan.
PSA.122.4	Mii hsa omaa kaa⁠paapahkaanwewaanakisiwaatc Isriyalak 
PSA.122.4	kaaTipencikenitc tepenimikowaatc kaashi piishaawaatc ekii inaahkonaawintwaapanen
PSA.122.4	cipi anta miikwehciwentamowaatc kaaTipencikenitc owiinsowinini.
PSA.122.5	Mii hsa o'omaa Isriyali kihciokimaak kaakiih tanapiwaatc
PSA.122.5	e⁠onaahkonaawaatc opimaatisiimiwaa'.
PSA.122.6	Anami'ehtamok hsa Ceroosalam pisaan ci⁠ayayaak,
PSA.122.6	“Taka hsa iki kaa⁠saakihtoowaatc Ceroosalam ta⁠minohsewak.
PSA.122.7	Taka kaye pisaan ta‑ayayaaniwan i'imaa piincaya'ii kaashi waahkaayaapihkinikaatek Ceroosalam,
PSA.122.7	pisaan kaye ta⁠inentaakwan i'imaa kaashi aayiicihcikaatekin ahpa'iwewikamikoon.”
PSA.122.8	Iki tahsh nintinawemaakanak,
PSA.122.8	kaa⁠saaki'akwaa kaye mii 'owe kaa⁠onci'itamaan Ceroosalam,
PSA.122.8	“Haw, pisaan ayayaan!”
PSA.122.9	Owaahkaa'ikanink hsa kaaTipenciketc onci kiKishemanitoominaan
PSA.122.9	mii hsa 'i ci⁠nanaantone'amaan ke⁠onci minohseyan kiin Ceroosalam.
PSA.124.1	Aaniin kekii ishihsewaakopanen Isriyalak 
PSA.124.1	Taka hsa o'o Isriyalak ta⁠ihkitowak!
PSA.124.2	“Kiishpin hsa kaaTipenciketc wiiciiwihsinowankipan
PSA.124.2	ahpii kaakii shiinkeniminankwaa kii⁠miikaaninankwaa,
PSA.124.3	mii 'i iinsan kikipimaatis cikiih koninankwaapan
PSA.124.3	onsaam aaniihsh kikii kihci nishki'aanaanik.
PSA.124.4	Miihsh kaye iinsan cikii nihkipanikoyankipan kaa⁠mooshka'ank,
PSA.124.4	kaa⁠pimiciwanohsek kaye nipi cikii maaciiyaapokonikoyank.
PSA.124.5	Nipi kaye kaa⁠kihci mamaankaashkaak
PSA.124.5	mii 'imaa kekii ishi maaciiyaa'okoyankipan.”
PSA.124.6	Taka hsa tahsh kaaTipenciketc ta⁠miikwehciwentaakosi,
PSA.124.6	kaa⁠pakitinaasik kaa⁠shiinkenimiyamintwaa ci⁠shaakooci'iyamintwaa.
PSA.124.7	Kikiih shaapwiimin hsa taapishkoo pinehshiinsh kaashi shaapwiitc waa⁠ishi kaahcitinintc;
PSA.124.7	eh⁠piikohsek waa⁠ishi kaahcitinikooyankipan, miihsh kaakiih shaapwiiyank.
PSA.124.8	KaaTipenciketc owiinsowinink iitok onciimakan ke⁠wiici'ikoyank,
PSA.124.8	wiin kaakii oshihtootc kihcikiishik, ahki kaye.
PSA.126.1	Weti kaakii ishi tahkonikooyaankipan
PSA.126.1	kaaTipenciketc itahsh ninkiih pikiiwewinikonaan i'imaa Saayan 
PSA.126.1	mii hsa 'i kaa⁠inentamaank taapishkoo i'i ekii inaapantamaank.
PSA.126.2	Wiinke ninkii kihci paahpimin, ninkii ina'aamin kaye eh⁠ciihkentamaank.
PSA.126.2	Miitahsh kaakii ihkitowaatc kotak pemaatisiwaatc,
PSA.126.2	“Etatawe hsa okihci minotootaakowaan kaaTipencikenitc!”
PSA.126.3	Tepwe hsa kaaTipenciketc ninkihci ishihcikehtamaakonaan,
PSA.126.3	wiinke hsa ninciihkentaamin.
PSA.126.4	Oo Tepencikeyan, taka hsa miinawaa kiiwe minohse'ihshinaam,
PSA.126.4	taapishkoo inahke kaa⁠pimiciwankin siipiin iweti nahke Nekep 
PSA.126.5	Iki hsa kaa⁠oncikawaapiwaatc e⁠kihtikewaatc,
PSA.126.5	ta⁠nikamowak ahpii manishikewaatc ke⁠ahpiihci minwentamowaatc.
PSA.126.6	A'a hsa kaa⁠maacaatc e⁠mawitc,
PSA.126.6	eh⁠pimiwitootc mashkimot eshi piintenikin kihtikaanenhsan waa⁠kihtikaatank,
PSA.126.6	mii hsa awe ke⁠pikiiwetc ci⁠nakamotc
PSA.126.6	ke⁠ahpiihci ciihkentank ci⁠pimiwitootc kaakiih manishank.
PSA.127.1	Kiishpin hsa kaaTipenciketc oshihtoosik i'i waahkaa'ikan,
PSA.127.1	mii hsa 'i anihshaa e⁠anohkii'itisowaatc iki otanohkiik;
PSA.127.1	kiishpin kaye kaaTipenciketc kanawentansik ootenani
PSA.127.1	kaawiin inkotano ta⁠inaapatisihsiiwak iki okanawencikek.
PSA.127.2	Kaawiin hsa kekoon kika inaapacihtoohsiin
PSA.127.2	ci⁠kihci anohkiiyampan eh⁠kakwe pimaaci'itisoyan,
PSA.127.2	wiipa kikishep e⁠wanishkaayan, kinwesh kaye e⁠niipepiyan.
PSA.127.2	KaaTipenciketc ohsha oka ontinamawaa' i'i kaa⁠saaki'aatc
PSA.127.2	mihsawaa ko nipaanitc.
PSA.127.3	Apinoonciisha' hsa mii 'iweni kaaTipenciketc omiikiwewin,
PSA.127.3	mii hsa i'iweni inahke eshi tipa'amaaketc.
PSA.127.4	Taapishkoo hsa shimaakanihsh kaa⁠paahtiinwaahkonank pihkwahkoon,
PSA.127.4	mii hsa 'i enentaakosiwaatc iki okosihsimaak
PSA.127.4	kaa‑ayaawintwaa mekwaa kii⁠oshkaatisink.
PSA.127.5	Aahpici hsa ta⁠minwentam a'a
PSA.127.5	i'i kaa⁠mooshkinahtootc ini pihkwahkoon pihkwahkowashink!
PSA.127.5	Kaawiin hsa ta⁠shaakoosomaahsii ahpii
PSA.127.5	kiihkaamikotc kaa⁠shiinkenimikotc i'imaa kaa⁠tashi onaahkonitiwintc.
PSA.130.1	Tepencikeyan, taapishkoo awiya weti waahsa anaamiintim kaa⁠kakwaatakentank
PSA.130.1	mii 'i eshi'ayaayaan e⁠onci shaakoweyaan.
PSA.130.2	Oo Tepencikeyan, noontawihshin o'o kaa⁠kanooninaan!
PSA.130.2	Pisintawihshin kiih⁠shaakowaaninaan ci⁠wiici'iyan!
PSA.130.3	Kiin kihkinawaacipii'amampan macitootamowinan,
PSA.130.3	awenen tahsh ke⁠kashkihtoohpan ci⁠niipawihpan enaahsamiiwatc.
PSA.130.4	Shaakooc tahsh kiin kaa⁠poonentamaakeyan macitootamowinan
PSA.130.4	miitahsh kaa⁠onci kohtaanenimikooyan.
PSA.130.5	Nimpii'aa hsa kaaTipenciketc misiwe piko nimpimaatisiwinink,
PSA.130.5	nintepwehtamowaanan hsa otihkitowinan.
PSA.130.6	Misiwe hsa ko nintishi pii'aa kaaTipenciketc
PSA.130.6	ahpiihc wiin a'a okanawencike kaashi piihtootc ci⁠kishepaawakaninik,
PSA.130.6	ahpiihc wiin a'a okanawencike kaashi piihtootc ci⁠kishepaawakaninik.
PSA.130.7	Kiinawaa Isriyalak 
PSA.130.7	aaniihsh osaaki'iwewin kaawiin wiihkaa poonihsehsinini,
PSA.130.7	wenootanini kaye opimaaci'iwewin.
PSA.130.8	kahkina piko kaakii ishi macitootaminitc.
PSA.132.1	Oo Tepencikeyan, keko waniihkewaahken
PSA.132.1	kahkina Tepit 
PSA.132.2	Mii hsa owe kaa⁠ishi ahpimonotawaakopanen kaaTipencikenitc,
PSA.132.2	ekii ayiici ahshotamawaakopanen kaye Cekapoon 
PSA.132.2	weKishemanitoominitc meshkawentaakosinitc,
PSA.132.2	miihsh o'o Tepit kaa⁠ihkitokopanen,
PSA.132.3	“Kaawiin ninka piintikehsii nintaawinink,
PSA.132.3	kaawiin kaye ninka kawihshimohsii,
PSA.132.4	kaawiin kaye ninka pasakwaapihsii ci⁠nipaayaampan,
PSA.132.5	paanimaa hsa kii⁠mihkamowak keshi'ayaatc kaaTipenciketc,
PSA.132.5	kii⁠mihkamowak ke⁠ishitaanitc Cekap oKishemanitooman meshkawentaakosinitc.”
PSA.132.6	eh⁠tashintek i'i ahshotamaakemahkahk,
PSA.132.6	ekii ishi mihkamaank itahsh mihshawahkamink Cear 
PSA.132.7	Miihsh o'o kaa⁠ihkitoyaank,
PSA.132.7	“Taka ishaawaataa kaaTipenciketc otayaawinink;
PSA.132.7	taka anta anami'ehtawaataa eshi ahpisitepitc.”
PSA.132.8	Oo Tepencikeyan, taka piishaan eshi'ayaak kitanwepiiwikamik
PSA.132.8	cipi kikiiyan ahshotamaakemahkahk
PSA.132.8	wenci kihkinawaasinaakwahk kimashkawisiiwin.
PSA.132.9	Taka hsa kitanami'ewikimaamak oka kikihkonayaantaanaawaa kikwayahkwaatisiwin;
PSA.132.9	taka kaye pemaatisiwaatc tepinawewisiyan ta⁠shaakowewak ke⁠ahpiihci minwentamowaatc.
PSA.132.10	A'a tahsh onci kitanohkii'aakan Tepit,
PSA.132.10	keko hsa aanawenimaahken wenaapamatc ci⁠kihciokimaawitc.
PSA.132.11	kaawiin iitok kika aantentansii i'i kaakii ishi ahshotamaakeyan,
PSA.132.11	o'o ekii ihkitowampanen,
PSA.132.11	“Peshik hsa kiin iko kipiiwesiim ta⁠kihciokimaawi,
PSA.132.11	ci⁠naapishkawihk i'i kaashi kihciokimaawiyan.
PSA.132.12	Kiishpin hsa kikosihsak kanawentamowaatc kaakii onahtaawak ahshotamaatiwin,
PSA.132.12	nintihkitowinan kaye ke⁠kihkino'amawakwaa,
PSA.132.12	miitahsh keni okosihsiwaatc nehpic iko
PSA.132.12	ci⁠ani naapishkawimihk o'o kaashi kihciokimaawiwatc.”
PSA.132.13	KaaTipenciketc ohsha okii onaapantaan Saayan 
PSA.132.13	e⁠mihsawentank i'imaa ewii ishitaatc, e⁠ihkitotc,
PSA.132.14	“Mii hsa iwe eshi'ayaak keshi anwepiyaan nehpic iko,
PSA.132.14	mii hsa imaa eshi mihsawentamaan ewiih tashikimaawiyaan.
PSA.132.15	Ninka minohsehtoon hsa Saayan aaniin iko keshi noontehsek,
PSA.132.15	iki kaye ketimaakisiwaatc i'imaa eyaawaatc ninka tepahshamaak.
PSA.132.16	Anami'ewikimaak kaye i'imaa ayaawaatc
PSA.132.16	ninka ishi'aak ci⁠kikihkonayaatamowaatc pimaaci'ikoowisiwin,
PSA.132.16	pemaatisiwaatc kaye i'imaa wenci tipentaakosiwaatc
PSA.132.16	ta⁠nehpici nakamowak ke⁠ahpiihci minwentamowaatc.
PSA.132.17	ci⁠ani kihciokimaawinitc ke⁠kihci inentaakosinitc;
PSA.132.17	ci⁠kanawentamowak eshi tipenciketc ke⁠onaapamak ninkihciokimaam.
PSA.132.18	Ke⁠shiinkenimikotc hsa ninka ishi'imaa' ci⁠kikishkaminitc akatentamowin,
PSA.132.18	otookimaawiwin itahsh wiin tani minohseni ci⁠ani kiishinaakwaninik.”
PSA.137.1	Weti hsa Paapilan 
PSA.137.1	ninkii mawimin e⁠maamihkawiyaank Saayan 
PSA.137.2	Eshi papiihkohkopaak itahsh
PSA.137.2	ninkii ishi akoonaanaanik ninkitohcikaninaanik.
PSA.137.3	Miitahsh kaakiih kaahcitiniyamintwaa kaakiih kakwecimiyamintwaa ci⁠nakamowankitc,
PSA.137.3	kekwaataki'iyamintwaa ninkiih kakaansomikonaanik
PSA.137.3	ci‑ina'amowankitc ciihkentamowi nikamonan ekii ihkitowaatc,
PSA.137.3	“Taka nikamoohtawihshinaam peshik kaa⁠nihtaa ina'amek weti Saayan e⁠ayaayek!”
PSA.137.4	Aaniin itahsh inaa keshi nikamowaankitipan
PSA.137.4	kaaTipenciketc onikamonan pahkaan ahkiink mekwaa e⁠ayaayaank?
PSA.137.5	Kiishpin hsa waniihkenotamaan Ceroosalam 
PSA.137.5	intawaa hsa taka kaawiin miinawaa ninka nihtaa kitohcikehsii.
PSA.137.6	Taka kaye intawaa nintenaniw nintoonink ta⁠kihciwihse
PSA.137.6	ci⁠kashkihtoohsiwaan ci⁠nikamoyaan, kiishpin kota waniihkenotamaan Ceroosalam,
PSA.137.6	kiishpin inakintansiwaan Ceroosalam wenci kihci ciihkentamaan.
PSA.137.7	Tepencikeyan, maamihkawin aaniin kaa‑ayintiwaatc Iitam kaa⁠onciiwaatc 
PSA.137.7	ahpii eh⁠kiishikaninik kii⁠kaahcicihtoowaatc Ceroosalam ootenaani.
PSA.137.7	Mii hsa kaa⁠ishi shaakowewaatc,
PSA.137.7	“Piikopitook, piinihsh ci⁠ocihci piikopitooyek eshi kihtahtek!”
PSA.137.8	Aahpici hsa ta⁠ciihkentam awiya
PSA.137.8	ke⁠kiiwe tipa'amawihk o'o kaa⁠tootawiyaank,
