MAT.1.1	Amo ini an mga kalulululuhi ni Jesu-Cristo na kalahi ni David kag kalahi man ni Abraham.
ACT.9.32	Niyan myintras nagpanglibot si Pedro bisan diin, nagpakadto man siya sa mga katawuhan san Dios na nagaistar sa Lida. 
ACT.9.33	May nakita siya didto na lalaki na an ngaran si Eneas na paralisado kag nagaparahigda na lang sa sulod sin walo ka tuig. 
ACT.9.34	Tapos, nagsabi si Pedro sa iya, “Eneas, naayo ka na ni Jesu-Cristo. Magbangon ka kag himuson an imo higdaan.” Nagtindog man dayon siya. 
ACT.9.35	Pakakita naman sa iya san mga taga-Lida kag Saron, nagturuod man sa Ginoo.
ACT.9.36	Niyan didto sa lungsod san Jope may nagatuod man na babayi na an ngaran Tabita, na Dorcas an gusto sabihon sa Griego. Nagaparahimo siyaʼn maayo na gawi kag nagabulig sa mga nagakinahanglan. 
ACT.9.37	Sadto na panahon nagkasakit siya kag namatay. Pakapunasi sa iya, ginbutang sa kwarto sa ibabaw. 
ACT.9.38	Tapos, pakabaritai san mga nagatuod didto sa Jope na adto si Pedro sa Lida, nagsugo sin duha na tawo pakadto sa iya kay halapit lang iniʼn Lida sa Jope. Ginpatabian ninda siya na magkadto anay sa inda kag magdali gayod.
ACT.9.39	Kaya nag-upod man dayon si Pedro sa inda. San pag-abot niya, gin-upod siya ninda pakadto sa ibabaw na kwarto. Didto, nagtiripon sa iya an tanan na mga balo. Nagatarangis sinda myintras ginapakita sa iya an mga bado kag mga pangsuon na ginhimo ni Dorcas san buhay pa ini.
ACT.9.40	Pero ginpaluwas sinda tanan ni Pedro, tapos nagluhod kag nangadyi. Didi gin-atubang an minatay kag nagsabi, “Tabita, magbangon ka!” Ginmuklat man sani an iya mga mata kag san makita si Pedro, nag-ingkod. 
ACT.9.41	Ginhuyutan ni Pedro an iya kamot kag ginpatindog. Pakatawaga sa tanan na mga katawuhan san Dios kag mga balo ginpaatubang siya na buhay. 
ACT.9.42	Naaraman ini sa bilog na Jope, kaya damo an nagtuod sa Ginoo. 
ACT.9.43	Pakatapos sani, nag-istar si Pedro sa Jope sin damo pa ka adlaw kaupod ni Simon na paratina san anit.
ACT.10.1	Kasadto, didto sa Cesarea, may namumuno san mga suldados na Italyano, na an ngaran Cornelio. 
ACT.10.2	Ini siya diosnon na may paggalang sa Dios kag amo man an iya bilog na panimalay. Paralimos siya sa mga nagakinahanglan kag mapinanangadyion sa Dios.
ACT.10.3	Usad na adlaw san mga alas tres an hapon may anghel san Dios na nakita niya sin klarado sa pangitaon na nagasulod kag nagatawag, “Cornelio!”
ACT.10.4	Nagsud-ong siya na may kahadlok sa anghel kag nagsabat, “Nano po, Ginoo?”
ACT.10.4	Nagsabi ini sa iya, “An imo mga pangadyi kag mga pagbulig ginbaton na para handumanan mo sa atubangan san Dios.” 
ACT.10.5	Niyan, magpasugo ka sin mga lalaki sa Jope kag pakadion mo si Simon na ginatawag Pedro. 
ACT.10.6	Nagaistar siya kan Simon na paratina san anit na an balay halapit sa may dagat.
ACT.10.7	Paghali san anghel na nagsurmaton sa iya, nagtawag siya sin duha niya na suruguon kag usad na diosnon na suldados hali sa iya mga kabulig. 
ACT.10.8	Pakasumati sa inda san nangyari, ginsugo sinda pa-Jope.
ACT.10.9	Pagkaotro na adlaw, myintras nagahalapit na sinda sa syudad, nagsaka si Pedro sa atop san balay na mga alas dose na para magpangadyi. 
ACT.10.10	Nakabatyag siyaʼn gutom kag gusto na niya magkaon, pero myintras ginahanda pa ninda ini, nakakita siya sin pangitaon. 
ACT.10.11	Didi nakita niya na nag-abri an langit na may bagaʼn dako na habol na ginatunton pakinab-an. 
ACT.10.12	An sulod sani amo an tanan na mga klaseʼn hayop, mga sawa kag mga sapat. 
ACT.10.13	Tapos, may nabatian siya na boses, “Pedro, tumindog ka, magpatay kag magkaon!”
ACT.10.14	Pero nagsabat si Pedro, “Habo ako, Ginoo, kay wara pa ako kakaon sin nano man na ginabawal o dili malinis sa amon na mga Judio.”
ACT.10.15	Nagpadayon gihapon an boses, “An ginlinis na san Dios dili mo na dapat pagtawagon na bawal.”
ACT.10.16	Tulo na beses ini nangyari, pakatapos, ginbalik dayon palangit idtoʼn gintunton.
ACT.10.17	Niyan myintras ginaisip ni Pedro kun nano an gusto sabihon sadto na pangitaon na nakita niya, nag-abot naman sa Jope an mga ginsugo ni Cornelio kag nagpanghunga anay san balay ni Simon. Kaya niyan, nagatindog sinda sa may pwertahan san balay, 
ACT.10.18	kag nagtawag para hungaon kun nagaistar didto si Simon na ginatawag Pedro.
ACT.10.19	Myintras ginaisip pa man ni Pedro an pangitaon, an Espirito nagsabi sa iya, “Kitaa, may tulo na lalaki na nagahanap sa imo. 
ACT.10.20	Maglusad ka, tapos, mag-upod sa inda na waraʼn pagduha-duha kay ginsugo ko sinda.”
ACT.10.21	Naglusad man si Pedro pakadto sa mga lalaki kag nagsabi, “Ako an ginahanap niyo. Nano, may tuyo kamo sa akon?”
ACT.10.22	Nagsabat sinda, “Si Cornelio an amon amo. Namumuno siya san mga suldados kag matanos man na tawo. May paggalang siya sa Dios kag ginagalangan man san mga Judio. Kahapon may ginsabihan siya na banal na anghel na patabian ka na magkadto sa iya balay agod mabati an sasabihon mo.” 
ACT.10.23	Kaya ginpadayon sinda ni Pedro kag nagpalipas san gab-i didto.
ACT.10.23	Pagkaaga, nag-upod siya sa inda paglakat, kaupod man an iba san mga kamaranghod sa pagtuod na taga-Jope. 
ACT.10.24	Pagkaotro naman na adlaw, nakaabot sinda sa Cesarea. Didto ginapahulat na sinda ni Cornelio. Myintras nagapahulat siya gintiripon niya an iya mga kaigmanghudan kag mga amigo. 
ACT.10.25	Pag-abot lang ni Pedro, ginsugat siya ni Cornelio, nagluhod sa iya tiilan kag nagsamba sa iya. 
ACT.10.26	Pero ginpatindog siya ni Pedro na nagasabi, “Tumindog ka. Tawo man lang ako.”
ACT.10.27	Myintras nagaistoryahan sinda nagasulod sa balay kag nakita didto ni Pedro na damo sin mga tawo na nagtiripon. 
ACT.10.28	Kaya nagsabi siya sa inda, “Kamo mismo maaram na susog sa Kasuguan namon na mga Judio ginbawal na makig-upod o magbisita sa mga dili-Judio kay bagaʼn maati sinda sa aton, pero ginpakita sa akon san Dios na dili ko dapat pagtawagon an bisan sin-o na tawo bagaʼn maati. 
ACT.10.29	Kaya san ginpatabian niyo ako, nagkadi dayon ako na waraʼn reklamo. Niyan, ginahunga ko kamo kun nano kay ginpatabian niyo ako.”
ACT.10.30	Didi nagsabat si Cornelio, “Mga upat na ka adlaw yana na sugad man sani na alas tres an hapon, nagapangadyi ako sa balay. Bigla na lang may nagtindog sa atubangan ko na lalaki na makintab an sul-ot. 
ACT.10.31	Nagsabi, ‘Cornelio, ginbati na san Dios an imo pangadyi kag an imo pagbulig naman nadumduman niya. 
ACT.10.32	Magsugo ka pakadto sa Jope kag patabian si Simon na ginatawag Pedro. Siya nagaistar didto sa balay ni Simon na paratina san anit. Halapit ina sa may dagat.’ 
ACT.10.33	Kaya ginpasuguan ta dayon, kag maayo kay nagkadi ka. Niyan adi kami tanan sa pagkita san Dios para mamati san tanan na ginapasabi sa imo san Ginoo.”
ACT.10.34	Nagtuna si Pedro pagsurmaton, “Matuod na nakikita ko na waraʼn ginapalabi an Dios, 
ACT.10.35	pero sa kada nasyon an may paggalang sa iya kag an nagatuman sa iya nauuyunan niya. 
ACT.10.36	Aram niyo kun nano an ginpahayag san Dios kasadto sa mga taga-Israel manungod san Maayo Na Barita san kalinaw paagi kan Jesu-Cristo na Ginoo san tanan. 
ACT.10.37	Ini an surmaton na ginpahayag magtuna sa Galilea hasta sa bilog na Judea pakatapos san panahon ni Juan na Parabunyag. 
ACT.10.38	Aram man niyo na si Jesus na taga-Nazaret ginhatagan san Dios san Espirito Santo kag poder. Amo man kun pan-o nagaupod sa iya an Dios kaya nagapanghimo siya sin mga kaayuhan kag an tanan na ginsakop san Dyablo ginlibre niya sa pagpaayo.
ACT.10.39	“Niyan kami mga testigos san tanan na ginhimo ni Jesus sa lugar san mga Judio kag sa Jerusalem. Sa katapus-tapusi, ginpatay siya paagi sa pagpako sa iya sa krus. 
ACT.10.40	Pero ginbuhay siya gihapon san Dios pag-ikatulo ka adlaw, kag ginpakita sa mga tawo, 
ACT.10.41	pero dili sa tanan kundi sa amon lang na pinili san Dios na magtestigos na nakikaon kag nakiinom kaupod niya pakatapos na nabuhay gihapon siya hali sa kamatayon. 
ACT.10.42	Ginsugo naman niya kami na magpahayag sa mga katawuhan kag magtestigos na siya an ginpili san Dios na maghusgar san mga buhay kag san mga patay. 
ACT.10.43	An tanan man na propeta nagtestigos manungod sa iya na an magtuod sa iya pagapatawadon san inda mga kasal-an paagi san iya ngaran.”
ACT.10.44	Myintras nagasurmaton pa sani si Pedro, bigla nagsulod an Espirito Santo sa inda tanan na nakabati sani. 
ACT.10.45	Kaya, nagkangarawa an mga nagatuod na Judio na kaupod ni Pedro kay an regalo na Espirito Santo ginhatag man bisan sa mga dili-Judio. 
ACT.10.46	Aram ninda ini kay nabati ninda na nagasurmaton an mga dili-Judio sin manlain-lain na mga surmaton kag ginaumaw an Dios.
ACT.10.46	Pakatapos nagpadayon si Pedro, 
ACT.10.47	“Ini na mga tawo nakabaton san Espirito Santo pareho man naton. Nano, may makabawal sa inda pagpabunyag paagi sa tubig?” 
ACT.10.48	Kaya ginsugo niya sinda na magpabunyag sa ngaran ni Jesu-Cristo. Pakatapos, gin-agda ninda siya na magpabilin didto sin pira ka adlaw.
ACT.11.1	Niyan, nabaritaan san mga apostoles kag san mga kamaranghod sa pagtuod sa Judea na an mga dili-Judio nag-ako man san katukduan san Dios. 
ACT.11.2	Kaya pag-abot ni Pedro sa inda ginatiripunan sa Jerusalem, ginsuay siya san mga Judio na nagaapin sa pagturi. 
ACT.11.3	Ginsukmat siya ninda, “Nagbisita ka sa mga dili turi na mga tawo kag nakikaon ka pa ngani sa inda!”
ACT.11.4	Didi ginpahayag ni Pedro sa inda an mga pasurunod na pangyari. 
ACT.11.5	“Myintras nagapangadyi ako didto sa syudad san Jope, nakakita ako sin pangitaon na may ginatunton na bagaʼn halapad na habol hali sa langit. Bagaʼn nagahalapit idto sa akon. 
ACT.11.6	Kaya, ginmasdan ko sin maayo kag may nakita ako sa sulod na manlain-lain na mga kumadlaganon na hayop, mga sawa kag mga sapat. 
ACT.11.7	Tapos, may nabati ako na boses na an sabi, ‘Pedro, magtindog ka, magpatay kag magkaon.’
ACT.11.8	“Pero nagsabat ako, ‘Ginoo, habo ako kay wara pa gayod ako kakaon sin ginabawal sa amon na mga Judio.’
ACT.11.9	“Nagpadayon gihapon an boses hali sa langit, ‘An ginlinis na san Dios dili mo dapat pagtawagon na bawal.’ 
ACT.11.10	Niyan, nangyari ini sin makatulo na beses, tapos, an tanan ginpabalik palangit.
ACT.11.11	“Sana man mismo may tulo ka tawo na nag-abot sa ginaistaran namon. Ginsugo kuno sinda pakadi sa akon hali sa Cesarea. 
ACT.11.12	Tapos, ginsabihan naman ako san Espirito Santo na mag-upod sa inda na waraʼn pagduha-duha. Ini man na unom ta na kamaranghod sa pagtuod didi nag-upod man sa akon kag nagsulod kami sa balay sadtoʼn tawo. 
ACT.11.13	Ginsumat naman niya sa amon kun pan-o kuno may nakita siya na anghel na nagatindog sa iya balay na nagasabi, ‘Magsugo ka pakadto sa Jope agod pakadion si Simon na ginatawag Pedro. 
ACT.11.14	Pagasabihan niya kamo san paagi na masasalbar ka kag san imo mga panimalay.’
ACT.11.15	“San matuna na ako pagsurmaton, nagsulod sa inda tanan an Espirito Santo pareho man san nangyari sa aton san una. 
ACT.11.16	Didi ko man nadumduman an ginsurmaton san Ginoo, ‘Si Juan nagbunyag paagi san tubig, pero kamo naman pagabunyagan sa Espirito Santo.’ 
ACT.11.17	Niyan, kun an Dios naghatag sin pareho na regalo sa inda sugad man na naghatag siya sa aton san magtuod kita sa Ginooʼn Jesu-Cristo, pan-o ako makakontra sa Dios?”
ACT.11.18	Pakabati ninda sani, wara sinda kapangsabat, kundi gin-umaw lang ninda an Dios. Nagsabi sinda, “Kaya, nag-ako man an Dios san mga dili-Judio agod makapagbasol sinda kag magkaigwaʼn buhay hasta na lang.”
ACT.11.19	Niyan, idtoʼn mga nagkaburulag tungod sa pagpasakit na nangyari san napatay si Esteban nakaabot hasta sa Fenicia, Cipre kag Antioquia. Nagapahayag sinda san surmaton san Dios sa mga Judio lang. 
ACT.11.20	Pero may pira san mga nagatuod na taga-Cipre kag Cirene na nagpakadto sa Antioquia. Pag-abot didto, nagpahayag sinda sa mga Griego manungod kan Ginooʼn Jesus. 
ACT.11.21	Paagi san poder san Ginoo an inda pagpahayag, kaya damo na mga tawo an nagtuod kag nagsarig sa iya.
ACT.11.22	Ini na barita nakaabot sa simbahan san mga nagaturuod sa Jerusalem kaya ginsugo ninda si Bernabe pa-Antioquia. 
ACT.11.23	Pag-abot niya didto kag nakita an mga maayo na ginhimo san Dios sa katawuhan, nalipay gayod siya. Tapos, ginpakusog niya an buot san tanan na magpadayon pagkamatinumanon sa Ginoo sa bilog ninda na tagipusuon. 
ACT.11.24	Kay maayo na tawo si Bernabe kag may gahom san Espirito Santo kaupod san pagtuod, damo pa an nadagdag sa nagatuod sa Ginoo dahilan san iya ginasabi.
ACT.11.25	Hali didto nagpakadto si Bernabe sa Tarso para hanapon si Saulo. 
ACT.11.26	Pakakita niya sa iya, gin-upod niya pabalik pakadto sa Antioquia. Sa sulod sin usad ka tuig nakig-upod sinda sa mga nagaturuod sa simbahan didto kag nagtukdo sa kadamuan na mga tawo. Didto sa Antioquia kauna-unahi gintawag an mga disipulos na mga Kristyano.
ACT.11.27	Sani man na panahon may mga propeta na nag-abot sa Antioquia hali sa Jerusalem. 
ACT.11.28	May usad sa inda na an ngaran Agabo, nagtindog siya kag paagi sa paggiya san Espirito Santo nagsurmaton na magakaigwa sin dako na gutom sa bilog na kinab-an. Nangyari man gayod ini san panahon ni Claudio. 
ACT.11.29	Dahilan sani nakaisip an mga disipulos na an kada usad sa inda susog sa kakayahan ninda, magpadara sin bulig sa mga kamaranghod sa pagtuod na nagaistar sa Judea. 
ACT.11.30	Kaya ginhimo ninda ini kag ginpadara idto paagi kanda Bernabe kag Saulo pakadto sa mga namumuno sa mga nagatuod didto.
ACT.12.1	Sana man na panahon, nagtuna pagpasakit an Hadi na si Herodes sa iba na mga nagatuod. 
ACT.12.2	Ginpapatay niya paagi sa ispada si Santiago na kamanghod ni Juan. 
ACT.12.3	Pakakita niya na nalipay an mga Judio dahilan sana, ginpadakop man niya si Pedro. Nangyari ini san kapyistahan san Tinapay na Waraʼn Lebadura. 
ACT.12.4	Pakatapos na gindakop si Pedro, ginpriso kag ginpabantayan siya sa upat na grupo san mga suldados. Ginaisip man ni Herodes na pakatapos san kapyistahan ipapaatubang si Pedro sa mga tawo.
ACT.12.5	Kaya si Pedro napriso, pero an mga nagatuod nangadyi gayod sa Dios para sa iya.
ACT.12.6	Sana mismo na gab-i antes pagapaatubangon ni Herodes si Pedro sa mga tawo, nagakaturog ini sa tunga san duha na suldados. Nakagapos man siya sa duha na kadena kag may mga bantay sa pwertahan san prisuhan. 
ACT.12.7	Bigla na lang may nagpakita na anghel san Ginoo kag may nagpawa sa sulod san prisuhan. Ginparatapik si Pedro sa kilid kag ginpukaw, tapos nagsabi, “Dali, magbangon ka.” Natangkas dayon an kadena sa iya mga kamot.
ACT.12.8	Pakatapos, ginsabihan siya san anghel, “Husaya an bado mo para paglakat kag isul-ot an imo sandalyas.” Nagsunod man dayon si Pedro. Tapos, nagsabi gihapon an anghel sa iya, “Ialikboy an imo pangsuon kag magsunod sa akon.” 
ACT.12.9	Kaya, nagsunod siya sa anghel paluwas san prisuhan, pero dili niya aram na matuod an nangyayari kundi naghuna siya na nakakita lang sin pangitaon. 
ACT.12.10	Pakalampas ninda sa una kag ikaduha na bantay, nakaabot sinda sa bakal na pwertahan pakadto sa syudad. Nag-abri mismo ini kag nakaluwas sinda, tapos, nakaagi sa kalye. Didi ginbayaan dayon siya san anghel. 
ACT.12.11	Nakamangno naman si Pedro kag nagsabi, “Niyan aram ko naman gayod na nagsugo an Dios san iya anghel para ilibre ako sa poder ni Herodes kag sa mga ginalauman san mga Judio.”
ACT.12.12	Pakamangno niya sani, nagpakadto siya sa balay ni Maria, iloy ni Juan na ginatawag man na Marcos. Didto may damoʼn nagatiriponna nagapangadyi para sa iya. 
ACT.12.13	Pagtuktok ni Pedro sa may pwertahan, naghalapit an suruguon na babayi na an ngaran si Roda agod aramon kun sin-o idto. 
ACT.12.14	Pakakilala san boses ni Pedro, wara niya abrihi an pwertahan kundi tungod sa iya kalipay, nagdalagan lugod pasulod kag nagbarita na si Pedro ada sa may pwertahan nagatindog.
ACT.12.15	Nagsabat sinda, “Nagabuang ka na siguro.” Pero nagpirit siya na matuod ini. Kaya, nagsabi gihapon sinda, “An iya anghel ina!”
ACT.12.16	Ugaling, nagparatuktok gayod si Pedro. Tapos, san abrihan ninda ini, nakita siya didto kaya nagkangarawa sinda. 
ACT.12.17	Ginsinyasan sinda na magpuyo, tapos gin-istorya niya sa inda kun pan-o siya ginpaluwas san Ginoo sa prisuhan. Nagtugon siya, “Pakisabi niyo sani kan Santiago kag sa mga kamaranghod sa pagtuod.” Pakatapos naghali na siya kag nagpakadto sa iba na lugar.
ACT.12.18	Pagkaaga na, an mga bantay nagkarilibog gayod kun hain si Pedro. 
ACT.12.19	San ginpahanap siya ni Herodes kag wara mahanapi, ginpanghunga an mga bantay, pakatapos, ginpapatay sinda. Tapos, nagpakadto siya sa Cesarea hali sa Judea kag nagpirme didto.
ACT.12.20	Kasadto naurit si Herodes sa mga katawuhan san mga lugar san Tiro kag Sidon, kaya nagtiripon sinda kag nagpakadto sa iya. Pakatapos na makigsurmaton kan Blasto na tagapamahala san hadi, nagpaupod sinda agod makighusay kay nagasarig lang sinda san inda pagkaon sa kadutaan san hadi.
ACT.12.21	Sa gintalaan na adlaw, ginsul-ot ni Herodes an iya bado na panghadi, tapos, nag-ingkod sa iya trono kag nagsurmaton sa mga katawuhan. 
ACT.12.22	Nagsiriyak an mga tawo, “Dili ini tawo na nagasurmaton kundi dios!” 
ACT.12.23	Sadto mismo, gintamaan siya san anghel san Ginoo sin sakit kay wara niya galangi an Dios. Kaya ginkutkot siya san mga ulod hasta namatay.
ACT.12.24	An surmaton san Dios nagpadayon lugod paglukop kag nagdagdag an mga nagatuod.
ACT.12.25	Sinda Bernabe kag Saulo naman nagbalik hali sa Jerusalem pakatuman san inda tuyo didto kag ginpaupod sa inda si Juan na ginatawag man Marcos.
ACT.13.1	Niyan, kaupod san mga nagatuod sa Antioquia may mga propeta kag mga paratukdo. An iba sa inda didi amo sinda Bernabe kag Saulo, Simon na ginabansagan na Negro, Lucio na taga-Cirene, kag Manaen na myimbro san panimalay san Gobernador na si Herodes. 
ACT.13.2	Myintras nagasamba sinda sa Ginoo kag nagaayuno, nagsabi an Espirito Santo, “Ipili niyo ako kanda Bernabe kag Saulo kay may trabaho ako para sa inda.” 
ACT.13.3	Pakatapos ninda pag-ayuno kag pagpangadyi, gindapatan san inda kamot sa pagbendisyon an duha kag ginpalakat na.
ACT.13.4	Kaya, nagpakadto sa Seleucia sinda Bernabe kag Saulo na ginsugo san Espirito Santo. Tuna didto naglayag sinda pakadto sa Cipre. 
ACT.13.5	Pag-abot ninda sa Salamina, ginpahayag an Maayo Na Barita hali sa Dios sa mga sinagoga san mga Judio. Kaupod man ninda si Juan Marcos.
ACT.13.6	San malibot na ninda an bilog na isla hasta sa Pafos, may nakasugat sinda na salamangkero na an ngaran si Bar-Jesus na usad na Judio na nagaangkon na propeta. Ginatawag man siyaʼn Elimas. 
ACT.13.7	Kaupod siya san gobernador san isla na si Sergio Paulo, usad na madunong na nagpatawag kanda Bernabe kag Saulo kay gusto niya mabati an mga surmaton manungod sa Dios. 
ACT.13.8	Pero ginkontra sinda ni Elimas na salamangkero (amo ini an gusto sabihon san iya ngaran). Ginhimo niya ini kay ginatalinguha niya na pahabuon an gobernador sa pagtuod kan Jesu-Cristo.
ACT.13.9	Tapos, si Saulo na ginatawag man Pablo na nasa gahom san Espirito Santo, ginturok an salamangkero 
ACT.13.10	kag nagsabi, “Anak ka san Dyablo, kaaway san tanan na pagkamatanos, dayaon kag maraot gayod, pirme mo ginahimuan an matanos na katukduan san Ginoo. 
ACT.13.11	Niyan pagakastiguhon ka san Ginoo, mabubuta kag pira-pira na mga adlaw dili makakita san kapaw-an.” Nabatyagan dayon ni Elimas an kadulom, kaya naghanap siya sin makakabit sa iya.
ACT.13.12	An gobernador naman nagtuod kan Saulo san makita niya an nangyari kay nangawa siya sa mga katukduan manungod san Ginoo.
ACT.13.13	Niyan naglayag sinda Pablo hali sa Pafos kag nakaabot sa Perge san Panfilia. Didi ginbayaan sinda ni Juan kag nagbalik sa Jerusalem. 
ACT.13.14	Pero nagpadayon pa sinda Pablo hali sa Perge kag nakaabot sa Antioquia san Pisidia. Pagkaadlaw San Pagpahuway nagsulod sinda sa sinagoga kag nag-ingkod didto. 
ACT.13.15	Pakatapos pakabasa sin mga pira sa Kasuguan kag san kasuratan san mga propeta, ginpasuguan sinda san mga namumuno san sinagoga na nagasabi, “Mga kaigmanghudan, kun igwa kamo sin isarabi sa mga tawo, sabihan na niyo.”
ACT.13.16	Kaya nagtindog si Pablo, ginsinyasan sinda na magpuyo kag nagsabi, “Mga katawuhan san Israel kag kamo na mga dili-Judio na may paggalang sa Dios, mamati. 
ACT.13.17	An Dios san mga katawuhan san Israel an nagpili san aton mga kalulululuhan kag ginhimo sinda na dako na nasyon myintras nagaistar sinda sa Ehipto. Ginpaluwas sinda san Dios sa Ehipto paagi san iya dako na poder. 
ACT.13.18	Sa sulod san 40 ka tuig gin-ataman sinda sa disyerto. 
ACT.13.19	San iya ginsira an pito na nasyon sa duta san Canaan, ginpairensya sinda san duta sa sulod san 450 na tuig.
ACT.13.20	“Pakatapos sani, an Dios nagbutang sin mga huwes agod maghadi sa inda hasta sa panahon san propeta na si Samuel. 
ACT.13.21	Tapos, nangayo sinda sin hadi. Kaya, ginhatag man sa inda san Dios si Saulo na anak ni Cis na hali sa lahi ni Benjamin. Siya an naghadi sa inda sa sulod sin 40 ka tuig. 
ACT.13.22	San halion si Saulo san Dios, ginhatag naman si David para maghadi sa inda. Amo ini an ginsabi san Dios manungod sa iya, ‘Nakita ko na si David na anak ni Jesse an tawo na nauuyunan ko. Siya magasunod sa tanan san akon kagustuhan.’
ACT.13.23	“Hali sani na lahi ni David, ginhatag san Dios sa Israel an iya gintuga na Parasalbar na si Jesus. 
ACT.13.24	Antes san iya pag-abot, nagtukdo si Juan sin bunyag na may kinahanglan na pagbasol kag pagbaya san pagkasala sa tanan na katawuhan san Israel. 
ACT.13.25	San matatapos na siya sa iya mga ginahimo, ginsabi niya sa mga tawo, ‘Nano, sa paghuna niyo ako an Mesias? Dili ako siya, pero maabot siya kasunod ko kag dili ngani ako angay bisan magtangkas san iya mga sandalyas.’
ACT.13.26	“Mga kaigmanghudan ko na hali sa lahi ni Abraham kag sa mga dili-Judio na may paggalang sa Dios, ginpadara sa aton ini na mensahe manungod sa pagkasalbar. 
ACT.13.27	Pero an mga tawo sa Jerusalem kag san inda mga namumuno dili maaram na siya an Parasalbar. Dili man sinda nakasabot san mga mensahe san mga propeta na ginabasa kada Adlaw San Pagpahuway. Pero paagi sa pagkondinar kan Jesus ginpamatuod naman ninda ina na mga mensahe. 
ACT.13.28	Bisan wara man sindaʼn nakita na ibidinsya para husgaran siya sin kamatayon, nag-ayo pa sinda kan Pilato na ipapatay siya. 
ACT.13.29	Tapos, pakatuman ninda san tanan na ginasabi manungod sa iya sa Kasuratan, ginlusad siya sa krus kag ginlubong. 
ACT.13.30	Pero ginbuhay gihapon siya san Dios hali sa kamatayon. 
ACT.13.31	Pakatapos, damo pa na mga adlaw nagpakita siya sa mga nag-upod sa iya sa Jerusalem hali sa Galilea, na amo an mga testigos niya sa mga katawuhan.
ACT.13.32	“Kaya ginadara namon an Maayo Na Barita na amo an gintuga san Dios sa aton mga kalulululuhan. 
ACT.13.33	Ini gintuman niya sa aton na inda mga anak san ginbuhay gihapon niya si Jesus pareho man san nakasurat sa ikaduha na Salmo na an Dios nagsabi,
ACT.13.33	‘Ikaw an akon anak, kag nagin ama mo ako yana.’
ACT.13.34	“Manungod naman sa pagpamatuod na ginbuhay si Jesus hali sa kamatayon kag dili na gayod madudunot, nagsurmaton an Dios sani na paagi,
ACT.13.34	‘Ihahatag ko sa iyo tanan an banal kag sigurado na mga bendisyon ni David.’
ACT.13.35	Nagsabi pa man siya sa iba na Salmo sugad sani,
ACT.13.35	‘Dili mo pagatugutan na magtios sin pagkadunot an imo Banal.’
ACT.13.36	“Matuod ini kay pakatuman ni David sa katuyuan san Dios sa iya sadiri na panahon, napatay kag ginlubong kaupod san iya mga kalulululuhan, tapos nagdunot, 
ACT.13.37	pero si Jesus na ginbuhay gihapon san Dios wara magdunot.
ACT.13.38	“Kun sugad, mga kaigmanghudan, sigurado na maaraman niyo na may kapatawadan kamo san kasal-an paagi kan Jesus susog sa aton pagpahayag. 
ACT.13.39	Niyan, paagi sa iya an tanan na nagatuod sani ginlibre sa tanan na kastigo na an Kasuguan ni Moises dili makalibre sa iyo. 
ACT.13.40	Kaya maghimat agod dili mangyari sa iyo an ginsabi san mga propeta:
ACT.13.41	Kitaa niyo, mga paratuya-tuya, magngalas kag mapatay, kay may ginahimo ako sa iyo kapanahunan,
ACT.13.41	na dili gayod niyo matutuudan bisan may magsabi pa sani sa iyo.”
ACT.13.42	Pagluwas na ninda naghangyo an mga tawo na magsurmaton gihapon sinda sani sa masunod na Adlaw San Pagapahuway. 
ACT.13.43	Pakatapos san pagtiripon sa sinagoga, damo na mga Judio kag mga dili-Judio na nadara sa pagtuod san mga Judio an nagsunod kanda Pablo kag Bernabe. Tapos, nagsurmaton ini sa inda kag nagpakusog san inda buot na magpadayon sa pagsarig sa pagkamaluluy-on san Dios.
ACT.13.44	Pagkaotro Adlaw San Pagpahuway, haros an bilog na syudad nagtiripon agod mamati san katukduan san Dios. 
ACT.13.45	Pero pakakita san mga Judio sa kadamuan, nagkaarawa sinda, kaya ginkontra an ginsabi ni Pablo kag ginpakaraot pa siya.
ACT.13.46	Ugaling, sinda Pablo kag Bernabe naman nagsurmaton lugod na makusog an buot, “Kinahanglan isabi anay gayod sa iyo an katukduan san Dios. Niyan, kay ginsikway niyo ini kag ginhusgaran mismo niyo na dili kamo angay sa buhay na waraʼn katapusan, kaya makadto kami sa mga dili-Judio. 
ACT.13.47	Matuod ini kay sugad sani an ginsugo sa amon san Ginoo na,
ACT.13.47	‘Ginbutang ko kamo na magin bagaʼn ilaw sa mga dili-Judio,
ACT.13.47	agod madara niyo an pagkasalbar sa bilog na kinab-an.’,”
ACT.13.48	Pakabati sani san mga dili-Judio, nagkarilipay sinda kag gin-galangan an katukduan san Dios. Tapos nagtuod idtoʼn ginpili para sa buhay na waraʼn katapusan. 
ACT.13.49	Kaya, an katukduan san Ginoo nakalukop sa bilog sana na lugar. 
ACT.13.50	Pero ginsulsulan san mga Judio an mga diosnon na kababayihan na kilala sa lungsod, amo man an kalalakihan na nagapamuno sa lungsod. Sugad sani nagtuna sinda pagpersigir kanda Pablo kag Bernabe, tapos ginpalayas sinda sa inda lugar. 
ACT.13.51	Pero ginpagpag sani na duha an alpog san inda mga tiil bilang pagtestigo kontra sa mga tagadidto kag nagpakadto sinda sa Iconio. 
ACT.13.52	An mga disipulos naman sa Antioquia nagkarilipay gayod kag napasa inda an Espirito Santo.
