MAT.1.1	Coa co cuatia Jesu Cristo moñemoñajaré ypycue guare. Jaé Davidrejegua, ja Abraamrejegua avei.
ACT.1.4	Ja sapya oimba pype oñondive cuera Jae jei ichupecuera anichene jaguâ oyei Jerusalem gui. Tojaârônte pe Túva remicuameêngue, upe pejendu voí jague Chejegui, jei. 
ACT.1.5	Pe Juan añetejápe omongaraí ŷpe ja nda jiareichene peê peñemongaraí jaguâ Espiritu Santo rupi, mboby ára mínte.
ACT.1.6	Upeicharamo oñembyaty ramo Jendive, oporandu Ichupe ja jei: ¿Ore Yára coángapa pe remopuâ yeby jaguâ ára mburuvicha guasu pyajú co Israel retâme? 
ACT.1.7	Ja Jae jei ichupecuera: Nda iyái peême peicuaá jaguâ aracaepa terâ mbaeicharupípa iya vaerâ umi mbae, umi Che Ru omoî vaecue oyejegui año voínte. 
ACT.1.8	Peême catu oñemeêne pende puacá jaguâ ogueyŷ pype pendereje Espiritu Santo, ja peê peicuaáucáne Chejegui Jerusalempe ja Judeape oparupi, ja Samariape ja opa co yby yerereje ipajaitépevé. 
ACT.1.9	Upei catu jeipávo âmbae, omaê yave voi jaecuera, Jae oyejupi ja peteî araí oyapyjy Ichupe ja omboí jeságui cuera. 
ACT.1.10	Ja omaê pype jicuai yvaga reje Jae ojo oyupi aya, sapyaite oime oñemoî jendive cuera mocoî cuimbae ao morotîmbáva. 
ACT.1.11	Ja umiva jei ichupecuera: Peê cuimbae Galileaŷgua, ¿Maerâpa peime ape peñemboŷjápe pemaêvo yvaga reje? Upe Jesús voi oyereraja vaecue yvagape pene paûgui voi, upeicha avei ou yebyne co pejecha jagueicha ojo ramo yvagape. 
ACT.1.12	Upemaramo oyeby jaecuera Jerusalempe, pe itáatŷra jérava Olivagui, upéva jiâgui Jerusalemgui mombyrycue yaguata jaichagua peteî sabado árape. 
ACT.1.13	Ja oike ogape ja oyupi pe coty yvatépeguape pe oico jápe Pedro ja Jacobo ja Juan ja Andres ja Felipe ja Tomas ja Bartolome ja Mateo ja Jacobo, Alfeo raŷ, ja Simon Zelotes, ja Judas, pe Jacobo ryby. 
ACT.1.14	Opavave umiva oñemboe tapiáva oñondivepá umi cuña ndive ja Maria, Jesús sŷ ndive ja itybyra cuera ndive.
ACT.1.15	Uperamo umi jaárape opuâ oñemboŷ Pedro umi jeŷicuera paûme ja jei ichupecuera (iyatyra retacue ciento y viente rupi): 
ACT.1.16	Peêcuera, carai cuera, che reŷicuera, jei, tecôtevê raé oyeyapo jecópe pe Santa Escriturape oiva jei jagueicha Espiritu Santo pe David yuru rupi pe Judás gui pe tapecuaájá omojenonde vaecue umi Jesús yapyjŷjarépe. 
ACT.1.17	Upéva voi peteî vaecue ñanderejeguáva voí ja ñande rembiapocuépe ñane irûngue. 
ACT.1.18	(Upeva voí oyogua peteî ñû pe iñangaipa repŷcué reje, ja oyeyuby ja ocapú mbytepe ja jyecue oyejecuavopá. 
ACT.1.19	Âmbae voí oyecuaapá umi Jerusalem rupi oico vaecuepe, upeváreje upe ñû oñembojéra iñeêtevépe Aceldama (Ñu Tuguy yaemo ñande). 
ACT.1.20	Oyeé voí pe Psalmos cuatiápe: Topyta nandi tapereicha pe jeco jague ja ani oime oico vaerâ pype. Toiké ambue jecoviárâ pe jembiapó ranguépe). 
ACT.1.21	Upévareje icatu voi tecôtevê yaiporavó peteîme coa carai cuera oico vaecue ñanendive, oico yaveve Ñandeyára Jesús oiké ja osê ramo guare ñanepaûme, 
ACT.1.22	iñypyrumby guive pe Juan omongaraí jague guive Ichupe, upe jaára oyererojory jague peve ñande apytegui, tecôtevê, upeicharamo, oñemoîucá peteî ñanendive cuera omojerâcuâ vaerâ Jae oicove yeby jague catuetei. 
ACT.1.23	Upei catu omoñembóy mocoîme, José pe jérava Barsabas, jéra yoáva avei Justo, ja Matiaspe. 
ACT.1.24	Ja oñemboejápe jicuai jei: Nde Ñandeyára, rejechacuaava opavave pyapy, ejechauca mávapepa reiporavóse umi mocoîgui, 
ACT.1.25	oiké jaguâ co tembiapo pype Ne rembiyocuai ramo Apostolrâ pe Judas recoviárâ pe ocúi vaecue ojo jaguâ jendâguâme. 
ACT.1.26	Upemaramo oity ichupecuera poá, ja joa poá Matias reje, ja jae oñemboyuapŷ umi once Apostol retacue reje.
ACT.2.1	Ja uperire oico yave pe arete guasu Pentecostes oime oñembyaty jicuai oñondive peteî mbaerânte. 
ACT.2.2	Ja sapyaite oico peteî osunúva yvagagui peteî ybytu jâtâ oipeyu vaicha ja jyapúpá pe oga ryguepŷ oguapy jaguepe jicuai. 
ACT.2.3	Ja oyejechauca ichupecuera icûngue vaicha iyapyra mocoîva tatá rendŷicha, ja ogueyŷ opyta peteî teî iñâcâ ári cuera. 
ACT.2.4	Ja opavavé jaecuera jenŷjêmba Espiritu Santo gui ja oñypyrú oñeê pytagua ñeême oñatôi jaicha ichupecuera Espiritu Santo oñeê jaguâ.
ACT.2.5	Sapya uperamo voi oico Jerusalempe jeta Judio carai iñemboécatúva ou vaecue opa tetâ ára guype oiva gui. 
ACT.2.6	Ja oñejendu ramo pe osunújá oñembyatŷpa umiva jetave cue rejeve ja oico peteî apayuáî ojendújá gui jina jaecuera peteî teîva oñeñeê ramo iñeêtevépe. 
ACT.2.7	Ja oñemondyi jicuai ja ojecharâmô ja jei: ¿Mbaeté pico? ¿Ndajaeipa Galileaŷgua opa coâva oñeêva jina? 
ACT.2.8	¿Mbaeichapa, upeicharamo, ñajendu oñeê ramo ñane ñeêteé ñane retâmeguape ñañemoña jague rejeguape? 
ACT.2.9	Oime ñandéva Partiaŷgua, ja ñandéva Mediaŷgua, ja ñandéva Elamŷgua, ja oime ñandéva Mesopotamiapegua, ja ñandéva Judeapegua, ja ñandéva Capadociapegua, ja ñandéva Pontopegua, ja ñandéva Asiapegua, 
ACT.2.10	oime ñandéva Phrygiapegua, ja ñandéva Pamphiliapegua, ja ñandéva Egyptopegua, ja oime ñandéva umi tenda oiva amongotŷóvé Cirenegui pe Africa retâmegua, ja oime ñandéva yayú vaecue sapyaminte Romagui, ja oime ñandéva Judiocuera, ja umi oñembo judio ramôva, 
ACT.2.11	ja oime ñandéva Cretaŷgua ja ñandéva Arabiaŷgua, ja upeicharamo yepe, coanga ñajendu ñaina oñeñeê ramo ñaneñeêteéme umi mbae guasu jechapyrâ Tûpâ Ñandeyára oyapo vaecue. 
ACT.2.12	Ja ojecharâmô jicuai iyapayuáî jicuai ja jei oyoupe: 
ACT.2.13	¿Mbaépa jeise cova? Oime ambuecue oñembojorŷ vaecue jesecuera ja jei Ocaúpa jicuai.
ACT.2.14	Upei catu Pedro opuâ oñemboŷ umi once ambue ndive ja oñeê osapucaijápe, ja jei: Peê carai Judiova, ja opa peê peimeva Jerusalempe, taicuaaucá pôrâ peême cova, ja pejendu pôrâkena che ñeê. 
ACT.2.15	Âva ndajaei ocaúva, peê peimoâ jaicha, pyjarevé asayemínte gueteri. 
ACT.2.16	Ndaupeichai. Cova nico pe oyeé jague cu Joel pe oñemoñeéjára ymaguare yuru rupi: 
ACT.2.17	Oicone umi ára pajávo, jei Tûpâ Ñandeyára, añojêne Che Espiritu gui opa umi ybypóra cuera rejegua reje ja pende raŷ ja pende rayŷ cuera oñemoñeêne ja pende cariaŷ cuera ojechane mbae jechapyrâ yvapegua, ja pende tuya ojechane ikepegua. 
ACT.2.18	Añetejápe Che rembiguai cuimbaéva ja cuñáva reje umi jaárape añojêne Che Espiritu gui ja oñemoñeêne, 
ACT.2.19	ja Che ajechaucáne mbae poromondŷi yvape ja mbae jechapyrâ ybyari, tuguŷ ja tatá ja tatatî: 
ACT.2.20	pe cuarajŷ iñypytûmbáne ja pe yasy oyejecha tuguŷcha ou mboyve cu Ñandeyára ára tuvicha ja pojyi jechacatupyrâ. 
ACT.2.21	Uperamo voí upeichavo opa umi ojenoi vaecue Ñandeyára rera oñembo jeco mârâ ŷ ne. 
ACT.2.22	Peê cuimbae, Israel rejegua, pejendúkena co che ñeê. Upe Jesús Nazareno, Carai Tûpa Ñandeyára ombou vaecue peême oyejechauca vaecue imbaeguasu rupi ja mbae oporomondŷiva rupi ja mbae jechapyrâ rupi umi Tûpâ Ñandeyára oyapo vaecue Jaerupi penepaûme, peê avei peicuaa pôrâ jaicha. 
ACT.2.23	Upéva catu oyeyapyjŷucá vaecue, Tûpâ Ñandeyára oipota voí jague reje oyeyapo ja oicuaa voí jaguereje upeichante oyeyapo vaerâ jague, ja peê peyucáucá Ichupe umi iñañáva po rupi curusu reje. 
ACT.2.24	Opaichavévonte Tûpâ Ñandeyára omopuâ yeby Ichupe ja omboí Ichupe pe ojasa asy ja omano jaguegui: ndaiyái voí Ichupe mbaevéicharamo oyeyoco umi omano vaecue paûme. 
ACT.2.25	Ja Upéva gui voí pe David jei vaecue: Ajecha tapia Ñandeyárape Che resápe voí. Oime voi Che acatua coty anichene jaguâ Che añemomyi. 
ACT.2.26	Upévareje Che pya rory ja obyaite Che cû ja Che roó yepe avei opytuúne ajaârôjápe. 
ACT.2.27	Nde voínte Nde rejeyaichene che anga umi omano vaecue oijápe, ja ne Che meêichene Cheve, Che Ne marangatúva, Che tuyú jaguâ. 
ACT.2.28	Reicuaaucá pôrâ raé Cheve pe tapé ojóva tecové jaetévarâme, Che mbobŷa tuvicháne ai pype Nde rovaké. 
ACT.2.29	Peê cuimbae cuera, che reŷi cuera, che ndakyjŷyei, iyajá reje voí cheve añeê pe David cú ñande ru ypycue gui omano ja oñeñotŷ jaguereje ja oimejá reje ñanepaûme coanga peve pe itacuá oñeñotŷ jague. 
ACT.2.30	Upéva catu oñemoñeê vaecue ojaûvôjára ramo, ja oicuaa voi vaecue Tûpâ Ñandeyára omeê jague iñeê ichupe oguéra teépe jetégui voí omopuâ jaguâ peteî jesecueraguáva oguapŷ vaerâ iguapŷ jaguépe mburuvicha guasu ramo, 
ACT.2.31	ja ojechacuaa jaguereje yma guive voí, oñeê Cristo oicové yeby vaerâ jaguâ gui, jei ramo guare ndo yejeyai jague umi omano vaecue oijápe ja jete nda ituyui jague. 
ACT.2.32	Co Jesús voí, Upéva catu pe Tûpâ Ñandeyára omoingove yeby vaecue ja opavavé ore roicuaáucá roina âmbae. 
ACT.2.33	Upeicharamo, Jae oñemopuâ rire Tûpa Ñandeyára acatuape, ja ojupityma ramo Túva gui pe Espiritu Santo, upe Jae oicuameê vaecue, anga oñojêma voi coa peê voi pejecha ja pejendu jaicha. 
ACT.2.34	Ndajaei upe David pe oyupi vaecue yvagape. Jae voínte jei vaecue: Jei vaecue Ñandeyára Che Yárape: Eguapy Che acatuape, 
ACT.2.35	amoîmbá meve umi iyaeŷva Ndereje Nde py renda ramo. 
ACT.2.36	Upevareje peicuaa pôrâ vaerâ añetejápe opavavé peê Israel cuérava Tûpâ Ñandeyára omoingôma jague Ñandeyara ramo ja Cristo ramo co Jesús voi peê peyucáucá vaecue curusú reje.
ACT.2.37	Upei catu ojenduma ramo umimbae oyepyapy jicuai ja jei Pedrope ja umi Apostol cuera ambuepe: Peê caraicuera, ore reŷi cuera ¿mbaépa royapota? 
ACT.2.38	Ja jei ichupecuera Pedro: Peñembojeco pyaju mbyasŷjápe peñemongaraíucá jaguâ peteî teî peêcuérava Jesú Cristo rérape pene pôtí jaguâ pene angaipa gui ja oñemeê reí jaguâ peême pe Espiritu Santo. 
ACT.2.39	Peêmeguârâ voí pe jemicuameêngue ja pende raŷcuera peguârâ ja opa umi mombyry jicuáivapeguârâ avei, opa umi Tûpâ Ñandeyára ojenôi jaguâichagua oyejeguarâ. 
ACT.2.40	Upeicha ja jeta ñeê ambue rupi jae oicuaaucá jecópe ichupecuera omojângévo ichupecuera ja jeivo: Peñemboŷké cóvarejegua co iñâcâjâtâva reco vaígui. 
ACT.2.41	Upei catu opa umi ogueroviáva iñeê oñemongaraíucá ja oime oñemboyuapŷ jetacue reje upe jaárape mbojapy mil ybypóra rupi. 
ACT.2.42	Ja umiva oico tapiá umi Apostol cuera omboe jaguepe, ja oñomongueta jaguepe oñondive, ja oñepejaâ jaguepe mbuyape caraí ja oñemboe jaguepe.
ACT.2.43	Ja oico kyjŷyé guasu ipyapecuera yoa, ja jeta mbae guasu ja jechapyrâ oyeyapo umi Apostol rupi. 
ACT.2.44	Ja opa umi oguerovia vaecue oi oñondive oñombaéva ramo. 
ACT.2.45	Ja oñemû joga cuera reje ja jymbá cuera reje ja omboyao jepycue opavavépe oicôtevê jaichaguánte. 
ACT.2.46	Ja oico tapia opa árape ipya pôrâ oñondive tûpâope ja oipejaâ jicuai mbuyapé caraí joga cuera rupi, ja ocaru oñondive torypápe ja ipya pôrâ oyoupecuera. 
ACT.2.47	Ja ombotuvicha Tûpâ Ñandeyárape ja oyererojory opa umi tapicha cuera gui. Ja Ñandeyára omboyuapy opa árape iyatŷrape umi jemimbo jeco marangatu pe.
ACT.3.1	Ja peteî ára sapya ojo Pedro ja Juan tûpâope oñemboé jaguâ asaye caaru. 
ACT.3.2	Ja sapya oime upepe peteî cuimbae iyapá vaecue isy rygue guive voi: upéva oyererú ja oñemoî opa árape pe tûpâo rokême, upe jérava Okê Pôrâ, oyerure jaguâ tûpâmbae reje umi tûpâope oikévape jicuai. 
ACT.3.3	Ja ojecha ramo upéva Pedro ja Juanpe oiketa ramo tûpâope oyerure tûpâmbaereje. 
ACT.3.4	Upei catu Pedro ja Juan oyesareco jese ja jei: Emaênte ore reje! 
ACT.3.5	Ja jae ojenduma ramo ichupecuera omaê jesecuera ojaarô pype jaecuera omeê ichupe tûpâmbae. 
ACT.3.6	Upei catu jei Pedro: Plata ja oro ndarecoi mbaevete. Co che arecóva tameê ndeve. Jesu Cristo Nazareno rérape epuâ ja eguatá! 
ACT.3.7	Ja upevo oipyjy ipo iyacatuapegua gui ja omopuâ ichupe ja upevove oñemo mbaraete ipy ja jetyma yuayújá, 
ACT.3.8	ja opopó ja oñemboŷ ja oguata ja oiké jendivecuera tûpâope oguata ja opo oicovo ja ombotuvicha Ñandeyárape. 
ACT.3.9	Ja opa umi jicuaiva upepe ojecha ichupe oguata ramo jiconi ja ombotuvicha ramo Tûpâ Ñandeyárape, 
ACT.3.10	ja jaecuera oicuaa jaejá upe oguapy vaecue pe tûpâmbae rendape pe tûpâo rokê pôrâ rupi. Ja ojecharâmô yoa, ja oñemondyi pe oyeju vaecue reje ichupe.
ACT.3.11	Ja oipyjy ramo Pedro ja Juanpe pe jetyma apá vaecue oñemo jesâi vaecue, opa umi ambuecue oñaní oñondive Jendápe cuera pe okê jérava Salomon rokê, oñemondyi yoa. 
ACT.3.12	Ja Pedro ojecha ramo upea jei umi iyatŷvape jicuai: Peê cuimbae Israel cuérava. ¿Mbaerejépa pejecharâmô âmbae, terâpa mbaereje peyesareco orereje ñaimoa icatu vaecue ore puacacué gui terâ ore marangatucue gui romboguata co cuimbaepe? 
ACT.3.13	Tûpâ Ñandeyára, pe Abraam ja Isaac ja Jacob Tûpâ Ñandeyára, ñande ru ypycue Ñandeyára, ombotuvicha raé Taŷra Jesúspe, Upe peê peyapyjŷucá vaecue, ja pemomârâ vaecue Pilato renondepe jiâma ramo yepe ichupe opoí jaguâ Ichugui rae. 
ACT.3.14	Peê catu pemomârâ upe Marangatúetéva ja Imbaépôrâitévape, ja peyerure opoí jaguâ reje peême peteî yucajaré gui. 
ACT.3.15	Ja peê peyuca pe Tecové Rapécuaájá jaetévape. Upévape Tûpâ Ñandeyára omoingove yeby umi omano vaecue apytegui, rojecha jagueicha ore ore resápe voi ja ore roicuaáucá jaicha añetejague. 
ACT.3.16	Ja Upe Jéra rupi oyerovia jague reje Jéra reje oñemo mbaraeté co cuimbae peê pejecha ja peicuaávape, ja pe oyeroviájague reje Jaérupi oñemeê ichupe jesâiite jaguâ opavave pende resápe. 
ACT.3.17	Coanga voi che reŷícuera, aicuaa pôrâ pejechacuaa ŷ jague guinte peê peyapo jague umimbae oyapo jagueicha pende ruvicha cuera avei. 
ACT.3.18	Upeicha voínte Ñandeyára oyapóucá jecópe pe yma omojerâcuâucá vaecue opa umi ñemoñeêjára yuru rupi ojasa asy vaerâ jague Cristo. 
ACT.3.19	Upévareje peñembo jecopyajú pyámbyasŷjápe ja peñemboyeré oñembogué jaguâ pene angaipa, ja upeicharamo, oune umi pene angapyjy jaguâ ára Ñandeyára renonde gui. 
ACT.3.20	Ja omboúne Jesúspe pe yma oñemoingo voi vaecue peême Cristorâ. 
ACT.3.21	Upéva añeté tecôtevê oñemojendá yvagape ôguajê meve umi opambae oñemyatyrômba jaguâ ára, oñeê jagueicha Tûpâ Ñandeyára opa umi oñemoñeêjara imarangatúva yuru rupi ymaite guive voí. 
ACT.3.22	Oimene ñemoñeêjára, upe Moises voínte jei vaecue, Tûpâ Ñandeyára omopuâ vaerâ peême umi pende reŷícuera apytegui cheichagua: upévape voí peê pejendune opambae oñeê vaerâ peême, 
ACT.3.23	ja oime ramo ojenduse ŷ vaerâ pe oñemoñeêjárape oñembyáipáne co tetâmegua paûgui. 
ACT.3.24	Upeicha avei opa umi ñemoñeêjára Samuel guive ja uperire opa umi ambuecue oñeê vaecue omojerâcuâ vaecue âva ára avei. 
ACT.3.25	Peê voi umi oñemoñeêjára rejeguava ja peê pe Tûpâ Ñandeyára ñande ru cuerape remicuameêmby yárarâ, jei ramo guare Abraampe: Umi nde rejegua cuera rupi oñemo mbaepôrâne opa ybypóra co ybyarigua guive. 
ACT.3.26	Peême raêve Tûpâ Ñandeyára omopuâ Taŷrape ja omboú Ichupe pene mombaepôrâ jaguâ pene mboŷkévo opavave peême pene rembiapo vaí gui.
ACT.4.1	Ja oñeê aya jaecuera umi ambuecue cuerape sapya ou Jendápe cuera umi pai ja pe tûpâo ñangarecójá ja umi saduceo, 
ACT.4.2	ipochŷpa voí umiva omboejá reje jicuai umi tetaŷguape ja omojêrâcuâjá reje jicuai Jesúrupi yaicové yeby vaerâ jaguâ umi omano vaecue paûgui. 
ACT.4.3	Ja oipyjy ichupecuera ja omoingue ybyracua rogape pe ára ambuepeve, caaruetéma jina. 
ACT.4.4	Upeichavo jeta umi ojendu vaecue pe Ñeê oguerovia ja jetacue umi cuimbae cinco mil rupi.
ACT.4.5	Ja oyejú pe ára ambuepe oñembyatŷ Jerusalempe juvicha cuera ja ituyáva ja iñaranduva, 
ACT.4.6	ja Annas pe pai guasu ja Caiafas ja Juan ja Alejandro ja opa pe pai guasu reŷícuérava. 
ACT.4.7	Ja omoñemboŷma ramo ichupe cuera mbytepe oporandu: ¿Mamoguipa pereco pendepope peyapo jaguâ âmbae terâpâ avá rérape peyapo raé? 
ACT.4.8	Upei catu Pedro jenyjê Espiritu Santo gui jei ichupecuera: Peê co ñane retâ ruvicha cuera ja peê carai ituyáva Israel cuérava, 
ACT.4.9	oñeporandu ramo oreve coanga pe mbae ipôrâva oyeyapo vaecue peteî jasyva reje mbaéichapa oñemo jesâi raé, 
ACT.4.10	taicuaaucá pôrâke opava peême ja opavavé co Israel retâmeguape, Jesú Cristo Nazareno rérape Upe peê peyucá vaecue curusu reje ja Tûpâ Ñandeyára omoingove yeby vaecue umi omano vaecue paûgui, Jaerupi catu co cuimbae jesâi yebymajá pene renondepe. 
ACT.4.11	Cova nico pe itá oñemombo vaecue peê peyogapo vaecue rupi, upéva catu oñemoîma pe oga ratî reje. Ja ndipori avave ambue ñanemo jesâijarâ. 
ACT.4.12	Ndipori voi jéra ambue ára guype oñemeê vaecue umi ybypóra cuera apytepe tecôtevêjá ñañe mojesâimba.
ACT.4.13	Upei catu ojecha ramo ipyaguasujá Pedro ja Juan ja oicuaa pype jaecuera cuimbae iñarandú-ŷ-vajá ja itaby nungájá, ojecharâmô ja ojechacuaa oico jague Jesús ndive. 
ACT.4.14	Ja ojecha pype pe cuimbae oñemo jesâi vaecuepe oicóva jendive cuera jiconi ndo guerecoi mbaeve jei vaerâ jesecuera, 
ACT.4.15	omosêucá mante ichupecuera upe oñomonguetá jaguegui jicuai. Ja upevove jaecuera oñomongueta oñondive jeivo: 
ACT.4.16	¿Mbaépa yayapone co cuimbae cuera reje? Añetejápe oyeyapo rae mbae jechapyrâ jaecuera rupi oyecuaáva voí opa umi Jerusalempe oicova gui ja ndicatui ñamomârâ. 
ACT.4.17	Opaichavévo anichene jaguâ oñemojêrâcuâvé co tetâ rupi ñamonguyjŷyé ichupecuera anichene jaguâ aguirire oñeêve avavépe Upéva rérape. 
ACT.4.18	Upei catu ojenoîucá ichupecuera ja jei ichupecuera anichene jaguâ mbaeveicharamo oñeêve terâ omboévé Jesús rérape. 
ACT.4.19	Upemaramo Pedro ja Juan oñeê ja jei: Yajecha ¿mbaépa peimoâ peê? ¿Royapopa jecópe Tûpâ Ñandeyára ypype ore ñeêrendú ramo peême ja na Tûpâ Ñandeyárapéi. 
ACT.4.20	Ore voi ndicatuiete roñomî co roe vaerâ pe rojecha ja rojendu vaecue gui. 
ACT.4.21	Upemaramo omonguyjŷyé yeby rire opoí ichuguicuera ndoyujui pype oinûpâ jaguâicha yepe ichupecuera, oijaguereje umi oñembyatŷva opava umiva vointe ombotuvicha Tûpâ Ñandeyárape pe oyeju vaecue reje. 
ACT.4.22	Pe cuimbae voi oñemo jesâi vaecue co mbaeguasu rupi oguereco jetavéma rae cuarenta añosgui.
ACT.4.23	Upei catu oyepoí rire ichuguicuera ou jaecuera jesecuéragua rendape ja omombeupá pe oyee vaecue ichupecuera umi pai ruvicha ja umi ituyáva gui. 
ACT.4.24	Ja umiva ojenduma ramo umimbae oñemboe oñondive oyerurévo Tûpâ Ñandeyárape ja jeivo: Ore Ruvicha Guasu, Nde catu reyapo vaecue yvaga ja yby ja ŷguasu ja opambae oiva ipypecuera, 
ACT.4.25	ja reñeê vaecue Espiritu Santo rupi pe ñande ru ypycue Ne rembiguai David yurú rupi eréucávo: ¿Mbaerejépa ocorôrô ipochy umi pytagua itabŷva, ja umi ybypóra oimoâ mbae rei meme? 
ACT.4.26	Opuâ umi mburuvicha guasu ybyarigua ja umi mburuvicha oñembyaty peteîcha oñemoívo Ñandáeyra reje, ja Cristo reje. 
ACT.4.27	Añetejápe voí oñembyaty co tetâme voi oñemoívo co Nde Ray marangatu Jesú reje, upe rembuetéucá vaecue Cristorâ, ja nda pe Herodes ja Poncio Pilato añoi, umi pytagua avei ja umi Israelcuérava, 
ACT.4.28	oyapopa jaguâ opambae Nde puacácué ja Ne arandúcué rejeve Nde rembosacoí vaecue ymaguive voi oyeyapoucá jaguâ. 
ACT.4.29	Ja coanga, Ñandeyára, emaêmi jaecuera ore momboi jicuai, ja emeê oreve Ne rembiguai cuerape rokyjŷyé ŷ reje romojerâcuâ jaguâ Ne ñeê. 
ACT.4.30	Eipysó Nde po remojesâiucávo ja reyapoucávo mbaeguasu ja mbae jechapyrâ Jesús Nde Ray Marangatu réra rupi. 
ACT.4.31	Ja upeicha oñemboépáma ramo pe oga jaecuera oi jaguepe oryryipá ja jenyjêmba yoa jicuai Espiritu Santo gui, ja oñemoñeê Tûpâ Ñandeyára Ñeê gui okyjŷyé ŷ reje.
ACT.4.32	Ja opa umi oguerovia vaecue oño pyápôrânte ja jianga peteîchante ja avavé ndeiri imbaéteéjá pe oguerecova. 
ACT.4.33	Opambae oñombaénte. Ja umi jemimboe cuera ipuacaite oicuaáucávo oicove yeby jague Ñandeyára Jesús ja opavave jaecuérava oñepytyvô Ñandeyára gui. 
ACT.4.34	Ja upeicha rupi ndipori oicôtevêva iyapytepe cuera. Ja opa umi oguerecova ñû ja oga oñemûmba jesecuera ja oguerú jepycue, 
ACT.4.35	ja omoî umi Apostol pŷ renondepe ja oñomboyaó oñopaûme oicôtevê jaichante. 
ACT.4.36	Uperamo oime José, pe oñembo jéra vaecue Bernabe umi Apostol paûme (jéra jeiséva Ipyaguapyva rejeguava, upéva Levita Ciproygua). 
ACT.4.37	Upéva oguereco peteî ñû ja oñemû jesé ja ogueru jepycue ja omoî umi Apostol py renondepe.
ACT.5.1	Uperamo oime peteî carai jérava Ananias jembireco Safira ndive oñemû vaecue peteî iyŷby reje, 
ACT.5.2	ja oñomî pe jepycue gui oicuaapype jembireco avei. Ja ogueru pe imboyaopyrémi ja omoî umi Apostol py renondepe. 
ACT.5.3	Upei catu jei Pedro: Nde Ananias, ¿mbaerejépa omuenyjê Satanas nde pya nde yapu jaguâ pe Espiritu Santope? ja reñomî jaguâ upe nde yby repycue gui? 
ACT.5.4	Nde rereco aya ichupe ¿ndo pytaipa rae ndeve; ja reñemû rire jese ¿noiri pa raé nde pope gueteri? ¿Mbaéichapa oñemoî raé âmbae nde pyape? Na nde yapu cuimbaepei, Tûpâ Ñandeyárapente. 
ACT.5.5	Ja upevove Ananias ojenduma ramo umi ñeê joa ja oyejekyi. Ja upeicha oico peteî kyjŷyé tuvicha opa umi ojendu vaecuepe. 
ACT.5.6	Ja opuâ umi cariay ja ojupi pe jetecue ja oguenojê oñoty jaguâ.
ACT.5.7	Ja ojasama ramo mbojapy horaicha sapya oike jembireco ndoicuaai pype pe oyeju vaecue ichupe. 
ACT.5.8	Upei catu Pedro jei ichupe: Ereminte cheve ¿reñemûpa raé pende yby coichagua repycue reje? Ja jei jae: 
ACT.5.9	Jeê, upeichagua repycue reje. Upemaramo jei ichupe Pedro: ¿Maerápa peê peñomongueta oñondive pembopochy jaguâ Ñandeyára Espiritupe. Pejendúke, ou yebyma jina umi oñotŷjaré neménape, ja ndeve avei nerenojêne. 
ACT.5.10	Ja upevove jae joa ipy renondepe, ja oyejekyi ja oiké umi cariay ja oyuju jeongue, ja oguenojê ja oñoty iména ypype. 
ACT.5.11	Ja oico kyjŷyé tuvicha eterei umi tûpâope oivape ja opa umi ojendu vaecue umimbae pe.
ACT.5.12	Ja umi Apostol pó rupi oyeyapo jeta mbaeguasu ja jechapyrâ upe tetâme. Ja oñemonoô jicuai yepi opavave oñondive pe Salomon rokême. 
ACT.5.13	Umi ambuecue cuérava gui voí ndipori mavave ndoyejeasei vaecue jesecuera, umi mboriaju mante oiporanguereco eterei ichupecuera. 
ACT.5.14	Ja umi ogueroviava Ñandeyarape oñembo jetave jetaite cuimbaéva ja upeicha avei cuñáva. 
ACT.5.15	Upévareje oguenojê umi jasŷvape cuera umi tapé rupi ja omoî jupape ja inimbepe icatu jaguâicha, ou ramo guârâ Pedro, jiâgue yepe oyupity peteîva ichupecuérava. 
ACT.5.16	Ja umi tetâ iyŷpyrupiguagui yepe iyatŷ jeta ybypóra Jerusalempe oguerúvo jasŷvape cuera ja umi mbaepochy rembitarovápe. 
ACT.5.17	Ja opavave jaecuérava jesâimba. Upemaramo opuâ pe paiguasu ja umi oiva jendive umi saduceo rejegua ja ipochŷ eterei jicuai, 
ACT.5.18	ja oipyjŷucá umi Apostol cuerape ja omoinguéucá ybyracua rogape. 
ACT.5.19	Upei catu ou pe Ñandeyára remimbou pyjaré ja oipea pe ybyracua roga rokê ja oguenojê ichupecuera ocápe ja jei: 
ACT.5.20	Tapejónte ja peiméma ramo tûpâope peñemoñeê umi tetaŷguape opa co Ñeê Tecové Marangatu gua gui. 
ACT.5.21	Ja ojenduma ramo umimbae pyjareve yepe oiké jaecuera tûpâope ja oporomboe. Ja upe aya ou pe paiguasu ja umi jicuai vaecue jendive ja ojenoî umi ambuecuepe oñomongueta jaguâme, ja umi ituyáva Israel cuéravape, ja omondo ybyracua rógape oguerúrucávo ichupecuera. 
ACT.5.22	Ja oguajêma ramo umi tembiyocuai ndoyujui ichupecuera ybyracuá rogape, upévareje oyeby ja omombeu jeivo: 
ACT.5.23	Añetejápe royuju pe ybyracuá roga oñemboty jâtâ pôrâ ja umi okê ñangarecójá oi umi okê renondepe, upegui roipea ramo ndo royujui avavepe jyguepŷpe. 
