MAT.1.1	BONKANDA wa lioci ja Yesu Masiya, bona owa Dawidi, bona owa Abalayama. 
ACT.19.14	Ko bana b’aende nsambo b’ont’omo lina likae Sekewa, bosi Yuda, nkanga ea joso, bakelaki ngoko. 
ACT.19.15	Ko bokali w’obe aolamba, aolakela, Njea Yesu, ko njea Paulo; lolonde inyo lole na? 
ACT.19.16	Ko bonto oki l’okali w’obe aofumbwa el’iyo, aolaumba, aolaikamela, ko baolota lim’ilombe iko l’otaka la mpota. 
ACT.19.17	Ko joi liko joleana el’ant’auma bafetsa nda Efeso, Ba-Yuda la Ba-Elene; ko booma bokwel’iy’auma, ko lina ja Nkolo Yesu jokumyama. 
ACT.19.18	Ko bant’auke bandimezaki baoya, baolieza beketo bekiyo, ko baosanga beko. 
ACT.19.19	Ko bam’auke bakelaki baoyi b’akunda baotakanya benkanda bekiyo, baotumb’eko nda joso j’ant’auma; ko baoandola wiko wa beko, ko bokita francs kese itano. 
ACT.19.20	Eleng’eko joi ja Nkolo jokaka o nkakaka, ko joyalema la mpamba.
ACT.19.21	Ko aki baoyi’ane osilaka, Paulo aosangya lisangya nd’olimo, wae a end’osiza lotuwana Makedonia la Akaya, acwe Yelusalema, aokela, Nd’afeka ba lokendo lokami eko, eji wae njene Loma ngoko. 
ACT.19.22	Aki’nd’otomaka bant’afe nda Makedonia lim’el’iyo bandokambyaki, wae Timoteo la Elaseto, ende mongo aocikala fele nda Asia.
ACT.19.23	Nd’ekek’eko etongo e’enene eoliela nd’ewela ea Mbok’eko. 
ACT.19.24	Ele botuli owa argent, lina likae Demetulio, otulaki baidola ba argent ba Diana, oatelaki batuli’amo belemo beuke bia nkito; 
ACT.19.25	aotakany’iyo l’auma bakamb’elemo bia argent, aokela, Baowa, inyo lea wae l’olemo’one toata liaci likiso. 
ACT.19.26	Ko inyo lolena, ko loloka, af’endo nda Efeso kika, lolonde ntutama la bise biuma bia Asia, wae Paulo one aolak’anto bauke, ko aolaangola, asanga wete iko indemama l’akata ifa nzakomba: 
ACT.19.27	ko afa wae bolemo’one’okiso kika botutam’osotsama; lolonde ilombe ya nkinda ya nzakomba e’enene e’omoto Diana isotsama ngoko, ko ende mongo omemya Asia euma l’anto b’okili bouma ifimana nda jilangi likae lileki. 
ACT.19.28	Ak’iy’ookaka joi liko baokama la nkele, baobeleza, Diana owa Ba-Efeso aleki lokumo! 
ACT.19.29	Ko bonanga’ouma boyalema jengi mongo: ko banto baolikumwa la lokai lomoko nd’itenela y’isano, ko nda mboka baokanda Ngayo la Alisitaluko, banto ba Makedonia baamanaki la Paulo nda lokendo. 
ACT.19.30	Lolonde aki Paulo olangaka wae acwe el’anto, bakimi ntabimeza, 
ACT.19.31	Ko bamo ba-mpifo ba Asia baki l’oseka, iyo la Paulo, baolotomela bomwa, baoloonda wae afaotswa nd’itenela y’isano. 
ACT.19.32	Bamo baobeleza joi limo, ko l’ankina joi linkina; nd’ewel’eki etakano o jengi mongo; ko balekolaki bauke wae banto batea ncina ek’iy’otakanaka. 
ACT.19.33	Baoyela Alesandulo lim’etukuluku, ko Ba-Yuda baololekya nda joso. Ko Alesandulo aolasasa l’akata, aokela wae alokole boloko el’anto fele. 
ACT.19.34	Lolonde ak’iy’okotolaka wete ende ale Bo-Yuda, iy’auma baobeleza la lofoso lomoko nga heures ife, Diana owa Ba-Efeso aleki lokumo! 
ACT.19.35	Ko bokoci ow’onanga aosas’anto b’etukuluku, aokela, Iny’anto ba Efeso, bonto ofea wae bonanga wa Efeso bole wesanyi ow’ilombe ya nkinda ea Diana, ko ow’efoya ekweki lima Zeu, ale nko? 
ACT.19.36	Iny’andea wae bafaikyeya baoyi’ako bikoli, eji l’inyo wae loyale o wai, ko lofokele joi ja yoyo. 
ACT.19.37	Ko loyelaki bant’ane endo, iyo bafa baiyi ba nkinda la basaoli ba nzakomba ekiso. 
ACT.19.38	Nd’ewel’eko, nga Demetulio la batuli bale l’ende bale la joi ja nko loswele, juges bal’eko, ko l’anto ba-mpifo; kela balokole nd’elenge endeji. 
ACT.19.39	Lolonde ayaka lasa joi j’akambo’ankina, kela lisile nda nteke endeji. 
ACT.19.40	El’iso totutama la joi nd’eloko e’etongo ea mbil’ene, esamba ncina, ko tofokuseya losanga ncina ea etakano ene. 
ACT.19.41	Aki’nd’otefelaka ngoko, aofanzola etakano.
ACT.20.1	AKI etongo osilaka, Paulo aoleta bakimi, aolalaka, aosisana
ACT.20.2	Ko aki’nd’otuwanaka bise biko, ko aolakemya bouke, aoya nda Elene. 
ACT.20.3	Ko aki’nd’oyalak’eko nsanza isato, ko nk’asemw’ende wae acwe Sulia, Ba-Yuda baolangel’ende wango, ende aosangya wete ute la mboka ea Makedonia. 
ACT.20.4	Bamo baolocindeza nda Asia, wete Sopatulo owa Beloya, bon’owa Pulo; ko l’amo ba Tesalonike, wae Alisitaluko la Sekundo; la Ngayo owa Delube la Timoteo; la ba Asia, Tukiko la Tulofimo. 
ACT.20.5	Lolonde bane bacwaki nda joso, ko baotolendeza nda Tuloa. 
ACT.20.6	Tosemwaki lima Filipoi nd’afeka b’embile bia mampa isamba nyango, ko tolaat’iyo nda Tuloa nd’embil’etano; toyal’eko bembile nsambo.
ACT.20.7	Nda mbile ea joso ea semaine, ak’is’otakanaka nda Mesa ea Nkolo, Paulo aolalaka, eka’nd’okelaka wae akende lobi; ko aolaka ndalaka elaka nko bonkeke w’otso. 
ACT.20.8	Ko totswa touke toki nda ntena e’aliko e’ilombe ek’is’otakanaka. 
ACT.20.9	Ko bosekota omo otangema Eutuko aokit’ase nda wiso wa fenêtre, aowa l’ais’ilo mongo; ko aki Paulo olakaka elingi mongo, ko bosekota’oko aokaka l’ais’ilo, aokwa lima nsamba e’isato e’ilombe, ko baoloambola aowa. 
ACT.20.10	Lolonde Paulo aokitela, aolokwela, aolokeketela, aokela, Talotongolake, ele loiko lokae lol’el’ende. 
ACT.20.11	Ko aki’nd’ounde, ko aotena mampa, ko aola, aotefela l’iyo elingi emo, elaka nko jefa jokya, aokenda. 
ACT.20.12	Baoyela bosekota ayoike, ko baocicima bouke nd’etema.
ACT.20.13	Lolo iso tokendaki nd’asua nda joso, tosemwa tocwa Aso, wae tokondeza Paulo eko; el’ende mongo aezaki ngoko, eki’nd’osangyaka wae akende mboka e’okili. 
ACT.20.14	Aki’nd’okumanaka l’iso nda Aso, tolokondeza, tokita Mitulene. 
ACT.20.15	Tosemwa lim’eko, ko nda mbile ea lobi toya ntutama la Kio; la mbile ea lifi tosema nda Samo; ko toyalaki fele nda Tulogulio, ko nda mbile e’afeka tokita Mileto. 
ACT.20.16	Paulo asangyaki lisangya wete alekane Efeso, eki’nde ntalanga wae ateme elingi nda Asia; el’ende aokenda lomo-lomo, wae nkina akuseya lokita Yelusalema nda mbile e’elambo ea Ntuku itano. 
ACT.20.17	Ko lima Mileto aotom’omwa nda Efeso, ko aoleta bampaka ba ekelesia. 
ACT.20.18	Ak’iy’oyaka el’ende, aolasangela, aokela,
ACT.20.18	Inyo mongo lea, lima mbile ea joso eki’m’oyaka nda Asia, elenge ekami eki’mi l’inyo bikeke biuma, 
ACT.20.19	elenge eki’m’osaelaka Nkolo la linsimi ja lokai liuma, ko la mpisali, ko l’enyoko benkwelaki la biango bia Ba-Yuda; 
ACT.20.20	ko lea wete ncisa joi limoko lionga l’inyo, njolak’inyo nd’esayenge la nda tolombe la tolombe, 
ACT.20.21	njosangela Ba-Yuda la Ba-Elene eututaelo nda lokai lokiyo ele Nzakomba, ko l’imeezo ele Nkolo ekiso Yesu Masiya. 
ACT.20.22	L’aeyoko, bala, nkenda ntungama nd’olimo nda Yelusalema, ko mpea baoyi bankwela eko; 
ACT.20.23	imola nko Bolimo w’olotsi aonsangela nd’enanga beuma wae bikata l’aoyi b’elo bifonjiela. 
ACT.20.24	Lolonde mpotenya loiko lokami botema, lolonde ndanga wae nsiza lokendo lokami, l’olemo wa mpifo eki’m’oambaka lim’ele Nkolo Yesu, wae nsange nsango e’olotsi ea Nzakomba. 
ACT.20.25	Ko aeyoko, bala, njea wete iny’auma lofaena elongi ekami lenkina, em’ondetetaki el’inyo ko ondongozaki Likulaka. 
ACT.20.26	Nd’ewel’eko, nsangel’inyo mbil’ene, wae emi nde soto lim’alongo b’ant’auma. 
ACT.20.27	El’emi ncianga boangi losangel’inyo wango wa Nzakomba bouma. 
ACT.20.28	Lesany’inyo mongo, la botonga’ouma, boki Bolimo w’olotsi oilak’inyo baesanyi, wae loongole ekelesia ea Nkolo eki’nd’osombaka l’alongo’akae mongo. 
ACT.20.29	El’emi njea nd’afeka b’ekendelo ekami nkoi ya wale mongo ifotsw’el’inyo, ko ifaoikya botonga; 
ACT.20.30	ko banto bifemala lim’el’inyo mongo, bifotefel’aoyi ba njungusanya, babele bakimi wae bakim’iyo. 
ACT.20.31	Nd’ewel’eko, lesanya, ko lofwa wae années isato ncambya lolak’anto bauma l’otso la mbile o la mpisali. 
ACT.20.32	Aeyoko ndeky’inyo ele Nzakomba, la joi ja boya bokae, likemyey’inyo, ko likay’inye lisango el’iy’auma b’oeko. 
ACT.20.33	Ncikombola wolo la francs ko l’enkoto bi’onto nko loswele la mposa. 
ACT.20.34	Inyo mongo lea wete bakata’ane baombatela toma toki’m’oelaka wela, ko l’iyo baki l’emi ngoko. 
ACT.20.35	Njoleney’inyo l’aoyi’auma wae elenge endeji la nkakamba e’olemo lokambya ba tongoi, ko lofwa baoyi baki Nkolo Yesu mongo okelaka, Nkaka eolekola njaamba l’ekemo.
ACT.20.36	Aki’nd’osangaka ngoko, aokus’aongo, ko aoonda l’iy’auma. 
ACT.20.37	Ko iy’auma baolela la mpisali, ko baokwela Paulo nkingo, ko baolosambela la baisers, 
ACT.20.38	lokeseli lokiyo lolekola nd’ewela ea joi liki’nd’okelaka, wae bafaena lenkina elongi ekae nye. Ko baolocindeza nd’asua.
ACT.21.1	KOKO ak’is’oimanak’el’iyo, ko tosemwa, tofenda ci, ko tokita Kosa, ko nda mbile ea lobi nda Lode, lim’eko tokita Patalia; 
ACT.21.2	ko ak’is’otanaka basua bafenda nda Poinike, tokondela, tosemwa. 
ACT.21.3	Ak’is’oenaka Kulese, ko tocika eko nda wiji wa likata ja waji, tocwa Sulia, ko tosema nda Tula; el’iyo baocwa osafol’eko toma toki nd’asua. 
ACT.21.4	Ko ak’is’otanaka bakimi, toyal’eko bembile nsambo; ko bane baosangela Paulo la Bolimo wete afocwe nda Yelusalema. 
ACT.21.5	Aki bembile’eko okokaka, tolimana, ko tocwa lokendo lokiso; ko iy’auma, l’aaji l’ana, baotocindeza, elaka nko tolola lim’onanga; ko tokus’aongo nd’eselo ea lieke, toonda, 
ACT.21.6	ko tosesana
ACT.21.7	Ak’is’osizaka lokendo lima Tula, tokita Petolemai; ko toluola balongo, toyala l’iyo mbile emoko. 
ACT.21.8	Ko nda mbile ea lobi tokenda, tokita Kaisalia; tolotswa nd’ilombe ya Filipo, bosangi owa nsango e’olotsi, omo owa nsambo, ko tokit’ase l’ende. 
ACT.21.9	Bont’one aki la bana b’amato banei batafoalana l’aende, ko batelaki lotelo. 
ACT.21.10	Ko ak’is’omongak’eko bembile beuke, boteli omo otangema Agabo, aokitela lima Yudea. 
ACT.21.11	Ende aoy’el’iso, aokola bosenge wa Paulo, aotungy’akaka l’akata’akae mongo, aokela, Bolimo w’olotsi aotefela baoyi’ane, Ba-Yuda nda Yelusalema bifotungya bomongo bosenge’one eleng’ene, ko bifoleky’ende nd’akata ba Bafaya. 
ACT.21.12	Ak’is’ookaka baoyi’ane, iso l’akimi b’onanga’oko, toloonda wete afocwe nda Yelusalema. 
ACT.21.13	Nkako Paulo aolamba, Inyo lokela ngamo? Lolela, ko lotena botema’okami lae? el’emi njolelama, afa wae ntungame kika, lolonde mbwe nda Yelusalema nd’eloko ea lina ja Nkolo Yesu. 
ACT.21.14	Aki’nde ntimeza boondo’okiso, tocika, ko tokela, Jango ja Nkolo likelame.
ACT.21.15	Nd’afeka b’embile bene tokoma toma, tocwa Yelusalema. 
ACT.21.16	Ko bakimi’amo lima Kaisalia baokenda l’iso, ko baototomba ele Menesona owa Kupulio, bokimi owa kalakala, ko tocw’okit’ase eka’nde.
ACT.21.17	Ak’is’okitaka Yelusalema, balongo baotamb’iso l’osalangano mongo. 
ACT.21.18	Ko nda mbile ea lobi Paulo aolotswa l’iso ele Yakobo; ko bampaka bauma baki eko. 
ACT.21.19	Aki’nd’ouolak’iyo, aolasangela belemo, bomoko l’omoko, beki Nzakomba okambaka ele Bafaya l’ekambelo ekae. 
ACT.21.20	Ko ak’iy’ookaka, baokumya Nzakomba; ko baolokela, Lilongo, olena wae bitukuluku mongo bia Ba-Yuda baolimeza; ko iy’auma bale la mposa mongo ea bisekyelo; 
ACT.21.21	ko bant’amo baolasangela, wae olaka Ba-Yuda bauma bale nda bise bia Bafaya wete basundole Mose, ekela we wae bafotene nsonge ya bana’akiyo, ko bafokime bilenge bi’aise. 
ACT.21.22	Tokele na? el’iyo bifoka wae oya. 
ACT.21.23	Eonga wae okela joi line likosangel’iso; tole la bant’anei basimbaki nsimbi; 
ACT.21.24	w’akole, ko ofetole we mongo l’iyo l’efetswelo ea bisekyelo, ko we mongo futa nd’eloko ekiyo, wae bakool’etsa bekiyo; ko bant’auma bifea wete baoyi’auma bak’iy’ookaka nd’eloko eke bafa nsosolo; lolonde bifea wae we mongo okenda nd’elenge endeji, ko ofonga bisekyelo. 
ACT.21.25	Lolonde nd’eloko ea Bafaya bandimeza, tokotaki besise bek’is’oezaka wae bakile nyama ilekyamaki ele baidola, l’alongo, la nyama iomamaki la nkakoma; ko la jibi. 
ACT.21.26	Nkako Paulo aokol’ant’ako, ko mbile ea lobi aofetol’ende mongo l’iyo l’efetswelo ea bisekyelo; baolotswa nd’ilombe ya Nzakomba, ko baoleneya esilelo ea bembile bia efetswelo, elaka nko mbeka eolekyama nd’eloko ekiy’auma.
ACT.21.27	Ko aki bembile beko nsambo otutam’osila, Ba-Yuda ba Asia, ak’iy’oenak’ende nd’ilombe ya Nzakomba, basomanya banto b’etukuluku l’ende, ko baolokita l’akata, 
ACT.21.28	baobeleza, Banto ba Yisalaele, lotokambya; One ale nk’ende olaka bant’auma nda bise biuma wete batoton’iso, la bisekyelo, ko l’itenel’ine y’oeko; ko aoyela Ba-Elene nd’ilombe ya Nzakomba ngoko, ko aofita itenel’ine y’oeko. 
ACT.21.29	Ek’iy’oenaka nda joso Tulofimo bosi Efeso l’ende nd’onanga, ko baotanga wae Paulo ayel’ende nd’ilombe ya Nzakomba. 
ACT.21.30	Ko bonanga’ouma bofuka, ko banto baolikumwa wij’omoko; baokanda Paulo, ko baolobela lim’ilombe ya Nzakomba: ko nkako bikuke biokombama. 
ACT.21.31	Ko ak’iy’oasaka wae boome, banto baosangela commandant ea soldats wae Yelusalema euma eofuka. 
ACT.21.32	Ko nkakoyoko aokola soldats la capitaines, ko aolikumwa el’iyo: ko ak’iy’oenaka commandant la soldats baolambya lokunda Paulo. 
ACT.21.33	Nkako commandant aotutama, ko aolokanda, aokela wae ende atungame la benyolo befe; ko aoluola lina likae, ko la joi liki’nd’okelaka. 
ACT.21.34	Bamo b’etukuluku baobeleza joi limo, ko bankina joi linkina; ko aki’nde ntea ncina ea joi nd’ewela ea etongo, aokela wae boyel’ende nda forteresse. 
ACT.21.35	Ak’iy’okitaka nd’eundelo, aotombama la soldats nyango wale w’etukuluku: 
ACT.21.36	ele banto b’etukuluku baokimana l’iyo, ko baobeleza, Loimol’ende!
ACT.21.37	Ko ak’iy’otutamaka lotsweya Paulo nda forteresse, ende aokela commandant, Kela nkosangele joi. Aolamba, Kamba wea lofoso ja Ba-Elene? 
ACT.21.38	We ofa bont’oko owa Ejipeto, otakanyaki banto nd’etumba nda joso j’embil’ene, ko atombaki baende nkot’inei baomi b’anto nd’etekeleke nde? 
ACT.21.39	Lolonde Paulo aokela, Emi nde Bo-Yuda, bosi Taluseu nda Kilikia, bosi bonanga bofosambe lokumo: nkoonde oncike wae ntefeele banto. 
ACT.21.40	Aki’nd’okaak’ende etefelo, Paulo aolemala nd’eundelo, aolet’anto la likata; ko ak’iy’oyalaka wai, aolasangela nda lofoso ja Ba-Ebele, aokela.
ACT.22.1	BALONGO l’aise, lokoza boloko bokami bolokol’emi aeyoko el’inyo. 
ACT.22.2	Ak’iy’ookaka wete aolasangela nda lofoso ja Ba-Ebele, baoyala wai mongo; ko aokela, 
ACT.22.3	Emi nde Bo-Yuda, ootswaki nda Taluseu nda Kilikia, lolonde baombongola nd’onanga’one, ko njolakema nda bisekyelo bi’aise’akiso nd’akaka ba Ngamaliele, ko nki la mposa mongo nd’eloko ea Nzakomba, o ngol’iny’auma mbil’ene; 
ACT.22.4	ko nnyokolaki ba-Mbok’ene nk’el’iwa, ntungyaki baende l’amato, ko njayelaki nda tolombe ta njanga. 
ACT.22.5	Ko nkanga ea joso mongo ifimeza wae ntefela nsosolo, ende la boloi wa bingambe bouma ngoko, mbataki benkanda lim’el’iyo wae ntombele balongo ba Yuda, ko ncwaki Damaseke wete njel’iy’aki eko ntungama la bikata nda Yelusalema, wae baate joi ja nsisoza. 
ACT.22.6	Ko aki’m’okende, ko njotutama la Damaseke, nga midi mongo, sasimo fole e’enene lima loola eongesa el’emi kio samanyu. 
ACT.22.7	Ko nkweki nd’amoci, ko njokaki lofoso lonkelaki, Saula, Saula, onyokol’emi ncina na? 
ACT.22.8	Ko njolamba, Nkolo, w’ole na? Ko aokela, Emi nde Yesu owa Nazaleta, onyokola we. 
ACT.22.9	Iyo baki l’emi benaki fole nsosolo, lolonde ntabokaki lofoso lokae otefelaki l’emi. 
ACT.22.10	Njokela, Nkolo, njifokela ngamo? Ko Nkolo aonkela, Emala, yokende nda Damaseke; bifokosangel’eko baoyi’auma bandeji la we wae okele. 
ACT.22.11	Aki’mi ncena nye nd’ewela ea ngesi-ngesi ea fole eko, iy’aki l’emi baonkita la likata, ko njoya nda Damaseke. 
ACT.22.12	Ko bont’omo Anania, bomemyi owa Nzakomba eleng’ele bisekyelo, ko osimam’olotsi la Ba-Yuda bauma bafetsak’eko, 
ACT.22.13	ende ayaki el’emi, emalaki ntutama l’emi, ko aokela, Lilongo Saula, ena o njeena. Ko nda heure eko njolen’ende. 
ACT.22.14	Ko aokela, Nzakomba ea baise’akiso aokosona wete wea jango likae, ko wene Ondeji, ko woke lofoso lima bomwa’okae. 
ACT.22.15	Ele we wifoyala temoin ele bant’auma nd’eloko ekae, ea baoyi baki w’oenaka ko baki w’ookaka. 
ACT.22.16	Ko aeyoko, otema lae? emala yiname nd’asi, ko sola we mongo lim’aoyi’obe bakawe, eta lina ja Nkolo nd’oondo. 
ACT.22.17	Ko aki’m’outaka nda Yelusalema, ko mbondaki nd’ilombe ya Nzakomba, nkweki nga nda liloto, 
ACT.22.18	ko njenaki Ende nd’enelo, aonkela, Kaola yoimane lima Yelusalema lomo-lomo; el’iyo bafimeza nsango ekawe nd’eloko ekami. 
ACT.22.19	Ko njokela, Nkolo iyo mongo bea wae ntungyaki bant’ako bauma bakimeza, ko njakundaki nda basunagoga bauma; 
ACT.22.20	ko aki balongo ba Setefano temoin ekawe outezamaka, emi nkemi eko ngoko, ko njimezaki, ko njesanyaki benkoto bia bant’ako bandoomaki. 
ACT.22.21	Ko ende aonkela, Kenda; el’emi njifokotoma esi mongo ele Bafaya.
ACT.22.22	Ko iyo baolookoza, elaka nko aanda joi liko; ko nkako baobeleza, baokela, Limola bont’ow’eleng’ene lim’okili; el’ende afeji wae aike. 
ACT.22.23	Ko ak’iy’obelezaka, ko baolimol’enkoto bekiyo, ko baolusa biucu nd’aliko, 
ACT.22.24	commandant aotom’omwa wete boyel’ende nda forteresse, ko aokela wae boengele la nkakunda ea lojiji, wae ea ncina ea joi lik’iy’obelezaka ngoko nd’eloko ekae. 
ACT.22.25	Ko ak’iy’otungyak’ende la bekulu, Paulo aoluola capitaine ekiyo okemi ntutama, Eonga nde wae lokunda bosi Loma la lojiji, end’atafumbama likambo? 
ACT.22.26	Aki capitaine ookaka joi liko, aocw’ele commandant, aokela, joi likela we na? ele bont’one ale bosi Loma. 
ACT.22.27	Commandant aoya, aolokela, Onsangele, ole bosi Loma nde? Aokela, Onde. 
ACT.22.28	Ko commandant aolamba, Emi nsombaki mpifo ene l’osolo bouke mongo. Ko Paulo aokela, Lolonde emi mbotswaki bosi Loma. 
ACT.22.29	Ko iy’akelaki wae boengel’ende baolimana lim’el’ende nkakoyoko; ko commandant aolok’ooma mongo, aki’nd’oeaka wae ale bosi Loma, ko eki’nd’otungyak’ende.
ACT.22.30	Nda mbile ea lobi, aolotungola, eki’nd’olangaka wete ende ea ncina ea joi liki Ba-Yuda oakak’ende, ko aosisela nkanga ya joso la nteke euma ea bingambe wae batakane, ko aokiteza Paulo el’iyo, aoloemya nda joso likiyo.
ACT.23.1	KO Paulo aala nteke ea bingambe te, aokela, Balongo, njalaki nda joso ja Nzakomba la juge e’otema e’olotsi elaka nko mbil’ene. 
ACT.23.2	Ko Anania, nkanga ea joso mongo, aotoma iy’akemi ntutama l’ende wete bosakole nd’omwa. 
ACT.23.3	Nkako Paulo aolokela, Nzakomba ifokosakola we, etucu eisama la boko wa fe! Kamb’okit’ase wae otene likambo likami eleng’ele bisekyelo, ko otoma wae bansakole elenge efeji la bisekyelo? 
ACT.23.4	Iy’akemi baokela, Ofangwela nkanga ea Nzakomba ea joso mongo nde? 
ACT.23.5	Ko Paulo aokela, Balongo, ncea wae ale nkanga ea joso mongo; ele joi jokotama, Ofaotanga ole la mpifo ele banto’ake lotango j’obe. 
ACT.23.6	Lolonde aki Paulo oenaka wete boloi’omo boki Basadoke, ko boloi’onkina Bafalusi, aobeleza nda nteke, Balongo, emi nde Bofalusi, bona ow’ofalusi; ko baonjengela mbil’ene nd’ewel’ea lolendezo l’eetswelo ea bawei. 
ACT.23.7	Ko aki’nd’otefelaka ngoko, Bafalusi la Basadoke baoatana joi mongo; ko nteke eokafwana. 
ACT.23.8	Ele Basadoke baokela wae nk’eetswelo e’awei, ko nk’ekima ea loola, nk’olimo bal’eko; lolonde Bafalusi bimeza bak’afe bal’eko. 
ACT.23.9	Nkako baotongol’etongo mongo; ko bakoci bamo b’enkanda baki nd’oloi w’afalusi baolemala, baolikya bikoli, baokela, Iso tofene bobe el’ont’one; ko ayaka bolimo nkin’ekima ea loola atefelaki l’ende, joi na? 
ACT.23.10	Ak’iy’oseka lisa mongo, commandant aangaki boangi, nyango Paulo afotenya nda bitei l’iyo; aotoma soldats wete bakitele, kela boimol’ende lim’el’iyo la bolo, ko boyel’ende nda forteresse.
ACT.23.11	Ko botso wa lobi Nkolo aolemala l’ende, aokela, Ik’otema; o ngoki w’osangaka nd’eloko ekami, nk’eleng’eko wifosanga nda Loma.
ACT.23.12	Aki jefa okya, Ba-Yuda baotung’ombale, ko baosimba nsimbi, baokela wae bafaola ko bafaomela elaka nko baoma Paulo ci. 
ACT.23.13	Ko bant’ane batungaki’ombale baolekola ntuku inei. 
ACT.23.14	Iyo baoy’ele nkanga ya joso la bingambe, baokela, Iso tosimba nsimbi e’enene, wae tofaola elaka nko tooma Paulo. 
ACT.23.15	Ko aeyoko inyo la nteke ea bingambe losisele commandant wae akitez’ende el’inyo, nga lolanga wete lengele likambo likae o njengela mongo; ko asing’end’otutama, iso tolelama wae toome ci. 
ACT.23.16	Lolonde bona owa nkana ea Paulo aoloka wete baololamba l’iyoko, ko aolotswa nda forteresse, aosangela Paulo joi liko. 
ACT.23.17	Ko Paulo aoleta capitaine emo ea soldats el’ende, aokela, Tomba bosekota’one ele commandant; el’ende ale la joi wae asangel’ende. 
ACT.23.18	Ko aolokola, aolotomba ele commandant, ko aolokela, Paulo ole nd’onyolo aonjeta el’ende, aonjuola wae njele bosekota’one ele we, ende ale la joi wete akosangele. 
ACT.23.19	Ko commandant aolokita la likata, aocwa lokuko, aolouola, Joi lilanga we wae onsangele lile na? 
ACT.23.20	Aolamba, aokela, Ba-Yuda baotung’ombale wae bakuole we wete okiteza Paulo lobi nda nteke ea bingambe, elenge nga okela wae w’uole joi limo nd’ewela ea likambo likae njuola mongo. 
ACT.23.21	Lolonde tawaimezake nye; ele bant’akiyo balekana ntuk’inei baololamba l’iyoko, ko baosimba nsimbi wae bafaola ko bafaomela elaka nko baolooma ci; ko baolelama, baolendez’elaka lim’ele we. 
ACT.23.22	Ko commandant aocika bosekota’oko akende, ko aolokela, Tosangelake bont’omoko wete onjeneyaki baoyi’ane. 
ACT.23.23	Ko aoleta capitaines bafe, aokela, neuf heures l’otso, lemaza soldats benkam’efe, la soldats ba mpunda ntuku nsambo, l’akici b’akonga benkam’efe, wae bakende nda Kaisalia. 
ACT.23.24	Ko aolakela wete bakole mpunda, kela bafya Paulo nd’eko, ko botomb’ende bolotsi ele Felika owa gouverneur mongo. 
ACT.23.25	Ko aokota bonkanda ngone:
ACT.23.26	Emi Kulaudio Lusia ele gouverneur eleki lokumo, wete Felika, Wandao! 
ACT.23.27	Bont’one aokandema la Ba-Yuda, ko akocik’isisi wae aomame l’iyo, aki’m’oyaka el’iyo l’oloi wa soldats ko njolotungola, eki’m’okotolaka wet’ende ale bosi Loma. 
ACT.23.28	Ko njolokiteza nda nteke ekiyo, eki’m’olangaka wae njea ncina ek’iy’oakak’ende joi; 
ACT.23.29	ko njolena wete baoloaka la baoyi ba bisekyelo bikiyo mongo, lolonde iyo ntaboak’ende la joi lindeji l’iwa la bikata. 
ACT.23.30	Ko aki’m’ookaka wae baolangela bont’oko wango, njolosokoza ele we nkakoyoko, ko njosisela baaki’akae wete batefele joi likiyo nd’ewel’ekae nda joso likawe mongo.
ACT.23.31	Ko soldats baokola Paulo ngok’iy’otomamaka, ko baoloyela l’otso nda Antipatuli. 
ACT.23.32	Lolonde nda mbile ea lobi, baocika ba-mpunda bakende l’ende, ko iyo baoluta nda forteresse. 
ACT.23.33	Ak’iy’okitaka Kaisalia, baokaya gouverneur bonkanda, ko baolekya Paulo el’ende. 
ACT.23.34	Aki’nd’oandaka boko, aoluola ese ekae mongo, ko aki’nd’ookaka wae ale bosi Kilikia, 
ACT.23.35	aokela, Wenaka baaki’akawe baoya, njifoka joi likawe liuma; ko aotom’omwa wae boesanya nda ilombe ya pretoire ea Elode.
ACT.24.1	AKI bembile betano olekaka, Anania nkanga ea joso mongo aokitela, ende la bingambe bimo, l’otefeji omo owa nkaso, otangema Telutulo; ko baosangela gouverneur likambo ja Paulo. 
ACT.24.2	Ko ak’iy’oetaka Paulo, Telutulo aanga loak’ende ngone, aokela,
ACT.24.2	Andok’iso ekemo eki w’otoatela kuci mongo, ko w’oongeza banto b’ese ene baoyi batakeji la lokai loki w’okanelaka nda joso, 
ACT.24.3	iso tamba ngoko nda bilenge biuma la nda totenela touma, ko tokosima boya mongo, Felika oleki lokumo! 
ACT.24.4	Lolonde nkoonde wae l’isei ike otokoz’iso nd’aoyi baf’auke, nyango mpokoatela bompele l’aoyi’auke. 
ACT.24.5	El’iso tolena bont’one ow’obe mongo, bosomanyi owa bitongo ele banto ba Yuda bauma nda bise biuma bi’okili, ko ale bonto owa joso nd’oloi wa Ba-Nazaleta; 
ACT.24.6	ko ende aomeka wae asekole boeke w’ilombe ya Nzakomba: ko iso tolokanda, [ko tolangaki wae tosambe likambo likae eleng’ele bisekyelo bikiso. 
ACT.24.7	Lolonde commandant Lusia aoy’el’iso, ko aotofonola bont’one l’etumba mongo, 
ACT.24.8	ko aotoma baaki’akae wete baye ele we.] Ko nga we mongo w’oengel’ende, wifea baoyi’ane bauma bandoak’iso. 
ACT.24.9	Ko Ba-Yuda baoamana l’ende, ko baokela wete baoyi’ako bale o nsosolo.
