MAT.1.1	Книга
LUK.10.1	Потоа, Господ избра и други – седумдесет ученици
LUK.10.2	и им рече: – Жетвата е голема, а работници се малку; затоа молете Го Господарот на жетвата да испрати работници на жетвата Своја.
LUK.10.3	Одете! Ете, Јас ве праќам како јагниња меѓу волци.
LUK.10.4	Не носете со себе ни ќесе, ни торба, ниту обувки и никого патем не поздравувајте!
LUK.10.5	И во која куќа ќе влезете, кажете: – Мир на овој дом!
LUK.10.6	Па, ако биде таму синот на мирот, вашиот мир ќе остане на него; ако ли не, тој ќе се врати во вас;
LUK.10.7	и во таа куќа останете, јадете и пијте што ќе ви дадат; зашто работникот ја заслужува својата награда. Не преоѓајте од куќа в куќа!
LUK.10.8	И во кој град ќе влезете, и ќе ве примат, јадете што ќе ви изнесат пред вас;
LUK.10.9	лекувајте ги болните што се во него и говорете им: се приближи до вас царството Божјо!
LUK.10.10	А во кој град влезете и не ве примат, излезете по раскрсниците негови и кажете:
LUK.10.11	– И правот од вашиот град што се прилепил на нас, ви го истресуваме; но знајте го ова, дека се приближи до вас царството Божјо.
LUK.10.12	Ви велам, дека во оној ден, на Содом ќе му биде полесно, отколку на тој град.
LUK.10.13	Тешко тебе, Хоразине! Тешко тебе, Витсаидо! Оти, ако во Тир и Сидон се беа извршиле чудата што станаа кај вас, тие одамна, седејќи во вреќа и пепел, би се покајале;
LUK.10.14	ама на Тир и Сидон ќе им биде полесно на Судот, отколку вам.
LUK.10.15	И ти, Капернауме, којшто си се воздигнал до небо, до пеколот ќе паднеш.
LUK.10.15	Крај на петокот
LUK.10.16	Кој ве
LUK.10.17	Седумдесетте, пак, се вратија со радост и велеа: – Господи, во Твое име и бесовите ни се покоруваат.
LUK.10.18	А Он им рече: – Го видов сатаната кога падна од небото како молња.
LUK.10.19	Еве, ви
LUK.10.20	но, не радувајте се на тоа, дека духовите ви се покоруваат, а радувајте се, што имињата ваши се напишани на небесата.
LUK.10.21	Во тој час се возрадува Исус во духот и рече: – Те прославувам, Оче, Господи на небото и на земјата, оти си го сокрил ова од мудрите и разумните, а си го открил на простите. Така е, Оче, зашто таква била волјата Твоја.
LUK.10.21	Крај на св. апостоли, на ангелите, и на саботата.
LUK.10.21	Читај на св. Убрус
LUK.10.22	Па, откако се сврте кон учениците, рече: – Сѐ Ми
LUK.10.23	И кога се обрна кон учениците, тивко им рече: – Блажени се очите, кои го гледаат тоа што го гледате вие!
LUK.10.24	Зашто, ви велам, многу пророци и цареви сакаа да видат што гледате вие, и не видоа; и да чујат што слушате вие, и не чуја.
LUK.10.24	Крај на понеделникот и на св. Убрус
LUK.10.25	И ете, стана еден законик и,
LUK.10.26	А Он му рече; – Што е напишано во Законот? Како читаш?
LUK.10.27	Тој одговори и рече: – „Возљуби Го Господа, твојот Бог, со сето свое срце, со сета своја душа, со сета своја сила и со сите свои помисли; и својот ближен како себеси“!
LUK.10.28	И му рече: – Добро одговори; тоа прави го и ќе бидеш жив.
LUK.10.29	Но тој, сакајќи да се оправда, Му рече на Исуса: – А кој е мојот ближен?
LUK.10.30	Исус му одговори и рече: – Еден човек слегуваше од Ерусалим во Ерихон, и сретна разбојници, кои го соблекоа и му нанесоа рани, и си отидоа, оставајќи го полумртов.
LUK.10.31	Случајно, по тој пат слегуваше еден свештеник и, кога го виде, си замина.
LUK.10.32	Исто така и еден левит, кога дојде на тоа место, се приближи, погледна и си отиде.
LUK.10.33	Еден Самарјанин, пак, кој патуваше, кога дојде до него, го виде и се сожали.
LUK.10.34	И кога се приближи, му ги преврза раните, поливајќи ги со елеј и со вино; па, откако го качи на добитокот свој, го однесе во гостилница и се погрижи за него.
LUK.10.35	А утредента, на кинисување, извади два сребреника, му ги даде на гостилничарот и му рече: – Припази го; и, ако потроши нешто повеќе, кога ќе се вратам, ќе ти платам!
LUK.10.36	Кој, пак, од тие тројца, ти се чини, дека му бил ближен на оној што падна во рацете на разбојниците?
LUK.10.37	А тој одговори: – Оној што му направи милост. Исус му рече: – Оди и ти прави така!
LUK.10.37	Крај на неделата.
LUK.10.38	И кога одеа, влезе Он во
LUK.10.39	А таа имаше сестра по име Марија, која седна при нозете Исусови и го слушаше словото Негово.
LUK.10.40	Марта, пак, беше се зафатила со многу работи и, кога застана, рече: – Господи, зар не сакаш да знаеш дека сестра ми ме остави да служам сама? Кажи ѝ да ми помогне!
LUK.10.41	Но Исус ѝ одговори и рече: – Марто, Марто, ти се грижиш и се трудиш за многу работи,
LUK.10.42	ама само едно е потребно! Марија го избра добриот дел, што нема да ѝ се одземе.
LUK.10.42	Изостави на св. Богородица и премини на зачало 58
LUK.11.1	Еднаш, беше Он на
LUK.11.2	А Он им рече: – Кога се молите, говорете: Оче наш, Кој си на небесата, да се свети името Твое; да дојде царството Твое, да биде волјата Твоја, како на небото, така и на земјата:
LUK.11.3	лебот наш насушен дај ни го секој ден;
LUK.11.4	и прости ни ги нашите гревови, зашто и самите ние му ги проштеваме на секој нашдолжник; и не воведувај нѐ во искушение, но избави нѐ од лукавиот.
LUK.11.5	И им рече: – Ако некој од вас има пријател и отиде при него на полноќ, па му каже: – пријателе, дај ми на заем три леба;
LUK.11.6	оти ми дојде еден пријател од пат и немам што да му принесам;
LUK.11.7	а оној однатре да му одговори и рече: – не обеспокојувај ме; портата е веќе затворена и децата се со мене во постела; не можам да станам да ти дадам.
LUK.11.8	Ама ви велам, макар и да не стане да му даде затоа, што му е пријател, но ќе стане поради неговото настојување и ќе му даде колку што му треба.
LUK.11.9	И Јас ви кажувам:
LUK.11.10	Зашто секој што сака – добива, и кој бара – наоѓа, и на тој што чука, ќе му се отвори.
LUK.11.10	Крај на вторникот
LUK.11.11	И кој е тој татко меѓу вас, што, ако синот негов му побара леб, ќе му даде камен? Или ако побара риба, – да му даде змија, место риба?
LUK.11.12	Или ако побара јајце, – да му даде скорпија?
LUK.11.13	И така, значи, ако вие, бидејќи лукави, умеете да давате добри дарови на чедата свои, колку ли повеќе небесниот Отец ќе им даде Дух Свети на оние што Му бараат?
LUK.11.13	Крај на средата
LUK.11.14	Еднаш Он истера еден бес,
LUK.11.15	А некои од нив велеа: Он ги изгонува бесовите преку Веелзевула, кнезот на бесовите.
LUK.11.16	А други, искушувајќи Го, Му бараа знак од небото.
LUK.11.17	Но Он, знаејќи ги нивните помисли, им рече: – Секое царство разделено на две половини, едно против друго, запустува; и дом – на групи, една против друга, пропаѓа;
LUK.11.18	ако, пак, и сатаната се разделил самиот против себе, како ќе се одржи царството негово? Оти велите дека Јас преку Веелзевула ги истерувам бесовите.
LUK.11.19	И, ако Јас преку Веелзевула ги истерувам бесовите, тогаш синовите ваши преку кого ги истеруваат? Затоа тие ќе ви бидат судии.
LUK.11.20	Ако Јас, пак, со прст Божји ги изгонувам бесовите, тоа значи дека до вас дошло царството Божјо.
LUK.11.21	Кога силен човек ќе се вооружи и го припази домот свој, тогаш имотот негов е во безопасност.
LUK.11.22	Но, ако некој посилен од него го нападне и победи, тој ќе му го земе сето оружје, на кое се надевал, и ограбеното од него ќе го раздаде.
LUK.11.23	Кој не е со Мене,
LUK.11.23	Крај на четвртокот.
LUK.11.24	Кога нечистиот дух ќе излезе од човека, тој оди преку безводни места и бара спокој; и, не наоѓајќи, вели: – ќе се вратам во домот свој, од каде што излегов.
LUK.11.25	Па, штом ќе дојде, го наоѓа изметен и уреден;
LUK.11.26	тогаш оди и доведува други седум духови, полоши од себе, и кога ќе влезат, ќе живеат таму; и последната состојба на тој човек ќе му биде полоша од првата.
LUK.11.26	Крај на петокот.
LUK.11.26	Читај на св. Богородица
LUK.11.27	А кога го зборуваше тоа, една жена извика од народот и Му рече: – Блажена е утробата што Те носела и градите, од кои си се хранел.
LUK.11.28	А Он рече: – Да, но блажени се и оние што го слушаат словото Божјо и го пазат.
LUK.11.28	Крај на св. Богородица
LUK.11.29	Ана народот што се собираше, почна да
LUK.11.30	зашто, како што Јона беше знак за ниневијците, така ќе биде и Синот Човечки за овој род.
LUK.11.31	Јужната царица ќе излезе на суд со луѓето од овој род и ќе ги осуди, оти таа дојде од друга земја, за да ја чуе мудроста на Соломона; а, ете, тука е поголем од Соломона.
LUK.11.32	И ниневијците ќе излезат на суд со луѓето од овој род и ќе ги осудат, зашто тие се покајаа од проповедта на Јона; а ете, тука е поголем од Јона.
LUK.11.33	Никој, пак, не клава запалено светило на сокриено место, ниту под поклоп, туку на свеќник, за да ја видат светлината оние што влегуваат.
LUK.11.33	Крај на понеделникот
LUK.11.34	Светило за
LUK.11.35	затоа гледај: светлината што е во тебе, да не биде темнина.
LUK.11.36	Ако, пак, целото твое тело е светло и нема ниту еден темен дел, тогаш тоа ќе биде така светло, како кога светило те осветлува со светлина.
LUK.11.37	И кога зборуваше Он, еден фарисеј Го замоли да руча кај него. Он отиде и седна на трпезата.
LUK.11.38	И фарисејот се зачуди, кога виде дека Он не си ги изми рацете пред јадење.
LUK.11.39	Но, Господ му рече: – Ете, вие фарисеите ја миете чашата и чинијата однадвор, а, пак, внатрешноста ви е полна со грабеж и лукавство.
LUK.11.40	Безумни, не е ли истиот Оној што ја создаде и надворешноста и внатрешноста?
LUK.11.41	Но, давајте милостина според своите сили, и сѐ во вас ќе биде чисто.
LUK.11.41	Крај на вторникот
LUK.11.42	Ама тешко вам,
LUK.11.43	Тешко вам, фарисеи, оти сакате да сте на првите места во синагогите и да ве поздравуваат по улиците.
LUK.11.44	Тешко вам, книжници и фарисеи, лицемери, оти сте како сокриени гробови, преку кои луѓето одат и не ги знаат.
LUK.11.45	Одговори некој од закониците и Му рече: – Учителе, кога го велиш тоа, Ти и нас нѐ навредуваш.
LUK.11.46	Но Он рече: – Тешко и на вас, закониците, бидејќи ги натоварувате луѓето со тешки бремиња за носење, а вие самите ни со еден прст не се допирате до тие бремиња.
LUK.11.46	Крај на средата
LUK.11.47	Тешко вам,
LUK.11.48	со тоа сведочите за делата на своите татковци и ги одобрувате, бидејќи тие ги убија пророците, а вие им ѕидате гробници.
LUK.11.49	Затоа и Божјата премудрост рече: Ќе им испратам пророци и апостоли, и едни од нив ќе убијат, а други – ќе прогонат;
LUK.11.50	за да се побара од овој род крвта на сите пророци, пролеана од постанокот на светот;
LUK.11.51	од крвта на Авела, па до крвта на Захарија, којшто е убиен меѓу жртвеникот и храмот. Да, ви велам, ќе се побара од овој род.
LUK.11.52	Тешко вам, законици, оти го зедовте клучот на познанието; самите не влеговте, а и на оние што сакаат да влезат, им попречивте.
LUK.11.53	А кога го зборуваше тоа, книжниците и фарисеите почнаа силно да се гневат на Него и да Го прашуваат за многу работи;
LUK.11.54	Го демнеа, сакајќи да уловат нешто од Неговата уста, за да Го обвинат.
LUK.12.1	Меѓутоа, кога се насобра многуилјаден народ, така што се газеа еден со друг, Он почна да им говори најнапред на Своите ученици: – Пазете се од квасот фарисејски, бидејќи е лицемерие.
LUK.12.1	Крај на четвртокот
LUK.12.2	Нема ништо
LUK.12.3	па затоа, тоа што сте го рекле во темнина, ќе се чуе на видело; и тоа што сте го рекле на уво во тајните одаи, ќе биде разгласено од покривите.
LUK.12.4	А вам, на Моите пријатели, ви велам: Не бојте се од оние што го убиваат телото и потоа не можат ништо повеќе да направат;
LUK.12.5	но, ќе ви кажам од кого да се боите: Бојте се од Оној, Којшто, по убивањето, има власт да фрли во пеколот; да, ви велам, од Него бојте се!
LUK.12.6	Зар не се продаваат пет врапчиња за два пенеза? И ниедно од нив не е заборавено од Бога.
LUK.12.7	А вам и влакната на главата ви се изброени. Па така, не бојте се: од многу врапчиња вие сте поскапи.
LUK.12.8	И ви велам: Секој
LUK.12.9	а кој ќе се одрече од Мене пред луѓето, и тој ќе биде одречен пред Божјите ангели.
LUK.12.10	На секого што ќе каже збор против Синот Човечки, ќе му биде простено; но, на оној што ќе похули на Светиот Дух, нема да му се прости.
LUK.12.11	А кога ќе ве одведат во синагогите и пред властите и началствата, не грижете се како или што ќе одговорите, или што ќе кажете;
LUK.12.12	зашто, Светиот Дух ќе ве научи, во истиот час, што треба да кажете.
LUK.12.12	Крај на петокот и на светителот
LUK.12.13	И екој, пак, од народот Му рече:
LUK.12.14	А Он му рече: – Човеку, кој Ме постави да ви судам или да ве делам?
LUK.12.15	Па им кажа: – Гледајте и пазете се од лакомство, оти животот на човека не зависи од изобилието на неговиот имот.
LUK.12.15	Изостави во понеделникот
LUK.12.16	Аим кажа парабола и рече: – На некој богат човек
LUK.12.17	и мислеше во себе, велејќи: што да направам? Немам во што да ги соберам плодовите свои.
LUK.12.18	И рече: ова ќе направам: – ќе ги урнам амбарите свои и ќе соѕидам поголеми, и таму ќе го соберам сето свое жито и сите свои добра,
LUK.12.19	и ќе ѝ речам на душата своја: душо, имаш многу добра, приготвени за многу години; јади, пиј и весели се!
LUK.12.20	Но, Бог му рече: – Безумниче, ноќеска ќе ти ја побарам душата твоја; тоа што си го подготвил, кому ќе му остане?
LUK.12.21	Така бива со оној што собира добра за себе, а не се богати во Бога.
LUK.12.21	Крај на неделата
LUK.12.22	И им рече на учениците Свои:
LUK.12.22	Читај во понеделникот
LUK.12.22	Затоа ви велам: – не грижете се за душата своја, што ќе јадете, ниту за телото свое, што ќе облечете.
LUK.12.23	Душата е многу поскапа од храната, и телото – од облеката.
LUK.12.24	Погледајте ги гавраните дека ниту сеат, ниту жнеат; тие немаат скривници, ниту амбари и Бог ги храни; а колку сте поскапи вие од птиците?
LUK.12.25	Па и кој од вас, грижејќи се, може да му додаде еден лакот на својот раст?
LUK.12.26	И така, кога ни најмалото нешто не можете да го направите, зошто се грижите за другото?
LUK.12.27	Погледајте ги криновите како растат: ни се трудат, ниту предат; ама ви велам, дека ни Соломон, во сета своја слава, не се облече така, како еден од нив.
LUK.12.28	Ако, пак, тревата во полето, која денеска ја има, а утре во оган се фрла, Бог така ја облекува, тогаш колку повеќе вас, маловерни!
LUK.12.29	Па затоа и вие, не барајте што ќе јадете или што ќе пиете; и не загрижувајте се.
LUK.12.30	Сето тоа го бараат и незнабошците на овој свет; а вашиот Отец знае, дека тоа ви е потребно.
LUK.12.31	Но, барајте го царството Божјо, и сето тоа ќе ви се придаде.
LUK.12.31	Крај на понеделникот
LUK.12.32	Не бој се,
LUK.12.33	Продајте си ги имотите ваши и давајте милостина! Подгответе си ќесиња што нема да изветвеат, неисцрпно сокровиште на небото, каде што крадец не се приближува и коешто молец не го јаде;
LUK.12.34	зашто, каде што е сокровиштето ваше, таму ќе биде и срцето ваше.
LUK.12.35	Нека ви биде половината притегната и светилата – запалени!
LUK.12.36	Тогаш и вие ќе личите на оние луѓе, коишто го чекаат својот господар да се врати од свадба, за да му отворат веднаш, штом ќе дојде и почука.
LUK.12.37	Блазе на оние слуги, кои господарот ќе ги затече будни, кога ќе си дојде. Вистина ви велам, тој ќе се препаше и ќе им рече да седнат, па ќе пристапи и ќе им служи.
LUK.12.38	А, ако дојде и на втора стража, и на трета дојде ли, и ги затече така, блазе на тие слуги.
LUK.12.39	Знајте го и тоа, ако домаќинот на куќата знаеше во кој час ќе дојде крадецот, тој ќе седеше буден и немаше да дозволи да му ја поткопаат куќата.
LUK.12.40	И вие, значи, бидете готови! Зашто, во кој час не мислите, ќе дојде Синот Човечки.
LUK.12.40	Крај на саботата
LUK.12.41	А Петар Му рече: – Господи, за нас ли ја кажуваш оваа парабола, или за сите?
LUK.12.42	Тогаш Господ рече:
LUK.12.42	Кој е тој верен
LUK.12.43	Блазе на тој слуга, чијшто господар, кога ќе дојде, ќе го затече така да постапува;
LUK.12.44	вистина ви велам, дека тој ќе го постави него над целиот свој имот.
LUK.12.45	Ако, пак, тој слуга рече во срцето свое: – нема скоро да дојде мојот господар, па почне да ги бие слугите и слугинките, да јаде и пие и да се опива,
LUK.12.46	господарот на тој слуга ќе дојде во ден, во којшто не очекувал, и во час што не го знаел, па ќе го оддели и срамни со неверните.
LUK.12.47	А оној слуга, што ја знае волјата на својот господар и не се подготвил и не постапил според волјата негова, ќе биде многу биен;
LUK.12.48	кој, пак, не знаел и направил нешто достојно за наказание, ќе биде малку биен.
LUK.12.48	Кому му е многу дадено,
LUK.12.48	Крај на вторникот
LUK.12.49	Јас дојдов да донесам оган на земјата и колку би сакал веќе да беше се разгорел.
LUK.12.50	Со крштение треба да се крстам и колку Ми е мачно додека не се сврши тоа.
LUK.12.51	Мислите ли дека сум дошол да дадам мир на земјата? Не, ви велам, туку да разделам;
LUK.12.52	оти отсега, петмина во една куќа ќе бидат разделени: тројца против двајца и двајца против тројца;
LUK.12.53	ќе биде татко против сина си и син против татка си; мајка против ќерка си и ќерка против мајка си; свекрва против снаата своја и снаата против свекрвата своја.
LUK.12.54	А на народот му рече: Кога ќе видите дека се крева облак од запад, тогаш велите: – ќе врне дожд; така и бива.
LUK.12.55	а кога дува јужниот ветер, велите: ќе биде вруќина; па така и бива.
LUK.12.56	Лицемери, лицето на небото и земјата умеете да го распознавате, а ова време, како не го распознавате?
LUK.12.57	Зошто и самите од себе не судите што е праведно?
LUK.12.58	Кога одиш со својот противник пред власта, гледај уште патем да се измириш со него, за да не те предаде на судијата, а судијата на слугата и слугата да те фрли во затвор.
LUK.12.59	Тебе ти велам, оттаму нема да излезеш, додека не ја дадеш и последната пара.
LUK.12.59	Крај на средата
LUK.13.1	Во тоа време, дојдоа некои и
LUK.13.2	Исус им одговори и рече: – Мислите ли дека тие Галилејци беа најгрешни од сите Галилејци, та така што пострадаа?
LUK.13.3	Не, ви велам: ако не се покаете, сите така ќе загинете.
LUK.13.4	Или мислите дека оние осумнаесет души, врз кои падна Силоамската кула и ги уби, беа најгрешни од сите жители на Ерусалим?
LUK.13.5	Не, ви велам: но, ако не се покаете, сите така ќе загинете.
LUK.13.6	И ја кажа оваа парабола: – Некој човек имаше во своето лозје посадена една смоква, па дојде да бара на неа плод, и не најде.
LUK.13.7	Тогаш му рече на лозарот: – ете, три години доаѓам и барам плод на оваа смоква, и не наоѓам; пресечи ја; – зошто само да ѝ пречи на земјата?
LUK.13.8	А тој му одговори и рече: – Господаре, остави ја и оваа година, додека да ја опкопам и ѝ ставам ѓубре,
LUK.13.9	па, ако роди, добро; ако ли не, тогаш в година ќе ја пресечеш.
LUK.13.9	Крај на четвртокот
LUK.13.10	Во една од синагогите поучуваше Он во
LUK.13.11	И ете, една жена имаше слаб дух осумнаесет години; беше згрчена и не можеше да се исправи.
LUK.13.12	Штом ја виде Исус, ја повика и ѝ рече: – Жено, се ослободуваш од болеста своја!
LUK.13.13	И ги стави рацете Свои врз неа; и таа веднаш стана и Го славеше Бога.
LUK.13.14	А старешината на синагогата, негодувајќи што Исус ја излечи во сабота, одговори и му рече на народот: – Има шест дена во кои треба да се работи; тогаш доаѓајте и лекувајте се, а не во саботен ден.
LUK.13.15	Но Господ му одговори и рече: – Лицемере, не го одврзува ли секој од вас својот вол, или магаре, од јаслите во сабота и не го води ли да го напои?
LUK.13.16	А оваа ќерка Аврамова што ја врзал сатаната, еве, веќе осумнаесет години, не требаше ли да се ослободи од тие врски во саботен ден?
LUK.13.17	И кога го зборуваше ова, сите што беа против Него се засрамија; а целиот народ се радуваше за сите славни дела, извршени од Него.
LUK.13.17	Крај на неделата
LUK.13.18	А Он рече: – На што личи
LUK.13.19	Тоа е како синапово зрно, кое, откако го зеде човек и го посади во градината своја, тоа израсна и стана големо дрво, па и птиците небески си правеа гнезда на неговите гранки.
LUK.13.20	И пак рече: – Со што да го споредам царството Божјо?
LUK.13.21	Тоа прилега на квас што го зеде жена и го постави во три мери брашно, додека скисне сето.
LUK.13.22	И проаѓаше преку градови и села и поучуваше, патувајќи кон Ерусалим.
LUK.13.23	Некој, пак, Му рече: – Господи, малку ли се оние што ќе се спасат? А Он рече:
LUK.13.24	– Потрудете се да влезете низ тесната врата; зашто ви велам: мнозина ќе сакаат да влезат и не ќе можат.
LUK.13.25	Кога ќе стане домаќинот и ќе ја затвори вратата на куќата, а вие, стоејќи однадвор, ќе почнете да чукате и да викате: Господи, Господи, отвори ни! Он ќе ви одговори и ќе рече: не ве знам од каде сте.
LUK.13.26	Тогаш ќе почнете да зборувате: ние јадевме пред Тебе и пивме; и по нашите улици Ти поучуваше.
LUK.13.27	И Он ќе им рече: ви велам, не ве познавам од каде сте; бегајте од Мене сите што вршите неправда.
LUK.13.28	Таму ќе биде плач и крцкање со заби, кога ќе ги видите Авраама, Исаака и Јакова, и сите пророци во царството Божјо, а себеси – истерани надвор.
LUK.13.29	И ќе дојдат од исток и запад, и север и југ, и ќе седнат на трпезата во царството Божјо.
LUK.13.29	Крај на саботата
LUK.13.30	И ете, има последни, кои ќе бидат први; а има први, кои ќе бидат последни.
LUK.13.31	Во тој ден пристапија некои
LUK.13.32	И им рече: – Одете и кажете ѝ на таа лисица: еве, истерувам бесови, и лекувам денес и утре, и на третиот ден – ќе завршам;
LUK.13.33	но Јас треба да врвам денес, утре и задутре, бидејќи проро кот не може да загине надвор од Ерусалим.
LUK.13.34	Ерусалиме, Ерусалиме, ти што ги убиваш пророците и со камења ги засипуваш пратените кон тебе, колку пати сакав да ги соберам чедата твои, како квачка пилињата свои под крилја, ама не сакавте.
LUK.13.35	И ете, домот ваш ќе остане пуст. И Јас ви велам, дека нема да Ме видите сѐ додека не дојде време да кажете: благословен е Оној Кој доаѓа во името Господово!
LUK.13.35	Крај на петокот
LUK.14.1	И се случи во сабота да влезе кај
LUK.14.2	Одеднаш застана пред Него еден човек, болен од водена болест.
LUK.14.3	И кога одговори Исус, им рече на закониците и фарисеите, велејќи: – Дозволено ли е да се лекува во сабота?
LUK.14.4	А тие замолкнаа. И кога го допре, го излечи и го испрати.
LUK.14.5	Потоа им рече: – Кој од вас, ако му падне во бунар вол или магаре, нема да го извади веднаш и во саботен ден?
LUK.14.6	И не можеа да Му одговорат на тоа.
LUK.14.7	А кога забележа како поканетите избираат први места, им кажа парабола и рече:
LUK.14.8	– Ако те покани некој на свадба, не седнувај на прво место, за да не се случи некој од гостите да биде со поголема чест од тебе,
LUK.14.9	и, да не дојде оној што ве поканил и тебе и него, па да рече: – отстапи го местото на овој; и тогаш, засрамен, ќе седнеш на последното место.
LUK.14.10	Но, кога ќе бидеш поканет, отиди и седни на последното место, та оној што те поканил, штом ќе дојде, да ти каже: – пријателе, премести се погоре; тогаш ќе имаш чест од гостите што седат со тебе;
LUK.14.11	зашто, секој што се воздига, ќе биде унижен; а тој што се понизува, ќе биде воздигнат.
LUK.14.11	Крај на саботата
LUK.14.12	Аи на оној што го беше поканил, му рече:
LUK.14.13	Но, кога приредуваш гозба, повикај ги сиромасите, слабите, куците, слепите,
LUK.14.14	и ќе бидеш блажен, оти тие не можат да ти вратат, а ќе ти биде отплатено при воскресението на праведните.
LUK.14.15	А кога го чу тоа еден од оние што седеа со Него на трпезата, Му рече: – Блажен е оној, кој ќе јаде леб во царството Божјо!
LUK.14.15	Крај на понеделникот
LUK.14.16	Аон му одговори: – Еден човек
LUK.14.17	и кога беше време за вечера, го прати слугата свој да им каже на поканетите: – дојдете, оти сѐ е веќе готово!
LUK.14.18	И почнаа сите, како договорени, да се откажуваат; првиот му рече: – купив нива и ќе треба да одам да ја видам; те молам извини ме.
LUK.14.19	Другиот рече: – си купив пет чивта волови и одам да ги пробам; те молам извини ме.
LUK.14.20	Третиот рече: – се оженив и затоа не можам да дојдам.
LUK.14.21	Кога се врати слугата, му го кажа тоа на својот господар. Тогаш се разгневи домаќинот на куќата и му рече на својот слуга: – Отиди бргу по раскрсниците и улиците градски и доведи ги тука бедните, слабите, куците и слепите.
LUK.14.22	И рече слугата: – Господаре, направив како што ми заповеда и уште има место.
LUK.14.23	И му рече господарот на слугата: – Излези по патиштата и оградите и убеди ги да дојдат, за да се наполни мојот дом.
LUK.14.24	Зашто ви велам: – Никој од поканетите нема да вкуси од вечерата Моја. Оти мнозина се поканети, но малцина се избрани.
LUK.14.24	Крај на неделата
LUK.14.25	Со Него одеше
LUK.14.26	– Ако некој дојде при Мене и не го намрази татка си и мајка си, жена си и децата свои, браќата и сестрите, па дури и душата своја, тој не може да биде Мој ученик.
LUK.14.27	И, кој не го носи својот крст, а оди по Мене, не може да биде Мој ученик.
LUK.14.28	Зашто, кој од вас, сакајќи да соѕида кула, не ќе седне најнапред да направи сметка колку ќе чини и дали има сѐ што е потребно за нејзиното довршување,
LUK.14.29	та кога ќе ги постави темелите и не може да доврши, да не почнат, сите што гледаат, да му се смеат,
LUK.14.30	и да речат: – овој човек почна да ѕида и не може да доврши.
LUK.14.31	Или кој цар, одејќи во војна против друг цар, не ќе седне најнапред, да се посоветува, може ли со десет илјади да издржи пред оној што иде против него со дваесет илјади?
LUK.14.32	Инаку, додека е оној уште далеку, ќе испрати слуги и ќе моли за мир.
LUK.14.33	Така и секој од вас, кој не ќе се откаже од сѐ што има, не ќе може да биде Мој ученик.
LUK.14.34	Солта е добро нешто, но ако таа ја изгуби соленоста, со што ќе се осоли?
LUK.14.35	Ниту на земјата, ниту на ѓубрето им е потребна; па затоа ја фрлаат надвор. Кој има уши да слуша, нека чуе!
LUK.14.35	Крај на вторникот
LUK.15.1	Се приближија кон Него сите
LUK.15.2	А фарисеите и книжниците негодуваа, велејќи: – Овој прима грешници и јаде со нив.
LUK.15.3	Но, Исус им ја кажа оваа парабола и рече:
LUK.15.4	– Кој од вас, имајќи сто овци, кога ќе загуби една од нив, не ќе ги остави деведесет и деветте во пустината и не ќе тргне по загубената, додека не ја најде?
LUK.15.5	А кога ќе ја најде, ќе ја крене на рамо, радосен;
LUK.15.6	и кога ќе дојде дома, ќе повика пријатели и соседи и ќе им рече: – радувајте се со мене, оти ја најдов мојата загубена овца!
LUK.15.7	Ви велам, дека и на небото ќе биде поголема радост за еден грешник кој се кае, отколку за деведесет и девет праведника што немаат потреба од каење.
LUK.15.8	Или која жена, имајќи десет драхми, кога ќе загуби една, нема да запали светило и да ја измете куќата, за да побара внимателно, додека не ја најде?
LUK.15.9	А штом ќе ја најде, ќе повика пријателки и сосетки, велејќи: – радувајте се со мене, оти ја најдов изгубената драхма!
LUK.15.10	Таква радост, ви велам, станува и пред ангелите Божји за еден грешник, којшто се кае.
LUK.15.10	Крај на средата
LUK.15.11	И рече:
LUK.15.12	Помладиот од нив му рече на татка си: – Татко, дај ми го делот што ми припаѓа од имотот. И таткото им го раздели имотот.
LUK.15.13	По неколку дена, помладиот син, кога собра сѐ, отиде во далечна земја и таму го потроши својот дел, живеејќи блудно.
