GEN.1.1	Nutem etellrani Agayutem ellarpak nuna-llu piliaqellruak. 
NEH.13.6	Mat'um pillran nalliini Jerusalem-aami uitallrunritua, tua-i-wa yuinaq malrugnek cipluku (22) allrakungeqerluku angayuqrullran Artaxerxes-aam Babylon-aami, utertellruama cat pillret ayuquciitnek qanemcicarturluku. Qaillun tayima pitariluku tamaani uitalqa, apelcillruaqa angayuqaq ayagyuglua, 
NEH.13.7	Jerusalem-aamun-llu utertua. Nallunrirluku-llu Eliashib-aamun uitavkaucia Tobiah enet iliitni Agayuvigpagmi. 
NEH.13.8	Qenertellruunga-llu cakneq, Tobiah-m-llu aklui tamalkuita tuaken anlluki. 
NEH.13.9	Ellimerranka-llu piciryaraq aturluku menuircaasqelluki enet Agayuvigpiim iluanelnguut, aklui, mukaarkat elliitet, aruviar-llu ataam tuavet enemun ellisqelluki.
NEH.13.10	Maaten-llu cali pianka Agayuvigpagmi aturcetaartet allat-llu Levite-at ayallrullinilriit Jerusalem-aamek uterrluteng naucetaarvimeggnun, cikiumaksaitellrulliniameng yuutekaitnek nurutarkauvkenaki. 
NEH.13.11	Nunuranka-llu atanerruat Agayuvigpak aulukumanritellranek. Levite-at tua-i aturtet-llu utercetanka Agayuvigpagmun ataam caliarit caliaqesqelluki. 
NEH.13.12	Tamarmeng-llu Judah-m yui ataam taicilangut Agayuvigpiim qemaggviinun qulngurutmeggnek mukaarkanek, wine-anek, olive-aat-llu uquitnek. 
NEH.13.13	Cucuklillruunga-llu aulukestekaitnek qemaggviit: Shelemiah-mek agayulirtem̄ek, Zadok-aamek-llu elisngastiitnek Alerquutet; Pedaiah-mek-llu Levite-amek. Hanan-aaq-llu, Zaccur-aam qetunraa Mattaniah-m tutgarrii, ikayuqesqelluku taukunun. Nallunritellruaqa ukunun angutnun peng'garutaunii pillerkaqa elluarrluteng caliaqeciqngatki aruqutkellrit allat calilriit atu'urkait.
NEH.13.14	Agayutmaa, neq'akiki makut tamalkuita calillrenka Agayuvigpagpenun agayuyaranun-llu.
NEH.13.15	Tamatum-llu nalliini tangertua yugnek Judah-mi mecuirilrianek wine-arkanek atsanek Sabbath-aami, ciulviit tuaten ucilirluki mukaarkanek, wine-anek, atsanek, figs-aanek, allanek-llu ayuqenrilngurnek, tamakunek-llu itrucilrianek Jerusalem-aamun Sabbath-aami; taukut aarcirturanka Sabbath-aami canek tun'isqevkenaki. 
NEH.13.16	Ilait-llu yuut, Tyre-am nunarpiinek kingunelget, uitaut Jerusalem-aami, itrutaqluteng neqnek, ayuqenrilngurnek-llu aklunek nunarpagmun tuneniarkameggnek Sabbath-aami Judah-m yuinun Jerusalem-aam-llu yuinun. 
NEH.13.17	Caliarat atawakevkenaku taqsuariutanka Judah-m atanerruari qanrulluki-llu, “Cauga man'a assiilnguq caliarci, erneq uitayaraq qigcignairulluku? 
NEH.13.18	Man'a pitekluku Agayutem anucimirqecetaallrui ciuliaci piunriqapiggluku una nunarpak. Tau͡gken elpeci Agayutem eq'uqertii pikanircetaaraci Israel-aam yuinun qigcignairutlerpeciuggun Sabbath-aaq.”
NEH.13.19	Tua-i alerquranka Jerusalem-aam ikirtuqai palutelararkaurtelluki Sabbath-aam ayagnillrani atakuarauciatun,
NEH.13.20	Ataucirqumek-llu wall'u malrurqugnek tunenialalriit aklunek ayuqenrilngurnek qavartallruut elatiini nunarpiim qacarneran tallimiritem atakuani. 
NEH.13.21	Wiinga-llu aarcirtullruanka qanrulluki, “Camek unangengaituci tuani utaqallerpeciuggun unuaqullerkaa. Tuaten pinqigeskuvci tegularluci piciqamci.” Tuakenirnek-llu tainqigtellrunritut Sabbath-aami. 
NEH.13.22	Levite-at-llu alerquranka menuircarraarluki tailuki ikirtuqat murilkelaasqelluki qigciklerkaa uitayaram pitekluku.
NEH.13.22	Agayutmaa, mat'ukun cali umyuaqekia, camun-llu pivkaryaqunii kenken angelria aturluku.
NEH.13.23	Cali-llu taum nalliini nallunriranka ilait Jews-aat amlleret nulirtullruciitnek arnanek Ashdod-aamek, Ammon-aamek, Moab-amek-llu. 
NEH.13.24	Avgit irniarit qalartaqluteng Ashdod-aarmiut qaneryaraicetun, wall'u allatgun qanrucitgun, wangkuta qanrucimcetun qalarcesciiganateng. 
NEH.13.25	Wiinga-llu nunuranka taukut angutet, qayagauralua aniqlaatnek ellaitnun, kaugtuarluki, nuyait-llu qecugmiarluki. Akqivkaranka-llu Agayutem atrakun uum kinguakun watqapik ellait wall'u irniarit kassuusngaunaki ilakumanrilngurnek. 
NEH.13.26	Qanrutanka-llu, “Solomon-aaq-qaa, Israel-aam angayuqra, arnat waten ayuqellriit picurlagcetellrunritaat? Amllerni atanruvigni angayuqertaitellruuq elliitun ayuqellriamek, Agayutiin-llu kenkellruluku, angayuqrurtelluku-llu tamalkuitnun Israel-aam yuinun; tau͡gken tuaten pillrungraan arnat ilakumanrilnguut assiilngircetellruat. 
NEH.13.27	Tua-llu-qaa wangkuta elpeci niilluci man'a angelriarulria assiilnguq aturlaut narurrluku Agayutvut kassuutellemteggun ilakumanrilngurnek arnanek?”
NEH.13.28	Joiada qetunraqellrua Eliashib-aam Agayulirten͞gunrem, tau͡gaam Joiada-m qetunraan iliit kassuutellruuq Sanballat-aam panianek, nunarrarmek Beth Horon-aamek kingunelgem, tua-i Joiada ayagcetaqa Jerusalem-aamek.
NEH.13.29	Agayutmaa, umyuaqekiki qaillun ukut yuut menuurcillrat agayulirten͞guyaramek, akqut'lillren-llu agayulirtet Levite-at-llu pillgutekluki.
NEH.13.30	Menuircaranka-llu yuut tamalkuitnek canek ilakumanrilnguut piitnek; taqutua-llu picirkanek agayulirtet Levite-at-llu maligtarkaitnek tamalkuitnun nalluarkaunrirtelluki caliarit. 
NEH.13.31	Picirkiranka-llu taitelararkaullritnek, pinariaqan, muragat atuugarkat ekualuki elliitnun, yuut-llu taitelaasqelluki elliitaitnek mukaarkanek naugiqarraarutnek, atsanek-llu naugiqarraarutnek.
NEH.13.31	Agayutmaa, umyuaqekiki makut tamalkuita, umyuaqekia assilriatgun caliaqellemkun.
EST.1.1+EST.1.2	Ahasuerus-aaq atanrullruuq nunanun yuinaat arvinlegen malrunlegnek cipluku (127) amllertalrianun India-mek ayagluni Ethiopia tekilluku. 
EST.1.3	Allrakut atanrurqaanerminek pingayuatni nerevkariuq kelegluki atanerruani, pisten̄i, anguyagtem̄i-llu atanrit Persia-mi Media-mi-llu, yuut-llu piuranrit nunat-llu ataniumak'ngami atanrit. 
EST.1.4	Iraluni arvinlegni tangaavkallrui angayuqauvimi tukuutai, tangnirqetacia-llu ucurnarqucia-llu.
EST.1.5	Taum kinguani tauna angayuqaq cali nerevkarinqigtuq nunarpagmi Susa-mi kelegluki tamalkuita angutet tukuungraata arrsaungraata-llu. Agayunrek akuliik aturluku nerevkarillruuq, nerluteng-llu naucetaarviani angayuqam eniin. 
EST.1.6	Tauna-llu nerevkarivia tangnircaumaluni capkutarluni qiuglinek qatellrianek-llu 'lumarrarnek, qillrusngaluteng 'lumarraqegtaarmek purple-aamek naparyanun teggalquqegtaarnun. Aqumlleri qerrirliuluteng suulutaaruluteng-llu, cailkaq-llu tutmallrat qalliliumaluni qatellrianek teggalquqegtaarnek, kavirlinek feldspar-anek, qerrircetellrianek mother of pearl, qiuglinek-llu turquoise-aanek. 
EST.1.7	Merkait-llu saskarluteng suulutaarrlainarnek tamarmeng qaimegteggun ayuqevkenateng, merkameggnek-llu nuuqitevkenateng. 
EST.1.8	Tau͡gaam meryuumiilnguq merngaunani qessangraan-llu pivkaumangaunani; atanrem pisten̄i alerqullruamiki yuut piyugtaciicetun pivkaasqelluki.
EST.1.9	Vashti-llu cali angayuqam nulirra tamaani angayuqam eniini nerevkarillruuq arnaullgutminek kelgiluni.
EST.1.10	Erenret malrunelgatni angayuqam taangiqu'urluni pisten̄i Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, Carcas-aaq-llu taisqai. 
EST.1.11	Alerqurluki-llu nuliani Vashti nasqerrutii at'elluku taicesqelluku kenegnaqapigcan, kenegnartacia ilaminun tangrresqelluku. 
EST.1.12	Tau͡gaam Vashti angayuqam alerquutiinek pistet qanrutengraatni niitenrituq, angayuqaq ullagyuumiinaku. Angayuqaq-llu qenqerrluni.
EST.1.13	Angayuqam piciryaraqngamiu kangiiyugaqami alerquutmeggni qaillun cam pimaarkaucia ayuqucirtuasten̄i taivkarluki nallunriciiqngatgu qaillun picirkarteng. 
EST.1.14	Ukut angutet ayuqucirtuastem̄ini ciumek tangerturalallinii camek piaqami, malrunelgen atanerruari Persia-m Media-m-llu, quyinkacagauluteng calialget tuani angayuqauvigmi: Carshena, Shethar, Admath, Tarshish, Meres, Marsena, Memucan-aaq-llu. 
EST.1.15	Waten qanrutai, “Alerquutet aturluki qaillun pimaarkauga angayuqam nulirra Vashti niitenrilaku angayuqam Ahasuerus-aam alerquutii pistem̄ikun qanrucarturcetengraani?”
EST.1.16	Tua-llu Memucan-aam qanrutai angayuqaq atanerruat-llu: “Vashti-m caunrilkenritaa angayuqaq nalliikun, tau͡gaam atanerruari-llu tapqulluki, tuaten-llu cali angayuqauviim angutai tamalkuita. 
EST.1.17	Tuaten pillra Vashti-m arnat nallunriqunegteggu uiteng caunrilkengciqait. Waten qanlarciqut, ‘Angayuqam Ahasuerus-aam nuliani Vashti alerqurluku taisqellrungraani niitellrunritaa.’ 
EST.1.18	Nulirrita angayuqam atanerruarin Persia-mi Media-mi-llu Vashti-m ayuqucillra niiskunegteggu unugpailgan uimeggnun nallunrirceciiqaat. Arnat-llu tamiini uiteng qigcikenrirciqait, uingitaa-llu nuliateng qenrutengluki. 
EST.1.19	Kitaki piyunakekuvgu angayuqruuten, picirkirikina Vashti ciuqerpenun tainqigngairutelluku. Igautelluku-llu alerquutaitnun Persia-rmiut Media-rmiut-llu cimirciigaliluku. Vashti-m-llu enii allamun elliini assinrulriamun teguvkarluku. 
EST.1.20	Man'a picirkiun niiskunegteggu angayuqauvigpet yuin tamarmeng, arnat qigcigyaguciiqait uiteng tukuungraata arrsaungraata-llu.”
EST.1.21	Memucan-aam qanellra angayuqam atanerruartuumarmi assikngamegteggu angayuqaq tuaten pillruuq. 
EST.1.22	Nunanun tamaitnun qaneryaramek ayagcecillruuq taringellerkaatgun igaryarait-llu aturluki, qanrulluki uingulria tamarmi atanruarkauniluku eniini qanqan-llu piugarkamek qanerciqniluku.
EST.2.1	Tamakut tuaten pillret kinguatni angayuqam qenertenriami umyuaqengaa Vashti-m niitenritellra, picirkiutellni-llu elliinun. 
EST.2.2	Angayuqam pistain qanrutaat, “Yuaruceskuvet tau͡gaam nasaurlurnek angutem agtuqsailkainek. 
EST.2.3	Atanerruanek taqulluten nunani tamalkuitni ataniumakevni quyurtesqelluki tamalkuita kenegnarqelriit angutem agtuqsailkai nasaurluut arnautevnun-llu ilaulluki maani Susa-mi, atanirturivigmi nunarpagmi. Aulukevkarluki-llu Hegai-amun arnautvet qaunqestiitnun, tuani kenegnarcarniarait. 
EST.2.4	Nutaan elpet assikenruken nuliqsagutniaran Vashti enairtelluku.”
EST.2.4	Angayuqam tamana assikngamiu tuaten piuq.
EST.2.5	Tamaani Susa-mi uitalriartangqertuq angutmek aterluni Mordecai-amek Jews-aaruluni, qetunraanek Jair-am, Benjamin-aam yuin ilakluku, kinguvrak Kish-ankuk Shimei-aq-llu. 
EST.2.6	Nebuchadnezzar-aam angayuqam tegullerminiu Jehoiachin-aaq, Judah-m atanra, ayaulluku-llu Jerusalem-aamek allanek ilaluku, Mordecai-aq taukut ilakellruat. 
EST.2.7	Anglicallrua Mordecai-am Esther-aaq, Hebrew-tun Hadassah-mek at'lek, anngami pania. Esther-aaq kenegnaqapigtuq tangssunaqluni. Angayuqaak tuqullragni Mordecai-am yuliaqsagutellrua anglicarluku-llu nakmiin irniaqellriacetun pitarrluku.
EST.2.8	Angayuqam-llu Ahasuerus-aam man'a qaneryaraq ayagcecaku amlleret neviarcat taitellruit Susa-mun, Esther-aaq-llu ilakluku. Ellii-llu tuani angayuqam eniini uitalriit ilakaat Hegai-amek aulukesterluteng angayuqam arnautain qaunqestiitnek. 
EST.2.9	Hegai-am umyugaanun Esther-aaq nall'arusngauq, taumek ilaini pinruluku pilaqii. Egmianun-llu kenegnarcautnek pivkaraa pilaucimegcetun neqkai-llu murilkelluki. Arnat-llu uitaviata assinratni uitavkarluku, malrunlegnek-llu pistekainek piluku angayuqam eniini calilrianek. 
EST.2.10	Tau͡gaam Mordecai-am inerqullruani Esther-aam aassaqutekellrua Jews-aarucini. 
EST.2.11	Unuaquaqan-llu Mordecai-aq piyualuni angitaalartuq angayuqam arnautain uitaviata elatiini peng'garrluni Esther-aamek.
EST.2.12	Kenegnarcariyaraq arnanek allrakumi ataucimi atularaat, tepkegcilriim myrrh-am uquanek mingugaqluki arvinlegni iraluni, balsam-aat-llu cali uquatnek arvinlegni iraluni. Tuaten pimariaqameng agyugngariaqluteng atauciuqaqluteng Angayuqamun Ahasuerus-aamun. 
EST.2.13	Tamakut-llu neviarcat angayuqamun ag'aqameng cucukellermeggnek aturanek tamaaken all'uteng piyugngaluteng. 
EST.2.14	Atakumi aglartut, unuaquani-llu uterrluteng, tau͡gaam cali allanun angayuqam arnautainun ciuniraqluteng utertaqameng Shaashgaz-amek qaunqestelegnun. Tuani-llu uitaaqluteng angayuqam aterpaggluki taisqeksaitaqateng.
EST.2.15	Esther-aam angayuqamun agglerkaa tekituq. Esther-aaq-Abihail-am pania Mordecai-am nuliacungaqluku, elliin Mordecai-am nakmiin yuk'ellriatun anglicallrukii; Esther-aaq yuut tamarmeng tangertain ilukegcitketukiit. Agglerkani tekican, Hegai-am at'esqellrinek aturluni ag'uq angayuqamun. 
EST.2.16	Ahasuerus-aam atanrullra allrakungeqerluku malrunlegnek qulngurutiitni iralut Tebeth-aam iraluani, Esther-aaq agutellruat angayuqamun. 
EST.2.17	Angayuqam Ahasuerus-aam Esther-aaq ilaini assikenruamiu kenkenruluku-llu nasqerrutmek ac'etaa nuliqsagulluku-llu Vashti enairtelluku. 
EST.2.18	Ahasuerus-aaq-llu nerevkariuq Esther-aaq pitekluku kelegluki atanerruani tamalkuita, nunani-llu tamaani calinermek arulairtelluki, cikirturiluni-llu angayuqam cikiuteksugngakainek.
EST.2.19	Mordecai-aq-llu caliarkitellrua quyilriamek angayuqam. 
EST.2.20	Esther-aam-llu Jews-aarucini nallunriqsaicetellrua inerqullruani Mordecai-am, niisngauralaamiu mikelnguurranerminek ayagluni.
EST.2.21	Mordecai-aq-llu tamaani caliinanrani, Bigthana-nkuk Teresh-aaq-llu, angayuqam pistain ilakek amiiget angayuqam enainun qaunqelluki, angayuqaq ingluk'ngengamegnegu picirkiurtuk tuqutnaluku. 
EST.2.22	Tau͡gaam Mordecai-am nallunriamikek Esther-aaq qanrucani Esther-aam qanrutaa Ahasuerus-aaq Mordecai-am qanellranek. 
EST.2.23	Tamana pillrak yuvriamegteggu piciullinian taukuk tuqutagket agarrlukek. Tamana-llu pillrak kalikarnun igaulluku angayuqam ciuqerrani.
EST.3.1	Tamakut kinguatgun Angayuqam Ahasuerus-aam Haman-aaq, Hammedeth-aam qetunraa Agag-am kinguvran, atanrurcetaa atanerruaminun tamalkuitnun. 
EST.3.2	Alerqurluki-llu atanerruat pisten̄i Haman-aamek takaqiciat nasvagluku ciisqumiggluki ciktaarvik'laasqelluku. Tuaten-llu tamarmeng pilangraata Mordecai-aq tuaten piksaitelartuq ciktaarviksuumiinaku Haman-aaq. 
EST.3.3	Calillgutain-llu atanerruat aptelaraat ciin cakaarilaucianek angayuqam alerquutiinek. 
EST.3.4	Unuaquaqan-llu qanruquralangraatni niicuitelarai. Nalqigulluki qanrutai, “Wiinga-wa Jews-aaruama ciktaarvikesciigalkeka Haman-aaq.” 
EST.3.5	Haman-aam nallunriamiu Mordecai-amun ciktaarviksuumiilucini eq'uqertuq, 
EST.3.6	nallunriamiu Mordecai-am Jews-aarucia kiingan anucimirqecetaaqainaryuumiitaa. Picirkiurluni-llu tuqutnaluki Jews-aat uitalriit Ahasuerus-aam angayuqauviani.
EST.3.7	Ahasuerus-aam atanirturillra qula malrugnek cipluku (12) allrakungeqerluku iralut ciuqliatni, Nisan-aam iraluani, Haman-aaq picirkiriuq nall'arcetaaresqelluki (purim-aamek at'legmek) nallunriryugluku erenret iralut-llu naliatni assirarkaucianek pillerkiurami atullerkaa. Iraluq Adar-aamek at'lek cucukaa.
EST.3.8	Taumek Haman-aam angayuqaq qanrutaa, “Yugtangqertuq cekavcimalrianek nunani ataniumakevni piciryararluteng allat yuut piciryaraicetun ayuqenrilngurnek. Alerquutevnek-llu atulriarunrilameng elpenun catnguvkenateng. 
EST.3.9	Elpeni canrilkan piyunarqucimek igaqina tuqucesqelluki tamakut. Tuaten pikuvet, wiinga akinek amllernek elliiyugngaciqua angayuqam akivianun atuugarkanek angayuqauvigmun.”
EST.3.10	Angayuqam tua-i kulutni yuuluku takarnarqucirissuutni tunaa Haman-aamun Agagite-amun, Hammedatha-m qetunraanun, Jews-aat inglukestiita. 
EST.3.11	Qanrutaa angayuqam, “Yuut akiutait-llu tapeqluki piyugtacirpetun umyuan aturluku pikiki.”
EST.3.12	Iralut-llu ciuqliat ernengqerluku qula pingayunek cipluku, Haman-aam angayuqam igartai igarcetai tamaani ayuqenrilngurteggun qaneryaraitgun mumigtelluki, atanruvigmi-llu tamaani igaryarait aturluku ayagcecimaarkanek atanirturten̄un nunam atanrinun, atanerruanun-llu. Tamakut-llu ayagcecimaluteng Ahasuerus-aam atrakun, takarnarquciumaluteng-llu kulutekun. 
EST.3.13	Aqvaqurluteng-llu ayagacistet tamakut igat ayagatait nunanun tamalkuitnun. Tamakut igat alerquutnek imangqertut tuani ernermi ataucimi Adar-aaq qula pingayunek cipluku ernengkan Jews-aat ak'allaungraata, ayagyuangraata, arnaungraata, mikelnguungraata-llu tuqurqesqelluki takumcukevkenaki uayarluki-llu. 
EST.3.14	Igam-llu taum imaa nallunrircecesqelluku yugnun nunami tamalkuitni, upingasqelluki-llu tauna erneq tekiskan. 
EST.3.15	Ahasuerus-aam angayuqam alerquutii aturluku igat taukut nallunrircetait Susa-mi, ayagalluku tuaten kevgatgun allanun nunanun. Tuani-llu angayuqaq Haman-aaq-llu aqumlutek merauk nunarpiim Susa-m ayuquciirutellran nalliini.
EST.4.1	Mordecai-am nallunriamiu man'a Haman-aam pillra nanikuangami aturani allgurai. Missuullernek all'uni qamiquni-llu aramek kanevlerrluku nunatgun tarratuq neplirluni cakneq, 
EST.4.2	agluni-llu angayuqam eniin ikirtuqain elatiitnun. Iterpek'nani tau͡gaam, kina missuullermek atulria iterciigalan. 
EST.4.3	Tamaani nunani angayuqam ataniumak'ngaini igallra nallunriamegteggu Jews-aat angniiterpagtut. Yaggluteng aluviliurluteng neplirtut amlleret-llu missuullernek all'uteng taklaluteng qamllermi.
EST.4.4	Esther-aam pistain qanrucatni nanikuaguq cakneq; Mordecai-aq-llu at'arkainek payugcetengraani missuullret aturai yuusqelluki ciuniurpek'naki. 
EST.4.5	Esther-aam Hathach-aaq taisqaa, angayuqam Ahasuerus-aam pistain iliit, ellimerrumalleq kevgiuresqelluku. Tauna ayagcetaa Mordecai-amun nallunriryugluni qaillun pillratnek ciin-llu tuaten picianek. 
EST.4.6	Hathach-aam ullagaa Mordecai-aq angayuqam Ahasuerus-aam iteryaraan elatiini carr'ilngurmi uitallrani. 
EST.4.7	Mordecai-am-llu tauna qanemcitaa tamalkuitnek ellminun tut'ellernek, Haman-aam-llu akqillranek tuaten pitalrianek akinek elliiciqniluni angayuqam akivianun Jews-aat tuqurqumakata. 
EST.4.8	Mordecai-am tauna cali cikiraa kalikarmek igaumalriim ayuqiinek Susa-mi taqumallermek alerquutnguluni Jews-aat piunriumallerkaatnek. Mordecai-am tauna kalikaq tunesqaa Esther-aamun, nalqigucesqelluku-llu tamatum qaillun ayuqucianek, qanrucesqelluku-llu angayuqaq ullagluku kaigavikesqelluku yui takumcukesqelluki. 
EST.4.9	Hathach-aaq-llu pisqumacirmitun piuq. 
EST.4.10	Esther-aam-llu Mordecai-aq waten qanrucartuusqaa, 
EST.4.11	“Tamarmeng angayuqam pistain yuut-llu ataniuqengain nallunritaat kina imna angun wall'u arnaq iluqlirmun angayuqam uitavianun qayagaurumavkenani itellria ataucimek alerquutengqerrucianek; tamarmeng ayuqluteng tuqucimaarkauluteng. Kina tau͡gaam itellria angayuqam scepter-aaminek yaggvikekii unguvaarkauluni. Wani-wa-llu wiinga angayuqam iralurrluni taisqeksaunii.”
EST.4.12+EST.4.13	Mordecai-am Esther-aam kiutii niicamiu waten qanrucesqaa, “Umyuarteqsaqunak angayuqam eniini uitiivet anagnayukluten Jews-arullguteten piunriumakata. 
EST.4.14	Wani-wa nepaunak uitakuvet mat'um nalliini qilagmek Jews-aat ikayuumaciqut, tau͡gaam elpet tuquciquten atavet-llu yui nang'arkauluteng. Aipaagni-llu tayima man'a pitekluku angayuqam eniini uitavkaumauten.” 
EST.4.15	Esther-aam Mordecai-aq waten qanrucarturcetaa, 
EST.4.16	“Ayagluten Susa-rmiut Jews-aat quyurceski yagniartuci piicaullua nereksaunaci ernerni unugni-llu pingayuni. Wiinga-llu pistetuumarma tuaten piciqua. Nutaan taum kinguani angayuqamun ayagniartua alerquun navengramku. Tuquarkaukuma tua-i tuquniartua.”
EST.4.17	Mordecai-aq ayagluni Esther-aam alerquuciatun piuq.
EST.5.1	Erenret yallmi pingayuatni Esther-aaq takarnarqelrianek aturanek all'uni ag'uq nangerrluni-llu angayuqam eniin iluqlianun, atanruviim aqumllertaan uitavia cauluku. Angayuqaq-llu aqumgaluni atanruvigmi aqumllermi, iteryaraq caumaluku. 
EST.5.2	Tangrramiu angayuqam Esther-aaq nangengqallrani ciuniuraa scepter-aaq-llu tegumiani tungiinun yagulluku. Tua-i Esther-aam ullagluku scepter-aam nuuga agturaa. 
EST.5.3	Angayuqam aptaa, “Camek pisit, Queen Esther? Qanrusnga piyullerpenek, tua-i piksaguciiqan, angayuqauvima avkengraaku.”
EST.5.4	Esther-aam kiugaa, “Canganarqenrilkan elpeni, neryartuusqumayaaqamtek Haman-aaq-llu ataku neqkiurarkamnek elpetegnun.”
EST.5.5	Tua-i-llu angayuqaq qanertuq, “Haman-aaq aqvaciu cukamek, Esther-aam pisqellratun piniartukuk.” Tua-i angayuqaq Haman-aaq-llu ag'uk Esther-aam neqkiuraanek neryarturlutek. 
EST.5.6	Wine-amek mer'inanermeggni angayuqam Esther-aaq qanrutaa, “Camek piyullerpenek qanrusnga, tua-i piksaguciiqan. Piyullerpenek cikirciqamken, angayuqauvima avkengraaku.” 
EST.5.7	Esther-aam kiugaa, 
EST.5.8	“Canrilkan elpeni, cali unuaqu neryartuusqumayaaqamtek Haman-aaq-llu uptarkamek. Tuani qanruciiqamken camek piyullemnek.”
EST.5.9	Haman-aaq nererraarluni anllermini angnirtuq umyuaqegciluni. Tau͡gaam Mordecai-aq tangllermini iteryarami, tauna-llu nangertenrilan uluryakevkenani-llu kitungraani, Haman-aam cakneq qenqerrutaa. 
EST.5.10	Tau͡gaam canrilvaguarluni kingunerminun utertuq. Yugnikek'ngani kellgaarluki nuliani Zeresh-aaq taisqaa ilaliisqelluteng. 
EST.5.11	Ucuryagutai-llu tukuutminek, qetunrani-llu qavciuciitnek, angayuqamun-llu caliarkitellruniluni quyinrurrluni tamalkuitni atanerruarini angayuqam. 
EST.5.12	Cali-llu qanerluni Haman-aaq-llu, “Esther-aam-llu neqkiurraarluni keleglunuk wiinga angayuqaq-llu kiimegnuk, unuaqu-llu cali keleglunuk neryartuusqellunuk. 
EST.5.13	Tau͡gaam makut caunrilngurtun wangni ayuqelartut Mordecai-aq Jews-aaq tangrraqamku angayuqam eniinun iteryarami.”
EST.5.14	Nulirran yugnikestain-llu qanrutaat, “Pilivkaqina kitak yuum uyaqurrikun agarrvigkaanek yuinarnek pingayunek akimiarmek cipluku (75) it'ganernek qertutalriamek. Unuaqu unuakumi angayuqaq apelcirniaran Mordecai-aq tuani agarcugluku, nutaan angnirluten neryarturniartuten.”
EST.5.14	Haman-aam umyuani nall'arcan yuum uyaqurrikun agarrvigkaanek pilivkarai.
EST.6.1	Tuani unugmi angayuqaq qavarciigatuq, tua-i atanruvimini cat piurallret igausngaviit aqvavkarluki naaqitevkartuq taukunek. 
EST.6.2	Naaqellermeggni-llu naaqaat Mordecai-am qanrutkellra Bigthan-aankuk Teresh-aaq-llu, angayuqam enainek qaunqistek, picirkiuryaaqellragnek angayuqaq tuqutnaluku. 
EST.6.3	Angayuqaq aptuq, “Qaillun quyavikellruceta camek-llu nunulillrucetaa Mordecai-aq tamana pitekluku?” Pistain kiugaat, “Camek pimaksaituq.” 
EST.6.4	Angayuqaq-llu aptuq, “Atanerruat-qaa iliit maantenrituq?”
EST.6.4	Taum nalliini Haman-aaq itertuq angayuqam eniin elaqlianun, tuani taillruuq angayuqaq pinaluku, Mordecai-aq agarcugluku yuum uyaqurrikun agarcessuutiikun waniwa-llu ak'a piliaqluku upingarilriakun. 
EST.6.5	Pistain angayuqaq qanrutaat, “Haman-aaq kegga'antuq enem elaqliani.” Angayuqaq qanertuq, “Kitak iterceciu.”
EST.6.6	Haman-aaq itran angayuqam qanrutaa, “Yugtangqertuq cakneq quyaviksuumiq'ngamnek. Qaillun pilua taumun quyalqa nasvagciqsia?” Haman-aaq umyuartequq, “Allamek-wa yugmek angayuqam quyaviksuumirarkaanek pitailnguq wangnek tau͡gaam.” 
EST.6.7	Haman-aam angayuqaq qanrutaa, “Quyaviksuumiq'ngangqerquvet yugmek, 
EST.6.8	taitessgu aturaqegtaarnek atulallerpenek, horse-aamek-llu ekumgavikelallerpenek, horse-aam-llu qamiqurra takarnarqellriamek tangnircautmek
EST.6.9	Nutaan-llu aturat nasqerrun-llu atanerruarpet piuranratnun tunluki taum aturirniaraa quyaviksuumiqen, horse-aamun-llu ekevkarluku ayagatelluku nunat akuliitgun qayagpagaluni waten: ‘Waten pimaarkauguq angayuqam quyaviksuumiq'ngaa.’” 
EST.6.10	Haman-aaq angayuqam qanrutaa, “Kitaki cukamek, aturat horse-aaq-llu piluku, qanllerpetun pikiu Mordecai-aq Jews-aaq, aqumgalria angayuqam iteryaraani. Qanrutkellerpetun ilakuivkenaki piniaran.” 
EST.6.11	Haman-aam tua-i aturat horse-aaq-llu tegui, aturat-llu ac'etai Mordecai-amun. Horse-aamun-llu ekngan nunat akuliitgun ayagalluku qayagpagaluni, “Waten pimaarkauguq angayuqam quyaviksuumiq'ngaa.”
EST.6.12	Mordecai-aq utertuq angayuqam iteryaraanun, Haman-aaq-llu eneminun cukangnaqluni uterrluni, angniinani qamiquni patuluku. 
EST.6.13	Haman-aam-llu nuliani Zeresh-aaq yugnikek'ngani-llu qanrutai tamakunek ellminun pillernek. Tua-i umyuartulriit yugnikek'ngain, nulirran-llu Zeresh-aam qanrutaat, “Mordecai-aq pininrurrngiinartuq elpeni. Jews-aaruuq, cirlakesciigatan-llu. Elliin tau͡gaam nallunailngurmek cirlakarkaugaaten.”
EST.6.14	Qanrinanratni angayuqam pistain aqvaat Haman-aaq neryartuusqelluku Esther-aam neqkiuraanek.
EST.7.1	Tua-i angayuqaq Haman-aaq-llu neryarturtuk Esther-aamun 
EST.7.2	aipirilutek. Wine-amek mer'inanermeggni angayuqam aptenqigtaa Esther-aaq, “Queen Esther, camek piyugcit? Qanrusnga tua-i piksagutarkaungavgu. Angayuqauvima avkengraaku cikirciqamken.”
