MAT.1.1	Gittaabooda rooproobanga Yeesu Gristo, balleanda Dawdi, balleanda Abrahaamu. 
ROM.15.21	gawuurji gidaghayi sung'waarda bea gideaba,
ROM.15.21	“Fukka miyeerukusa giijasta miyiin gay ghwadaa niny,
ROM.15.21	ak gayghwanal fukka ghayi mii ghwayiiyiin.”
ROM.15.22	Aba sareani geetteellean galeagasean amwaawuni ng'eang'deang'wa. 
ROM.15.23	Duukku ghamneawa iinukwa muttandeawa gheatta gadiyeeda aba ng'eang'i, ak ghaabwadi gideaba nigeawiit dagaseadayyi wunoooda ng'eang'deang'wa gweannyeekka saang'a, 
ROM.15.24	ghaararji dadaheagwa nea ghaang'atti dawa ng'eanyiida Spaniya, abeeda ghaalamwaji bareannyeekkeasu doan dadaheagwa agooga, ak ghaanyaschi weetteang'wa, gilimwanang'. 
ROM.15.25	Amaduw ghamneawa geawi Yerusaleemu dagadiyeesa fuga Ghaydidi. 
ROM.15.26	Aba gideaba gahaguuw fuga Makkedoniya ea gea Akkaaya ghoawaam gujaweeda aba weetta fuga ghaydidi mida hoowa bea Yerusaleemu biissa ea barbariin; 
ROM.15.27	ghabwariiy saawa gideaba gaygwasindunu, ak ea huumwa gil, gwandeawa sileeda appadahuukeaba fiisu; aba gideaba fuga Emoojiga isuguuyi ghawooda abeeda gammiisa gideaba gayghaweat aba haleanjeeda sinyas aba ghawooda. 
ROM.15.28	Iiduw nea naahiichchi gadiyeetta ak ghaadawji saawa gissiwwaam gaydabeawa heedeang'wa ak geawi ng'eanyiida Spaniya; 
ROM.15.29	ak ghaanalli gideaba iyaahidu ng'eang'deang'wa gaydoan nea geawoschi hidaat aba ghawooda Gristo. 
ROM.15.30	Fuga eaduupcheewi, geamuscheegwa aba naweeda Ng'uttamiideanya was Yeesu Gristo ea aba bariinyeega Gurorooda eang'ng'waanya geat ea aniini aba mooshta Aseetta aba madeeda Aseetta appadaydeanyu, 
ROM.15.31	ak geelealnean aba heedeaba fukka mandeawana masaweega mida ng'eanyiida Yuudeeya, ea gadiyeedeanyu eandeawi aba Yerusaleemuun ghamwas fuga ghaydidi mida hoowa, 
ROM.15.32	ak abeeda ghaahidu ng'eadeang'wa nea geahoosannyi aba gidabwariiyda Aseetta ak abeeda geafuufchi sea saawa. 
ROM.15.33	Aseetta mideawa weayda gagasa goobiida headeang'wa oagasean. Amin.
ROM.16.1	Geagasayi danung'uneagwa hudiyya suguura Foibe, was siida gadiyeesa ganiiseeda mida ng'eanyiida Gengreya, 
ROM.16.2	ak geagasayi gideaba gajadeapta aba gheawunga Ng'uttamiida, gawuurji gidahaguuwda fuga ghaydidi, ak ghoaweachchi aba ng'asheega wassean deeppa gagasa aba heedeang'wa, aba gideaba niny nuweat fuga saang'a ak ghaweadan earaniini. 
ROM.16.3	Aghada Briska ea Akkiila, was fuga sin gadiyeeda sea aniini aba jeeda Gristo Yeesu, 
ROM.16.4	saawa ghayi eahideadi eara ealajaada gheetkweakka nyaawa aba eaweegeasu, ak ea mii aniini gil akghwahit, eara ganiisajeega sean bea Emoojiga ghoaghadeagwa; 
ROM.16.5	oakghada eara ganiiseeda mida jeedeaba gheannyi. Oakghada Epainettoyda abwariinyi, was siida madeeda mwas Gristo aba ng'eanyiida Asiya. 
ROM.16.6	Oakghada Mariyaayda ghayi deawiit muuchchi aba jeedeang'wa. 
ROM.16.7	Oakghada Androniiko sea Yuuniya, was fugeaduupcheewi ghayi siraduudayeewean; biissa analaat aba jeeda giijasoodiga, nea saawa goosheedeawean nalooda Gristo. 
ROM.16.8	Oakghada Ampliyanooyda abwariinyi aba jeeda Ng'uttamiida. 
ROM.16.9	Oakghada Urbano, was siida easnuudayeewi aba jeeda Gristo ea Stakkisiiyda abwariinyi. 
ROM.16.10	Oakghada Appeeleeyda was siida doabiiwaat aba jeeda Gristo. Ak gookeacheewi fuga gheeh Aristobulo. 
ROM.16.11	Oakghada Heeroodiooni was siideaduupcheewi, oakghada fuga gheeh Narkiso, mideayi sea Ng'uttamiida. 
ROM.16.12	Oakghada fukkadiyeeda mida jeeda Ng'uttamiida, was Drifaina ea Drifosa. Oakghada Bersisiyda abwariinyi biissa gagadiyi muuchchi aba heeda Ng'uttamiida. 
ROM.16.13	Oakghada Rufo, was siida gadiyeeda haw bea Ng'uttamiida, ea ghaamwat biissa ea iyya gil. 
ROM.16.14	Oakghada Asinkrito, Flegoni, Herme, Batroba, Herma, sea oorjooga giyeanya mideawa. 
ROM.16.15	Oakghada Filologo ea Yuliya, Nereya, sea huda ghaamwat, ea Olimpa, sea fuga sean ghaydidi mideawa. 
ROM.16.16	Oakghada geat aba samitta ghaydit. Ghoaghadeagwa ganiisajeega sean bea Gristo.
ROM.16.17	Ofuga eaduupcheewi, geamuscheegwa gideaba ang'ulla fuga eattu jaleadinga ea ng'asheega jea gwaruusa buuneeda, mawoosa giinealshooda ghayi sinnaleagwa; asi ohheelleewana geat. 
ROM.16.18	Aba gideaba fuga sina ng'asheesu magadiyeesiina Ng'uttamiideanya was Gristo, saawa gagadiyeesa jeesinga nyaawa, nea gaba geat aba ng'asheega nyaawa bea ng'uyyeega iissa gwareengani guroruunatka fuga manang'i fughareeni. 
ROM.16.19	Aba gideaba mureedeang'wa ninal buuneessean, ak geahoosannyi appadahuukkeagwa, ak geagasayi gideaba gajahuuwa fuga mideawa weaghuumeeda aba jeeda ng'asheega miyaas, nea ghoahuuyi fuga doobiiweadi aba nga'sheega munyas; 
ROM.16.20	nea Aseetta mideawa weayda gaygabay ghwanung' adattasa Shattaani aba geeshangeagwa. Dagheerjeandumeeda Ng'uttamiideanya was Yeesu Gristo gagasa goobiida jeedeang'wa.
ROM.16.21	Dimotteoyda was siida gadiyeeda sea aniini ghoaghadeagwa; sea Lukkiyo, ea Yasooni ea Soosipatroyda eaduupcheewi.
ROM.16.22	Aniineeda was Dertiyo siida ng'waar baroajeanji gil, ghoaghadeagwa aba jeeda Ng'uttamiida.
ROM.16.23	Gayooyda was siida eabareassi ea ganiiseessean ghoaghadeagwa. Erastooyda was siida adiing'ng'iida lappiya sea Gwarto, ghoaghadeagwa. 
ROM.16.24	Dagheerjeandumeeda Ng'uttamiideanya was Yeesu Gristo gagasa goobiida jeedeang'wa oagasean. Amin.
ROM.16.25	Asi ghamneawa siitta ammu goomajeegeegwean, aba gitteascheetta sea giijasteanyu miy ea gissurukkwiideayda Yeesu Gristo, ak gwadeaschi sea gidaheachta makcheameetta ghayi funyaat ng'eada deaghayi bea garayiin, 
ROM.16.26	ak geattahaach ghamneawa aba ramooranga sung'waar amaduw ghwanal emoojiga, aba gidaghayi rukutteayda Aseetta manda muudeanooda, ak abeeda gwasin mureeda aba masaweega, 
ROM.16.27	heeda Aseetta mideawa weaghuumeeda gagasa nyasa giigheambiitta damanda manda mudeanooda aba naweeda Yeesu Gristo! Amin.
1CO.1.1	Baulo, ghayi suguursa aba gidagassiida Aseetta ghoaw giijasoochcheanda Gristo Yeesu, ea oorjeediyya was Sosteene, 
1CO.1.2	Heeda ganiiseeda Aseetta mida Goriinto was fuga ghayi simmiidu aba jeeda Gristo Yeesu, ghayi suguursa ghoaw fuga ghaydidi, sea fuga sean guriisa gheawunga Ng'uttamiideanya was Yeesu Gristo aba heeda wassean. Niny Ng'uttamiida nyaawa gil, ea deanya. 
1CO.1.3	Gagasa andeawana dagheerjeandumeeda ea hooyyoo leabu heeda Aseetta was Ghweandeanya ea heeda Ng'uttamiida was Yeesu Gristo.
1CO.1.4	Geabadiischeesi Aseetta galeagasean appadahuukkeagwa appadayda dagheerjeandumeeda Aseettaa ghayi sugooneegwa aba jeeda Gristo Yeesu, 
1CO.1.5	ak aba naweadinga sean geepparureegwa aba jeedeaba niny aba weaghuumeeda ea fughareeda sean. 
1CO.1.6	Ak abeeda gawuurji muuwwuunooda Gristo gidamajeekta aba jeedeang'wa, 
1CO.1.7	ak abeeda ea mwashoadeewaneegwa haleanjeeda sugu bea guroorooda, nea ghoammuughu giidaheachta Ng'uttamiideanya was Yeesu Gristo; 
1CO.1.8	niny gaygoomajeegeegwa ea ghwahitta mudeanooda, nea manda ramaseanda aba eaweeda Ng'uttamiideanya was Yeesu Gristo. 
1CO.1.9	Aseetta ea doabiiwaat, was deaghayi gurneegwa ak abeeda gobareannyeewi Balleandaannyi was Yeesu Gristo was Ng'uttamiideanya.
1CO.1.10	Geamucheegwa fuga eaduupcheewi aba gheawunga Ng'uttamiida was Yeesu Gristo, gideaba abaloolda gilagi oagasean, nea adagwanda dageascheedeang'wa fuurjeeda, ak gidabal goguuyi aba fughareanagi ea girgweageanagi. 
1CO.1.11	Aba gideaba nirukunean fuga Gloe gideaba gwanda jeedeang'wa jaliida, fuga eaduupcheewi. 
1CO.1.12	Asi gideargu nii gil gideaba giliwassih aba heedeang'wa iissa gwayi, “Aniini geabeayi Baulo,” ghana, “Aniini geabeayi Appolo,” ghana, “Aniini geabeayi Geefa,” ghana, “Aniini geabeayi Gristo.” 
1CO.1.13	Heappi neada Gristo gabearshi? Heappi Baulo ghayi geengoor appadahuukkeagwa? Ghana heappi geepaatiisaneegwa aba gheawunga Bauloohi? 
1CO.1.14	Geabadiischeesi Aseetta aba gideaba mii deabaatiisan siida aba ng'eangdeang'wa. geaghus Grispo ea Gayo; 
1CO.1.15	adiiduu gwayi sih ghayi geepaatiisan aba gheawungeasu. 
1CO.1.16	(Hean geabattiisannyi eara fuga gheeh Stefaano. Iing'atta suu ea mwaapkaadi ea neabaatiisanyi sih nuut wassean.) 
1CO.1.17	Aba gideaba Gristo ghayi meajeaknean deabaatiisan, goojeaknean darukkwiida giijasta miy nea meakna bareaynatta weaghuumeeda, ak abeeda ea moawa beehiida Gristo gidamwadaagha.
1CO.1.18	Aba gideaba ng'asheanda beehiida aba heeda fuga roodeadi leendeeda gil, nea aba heedeanya aseaseeda silealu ea uurda Aseetta. 
1CO.1.19	Aba gideaba geang'waar,
1CO.1.19	“Gaydanyarja weaghuumeeda fuga weaghoodi,
1CO.1.19	nea fughareenga fuga mideawa fughareeda gaydaheawa.”
1CO.1.20	Gwandeenu siida was weaghoochcheanda? Gwandeenu ng'oorshoochcheanda? Gwandeenu siida argweaji bea damani? Neada Aseetta ea mii ghwanung' ghoaw lendeeda weaghuumeeda ng'eanyiida? 
1CO.1.21	Nea, aba weaghuumeeda Aseetta, ghanyea mwanala ng'eanyiida Aseetta aba naweeda weaghuumeeda, gohoosan Aseetta aba naweeda lendeetta bea ng'asheega surukkwiidiin ak abeeda geelealu fukka numwasiin. 
1CO.1.22	Aba gideaba fuga Yahuudi gagaseadayyi gwadeagwajeega, nea fuga Yunaani gagaseadayi weaghuumeeda, 
1CO.1.23	amaduukku aseasa geerukkwiidi Gristoyda ghayi singoor, aba heeda fuga Yahuudi gwaruusa fii nea aba heeda fuga Emoojiga ea lendeeda gil, 
1CO.1.24	nea aba heeda fuga suguura, sean Yahuudi ea Yunaani, Gristo ea uurda Aseetta ea weaghuumeeda Aseetta. 
1CO.1.25	Aba gideaba dasheaynatta Aseetta gaburdeawa muuchchi fughareeda buuneeda, nea ng'arng'aranda Aseetta gwandeawa uurda muuchchi ea ghoadaraam buuneeda.
1CO.1.26	Asi asikteawana gurnoodeang'wa, fuga eaduupcheewi; aba jeedeang'wa mii weaghoodi fuga saang'a aba ing'ulleegwa buuneeda, mii saang'a gea mideawa uurjeenga, ak ea mii saang'a fuga sijiilsa gealga hees; 
1CO.1.27	iiduu ghwaloat Aseetta ng'asheekka sifool bea jeeda ng'eanyiidean ak ghoabwaaspwaas fuga mideawa fughareenga, ghwaloat Aseetta haleanjeeda ng'arng'ari mida ng'eanyiida ak ghoobwaaspwaas gea mideawa uurjeenga, 
1CO.1.28	Aseetta ghwaloat haleanjeeda ng'arng'ari sifool aba jeeda ng'eanyiida, ea haleanjeeda mandana, ak ghwanung' ghoaw haleanjeeda mwadaagha gea mida, 
1CO.1.29	ak ea manda siida jea ghoammu ghaghwar geaw aba madeeda Aseetta. 
1CO.1.30	Niny gumdooda eaweegeagwa gil aba jeeda Gristo Yeesu, ghayi nung' Aseetta ghoaw weaghuumeedeanya, ea doobiiwnatteanya ea gimmiinnooda, ea lealeanooda; 
1CO.1.31	asi gawuurji gidaghayi sung'waarda, “Siida ammu ghaghwar geaw, daghwara geaw appadayda Ng'uttamiida.”
1CO.2.1	Hean iyaawunnyi heedeang'wa, fuga eaduupcheewi, mwaawuuni darukuneegwa muuwwuunooda Aseetta aba ghwarjeeda ghana aba weaghuumeeda. 
1CO.2.2	Aba gideaba aniini meagassi danal ng'asheanda wassean aba jeedeang'wa geaghus Yeesu Gristo, dea ghayi singoor. 
1CO.2.3	Nea aniini ghayi gendeayi nea geawoschi ng'arng'ar ea muuwda sea hirbabandeeda; 
1CO.2.4	nea girgweageedeanyu ea giijasteanyu ghanyea maba ng'asheega gurguriischooda bea weaghuumeeda, gagadiiyi Guroorooda aba uurda, 
1CO.2.5	ak abeeda masaweegeagwa ea mabeachchi weaghuumeeda buuneeda, gagasa gwaleabu uurda Aseetta.
1CO.2.6	Nea jeeda fuga nihittiisa heeda aba masaweega ginaali weaghuumeeda, earappeadi mii weaghuumeedeaba damani ghana dea fuga ambaliischi aba damani, was gea jea gammuudean gil. 
1CO.2.7	Ak geergu makcheameetta ea weaghuumeetta funyaat bea Aseettean, ghayi nung' Aseetta ghoaw digheanda ammwadi aba gigheambiitteanyean. 
1CO.2.8	Ea manda aba jeeda fuga ambaliischi aba damani dea nal ng'asheanji; aba gideaba inyeeda heetta ghwanal, abeeda ea maygongoor Ng'uttamiida ghambiidaat. 
1CO.2.9	gawuurji gissung'waarda,
1CO.2.9	“Haleanjeeda manda gheang'da nidaa, ghana iitta niyiiy,
1CO.2.9	ghana ghoapkaat guroorooda siida,
1CO.2.9	haleanjeeda nigeawiit gwasissin Aseetta appadahuukka fuga bwariiy niny.”
1CO.2.10	Aseetta niihiimneasa aseasa aba naweeda Guroorooda. Aba gideaba Guroorooda iissa ghwanal haleanjeessean, eara haleanjeeda mida jeeda Aseetta. 
1CO.2.11	Nii gajea ana sihi jea ghwanal fughareemba sih nuut iimeakghusa guroorootta mida jeessiidean? Gwasnu manda siida ammu ghwanal fughareeda Aseetta geaghus Guroorooda Aseetta. 
1CO.2.12	Aseasa meanyasi guroorooda ng'eanyiida, geanyaschi guroorooda leabu heeda Aseetta, ak abeeda geenalli gidagoaneasa Aseetta aba innyeanda jeeda. 
1CO.2.13	Ak geerukkwiidi gili aba ng'asheega maleapna weaghuumeeda anaal fii siida geaghus dea anaal fii Guroorooda, ak gwaroobu humeanda guroorooda aba heeda fuga mideawa Guroorooda.
1CO.2.14	Siida maba guroorooda mayghwanyas gida jea ghoadaw Guroorooda Aseetta, aba gideaba aba headaannyi lendeeda gil, ak ea mayghwanal aba gideaba geaghus eanal aba jeeda guroorooda. 
1CO.2.15	Siida guroorooda iissa goorgweaksa haleanjeessean, nea niny ghanyea manda siida jea goorgweaksa. 
1CO.2.16	“Aba gideaba, siida nal fughareeda Ng'uttamiida ng'eaha, ak abeeda ghoanaal?” Duukku aseasa gendeawi fughareeda Gristo.
1CO.3.1	Nea aniini fuga eaduupcheewi mwammuusi deabalooldaneegwa fuga mideawa guroorooda, geaghus awuurjeewana fuga saseeda, nea goowuurjeewi diibiga Gristo. 
1CO.3.2	Aniini ghaabiyeagwa eanooga, meagooneegwa hamitta hang'waay; aba gideaba agooga miyoammuusa; asi eara ghamneawa miyoammuusa, 
1CO.3.3	aba gideaba agooga gudabeaha saseeda. Nea iimida jeedeang'wa lachng'eanyiida ea ng'alealleeda, abeeda mowosi fuga saseeda, nea ghoabeadi fuga geallaani? 
1CO.3.4	Aba gideaba iyayi siyagi, “Aniini geabeayi Baulo,” nea gwayi nuut, “Aniini geabeayi Apoolo,” abeeda agooga ea mowosi buuneeda?
1CO.3.5	Asi Apoolo ng'eaha? Ama Baulo ng'eaha? Soomjooga ghayi nung amwasa gil, gawuurji gidadawda Ng'uttamiida giliwas sih gwasin. 
1CO.3.6	Aniini ghayi geahisti, ak ghwayiin Appolo beega, nea dea arruudu ea Aseetta. 
1CO.3.7	Siida hista mii gili ghana siida iin beega geaghus Aseetta arudu. 
1CO.3.8	Siida hista ea dea iin beega gooyang'deayyi, amaduu gay gaba siisi nyas gimeardaannyi gawuurji gidaghayi sinda gadiyeeda. 
1CO.3.9	Aba gideaba aseasa geewooschi fuga sin gadiyeeda Aseetta; agooga goowooschi madamnyeanda Aseetta, nea goowooschi gheeda Aseetta.
1CO.3.10	Aba gitteenna dagheerjeandumeeda goonan Aseetta, ak geawuurjeewi siida geariir haweewa fuga deekshi geasinyi sindeetta, ak gwadeeksheewa siinuut uhuuda. Ak ea daba siisi ng'ula gitteeksheatta aba uhuudeaba sindeedi. 
1CO.3.11	Aba gideaba manda siinuut jea gwasin sindeetta nuut, geaghus diitta ghayi nigeawiit eesiniin, nea Yeesu Gristohi. 
1CO.3.12	Iiduu nea gwadeeksheewa siinuut uhuudeaba sindeedi, iideakta lagheanga meeng'meeng'i, ghana lappiya, ghana lagheanga haw sheayeat, ghana geediga, ghana seenga, ghana nyeega, 
1CO.3.13	abeeda gajeattajiit gadiyeemba giliwas sih; aba gideaba gayghoahiimu Eaweettida, aba gideaba gajeattaajiida beasta, ak abeeda gwasin beasta gadiyeeda ghayi sisin giduurji. 
1CO.3.14	Nea gadiyeeda sin siida wassean nea gwadeeksa uhuudeaba sindeettida gayghaghu abeeda gayghwanyas gimearda. 
1CO.3.15	Nea siida dattasa gadiyeadaannyi, gay ghwaak lugooda, amaduuku niny gajeelealu, gay gawuurji gili mwanmwandaawa jeeda beasta.
1CO.3.16	Moanali gideaba agooga goowooschi gheeda sibatta Aseetta bea Aseetta, ea gideaba Guroorooda Aseetta gwanda jeedeang'wa? 
1CO.3.17	Siida iinuus gheeda sibatta Aseetta, gay gwanuus Aseetta siisi. Aba gideaba gheeda Aseetta aaghaydit, nea agooga gil.
1CO.3.18	Siida adagwareengani geaw. Siida idaah geaw, gideaba gwandeawa weaghuumeeda aba jeedeang'wa aba gweannyeeksu adadashahiida ak abeeda ghwanyas weaghuumeeda. 
1CO.3.19	Aba gideaba weaghuumeedeaba ng'eanyiini leendeeda gil aba heeda Aseetta. Aba gideaba geang'waar, “Siida ang'ng'oonyi siida weaghoot aba jeeda milmilanda nyaawa,” 
1CO.3.20	nuut gichcha, “Ng'uttamiida ghwanal fughareenga fuga weaghoodi gideaba mwarachchi gil.” 
1CO.3.21	Asi siida wassean adagagwarsa geaw buuneeda. Aba gideaba haleanjeessean geagwa gil, 
1CO.3.22	ea Bauloohi, ghanea Apooloohi, ghanea Geefaahi, ghanea ng'eanyiida, ghanea eaweega, ghanea miyeeda, ghanea haleanjeeda ghamneawa mida, ghanea gea jea ghwahidu gil, suu geagwa sean; 
1CO.3.23	nea agooga goowooschi fuga Gristo; nea Gristo gaba Aseetta.
1CO.4.1	Nii gidagasa ghwadaaktaneasa siida gil, gideaba geewooschi soomjooga Gristo ea fuga siitteaga gadiyeeda funyaat bea Aseetta. 
1CO.4.2	Nea gissigasa aba heeda fuga siitteaga gadiyeeda doobiiwnatta gil. 
1CO.4.3	Nea aba heedeanyu nii ea ng'asheanda mwanang' gil gideaba goorgweaksean agooga ghana girgweageeda wassean bea buuneeda. Ak aniini ea mii deargweaksa geaw. 
1CO.4.4	Aba gideaba aniini mwaanali gidawassean appadaydeanyu, ak ghanyea meesiksean. Ng'uttamiida dea jea goorgweakseani. 
1CO.4.5	Asi iissa ea adoorgweaksi ng'asheanda nea miighwahitta damanda nea miighwahidu Ng'uttamiida. Jea ghoabwaay haleanjeeda funyaat mida jeeda misaneeda, ak ghoadahaach ng'asheega mida jeeda guroorooda. Abeeda giliwas sih gay ghwanyas gwarsiinda aba heeda Aseetta.
1CO.4.6	Ak geamuschi haleanjeani seaniin sea Appolo ak abeeda ghoanyagaadi, fuga eaduupcheewi, ak abeeda ghoanaalaneasa ea moannaawani gitta ghayi sung'waariin, ak abeeda ea mwaghwara geaw sih aba jeedeang'wa aba giduuksiideaba geaw bea siinuut. 
1CO.4.7	Ghwadaah ng'eaha gidawassean sajaadawaat aba jeedeang'wa? Ak gondeawi naaha ghayi moanyasi? Ama ghayi oanyaschi, ghwasaan inyas ghoaghwarji geat ea gawuurji gili megooneegwa?
1CO.4.8	Asi nihit noolang'uuchchi! Asi nihit noobaruurji! Nea iimeendani ea noahuuyi sugoodiga! Nea appadaydeaba nii ea noombaliischi, ak abeeda geeguuyi gheambalmeeda sea agooga! 
1CO.4.9	Aba gideaba naapkaachchi gideaba Aseetta ghayi gwasneasa aseasa giijasoodiga eahuuwa fuga huydeana sean, ewuurjeewana fuga sirgweaksiina miyeeda; aba gideaba suhuuyi meagheang'da aba ng'eanyiida, ea aba heeda malaykajeega ea heeda buuneeda. 
1CO.4.10	Aseasa geewooschi dasheahi appadayda Gristo, amaduu agooga goondeawi weaghuumeeda appadayda Gristo. Aseasa geewooschi ng'arng'ar, nea agooga goondeawi uurda. Agooga geesinneegwa mureeda, nea aseasa ghanyea meesinneasa mureeda. 
1CO.4.11	Aba damani bea ghamneawean geebearjeewi jalooda ea muwooshta, ak ea mekkwealsheeni muuchchi, geabwareasa, ak ea meendeawani gealga, 
1CO.4.12	geebiissi edeawiida nea geesinnyi gadiyeeda aba geattingaasa. Iisingng'eaweasa geebadiischeesi, iisibwareasa gearjeang'di. 
1CO.4.13	Iisibeasheagwa googasayi duupcheeda; sunung eahuuwa haleanjeeda mwadaagha aba jeeda ng'eanyiida, nea geewooschi haleanjeeda mwadaagha aba haleanjeessean.
1CO.4.14	Ng'asheesu mwaang'waari nea geegasayi dabwaspwaseegwa, geabaysiini miinda gheang'deang'wa nea geahindaneegwa diibiga abwariinnyi. 
1CO.4.15	Aba gideaba earappeadi ondeawi ginealshoodiga manda moonneeda aba jeeda Gristo, ea moondeawani ghweaniga saang'a. Aba gideaba aniini naahuuyi ghweandeang'wa aba jeeda Gristo Yeesu aba naweeda giijasta miy. 
1CO.4.16	Asi geamuscheegwa, ayeanni geeshteanyu. 
1CO.4.17	Hean ghoaw gideajeakni Dimotteo heedeang'wa, was jeepteanyu abwariinnyi, biissa adoabiiwaat aba jeeda Ng'uttamiida, jea goopkeaneegwa naweadingeasu aba jeeda Gristo, ak gawuurji gideanealshacheatti aba ng'eanyiissean aba jeesinga ganiisajeega sean. 
1CO.4.18	Asi buuneeda mwaatkwa nung'ut ghwarjeeda nea ghaghay gilimaydoan heedeang'wa. 
1CO.4.19	Nea gaydabay doan heedeang'wa iimwas Ng'uttamiida, ak ea mwajeaghu gideaba gaydasikteawa ng'asheega fuga ghwarjeeda gaydasikteawa eara uurjeenga nyaawa. 
1CO.4.20	Aba gideaba sugoochcheandumeeda Aseetta manda jeeda baloolda, gwanda jeeda uurda. 
1CO.4.21	Ghoabwariinyi anneeda? Gaydoan heedeang'wa nea geayeadu bileangida, ghana jea doana bariinyeega ea guroorooda garbabu?
1CO.5.1	Gwanda iitta huumwa nighayda bea gideaba jeedeang'wa gwanda fuga mideawa searoojiga munyas, ak gabiissa ea muy ea manda earaba jeeda Emoojiga; bea gideaba iissa siida gwalluudayi gatmooda ghwaan. 
1CO.5.2	Ak ghoaghwarji geat! Gwachchi mang'wana gogiisannyi? Siida nisin ng'asheanji oang'ng'aamwana jeedeang'wa.
1CO.5.3	Nea earappeadi meandani aba saseeda geandi aba guroorooda, ama uurji gileandi, abeeda ea meargu girgweaksiinda 
1CO.5.4	aba gheawunga Ng'uttamiida was Yeesu nang'aatti girgweaksiinda siida sin ng'asheanda muy sunuun. Hean nea ghoabwachchi geat, abeeda eara gurooroodeanyu gaygwanda hiji, sea uurda Ng'uttamiideanya was Yeesu, 
1CO.5.5	ak geattaw Shattaani siisi ak ghwanyas saseadaannyi lasooda, ak abeeda gelealu gurooroadaannyi aba eaweeda Ng'uttamiida was Yeesu.
1CO.5.6	Ghwaroodeang'wa bwaageat miimiy. Moanali gideaba gidamwanang mwattaw ghoammu ghoamwattawiit murmurjeanda seani? 
1CO.5.7	Asi ageanda mattawandeaba garayi ak abeeda ghoahuuyi murmurjeanda eesh, ak ea huumwa gil miyeammwattawiideegwa. Aba gideaba Gristo, was dayeenda gisilleanda bea basakka, ning'atta giidaydeayda. 
1CO.5.8	Asi esna ghweelmeeda, nea mii dea mattawanda ghayi bea garayi was mattawanda bwada geawunda gheang'da ea munyinda, gagasa gaba mukkatteyda meammwattawiida, nii weeshinda jeeda gil ea huumwa.
1CO.5.9	Geang'oorneegwa aba barawajeanji itteanyuun, gideaba adooguuyeewi fuga mealuuli; 
1CO.5.10	meayeeshshiineegwa eara hay gideaba adooguuyeewi fuga munyas bea jeedeaba ng'eanyiini, ghana fuga geawwi ghaanyan, ea fuga areedi buuneeda haleanjeeda, ghana fuga bada gidamawosa Aseetta, abeeda gwachchi gajea gideaba gagasa ang'amwana jeeda ng'eanyiida gil. 
1CO.5.11	Ak geang'oorneegwa gideaba adoobareannyeewi siida was oorjeeda suguura dea giyeang'wa, iyaadiiy ghana gwaseeja haleanjeeda, ghana ea siida bada haleanjeeda mawosa Aseetta, ghana ea siida ang'eawi buuneeda gil, ghanea siida boogidi, ghana ea siida areedi buuneeda haleanjeeda, siissunu adoamwaschi eara gideaba gajoombucheewana. 
1CO.5.12	Abeeda gaygwarachchi naaha iyeargweaksi fuga jarooda? Nea ea mii fukka mida jeeda ganiisaan gil gea jea argweaksiina. 
1CO.5.13	Aseetta gaygoorgweaksa fuga mida jarooda. “Ak ghahoan fuga munyas aba jeedeang'wa.”
1CO.6.1	Ideeppa gwanda jeedeang'wa siida giisan appadayda oorjeeda ghaamwat, ghwadoabiiw gideaba gaygabadaksa gawa ghoahaakta aba madeeda fuga mii doobiiweadi nea ghwanung'waada fuga ghaydidi? 
1CO.6.2	Moanali gideaba fuga ghaydidi gaygoorgweaksa ng'eanyiida? Ama abeeda ng'eanyiida ijeaorgweaksiina agooga, abeeda ea moahiidi iyorgweaksi ng'asheega manang'i? 
1CO.6.3	Moanali gideaba galannya gajeergweaksiina malaykajeega? Asi abeeda ea may ghwaraanya, ng'asheesu bea ghamneaweani! 
1CO.6.4	Asi iyoondeawi girgweaguutka sunu, ghwasaan inyas ghoayiinnyi madeeda fuga meawwala gheanyanga aba jeeda ganiisa? 
1CO.6.5	Geargu ng'asheesu nea geagasayi dabwaspwaseagwa. Heappi gwasin gideaba aba jeedeang'wa manda siida eara siyagi was weaghoochcheanda ammu ghwalach girgweageeda fuga gheannyaawa, 
1CO.6.6	iissa gawa siida ghoahaakta oorjeeda ghaamwat, ea biissa aba madeeda fuga mandeawana masaweega?
1CO.6.7	Hean gohheakkiidi geat agooga ak ghoaw joorda aba heedeang'wa. Neada ea mwang'wana goosawani aba gidiinyeanji? Neada ea mwang'wana gearreannyi haleanjeadaang'u? 
1CO.6.8	Iiduu earagooga iissa goottinnyi nea goorreedayi haleanjeeda, nea iissa ghoareachchi eara fuga oduupcheewi.
1CO.6.9	Ghana moanali gideaba fuga mii doobiiweadi maygwahearan sugoochcheandumeeda Aseetta? Adeereenganneegwa; fuga munyas searooji gil, ghanea fuga bada haleanjeeda gidamawosa Aseetta, ghanea fuga mealuuli, ghanea fuga ashiigi suurja, 
1CO.6.10	ghana mareanghooga, ghana fuga geawi ghaanyan, ghana leeyda, ghana fuga giing'weaka, ghana fuga areedi fii haleanjeeda jea gwahearan sugoochcheandumeeda Aseetta. 
1CO.6.11	Nea aba jeedeang'wa ghayi goowooschi fuga sina ng'asheesu. Iiduu ea siihhuuneegwa, ak ea simiineegwa, ak geegooneegwa doobiiwnatta aba gheawunga Ng'uttamiida was Yeesu Gristo, ea aba Guroorooda Aseetteanya.
