MAT.1.1	Ибрагьимил наслуялъул Давудил кьибилалъул вас Гӏиса Масихӏил умумузул цӏаразул рахас гьадинаб буго:
JHN.4.10	Гӏисаца гьелда абуна:
JHN.4.10	– Аллагьасдасан насиблъулеб сайигъатги лъалебани ва лъим кьейилан дуда гьарулев вугев чи щивалиги лъалебани, дуцаго гьарилаан гьесда лъим кьейилан, ва гьес дуе кьелаан чӏаголъиялъул лъим.
JHN.4.11	Гьей гӏаданалъ Гӏисада абуна:
JHN.4.11	– Я, бетӏерчӏахъад, духъ гел гьечӏогури, гьаб гъуйги гъваридаб буго. Киса дуе чӏаголъиялъул лъим щвезе бугеб? 
JHN.4.12	Нилъер кӏудияв эмен Якъубидасаги кутакав чийищха мун? Гьесдасан нижее ирсалъе хутӏараб гьаб гъуялъуса лъим гьесги гьекъолаан, гьесул лъималазги гьекъолаан, гьесул боцӏи-панзалъги гьекъолаан.
JHN.4.13	Гӏисаца абуна:
JHN.4.13	– Гьаб гъуялъуса лъим гьекъарав чи нахъеги къечола. 
JHN.4.14	Амма дица кьураб лъим гьекъарав чи абадул абадиялъ къечезе гьечӏо. Дица кьураб лъим гьесул рекӏелъ иццлъун лъугьина. Гьеб иццул лъадал чвахиялъ абадияб гӏумру насиблъизабула.
JHN.4.15	Гьей гӏаданалъ Гӏисада абуна:
JHN.4.15	– Дие кье, бетӏерчӏахъад, гьеб лъим. Тӏокӏай дун киданиги къечеларо ва гьание лъел цӏезе ячӏине ккеларо.
JHN.4.16	Дурго росги вачун ячӏайилан абуна Гӏисаца гьелда. 
JHN.4.17	Жиндир рос гьечӏилан абуна гьелъ. Гӏисаца гьелда абуна рос гьечӏилан абураб рагӏи дур битӏараб бугилан. 
JHN.4.18	Щуго рос вукӏана дур. Амма гьанже вугев чи дур рос кколаро, гьеб цӏакъ битӏун абуна дуца. 
JHN.4.19	Гьей гӏаданалъ абуна:
JHN.4.19	– Мун авараг вукӏин бихьулеб буго, бетӏерчӏахъад, дида. 
JHN.4.20	Нижер умумул гьаб магӏарде рахунаан Аллагьасе тӏагӏат-гӏибадаталъе. Нужер жугьутӏаз абулеб буго тӏагӏат-гӏибадаталъе Иерусалималде рачӏине кколилан.
JHN.4.21	– Мун дида божа, – ян абуна Гӏисаца гьелда. – Цо заман бачӏина Инсуе суждаялда чӏезе я гьаб магӏарде рахине кколареб, я Иерусалималде ине кколареб. 
JHN.4.22	Нужеда лъаларо лъие нужеца сужда гьабулеб бугебали. Нижер жугьутӏазда лъала лъие сужда гьабулеб бугебали, гӏаламалъе хвасарлъи жугьутӏазда гьоркьосан бачӏунелъул. 
JHN.4.23	Цо заман бачӏина хӏакълъунго Аллагьасда божулел гӏадамаз хӏакъаб нухдасан ун, Илагьияб Рухӏалдалъун Инсуе сужда гьабулеб. Бачӏунго буго гьединаб заман. Гьединал божулел чагӏи ралагьулел руго нилъер Инсуца. 
JHN.4.24	Аллагь – гьев ккола Рухӏ. Гьединлъидал хӏакъаб нухдасан ун, Рухӏалдалъун гьабизе ккола гьесие сужда.
JHN.4.25	Гьей гӏаданалъ абуна:
JHN.4.25	– Дида лъала Христосилан абулев Масихӏ вачӏине вукӏин. Гьев вачӏараб мехалъ, гьес бицина нижеда кинабго.
JHN.4.26	Гӏисаца гьелда абуна:
JHN.4.26	– Гьанив дуда кӏалъалев вугев дун ккола гьев.
JHN.4.27	Гьебмехалъ тӏаде щварал Гӏисал муридал гӏажаиблъана самариялда гаргадилев гьев ватидал. Амма гьесда лъицаниги гьикъичӏо щиб дуе къваригӏун букӏарабилан, щиб бицун мун гьелда гаргадулев вугевилан. 
JHN.4.28	Гӏеретӏги гьениб тун, шагьаралдеги ун, дой гӏаданалъ гӏадамазда абуна:
JHN.4.29	– Рилълъа, нужедаго цо чи вихьизе. Гьес бицана дир гӏумруялда жаниб ккарабщинаб жо. Масихӏцин гуродай дов?
JHN.4.30	Гьев вихьизе ине къватӏире рахъана шагьаралъул гӏадамал.
JHN.4.31	Гьел тӏаде щвелалде, муридаз Гӏисада абуна:
JHN.4.31	– Кванай, Мугӏалим, – ан.
JHN.4.32	Гьес гьезда абуна:
JHN.4.32	– Нужеда лъалареб квен буго дихъ, – ан.
JHN.4.33	Цо лъицаниги квенциндай гьасие бачӏарабилан гаргадизе лъугьана гьел. 
JHN.4.34	Гӏисаца гьезда абуна:
JHN.4.34	– Дир квен ккола дун витӏарав Аллагьасул амру тӏубазаби ва гьесул иш рагӏалде бахъинаби. 
JHN.4.35	Нужеца абила хур лъилъизе жеги ункъониги моцӏ хутӏун бугилан. Гьале дица нужеда абулеб буго: лъикӏго бер щвезабе хурзабахъе, хӏалухъен тӏогьиллъун буго ва гьеб лъилъизе заман щун буго! 
JHN.4.36	Лъилъарухъанасе лъикӏаб мухьги щвела ва абадияб гӏумруялъе бачӏинги бакӏарила. Бекьаравги лъилъаравги – кӏиявго – вохила гьелдаса. 
JHN.4.37	Цӏакъ битӏараб кици буго, цояс бекьулин, цогидас лъилъулин абураб. 
JHN.4.38	Дица нуж ритӏула нужецаго бекьичӏеб хур лъилъизе. Цогидаз захӏмат баччун гӏезабураб хӏалухъеналдаса пайда босула нужеца!
JHN.4.39	Жиндир гӏумруялда жаниб ккарабщинаб жо лъанин гьесдайилан дой гӏаданалъ бициндал, гьеб шагьаралдаса гӏезегӏанго самариял божана Гӏисада. 
JHN.4.40	Гьесда тӏаде щведал, самарияз Гӏисада гьарана жидер шагьаралда чӏайилан. Кӏиго къо бана гьес гьениб. 
JHN.4.41	Гӏисал рагӏабазухъ гӏенеккидал, дагьалги цӏикӏкӏана гьесда божулел гӏадамал. 
JHN.4.42	Гьез дой гӏаданалда абуна дуца бицаралдалъун гурин ниж гьанже божарал, нижедаго рагӏаралдалъун божанилан ва хӏакълъунго гӏалам хвасар гьабизе вачӏарав чи гьев вукӏиналда ракӏги чӏанилан.
JHN.4.43	Кӏиго къоялдасан Гӏиса гьениса Галилеялде ана. 
JHN.4.44	Гӏисаца абун букӏана жиндирго инсул ракьалда аварагасул къадру-къимат гьабуларилан. 
JHN.4.45	Амма Галилеялде щведал, роха-хинлъун къабул гьавуна Гӏиса гӏадамаз. Гьелги рукӏиндал дора Иерусалималда доб байрамалда, гьездаги рихьидал дора гьесдасан загьирлъарал мугӏжизатал.
JHN.4.46	Нахъеги Гӏиса ана гьес лъим чагъиралде сверизабураб Галилеялъул доб Кана шагьаралде. Гьенив вукӏана парччахӏасул хӏакимлъун вугев цо чи. Гьесул вас вукӏана Капернаум шагьаралда захӏматго унтун. 
JHN.4.47	Гӏиса Ягьудиялдаса Галилеялде тӏадвуссун вугилан рагӏидал, гьесда аскӏове вачӏана дов чи, хвалде ккун унтун вугев жиндир вас сахлъизавизе жинда цадахъ Капернаумалде вилълъайилан гьаризе. 
JHN.4.48	Гӏисаца гьесда абуна:
JHN.4.48	– Мугӏжизаталги гӏаламаталги рихьизаричӏони, божуларел гӏадамал руго нуж!
JHN.4.49	Парччахӏасул хӏакимас гьесда абуна:
JHN.4.49	– Я, бетӏерчӏахъад, дир вас хвелалде вилълъа.
JHN.4.50	Гӏисаца гьесда абуна:
JHN.4.50	– Дурго рокъове а гьанже. Дур вас хвезе гьечӏо, – ян.
JHN.4.50	Гӏисал гьеб рагӏудаги божун, нахъе ана гьев чи. 
JHN.4.51	Нухдаго данде ккана вас сахлъанилан бицине рачӏунел рагьтӏателал. 
JHN.4.52	Кида гьев сахлъаравилан гьас гьикъидал, рагьтӏателаз абуна къалъудаса сагӏат араб мехалъ васасул цӏа-кан бичанилан. 
JHN.4.53	Хӏисаб гьабураб мехалъ, битӏун гьеб заманаялда абун батана Гӏисаца гьесда дур вас хвезе гьечӏилан. Гьелдаса нахъе гьесги гьесул рукъалъул агьлуялъги иман лъуна. 
JHN.4.54	Гӏиса Ягьудиялдаса Галилеялде тӏадвуссаралдаса хадуб загьирлъараб кӏиабилеб мугӏжизат букӏана гьеб.
JHN.5.1	Гьелдаса хадуб жугьутӏазул цо байрамалде Иерусалималде вачӏана Гӏиса. 
JHN.5.2	Иерусалималъул «Гӏиял кавудахъ» буго жугьутӏазул мацӏалда Бетцата абулеб цо хӏавуз. Чӏахӏиял хӏубалги чӏван гьабураб щуго рагъиги буго гьеб хӏавузалда сверун. 
JHN.5.3	Гьел рагъабазда регун рукӏунаан унтаралги, бецалги, рекъалги, палижалъ ккуралги гӏемерал гӏадамал. 
JHN.5.4	 Гьенив вукӏана лъебералда микьго соналъ унтарав цо чи. 
JHN.5.6	Гӏисадаги вихьана гьев. Халат заманаялъ унтарав чи гьев вукӏин лъайдал, Гӏисаца гьесда гьикъана сахлъизе бокьилищилан. 
JHN.5.7	Унтарас жаваб кьуна:
JHN.5.7	– Я, бетӏерчӏахъад! Лъим гьелчараб мехалъ, дун хӏавузалъуве вегьизе чи гьечӏо дида цадахъ. Дунго гьениве лъугьинилан кида тӏаде ворханиги, цогидав ккун ватула дидаса цеве.
JHN.5.8	Гӏисаца гьесда абуна:
JHN.5.8	– Тӏаде вахъа! Дурго турутги босун, рокъове а, – ян.
JHN.5.9	Гьебсагӏатго сахлъана гьев чи. Жиндирго турутги босун унев вукӏана. Гьеб букӏана шамат къо. 
JHN.5.10	Гьединлъидал ягьудияз гьесда абуна жакъа шамат къоялъ дуца турут кодоб ккун баччизе бегьуларилан. 
JHN.5.11	Жив сахлъизавурав чияс турутги босун айилан абунин жиндайилан жаваб кьуна гьес.
JHN.5.12	– Турутги босун айилан лъица дуда абураб? – ан гьикъидал, 
JHN.5.13	жаваб кьун бажаричӏо гьесухъа. Гьесда лъалеб букӏинчӏо дов щивали. Гьенир рукӏарал гӏадамазул руккалилъе лъугьун ун вукӏана Гӏиса гьебмехалъ. 
JHN.5.14	Цинги Гӏисада гьев чи Мукъадасаб Рокъов ватана.
JHN.5.14	– Гьелеха, сахлъун вуго мун гьанже, – ян абуна гьесда Гӏисаца. – Мунагьалдаса цӏунун чӏа гьанжеялдаса нахъе, дагьабги квешаб ккезе гурин дуе.
JHN.5.15	Инеги ун ягьудиязда бицана гьес Гӏисаца сахлъизавунин живилан. 
JHN.5.16	Гьелдаса хадуб, шамат къоялъ гьединаб иш гьабунилан, Гӏисае рахӏат толеб букӏинчӏо ягьудияз. 
JHN.5.17	Гӏисаца гьезда абуна:
JHN.5.17	– Дир Инсулги гьечӏо чӏараб сагӏат, дунги гьесда релълъун вуго.
JHN.5.18	Шамат къоялъул къанун хвезабураб гӏечӏого, гьес Аллагь жиндирго эменлъун рикӏкӏунев вугилан, Аллагьасда живго ващалъизавулевги вугилан, гьез гьанже дагьабги цӏикӏкӏун хӏаракат бахъулеб букӏана Гӏиса чӏвазе.
JHN.5.19	Гьелда дандеги Гӏисаца абуна:
JHN.5.19	– Хӏакълъун абулеб буго дица нужеда: живго лъикӏав лъугьун Васасда щибниги гьабизе кӏоларо, Инсуца гьеб иш гьабулеб гьесда бихьулеб гьечӏони. Инсуца гьабураб гьабула Васасги. 
JHN.5.20	Инсуе вас вокьула, ва Инсуца гьесдаги рихьун гьарула жиндирго киналго ишал. Дагьалги кӏудиял ишал рихьизарила Инсуца гьесда, гьебмехалъги гӏажаиблъила нуж. 
JHN.5.21	Инсуца гӏадамал хваралъуса рахъинарун, чӏаголъизарулел гӏадин, Васасги чӏаголъизарула жиндиего чӏаголъизаризе бокьарал чагӏи. 
JHN.5.22	Инсуца лъиениги суд гьабулеб гьечӏо, суд гьабизе ихтияр гьес Васасухъе кьун буго. 
JHN.5.23	Инсуе бокьун бугелъул Жиндирго гӏадаб къадру-къимат гӏадамаз васасулги гьабизе. Васасул къадру-къимат гьабуларев чияс гӏаламалъухъе гьев витӏарав Инсулги къадру-къимат гьабизе гьечӏо.
JHN.5.24	Хӏакълъун абулеб буго дица нужеда: дир рагӏухъ гӏенеккарав ва дун витӏарав Аллагьасда божарав чиясе абадияб гӏумру насиблъула, суд гьабичӏого, тамихӏ гьечӏого ворчӏана гьев хваразулъа чӏагоязулъе – абадияб гӏумруялъулъе. 
JHN.5.25	Хӏакълъун абулеб буго дица нужеда: Аллагьасул Васасул гьаракь хвараздаги рагӏулеб ва гьеб рагӏараб мехалъ гьел тӏаде рахъунеб заман бачӏина, бачӏунго буго гьединаб заман. 
JHN.5.26	Инсухъ буго инсанасда рухӏ лъезабиялъул кверщел. Гьес Васасухъеги кьун буго инсанасда рухӏ лъезабизе кверщел. 
JHN.5.27	Суд гьабизеги ихтияр кьун буго Васасе – гьев Гӏадамил Лъимер вугелъул. 
JHN.5.28	Нуж хӏикмалъуге гьелда, киналго хабалъ ругезда Аллагьасул Васасул гьаракь рагӏулеб заман бачӏине буго: 
JHN.5.29	лъикӏлъиялда хьвадаразе, хваралъуса рахъиндал, гӏумру насиблъила, квешлъиялда хьвадаразе, хваралъуса рахъиндал, тамихӏ насиблъила.
JHN.5.30	Дунго лъикӏав лъугьун дида щибниги гьабизе кӏоларо. Аллагьасухъ гӏенеккун гьабулеб буго дица суд. Дир судги ритӏухъаб буго, – диего бокьухъе гурелъул дица суд гьабулеб бугеб, дун витӏарав Аллагьасе бокьухъелъидал. 
JHN.5.31	Дицаго диего гьабулеб нугӏлъи – гьеб кьучӏаб букӏинаро. 
JHN.5.32	Амма вуго дир хӏакъалъулъ бицунев цоги Нугӏ. Дида лъала дир хӏакъалъулъ Гьесул нугӏлъи кьучӏаб бугеблъи.
JHN.5.33	Дир хӏакъалъулъ цӏехезе нужеца Яхӏяхъе гӏадамал ритӏун рукӏанагури. Ритӏухъаб нугӏлъи гьабуна гьесги. 
JHN.5.34	Гӏадамазул нугӏлъи къваригӏарав чи гуро дун. Нуж хвасарлъизе гӏоло бицунеб буго дица гьелъул. 
JHN.5.35	Яхӏя вукӏана гӏадамазе бакараб ва канлъи кьолеб чирахъ гӏадинав чи. Цо дагьабго заманаялъ гьелъул канлъиялдаса рохизе бокьун букӏана нужее. 
JHN.5.36	Яхӏяца гьабураб нугӏлъиялдасаги кӏудияб нугӏлъи буго дихъ, нуж божизаризе кӏолеб. Дица тӏуразареян Инсуца дида тӏадкъарал ва гьанже дица тӏуразарулел ругел ишаз жидецаго нугӏлъи гьабула дир хӏакъалъулъ. Дун Инсуца витӏун вукӏиналъе нугӏлъи гьабула гьез. 
JHN.5.37	Дун витӏарав дир Инсуцаги нугӏлъи гьабулеб буго дие пайдаялъе. Нужеда лъиданиги я рагӏичӏо, я вихьичӏо гьев киданиги. 
JHN.5.38	Гьесул рагӏиги нужер рекӏелъ хутӏуларо, гьес витӏарасда божулел гьечӏелъул. 
JHN.5.39	Нужеца Тӏухьдул цӏалула, гьелдалъун нужее абадияб гӏумру насиблъилилан ракӏчӏун бугелъул. Гьеле гьел Тӏухьдузги нугӏлъи гьабула дир хӏакъалъулъ. 
JHN.5.40	Абадияб гӏумру насиблъизе букӏине дихъе рачӏине кинго бокьулеб гьечӏо нужее.
JHN.5.41	Гӏадамазул рецц-бакъ къваригӏарав чиги гуро дун. 
JHN.5.42	Амма дида нуж лъала ва нужер рекӏелъ Аллагьасде рокьи гьечӏеблъиги лъала. 
JHN.5.43	Дир Инсуца витӏун вачӏарав дун нужеца къабул гьавулев гьечӏо. Живго вахъун цо пуланав чи вачӏани, нужеца гьев къабул гьавила. 
JHN.5.44	Цоцазул рецц бокьулел нуж гӏадинал гӏадамаз иман лъелищ, цохӏо Аллагьасдасан щолеб баркат тӏалаб гьабулеб гьечӏелъул нужеца. 
JHN.5.45	Амма нужеда ракӏалде ккоге Инсуда цере дица нужеда гӏайиб чӏвалилан. Сундулго рахъалъ нужеца хьул гьабулев Мусацагицин гӏайиб чӏвала нужеда. 
JHN.5.46	Хӏакълъун нуж Мусада божулел рукӏаралани, дидаги божилаан нуж. Гьесги хъван тун букӏиндалха нужее дир хӏакъалъулъ. 
JHN.5.47	Гьес хъваралда божуларел нуж, дица бицаралда божилищ?
JHN.6.1	Цо заманаялдасан Гӏиса Галилеялъул (Тибериадаялъул) ралъдал добцояб рахъалде ана. 
JHN.6.2	Гӏемераб халкъ бачӏана гьесда хадуб гьенибеги, унтарал сахлъизарун гьесдасан загьирлъарал мугӏжизатал рихьулел рукӏиндал. 
JHN.6.3	Гӏиса цо магӏарде вахана ва жиндирго муридазда цадахъ гьенив чӏана. 
JHN.6.4	Жугьутӏазул Пасхаялъул байрам тӏаде щолеб букӏана.
JHN.6.5	Сверухъ валагьидал, гӏемераб халкъ жинда аскӏобе бачӏунеб бихьун, Гӏисаца Филиппида гьикъана гьавгощинав чи кваназавизе чед кисадай нилъеца босилебан. 
JHN.6.6	(Филиппил хӏалбихьизе гьикъана Гӏисаца гьедин. Гьесда лъалеб букӏана щиб гьабилебали.) 
JHN.6.7	Филиппица абуна кӏинусго динаралде босараб чедгицин гӏеларин гьал гӏадамал кваназаризе, кигӏан гьитӏинаб мочӏу кьуниги. 
JHN.6.8	Симон Пётрил вац Андрейица абуна Гӏисада 
JHN.6.9	гьаниб цо васасухъ бугин пурчӏинадул ханждал щуго чедги кӏиго гьитӏинабго ччугӏаги, амма гьаб халкъалъе гьеб кисайин гӏелебилан.
JHN.6.10	Гӏисаца абуна гьел киналго гӏодор чӏезарейилан. Цӏакъ хер керчаб бакӏ букӏана гьеб. Гьенир харда тӏад гӏодор чӏана щуазаргогӏанасев бихьинчи. 
JHN.6.11	Гӏисаца чед цебе босана, тӏаде дугӏаги гьабун, бек-бекун бикьана кваназе гӏодор чӏарал гӏадамазе. Бокьарабгӏан чедги ччугӏаги щвечӏев чи хутӏичӏо гьенив цониги. 
JHN.6.12	Киналго гӏорцӏараб мехалъ, Гӏисаца муридазда абуна, гӏадада хвезе течӏого, кванан хутӏарал чадил кескал ракӏарейилан. 
JHN.6.13	Пурчӏинадул ханждал щуго чадил нахъе хутӏун ратана анцӏила кӏиго гьегь цӏурал кескал. 
JHN.6.14	Гӏисадасан загьирлъараб гьеб мугӏжизат бихьидал, гӏадамаз абуна:
JHN.6.14	– Хӏакълъунго гьав чи вуго дуниялалде вачӏине кколев вукӏарав авараг.
JHN.6.15	Ккун вачун, гьез жидерго парччахӏлъун гьавизехъин вукӏин лъайдал, Гӏиса нахъеги магӏарде ана, щивниги цадахъги вачинчӏого.
JHN.6.16	Бакъанимехалъ муридал ралъдал рагӏалде ана. 
JHN.6.17	Росодаги рекӏун, гьел ралъдал добцояб рахъалда бугеб Капернаумалдехун ралагьун ана, дуниял рукӏкӏунеб мехалъги Гӏиса вачӏинчӏелъул. 
JHN.6.18	Ралъдада кутакаб гьури пуйзе байбихьана. 
JHN.6.19	Гьедин рагӏалдаса щуго-анлъго километралъ жанирегӏан щвараб мехалъ, лъеда тӏасан вилълъун вачӏун росода аскӏове щолев вихьана гьезда Гӏиса. Гӏасиго хӏинкъана гьел.
JHN.6.20	– Хӏинкъуге, дун вуго, – ян абуна Гӏисаца гьезда.
JHN.6.21	Гьевги росониве лъугьинавизе бокьун букӏана гьезие, амма гьебсагӏатго раса ралъдал рагӏалде щун батана.
JHN.6.22	Ралъдал добаб рагӏалда хутӏун рукӏарал гӏадамаз нахъисеб къоялъ бицана, нолъ гьаниб цо гурони расаги букӏинчӏин, жиндирго муридазда цадахъ Гӏиса росода рекӏуневги вихьичӏин, гьесул муридал жалго анин. 
JHN.6.23	Тибериадаялдаса, русбузда рекӏун, гӏемерал гӏадамал рачӏана, тӏаде дугӏаги гьабун, Гӏисаца чед гӏемерлъизабураб бакӏалде. 
JHN.6.24	Амма гьенир я Гӏиса, яги гьесул муридал ратичӏеб мехалъ, русбуздаги рекӏун, Капернаумалде ана гьел, Гӏиса валагьизе.
JHN.6.25	Ралъдал добцояб рагӏалда гьев ватараб мехалъ:
JHN.6.25	– Я, Рабби, мун кин гьаниве вачӏарав? – ан гьикъана гьез.
JHN.6.26	Гӏисаца гьезда абуна:
JHN.6.26	– Хӏакълъун абулеб буго дица нужеда: дир мугӏжизатал ричӏчӏидал гуро нуж гьанире рачӏун ругел, доб чед кванан, гӏорцӏидал рачӏун руго. 
JHN.6.27	Тӏагӏунеб-холеб квен тӏалаб гьабичӏого, нужеца тӏалаб гьабе абадияб гӏумруялде нуж рачине бокьун Гӏадамил Лъимаца нужее кьолеб бугеб тӏагӏунареб-холареб квен. Жиндирго Инсул – Аллагьасул баркаталъул мугьру буго Гӏадамил Лъимада.
JHN.6.28	Аллагь разилъизе жидеца щиб гьабизе кколебилан гьикъана гьез Гӏисада. 
JHN.6.29	Гӏисаца жаваб кьуна:
JHN.6.29	– Аллагь разилъизе нуж божизе ккола гьес нужехъе витӏарав чиясда.
JHN.6.30	– Ниж дуда божулеб кинаб гӏаламат дуца нижеда бихьизабилеб? Щиб дуда гьабизе кӏолеб? – ан гьикъана гьез Гӏисада. 
JHN.6.31	– Гӏицӏаб авлахъалде ккедал, нилъер умумуз кваналаан зобалаздасан рещтӏараб нигӏмат. «Зобалаздасан рещтӏинабун чед кьуна гьес гьезие», – абун хъван буго гьелъул хӏакъалъулъ.
JHN.6.32	Гӏисаца абуна:
JHN.6.32	– Хӏакълъун абулеб буго дица нужеда: Мусаца гуро нужее зобалаздасан чед кьураб, амма дир Инсуца нужее кьолеб буго унго-унгояб зобалазулаб чед. 
JHN.6.33	Аллагьасдасан бачӏараб чед ккола зобалаздасан рещтӏараб ва гӏаламалъе чӏаголъи кьолеб чед.
JHN.6.34	Гьез абуна:
JHN.6.34	– Я, Бетӏерчӏахъад, кидаго кье гьединаб чед.
JHN.6.35	Гӏисаца абуна:
JHN.6.35	– Дун вуго гьеб чӏаголъи кьолеб чед. Дихъе вачӏарав киданиги вакъизе гьечӏо, дида божарав киданиги къечезе гьечӏо. 
JHN.6.36	Амма дица нужеда абичӏищ, гӏаламат бихьаниги, нуж дида божун гьечӏилан. 
JHN.6.37	Инсуца дихъе кьуравщинав чи дихъе вачӏина, дихъе вачӏарав цониги чи дица нахъе гъеларо. 
JHN.6.38	Диего бокьараб гьабизе гурелъул дун зобалаздасан вачӏун вугев, дун витӏарав Аллагьасул амру тӏубазабизелъидал. 
JHN.6.39	Гьесул амру буго духъе кьуразул цонигияв вилизе-тӏагӏине виччагейилан. Къиямасеб къоялъ дица гьев чӏаголъизавизе ккола. 
JHN.6.40	Дир Инсуе бокьун буго Вас вихьаравщинав ва гьесда божаравщинав чиясе абадияб гӏумру насиблъизе. Къиямасеб къоялъ дица гьев чӏаголъизавизе вуго.
JHN.6.41	Ягьудиял Гӏисаде ццин бахъун гаргадизе лъугьана жив зобалаздасан бачӏараб чед кколин абунин гьесилан. 
JHN.6.42	Гьез цоцазда абулеб букӏана:
JHN.6.42	– Юсупил вас Гӏиса гурищ гьав чи? Нилъеда лъикӏго лъалагури гьасул эменги эбелги. Гьале жив зобалаздасан вачӏанилан вуго.
JHN.6.43	– Щай нуж ццин бахъун гаргадулел? – ан абуна Гӏисаца гьезда. 
JHN.6.44	– Цониги чи дида аскӏове вачӏине рес гьечӏо, дун витӏарав дир Инсуца гьев дихъе щвезавичӏони. Дица гьев къиямасеб къоялъ чӏаголъизавизе ккола. 
JHN.6.45	Аварагзабазул Тӏухьдузда буго: «Гьезда киназдаго Аллагьас малъила», – ян. Дир Инсуца малъараб босаравщинав чи дида аскӏове вачӏуна. 
JHN.6.46	Дица абулеб гьечӏо Эмен лъиданиги вихьанилан. Аллагьасдасан вачӏарасда гурони, цо лъиданиги вихьичӏо Эмен. 
JHN.6.47	Хӏакълъун абулеб буго дица нужеда: иман лъурасе абадияб гӏумру буго.
JHN.6.48	Дун вуго чӏаголъи кьолеб чед. 
JHN.6.49	Нужер умумуз доб гӏицӏаб авлахъалда квана зобалаздасан рещтӏараб нигӏмат, амма гьел хвана. 
JHN.6.50	Гьанже зобалаздасан рещтӏун буго гьеб кварав чи киданиги холареб чед. 
JHN.6.51	Дун вуго зобалаздасан рещтӏараб ва чӏаголъи кьолеб чед. Гьеб чед кварав чи абадул абадиялъ чӏаго вукӏина. Дица гьесие кьезе бугеб чед – гьеб буго гьаб гӏалам чӏаго букӏине гӏоло кьезе бугеб дир Черх.
JHN.6.52	Гьебмехалъ ягьудиязда гьоркьоб кӏудияб дагӏба ккана жиндирго черх кинин гьас нилъее кваназе кьолебилан. 
JHN.6.53	Гӏисаца гьезда абуна:
JHN.6.53	– Хӏакълъун абулеб буго дица нужеда: Гӏадамил Лъимадул Черхги квинчӏони, гьесул Биги гьекъечӏони, нужер гӏумру букӏине гьечӏо. 
JHN.6.54	Дир Черхги кварав, дир Биги гьекъарав чиясе абадияб гӏумру буго. Къиямасеб къоялъ дица гьев чӏаголъизавила. 
JHN.6.55	Дир Черх буго хӏакъаб квен, дир Би буго хӏакъаб жа. 
JHN.6.56	Дир Черх кванарав ва дир Би гьекъарав чи дилъ вукӏине вуго, дунги гьесулъ вукӏине вуго. 
JHN.6.57	Щайгурелъул Чӏагояв Эмен – Аллагьас витӏарав дун гьесдалъун чӏаго вугев гӏадин, дир Черх кванарав чи дидалъун чӏаго вукӏина. 
JHN.6.58	Гьеле гьединаб буго зобалаздасан рещтӏараб чед. Нужер умумуз кванана чед ва гьел хвана. Амма гьаб чед кванарав чиясе абадияб гӏумру буго.
JHN.6.59	Гьеб хабар Гӏисаца бицана Капернаумалъул синагогаялъуб.
JHN.6.60	Гьеб рагӏидал, Гӏисал гӏемерисел муридаз цоцазда абуна:
JHN.6.60	– Гьединаб жо букӏине рес гьечӏо! Лъица гьеб къабул гьабилеб? – ан.
JHN.6.61	Жиндир хабаралъ муридал гьедин гаргадизе тӏамун рукӏин лъайдал, Гӏисаца гьезда абуна:
JHN.6.61	– Гьадаб дир хабаралъ къварид гьарун ругоха нуж. 
JHN.6.62	Цеве живго вукӏараб бакӏалде Гӏадамил Лъимер тӏадвуссун унев вихьараб мехалъ щибдай нужеца абилеб? 
JHN.6.63	Рухӏалъ кьола чӏаголъи. Амма инсанасул мунагьаб напсалъ чӏаголъи кьоларо. Дир рагӏабазулъан бачӏуна нужехъе рухӏги чӏаголъиги. 
JHN.6.64	Амма нужеда гъорлъ руго гьелда божуларелги. (Гӏисада цебеккунго лъалаан щив жинда божулев гьечӏевали, щив жиндие хилиплъилевали.) 
JHN.6.65	Гӏисаца абуна:
JHN.6.65	– Гьединлъидал гурищ цебеги дица нужеда абураб, лъиданиги кӏоларин дихъе вачӏине, дир Инсуца гьелъие рес рекъезабичӏони.
JHN.6.66	Гьелдаса хадур гӏемерисел муридал нахъе ана ва тӏокӏал гьесда хадур инчӏо. 
JHN.6.67	Гьебмехалъ анцӏила кӏиявго муридасда гьикъана Гӏисаца нужееги нахъе ине бокьун гьечӏебищилан. 
JHN.6.68	Симон Пётрица абуна:
JHN.6.68	– Я, Бетӏерчӏахъад, лъихъе ниж инел? Дуцалъидал рицунел ругел абадияб гӏумру насиблъулел рагӏаби. 
JHN.6.69	Ниж божана ва нижеда бичӏчӏана мун Аллагьасул мукъадасав илчи вукӏин.
JHN.6.70	Гӏисаца абуна:
JHN.6.70	– Дицалъидал нужер анцӏила кӏиявго чи тӏаса вищарав. Амма нужеда гьоркьов цо илбисги вугевха!
JHN.6.71	Гьес гьедин абулеб букӏана Симонил вас Ягьуда Искариотил хӏакъалъулъ. Анцӏила кӏигоясда гьоркьов вукӏаниги, гьев хилиплъизе хъван букӏана.
JHN.7.1	Гьелдаса хадув Гӏиса Галилеялъул росабалъе ва шагьаразде хьвадана. Ягьудиялде ине гьесие бокьичӏо, – гьев чӏвазе хӏаракат бахъулеб букӏиндалха ягьудияз. 
JHN.7.2	Жугьутӏазул Хъощал раялъул байрам тӏаде щолеб букӏана. 
JHN.7.3	Жиндирго вацаз Гӏисада абуна:
JHN.7.3	– Гьаниса вахъун Ягьудиялде а дуца гьарулел ишал дурго муридаздаги рихьизе. 
