GEN.1.1	Pakutaŋga Mŋari wakasika ɗeŋga nenyika. 
PSA.80.11	Namashizha awo kuȿikira kuRwizi.
PSA.80.12	Makaputsireiko mhanda dzawo,
PSA.80.12	Kuti ʋose ʋanopfuʋura nenzira ʋautanhe?
PSA.80.13	Ŋguruʋe yomuɗondo inouparadza,
PSA.80.13	Mhuka dzesaŋgo dzinoudya.
PSA.80.14	Ƌodzokai henyu, Mŋari wehondo,
PSA.80.14	Tarirai muri kuɗeŋga, muʋone, muʋe nehanya nomuzambiriŋga uyu.
PSA.80.15	Muceŋgete cakasimŋa noruʋoko rwenyu rworudyi,
PSA.80.15	Nomŋanakomana, wamakaɀirerera.
PSA.80.16	Wapiswa nomŋoto, watemŋa;
PSA.80.16	Ʋanopera nokutuka kweciso cenyu.
PSA.80.17	Ruʋoko rwenyu ŋgaruʋe pamsoro pomunhu woruʋoko rwenyu rworudyi,
PSA.80.17	Pamsoro pomŋanakomana womunhu, wamakaɀirerera.
PSA.80.18	Ipapo hatiŋgazobvi kwamuri;
PSA.80.18	Tiraramisei isu, tigoɗana zita renyu.
PSA.80.19	Tidzoserei ɀe, Jehova Mŋari wehondo;
PSA.80.19	Penyisai ciso cenyu, isu tiponeswe.
PSA.81.1	Imbirai Mŋari kwaɀo, 
PSA.81.1	Pururudzai kunaMŋari waJakobo.
PSA.81.2	Ʋambai rwiyo, muridze ŋgoma,
PSA.81.2	Nembira dzinonakidza nomuteŋgeranwa.
PSA.81.3	Ridzai hwamanda pakugara kwomŋedzi,
PSA.81.3	Napakucena kwomŋedzi, pamutambo weɗu wakatarwa.
PSA.81.4	Nokuti ndiɀo ɀakatemerwa Israeri,
PSA.81.4	Ɀakarairwa naMŋari waJakobo.
PSA.81.5	Wakaɀitema munaJosefa kuti ciʋe cipupuriro,
PSA.81.5	Paŋguʋa yaakandorwa nenyika yeEgipita;
PSA.81.6	Ndakabvisa mutoro pafudzi rake;
PSA.81.6	Maʋoko ake akaregedza ɗeŋgu.
PSA.81.7	Iwe wakaɗana pakutambudzika, ndikakurwira;
PSA.81.7	Ndakakupindura ndiri panoʋanda kutinhira;
PSA.81.7	Ndakakuidza pamvura zhinji yeMeriba.
PSA.81.8	Inzwai ʋanhu ʋaŋgu, ndikupupurirei;
PSA.81.8	Haiwa Israeri, ɗai waiɗa hako kunditerera!
PSA.81.9	Ŋgakurege kuʋa’po pakati penyu mŋari wokumŋe;
PSA.81.9	Musanamata kunomumŋe mŋari waʋatorwa.
PSA.81.10	Ndini Jehova Mŋari wako,
PSA.81.10	Wakakuɓuɗisa panyika yeEgipita;
PSA.81.10	Shamisa muromo wako kwaɀo, ndigouzadza.
PSA.81.11	Asi ʋanhu ʋaŋgu haʋana‐kuterera inzwi raŋgu;
PSA.81.11	Israeri wakandiramba cose.
PSA.81.12	Saka ndakaʋaregera paʋukukutu bgemŋoyo yaʋo,
PSA.81.12	Kuti ʋafambe namano aʋo.
PSA.81.13	Haiwa, ɗai ʋanhu ʋaŋgu ʋainditerera haʋo,
PSA.81.13	Ƌai Israeri aifamba nenzira dzaŋgu!
PSA.81.14	Ndiŋgaɗai ndakakurumidza kukunda ʋaʋeŋgi ʋaʋo,
PSA.81.14	Nokuroʋa ʋadziʋisi ʋaʋo noruʋoko rwaŋgu.
PSA.81.15	Ʋanoʋeŋga Jehova ʋaiɀiisa pasi pake;
PSA.81.15	Asi ŋguʋa yaʋo yaiʋa’po nokusiŋgaperi.
PSA.81.16	Uŋgaɗai aiʋadyisa ʋo ɀiyo ɀakaiȿo‐naka;
PSA.81.16	Ndaikugutsa noʋuci ʋunobva paɗombo.
PSA.82.1	Mŋari unomira paʋuŋgano yaMŋari;
PSA.82.1	Unotoŋga pakati paʋamŋari.
PSA.82.2	Mucatoŋga ɀisina‐kururuma kuȿikira riniko,
PSA.82.2	Mucisanaŋgura ʋanhu ʋakaipa?
PSA.82.3	Toŋgerai 
PSA.82.3	Ruramisirai ʋanotambudzika naʋanoshaiwa cose.
PSA.82.4	Sunuŋgurai ʋarombo naʋashaiwi
PSA.82.4	Ʋarwirei paruʋoko rwowakaipa.
PSA.82.5	Haʋaziʋi, haʋanzwisisi;
PSA.82.5	Ʋanofamba‐famba murima;
PSA.82.5	Nheyo dzose dzapasi dzinozunuŋguka.
PSA.82.6	Ndakati: Muri ʋamŋari,
PSA.82.6	Mose muri ʋanakomana ʋoWokumsoro‐soro.
PSA.82.7	Kunyaŋge ɀakaɗaro mucafa saʋanhu,
PSA.82.7	Mucafa somumŋe wamacinda.
PSA.82.8	Simukai Mŋari, mutoŋgere pasi;
PSA.82.8	Nokuti ndudzi dzose dzicaʋa nhaka yenyu.
PSA.83.1	Haiwa Jehova, regai kuramba munyerere;
PSA.83.1	Regai kuramba musiŋgatauri, musanyarara Mŋari.
PSA.83.2	Nokuti tarirai, ʋaʋeŋgi ʋenyu ʋanoita ɓope;
PSA.83.2	Ʋanokuʋeŋgai ʋakasimudza misoro yaʋo.
PSA.83.3	Ʋanofuŋga mano kuti ʋanyeŋgere ʋanhu ʋenyu,
PSA.83.3	Ʋanoraŋgana pamsoro paʋakaʋanzwa nemi.
PSA.83.4	Ʋakati: Ʋuyai, tiʋaparadze, ʋarege kuzoʋa rudzi;
PSA.83.4	Kuti zita raIsraeri rirege kuzoraŋgarirwa.
PSA.83.5	Nokuti ʋakaraŋgana nomŋoyo mumŋe;
PSA.83.5	Ʋanoita suŋgano kuzorwa nemi.
PSA.83.6	Matente aEdomi naʋaIshmaeri;
PSA.83.6	Moabi naʋaHagari;
PSA.83.7	Gebari, naAmoni, naAmareki;
PSA.83.7	Firistia pamŋe cete naʋagere Tire;
PSA.83.8	Asiria ʋo wakasaŋgana naʋo;
PSA.83.8	Ʋakaɓatsira ʋana ʋaRoti.
PSA.83.9	Muʋaitire seɀamakaitira Midiani;
PSA.83.9	NaSisera, naJabini, paRwizi Kishoni;
PSA.83.10	Iʋo ʋakaparadzwa paEndori;
PSA.83.10	Ʋakaʋa mupfudze wapasi.
PSA.83.11	Itai ʋakuru ʋaʋo saOrebi naZeebi;
PSA.83.11	Ɀirokwaɀo, macinda aʋo ose saZeba naZarmuna;
PSA.83.12	Iʋo ʋakati: Ŋgatiɀitorere
PSA.83.12	Ʋugaro bgaMŋari ʋuʋe bgeɗu.
PSA.83.13	Mŋari waŋgu, muʋaite seguruʋa rinondeyeswa nemhepo;
PSA.83.13	Samakoto anodziŋgwa nemhepo.
PSA.83.14	Somŋoto unopisa ɗondo,
PSA.83.14	Somuraɀo womŋoto unopisa makomo;
PSA.83.15	Muʋateʋerere saiɀoɀo neɗutu renyu remhepo,
PSA.83.15	Muʋavunduse necampupuri cenyu.
PSA.83.16	Fukidzai ɀiso ɀaʋo nokunyadziswa;
PSA.83.16	Kuti ʋatȿake zita renyu, Jehova.
PSA.83.17	Ŋgaʋanyadziswe, ʋavunduswe nokusiŋgaperi;
PSA.83.17	Ɀirokwaɀo, ŋgaʋanyadziswe ʋafe;
PSA.83.18	Ʋaziʋe kuti imi moga, imi munezita rinonzi Jehova,
PSA.83.18	Ndimi Wokumsoro‐soro kumsoro kwapasi pose.
PSA.84.1	Ʋugaro bgenyu ʋunoɗikanwa sei,
PSA.84.2	Mŋeya waŋgu unoshuʋa, ɀirokwaɀo unopaŋga ʋazhe dzaJehova;
PSA.84.2	Mŋoyo waŋgu nenyama yaŋgu ɀinoɗana kunaMŋari mupenyu.
PSA.84.3	Ɀirokwaɀo, shiri yakaɀiwanira imba,
PSA.84.3	Nyeŋganyeŋga yakaɀiwanira ɗendere, painoisa ʋana ʋayo,
PSA.84.3	Mambo waŋgu, naMŋari waŋgu.
PSA.84.4	Ʋakaropafadzwa ʋanogara mumba menyu;
PSA.84.4	Ʋacagara ʋacikurumbidzai.
PSA.84.5	Wakaropafadzwa munhu unesimba rake mamuri;
PSA.84.5	Unemigwagwa 
PSA.84.6	Kana ʋacipfuʋura nomumupata wakawoma, ʋanouita nɀimbo inamatsime;
PSA.84.6	Ɀirokwaɀo, mvura yomunhuruka inoufukidza nemikomborero.
PSA.84.7	Ʋanowedzera simba pasimba raʋo,
PSA.84.7	Mumŋe nomumŋe waʋo unoȿika pamberi paMŋari paZioni.
PSA.84.8	Haiwa, Jehova wehondo, inzwa munyeŋgetero waŋgu;
PSA.84.8	Tererai nenzeʋe, Mŋari waJakobo.
PSA.84.9	Tarirai, Mŋari, nhoʋo yeɗu,
PSA.84.9	Muʋone ciso comuzodzwa wenyu.
PSA.84.10	Nokuti zuʋa rimŋe paʋazhe dzenyu rinokunda 
PSA.84.10	Ndinoti ɀirinani kuti ndiʋe murindi womukoʋa mumba maMŋari waŋgu,
PSA.84.10	Pakuti ndigare pamatente aʋaneɀakaipa.
PSA.84.11	Nokuti Jehova Mŋari izuʋa nenhoʋo;
PSA.84.11	Jehova ucapa nyasha nokukudzwa;
PSA.84.11	Hapanecinhu cakanaka caaŋganyima ʋanofamba nokururama.
PSA.84.12	Jehova wehondo,
PSA.84.12	Wakaropafadzwa munhu unoʋimba nemi.
PSA.85.1	Jehova, makafarira nyika yenyu;
PSA.85.1	Makadzosa Jakobo pakutapxa.
PSA.85.2	Makakaŋganwira kutadza kwaʋanhu ʋenyu,
PSA.85.2	Makafukidza ɀiʋi ɀaʋo ɀose.
PSA.85.3	Makabvisa kutsamŋa kwenyu kwose;
PSA.85.3	Makaɀidzora pahasha dzenyu dzakanyanya.
PSA.85.4	Tidzosei, Mŋari muponesi weɗu,
PSA.85.4	Gumisai hasha dzenyu kwatiri.
PSA.85.5	Ko mucaramba makatitsamŋira nokusiŋgaperi?
PSA.85.5	Mucaȿitsa kutsamŋa kwenyu kumarudzi namarudzi here?
PSA.85.6	Imi hamuŋgatiraramisi ɀe here,
PSA.85.6	Kuti ʋanhu ʋenyu ʋafare nemi?
PSA.85.7	Tiratidzei ŋgoni dzenyu, Jehova,
PSA.85.7	Mutipe ruponeso rwenyu.
PSA.85.8	Ndicanzwa ɀicataura Mŋari Jehova;
PSA.85.8	Nokuti ucataura rugare kuʋanhu ʋake, nokuʋatȿene ʋake;
PSA.85.8	Asi ŋgaʋarege kudzokera ɀe kuʋupenzi.
PSA.85.9	Ɀirokwaɀo kuponesa kwake kuri pedyo naʋanomutya;
PSA.85.9	Kuti kubginya kugare munyika yeɗu.
PSA.85.10	Ŋgoni neɀokwaɗi ɀakasoŋgana;
PSA.85.10	Kururama norugare ɀakaȿetana.
PSA.85.11	Ɀokwaɗi inomera pasi;
PSA.85.11	Kururama kwakatarira pasi kuri kuɗeŋga.
PSA.85.12	Ɀirokwaɀo, Jehova ucapa ɀinhu ɀakanaka;
PSA.85.12	Nyika yeɗu icaɓereka ɀiɓereko ɀayo.
PSA.85.13	Kururama kucamutuŋgamirira;
PSA.85.13	Kucagadzirira tsoka dzake nzira.
PSA.86.1	Rerekai nzeʋe dzenyu, Jehova, ndipindurei;
PSA.86.1	Nokuti ndiri murombo nomushaiwi.
PSA.86.2	Ceŋgetai mŋeya waŋgu; nokuti ndiri muɗikanwa 
PSA.86.2	Haiwa Mŋari waŋgu, ponesai muranda wenyu unoʋimba nemi.
PSA.86.3	Ndinzwirei ŋgoni, Ishe;
PSA.86.3	Nokuti ndinoɗana kwamuri zuʋa rose.
PSA.86.4	Fadzai mŋeya womuranda wenyu;
PSA.86.4	Nokuti ndinosimudzira mŋeya waŋgu kwamuri Ishe waŋgu.
PSA.86.5	Nokuti imi, Ishe, makanaka, munofarira kukaŋganwira,
PSA.86.5	Muneŋgoni zhinji kunaʋose ʋanoɗana kwamuri.
PSA.86.6	Rerekerai nzeʋe yenyu, Jehova kumunyeŋgetero waŋgu;
PSA.86.6	Tererai inzwi rokukumbira kwaŋgu.
PSA.86.7	Pazuʋa rokutambudzika kwaŋgu ndicaɗana kwamuri,
PSA.86.7	Nokuti mucandipindura.
PSA.86.8	Hapana‐wakafanana nemi pakati paʋamŋari, Ishe,
PSA.86.8	Ʋuye 
PSA.86.9	Ndudzi dzose dzamakaita dzicaʋuya kuzonamata pamberi penyu, Ishe,
PSA.86.9	Dzicarumbidza zita renyu.
PSA.86.10	Nokuti imi muri mukuru, munoita ɀinhu ɀinoshamisa;
PSA.86.10	Ndimi Mŋari woga.
PSA.86.11	Ndidzidzisei nzira yenyu, Jehova, ndicafamba muɀokwaɗi yenyu,
PSA.86.11	Ƃatanidzai mŋoyo waŋgu kuti nditye zita renyu.
PSA.86.12	Ndicakurumbidzai, Ishe Mŋari waŋgu, nomŋoyo waŋgu wose,
PSA.86.12	Ndicarumbidza zita renyu nokusiŋgaperi.
PSA.86.13	Nokuti ŋgoni dzenyu ihuru kwandiri;
PSA.86.13	Makarwira mŋeya waŋgu pagomba rakadzika‐dzika.
PSA.86.14	Mŋari, ʋanoɀikudza ʋakandimukira,
PSA.86.14	Ʋuŋgano yaʋanhu, ʋanomanikidza, ʋakatȿaka mŋeya waŋgu,
PSA.86.14	Haʋana‐kukuisai pamberi paʋo.
PSA.86.15	Asi imi, Ishe, muri Mŋari unetsitsi nenyasha,
PSA.86.15	Hamukurumidzi kutsamŋa, muneŋgoni zhinji neɀokwaɗi.
PSA.86.16	Riŋgirai kwandiri, mundinzwire ŋgoni;
PSA.86.16	Ipai muranda wenyu simba renyu,
PSA.86.16	Muponese mŋanakomana womurandakadzi wenyu.
PSA.86.17	Ndiratidzei ciratidzo 
PSA.86.17	Kuti ʋanondiʋeŋga ʋaɀiʋone, ʋanyadziswe;
PSA.86.17	Nokuti imi Jehova, makandiɓatsira nokundinyaradza.
PSA.87.1	Nheyo dzake dziri pamakomo matȿene.
PSA.87.2	Jehova unoɗa masuʋo eZioni
PSA.87.2	Kupfuʋura pose panogara Jakobo.
PSA.87.3	Ɀinhu ɀakanakisa ɀinotaurwa pamsoro pako,
PSA.87.3	Iwe guta raMŋari.
PSA.87.4	Rahabi neBabironi ndicati ʋari pakati paʋanondiziʋa;
PSA.87.4	Tarirai, Firistia, neTire, neEtiopia;
PSA.87.4	Munhu uyu wakaɀarirwa’ko.
PSA.87.5	Ɀirokwaɀo, pamsoro peZioni ʋacati: Uyu noyoyo ʋakaɀarirwa’mo;
PSA.87.5	Naiye Wokumsoro‐soro amene ucarisimbisa.
PSA.87.6	Jehova ucaʋereŋga, pakunyora kwake ndudzi, 
PSA.87.6	Munhu uyu wakaɀarirwa’ko.
PSA.87.7	Ʋanoimba naʋanotamba, 
PSA.87.7	Matsime aŋgu ose ari mauri.
PSA.88.1	Jehova, Mŋari muponesi waŋgu,
PSA.88.1	Ndakacema masikati noʋusiku pamberi penyu;
PSA.88.2	Munyeŋgetero waŋgu ŋgaupinde pamberi penyu;
PSA.88.2	Rerekerai nzeʋe yenyu munzwe kucema kwaŋgu;
PSA.88.3	Nokuti mŋeya waŋgu uzere namaɗambudziko,
PSA.88.3	Ʋupenyu bgaŋgu bgosweɗera kuSheori.
PSA.88.4	Ndinoʋereŋgwa pamŋe cete naʋanoɓurukira kugomba;
PSA.88.4	Ndakafanana nomunhu unoshaiwa muɓatsiri;
PSA.88.5	Ndakarashirwa pakati paʋakafa,
PSA.88.5	Saʋakaʋurawa ʋaʋete mubgiro,
PSA.88.5	Ʋamusati mucaraŋgarira;
PSA.88.5	Ʋakagurwa paruʋoko rwenyu.
PSA.88.6	Makandiisa mugomba rakadzika‐dzika,
PSA.88.6	Panɀimbo dzinerima, makadzika kwaɀo.
PSA.88.7	Hasha dzenyu dzinorema kwaɀo pamsoro paŋgu,
PSA.88.7	Makanditambudza namafuŋgu enyu ose.
PSA.88.8	Makaisa ʋazikani ʋaŋgu kure neni;
PSA.88.8	Makandiita cinhu cinonyaŋgadza kwaʋari;
PSA.88.8	Ndakapfigirwa, handigoni kuɓuɗa.
PSA.88.9	Ziso raŋgu ropera nemhaka yokutambudzika;
PSA.88.9	Ndakaɗana kwamuri, Jehova, zuʋa rimŋe nerimŋe,
PSA.88.9	Ndakatambanudzira maʋoko aŋgu kwamuri.
PSA.88.10	Muŋgaitira ʋakafa ɀinoshamisa here?
PSA.88.10	Ko ʋakaparara ʋaŋgamuka ʋakakurumbidzai here?
PSA.88.11	Ʋunyoro bgenyu ʋuŋgaparidzwa mubgiro here?
PSA.88.11	Kana kutendeka kwenyu mukuparadza here?
PSA.88.12	Ɀishamiso ɀenyu ɀiŋgazikanwa murima here?
PSA.88.12	Nokururama kwenyu panyika yokukaŋganwa here?
PSA.88.13	Asi ndakacema kwamuri, Jehova,
PSA.88.13	Munyeŋgetero waŋgu ucaȿika pamberi penyu maŋgwanani.
PSA.88.14	Jehova, munorashireiko mŋeya waŋgu?
PSA.88.14	Munoʋanzireiko ciso cenyu kwandiri?
PSA.88.15	Kubva paʋuɗuku bgaŋgu ndakaŋga ndicitambudzwa ndicirwiso‐fa;
PSA.88.15	Kana ndicityiswa nemi ndinoshaiwa mano.
PSA.88.16	Kutsamŋa kwenyu kukuru kwakapfuʋura napamsoro paŋgu;
PSA.88.16	Kutyisa kwenyu kwakandiparadza.
PSA.88.17	Ɀakandikomberedza zuʋa rose semvura;
PSA.88.17	Ɀakandipoteredza pamŋe cete.
PSA.88.18	Iye, unondiɗa, neshamŋari yaŋgu, makaʋaisa kure neni,
PSA.88.18	Nomuzikani waŋgu uri murima.
PSA.89.1	Ndicaimba 
PSA.89.1	Ndicaparidza nomuromo waŋgu kutendeka kwenyu kumrudzi namarudzi.
PSA.89.2	Nokuti ndakati: Ŋgoni dzicaʋakwa nokusiŋgaperi;
PSA.89.2	Mucasimbisa kutendeka kwenyu mukuɗeŋga‐ɗeŋga mumene.
PSA.89.3	Ndakaita suŋgano nomusanaŋgurwa waŋgu,
PSA.89.3	Ndakapika kumuranda waŋgu Davidi, 
PSA.89.4	Ndicamisa ʋana ʋako nokusiŋgaperi,
PSA.89.4	Nokuʋaka cigaro cako coʋushe kuȿikira kumarudzi namarudzi.
PSA.89.5	Kuɗeŋga‐ɗeŋga kucarumbidza ɀishamiso ɀenyu, Jehova;
PSA.89.5	Nokutendeka kwenyu ʋo paʋuŋgano yaʋatȿene.
PSA.89.6	Nokuti ndianiko muɗeŋga rose uŋgaenzaniswa naJehova?
PSA.89.6	Ndianiko pakati paʋanakomana ʋaMŋari wakafanana naJehova?
PSA.89.7	Iye Mŋari unotyiwa ɀikuru paʋuŋgano yaʋatȿene,
PSA.89.7	Unofanira kutyiwa kupfuʋura ʋose ʋanomupoteredza.
PSA.89.8	Haiwa, Jehova, Mŋari wehondo,
PSA.89.8	Ndianiko unesimba, wakafanana nemi, Jehova?
PSA.89.8	Kutendeka kwenyu kunokukomberedzai.
PSA.89.9	Ndimi munoɓata kuɀikudza kweguŋgwa;
PSA.89.9	Kana mafuŋgu aro acisimuka, ndimi munoanyaradza.
PSA.89.10	Makaputsanya Rahabi, somunhu wakaʋurawa;
PSA.89.10	Makaparadzira ʋaʋeŋgi ʋenyu noruʋoko rwenyu runesimba.
PSA.89.11	Kuɗeŋga‐ɗeŋga ndokwenyu, napasi ndopenyu ʋo;
PSA.89.11	Nyika neɀose ɀayo, ndimi makaɀiteya.
PSA.89.12	Kumsoro nenyasi, ndimi makaɀisika;
PSA.89.12	Tabori neHermoni anofara nezita renyu.
PSA.89.13	Munoruʋoko runesimba;
PSA.89.13	Canza cenyu cinesimba, ruʋoko rwenyu rworudyi rwakasimudzwa.
PSA.89.14	Kururama nokururamisa ndidzo nheyo dzecigaro cenyu coʋushe;
PSA.89.14	Ŋgoni neɀokwaɗi ɀinokutuŋgamirirai.
PSA.89.15	Ʋakaropafadzwa ʋanhu ʋanoziʋa inzwi romufaro;
PSA.89.15	Ʋanofamba, Jehova, muciedza ceciso cenyu.
PSA.89.16	Ʋanofara muzita renyu zuʋa rose;
PSA.89.16	Ʋanosimudzwa nokururama kwenyu.
PSA.89.17	Nokuti imi muri kubginya kwesimba raʋo;
PSA.89.17	Runyaŋga rweɗu rucasimudzwa netsitsi dzenyu.
PSA.89.18	Nokuti nhoʋo yeɗu ndeyaJehova;
PSA.89.18	Namambo weɗu ndowoMutȿene waIsraeri.
PSA.89.19	Paŋguʋa iyo makataura naʋatsene ʋenyu pakuɀiratidza kwenyu,
PSA.89.19	Mukati: Ndakaɓatsira mhare;
PSA.89.19	Ndakasimudza mumŋe wakasanaŋgurwa pakati paʋanhu.
PSA.89.20	Ndakawana Davidi muranda waŋgu;
PSA.89.20	Ndakamuzodza namafuta aŋgu matȿene;
PSA.89.21	Canza caŋgu cicasimbiswa naye;
PSA.89.21	Ruʋoko rwaŋgu ʋo rucamusimbisa.
PSA.89.22	Muʋeŋgi haaŋgamumanikidzi;
PSA.89.22	Mŋanakomana weɀakaipa haaŋgamutambudzi.
PSA.89.23	Ndicaparadza ʋadziʋisi ʋake pamberi pake,
PSA.89.23	Ndicaroʋa ʋanomuʋeŋga.
PSA.89.24	Asi kutendeka kwaŋgu neŋgoni dzaŋgu ɀicaʋa naye;
PSA.89.24	Runyaŋga rwake rucasimudzwa nezita raŋgu.
PSA.89.25	Ndicaisa ʋo ruʋoko rwake pamsoro peguŋgwa,
PSA.89.25	Noruʋoko rwake rworudyi pamsoro penzizi.
PSA.89.26	Iye ucaɗana kwandiri, 
PSA.89.26	Mŋari waŋgu, neɗombo rokuponeswa kwaŋgu.
PSA.89.27	Ndicamuita ʋo ɗaŋgwe 
PSA.89.27	Mukuru wamadzimambo apasi.
PSA.89.28	Ndicamuceŋgetera ŋgoni dzaŋgu nokusiŋgaperi,
PSA.89.28	Suŋgano yaŋgu icaramba yakasimba kwaari.
PSA.89.29	Ʋana ʋake ndicaʋagarisa ʋo nokusiŋgaperi,
PSA.89.29	Cigaro cake coʋushe cicafanana namazuʋa okuɗeŋga.
PSA.89.30	Kana ʋana ʋake ʋakasiya murairo waŋgu,
PSA.89.30	Ʋakasafamba neɀandakatoŋga;
PSA.89.31	Kana ʋakaɀidza ɀandakatema,
PSA.89.31	Ʋakasaceŋgeta mirau yaŋgu;
PSA.89.32	Ipapo ndicaʋaraŋga neshamhu pamsoro pokuɗarika kwaʋo,
PSA.89.32	Ʋuye nokuroʋa pamsoro pokuipa kwaʋo.
PSA.89.33	Asi handiŋgamutoreri ʋunyoro bgaŋgu cose,
PSA.89.33	Kana kutendera kutendeka kwaŋgu kuitiswa nhema.
PSA.89.34	Suŋgano yaŋgu handiŋgaiɀidzi,
PSA.89.34	Kana kushandura cinhu cakaɓuɗa pamuromo waŋgu.
PSA.89.35	Ndakapika kamŋe cete noʋutȿene bgaŋgu;
PSA.89.35	Handiŋgareʋi nhema kunaDavidi;
PSA.89.36	Ʋana ʋake ʋacaʋa’po nokusiŋgaperi,
PSA.89.36	Cigaro cake coʋushe cicafanana nezuʋa pamberi paŋgu.
PSA.89.37	Cicasimbiswa nokusiŋgaperi somŋedzi,
PSA.89.37	Secapupu cakatendeka ciri kuɗeŋga.
PSA.89.38	Asi imi makarasha nokuramba,
PSA.89.38	Makatsamŋira muzodzwa wenyu.
PSA.89.39	Makasema suŋgano yomuranda wenyu;
PSA.89.39	Makaɀidza korona yake 
PSA.89.40	Makaputsa madziro ake ose;
PSA.89.40	Makaita nhare dzake matoŋgo.
PSA.89.41	Ʋose ʋanopfuʋura nenzira ʋanopamba 
PSA.89.41	Waʋa cinhu cinosekwa naʋaanogara naʋo.
PSA.89.42	Makasimudza ruʋoko rworudyi rwaʋadziʋisi ʋake;
PSA.89.42	Makafadza ʋaʋeŋgi ʋake ʋose.
PSA.89.43	Ɀirokwaɀo, munodzosa munondo wake unopinza,
PSA.89.43	Hamuna‐kumusimbisa pakurwa.
PSA.89.44	Makagumisa kubginya kwake,
PSA.89.44	Makawisira pasi cigaro cake coʋushe.
PSA.89.45	Makatapudza mazuʋa oʋujaya bgake;
PSA.89.45	Makamufukidza nokunyara.
PSA.89.46	Jehova, mucaɀiʋanza nokusiŋgaperi 
PSA.89.46	Kutsamŋa kwenyu kucapisa somŋoto 
PSA.89.47	Haiwa, raŋgarirai kuti ŋguʋa yaŋgu ifupi kwaɀo;
PSA.89.47	Kuti makasikira ʋana ʋaʋanhu ʋose ɀinhu ɀisinamaturo kwaɀo!
PSA.89.48	Ndoupiko munhu uŋgararama akasaʋona kufa,
PSA.89.48	Uŋgarwira mŋeya wake pasimba reSheori here?
PSA.89.49	Ishe, ʋunyoro bgenyu bgakare ʋuripiko,
PSA.89.49	Bgamakapika kunaDavidi nokutendeka kwenyu here?
PSA.89.50	Raŋgarirai, Ishe, kushoʋorwa kwaʋaranda ʋenyu;
PSA.89.50	Kuti ndinotakura mucifuʋa caŋgu 
PSA.89.51	Uko kwakashoʋora ʋaʋeŋgi ʋenyu nako, Jehova,
PSA.89.51	Kwaʋakashoʋora nako makwara omuzodzwa wenyu.
PSA.89.52	Jehova ŋgaaʋoŋgwe nokusiŋgaperi.
PSA.89.52	Ameni, ɀirokwaɀo, Ameni.
PSA.90.1	Ishe, makaŋga muri ʋugaro bgeɗu
PSA.90.1	Pamarudzi namarudzi.
PSA.90.2	Makomo asati aɀarwa,
PSA.90.2	Musati matoŋgosika nyika nevu,
PSA.90.2	Kubva pakusiŋgaperi kuȿikira pakusiŋgaperi imi muri Mŋari.
PSA.90.3	Munodzosera munhu kuguruʋa;
PSA.90.3	Muciti: Dzokai ʋana ʋaʋanhu.
PSA.90.4	Nokuti kwamuri makore anecuru
PSA.90.4	Akaŋgofanana nezuʋa razuro kana rapfuʋura,
PSA.90.4	Seŋguʋa yokurinda yoʋusiku.
PSA.90.5	Munoʋakukura semvura zhinji; ʋaʋa sehope;
PSA.90.5	Maŋgwanani ʋakaita soʋuswa ʋunomera.
PSA.90.6	Maŋgwanani ʋunotumbuka, ʋunomera;
PSA.90.6	Maɗekwana ʋunodzurwa, ndokuȿaʋa.
PSA.90.7	Nokuti tinopedzwa nokutsamŋa kwenyu,
PSA.90.7	Tinotambudzika nehasha dzenyu.
PSA.90.8	Makaisa ɀakaipa ɀeɗu pamberi penyu,
PSA.90.8	Ɀiʋi ɀeɗu ɀakaʋanzika paciedza ceciso cenyu.
PSA.90.9	Nokuti mazuʋa eɗu ose anopfuʋura makatsamŋa;
PSA.90.9	Makore eɗu anopera soruŋgano.
PSA.90.10	Mazuʋa amakore eɗu anoȿika makore makumi manomŋe,
PSA.90.10	Kana tinesimba makore makumi masere;
PSA.90.10	Asi kunyaŋge acikudzwa ndiko kutambudzika nenhamo ɓedzi.
PSA.90.10	Nokuti gare‐gare aenda, nesu tabururuka taenda.
PSA.90.11	Ndianiko unoziʋa simba rokutsamŋa kwenyu,
PSA.90.11	Nehasha dzenyu, kuti mutyiwe ɀakafanira here?
PSA.90.12	Tidzidzisei kunatso‐ʋereŋga mazuʋa eɗu,
PSA.90.12	Kuti tiɀiwanire mŋoyo wakacenjera.
PSA.90.13	Dzokai Jehova; kuȿikira riniko?
PSA.90.13	Muɀiɗembe pamsoro paʋaranda ʋenyu.
PSA.90.14	Tigutsei maŋgwanani neŋgoni dzenyu;
PSA.90.14	Kuti tifarise, tiʋe nomufaro mazuʋa eɗu ose.
PSA.90.15	Tifadzei ɀinoenzana namazuʋa amakatitambudza,
PSA.90.15	Namakore atakaʋona ɀakaipa.
PSA.90.16	Ɀamakaita ŋgaɀiʋonekwe naʋaranda ʋenyu,
PSA.90.16	Nokubginya kwenyu pamsoro paʋana ʋaʋo.
PSA.90.17	Kunaka kwaJehova Mŋari weɗu ŋgakuʋe pamsoro peɗu;
PSA.90.17	Mutisimbisire ɓasa ramaʋoko eɗu;
PSA.90.17	Ɀirokwaɀo, ɓasa ramaʋoko eɗu murisimbise.
PSA.91.1	Uyo ugere panɀimbo yokuʋanda yoWokumsoro‐soro
PSA.91.1	Ucarambira pamumvuri woWamasimba‐ose.
