MAT.1.1	Abraham tuti Devit tanii ing Jesu Khrista ahungsuwhnii thiimziihbur. 
ACT.2.34	‘Aafhuw ing ki kaafhuw ningna katachangne ongla,
ACT.2.35	nang ynjeehnii aechu ki ing nakhi bakhong derna kasiihmahri ae raentaang.’
ACT.2.36	“Chukhaenache khros na nenuw ing nentheh Jesu havi Thangnang kho Khrista kho ynsuwhsa ichiichu Isrel eengkuw chaap ing atatak ing manghuw aerasii.”
ACT.2.37	Amachu ensiitah nache, enuw embarungriirna isii ynsinvaang taka Pitar vokhehkho chongthang ae ning-nache enriir, “kenguw kenae ae kenuw ynchii tuvakenchiiva.”
ACT.2.38	Pitar ing eningna ariir, “Nenuw ing isii nentu chaap akuhnii inche nenbarungriir huungruw vokhehkho Jesu Khrista ruming nache nengkheng baptais turuw; amanche nenuw ing ynthiing laetha kikthuur phavanenta. 
ACT.2.39	Nening nakho amanche nensiti ae ningnakho vokhehkho yndahna ong ae vakhae nakho, Thangnang ing eenvachii chaap nakho chongreepchu omna.”
ACT.2.40	Pitar ing reentaang chong aajaeh ingkho saarkhii pika, enuwchu ithoh-saka ariir, “Embarungriir ichuwhmah entaklina vajeer thengvachii havi tanii nentak sahsah nenringnii tusaruw.” 
ACT.2.41	Chukhaenache ama achongchu athacha vakhae aenche baptais entupa, vokhehkho ama inii nache mee lising ynthum vakhae emphapa.
ACT.2.42	Enuw ing chongthang aeng emanchuw nache vokhehkho ningsiih ipurnache, tar isahhak nache vokhehkho ithamsah nache ympehru-deh ing embarungriir emanruwh dehpa. 
ACT.2.43	Mee vakhae taklinache ynchiknii suwhsa, amanche laetho vokhehkho ingiknii aajaeh chongthang ae inche entupa. 
ACT.2.44	Amana thacha mee vakhae aenche purpak aeka peehchae vakhae ynchumpoh ing ensichinniipa; 
ACT.2.45	vokhehkho enuw ing endeensah vakhae juwr aeka achuw yngkheh ing kaaniivachii inuwzii inche mee vakhae ningnache ensempa. 
ACT.2.46	Anasiir rumniieen nache barungriir yngkhehpang ing yntuwh aeka, een een nache tar bakhii aeka rotharoh ing vokhehkho barungriir ichampak inche sahakpoh aeka, 
ACT.2.47	enuw ing Thangnang manpah aeka ong ae, amanche mee vakhae taniikho ningsiih empha, vokhehkho ikarpeeh apha aechu Aafhuw ing anasiirche eningna mee ahemanempa.
ACT.3.1	Atii apha eekuw hungtakka Pitar re Johon ing rumniieen tingche ithamsahnii khaena sisae. 
ACT.3.2	Amanache amnuw ven rupumna basenka akhi ibong pasar yngkheh veruw aeka, rumniieen nache ivaruwh mee ae tanii meeningsiih athamsah aniihmee inche, Isapak Suwngkung enchii eenkhaarkung nache anasiir emangong. 
ACT.3.3	Pitar re Johon inche rumniieen asungtingche envaruwh phana ama ing enuwchu muka eningsiih athamsahpa. 
ACT.3.4	Enuw ing atakchu enteeh aeka amana Pitar ing ariir, “Keningting ihengenla.” 
ACT.3.5	Ama ing eningtanii iphafhuw phava katamo taka abarungriir iruwhdeh ing ahengenpa. 
ACT.3.6	Changvakonchu Pitar ing ariir, “Ki sana rupa deensamah ing, ki ing kadeensah chuve naningna kapeehnahchii: Nazaret Jesu Khrista rumingna hangiir nana karkhiingla!” 
ACT.3.7	Pitar ing akik nache jebachuwka ahemangiirpa, aphachak nache akhi vokhehkho akhi bakhongchu vapirsa. 
ACT.3.8	Amatah nache ama ing hangan thohka ngiirsa amanche hungsi vasikho atupa, ama ing ihuung iva tuka ynthoh sehsehka vokhehkho Thangnang manpahka enuwthoh ynruw ing rumniieen tingche varuwhsa. 
ACT.3.9	Ama ing hunsi vasi tuka Thangnang amanpahchu mee vakhae ing emupa; 
ACT.3.10	Rumniieen Isapak Suwngkung nache ningsiih iphasahnii khaena ongchak aniihmee khava ichii enuw ing manghuw aeka, ataklina isuwh nongchu ingiknii vokhehkho ichiisuwh ing bariimsa.
ACT.3.11	Ama ing Pitar re Johon chu abachuw raenche, mee vakhae inche ngik aeka Solomon eensukreen ichii nache vataensae. 
ACT.3.12	Pitar ing amachu ajemutah nache mee ae ningnache ariir, “Isrel mee ae, kenuw kentaksah ruwreng ing changmahka keningsiih ing mee havi kemansicheh khaena atakline nenuw ynkhaena ingik vachuw, changmahka ynchii khaena kentaklina yngenteeh vachuw? 
ACT.3.13	Abraham, Isak vokhehkho Jakop Thangnang, apa fhuwven aekho Thangnang inche ameenae Jesu chu alaar isa apeehpa. Changvakonchu nenuw ingve Aafhuw chu aatuaricheh ae kikting nenpeehpa, Pilaat ing bathenning takhang nakho amaekung nache rumahchuw. 
ACT.3.14	Changvakonchu ynthiing vokhehkho isa Aafhuw atakchu rumah chuwka miktheh pasarpa yngkhehchu bathenla tachuwka neniihsahpa, 
ACT.3.15	amanche iringnii Aafhuw chuve nenthehpa; Aafhuw amachu Thangnang ing ithii ae kaartanii amanringpa, ama khaenache kenuw asaarkhii nung. 
ACT.3.16	Aafhuw ruming athacha nenuw ing nemu vokhehkho nemanghuw pasar havichu Aafhuw ruming inche akarpa; chumna, Aafhuw tanii ynsuwh thacha inche nenuw vakhae maanache ataklina idamkiirniichu apeehpa.
ACT.3.17	“Ataraene kauw kanae ae, nenuw nenfhuwven aeng emanghuw-mah vaangkhe, nenuw ingkho nemanghuwmah ing nentuva ichii ki ing kamanghuwsa. 
ACT.3.18	Changvakonchu Thangnang ing ajae isivasahna jaephar ae jaarnache Khrista ing ijachaam phavachii khaena amanthangchu ama ing jinge areer abasuwpa. 
ACT.3.19	Chukhaenache nenbarungriir huungnuwna athar hunganlehruw, nentaklina isii icher chaapchu ikuhpeeh vaata; nenuw ing changche tutanuwve laetha ruwreng aphachu Thangnang tanii thengvaata, 
ACT.3.20	vokhehkho nengkhaena aateer vasah Khrista Jesu chu ama ing jenbathen vaata. 
ACT.3.21	Peeh aangkhenglaang ithar ing aseemmahri raentaangche Aafhuw ing thangbaen nache ongjaeh vaata ichii khaena Thangnang ing ajae ynthiing jaephar ae nerna amanjeer vasahva. 
ACT.3.22	Mosi ing taka, ‘Aafhuw Thangnang ing nenuw nenguw nenae ae sungna nengkhaena ki vaange ichii jaephar yngkheh jenbathen vaata, ama ing neningna ariir chong vakhaechu siiruw. 
ACT.3.23	Havi hungsuwh vaata, jaephar chong amanjiimah mee vakhaechu Thangnang mee ae tanii asik ing khaenaka yngkuupkiir ing mamaang vaatae.’ 
ACT.3.24	Samuel na ing ynthaang chakchak ing hungsuwh jaephar chaap aenche iriirfhuw vakhaechu atarae apha hungvi ipha inge enjeerpa. 
ACT.3.25	Nenuw chuve jaephar ae jaarna Thangnang ing chongreep atuchu nengkhaenava, amatah nache Thangnang ing nenfhuw fhuwven aethoh chongreep enrinache nenuwkho ynvaenachuw. Thangnang ing Abraham ningna ariir, ‘Natuti bahsuwm ae jaarnache laaruw paam mee aangkhengna bor pivakata.’ 
ACT.3.26	Amaensana Thangnang ing neningna ameenaechu ihenbasuw peehka neningtanii isii icher mee vakhaechu barungriir isamah tanii nenghunganrinii khaenache bor ympeehpa.”
ACT.4.1	Pitar re Johon ing mee ae ningna enchong raenche jaethiim ae, rumniieen aarung aapuh iruung vokhehkho Saduki aenche eningna inempak nungaemahsae. 
ACT.4.2	Amachuve enuw ing mee aechu Jesu ing ithii ae kaartanii hangringva ta aeka emanchuw inche ithii mee chaap hangring vaata ichii amandangniipa. 
ACT.4.3	Enuwchu suwr aeka khuwvaar ipha ing kaeshum nache engkhumpa, akhaechuve apha khuri hungvisa. 
ACT.4.4	Changvakonchu enchongchu sii aeka athacha ae mee aechu pasar lising runga empha.
ACT.4.5	Aanuw inii khuw hungvaar nache Jehudi upa ae, aapuh ae vokhehkho thiimthang ae Jerusalem nache 
ACT.4.6	Aanchung Jaethiim Annas re Kaiphas, Johon vokhehkho Alekjender amanche aanchung jaethiim eengkuw vakhaekho ynvae ing yngkongsae. 
ACT.4.7	Amana enriknache mangiir aeka chong ensii, “Ynchii ruwrengna vokhehkho achuw rumingna nenuw ing havi nentuva?”
ACT.4.8	Aphanache Pitar ynthiing laetha ing sipka eningna ariir, “Mee aapuh ae vokhehkho upa ae: 
ACT.4.9	Atanii kenuwchu ijachaam apha akhi ibong ningne isa nong kentupeeh khaena ynchii ruwreng ing nemansakva tatanuwka ynsii vatanuwve, 
ACT.4.10	nenuw vakhae neningna vokhehkho Isrel mee vakhae ningna kamanthangsahnah, nenuw ing khros na nentheh Thangnang ing ithii ae kaartanii amanring Nazaret Jesu Khrista ruming ajaarna mee havi inge damkiirka nenuw vakhae nemaana ngiirna. 
ACT.4.11	Jesu Khrista i ynthiing thiimziih ing ariirchuva,
ACT.4.11	‘Een itu mee aeng enrimah rungchu,
ACT.4.11	athurfhuwrungchu ynsuwhsa.’
ACT.4.12	Achuw mee reentaang ningnakho manlaenpeeh phanii omah;
ACT.4.12	Thangbaen derna inuwchu ikarvachii laaruw mee kaarna ruming akhiing reentaang achuwkho omah.”
ACT.4.13	Enuw ing Pitar re Johon enthona isachu emutah nache vokhehkho thiim-ziih iteenmah meechaam meepae ichii emanghuwtah nache, inempak ngik aeka enuw Jesu thoh ynruwhaknae ichii emanghuwpa. 
ACT.4.14	Changvakonchu ina idam mee inche enuwthoh ingiirhakchu emutah nache enriirfhuw yntanga omahsa. 
ACT.4.15	Chukhaenache enuwchu aanchungpuh eensung tanii taang basuw aeka, enuw yngkheh yngkheh chong manseer aeka enriir, 
ACT.4.16	“Inuw ing entakline ynchiikha tutaruw?” Akhaechuve enuw ing ingikniipak laetho entupa ichii Jerusalem na ong mee vakhae ing emanghuwpa, amanche inuw ing amachu irumah chehmahmuw. 
ACT.4.17	Changvakonchu mee ae kaarna havi chungna athiseh ing athangsehseh niimah khaenache, enuw atarae basen naka achuw ningnakho hava rumingne ichong niimah khaena inuw ing ipirpak ing manchiih taeruw enchii.
ACT.4.18	Chukhaenache entakchu een aeka Jesu rumingna ichongkho enchong niimah inche vokhehkho achuw ningnakho ynchuw rumahnii ta aeka chonghak apeehpae. 
ACT.4.19	Changvakonchu Pitar re Johon ing embasang ae, “Thangnang tanii chungna ithi ing nenchong kemanjii inche Thangnang mik-enna ichumva ichummahva, nenuw vajeer itupeehruw. 
ACT.4.20	Kenuw ing kemu vokhehkho kensiichu ichongmah chehmah ung.” 
ACT.4.21	Chukhaenache aanchungpuh aenche enuwchu manang chehmahva enchii ing emutah nache ipirpak chong ing manchiih aeka embathenpae, akhaechuve isuwh nong khaenache mee vakhae ing Thangnang emanpahpae. 
ACT.4.22	Havi kum sommanrii aaraen upa yngkheh ina taklina laetho tuaeka emandam khaena chenva.
ACT.4.23	Enuwchu embathen thoh, enruwr ae ningting hunganriaeka eningna aanchung jaethiim aere upa aeng enriirchu entongpa. 
ACT.4.24	Ama chongchu thacha ruwr aenche ensiitah nache enuw vakhae barungriir yngkhehpang ing Thangnang ting enthamsahpa: “O Aafhuw, nang chuve thangbaen, laaruw paam, chifhuw vokhehkho asungna omchap vakhae aaseemchu vachii! 
ACT.4.25	Ynthiing laetha ajaarna kempa Devit nernache ymmanjeer peehchii,
ACT.4.25	‘Ynchii khaena reentaang mee aenge hangjaehmeh embarung emansikva,
ACT.4.25	vokhehkho mee aenche ynchii khaena ikaniimah aechu emandenva?
ACT.4.26	Aafhuw vokhehkho Khrista irumah nache laaruw paam iruwng chaap aeng hangiirsae,
ACT.4.26	vokhehkho aapuh aenche yntuwhpohsae.’
ACT.4.28	Aafhuw nakik ing vokhehkho nuwting hungsuwh vachii maen ing nasirvasah vakhaechu itunii khaenache yntuwhpohsae. 
ACT.4.29	Amatah nache atiive Aafhuw, enuw ing kenuw ymmanchiih aechu ijebuwrpeehsar vokhehkho nameenae kenuwchu thona isa ing nachong isachu ichongnii ipisar. 
ACT.4.30	Ina idamnii inche nachangbaen eethohpeeh sanana ynthiing nameenae Jesu ruming ajaarnache ingiknii vokhehkho laetho tunii ipisara.”
ACT.4.31	Enuw ing ithamsah emanchichak thoh, enuw engongnii aphamchu ynnuhsa; vokhehkho engkheng ynthiing laetha inche sip aeka thona isapak ing Thangnang chong isachu chongsae.
ACT.4.33	Vokheh-kho Aafhuw Jesu ing ihangring khaenache iruungpak ruwreng thoh ynruw ing chongthang aenche saarkhii empeeh ae, vokhehkho tungsiih inempak emphasah. 
ACT.4.34	Engkaarna achuwkho ivaeh ichii omah dehsa, akhaechuve paam vakhang nakho changmahka ruwbaar adeen vakhae aenche juwr aeka amenchu vechi aeka, 
ACT.4.35	Chongthang ae ningna emansir; amanche achuw yngkheh kaaniivachii khaena ameesiir nache asem ae. 
ACT.4.36	Saipras na om Levi ichii Josep, chongthang aeng Barnabas ta aeka engeenniichak (ichiichuve thona ipeeh mee) inche 
ACT.4.37	adeensah aruwrae juwrka amanche amenchu chongthang ae ningting vechika engkikna amansirpa.
ACT.5.1	Aphanache Anania ichii pasar re arumee aruming Saphira enuw inche endeensah paam yngkheh enjuwrpa. 
ACT.5.2	Ama arumee ingkho amanghuw ing amenchu sarup yngkheh siika, sarup yngkhehchu vechika chongthang ae ningnache avapeehpa. 
ACT.5.3	Changvakonchu Pitar ing Anania ningna ariir, “Anania, ynthiing laetha taklina nang ing mare itunii khaena, napaam najuwr amenchu sarup yngkheh nasiihnii ing, umlae inche nabarungriir yngkhaena amansipva? 
ACT.5.4	Nang ing najuwrmahri raenche natasahva amanche najuwr aanuwtingche amenchu natasah vatah. Nang ing natu nong havi nabarungriirna nakharchu yngkhae-nava? Nang ing mee taklina ichummah natu changchii mahva, Thangnang taklina natuva.” 
ACT.5.5	Hava chong i Anania ing asiithoh ama tiihka thiksa; amana isuwhchu asii vakhae aenche inempak ynchiksae. 
ACT.5.6	Iler aenche hangiir aeka ahakchaangchu irom aeka, taang jenbasuw aeka envadimpa.
ACT.5.7	Apha ynthum vakhae aanuw-tingche, aarangnuw ing isuwh nongchu manghuwru ing varuwhsa. 
ACT.5.8	Pitar ing aningna ariir, “Nenuw ing nenjuwr paam amen chakchu kaningna riirla.”
ACT.5.9	Ama ing abasang, “Chumna, changjaeh pangna kenjuwr vatah.” Amatah nache Pitar ing aningna ariir, “Thangnang laethachu ennii khaena nenuw ing nenruhakchu ynchii khaenava? Enla, nafhuwsar kha aadim ae atarae eenkharkungna ngiirnae, nangkho enuw ing ivadim vaatae.” 
ACT.5.10	Aphachak nache amakho Pitar akhi derna tiihka thiksa. Iler aenche envaruwh tahnache ithiichu muaeka enuw ing atakchu idom aeka afhuwsar buumtingche envadimpa. 
ACT.5.11	Ruwrthiing aangkheng ing vokhehkho isuwh nong asii vakhae taklinache ynchiknii suwhsa.
ACT.5.12	Atii chongthang aenche mee ae kaarna laetho vokhehkho ingiknii inempak entupa. Amana enuw eng-khengche Solomon eensukreen nache barungriir yngkhehpang ing ong ae. 
ACT.5.13	Changvakonchu reentaang areh aenchembe engkaarna vaanvae chehmah ae, changkhangnare mee aenchembe engajapak ae. 
ACT.5.14	Chu-khaenache pasar kho, rupanuw kho thacha mee hungnemsae. 
ACT.5.15	Amatah nache Pitar ing ahungsirae aruthaksii ing vakhangnare achuw yngkhehkheh taklina ataknii khaenache, ina aechu lamfhuw chaap nache hembasuw aeka ijaarnii vokhehkho duup nache emantorpa. 
ACT.5.16	Jerusalem khuwruung akuurchaap tanii mee aengkho ina ae vokhehkho umlae ing ichuwng vakhae ae chukho veruw aeka engaangkong tahnache aangkheng amandampa.
ACT.5.17	Aanchung Jaethiim vokhehkho ama aruwr ae engkheng, amanche Saduki ae ruwr aenche chongthang ae taklina inempak kallaksae; chukhaenache enuw ing isamah itunii khaena ngiirsae. 
ACT.5.18	Enuw ing chongthang aechu suwr aeka kaeshum tingche ensiihpa. 
ACT.5.19	Changvakonchu ama jaen nache Aafhuw vaarmee inche kaeshum eenkhaar vakhaechu imongka vokhehkho taang basuw aeka ariir, 
ACT.5.20	“Sinuwna nenuw ing rumniieen nache ngiirnuwna mee ae ningnache iringnii chong havi khaene chongruw.” 
ACT.5.21	Enuw ing ama chongchu ensiitah nache, rumniieen tingche khuwvaar phana varuwh aeka mee aechu emanchuwpae.
ACT.5.21	Changvakonchu Aanchung Jaethiim vokhehkho aanruwfhuw ae inche vatheng aeka aanchungpuh ae vokhehkho Jehudi upa vakhaechu een aeka, enuwchu ihenruwnii khaenache kaeshum tingche envechiirpa. 
ACT.5.22	Changvakonchu itheng phamnae aenche entakchu kaeshum sungnache envatuwhmah tahnache hunganriaeka emanthangpa, 
ACT.5.23	“Kaeshum eenkhaar aangkheng isajaeh ing yngkamka vokhehkho eenkhaarkung aarung mee aekho hengiir ing kenvepha ae, changvakonchu eenkhaarchu kengamong tahnache sungnache achuwkho tuwhmahsung.” 
ACT.5.24	Atii aanchung jaethiim aere rumniieen aarung ae aapuh enuw inche hava chong i ensiitah nache, chongthang ae taklina ynchii isuwhva ta aeka enruwriimsa. 
ACT.5.25	Amana mee yngkheh vathengka eningna ariir, “Nenuw ing kaeshum sungna nengkhum mee aekha rumniieen sungna ngiir aeka mee ae emanchuwnah ae.” 
ACT.5.26	Chukhaenache aapuh inche mee ae thohche vakka chongthang aechu ahenruwpae, changvakonchu ithipak inchembe tumah ae, akhaechuve mee ae ing rung ing ideengva taemo ichii khaena ynchik ae.
ACT.5.27	Enuw ing chongthang aechu henruw aeka, aanchungpuh ae maanache emangiirpa, amanche aan-chung jaethiim inche chong siiaeka ariir, 
ACT.5.28	“Hava mee rumingne mee manchuw mahruw ta ungka neningna ipirpak ing chonghak kempeehchuw.” Changvakonchu enruw, nenuw ing nemanchuw chong inge Jerusalem aphamsiirna sipsa, mee havi asiichu kentaklina babunungka ichii ing nentunah. 
ACT.5.29	Changvakonchu Pitar vokhehkho chongthang aenche embasang, “Mee ae tanii changve Thangnang chong manjiiva kenta. 
ACT.5.30	Nenuw ing thing taklina jamchuwka nentheh Jesu kha afhuw fhuwven ae Thangnang inche amanringpa. 
ACT.5.31	Isrel mee ae ningnache barungriir huungnii vokhehkho isii ikuhpeehnii khaenache Thangnang ing Aafhuw havichu Eepuh ing vokhehkho Eekarpeeh vachii ing akik tachang inche eethohpeehpa. 
ACT.5.32	Thangnang ing Aafhuw amachu ariir amanjii vakhae ningna kikthuur apeeh ynthiing laetha re kenuw ing hava vakhae khaene saarkhii pung.”
ACT.5.33	Enuw ing hava chong i ensiitah nache embarung siksa vokhehkho theh ae nungka enchiipa. 
ACT.5.34	Changvakonchu aanchungpuh ae kaarna thiimthang aruming Gamaler ichii mee ae ing inempak engaja, ama inche hangiirka chongthang aechu amongpang khaena taang basuwnii chong amanthangpa. 
ACT.5.35	Ama ing eningna ariir, “Isrel mee ae, nenuw ing entakline ynchii tukenta nenchiiva ynriimsaruw. 
ACT.5.36	Isivasah iniina upa aruming Theudas pasarpa ataksah ing ipirpak iruung mee yngkhehping ichii ing mandenka, mee chamanrii vakhae ing aanuw enjii. Changvakonchu atakchu entheh tahnache, aanuwjii aechu kiichir aeka ynchiikho ynsuwhmahsa. 
ACT.5.37	Ama mee aanuwnache mee masing iteen aphanache Galili mee Judas ing ama aanuwjii topoh akhuumpa, changvakonchu amakho enthehpa vokhehkho aanuwjii vakhae ae chukho kiichirsae. 
ACT.5.38	Chutahnache atarae vaathuh havi khaene neningna kariirnah, nenuw entaklina yntanga tumahruw, enum ing bathen aeruw akhaechuve enuw ing emanden vokhehkho entu enong havi laaruw mee tanii vanave chenvachii vatah, 
ACT.5.39	changvakonchu Thangnang tanii vanave nenuw ing chehmah ae tanuw. Thangnang ijeehniipae ichii vara phaniiva nenta.”
ACT.5.40	Gamaler ing chong atahpeeh aechu aanchungpuh aenche enrupa, amana chongthang aechu een aeka embinpa vokhehkho atii Jesu rumingne ichong rumahnii ichii chongchu ipirpak ing riir aeka embathenpae. 
ACT.5.41	Chongthang aenche Jesu khaena ningjak ympha havi iphapham isuwhremva ta-aeka aanchungpuh ae ningtanii rotharohpak inche jungsuwhsae. 
ACT.5.42	Anasiir nache enuw ing rumniieen nache vokhehkho eensung chaap nache manchenrudeh ing Jesu i Khrista chuva ichiichu manchuw aeka entong.
ACT.6.1	Atii hava inii sungne mee hung-nem ahenthi tahnache, Grik chong ing ichong Jehudi aenche Hebreeu ae taklinache eningtanii muwkhuwnuw aechu anasiir ipeehfhuw ensemchak nache eebuwrpeeh mahsae ta aeka ichong embasenpa. 
ACT.6.2	Chutahnache mee suum ariinii aenche sebok vakhae aechu een aeka enriir, “Mee ae hungbom vabomnii khaene Thangnang isa chong itongchu ynchendoh chummahnii. 
ACT.6.3	Chukhaenache kenguw kenae ae, athang isa, ynthiing laetha ing isip vokhehkho ising iveer mee, hava nong khaene pham pivaanchii nengkaar tanii eeteer peehruw. 
ACT.6.4	Amana chembe kenuw ing ithamsahna vokhehkho isa chong itongnii apha khaena barungriir ruwhvaata.” 
ACT.6.5	Enuw ing enriir chong nache mee vakhae barungriirchu penka, enuw ing thacha re ynthiing laetha ing isip Stephen, amanche Philip, Prokorus, Nikamor, Timon, vokhehkho Parmenas amanche Reen-taang mee Judaijam ting iruwhvasah Entiok tanii Nikolos, enuw vakhae ichu iteer aeka 
ACT.6.6	Chongthang ae maanache emangiirpae; amana enuw ing entaklina engkik siiaeka enthamsah.
ACT.6.7	Amana Thangnang isa chongchu hungruungsa; vokhehkho Jerusalem nache sebok masing hungnemsa, vokhehkho jaethiim inempak aenche ithacha emphapa.
ACT.6.8	Stephen ing tungsiih vokhehkho ruwreng ing sipka iruungpak laetho vokhehkho ingiknii mee ae kaarna atupa. 
ACT.6.9	Freedmen meekongnii enchii ruwr ae tanii, Sairene ae, amanche Alekjendria ae, vokhehkho Silisia tanii, amanche Asia tanii hangiir aeka Stephen thohche ynjeehniisae. 
ACT.6.10	Changvakonchu ising iveer ing vokhehkho laetha thoh ynruw ing ichong nache enuw ing manraar chehmah ae. 
ACT.6.11	Chukhaenache enuw ing mee topoh aechu emanriirpae amachuve, ama ing Mosi re Thangnang taklina arumah ing ichong kenuw ing kensiipa. 
ACT.6.12	Enuw ing mee ae vokhehkho upa ae, amanche thiimthang aechu embasohpa. Enuw aenche vasuwr aeka aanchungpuh ae maanache enghenruwpa. 
ACT.6.13	Enuw ing ataklina ichummah iriirnii khaena sungting mee topoh envemanruwhpa. Amana enuw aenche enriir, “Hava mee inge havana ynthiing rumniieen takline vokhehkho Mosi vajeer chonghak taklina arumah ing ichong manchen mahdeh, 
ACT.6.14	amachuve Nazaret Jesu havi inge rumniieen ichu mamaang naka vokhehkho Mosi ing ympivasah ynjiifhuwchu manteh vaata taka ama ing ariir kenuw ing kensiipa.” 
ACT.6.15	Aanchungpuh vakhae aenche aningting engenteeh tahnache, ama amaechu vaarmee mae vaang ichii ing emupa.
ACT.7.1	Aanchung jaethiim aenche aningna ensii, “Hava chong i chumne?” 
ACT.7.2	Ama ing abasang, “Kauw kanae ae vokhehkho kapa kafhuw ae, irungaepeeh saruw! Apa Abraham ing Haran ting ipaarnii khaena asimahrirae, Mesopotamia nache Thangnang alaar isa ing yndangka 
ACT.7.3	aningnache, nang ing na-eengkuw nachaangru ae vokhehkho napaam nachii bathen nana ki ing mansiiva kachiichii paam tingche sira achii. 
ACT.7.4	Chukhaenache ama ing Kaaldia paam taniichu hungsuwhka Haran tingche hungongsa; amana ampa athik aanuwting atarae nenpaarnii paamne Thangnang ing ahung mangongpa. 
ACT.7.5	Changvakonchu Thangnang ing ata-sah khaena vokhehkho akhi chuwngnii vachii rapkho pimah, changvakonchu Thangnang ing aningna pivakata achii vokhehkho atuti bahsuwm aechu aafhuw engaansuwhnii inche pivakatae taka Abraham ing siti deenmah khangnare chongreep atupa. 
ACT.7.6	Thangnang ing aningna jinge ichii ing ariir, ‘Nang nasiti aenche mee lipah ting ongvaatae, amana mee lipah aenche kum chamanrii suwh ing engongraenche ijachaam manpha vaatae.’ 
ACT.7.7	Entaklina ijachaam amanpha ae taklinache ki ing vajeer tuvakata, vokhehkho ama aanuwdeh nache enuw ing hungsuwh ae naka hava maphamne ki irum vaatae ichii chongchu Thangnang ing ajeer vasahva. 
ACT.7.8	Thangnang ing aningna nang vinchiip tuva nachiiva ichii chukho chonghak apeehpa. Chukhaenache Abraham ing Isak omchu inii neeriih ahenpha chakna vinchiip atupa; amanche Isak ing asiti Jakop chu vinchiip atupa amanche Jakop ing asapa suum ariinii afhuw fhuwven aechu vinchiip atupeehpae.
ACT.7.9	“Jakop sapa aenche Josep taklina kallak aeka, enuw ing atakchu Ijeep paam tingche suwh ing enjuwrpa. Changvakonchu Thangnang ing atakchu aanruwfhuw. 
ACT.7.10	Chukhaenache ama ijachaam aajaeh tanii karpeehka Ijeep iruwng Pharo maana ningsiih phanii khaenache ising iveernii apeehpa, amana atakchu Ijeep lipah vokhehkho Pharo eengkuw taklina aapuh phamchu apeehpa. 
ACT.7.11	Apha vokhehna Ijeep vokhehkho kanaan lipah nache isah taangka mee ijachaam inempak aphapae, amana afhuw fhuwven aenche isahfhuw phamahsae. 
ACT.7.12	Ijeep lipah nache isahfhuw infhuw chimuw bajaang ymphanah ichii Jakop ing asiitah nache, ahaarpana asapa aechu achiirpae. 
ACT.7.13	Avomanii vokheh avechiirtah ae nachencha Josep ing ai ae ningnache atakchu enaeva ichii amandangpa, amana Josep a-eengkuw aechu Pharo ing amanghuwpae. 
ACT.7.14	Chukhaenache Josep ing mee chiirka ampa Jakop amanche auw anae asungkhur aangkheng mee somsarii ariirunga aechu aningting ave-eenpae. 
ACT.7.15	Jakop ing Ijeep tingche vasisa, amanache atak vokhehkho asiti ae thohche thiksae. 
ACT.7.16	Enuw enghakchaangchu Sikem ipha ing henreen aeka, Abraham ing Sikem na ong Hamor asapa ae tanii seer ing aarii thaenkung nache endimpa.
ACT.7.17	“Thangnang ing Abraham thoh ynruaeka chongreep entu aphachu ahungvitah nache, Josep amanghuwmah Ijeep ae iruwng reen-taang yngkheh ahungpaarmahri raentaangche, 
ACT.7.18	inuw ymmee aechu Ijeep lipah nache masing inem ahenthi sehsehpa. 
ACT.7.19	Iruwng havi inge inuw ynjaati taklina ijachaam pika vokhehkho inuw ynsiti aechu ren aeka afhuw fhuwven aechu ithipak ing entupae. 
ACT.7.20	Apha ichiinache Thangnang maana inempak amasak isa Mosi omsa; amana atakchu ampa eenna tha ynthum enjuhpa. 
ACT.7.21	Amana atakchu enrentah nache Pharo iruwng sanuw inche naeduungchu tuwhka asapa basuwnii khaena ajuhpa. 
ACT.7.22	Mosi chu Ijeep ae thiimziih vakhae ising iveernii khaena amanchuwpa. Chutahnache Mosi ichongtah nakho amanche nong itutah nakho ruwreng ipir mee hungansuwhsa.
ACT.7.23	“Mosi ing kum somanrii ahenpha raenche auw anae Isrel siti aechu enningka ichii abarungriirna ahe-mandenpa. 
ACT.7.24	Mosi ing enuw engkaar tanii meechu Ijeep mee yngkheh inche ichummah ing amanangchu amutah nache bomka Ijeep meechu athehpa. 
ACT.7.25	Ama akik ing auw anae akarpeehsa ichiichu enuw ing emanghuwsa ichii ing amanden, changvakonchu enuw ing manghuwmahsae. 
ACT.7.26	Mathang inii nikheh nache enareersahna ynna aechu muka, enuwchu engaanchaarnii khaena ama ing mee ae, nenuw unae yngkheh vachuw, yngkhaena jinge ichii ing ynnavachuw achii. 
ACT.7.27	Changvakonchu aunae taklina ynraar atu ama inche Mosi chu ithikka ariir, “Nangchu achuw ing kentaklina aapuh vokhehkho vajeer tunii ymbasuwva?” 
ACT.7.28	Nang ing ajaennii Ijeep mee natheh vaangkhe, kikho thehkachii ynchii vachii? 
ACT.7.29	Mosi ing hava chong i asiitah nache ama ing Ijeep lipah tanii taenka Midian paam nache paarsa. Amanache ama ing sapa ynnii adeen.
ACT.7.30	“Kum sommanrii ahengaraen nuwting Sinai bung lampa ikor kaarna vaarmee yngkheh ing thing ana om yngkheh manchuwhka mi ichuwhchu amansiipa. 
