RUT.1.1	Senagi senagi, mirona ituari ourefeidena vene tora amegamadiri,
JHN.4.27	Minari maka ini usi dina vene dairi okisi ma remasa ago nigasa amedo mina vesi tururu reyadi. Idu yokoi yaku de nikaiteyadi, “Ya beika ura reisa?” o, “Beika resi ya mina remasa ago nisa?”
JHN.4.28	Ye rema ini botoro feresi taoniri dairi nesi amiye rofu nioteimaro, 
JHN.4.29	“Baefa amiye yokoi kaere na beika tau vanu reyaka mina na nioteimaro veyagane. Rama mina bi Keriso ba?” 
JHN.4.30	Amiye taoni fere yakusi Iesu urana baeyadi.
JHN.4.31	Mina fuofuori ini usi dina vene yaku ina egira regasa niyadi, “Oteimana amiye, beika be iri!”
JHN.4.32	Idu ina vene rofu niyo, “Nai irina iruku bi ya vene ya toto.”
JHN.4.33	Ye iniye iniye kamini niyadi, “Amiye yokoi yaku iruku moi bae maro baeko?”
JHN.4.34	Ma niyo, “Nai iruku bi nai Baba, kaere na nifeideyo amiye, di ura resi ini moimai rei vau regida. 
JHN.4.35	Ya yaku yomakai nidedi, ‘Eyo 4 maka nigo kumo usi bi nonobo rina meda okigo.’ Idu na yaku nida, yi nemoko are resi ma muro ne resi vefa. Iruku bi kaka niyo, ye nonobo rina negau niyo! 
JHN.4.36	Amiye kaere butu butu redo bi sena ka ini moimai rena di davana moisi toga toga ameibobina vegu di iruku ka butu butu redo; ye varido amiye ma butu butu rena amiye vakoi ada regedi dada. 
JHN.4.37	Ye mina ago bi rama, ‘Amiye yokoi bi vari vari redo ma yokoi bi butu butu redo.’ 
JHN.4.38	Na yaku ya nifeideyaka bi moimai de reyadi sanari butu butu reyaganedi. Amiye bedakai mironari moimai reyadi ma gabi ya vene bi ina venesa vakoi moimai reyadi.”
JHN.4.39	Samaria vene tau mina taoniri Iesu rofu mokena vari gira aeyadi, adina mina rema yaku ago niokuyo, “Na beika tau vanu reyaka mina na nioteimaro.” 
JHN.4.40	Ye Samaria vene yaku ina rofu desi usa niyadi ina venesa ameyainedi, ma meda remanu ameyo.
JHN.4.41	Kamini besa amiye tau gade mokena vari gira aeyadi ini ago dada. 
JHN.4.42	Mina rema rofu yomakai niyadi, “Una bi mokena vari gira aeyafa, idu diya ya beika niyo dada; idu gua uniye neide mama resi diba niyafa rama iniye mina bi
JHN.4.43	Meda remanu koina niyori, bi Galilee urana boyo. 
JHN.4.44	Adina Iesu iniye niokuyo, “Ini rautu vene yaku Sei di ago nido amiye kikifa de rededi.”
JHN.4.45	Ye Galilee okiyori, Galilee vene yaku faiva niyadi, adina bi Jerusalem irakunari bosi ini beika tau vanu reyo veyadi.
JHN.4.46	Ye dudusa Cana taoni Galilee gaganiri dairiyo; minari bi sena koru moi kero resi waini riyo. Ma mironari Capernaum ri bi ourefeidena amiye yokoi kaere ini mida gauka varegamo.
JHN.4.47	Mina amiye neideyo Iesu bi Judea gutuna Galilee ri okiyo. Mina neidegasa bosi usa niyo ini mida, kaere bi muyena tumusa, desi moi buni riyainedi. 
JHN.4.48	Ma niyo, “Ya vene bi rebe ma mokena vegu vegedi vonisi mamo, bi mokena vari gira aegedi.”
JHN.4.49	Ye ourefeidena amiye yaku niyo, “Varika amiye e, ya bi evade de baegiyari, bi nai mida muyego.”
JHN.4.50	Ma Iesu nikabai reyo, “Di, yi mida bi vegu nigo!”
JHN.4.50	Mina amiye yaku ini ago nisi mokena vari gira aesi diyo. 
JHN.4.51	Ye idama bogamori, ini moimai rei tavoi rededi vene baku resi nioteimaradi ini mida bi vegu niyo.
JHN.4.52	Ye ina yaku nikaiteyo beika meda nemoko ramari ini mida buni niyo, ma ina vene yaku niyadi, “Ini roaita vaki vaki rena bi agiya meda nemoko yokoi uriyenauri fereyo.” 
JHN.4.53	Ye baba yaku diba niyo bi Iesu yaku mina meda nemoko ramari ina rofu niyo, “Yi mida bi vegu nigo.” Ye ini yava vene tau noibanu ma iniyesa mokena vari gira aeyadi.
JHN.4.54	Mina bi rebe uru remanu niyo mini Judea feresi Galilee ri baeyori.
JHN.5.1	Mina usi Jew vene yaku irakuna yokoi reyadi ma Iesu bi Jerusalem ri boyo. 
JHN.5.2	Jerusalem ri mamoe di ida vena atafuri bi koru moka yokoi maravata 5 nufa; Hebrew agori ini roka bi Bethesda.
JHN.5.3	Minari bi gauka vene tau gade—ne taufa vene, yuka no vene ma dibo anua vene.
JHN.5.5	Mironari bi amiye yokoi kaere bi lagani 38 gauka reyo. 
JHN.5.6	Iesu yaku mina amiye varegamo vegasa diba niyo ina bi ari doba tora makai varegamo. Ye nikaiteyo, “Ya ura reisa buni nigiya ba?”
JHN.5.7	Ma nikabai reyo, “Varika amiye e, koru kita redori, koruri na moi nena amiye bi koina, ma dadi negi reidari, amiye yokoi bi sena ina kaya siko na ebu resi nedo.”
JHN.5.8	Kamini ina rofu niyo, “Dadisi yi ekama vanau moisi nana re.” 
JHN.5.9	Ye minari maka buni nisi ini ekama moisi nana reyo.
JHN.5.9	Mina bi Sabati medari ogau niyo, 
JHN.5.10	ye Jew vene yaku mina moi buni riyo amiye rofu niyadi, “Gua bi Sabati meda, ma ago gira dudu yi ekama uakaigi bi tabu.” 
JHN.5.11	Idu nikabai reyo, “Amiye kaere na moi buni riyo yaku yi ekama moisi nana re na niyo.”
JHN.5.12	Ye nikaiteyadi, “Kaere amiye yaku makai reyainedi ya niyo?”
JHN.5.13	Idu mina buni niyo amiye bi ina toto mina amiye bi kaere, ini adina Iesu bi minari amededi amiye tau gade fogori forovai reyo.
JHN.5.14	Mina usi Sei nivakena yavari baku resi niyo, “Neide, ya bi buni niyo; besa vegu no ga re, de bi beika yokoi no iniye ya rofu vata nigo baebu.”
JHN.5.15	Kamini mina amiye disi Jew vene nioteimaro ina bi Iesu kaere yaku moi buni riyo. 
JHN.5.16	Mina resi Jew vene yaku Iesu esika esika maradi,
JHN.5.17	Idu ina vene rofu niyo, “Nai Baba bi gua toga mina medari mamo moimai redo, ma na ka moimai reida.”
JHN.5.18	Jew vene bi besa umuyegika maina regamadi mina ago dada, adina Sabati meda di ago gira ukero vau reyo maka de, idu ka nigamo Sei bi ini Baba ma mina ago yaku ina bi Sei sa moi yokoi maka riyo.
JHN.5.19	Mina resi Iesu yaku niyo, “Rama iniye ya nida: Mida yaku inike beika yokoi de rego; ini Baba yaku beika redo, mina vesi maka redo. Adina beika Baba yaku redo bi Mida ka makai redo. 
JHN.5.20	Adina Baba yaku ini Mida uka masi ini beika tau gade inike redo mina oteimado. Ina yaku ka beika tora tora reyainedi oteimago, ye ya vene tururu regedi dada. 
JHN.5.21	Baba yaku muyena edadisi ini vegu mado kana, Mida ka ini ura dudu kaere vegu mago vo nido bi mado. 
JHN.5.22	Ye Baba ka amiye yokoi de kota redo, idu mina kota rena vava bi ini Mida maro, 
JHN.5.23	ye amiye tau gade ini Mida kikifa regedi, Baba rofu rededi kana. Amiye kaere ini Mida kikifa de redo, bi Baba kaere nifeideyo ina ka kikifa de redo.
JHN.5.24	“Rama iniye ya nida: kaere nai ago neidesi na nifeideyo amiye rofu mokena vari gira aego, bi toga toga ameibobina vegu baku rego. Bi kota de rego, idu bi muyena feresi vegu rofu orefaro. 
JHN.5.25	Rama iniye ya nida: meda nemoko baego; rama bi sena okiyo—muyena vene yaku Sei di mida di goroka neidegedi, ye kaere neidededi bi vegu nigedi. 
JHN.5.26	Ye Baba iniye bi vegu di adina kana, makai ini Mida ka bi vegu di adina risi 
JHN.5.27	kota regi di vava maro, bi Amiye di mida dada. 
JHN.5.28	Mina rofu tururu ga refa, adina ini meda nemoko baego, guri aeyadi muyena vene tau gade yaku ini goroka neidesi 
JHN.5.29	ini guri gutuna dadi rae regediri: kaere vegu buni reyadi vene bi dadisi veguri amegedi, ma kaere vegu no reyadi vene bi dadigedi ma kota regedi.
JHN.5.30	“Na kaya di vava dudu bi beika yokoi de regida; Sei yaku beika na nido kana makai kota reida, ye nai kota rena bi rama, ini adina na yaku beika regi reida bi na kaya di ura regika de, idu kaere yaku na nifeideyo di ura dudu maka.
JHN.5.31	“Na beika reida mina na kaya maka niokugida vonisi, mina beika nida bi ini rama de nufa. 
JHN.5.32	Idu amiye yokoi yaku na beika reida rofu niokudo, ma na diba ina yaku na dada beika nido bi rama. 
JHN.5.33	Ya vene yaku John rofu ago moi feideyadi ma ago rama niokuyo.
JHN.5.34	Idu na beika reida di niogau rena ago bi diya amiye rofu, ye ya vene moi vegu riyainedi rofu mina ago nida. 
JHN.5.35	John bi ramefa kana, vaigasa vabara nigamo, ma ari tumu maka ini vabarari ada regi ura reyadi. 
JHN.5.36	Nai niogau rena ago yaku John di ago ebu reyo. Adina vegu regi Baba na maro, mina reida ma mina niogau rededi, Baba bi na nifeideyo dada. 
JHN.5.37	Ma Baba, kaere na nifeideyo, yaku ka na fafau niokuyo. Ini goroka toga de neidesi ini seira ka toga de veyadi.
JHN.5.38	Ma ini ago ka yi uka ideri amena de redo, ini adina nifeideyo amiye rofu mokena vari gira de aededi. 
JHN.5.39	Sei di ago vei mama rededi, ya mokededi bi minari toga toga ameibobina vegu baku regedi dada. Ma mina ago maka yaku na fafau niokudedi! 
JHN.5.40	Idu vegu moigika na rofu baena bi ura de rededi.
JHN.5.41	“Na bi amiye gutuna nai roka moi odoro rina bi maina de reida. 
JHN.5.42	Idu na na diba yi ukari Sei rofu uka mana de rededi. 
JHN.5.43	Na bi nai Baba di roka di vava dudu deyaka, idu ya bi na de moiyadi; idu amiye bi iniye di roka di vava dudu soka regori, bi moigedi. 
JHN.5.44	Ya bi ya kaya roka moi odoro rina ura rededi, idu ya bi Sei yokoi maka yaku yi roka moi odoro rina bi de maina rededi; makai ye gokai ida dudu na rofu mokena vari gira aegedi? 
JHN.5.45	Ga mokefo na yaku nai Baba di nemokori ya tourage regida. Moses, kaere ina rofu uka mokena aeyadi, ina yaku ya tourage rego. 
JHN.5.46	Ya Moses rofu mokena vari gira aeyagadu vonisi, bi na rofu mokena vari gira aeyaidu, ini adina bi na dada bura reyo. 
JHN.5.47	Idu beika bura reyo rofu mokena vari gira de aeyadiri, ye gokai ida dudu nai ago rofu mokena vari gira aegedi?”
JHN.6.1	Mina usi Iesu bi Galilee gagani Tiberias moka daidai tora berou eta rofu boyo. 
JHN.6.2	Ma amiye tau gade usi bogamadi, adina mokena vegu gauka rofu moi buni rigamo mina veyadi. 
JHN.6.3	Iesu omunari bosi ini usi dina venesa ameinu reyadi. 
JHN.6.4	Ye Jew vene di Ferei ebu rena irakuna di meda bi negau niyo. 
JHN.6.5	Iesu yaku ini ne moi odoro resi amiye tau gade gade ina rofu baegamadi vegasa Philip rofu nikaiteyo, “Una bi goidu beredi voi regifa mina amiye yaku iriyaganedi?” 
JHN.6.6	(Makai niyo bi ebene regika, adina iniye ina diba bi beika rego bi.)
JHN.6.7	Philip yaku nikabai reyo, “Siriva fore 200 dudu beredi voi regifa vonisi, bi keika maka moigedi ka egere de nigo.”
JHN.6.8	Ini usi dina amiye yokoi roka Andrew, kaere bi Simon Peter di dubuini, yaku niyo, 
JHN.6.9	“Mida keika yokoi minari bi 
JHN.6.10	Iesu yaku niyo, “Amiye nifo kumo ameinu reyaganedi.” Mirona sanari bi oruma tora gade. Mina dada ameinu reyadi vene bi rumana 5,000 kana. 
JHN.6.11	Mina dada beredi moisi Sei rofu buni tora gade masi
JHN.6.12	Ye ini uka bere niyadiri, ini usi dina vene rofu niyo, “Fereyadi iruku tuta moi egogo refo kumo keika yokoi moi boiyo ga reyaine.” 
JHN.6.13	Mina dada 
JHN.6.14	Amiye ini rebe reyo mina vesi niyadi, “Rama mina bi Sei di ago nido amiye
JHN.6.15	Ye Iesu ina diba niyo bi yeiva dudu ina rofu baesi moi kini rigedi, ye dudusa inaike omunari boyo.
JHN.6.16	Ma uriyenau niyori, ini usi dina vene moka daidai torari nesi 
JHN.6.17	bouti yokoi keu risi moka daidai tora berou eta rofu Capernaum urana ugai boi neyadi. Mukuna niyo, idu Iesu bi ina vene rofu okina de reyo. 
JHN.6.18	Ma aura tora okisi moka daidai tora moi tafo tafo reyo. 
JHN.6.19	Ye kilometre 5 o 6 kana
JHN.6.20	Idu ina vene rofu niyo, “Na mini; ori ga refa!” 
JHN.6.21	Mina dada boutiri ada dudu moi keu reyadi, ye bouti berou konori dina rofu bi evade maka mina sanari okiyo.
JHN.6.22	Ari uveyori amiye tau gade moka daidai tora di berou eta rofu amesi diba niyadi bi bouti yokoi maka ma Iesu bi ini usi dina venesa keu de reyo, idu ini usi dina vene iniye maka diyadi. 
JHN.6.23	Tiberias gutuna bouti be bi Varika amiye buni tora gade Sei rofu maro ma ini beredi iriyadi sana atafuri utae riyadi. 
JHN.6.24	Mina dada amiye tau gade veyadi Iesu ma ini usi dina vene minari de amegamadi, ye bouti keu resi maina regi Capernaum rofu diyadi.
JHN.6.25	Koru moka tora di berou eta rofu baku resi nikaiteyadi, “Oteimana amiye, ya bi minari goivaka baeyo?”
JHN.6.26	Iesu yaku ina vene rofu nikabai reyo, “Rama iniye ya nida: ya na maina rededi, diya nai rebe veyadi dada, idu beredi irisi uka bere niyadi dada. 
JHN.6.27	No nigo iruku rofu moimai ga rebifa, idu toga toga vegu ameibobigo iruku rofu moimai rebifa. Amiye di mida yaku mina ya vene rofu mago, adina Baba Sei yaku sena auba reyo.”
JHN.6.28	Kamini nikaiteyadi, “Una yaku Sei di moimai regi bi beika regifa?”
JHN.6.29	Ma nikabai reyo, “Mina bi Sei di moimai: ini nifeideyo amiye rofu mokena vari gira aebigedi dada.”
JHN.6.30	Ye nikaiteyadi, “Ye ya bi beika rebe regiya ma vesi ya rofu mokena vari gira aegifa? Ya bi beika moimai regiya? 
JHN.6.31	Uni tutubena yaku gagani autu sanari 
JHN.6.32	Kamini Iesu ina vene rofu niyo, “Rama iniye ya nida, bi diya Moses kaere bi omari beredi ya maro, idu nai Baba yaku omari gutuna beredi rama ya mado. 
JHN.6.33	Adina Sei di beredi bi kaere omari gutuna desi kono tora noibanu vene vegu mado.”
JHN.6.34	Ma niyadi, “Amiye tora e, mina beredi bi toga una mabi.”
JHN.6.35	Ye niyo, “Na bi vegu di beredi; amiye kaere na rofu baego bi rauna de rego, ma kaere na rofu mokena vari gira aego bi toga koru de vaigo. 
JHN.6.36	Idu ya rofu niyaka ya bi sena na veyadi, idu mokena vari gira de aeyadi. 
JHN.6.37	Nai Baba yaku na maro vene tau vakoi bi na rofu baegedi, ma na rofu baegedi vene bi de meki regida de iniye. 
JHN.6.38	Adina omari gutuna soka rei deyaka bi diya na kaya nai ura regika, idu kaere na nifeideyo amiye ini ura regika. 
JHN.6.39	Ma kaere na nifeideyo amiye di ura bi yomini: na maro vene tau vakoi bi yokoi moi boiyo de regida, idu ari metonari mina vene tau vakoi bi moi edadigida dada. 
JHN.6.40	Adina nai Baba di ura bi yomini: ini Mida vegasa mokena vari gira aegedi vene tau vakoi bi toga toga ameibobina vegu moigedi, ma na yaku ka ari metonari moi edadigida.”
JHN.6.41	Ye Jew vene yaku ina rofu mumugu nigamadi, di ini adina niyo, “Na bi omari gutuna deyo beredi.” 
JHN.6.42	Ka niyadi, “Mina bi Iesu, Joseph di mida de ba? Ini nono ma baba una una diba. Ma gokai resi gua nido, ‘Na bi omari gutuna deyaka’?”
JHN.6.43	Iesu ina vene rofu niyo, “Ya kaya ya kaya makai mumugu ga nifa. 
JHN.6.44	Nai Baba na nifeideyo amiye bi amiye yokoi moi rutu resi na rofu mago vonisi, bi na rofu baego, ye ari metonari moi edadigida. 
JHN.6.45	Sei di ago niyadi vene bura reyadi, ‘Sei yaku ina tau vakoi oteimago.’ Nai Baba di ago neidesi diba niyadi
JHN.6.46	Amiye yokoi yaku Baba vena kode, idu Sei gutuna deyo amiye yaku maka sena veyo. 
JHN.6.47	Rama iniye ya nida: amiye kaere mokena vari gira na rofu aego bi toga toga ameibobina vegu moigo. 
JHN.6.48	Na bi vegu di beredi. 
JHN.6.49	Yi tutubena vene yaku gagani autu sanari 
JHN.6.50	Idu omari gutuna deyo beredi bi makai: ye amiye yokoi irigo bi de muyego. 
JHN.6.51	Na bi mina omari gutuna deyo vegu amedo beredi. Amiye yokoi yaku mina beredi irigo vonisi, bi toga toga ameibobigo. Ma kono tora noibanu di vene di vegu rofu magida beredi bi nai roaita.”
JHN.6.52	Kamini Jew vene bi iniye iniye rofu kayamo regasa niyadi, “Mina amiye di roaita bi gokai una rofu mago ma irigifa?”
JHN.6.53	Ye Iesu yaku niyo, “Rama iniye ya nida: Amiye di mida di roaita ma ini dava de irigedi vonisi, vegu bi ya vene ideri de amebigo. 
JHN.6.54	Amiye kaere nai roaita ma nai dava irigo bi toga toga ameibobina vegu moigo, ma ari metonari moi edadigida. 
JHN.6.55	Adina nai roaita bi iruku rama ma nai dava ka bi irina koru rama. 
JHN.6.56	Kaere nai roaita ma nai dava irigo amiye bi nasa amebigo, ma na ka inasa amebigida. 
JHN.6.57	Vegu amedo Baba yaku na nifeideyo kana, ma ina dada vegu ameida, ye kaere na irigo amiye ka na dada vegu amego. 
JHN.6.58	Omari gutuna deyo beredi bi mini; yi tutubena vene yaku irigamadi kana de. Irisi muyeyadi. Idu kaere mina beredi irigo bi toga toga ameibobigo.”
JHN.6.59	Iesu Capernaum ri oteimagasa usa usa yavari mina ago nigamo.
JHN.6.60	Ini usi dina vene tau mina ago neidesi niyadi, “Mina ago bi gira iniye; kaere yaku neidego?”
JHN.6.61	Idu Iesu ini ukari diba niyo ini ago rofu mumugu nigamadi, dada niyo, “Mina yaku yi mokena moi toe rido ba? 
JHN.6.62	Idu Amiye di mida sena ameyo sanari dairi bogo mina vesi bi beika mokegedi? 
JHN.6.63	Sei di Vima bi vegu mado; roaita di vava bi de iniye iniye. Ago ya rofu niyaka bi Vima ma vegu di. 
JHN.6.64	Idu ya vene be bi mokena vari gira de aededi.” (Adina bi senagi diba niyo kaere bi mokena vari gira aena de, ma kaere yaku siri rego.) 
JHN.6.65	Resi niyo, “Mina resi ya rofu niyaka nai Baba yaku maka vava mago vonisi, amiye bi na rofu baegedi.”
JHN.6.66	Mina usi ini usi dina vene tau ina gedu masi inasa gogo de digamadi. 
JHN.6.67	Mina dada amiye 12 rofu nikaiteyo, “Ya vene feresi digi ka ura rededi ba?”
JHN.6.68	Simon Peter yaku nikabai reyo, “Varika amiye e, una bi kaere rofu digifa? Toga toga ameibobina vegu di ago bi yasa amedo.
JHN.6.69	Una bi mokena vari gira aesi una una diba ya bi Sei di amiye kikifa.”
JHN.6.70	Ma nikabai reyo, “Na bi ya 12 auba reyaka, idu ya yokoi bi bodaka niyo!” 
JHN.6.71	Mina bi Simon Iscariot di mida, Judas kaere yaku siri rego fafau ago niyo. Ina ka bi ini amiye 12 yokoi.
JHN.7.1	Mina usi Iesu Galilee ri diga boga regamo. Judea gagani rofu nena bi ura de reyo, adina Jew vene yaku umuyegika maina regamadi. 
JHN.7.2	Jew vene Karaga di irakuna di meda bi atafu niyori,
JHN.7.3	Iesu ini dubuiyaka yaku niyadi, “Mina sana feresi Judea rofu bo, ye yi usi dina vene yaku ka yi beika reisa mina veyagane. 
JHN.7.4	Adina amiye yokoi kaere ina ura redo iniye moi ogau rigo vonisi, bi suiri moimai de redo. Ya bi makai regiya, ye kono vene tora noibanu rofu ya kaya moi ogau ri!” 
JHN.7.5	(Adina ini dubuiyaka ka ina rofu mokena vari gira de aegamadi.)
JHN.7.6	Kamini Iesu yaku niyo, “Nai meda rama bi okina kode, idu yi meda bi toga mini. 
JHN.7.7	Kono tora noibanu vene bi ya gubuyo de regedi, idu na rofu bi gubuyo rededi, adina na yaku ini beika rededi vegu niokuda bi no dada. 
JHN.7.8	Irakuna sanari bofa. Na bi mina irakuna sanari de bogida
JHN.7.9	Makai nisi Galilee ri ameyo.
JHN.7.10	Idu gabi ini dubuiyakasa irakuna sanari boyadiri, erau de niyo, idu kiki dudu maka boyo. 
JHN.7.11	Irakuna sanari Jew vene yaku maina regasa nikaiteyadi, “Ina bi goini?”
JHN.7.12	Ma amiye di fogori ina dada mumugu nigamadi. Bedakai yaku nigamadi, “Ina bi amiye buni,” idu bedakai yaku nikabai regamadi, “Ide, ina bi amiye ourefeidei no redo.” 
JHN.7.13	Jew vene rofu ori reyadi, ye amiye yokoi yaku ina dada ago de niokugamo.
JHN.7.14	Iesu yaku irakuna utari Sei nivakena yava ideri bosi amiye oteimagi kora reyo. 
JHN.7.15	Mina resi Jew vene tururu resi niyadi, “Mina amiye bi sikuru de reyo, idu gokai resi makai diba moiyo?”
JHN.7.16	Ye nikabai reyo, “Beika oteimaida bi diya naike nai oteimana, idu na nifeideyo amiye di. 
JHN.7.17	Kaere amiye Sei di ura rena kana rego vonisi, bi diba nigo mina ago oteimaida bi Sei rofu dedo, o na kaya nai vava dudu sina nida. 
JHN.7.18	Amiye kaere ini vava dudu ago nigo iniye ini roka moi odoro rigi redo, idu kaere yaku ina nifeideyo amiye di moi odoro rigi redo bi rama amiye, ma ini uka ideri bi ofa yokoi de amedo. 
JHN.7.19	Moses yaku ago gira ya maro ba? Idu ya yokoi yaku mina ago gira de neidedo. Beika resi ya na umuyegika na maina rededi?”
JHN.7.20	Amiye tau gade yaku nikabai reyadi, “Ya bi vima nosa! Kaere yaku ya umuyegika ya maina redo?”
JHN.7.21	Ma nikabai reyo, “Na bi reremama yokoi reyakari, ya tau vakoi bi tururu reyadi. 
JHN.7.22	Mina resi Moses yaku ago maro yi mida di roaita nugaraine. (Rama mina bi diya Moses rofu, idu yi tutubena vene rofu soka reyadi.) Kamini Sabati medari mida yokoi ini roaita nugadedi.
JHN.7.23	Sabati medari mida di roaita nugagori, bi Moses di ago gira de odego; ye beika resi ya na rofu gubuyo rededi, adina na yaku Sabati medari amiye yokoi moi buni riyaka?
JHN.7.24	Etofarori bi ga mokei no refa, idu rama dudu nirorotari refa.”
JHN.7.25	Mina dada Jerusalem vene be yaku niyadi, “Mina amiye umuyegika maina rededi bi mini? 
JHN.7.26	Vefo! Ariarari ago nido ma ina rofu ago yokoi de nidedi! Ourefeidena vene bi diba niyadi ina bi Keriso bi rama ba ide? 
JHN.7.27	Idu Keriso degori, amiye yokoi diba de nigedi ina bi goina rofu. Ma mina amiye goina gutuna soka reyo bi una una diba.”
JHN.7.28	Mina dada Iesu Sei nivakena yavari oteimagasa niogau regamo, “Ya ya diba na ma na goina rofu ka ya diba. Idu na bi nai vava dudu de deyaka. Amiye kaere na nifeideyo bi rama, ma ya bi ina ya toto. 
JHN.7.29	Na bi ina diba, adina ina gutuna deyaka ma na nifeideyo.”
JHN.7.30	Ye moi gira regika maina reyadi, idu amiye yokoi ini vana dudu avaka de moiyo, adina ini meda bi okina kode dada. 
JHN.7.31	Idu amiye tau gade mina egogo reyadiri, ina rofu mokena vari gira aesi niyadi, “Keriso soka regasa besa rebe rego, mina amiye yaku redo kana ba de?”
JHN.7.32	Amiye tau gade yaku Iesu rofu mumugu nigamadi ma Pharisee vene mina ago neideyadi, ye Sei ma amiye utari naivo vene di varika venesa iya rededi vene nifeideyadi moi gira reyaganedi. 
JHN.7.33	Ye Iesu niyo, “Na yasa bi de amei doba regida; gabi kaere na nifeideyo amiye rofu dairi digida. 
JHN.7.34	Na maina regedi, idu baku de regedi, ma nai ameida sanari bi digi anua regedi.”
JHN.7.35	Ye Jew vene iniye iniye nikaiteyadi, “Mina amiye bi goidu digika redo ma de baku regifa? Ini mokena bi Greek vene di gagani uni amiye amededi sanari disi Greek vene oteimago ba? 
JHN.7.36	Mina ago nidori, ini adina bi beika, ‘Na maina regedi, idu baku de regedi,’ ma ‘Nai ameida sanari bi digi anua regedi’?”
JHN.7.37	Irakuna metona meda isivagari, Iesu dadi are resi raka niyo, “Kaere bi koru vaido bi na rofu baesi koru gaga re.
JHN.7.38	Kaere na rofu mokena vari gira aego, Sei di agori nido kana, ‘Vegu amedo koru ini uka meko gutuna koru kana rausi rei baego.’ ”
JHN.7.39	Idu kaere ina rofu mokena vari gira aeyadi, bi Vima moigedi. Resi mina rofu ago niyo, adina mina ituari Vima
JHN.7.40	Amiye tau gade fogori bedakai yaku mina ago niyo neidesi niyadi, “Rama iniye mina amiye bi Sei di ago nido amiye!”
JHN.7.41	Bedakai yaku nigamadi, “Mina bi Keriso!”
JHN.7.41	Idu bedakai yaku nigamadi, “Rama iniye Keriso bi Galilee rofu de baego! 
JHN.7.42	Sei di ago yaku nido Keriso bi David di tutubena ma Bethlehem ri vata nigo, David di amegamo rauturi.”
JHN.7.43	Mina dada amiye okuyadi ina dada. 
JHN.7.44	Be yaku ina moi gira regi ura reyadi, idu yokoi yaku ini vana dudu de avaka moiyadi.
JHN.7.45	Kamini iya rena vene yaku Sei ma amiye utari naivo vene di varika vene ma Pharisee vene rofu baeyadiri, nikaiteyadi, “Beika resi afei baena de reyadi?”
JHN.7.46	Ma nikabai reyadi, “Amiye yokoi yaku ina kana de ago nido!”
JHN.7.47	Ma Pharisee vene yaku nikaiteyadi, “Ye ya vene rofu ka ofa niyo ba? 
JHN.7.48	Ourefeidena vene be o Pharisee vene be yaku ina rofu mokena vari gira aeyadi ba de? 
JHN.7.49	Idu mina amiye tau gade bi Moses di ago gira ina toto, ye Sei yaku kiraini nigo!”
JHN.7.50	Ini amiye yokoi, roka Nicodemus, kaere sena
JHN.7.51	“Uni ago gira dada amiye yokoi kota rena koderi, bi ini ago di rama neidesi beika reyo baku rena kumo.”
JHN.7.52	Ma nikabai reyadi, “Ya ka Galilee rofu baeyo ba? Ya kaya Sei di agori vei mona refa Sei di ago nido amiye yokoi Galilee ri de baego
JHN.7.52	[ 
JHN.7.53	Ma ina yokoi yokoi ini rautu neineiri diyadi.
JHN.8.1	Idu Iesu maka 
JHN.8.2	Uriyaku ari uveyori, dairisi Sei nivakena yavari boi neyo. Amiye tau gade ina rofu boyadi ma ameinu resi oteimagamo. 
JHN.8.3	Ago gira oteimana vene ma Pharisee vene yaku rema yokoi afei dui reyadi, kaere bi koa reyo ma veitao reyadi. Amiye fogori moi are resi 
JHN.8.4	ina rofu niyadi, “Oteimana amiye, mina rema bi koa rena vegu reyo ma veitao reyadi.
JHN.8.5	Ye Moses di ago gira yaku una nido bi mina kana rema fore dudu umuyegifa; ye ya bi beika be nigiya?”
JHN.8.6	Idu mina niyadi bi ini uka maina rena nivegika, ye vegu no be rego vonisi bi nitourage regedi. Ma Iesu kuri agu risi
JHN.8.7	Ma toga nikaite regamadiri, dadisi are resi ina vene rofu niyo, “Ya kaere amiye yokoi vegu no de nufa vonisi, bi ya yaku siko mina rema rofu fore moisi youfa.” 
JHN.8.8	Dudusa kuri agu risi konori bura regamo. 
JHN.8.9	Idu
JHN.8.10	Ma dadi are resi mina rema rofu
JHN.8.11	Ma nikabai reyo, “Varika amiye e, amiye yokoi de.”
JHN.8.11	Ma niyo, “Na ka ya nifafana de reyaka; disi besa vegu no ga re.”]
JHN.8.12	Iesu dudusa ina vene rofu ago niyo, “Na bi kono tora noibanu di vabara. Amiye kaere na usi baego bi mukunari de digo, idu vegu di vabara moigo.”
JHN.8.13	Ye Pharisee vene yaku ina rofu niyadi, “Ya kaya niokusa; yi niokuna ago bi rama de.”
JHN.8.14	Idu nikabai reyo, “Na kaya ka niokugida vonisi, nai niokuna ago bi rama, adina na na diba goidu deyaka ma goidu digida. Idu ya ya toto na goidu deyaka o goidu digida. 
JHN.8.15	Ya bi amiye di mokena kana kota rededi; na bi amiye yokoi kota de reida. 
JHN.8.16	Idu na yaku kota regida vonisi, nai kota rena bi rama, adina bi na naike maka de, idu nai Baba kaere na nifeideyo bi nasa kota regifa. 
JHN.8.17	Yi ago girari yomakai bura reyadi amiye remanu yaku ago yokoi maka dudu niokugedi, ini beika nigedi bi rama.
JHN.8.18	Na kaya niokuda, ma nai Baba kaere na nifeideyo ka na fafau niokudo.”
