MAT.1.1	Ибрагьимни наслусундан тувгъан Давутну наслусундан болгъан Исаны тайпа тухуму.
ACT.4.28	Олар Сени къудратынг ва айтгъанынг болмагъа герек деп алданокъ токъташдыргъан гьар затны гертилемек учун жыйылгъанлар. 
ACT.4.29	Гьали де, я Раббибиз, олар бизге къоркъув берегенни Сен гёресен. Сени сёзюнгню къоркъунмай сёйлесин учун, Оьзюнгню къулларынга гюч бер дагъы. 
ACT.4.30	Сыйлы къулунг Исаны аты булан аврувланы сав этмек учун, муъжизатлар ва аламатлар гёрсетмек учун кёмек эт.
ACT.4.31	Исаны якъчылары дуа этип битгенден сонг, олар жыйылып токътагъан ер чайкъала. Барысы да Аллагьны Ругьундан толуп, Аллагьны гьакъындагъы хабарны тартынмайлы, ачыкъдан ачыкъ сёйлемеге башлай.
ACT.4.32	Бары да Исаны якъчыларыны юрегинде ва гёнгюлюнде бир зат бола. Оьз мюлкюнден бир затгъа да бирев де: «Бу меники», – деп айтмай. Оланы бары да заты ортакъ бола. 
ACT.4.33	Элчилер Раббибиз Исаны оьлюмден тирилмеклигине гючлю кюйде шагьатлыкъ этелер ва оланы барына да Аллагь уллу рагьму эте. 
ACT.4.34	Оланы арасында тарчыкълыкъгъа тюшген бирев де болмай. Неге тюгюл де, топуракъ ва уьй есилери, малын сатып, сатгъанда тюшген акъчаны гелтирип 
ACT.4.35	элчилеге берелер. Бары да зат да гьар кимге тарыгъына гёре пайлана.
ACT.4.36	Кипрде тувгъан левийлерден
ACT.4.37	О оьзюню мюлкю болгъан топурагъын сатып, акъчасын гелтирип элчилеге бере.
ACT.5.1	Гьанания деген бирев Сафира деген къатыны да булан мюлкюнден бир пайын сатгъан болгъан. 
ACT.5.2	Къатыны булан разилешип, акъчаны бир пайын о оьзлеге къоя. Къалгъан акъчаны гелтирип, о элчилеге бере. 
ACT.5.3	Петер огъар:
ACT.5.3	– Гьей Гьанания! Неге сен юрегинге иблис айтгъанны этдирип, Аллагьны Ругьуна ялгъан айтып, топурагъынгны сатгъанда тюшген акъчаны бир пайын яшырдынг? 
ACT.5.4	Сатгъанча, о мюлк сеники тюгюлмю эди? Сатгъан сонг да шо акъча сеники тюгюлмю эди? Ялгъан айтмагъа сени не зат борчлу этди? Сен инсанлагъа тюгюл, Аллагьгъа ялгъан айтдынг, – дей.
ACT.5.5	Бу сёзлени эшитгенде, Гьанания йыгъылып оьлюп къала. Шону эшитгенлени барын да уллу къоркъув къуршай. 
ACT.5.6	Сонг жагьиллер гелип, гебинлеп, ону гёммеге гьазирлейлер ва къыргъа алып чыгъып гёмелер.
ACT.5.7	Уьч сагьатдан сонг ону къатыны геле, тек о не болгъанын билмей. 
ACT.5.8	Петер огъар:
ACT.5.8	– Айт чы магъа, топурагъыгъызны сиз шончакъыгъа сатгъанмы эдигиз? – деп сорай.
ACT.5.8	– Дюр, шончакъыгъа сатгъан эдик, – деп жавап бере о.
ACT.5.9	– Шолай сёйлешмеге ва Раббибизни Ругьун сынамагъа нечик болдугъуз? Сен эшик алдагъы авазланы эшитемисен? Шо авазлар – сени эрингни гёмюп гелегенлени авазлары. Олар сени де шонда элтежеклер, – дей Петер огъар.
ACT.5.10	Къатын, шоссагьатына Петерни аякъларына йыгъылып, жан бере. Ичине гирип гелген жагьиллер ону оьлгенин гёрелер. Къыргъа алып чыгъып, ону да эрини янына гёмелер. 
ACT.5.11	Бары да Исаны якъчыларын ва бу затланы эшитгенлени барысын да уллу къоркъув къуршай.
ACT.5.12	Элчилер халкъны арасында кёп муъжизатлар ва аламатлар гёрсетелер. Исаны якъчылары барысы да бир йимик Сулайманны Гётермесини янында жыйылалар. 
ACT.5.13	Бирев де олагъа къошулмагъа болушлукъ этмей, тек халкъ олагъа бек гьюрмет эте. 
ACT.5.14	Раббибиз Исагъа иман салагъан халкъны – эренлени ва къатынланы – санаву баргъан сайын арта. 
ACT.5.15	Шоллукъда, Петер янындан оьтюп барагъанда, дагъы болмаса ону гёленткиси сама аврувланы уьстюне тийсин деп, оланы орамлагъа чыгъарып, тёшеклени ва орунланы уьстюне салалар. 
ACT.5.16	Ерусалимни айланасындагъы юртлардан да кёп халкъ геле. Олар оьзлени аврувлардан ва жинлерден азап чегип турагъан адамларын гелтирелер. Шо адамлар барысы да сав болалар.
ACT.5.17	Дин къуллукъчуланы башчысы ва ону булан бирге бары да саддукей дин бёлюгюнден болгъанлар оланы бек гюллейлер. 
ACT.5.18	Олар элчилени тутуп, оланы шагьар туснагъына салалар. 
ACT.5.19	Амма гече булан гелип, Раббибиз йиберген малайик туснакъны къапуларын ача ва оланы къыргъа чыгъара. 
ACT.5.20	Малайик булай дей:
ACT.5.20	– Барыгъыз, ибадатханада токътап, сизин янгы яшавугъузну гьакъындагъы бары да затны бютюн халкъгъа айтыгъыз.
ACT.5.21	Буйрукъгъа тынглап, элчилер эртен тез гелип ибадатханагъа гире ва халкъгъа насигьат этмеге башлайлар. Дин къуллукъчуланы башчысы ва ону булангъылар гелгенде, олар ягьудилени оьр мажлисинде Исрайылны бары да тамазаларыны генгешин чакъыра. Сонг олар элчилени алып гелмеге оланы артындан туснакъгъа къуллукъчуланы йибере. 
ACT.5.22	Амма туснакъгъа гелген къуллукъчулар онда элчилени тапмай. Къайтып гелип, шо гьакъда:
ACT.5.23	– Биз туснакъны тындырыкълы кюйде бегитилип тапдыкъ. Къаравуллар да къапуланы алдында токътагъан эдилер, амма къапуланы ачгъанда, ичинде бирев де табулмады, – деп билдирелер.
ACT.5.24	Бу сёзлени эшитгенде, къаравулланы башчысы ва баш дин къуллукъчулар бу не зат экен деп адап къалалар. 
ACT.5.25	Сонг бирев гелип, олагъа:
ACT.5.25	– Сиз туснакъгъа салгъан адамлар ибадатханада халкъгъа насигьат этип туралар, – деп билдире.
ACT.5.26	Сонг къаравулланы башчысы, къуллукъчулары булан барып, гьеч гюч этмей, оланы къайтарып гелтире. Халкъ оьзлени таш урушгъа тутуп къоймасын деп, олар гюч къолламагъа къоркъалар. 
ACT.5.27	Элчилени гелтирип, оьр мажлисни алдында тургъузалар. Дин къуллукъчуланы башчысы олагъа:
ACT.5.28	– Шо адамны гьакъында дагъы сёйлемегиз деп биз сизге къатты кюйде буваргъан эдик. Амма сиз айтагъаныгъызны Ерусалимни гьар ерине яйып юрюйсюз ва О адамны оьлюмю учунгъу такъсырны бизин уьстюбюзге салмагъа сюесиз, – дей.
ACT.5.29	Петер ва оьзге элчилер булай дей:
ACT.5.29	– Биз инсанлагъа тюгюл, Аллагьгъа таби болмагъа герекбиз! 
ACT.5.30	Сиз хачгъа илип оьлтюртген Исаны аталарыбызны Аллагьы тирилтди. 
ACT.5.31	Исрайылгъа товба этмеге ва гюнагьларындан гечме имканлыкъ болсун учун, Есибиз ва Къутгъарывчубуз этип, Аллагь, Ону Оьзюню онг ягъында олтуртуп, оьр даражалагъа чыгъарды. 
ACT.5.32	Биз де шо затланы барысына да шагьатларбыз – биз де, Аллагьны Ругьу да. Аллагь Ругьун Оьзюне таби болагъанлагъа берди.
ACT.5.33	Бу сёзлени эшитгенде, олар бек къазапланып, элчилени оьлтюрмеге сюелер. 
ACT.5.34	Оьр мажлисни ортакъчыларыны арасында бары да халкъ гьюрмет этеген дин алим, Гамалиел деген бир фарисей
ACT.5.35	Сонг о:
ACT.5.35	– Гьей Исрайылны халкъы, бу адамлагъа не этме сюегенигизни гьакъында яхшы кюйде ойлашып къарагъыз. 
ACT.5.36	Мундан бираз алдынларда, оьзю уллу адамман деп, Тевда деген бирев чыкъгъан эди. Ону якълап, дёрт юзге ювукъ адам огъар къошулгъан. О адам оьзю оьлтюрюлген, ону якъчылары буса якъ якъгъа чачылгъан, болмагъандай болгъан. 
ACT.5.37	Ондан сонг, халкъны гьисабы алынагъан заманда, галилеялы Ягьуда деген бирев гелип арагъа чыгъып, хыйлы халкъны оьзюню янына тартды. О да оьлтюрюлдю, ону якъчылары буса чачылышып гетдилер. 
ACT.5.38	Гьали мен сизге маслагьат этемен: бу адамлагъа тиймегиз, оланы йиберип къоюгъуз! Неге тюгюл де, буланы мурады ва этеген ишлери инсанлардан амалгъа геле буса, оьзлюгюнден де ёкъ болуп къалажакъ. 
ACT.5.39	Эгер Аллагьдан амалгъа геле буса, оланы енгмеге сизин гючюгюз чатмас. Аллагьгъа къаршы ябушагъанлар болуп чыгъып къалмагъай эдигиз, – дей.
ACT.5.40	Олар Гамалиелни маслагьатына рази болуп, элчилени чакъырталар. Оланы къамучу булан тюйдюрюп ва Исаны гьакъында дагъы сёйлемесин деп буварып, чыгъарып йиберелер. 
ACT.5.41	Исаны аты учун хорланмакълыкъгъа лайыкълы болгъанына сююнюп, элчилер оьр мажлисден чыгъып гетелер. 
ACT.5.42	Гьар гюн ибадатханада оьзюнде ва уьйден уьйге барып, олар Иса Месигь экенни гьакъындагъы Сююнч Хабарны билдирегенин токътатмайлар.
ACT.6.1	Исаны якъчыларыны санаву артып тура. Оланы арасындан гелгинчи ягьудилер ерли ягьудилени уьстюнден арз этмеге башлайлар. Неге тюгюл де, оланы тул къатынлары гьар гюн пайланып берилеген ашарлыкъдан магьрюм этиле болгъан. 
ACT.6.2	Шо заман он эки де элчи, бары да Исаны якъчыларын да чакъырып, булай дей:
ACT.6.2	– Бизге Аллагьны каламын билдирмекни къоюп, ашарлыкъны пайлавну гьайын этип айланмагъа яхшы тюгюл. 
ACT.6.3	Гьали, гьей иман къардашлар, оьз арагъыздан яхшылыкъгъа айтылгъан, Аллагьны Ругьундан толгъан ва гьакъыллы етти адамны айырыгъыз. Олагъа шо къуллукъну тапшурайыкъ. 
ACT.6.4	Биз буса дуа этивню ва Аллагьны каламын билдиривню гьайын этейик.
ACT.6.5	Бу таклифге барысы да рази болуп, олар Аллагьны Ругьундан толгъан ва имангъа къайтгъан Стефанны ва шолай да Филипни, Прогьорну, Никанорну, Тимонну, Парменни ва ягьуди динге айлангъан антиокиялы Николайны айыралар. 
ACT.6.6	О адамланы элчилени алдына гелтирелер. Элчилер, оланы башларына къолларын салып, дуа этелер.
ACT.6.7	Шолайлыкъда, Аллагьны гьакъындагъы хабар бек яйыла. Ерусалимде Исаны якъчыларыны санаву баргъан сайын артып тербей, дин къуллукъчуланы кёплери де Исагъа иман салалар.
ACT.6.8	Аллагь оьзюне савгъат этип къудратын берген Стефан буса халкъны арасында уллу муъжизатлар ва аламатлар гёрсете. 
ACT.6.9	Азатланы синагогундан деп айтылагъан киринейлилерден ва искендериялылардан, киликиялылардан ва асиялылардан бирлери, Стефангъа къаршы чыгъып, ону булан эришмеге башлайлар. 
ACT.6.10	Амма ону сёзюндеги гьакъылгъа ва Аллагьны Ругьу булан сёйлегенине оланы къаршы гючю болмай. 
ACT.6.11	Шо заман олар, бир бир адамланы тюпден таба сатып алып:
ACT.6.11	– Ону Мусагъа ва Аллагьгъа къаршы капир сёзлер айтгъанын биз эшитдик, – деп айтдыралар.
ACT.6.12	Олар халкъны, тамазаланы ва дин алимлени арасына питне салалар. Стефанны тутуп, ягьудилени оьр мажлисине элтелер. 
ACT.6.13	Гелтирген ялгъан шагьатлары:
ACT.6.13	– Бу адам бу ибадатхананы да, Мусаны Къанунун да токътавсуз яман сёзлер айтып сёге. 
ACT.6.14	Назаретли Иса ибадатхананы дагъытажакъ ва Муса бизге къойгъан адатланы алышдыражакъ деп айтгъанын да биз эшитдик, – дейлер.
ACT.6.15	Оьр мажлисде олтургъанланы барысы да Стефандан гёзлерин айырмай къарайлар. Олар Стефанны юзю малайикни юзюне ошап къалгъанын гёрелер.
ACT.7.1	Шо заман дин къуллукъчуланы башчысы:
ACT.7.1	– Бу сёзлер тюзмю? – деп сорай.
ACT.7.2	Стефан булай жавап бере:
ACT.7.2	– Къардашлар, аталар, тынглагъыз! Атабыз Ибрагьим Гьарангъа гёчгюнче, Месопотамияда турагъанда, огъар макътавлу Аллагь гёрюнген. 
ACT.7.3	Аллагь огъар: «Уьлкенгни ва къардашларынгны къоюп, Мен сагъа гёрсетежек уьлкеге бар», – деп айтды. 
ACT.7.4	Шо заман Ибрагьим, килданилени
ACT.7.5	Аллагь огъар варисликге бир къарыш сама да топуракъ бермеген. Ибрагьимни шо заман авлети болмаса да, гележекде шо топуракъланы оьзюне ва ону болажакъ наслуларына мюлк этип бережекге Аллагь ваъда этген. 
ACT.7.6	Аллагь огъар: «Сени наслуларынг ят топуракъда яшажакълар, дёрт юз йылны узагъында оланы къул этежеклер ва олагъа зулму бережеклер. 
ACT.7.7	Амма Мен оланы къул этген халкъны такъсырлажакъман. Олар шо ят топуракъдан чыгъып гетежеклер, сонг бу берген еримде де туруп, Магъа сужда этежеклер», – деп айтды. 
ACT.7.8	Оьзю булан разилешгени саялы, Аллагь Ибрагьимге сюннет этивню тапшургъан. Ибрагьимден Исгьакъ тувгъанда, сегизинчи гюн ону сюннет этген. Сонг Исгьакъдан Якъуб тувгъан, Якъубдан да он эки уллу атабыз тувгъан.
ACT.7.9	Уллу аталарыбыз буса, гюллемекликден Юсупну къул этип, Мисриге сатып йибергенлер. Амма Аллагь ону булан болгъан 
ACT.7.10	ва ону бары да балагьлардан къутгъаргъан. Аллагь огъар гьакъыл берген ва Мисрини пачасыны ягъындан рагьму гёрсетген. Пача да ону Мисриге ва оьзюню къаласына гьаким этип салгъан.
ACT.7.11	Бютюн Мисриге ва Гьанангъа ачлыкъ гелген ва уллу балагь къопгъан. Ата бабаларыбыз ашарлыкъ табып болмагъан. 
ACT.7.12	Мисриде ашлыкъ барны эшитгенде, Якъуб биринчи керен онда уланларын – бизин ата бабаларыбызны – йиберген. 
ACT.7.13	Олар онда экинчи керен гелгенде, Юсуп агъа инилерине оьзюн танытгъан ва Мисрини пачасына Юсупну тайпа тухуму белгили болгъан. 
ACT.7.14	Юсуп да, хабар йиберип, атасы Якъубну ва бютюн тайпа тухумун да (барысы да етмиш беш адамны) оьзюню янына чакъыртгъан. 
ACT.7.15	Якъуб Мисриге гёчген. О ва ата бабаларыбыз онда оьлгенлер. 
ACT.7.16	Сигьемге гелтирилип, шегьемли Гьаморну уланларындан Ибрагьим гюмюш акъча берип сатып алгъан къабургъа гёмюлгенлер.
ACT.7.17	Аллагьны Ибрагьимге берген сёзю яшавгъа чыгъагъан вакътиси ювукълашгъан сайын, Мисридеги халкъыбызны санаву артып, кёп болгъан. 
ACT.7.18	О заман Мисрини тахына Юсупну танымайгъан башгъа бир пача гелген. 
ACT.7.19	О пача халкъыбызгъа къаршы гьиллалар юрютген, ата бабаларыбызгъа зулму этген. Янгы тувгъан яшларын ташлатып, оланы оьлтюртмеге борчлу этген.
ACT.7.20	Шо заманларда Муса деген бек гёзел яш тувгъан. Атасыны уьюнде ону уьч ай битгинче сакълагъан. 
ACT.7.21	Ону ташлагъан сонг, Мисрини пачасыны къызы алып, оьзюне улан этип сакълап оьсдюрген. 
ACT.7.22	Муса мисрилилени бютюн илмусун уьйренген, сёзде ва ишде гючлю болгъан.
ACT.7.23	Оьзюне къыркъ йыл битгенде, о къардашларыны – Исрайылны халкъыны – янына бармагъа токъташгъан. 
ACT.7.24	Оланы бирине негьакъ зулму этилегенни гёргенде, арагъа Муса къошулгъан, мисрилини оьлтюрюп, зулму этилеген адам учун оьч алгъан. 
ACT.7.25	О оьзюнден таба Аллагь къардашларына къутгъарылыв йибергенни олар англар деп ойлагъан, амма олар англамагъанлар.
ACT.7.26	Артындагъы гюн оланы бирлери ябушагъанда, Муса гелип, оланы ярашдырма къарагъан ва: «Сиз чи къардашларсыз, бир биригизни хатирин неге къалдырасыз?» – деп сорагъан. 
ACT.7.27	Амма тюз тюгюл адам, Мусаны теберип: «Бизин уьстюбюзге гьаким ва дуванчы этип сени ким салгъан? 
ACT.7.28	Тюнегюн бир мисрилини оьлтюргенинг йимик, мени де сама оьлтюрмеге сюймеймисен?» – деп сорагъан. 
ACT.7.29	Бу сёзлени эшитгенде, Муса Мисриден Мидиян уьлкесине къачгъан. Онда яшагъан ва эки уланны атасы болуп токътагъан.
ACT.7.30	Арадан къыркъ йыл оьтгенден сонг, Синай тавну ювугъундагъы дангылда янагъан тегенек уьлкюню ялыныны ичинде огъар бир малайик гёрюнген. 
ACT.7.31	Муса гёрген затларына гьайранлыкъ этип къалгъан. Къарамагъа деп бираз ювукъ баргъанда, Раббибизни: 
ACT.7.32	«Мен сени ата бабаларынгны Аллагьыман, Ибрагьимни, Исгьакъны ва Якъубну Аллагьыман», – деген сеси эшитилген. Къоркъмакълыкъдан къартыллай туруп, Муса уьлкюге багъып дагъы къарап болмагъан.
ACT.7.33	Раббибиз огъар: «Аякъгийимлерингни чеч! Сен токътагъан ер – сыйлы топуракъ. 
ACT.7.34	Мен Мисриде Мени халкъыма зулму этилегенин гёрдюм ва ону агь чегегенин эшитдим. Ону къутгъармакъ учун гелгенмен. Энни бар, Мен сени къайтарып Мисриге йиберемен», – деген.
ACT.7.35	О оьзюне адамлар: «Бизин уьстюбюзге гьаким ва дуванчы этип сени ким салгъан?» – деп айтгъан ва оьзюн инкар этген тап шо Мусадыр. О Аллагь оьзюн тегенек уьлкюдеги малайикден таба гьаким ва къутгъарывчу болсун деп йиберген тап шо Мусадыр. 
ACT.7.36	Муса, Мисриде Къызыл денгизде ва дангылда къыркъ йылны узагъында муъжизатлар ва аламатлар гёрсете туруп, оланы Мисриден чыгъаргъан. 
ACT.7.37	Исрайыл халкъына: «Аллагь сизге оьз къардашларыгъызны арасындан мени йимик бир пайхаммар чыгъаражакъ», – деген Мусадыр. 
ACT.7.38	Дангылда жыйылгъанланы арасында яшагъан, Синай тавда малайик булан сёйлеген ва ата бабаларыбыз булан бирче болгъан, яшав береген сёзлени алып бизге берген Мусадыр.
ACT.7.39	Ата бабаларыбыз огъар таби болмагъа сюймегенлер, ону инкар этгенлер ва юреклерин Мисриге бакъдыргъанлар. 
ACT.7.40	Олар Гьарунгъа: «Бизге бизин алып юрюйген аллагьлар ярат. Бизин Мисриден алып чыгъаргъан шо Мусагъа не болгъанны биз билмейбиз», – дегенлер. 
ACT.7.41	Шо гюнлерде бир бузавгъа ошатып, олар сужда этмеге деп, бир таш келпет яратгъанлар. Огъар къурбанлар этип, оьз къоллары булан ясагъан затдан къувангъанлар. 
ACT.7.42	Аллагь буса, олагъа арт берип, оланы кёклердеги юлдузлагъа сужда этип турмагъа къойгъан. Пайхаммарланы китабында язылгъан кюйде:
ACT.7.42	Гьей Исрайылны халкъы! Къыркъ йылны узагъында дангылда
ACT.7.42	сойгъан гьайванларыгъыз ва этген къурбанларыгъыз
ACT.7.42	Магъамы эди?
ACT.7.43	Сиз оьзюгюз булан Мологьну чатырын, аллагьыгъыз Рефанны
ACT.7.43	юлдузун ва сужда этмек учун оьзюгюз этген келпетлени
ACT.7.43	алып юрюдюгюз.
ACT.7.43	Шогъар гёре Мен сизин Бабилни ари янына чыгъарып
ACT.7.43	йибережекмен.
ACT.7.44	Дангылда ата бабаларыбызны Аллагьны гьакълыгъына шагьатлыкъ этеген чатыры болгъан. Мусагъа оьзюне гёрсетилген уьлгю булан шо чатырны этмеге Аллагь уьйретген. 
ACT.7.45	Сонг шо сыйлы чатырны оьзлени аталарындан алгъан бизин ата бабаларыбыз оьзлер булан алып юрюгенлер. Аллагь оьзюню уьстюнде яшайгъан халкъны къувалагъан топуракъны ата бабаларыбыз Нунну уланы Исаны башчылыгъы булан елегенлер. Давут пача болуп турагъан замангъа ерли чатыр шолай тургъан. 
ACT.7.46	Давут Аллагьны разилигин алгъан. Аллагь ягьудилени арасында болсун учун, Давут Огъар бир макан тикмеге изну тилеген. 
ACT.7.47	Шо маканны буса Сулайман къуруп берген.
ACT.7.48	Амма Аллагьу Таала инсанланы къоллары булан ишленген уьйлерде яшамай. Пайхаммар да язгъаны йимик:
ACT.7.49	Раббибиз булай дей: Кёклер Мени тахымдыр, аякъларым
ACT.7.49	басылагъан ер ер юзюдюр.
ACT.7.49	Сиз Магъа нечик уьй къуражакъсыз? Яда рагьатланмакъ учун ер
ACT.7.49	Магъа къайда болажакъ?
ACT.7.50	Мени къолум булан тюгюлмю бары да зат яратылгъаны?
ACT.7.51	Гьей хыр тутуп къалагъанлар, Аллагьгъа юрегин салмайгъанлар ва Ону сёзюне къулакъ асмайгъанлар! Сизин ата бабаларыгъыз йимик, сиз де даим Аллагьны Ругьуна къаршы чыгъасыз! 
ACT.7.52	Ата бабаларыгъыз пайхаммарланы къайсын гьызарламагъан? Олар Муъминни гележегин алданокъ билдиргенлени де оьлтюргенлер. Сиз де гьали Ону Оьзюне хыянатлыкъ этгенсиз ва оьлтюргенсиз. 
ACT.7.53	Сизге малайиклерден таба Къанун йиберилген эди, амма сиз огъар таби болмадыгъыз.
ACT.7.54	Бу сёзлени эшитгенде, оланы къазапланып, ачувундан тишлери къыжырай. 
ACT.7.55	Аллагьны Ругьундан толгъан Стефан кёклеге багъып гёз къарата, онда Аллагьны макътавлу нюрюн ва Ону онг ягъында токътагъан Исаны гёре. 
ACT.7.56	О:
ACT.7.56	– Муна мен ачылгъан кёклени ва Аллагьны онг ягъында токътагъан Инсанны Уланын гёремен, – дей.
ACT.7.57	Олар къулакъларын тыгъып, гючлю кюйде къычыра туруп, барысы да бирче ону уьстюне чаба. 
ACT.7.58	Ону шагьардан тышгъа чыгъарып, таш урушгъа тута. Шагьатлыкъ этгенлер буса, уьстюндеги опуракъларын чечип, Савул деген бир жагьил адамны алдына салалар. 
ACT.7.59	Олар оьзюн таш урушгъа тутгъанда, Стефан:
ACT.7.59	– Я Рабби Иса, Сен мени ругьумну ал! – деп тилей. 
ACT.7.60	Сонг, о тизлеринден чёгюп, гючлю сес булан: – Я Рабби, бу гюнагьы учун олагъа такъсыр этме, – дей. Шону да айтып, Стефан жан бере.
ACT.8.1	Савул да Стефанны оьлтюрюлмеклигине рази бола.
ACT.8.1	Шо гюн Ерусалимдеги Исаны якъчыларына къаршы бек уллу гьызарланыв башлана. Элчилерден къайрылары барысы да Ягьудеяны ва Самарияны якъ ягъына чачылышып гетелер. 
ACT.8.2	Бир бир динагьлю адамлар, Стефанны гёмюп, огъар бек къычырып йылап яс этелер. 
ACT.8.3	Савул буса Исаны якъчыларына къаршы ябушув башлай ва уьйден уьйге гирип, эренлени ва къатынланы сюйреп чыгъарып, туснакъгъа тыгъа.
ACT.8.4	Исаны къувалангъан якъчылары, къайда барса да, бары да ерлерде Аллагьны каламын билдирелер. 
ACT.8.5	Филип, Самариядагъы бир шагьаргъа гелип, ондагъылагъа Месигьни гьакъында билдирмеге башлай. 
ACT.8.6	Филипни сёйлейгенине ва гёрсетеген муъжизатларына къарап, халкъ огъар тергевлю кюйде тынглай. 
ACT.8.7	Шо жинлер жинли адамланы бир кёплеринден бек яман аваз этип, акъырып чыгъа, тербенип болмайгъан хыйлы аврувлулар ва акъсакълар сав болалар. 
ACT.8.8	Бу шагьарда уллу сююнч бола.
ACT.8.9	Самарияда тезден берли сигьручулукъ булан машгъул болуп, бу шагьарны халкъын тамашагъа къалдырагъан Симон деген бир адам болгъан. Оьзю этеген сигьрулар булан макътанып, о оьзюн уллу бир адам деп гьисап эте болгъан. 
ACT.8.10	Лап гиччиден лап уллугъа ерли бары да халкъ огъар тамаша болгъан. «Бу адамда Аллагьны уллу къудраты деп айтылагъан къудрат бар», – деп сёйлей. 
ACT.8.11	Адамлар огъар кёп замандан берли сигьрулары булан оьзлени тамаша этегени саялы тынглайлар. 
ACT.8.12	Аллагьны гьакимлиги ва Иса Месигьни гьакъындагъы Сююнч Хабарны билдирген Филипге инангъанда, бир кёп эренлер булан къатынлар, сувгъа чомдуртуп, оьзлени Аллагьгъа тапшурта. 
ACT.8.13	Симон оьзю де иман сала ва сувгъа чомдуртуп, оьзюн Аллагьгъа тапшурта. Филип этеген муъжизатланы гёрюп ва уллу гючге тамаша болуп, ону артындан айрылмай юрюй.
ACT.8.14	Самарияны халкъы Аллагьны гьакъындагъы хабарны къабул этгенин эшитгенде, Ерусалимдеги элчилер оланы янына Петерни ва Югьанны йиберелер. 
ACT.8.15	Мунда гелгенде, олар иман салгъанлагъа Аллагьны Ругьу берилсин деп дуа этелер. 
ACT.8.16	Неге тюгюл де, иман салгъанланы, Раббибиз Исаны аты булан сувгъа чомдуртуп, оьзлени Аллагьгъа тапшуртгъан буса да, оланы бирине де Аллагьны Ругьу берилмеген болгъан. 
ACT.8.17	Петер ва Югьан оланы уьстюне къолларын салалар ва олагъа Аллагьны Ругьу бериле.
ACT.8.18	Адамланы уьстюне къолларын салмакъ булан олагъа Аллагьны Ругьу берилегенни гёргенде, Симон элчилеге гелтирип акъча бермеге къарай.
ACT.8.19	– Уьстюне къолумну салып, адамгъа Аллагьны Ругьун бермеге болагъан шолай къудратны магъа да беригиз, – деп тилей о.
ACT.8.20	Петер буса огъар булай дей:
ACT.8.20	– Аллагьны савгъатын акъчагъа сатып аларман деп ойлаша бусанг, акъчанг да сени булан бирче ёкъ болсун! 
ACT.8.21	Биз этеген къуллукъну этмеге сени гьеч гьакъынг ёкъ. Неге десе, Аллагьны алдында сени юрегинг тюз тюгюл. 
ACT.8.22	Бу пислигингни къой, Раббибизден тилесенг, балики, юрегингдеги шолай хыялларынг саялы О сенден гечер. 
ACT.8.23	Мен гёремен: сен бек яман гюнчюлюкню ва гюнагьны есирисен.
ACT.8.24	– Мени учун Раббибизге сиз де тилегиз: сиз айтгъан затланы бири де мени башыма гелмесин, – деп тилей Симон олагъа.
ACT.8.25	Элчилер оьзлер гёрген затланы барын да адамлагъа хабарлайлар. Раббибизни гьакъындагъы хабарны билдире туруп, Ерусалимге къайталар ва ёл уьстде Самарияны бир хыйлы юртларында Сююнч Хабарны билдирелер.
ACT.8.26	Раббибиз йиберген малайик гелип, Филипге:
ACT.8.26	– Тур, Ерусалимден Газагъа багъып барагъан къыбла ёлгъа чыкъ, – дей. (Шо ёл бош ерден оьте болгъан.)
ACT.8.27	Филип туруп гете. Ёлда о бир адамгъа къаршылаша. Шо адам Эфиопияны пача къатыныны бары да хазналарын сакълайгъан эфиопиялы бир бичилген вазир болгъан. О Аллагьгъа сужда этмеге деп Ерусалимге гелип, 
ACT.8.28	шо ёл булан къайтып оьз уьлкесине гетип бара болгъан. Къайтыв ёлунда о арбасында да олтуруп, Ешая пайхаммарны китабын охуй. 
ACT.8.29	Шо заман Аллагьны Ругьу Филипге:
ACT.8.29	– Арбагъа ювукъ барып, ону булан янаша юрю, – дей.
ACT.8.30	Филип арбагъа ювукълашгъанда, эфиоп Ешая пайхаммарны китабын охуйгъанын эшите.
ACT.8.30	– Сен не охуйгъанынгны англаймысан? – деп сорай о.
ACT.8.31	– Англатмаса, мен нечик англайым? – деп, о Филипни арбагъа минип оьзюню янында олтурмагъа чакъыра.
ACT.8.32	Сыйлы Язывлардан о бу сёзлени охуй болгъан:
ACT.8.32	Ону къойну йимик соймагъа элтгенлер ва къозу оьзюн
ACT.8.32	къыркъагъанланы алдында тилсиз болуп токътайгъанда
ACT.8.32	йимик, О Оьзюню авзун да ачмагъан.
ACT.8.33	Ону ер этген ва О адилли дувандан магьрюм къалгъан.
ACT.8.33	Ону наслулары гьакъда ким айтма болур, неге тюгюл де Ону
ACT.8.33	дюньядагъы яшаву битген.
ACT.8.34	Эфиоп Филипге:
ACT.8.34	– Айт магъа, пайхаммар мунда кимни гьакъында айта: оьзюню гьакъындамы яда башгъа биревню гьакъындамы? – деп сорай.
ACT.8.35	Шо заман Филип айтмагъа башлай ва Сыйлы Язывланы шо еринден башлап огъар Исаны гьакъындагъы Сююнч Хабарны англата. 
ACT.8.36	Оьзлени ёлун узата туруп, олар бир сув бар ерге гелелер. Къуллукъчу огъар:
