GEN.1.1	Ma mwena handru badeh Kindrei mwesekei munyak ma kandrah. 
LUK.22.5	Eme oro sekesek ta aliy, ma sekesek ta asih Judas na luk. 
LUK.22.6	Eme Judas sekesek ta aliy, ma iy ili takaleh madasan ta kadeu Jises ki san ta bahana le, ya iri lau sala tanan ta aliy labai.
LUK.22.7	Ano, len ta nyamon tinan ta jabi ramen yis bolon bwe badeh, asahan. Len doh, iri aloh Pasoba. Idoh badeh, iri pris adai sipsip kasen ta aimon ta Pasoba. 
LUK.22.8	Eme Jises suni Pita uru Jon kala Jerusalem ma tiye turu anya, “Ah kala bwena kalowosa lakou ta to ta aimon na len ta Pasoba.”
LUK.22.9	Eme uru anya, “Ou aseken aru kala heh, kalowosa na to nyamon?”
LUK.22.10	Eme Jises tiye turu anya, “Ah kanuhun. Ah kadek kala bolo kon tinan badeh, ya idah kameh, ah atou ndramak ari bwese-ei gwa in bolo sabok kameh ndruni ah. Eme ah ka-en hamon tan kala asiu iy ili aliy, 
LUK.22.11	ma ah katiye ki ta ndramak ta asiu anya, ‘Ndramak ta leheya anya, asiu tan ndraheh? Ya idah kameh oro lau tan ma iy kameh aimon nyamon ta Pasoba a-en aliy.’ 
LUK.22.12	Idah kameh, iy leheyani ah ta bolo asiu ari udu loken badeh, ndralowosani le. Eme ah kala aliy kamekes nyamon kudu le tato ai.”
LUK.22.13	Eme uru ala amwenen le, i buku boho Jises ndratiye turu nane. Eme oro lowosani nyamon ta Pasoba ma asiu buku le aliy.
LUK.22.14	Eme mada an ta aimon nyamon asahan badeh, Jises hawe oro lau tan manyah ado andri ndrahu nyamon. 
LUK.22.15	Ano iy tiye i toro anya, “Jo badeh, aseken handru ta aimon nyamon ta Pasoba dah hawe ado, tasah len hamon eme kameh, jo kameh bwese sisi-in tinan labai. 
LUK.22.16	Eme jo katiye tado kamwenen, jo kameh winiyan baimon nyamon na len ta Pasoba ja bwai; winiya le barasahan handru i san ta imek tek i nyara Pasoba, ma tondrok ta Kindrei winiya udu le buku doh.”
LUK.22.17	Ano, Jises kuhi bwiniu ma iy edeu wurah, ma edeu salom, ma tiye anya, “Ado ka-un waen dah, a sese le ki winiya ado. 
LUK.22.18	Jo katiye tado kamwenen, jo kameh winiyan ba-un ndraye buwa waen dah ja bwai, winiya le tondrok ta Kindrei barasahan.”
LUK.22.19	Ano Jises kuhi jabi ramen, iy edeu wurah i ta aliy, ano iy boso-ei i noro ma iy anya, “Idah odak amwenen. [Jo edeu ta aseben ado. Ado kamekes kandriyen ki le buku doh ta abudon jo.”
LUK.22.20	Ano i le buku aliy, nyamon ano badeh, iy kuhi bwiniu waen, ma iy anya, “Bwiniu waen dah, kalem ta sahou randra le ha-un ja, ta ndrayek amou ewek ta aseben ado mari.] 
LUK.22.21	Arile, ndramak ta edeu sa-oh tek hawe ta edeu jo i mine iri lau ndra-in badeh, manyah udu ndrahu nyamon hawek kada-ah. 
LUK.22.22	Nadu Ndramak Awas kameh imek, ya sahou ta aliy bwai. Idoh in hamon ta seken ta Kindrei le. Arile sisi-in laba tinan kameh i bwele-e ndramak iy ale atehei iy ili mine iri lau ndra-in.” 
LUK.22.23	Eme oro ndremenya oro ari ari ta are lau handru badu bolo oro doh kameh amekes lakou doh.
LUK.22.24	Ma hawe oro ale andres oro ta are handru kameh kudu bwele-en toro. 
LUK.22.25	Eme Jises tiye i toro anya, “Iri kabin tiri lau badu leheleh badeh, atondrok iri lau tiri, ya oro aseken iri lau doh badeh, kaloh oro kawas toro ta aseben oro. 
LUK.22.26	Arile, ado badeh, sala buku doh, ndri-iy labai. Are tado nyaran udu loken badeh, katehei iy keme andri ki buku nah bwisik. Ya are tado udu bwena badeh, iy kasahan lau ta gok kereu ndrokowa ado. 
LUK.22.27	Are lau handru udu bwele-en? Ndramak ta asiu aimon nyamon deh, bwe, iy lohowan ta atiye nyamon? Sebwe iy ndramak ta asiu dah, nadeh? Arile, jo udu ndrokowa ado badeh, i buku lohowan ta aseben le ado. 
LUK.22.28	Ado le badeh, baruwani jo bwe, ado an hawek na len mari jo bwese maha-an. 
LUK.22.29	I buku none tama le edeu boto-on dah, eme tek ta atondrok, ya na dah jo kameh edeu ewek tado atondrok i le buku aliy. 
LUK.22.30	Eme ya ado kameh aimon nyamon, ma a-un gwa ado bolo tondrok tek, ma ado kameh manyah ado koyeu hawek anuhun sahou toro boho kamen ma ronoh la-uh badu Isra-el.
LUK.22.31	“Ou ndranuhun Saimon! Tama Balik Satan badeh, ndrasumon ta none ado mari ta anya kapou ado, i buku ndramak ta bilin aleben buwa wit i len, ya munyahun i len. 
LUK.22.32	Arile, Saimon, jo badeh, ndrasolom ta budon handru tam sataku. Ya, i buku none ou taku, ou badeh, tubuni ndrinem ma ou aseben budon toro kirih ja.”
LUK.22.33	Arile, Pita tiye i ta Jises anya, “Laban, i buku none ou ala bolo kou kameh jo ewek hawem ale. Ya, i buku none ou amak kameh jo imek hawem ale.”
LUK.22.34	Eme Jises tiye i tan anya, “Pita, jo katiye tam kamwenen. Na ben kameh, kakaro baden bwe le, ou kameh besebes anya ou tanam jo bwe san tulusin.”
LUK.22.35	Ano Jises ndremenya oro anya, “Jo mene suni ado ala laleyah, ari kohoya ado bwe, ya ari kohei ndrahu luk tado bwe, ma hawe ari ku-i kati ado bwe. Eme ado andriliu ta ari lakou deh bwe?”
LUK.22.35	Eme oro anya, “Bo-oh, aso bandriliu ta ari lakou bo-oh.”
LUK.22.36	Ya eme iy tiye i toro, “Arile, na dah kameh i buku none ado ari kohei ta kohoya luk bwe, hawe i buku none ado ari kohoya ado ari kohei ta ndrahu lakou bwe badeh, ado kasilah tado ai. Ma i buku none ado ari samen ta bahun bwe, badeh, ado katehei lakou tado ki ta sisih ya ado kasih samen ta bahun ki tado. 
LUK.22.37	Sahou mene ndratorowenei anya;
LUK.22.37	‘Iri lau badeh, ondrek jo ale udu mada sahou, hawe iri lau ndra-in.’ 
LUK.22.37	Ya eme, jo katiye tado kamwenen, lakou doh kameh asahan handru eme badak. Handru labai sahou mene ndratorowenei asehek ta nyalak, ndrame bakep handru.”
LUK.22.38	Eme oro lau tan anya, “Laban, ou anyolom samen ta bahun la-uh asah idah.”
LUK.22.38	Eme Jises anya, “Badeh, ka-iy ai.”
LUK.22.39	Ya eme, i buku none Jises mene ndramekes ndra-au ndra-au badeh, iy hawe oro lau tan ala bwili ndrondro-ou Olip. 
LUK.22.40	Oro asos badeh, Jises tiye i toro anya, “Ado kasolom ki ta Kindrei ta ado, sataku sala bolo kandriyen ndra-in.” 
LUK.22.41	Ano iy ili bwena sese, reu i buku none ndramak korou bek kili kisos aliy en. Eme iy atehei bwili ndru-un i andri ma iy asolom anya, 
LUK.22.42	“Tama, na seken tam le, i buku none ou aseken badeh, ou andrei bwiniu ta isi udu hawek ki-iu. Arile idoh budon tek le, ou amekes ta seken tam le kasahan ki handru.” [ 
LUK.22.43+LUK.22.44	Eme angelo ari badu kandrah eme edeu boto-on i tan. Eme ya Jises atona maha-an laba tinan labai, ma iy asolom irih le gwek; ma sa-ar tan atekeu i buku none ndra i andri bada munyak.] 
LUK.22.45	Ano iy suri iy eme loke edek ili hawe oro lau tan atou oro ndramadin ta tikisiy. 
LUK.22.46	Eme iy anya, “Ado amadin ta sasah? Ado kamak kasolom ki ta Kindrei ta ado sataku sala bolo kandriyen ndra-in.”
LUK.22.47	Ya eme iy asehek sahou kahis le, Judas, iy badu hawe oro lau ma ronoh la-uh nane, in mwena ma hawe lau rayah an hamon tan, ame. Iy edek eme hawe Jises anya kedeu bohon ki boho Jises. 
LUK.22.48	Arile, Jises lelen iy anya, “Judas, ou kameh adeu bohom eme bohok ma leheya Nadu Ndramak Awas i mine iri lau ai?”
LUK.22.49	Eme oro lau ta Jises anyolom teheya lakou asahan badeh, oro tiye i ta Jises anya, “Laban, aso amundroh oro na samen ai?” 
LUK.22.50	Eme ari toro badeh, mwetehei ndranye bonyo-ou ta tinan tiri pris ari, salin iu.
LUK.22.51	Eme Jises eme anya, “Ka-iy ai!” Eme Jises atehei minen i ndranye bonyo-ou dah, ma ndranyen amwenen ja.
LUK.22.52	Ano Jises tiye i tiri tinan tiri pris, ma i tiri tinan ta atondrok asiu tinan ta Kindrei, ma hawe i tiri lau batun tiri Juwis nane, ame ta ateu iy dah anya, “Buku sah ya ado ame ma samen hawe kei? Jo ari lau ta amekes ramwes deh? 
LUK.22.53	Jo badeh, udu hawe ado na len mari udu asiu tinan ta Kindrei, eme ya ado bateu jo bwe. Arile, na ben dah, ben tado ta amekes ai, tasah boto-on ta balik badeh, ndratondrok kon ai.”
LUK.22.54	Iri tawi Jises ma andrei iy ili asiu ta tinan tiri pris. Ya Pita badeh, edek udu hamon tiri amunum le, udu ndra len eme. 
LUK.22.55	Ya iri badeh, tabani jih udu lohalak ta bolo kowah ta mada asiu doh, ma iri manyah anyan jih. Pita ili badeh, manyah udu hawe iri. 
LUK.22.56	Eme badih ari ta lohowan atou Pita udu lomada jih. Eme iy anyolom Pita amwenen badeh, iy anya, “Iy ndramak kede-eh mene, ari badu hawen adeh.”
LUK.22.57	Eme Pita besebes anya, “Ou badih den, jo tanan iy ndramak kede-eh bo-oh.”
LUK.22.58	Ano udu ja badeh, ndramak ari atou iy ja anya, “Ou kede-eh, ari badu hawe oro adeh.”
LUK.22.58	Eme Pita anya, “Aden, jo bwe!”
LUK.22.59	Ano udu luluwen badeh, ndramak ari ja anyolom Pita ili ili, ya iy seleyani Pita ma iy anya, “Iy ndramak kede-eh, badu hawen handru ma iy badu Galili.”
LUK.22.60	Eme Pita anya, “Aden, jo maliye sahou ou asehek badeh!” Pita asehek udu ndra bohon le badeh, kakaro eden. 
LUK.22.61	Eme ya Jises tubuni iy, ma anyolom amwenen eme ta Pita. Eme Pita bwetenei sahou ta Laban mene asehek i tan i buku doh: “Na ben dah kameh kakaro baden bwe le, ou kameh besebes anya ou tanam jo bwe san tulusin.” 
LUK.22.62	Eme iy iu ili len, ma iy eden andra-i labai.
LUK.22.63	Ya eme oro lau ta ndrokei atondrok Jises badeh, bobose iy ma a-um iy. 
LUK.22.64	Eme oro sawei madan na kolau ma oro andrek iy anya, “Abo, buku none ou propet, ou none tiye se, are lau a-um ou doh?” 
LUK.22.65	Ma hawe oro asehek sahou ndra-in solo-an i badan.
LUK.22.66	Kon aleu badeh, iri lau tinan atukum ame hawe iri tinan tiri pris, hawe iri lau ta leheya kandriyen tiri Juwis atukum iri ase. Ano iri lau tiyani Jises ili ales udu mada iri. 
LUK.22.67	Eme iri anya, “Abo, ou tiye taso! Ou kede-eh Krais deh?”
LUK.22.67	Eme Jises anya, “I buku none jo katiye tado kameh, ado anya jo wasai. 
LUK.22.68	Ma i buku none jo kandremenya ado ale kameh, ado winiyan basumon bohok bwe. 
LUK.22.69	Arile, na dah ma na len eme kameh Nadu Ndramak Awas kameh manyah udu loboho lim salin ta Kindrei iy boto-on labai.”
LUK.22.70	Eme iri ndremenya iy anya, “Sebwe, ou kede-eh Nadu Kindrei ai?”
LUK.22.70	Eme iy tiye i hamon i toro anya, “Ehe, ado tiye badeh, amwenen handru!”
LUK.22.71	Ano iri anya, “To anya kanuhun bohon ja ta sasah? To ndranuhun amwenen udu bohon kede-eh!”
LUK.23.1	Ano iri lau mari nane suri iri are loken ma tiyani Jises ili hawe Pailat, 
LUK.23.2	Eme iri tebeya wasai anya, “Ahi badeh, ndratakalahei ndramak dah amekes bolo manyah tiri lau tahi, bamwenen bwe. Iy tandra-un tiri lau badeh, sakeh luk sala ta Sisa, ma tiye anya, iy badeh, Krais, ma iy kabin tiri Isra-el.”
LUK.23.3	Ya eme Pailat ndremenya iy, “Ou kabin tiri Juwis neh?”
LUK.23.3	Eme Jises anya, “Ou ndrasehek badeh kabwai.”
LUK.23.4	Ano, Pailat aloh i tiri tinan tiri pris, hawe iri lau mari dah, anya, “Jo batou ari lakou ndra-in iy ndramak dah, amekes bo-oh!”
LUK.23.5	Arile, iri sarakau anya, “Iy mene leheya ma amekes ndrokowa iri lau badu loboho Judiya bado mwasin bwe. Iy mene amekes kandriyen doh, udu ndra Galili on, eme taku dah.”
LUK.23.6	Eme Pailat anuhun sahou nane iri asehek ano iy ndremenya iri anya, “Iy badu Galili handru?” 
LUK.23.7	Ya eme Pailat akohok tanan amwenen ta kon ta Jises. Kon ta Jises badeh, udu baha tondrok ta Herot, eme iy suni Jises ili hawe Herot. Tasah, na len doh badeh, Herot udu Jerusalem ale.
LUK.23.8	Eme Herot atou Jises badeh, iy sekesek handru, tasah iy ndra mwena mwena ndra-au badeh, aseken ta atou Jises labai. Iy mene anuhun le nyalan, eme na dah, iy anya kanyolom Jises kamekes kalem. 
LUK.23.9	Iy ndremenya Jises san solo-an solo-an, arile Jises andru-uk le. 
LUK.23.10	Eme iri lau tinan tiri pris, hawe iri lau ta leheya kandriyen tiri Juwis adek ame mirihik asehek sahou boto-on i bada Jises. 
LUK.23.11	Ano Herot hawe oro lau ta bahun tan bobose iy, ma atehei kolau moroyan i la-un, ma suni iy i hamon hawe Pailat ja. 
LUK.23.12	Na len bwena ndra-au, Herot uru Pailat badeh, ndrokowa uru udu aliy, arile na le len dah, badeh, uru ndra kawas ja.
LUK.23.13	Ano Pailat luhi iri lau hawe iri tinan tiri pris, ma hawe iri lau ta atondrok, hawe iri mari, ame. 
LUK.23.14	Ya eme iy tiye i tiri anya, “Ado tiyani ndramak dah eme, ado anya iy badeh, amekes bolo ndrokowa iri lau andra-i. Udu mada ado nane ndra-au badeh, jo batakalahei ari lakou ndramak dah, amekes andra-i, i buku none ado mene asehek, bwe. 
LUK.23.15	Ma Herot ale batakalahei ari lakou iy amekes andra-i bwe le. Ya eme ado anyolom, iy suni iy eme hamon ja dah. Iy winiyan bamak laleyah bwe, tasah iy bamesekei ari lakou bandra-i bwe. 
LUK.23.16+LUK.23.17	Ya eme, idah kameh jo tiye iri lau ta bahun tek amekes isi i badan, ano iy bara-au.”
LUK.23.18	Arile, iri mari sarakau i le rasan anya, “Kadai iy, kadai iy! Ya karuwani Barabas keme hawe ahi!” 
LUK.23.19	Barabas in bolo kou mene badeh, iy ta amekes bahun udu bolo kon tinan, ma hawe idi ndramak amak.
LUK.23.20	Eme Pailat tiye i toro ja anya, “Katolowei Jises ki-iu ai?” 
LUK.23.21	Arile, iri aloh ma sarakau anya ja, “Katahi iy ki bada kei tondreh! Katahi iy ki bada kei tondreh!”
LUK.23.22	Ano i san tulusin ja iy tiye: “Buku sah handru, saba lakou ndra-in handru iy mesekei? Ndramak dah bamesekei se ari lakou bandra-i bwe, ya iy kimek laleyah ai? Eme idah kameh oro lau ta bahun tek ubwi iy ano iy bara-au.”
LUK.23.23	Arile, iri arah ma tiye sahou boto-on anya, “Katahi iy ki bada kei tondreh!” Eme ma abadok i tiri ai. 
LUK.23.24	Eme Pailat in hamon ta boho iri ma tiye ta Jises badeh, kadai iy. 
LUK.23.25	Ya eme iy ruwani Barabas mene amekes bahun udu kon tinan, ma idi ndramak badeh, udu bolo kou eme len. Ano iy atehei Jises ili mine iri, ma iri amekes sasah na seken tiri ai.
LUK.23.26	Eme iri lau ta bahun badu Rom sirini Jises ili le badeh, iri ndruni ndramak ari nyaran Saimon badu kon Sairini. Iy edek udu kon munyak tinan eme. Eme iri tawi iy, atehei kei tondreh i kasen ma iy bwese udu hamon ta Jises. 
LUK.23.27	Na bolo len doh badeh, iri lau mwan ma badih solo-an solo-an labai adek an hamon ta Jises. Ma hawe iri badih solo-an aden ma taya ndranye Jises. 
LUK.23.28	Eme Jises tubuni iy ma tiye i toro anya, “Ado badih badu Jerusalem, ado saden ndranyek; ado kaden ndranye ado le, hawe nadu ado oro. 
LUK.23.29	Tasah, udu bolo maha-an doh, eme kameh iri tiye anya, ‘Iri badih kis, hawe iri badih bato-ou nah bwe, hawe iri badih ta asus nah bwe kameh ado mwasin ja tiri ala nah udu aliy.’ 
LUK.23.30	Tasah, na bolo len hamon doh kameh iri lau badu Israel tiye i tiri mandrei anya,
LUK.23.30	‘Ado katohou kame bwele-e aso!’
LUK.23.30	Ma hawe tiye i ta bwilin ndrondro-ou anya,
LUK.23.30	‘Ado tubuluhi aso ma katone aso ta lakou ndra-in doh!’ 
LUK.23.31	Iri kameh amekes lakou doh, eme badak. Ya jo kameh i buku kei nyamanyak. Ya i buku none len ndra-in handru keme kameh, ado kameh i buku kei sana-an.”
LUK.23.32	Eme uru lau la-uh ndra-in ta tebelese badeh, sariye uru ala ta adeu uru ala bada kei tondreh ale. 
LUK.23.33	Eme iri asos kon aloh, “Bwisi bar ta ndramak.” Eme iri atahi Jises i bada kei tondreh. Ma hawe atahi uru lau ma la-uh nane ale. Eme, iy ari udu loboho lim salin ta Jises, ya ari badeh, udu loboho lim kamweu. 
LUK.23.34	Eme Jises tiye anya, “Tama, ou mani kandriyen ndra-in toro, tasah oro bala tana oro sasah oro amekes dah bwe.” Eme oro lau ta bahun atehei kolau tan i andri, ma oro amekes laki ta aliy, ta andrei kolau tan i le winiya oro.
LUK.23.35	Iri lau mari badeh, anyolom Jises, ya iri lau ta atondrok badu Juwis badeh, bobose iy anya, “Iy badeh, aseben iri lau rayah oh; ya abo, i buku none iy anya iy Krais handru, Kindrei suni iy; kanone iy kasebenei iy le amwenen se.”
LUK.23.36	Eme ya iri lau ta bahun ame bobose iy ale. Ma iri adeu waen titi-in i tan, 
LUK.23.37	ma iri anya, “Buku none ou kabin tiri Juwis handru eh, ou none sebenei ou le se!”
LUK.23.38	Ya sahou tanan ari badeh, torowenei udu bwele-e batu Jises tiye i buku doh: “Idah Kabin tiri Juwis”
LUK.23.39	Eme ndramak ndra-in ari udu ta kei tondreh mirihik tan nane asehek sahou ndra-in i ta Jises anya, “Ou kede-eh Krais, bwe nadeh? Ou sebenei ou, ma hawe aru ah!”
LUK.23.40	Arile, ndramak ari udu bilisiu badeh, ibolosen i tan anya, “Ou kede-eh, banoh Kindrei bwe nadeh? Ou badeh, bwese maha-an i le buku iy kede-eh! 
LUK.23.41	Talu bwese maha-an dah, amwenen ai, ta lakou talu amekes, arile iy badeh, bamekes se ari lakou bandra-i bwe.”
LUK.23.42	Ano iy tiye i ta Jises anya, “Jises, i buku none ou ame hamon, ma boto-on tam atondrok kon mari, ou samani jo.”
LUK.23.43	Eme Jises tiye i tan, “Jo katiye tam kamwenen handru en, na le dah kameh, ou ado hawek ado kon mwasin udu kandrah.”
LUK.23.44	Eme, an eme udu le alih badeh, lulik tubuluhi kon marakon udu gwek winiya mada an taloh na beyeh. 
LUK.23.45	Ma an banya bwe. Eme ma kolau ta aturuk madasan ta asiu tinan ta Kindrei badeh, atarah i le ma lusi. 
LUK.23.46	Eme Jises aloh bohon i loke, anya, “Tama! Jo atehei kohak handru ewek minem.” Iy tiye sahou doh ano le badeh, kohan ano ma iy imek.
LUK.23.47	Eme ndramak ari tinan ta bahun anyolom lakou nane doh asahan badeh, iy atudun nyara Kindrei ma anya, “Handru labai, ndramak kede-eh, mwasin labai ta mada Kindrei.” 
LUK.23.48	Ya eme iri lau mari anyolom lakou marakon doh badeh, ndrine iri tikisiy andra-i labai, ma mine iri i ade iri, hawe kandru iri i andri, ma iri adek au. 
LUK.23.49	Arile, oro are tanan iy, hawe oro badih mene an hamon tan ado ndra Galili ame badeh, ales ado len anyolom lakou mari doh asahan.
LUK.23.50	Ya eme ndramak ari badu hawe iri kansol nyaran, Josep badeh, ndramak ari mwasin handru ta mada Kindrei. Iy badeh, badu kon ari iri aloh Arimateya udu bolo kon loboho Judiya. 
LUK.23.51	Ya iy mene basekesek ta budon tiri mene amekes i bada Jises bwe. Ma hawe iy udu le, abe-en tondrok ta Kindrei kasahan. 
LUK.23.52	Eme iy ili hawe Pailat ta ndremenya bada kei. 
LUK.23.53	Ano iy eme kuhi bada kei eme andri, su-i iy na kolau ra-ei belen, ma atehei iy i munu bek ari, ndrasaniy bwena, ya lau bala aliy bwe le. 
LUK.23.54	Idoh badeh, asahan na len ta alokou len ta amunyau, anya kasahan ai.
LUK.23.55	Eme oro badih mene ado hamon ta Jises ado ndra Galili ame badeh, an hamon ta Josep ala anyolom munu bek nane, hawe anyolom lowosa iy i bolon i andri i buku sah. 
LUK.23.56	Ano oro au ala kon anyas ndrelekei hawe suluw ta amekes ki badan. Arile, oro amunyau na len ta amunyau in hamon ta batanau ndratiye.
LUK.24.1	Len ta amunyau ano, ya ma ndra wahun ta len ma bwena ta wik ari ja, oro badih mene andrei ndrelekei hawe suluw, oro mene amekes badeh, oro ala mada lek. 
LUK.24.2	Oro ala badeh, anyolom bek ta mada lek ndratundruwiy ndra len. 
LUK.24.3	Eme oro ala bolon badeh, oro banyolom Laban Jises bare aliy bwe. 
LUK.24.4	Eme ya oro lomondra solo-an solo-an ta aliy le badeh, oro anyolom lau la-uh asini awin lomadan labai i buku kalik ame ales are ka-u oro. 
LUK.24.5	Eme oro badih dah, anoh labai badeh, oro aluh ala andri bada munyak. Eme uru lau ma la-uh dah, tiye i toro anya, “Ado anya kame kanyolom ndramak mulin udu ndrahu lau amak dah ta sah? 
LUK.24.6	Ado ndramani sahou mene iy tiye tado udu Galili ja? Iy bado dah bwe; Iy ndramak ja! 
LUK.24.7	Nadu Ndramak Awas mene atehei iy i mine iri lau ndra-in ta karei ma lomondra ndra-in, ya iri atahi iy i bada kei tondreh, ma iy imek. Ya eme na len taloh ja badeh, iy ndramak ja ndrame loken.” 
LUK.24.8	Ano badeh, oro baralomondrani ai.
LUK.24.9	Ano oro ado mada lek ame hamon badeh, oro asehek i toro lau ta Jises ma ronoh ari hawe asehek i tiri lau rayah ja. 
LUK.24.10	Oro badih nane badeh, Mariya Makdala, Jo-ana hawe Mariya tine Jemis ma hawe oro lau rayah are hawe oro asehek nyala oro aposel. 
LUK.24.11	Arile, oro batehei budon toro handru bala ta sahou toro badih nane bwe, tasah oro anya sahou toro badeh, ari moson bwe. 
LUK.24.12	Ya eme Pita suri iy ma sakaliye ili mada lek. Eme iy aluh anya kanyolom kili badeh, atou le kolau le udu api. Ya eme iy eme len badeh, lomondra i tan le, ta lakou nane asahan dah.
LUK.24.13	Eme na le len doh badeh, uru lau ta Jises la-uh badeh, adek ado san ala kon Ema-us. San doh, udu Jerusalem ili Ema-us badeh, i buku none kilomita ronoh ari. 
LUK.24.14	Uru adek san asehek nyala lakou mari mene ndra-au. 
LUK.24.15	Uru asehek nyala uru ala le, eme Jises asahan hawe uru. 
LUK.24.16	Arile, uru baseleyani se iy bwai.
LUK.24.17	Eme iy tiye i turu anya, “Ah asehek nyala ah ta sasah nane adek san dah?” Eme uru ado rasi, ma mada uru i andri ta tikisiy. 
LUK.24.18	Eme iy ari nyaran Kliyopas anya, “Ou dah, lau badu leheleh barame Jerusalem ai, ya ou tanam lakou mari mene asahan doh bwe?”
LUK.24.19	Eme iy anya, “Saba lakou asahan deh?”
LUK.24.19	Eme uru anya, “Aru badeh, asehek nyala Jises badu Nasaret. Iy badeh, propet. Iy asehek sahou badeh, sahou tan nyarahan labai, ma iy badeh, udu mwasin labai udu mada iri lau mari, ma udu mada Kindrei, ta bolo lahou tan mari iy amekes. 
LUK.24.20	Eme ya iri tinan tiri pris tahi, ma hawe iri lau ta atondrok ahi, atehei iy ili mine iri lau ta bahun badu Rom, ma atahi iy i bada kei tondreh. 
LUK.24.21	Arile, ahi badeh, abudon boto-on tan anya, iy le kameh winiyan sebenei iri lau badu Isra-el ado mwasin. Ya eme idah, i bada len taloh ai, ta lakou mari mene asahan. 
LUK.24.22	Ma laba tinan ja badeh, oro badih rayah badu hawe aso badeh, mesekei boho aso asak handru ta aliy. Oro badeh, ala mada lek na mandraben nane anya katou iy, 
LUK.24.23	arile oro batou iy bado aliy bwe. Eme oro ame badeh, tandra-un nyala aso mari ta aliy, ma oro tiye badeh, anya oro atou oro angelo ale. Ya eme oro angelo tiye i toro anya, ‘Jises ndramak ja.’ 
LUK.24.24	Eme oro lau taso rayah ja ala atou, i le buku aliy. I buku none oro nane ndrasehek, oro banyolom iy bwe.”
LUK.24.25	Eme iy tiye turu anya, “Ah badeh, ndra bwe oh, ma ndrine ah badeh, edek amunum labai ta budon handru ta lakou mari mene iri propet asehek! 
LUK.24.26	Idoh mwasin o? Ta Krais mene bwese maha-an doh, ya eme iy winiyan ili bolo lomadan tan.” 
LUK.24.27	Eme iy asehek nyala lakou mari udu bolo sahou ta Kindrei i turu aleu labai, udu ndra kabatana Moses hawe tarou tiri propet, ano i turu.
LUK.24.28	Ya eme oro adek ame mirihik ta kon nane oro anya ka aliy badeh, Jises edek ales ili. 
LUK.24.29	Arile, uru anya, “Ei, ou anya a heh? Ou amadin hawe aru na ben dan op, mirihik kon eben ai.” Eme iy eme hamon hawe uru.
LUK.24.30	Eme Jises manyah hawe uru udu andri ndrahu nyamon badeh, andrei jabi ramen ma edeu wurah i ta aliy. Ano iy boso-ei ma edeu i nuru. 
LUK.24.31	Eme mada uru aleu, ma uru baraseleyani iy ai. Arile, bwe adeh, iy ndramai ta mada uru ai. 
LUK.24.32	Eme uru asehek i turu ari ari anya, “Sahou tan doh mene adeh, mesekei aru abadok ma sekesek adeh! Na len mene, iy edek san hawe talu asehek sahou mari badu bolo sahou ta Kindrei aleu eme ta talu.”
LUK.24.33	Eme uru suri uru suwi suwi ala Jerusalem. Eme uru ala badeh, ndruni oro lau ma ronoh ari ta Jises hawe lau rayah are hawe oro atukum. 
LUK.24.34	Eme oro anya, “Handru! Handru! Laban badeh, ndramak handru, iy badeh, asahan hawe Saimon.” 
LUK.24.35	Ano, uru asehek nyala oro ta lakou mene asahan san hawe uru, ma hawe asehek ta uru seleyani iy badeh, udu ta iy abo-os jabi ramen.
LUK.24.36	Ya oro asehek nyala lakou doh, kahis le badeh, Jises amwenen asahan alih toro ma tiye anya, “Mondrei kudu hawe ado.”
LUK.24.37	Eme oro anya oro atou nyam, ma oro toroyani oro. 
LUK.24.38	Eme iy tiye i toro anya, “Ado anoh ta sasah? I buku sah ado lomondra i buku badeh, udu ndrine ado? 
LUK.24.39	Ado kanyolom minek hawe katik se. Idah jo amwenen! Ado ndranyolom ai, nyam badeh, salin bwe, hawe iy ndruwin le, arile jo badeh, salik udu aliy.”
LUK.24.39	[ 
LUK.24.40	Eme iy tiye sahou ano badeh, iy leheya minen hawe katin i toro.] 
LUK.24.41	Eme ya oro sekesek tinan labai, arile budon toro androndro kahis le. Eme iy ndremenya oro anya, “Ado ari nyamon udu aliy deh bwe?” 
LUK.24.42	Eme oro atehei ni sese ame-er i minen, 
LUK.24.43	eme iy aimon udu mada oro mari atou.
LUK.24.44	Eme iy tiye i toro, “Lakou mene jo udu ndra hawe ado asehek anya: Lakou mari mene ndratorowenei ta nyalak udu bolo tarou malen ta Moses, hawe udu bolo sahou tiri propet, ma hawe udu bolo buk Wari badeh, ndrasahan handru na dah.”
LUK.24.45	Ano, iy amekes budon toro aleu na sahou ta Kindrei. 
LUK.24.46	Eme iy asehek i toro anya, “Sahou mene ndratorowenei asah i buku doh: Krais badeh, bwese maha ma iy imek, ya na len taloh ja kameh iy amak ja. 
LUK.24.47	Ma sahou ta nyalan winiyan tubuni ndrine iri, ma winiyan sikine karei ma lomondra ndra-in tiri iu, na boto-on ta nyaran. Ya sahou doh badeh, kudu Jerusalem bwena, ano katiye kili bolo kon munyak tinan mari. 
LUK.24.48	Ya ado dah badeh, kasehek nyala lakou mari ado ndratou dah. 
LUK.24.49	Ma jo kameh suni lakou mene tama mene tandrakan ta aliy badeh kameh, ewek tado. Arile, ado badeh, kado kon tinan dah kado, winiya ado le barakohok boto-on badu loken.”
LUK.24.50	Ano iy kuhi oro ame len ta kon tinan ame loboho Betani, ano iy suruni minen i loke ma iy edeu nyosowan i la-u oro. 
