MAT.1.1	Vitsa katar o Jesus Kristo, šiav katar o David, šiav katar o Abraham. 
EPH.4.17	Eta so me phenav ande o anav le Baresko, si ke tume či mai trubul te phiren sar kudala kai či patian, kai phiren pala le ginduri kai traden nikai. 
EPH.4.18	Lengi godji kalili, von si streia ka o traio le Devlesko, kai nai o patiamos ande lende, pala ke si zuralo lengo ilo. 
EPH.4.19	Xasarde sa le ginduri, von thode pe te rimon pe, te keren sa xanžvale sako fialo so nai vužio.
EPH.4.20	Numa tume, nai kadia ke tume sikilian pa o Kristo! 
EPH.4.21	Čačes tume ašundian pa leste, ai sikilian o čačimos kai si ande o Jesus sar kristianuri. 
EPH.4.22	Tume trubul te len pe tumende tumaro purano zakono. Vo sikavelas tumenge sar traisardian angla savořende — kodo purano zakono kai kerniol tumen te ningeren tumen te xasavon, 
EPH.4.23	t'aven neviarde ande o duxo tumaria godiako, 
EPH.4.24	ai te thon pe tumende o manuš nevo, kerdo ande o Del ande jekh kris ai jekh svintsimos kai del o čačimos.
EPH.4.25	Sa anda kudia, muken o xoxaimos, ai ke sako anda tumende del duma sar si o čačimos ka pesko vortako; ke ame sam astarde jekh ka o kaver. 
EPH.4.26	T'avela tumen xoli, na keren bezex; ke o kham te na perel tele pe tumari xoli, 
EPH.4.27	ai na muken t'avel o beng. 
EPH.4.28	Kudo kai čorelas te na mai čorel; numa mai mišto te kerel butji te kerel anda peske vast so si mišto, te šai del kudales kai trubul les. 
EPH.4.29	Te na anklel anda tumaro mui či jekh vorba nasul, numa feri uni laše vorbi, te vazden ai te den jekh mištimos kudalenge kai ašunen. 
EPH.4.30	Na nekezin o Svinto Duxo le Devlesko, pala savo tume san astarde le dieseske kai avena skipime. 
EPH.4.31	Ke sako vuřitsimos, sako buntuimos, sako phabardi xoli, sako tsipimos, sako xoxaimos, ai sako fialo nasulimos, te žialtar maškar tumendar. 
EPH.4.32	T'aven laše jekh karing kavreste, miloso, te jertin jekh avreske, sar o Del jertisardias tumenge ande o Kristo.
EPH.5.1	Keren sar kerel o Del, sar le glati kai vo kamel; 
EPH.5.2	ai phiren ande o mištimos, sar sas o Kristo, kai kamlias amen, ai kai dias pe vo ka o Del pala amende sar jekh dinimos kai khandel šukar.
EPH.5.3	Ke e kurvetsia, o bi-vužio, ai o xanžvalimos te na inke t'aven phende maškar tumende, kadia či trubul le svintson. 
EPH.5.4	Ke te na ašunen či vorbi kai nai laše, či divano dilo, či asaimos, dieli kai si kaver fialo sar o mištimos; ke t'ašunen mai mišto dragosti. 
EPH.5.5	Ke, te žianen mišto, či jekh kurvari, vai jekh kai nai vužio, vai xanžvalo, (o xanžvalo si sar kudo kai patial ande le staturi,) či avela len khanči ande e amperetsia le Kristoski ai le Devleski.
EPH.5.6	Ke khonik te na diliarel tumen intaino katar o divano; ke si pala kudala dieli ke e xoli le Devleski avel pe le šiave le buntuimaske. 
EPH.5.7	Te na avel tumen či jekh partia lensa. 
EPH.5.8	Angla savořende tume sanas tuniariko, ai akana tume san vedaria ande o Baro. Phiren sar glati la vedariake! 
EPH.5.9	Ke e vedaria del fruta, o lašimos e kris ai o čačimos. 
EPH.5.10	Len sama so si drago le Bareske; 
EPH.5.11	ai na len partia ka le butia kai si ande o tuniariko, numa mai mišto šiuden le. 
EPH.5.12	Ke si lažiav te phenas so von keren ande o garaimos; 
EPH.5.13	numa sogodi si dino strafo sikadiol katar e vedaria, ke sogodi dikhiol si katar e vedaria. 
EPH.5.14	Sa anda kudia si phendo:
EPH.5.14	Ušti, tu kai soves,
EPH.5.14	Ankli avri katar le mule,
EPH.5.14	Ai o Kristo strefiala tut.
EPH.5.15	Len tume sama sar tume keren, na sar le dile, numa sar le godiaver; 
EPH.5.16	keren mištimos sako data kai šai daštin, ke le diesa si nasul. 
EPH.5.17	Sa anda kudia te na aven prosti, numa te hatiaren so kamel o Baro.
EPH.5.18	Na mation la moliasa: si o čořimos, Aven, aver fialo, pherde duxo; 
EPH.5.19	Ninkeren tume le psalmonsa, le gjiliansa, ai le kantikonsa duxoske, gjilaben ai vestin ande sa tumaro ilo le luvudimata le Bareske; 
EPH.5.20	Naisin sakda anda sako diela la Devles le Dades, ande o anav amare Baresko o Jesus Kristo,
EPH.5.21	Řebdin jekh le kavreske ande e dar katar o Jesus Kristo.
EPH.5.22	Žiuvlia, patian tumare řomen, sar t'avel o Baro; 
EPH.5.23	ke o řom si o birevo la řomniako, sar ke o Kristo si o birevo la Khangeriako, kai si lesko stato, ai kai vo si lesko Skipitori. 
EPH.5.24	Eta, sar e Khangeri řebdil le kristos, vi e řomni trubul te řebdil pe řomes ande sako diela.
EPH.5.25	Řom, t'aven tumenge drago tumare řomnia, sar o Kristo si leske drago e Khangeri, ai vo dias pe pala late, 
EPH.5.26	eta te svintsil la katar e vorba, pala ke vužiardias la katar o bolimos le paiesko, 
EPH.5.27	eta te sikadiol angla leste kudia Khangeri vestime, bi-makhli, bi semnosko po mui, numa svinto ai bi došako. 
EPH.5.28	Kadia trubul ke le řom t'aven lenge drago lenge řomnia sar kamen penge staturi. Kudo kai si leske drago leski řomni si vo peske drago. 
EPH.5.29	Ke šoha khonik či vuřitsil pesko mas; numa pravarel les ai lel sama lestar, sar o Kristo kerel la Khangeriake, 
EPH.5.30	Ke ame sam sa ande jekh stato. 
EPH.5.31	Sa anda kudia o manuš mukela peske dades ai peska da, ai astardiola ka peski řomni, ai le dui avena ferdi jekh mas 
EPH.5.32	Kadia čudenia si bari; me phenav ke kadia kerel o Kristo ai e Khangeri. 
EPH.5.33	So mai si, ke sako anda tumende t'avel leske drago leski řomni sar si drago peske, ai ke e řomni te del pativ pesko řom.
EPH.6.1	Glati, patian o mui tumare niamongo, sar si o Baro, ke kadia si vorta. 
EPH.6.2	 si e mai angluno poronka kai phenel so si t'avel mai angle, 
EPH.6.3	.
EPH.6.4	Ai tume, dada, na xoliaren tumare glaten, numa len sama lendar te lašiaren le ai te sikiaren le sar si o Baro.
EPH.6.5	Služi, patian ka tumare bare kathe pe phuv la darasa ai le izdraimasa, ande e prostia tumari ileski, sar o Kristo, 
EPH.6.6	na ferdi angla lenge jakha, sar t'aven drago le manušenge, numa sar služi le Kristoske, kai keren laše ilesa so kamel o Del. 
EPH.6.7	Služin le sa tumare ilesa, sar ke te služin le Bares ai na le manušen, 
EPH.6.8	žianen ke sako, te si řobo, te si slobodo, lela katar o Baro sar vo kerela mištimos.
EPH.6.9	Ai tume, birevia, keren sa kadia karing lende, ai na daraven len, žianen ke vo kai si lengo birevo ai vi tumaro si ande o čeri, ai ke vo del kris sakoneske sar jekh fialo.
EPH.6.10	So mai si, zuriavon ande o Baro, ai katar leski bari zor, 
EPH.6.11	Thon pe tumende sa le armi le Devleske, eta te ninkeren mišto pe le xitreni le bengeske. 
EPH.6.12	Ke ame či maras ame pe le manuš, numa pa le amperatsi opral, pe le bare, pe le putiaria la lumiake kali, pe le duxuri nasul kai si ande o čeri. 
EPH.6.13	Sa anda kudia, lel sa le armi le Devleske, eta te šai daštin te ninkeren ande le nasul dies, ai te ninkeren tume pe punřende pala ke kerdian sa.
EPH.6.14	Ninkeren zurales: t'avel tumen pe le prašave o čačimos sar prastia; Le le tsalia sastrune la krisake; 
EPH.6.15	Thon papuči pe tumare punře o gribimos kai del e Laši Viasta la patiaki; 
EPH.6.16	Ningeren angla tumende le fedevia le patiamaske, savensa tume šai mudaren sa le sulitsi pařake katar o Xitro; 
EPH.6.17	len vi e stadi sastruni le skipimaski, ai e xanřo le Duxoski, kai si e vorba le Devleski. 
EPH.6.18	Keren ande sa e vramia katar o Duxo sako fialo řudjimos ai mangimos. Len sama kudia sa zuralimasa, ai řudjin sa le narodoske le Devlesko 
EPH.6.19	řudjin mange, eta ke t'avel mange, kana putrav o mui, te phenav zorasa te žianen e čudenia katar e Laši Viasta,
EPH.6.20	kaske me sim ambasadoro ande le lansuri, ai ke me dav duma zurales sar trubul te dav duma.
EPH.6.21	Eta ke vi tume, te žianen so si pe mande, so me kerav, o Tixiko, o mai drago phral ai o čačo ministero ande o Baro, phenela tumenge sa. 
EPH.6.22	Tradav les tumenge naročno karing tumende, ke te žianen tume sar ame sam, ai te das mai but zor ande tumare ile.
EPH.6.23	Ke e patia ai e mila le patiamasa t'aven dine ka le phral katar e partia le Devleski ai katar o Rai o Jesus Kristo! 
EPH.6.24	Ke o mištimos t'avel sa kudalensa kai si lenge drago amaro Baro o Kristo katar jekh kamimos kai či rimol pe.
PHP.1.1	Lil katar o Paul ai o Timoteo, služi katar o Jesus Kristo,
PHP.1.1	ka sa le svintsi ande o Jesus Kristo kai si ande o Filipi, ka le bare řasa ai ka le diakonuri: 
PHP.1.2	ke o mištimos ai e patia t'aven tumenge katar o Del amaro Dad ai katar o Rai o Jesus Kristo!
PHP.1.3	Me naisiv muře Devles sako data kai so dav ma godji tumende 
PHP.1.4	či mukav ma, ande sa muře řudjimata tumenge, te sikavav muři veselia 
PHP.1.5	pala e partia kai tume len ka e Laši Viasta, de katar o mai angluno dies ži akana. 
PHP.1.6	Me sim siguro ke kudo kai lias pe ande tumende kudia laši butji kerela la mai mišto pe o dies katar o Jesus Kristo. 
PHP.1.7	Vorta si kadia ke me dav ma godji anda tumende, ke me ninkerav tumen ande muřo ilo, te si ande muře phanglimata, te si kana čačiuvav ai phenav pa e Laši Viasta, tume kai san mansa sa ande kudo mištimos. 
PHP.1.8	Ke o Del si mange marturo ke tume san mange drago sa le řezgimasa ande o Jesus Kristo.
PHP.1.9	Ai so me mangav ande muře řudjimata, si ke tumaro kamimos te butiol but mai but te žianen ai t'avel tumen sa e godji 
PHP.1.10	te len sama so si le dieli mai laše, eta tume t'aven vuže ai bi došake ka o dies le Kristosko, 
PHP.1.11	pherde fruti la krisake kai si katar o Jesus Kristo, ka o vestimos ai o luvudimos le Devleske.
PHP.1.12	Ke kamav tume te žianen, phralale, ke so areslias mange sas mai mišto te žal mai angle e Laši Viasta. 
PHP.1.13	Čačimasa, sa le ketani ai le kaver, žianen ke si pala o Kristo ke me sim ande kadala šele, 
PHP.1.14	ai pašte sa le phral ande o Baro, si len zor katar muře šele, si len mai but zor te phenen bi darako e vorba. 
PHP.1.15	Uni, čačes, den duma pa o Kristo ke kamen te len ai katar duxo čingarako; numa le kaver phenen pa leste lašimasa. 
PHP.1.16	Kudala keren kamimasa, ke žianen ke me sim thodino tela e sama katar e Laši Viasta, 
PHP.1.17	žikin ke kudala, rimome katar duxo čingarako, phenen pa o Kristo vorbensa kai nai čače ai le gindosa te vazden pe mande uni nekazi ande muře šele.
PHP.1.18	Khanči! Te si kadia, ke lenge ginduri si nasul vai laše, o Kristo si mai but phendo; me veseli ma, ai mai veseliva ma. 
PHP.1.19	Ke me žianav ke kudo kerela ke skipiva ma, anda tumare řudjimata ai če ažutimos kai thol ma o Duxo katar o Jesus Kristo, 
PHP.1.20	sar me ažiukerav ai ažiukerava ke či avela mange lažiav anda khanči, numa ke, akana sar sakda, o Kristo avela vestime ande muřo stato pherdo čačimasa, t'avel katar muřo traio, t'avel katar muři martia; 
PHP.1.21	ke o Kristo si muřo traio, ai e martia si mange jekh nirimos. 
PHP.1.22	Numa te trubul pala muři butji ke te traiv ande muřo mas, me či žianav so šai te phenav. 
PHP.1.23	Me gribiv ma pa le dui riga: me kamav te žiavtar ai t'avav le Kristosa, so si o mai lašio; 
PHP.1.24	numa pala tumende musai mange te bešav tumensa ande o mas. 
PHP.1.25	Ai me sim siguro, me žianav ke me bešava ai ke me bešava tumensa, te žian tume mai angle ai t'avel tumen veselia ande o patiamos, 
PHP.1.26	eta ke, kana avava paša tumende, t'avel tumen ande mande jekh bari diela te vestin tume ande o Jesus Kristo.
PHP.1.27	Ferdi, phiren kadia t'aven harniči laše katar e Laši Viasta le Kristoski, eta ke, t'avela ke avav te dikhav tumen, t'avel ke či sim kothe, te ašunav ke phenen pa tumende te tume bešen zurales ande jekh ženo, maren tume sar jekh duxo pala o čačimos ande e Laši Viasta. 
PHP.1.28	Te na muken tume či jekh fialo te daran katar le dušmaia, so si lenge jekh semno ke xasavona, numa tumenge avela o skipimos; ai kudia katar o Del, 
PHP.1.29	ke vo jertisardias tumenge katar o Kristo, na ferdi te patian tume ande leste, numa te mai kjinuin leske, 
PHP.1.30	te ninkeren tume sa kudo marimos kai dikhlian ke ninkerdem ma, ai kai ašunen tumen akana ke mai si ma te ninkerav.
PHP.2.1	O traio Kristosa zuriarel tume, lesko kamimos vušarel tumen san tume ande jekh than le Svinto Duxosa ai si tumen dragostia ai lašimos jekh pe le kaver. 
PHP.2.2	Keren, me mangav tumen, t'avel muři veselia laši, t'aven sa jekh fialo, te avel tumen sa jekh kamimos, sa jekh duxo, sa jekh gindo. 
PHP.2.3	Na keren khanči katar o duxo rigate vai katar o intaino vestimos, numa muken tume prosti te dikhen pe le kaver sar t'aven tume mai tele katar le kaver. 
PHP.2.4	Ke sako anda tumende, te na lel sama feri katar so si lesko, te lel sama vi katar so si le kavresko. 
PHP.2.5	T'aven ande tumende le ginduri kai sas ande o Jesus Kristo,
PHP.2.6	savo,
PHP.2.6	si sar o Del,
PHP.2.6	numa vo či gindisailo ke trubul te rodel te thol pe te avel jekh fialo sar o Del,
PHP.2.7	numa vo šiudias pa peste, kai kerdilo sar sluga,
PHP.2.7	t'avel jekh fialo sar le manuš;
PHP.2.7	ai sikadilo sar jekh prosto manuš, 
PHP.2.8	vo korkořo kovlilo, vo patiaias ži ka e martia, ži ka e martia le trušuleski.
PHP.2.9	Sa anda kudia vi o Del vazdias les opre, ai dias les o anav kai si opral sa le anava,
PHP.2.10	eta ke ka o anav le Kristosko sako čang bangiol ande o čeri, pe e phuv ai tela e phuv,
PHP.2.11	ai ke sako šib puřil ke o Jesus Kristo si o Rai, pe o vestimos le Devlesko o Dad.
PHP.2.12	Kadia, muři kuči dragi, sa tume sakda patianas, keren butji te skipin tume darasa ai isdraimasa, na ferdi sar angla mande, numa mai but akana ke či sim kothe; 
PHP.2.13	Ke si o Del kai thodias ande tumende so kamen ai so keren, sar si leske drago.
PHP.2.14	Keren sa le dieli bi te bulguin ai bi te den pe godji, 
PHP.2.15	eta tume t'aven bi-došake ai vuže, šiave le Devleske bi-došale maškar jekh vitsa žiungali ai rimome, maškar save tume strefian sar jekh amblal ande e lumia, 
PHP.2.16	kana ningeren tume e vorba le traioski; ai me šai vesti ma, o dies katar o Kristo, ke či našlem intaino, či kerdem butji intaino.
PHP.2.17	Ai makar t'avela šiordo muřo rat pe o sakrifiso katar tumaro patiamos, me veseli ma, ai me veseli ma tumensa savořensa. 
PHP.2.18	Vi tume, sa kadia veselin tume, ai veselin tume mansa.
PHP.2.19	Me gindiv ma ande o Rai o Jesus te tradav tumenge sigo le Timoteo, eta t'avel vi mange mišto t'ašunav pa tumende. 
PHP.2.20	Ke nai khonik mansa kasa te hulavav muře ginduri, t'avel mange čačes pe o ilo sar tume san; 
PHP.2.21	sa kathe, čačes, roden so si lenge mišto, ai na le Jesus Kristoske. 
PHP.2.22	Tume žianen ke vo sas zumado, kai thodias pe te služil e Laši Viasta mansa, sar jekh glata peske dadesa. 
PHP.2.23	Me gindiv ma te tradav les tumende sar dikhava sar sim vai kai sim; 
PHP.2.24	ai me patiav ma ande o Baro ke vi me žiava tumende sigo.
PHP.2.25	Me gindi ma ke musai te tradav tumende muře phrales o Epafrodito, muřo vortako ande e butji ai ande o marimos, pa kaste tume tradian mange so šai trubul ma. 
PHP.2.26	Ke vo kamel te dikhel tumen savořen, ai vo sas nekežime ke tume ašundian lesko nasvalimos, 
PHP.2.27	Vo sas nasvalo, čačes, ai sa paša o merimos; numa o Del sas leske mila anda leste, ai na ferdi anda leste, numa vi anda mande, eta te na avel mange nekežimos pe o nekežimos. 
PHP.2.28	Me tradem les kadia sar mai sigo, eta ke tume te veselin tume kana dikhen les, ai t'avav vi me mai tsiřa nekežime. 
PHP.2.29	Len les le Baresa jekh intrego veselimasa, ai den pativ kasave manušen. 
PHP.2.30	Ke si pala e butji le Kristoski ke vo sas paša e martia, vo pašte dias pesko traio ke či sanas tume kathe te ažutin ma tume.
PHP.3.1	So mai si, muře phralale, veselin tume ande o Baro. Me či mukav ma te ramov tumenge sa jekh fialo, ai avela tume mai mišto. 
PHP.3.2	Len tume sama katar le žiukel, len tume sama katar le nasul butiara, len tume sama katar le falši šinde. 
PHP.3.3	Ke le šinde, ame sam, kai das le Devles amaro kulto katar o Duxo le Devlesko, kai ame luvudisaras amen ande o Jesus Kristo, ai kai či thas amaro patiamos ande o mas. 
PHP.3.4	Vi me, te kamavas, thavas muřo patiamos ande o mas. Te si varekon te kamel te thol pe te patial ande o mas, me šai daštiv mai but. 
PHP.3.5	Me, šindo o oxtoto dies, anda e vitsa o Israel, anda e kumpania katar o Beniamin, Hebreo arakhadilo katar o Hebreo; sar si o Zakono, Fariziano; 
PHP.3.6	zuralo ande o gindo, maravas e Khangeri; samas bi-došako, pala e kris le Zakoneski.
PHP.3.7	Numa kudala dieli kai sas mange te niriv, me dikhav pe lende sar xasarimos, pala o Kristo. 
PHP.3.8	Ai inke me dikhav sako diela sar xasarimos, pala o šukarimos kai si ma ande o Jesus Kristo muřo Baro, pala savo me sa muklem, ai me dikhav len sar čik, eta te niriv le Kristos, 
PHP.3.9	ai t'arakhen ma ande leste, na muřa krisasa, kudia kai avel katar o zakono, numa katar kudia kai si pala o patiamos ande o Kristo, e kris kai avel katar o Del pa o patiamos, 
PHP.3.10	eta te žianav le Kristos, ai e zor leske živindimaski, t'avel ma leske dukha, t'avav sar leste ande o merimos, t'aresav. 
PHP.3.11	Te šai daštiv, te živindiv anda le mule.
PHP.3.12	Nai inke ke me lem o prešo, vai ke me sim pria lašio; numa me našav, te zumavav te lav les, ke vi me sim lino katar o Jesus Kristo. 
PHP.3.13	Phralale, či miazol mange ke me lem les; numa me kerav jekh diela: bustrav so si palpale ai žiav karing so si angle, 
PHP.3.14	me našav t'aresav ande o gor, te niriv o prešo kai si o akharimos le Devlesko ande o čeri katar o Jesus Kristo.
PHP.3.15	Ame kadia kai sam sa lašio, t'avel ame sa kudo gindo; ai te si tume ande uni punturi jekh kaver gindo, o Del sikavela tumenge vi pe kudia. 
PHP.3.16	Numa, te phiras mai angle pe e vurma kai andias ame kathe.
PHP.3.17	Keren sa sar mande, phralale, ai thon tumaro dikhimos pe kudala kai phiren sar si sar amende. 
PHP.3.18	Ke si but kai phiren dušmaia pe o trušul le Kristosko, me butivar dem tumensa duma pa kudia, ai mai dav duma akana roimasa. 
PHP.3.19	Lengo getomos avela o xasarimos; len si le sar del lengo dji, von thon pengo vestimos ande so si lengo lažiav, von den pe godji ferdi ka le dieli la phuviake. 
PHP.3.20	Numa amaro foro amenge si ande o čeri, kai vi ažiukerel amen amaro Skipitori o Rai Jesus Kristo, 
PHP.3.21	kai pařuvela o stato le lažiavesko, te keren ande leste jekh stato vestime, katar e putiaria kai si les ande sa le dieli.
PHP.4.1	Sa anda kudia, muře kuč dragi ai muře pria kuč phralale, tume kai san muři veselia ai muři kurona, bešen kadia zurales ande o Baro, muře kuč dragi!
PHP.4.2	Me mangav e Evodi ai e Sintixi t'avel len jekh fialo gindo ande o Baro. 
PHP.4.3	Ai vi tu, čačo vortako, e, řudjiv tu t'ažutis le, von kai marde pe pala e Laši Viasta mansa, le Klementosa ai le kavrensa muře vortača ande e butji, kai lenge anava si ande e kliška le traioski.
PHP.4.4	Veselin tume sakda ande o Baro; mai phenav tumenge, veselin tume.
PHP.4.5	Ke tumaro guglimos te žianen les sa le manuš. O Baro si paše. 
PHP.4.6	Te na daran khančestar; numa anda sa le dieli keren te žianel o Del so trubul tumen katar le řudjimata ai le mangimata, te naisin les. 
PHP.4.7	Ai e patia le Devleski, kai si mai but sar sa le godia, arakhela tumare ile ai tumare ginduri ande o Jesus Kristo.
PHP.4.8	So mai si, phralale, ke sa so si čačo, sa so si pativalo, sa so si vorta, sa so si vužio, sa so si drago, sa so si vestime, ai sa so si harniko trubul te pheren tumare ginduri. 
PHP.4.9	So tume sikilian, lian ai ašundian mandar, ai so tume dikhlian ande mande, keren kadia. Ai o Del la patiako avela tumensa.
PHP.4.10	Me lem bari veselia ande o Baro anda sar ke tume neviardian tumare ginduri pe mande; tume mišto dian tume godji, numa naštinas te keren kudia angla savořende. 
PHP.4.11	Nai ke trubul man vareso ke me phenav kadia, ke me sikilem t'avel mange mišto sar me sim. 
PHP.4.12	Me žianav te traiv ande o kovlimos, ai me žianav te traiv ande o but. Ande sa ai kai-godi me sikilem t'avav pravardo ai t'avav bokhalo, t'avav ande so si but ai t'avav ande so si tsiřa. 
PHP.4.13	Me šai kerav sa katar kudo kai del ma zor. 
PHP.4.14	Numa tume mišto kerdian ke si tumen partia ande muřo nekazo.
PHP.4.15	Tume inke žianen, Filipianuri, anda o gor kai den duma pa e Laši Viasta, kana me gelemtar anda e Makedonia, či jekh Khangeri či gjinde mansa so von line ai so von dine. 
PHP.4.16	Tume ferdi dian, ke tume tradianas man ande e Tesaloniki, ai duvar, so šai trubulas man. 
PHP.4.17	Nai ke me rodav ferdi tumen te den ma podarki; numa me rodav but dobinda te dav tumen. 
PHP.4.18	Me sa lem, ai man si ma but; me sim pherdo mištimos, kai lem katar o Epafrodito so avilo tumendar sar jekh duxi kai khandel šukar, jekh sakrifiso kai o Del lel, ai kai si leske drago. 
PHP.4.19	Ai muřo Del dela tumen so trubul savořen sar si lesko barvalimos, veselimasa, ande o Jesus Kristo. 
PHP.4.20	Ka amaro Del ai Dad t'avel vestime berš beršestar! Amen!
PHP.4.21	Den pozdraimos sa le svintson ande o Jesus Kristo. Le phral kai si mansa den tumen pozdraimos. 
PHP.4.22	Sa le svintsi den tume pozdraimos, ai sar mai but kudala katar o kher o Tsesaresko.
PHP.4.23	Ke o mištimos katar o Rai Jesus Kristo t'avel tumare duxosa!
COL.1.1	Lil katar O Paul, apostolo katar o Jesus Kristo sar kamel o Del, ai o phral Timoteo, 
COL.1.2	ka le svintsi ai čače phral ande o Kristo kai si ande o Koloso; ke o mištimos ai e patia t'aven tumenge dine katar o Del amaro Dad!
COL.1.3	Ame naisaras sakda le Devles, o Dad amare Baresko o Jesus Kristo, ai ame či mukas ame te řudjisaras tumenge, 
COL.1.4	ašundiam tumaro patiamos ande o Jesus Kristo ai tumari mila sa le svintsonge. 
COL.1.5	E vorba le čačimaski katar e Laši Viasta avili e mai angluno data tumenge kerdias te žianen o ažiukerimos kai ši tumenge šinado kadia tumaro patiamos ai tumaro kamimos si pe tume ažiukeren kai si thodo rigate tumenge ande a čeri. 
COL.1.6	Vo si maškar tumende, ai ande sa e lumia; vo ninkerel e fruta, ai vo žial mai baro, sa vi si maškar tumende, de katar o dies kai tume ašundian ai žianglian o mištimos le Devlesko sar čačimos, 
COL.1.7	sar tume sikilian ai lian katar o Epafras, amaro drago vortako ande e služetsia, kai si amenge jekh čačo ministero ande o Kristo, 
COL.1.8	ai kai phendias amenge savo dragostia milako si ande tumaro duxo.
COL.1.9	Sa anda kudia ke vi ame, de katar o dies kai ame ašundiam, ame či mukas ame te řudjisaras le Devles tumenge, ai te mangas te pherel o Del tumen e godiasa te žianen so vo kamel, ande sa o godiaverimos ai hatiarimos kai del lesko Duxo, 
COL.1.10	te phiren vorta harniči ande o Baro ai t'aven leske dragi, tume kerena sako fialo laše butia ai žiana mai angle ande so tumen žianen le Devlesa, 
COL.1.11	zuriarde sako fialo katar leski zor vestime, kadia t'aven sakda ai veselimasa te ninkeren ai te ažiukeren. 
COL.1.12	Naisin le Dades, kai kerdias anda tumende harniči te len partia katar so ažiukeren le le svintsi ande e vedaria, 
COL.1.13	kai skipisardias amen katar e zor anda o tuniariko ai ningerdias ame ande e amperetsia le Šiaveski katar lesko kamimos, 
COL.1.14	ande kaste si ame o skipimos ai o jertimos le bezexango.
COL.1.15	Vo si o vobrazo le Devlesko kai či dikhiol, o mai angluno arakhado. 
COL.1.16	Ke ande leste si kerde sa le dieli kai si ande o čeri ai pe e phuv, so tume dikhen ai so či dikhen, putiaria duxoske, bare so porončin, rai bare. Sa si thodino lestar ai leske. 
COL.1.17	Vo sas angla savořende sa le dieli, ai sa le dieli bešen ande leste. 
COL.1.18	Vo si o šero katar o stato kai si e khangeri; vo si o gor, o mai angluno arakhado ande le mule, eta t'avel o mai angluno anda sa. 
COL.1.19	Ke o Del kamlias te bešel sa o mištimos ande leste; 
COL.1.20	vo kamlias te lašiarel sa pesa, sogodi si pe e phuv ke sogodi si ande o čeri, kai kerel e patia lestar, katar o rat katar lesko trušul.
COL.1.21	Ai tume, kai sanas angla savořende streia ai dušmaia katar tumare ginduri ai katar tumare žiungale butia, 
COL.1.22	o Del akana thodias tumen ande jekh than lesa katar o merimos pesko šiavesko ande pesko stato phuviako, t'aven angla leste svintsi, vuže ai bi-došake, 
COL.1.23	te si te bešen tume zurales ai te na miškin tumen anda o patiamos bi t'ambolden tume katar o ažiukerimos kai dias tumen e Laši Viasta kai tume ašundian, kai sas phendi ka sako so arakhadilo tela o čeri, ai me o Paul, kerdilem laki sluga.
COL.1.24	Me veseli ma akana ande muře dukha pala tumende; ke ande so mai trubul ka le kjinuimata le Kristoske ande lesko stato, me getov le ande muřo mas, kai si e Khangeri. 
COL.1.25	Si latar ke me sim thodino sluga, sar si e butji kai o Del dias ma paša tumende, eta te phenav sar mai mišto e vorba le Devleski, 
COL.1.26	e čudenia garadi anda sa e vramia ai ande le berš, numa sikadi akana ka le svintsi, 
COL.1.27	kudaleske o Del kamlias te žianen sar si o vestime barvalimos anda kudia čudenia maškar kudala kai či patian, te žianen: O Kristo del tumen ažiukerimos ai vestia. 
COL.1.28	Pa leste ame phenas, vazdas sako manušes, ai sikiaras sako manušes ande sa e godji kai o Del dias amen, eta te sikavas ka o Del sako manušes, t'avel lašio ande jekh than le Kristosa ande peske beršengo. 
COL.1.29	Ande kudia me kerav butji ai marav ma, leska zorasa kai kerel zurales ande mande.
COL.2.1	Me kamav, čačes, ke tume te žianen sode si baro o marimos kai me ninkerav pala tumende, ai pala kudala kai si ande e Laoditsea, ai sa kudalenge kai či dikhle muřo mui masesko, 
COL.2.2	eta t'avel lengo ilo pherdo zor, t'aven ande jekh than ande o kamimos, ai te barvalion pherde godji te žianen e čudenia le Devleski, te žianen o Kristo, 
COL.2.3	čudenia ande savi si garade sa le mandjinata katar e godji ai katar o godiaverimos. 
COL.2.4	Me phenav kudia ke khonik te na diliaren tumen le divanonsa t'athaven tumen. 
COL.2.5	Ke, bi te dikhen ma, me sim tumensa le duxosa, dikhav veselimasa ke tumen ninkeren mišto zurales, ai sar ninkeren ande o Kristo.
COL.2.6	Kadia si, sar tume lian le Bares o Jesus Kristo, train ande jekh than lesa, 
COL.2.7	si tume vuna ai zor ande leste, zuriarde katar o patiamos, sar dine tume te sikion, ai muken te del opral tumaro naisimos.
COL.2.8	Len tume sama ke khonik te na keren anda tumende t'aven lesko katar vorbi xoxamne ai nange kai šibin tumen ai ninkeren-pe pe so šai keren le manuš, pe le putiaria kai si ande e lumia, ai na pe o Kristo. 
COL.2.9	Ke ande leste bešel ande lesko stato sa lesko lašimos le Devlesko. 
COL.2.10	Tumen si tume sa ande leste, kai si o birevo pe sa le bare ai pe sa le putiaria kai porončin.
COL.2.11	Ai ande leste tume san šinde ande jekh šindimos kai či jekh vast či šindias, numa anda o šindimos katar o Kristo, kai si te lel pa tumaro stato o nasul mas. 
COL.2.12	San angropome lesa katar o bolimos, tume živindisailian ande leste ai lesa, katar o patiamos ande e zor le Devleski, kai živindisardias les katar le mule. 
COL.2.13	Tume kai sanas mule ke kerdian bezexa ai ke či sanas šinde ande tumaro mas, vo andias tumen ande o traio pesa, kai jertisardias tumenge sa tumare lažiave; 
