MAT.1.1	Abraham nu David, David nuo Jisu Khrista shühye lüsida; 
JHN.4.45	Pü ta Galilee lü kekice Galileans miko pü züyi, pü Jerusalem lü thenyelü mhathi kesüko ngo tila, kekrelamori uko thenyelü vo tila.
JHN.4.46	Süla Jisu ta Galilee rüna Cana lü vori, pü jü khipü hezo thi kesülü. Capernaunlü kezhomipü nu mhathi züde thi kesürho sü. 
JHN.4.47	Pü Jisu Judea lü tasü Galilee lü vo kezü seyi, süla ta püce vori, de püpo ta püce vono chota, pünu thi kesürho sü ketola, kekrelamori pü sata keto tace ba ketala. 
JHN.4.48	Süla Jisu püce po kesü, neko zasi mu ungo mhathoko ngozo kemosa melü yomo, 
JHN.4.49	Kezhoo püce pode, Kemethao, anu saketa mhüjü ta kiri zote. 
JHN.4.50	Jisu püce pode Tavo tate, nnu rhü yito. Thümao Jisu püce kepo fü melüyi de ta vota. 
JHN.4.51	Pü ta cholü ki kezüce, pü choyi miko tavori püzü kesü, de püce po kesü, Nnu rhü yite. 
JHN.4.52	Süsa pü ukoce ketsoti, pütü kedipüce pü sürho vorita sheri. Uko püce po kesü, ndo keba thünace (ba püce) kethi dite. 
JHN.4.53	Süla püpo sekeyi, pütü sü mesüce Jisu püce kepo, Nnu rhü yito, zisü. Püri mu pücekro metü melüyi. 
JHN.4.54	Mhatho hio Jisu ungo mhatho thikesü kenao, Jisu Judea lü ta Galilee lü vo kezüce.
JHN.5.1	Hisalü Jews miko thenyepü ba, Jisu ta sülü vo. 
JHN.5.2	Jerusalem lü Teko kharü ce rüzapü ba, Hebrew jülü süo cüpü Beth-zatha liyo, süo kü püngu ba. 
JHN.5.3	Hilü thüma sürhomo ketami kekro bayo, mhücemi, pheyhomi, lahemi, uko jü rephü kesüri meri bayo. 
JHN.5.4	Kekrelamori tüyo choyimi pütü huce kiri de jü kebu süyo tila, jü melü kesürice kehopüri ta sülü lü kerami kethi kehopü thiba zo sheri sürho tayo tila. 
JHN.5.5	Thümapü sülü sürho mode tütse sümeri tütha zü tata. 
JHN.5.6	Jisu sülü vori de pü tütse kekro sülü züzü keta ngoyi, de püce po kesü, no sürho ta nyü bame? 
JHN.5.7	Sürho kemo thümao püce poti, Kezhoo, mipüri jü rephü kesürice apü jülü kesü ba mole, vele I talü ketoce kekremi amhüjü lü tata yole. 
JHN.5.8	Jisu püce pode, Tasüte de nzi khipü tatate. 
JHN.5.9	Sizisü metha thümao sürho yita, püzi khipü tata; tüsozho sünha Sabbath. 
JHN.5.10	Jews miko thüma thi kesürho kesüo ce poti, Tha Sabbath, no nzi khipü tatihi uzhomo. 
JHN.5.11	Pü uko fü kelade po kesü, Thümao athi kesürho kesüo ace poti Nzi khipü tatate zisü. 
JHN.5.12	Süsa uko pü ketsode, Thüma süo sopüta, npo nzi khipü tata no kesüosü? 
JHN.5.13	Sopü püthi kesürho sü sheri pü seyi mota, kekrelamori Jisu thüma krolü ta vo ketala. 
JHN.5.14	Kenuco Jisu tavo kereshücelü püngoyi, de püce po kesü, no sürho taile, kephoma thi sahite, sizi kemo sasü hice suku ti vori ta mo ketola. 
JHN.5.15	Thümao tata, de pü Jisu le ti pü mice posü, püthi kesürho kesüo. 
JHN.5.16	Süla Jews miko Jisu meshu ta, de pü dokhri va keto rhüta, kekrelamori pü Sabbath zhonha mhathoko thi kesüla. 
JHN.5.17	Vele Jisu po kesü, Apo tsüri mhatho thizo kebabi, I sheri mhatho thi bayo. 
JHN.5.18	Süla Jews miko pü dokhri va keto rhüku sata, pü Sabbath zho varhü ti lebimo vele Jihova pü pü Po le zi ketala, pü khipü Jihova zü ketü le zi keta.
JHN.5.19	Jisu uko fü kela de po kesü, I nekoce potü süto, Nuo pütho zono mhathi keyi di, vele Poo mhatho ngoba ketila pü thi kebabi Nuo sheri sübi thiba. 
JHN.5.20	Kekrelamori Poo Nuo kekhrüla mhatho metüpü pümengo süyo, mu pü mhatho hice zhoku ti sheri pü mengo süto mu neko ngo thi tato. 
JHN.5.21	Kekrelamori Poo kesami phü merhülasü, mu süko thi merhü süyo, sübide Nuo sheri pü medomi phü merhü süto. 
JHN.5.22	Kekrelamori Poo mipüri mejo yomo, vele sheco metü khapü Nuo melü süte. 
JHN.5.23	Thüma metü Nuo rhoti mesü, uko Poo rhoyo tibi. Sopüno Nuo rhomo sheri pü ketsü kesü Poo ri rho yomo. 
JHN.5.24	I nekoce potü süto, sopüno ajü reniyi de aketsü kesüo melüyi sheri kerhü ngo yito, kemejolü vota moli pü kesao cupü kerhülü vo tayo. 
JHN.5.25	I nekoce potü süto, pütü süo vori tazü, tsühi tazo, kesamiko Jihova Nu fü se tato, püfü keseko rhü yito. 
JHN.5.26	Kekrelamori Poo kerhü püzüta, süla pü kerhü khapü Nuo tsüsü, 
JHN.5.27	Sheco keku khapü pü tsüsü, kekrelamori pü thüma Nuo tila. 
JHN.5.28	Mhahikola nengo hite, kesamiko mhakhrelü püfü se keto tüpü vorizü. 
JHN.5.29	Uko tasürito, mhakeve thi ketami rhülasü kerhülü votato, mu mhakesu kethi miko rhülasü mejo kevalü vo tato.
JHN.5.30	I atho ala mhapüri thi keyidi, I sekeyi la sheco thiyo, mu asheco kethozo (mezizo), kekrelamori I atho amedo phu yomo, vele a ketsü kesü Poo medo phuyo. 
JHN.5.31	Mhace atho azhopo thiyo lize azhopo kethomo. 
JHN.5.32	Mipüba azhopo kethi, pü zhopo ketho zole ti I seba. 
JHN.5.33	Neko John ketsüsü, mu pü zhopo kethozo. 
JHN.5.34	Vele akehüju thüma celü vorimo, vele I hiko po kesü nekopo kelakeyi ngoyi ketola. 
JHN.5.35	Püsü to keba kevepü, mu neko dopüla pü kevelü neko nüta nyü süzo. 
JHN.5.36	Vele I John ceri zhoku tipü zhopo ba, kekrelamori Poo mhatho khapü amelü kesüko I thitso sü mozesu, mhatho süko azhopo thiyo, Poo aketsü süzole ti. 
JHN.5.37	Poo sheri pü aketsü kesü zhopo thiyo. Neko mhapüceri püfü semo, mori pühü sheri ngo mozo. 
JHN.5.38	Püjüko nekoyo bamo, kekrelamori neko pü ketsü kesüo melü yi kemola. 
JHN.5.39	Lesilü thopü kemetako phri süte, kekrelamori sükolü kechothe kerhü bale melüba, sükolü aju thopü kemeta ngo yito. 
JHN.5.40	Kerhü ngoyi ketola neko ace vori mute. 
JHN.5.41	I thüma celü therho ngoyimo. 
JHN.5.42	Vele I neko seba, nekoyo Jihova kekhrü bamo. 
JHN.5.43	I a Po zalü vori, neko azüyi mote; mhace kekremipü pütho püzalü vori lize neko pü zü yito. 
JHN.5.44	Neko kedipü bide melü yita, neko hunehu celü therho phuyo, Jihova celü lebi therho phu yomo? 
JHN.5.45	Poo mhüjülü I neko mejo keto lühite, mipü neko mejo keto püba, süo Moses neko melü ketao. 
JHN.5.46	Neko pü melü ketosa asheri melü tevele, kekrelamori pü aju thopü meta. 
JHN.5.47	Vele neko pütho kesüko melüyomo lize dipü bide neko ajüko melüyi veta?
JHN.6.1	Hisalü Jisu ta Galilee jü kezholü kita, Tibarias jükezho laco. 
JHN.6.2	Makro püsa meji vorita, kekrelamori uko mha ungo kethiko ngo kesüla, kethimiko thi kesürho kesüko lari. 
JHN.6.3	Jisu ta cejütuyo khota, sülü pü sajiko zü babata. 
JHN.6.4	Jews miko thenyepü, takepranye meno bata. 
JHN.6.5	Süce Jisu pümhü khrüpü pe süri, thüma kekro ta püce vori tazü, pü Philip ce pode, dirapü tsükhri khri püvo hikopo ti yita? 
JHN.6.6	Pü medephi kesü zo, kekrelamori pü sheri seba pü dipü thi sü to sheri. 
JHN.6.7	Philip püfü kelasü, penny (presa) krakena (tekhri shurü zhokra) zori ukola ti kemegu ngo yiho, mipü tho kedopüpü lebi zo sheri. 
JHN.6.8	Pü saji mipü za Andrew, Simon Peter sazüo, püce poti, 
JHN.6.9	Khresa mipü hice chütsükhri püngu mu fü kenine kena pü tale, vele süko makro hi thedüla dipü bita? 
JHN.6.10	Jisu poti, Thümako po ba yite. Nha süce ba shu. Süla thümako bayi, mi nye püngu. 
JHN.6.11	Jisu tsükhri püyi, pükemeza fü posü, side khapü thüma ba kebako zasü, fü sheri moze kesudü khapü zasü. 
JHN.6.12	Uko ti megu keyisa, pü sajiko cepoti, timesho keyiko pfü kengu yite, usü püri khava hite. 
JHN.6.13	Süla uko pfü kenguyi, uko tisho chütsükhri kengupü merha kerikenalü chuyi, 
JHN.6.14	Süsa thümako kengo, Jisu ungo mhatho thi kesü la poti, Kethozo thüma hiohi saju kese mipü cejülü vori tole po ketao tazo. 
JHN.6.15	Uko kelüce pükemu thide pü tüpü püpo kede thita keto rhüta, pü lebi tasü cejütuyo vota.
JHN.6.16	Theva vorita, pü sajiko ta jü kezholü kita. 
JHN.6.17	Uko ta rulü lüta, side ta Capernaun kevaco vo tazü. Tüzü vorita, Jisu ukoce vori mo bata. 
JHN.6.18	Jü rephü süta, tükhra kerüla. 
JHN.6.19	Süla uko thehethide ru thopü miledo sü/da pü tata, uko Jisu jüpi tavori kezü ngoyi, ru meno pheri kezüce uko meprüta. 
JHN.6.20	Vele pü ukoce pode, I zole meprü hite. 
JHN.6.21	Süsa uko püzüpü rulü kesü umedode züyi, siziyi metha uko ta cejü kesolü voyita. 
JHN.6.22	Süsanha thüma jükhü kebako ru kekre di keta, methakeyiko kevori ruo zo kemosa, Jisu ru sülü methakeyiko züde lü mota, vele methakeyiko lebi tata. 
JHN.6.23	Sizi kebace ru kekrehu Tiberias laco vori, uko tsükhri keti thethi kemenoce, Niepoo kethezü kha kesü sa.
JHN.6.24	Thümako Jisu sülü keba ngomo ketala, mori methakeyiko sheri sülü phu medi ketala, uko ru thopü Capernaun lü Jisu phu vorita. 
JHN.6.25	Uko tavori jükhü kekre laco pü ngoyi, uko püce poti, Rabbi (kemethao) dipü tüce no hilü vota? 
JHN.6.26	Jisu ukoce poti, I neko ce potü süto, Neko aphu ketahi mha ungo thi kesüko kengola mo, vele kekrelamori neko mhati megu keyi lanozo. 
JHN.6.27	Ketikekra suta ketokola mhathi hite, vele ketico kechothe kehülü tayo tikola mhathi yite; süo thüma Nuo khapü neko tsü süto; kekrelamori Therü Poo püyo mohor vü süte. 
JHN.6.28	Süsa uko püce poti, Jihova mhathoko hako thiyi ketola kedipü thiti mesü? 
JHN.6.29	Jisu uko jü kelakesü, Mhatho hiohi Jihova mhatho zo, neko pü ketsü kesüo melü keyi. 
JHN.6.30	Süla uko püce poti, süsa no zasi kedipü thisü hako meka süta, hako po ngo de melüyi ketola. No dipü mhatho thi süta? 
JHN.6.31	Hako potsa neko rayho thilü manna keti thopü meta, Pü tüyo tsükhri rüpü ukopo ti. 
JHN.6.32	Jisu ukoce poti, I nekoce potü süto, Moses tüyo tsükhri kha sümo, vele a Po tüyo tsükhri khapü uko tsü ketho. 
JHN.6.33	Kekrelamori Jihova tsükhri tüyo kiri, kehü khapü cejüo tsüsü. 
JHN.6.34	Süsa uko poti, Niepoo tsükhri süo kechothe khapü hako tsü süte. 
JHN.6.35	Jisu ukoce poti, I kehü tsükhri süo zo, ace kevorimi mhapüceri meri taho; mu ace kevorimi mhapü ceri theri ri taho. 
JHN.6.36	Vele I nekoce kepo, neko ango süte, vele amelü yomo. 
JHN.6.37	Apo khapü atsü kesü metü ace vorito, ace kevorimi I mhapü ceri hu vaho. 
JHN.6.38	Kekrelamori I tüyo kiri zo, atho amedo kethila kiri mo, vele aketsü kesüo nü thi ketola vori. 
JHN.6.39	Hiohi a Po aketsü kesüo medozo, pü khapü aketsüko mipüri medi vakemo, vele thüla tünha süko phu mesüyi ketola. 
JHN.6.40	Hiohi aketsü kesüo medozo, kehopüri Nuo kengoko pü melü keyi, kechothe kerhü ngoyi ketola, thüla tü nha pü kelayi ketola. 
JHN.6.41	Jews miko uko dolü kemeli shuta, kekrelamori pü kepo, I tüyo kiri ti tsükhri da yozo si kesüla. 
JHN.6.42	Uko poti, hiohi Jisu zo mome, Joseph nu, püpo püzu uko se baze? Dipüla pü tüyo kirile poba? 
JHN.6.43	Jisu ukoce poti, neko dolü panyo (kebu) hite, 
JHN.6.44	Mipüri ace vori yiho a Po tho pü tüsüpü vori zo kemosa, mu thela nha pü phu mesü yito. 
JHN.6.45	Saju kepoko hiziti thopü meta, uko metü Therüoju pü metha süto. Thüma kehopüri sekeyimi Poo se yite, mu ace vorito. 
JHN.6.46	Mipüri Poo sü ngomo, pücelü kevorio lebi tho zo kemosa, pü Poo sü ngo. 
JHN.6.47	I nekoce potü süto, amelü keyimi kerhü ngoyi bate. 
JHN.6.48	I kerhü tsükhrida süozo. 
JHN.6.49	Nekrü netsüpumi rayho thilü manna ti ketho, side sarite. 
JHN.6.50	Hiohi tüyo kevori tsükhri da yozo, thüma püti keyimi sata yiho. 
JHN.6.51	I kerhü tsükhri da yozo tüyo kevorio, mhace thüma kehopüri püti keyimi pü kechothe rhü tato; tsükhri da süo athi apho hiozo, cejüopo kerhü ngoyi ketola I ta vori. 
JHN.6.52	Jews miko uko dolü kemelita, de poti, thüma hio kedipü bide püthi püsü ukopo tiyi vetole po bata? 
JHN.6.53	Süsa Jisu ukoce poti, I potü süto, neko thüma Nuo thi ti mu püzakra kemosa nekoyo kerhü di. 
JHN.6.54	Kehopüri athi ti mu azakra keyimi kechothe kerhü nete, mu thüla nha I püphu mesü yito. 
JHN.6.55	Athi sü themu kethozo, mu azari kekra zhüzo. 
JHN.6.56	Somi athi ti mu aza kra sheri sümi alü ba yito, mu I pülü hüto. 
JHN.6.57	Rhü keta Po a ketsüsü, I a Polü hüyo, süla ati ketimi alü hüto. 
JHN.6.58	Tsükhri da hio tülü kiri, nepotsa neko manna ti de sa keta bimo, somi tsükhri hio tiyi sheri kechothe rhü tato. 
JHN.6.59	Pü hiko Capernaun lü synagogue lü popü mi metha kesüko.
JHN.6.60	Pü sajiko süko se kesüce thüma kekro poti, mha hio jü kerü shupü te, sopü süko seyi veta? 
JHN.6.61	Jisu pü sajiko du kebu ba keta pülü sesüta, pü ukoce poti, mha hikola neko nümo teme? 
JHN.6.62	Mhace neko Nuo ta tüyo kho keta ngo de pü thajü keba thilü kho taze di bi ta? 
JHN.6.63	Rüpü tho kerhü khasüyo, uthi upho zono mhapüri thi yiho, I nekoce jüpo kesüko rüpüzo mu kerhü zo. 
JHN.6.64	Vele neko dolü humi melü kemoba. Kekrelamori theralü Jisu somi melümo sheri seba, mu sopüno pü tüsü to sheri seba tila. 
JHN.6.65	Pü poti, I süla neko cepoba, mipüri ace vori yiho, a Po tho khapü atsü sü zo kemosa. 
JHN.6.66	Süyovilü pü sajiko kekro tata, püzü tasa mota. 
JHN.6.67	Jisu pü saji mi keri kena koce poti, Neko sheri tata nyü bame? 
JHN.6.68	Süsa Simon Peter püce poti, Niepoo hako sopüce vokha? No kechothe kerhü jüko ba. 
JHN.6.69	Hako melü tazo, no Khrista kethozo, Jihova rhü keta Nuo zo. 
JHN.6.70	Jisu ukoce poti, I neko mi keri kena kedayi mome, vele neko mipü therü keshü. 
JHN.6.71	Pü Iscariot Judas, Simon nu poba. Kekrelamori pü hisa pü tüpü mice sü ketola, püri keri kena kodolü mipü.
JHN.7.1	Hizi kevasa Jisu ta Galilee lü tavota, Judea lü tasa mota, kekrelamori Jews miko pü dokhri va keto rhü ba ketala. 
JHN.7.2	Jews miko kereshüce nye vori meno bata. 
JHN.7.3	Pü sazü jürako püce poti, hice takhi Judea lü kho tate, n sajiko pori nmhathoko ngo ketola. 
JHN.7.4	Kekrelamori mipüri kemekhrülü mhathi yomo, mipo nse nyüsa ba lize. Mhace no mhathi kebako pü cejülü mesesü nyü ba tisa. 
JHN.7.5	Kekrelamori pü sazü jürako ri pü melü kemola. 
JHN.7.6	Jisu ukoce pode, Atü tso vori molu vele neko tü tsosü bayo. 
JHN.7.7	Cejüo neko ngometsü taho, vele ango metsüte, kekrelamori I zhopo thipü süo metsu kesüla, süo mhathoko kesu zo tila. 
JHN.7.8	Neko ta thenyelü khote, I thenye sülü khohote, kekrelamori atü tsotü vori molu tila. 
JHN.7.9	Pü jü hiko po kevasa Galilee lü basata.
JHN.7.10	Vele püsazü jürako takho ketasa püri thenyelü khota, melemelu zode khomo vele kemekhrü pübi. 
JHN.7.11	Süce Jews miko thenyelü püphu de, pü dipüce vota? 
JHN.7.12	Thümako pü ketso de mebü bata, kekrelamori humi poti, pü thüma kevele; kekreko poti, Mole, pü thüma shüketse ta tele. 
JHN.7.13	Kehothi sheri mipüri Jews miko mpe tila chozu jüpo zomo. 
JHN.7.14	Thünye metsu hice pü ta kereshücelü vo de mi metha bata. 
JHN.7.15	Jews miko ungo shuta de poti, thüma hio dipübi mhase phita, pü lesiphri mo zo sheri? 
JHN.7.16	Jisu ukoce poti, akemetha jüko azhümo vele aketsü kesüo. 
JHN.7.17	Thüma kehopüri Jihova medo thiyo süze akepo jüko se yito, Jihova celü vori me, mode atho amedo jüpo ba sheri. 
JHN.7.18	Somi pütho püju poba sheri pü thechu therho phu bayo, vele pü ketsü kesüo la thechu therho phuyo lize süo zhopo kethozo, matho mezi kemo püri püyo tamo. 
JHN.7.19	Moses thezho khapü neko tsüsü mome, siri neko mipüri thezho züta mote? Neko dipüla adokhri keta lüba? 
JHN.7.20	Thümako püfü kela kesü, mipüri ndokhri keto rhü bamozo, therü kesu n yo keba la zotho? 
JHN.7.21	Jisu ukoce pode, I mhathopü thisü mu neko ngophite. 
JHN.7.22	Moses yikerü khapü neko tsü, süo Moses mori neko potsa neko khasü; neko Sabbath tüsozho nha yirüyo. 
JHN.7.23	Mhace mipü Sabbath nha Moses zho varhü mo ketola yirü lizo I Sabbath nha mipü thi kesürho tso kesüla dito amejo ayo neko nü moya? 
JHN.7.24	Umhüpü kengola sheco thi hite, vele sheco kemezilü thite.
JHN.7.25	Jerusalem lü kevori thüma humi poti, uko pü dokhri vanyü phu keta thüma hio zo mome? 
JHN.7.26	Hice pü mimhüngoce thepu shude zhopo thi sefü bate, vele mipüri mhapo mote. Kezhomiko hiohi Messiah zole ti seba teme? 
JHN.7.27	Kehothisheri uko thüma hio dipüce vori sheri seba; vele Khrista vori ketosü mipüri dipüce vori to sheri seho. 
JHN.7.28	Jisu kereshücelü jüpo meto shude poti, neko I dipüce vori sheri seba mu ase riba, I amedolü vorimo, vele aketsü kesüo lazo ketho, neko süo semo. 
JHN.7.29	I püseba kekrelamori I pücelü vori zo tila, pü aketsü süzo. 
JHN.7.30	Sizi kebace uko pü tüyi keto lüta, vele mipüri ube cho püyo sümo, kekrelamori pütü tso molu tila. 
JHN.7.31	Thüma kekro pü melüyi, de poti, Messiah kevorice zasi ungo mhathoko kethi thüma hioceri thi mekroku sü tome?
JHN.7.32	Pharisees miko thümako kepo keba sesü, mu Pharisees miko ri mu thevo kezhoko ri kesa de kezhoko ketsüpü pütü tole sü. 
JHN.7.33	Sütüce Jisu poti, pütü kedopü I neko züba tolu, mu süsa I ta aketsü kesüo ce votato. 
JHN.7.34	Neko aphuto vele ango yiho, I dipüce bata sheri neko sülü vori yiho. 
JHN.7.35	Jews miko kepode, pü dipüce vota tole bata, uko püngo mota ketosü? Pü ta Jews kemoko (Gentile) koce vota tole bame, side süko metha ta tome? 
JHN.7.36	Pü keposü dipüco po bata, neko aphuto vele ango yiho, akebara neko vori yiho?
JHN.7.37	Thenye thelatho nha, Jisu thade po kebace, thüma kehopüri theri ketako ace vori de krayite. 
JHN.7.38	Amelü keyimi ketholesi popü kemeta püvalü kerhü jüri rela prarito. 
JHN.7.39	Vele pü kepo hiohi Kemesa Rüpü poba, pü kemelüko ngoyi keto, Kemesa Rüpü hitüce khasü molu, kekrelamori Jisu zapozale thiyi molu tila.
JHN.7.40	Jü hiko se keyice thüma kekro pode, Hihi saju kepomi ta zo kethole. 
JHN.7.41	Kekreko poti, Hiohi Khrista tazo. Vele humi poti, Khrista Galilee lü voriyi veme? 
JHN.7.42	Ketholesilü kepo Khrista David shuyelü vori tole siba. Mu Bethlehem rünalü, David kevori lü. 
JHN.7.43	Süla thümako dolü kejükre salata pü lano. 
JHN.7.44	Humi pü tükeyi lüsü vele mipüri ube chopü püyo sümo.
JHN.7.45	Kezho miko ta Phariseeko mu thevo miko ce vo, de ukoce poti, neko ditono pütüzü pü vorima? 
JHN.7.46	Kezho miko po kesü, Mipüri pübide jükepo dile. 
JHN.7.47	Pharisees miko po kesü, nekori püpo neko kedo valume? 
JHN.7.48	Mikekha yo tiko mu Pharisee miko mipüri pü melü ta motho? 
JHN.7.49	Vele thüma hiko thezho se kemoko reshu ve. 
JHN.7.50	Nicodemus ukoce poti, (theva Jisu ce kevoo), püri uko mipü. 
JHN.7.51	Uko thezho mipü reni mozo de mejo keva thezho ba motho, pü dipü thita sheri reni ketso ti mhüjü. 
JHN.7.52	Uko sü püce posala de, nori Galilee mipü zome? Phu (pe) te ketho lesilü, saju kepomi mipüri Galilee lü vori mozole. 
JHN.7.53	Uko metü ta utho ucelü vota.
JHN.8.1	Jisu ta Olive cejütu yo vo ta. 
JHN.8.2	Keshu rena pü ta kereshücelü vori, thüma kro ta püce vori; pü bayi de uko metha. 
JHN.8.3	Thezho keseko mu Pharisee miko theno mipü thepu khrü bade pütüpü Jisu cevori, uko süpü khapü metsulü süsü. 
JHN.8.4	Kemethao, theno hipü mha kesu thizo kebalü pü tü yite. 
JHN.8.5	Moses thezho khapü hako ketsü ketsüpü sübi ketako vakhri vate zisü; vele no kedipü pota? 
JHN.8.6	Uko jü hio kepo pü kejo tüyi ketola zo, side pü mejo ketola. Vele Jisu neküki pü becüne khipü cejü (renyoyo) tho de pü uko fü se kemo bi bata. 
JHN.8.7	Süla uko pü ketso sasa bata, sizi kebace pü tha medü süri de ukoce poti, Neko dolü kephoma kediopo ketsü pü püva mera süte. 
JHN.8.8	Süsari pü nekü salaki renyoyo lesikho tho bata. 
JHN.8.9	Uko süo sekesüce utho ulü mejo ketala, mipüpü redüta, pethithoo celü shudü de natsitho ketso taprüta; Jisu lebi keba zota thenopü uko dolü metsulü thazori. 
JHN.8.10	Jisu tha medü süri tice mipüri dita, Jisu mu thenopü ni lebita; Jisu püce poti, thenopü nmejo ketako dipüce vota? Mipüri nmejo moteme? 
JHN.8.11	Thenopü poti, Niepoo mipüri mote. Jisu püce pode, I sheri nmejo ho, tavo tate, mu kephoma thi sahite. 
JHN.8.12	Süsa Jisu ukoce poti, I cejü keveo zo, kehopüri asa kemejimi mhapü ceri kezülü taho, vele kehü kevelü tato. 
JHN.8.13	Pharisee miko püce poti, Ntho nzhopo thiyo, mu nzhopo kethomo. 
JHN.8.14	Jisu uko fü kela kesü, Atho azhopo thizo sheri azhopo kethozo; kekrelamori I dirapü vori sheri mu dipüce vota to sheri seba tele; vele neko I dipüce vori mu dirapü vota to ba sheri poyiho. 
JHN.8.15	Neko uthi upho relelü sheco thiyo, I mipüri mejo yomo. 
JHN.8.16	I mhace mi sheco thizo sheri asheco sü kethozo, I alebi tamo, vele a Po aketsü kesüo hani ta. 
JHN.8.17	Neko thezholü sheri thopü meta, mikena zhopo sü kethozo leno. 
JHN.8.18	Atho azhopo kethi mu a Po aketsü kesüo azhopo thi tazo. 
JHN.8.19	Süsa uko püce poti, n Po dipüce ba? Jisu pola kesü, neko asemo mu a Po sheri semo; neko ase süze a Po sheri sete vele. 
JHN.8.20	Jü hiko kepo Jisu uko fü kela kesü, pü kereshücelü mi metha kebace; mipüri ube chopü püyo sümo, kekrelamori pütü tso molu tila.
JHN.8.21	Süsa Jisu ukoce posala kesü, neko aphuto vele ango yiho, mu neko kephomalü sa tato; I dipüce vota to sheri neko akevolü voriyi kehola. 
JHN.8.22	Süsa Jews miko poti, Pütho pü dokhri va to bame? Kekrelamori pü poti, I dipüce vota to sheri neko tavori yiho. 
JHN.8.23	Pü ukoce poti, neko mekhroco kevorimi, I mesoyo kevorimi, neko cejü hiolü thüma, I cejü hiolü thümamo. 
JHN.8.24	Süla I nekoce kepo neko nekephomalü sa tato; kekrelamori mhace I nekoce kepo I zo, sizisü zori neko melümo ketala; nekephomalü sa tato. 
JHN.8.25	Süsa uko püce poti, No sopü lezibata? Mu Jisu ukoce poti, therathoce I neko ce kepoo zo. 
JHN.8.26	I mhakekro nekola po keto mu mejo keto ba, vele I ketsü kesüo sü kethozo, I mha süko pü cejüo ce po süte, I pücelü se keyiko. 
JHN.8.27	Uko Poo ju se yimote pü ukoce posü zori. 
JHN.8.28	Jisu ukoce poti, neko thüma Nuo phumesü kesüce seyito, I süo zoleti, atho ala I mhapüri thita mozo, vele Poo a ketsü kesüo ametha kesüko lebi, I süko pü poyo. 
JHN.8.29	Pü aketsü kesüo azü tazo, a Po akhava mozo, kekrelamori I pünü pümedo lebi thi süta zo tila. 
JHN.8.30	Pü jü hiko kepola thüma kekro pü melüyi. 
JHN.8.31	Süsa Jisu Jews miko pümelü ketakoce poti, Mhace neko ajü melüyi ta lizo neko asaji miko tazo. 
JHN.8.32	Mu neko kethoo seyito, mu ketho-osü neko phrü vato. 
JHN.8.33	Uko püfü kelade, hako Abraham shuyemi mu mhapü nhari mijü thimozo, no dipüla neko phrü vato siti poba? 
JHN.8.34	Jisu ukoce poti, I nekoce Ketho potü süto, Kehopüri kephoma thi ketami kephoma jü thi tazo. 
JHN.8.35	Mijümi kechothe micelü basü yomo, vele Nuo kechothe basü tayo. 
JHN.8.36	Mhace Nuo neko phrüsü ta lize, neko phrü süva kethozo. 
JHN.8.37	I seba, neko Abraham shuye zo, vele neko adokhri tole rhü bayo, kekrelamori ajüko nekolü bayi mo ketala. 
JHN.8.38	Apo I ngo kesüko pü nekoce hala süyo, neko a Po celü se keyiko thiti mesü.
JHN.8.39	Uko püfü kelade püce pokesü, Abraham hako Potsa. Jisu ukoce pokesü, Mhace neko Abraham nuneko lize Abraham mhathoko thiti mesü. 
JHN.8.40	Vele neko adokhri vanyü bate, thümapü nekoce ketho I a Po celü sekeyiko püposü; Abraham sizimo. 
JHN.8.41	Neko neponeko mhatho thiyo. Uko püce po sala kesü, Hako kephoma mhatho kesulü menu yimo; ha Po püba mu süo Jihova zo. 
JHN.8.42	Jisu ukoce poti, Mhace neko Jihova neko Po lize, neko akhrüto; kekrelamori I Jihova celü tavo rizo; atho amedolü tavo rimo, vele pü aketsü süzo. 
JHN.8.43	Ditono neko afü seyi mota? Neko sheri akepo seyi mozo. 
JHN.8.44	Neko po sü therü kesuo zo, nekopo kemengu (kecülu) ko thi tayo. Pü shüculü mi kedokhrimi, ketho-olü bayi yomo, kekrelamori ketho püyo kedila. Pü kemeda po süyo mu pütho püyo kevela poyo, pü kemedami, mu pü süo po-ozo. 
JHN.8.45	Kekrelamori I ketho kepola neko melü mote. 
JHN.8.46	Neko sopü apü kephomami le ziti poyi ve? Mhace I ketho po lize neko dipüla amelü mota? 
JHN.8.47	Somi Jihova füse sheri Jihova jüzüyo, neko süko se yomo kekrelamori neko Jihova Ma motila. 
JHN.8.48	Süsa Jews miko püce poti, Hako pomeve shu süzo, no Samaritan mipü therü kesu n yo ba? 
JHN.8.49	Jisu po kesü, therü kesu ayo bamo, vele I apo rhoyo, neko arho yomo. 
JHN.8.50	I atho atherho phu yomo, mipü süo phuyo mu mi mejoyo. 
JHN.8.51	I nekoce potü süto, mhace humi ajüko khipü bayi lize pü mhapü ceri sa taho. 
JHN.8.52	Jews miko püce poti, hako se bate, therü kesu nzüta. Abraham sate, mu saju kepoko ri sate; mu no poti, mhace neko akepoko züyi lize thüma süo mhapü ceri sa taho. 
JHN.8.53	No hako potsa Abraham ce zho kume? Pü sate, saju kepoko sheri sate, no sopüle po bata? 
JHN.8.54	Jisu ukoce polakesü, Mhace I atho azhopo thita lize süo kethomo, a Po azhopo thiyo de arhoyo, neko pükhapü neko Rüo le kebao. 
