MAT.1.1	Lungolo lwa Yesu Kilisto, kibelei cha Daudi, ngi kibelei chu Ulaimu.
JHN.11.56	Bai ngaba mpala Yesu, na pabakongana pamwe munyumba ja Nnoongo ngabakonyana, “Nnolabo? Ibonikana aikaje ku mpapala, andaje?” 
JHN.11.57	Akakung'i akolo na Mafalisayo bakiba bapiite amuli anda mundu apamanyi paali apabi Yesu balengele ili bampukile.
JHN.12.1	Gakaigala machoba sita kube Mpapala gwa Pasaka, Yesu ngajenda kukilambo cha ku Betania kachakwe Lazalo ojwannyoya Yesu kuboka kwa abawile. 
JHN.12.2	Kweno ngabampanganikia chakulya cha kimuyo, Malita akiba akatumika. Lazalo akiba pamwe nababa abakibanga pamecha pamwe na Yesu. 
JHN.12.3	Bai Maliamu ngatola chupa cha mauta gabei, ngampakaya Yesu mumakongono nukuungula kwa nywili yakwe. Unyumba mwoa nginungila luumba lumauta. 
JHN.12.4	Bai Yuda Isikalioti, jumwe kati ja akinapunji komi na abena jwenio ojwapakung'aluka Yesu, ngalenga, 
JHN.12.5	“Kwanike mauta gena gauchigwije ku bei ngolongwa nu uloi gwene kape akaocho?” 
JHN.12.6	Alenga genia ngiti kaagaba akaochoje nambu magambu akiba mmeka ela, namagambu akiba mwihi, kwa machoba majingi akiba kujiba munkoba gweno.
JHN.12.7	Nambu Yesu ngalenga, “Makachumbuyaje amama bamba! Maleke bagabeke magambu ga lichoba lya machiko gango. 
JHN.12.8	Akaocho mamma nabo machoba goa, nambu mmegangaje nane machoba goa.”
JHN.12.9	Akayahudi ajingi ngabajoa Yesu akiba ku Betania. Bai ngabajenda kweno ngiti kumagambu gukummona Yesu tu, unyae bapate kumona Lazalo ojwanyoite Yesu kuboka kwa babawile. 
JHN.12.10	Akakung'i akolo ngabatenda njama jukunkoma Lazalo, 
JHN.12.11	maana kumagambu ga Lazalo Akayahudi ajingi ngabagaluka achilongochi babe, ngabanhwamini Yesu.
JHN.12.12	Malabo jakwe, nkengeni gwa bandu abaika kusikukuu ngabajoa kube Yesu akiba undela kuika Kuyelusalemu. 
JHN.12.13	Bai ngabatola makoti gi mitende, ngabajenda kumpokela kongo bakatondobea malobe nu kulenga,
JHN.12.13	“Alumbigwe Nnoongo! Abe ni kindimba jwenio ojwapakuika ku liina lya Angwana.
JHN.12.13	Babe ni kindimba Angwana bu Kuisilaeli.”
JHN.12.14	Yesu ngampata mwana liponda jumwe ngaombela panani jakwe anda Majandiko Machwapi apagalenga, 
JHN.12.15	“Makajobokaje, kilambo cha Sayuni!
JHN.12.15	Nnole, Angwana binu batenda kuika,
JHN.12.15	anhwombi mwana liponda.”
JHN.12.16	Kingobu chenie akinapunji bakwe bamanyingitije ile yene, nambu Yesu apakiba akoigwe, penia ngabakombakela genia gakiba gaandikigwe kunhwalo gwa jweno, na kutenda bandu bakiba bantendila genia.
JHN.12.17	Bandu ajingi babakiba pamwe nakwe mangobu apabankema Lazalo mulikabuli, nganhyoya kuboka kwa babawile, ngabachalakicha gagapitile. 
JHN.12.18	Kwagenia nkengeni gwa bandu ngujenda kumpokela, gambu boa ngabajoa kita Yesu alaite iingi yi ikobo yenie. 
JHN.12.19	Mafalisayo ngabalengelana, “Mmikulola? Tuotwije kutenda chachoa! Nnolange bandu boa bankengama.”
JHN.12.20	Pakiba na Akagiliki kati ja bandu babaika kuyelusalemu kugongalela mangobu ga mpapala gwenio. 
JHN.12.21	Akangweto ngabannyendela Filipo, jwa kilambo chuku Betisaida kweno ku Galilaya, ngabalenga, “Angwana, tupala kummona Yesu.”
JHN.12.22	Filipo ngajenda, kunnengela Andulea, boa akabele ngabajenda kunnengela Yesu. 
JHN.12.23	Yesu ngabalengela, “mangobu gukoigwa Mwana jwa Mundu gaike! 
JHN.12.24	Nannengelanga kweli, mbonje ya mapemba maigala mbonje tu nambu anda igwile pulundope nukuwe. Anda iwile ipambika mbonji ndu. 
JHN.12.25	Mundu ojwapala bwomi gwakwe, abakuoya, nambu mundu ojwauchimwa bwomi gwakwe padunia jenje maubeka kumagambu ga bwomi gwa machoba goa pangapela. 
JHN.12.26	Ojwapala kundumikia mpaka angengame oti, magambu genia papotipala pambi nenga penia mpakachi jwango pabakube. Mundu jwajoa ojwandumikia, Awawa bango bapakunnyali jwenio.
JHN.12.27	“Ngoe mwojo gwango utenda kuwechuka, nongela nike? Bo, nenge, ‘Awawa, makakiluchuje kingobu chene kinhikalile?’ Nambu nhikila kwa magambu genia kupala mbete kingobu chukupotekigwa cheno. 
JHN.12.28	Awawa, mulikoleye liina linu.”
JHN.12.28	Penia lilobe ngililenga kuboka kumbengu, “Nankoliye, na mbakulikoleya kabele.”
JHN.12.29	Nkenga gwa bandu gukiba ujemite peniapo ngabajoa lilobe lyene, na bange angweto ngabalenga, “Alonge na mpakachi jwa Nnoongo alonginago!”
JHN.12.30	Nambu Yesu ngabalengela, “Lilobe lyenie lipitila kumagambu gangoneje, ila kumagambu ginu. 
JHN.12.31	Ngoe nga kingobu cha dunia jeno kuhukumigwa, ngoe nkolongwa jwa dunia jeno apakupenduligwa. 
JHN.12.32	Nane pambakujinuligwa kunani ja dunia mbakunhuta kila mundu kwango.” 
JHN.12.33	Yesu alongela yene alaya apakuwe kiu gani.
JHN.12.34	Nkenga gwenio ngugwannyanga, “Twe tulengaligwa na Malagilo giito kutenda Kilisto apakutama nukupelaje. Nhwotobo, bai kulenga eti Mwana jwa Mundu apakujinuligwa? Jwenio Mwana jwa Mundu nga meneke?”
JHN.12.35	Yesu ngabalengela, “Lumuli lubi tango namangweto kuki ngobu kachoko. Nnyendange tango mminalo lumuli lwenio, ibe lubendu lukampataje, maana ojwajenda mulubendu kumanyaje kwajenda. 
JHN.12.36	Bai kingobu mminalo lumuli lwenio muluamini ili mpatange kube bandu bu lumuli.” Kuboka pa kulongela malobe genia, Yesu ngajabula nu kujoba kutaali na ngweto.
JHN.12.37	Iganukube Yesu akalaya iingi yi ikobo yenie nnongi jabe, angweto bunhwaminije. 
JHN.12.38	Yene lilobe lyalongila Nnondoli Isaya ngagatimia,
JHN.12.38	“Angwana, ngabene abaamini nhwalo gwito?
JHN.12.38	Na uwecho gwa Angwana ubonikini kubeneke?”
JHN.12.39	Yene baotwije kuamini, na Isaya ngalenga kabele,
JHN.12.40	“Nnoongo ateila babe injwilii mio gabe,
JHN.12.40	bateilinge ajinga,
JHN.12.40	bakalolangaje kwa mio gabe,
JHN.12.40	bakamanyaje kwa malango gabe,
JHN.12.40	na bakamujilangaje, alenga Nnoongo,
JHN.12.40	kupa nalamiange.”
JHN.12.41	Isaya ngalenga malobe gena magambu ngakibona kibumo cha Yesu, ngalenga mialo jakwe.
JHN.12.42	Ata nyenie, akiilongoi ajingi ba Akayahudi ngabanhwamini Yesu. Nambu magambu ga Mafalisayo bannyeketilingije pukongolou kukujogopa kata kabenga muiteba yukugongalela. 
JHN.12.43	Bapala kupata kibumo ku bandu kuliko kupata kibumo na Nnoongo.
JHN.12.44	Kiboka cha pena Yesu ngalenga kwa lilobe likolo, “Mundu ojwaamini nenga, aamini netuje, ila anhwamini ojwandumite. 
JHN.12.45	Ojwa amona nenga amona ojwandumite. 
JHN.12.46	Nenga nga lumuli, nane inke padunia pano ibe boa abaamini bakabe mulubenduje. 
JHN.12.47	Ojwagajoa malobe gango nambu kugakamulaje, nenga nunhwukumuje, maana ikila padunia kuhukumuje ila kukombola. 
JHN.12.48	Jwanga gakamula malobe gango akweti jwa kunhwukumu. Lilobe lyale lyanongilage lela nga akimu jwabe lichoba lya kupela. 
JHN.12.49	Nenga nongila ku amuli jango namweneje ila Awawa abandumitage nga abaamulicha nonge nike na nengi nike. 
JHN.12.50	Nane manyi amuli jabe jileta bwomi gwa machoba goa pangapela. Bai neenga nenga gagatu gabanagila nenge.”
JHN.13.1	Likaiga lichoba limwe kube mpapala gwa Pasaka kujingila, Yesu ngamanya kube kingobu chakwe chukuboka padunia nukujenda kwa Awawa kiike. Akiba bapaile kila kingobu bandu bakwe ababi padunia bapailinge mpaka kupela.
JHN.13.2	Yesu na akinapunji bakwe bakiba batamite kulye ndalilo. Mmaja akiba anyeile Yuda, mwana jwa Simoni Isikalioti, mawacho ga kung'aluka Yesu. 
JHN.13.3	Yesu amanyi awamundu bankamwie madalaka goa, nukube jweno aboka ku Nnoongo. 
JHN.13.4	Bai ngaboka penia pa mecha, ngabeka umbwega lutando lwakwe, ngatola kitambala nukukiundika mukibuno. 
JHN.13.5	Kuboka penia ngajela maache muntungati, ngatumbu kajelea makongono akinapunji bakwe nukuungula nikitambala echi akiundike. 
JHN.13.6	Bai nganhwikili Simoni Petulo, jwombe Petulo ngalenga, “Angwana, mwe mpa kunyelea neenga?”
JHN.13.7	Yesu ngajanga, “Echandenda ngoe mikimanyije, nambu mammanya mwenekandae.”
JHN.13.8	Petulo ngannengela, “Mwe unyeleaje makongono!”
JHN.13.8	Yesu ngajanga, “Anda nukunnyeleaje mme nanengaje pamwe kabele.”
JHN.13.9	Simoni Petulo nganyanga, “Angwana makanyelea makongono tuje, unyeleye na maboko gango na mutwe uyo.”
JHN.13.10	Yesu ngannengela, “Ojwa jomwi kujoga apaligwije ukuya ila makongono gambu abi chwapi mmele gwoa, mangweto mmi chwapi nambu mmoaje.” 
JHN.13.11	Yesu ammanyi ojwapakung'aluka, nga maana alenga, “Mmoaje mammi chwapi.”
JHN.13.12	Pajomola kajelea makongono nukwinda kabele lutando lwakwe, ngatama pamecha ngabalenge, “bo, mmanyingite genia aganantendelinge? 
JHN.13.13	Mangweto ungema aboli na Angwana, mangweto nnonge chambone, ngapambile. 
JHN.13.14	Bai andane nambi naboli na Angwana nannyeleinge mangweto makongono, na mangweto mpaligwa kujeleana makongono. 
JHN.13.15	Nampilingite kulandanakia ibe mangwetumwe ntendi andi panantendilinge 
JHN.13.16	Nannengelanga kweeli, mmanda nkolongwaje kumpeta nngwana mundu, wala ndundame nkolongwaje kupeta jwajo ojwantumite. 
JHN.13.17	Bai anda mmikumanya genia mammaganga mbaya anda magatendite.
JHN.13.18	“Ganga ganongela gano giinu mmoaje. Ne namaanyi banachagwile. Nambu mpaka oti gatimie Majandiko Machwapi agalenga, ‘Jwajo jwali chakulya chango ang'alambwike.’ 
JHN.13.19	Nenga nannengalinge ilebe yenje ngoe tango nukupitilaje, ibe paibakupitila mpatange kuamini kube ‘nga nenga.’ 
JHN.13.20	Nannenge kweli, ojwampoke jwajo junantuma amboke ne, na ojwamboke nenga bapoke abandumite.”
JHN.13.21	Pajomola kulonge genia, Yesu ngaechuka umwojo ngachalakicha kulenga, “Nannenge kweli, jumwe kati jinu apakung'aluka.”
JHN.13.22	Akinapunji ngabalolana, baotwije kumanya bannonge mmene. 
JHN.13.23	Jumwe kati ja akinapunji, jwombe Yesu ojwakampala muno, akiba atamite papipi na Yesu. 
JHN.13.24	Simoni Petulo ngankinyila nukulenga, “Makonye balonge geniago kwa magambu ga beneke.”
JHN.13.25	Napunji jwenio ngaegelela papipi muno na Yesu, ngankonya, “Angwana, nga beneke?”
JHN.13.26	Yesu ngajanga, “Jwajo jwambakumpe kipande cha nkate chanelite muchaani, ngajweno.” Bai ngatola kipande cha nkate ngalela muchaani ngampe Yuda mwana jwa Simoni Isikalioti. 
JHN.13.27	Yuda papokela kipande chenie, Lichetani ngilinnyingila. Yesu ngannengela, “Champakutenda ntende chokwe!” 
JHN.13.28	Nambu akibaje wala jumwe kati jabe ojwatamite pamecha ojwaamanyi alenga genia kwa magambu gani. 
JHN.13.29	Kwa magambu Yuda akiba mmeka ela kati jabe, bapemelela Yesu annenge Yuda ajende akaemele eipaligwa kusikukuu, andaje annenge apange chachotichela kwa akaocho.
JHN.13.30	Bai Yuda apajomola kutola kipande cha nkate chela ngapita panja chokwe. Ikiba kilo.
JHN.13.31	Kuboka tu Yuda, Yesu ngalenga, “Ngoe Mwana jwa Mundu akoigwe, na Nnoongo akoigwe nkati jakwe. 
JHN.13.32	Na anda kibumo cha Nnoongo kiekwike nkati ja Mwana, bai mwene Nnoongo apakuekula kibumo cha Mwana nkati jakwe mwene, na matenda genia chokwe. 
JHN.13.33	Akinangota bango, tango mbi namangweto kwa kingobu chenje tu. Mpakumbala, nambu ngoe nanenge gaga ganalengela achilongochi ba Akayahudi, ‘Kunyenda mangweto kuotoje kujenda!’ 
JHN.13.34	Nampeganga amuli nhyono, mpalane andi panampalanga mangweto. 
JHN.13.35	Anda mpaline mangweto jika, bandu mabamanya mangweto makinapunji bango.”
JHN.13.36	Simoni Petulo ngankonya, “Angwana nyenda ko?”
JHN.13.36	Yesu ngajanga, “Kunyenda kuotoje kungengama ngoe, nambu maungengama mwenakandae.”
JHN.13.37	Petulo ngankonya, “Angwana, kwani kuotoje kunkengama ngoe? Mbi laachi kuwe kwa magambu ginu.”
JHN.13.38	Yesu ngajanga, “Bo, mmi laachi kuwe kwa magambu gango?” Nannenge tango na nkokoloko kubekaje mpakungana patatu.
JHN.14.1	Yesu ngabalengela, “Makaechukaje mumyojo jinu. Muamini Nnoongo, nhwaminiange na nenga uyo. 
JHN.14.2	Kachabe Awawa bango mubi niitamo ndu, ngoe nyenda kupanga paali kwa ajili jiinu. Ikabi yeneje kabi nanengalinge. 
JHN.14.3	Anda nyabwile kumpanganakia paali kwa ajili jiinu, mambuja kuntolanga ili namangweto mmegange pambi nenga. 
JHN.14.4	Mijimanyingite ndela ja kujenda kweno kunyenda.”
JHN.14.5	Tomasi ngankonya, “Angwana, tumanyije ukwannyenda, tupakuotobo kujimanya ndela jene?”
JHN.14.6	Yesu ngajanga, “Nenga nga ndela, na kweeli na bwomi, abije jwaotwile kujenda ka Awawa ila kukupetela kwango. 
JHN.14.7	Ngabalengela, anda umanyi nenga, mammanyi na Awawa bango uyo. Na mpaka ngoe mammanyi, kabe mabweni.”
JHN.14.8	Filipo ngannengela, “Angwana, mutulangile Awawa, na twe aputupala.”
JHN.14.9	Yesu nganyanga, “Ndamite na mangwetumwe kingobu choeche, na gwe Filipo umanyije? Ojwa mweni neenga babweni Awawa. Nhwotobo kulenga ‘mutulangi Awawa’? 
JHN.14.10	Bo Filipo, kuaminije mbi nkati ja Awawa na Awawa babi nkati jango?” Kibokachapena Yesu ngabalengela akinapunji bakwe, “Malobe ganannenge kwa madalaka gangoje, nambu Awawa bababi nkati jango, bakamu maengo gabe. 
JHN.14.11	Mpaligwa kuamini panenga nenga mbi nkati ja Awawa na Awawa babi nkati jango. Andaje, nhwaminiange kwa magambu ga ilebe yandenda. 
JHN.14.12	Nanenge kweeli, ojwanhwamini apakutenda ilebe yambakutenda nenga, abakutenda ata makolongwa muno, kwa magambu nyenda kwa Awawa. 
JHN.14.13	Na chachoa chela champa kujopa kwa liina lyango mandenda, kupala Awawa balumbigwe nkati ja mwana. 
JHN.14.14	Anda unyopangite chachoa chela kwa liina lyango, mandenda.
JHN.14.15	“Anda umbailinge makamula Malagilo gango. 
JHN.14.16	Nanenga manajopa Awawa nabenia mabampa jonge jukunnyangata, ojwapakutama na mangweto lemulemu pangapela. 
JHN.14.17	Jweno nga Uhuke jwa kweeli jwa Nnoongo. Dunia kuotoje kumpokela magambu kuotoje kummona wala kummanya. Nambu mangweto mumanyi magambu baigi namangweto na babi nkati jiinu.
JHN.14.18	“Nanekangaje mangweto ukeba, mainka kabele kwinu. 
JHN.14.19	Tango kachoko na jene dunia jimonaje kabele nambu mangweto mammona, na magambu ne namomi, namangweto uyo mamma mammomi. 
JHN.14.20	Lichoba lyale palipa kuika mammanya nenga mbi nkati ja Awawa, na mangwetomwe mi nkati jango, nane nkati jinu.
JHN.14.21	“Ojwapokela amuli jango na kujikengama jweno nga ojwambala nenga. Na ojwambala nenga mapaligwa na Awawa bango na nenga manampala na kukilaya kujweno.”
JHN.14.22	Yuda jweno Yuda Isikaliotije, ngannengela, “Angwana, kuotolabo mwe kukilaya kwito nukube kuduniaje?”
JHN.14.23	Yesu ngannyanga, “Mundu anda ambaile akengame mapundicho gango, na Awawa bango mabampala, natwe matuika nukutama nabo. 
JHN.14.24	Jwangambala ukengamaje maboulo gango. Nililobe elimilijoina lela ngiti lyangoje, ila lyabe Awawa abandumitage.
JHN.14.25	“Nannengilinge ilebe yene mangobu mbitango pamwe na mangweto. 
JHN.14.26	Nambu Nnyangati, jweno Uhuke jwa Chwapi, jwombe Awawa bapakuntuma kwa liina lyango, mammola kila kilebe nukunkombokelanga yoa einanengalinge.
JHN.14.27	“Nanekela tengela, nampeganga tengela jango. Nampe andi pijitenda duniaje, makabe nambweleje wala kuechuka. 
JHN.14.28	Nganyoanga panannengala, ‘Ne ndendakujabula, mambuja kabele kwinu.’ Makambailinge kabi mmi nalaa, kumagambu nyenda ka Awawa, benia akolongwa kumbeta ne. 
JHN.14.29	Nannengelanga genia ngoe tango nukupitilaje, ibe pagapakupitila mme unhwamininge. 
JHN.14.30	Nonge kabeje namangwetomwe ilebe ijingi kumagambu nkolongwa jwa dunia jeno atendakuwika, akwetije makakala kumbeta ne. 
JHN.14.31	Nambu dunia jipaligwa kumanya napala Awawa, ngakwamana ndenda kila kilebe andi Awawa pabaamuliche.
JHN.14.31	“Nnyemange tuboke pamba!
JHN.15.1	“Nenga nzabibu gwa kweli, Awawa bango alemi 
JHN.15.2	Kila lutambi nkati jango lwangapambika ngoko benia kuluboya, nakila lutambi olupambike kuluunila kupala lupambike muno. 
JHN.15.3	Mangweto mwe mmilingite chwapi kwa magambu ga nhwalo go gunanengile. 
JHN.15.4	Ntamange nkati jango, nane mandama nkati jinu. Andi yene lutambi kuotwaje jika jakwe kupambika ngoko nukutamaje munkongo gwa zabibu, na yene uyo mangwetomwe kuotwaje kupambika ngoko nukutamaje nkati jango.
JHN.15.5	“Nenga nga nzabibu, mangweto mwe ndambi. Ojwatama nkati jango na ne anda mbi nkati jakwe jweno mapambika ngoko majingi. Mana na neje, nhwotolangaje kutenda chachoa chela. 
JHN.15.6	Mundu jwajoa jola anda nukutamaje nkati jango, kunneke panja andi lutambi nu kujoma. Bandu kulokota ndambi andi yene nukuilekela pamwoto itinike. 
JHN.15.7	Anda ntamite nkati jango na malobe gango anda gatamite nkati jinu, bai, nnyopechachoa chela mampata. 
JHN.15.8	Kibumo cha Awawa bango kibonekane anda mpambike ngoko majingi nukube akinapunji bango. 
JHN.15.9	Nenga nampailinge andi Awawa pabambaile nenga, ntamanga mumapalano gango. 
JHN.15.10	Anda nkamwile amuli jango mantamanga mumapalano gango, andi yene nenga pangamwile amuli ja Awawa nukutama mumapalano gabe.
JHN.15.11	“Nannengile ilebe yenie mbala laa jango jibe nkati jinu nalaa jinu jikomale. 
JHN.15.12	Jenje nga amuli jango, mpalane andi panampala mangweto. 
JHN.15.13	Gabije mapalano makolongwa muno kupeta mapalano ga mundu jwaboya bwomi gwakwe kumagambo ga kaganja mundu. 
JHN.15.14	Mangwetomwe makaganja bango anda nteilinge ganunhwamulicha. 
JHN.15.15	Mangwetomwe nankema kabeje makapakachi, mana mpakachi kumanyaje gabatenda angwana mundu, nambu nenga nankema mangweto makaganja kumagambu nanandulile goa ganajoa kuboka ka Awawa bango. 
JHN.15.16	Mangweto unjagulingeje ne, nambu ne nanchagwile nukuntuma nnyende mukapambike ngoko, ngoko agalama, bombe Awawa bampe chachoachela champa kujopa kuliina lyango. 
JHN.15.17	Bai amuli jango kwinu nga jenje, mpalane.
JHN.15.18	“Anda dunia janchimwa mangweto, nkombakela jinjimwite oti nenga. 
JHN.15.19	Makabi mabandu bapadunia, dunia kabi jimpaile andi bandu baakwe. Nambu kwa magambu mangweto bapaduniaje, ila ne nanchagulinge kuboka padunia, kwa magambu genia dunia janchimwanga. 
JHN.15.20	Nkombokelange aganannengelinge, ‘Mmanda nkolongwaje kumpeta nngwanamundu.’ Anda bandu bambotike ne, bapakumpotekanga namangweto uyo, anda bandu bagapenekia maboulo gango, mabagapenekia naginu uyo. 
JHN.15.21	Nambu genia goa mabantendela mangweto kwa magambu mangweto mwe bango, magambu bumanyije jwajo ojwa ndumite. 
JHN.15.22	Nakabi nukuwikaje nukulonge nabo, bakabinagoje mabaja, nambu ngoe kuotwaje kukikoola kube banga mabaja. 
JHN.15.23	Abanjimwa nenga, bachimwa Awawa bango uyo. 
JHN.15.24	Ikabi nukutendaje kwabe eibi yangatenda mundu jwajotejola, bakabije na mabaja, nambu ngoe baloile gandendite ngabanjimwanga na Awawa bango uyo. 
JHN.15.25	Nga kwamaana gaga gagaandikigwe Mumalagilo gabe kweli, ‘Batekunjimwanga pangamalemwa.’
JHN.15.26	“Papakuika nnyangati, jwenio Uhuke jwa Nnoongo, jwambakuntuma kwinu kuboka kwa Awawa, jweno Uhuke ba Nnoongo, apakunjalakicha ne. 
JHN.15.27	Namangwetumwe uyo maunjalakicha kwa magambu makiba na ne pamwe pitumbala.
JHN.16.1	“Nannengila genia kupala mikijilekaje imani jinu. 
JHN.16.2	Bandu bapakumenga mangweto mumajumba gabe ga kugongalela. Kabele kingobu kitenda kuika iba kila ojwapakunkoma mangweto akita atenda yapala Nnoongo. 
JHN.16.3	Bapakuntenda ilebe yene kwa magambu bamanyije Awawa, na bammanyije ne. 
JHN.16.4	Bai nannengile ilebe yene ibe kingobu chakwe echikipakuika nkombokele nanengile.
JHN.16.4	“Nanengilingeje ilebe yenje kuboka pitumbulaga magambu nakiba pamwe na mangweto. 
JHN.16.5	Nambu ngoe nanyendelela jwajo ojwandumite, na abije na jumweje jwangonya nyenda ko? 
JHN.16.6	Kwa magambu ngoe nanengelinge ilebe yene, mmilingite echu mumyojo jinu. 
JHN.16.7	Nambu nanengelinge kweli, mbaya jinu mangweto ne nyabule, maana anda nukujabuje Nnyangati jo aikaje kwinu. Nambu anda nyabwile, manantuma kwinu. 
JHN.16.8	Jwombe apapakuika apakalenge kweli bandu bapadunia mabaja gabe, na gapala Nnoongo na hukumu jakwe. 
JHN.16.9	Balemwanga kwa magambu ga mabaja, babi kunhwaminije ne. 
JHN.16.10	Balemwanga kwa magambu ga agapala Nnoongo, kwa yene nyenda kwa Awawa, mangweto umonangaje kabele, 
JHN.16.11	na balemwanga ku nhwalo gwa hukumu, nkolongwa jwa dunia jenje ahukumigwe.
JHN.16.12	“Mbinago nduu gu kunengela, nambu ngoe kuotoje kugakamula. 
JHN.16.13	Nambu apapakuika Uhuke jwa kweli mabalongelea kukweli joa, mana ailenga kwa madalaka gakweje, nambu ainengala agapakujoa, na apakunenge ilebe ipakuika. 
JHN.16.14	Jweno apakungoya nenga kwa magambu apakunnengela gaga agapakupata kuboka kwango. 
JHN.16.15	Yoa ibakweti Awawa nga yango, ngamana nengita jweno Uhuke ba Nnoongo apakunenge gaga agapakupata kuboka kwango.
JHN.16.16	“Kingobu tango kachoko mangwetumwe umonaje, nakuboka pakingobu kachoko maumona kabena!”
JHN.16.17	Penia akinapunji bakwe bange ngabakonyana, “Babi na mana gako pabatulenge, ‘Tango kingobu kachoko mangweto umonaje, na kuboka pakingobu kichoko maumonage?’ Kabe alenga, ‘Nukube nyenda ka Awawa!’ ” 
JHN.16.18	Bai ngababe bakakonyana, “Babi na mana gako pabalenga, ‘Tango kingobu kichoko?’ Tumanyije echa longela.”
JHN.16.19	Yesu ngamanya bapaila kunkonya, bai ngabalenge, “Bo, nkonyana magambu ganongila gala, ‘Tango kingobu kachoko mangweto umonaje, na kuboka pakingobu kachoko maumonanga kabele?’ 
JHN.16.20	Nanenge kweli, mangweto mpakuguta nu kokaleka, nambu dunia jipakube na laa. Mpakuwechuka nambu kuwechuka kwinu kuba kugalambuka kube laa. 
JHN.16.21	Kingobu amama pabakikombola mwana balola kuwechuka magambu ga kubinia kuiike, nambu anda bajomwi kukikombola kukukomboke kabeleje kubinia ko kumagambu ga laa kube mundu abelwike padunia. 
JHN.16.22	Mangwetu mwe uyo mmimukuwechuka ngoe, nambu manunhwikalila kabele, namangweto mpakube na laa mumyojo jinu, na laa jene abije mundu ojwapakuboya kwinu.
JHN.16.23	“Lichoba lyene minyopaje chachoa. Kweli nanenge, chachoa champakajopa Awawa kuliinalyango, mabampa. 
JHN.16.24	Mpaka ngoe manajopaje chachoa kuliina lyango. Nnyopange mangweto mampata kupala laa jinu jilimbe.
JHN.16.25	“Nanengila ilebe yenje kukichobo nambu kingobu makiika penia nonge kabeje kukichobo, ninengela ndaa ga Awawa. 
JHN.16.26	Lichoba lyene mpakujopa kuliinalyango, na nanengije mbakajopa Awawa kumagambu ginu mangweto, 
JHN.16.27	mana Awawa bampala mangweto, kumagambu mangweto umbala ne na nhwamini moka ku Nnoongo, 
JHN.16.28	Nenga ngamoka ka Awawa, nganhika padunia nangoche ndenda kujileka dunia na kubuja ka Awawa.”
JHN.16.29	Bai akinapunji baakwe ngabanenge, “Hoo! Ngoe nnenga kindema muno panga kichobo. 
JHN.16.30	Ngoe tumanyi mwe mmanyi kila kilebe, kibije kilebe chukunkonya mundu jwajoa, na yene tuamine mmoka ku Nnoongo.”
JHN.16.31	Yesu ngaba janga, “Bo, nhwamininge ngoe? 
JHN.16.32	Kingobu kitenda kuika, kabe kiike, iba mangweto mmoa mmaganga mpwilikine kila mundu kachakwe na ne uneka jika jango. Pibile, nambu ne jika jangoje, magambu Awawa babi pamwe na ne. 
JHN.16.33	Nanengelinge ile yenje ili mmegange na tengela kukulondana nanenga. Dunia jipakumpeganga kulaga, nambu nhwimbililange! Ne nijiotwile dunia!”
JHN.17.1	Yesu apajomola kulenga genia, ngalola kunani kumbengu, ngalenga, “Awawa, mangobu gaike! Mankoleye Mwana jwinu na jweno Mwana apate kunkoleya. 
JHN.17.2	Andi yene ngamampe mwanajwinu kinala kubandu boa, kupala mapegange bwomi gu machoba goa pangapela kubenia boa abamapile. 
JHN.17.3	Nabwomi gwa machoba goa pangapela nga gongono, bummanye mwenga mammi jika jinu Nnoongo jwa kweli, nukummanya Yesu kilisto oju muntumite. 
JHN.17.4	Nenga nankolie pamba padunia, ngamilishe liengo eliumbile ndende. 
JHN.17.5	Ngoe, Awawa, ungoleye nnongi jinu kukibumo cha ngweti tangu nukupanganaje dunia.
JHN.17.6	“Nantendite mmanyikane ku bandu baba abaumbile kuboka kudunia. Bakibanga bandu binu, nane ngumbe babe bango. Na benia bilikamulinge lilobe linu. 
JHN.17.7	Ngoe bamanyi kila echiumbile kibokita kwinu. 
JHN.17.8	Nenga napilangite malagilo agaumbile, na benia bapokalinge, bamanyangite kweli mokite kwinu, na baamininge mwenga makande kunduma.
JHN.17.9	“Najope angweto, nijijope duniaje, nambu najopela bumbile, gambu nga binu. 
JHN.17.10	Goa gambinago nga ginu, naginu nga gango, na kibumo chango kibonakine mubenia abaumbile. 
JHN.17.11	Na ngoe nhika kwinu. Mbikabeje padunia nambu angweto babi padunia. Awawa Bachwapi! Kwa makakala ga liina linu eliumbile, chonde malolelange gwicho babegange kilebe chimwe. 
JHN.17.12	Apanakibanabo, nenga nganalolelanga gwicho kumakakala ga liina linu liumbile. Nenga nalolile, abije ata jumwe jwajomwike. Nambu jwajo jumwe mwana jwa obite ili Majandiko Machwapi gatimie. 
JHN.17.13	Bai ngoe nhika kwinu, nanongile ilebe yenje padunia, ili baotolange kutama kwambone mulaa jango. 
JHN.17.14	Nenga napilangite malagilo giinu, na bandu bapadunia ngabaachimwanga, magambu angweto bapaduniaje, andi yene nenga napadunia panoje. 
JHN.17.15	Nyopa maboyange paduniaje, nambu nyopa malolele na jwajo Mmaja. 
JHN.17.16	Angweto bapaduniaje andi nenga nambi bapikilamboje. 
JHN.17.17	Bajeguye kwa kweli, lilobe linu nga kweli. 
JHN.17.18	Anda yene ungingita padunia, nane uyo natumangite padunia. 
JHN.17.19	Na kwa magambo gabe namwene nikilumike kupala namangweto uyo bajeguigwe mukweli.
