MAT.1.1	Jesus Kristo, Dawi panaa, Abaraãm panaa. Hahỹ ta wahë makũ sa häd heen n'aa kerih doo:
JHN.19.6	Ti m' P'op Hagä Do tób n'aa yt hã moo heb'ooh do sa wahë n'aa, P'op Hagä Do tób n'aa hagã n'aa Jesus rabahapäh bä, nayyw hẽ rageëëj bong:
JHN.19.6	—Mepëëm däg, mepëëm däg! —näk mäh.
JHN.19.6	Ti m' Pirato ky hadoo:
JHN.19.6	—Bë né hẽ hepëëm däk. Ỹ ti dooh ỹ aw'yyt pé ta hã ky n'aa ketyy do hã —näng mä Pirato.
JHN.19.7	Ti m' Judah buuj wahë n'aa raky kah'ũũm ta hã:
JHN.19.7	—Ãã ky n'aa jaw'yyk do ky n'aa hyb n'aa taw'ããts hẽ tadajëp né hẽ, P'op Hagä Do T'aah tabanäng do hyb n'aa —näk mä sa kyyh.
JHN.19.8	Pirato maa newë däk bä tii da, tak'ëp mä tabeyym tii bä kä. 
JHN.19.9	Ti m' p'aa hẽnh tabajëë suun tób gó, ti m' Jesus hã tabeaanh:
JHN.19.9	—N'yy hẽnh naa õm? —näng mäh.
JHN.19.9	Jesus kawanaj'ããn né paawä, dooh m' taky gado bä. 
JHN.19.10	Ti m' Pirato ky hadoo ta hã:
JHN.19.10	—Dooh maky gado bä? Mahapäh né hẽ, ỹ hajaa ỹ mejõ bä õm raberéd hõm hyb n'aa, ỹ hajaa na-ããj hẽ ỹ mejõ bä õm rabepëëm däk —näng mä Pirato.
JHN.19.11	Ti m' Jesus ky hadoo ta hã:
JHN.19.11	—Dooh paawä mahaja bä hã ỹỹ, P'op Hagä Do nan'oo bä. Ti hyb n'aa, ỹ haëëj däk do sa hã, a hã hanäng do nesaa do bahä̃nh sa hã —näng mä Jesus Pirato hã.
JHN.19.12	Ti m' ta ti Pirato maa newë däk bä takarẽn paawä taberéd hõm Jesus. Tak'ëp mä Judah buuj rageëëj had'yyt hẽ tii bä:
JHN.19.12	—Ta ti aj'yy meréd hõm bä, dooh Sesa, sahõnh hẽ bä wahë n'aa h'yyb hata mado bä. Häj n'aa wahë n'aa hanäng doo, Sesa tahyb n'aa wareem —näk mä sa kyyh.
JHN.19.13	Ti m' Pirato maa napäh bä m' ta tii, tamanyyh Jesus, ahyy sooh mä ji ky n'aa etyy n'aa tyng jó. Pä ta yt ta tii bä. (Eberew kyy me ramaneëënh ta ti Gabatah.) 
JHN.19.14	Pas-kowa rataheb'ëës do pooj jé noo gó m' tii. Wasyk mäh. Ti m' Pirato ky hadoo Judah buuj sa hã:
JHN.19.14	—Gëët hahỹ bë wahë n'aa —näng mäh.
JHN.19.15	Ti m' raky hadoo tak'ëp:
JHN.19.15	—Mado hõm, mado hõm, mepëëm däg! —näk mäh.
JHN.19.15	—Bë wahë n'aa ỹ epëëm däk g'eeh? —näng mä Pirato.
JHN.19.15	Ti m' P'op Hagä Do tób n'aa yt hã moo heb'ooh do sa wahë n'aa raky hadoo:
JHN.19.15	—Jããm né hẽ sét hẽ ãã wahë n'aa, Sesa! —näk mäh.
JHN.19.16	Ti m' tagadëëg ub kä, Jesus Pirato bahaëëj däg kän sa hã takepëëm däk hyb n'aa.
JHN.19.16	Ti m' warahén sa hã kä takahaëëj däk Jesus. 
JHN.19.17	Ta daaj hẽ Jesus besoo hõm b'aa rahepëëm däk do pan'aa ta hã. Ji Nu Gabóg K'yy ramaneëënh doo hẽnh ramahũũm. (Eberew kyy me ramaneëënh ta tii bä Gogota.) 
JHN.19.18	Tii bä rabepëëm däk b'aa kajatsëk do hã kä. B'aa kajatsëk do wób hã rabepëëm däk na-ããj hẽ pawóp hẽ ajyy. Hub hẽnh ta see hahäng, s'ỹỹ hẽnh ta see hahäng. Hõõ gó Jesus kahepëëm däk do bahäng. 
JHN.19.19	Pirato kyy gó raberii bong ta heen n'aa, ti m' p'op, Jesus nu gad'oo pong jé, rabepëëm däk. Hahỹỹ da m' takerih ta hã: “Jesus, Nasaréh buuj, Judah buuj wahë n'aa hahỹỹh.” 
JHN.19.20	Edah tii, Jerusarẽnh bä naa. Ti hyb n'aa hajõk ner'ood bong kerih doo. Tamawoob hẽ kyyh takamerih doo: Eberew kyy me, Ratĩn kyy me, Gereg kyy me. 
JHN.19.21	Ti m' P'op Hagä Do tób n'aa yt hã moo heb'ooh do sa wahë n'aa rabahõm kän Pirato wë, ti m' raky hadoo:
JHN.19.21	—Merii manäh: “Judah buuj sa wahë n'aa”, hanäng doo da. Taw'ããts hẽ merii: “Ta daaj hẽ Judah buuj sa wahë n'aa tabanäng hahỹ aj'yy” —näk mä sa kyyh.
JHN.19.22	Ti m' Pirato ky hadoo:
JHN.19.22	—Taw'ããts hẽ ỹ erii wät doo. Dooh ỹ ahỹỹd wäd bä —näng mä sa hã.
JHN.19.23	Ti m' Jesus warahén rabepëëm däk do jawén paa bä m', rabasog hõm ta saroor. Retyn hõm ji meheet pé hadoo do sa hã. Sét hẽ, ta hatsë, mad'aak kanasuuh doo. 
JHN.19.24	Ti m' raky hadoo:
JHN.19.24	—Dooh ër as'ẽẽd bä hahỹỹh. Hamäh, masuuj ër moo bong ër bahapäh hyb n'aa jaa wë tabaym —näk mä sa kyyh.
JHN.19.24	Ti tawén hadoo, P'op Hagä Do kyy kerih do kametëëh hyb n'aa. Hahỹỹ da takerih ta ti ky n'aa:
JHN.19.24	“Rabetyn hõm sa hã hẽ saror ỹỹ.
JHN.19.24	Masuuj ramoo bong saror ỹ hyb n'aa.”
JHN.19.24	Tii da né hẽ warahén ramoo boo kän.
JHN.19.25	B'aa kajatsëk do Jesus hadäk do dewë hã, ti ab'ëëh ta ỹỹn, ta kaat, Keropas häd näng do ỹỹm Marija häd näng doo, Marija Madarẽn häd näng do daheeh. 
JHN.19.26	Ti m' Jesus bahapäh bä ta ỹỹn, ta ma matëg seeh, tak'ëp takamahä̃n do rabab'ëëh bä, Jesus ky hadoo ta ỹỹn hã:
JHN.19.26	—Gëët ta ti a t'aah —näng mäh.
JHN.19.27	Ti m' ta ma matëg hã m' taky hadoo:
JHN.19.27	—Gëët ti a ỹỹn —näng mä Jesus ta ỹỹn ky n'aa hã.
JHN.19.27	Tii bä kä, ta ti tagado kän Jesus ỹỹn ta tób bä kä, tabahag'ããs hyb n'aa kä.
JHN.19.28	Ta jawén kä, sahõnh hẽ tabahaja däk bä kä tamoo wät do paah, P'op Hagä Do kyy kerih do kametëëh hyb n'aa kä taky hado kän: “Ỹ hoo kaanh”, näng mäh. 
JHN.19.29	Ti asooh tii bä uwa s'ëëb oow. Ti m' raheh'oos sapum doo, Jesus hã rabanoo hyb n'aa. B'aa isop häd näng do hã radadäk, ti rabanoo p'op, Jesus beëëk hyb n'aa ta naëng hadoo. 
JHN.19.30	Jesus beëëk do jawén paa bä, taky hadoo:
JHN.19.30	—Jããm né kä ỹ moo wät doo —näng mäh.
JHN.19.30	Ti m' ta nu wakoo däg kän, ti m' h'yy keréd hõm mäh.
JHN.19.31	Saab pooj jé m' ti ta tii. Saab pooj jé né hẽ m' ta ti Judah buuj rabahenyyw hõm Saab hã rakamehehãk hyb n'aa. Tak'ëp ratayy ti noo gó, Pas-kowa noo gó tabadoo do hyb n'aa. Dooh Judah buuj rakarẽn bä Saab hã rapadäg nä bä kepëëm padëëk doo. Ti hyb n'aa rabetsẽẽ Pirato hã tamejũũ hyb n'aa warahén ragetëh bong hyb n'aa sa tsyym k'yy, nayyw hẽ radejëp hyb n'aa. Rabetsẽẽ rasog hyk hyb n'aa sa kamag Saab du doo do pooj jé. 
JHN.19.32	Ti m' Pirato mejũũ warahén sa tsyym k'yy ragetëh bong hyb n'aa. Ti m' Jesus pa hadäk do ragetëh bong ta tsyym k'yy, ta jawén mä ta see tsyym k'yy. 
JHN.19.33	Jesus tsyym k'yy ragetëh paawä, tii bä rabahapäh Jesus dajëp. Dooh Jesus ratsyym k'yy getëh boo bä. 
JHN.19.34	Ti warahén bejóh kän ta baa bä. Ti m' majyyw banyyh naëng mahang. Dajëp né kä m'. 
JHN.19.35	Aj'yy ta ti hapäh doo, baad tabaher'oot ta ti ky n'aa. Dooh daap tamenä bä. Ta ti aj'yy hapäh né hẽ, te hub né hẽ taher'oot doo. Ta ti tawén erii wät hahỹỹ hã, bë na-ããj bë ky daheeh hyb n'aa, bë h'yy ka'eeh hyb n'aa. 
JHN.19.36	Jesus tsyym wén ganetëëh, P'op Hagä Do kyy kerih doo gó kerih do kametëëh hyb n'aa. Hahỹỹ d' paa m' takerih ta ky n'aa: “Dooh da ta k'yy gatëh is péh.”
JHN.19.37	Rawén baa ejooh, hahỹ kerih do paa kametëëh hyb n'aa: “Raheg'ããs da rabaa ejooh do wë.”
JHN.19.38	Tii bä kä, Jesus kamag n'aa paa Joséh, panang Arimatsija häd näng do buuj hadoo doo, bets'ẽẽ kän Pirato hã. Jesus h'yyb hata ta ti Joséh. Dooh tametä bä ta h'yyb, ta hã tah'yy ka'eeh doo, tajeỹỹm do hyb n'aa Judah buuj sa wahë n'aa wób. Ti m' Pirato bahaëëj däk ta hã. Ti m' Joséh bana, tado hyy kän mä Jesus kamag n'aa paah. 
JHN.19.39	Nikodẽm Joséh hata. Nikodẽm né hẽ tii, p'ooj ub Jesus heg'ããs do atsëm. Nikodẽm manaa mä 35 m' ta nu jawyg b'aa s'ëëb buu benyym doo. Aroé ramaneëënh do s'ëëb, miir ramaneëënh do s'ëëb ta ti buu benyym. 
JHN.19.40	Ti m' Jesus kamag n'aa paa rahabën däk pããn me, hawak doo me, rino häd näng do s'ëëb. Buu benyym mä ta hã. Judah buuj rabahed'oo doo da né hẽ rabad'oo Jesus kamag n'aa hã. 
JHN.19.41	Jesus rabepëëm däk doo bä ti anäng joom. Ti mahang tagadäk papuuj kamag hood, pä gó ragagots däk doo. 
JHN.19.42	Saab pooj jé, Judah buuj rabahenyyw hõm noo gó tado hyb n'aa, p'eets hẽ ta ti kamag n'aa hood tagadäk do hyb n'aa na-ããj hẽ, tii b' né radasuun jëë kän Jesus kamag n'aa. 
JHN.20.1	Ti m' bäp paah, met'uuh hã, badajung nä, Marija Madarẽn häd näng do bahõm kän pä gabaho doo hẽnh, Jesus kamag n'aa radasuun jëng hẽnh. Taheg'ããs mäh, noo gasëëts hõm gabaho do ty gatsë. 
JHN.20.2	Ti m' tawaj'aa jëng Peed, Jesus ma matëg baad Jesus kamahä̃n do daheeh rabab'ëëh hẽnh. Ti m' taky hadoo pawóp hadoo do sa hã:
JHN.20.2	—Rado nyyh Tak'ëp Hyb N'aa Jawyk Do kamag n'aa. Dooh ãã hapëë bä n'yy hẽnh ramahũũm —näng mä ta kyyh.
JHN.20.3	Ti m' Peed, Jesus ma matëg see daheeh ah'ũũm mä Jesus kamag n'aa hood gadäk hẽnh. 
JHN.20.4	Waj'aa h'ũũm. Tak'ëp Jesus ma matëg see wajaah ta pooj jé. Peed pooj jé takajaa. 
JHN.20.5	Ta noo bä takajaa bä, dooh tajëë suun bä. Nu hyy däk, tabaheg'ããs ta gó. Tahapäh pããn hewak doo, rino häd näng do s'ëëb. 
JHN.20.6	Ti m' Peed, duu hẽnh hana do kaja nä. Gabaho doo gó tabajëë suun. Pããn hewak doo, Jesus kamag n'aa ramahabën däk do paah, tahapäh. 
JHN.20.7	Pããn hawak doo, ta mamets jesuu n'aa paah, tahapäh na-ããj hẽ. Ti asooh tsyt hẽ, baad takamatëh däk. 
JHN.20.8	Tii bä m' Jesus ma matëg seeh, pooj jé kajaa doo, bajëë suun kän. Ta ti tabahapäh bä kä, Jesus ganä wät do taky dahé kän. 
JHN.20.9	(Dooh tagah'ood nä bä sa hã P'op Hagä Do kyy kerih doo gó taher'oot doo, Jesus ganä wät da hanäng doo.)
JHN.20.10	Ti m' rabajëk sa tób hẽnh. 
JHN.20.11	Marija Madarẽn baym kamag hood paa noo bä. Aoot mäh. Ta ód gó tanu hyy däk gabaho doo gó tageg'ããs hyb n'aa. 
JHN.20.12	Tii bä m' pawóp hẽ ããs tabahapäh. Hewak mä sa saroor. At'oonh mä Jesus kamag n'aa basooh do paa bä m'. Ta nuu hẽnh tabanäng hẽnh mä ta seeh, ta tsyym tabanäng hẽnh ta seeh. 
JHN.20.13	Ti m' ããs rabeaanh ta hã:
JHN.20.13	—H'ëëd p'ãã mabaoot? —näk mäh.
JHN.20.13	Ti m' taky hadoo:
JHN.20.13	—Rado hõm wahë ỹ n'aa. Dooh ỹ hapëë bä n'yy hẽnh rahed'oo —näng mä Marija Madarẽn.
JHN.20.14	Ti m' ta jawén p'aa hẽnh tabegãã wät. Taheg'ããs mä Jesus tii bä hagëët. Dooh m' tah'yy ganyy bä Jesus tado bä. 
JHN.20.15	Ti m' Jesus ky hadoo ta hã:
JHN.20.15	—H'ëëd p'ãã mabaoot? Jaa ta ti mesoos doo? —näng mäh.
JHN.20.15	Ta tii bä joom mahang moo hew'ëët do ted'oo mäh. Ti hyb n'aa taky hadoo ta hã:
JHN.20.15	—Õm tado bä ti hado nyyh, maher'ood hã ỹ n'yy hẽnh mamahũũm, ỹ behëën hyb n'aa ta kamag n'aa —näng mä Marija Madarẽn.
JHN.20.16	Ti m' Jesus ky hadoo ta hã:
JHN.20.16	—Marija! —näng mäh.
JHN.20.16	Ti m' Marija ty kaw'õõd däk ta wë, ti m' Eberew kyy me
JHN.20.16	—Raboni! —näng mäh. (“Ma matëg”, tahanäng pé m' tii.)
JHN.20.17	Ti m' Jesus ky hadoo ta hã:
JHN.20.17	—Moo dëë manä hã ỹỹ —näng mäh. —Dooh Ee wë ỹ ewäd s'ëëg nä bä. Ahõm hä̃j haa hedo padëëk do sa wë. Hahỹỹ da maher'ood sa hã këh ỹ n'aa: “Ỹ asëëk Yp ỹ wë, bë Yb na-ããj, P'op Hagä Do ỹ h'yy kaha'eeh doo, bë h'yy kaha'eeh do wë”, tii da a kyyh —näng mä Jesus ta hã.
JHN.20.18	Ti m' Marija Madarẽn bajëng Jesus ma matëg sa wë. Tak'ëp Hyb N'aa Jawyk Do tahapäh mä tanooh. Tapanäk sa hã Jesus kyyh. 
JHN.20.19	Ti noo gó né hẽ m', met'uuh hã, atsëm, séd hã Jesus ma matëg rakata padëëk. Baad ranoo gatsëë däk ta tëg me tób nooh, sa wahë n'aa rajeỹỹm do hyb n'aa. Ti m' Jesus kas'ee g'ëëd kän sa mahang, ti m' takedëng sa hã:
JHN.20.19	—Taw'ããts hẽ bë P'op Hagä Do h'yyb en'yym —näng mäh.
JHN.20.20	Takedëng do jawén paa bä tametëëh sa hã ta mooh, ta baa. Tak'ëp ta ma matëg ratsebee bong Jesus Tak'ëp Hyb N'aa Jawyk Do rabahapäh bä kä.
JHN.20.21	P'aa hẽnh Jesus ky hadoo sa hã:
JHN.20.21	—Bë P'op Hagä Do h'yyb en'yym —näng mäh. —Ee ỹ tamejũũ doo da, bë ỹ mejũũ hỹỹ kä —näng mäh.
JHN.20.22	Ti m' tapahuunh sa wë, ti m' taky hadoo:
JHN.20.22	—Bë gado P'op Hagä Do Sahee —näng mäh. 
JHN.20.23	—Bë hyb n'aa mabaan bä nesaa do sa mo haj'aa, P'op Hagä Do mabaan né sa hã. Bë hyb n'aa manabaan bä sa hã, dooh P'op Hagä Do mabaan bä sa hã —näng mäh.
JHN.20.24	12 hedoo do sa seeh, Toméh häd näng doo, “Kawareeh” ramaneëënh doo, dooh sa mahang Jesus kasee bä. 
JHN.20.25	Ti m' ta wób rabaher'oot bä Jesus Tak'ëp Hyb N'aa Jawyk Do rahapäh doo, dooh taky dahé bä.
JHN.20.25	—Atapuwa tyw n'aa ỹ nahapëë bä ta moo hã, moh ỹỹ me ỹ manep'aa bä atapuwa tyw n'aa ta moo hã, ta baa rejooh do tyw n'aa na-ããj hẽ, dooh ỹ ky dahé bä! —näng mä Toméh.
JHN.20.26	Ti m' met'uuh see hã, p'aa hẽnh ta ma matëg rakata p'ëë tób gó. Toméh sa sii kä. Noo gatsëë né paawä tób, Jesus kas'ee g'ëëd kän sa mahang, ti m' takedëng sa hã:
JHN.20.26	—Bë P'op Hagä Do h'yyb en'yym —näng mäh.
JHN.20.27	Ti m' Toméh hã taky hadoo:
JHN.20.27	—Mamep'aa hahỹỹh —näng mäh. —Mahegãã moh ỹỹ. Magadahëë a mooh, mamep'aa bah ỹỹ bä —näng mäh. —Maky sëëw manäh! Maky dahé! —näng mä Jesus Toméh hã.
JHN.20.28	Ti m' Toméh ky hadoo:
JHN.20.28	—Wahëh ỹ n'aa, P'op Hagä Do ỹ h'yy kaha'eeh do õm! —näng mä Toméh kyyh.
JHN.20.29	Ti m' Jesus ky hadoo ta hã:
JHN.20.29	—Ỹ mahapäh do hyb n'aa mawén ky daheeh. P'op Hagä Do ky n'aa edëng da jé ỹ ranahapëë né paawä ky dah'eeh doo —näng mä Jesus.
JHN.20.30	Hajõng nä Jesus pehuunh ta ma matëg rabahapäh bä. Dooh ta ti takerii bä hahỹỹ hã. 
JHN.20.31	Hahỹỹ hã kerih do wén kerii wät, Jesus ti Kristo, P'op Hagä Do H'yyb Däng Doo, P'op Hagä Do T'aah bë ky daheeh hyb n'aa. Ta hã bë h'yy kae bä, bë d' edëb had'yyt hẽ P'op Hagä Do wë Jesus hyb n'aa.
JHN.21.1	Ta jawén Jesus kas'ee wät p'aa hẽnh ta ma matëg sa hã karaj'aa Tiberijas
JHN.21.2	Simaw Peed häd näng doo, Toméh (“Kawareeh” ramaneëënh doo), Natanajéw häd näng doo (panang Kanah, Garirej häj n'aa bä hana doo), Sebedew häd näng do taah, pawóp hẽ Jesus ma matëg wób, séd hã rababoo däk. 
JHN.21.3	Ti m' Simaw Peed ky hadoo sa hã:
JHN.21.3	—Tah'ỹỹb ỹ es'aak —näng mäh.
JHN.21.3	—Ej. A sii ãã bah'ũũm —näk mä ta wób sa kyyh.
JHN.21.3	Ti m' rabaw'ëënh. H'oo yb gó ragatsëg t'oonh. Ti m' rabesaag kän. Resaag had'yyt hẽ paawä atsëm, dooh sa mo haj'aa péh.
JHN.21.4	Bäp paa Jesus bag'ëëd kän karaj'aa takëën hã. Dooh ta ma matëg rah'yy genä bä Jesus tado bä.
JHN.21.5	Ti m', tii b' naa Jesus naëënh:
JHN.21.5	—Najis haa —näng mäh. —Äkä, bë mo haj'aa? —näng mäh.
JHN.21.5	—Tabad'op hẽ ãã mo haj'aa —näk mä sa kyyh.
JHN.21.6	Ti m' taky hadoo:
JHN.21.6	—Taw'ããts hẽ hub hẽnh tabanäng hẽnh bë datu karahi, tii bä bë mo haj'aa enäh da —näng mäh.
JHN.21.6	Tii d' rabad'oo bä kä, hajõng tah'ỹỹb karahi gó. Dooh rahaja bä rej'ooj nä bä, tak'ëp hajõng do hyb n'aa tah'ỹỹb.
JHN.21.7	Ti m' Jesus ma matëg baad Jesus kamahä̃n do ky hadoo Peed hã:
JHN.21.7	—Jesus, Hyb N'aa Jawyk Do né tii —näng.
JHN.21.7	Ti m' Simaw Peed häd näng do maa napäh bä kä Jesus tii, tahanäng doo, nayyw hẽ tadadäg däk ta hatsë pooj jé tado nyyh dó. Ti tabahop tame, Jesus wë tabatsóm hõm hyb n'aa. 
JHN.21.8	Ta wób ah'ũũm ta jawén h'oo gó. Edah ta nabyyh. 100 meet tahyb n'aa péh. Ti hyb n'aa karahi rabejoonh tame naa. 
JHN.21.9	Rakajaa bä kä ta nabyy me, tëëg sëh hahõng do rahapäh. Tah'ỹỹb kejä ta jó. Pawóp na-ããj pãw tii b' hatoonh.
JHN.21.10	Ti m' Jesus ky hadoo sa hã:
JHN.21.10	—Bë mana tah'ỹỹb bë mo haj'aa wób —näng mäh.
JHN.21.11	Ti m' Simaw Peed gatsëk h'oo gó. Tii b' naa tabej'ooj nä kän karahi. Hajõng tah'ỹỹb hew'äp do ta gó. 153 tah'ỹỹb. Jawyg né paawä, dooh karahi gekog boo bä. 
JHN.21.12	Ti m' Jesus ky hadoo sa hã:
JHN.21.12	—B'ëëp bë ana, bë awëëh —näng mäh.
JHN.21.12	H'yyb e'ỹỹm “Jaa õm?” rawén neaanh. Jesus, Tak'ëp Hyb N'aa Jawyk Do né sa hã. 
JHN.21.13	Ti m' Jesus bado däk pãw, tah'ỹỹb daheeh, ti m' taban'oo däk sa hã. 
JHN.21.14	Tamawoob nuu me däg tii, Jesus kasee do sa hã, taganä wät do jawén paa bä.
JHN.21.15	Rabahaja däk bä rawëh doo, Jesus ky hadoo mä Simaw Peed hã:
JHN.21.15	—Simaw, Jowãw t'aah, ta wób ỹ rakamahä̃n do bahä̃nh ỹ makamahä̃n? —näng mäh.
JHN.21.15	—Ỹỹ —näng mä Peed. —Mahapäh né hẽ õm ỹ gen'aak —näng mäh.
JHN.21.15	Ti m' Jesus ky hadoo:
JHN.21.15	—Mahagãã masãh ỹ b'éé taah hedo padëëk doo —näng mäh.
JHN.21.16	P'aa hẽnh Jesus beaanh ta hã:
JHN.21.16	—Simaw, Jowãw t'aah, ỹ né makamahä̃n? —näng mäh.
JHN.21.16	Ti m' Peed ky hadoo:
JHN.21.16	—Ỹỹ —näng mäh. —Mahapäh né hẽ õm ỹ gen'aak —näng mäh.
JHN.21.16	Ti m' Jesus ky hadoo:
JHN.21.16	—Mahagãã masãh ỹ b'éé hedo padëëk doo —näng mäh.
JHN.21.17	Ti m' tamawoob nuu me däg kä tabeaanh ẽnh:
JHN.21.17	—Simaw, Jowãw t'aah, ỹ né magen'aak? —näng mäh.
JHN.21.17	Peed hyb n'aa tón wät mä tamawoob nuu me, “Ỹ makamahä̃n?” tahanäng do hyb n'aa. Ti m' taky hadoo:
JHN.21.17	—Hyb N'aa Jawyk Doo, —näng mäh —sahõnh hẽ mabahapäh. Mahapäh né hẽ õm ỹ gen'aak doo —näng mäh.
JHN.21.17	Ti m' Jesus ky hadoo:
JHN.21.17	—Mahagãã masãh ỹ b'éé hedo padëëk doo —näng mäh. 
JHN.21.18	—Né hup ỹ né hẽ hahỹ ỹ her'oot doo: Mapapunh nä bä mabehen'yyh, mabaheh'ũũm mah'yyb däng doo hẽnh. Mawah'ëë däk bä kä, madajoom da a mooh, õm da ramaw'yyd däk, makanarẽn hẽnh õm da ramahũũm —näng mä Jesus ta hã.
JHN.21.19	(Ta tii d' tawén her'oot, tametëëh hyb n'aa nyy da Peed dajëp, tadajëp do hã P'op Hagä Do kawehëë däk hyb n'aa.)
JHN.21.19	Ti m' Jesus ky hadoo Peed hã:
JHN.21.19	—Hamäh, jawén ỹ ahõm —näng mäh.
JHN.21.20	Dawë hã Jesus sii Peed bawät bä kä, ta jawén p'aa hẽnh tabegãã wät. Tahapäh Jesus ma matëg baad Jesus kamahä̃n do sa jawén hana doo. (Ti né hẽ ta ti Jesus ma matëg Pas-kowa tä n'aa rabawëh noo gó p'eets hẽ takatahã däk Jesus hã, “Jaa ti õm haëënh doo, Hyb N'aa Jawyk Doo”, heaanh doo.) 
JHN.21.21	Ta ti Peed bahapäh bä, tabeaanh mä Jesus hã:
JHN.21.21	—H'ëëd hado da ër jawén hana do hã? —näng mäh.
JHN.21.22	Ti m' Jesus ky hadoo:
JHN.21.22	—Ỹ karẽn bä paawä tanadajëb bä, p'aa hẽnh hỹ pong jé naa ỹ bahyng bä kä, hëd n'aa ti a hã? Ỹ karẽn ti õm hëp ỹ hata had'yyt hẽ —näng mä Jesus Peed hã.
JHN.21.23	Ta tii d' Jesus her'oot do hyb n'aa, raher'ood hõm kän Jesus ma matëg sa mahang, dooh m' ta ti Jesus ma matëg dajëb bä. Dooh tii d' Jesus edo bä. Jããm hẽ hahỹỹ da Jesus kyyh: “Ỹ karẽn bä paawä tanadajëb bä, p'aa hẽnh hỹ pong jé naa ỹ bahyng bä kä, hëd n'aa ti a hã”, näng paa m' Jesus ta hã.
JHN.21.24	Ỹ né hẽ ti ta ti ta ma matëg. Ỹ né hẽ ta ti Jesus ky n'aa her'oot doo. Ỹ né hẽ hahỹ ta ky n'aa herii wät doo. Baad ỹ bahapäh, te hub né hẽ sahõnh hẽ ta ky n'aa ỹ erii wät doo.
JHN.21.25	Hajõng Jesus moo wäd wät do ỹ nerii wät doo. Hã ỹỹ, ji erii bä paawä sahõnh hẽ, dooh paawä badäk hahỹ tahaja wäd bä ta tyw n'aa, ji erii bä sahõnh hẽ. Jããm hẽ kä.
ACT.1.1+ACT.1.2	Teopiro, õm ti ỹ ma erih. Pooj jé ỹ erii wät doo gó, ỹ erii wät sahõnh hẽ Jesus mo haj'aa paah, tama metëëk do paa na-ããj hẽ, hỹ pong jé Jesus bas'ëëg kän P'op Hagä Do an'oo bä. Hỹ pong jé tabasëëk do pooj jé, P'op Hagä Do Sahee kyy gó, tamejũũ do sa hã, tasëëw hõm do sa hã, Jesus maher'ood hõm nyy d' rabad'oo da. Sahõnh hẽ ti ỹ erii wät, pooj jé ỹ erih do hã.
ACT.1.3	Ti m' Jesus dajëp jawén paa bä kä m', Jesus kas'ee wät sa hã. Baad takas'ee wät sa hã. Baad tametëëh sa hã rah'yy kadaw'uuh hyb n'aa, edëb wät né hẽ rabahapäh hyb n'aa. Hajõõ nuu me takametëëh sa hã. 40 m' ta ä̃h takas'ee wät sa hã. Taher'oot mä sa hã ji P'op Hagä Do bag'ããs do ky n'aa, ji tah'yyb mahũũm do ky n'aa. 
ACT.1.4	Ti m', ta see pé noo gó m', sa sii tabawëh noo gó m', hahỹỹ d' mä tamejũũ sa hã:
ACT.1.4	—Panang Jerusarẽnh bä bë ayyw dó. T'ĩĩ hẽnh da bë gada Ee ky n'aa enooh doo, ta Sahee, bë hã ỹ her'oot do paah. 
ACT.1.5	Hahỹ né hẽ ti ỹ her'oot do paah: “Jowãw nu gahem'uun do nu gemuun wät naëng me. Dooh ta ä̃h hajõõ bä, bë hã P'op Hagä Do banoo ta Sahee bë h'yyb tym gó, bë tah'yyb mahũũm hyb n'aa” —näng mä Jesus ta mejũũ do sa hã.
ACT.1.6	Ti m' ta see pé noo gó, rakata padëëk bä séd hã, tamehej'ũũ do reaanh Jesus hã. Hahỹỹ d' mä sa kyyh:
ACT.1.6	—Hahỹỹ hã mabanoo ãã hã, Isaraéw buuj hã, ãã wahë n'aa, ãã tabahag'ããs hyb n'aa? —näk mä sa kyyh ta hã.
ACT.1.7	Ti m' Jesus ky hadoo sa hã:
ACT.1.7	—Dooh bë panyyg enäh do jawén tado bä, Ee ky däng do heen n'aa ta hejój hã. Dooh ti hyb n'aa tado bä. 
ACT.1.8	P'op Hagä Do Sahee bajëë suun bä bë h'yyb tym gó, tii bä da bë h'yyb tym hejoonh, këh ỹ n'aa bë baher'oot hyb n'aa. Këh ỹ n'aa bë her'ood da panang Jerusarẽnh bä, Judah häj n'aa bä, Samarija häj n'aa bä na-ããj da. Badäk hahỹ haw'ããts hẽ da bë baher'oot këh ỹ n'aa —näng mä Jesus kyyh sa hã.
ACT.1.9	Ti m' ta ti taher'oot do jawén paa bä kä m', P'op Hagä Do masäg kän hỹ pong jé. Sa matym gó né hẽ tabasëëk. Wë puh ejën wät mä rawén nahapëë wäd kän. 
ACT.1.10	Rabahag'ããs bä Jesus hasëëk doo, nayyw hẽ m' rakasee pawóp hẽ ajyy sa pa. Hewak mä sa saroor. Ããs mä tii. 
ACT.1.11	Ti m' ããs raky hadoo sa hã:
ACT.1.11	—Hëd n'aa babä bë bab'ëëh, wë hã bë baheg'ããs, Garirej buuj? —näk mäh. —Ti né hẽ Jesus bë mahang hawät doo, hỹ pong jé hasëëk doo, ti né hẽ da paa me hahyng. Bë hapäh do hadoo tabasëëk, ti hadoo né da tabahyng p'aa hẽnh —näk mä ããs sa kyyh sa hã.
