MAT.1.1	Disi na den afo fu Yesus Kristus. Yesus ben de wan bakapikin fu David, nanga fu Abraham.
ACT.22.23	Den sma ben e bari, den ben e wai nanga den krosi èn den ben e fringi santi na loktu.
ACT.22.24	Ne a komandanti komanderi den fu tyari Paulus go ini a srudati-oso. A taigi den tak' den mus wipi Paulus fu a taigi en fu sanede den sma ben e rigeri so nanga en.
ACT.22.25	Ma di den tai Paulus fu fon en, a taigi a ofisiri di ben tnapu drape taki: “San a wèt e taki? Yu kan wipi wan Romeinisma sondro tak' krutubakra leisi strafu gi en?”
ACT.22.26	Di a ofisiri yere san Paulus taki, a go taigi a komandanti taki: “Sabi san yu o du. A man disi na wan borgu fu Roma.”
ACT.22.27	A komandanti go na Paulus, dan a aksi en taki: “Yu na wan Romeinisma?”
ACT.22.27	Paulus piki taki: “Iya.”
ACT.22.28	Dan a komandanti taki: “Mi pai furu moni fu tron wan Romeinisma.”
ACT.22.28	Ma Paulus taigi en taki: “Ma mi gebore leki wan Romeinisma.”
ACT.22.29	Den srudati di ben mus fon en fu yere san a du, libi en wantron. A komandanti srefi kon frede di a kon sabi tak' a ben meki den tai wan Romeinisma.
ACT.22.30	A tra dei fu en, a komandanti meki den lusu Paulus. Dan a seni kari den prenspari domri nanga den man fu a Grankrutu fu den Dyu kon, fu di a ben wani sabi finifini fu sanede den sma ben suku fu kiri en. Dan a tyari Paulus kon na dorosei, meki a tnapu fesi den man disi.
ACT.23.1	Paulus hori en ai tapu den man fu a Grankrutu dan a taigi den taki: “Brada, mi abi wan krin konsensi fesi Gado fu a fasi fa mi tyari misrefi te nanga a dei fu tide.” 
ACT.23.2	Ma a grandomri Ananias taigi den man di ben tnapu sei Paulus tak' den mus naki en tapu en mofo. 
ACT.23.3	Dan Paulus taigi en taki: “Gado srefi sa naki yu, yu hoigriman! Yu teki a wèt fu krutu mi, ma yu srefi e broko a wèt fu meki sma naki mi.” 
ACT.23.4	Den man di ben tnapu sei Paulus aksi en taki: “Na kosi yu e kosi a grandomri fu Gado?”
ACT.23.5	Paulus piki den taki: “Brada, mi no ben sabi tak' na a grandomri. Bika a skrifi taki: Yu no mus taki takru fu wan edeman fu a pipel.” 
ACT.23.6	Ma fu di Paulus ben sabi tak' sonwan fu den man ben de Saduseiman èn tak' trawan ben de Fariseiman, a bari taigi den taki: “Brada, mi na wan Fariseiman èn mi p'pa ben de wan Fariseiman tu. Den wani krutu mi fu di mi e bribi tak' dedesma o kon na libi baka.” 
ACT.23.7	Di Paulus taki a sani dati, wan prati kon na mindri den Fariseiman nanga den Saduseiman èn den sma di ben drape prati na ini tu grupu. 
ACT.23.8	Bika den Saduseiman e taki tak' dedesma no e kon na libi baka, èn den e taki tu tak' engel noso tra yeye no de. Ma den Fariseiman e taki tak' ala den sani disi de. 
ACT.23.9	Dan den sma bigin meki wan bigi babari. Sonwan fu den sabiman fu Gado wèt di ben de Fariseiman, opo tnapu. Den bigin bari san den feni fu a sani, den taki: “Wi no feni no wan ogri na a man disi! A kan tak' na wan yeye noso wan engel taki nanga en!” 
ACT.23.10	A trobi mindri den tu grupu kon so hebi tak' a komandanti ben frede tak' den bo priti Paulus na tu. Dat' meki a komanderi den srudati fu go puru Paulus na den mindri, tyari go na a srudati-oso.
ACT.23.11	A neti dati Masra kon na Paulus èn A taigi en taki: “Hori dek'ati. Bika leki fa yu ferteri den sma dya na Yerusalem fu Mi, na so yu mus go ferteri den sma na Roma fu Mi tu.”
ACT.23.12	A tra dei fu en den Dyu meki mofo fu kiri Paulus. Den meki wan sweri tak' den no bo nyan noso dringi te leki den kiri en. 
ACT.23.13	Moro leki fotenti man ben meki a sweri dati. 
ACT.23.14	Den go na den prenspari domri nanga den fesiman fu a folku dan den taigi den taki: “Wi meki wan sweri tak' wi no o nyan noti te leki wi kiri Paulus. 
ACT.23.15	So, makandra nanga den man fu a Grankrutu, unu fu un sei mus seni aksi a komandanti now fu a tyari Paulus ete wan leisi kon na krutu. Un mus du leki un wani ondrosuku a tori fu en moro fini. Dan wi sa teki en na wi tapu fu kiri en fosi a doro dyaso.”
ACT.23.16	Ma a boi fu Paulus sisa yere san den Dyu ben seti fu du. Dan a go na ini a srudati-oso, go ferteri Paulus san a ben yere. 
ACT.23.17	Ne Paulus seni kari wan fu den ofisiri, dan a taigi en taki: “Tyari a boi disi go na a komandanti. A abi wan sani fu taigi en.”
ACT.23.18	A ofisiri teki a boi tyari go na a komandanti, dan a taigi en taki: “A straf'man Paulus seni kari mi, dan a aksi mi fu tyari a boi disi kon na yu. A abi wan sani fu taigi yu.”
ACT.23.19	A komandanti hori a boi na en anu tyari go na wan sei. Dan a aksi en taki: “San yu abi fu taigi mi?”
ACT.23.20	A boi piki en taki: “Den Dyusma meki mofo tak' den o aksi yu fu tyari Paulus tamara kon fesi a Grankrutu fu den. Den o meki leki den wani aksi en wan sani moro fini. 
ACT.23.21	Ma yu no mus du san den taki, bika moro leki fotenti fu den seti luru fu kiri Paulus. Den meki wan sweri tak' den no o nyan noso dringi te leki den kiri en. Nownowde den tnapu klar'klari e wakti fu yu seni en kon.”
ACT.23.22	A komandanti taigi a boi taki: “Yu no mus taigi no wan sma tak' yu gi mi wan pingi fu a sani disi.” Dan a seni en gwe.
ACT.23.23	Baka dati a kari tu ofisiri kon na en dan a taigi den taki: “Tide neti neigi yuru, tu hondro srudati mus tnapu klari fu go na Sesarea. Seibitenti srudati na tapu asi, nanga tu hondro srudati di e feti nanga lansri mus go nanga den. 
ACT.23.24	Sorgu tak' Paulus abi asi tu, dan un tyari en go na granman Feliks sondro tak' wan sani psa nanga en.”
ACT.23.25	Dan a komandanti skrifi wan brifi gi granman Feliks. A skrifi:
ACT.23.26	Lespeki granman Feliks,
ACT.23.26	Disi na wan brifi fu komandanti Klaudius Lisias. Mi e seni taki yu odi.
ACT.23.27	Den Dyusma ben grabu a man disi èn den bo kiri en. Ma di mi yere tak' en na wan Romeinisma, mi nanga mi srudati kon ini a tori èn mi puru a man na den anu. 
ACT.23.28	Fu di mi ben wani sabi fu sanede den ben kragi en, mi tyari en go na fesi a Grankrutu fu den. 
ACT.23.29	Drape mi kon si tak' a man no du noti fu a mus dede noso go na strafu. Den ben krutu en soso fu a wèt fu den. 
ACT.23.30	Di mi yere tak' den meki mofo fu kiri en, mi seni en kon wantron na yu. Dan mi taigi den sma di e krutu en fu kon taigi yu san den abi nanga en.
ACT.23.31	Den srudati du san a komandanti komanderi den fu du, èn den teki Paulus a neti dati go na a foto Antipatris. 
ACT.23.32	A tra dei fu en den srudati di ben waka, drai go baka na a srudati-oso ini Yerusalem. Den srudati na tapu den asi tyari Paulus go moro fara. 
ACT.23.33	Di den dati doro na Sesarea, den tyari Paulus nanga a brifi gi granman Feliks.
ACT.23.34	A granman leisi a brifi, dan a aksi fu sortu distrikti Paulus kmopo. Di a yere tak' a kmopo fu Silisia, 
ACT.23.35	a taigi en taki: “Mi sa ondrosuku a tori fu yu te den sma di e kragi yu doro.” Dan a komanderi den fu tyari Paulus go sroto ini a kownu-oso fu Herodes.
ACT.24.1	Baka feifi dei a grandomri Ananias nanga wantu fesiman fu a folku doro na granman Feliks fu kragi Paulus. Den ben tyari wan afkati kon nanga den di ben nen Tertulus. 
ACT.24.2	Di den seni teki Paulus, Tertulus bigin kragi en taki:
ACT.24.2	“Mi lespeki granman Feliks, wi sabi tak' na a fasi fa yu e tiri a kondre meki tak' wi e libi ini freide èn tak' sani e go moro bun nanga a pipel disi. 
ACT.24.3	Disi wi e taki ala leisi na ala sei, èn wi e taki yu grantangi fu ala den sani disi. 
ACT.24.4	Ma mi no wani teki furu ten fu yu. Dat' meki mi e begi yu fu sori wi yu bun-ati èn fu arki san wi o taki wan syatu fasi. 
ACT.24.5	Bika wi si tak' a man disi de leki wan takru siki. A e tyari dyugudyugu na mindri den Dyusma na ala sei fu grontapu. A de wan fesiman fu a grupu di den e kari Nasaretsma. 
ACT.24.6	A ben pruberi tu fu pori a mamakerki fu unu, ma un grabu en. Wi ben wani strafu en soleki fa a wèt fu den Dyu e taki, 
ACT.24.7	ma komandanti Lisias kon ini a tori, èn nanga tranga a puru en na un anu. 
ACT.24.8	Dan a taigi den sma di e kragi en fu kon na yu.
ACT.24.9	Den tra Dyusma agri nanga ala san Tertulus ben taki. Den taki tak' a tru.
ACT.24.10	Di granman Feliks sori Paulus tak' a abi a okasi fu taki, Paulus taigi en taki: “Mi sabi tak' someni yari kba yu e koti krutu gi a pipel disi. Dat' meki mi no e frede fu taki na yu fesi tak' mi no fowtu. 
ACT.24.11	A no moro leki twarfu dei di psa mi go na Yerusalem fu go anbegi Gado. Efu yu aksi, yu srefi sa yere tak' na so a de. 
ACT.24.12	Den no kan taki tak' den si pe mi hari taki nanga sma ini a mamakerki noso pe mi meki dyugudyugu ini den Dyukerki, noso wan tra presi ini a foto. 
ACT.24.13	Den no man sori yu tu tak' den sani tru fu san den e kragi mi now.
ACT.24.14	Mi e bribi ala sani san de ini a wèt èn san den profeiti ben taki. Ma a de tru tak' mi e dini a Gado fu wi afo tapu wan fasi di den e kari a Nyun Pasi. Ma den e si en leki wan falsi leri. 
ACT.24.15	Mi e ferwakti a srefi sani leki den, tak' Gado o meki ala dedesma kon na libi baka: den sma di bun ini Gado ai, nanga den sma di no bun ini En ai. 
ACT.24.16	Dat' meki mi e du muiti fu abi wan krin konsensi fesi Gado nanga libisma.
ACT.24.17	Baka someni yari mi drai go baka na Yerusalem fu tyari moni gi mi pipel èn fu tyari offer gi Gado. 
ACT.24.18	Di mi ben e du den sani dati, den kon miti mi ini a mamakerki. Mi ben krin misrefi leki fa a wèt fu den Dyu e taki. A no de so tak' furu sma ben drape, noso tak' dyugudyugu ben de. 
ACT.24.19	Ma wantu Dyusma fu Asia ben drape. Na den dati ben mus kon dya fu kon kragi mi na yu fesi efu den ben abi wan sani nanga mi. 
ACT.24.20	Noso meki den man disi taki sortu fowtu den feni na mi di mi ben tnapu fesi a Grankrutu fu den. 
ACT.24.21	Kande na fu a wan sani di mi bari, di mi ben tnapu na den fesi taki: ‘Un tyari mi kon na krutu tide fu di mi e bribi tak' dedesma o kon na libi baka.’ ” 
ACT.24.22	Dan granman Feliks, di ben sabi heri bun fu a Nyun Pasi, tapu a krutu. A taigi den taki: “Te komandanti Lisias kon, mi sa koti krutu ini a tori disi.” 
ACT.24.23	Dan a taigi a ofisiri fu a hori Paulus na straf'oso, ma den no ben mus du nanga en leki fa den e du nanga den tra straf'man. Èn den no ben mus tapu den mati fu Paulus fu kon sorgu en.
ACT.24.24	Wantu dei na baka Feliks kon drape nanga en wefi Drusila di ben de wan Dyu. Dan a seni kari Paulus meki a ferteri en fu a bribi na ini Kristus Yesus. 
ACT.24.25	Ma di Paulus bigin taki fu san bun ini Gado ai, èn tak' un mus hori unsrefi, èn tak' Gado o krutu libisma, Feliks kon frede. Dat' meki a taigi Paulus taki: “A nofo fu tide. Te mi abi ten mi sa seni kari yu baka.” 
ACT.24.26	Ma a srefi ten Feliks ben e howpu tak' Paulus bo gi en moni. Fu dat'ede a ben e seni kari en ala yuru fu taki nanga en.
ACT.24.27	Baka tu yari, Porsius Festus tron granman na Feliks presi. Ma fu di Feliks ben wani du den Dyusma wan bun, meki a libi Paulus ini a straf'oso na baka.
ACT.25.1	Dri dei baka di granman Festus doro ini a distrikti, a kmopo fu Sesarea go na Yerusalem. 
ACT.25.2	Di a doro drape den prenspari domri nanga den fesiman fu den Dyu, go kragi Paulus na en. 
ACT.25.3	Dan den aksi Festus fu du den wan bun, fu meki Paulus kon na Yerusalem. Den ben aksi a sani disi fu di den ben meki mofo fu kiri Paulus na pasi. 
ACT.25.4	Ma Festus piki den tak' Paulus bo tan ini a straf'oso na Sesarea, èn tak' baka wantu dei en srefi bo go drape. 
ACT.25.5	A taigi den tu fu meki wantu edeman go nanga en fu kragi Paulus efu den feni tak' a du wan sani san no fiti.
ACT.25.6	Baka aiti kon miti tin dei, Festus libi den dan a drai go baka na Sesarea. A tra dei fu en a hori krutu èn a meki den tyari Paulus kon. 
ACT.25.7	Di Paulus doro, den Dyu di ben kmopo fu Yerusalem lontu en èn den tyari wan lo hebi kragi kon na fesi. Ma den no ben kan sori tak' den sani tru. 
ACT.25.8	Paulus fu en sei taki: “Mi no broko a wèt fu den Dyu, mi no pori a mamakerki, èn mi no broko no wan wèt fu a grankownu.”
ACT.25.9	Ma Festus ben wani du den Dyusma wan bun. So a aksi en taki: “Yu wani go baka na Yerusalem fu mi krutu a tori fu yu drape?”
ACT.25.10	Paulus piki en taki: “Mi tnapu fesi a krutusturu fu a grankownu èn dati na a presi pe den mus krutu mi. Mi no du den Dyusma noti. Yu srefi sabi dati heri bun. 
ACT.25.11	Efu mi du wan sani di fiti tak' mi mus dede, dan mi de klari fu den kiri mi. Ma efu noti no tru fu san den e kragi mi, dan no wan sma kan gi mi abra na den, soso fu du den wan bun. Mi wani fu a grankownu krutu a tori fu mi.”
ACT.25.12	Baka di Festus kenki prakseri nanga den raiman fu en, a piki Paulus taki: “Yu aksi fu a grankownu krutu yu, dan un sa tyari yu go na a grankownu.”
ACT.25.13	Wantu dei na baka kownu Agripa nanga Bernisa kon na Sesarea fu taki granman Festus odi. 
ACT.25.14	Fu di den tan drape wan heri pisten, Festus taki a tori fu Paulus nanga a kownu. A taigi en taki: “Di Feliks gwe, a libi wan man ini a straf'oso na baka. 
ACT.25.15	Di mi go na Yerusalem, den prenspari domri nanga den fesiman fu den Dyu kon kragi a man dati na mi èn den aksi mi fu leisi strafu gi en. 
ACT.25.16	Ma mi piki den tak' Romeinisma no abi a gwenti fu gi wan sma abra na trawan soso fu du den wan bun. A sma mus tnapu fosi fesi den wan di e kragi en fu kisi a okasi fu sori den tak' a no du a sani. 
ACT.25.17	Di den man di ben kragi en kon dyaso nanga mi, mi no lasi ten. A tra dei fu en mi hori krutu èn mi komanderi den fu tyari a man kon. 
ACT.25.18	Ma den man di ben opo fu kragi en, no tyari no wan fu den ogri sani kon na fesi di mi ben ferwakti. 
ACT.25.19	Ma na agri den no ben e agri nanga son sani fu a bribi fu den, nanga fu wan man Yesus di dede. Ma Paulus feni tak' A e libi. 
ACT.25.20	Fu di mi no ben sabi san mi mus du nanga a tori disi, meki mi aksi en efu a wani go na Yerusalem fu a krutu hori drape. 
ACT.25.21	Ma Paulus teki a besroiti fu tan na straf'oso te leki a grankownu koti a krutu. So mi komanderi den fu hori en na straf'oso te leki mi feni a okasi fu seni en go na a grankownu.”
ACT.25.22	Dan kownu Agripa taigi Festus taki: “Mi srefi sa wani yere san a abi fu taki.”
ACT.25.22	Festus piki en taki: “Tamara yu sa yere.”
ACT.25.23	A tamara fu en Agripa nanga Bernisa kon nanga bigi prodo ini a presi pe den e hori krutu. Den srudati edeman nanga den moro prenspari man fu a foto ben de nanga den. Dan Festus taigi den fu tyari Paulus kon. 
ACT.25.24	Di Paulus doro, Festus taki: “Kownu Agripa nanga ala tra sma dyaso, disi na a man di ala den Dyusma fu Yerusalem nanga fu a foto dyaso kon kragi na mi. Den bari tak' a man disi no mus tan na libi. 
ACT.25.25	Ma mi kon si tak' a no du no wan sani fu wi kiri en. Èn fu di a aksi fu a grankownu koti krutu gi en, meki mi teki a besroiti fu seni en go. 
ACT.25.26	Ma mi no abi no wan spesrutu sani fu skrifi a grankownu abra en. Fu dat'ede mi tyari en kon na un fesi, èn spesrutu na yu fesi, kownu Agripa. Te yu kba ondrosuku a tori, dan mi sa abi wan sani fu skrifi. 
ACT.25.27	Bika mi feni tak' a no fiti fu seni wan straf'man gwe, sondro fu skrifi san nanga san a du.”
ACT.26.1	Agripa taigi Paulus taki: “Yu abi a okasi now fu sori tak' yu no fowtu.”
ACT.26.1	Ne Paulus opo en anu dan a taki: 
ACT.26.2	“Kownu Agripa, mi breiti tak' mi kan tnapu tide na yu fesi fu sori tak' ala den sani fu san den Dyusma e kragi mi, no tru. 
ACT.26.3	Bika yu sabi ala den gwenti fu den Dyusma nanga den sani pe den no man feni densrefi. Fu dat'ede mi e begi yu fu arki mi nanga pasensi.
ACT.26.4	Ala den Dyusma sabi fa mi ben libi na mindri fu mi eigi pipel di mi ben yongu, nanga fa mi ben libi ini Yerusalem. 
ACT.26.5	Den sabi mi bun langa kba. Efu den wani, den srefi kan taki tak' mi ben de fu a grupu fu den Fariseiman. Fu ala den Dyu, den man dati e hori a wèt tapu a moro tranga fasi. 
ACT.26.6	Now mi e tnapu dya na fesi krutu fu di mi abi a howpu tak' Gado o du san a pramisi den afo fu wi. 
ACT.26.7	Den twarfu lo fu wi pipel e tan dini Gado dei nanga neti fu di den e howpu a srefi sani tu. Mi kownu, na fu a howpu disi den Dyusma tyari mi kon kragi. 
ACT.26.8	Fu sanede un no man bribi tak' Gado kan meki dedesma kon na libi baka?
ACT.26.9	Mi fu mi sei ben prakseri tak' mi mus meki ala muiti fu feti Yesus fu Nasaret. 
ACT.26.10	Na dati mi ben du tu ini Yerusalem. Nanga a makti di mi ben kisi fu den prenspari domri, mi poti furu fu den sma fu Gado na straf'oso. Èn te den ben kiri den, mi ben taki tak' a bun. 
ACT.26.11	Ini ala den Dyukerki mi ben e fon den bribisma. Tapu sowan fasi mi ben e pruberi fu meki den drai den baka gi Yesus. Nanga bigi atibron mi ben de na den baka fu du den ogri te na den dorosei foto srefi. 
ACT.26.12	Na dati mi ben e du tu a leisi di mi go na Damaskus. Den prenspari domri ben seni mi go èn den ben gi mi a makti fu grabu den bribisma. 
ACT.26.13	Mi kownu, di mi ben de na pasi, bigibigi brekten, mi si wan faya di ben krin moro a son. A fadon fu heimel kon na tapu mi nanga den sma di ben de nanga mi. 
ACT.26.14	Wi alamala fadon na gron. Dan mi yere wan sten aksi mi na ini Dyutongo taki: ‘Saul, Saul, fu sanede yu de na Mi baka fu du Mi ogri? Yu e du yusrefi, leki te wan kaw e skopu a tiki fu en masra nanga en baka futu.’
ACT.26.15	Dan mi aksi taki: ‘Masra, suma na Yu?’
ACT.26.15	Masra piki mi taki: ‘Mi na Yesus, di yu e du ogri. 
ACT.26.16	Ma opo tnapu na tapu yu futu, bika Mi sori Misrefi na yu fu di Mi teki yu leki Mi wrokoman. Yu mus ferteri sma den sani san yu si tide èn san Mi o sori yu ete. 
ACT.26.17	Mi sa puru yu na anu fu den Dyusma nanga den sma di no de Dyu, pe Mi o seni yu go. 
ACT.26.18	Yu sa opo den ai, fu den drai den libi kmopo fu a dungru kon ini a leti, èn fu kmopo ondro a makti fu Satan kon na Gado. Dan den sa kisi pardon fu den sondu, èn den o kon mindri den sma fu Gado fu di den bribi ini Mi.’
ACT.26.19	Kownu Agripa, fu dat'ede mi no tranga mi yesi gi san Masra ben sori mi kmopo fu heimel. 
ACT.26.20	Mi go fosi na Damaskus. Dan mi go na Yerusalem nanga heri Yudea, èn na den sma di no de Dyu. Mi taigi den tak' den mus drai den libi kon na Gado, èn tak' den mus du sani san e sori tak' den drai den libi trutru. 
ACT.26.21	Na fu den sani disi den Dyusma grabu mi ini a mamakerki, èn den suku fu kiri mi. 
ACT.26.22	Ma Gado yepi mi te leki a dei fu tide. So mi tnapu dyaso e ferteri bigiwan nanga pikinwan noti moro leki san Moses nanga den profeiti ben taki tak' o psa. 
ACT.26.23	Den ben taki tak' a Mesias o nyan pina, èn tak' A o de a fosi sma di o opo baka na dede, fu tyari leti kon gi en eigi pipel nanga den sma di no de Dyu.” 
ACT.26.24	Ma ini a taki di Paulus e taki fu sori tak' a no fowtu, Festus bari taki: “Paulus, na lawlaw sani yu e taki! Yu leri so furu tak' yu lasi yu ferstan.”
ACT.26.25	Ma Paulus taigi en taki: “Mi lespeki Festus, a no lawlaw sani mi e taki. Mi de bun na mi ferstan. Mi e taki sani di tru. 
ACT.26.26	Fu di kownu sabi fu san mi e taki, meki mi e taki sondro frede nanga en. Mi sabi tak' a sabi den sani disi heri bun, bika den no psa na wan bakabini.” 
ACT.26.27	Dan Paulus aksi kownu Agripa taki: “Kownu Agripa, yu e bribi san den profeiti taki? Mi sabi tak' yu e bribi den!”
ACT.26.28	Ma kownu Agripa piki en taki: “Yu prakseri tak' na so esi yu kan meki mi tron wan Kristensma?”
ACT.26.29	Paulus piki en taki: “Mi kownu, mi no sabi efu na her'esi noso baka wan pisten, ma mi e begi Gado tak' yu nanga ala den trawan di yere mi tide sa kon leki mi, ma sondro den bui disi.”
ACT.26.30	Dan kownu Agripa, granman Festus nanga Bernisa opo tnapu. Ala den tra sma di kon nanga den opo tu. 
ACT.26.31	Di den kmopo drape, den taigi makandra taki: “A man disi no du noti fu a dede noso fu a kisi strafu.” 
ACT.26.32	Dan kownu Agripa taigi Festus taki: “Un ben kan lusu a man disi efu a no ben aksi fu a grankownu krutu a tori fu en.”
ACT.27.1	Di den teki a besroiti fu seni un go nanga sipi na Italiakondre, den gi wan ofisiri di ben nen Yulius a frantwortu abra Paulus nanga wantu tra straf'man. Yulius ben de wan ofisiri ini a grupu srudati di den ben kari: A Grupu fu a Grankownu. 
ACT.27.2	Dan so wi go ini wan sipi fu Adramitium di bo go na den lanpresi ini a distrikti Asia. Di wi e gwe, Aristarkus kon nanga wi. A ben de wan man fu a foto Tesalonika ini Masedonia. 
ACT.27.3	A tra dei wi doro na a foto Sidon èn Yulius ben de so bun fu gi Paulus okasi fu a go luku den mati fu en fu den sorgu gi en.
ACT.27.4	Di wi kmopo fu drape, a winti ben wai kon na a sipi tapu. Fu dat'ede wi seiri psa krosbei fu a eilanti Siprus. 
ACT.27.5	Na ini a birti fu Silisia nanga Pamfilia, wi koti a se abra go na a foto Mira ini Lisia. 
ACT.27.6	Drape a ofisiri feni wan sipi fu Aleksandria di bo go na Italiakondre. So a meki un go ini a sipi dati.
ACT.27.7	Wan heri pisten un ben e go safrisafri nomo èn nanga furu muiti un ben man doro ini a birti fu Knidus. Èn fu di a winti ben e wai tranga kon na wi tapu, un seiri go na a zuidsei fu a eilanti Kreta, dan un psa a presi di den e kari Salmone. 
ACT.27.8	Di un psa Salmone nanga furu muiti, un doro wan presi di den e kari Bun Ankra Presi, krosbei fu a foto Lasea.
ACT.27.9	Un ben lasi furu ten kba èn a no ben de wan bun ten moro fu de nanga sipi tapu se, bika a ten pe den Dyu e faste ben psa kba. Fu dat'ede Paulus warskow den taki: 
ACT.27.10	“Brada, mi e si tak' un kan kisi bigi problema efu un kmopo dyaso fu go moro fara. A kan tak' un lasi a sipi nanga den lai, ma a kan tu tak' un lasi un libi srefi.” 
ACT.27.11	Ma a ofisiri ben fertrow a kapten nanga a man di ben tyari a sipi moro leki Paulus. 
ACT.27.12	Fu di a lanpresi pe den ben de no ben bun fu psa a kowruten, meki moro furu fu den man gi a rai fu kmopo drape go moro fara. Den ben wani meki muiti fu doro na Feniks fu psa a kowruten drape. Feniks ben de wan lanpresi na Kreta èn wan sipi ben kan doro drape fu zuidwest nanga fu noordwest sei.
ACT.27.13	Di a winti bigin wai safri kmopo fu zuidsei, den man prakseri tak' den bo man kisi san den ben wani. So den lusu a ankra èn den seiri krosbei fu a syoro fu Kreta. 
ACT.27.14	Ma no langa baka di den lusu, wan bun hebi winti bigin wai di den ben kari a Noordoost Winti. 
ACT.27.15	A winti dati bigin hari a sipi e tyari gwe, èn fu di un no ben man drai a sipi, meki un libi en gi a winti. 
ACT.27.16	Di un doro na a pikin eilanti Klauda
ACT.27.17	So den hari en kon ini a sipi. Dan den meki titei waka ondro a sipi kon na loktu fu tai den planga fu en hori na wan. Baka dati den saka den seiri fu a watra tyari a sipi, bika den ben frede tak' a sipi ben kan fasi tapu den santi-bangi fu Sirta. 
ACT.27.18	A winti ben e rigeri srefsrefi. Dat' meki a tamara fu en den bigin trowe den lai go ini a se. 
ACT.27.19	A di fu dri dei den srefi trowe sani fu a sipi, soleki seiri nanga titei. 
ACT.27.20	Wan lo dei son noso stari no ben de fu si èn a winti ben tan wai tranga. Te fu kba un no ben abi howpu moro tak' un bo feni yepi.
ACT.27.21	Someni dei langa den man no ben nyan. Dan Paulus go tnapu na den mindri èn a taigi den taki: “Brada, efu un ben arki mi fu no seiri kmopo fu Kreta, dan den problema disi no ben miti unu èn un no ben lasi den sani. 
ACT.27.22	Ma mi e begi unu now fu no lasi ati, bika no wan fu unu o lasi un libi. A sipi wawan o lasi. 
ACT.27.23	Mi na fu Gado èn mi e dini En. A neti di psa wan engel fu En kon na mi, 
ACT.27.24	dan a taigi mi taki: ‘Paulus, yu no abi fu frede, bika yu mus tnapu fesi a grankownu. Luku, fu yu ede Gado sa kibri a libi fu ala den sma di de ini a sipi nanga yu.’ 
ACT.27.25	Brada, dat' meki un no mus lasi ati, bika mi e bribi Gado. Ala sani sa waka leki fa A seni taigi mi. 
ACT.27.26	Ma a sipi o go fasi na tapu wan eilanti.”
ACT.27.27	A ben de tin-na-fo dei kba di un ben lasi pasi tapu a se fu Adria. Dan mindrineti so den sipiman ben kisi a firi tak' un de krosbei fu wan syoro. 
ACT.27.28	Dat' meki den saka wan pisi loto na wan titei go ini a watra fu marki o dipi a se ben de drape. Den marki tak' a watra ben dipi dritenti-na-siksi (36) meter. Pikinso moro fara den marki tutenti-na-seibi (27) meter. 
ACT.27.29	Dan den bigin frede tak' a sipi o naki panya na den bigi ston ini a watra. Fu dat'ede den saka fo ankra na bakasei fu a sipi go ini a watra. Dan den bigin begi fu dei broko. 
ACT.27.30	Ma den sipiman ben wani lowe kmopo fu a sipi. Den saka a pikin boto ini se dan den du leki den bo go saka ankra na fes'sei fu a sipi. 
ACT.27.31	Ne Paulus taigi a ofisiri nanga den srudati taki: “Efu den man disi no tan ini a sipi, un no o tan na libi.” 
ACT.27.32	So den srudati kapu den titei fu a pikin boto, meki a fadon go ini se.
ACT.27.33	Pikinso fosi dei broko Paulus taigi den alamala tak' den mus nyan. A taigi den taki: “Na tin-na-fo dei kba di un e sidon e wakti nomo sondro fu un nyan wan sani. 
ACT.27.34	Ma mi e taigi unu fu un nyan, bika un abi en fanowdu fu tan na libi. Not'noti sa psa nanga no wan fu unu.” 
ACT.27.35	Di Paulus taki so, en srefi teki brede èn a taki Gado tangi let' fesi den alamala. Dan a broko en èn a bigin nyan. 
ACT.27.36	Ala den man kisi dek'ati èn den bigin nyan tu. 
ACT.27.37	Wi ben de nanga tu hondro nanga seibitenti-na-siksi (276) sma tapu a sipi. 
ACT.27.38	Baka di den nyan te den bere furu, den trowe a aleisi go ini se fu a sipi kon moro lekti.
ACT.27.39	Di dei broko den si a syoro, ma den no ben sabi na sortu kondre den de. Dan den si wan presi pe santi ben de. So den teki a besroiti fu tyari a sipi go na syoro drape efu a ben man. 
ACT.27.40	Den kapu den titei, libi den ankra ini a watra. Den lusu den titei nanga san den ben tai a stuur, dan den opo a fes'sei seiri baka fu a winti tyari a sipi go na a syoro. 
ACT.27.41	Ma a sipi kon fasi tapu wan santi-bangi. A fesi pisi no ben man beweigi srefsrefi moro, èn den tranga skwala naki a bakasei pisi broko. 
ACT.27.42	Den srudati ben wani kiri ala den straf'man fu no wan fu den swen gwe. 
ACT.27.43	Ma a ofisiri no meki den du dati fu di a ben wani tak' Paulus mus tan na libi. Dan a komanderi den tak' den sma di sabi swen ben mus dyompo fosi fu swen go na syoro. 
ACT.27.44	Den tra sma ben mus teki planga noso tra pis'pisi fu a sipi fu doro syoro. Na so den alamala doro bun na syoro. 
ACT.28.1	Baka di un doro bun na syoro, un kisi fu yere tak' a eilanti nen Malta.
ACT.28.2	Den sma fu drape ben bun srefsrefi gi unu. Den meki wan bigi faya dan den kari un alamala kon sidon lontu en, fu di alen ben fadon èn a ben kowru. 
ACT.28.3	Paulus piki wan bosu drei taki. Di a poti en ini a faya, wan takru sneki kmopo mindri den taki di a firi a faya, dan a beti Paulus na en anu. 
