MAT.1.1	Diꞌoraz kuwai idaꞌa kakuwaapa-karu Jesus Christ dokozu-daunnao sakadinan ikiꞌo dauꞌanaꞌo.
ROM.14.11	Tominkaru Paradan saadinpaꞌo kian:
ROM.14.11	“‘Mishi õkakupan idi,’ Naobanaa kian,
ROM.14.11	‘mishiꞌo nii ipai pidannao dawukan õkanaapu ati,
ROM.14.11	naꞌiki ipaiꞌo nii pidannao kowaadan, õgaru wuruꞌu Tominkaruz.’”
ROM.14.12	Ukauꞌan ipai waunao, wakowaadan nii washaꞌapatanii dauꞌu Tominkaru ati.
ROM.14.13	Ukauꞌan aonaꞌa naa wadakotaꞌanaꞌa wamin-mishidan oiaꞌo pidan nii. Mazan mishiꞌoraiman, watomaꞌa naa wanyukunuu aonaa kizi washaꞌapatan aimaakan pozawata-kidaꞌo nii ĩdyaun oiaꞌo diꞌiti. 
ROM.14.14	Õzaamatinpan idi waNaobanaa Jesus Christ idaꞌati, õaitapa kaimanaiman aonaa naꞌiaꞌoram wanyukunui oiaꞌo Tominkaru ati unika-kao an. Mazan pidan zauda-kidan an oiaꞌo Tominkaru ati unika-kao wuruꞌu wanyukunuiz, aizii unikan anaz, oiaꞌo wuruꞌu ushaꞌapataniaz. 
ROM.14.15	Pukashaꞌoradan an pumin-mishidan nyukunuu punikan idi wanyukunui, aonaꞌoraz uzauda-kidan ukaimanan unika-kao, aonaa pumarainpan mani uruu wuruꞌu. Aonaa puꞌoiaꞌanaꞌa pumin-mishidan nyukunuu punikan idaꞌan wanyukunui aonaꞌoraz uzauda-kidan ukaimanan unika-kao, uruu dikin iaꞌo Christ Jesus mawakan. 
ROM.14.16	Aonaa putaapadaꞌanaꞌa kaimanaꞌoraz puꞌitiiman pushaꞌapatan aimaakan, kaunamanaata-kao dikaudaꞌo nii. 
ROM.14.17	Ushaꞌapanum kauꞌan Tominkaru naobanaitapa-kao, aonaa aimaakan nika-kao, oo tuza-kao diꞌiiꞌakaꞌo mani. Mazan mashaapa-karu sakitapa, kaiman, naꞌiki konaukii, Kaimanaꞌo Doronaa kaminkaꞌutan idaꞌan waunao. 
ROM.14.18	Pidan kaudinan an naꞌapa Christ ati, kaimanaꞌo nii Tominkaru ati. Naꞌiki kaimanaꞌo nii pidannao paradan udauꞌan.
ROM.14.19	Ukauꞌan, marii karikaonan watiwaa washaꞌapatan kaimanaꞌo aimaakan, wamashaapa kizi kaiman wamin-mishidannao tuma, naꞌiki wamaꞌozakada kizi ĩnyukunuu. 
ROM.14.20	Aonaa pupatakaꞌuaꞌanaꞌa Tominkaru shaꞌapataniaz mishidaꞌo nyukunuu ii, punikan idaꞌan wanyukunui. Ipai wanyukunui turuaꞌo unika-kao. Mazan dikaudaꞌo wuruꞌu pidan nikanuz wanyukunui pawaota-kida-kinaa nii pamin-mishidan oiaꞌo diꞌiti. 
ROM.14.21	Ukauꞌan sakitapaꞌo aimaakan shaꞌapata-kao: aonaa punikaꞌanaꞌa wanyukunui, oo putuzaꞌanaꞌa maꞌozakaꞌo riwunii, oo pushaꞌapataꞌanaꞌa aimaakan pumin-mishidan waota-kinaa nii oiaꞌo diꞌiti. 
ROM.14.22	Ukauꞌan naꞌapaꞌoram pumishidanii, soo Tominkaru ati puparada udauꞌan. Pidan shaꞌapatan an paaitapanii kaimanaꞌo aimaakan, naꞌiki unyukunuu kowaadan an uꞌati aonaa oiaꞌo mani wuruꞌu ushaꞌapataniaz, konaukiaꞌo pidan uruu. 
ROM.14.23	Mazan pidan zauda-kidan an aonaa ukaimanan unika-kao wuruꞌu wanyukunuiz, mazan upuꞌu zii unikanuz, oiaꞌo Tominkaru ati wuruꞌu naꞌapaꞌoraz, unikan idi wanyukunui aonaꞌoraz uzauda-kidan ukaimanan. Ushaꞌapanum kauꞌan, oiaꞌo wuruꞌu pidan shaꞌapatanuz aimaakan aonaꞌoraz uaitapan kaimanaiman, kaimanaꞌo oo oiaꞌo wuruꞌu pashaꞌapataniaz.
ROM.15.1	Waunao, maꞌozakaꞌoraz wamishidapan, marii wamaꞌozakadan wunao nyukunuuꞌu aonaꞌoraz zii ĩmishidapan maꞌozakan. Aonaa wadiꞌitapaꞌanaꞌa washaꞌapatan aimaakan soo waunao konaukii-kinaa nii karikaonan. 
ROM.15.2	Mazan mishiꞌoraiman, marii washaꞌapatan aimaakan wairibannao konaukii-kinaa nii, wamaꞌozakada kizi ĩmishidapan. 
ROM.15.3	Ushaꞌapanum kauꞌan, Jesus Christ shaꞌapatan aimaakan aonaa paugaru konaukii-kinaa niꞌo mani. Mazan usaadinpan kawan Tominkaru Paradan idaꞌa: “Pidannao dakoopan dono pugaru, õgaru Tominkaru baiaapa ĩparadan kida.”
ROM.15.4	Ipai kotuaꞌo saada-kariwai kida Tominkaru paradan, usaada-kao watominapa-kinaa niꞌo. Naꞌiki kaminkaꞌutaꞌo nii waunao, aonaa kizi wadopiidinan kashaꞌoraꞌo shaꞌapan dono waꞌati. Naꞌiki maꞌozakadaꞌo nii wanyukunuu, aonaa kizi wakashadinan wazaudapan Tominkaru kowaadaniaz pataan nii waꞌati.
ROM.15.5	Õtoriinpan Tominkaru ati, kaminkaꞌutaꞌoraz waunao wadopiidinan ai, naꞌiki maꞌozakadaꞌoraz wanyukunuu. Marii kizi ukaminkaꞌutan udiꞌitinpan patumaaka umin-mishidannao tuma, utamakapan idaꞌan Christ Jesus mashaapan kaduz. 
ROM.15.6	Baokopa kizi unao, baudaꞌapaꞌo pidan kawan ukonaukii-kidan Tominkaru, waNaobanaa Jesus Christ Daruz.
ROM.15.7	Ukauꞌan, konaukii udapaapa umin-mishidannao, naꞌapa Jesus Christ dapaapan kawan konaukii unao, pidannao konaukii-kida kizi Tominkaru. 
ROM.15.8	Õkowaada shaꞌatii uꞌati, Jesus Christ kaawan Jewnao minkaꞌu niꞌo, kainaabataꞌo nii Tominkaru mishian paparadan, ĩdokozu-daunnao atiꞌoraz ukowaadan pashaꞌapatan nii. 
ROM.15.9	Naꞌiki turuu kizi kapam Gentilenao konaukii-kidan Tominkaru, ukamunan-kidan idi ĩdyaun. Naꞌapa usaadinpan kawan kotuaꞌo Tominkaru Paradan idaꞌa:
ROM.15.9	“Uruu idi, õkonaukii-kidan nii pugaru,
ROM.15.9	Gentilenao tuma;
ROM.15.9	õkonaukii-kidan nii pugaru,
ROM.15.9	õkunuian idaꞌan kunui.”
ROM.15.10	Naꞌiki kainaꞌa koshan saadinpaꞌo kaikapaꞌa:
ROM.15.10	“Unao, Gentilenao,
ROM.15.10	ukonaukii baokopa Tominkaru pidanannao tuma.”
ROM.15.11	Naꞌiki kainaꞌa koshan saadinpaꞌo kaikapaꞌa:
ROM.15.11	“Ukonaukii-kida Naobanai, ipai unao Gentilenao,
ROM.15.11	ipai unao pidannao ukonaukii-kida uruu.”
ROM.15.12	Kainaꞌa Prophet Isaiah saadanii kapam kaikapaꞌa:
ROM.15.12	“Kaawaꞌo nii Jesse
ROM.15.12	naꞌiki uruꞌo niꞌi naa kazowautapa Gentilenao.
ROM.15.12	Uruu idaꞌanaꞌo nii Gentilenao zaudapan Tominkaru shaꞌapatan
ROM.15.12	wuruꞌu ukowaadauzoniaz pashaꞌapatan nii.”
ROM.15.13	Õtoriinpan Tominkaru ati, tomaꞌoraz wanyukunuu kazaudapanuꞌo nii, marii kizi utaan unao ati kaimanaiman konaukii-karu naꞌiki kaimanaaka-karu, umishidan idaꞌan uruu. Uzaudapatinan maꞌozakadin kizi, Kaimanaꞌo Doronaa maꞌozakan idaꞌan.
ROM.15.14	Õmin-mishidannao, tuukii õmishidan ushaꞌapaapan kaiman aimaakan uꞌatiaaka. Kaimanaiman uaitapan Tominkaru aipaniaz uaitapan, naꞌiki uaitapa utominapa-kidaakan udauꞌu. 
ROM.15.15	Mazan diꞌoraꞌa õkaaritan idaꞌa, maꞌozaka õparadan pabiꞌi kida aimaakan dauꞌan, õnyukunuu-kidan uꞌati utominapa-kida-kinao. Õsaadan naꞌapa, Tominkaru kamunanun idi õꞌati. 
ROM.15.16	Uzaamatan õgaru kaudinaꞌo nii Christ Jesus ati, kowaadapaꞌo nii Tominkaru diꞌikiꞌo Kaimanaꞌo Kuwai Gentilenao ati, faadaa kaudinan kawan. Õtaa kizi ĩdyaun kaduunuꞌo aimaakan kawan, ukonaukii-kidan niꞌoraz, Kaimanaꞌo Doronaa saabaan idaꞌan ĩdyaun. 
ROM.15.17	Ukauꞌan õatadapa wuruꞌu kaudin-kizai Tominkaru atiꞌoraz õshaꞌapaapan, õzaamatinpan idaꞌanaꞌoraz Christ Jesus idaꞌati. 
ROM.15.18	Õparadan nii soo Christ shaꞌapatanii dauꞌu õgaru idaꞌan, Gentilenao izoꞌati-kinaa niꞌoraz Tominkaru, õkowaadanii naꞌiki õshaꞌapatanii kida idaꞌanaꞌoraz. 
ROM.15.19	Kaimanaꞌo Doronaa maꞌozakan idaꞌan, iriba õshaꞌapatan umanawun kidaꞌo aimaakan. Ukauꞌan, Jerusalem ikiꞌo atii Illyricum iti, ipai õmorotinan donoi kida. Aizii ipaiꞌi naa õkowaadan naꞌiiꞌaka Christ dauaꞌo Kaimanaꞌo Kuwai.
ROM.15.20	Tuukiaꞌo õkakuwaapaꞌazon donoi kawanaꞌati, aonaꞌoraz zii kanom kowaadauzon naꞌii Christ dauaꞌo Kaimanaꞌo Kuwai, uruu aonaa kizi õkaudinan baꞌoran pidan sakadanii kaudin-kizai idaꞌa. 
ROM.15.21	Naꞌapa usaadinpan kawan Tominkaru Paradan idaꞌa:
ROM.15.21	“Wunaouꞌu, aonaꞌoraz kakuwaapauzo-karu ĩꞌati udauꞌan,
ROM.15.21	ĩaitapan nii uruu.
ROM.15.21	Naꞌiki wunaouꞌu, aonaꞌoraz ĩabatauzon udauaꞌo kuwai,
ROM.15.21	ĩaitapan nii uruu.”
ROM.15.22	Kotuaꞌikiꞌi naa õdakotautan õmorowautan unao diꞌiti, mazan aonaa õturuudinan. 
ROM.15.23	Mazan aizii, õipaiaꞌa naa õkaudin-kizi ipai wiizai kawanaꞌati daꞌanaꞌa. Ukotuaꞌikin idiꞌi naa õdakotautan õmorowautan unao diꞌiti, 
ROM.15.24	naꞌanaꞌo nii õaipan õmorowautapaꞌakan õmakopan dono Spain iti. Õkonaukii-tinaꞌakan daunaꞌan utuma, õdobatan niꞌi naa, naꞌiki õaipan nii paꞌi ukaminkaꞌutan õgaru, õkaawa kizi Spain iti.
ROM.15.25	Mazan kiwiin õmakon nii zii Jerusalem iti õwanakaꞌanan taa-kariwai aimaakan kida naꞌiainao mishidainao ati. 
ROM.15.26	Macedonia naꞌiki Achaia Baara ii akaꞌo mishidainao, tuukii ĩkaꞌidiwataꞌazon Tominkaru pidanannao, dadaraꞌoraz ĩbaiatan mashaapa-karu Jerusalem ii. 
ROM.15.27	Panyukunuu aipan atiꞌo wuruꞌu ĩkaminkaꞌutaꞌazoonuz ĩdyaun. Mazan mishi ĩshaꞌapatan niꞌo wuruꞌu naꞌapaꞌoraz, ĩmawinipinaatapanii kawanuꞌo Jerusalem iaꞌo mishidainao. Ushaꞌapanum kauꞌan, ĩnao Jewnao diꞌikiꞌo Gentilenao kaꞌidiwainan kaimanaꞌo idi, Jewnao kowaadan idaꞌan ĩꞌati Kaimanaꞌo Kuwai Jesus dauaꞌoraz. Ukauꞌan, naꞌapaꞌo kapam Gentilenao kaꞌidiwatanuz Jewnao kaimanaꞌo idi, pataan idaꞌan pashaꞌapauz ĩꞌati. 
ROM.15.28	Aizii õtaankan daunaꞌan ĩꞌati dyuuda-kariwai ĩꞌati, õmakon niꞌi naa Spain iti. Naꞌanaꞌo niꞌi naa õmorowautaanaꞌakan Rome an unao idaꞌan. 
ROM.15.29	Naꞌiki õaitapa, õkaawan dono unao diꞌiti, õkaawa-kidan nii kaimanaꞌo aimaakan Christ diꞌikiꞌo, maꞌozakadaꞌo nii wamishidapan.
ROM.15.30	Aizii õmin-mishidannao, wazaamatinpan idi waNaobanaa Jesus Christ idaꞌati, naꞌiki wamarainpaakan idi Kaimanaꞌo Doronaa idaꞌan, õpishaan tuukii utoriinpan õtuma Tominkaru ati, õgaru dauꞌan. 
ROM.15.31	Upishaa Tominkaru, marii kizi ukazannaatan õgaru mamishida-kainao ai, Judea Baara ii akainaouz. Naꞌiki upishaa uruu, Jerusalem iainao mishidainao konaukii-kida kizi aimaakan õnaꞌakaniaz ĩꞌidiꞌiti. 
ROM.15.32	Utoriinapa naꞌapa, konaukii kizi õkaawan unao diꞌiti, Tominkaru aipan an unaꞌapan, wamaꞌozakadaaka kizi õnaꞌiaꞌakan dono unao tuma.
ROM.15.33	Õtoriinpan Tominkaru ati, unaꞌa kizi ipai unao tuma, uruu taaꞌoraz wanyukunuu kaiman-kinaa. Amen.
ROM.16.1	Õkiaꞌazon unao ati wadadakoo Phoebe dauꞌan, kaimanaꞌo pidan oroo, kaminkaꞌuupaꞌo mishidainao Cenchreae ii. 
ROM.16.2	Okaawan dono unao diꞌiti, konaukii udapaapa oroo, naꞌapa mishidainao aiapa-kao kawan ĩnaubaan pamin-mishidan, ushaꞌapanum kauꞌan mishidaꞌo Jesus wuruꞌu orooz. Oaipan an ukaminkaꞌutan paugaru kanom dauꞌan karikaonan, ukaminkaꞌuta paꞌi oroo. Ushaꞌapanum kauꞌan, iribaꞌo okaminkaꞌutauzon pidannao, õgaru okaminkaꞌutauzonii kapam.
ROM.16.3	Õparadan paꞌi Priscilla naꞌiki odaiaru Aquila ati, õmin-kaudinannaouz Christ Jesus ati. 
ROM.16.4	Ĩnao kazannaatauzonii õgaru, ĩaitapan puꞌu kichanaꞌiki-kiaꞌo wuruꞌu pashaꞌapataniaz. Uruu idi kaiman õnyukunuu ĩꞌati, naꞌiki ipai mishidainao Gentilenao kaiman ĩꞌati kapam ĩkazannaatan õgaru. 
ROM.16.5	Õparadan paꞌi kapam mishidainao ati, ĩdapu iaꞌoraz ĩbaokopainpauzon.
ROM.16.5	Õparadan paꞌi Epenetus ati, õmarainpaniaz. Uruu kiwiiniꞌo umishidan Jesus Christ Asia Baara ii.
ROM.16.6	Õparadan paꞌi Mary ati, dadaraꞌoraz okaudinan okaminkaꞌuupan unao. 
ROM.16.7	Õparadan paꞌi Adronicus naꞌiki Junia ati, õmin-Jewnnaouz, õgaru tumaꞌoraz ĩtarauzo-kao. Ĩnao kowaadapaꞌo Kaimanaꞌo Kuwai, naꞌiki kaimanaimanaꞌo mishidainao aitapan ĩdyaun. Ĩnao kiwiiniꞌo ĩmishidan Jesus Christ õgaru ai. 
ROM.16.8	Õparadan paꞌi Ampliatus ati, õmarainpaniaz uzaamatinpan idi waNaobanaa Jesus Christ idaꞌati. 
ROM.16.9	Õparadan paꞌi Urbanus ati, wamin-kaudinanuz Jesus Christ ati.
ROM.16.9	Õparadan paꞌi kapam Stachys ati, õmarainpaniaz kapam.
ROM.16.10	Õparadan paꞌi Apelles ati, tiwaa-kariwaiz naꞌiki tukapa-kidaꞌoraz mishiꞌo pamarainpan Christ. Õparadan paꞌi mishidainao ati mashaapainaouz Aristobulus dapu ii. 
ROM.16.11	Õparadan paꞌi Herodian ati, uruu Jew õgaru kawan.
ROM.16.11	Õparadan paꞌi mishidainao ati, mashaapainaouz Narcissus dapu ii. 
ROM.16.12	Õparadan paꞌi Tryphena naꞌiki Tryphosa ati. Ĩnao zunnao dadaraꞌo ĩkaudinan waNaobanaa Jesus ati. Õparadan paꞌi Persis ati, õmarainpaniaz, naꞌiki dadaraꞌoraz okaudinan waNaobanaa ati. 
ROM.16.13	Õparadan paꞌi Rufus ati, kaimanaꞌoraz manawun ukaudinan waNaobanaa Jesus ati. Naꞌiki õparadan paꞌi kapam udaro ati, taapaꞌoraz daꞌi õgaru paudani kawan.
ROM.16.14	Õparadan paꞌi Asyncritus, Phlegon, Hermes, Patrobas naꞌiki Hermas ati, naꞌiki ipai ĩtumainaouz mishidainao ati. 
ROM.16.15	Õparadan paꞌi Philologus, Julia, Nereus naꞌiki udadakoo ati, naꞌiki Olympas ati. Naꞌiki ipai baꞌorainao ĩtumainaouz mishidainao ati.
ROM.16.16	Konaukii unaubaa umin-mishidannao ubaokopatinan dono.
ROM.16.17	Õpishaan tuukii unao õmin-mishidannao: uzaudinpaꞌa naa wunao aiaꞌa, buutaaka-kidaꞌoraz pidannao, naꞌiki toꞌorataaka-kidaꞌoraz ĩdyaun paꞌatiaaka, naꞌiki pozawaabiꞌita-kidaꞌoraz ĩmishidapan Christ. Naꞌiki panaꞌitiꞌoraz ĩkuwaa unao tominapa-kida-kao ai. Manaꞌa unyukunuupaꞌanaꞌa ĩdyaun! 
ROM.16.18	Pidannao naꞌapaꞌoraz ĩshaꞌapatan aimaakan, aonaa waNaobanaa Jesus Christ atiꞌo mani ĩkaudinan wuruꞌu, mazan soo panyukunuu aipan kawanaꞌatiꞌo karikaonan. Konaunam ĩtoman pakuwaa naꞌiki ĩkonaukii-kida nii kawanuꞌo pidan, naꞌapaꞌo idaꞌan ĩmariidan pidan. Aonaꞌoraz uzaudinan naꞌapaꞌo mariidin-karu ai!
ROM.16.19	Ipaiꞌi naa pidannao abatan unao izoꞌatipan dauꞌu Kaimanaꞌo Kuwai, ukauꞌan tuukii õkonaukian unao dauꞌan. Mazan unaꞌapan puꞌu, õaipan uaitapan kaimanaiman kanom kaimanaꞌo ushaꞌapata-kao, naꞌiki aonaa kizi uturukadinan oiaꞌo aimaakan dauꞌati. 
ROM.16.20	Tominkaru, taaꞌoraz wanyukunuu kaiman-kinaa wamin-mishidannao tuma, kadimanaꞌo niꞌi naa umainaabatan Satan, aonaa kizi powaꞌa udikintan unao. Õtoriinpan Tominkaru ati, marii kizi pakawan waNaobanaa Jesus Christ kamunanun manawun unao ati.
ROM.16.21	Timothy, õmin-kaudinan Jesus Christ ati, udyuudan paparadan unao ati. Lucius, Jason, naꞌiki Sosipater, ĩnao Jewnaouz õgaru kawan, ĩdyuudan kapam paparadan unao ati.
ROM.16.22	Aizii õgaru Tertius, kaminkaꞌutaꞌoraz Paul saadan diꞌoraꞌa kaaritaꞌa. Õdyuudan kapam õparadan unao ati, õmin-mishidannaouz Jesus Christ.
ROM.16.23	Gaius, uruu dapu iaꞌo õgaru Paul mashaapan, naꞌiki uruu dapu iaꞌo mishidainao choochiipauzon, uruu dyuudan kapam paparadan unao ati. Erastus, awunuutapaꞌoraz wiizai puraatan daꞌaꞌa, udyuudan kapam paparadan unao ati. Waꞌinawuzu Quartus, udyuudan kapam paparadan unao ati. 
ROM.16.24	[Õtoriinpan Tominkaru ati, marii kizi pakawan waNaobanaa Jesus Christ kamunanun tuukii unao ati. Amen.]
ROM.16.25	Marii wakonaukii-kidan Tominkaru! Uruu turuaꞌo umaꞌozakadan wamishidapan õkowaadanii Kaimanaꞌo Kuwai idaꞌan, Jesus Christ dauaꞌoraz. Kotuꞌu, kotuꞌu, amazada tominan diꞌikiꞌo, dizinapa Tominkaru taapan wuruꞌu Kaimanaꞌoraz Kuwai. 
ROM.16.26	Mazan aizii, Tominkaru prophetinnao saadauzonii kida Tominkaru paradan idaꞌan uaida-kida kaawaꞌa naa, Tominkaru karikaonanuꞌo ukakupan dyuudan kawanaꞌati. Ipai kizi pidannao, ipai amazada kawanaꞌati ĩmishidan naꞌiki ĩizoꞌatin Christ.
ROM.16.27	Uruu baudaꞌapa Tominkaru, naꞌiki uruu pabaꞌorantin aitapaꞌo ipai aimaakan. Marii kizi ipai waunao, karikaonan wakonaukii-kidan uruu, Jesus Christ kaminkaꞌutan idaꞌan waunao. Amen.
1CO.1.1	Diꞌoraz kaarita õgaru Paul diꞌikiꞌo, zaamata-kariwaiz Tominkaru aipan kawanaꞌati apostle nii Christ Jesus ati, naꞌiki waꞌinawuzu Sosthenes diꞌikiꞌo kapam. 
1CO.1.2	Mishidainao Tominkaru atiꞌo Corinth iainaouz, Tominkaru buutaniinaouz papidanannao nii, naꞌiki usaabaaniinaouz kaiman paꞌati, papidanannao nii Christ Jesus idaꞌan. Naꞌapa uzaamatan kawan ipai pidannao ipai amazada kawanaꞌati, dopiaꞌoraz waNaobanaa Jesus Christ ati, uruu ĩnao Naobanaa kapam.
1CO.1.3	Õtoriinpan Tominkaru waDaru naꞌiki Naobanai Jesus Christ ati, marii kizi ukamunanun unao ati naꞌiki utaan unyukunuu kaiman-kinaa nii.
1CO.1.4	Karikaonan õkowaadauzon õTominkarun ati naꞌapam õkonaukian unao dauꞌan, ushaꞌapanum kauꞌan ushaꞌapatan idi kaiman kidaꞌo aimaakan unao ati Christ Jesus idaꞌan. 
1CO.1.5	Ubaudaꞌapatinpan idaꞌan Christ tuma, Tominkaru taa unao ati ukaꞌiita-kinaa nii kida ushaꞌapatan iriba aimaakan paꞌati: unao aitapa-kinaa nii kaimanaiman wuruꞌu kuwaiz udauaꞌo naꞌiki ukowaada kiziz baokoinao ati. 
1CO.1.6	Uruu idaꞌanaꞌo wuruꞌu Tominkaru aida-kidan unao ati mishiꞌo wuruꞌu kuwaiz Christ dauaꞌoraz, wakowaadaniaz unao ati. 
1CO.1.7	Unaꞌapan kauꞌan, Tominkaru Doronaa taa unao kaꞌiita-kinaa nii ushaꞌapatan ipai kaudin-kizai, uzaudapan puꞌu kapam waNaobanaa Jesus Christ aidinan, uwaꞌatin dono powaꞌa ati imiꞌi baara ati. 
1CO.1.8	Tominkaru taapan nii kapam unao mishidanuzu maꞌozaka atii utokon iti, uruu idi unao, aonaꞌo nii oiaꞌo ikoda-kao uꞌidaꞌa wuru kamoo donoꞌo, waNaobanaa Jesus Christ kaawanuz powaꞌa ati. 
1CO.1.9	Tominkaru, mishiꞌo nii ushaꞌapatan aimaakan naꞌapa pakian kawanaꞌati, uruu wuruꞌu zaamataꞌoraz unao ubaokopatinapa-kizi uDani Jesus Christ tuma, waNaobanaaz.
1CO.1.10	Õiribannao, waNaobanaa Jesus Christ dyuudan õparadan uꞌati, naꞌiki tuukii õaipan uabatan õparadan. Patumaaka utaapa unyukunuu umin-mishidannao tuma, uruu aonaa kizi buutaaka-karu unao bii an. Kaimanaiman ubaudaꞌapatin, naꞌapa kida udiꞌitinapa aimaakan dauꞌu, naꞌiki ushaꞌapataꞌazoonii aimaakan kida dauꞌan. 
1CO.1.11	Õiribannao, pabiꞌi pidannao Chloe dapu ikiinaouz kowaadan õꞌati kainaꞌa pidannao kashadaakapan unao bii an. 
1CO.1.12	Kaikapaꞌo atiꞌo kaiwuruꞌu õkianuz: pabiꞌi kida unao, panaꞌa kida udiꞌitinpan umin-mishidannao ai. Baudaꞌapaꞌo kian, “Õgaru Paul pidanan,” baꞌoran kian, “Õgaru Apollos pidanan;” baꞌoran kian, “Õgaru Peter pidanan;” naꞌiki baꞌoran kian, “Õgaru Christ pidanan.”
1CO.1.13	Ubuutaakapan idaꞌan kaikapaꞌa, ubuutan kawanuꞌo Christ wuruꞌu. Paul mooko mawakaꞌoraz cross idaꞌa unao ati? Paul uu idaꞌanaꞌo mooko wuruꞌu unao chikaawunuu-kaoaz? 
1CO.1.14	Kaiman manawun õꞌati, aonaan idi õchikaawunuuan pidannao unao bii iki, soo Crispus naꞌiki Gaius õchikaawunuunii. 
1CO.1.15	Ukauꞌan aonaa turuu naꞌiaꞌoram pidan kian õgaru uu idaꞌanaꞌo uchikaawunuinan. 
1CO.1.16	(Oo õaitapa, õchikaawunuunii mishi kapam Stephanas naꞌiki uiribannao, mashaapainaouz udapuꞌu; mazan aonaa õꞌitiiman õchikaawunuuan kainaꞌa baꞌoran pidan.) 
1CO.1.17	Christ aonaa udyuudan õgaru chikaawunuupaꞌo nii, mazan kowaadapaꞌo nii paꞌan Kaimanaꞌoraz Kuwai, Christ mawakan dauaꞌoraz. Naꞌiki õkowaada kiziz mashaꞌapannaꞌo parada-karu idaꞌan. Õkaiwaan an mani parada-karu kida pidan aitapaaban kawanaꞌatiꞌo, konaunam mani õkuwaa ĩꞌati, mazan aonaꞌa naa mani kuwai Christ mawakan dauaꞌoraz cross idaꞌa kaiwainan maꞌozakaꞌo idaꞌan.
1CO.1.18	Kuwai Christ mawakan dauaꞌoraz Cross paawaꞌa, madiwautapa-kaꞌo wunao pidannao tukapanuz, waziwadinpainaouz Tominkaru ai. Mazan waunao ati kazannaatapa-kariwainaouz, uruu paꞌan waaitapa-kinaa Tominkaru maꞌozakan. 
1CO.1.19	Kotuaꞌoraz Tominkaru Paradan Saada-kariwaiz kian,
1CO.1.19	“Õtukapa-kidan nii naꞌapam aitapaabaꞌo pidannao
1CO.1.19	kakinaori kida madiwautapa-kaꞌo.
1CO.1.19	Naꞌiki õtukapa-kidan nii aonaa mishiꞌo manawun mani ĩaitapan
1CO.1.19	naꞌapam padiꞌitinpan aimaakan kida dauꞌan.”
1CO.1.20	Ukauꞌan, naꞌapam wakian pidannao aitapaabainao dauꞌan? Naꞌapam wakian kaaritapauzonao dauꞌan Jewnao kakinaori dauꞌu? Naꞌiki naꞌapam wakian wuruꞌu imiꞌi baara ainao pidannao dauꞌan, aitapainaouz panaꞌapatan pidannao nyukunuu paparadan idaꞌan? Tominkaru aida-kida naꞌapam pidannao aitapaabanuz, madiwautapa-kaꞌo karikaonan. 
1CO.1.21	Tominkaru aitapaabaꞌo manawun, uruu idi aonaa utaapadan pidannao aitapan paugaru, wuru idaꞌanaꞌa ĩaitapaabanuz. Mazan kiiꞌan, paaipan ati paꞌan ukazannaatan pidannao mishidaꞌoraz Christ, wakowaadaniaz kuwai idaꞌan. Uruu kuwai pidannao aitapaabainao dakotaniaz madiwautapa-kaꞌo nii. 
1CO.1.22	Jewnao, ĩaiapa Tominkaru shaꞌapatan naꞌiki uaida-kidan aimaakan umanawunuꞌo paꞌati, pamishida-kinaa nii wuruꞌu kuwaiz; naꞌiki Greeknao, ĩabataꞌazon kakuwaapa-karu aitapaaba-karu idaꞌan. 
1CO.1.23	Aizii waunao, wakowaada Christ mawakanuz Cross idaꞌa; uruu kuwai aonaꞌo manawun Jewnao naudapan paabatan, naꞌiki Gentilenao
1CO.1.24	Mazan paꞌan wunao atiꞌi pidannao, Tominkaru zaamataniinaouz papidanannao nii, Jewnao naꞌiki Gentilenao, ipai ĩnao ati diꞌoraz kuwai Christ dauaꞌoraz, aida-kidaꞌo paꞌan naꞌapam Tominkaru maꞌozakan manawun, naꞌiki uaitapaaban manawun. 
1CO.1.25	Pidannao kian wuruꞌu kuwai Tominkaru diꞌikiꞌoraz madiwautapa-kaꞌo, mazan uruu kuwai aida-kida Tominkaru powaꞌaꞌo zii uaitapaaban ĩnao aitapaaban ai. Naꞌiki ĩkian puꞌu wuruꞌu Tominkaru shaꞌapataniaz kapatiꞌo, mazan kiiꞌan wuruꞌu Tominkaru shaꞌapatanii kidaz, powaꞌaꞌo zii umaꞌozakan ĩnao maꞌozakan ai.
1CO.1.26	Aizii unyukunuitapa kanom daꞌi unao, õmin-mishidannao, Tominkaru zaamatan donoꞌoraz unao: aonaa iriba mani unao aitapaabaꞌo, pidan aitapaaban kaduz kawanaꞌati; aonaa iriba mani unao umanawunuꞌo; aonaa iriba mani unao dokozunnao umanawunuꞌo naobanainao. 
1CO.1.27	Mazan Tominkaru zaamata paꞌan “maaitapin-kainao” pidannao kii-kiziz. Ĩnao idaꞌan uaida-kidan aonaa pidan zaamata-kao paaitapaaban dikin ii mani. Naꞌiki Tominkaru zaamatan pidannao aonaꞌoraz ĩmanawunun, aida-kidaꞌo nii aonaa pidan zaamata-kao umanawunun dikin ii mani. 
1CO.1.28	Tominkaru zaamatan kashada-kariwai naꞌiki dakota-kariwainaouz aonaꞌo ĩmanawunun, soo aida-kidaꞌo nii paꞌan wunaouꞌu dakota-kariwainaouz umanawuniinao nii, aonaa mishiꞌo manawun mani ĩnao umanawunun. 
