MAT.1.1	Ɗèlèwèr nzlembaƋ ndohi te verzi Yèsu Kristi, kra David, kra Abraham.
JHN.10.24	A ndohi Juif ta tèuda Yèsu a pa, a ta gaƋa na:
JHN.10.24	Ka pa nga géƋ cèw tè ngèmè? Man ka Kristi, ngreda nga!
JHN.10.25	A Yèsu a ngaƌa ta:
JHN.10.25	I gaƌa kinè, a kin cè a ndav azɓi genè. Mizlinè man i gi a nzlembaƌ Bab ga a gi malwuƌi ga a sam kinè. 
JHN.10.26	Aman kin ca a ndav ɓai, te man kinè te va tambakhi ga ɓai, ara man i gaƋa kinè. 
JHN.10.27	Tambakhi ga ta tsena da'ai ga, a i sen ta, a ta dzadzarkayè, 
JHN.10.28	a i va ta nshèfíè a mèƋèp, ta zi azɓai a mèƋèp, ndo azɓai man a ngezl ta te ri ga. 
JHN.10.29	Bab ga man a mpe ta a ri a iyè, a fena skwi ngiƋè tèlèba. Ndo a slaha man a ngezl ta te ri Bab ga azɓai. 
JHN.10.30	Nga a Bab ga, nga staƋgenè.
JHN.10.31	A ndohi Juif ta porko kwa za'a, aman ta kèlè'a. 
JHN.10.32	A Yèsu a ngaƋa ta:
JHN.10.32	I ngreda kinè skwi man Bab ga a gia kumba. Kin kalyè a kwa a géƌ mè?
JHN.10.33	A ndohi Juif ta gaƌa na:
JHN.10.33	Nga kal ka a géƌ skwi man amba man ka gia ka ɓai, aman a géƌ man ka derƌe Zhiklè. A géƌ man ka, ndo ambalai, ka fi va ngaya a Zhiklè.
JHN.10.34	A Yèsu a ngaƌa ta:
JHN.10.34	Te ma kita kinè, ta windo ɓi ƌè: I gaƌa kinè, kinè zhiklèhai. 
JHN.10.35	Tenga'a man a baba ta zhiklèhai, a géƌ man ma Zhiklè a ngoƌa. Ma ƌèlèwèr Zhiklè a cèkèlma azɓai. 
JHN.10.36	A kin gaƌa na ndo man Zhiklè a nkezla'a, man a zlündkoƌa a herkeda: Ka derƌe Zhiklè! A gèƌ man i gaƌa: I kra Zhiklè.
JHN.10.37	Aman i gi mizlinè Bab ga azɓai, kin ciyè a ndav ɓai! 
JHN.10.38	Aman i gi mizlinè Bab ga, a kin woy a kin ciyè a ndav ɓai, voco mizlinè a ndav mènè, a kin da suna, a kin cè a ndav kinè, Bab ga a zhè te iyè, a iyè, i zhè te Bab ga.
JHN.10.39	A ta woy maya za'a, aman ta gshè'a. Aman nenga'a a mbèl na te ri ta. 
JHN.10.40	A ndo a deɓa a wud woyam Jourdain, a sam man Jean a gu baptême hala'a, a n'nza a pa. 
JHN.10.41	Ndohi kumba ta shkè a sam na, a ta gaƋa:
JHN.10.41	Jean a n'nga nrkedi ar haha ɓai. Aman ma tèlèba man Jean a goƋ a géƋ ndo haha, a ngoƋ zura'a a vava.
JHN.10.42	A ndohi kumba te pa ta co a ndav ta.
JHN.11.1	Ndo ngiƋè, nzlembaƋ na Lazare, te kokwar Béthanie, m'mana t'hai, mbelakaɓai, a sam Marie a Marthe, demamhi na. 
JHN.11.2	Marie, nenga'a man a mfaƌa na mbar a va Bai, a ntokwola na sak a gwots gèƌ na. Lazare, kramam na, mbelakaɓai. 
JHN.11.3	A ta zlündo ndo a sam Yèsu, a ta gaƋa na:
JHN.11.3	Bai, na haha, ndo man ka woya'a, nenga'a mbelakaɓai.
JHN.11.4	Aman Yèsu a ntsena'a, a ngaƋa:
JHN.11.4	Matakwan nenga'a a géƋ a m'metsi ka ɓai. A gu aman ta shin n'njèl Zhiklè, a ta slébèrƋè kra Zhiklè.
JHN.11.5	Yèsu a woy Marthe a demam na, a Lazare, a ndav na. 
JHN.11.6	Aman a ntsena'a, Lazare mbelakaɓai, a n'nza te deɓa m'mèn cèw. 
JHN.11.7	Te deɓa'a a ngaƋa ta golahi nenga'a:
JHN.11.7	Ngodokoya a deɓa a kokwar-Bi Judée!
JHN.11.8	A golahi nenga'a ta gaƋa na:
JHN.11.8	Rabbi, aƋatsuta ndohi Juifta woy a ta kal ka a kwa, a ka woy a ka minè a deɓa a sama'a Ƌè?
JHN.11.9	A Yèsu a ngaƋa:
JHN.11.9	Te pats staƋ, l'heure 12 ka ɓi Ƌè? Ndo man a shèwèlè a pats, kwa a tsama na sak azɓai, te man a rka skwi nhél sam herkeda. 
JHN.11.10	Ndo man a Ƌè a vaƋ, kwa a tsama na sak, te man skwi nhèl sam az a sam na ɓai.
JHN.11.11	A ngaƋa ta ma haha. Te deɓa'a a ngaƋa ta:
JHN.11.11	Lazare, mandal nga, a nzhuna. Aman i Ƌè a i da piƋèkwuda.
JHN.11.12	A golahi nenga'a ta gaƋa:
JHN.11.12	Bai, aman a nzhuna, dara'a.
JHN.11.13	Aman Yèsu a goƋ a géƋ m'metsi nenga'a. A tenga'a ta huro, a goƌ a gèƌ nzhunè ambalai. 
JHN.11.14	A Yèsu a ngreda ta tsaraya'a.
JHN.11.14	Lazare a m'mets na ma! 
JHN.11.15	I wuffè a géƌ kinè, te man iyè az a pa ɓai, a i do tsam tsam ɓai, aman kin Ƌè cè a ndav kinè. Aman ngoƋokoya a sam nenga'a!
JHN.11.16	A Thomas, man ta baba na tsakalai, a ngaƌa ta golahi Yèsu:
JHN.11.16	Ngodokoya, a nga da metsi a va nenga'a!
JHN.11.17	A Yèsu a mshkè, a n'ngots Lazare, m'mèn faƋ te vèvèƋ. 
JHN.11.18	Kokwar Béthanie ndul ndul a ma kokwar Jérusalem, a gi km 3. 
JHN.11.19	A ndohi Juifkumba kumba ta shkè a sam Marthe a Marie, aman ta ga ta cèka a géƌ kramam ta. 
JHN.11.20	Aman Marthe a ntsena'a, Yèsu a mshkè, a mdo man ta zli gèƋ a vna. Aman Marie a n'nza te ngwai. 
JHN.11.21	Marthe a ngaƋa na Yèsu:
JHN.11.21	Bai, aman a matsa ka zhè, ar kramam ga m'metsa ɓai. 
JHN.11.22	Aman antanta ba i suna, skwi ko mèmè ka jheƋè te ri Zhiklè, Zhiklè a da va ka.
JHN.11.23	Yèsu a ngaƋa na:
JHN.11.23	Kramam ngaya a di a slambaƋkaäauda.
JHN.11.24	A Marthe a ngaƋa na:
JHN.11.24	I suna, a da slambaƋkaƋauda a sam nslambaƋkaƋ ndohi auda te m'metsai, a pats n'ndikèma skwai.
JHN.11.25	A Yèsu a ngaƋa na:
JHN.11.25	lyè, nslambaƋkaƋ ndo, a nshèffè. Ko wawa man a ciyè a ndav na, a nzi a nshèffè, ko a m'mets na. 
JHN.11.26	Ko wawa man a nzi a nshèffè, a ciyè a ndav na, a da metsi azɓai a mèƋèp. Ka co a ndav ngaya arsa Ƌè?
JHN.11.27	A nenga'a a ngaƋa na:
JHN.11.27	Halau, a Bai, i co a ndav ga, ka Kristi, kra Zhiklè, man a shkè a herkeda.
JHN.11.28	Aman a ngoƋ ma haha, a mdo, a mbaha na Marie, demam na, a metsar, a ngaƌa:
JHN.11.28	Ndo njèngè a zhè, a baba ka.
JHN.11.29	A nenga'a man a ntsena'a, a nslambaƋa tsam tsam, a ndo a sam na. 
JHN.11.30	Aman Yèsu a mshkè a kokwar di ɓai, aman a zhè a sam man ta zlü gèƋ a Marthe. 
JHN.11.31	Ndohi Juif te gi nenga'a, aman ta shkè a ta ga na cèka, ta rka ara man a slambaƋa tsam tsam, a n'ndo auda, a ta dzodzor te deɓa, a ta gaƌa:
JHN.11.31	Marie a Ƌè a gi dzavai, man a da kuƌi a pa.
JHN.11.32	Aman Marie a ndikè a sam Yèsu, a nrka'a, a nkalahai a deɓ sak nenga'a, a ngaƋa na:
JHN.11.32	Bai, aman a matsa ka zhè, ar kramam ga m'metsa ɓai.
JHN.11.33	A Yèsu, a nrka'a ara man a kuƋai, a ndohi Juif man ta shkè a verzi nenga'a ta kuƋai, a kuƋa a nckoƋai, 
JHN.11.34	a ngaƋa:
JHN.11.34	Kin rda a ma?
JHN.11.34	A ta gaƋa na:
JHN.11.34	Bai, washkè a ka da rka'a.
JHN.11.35	A Yesu a nkudau, kuƋa a dai. 
JHN.11.36	A ndohi Juif ta gaƋa:
JHN.11.36	Na haha, a woya'a kumba!
JHN.11.37	Matrhia'a te ndev ta, ta gaƋa:
JHN.11.37	Nenga'a man a va na di a ndo mandazlai, wuƋi na azɓi Ƌe, aman Lazare a m'metsi ɓai?
JHN.11.38	A Yèsu a kuƋi te ndav, a shke a ma gi dzavai a vèvèd te za, a ngezlambar mbia'a mpizlè te ma gi dzavai. 
JHN.11.39	A Yèsu a ngaƋa:
JHN.11.39	Vaca na ngezlambar auda!
JHN.11.39	A Marthe, demam ndo m'metsa'a, a ngaƋa na:
JHN.11.39	Bai, nckondo a zhkè ani ma! M'mèn faƋ te pa!
JHN.11.40	A Yèsu a ngaƋa na:
JHN.11.40	l gaƋa ka ɓi Ƌè, aman ka co a ndav, a di ka rka n'njèl Zhiklè?
JHN.11.41	A ta cama na ngezlam­ bar auda te ma gi dzavai. A Yèsu a mpu di a zhiklè, a ngaƋa:
JHN.11.41	Bab ga, i shida ka gèƋ, aman ka co ma ga. 
JHN.11.42	Aman i suna, ka cè ma ga pèc pècèk. Aman a géƋ ndohi man ta zlatsa haha, i gèƋè ma ar haha; aman ta cè a ndav ta, ka, ka nzlindekayè.
JHN.11.43	Aman a ngoƋ ma ar haha, a mboho a wuƋai:
JHN.11.43	Lazare, washkè auda!
JHN.11.44	A ndo m'metsa'a a mshkè auda, mbè te maslaka ara nckondo, a mberzledai. Yèsu a ngaƋa ta:
JHN.11.44	Vapra na maslaka auda a va, aman a Ƌè.
JHN.11.45	Ndohi Juif kumba man to do a sam Marie, ta rka skwi man Yèsu a gau, a ta co a ndav ta. 
JHN.11.46	Aman matrhia'a ngiƋè to do a sam ndohi pharisie, a ta ngreda ta skwi teleba man Yèsu a gau. 
JHN.11.47	A ndohi mvi skwi a Zhiklè mbibihia'a a ndohi pharisie ta ɓica va, a ta cèmma, a ta gaƌa:
JHN.11.47	Nga da gi ma kè? Ndo haha a gi nrkedi kumba.
JHN.11.48	Aman nga jèkeda arsa, ndohi tèlèba ta da cè a ndav, a ngomnahi te Rome ta da shkè, a ta duma sam nga nkezla'a, a ndohi tèlèba.
JHN.11.49	Aman staƌ te va tenga'a, Caiphe, man a vi sa bi ndohi mvi skwi a Zhiklè, a ngaƌa ta:
JHN.11.49	Kin sun skwa ɓai! 
JHN.11.50	Dara a sam kinè, aman ndo staƌ a metsi na, te di man a ndohai, dara nenga'a a géƋ ndohi tèlèba man ta géƌèsh ta.
JHN.11.51	Ma haha a goƋ te gèƋ na ka ɓai. Aman a hodko ma haha, te man nenga'a bi ndohi mvi skwi a Zhiklè a vi sa, ara man Yèsu sèi a metsi nƋèzl a géƋ ndohi Juif, 
JHN.11.52	a géƋ ndohi Juif genè ka ɓai; aman a da ɓic ta ndohi Zhiklè tèlèba man ta venda gèƋ ta. 
JHN.11.53	A ta hüno a pats nasa, a ta woy maya ara man ta kéƋe'a. 
JHN.11.54	A Yèsu a shèwèlè ambali a sam di ndohi Juif azɓai. A ndo a ma, a kokwar ngiƌè, a ma hèshèkèƌ, nzlembaƌ na Ephraim, a n'nza a pa, a nda golahi nenga'a.
JHN.11.55	Ngolala Pâque ndohi Juif ndul ndul, a ndohi kumba a sama'a ta slambatla, a to do Jérusalem, aman ta til ndav ta nga ngolala Pâque. 
JHN.11.56	Ta zhè, a ta woy Yèsu te pa, a ta goƌ a va ta te gi Zhiklè:
JHN.11.56	Kin hur ké: a da shkè a sam ngolala azɓi ƌè?
JHN.11.57	A ndohi mvi skwi a Zhiklè mhibihia'a a ndohi pharisie ta fa ta ma a gèƌ a ndohi kokwar: Aman ndo ngiƌè a sun sam man a nzi a pa, da ngreda, aman nga gshè'a.
JHN.12.1	M'mèn mokwa, ga ngolala Pâque, Yèsu a mshkè a kokwar Béthanie, man Lazare te pa, ndo man Yèsu a nslambaƌdekaƌauda te va ndohi m'metsa'a.
JHN.12.2	Te pa ta tila skwi n'ndai. Marthe a ntakaha ta. Lazare te va tenga'a, man ta ndau skwi a vna. 
JHN.12.3	A Marie a nco ɓurdi, gani nenga'a kumba, a gi nƋèlèk staƌ, a nfaƌa na a sak a Yèsu, a ntokwolama na sak a gwots gèƌ nenga'a. A gi n'ndhe na a nzhkè ɓurdi. 
JHN.12.4	A Judas Iscariot, kra Simon, staƌ te va golahi Yèsu, nenga'a man te deɓa'a a n'nga na ri a gèƌ Yèsu, a ngaƌa:
JHN.12.5	Ta preda ɓurdi haha a ma a suli 3.000, a ta va ta ndohi ntawassa'a ɓi èhèmè?
JHN.12.6	Ma haha a goƋ a géƋ man a woya a ntakaha ta ndohi ntawassa'a ka ɓai, aman a géƌ man nenga'a ndo metsar, gozhèm suli te ri na, a ɓer skwi man ta ngotso. 
JHN.12.7	A Yèsu a ngaƋa na:
JHN.12.7	Jèkeda! Skwi arsa a gu, aman a hér pats man ta da riyè a vèvèd. 
JHN.12.8	Ndohi ntawassa'a ta zhè a sam kinè pèc pècèk; aman iyè, i nzi a sam kinè pèc pècèk azɓai.
JHN.12.9	Ndohi kumba te ndev ndohi Juif ta tsena'a, a zhè te pa. A ta shkè a sam Yèsu genè ka ɓai. Aman ta woy a ta rka Lazare ba, ndo man Yèsu a nslambaƌdekaƌauda te ndev ndohi m'metsa'a. 
JHN.12.10	Aman ndohi mvi skwi a Zhiklè mbibihia'a ta woy maya, a ta woy a ta kéƌè Lazare ba. 
JHN.12.11	A géƌ Lazare ndohi Juifs kumba ta jèke ta, ta co Yèsu a ndav ta.
JHN.12.12	Te mangoslèma'a, aman ndohi kumba ta Ƌè ngolala, ta tsena'a, Yèsu a Ƌè Jérusalem. 
JHN.12.13	A ta burzl vah gangar, a to do aman ta zli gèƌ a vna, a ta goƌ a wuƌai:
JHN.12.13	Vanzala'a! Nga slèbèrƋè nenga'a man a shkè a nzlembaƋ Bi Zhiklè, bi Israel!
JHN.12.14	A Yèsu a n'ngots gol kƋèh, a n'nza a deɓa'a, ara man ta windo:
JHN.12.15	Ka gu zlau ɓai, kokwar Sion! Na haha, bi ngaya a shkè a deɓ gol kƋèh.
JHN.12.16	Nshèlèkura'a, golahi Yèsu ta tsena verzi ma haha di ɓai. Aman a pats man Yèsu a ngots n'njèlè ma, ta huro, ma haha a windo a géƋ nenga'a, a ta ga na ar naha. 
JHN.12.17	Aman ndohi man ta zhè a sam man a baba na Lazare auda te dzavi na, a nslambaƌdekaƌauda te ndev ndohi m'metsa'a, ta gu malwuƋai.
JHN.12.18	Gar haha ndohi kumba to do, aman ta zli gèƋ a vna, te man ta tsena skwi malwuƋi man a gau. 
JHN.12.19	A ndohi pharisie ta goƋ a va ta:
JHN.12.19	Kin rka'a, kin slaha nenga'a ɓai! Ndohi tèlèba ta Ƌè a verzi nenga'a.
JHN.12.20	Te va ndohi man to do ngolala, aman ta tsi rai, ndohi Grec kètè ta zhè. 
JHN.12.21	A ta shkè a sam Philippe, te kokwar Béthsaida te Galilée, a ta gaƋa na:
JHN.12.21	Bi ga, nga woy a nga rka Yèsu.
JHN.12.22	A Philippe a mshkè, a ngaƋa na Andrè, a nda Philippe a Andrè ta menda na a Yèsu. 
JHN.12.23	Aman Yèsu a m'mbeƋa ta a ma:
JHN.12.23	TiƋè sama ma, aman Kra-ndo a ngècè n'njèl na. 
JHN.12.24	A vava, a vava, i gaƋa kinè: Sèi tser dau a kèlèhi a herkeda, a verzi na a nhusl na, man ɓai a nzi a géƌ na. Aman a husl na, a yi wuda kumba. 
JHN.12.25	Ndo man a woy nshèffè na, nshèffè nenga'a a zi na. Ndo man a woya nshèffè na man a gèƌ herkeda haha ɓai, a ɓer nshèffè man a nzi a mèƋèp. 
JHN.12.26	Ndo man a woya a ntakahayè, sèi a dzadzarkayè. A sam man iyè a pa, ndo ntakahayè ba a pa. Ndo man a takahayè, Bab ga a slébèrƋè'a.
JHN.12.27	Antanta ndav ga a kudai, a i gèƋè ma kè? Bab ga, mbelkay auda te sam nta! Aman i shkè a sam nta a gèƌ nenga'a. 
JHN.12.28	Bab ga, nzala nzlembaö ngaya!
JHN.12.28	A ngèƋè staƋ a ntsenkaƋi te zhiklè:
JHN.12.28	I nzala'a ma, a i woya man a i nzala'a a va'a.
JHN.12.29	A ndohi man ta zlatsa a pa, ta tsena'a, a ta gaƋa:
JHN.12.29	Ntsiiyam!
JHN.12.29	Ndohi ngiƋè ta gaƋa:
JHN.12.29	Ta goƋ a gol Bi Zhiklè!
JHN.12.30	A Yèsu a 'mbeƋa ta a ma:
JHN.12.30	NgèƋè haha a gu a géƋ ga ka ɓai, aman a géƋ kinè. 
JHN.12.31	Aman antanta kita a gi a géƋ herkeda haha. Antanta ta da jèr bi herkeda haha. 
JHN.12.32	A iyè, man ta zlatsedyè a géƋ herkeda, i woy man i vitka ta ndohi tèlèba a sam ga.
JHN.12.33	Ma haha a goƋo, a ngréƋè m'metsi nenga'a, ara man a da metsi na. 
JHN.12.34	A ndohi ta gaƋa na:
JHN.12.34	Nga tsena te ma kita Zhiklè, Kristi a nzi a mèƋèp. Ka, ka gad kè: Sèi ta zlècèƋè Kra-ndo. Kra-ndo haha wa?
JHN.12.35	A Yèsu a ngaƋa ta:
JHN.12.35	Skwi nhél sam a zhè a sam kinè kètèdai. Vodo, manskwi nhél samazhè a sam kinè dai, ruva da ga kinè a gèƋ ɓai! Ndo man a Ƌè te ndev ruva, a sun sam mah a Ƌè a pa ɓai. 
JHN.12.36	Voco skwi nhél sam a ndav kinè, a pats man ani a zhè a sam kinè, a kin ndi a wudahi skwi nhél sam!
JHN.12.36	A Yèsu a ngoƋ ma ar haha, a mdo na, a n'ngheda va na a sam di ta. 
JHN.12.37	Ko a ngu nrkedi arsa kumba, a sam di ta, taca a ndav ta ɓai. 
JHN.12.38	A ngu ara man Esaie, ndo nhadka ma, a gaƋa:
JHN.12.38	Bai, nco ma man nga njè'a, wa? WuƋi Ndo nzi pèc pècèk a ngudoko na va a di a wa?
JHN.12.39	Gar haha ta slaha a ta ca a ndav ɓai, aman a sam ngiƋè Esaie a gaƋa:
JHN.12.40	Nenga'a a nƋèma ta dai, a nsassaya ndav ta, a ta rka di ɓai, a ta da menkaƋa deɓa asaɓai, aman i mbel ta azɓai.
JHN.12.41	Ma haha Esaie a goƋ a géä man a rka n'njèl nenga'a, a ngoƋ a géƌè'a. 
JHN.12.42	Ko ndohi mbibihia'a kumba ta co a ndav ta. Aman a géƌ ndohi pharisie ta ngreda auda ɓai, ta gu zlau, ta da dzar ta auda te gi njèngè ma Zhiklè. 
JHN.12.43	Ta woy n'njèlè a sam ndohai, a fena man a Zhiklè. 
JHN.12.44	A Yèsu a mboho, a ngaƋa:
JHN.12.44	Ndo man a ciyè a ndav na, a ciyè ka ɓai, aman nenga'a man a zlindekayè. 
JHN.12.45	A ndo man a rkayè, a rka nenga'a man a zlindekayè. 
JHN.12.46	I shkè a herkeda, i skwi nhél sam. Aman ko wawa man a ciyè a ndav na, a nzi te ruva azɓai. 
JHN.12.47	Ndo man a tsena ma ga, aman a cè azɓai, iyè a ngi kita nenga'a ka ɓai. I shkè ɓai, aman i gi kita herkeda; aman i shkè, aman i mbel herkeda.
JHN.12.48	Ndo man a kwolyè, a ce ma ga azɓai, kita nenga'a a zhè ma. Ma man i gèƋè'a, nenga'a a gi a kita na, a pats n'ndikèma skwai. 
JHN.12.49	I goƌ ma te gèƌ ga ka ɓai. Aman Bab ga man a zlindekayè, nenga'a a mvayè ma nkwèrè man i gèƌè'a. 
JHN.12.50	A i suna, ma nkwèr nenga'a, nshèffè a mèƋèp. Anai, skwi man i gèƋè, i gèƋè'a ara man Bab ga a ngrayè.
JHN.13.1	Ga ngolala Pâque, Yèsu a suna, tiƋè sam man a nenga'a a mshkè ma, a da jèkeda herkeda haha, a nƋè a sam Bab na. A woy ndohi na, man ta zhè t'herkeda, a ndav na, a woy ta, ha a ndeva skwi tèlèba. 
JHN.13.2	A sam skwi n'ndi dakwaƋ, bi madzagai a nfa na a ma Judas Iscariot, kra Simon, aman a ga na ri a gèƋ a Yèsu.
JHN.13.3	Yèsu a suna, Bab na a mva na skwi tèlèba a rai, a suna, a shkè te Zhiklè, a nƋè a sam Zhiklè, 
JHN.13.4	a nslambaƋa a sam skwi n'ndai, a nsuƌa na dawar auda a va, a m'manda maslaka mizlinè a ma, 
JHN.13.5	a mɓedza iyam a kokwai, a hüno man a penè sak golahi nenga'a, a ntokwola ta a maslaka mizlinè man a manda a ma. 
JHN.13.6	A Yèsu a mshkè a sam Simon Pierre, a Pierre a ngaƋa na:
JHN.13.6	Bai, ka mpènè sak ga de?
JHN.13.7	A Yèsu a m'mbeƋa na a ma:
JHN.13.7	Skwi man i gia, ka sun di ɓai. Ka da shinè te deɓa'a.
JHN.13.8	A Pierre a ngaƋa na:
JHN.13.8	Ka panay sak ga ɓi fèt!
JHN.13.8	Yèsu a ngaƌa na:
JHN.13.8	Aman i pana ka azɓai, nga humƋè va a kaazɓai.
JHN.13.9	A Simon Pierre a ngaƋa na:
JHN.13.9	Bai, anai ka panay sak genè ɓai, aman ri ga a gèƋ ga tèlèba!
JHN.13.10	A Yèsu a ngaƋa na:
JHN.13.10	Ndo man mpana va na ma, sèi a pènè sak mènè. Kinè, kin pana, aman kin tèlè ka ɓai.
JHN.13.11	Yèsu a sun ndo n'nga na ri a gèƋ. Gar haha a ngaƋa: Kinè, kin pana, aman tèlè ka ɓai. 
JHN.13.12	Aman a mpana sak ta ma, a mfèda maslaka na a va, a n'nzahai a tsagi tenga'a za, a, a ngaƋa ta:
JHN.13.12	Kin sun skwi man i ga kinè Ƌè? 
JHN.13.13	Kin babayè 'ndo njèngè ma', a 'Bai', a kin goƋ amba. I nenga'a. 
JHN.13.14	Aman iyè, bi kinè a ndo njèngè ma kinè, i pana sak kinè, sèi kin gi lèmèlèmè te ndev kinè, ngiƋè a pènè sak a ngiƋè, ngiƋè a ngiƋè. 
JHN.13.15	Skwi man i ngreda kinè, i va kinè, aman kin gia lèmèlèmè ara man i gu a sam kinè. 
JHN.13.16	A vava, a vava, i gaƋa kinè: 'Bèlè a fena bab na azɓai. Ndo sak a fena ndo nzlinƋè'a azɓai. 
JHN.13.17	Aman kin sun ar haha, mwuffè a sam kinè, aman kin gia'a!
JHN.13.18	I goƋ a gèƋ kinè tèlèba ka ɓai. I sun tengahi man i par ta. Aman a gi ara ma te Ƌèlèwèr Zhiklè man a gaƋa: Ndo man a ndi movar ga, a da ngwodyè. 
JHN.13.19	I gaƋa kinè ma haha antanta, aman n'nga di ɓai. Aman a da gai, kin cè a ndav kinè, i zhè. 
JHN.13.20	A vava, a vava, i gaƋa kinè: Ndo man a cè ndo man i zlündo, a ciyè. A ndo man a ciyè, a cè nenga'a man a zlindekayè.
JHN.13.21	Aman Yèsu a goƋ ma haha, ndav nenga'a a m'mbèƌè, a n'ngreda, a ngaƌa:
JHN.13.21	A vava, a vava: StaƋ te ndev kinè a da gay ri a gèƋ.
JHN.13.22	A golahi nenga'a ta pu di a va ta, a ta gu zlau: Yèsu a goƋ ma haha a géƋ ngè? 
JHN.13.23	Aman staƋ te va golahi a zhè a sam skwi n'ndai, a dingèƋè va a Yèsu, nenga'a man Yèsu a woya'a a ndav na. 
JHN.13.24	A Simon Pierre a ngaƋa na:
JHN.13.24	DzhoƋo! A goƋ a geƋ ngè?
JHN.13.25	A nenga'a man a dungoƋ va a Yèsu a ngaƋa na:
JHN.13.25	Bai, nenga'a wa?
JHN.13.26	A Yèsu a ngaƋa na:
JHN.13.26	Nenga'a man i gaha lak a movar, a i va na.
JHN.13.26	A ngaha lak a movar, a mva na Judas, kra Simon Iscariot. 
JHN.13.27	Nenga, a a mco, a SaƋan a ndo a ndav na. A Yèsu a ngaƋa na:
JHN.13.27	Skwi man ka gia, a, gu tsam tsam!
JHN.13.28	Ndohi man a sam skwi n'ndai, ta sun ɓai, aman a ngaƋa na ar haha. 
JHN.13.29	NgiƋèhi ta huro: gozhèm te ri Judas, Yesu a woya man a shum skwi ngolala tenga'a, a va ta skwi a ndohi ntawassà'a. 
JHN.13.30	Aman Judas a nco movar, tsam tsam a nde na. VaƋ ma. 
JHN.13.31	Aman a n'ndo auda ma, Yèsu a ngaƋa:
JHN.13.31	Antanta Kra-ndo n'nzala'a, a n'njèlè Zhiklè a gudoko na va a di te nenga'a. 
JHN.13.32	Aman Zhiklè n'nzala te nenga'a, Zhiklè ba a da njèl Yèsu a ri na ndul ndul. 
JHN.13.33	Wudahi ga! I nzi a sam kinè kètè dai. Te deɓa'a kin da hassyè, aman ara man i gaƋa ta ndohi Juif, i gaƋa kinè lèmèlèmè. A sam man i Ƌè a pa, kin slaha kin Ƌè a pa azɓai.
JHN.13.34	I va kinè ma nkwèr mɓua'a: Vawoy va kinè, ngiƋè da woy ngiƋè, lèmelemè ara man i woy kinè a ndav ga. Aman kinè ba, vawoy va kinè, ngiƋè da woy ngiƋe, ngiƋe da woy ngiƋe a ndav na. 
JHN.13.35	Aman kin gi ar haha, ndohi tèlèba ta suna, kinè golahi ga, te man ngiƋe a woy ngiƋè, ngiƋè a woy ngiƋè.
JHN.13.36	Simon Pierre a ngaƌa na:
JHN.13.36	Bai, ka Ƌè ma?
JHN.13.36	A Yèsu a m'mbeƋa na a ma:
JHN.13.36	A sam man i Ƌè a pa, ka slaha ka dzadzarkayè antanta azɓai. Aman te deɓa'a ka da dzadzarkayè.
JHN.13.37	A Pierre a ngaƋa na:
JHN.13.37	Bai, i slaha a i dzadzarka antanta azɓai èhèmè? Ar i vi nshèffè ga a géƋ ngaya!
JHN.13.38	A Yèsu a m'mbeƋa na a ma:
JHN.13.38	Ka vi nshèffè ngaya a géƋ ga Ƌè? A vava, a vava, i gaƋa ka: Ga ngarah a tsi da'ai, ka cèkèlma a géƋ ga sak makar.
JHN.14.1	Kin gu zlau te ndav kinè ɓai'. Voco Zhiklè a ndav kinè, vaciyè a ndav kinè ba! 
JHN.14.2	Te gi Bab ga, sam a zhè kumba. Man az arsa ɓai, ar i gaƌa kinè. I woy a i Ƌè a i tila kinè sam a hai. 
JHN.14.3	Aman i da tila kinè sam a hai, a di i shkè a deɓa, a i hil kinè a sam ga. Aman a sam man iyè a pa, kinè ba a pa. 
JHN.14.4	Kin sun sam man i Ƌè a pa, a kin sun civèƌ.
JHN.14.5	Thomas a ngaƋa na:
JHN.14.5	Bai, nga sun sam man ka Ƌè a pa ɓai, a nga slaha nga shin civèƋ Ƌè?
JHN.14.6	A Yèsu a ngaƋa na:
JHN.14.6	Iyè civèƋ, a ma nzura'a, a nshèffè; ndo ngiƋè a shkè a sam Bab ga azɓai, sèi a bezkaƋ a iyè. 
JHN.14.7	Aman kin senyè, kin sun Bab ga ba. A hinè antanta kin sun nenga'a, a kin rka nenga'a ma.
JHN.14.8	Philippe a ngaƋa na:
JHN.14.8	Bai, ngra nga Bab-Zhiklè, te deɓa'a Ƌè'a.
JHN.14.9	Yèsu a ngaƋa na:
JHN.14.9	N'nzi ga a sam kinè kumba, a ka senyè ɓi Ƌè, Philippe? Ndo man a rkayè, a rka Bab ga ma, a ka gaƋ kè: Ngra nga Bab nga? 
JHN.14.10	Ka co a ndav ngaya ɓi Ƌè? I te Bab ga, Bab ga te iyè? Ma man i gaƋa kinè, i goƋ te gèƋ ga ka ɓai. Skwi man i gau, Bab ga man a zhè te ndav ga, a ngau. 
JHN.14.11	Voco ma ga, man i gaƋa: Iyè te Bab ga, Bab ga te iyè. Man ɓai, voco ma ga a géƌ skwi man i gau.
JHN.14.12	A vava, a vava, i gaƋa kinè: Ndo man a ciyè a ndav na, a gi skwi lèmèlèmè ara ga, a fena ba. Aman iyè, i Ƌè a sam Bab ga. 
JHN.14.13	A skwi ko mèmè kin jhèƋè a nzlembaƋ ga, i gia'a, a ta slebèrƋè Bab ga te kra na. 
