MAT.1.1	ابراهیم و داوود اُغلی بُلان عیسی مسیحینگ نِسلی اینه، شِیلِدیر:‏
LUK.20.26	اُلار خالقینگ یانیندا اُنی سُزونده توتوپ بیلمَن، بِرِن جُغابینا حایران قالیپ، سِسلِرینی چیقارمادیلار.‏
LUK.20.27	اُلومدِن سُنگ دیرِلیشینگ یُقدوغینی آیدیان صادّوقی‌لارینگ کَبیری عیسانینگ یانینا گِلیپ، اُنگا شِیله سُراق بِردیلِر:‏ 
LUK.20.28	‏«‏اُستاد!‏ موسی بیزه شِیله آیدیپدیر:‏ ‏”‏اِگِر ایکی دُغانینگ بیری اُلسه، ایزیندا آیالی دول قالیپ، اُلارینگ اُغلانلاری هِم یُق بُلسا، بِیلِکی دُغانی اُنونگ آیالینا اُیلِنیپ، اُلِن دُغانینینگ نِسلینی دُوام اِتدیرسین.‏“‏
LUK.20.29	یِدی دُغان باردی.‏ بیرینجیسی بیر آیال آلیپ، اُغلان گُرمَن دونیَه‌دِن گِچتی.‏ 
LUK.20.30	ایکینجیسی بیلِن 
LUK.20.31	اوچونجیسی هِم شُل آیالی آلدی.‏ شِیدیپ، یِدیسی هِم شُل آیالا اُیلِنیپ، ایزلاریندا اُغلان قالدیرمان اُلدولِر.‏ 
LUK.20.32	آخیرسُنگی آیال هِم اُلدی.‏ 
LUK.20.33	ایندی قیامات گونی اُلار اُلومدِن دیرِلِنلِرینده، بو آیال اُلارینگ هایسیسینینگ آیالی بُلار؟ چونکی اُلارینگ یِدیسی هِم اُنگا اُیلِنیپدی.‏»‏
LUK.20.34	عیسی اُلارا شِیله جُغاپ بِردی:‏ ‏«‏بو زامانینگ آداملاری اُیلِنیَندیر، گِلین بُلیاندیر.‏ 
LUK.20.35	اِمّا گِلجِک زامانا و اُلومدِن دیرِلیشه یِتمَگه میناسیپ گُرلِنلِر نه اُیلِنِر، نه-ده نیکاح اِدِر.‏ 
LUK.20.36	آصلا اُلمِزلِر، سِبَبی اُلار پِریشده‌لِر یالیدیر.‏ اُلار قیاماتینگ فِرزِنتلِریدیگی اوچین خودایینگ فِرزِنتلِریدیر.‏ 
LUK.20.37	موسی-دا اُلولِرینگ دیرِلیَندیگینی تاصدیقلاپ، یانیان یانداق باراداقی بُلومده تانگرینی ‏”‏ابراهیمینگ، اسحاقینگ و یعقوبینگ خودایی“‏ دییّپ آدلاندیریار.‏
LUK.20.38	اُل اُلولِرینگ دَل-ده، دیریلِرینگ خوداییدیر، سِبَبی اُنونگ اوچین هِمِّلِر دیریدیر.‏»‏ 
LUK.20.39	دین عُلَمالارینگ کَبیری:‏ ‏«‏اُستاد، قاوی آیتدینگ!‏»‏ دییدیلِر.‏ 
LUK.20.40	اُنگا قایتادان سُراق بِرمَگه هیچ کیم یورِک اِتمِدی.‏
LUK.20.41	سُنگرا عیسی اُلارا:‏ ‏«‏نَمه اوچین مسیحه داوودینگ اُغلی دییَّرلِر؟ 
LUK.20.42	داوودینگ اُزی زِبور کیتابیندا شِیله دییَّر:‏
LUK.20.42	‏”‏خودای مِنینگ تانگریما شِیله آیتدی:‏
LUK.20.43	دوشمانلارینگی آیاغینگ آشاغینا سالیانچام، مِنینگ ساغیمدا اُتور.‏“‏
LUK.20.44	داوود مسیحه تانگری دییَّر.‏ سُنگرا مسیح نَهیلی داوودینگ اُغلی بُلیار؟»‏ دییدی.‏
LUK.20.45	هِمّه خالق اُنگا قولاق آسیپ اُتیرقا، عیسی شَگیرتلِرینه:‏ 
LUK.20.46	‏«‏دین عُلَمالاردان خاباردار بُلونگ!‏ اُلار اوزین دُن گِییپ گِزمِگی، بازارلاردا اُزلِرینه سالام بِریلمِگینی، کِنیسه‌لِرده قاوی جایلاری و ضیافاتلاردا یُقارینی حالایاندیرلار.‏ 
LUK.20.47	اُلار دول آیال‍لارینگ اُیلِرینی طالاب، گُز اوچین اوزین-اوزین دُغالار اُقیان بُلیاندیرلار.‏ شِیله آداملار اینگ آغیر جِزا سِزِوار بُلارلار»‏ دییدی.‏
LUK.21.1	عیسی قاباغینی قالدیریپ گُزَنده، بایلارینگ عیباداتخانانینگ خازیناسینا اُز صاداقالارینی آتیپ دورانینی گُردی.‏ 
LUK.21.2	اُل بیر قاریپ دول آیالینگ هِم خازینا ایکی کیچی سِکّه آتانینی گُردی.‏ 
LUK.21.3	عیسی:‏ ‏«‏سیزه دُغروسینی آیدیارین، بو قاریپ دول آیال هِمِّلِردِن کَن آتدی.‏ 
LUK.21.4	بو آداملارینگ هِمِّسی خازینا اُزلِریندِن آرتانی آتدیلار، بو آیال بُلسا قاریپلیغینا گُزلِمِدِن، بار-یُغونی، اِلیندَکی هِمّه بار پولونی آتدی»‏ دییدی.‏
LUK.21.5	شَگیرتلِردِن کَبیری عیباداتخانانینگ عجاییپ داشلار هِم خودایا باغیش اِدیلِن صاداقالار بیلِن بِزِلِندیگی بارادا سُز آچدیلار.‏ شُندا عیسی:‏ 
LUK.21.6	‏«‏شِیله بیر گونلِر گِلِر، شُندا بو یِرده داش اوستونده داش قالماز، گُریَن زاتلارینگیزدان هیچ زات قالمان، هِمِّسی دارغار»‏ دییدی.‏ 
LUK.21.7	اُندان:‏ ‏«‏اُستاد!‏ بو زاتلار هاچان بُلار؟ بولارینگ بُلجاق ماحالیندا نَهیلی عالامات گُرونِر؟»‏ دییّپ سُرادیلار.‏ 
LUK.21.8	اُل:‏ ‏«‏خاباردار بُلونگ، هیچ کیم سیزی آلدایماسین!‏ اِنچِمه‌لِر ‏”‏شُل قاراشیانینگیز — مِندیرین!‏“‏ و ‏”‏واقت قُلایلادی!‏“‏ دییّپ، مِنینگ آدیم بیلِن گِلِرلِر.‏ اُلارینگ ایزینا دوشمَنگ.‏ 
LUK.21.9	اوروشلار هِم قالماغال‍لار بارادا خابار اِشیدِنینگیزده قُرقمانگ.‏ بو زاتلار اُوونچَک بُلمالیدیر، اِمّا هِنیز دونیَه‌نینگ آخیری دَلدیر»‏ دییّپ جُغاپ بِردی.‏
LUK.21.10	سُنگرا عیسی اُلارا شِیله دییدی:‏ ‏«‏میلِّت-میلِّته و پادیشاهلیق-پادیشاهلیغا قارشی چیقار.‏ 
LUK.21.11	آیری-آیری یِرلِرده گویچلی یِر تیترِمِلِر، آچلیق هِم یُغوشیان مِریضچیلیکلِر، قُرقونچ واقالار، آسماندان اولی عالاماتلار بُلار.‏
LUK.21.12	‏«‏اِمّا بو واقالارینگ هِمِّسیندِن اُوال، سیزی ایزارلاپ، آزار بِرِرلِر.‏ سیزی اَکیدیپ، کِنیسه‌لِره بِریپ و زیندانلارا زینگارلار.‏ مِن سِبَپلی سیزی پادیشاهلارینگ، حُکومدارلارینگ حوضورینا اِلتِرلِر.‏ 
LUK.21.13	بو بُلسا شاهاتلیق اِتمِک اوچین سیزه بیر فُرصات بُلار.‏ 
LUK.21.14	اِمّا سیز اُزونگیزی نَهیلی قُریجاقدیغینگیزی اُووندِن قایغی اِتمِزلیگی یورِگینگیزه دووونگ.‏ 
LUK.21.15	مونونگ اوچین مِن سیزه سُز هِم عاقیلدارلیق بِرِرین.‏ سیزه قارشی چیقیانلارینگ هیچ بیری مونگا نه قارشی دوروپ بیلِر، نه-ده بیر زات آیدیپ بیلِر.‏ 
LUK.21.16	سیزه اِنه-آتانگیز، دُغانلارینگیز، قارینداشلارینگیز، دُستلارینگیز هِم خایینلیق اِدِرلِر، کَبیرینگیزی اُلدورِرلِر.‏ 
LUK.21.17	مِنینگ آدیم سِبَپلی هِمِّلِر سیزی ییگرِنِر.‏ 
LUK.21.18	اِمّا ساچینگیزینگ بیر قیلی هِم کِمِلمِز.‏ 
LUK.21.19	جیداپ دورونگ، شُندا جانینگیزی نِجات بِرِرسینگیز.‏
LUK.21.20	‏«‏قُشونلارینگ اورشلیمی قاباندیغینی گُرِن واقتینگیز، اُنونگ وِیران اِدیلجِک واقتینینگ قُلایلاندیغینی بیلینگ.‏ 
LUK.21.21	شُندا یهودیه‌دَکیلِر داغلارا قاچسین، شَهرینگ ایچیندَکیلِر چیقسین، تُوِرِگیندَکیلِر شَهره گیرمِسین.‏ 
LUK.21.22	سِبَبی شُل گونلِر هِمّه یازیلانلارینگ بِرجای بُلماغی اوچین جِزا گونلِریدیر.‏ 
LUK.21.23	اُل گونلِرده گُورِلی آیال‍لارینگ و چاغا اِمدیریَنلِرینگ وای گونونه!‏ سِبَبی یوردا اولی بِلا-قاضالار اینِر، بو خالق غاضابا دوچار بُلار.‏ 
LUK.21.24	اُلار قیلیچدان گِچیریلِر، اِسیر آلنیپ، هِمّه میلِّتلِرینگ آراسینا تَبعید اِدیلِر.‏ بیگانه میلِّتلِر اُزلِرینینگ زامانی دُلیانچا، اورشلیمی یِر بیلِن یِکسان اِدِرلِر.‏
LUK.21.25	‏«‏گونده، آیدا و ییلدیزلاردا عالاماتلار گُرونِر.‏ یِر یوزونده میلِّتلِر دِریا هِم مُوجلِرینگ جُشوپ و سِسلِنِن سِبَپلی راحاتسیز بُلوپ، باشاغایلیغا دوشِرلِر.‏ 
LUK.21.26	آداملار قُرقودان، دونیَه‌نینگ باشینا گِلیَن بِلالارا قاراشماقدان یانگا هوشلارینی ییتیرِر، سِبَبی آسمانینگ قودراتلاری تیترِشِر.‏ 
LUK.21.27	شُندا اُلار اینسان اُغلونینگ بولوتدا قودرات هِم اولی بِییکلیک بیلِن گِلیَنینی گُرِرلِر.‏ 
LUK.21.28	بو زاتلار یِرینه یِتیپ باشلاندا، باشینگیزی قالدیریپ، یُقاری باقینگ، سِبَبی نِجات تاپماغینگیز قُلایلاپ گِلیَندیر.‏»‏
LUK.21.29	عیسی اُلارا بیر میثال آیتدی:‏ ‏«‏اینجیره و هِمّه باغلارا باقینگ.‏ 
LUK.21.30	اُلارینگ یاپراقلاندیغینی گُروپ، تُمسونگ قُلایلاندیغینی اُز-اُزونگیزدِن بیلیَرسینگیز.‏ 
LUK.21.31	شُنونگ یالی هِم، بو واقالارینگ بُلانینی گُرِنینگیزده، خودایینگ پادیشاهلیغینینگ قُلایلاندیغینی بیلینگ.‏ 
LUK.21.32	سیزه دُغروسینی آیدیارین، بو زاتلارینگ هِمِّسی بُلیانچا، بو نِسل دونیَه‌دِن اُتمِز.‏ 
LUK.21.33	آسمان هِم یِر اُتِر، یُنه مِنینگ سُزلِریم آصلا اُتمِز.‏
LUK.21.34	‏«‏خاباردار بُلونگ!‏ عایشی-عِشرِت، سِرخُشلیق، یاشایشینگ قایغیلاری یورِگینگیزه یِرلِشمِسین.‏ یُغسام، اُل گون دوزاق کیمین بیردِن اوستونگیزدِن اینِر.‏ 
LUK.21.35	چونکی اُل گون تامام یِر یوزونده یاشایانلارینگ هِر بیرینینگ اوستوندِن اینِر.‏ 
LUK.21.36	بو بُلجاق واقالارینگ باریندان قاچیپ نِجات تاپار یالی و اینسان اُغلونینگ حوضوریندا دوروپ بیلِر یالی، هِمیشه اُیا بُلوپ، خودایا دُغا اِدینگ.‏»‏
LUK.21.37	عیسی گوندیزلِرینه عیباداتخانانینگ حایاطیندا خالقا اُورِدِردی، گیجه‌لِرینه بُلسا شَهردِن داشاری چیقیپ، زِیتون داغیندا گِچیرِردی.‏ 
LUK.21.38	اِرتیر ایردِن هِمّه خالق اُنونگ گورّونگلِرینی دینگلِمِک اوچین عیباداتخانا گِلِردی.‏
LUK.22.1	اینه، پِسَح دییلیپ آدلاندیریلیان پِتیر بایرامی یاقینلاشیپدی.‏ 
LUK.22.2	یُلباشچی کاهینلار بیلِن دین عُلَمالار عیسانی اُلدورمِگینگ یُلونی آغتاریاردیلار، اِمّا خالقدان قُرقیاردیلار.‏
LUK.22.3	شِیطان اُن ایکی شَگیرتلِرینگ بیری بُلان یهودا اِسخریوطینینگ یورِگینَه گیردی.‏ 
LUK.22.4	یهودا یُلباشچی کاهینلار و عیباداتخاناداقی سِردارلارنینگ یانینا باریپ، عیسی نَدیپ خایینلیق اِتمِگی بارادا گورّونگ اِتدی.‏ 
LUK.22.5	اُلار هِم بِگِنیشیپ، اُنگا پول بِرمَگه راضی بُلدولار.‏ 
LUK.22.6	یهودا اُلار بیلِن ایلالاشدی و خالق یُق واقتی عیسانی اُلارا تابشیرماق اوچین، قاوی فُرصاتینگ ایزیندا گِزدی.‏
LUK.22.7	پِسَح قربانی اِدیلیَن گونی، یَعنی پِتیر بایرامی یِتیپ گِلدی.‏ 
LUK.22.8	عیسی:‏ ‏«‏گیدینگ-ده، پِسَح بایرامینی گِچیرِر یالی تاییارلیق گُرونگ»‏ دییّپ، پِطرُس بیلِن یوحنانی ایبِردی.‏ 
LUK.22.9	اُلار:‏ ‏«‏اُنی نیرِده تاییارلاماغیمیزی ایسلِیَرسینگ؟»‏ دییّپ سُرادیلار.‏ 
LUK.22.10	عیسی اُلارا:‏ ‏«‏شَهره گیرِنینگیزده، کویزه‌لی سو آلیپ باریان بیر آداما ساتاشارسینگیز.‏ ایزینا دوشوپ گیدینگ-ده، اُنونگ گیرِن اُیونه گیرینگ.‏ 
LUK.22.11	سُنگرا اُی اِیه‌سیندِن:‏ ‏”‏شَگیرتلِریم بیلِن پِسَح شامینی اییِر یالی، میهمان اُتاقی نیرِده دییّپ اُستاد سُرایار“‏ دییّنگ.‏ 
LUK.22.12	اُل هِم سیزه یُقارقی مِرتِبه‌دَه دوشِلیپ هِمّه زات تاییارلانیپ قُیلان گینگ بیر اُتاقی گُرکِزِر.‏ شُل یِرده تاییارلیق گُرونگ»‏ دییدی.‏ 
LUK.22.13	اُلار گیتدیلِر و هِمّه زادی عیسانینگ آیدیشی یالی تاپیپ گُردولِر و پِسَح شامینی تاییارلادیلار.‏
LUK.22.14	شام واقتی بُلاندا، عیسی رِسول‍لاری بیلِن ساچاق باشینا گِچدی.‏ 
LUK.22.15	عیسی اُلارا:‏ ‏«‏مِن بو پِسَح شامینی عاذاپ چِکمِزیمدِن اُوال، سیزینگ بیلِن بیله اییمِگی قاتی آرزو اِدیپدیم.‏ 
LUK.22.16	چونکی خودایینگ پادیشاهلیغیندا پِسَح شامینی اییمِک اوچین هِمَّمیز ییغنانیانچاق، مِن اُندان قایدیپ اییمِرین»‏ دییدی.‏ 
LUK.22.17	عیسی اِلینه بیر کَسه آلیپ شوکور اِتدی-ده:‏ ‏«‏مونی آلینگ-دا، ایچینگ.‏ 
LUK.22.18	سیزه شونی آیدیارین:‏ خودایینگ پادیشاهلیغی گِلیَنچَه، اوزوم شِرابینی قایتادان ایچمِرین»‏ دییدی.‏
LUK.22.19	سُنگرا چُرِگی آلدی-دا شوکور اِتدی، اُنی بُلوپ، شَگیرتلِره بِریپ:‏ ‏«‏بو مِنینگ سیزینگ اوچین قربانی اِدیلیَن بِدِنیمدیر، مونی مِنی یادلاماق اوچین بِرجای اِدینگ»‏ دییدی.‏ 
LUK.22.20	شِیله هِم شامدان سُنگ، شِراپلی کَسَنی آلیپ، اُلارا:‏ ‏«‏بو کَسه مِنینگ سیزینگ اوچین دُکولیَن قانیم سِبَبی باغلانیشیلان تَزه عَهددیر.‏ 
LUK.22.21	اینه، مانگا خایینلیق اِتجِک آدام مِنینگ بیلِن بیر ساچاغینگ باشیندا اُتیر.‏ 
LUK.22.22	هاووا، اینسان اُغلی اُووندِن بِلِّنیشی یالی جان بِرِر، اِمّا اُنگا خایینلیق اِدِنینگ حالینا وای!‏»‏ دییدی.‏ 
LUK.22.23	اُلار مونی کیمینگ اِتجِکدیگینی بیری-بیرلِریندِن سُراپ باشلادیلار.‏
LUK.22.24	اُلار اُز آراسیندا هایسی بیریسینینگ اینگ بِییکدیگی حاقدا جِدِلِّشدیلِر.‏ 
LUK.22.25	عیسی اُلارا شِیله دییدی:‏ ‏«‏بیگانه خالقلارینگ پادیشاهلاری اُلارا اُز حُکومینی یُریدیَرلِر، حُکومدارلار هِم اُزلِرینی نیغمات بِریَنچی دییّپ آدلاندیریارلار.‏ 
LUK.22.26	اِمّا سیز بِیله بُلمانگ.‏ آرانگیزدا اینگ اولی اینگ کیچی یالی بُلسون، حاکیم، قُی، خیدماتکَر کیمین بُلسون.‏ 
LUK.22.27	هایسیسی خاص اولی:‏ ساچاق باشیندا اُتورانمی یا-دا خیدمات اِدیَن؟ ساچاق باشیندا اُتوران دَلمی؟ اِمّا مِن سیزینگ آرانگیزدا بیر خیدمات اِدیَن کیمیندیرین.‏
LUK.22.28	‏«‏باشیمدان گِچیرِن ایمتِحانلاریمدا مِنینگ یانیمدا بُلان سیزسینگیز.‏ 
LUK.22.29	آتامینگ مِنی پادیشاه بِلِّیشی یالی، مِن-ده سیزی پادیشاه اِدیپ بِلِّیَرین.‏ 
LUK.22.30	سیز مِنینگ شاهلیغیمدا اییّپ-ایچِرسینگیز و تاختلاردا اُتوریپ، اسرائیل‌ینگ اُن ایکی طایفاسینینگ اوستوندِن قاضیلیق اِدِرسینگیز.‏»‏
LUK.22.31	اُنسُنگ عیسی سُزونی دُوام اِدیپ:‏ ‏«‏اِی، شمعون، شمعون!‏ شِیطان سیزی بوغدای یالی سُوورماق اوچین دیلِدی.‏ 
LUK.22.32	اِمّا مِن ایمانینگ کِمِلمِسین دییّپ، سِنینگ اوچین دُغا اِتدیم.‏ سِن هِم بیر واقت اُورولیپ گِلِنینگده، دُغانلارینگا قوواتی بِر.‏»‏ 
LUK.22.33	اُل:‏ ‏«‏آقام، مِن سِنینگ بیلِن زیندانا-دا، حتّیٰ اُلومه-ده گیتمَگه تاییار»‏ دییدی.‏ 
LUK.22.34	عیسی:‏ ‏«‏پِطرُس، سانگا دییَّرین، سِن بو گون خُرُز قیغیرمازدان اُنگ، مِنی تانییاندیغینگی اوچ گِزِک اینکَر اِدِرسینگ»‏ دییدی.‏
LUK.22.35	سُنگرا عیسی اُلاردان:‏ ‏«‏مِن سیزی پول حالتاسیز، تُرباسیز و کُووشسیز یُلّان زامانیم کِم زادینگیز بارمیدی؟»‏ دییّپ سُرادی.‏ اُلار:‏ ‏«‏یُقدی»‏ دییّپ جُغاپ بِردیلِر.‏ 
LUK.22.36	عیسی اُلارا:‏ ‏«‏ایندی پول حالتانگیز بار بُلسا، یانینگیزا آلینگ، بیر تُربا هِم آلینگ.‏ قیلیجینگیز یُق بُلسا، لِباسلارینگیزی ساتینگ-دا، بیر قیلیچ اِدینینگ.‏ 
LUK.22.37	‏”‏اُل گونَه‌کَرلِر بیلِن بیر ساییلدی“‏ دییّپ یازیلاندیر.‏ مِن سیزه دییَّرین:‏ بو مِن بارادا بِرجای بُلمالیدیر.‏ دُغرودان-دا، مِن حاقدا یازیلانلار بِرجای بُلوپ باریار»‏ دییدی.‏
LUK.22.38	شَگیرتلِر:‏ ‏«‏اِی آقام!‏ اینه، بو یِرده ایکی قیلیچ بار»‏ دییدیلِر.‏ عیسی هِم اُلارا:‏ ‏«‏شُل بُلیار»‏ دییدی.‏
LUK.22.39	عیسی داشاری چیقیپ، هِمیشه‌کیسی یالی زِیتون داغینا گیتدی.‏ شَگیرتلِری هِم اُنونگ ایزینا دوشدولِر.‏ 
LUK.22.40	اُل یِره بارانلاریندا، عیسی اُلارا:‏ ‏«‏وِسوِسَه دوشمِز یالی دُغا اِدینگ!‏»‏ دییدی.‏ 
LUK.22.41	اُزی بُلسا اُلاردان بیر داش آتیم چِته چِکیلدی-ده، دیزا چُکوپ:‏ 
LUK.22.42	‏«‏اِی، آتام!‏ اِگِر ایسلِسِنگ، بو عاذاپ کَسه‌سینی مِندِن داشلاشدیر!‏ یُنه مِنینگ خاییشیم دَل، سِنینگ ایسلِگینگ بُلسون!‏»‏ دییّپ، دُغا اِتمَگه دوردی.‏ 
LUK.22.43	آسماندان بیر پِریشده گُرنوپ، اُنی گویچلِندیردی.‏ 
LUK.22.44	اُل آغیر غاما باتیپ، تاغالّا بیلِن خودایا دُغا اِتدی.‏ عیسادان آقیان دِر یِره دامیان قان دامجالاری یالیدی.‏ 
LUK.22.45	دُغا اِدیپ بُلاندان سُنگ توروپ، عیسی شَگیرتلِرینگ یانینا گِلدی.‏ اُلارینگ اوقلاپ یاتاندیقلارینی گُردی، اُلار قایغی-حاسراتدان یانگا حالدان دوشوپدیلِر.‏ 
LUK.22.46	عیسی اُلارا:‏ ‏«‏نَمه اوچین اوقلاپ یاتیرسینگیز؟ ایمتِحاندا دوشمِز یالی، تورونگ-دا، دُغا اِدینگ!‏»‏ دییدی.‏
LUK.22.47	اُل حَضیر کِپلَپ دورقا، بیر جِماغات گُزونه گُروندی.‏ اُن ایکی شَگیرتلِرینگ بیری یهودا جِماغاتینگ اُوونه دوشوپ گِلیَردی.‏ یهودا عیسانی اُغشاجاق بُلوپ، اُنونگ قُلایینا گِلدی.‏ 
LUK.22.48	عیسی اُنگا:‏ ‏«‏اِی، یهودا!‏ سِن بیر اُغشوق بیلِن اینسان اُغلونا خایینلیق اِدیَرسینگمی؟»‏ دییّپ سُرادی.‏ 
LUK.22.49	عیسانینگ یانینداقیلار نَمه بُلجاغینی گُروپ:‏ ‏«‏اِی آقام!‏ قیلیچ بیلِن اورایلیمی؟»‏ دییدیلِر.‏ 
LUK.22.50	اُلارینگ بیری باش کاهینینگ خیدماتکَرینی اوروپ، اُنونگ ساغ قولاغینی کِسدی.‏ 
LUK.22.51	اِمّا عیسی:‏ ‏«‏هانی، بِس اِدینگ!‏»‏ دییدی.‏ سُنگرا خیدماتکَرینگ قولاغینا اِلینی دِگریپ، اُنی شِفا بِردی.‏ 
LUK.22.52	سُنگرا عیسی اُزونی اِله دوشورمَگَه گِلِن یُلباشچی کاهینلارا، عیباداتخاناداقی قاراوولّانگ سِردارلارینا، یاشولیلارا یوزلِنیپ:‏ ‏«‏نَمه اوچین بیر یُل کِسِنینگ قارشیسینا چیقیان یالی، مِنی توتماق اوچین قیلیچلی هِم تایاقلی گِلیپسینگیز؟ 
LUK.22.53	مِن هِر گون سیزینگ بیلِن بیرلیکده عیباداتخاناداقام، مِنی توتماندینگیز.‏ اِمّا ایندی بو واقت سیزینگکیدیر، قارانگقیلیغینگ حُکوم سوریَن ساغاتیدیر»‏ دییدی.‏
LUK.22.54	عیسانی توتوپ، باش کاهینینگ اُیونه آلیپ گیتدیلِر.‏ پِطرُس هِم قارانگقیلیق بیلِن اُلارینگ ایزینا دوشوپ گیتدی.‏
LUK.22.55	حایاطینگ اُرتاسیندا اُت یاقیپ اُتیرقالار، پِطرُس-دا اُلارینگ آراسیندا اُتیردی.‏ 
LUK.22.56	پِطرُسی اُدونگ یاغتیسینا گُرِن بیر کِنیز اُنگا چیندان سِراِتدی-ده:‏ ‏«‏بو آدام هِم اُنونگ بیلِن بیلِدی»‏ دییدی.‏ 
LUK.22.57	اِمّا پِطرُس:‏ ‏«‏اِی، هِلِی، مِن اُنی تانیمییارین»‏ دییّپ اینکَر اِتدی.‏
LUK.22.58	آز واقتدان سُنگ باشغا بیری اُنی گُروپ:‏ ‏«‏سِن هِم شُلاردان»‏ دییدی.‏ اِمّا پِطرُس:‏ ‏«‏قارداش، مِن اُلاردان دَل»‏ دییدی.‏
LUK.22.59	آرادان بیر ساغادا یاقین واقت گِچِنسُنگ، باشغا بیر آدام:‏ ‏«‏دُغرودان-دا، بو آدام اُنونگ بیلِن بیلِدی، سِبَبی بو جلیل‌لی»‏ دییدی.‏ 
LUK.22.60	اِمّا پِطرُس:‏ ‏«‏اِی، قارداش، مِن سِنینگ نَمه آیدیانینگی بیلِمُق»‏ دییدی.‏ اِدیل شُل واقت، پِطرُس کِپلَپ دورقا، خُرُز قیغیردی.‏ 
LUK.22.61	عیسی قانگریلیپ، پِطرُسا گُزلِدی.‏ پِطرُس عیسانینگ:‏ ‏«‏خُرُز قیغیرمازدان اُنگ، سِن مِنی اوچ گِزِک اینکَر اِدِرسینگ»‏ دییِن سُزونی یادلادی.‏ 
LUK.22.62	پِطرُس داشاری چیقیپ، مُنگّوریپ آغلادی.‏
LUK.22.63	عیسانی ساقلایان آداملار اُنی ماسغارالاپ، اورماغا باشلادیلار.‏ 
LUK.22.64	گُزونی دانگیپ:‏ ‏«‏هانی، وِلیلیک اِت!‏ سِنی اوران کیم؟»‏ دییّپ سُرادیلار.‏ 
LUK.22.65	یِنه-ده اُنگا کَن تِلِکه سُزلِر آیتدیلار.‏
LUK.22.66	دانگ آتاندا، خالقینگ یاشولیلاری، یُلباشچی کاهینلار و دین عُلَمالار ییغنانیشیپ، اُنی اُزلِرینینگ مِجلِسینه گِتیردیلِر.‏ 
LUK.22.67	اُلار عیسادان:‏ ‏«‏بیزه آیت، سِن مسیحمی؟»‏ دییّپ سُرادیلار.‏ عیسی اُلارا:‏ ‏«‏آیتسام، اینانمارسینگیز؛ 
LUK.22.68	سُراسام، جُغاپ بِرمِرسینگیز.‏ 
LUK.22.69	اِمّا موندان بِیلَک اینسان اُغلی قودراتلی خودایینگ ساغیندا اُتورار»‏ دییدی.‏ 
LUK.22.70	اُلارینگ هِمِّسی:‏ ‏«‏اُندا سِن خودایینگ اُغلی-دا؟»‏ دییّپ سُرادیلار.‏ عیسی اُلارا:‏ ‏«‏مِنینگ کیمدیگیمی اُزونگیز آیدیپ دورسونگیز»‏ دییّپ جُغاپ بِردی.‏ 
LUK.22.71	اُلار:‏ ‏«‏بیزه موندان باشغا شاهاتلیق نَمَه گِرِک؟ بیز مونی اُنونگ اُز دیلیندِن اِشیتدیک آخیری»‏ دییّشدیلِر.‏
LUK.23.1	سُنگرا مِجلِسینگ هِمّه آداملاری یِرلِریندِن توروپ، عیسانی پیلاتُسینگ یانینا گِتیردیلِر.‏ 
LUK.23.2	اُلار عیسانی عاییپلاماغا باشلادیلار:‏ ‏«‏بیز بو آدامینگ خالقیمیزی آزدیریاندیغینی گُردوک و اُل ایمپِراطُرا مالییات تُلِمَگه قارشی چیقیار و اُزونی مسیح هِم پادیشاه دییّپ آدلاندیریار.‏»‏ 
LUK.23.3	پیلاتُس اُندان:‏ ‏«‏سِن یَهودیلِرینگ پادیشاهسیمی؟»‏ دییّپ سُرادی.‏ عیسی اُنگا:‏ ‏«‏اُز آیدیشینگ یالیدیر»‏ دییّپ جُغاپ بِردی.‏ 
LUK.23.4	سُنگرا پیلاتُس یُلباشچی کاهینلار بیلِن خالقا:‏ ‏«‏مِن بو آدامدا هیچ بیر عاییپ گُرمِدیم»‏ دییدی.‏ 
LUK.23.5	اِمّا اُلار قایتا-قایتا آیدیپ:‏ ‏«‏بو آدام اُز تَعلیماتی بیلِن تامام یهودیه‌نینگ خالقینی آزدیریار.‏ اُل جلیل‌دِن باشلاپ، شو یِره چِنلی گِلدی»‏ دییدیلِر.‏
LUK.23.6	مونی اِشیدیپ، پیلاتُس:‏ ‏«‏بو آدام جلیل‌لیمی؟»‏ دییّپ سُرادی.‏ 
LUK.23.7	عیسانینگ هیرودیسینگ وِلایاتینداندیغینی بیلِنسُنگ، پیلاتُس اُنی هیرودیسینگ یانینا ایبِردی، سِبَبی شُل واقت هیرودیسینگ اُزی هِم اورشلیمدِدی.‏ 
LUK.23.8	هیرودیس عیسانی گُروپ قاتی بِگِندی، سِبَبی کَن واقتدان بَری اُنی گُرمِک ایسلِیَردی.‏ اُل باراداقی اِشیدِن کَن زاتلارینا گُرَه، اُندان بیر عالامات گُرِرین دییِن اومیدی باردی.‏ 
LUK.23.9	هیرودیس اُندان کَن سُراغلار سُرادی، اِمّا عیسی اُنگا هیچ بیر جُغاپ بِرمِدی.‏ 
LUK.23.10	یُلباشچی کاهینلار بیلِن دین عُلَمالار بُلسا اُل یِرده دوروپ، اُنی بیراغیزدان تُهمِت اوریاردیلار.‏ 
LUK.23.11	سُنگرا هیرودیس بیلِن اُنونگ سِربازلاری عیسانی کیچِلدیپ ماسغارالادیلار.‏ اوسّونه بیر نِفیس دُن گِیدیریپ، پیلاتُسینگ یانینا ایبِردیلِر.‏ 
