MAT.1.1	Ini ne ban tepuʹun tepun Yesus Keristus cen mela Daut, iaʹ ina mela Ibrahim.
ACT.7.29	Moʹ kuʹun isiu ina, ina tuman Musa tai kelap, penco tai ie mudip kaʹ tanaʹ Midian. Kaʹ ina ha un dua re anak laki.
ACT.7.30	“Sukung ne pat puloʹ uman majan Musa kina te, kun ne taʹan ca usa melikat kata ia dalau aʹang luten neng kayu jue, kaʹ tanaʹ lenga nyeng kaʹ Mudung Sinai te. 
ACT.7.31	Kun Musa taʹan puyan ina, salam tekaʹ a taʹan ne. Sulo ketai ie ngenyeng aʹang luten kaʹ kayu jue ina, moʹ o ubaʹ ke ngetisen ne. Belekaʹ a kenahan dau Tuhan pisiu: 
ACT.7.32	‘Akeʹ ini iaʹ Allah tepun ncem, iaʹ ina Allah iaʹ anun Ibrahim, ngan Allah iaʹ anun Isak, ngan Allah iaʹ anun Yakup.’ Un tekaʹ Musa takut laleʹ kaʹ a, ngan ngeregen tekaʹ a, pa ha abeʹ un makang ke naʹat te. 
ACT.7.33	Un dau Tuhan pisiu ia: ‘Sau ne sepatu hoʹ ne, moʹ kukoʹ koʹ nekejeng ina, tanaʹ iaʹ buheʹ. 
ACT.7.34	Lepa ne akeʹ taʹan diseʹ lepoʹ keʹ tuyen ngan keta kaʹ tanaʹ Masir ne. Akeʹ kenahan ne dau kerahing nte. Ina ukoʹ keʹ nai kentaʹ, moʹ keʹ ubaʹ ke paso ida. Naʹkini, tai ne ikoʹ kaʹ tanaʹ Masir te.’ Pekina dau Tuhan neng Musa.”
ACT.7.35	Sulo dau Stipanus laʹa: “Lepoʹ Israil diaʹ nyekang Musa are. Pekini dau re neng ia are: ‘Aheʹ iaʹ uyan ikoʹ paren ngan tuʹa pebetep tiraʹ neng ameʹ tupe?’ Idi Musa ne lete iaʹ Allah cuk ke paren ngan tuʹa re, ngan laki keniga udip de, moʹ melikat ina pisiu ia dalau aʹang luten kaʹ kayu jue ina are. 
ACT.7.36	Musa ina lete iaʹ ban ngkin ida nai kawang cen tanaʹ Masir. Ngan kadoʹ puyan nyingan ngan tedanaʹ bulen kaʹ tanaʹ Masir Musa uyan, pekina pe kaʹ Banget Bala, ngan kaʹ tanaʹ lenga pe pat puloʹ uman majan ne. 
ACT.7.37	Musa ina lete iaʹ badaʹ me lepoʹ Israil ne kuma ha: ‘Allah ke cuk ca pegawa nai palaʹ ikem, koʹ baʹan Allah cuk akeʹ nai pala ikem are. Cen ahang ikem panak kenai ie ʹo.’ 
ACT.7.38	Musa ne lete iaʹ ban pemung ngan lepoʹ Israil dalau re pempun kaʹ tanaʹ lenga. Musa pe iaʹ ban pemung ngan tepun le, ngan melikat iaʹ pisiu musa neng usun Mudung Sinai. Musa pe iaʹ alaʹ tiraʹ katuk udip cen Allah, apan katuk udip ini ketai pabeʹ palaʹ ilu naʹkini.
ACT.7.39	“Un sepuʹo, tepun le abeʹ de ubaʹ bayaʹ Musa, bang nyekang ia ne ida, mentung tekaʹ kimet de ketai kaʹ tanaʹ Masir laʹa. 
ACT.7.40	Un dau re pisiu neng Harun: ‘Uyan ne ca tepatung mameʹ, iaʹ ke mampin ameʹ, moʹ un Musa iaʹ ban ngkin ameʹ nai kawang cen Masir are, abeʹ meʹ tisen kumpin puyan ne ʹo taʹin.’ 
ACT.7.41	Dalau ina re uyan ca tepatung anak sapi, penco re mencai liwa re palaʹ tepatung sapi ina nuʹo. Bangen seʹ de pemung uman, ban kuʹun puyan ujoʹ de tengen. 
ACT.7.42	Ina ukoʹ Allah nyelikut ida. Allah pedayo ida lemameʹ palaʹ betuʹen kaʹ langit, koʹ baʹan dau iaʹ ban un dalem Kitap Pegawa ne iaʹ pekini dau ue:
ACT.7.42	‘E lepoʹ Israil, kun dau Allah:
ACT.7.42	Abeʹ e palaʹ akeʹ kenai tebek pun ncem ne,
ACT.7.42	ngan pencai liwa hem ne, dalau pat puloʹ uman
ACT.7.42	majan ncem un kaʹ tanaʹ lenga are.
ACT.7.43	Lepau bali Muluk iaʹ ikem tekalang ngkin ina are.
ACT.7.43	Ngan Repan uyat betuʹen, bali hem ina.
ACT.7.43	Palaʹ tepatung iaʹ ikem uyan, kina ketai mung dau temameʹ kem are.
ACT.7.43	Ina ukoʹ keʹ ke paso ikem ketai tahaʹ coʹ kaʹ
ACT.7.43	lepoʹ Babil ʹo.’ Pekina dau Allah.”
ACT.7.44	Sulo dau Stipanus laʹa: “Moʹ un tepun le diaʹ kaʹ tanaʹ lenga te are, ida mampin Lepau iaʹ badaʹ tugen ban Allah un ngan nte. Lepau ina nuyan bayaʹ dau Allah badaʹ a me Musa, moʹ o uyan koʹ baʹan kata iaʹ ia lepa taʹan ina. 
ACT.7.45	Majan uʹo ina pelaʹa, un tepun le, pencun ne ida mampin lepau ina neng singket sun udip de. Kun nte ngkin lepau ina serengan ngan Yusua dalau re tai pesupeʹ lepoʹ dulu diaʹ ca, diaʹ Allah muyung tahaʹ tena tepun le dina. Pa abeʹ dalau udip Daut ida mampin lepau ina. 
ACT.7.46	Daut iaʹ ban sihoʹ pengelesau Allah. Daut nyat apan ne senteng ke uyan ca amin me Allah iaʹ anun Yakup. 
ACT.7.47	Un Suliman, anak Daut ne, ia iaʹ medeng ca amin me Allah nuʹo.
ACT.7.48	“Un Allah iaʹ Atek Mpau ina, abeʹ pe ia ngelineʹ neng amin iaʹ ban nuyan man ujoʹ kelunan. Koʹ baʹan tiraʹ pegawa iaʹ pekini dau ue:
ACT.7.49	‘Surga ina kukoʹ ladung pengaren nceʹ, kun dau Tuhan.
ACT.7.49	Ngan usun tanaʹ ina lete nten taket ceʹ.
ACT.7.49	Kumpin diseʹ amin iaʹ ikem ubaʹ ke medeng makeʹ tupe?
ACT.7.49	Kempi kukoʹ kelineʹ keʹ baʹan ncem tupe?
ACT.7.50	Mabeʹ e mung puyan ini nuyan kuʹun nceʹ tengen?’ Pekina dau Tuhan.”
ACT.7.51	Sulo dau Stipanus laʹa: “Ahaʹ sematu mahing penawai hem ngan mahing kimet cem, pekuaʹ dulu diaʹ are ngelan, ngan telinga hem dengen neng tiraʹ Allah. Koʹ baʹan tepun ncem are, pekina lete ikem pe. Lemuto hem nyekang Berua Buheʹ. 
ACT.7.52	Pegawa iaʹ mpi iaʹ are sihoʹ tuyen kuʹu tepun ncem tupe? Tepun ncem lete iaʹ lematei diaʹ lawa Allah iaʹ nekena badaʹ neng puyan kenai Ulaʹ a iaʹ teneng ina. Naʹkini lepa ne ikem muau neng Laki ina, ngan lematai ia. 
ACT.7.53	Ikem te iaʹ ban lepa alaʹ Katuk Adet Allah iaʹ melikat lepa badaʹ idai. Belekaʹ ikem lete ban muau kidi puʹo.”
ACT.7.54	Dalau Mpun diaʹ Lataʹ dina kenahan dau Stipanus pekina dau, buseʹ laleʹ ne tekaʹ de ngan ngetaret dau jipen nte miʹa ia. 
ACT.7.55	Un Stipanus iaʹ sangan kuʹun Berua Buheʹ, nekadaʹ a kaʹ langit, sulo ho taʹan serema peniga Allah; un pe Yesus nekejeng tahaʹ taʹu Allah. 
ACT.7.56	“Naʹat,” kun dau Stipanus. “Ini heʹ taʹan langit pesik, ngan Anak Sio nekejeng tahaʹ taʹu Allah.”
ACT.7.57	Toʹ diaʹ lataʹ dina ngelengap ngan bioʹ dau re, mentung nte mepen telinga re. Tegoʹ ina re serengan nyudup Stipanus. 
ACT.7.58	Sulo re pet ia kaʹ awang lepoʹ, mentung nte lemulo ia. Mung diaʹ ban badaʹ tugen are, ida mahung sapai re ngan ca laki iaʹ iʹut udip, ngadan ne Saul. 
ACT.7.59	Penco re lemulo Stipanus. Mentung Stipanus ngelengap, kun dau ue: “Ahaʹ Tuhan Yesus, alaʹ ne berua heʹ.” 
ACT.7.60	Kun ne sutlep, mentung nge pisiu ngan bioʹ dau ue: “Ahaʹ Tuhan, ayen ncoʹ nawai penyalaʹ ini un neng usun ida.” Lepa ha pisiu pekina, penco matai ne ia.
ACT.8.1	Saul ca iaʹ mayo neng puyang lematai Stipanus ne.
ACT.8.1	Tegoʹ tau ina, ina ne tading kenai taru iaʹ bioʹ neng Mpun diaʹ ngelan Tuhan kaʹ Yerusalim. Mung diaʹ ngelan Tuhan petat purat de pa tipo tanaʹ Yudia, ngan kaʹ Samaria. Bang diaʹ lawa Injil tuaʹ le diaʹ ngelineʹ. 
ACT.8.2	Un pe palai diaʹ temek lemameʹ, ida iaʹ tai masek patai Stipanus, mentung bioʹ dau tange re.
ACT.8.3	Un Saul ne ubaʹ ke ngasing Mpun diaʹ ngelan Tuhan. Tai ie kaʹ dalem singket amin, mentung nge mihit dulu kawang, toʹ de diaʹ ngelan, inu pia laki, pekina pe leto, penco naʹ ida dalem amin sepin.
ACT.8.4	Mung nte diaʹ petat purat dina, kempi kempi ketai re masat, kina re pedenga Injil ina. 
ACT.8.5	Un Pilipus, tai ie puno kaʹ dale Samaria, penco ho badaʹ neng puyan Keristus iaʹ ngkang pungu udip me dulu kina. 
ACT.8.6	Toʹ dulu dina kuʹa ayo re pekimet dau iaʹ Pilipus nai badaʹ ina. Mung nte ngeringa dau ue, ngan taʹan mung puyan nyingan iaʹ ia uyan ina. 
ACT.8.7	Un pe ia sau bali neng kadoʹ kadoʹ dulu, mentung bali dina ngelengap dau nai kawang cen dalem ida. Un pelaʹa kadoʹ dulu diaʹ apet ngan diaʹ ajun tai maget. 
ACT.8.8	Bioʹ laleʹ le seʹ bangen dalem dale Samaria ne.
ACT.8.9	Un ca laki dalem lepoʹ ina, ngadan ne Simun. Majan ne ia pelingu mata neng lepoʹ Samaria ne, pa tai dulu salam neng ia. Mentung nge badaʹ ia ca kelunan bioʹ. 
ACT.8.10	Mung dulu dalem lepoʹ ina, peging ngan diaʹ dumit ngan diaʹ lataʹ, tai payo ngan ne. Kun dau re: “Laki ini iaʹ un penyukat Allah iaʹ un dau le kidi Penyukat Bioʹ.” 
ACT.8.11	Mung dulu tai payo ngan ne, moʹ majan laleʹ ne Simun ne pesalam ida man puyan pelingu mata re. 
ACT.8.12	Dalau re kenahan dau kenai Pilipus iaʹ badaʹ Denga Injil neng puyan pengaren Allah ngaren kelunan, ngan neng puyan ngadan Yesus Keristus ina, mung nte ngelan, peging ngan laki ngan leto. Sulo toʹ de sihoʹ ngebatis. 
ACT.8.13	Un Simun, nai pe ia ngelan. Lepa ha sihoʹ ngebatis, temek seʹ e pemung ngan Pilipus. Tai salam ne ia taʹan seʹ Pilipus uyan tedanaʹ bulen ngan puyan nyingan iaʹ bioʹ ina.
ACT.8.14	Un diaʹ lawa Injil kaʹ Yerusalim kenahan dau denga puyan lepoʹ Samaria lepa ngelan tiraʹ Tuhan Allah. Kun nte cuk Peterus ngan Yaya tai naʹat ida. 
ACT.8.15	Uʹo re dua abeʹ, kun nte dua lemameʹ Tuhan me ketoʹ de diaʹ ngelan dina, apan nte ke un Berua Buheʹ, 
ACT.8.16	uban ne abeʹ lepe Berua Buheʹ nai nesun neng ida dina. Ida ban lepa sihoʹ ngebatis tuaʹ le dalem ngadan Tuhan Yesus. 
ACT.8.17	Sulo Peterus ngan Yaya napoʹ ujoʹ de neng ida, penco re un Berua Buheʹ.
ACT.8.18	Kun Simun naʹat diseʹ kenai Berua Buheʹ kuʹun lawa Injil tegoʹ re napoʹ ujoʹ de neng ida dina, ina ukoʹ o mencai ligit mida dua. 
ACT.8.19	Un dau ue: “Naʹ pe makeʹ baʹan le penyukat ina, apan mele neng aheʹ keʹ ke napoʹ ujoʹ keʹ ʹo, idi re ke un Berua Buheʹ ʹo.”
ACT.8.20	Kun dau Peterus mipa ia: “Pebareng ne ligit coʹ pemung ngan usa hoʹ, moʹ un tekaʹ koʹ pekimet senteng ke lemeli pengencai sio Allah man ligit coʹ. 
ACT.8.21	Abeʹ anun ncoʹ ne sihoʹ dalem gayeng ini, moʹ kimet coʹ abeʹ e telit dalem penaʹat Tuhan Allah. 
ACT.8.22	Bang nesen ne ikoʹ ngan nyepuleʹ ne kimet coʹ cen puyan jaʹat coʹ ne. Ngan lemameʹ palaʹ Tuhan, apan Tuhan sau kimet coʹ iaʹ jaʹat ina ʹo. 
ACT.8.23	MOʹ akeʹ tisen, un ncoʹ ne caʹ pampin ketiʹet dalem penawai hoʹ, koʹ baʹan paʹit petu are. Petem lepe ikoʹ dalem beka penyalaʹ.”
ACT.8.24	Kun dau Simun mipa Peterus ngan Yaya: “Ikem lesau ne akeʹ, ngan lemameʹ Tuhan makeʹ, malap puyan iaʹ ikem badaʹ ina kenai sihoʹ akeʹ ʹo.”
ACT.8.25	Lepa Peterus de dua Yaya ne badaʹ neng ban tugen nte, ngan pedenga tiraʹ Tuhan ne, nai re dua ngeliwet kaʹ Yerusalim. Ngalang janan nte badaʹ Denga Injil kedalem palai lepoʹ kaʹ dale Samaria.
ACT.8.26	Kenai ca usa melikat Tuhan pisiu Pilipus, kun dau ue: “Beteʹ ne ikoʹ Pilipus, tai ne ikoʹ masat tahaʹ kabing asat tau, bayaʹ janan iaʹ tai puno cen lepoʹ Yerusalim ne, tai kaʹ lepoʹ Gasa.” (Janan ina lenga. Abeʹ dulu kanan ne laʹa.) 
ACT.8.27	Penco Pilipus pedepa inu ue, tai ie puke. Un ca laki lepoʹ Itiupia iaʹ puntan, ca pegawai bioʹ, tai uleʹ bayaʹ janan ina. Laki bioʹ lepoʹ Itiupia ina iaʹ un penyukat ngkang mung bahan ligit Kandake, laja leto lepoʹ Itiupia ne. Laki ina nai ie uleʹ uʹo ho lemameʹ palaʹ Allah kaʹ Yerusalim. 
ACT.8.28	Un dalau ina, dalau kenai ie uleʹ, ina ha madung neng usun kerita ha, mentung nge baca Kitap Pegawa Yesaya. 
ACT.8.29	Kun Berua Buheʹ pisiu Pilipus: “Tai ne ikoʹ ngenyeng laki bioʹ lepoʹ Itiupia ina, tai pemung ngan ne neng kerita haʹ.” 
ACT.8.30	Ngasa tai Pilipus palaʹ ia, penco ho kenahan dau laki bioʹ lepoʹ Itiupia ne baca cen Kitap Pegawa Yesaya. Kun dau Pilipus: “Tisen te ikoʹ kidi amai, inu iaʹ ikoʹ baca ina tupe?” 
ACT.8.31	Un dau laki bioʹ ina neng ia: “Kumpin nceʹ ketisen ne buk abeʹ un aheʹ iaʹ badaʹ a makeʹ?” Penco ho mengin Pilipus nai kempau neng usun kerita ha, pata madung ngan ne. 
ACT.8.32	Un jo isiu dalem Kitap iaʹ ia baca ina, pekini dau ue:
ACT.8.32	“Ia koʹ diseʹ baʹan ca dumba iaʹ dulu ketai nebek,
ACT.8.32	ngan koʹ baʹan ca anak dumba iaʹ are nuyau buk dulu lemetip bulu ue.
ACT.8.32	Pekina pe abeʹ e mesik paʹ a.
ACT.8.33	Pekina pe dalem puyan dulu panyi ia,
ACT.8.33	abeʹ un ca betep tiraʹ dulu iaʹ teneng neng ia.
ACT.8.33	Abeʹ un aheʹ iaʹ senteng badaʹ ban mela usa ha
ACT.8.33	moʹ udip pe neng usun tanaʹ ini lepa pesau.”
ACT.8.34	Penco dau laki bioʹ ina neng Pilipus: “Tiga ne ikoʹ badaʹ a makeʹ sedeʹ, moʹ neng aheʹ iaʹ pegawa Yesaya pisiu pekina dau tupe? Dau ue neng usa ha tengen taʹin, buk are neng dulu diaʹ ca pe?” 
ACT.8.35	Sulo Pilipus badaʹ mia cen tading jo isiu dalem Kitap ina are, kun ne badaʹ Denga Injil neng puyan Yesus. 
ACT.8.36	Ngajan ketai re dua masat ngalang janan kina, abeʹ ne ida dua neng ca alo sungai. Un dau laki bioʹ ina neng Pilipus: “Un sungai kina. Inu iaʹ ukoʹ keʹ abeʹ un senteng ke siho ngebatis tupe?”
ACT.8.36	[ 
ACT.8.37	Kun dau Pilipus mipa ia: “Buk koʹ ngelan lan tekaʹ neng kimet coʹ, senteng te.”
ACT.8.37	Un dau laki bioʹ lepoʹ Itiupia mipa ia: “Akeʹ ngelan Yesus Keristus ne atek Anak Allah.”]
ACT.8.38	Penco ho cuk iaʹ ngkang kerita ina ngelineʹ. Sulo ketai re dua puno kedalem sungai, iaʹ ina Pilipus ngan laki bioʹ ina are. Penco Pilipus ngebatis ia. 
ACT.8.39	Dalau kenai re dua pejakaʹ cen dalem sungai ina, sulo Berua Tuhan ngkin Pilipus mecin cen ina nuʹo. Un laki bioʹ ina, abeʹ e taʹan ia laʹa. Penco ketai ie uleʹ ngan bangen tawai ie bayaʹ toʹ dadoʹ janan ina. 
ACT.8.40	Un Pilipus, nai pe ia luhaʹ laʹa kaʹ lepoʹ Asdut. Tai ie masat uban ke pedenga Denga Injil pa tipo singket lepoʹ, pa ha abeʹ kaʹ lepoʹ Kaisaria.
ACT.9.1	Dalau ina caʹ buseʹ lepe Saul. Kun ne ngeretaʹ dau mida ubaʹ ke lematai diaʹ bayaʹ katuk Tuhan dina. Ketai Saul nyat surat neng Pengebioʹ Detaʹu. 
ACT.9.2	Saul ke ngkin surat ina kaʹ lepoʹ Damsik, me mpun sebayang Yahudi kina, idi buk ke taʹan aheʹ dulu diaʹ bayaʹ Janan Tuhan Yesus kina, inu pia laki ngan leto, ia ke dakep de ngan magang ida kaʹ Yerusalim.
ACT.9.3	Dalau ketai pengasat Saul nyeng kaʹ lepoʹ Damsik, belekaʹ kenai ca dema nyerutang cen langit sihoʹ ngan teliling ia. 
ACT.9.4	Sulo ho pengkup kaʹ tanaʹ, penco ho kenahan dau ca isiu iaʹ kuma ha neng ia: “Saul, Saul, moʹ inu hoʹ nyakit akeʹ tupe?”
ACT.9.5	Un dau Saul mipa: “Aheʹ koʹ tupe, Tuhan?”
ACT.9.5	Un dau isiu laʹa: “Akeʹ Yesus iaʹ ikoʹ nyakit ini. 
ACT.9.6	Beteʹ ne. Tai hoʹ kedalem lepoʹ. Kaʹ ina re ke badaʹ mikoʹ inu iaʹ tekep ikoʹ ke bayaʹ ʹo.”
ACT.9.7	Un dulu diaʹ serengan ngan ne masat dina, pekenaʹ ne ida ngan tai paʹan, moʹ de kenahan dau isiu ina, un ʹo abeʹ de taʹan ca kelunan puʹo. 
ACT.9.8	Sulo nai Saul beteʹ cen ukoʹ o pengkup kina. Kun ne mesik mata ha, abeʹ e taʹan, moʹ ban butaʹ ne ia. Penco re ajak ia, ngkin ia kaʹ lepoʹ Damsik. 
ACT.9.9	Telu tau majan ne butaʹ, abeʹ e uman, abeʹ e nisep pe.
ACT.9.10	Un kaʹ lepoʹ Damsik, un ca laki iaʹ bayaʹ katuk Tuhan, ngadan ne Ananias, Tegoʹ ca tau ue, kenai Tuhan luhaʹ neng penaʹat te. Kun dau Tuhan neng ia: “Ananias.”
ACT.9.10	Kun Ananias mipa ia: “Akeʹ te ini Tuhan.”
ACT.9.11	Un dau Tuhan neng ia: “Petenup ne ikoʹ. Tai hoʹ masat kaʹ janan iaʹ ngadan ne Janan Telit. Ikoʹ ke taʹan ca laki ngadan ne Saul lepoʹ Tarsus kaʹ amin Yudas de. Un te Saul lemameʹ kina te. 
ACT.9.12	Uban lepa ne Saul taʹan ikoʹ neng penaʹat te, taʹan tai hoʹ napoʹ ujoʹ koʹ neng ia kaʹ amin ina te. Ina le ia ke taʹan ʹo.”
ACT.9.13	Un dau Ananias mipa pelaʹa: “Ahaʹ Tuhan, lepa ne akeʹ kenahan dau dulu badaʹ puyan laki ina, pasak jaʹat te neng dulu diaʹ ngelan ikoʹ kaʹ Yerusalim. 
ACT.9.14	Kenai ie kaʹ lepoʹ Damsik ini pelaʹa, nai ie ngkin penyukat cen diaʹ detaʹu lataʹ ke magang mung diaʹ ngelan ikoʹ.”
ACT.9.15	Kun dau Tuhan neng Ananias: “Tai ne ikoʹ sedeʹ. Lepa ne akeʹ lemileʹ Saul ina, ke uyan ia ca senganan man ke pedenga ngadan nceʹ palaʹ dulu diaʹ tahaʹ awang Israil, palaʹ diaʹ paren pe, ngan pekina pe palaʹ lepoʹ Israil. 
ACT.9.16	Akeʹ tengen ke badaʹ mia neng mung tuyen iaʹ tekep ke sihoʹ ia moʹ kuʹun ngadan nceʹ.”
ACT.9.17	Penco ketai Ananias masat, tai kedalem amin kukoʹ Saul ne. Kun ne napoʹ ujoʹ o neng Saul, un dau ue: “Ahaʹ cenganak keʹ Saul, akeʹ iaʹ ban Tuhan cuk, ia lete Yesus iaʹ ban nai luhaʹ kata ikoʹ ngalang janan, dalau nai hoʹ are. Ina ukoʹ o cuk akeʹ nai, moʹ o ke cuk ikoʹ ke taʹan pelaʹa, ngan cuk ikoʹ tai sangan kuʹun Berua Buheʹ.” 
ACT.9.18	Dalau ina koʹ baʹan un are tekaʹ ca king atuk laboʹ cen mata ha, penco ho taʹan. Nai kun ne beteʹ, sulo tai ie sihoʹ ngebatis nuʹo. 
ACT.9.19	Lepa ha uman, kenai ie pali pelaʹa.
ACT.9.19	Dalem kudaʹ tau pe majan Saul ngelineʹ pemung ngan diaʹ bayaʹ katuk Tuhan kaʹ lepoʹ Damsik. 
ACT.9.20	Tegoʹ ina pe, ketai ie kedalem amin sebayang Yahudi. Kina Saul badaʹ denga Yesus iaʹ atek Anak Allah.
ACT.9.21	Tai salam ne tekaʹ mung dulu diaʹ kenahan dau ue. Un dau re: “Moʹ abeʹ e laki ini lete iaʹ lematai dulu diaʹ ngelan Yesus kaʹ Yerusalim are tupe? Masaʹ nai ie kini ke magang kelunan dini, ngan ngkin ida palaʹ diaʹ detaʹu lataʹ taʹin?”
ACT.9.22	Un Saul pali kuʹo ke diseʹ e badaʹ katuk kina. Un dau ue: “Atek ban Yesus ina, ia lete iaʹ ngkang pungu udip.” Un lepoʹ Yahudi diaʹ mudip kaʹ lepoʹ Damsik dina tai benaʹa ne ida, supeʹ de mipa ia.”
ACT.9.23	Majan ne uʹo ina, un lepoʹ Yahudi, kun nte peseket ubaʹ ke lematai Saul. 
ACT.9.24	Un Saul, tisen ne neng puyan peket de. Sulo re mabang ia neng pamen kerahan batu lepoʹ ina, utung tau utung alem ne, ubaʹ ke lematai ia. 
ACT.9.25	Ketai re diaʹ bayaʹ katuk Saul dina alaʹ Saul neng ca alem me. Kun nte muno ia dalem ca gai, cen ca awang neng kerahan lepoʹ ina.
ACT.9.26	Ketai Saul abeʹ kaʹ Yerusalim. Kun ne ten ketai pejahi ngan nte diaʹ bayaʹ katuk Tuhan kina. Un mung nte dina, takut de neng ia, moʹ abeʹ de ngelan ia ca diaʹ bayaʹ katuk Tuhan. 
ACT.9.27	Sulo Barnabas mepo ia, ngan tai ngkin ia palaʹ diaʹ lawa Injil dina. Barnabas badaʹ diseʹ Saul lepa taʹan Tuhan kaʹ janan Damsik, ngan badaʹ diseʹ puyan Tuhan pisiu ia. Kun Barnabas badaʹ diseʹ Saul pedenga ngadan Yesus kaʹ lepoʹ Damsik ngan tempa lan pe dau ue. 
ACT.9.28	Ngan ina ukoʹ Saul tai ngelineʹ ngan nte kina. Ketai ie masat neng lepoʹ Yerusalim pa libut, mentung nge badaʹ tiraʹ dalem ngadan Tuhan ngan tempa dau ue. 
ACT.9.29	Saul iaʹ tai petiraʹ ngan paseʹ neng lepoʹ Yahudi diaʹ kanan isiu Gerika. Kun nte mita janan ubaʹ ke lematai ia. 
ACT.9.30	Un diaʹ cenganak ke dalem Tuhan dina, tai re tisen neng puyan ina, penco re ngkin Saul kaʹ Kaisaria, kun nte cuk ia tai kaʹ lepoʹ Tarsus.
ACT.9.31	Ina ukoʹ o un tadan neng Mpun diaʹ ngelan Tuhan pa tipo tanaʹ Yudia, ngan Galilia, ngan Samaria. Un Mpun diaʹ ngelan Tuhan kina tai tangen kuʹun katuk ngan tai un pit kadoʹ de, mentung mudip ngan tunuk seʹ puyan nte palaʹ Tuhan, uban kuʹun Berua Tuhan iaʹ mepo ida.
ACT.9.32	Tai Peterus masat pa tipo dale ina, tai ie ca liwai naʹat diaʹ anun Tuhan diaʹ mudip kaʹ lepoʹ Lida. 
ACT.9.33	Kina ha petegoʹ ngan ca laki ngadan ne Inias, iaʹ sakit lemaʹ uhat te. Lepa aya uman ne majan ne, abeʹ e senteng puke cen ukoʹ o meken. 
ACT.9.34	Un dau Peterus neng ia: “Ahaʹ Inias, ban Yesus Keristus iaʹ paget ikoʹ. Beteʹ ne, lemelen ne pat coʹ ne.” Dalau ina to kenai ie beteʹ tuaʹ ne. 
ACT.9.35	Mung dulu diaʹ kaʹ lepoʹ Lida ngan kaʹ tanaʹ Sarun ina taʹan seʹ aget Inias, penco re mayo bayaʹ Tuhan.
ACT.9.36	Un kaʹ lepoʹ Yupe, un ca leto iaʹ ngelan Tuhan, ngadan ne Tabita. (Un ngadan ne isiu Gerika, Durkas, iaʹ sen ne telaʹo.) Leto ina lemuto un saheʹ neng dulu, ngan naʹ tuaʹ inu ue moʹ o lesau diaʹ taru mudip. 
ACT.9.37	Dalau ina ha sihoʹ sakit, penco ho matai. Lepa re ntoʹ patai ie, kun nte ngkin patai ina neng ca jun amin nte kempau.
ACT.9.38	Moʹ lepoʹ Lida ina nyeng kata lepoʹ Yupe, ina ukoʹ de diaʹ bayaʹ katuk Tuhan kaʹ Yupe kenahan dau denga Peterus un kaʹ Lida. Penco re cuk dua usa tai mengin ia, pekini dau re: “Kudaʹ pe ikoʹ nyelarai nai naʹat ameʹ ading.” 
ACT.9.39	Penco Peterus pedepa inu ue, tai serengan ida. Lepa ha abeʹ, kun dulu ngkin ia kaʹ jun amin kukoʹ patai idai. Mung leto balu diaʹ nekejeng nusau Peterus nange, mentung nte badaʹ sapai ngan gelam iaʹ ban Durkas uyan dalau ue un ngan nte are. 
ACT.9.40	Kun Peterus cuk ida mung tai ka use. Uʹo ina kun ne sutlep lemameʹ Tuhan. Uʹo ina pelaʹa, penco ho pupa sileʹ tahaʹ patai ina. Un dau ue: “Tabita, beteʹ ne ikoʹ.” Kun Tabita mesik mata ha taʹan Peterus, sulo nai ie madung. 
ACT.9.41	Kun Peterus mencai ujoʹ o mepo beteʹ ia. Uʹo ina ha mengin ida diaʹ anun Tuhan, peging ngan diaʹ balu dina, kun ne badaʹ ban ne nai mudip mida. 
ACT.9.42	Tai denga ne puyan ina pa tipo Yupe, ina ukoʹ kadoʹ dulu nai ngelan Tuhan. 
ACT.9.43	Ngelineʹ ne Peterus kudaʹ tau pe majan ne kaʹ Yupe, pemung ngan ca laki ngadan ne Simun, iaʹ tukeng ngadeng anit pun.
ACT.10.1	Kaʹ lepoʹ Kaisaria un ca laki ngadan ne Kurnilius, ca kaptin sedadu Rum, iaʹ cen mpun sedadu iaʹ dulu naʹ “Mpun Sedadu Italia.” 
ACT.10.2	Ia ca laki iaʹ temek dalem Katuk Adet Musa, iaʹ tunuk neng Allah, peging ngan mung nte panak dalem amin nte. Lemuto ho lesau lepoʹ Yahudi diaʹ taru murip, ngan lemuto ho lemameʹ palaʹ Allah. 
ACT.10.3	Un ca tau ue, kihoʹ kihoʹ jam telu tai tahup, kun ne taʹan dalem penaʹat te ca usa melikat Allah nai palaʹ ia, mentung dau ue neng ia: “Kurnilius.”
ACT.10.4	Kun ne nekeneng naʹat melikat ina, mentung takut tekaʹ a. Un dau Kurnilius: “Inu ne tupe?”
ACT.10.4	Un dau melikat ina neng ia: “Mung temameʹ koʹ, lepa ne Allah kenahan dau ue. Ngan pekina pe pengencai hoʹ neng diaʹ taru mudip, Allah iaʹ petawai ikoʹ kidi ʹo. 
ACT.10.5	Ikoʹ cuk ne dulu tai pelawa naʹkini kaʹ lepoʹ Yupe, cuk ida mengin ca laki ngadan ne Simun, iaʹ ipa ngadan ne Peterus. 
ACT.10.6	Un te ia pemung ngan amin Simun, iaʹ tukeng ngadeng anit, iaʹ un amin ne nyeng kaʹ sada bahi banget.” 
