GEN.1.1	Koluw koluw mamu kinna, Ngindrai imangsani kol pwan pe hu kol yang. 
GEN.41.49	Pe anandrinai ara iya soyo-soyon iya tehe kalayeng ita poholeng. Pwen pe Yosep koyun iyarut ndromweyan.
GEN.41.50	Pwen hayou para song kinsarayah mapu, pe nambuyu Yosep, Asenat SuPotipera, imwalahiy iyata noru Yosep kamai malmou. 
GEN.41.51	Yiy ipa, “Ngindrai imbusiy, pe koyu ara irut iya nopwaran to iyapolo tomo pe nali hu.” Pwen pe iyoh ngala norun kamai ndrihou ara Manasseh
GEN.41.52	Iyamulan para norun kopwan isarayah pe Yosep ipa, “Ngindrai iyki noru hilu malmou, iro nondriya kol para nopwaran ato.” Pwen pe ipohowe ngala norun kopwan ara Eparayim.
GEN.41.53	Pe hayou manandrtoyoh para anandrinai soyon ara kinhipwen nondriya kol Yisip, 
GEN.41.54	pe irahihini hayou manadrtoyoh para song namandran kisarayah, tehe Yosep kinpwai. Mundruwai namandran ara iro kol hakol-hakol, hapeko anandrinai ara iro nondriya kol Yisip masih. 
GEN.41.55	Tandrohongan ara yihu Yisip ara humundrui. Pwen yihu rang iya kili kenon para anandrinai. Pe yiy ipwai iyatahu ipa, “Akaya kili Yosep, pe akambusi sehe melit nakipwai kisa kili wawu.”
GEN.41.56	Song ara iwene kol masih, pwen pe Yosep itepe numwa anandrinai, pe hu ndramat masih para Yisip husa sou anahu anandrinai. 
GEN.41.57	Pe hu ndramat para kol hakol-hakol nondriya kol pwan masih ara husa Yisip para hu kasou anandrinai iro kili Yosep, paratesah song ara isilihi pe ipwalngani topwe kol pwan masih.
GEN.42.1	Pwen tandrohongan ara Yakop ihilong tehe mbuwa youyou ara iro Yisip. Pe ipwai iya kili norun hu ipa, “Paratapeh pe wawu mirampwan o mwaihei pe wawuiki koisari? 
GEN.42.2	Uhulong tehe mbuwa youyou ara ita Yisip. Akayaliy pe akaya sou antou hayah. Mahin tukamat kiya mundruwai.”
GEN.42.3	Pwen nali Yosep hu masongui ara huya Yisip para kaya sou mbuwa youyou. 
GEN.42.4	Hapeko Yakop kinpwandrisa Penyamin kinna surahu pwi yoh. Yiy ara nali Yosep imwonen. Pe Yakop ara inoh, ipa ndre matisan Penyamin kiya puhunani mwomwan kiho mwalinga sai. 
GEN.42.5	Pwen noru Yakop hu ara, huya sura hu ndramat hayah mepo hu pakaya sou mbuwa youyou, paratesah, song ara kintayah iro kol Kanaan i.
GEN.42.6	Yosep ara kinrayah pohon para kol Yisip, pe iropo peheya mbuwa youyou iya kili hu ndramat masih mepo ngara hu kaya sou. Pwen pe nali Yosep hu ara husa pe hutukuruhu pe payahu iya pwan. 
GEN.42.7	Pe Yosep inime nalin hu pe iyirowei tehe ara yihu ko, hapeko imbusiy tehe kinpahasani yihu pwi. Pwen yiy isike hu pwokeyan iya ipa, “Wawu yau aleheh?”
GEN.42.7	Pe yihu pa, “Yowu pwen te Kanaan para kasa sou anandrinai.”
GEN.42.8	Pe Yosep ipahasaniy tehe yihu ara nalin, hapeko yihu ara kanyirowei tehe yiy ara Yosep pwi yoh. 
GEN.42.9	Pwen yiy ara ilohongani nihinih tan mepo inime nalin hu husa pe hutukuruhu iya kili yiy. Pe yiy ara ipa, “Wawu ara ndramat para tandrihindrih! Wawu pakasa tuluwani nondriya kolo yowu — ipwoke ndre pwi.”
GEN.42.10	Pe yihu pa, “Pwi yoh, yapane! Yowu sa pahandram para kasa sou anandrinai opu. 
GEN.42.11	Yowu ara noru ndramat hamou o. Yowu ara ndramat para nongan ndrokonan opu — ndramat para tandrihindrih pwi.”
GEN.42.12	Yosep ipwai iyatahu ipa, “Pwi yoh! Wawu ara pakasa tuluwani nondriya kolo yowu, mepo pwokeyan ndre pwi.”
GEN.42.13	Pe yihu pa, “Yapane, tama yowu ara hamou o, yapane kol Kanaan. Pe yowu norun kamai ara songui pe lumou. Nali yowu hamou ara kinto pwi, pe nali yowu kopwan ara mawihou o pe kinyera ndron sura tama yowu.”
GEN.42.14	Pwen Yosep ipwai iyatahu paiwe ipa, “Nongno tehe kunpwai mamu ara; wawu ara ndramat para tandrihindrih! 
GEN.42.15	Mahapo upahasani sai para kupakarawani wawu. Yo upwai ndrokonan iya ngala Kenon para Yisip andre wawu kaniyau pwi, kipo nali wawu kopwan ara kisa iye. 
GEN.42.16	Hamou ta wawu kiya pe kiwiri nali wawu kopwan kisa. Pe wawu masih ara akaya pe koyoro nondriya kou, pe yowu andre kakahiy tehe nongan ara ndrokonan ndre pwi. Kapa yowu kakahi nongan ara pwasoyou, pwen upwai ndrokonan iya ngala Kenon para Yisip, wawu ara ndramat para tandrihindrih.” 
GEN.42.17	Tehen torako, yiy iyki hu huro nondriya kou ipo lang maroyoh.
GEN.42.18	Pwen pe lang maroyoh ihipwen, pe Yosep ipwai iyatahu ipa, “Kapa akayau ndruwa nongno, andre wawu koro hiyan, paratesah, yo ara ndramat hamou ngara kunoh ta Ngindrai. 
GEN.42.19	Kapa nongna wawu ara ndrokonan, pwen hamou ta wawu ara andre kiro ndron nondriya kou. Pe wawu masih akakuni mbuwa youyou ta wawu pe akayaikiy kiya kili hu kontora wum mepo hu tora mundrui. 
GEN.42.20	Akaya pe akawiri kopwan ta wawu kisa kili yo. Pwen andre kupahasaniy tehe wawu wong ndrokonan, pe andre kumbusi wawu kanmat pwi.”
GEN.42.20	Pe yihu ara hupwes iya nongnan. 
GEN.42.21	Pe hamou iro pwai iyata hamou hupa, “Animei, koluw tumbusi mwomwan iya kili nali tou. Pe worou tunime yiy irang pe iyoh worou para tukasopwat yiy, hapeko tukanhilingi yiy pwi. Kapa sehe mwomwan kisarayah kiltou, ara isulyani mwomwan torou opu.”
GEN.42.22	Pe Rupen ipwai ipa, “Yo kunpwai kinsa ta wawu tehe wawu ara mbuna kambusi mwomwan kiyata wihou ara; hapeko wawu kanihilingi yo pwi yoh. Pwen pe worou mahapo turopo wiri nopwaran ara iyau kimat tan.” 
GEN.42.23	Yosep ara iro hilingi nongna nalin hu, hapeko yihu tanahu tehe Yosep iro hilingi hu ara pwi yoh, paratesah, Yosep ngara kiwong kiya nongna kol tahu Yisip, pe ndramat hamou para tapaiwe iro tapaiwani nongnan imui iya kili nalin hu.
GEN.42.24	Pwen pe Yosep ara itali hu iya mawen pe iya rang. Irang ihipwen, pwen imui iya kili hu pe iwong iya kili hu ndramat para mbulyan, pe humbultuwe Simeyon pe huwasi yiy iro mbulmara nalin hu.
GEN.42.25	Pwen Yosep ipwai iyatahu ndramat para poya mbulyan para hu kanihi mbuwa youyou kiya ndropwa nalin hu masih. Pe ipwai iyatahu para hu kaiki singayai ta hamou-hamou ara kimui kiya ndropwahu imwonen, pe kayuk anandrinai para sohoya hu yi. Pwen hu ndramat para poya mbulya Yosep humbusi melit masih tehe ipwai. 
GEN.42.26	Pwen nalin hu huiki mbuwa youyou mepo husou ara iya ndrita hu 
GEN.42.27	Huro rikai huro rikai huya ipo kol iya ping tahu. Pwen hungoh huro aliy para hu kamatin. Pwen hamou tahu ara inik ndropwan pe pakiyuk anandrinai kiyata 
GEN.42.28	Pwen iyoh iya kili nalin hu ipa, “Singayai to ara imui isa kili yo yi. Akanimei, iripo mara ndropwo.” Pwen yihu ara hunimei pe nerehu imama pe hunoh turut. Pe hamou iro pwai iyata hamou ipa, “Aripo sehe melit Ngindrai imbusi isa kili tou eh?”
GEN.42.29	Pwen huyarayah huya kili tamahu iro Kanaan, pe hunese ndraingan iya melit masih kinrayah kili hu. 
GEN.42.30	Hupa, “Tomo, ndramat imu iya pohon tahu Yisip ara, iwong pwokeyan iya isa kili yowu ipa, ‘Wawu ndra pakasa tandrihindrih kisa koloyowu?’ 
GEN.42.31	Pe yowu pa, ‘Yowu ara ndramat para tandrihindrih pwi yoh, yowu ara ndramat para nongan ndronkonan o. 
GEN.42.32	Tama yowu ara hamou o. Pe yowu norun kamai ara yowu songui pe lumou. Nali yowu hamou ara kinto pwi, pe nali yowu hamou ara kopwan kinyera ndron Kanaan kili tama yowu.’
GEN.42.33	Pwen pe ndramat namandran ara ipwai ipa, ‘Kiya, kapa wawu pwai ndrokonan, pwen hamou ta wawu ara andre kiro. Pe wawu masih ara akakun mbuwa youyou pe wawu kayau kaya kili hu ta wawu mepo hu kontora mundrui. 
GEN.42.34	Akaya pe akawiri nali wawu kopwan kisa kili yo. Pwen pe andre kupahasaniy tehe wawu ara ndramat para tandrihindrih pwi, wawu ara ndramat para nongan ndrokonan. Pwen andre kuiki nali wawu kimui kisa kili wawu, pe wawu andre koro tikai kol iye kiya lohonga wawu ko.’ ”
GEN.42.35	Pwen hu masih ara pakarayuwani ndropwahu namandran pwi, hunime ndropwa singayai mendreheh ta hamou-hamou iro pohomara ndropwahu sahat-sahat. Pwen yihu yapolo tamahu ara hunimei pe hunoh. 
GEN.42.36	Pwen tamahu ipwai iyatahu ipa, “Wawu mbusi tehen tora pe kunpiyani noru hilu. Yosep kinto pwi; Simeyon kinto pwi; pwen nahapo nakawiri Penyamin kiya yi. Melit masih ara iraporuwi yo!”
GEN.42.37	Pwen Rupen ipwai iya kili taman ipa, “Kapa yo kunsaiki Penyamin kinmui kinsa kili wou pwi, pwen wou atingundru noru hilu kamai malmou ara kaya soiwin. Aiki yiy kisa kili yo pe andre kiro pahandra pwokere to; pwen andre yo kusaiki yiy kimui.”
GEN.42.38	Hapeko Yakop ipa, “Noru ara andre kinna sura wou pwi. Nalin hamou kinmat pe yiy hamou o ara iripo ndron. Yo ara kunna parangoloh pwen, pe matisan hapesah kisarayah kili yiy kiho mwalinga sai, pwen andre kiyki ndriyang kisa kili yo pe andre kumat.”
GEN.43.1	Pwen song iro Kanaan ara irorayah namandran iya, 
GEN.43.2	pe Yakop hu norun ara huini topwe mbuwa youyou nepo hukun mamu iro Yisip isa. Pwen tamahu ipwai iya kili norun hu ipa, “Akamui kaya pe akayasou antou hayah mbuwa youyou paiwe.”
GEN.43.3	Pwen pe Yutah ipwai ipa, “Yapane Yisip ara ipwai tisingiy isa kili yowu, tehe yowu ara kanlahiy para kayarayah kaya mbulmaran o mwaihei pwi, kipo yowu kawiri nali yowu kopwan kiyasura yowu. 
GEN.43.4	Kapa apa hiyan para nali yowu kirikai sura yowu, pwen andre yowu kaya sou anandrinai tam. 
GEN.43.5	Hapeko kapa aniyki yiy kinsa sura yowu pwi, andre yowu kanna pwi, paratesah, ndramat ara ipwai isa kili yowu ipa, ‘Kapa nali wawu kinsa sura wawu pwi, pwen andre kunnime wawu pwi.’ ”
GEN.43.6	Pwen Yakop, ngalan handra Yisrayel ara, isikei hu ipa, “Paratesah pe wawu pwai iyata yapane kol ara tehe nali wawu hamou iripo ndron? Wawu mbusi tora pe nopwaran namandran iripo rayah kili yo!”
GEN.43.7	Yihu pwai iya kili yiy hupa, “Pe ndramat ara isoksok yowu soyon iya, ipa ‘Kiya, tama wawu imirandron? Pe nali wawu hamou ita ndron?’ Yiy isok yowu toro pe yowu somwi yiy o. Yowu ara, kanpahasani pwi tehe yiy andre kipa, ‘Wawu kawiri nali wawu kisa.’ ”
GEN.43.8	Pwen Yutah ipwai iya kili taman Yisrayel ipa, “Aiki wihou ara kisa sura yo pe yowu masih kaya kileh. Pwen yowu pe wou pe noru worou hu andre kanmat pwi. 
GEN.43.9	Awiri yiy kisa pe moro kiro tan. Kapa yo kunwiri yiy kinmui kinsa kili wou pwi, pwen andre kukuni nopwaran paraliy lang masih. 
GEN.43.10	Kapa anikaituwe yowu pwi, ara yowu kanna pe kansa maporoluwoh pwen.”
GEN.43.11	Pwen tamahu, Yisrayel, ipwai iyatahu ipa, “Kapa hasai sai pwi, kiya, wawu kambusi toro: kapo hayah melit mwayih para kolorou, pe akanihiy kiya ndropwa wawu pe akayaiki kiya kili ndramat ara tehe yukyuk. Akawiri melit masih mwayih tehe: kunan, pe ndrunu kei handra-handra para katumwiy kiya mandra ndramat, pe ndraikei mangonohon layin, pe mbuwakei tehe nengei pe nangiyou.
GEN.43.12	Akawiri ndromweya singayai mandrayiluwoh kiro kili wawu; singayai mamu wawu wiri imui isa, ara kiyapolo singayai para mahapo yi; matisan hu potiriyis pe hunihiy iya ndropwa wawu. 
GEN.43.13	Akawiri nali wawu pe kamui kileh kaya kili ndramat ara. 
GEN.43.14	Pe Ngindrai Pwokeyan Masih kiyki koisirai kiya ndriya ndramat ara, para kitali nali wawu kiyapolo Penyamin hilu kamui kasasura wawu. Pe kapa noruhu masih katali yo, hiyan, hu katali yo.”
GEN.43.15	Pe yihu huwiri topwe yukyuk tahu ara, iyapolo singayai mandrayiluwoh, pe huwiri Penyamin iya polon i. Pwen hu leheleh o huya Yisip, pe huya yingani hu iya kili Yosep. 
GEN.43.16	Pwen Yosep inime Penyamin iro surahu, pe ipwai iyata ndramat imu iya pohombulen para nondriya suwen, ipa, “Ayawiri hu ndramat iye kaya suwe, pe ara hamou kan pe akaruwaniy para namnam; yihu andre kanamnam kiyasura yo ndrokololang.”
GEN.43.17	Pe ndramat ara imbusiy tehe Yosep ipwai iyatan, pe iwiri hu iya seu ta Yosep. 
GEN.43.18	Pe nali Yosep hu ara huropo huya nondriya seu pe hunoh pe huro pa, “Worou tusa seu iye ara andre iya konoha singayai para mamu imui isa nondriya ndropwarou? Yiy matisan pakipanohowani worou, pe tukarayah ndramat para mbulyan o mwaihei, pe kiwiri 
GEN.43.19	Pwen yihu ya seu ta Yosep, pe hupwai iyata ndramat imu iya pohombulen para numwan mepo irotine pohokaram ara hupa, 
GEN.43.20	“O namandran, koluw kinna ara yowu sa iye para kasa sou anandrinai. 
GEN.43.21	Yowu ya pe kol iyaping pwen yowu ngoh. Yowu ro ara, pe yowu nikiri ndrop; pwen hamou-hamou towu inime singayai towu iro pohomara ndrop. Ndromweya singayai ara iro mwonen nokun o, pwen yowu wiriy imui yi. 
GEN.43.22	Mahapo ara yowu po singayai hayah iyasuran i para pakasasou anandrinai. Hapeko yowu kanpahasaniy pwi, sehe ndramat ndrokonan inihi singayai imui iya ndropwa yowu.”
GEN.43.23	Ndramat ara ihilingi nongnahu pe ipa, “Ara hiyan; wawu mbuna kanoh. Ngindrai ta wawu pe Ngindrai ta tama wawu ara iyki singayai iya ndropwa wawu. Singayai ta wawu para mamu ara kunwiriy.” Pwen iya wiri Simeyon pe iyki yiy imui iya kili hu.
GEN.43.24	Pe ndramira mbulen ara iwiri hu pe huya nondriya seu ta Yosep. Pe iyki ndran para sungeya ndrikahu, pe iya yuk anandrinai iyatahu 
GEN.43.25	Pe yihu hulong tehe Yosep ara andre kisa namnam kisapolo hu ndrokololang, pwen yihu ara huramwaniye yukyuk tahu ko pe humin.
GEN.43.26	Pwen Yosep isa wum, pe yihuiki hu yukyuk mepo huwiriy isa seu ara iya kili yiy. Pe yihu tukuruhu iya kili yiy pe payahu ara iya pwan. 
GEN.43.27	Pwen Yosep ipa ndrokololang iyatahu, pe isok hu ipa, “Tama wawu koluw mepo wawu nese ndraingo iyatan ara iyerandron?”
GEN.43.28	Pe hupwai iya kili yiy hupa, “Yapanewu, tama yowu ara ita hiyan.” Pwen hutukuruhu pe payahu ara iya pwan paiwe yi.
GEN.43.29	Pwen Yosep inime nalin ndrokonan, Penyamin, mepo tina hilu hamou o, pe isike hu ipa, “Nali wawu kopwan mepo koluw wawu sa pe wawu nese ndraingo iyatan ara, aripo, ndre?” Pwen yiy ipa, “Noru, koisirai ata Ngindrai ara ita sura wou.” 
GEN.43.30	Pe Yosep ara koyun isikirani nalin pwokeyan iya, pe ileheleh o iya kah hape nokun iro nondriya suwen para kiyaliy pe kirang. Pwen iya rang iya ndrohonoku matiliu tan.
GEN.43.31	Irang ihipwen, ihitih, pe isungani mbulmaran. Pwen mandran ipwoke pe isa ngawan. Pe ipwai iyatahu ndramat para mbulyan ipa, “Akawiri anandrinai kisa ngawan.”
GEN.43.32	Pwen hurai anan ara iya keyeu sih, pe ana nalin hu ara iya keyeu sih. Pe anahu Yisip huro sura yiy ara iya keyeu sih i, paratesah, yihu Yisip ara hu konoho namnam kinna sura hu Hipuru pwi yoh. Pakut ara, ara kinmwonen mbulmara hu Yisip pwi. 
GEN.43.33	Yosep kinpwai kinna tahu ndramat para mbulyan pe huiki nalin ara hu humpwan iyau ndruwa mamandra tahu — iro kili ndrohan pe iyahapwen iya kili kopwan. Pwen pe nalin hu hunimei tehe humipwan tehen tora pe hamou ituluwani hamou pe mwoiwahu ihin. 
GEN.43.34	Hu ndramat para mbulya Yosep huwiri anandrinai iro keyeu ta Yosep pe hurai iya pwelekeya nalin hu ara weneyan o. Hapeko ata Penyamin ara hurai ihohin iya, iya tahu masih; isahapwas masih tehe ilahi hu ndramat mayimou hu kainiy. Pwen huro namnam pe huro yin ndran pe huro pwes iyasura Yosep.
GEN.44.1	Pwen pe Yosep ara iyki nongan iya kili ndramat imu para poho mbulen iya nondriya suwen ipa, “Anihi anandrinai kiya ndropwahu hamou-hamou ara kiya weneyan o, ilahiy para hu kakuniy. Pe aiki singayai tahu hamou-hamou ara kimui kiya mara ndropwahu masikene. 
GEN.44.2	Pwen awiri pweniu 
GEN.44.3	Pe makoluhun o hupwandrisa nali Yosep hu iyasura hu 
GEN.44.4	Pwen nalin hu ara hutali kol namandran pe hu kanna mwanan mapwi, pe Yosep ipwai iyata ndramat imu para pohombulen ipa, “Atine pe ahalleh aro ndruwa hu ndramat ara. Ayarayah aya kili hu, pe asike hu toro: ‘Yowu kanmbusi hiyan kinsa kili wawu, pe paratesah wawu mbusi kultuw ara isa kili yowu? 
GEN.44.5	Pweniu nepo wawu kanwiriy, ara pweniu ta namandran towu mepo ngara kiyinyin kiyaliy. Pe yiy ara ngara kiwiri lohongai hiyan para tayakau kiyau pweniu 
GEN.44.6	Pwen ndramira Yosep ara, ihileh pe iyambultuwe nali Yosep hu huhondron sai sahin. Pe iyapwai topwe nongan masih mepo Yosep kinpwai kinnatan. 
GEN.44.7	Pe hupwai iya kili yiy hupa, “Paratapeh pe apwai tehen tora isa kili yowu? Yowu ara kanlahiy para kambusi kultuw ara pwi yoh. 
GEN.44.8	Wou tanam tehe singayai ara, mepo yowu wiriy iro mara ndrop towu iro kol Kanaan, ara yowu kansaikiy kinimui iho nondriya tokuyai maporolusap. Tehen tapeh, apa ndre yowu pahanowe 
GEN.44.9	Namandran, kapa anime hiyeh towu ara iwiri pweniu pe inihiy iya ndropwan, pwen akarayi ndramat ara kimat, pe yowu masih andre kasarayah ndramat para pwandrendres ta wawu ko mwaihei.”
GEN.44.10	Pe ndramat para pohombulen ta Yosep ara ipa, “Nongna wawu imwonen. Hapeko kapa kunime hiyeh ta wawu iwiri pweniu ara, yiy opu andre kisa pe kirayah ndramat para pwandrendres to. Pe wawu masih mepo kantandroindroi pwi, ara wawu masih kayau.”
GEN.44.11	Pwen o, yihu hamou-hamou ara huiki ndropwahu iya pwan pe hutepei. 
GEN.44.12	Pwen ndramat imu iya poho mbulen ta Yosep inime nondriya ndropwahu masih — iro kili ndrohan ipo iya manne kopwan. Pe inime pweniu ara iro nondriya ndrop ta kopwan tahu, Penyamin. 
GEN.44.13	Pwen nalin hu ara hunime pweniu iro kili yiy, pe hu ndrohomwiri koiwe hu, paratesah, ndriyahu ara irangsi yiy. Pwen huiki ndrop tahu imui iya ndrita hu 
GEN.44.14	Pwen Yutah pe nalin hu, humui huya seu ta Yosep pe hunime yiy ara iye ndron aliy. Pe hunoh turut pe hulah huya pwan mbulmaran. 
GEN.44.15	Pe Yosep ipwai iya kili hu ipa, “Wawu mbusi kultuw ara paratesah ndrokonan! Wawu kanpahasaniy tehe ndramat hamou tehe yo, ara ulahiy para kurakau pe kupahasaniy hu melit kokohon ndre pwi?”
GEN.44.16	Pe Yutah ipa toro: “Yapane, yowu andre kapa tesah kiya nongnam? Yowu ara kanlahiy para kanpa hapesah pwi. Ngindrai ara kinpwaingani mwomwan towu pwen. Yapane, andre yowu, pe hiyeh mepo iwiri pweniu tam, ara yowu masih karayah ndramat para pwandrendres tam.”
GEN.44.17	Hapeko Yosep ipa, “Pwi yoh, andre kunmbusi tehen tora kisa kili wawu pwi! Andre ndramat o nepo iwiri pweniu to, ara andre kirayah ndramat para pwandrendres to ko mwaihei. Pe wawu masih ara ndriya wawu kiwayis pe akamui kaya kili tama wawu.”
GEN.44.18	Pwen Yutah iya ndrahasa Yosep pe ipa, “Yapane, ahalingi yo; ndrinam mbuna kilokuh to. Wou ara pohon para Yisip, imwonen tehe kenon o. 
GEN.44.19	Namandran, koluw wou asike yowu tehe toro: ‘Wawu ma tama wawu pe ma nali wawu ndre pwi?’ 
GEN.44.20	Pe yowu pa, ‘Ehe, tama yowu ara kinna parangoloh. Pe yiy kinna parangoloh pwen pe iyki nali yowu hamou kopwan. Yiy kopwan ara iyera, pe nalin hamou ara kinmat; tina hilu ara hamou o. Pe taman ara inamili yiy namandran iya.’
GEN.44.21	Yapane, wou mbukenam apwai pe yowu wiri nali yowu kinsa para anime yiy. 
GEN.44.22	Pe yowu pwai isa kili wou, tehe taman ara kinoho piyani yiy pwi. Kapa kitali taman, andre taman kimat. 
GEN.44.23	Hapeko wou apwai isa kili yowu apa, ‘Kapa nali wawu kinsa sura wawu pwi, pwen andre wawu kanlahiy para kasa mbulmoro iye pwi.’
GEN.44.24	Pwen yowu mui yowu ya kili tama yowu, ndramat para mbulyam, pe yowu nese ndraingan iya sehe melit apwai.
GEN.44.25	Pe tama yowu ara ipwandrisa yowu para kamui pe kasasou hayah anandrinai yi. 
GEN.44.26	Pe yowu pwai yatan yowu pa, ‘Kapa nali yowu kopwan ara kinto sura yowu pwi, pwen yowu kanlahiy para kanna pwi. Kinlahiy para yowu kayarayah kaya mbulmara ndramat namandran ara pwi, kipo yowu kaya kapolo nali yowu kopwan.’
GEN.44.27	Pe tama yowu, ndramat para mbulyam, ara ipwai isa kili yowu ipa, ‘Wawu pahasani tehe nambuyu imwalahiy iyata noru kamai malmou opu. 
GEN.44.28	Hamou ara kinna mawen kili yo, pe upa ndre hamou kan kintayiy kinmat, pe kinyani yiy topwei. 
GEN.44.29	Pe kapa wawu kawiri hamou iye kiya mawen kili yo yi, andre wawu kaiki koisirai kisa kili yo, pe yo kumat kileh.’
GEN.44.30	Kapa yowu kanwiri mbunah ara kinmui kinna sura yowu pwi, tama yowu ara andre kimat, paratesah, kopwan tan ara tehe neren imwonen. 
GEN.44.31	Kapa tama yowu kinnime mbunah kamai kinto sura yowu pwi, yiy andre kikoi. Pwen tehen tora ko pe yowu andre kaiki nopwaran kiya kili tama yowu, pe yiy andre kiyki koisariy pe kimat kileh! 
GEN.44.32	Yo ara upwatisingiy iya kili tomo tehe andre kuro pwokarani kopwan pe kuwiri yiy kimui kiya kili yiy. Pe yo upa, ‘Kapa yo kunwiri yiy kinmui pwi, pwen andre mwomwan ara kiro ndrito lang masih.’
GEN.44.33	Pwen pe yo usike wou, Yapane, para kuwiri noku kopwan towu, pe yo ara kurayah ndramat para pwandrendres tam o mwaihei. Pe hiyan para wou aiki yiy kimui kiyasura nalin hu. 
GEN.44.34	Kapa kopwan ara kinna sura yo pwi, tehen tapeh pe andre kumui kuya kili tomo? Pwi yoh! Mbuwali para kunime nopwaran ara kirayah kili tomo.”
GEN.45.1	Yosep ara koyun isikirani nalin hu pe ihingorowei tehe pakirang. Pwen pe iyoh iya kili hu yau tan ipa, “Wawu masih kaya ngawan namu.” Pe yiy hamou o irosura nalin hu, pe ipwaingani yiy iya kili hu. 
GEN.45.2	Yosep irang namandran iya pe hu para Yisip huhilingiy. Pwen yihu ya seu ta kenon pe huya nese ndraingan.
GEN.45.3	Yosep ipwai iya kili nalin hu ipa, “Yo ara Yosep; tomo iyera?” Hapeko nalin hu, nongnan ara ilohori hu, pe yihu kanlahiy para kasomwi yiy pwi.
GEN.45.4	Yosep ipwai iyatahu paiwe ipa, “Akasa pakeh kili yo.” Pwen huya pakeh kili yiy pe ipa, “Yo ara nali wawu, Yosep. Koluw wawuiki yo tehe kenna wawu pe hu ndramat husowani yo pe husaiki yo usa Yisip. 
GEN.45.5	Pe mahapo mbuna kalolohonge soyon pe ndrina wawu mbuna kilokuh ta wawu mbukena wawu iya kultuw mepo wawu mbusiy isa kili yo mamu; paratesah, Ngindrai ara ipwandrisa yo umu ta wawu para kusopwat hu ndramat pe andre hu kanmat pwi. 
GEN.45.6	Song ara kinngas kol pwan nondriya hayou malwoh pwen; pe hayou mayimah itandron ara andre hu ndramat kanlahiy para kapo anandrinai kiro piyang pwi. 
GEN.45.7	Ngindrai ara imbusi melit namandran pe iya handra masih isa kili wawu, paratesah, ipwandrisa yo umu usa urupo iye ara para kusopwat wawu pe andre wawu kanmat pwi.
GEN.45.8	Pwen pe wawu kanpwandrisa yo kunsa kol iye pwi, Ngindrai mbukenan ara ipwandrisa yo usa. Pe yiy o imbusi yo usarayah tehe tama Kenon para Yisip. Yo urupo nimnim iyatahu ndramat masih para nondriya suwen, pe yo uya namandran tahu kol masih iripo nondriya kol namandran Yisip.
GEN.45.9	Mahapo akahalleh kaya kili tomo pe akapwai katan toro: ‘Yo, norum Yosep, uiki nongan iye isa kili wou: Ngindrai imbusi yo urayah yapane kol namandran Yisip. Pe mbunalonge, wou ahalleh asa kili yo. 
GEN.45.10	Andre wou ampwan kol Kosen, pakeh kili yo — wou pe norum hu, pe tumbum hu masih, wawu andre kampwan kol ara kiyasura hu meme pe hu mbulmwakau pe kiyasura meltam masih. 
GEN.45.11	Asa pe wawu kampwan kol Kosen pe andre yo kuro nimnim kisatam; paratesah, hayou mayimah para song ara mapu kinsa, pe yo mbuwali para wawu norum pe hu kan masih ara hu kamundrui.’ ”
GEN.45.12	Pe Yosep ipwai iya kili nalin hu ipa, “Wawu tora nime mwaniyani yo, pe Penyamin ara tehen aliy yi, tehe yo ara Yosep ndrokonan uropo wong isa kili wawu. 
GEN.45.13	Wawu kayapwai kata tomo, tehe yo ara mangolo urupo nondriya kol namandran Yisip. Pe akapwai katan kiya melit masih mepo wawu kannimei topwei. Wawu kaya pe kawiri yiy kisa kileh.”
GEN.45.14	Yosep iwong ihipwen pe indrohosi nalin Penyamin pe Penyamin ara imbusiy tehen aliy yi; pe hilu rangsi hilu. 
GEN.45.15	Pe Yosep irakunani nalin hu pe irahunghung iyatahu pe irang. Pwen nalin hu ara hungoruwe hiyan para hu kawong kawule.
GEN.45.16	Pwen Kenon para Yisip ihilong tehe nali Yosep hu ara hu kansa, pe kenon iyasura hu ndramiran namandran ara hu masih hupwes. 
GEN.45.17	Pe kenon ipwai iyata Yosep ipa, “Aya pe apwai kiyata nalim hu toro: ‘Wawu kamwaniyani wawu kapolo hu 
GEN.45.18	Pe wawu kayawiri tama wawu pe noru wawu hu masih pe wawu masih kamui kasa kili yo. Pe andre yo kupwainge hape pwan hiyan masih iripo nondriya Yisip kiyata wawu. Pe pwan ara, anandrinai andre kirayah kiro aliy soyon iya, pe andre hu koroyan lang masih.’ ”
GEN.45.19	Pe kenon ipwai paiwe iya kili Yosep ipa, “Wou apwai kiyatahu toro: Wawu kawiri hu 
GEN.45.20	Wawu mbuna kalolohonge kiya melit masih para kol Kanaan, paratesah, melit hitun iripo nondriya kol Yisip ara andre kuikiy kisata wawu.”
GEN.45.21	Pwen noru Yisrayel hu ara, ara yihu mbusiy tehe kenon kinpwai. Pe Yosep ihilingi nongna kenon pe yiy iyki 
GEN.45.22	Pe iyuk koyau hamou-hamou iyatahu, hapeko ata Penyamin o ara iyki koyau maiyimou, iyasura sombu pat 
GEN.45.23	Pe Yosep iwiri melit soyon mwayih para Yisip pe iykiy iya ndrita 
GEN.45.24	Pwen Yosep ipwandrisa nalin hu huyau, pe ipwai iya tahu ipa, “Wawu kayau pe mbuna kahangas mwalinga wawu koho sai.”
