MAT.1.1	Lunu niirwo olulyo lwa Yesu Kurisito omwizukulu wa Dawudi, iye eyabbaire omwizukulu wa Ibbulaimu:
ACT.13.17	“OKibbumba aBaisirairi ogubasinza yalondere abazeiza baiswe okubba bantube, era nʼabasuuca eigwanga eryʼamaani owebabbaire nga bakaali baizaizana omu kyalo kyʼe Misiri. Oluzwanyuma, nʼabalaga amaanige amabitiriri omu kubatoolayo,
ACT.13.18	era nʼabba nabo omu kitera okumala emyanka ooti 40, ngʼabalabirira nʼokuguminkiriza eneebitya yaabwe embiibbi.
ACT.13.19	Yabawangulisirye amawanga musanvu agabbaire omu kyalo kyʼe Kanani, nʼagatoolaku eitakali lyago nʼaliwa abantube aBaisirairi ni lisuuka obusika bwabwe.
ACT.13.20	Ebyo byonabyona byabbairewo okubita omu myanka ooti 450. Era oluzwanyuma lwabyo, oKibbumba nʼabawa abalamuzi okubeekubbemberanga paka omu biseera bya Samwiri, eyabbaire onaabbi.
ACT.13.21	Ekiseera ekyo niikyo aBaisirairi omu bakobeire oSamwiri abalondere omuntu eyaabba okabaka waabwe. OKibbumba niiye okubalondera oSawulo omutaane wa Kiisi, owʼomu kika kya Bbenyamini, eyabafugiire emyanka 40.
ACT.13.22	Oweyamutoiremu obwesige nʼamutoolaku obwakabaka, nʼabairiryawo oDawudi okubba okabaka waabwe. Era, oDawudi oyo niiye oKibbumba oguyatumwireku ngʼamuwaana ati, ‘Nkivumbwire ngʼoDawudi omutaane wa Yese musaiza ayabira eino oku kukola ebyo omwoyo gwange ebigusiima. Yatuukiriryanga byonabyona ebintaka akole.’ ”
ACT.13.23	“Kaisi okubitira omu kiizukulu kya musaiza oyo oDawudi, era ngʼekisuubize owekyabbaire, oKibbumba aleeteire oIsirairi oMulokoli, nga niiye oYesu. 
ACT.13.24	NgʼoYesu akaali kuzwayo atandiike omulimogwe, oYokaana oMubatizi yalaabbire eeri buli Baisirairi abamuwuliranga, obukwenda ati bali nʼokwenenya ebibbibibbi byabwe, bababatize.
ACT.13.25	Era oweyabbaire yatira okumaliirirya omulimogwe, yakobere abantu ati, ‘Abba museega muti ninze oMasiya oyo aiza, ala tininze. Wazira waliwo ankiraku obwezye aali kwiza oluzwanyuma lwange, nze oguntasaanira okusibindula obusibiro bwʼengaitogye.’
ACT.13.26	“Baganda bange era baizukulu ba Ibbulaimu, na inywe abatali ba Bayudaaya abasinza oKibbumba, obukwenda bunu obukwata oku kulokoka babutumire eeri niiswe swenaswena. 
ACT.13.27	Abantu bʼomu Yerusaalemi aamo nʼabafugi baabwe tibamanyicirye oYesu bati niiye omulokoli, neenu ngʼomu kumusalira omusango gwʼokumukomerera babbaire batuukirirya bibono byʼabanaabbi, ebyo ebibasomanga buli ku Saabbaato. 
ACT.13.28	Newankubbaire nga tibamwajiiryeku nsonga yonayona etuuca omuntu oku gwʼokufa, basabire oPiraato bati baite-bwiti oYesu.
ACT.13.29	Nga bamalire okutuukirirya ebyo byonabyona eBiwandiike byʼabanaabbi ebimutumulaku, ni wabbaawo abatoire omulambogwe oku musalabba, ni baguteeka omu magombe.
ACT.13.30	Neye oKibbumba nʼamuzuukiza, 
ACT.13.31	era, nʼamala enaku nyingi kunu. Nʼokwebonekesya ni yeebonekesyanga eeri abo e nyumaku eedi abeyatambwire nabo okuzwa omu Galiraaya okuniinaniina e Yerusaalemi kaisi aize bamwitenge. Abo niibo atyanu abamanyikisya oYesu omu bantu bʼomwIsirairi nga babakobera ebimufaaku.
ACT.13.32	“Na iswe swena tuli aanu kubatuucaaku Mawuliro aMasa tuti, ekisuubize oKibbumba ekiyasuubizire abazeiza baiswe, 
ACT.13.33	ekyo ekyʼokuzuukiza oYesu atulokole era atufuge, nkikyo dala yakituukiririirye niiswe abaizukulu baabwe era na inywe abantu abandi nywenanywena. Ekinyere ekyo niikyo ekibawandiikireku omu Zabbuli ensuula eyokubiri ngʼoKibbumba atumula oku Yesu ati:
ACT.13.33	‘Oli Mwana wange,
ACT.13.33	olwatyanu nnangirira nti ndi Iteewo.’
ACT.13.34	“Ekikakasa ngʼoKibbumba oweyamuzuukizire okutafa tete kiri mu bibono iye onyere ebiyatumwire ati:
ACT.13.34	‘Nalibawa enkabi egituukiriire era eginambulaku kubuusabuusa,
ACT.13.34	ntyo ngʼowenasuubizire oDawudi.’ ”
ACT.13.35	Era, nʼomu Zabbuli egendi oDawudi akoba oKibbumba ati:
ACT.13.35	“ ‘Tiwaliganya omubiri gwʼoMweruwo okuvunda.’
ACT.13.36	“Omu ngeri yonayona, aanu oDawudi yabbaire tiyeetumulaku niiye onyere olwakubba iye oweyamalire okutuukirirya omulimo oKibbumba oguyamutegekeire okukola omu biseerabye, yafiire, omulambogwe ni baguliika awali amagombe gʼabazeizabe, era ni guvunda. 
ACT.13.37	Neye iye oyo oKibbumba oguyazuukizire amagino kadi kumulyaku.
ACT.13.38	“Nʼolwekyo boluganda inywe nywenanywena, mukitegeere muti okubitira mwekyo oYesu oyo ekiyakolere, ebibbibibbi byanywe bayezya okubibasoniya. 
ACT.13.39	Okubita mwiye, nabuli amwikiririryamu bamutoolaku omusango gwʼebyo byonabyona ebiyabbengere omu maiso ga Kibbumba, ekintu aMateeka ga Musa ekigakaire okutuuca oku muntu yenayena agaabiraku. 
ACT.13.40	Aale nʼolwekyo mwegendereze okutagaana obukwenda bwaiswe, kaisi tikyabatuukaku ekyo abanaabbi ekibawandiikire ngʼoKibbumba akoba ati:
ACT.13.41	‘Mwetege, inywe abambityamu amaiso.
ACT.13.41	Mwawuninkirira owemwabona ekinakola, era mwajigirika,
ACT.13.41	olwakubba omu biseera byanywe, njaba okukola ekikole ekyentiisya
ACT.13.41	ekimutalyezya kwikirirya muti kityo dala wekiri,
ACT.13.41	nʼowewalibbaawo agezyaku okubalonserya.’ ”
ACT.13.42	OPawulo nʼoBbalunaba owebamalire okutumula ebyo, ni bawuluka omwikumbaaniro. Abantu ni babasaba baire oku Saabbaato eiririraku beeyongere okubakobera ebibono ebyo. 
ACT.13.43	Era olukumbaana owerwasansukaine, bangi oku bakumbaaniranga awo, aBayudaaya nʼaBatali Bayudaaya ababbaire baingiire ediini yʼeKiyudaaya, ni basengererya oPawulo nʼoBbalunaba. Omu kulonsya nabo, oPawulo nʼoBbalunaba ni babasisiitira beekalangulire omu kwesiganga Kibbumba eyabakwatiire ekisa.
ACT.13.44	Oku Saabbaato eyaiririireku, kumpi ooti ekibuga kyonakyona kiweeyo, ni baiza okwikumbaaniro beezye okuwulisisyaku ekibono kya Kibbumba oPawulo nʼoBbalunaba ekibalaabba. 
ACT.13.45	Neye ibo abeekubbemberi bʼaBayudaaya owebaboine ekiziima kyʼabantu ekikwalaime awo, engongi ni gibakwata, ni batandiika okuzumiririra nʼokwakanisya ebyo oPawulo ebyakoba.
ACT.13.46	Neye ibo oPawulo nʼoBbalunaba ni bakala amaiso ni babairamu bati, “Kyabbaire kitwetaagisya tusooke tulaabbe ekibono kya Kibbumba eeri niinywe. Neye atyanu nga inywe abanyere owemukigaine era ni mwetwala ngʼabatasaaniire okusuna obwomi obutawaawo, swena tucuukire atyanu owasaya tumuteeka ku Batali Bayudaaya. Abo betubba tukobera obukwenda bunu. 
ACT.13.47	Nti ekinyere ekyo niikyo oMusengwa ekiyatulagiire okukola oweyakobere ati:
ACT.13.47	‘Nkulondere obbe ngʼekitangaala ekyaka nʼeeri aBatali Bayudaaya,
ACT.13.47	kaisi obbe kisinde omunabitira okutuuca eeri buli muntu aali oku kyalo,
ACT.13.47	obukwenda obukwata oku ngeri egibeezya okulokoka.’ ”
ACT.13.48	Ibo abantu aBatali Bayudaaya owebawuliire ebibono ebyo, ni baizula eisangaalo era ni bawuujanga ekibono kya Kibbumba ngʼowekiri ekisa eino. Era, abo bonabona oKibbumba abeyabbaire ategekeire okusuuka abaikirirya baikiririirye omu bukwenda obukwata oku Yesu, obubatuuca oku kusuna obwomi obutawaawo.
ACT.13.49	Ekibono kya Kibbumba ni kisaalaana omu kitundu kyʼekyalo ekyo mwonamwona. 
ACT.13.50	Neye abeekubbemberi bʼaBayudaaya, ni bacoolesya abamo oku basaiza abatyami bʼomu kibuga oomwo abakulu era abʼekitiisya aamo nʼabakali abatya oKibbumba era abafuma. Abamo kwabo ni bacoolesya abantu okuyiigaania oPawulo nʼoBbalunaba era ni bababbingirira okuzwa omu kitundu kyabwe. 
ACT.13.51	Nʼolwekyo, oPawulo nʼoBbalunaba niiye okwekunkumulyaku enkungu gyʼoku bigere byabwe ngʼakamanyiciryo akalaga okweyambulya enkolagana nʼabo abababbingire, batyo ni beeyabira omwIkoniya.
ACT.13.52	Ebyo nga biri awo, eenu abaikirirya ba Yesu ababbaire omwAntiyokiya ni beeyongeranga okwizula eisangaalo, oMwoyo oMweru nga wabawa amaani.
ACT.14.1	Nʼomu kibuga kyʼe Ikoniya yona, ngʼempisa yaabwe oweyabbaire, oPawulo nʼoBbalunaba ni baabanga omwikumbaaniro lyʼaBayudaaya, ni beegesya. Engeri egibeegesyangamu nʼokwikutya okwʼamaani okumalamu awulisisya akakunkuna, bangi ni baikiririrya omu Yesu, nga mulimu aBayudaaya nʼaBatali Bayudaaya. 
ACT.14.2	Neye abamo oku Bayudaaya, abo abagaine okwikiririrya omu Yesu, ni bacoolesya aBatali Bayudaaya nga babasigamu omwoyo omubbimubbi mbu bacaawe aboluganda abaikirirya bonabona. 
ACT.14.3	Nʼolwekyo, oPawulo nʼoBbalunaba ni batwalaku akaseera akeera nga bakaali bali aawo beegesya nga bakalukalu, ebizwa egiri oMusengwa. Era oMusengwa yena onyere nʼakakasanga ebyo ebibayegesyanga oku kisaakye ngʼabeezyesya okukola ebyewunyo nʼebyamagero.
ACT.14.4	Awo ni wabbaawo okwesalamu akati omu bʼomu kibuga, ebibbubbu bibiri. Abo ababbaire bagaine okwikirirya obukwenda bwʼabatume ni bawagira Bayudaaya, kaisi abo ababbaire babwikiriiryemu ni baikiriziganya nʼabatume. 
ACT.14.5	Empolyawolya, abamo oku bantu aBatali Bayudaaya ni bakwataganaku nʼaBayudaaya aamo nʼabafugi baabwe, ni batandiika okusala olukwe okuluja abatume babakubbe nʼokubakubba amabbaale. 
ACT.14.6	Neye ekyo abatume ni bakiwulira, batyo ni basodaka ni bairukira omu kitundu kyʼe Likawoniya, omuli ebibuga oLisitula nʼoDerubbe, omu beetyamiire paka nʼokweyongerayo nʼomu bitundu ebiriraine. 
ACT.14.7	Nga batambula, baabanga webalaabba aMawuliro aMasa eeri abantu.
ACT.14.8	Omu Lisitula mwabbairemu omusaiza omunialuuki wʼebigere, iye nga yabbaire atyo kuzwera nakimo omu bwibo, era nga tatambulangaku kasookeede bamubyala. 
ACT.14.9	Lumo, oPawulo oweyabbaire alaabba, omusaiza oyo nʼaiza awo nʼatyama, ni yeetega okuwulisisya oPawulo ebyakoba. OPawulo oweyamuboine, nʼamukaliryaku amaiso, nʼamubona nga muntu aali nʼokwikirirya ati oYesu ayezya okumulamya. 
ACT.14.10	Awo oPawulo nʼamwaminkirira ati, “Musaiza iwe, osetuke oyemerere!” Ananyere awo, omusaiza oyo nʼayalamuka nʼasetuka, nʼatandiika okutambula awo.
ACT.14.11	Ekiziima kyʼabantu ekyabbaire awo owekyaboine ekyo oPawulo ekyakolere, ni kitandiika okuceera nga bakobangana omu lutumu lwabwe oLwikoniyo bati, “Mama! Banu mazima tibantu-buntu. Ganu magasani niigo agaikire egituli omu kifaananyi kyʼabantu!” 
ACT.14.12	Era ni bawa oBbalunaba eriina bati Zeewo, eriina lya kabaka wʼamagasani gaabwe. Kaisi iye oPawulo ni bamwerula bati, Kalumi, eriina lya gasani waabwe omukwenda era omutumuli omukulu, engeri oPawulo egiyabbaire niiye omutumuli omukulu. 
ACT.14.13	Awo okabona eyaweereryanga oZeewo, ogasani onyere ekibbaali ekinene ekyabbaire okumpi kumpi aawo e nza wʼekibuga, nʼaiza oku geeti ekira obunene eingira omu kibuga. Yaleetere ente emasiniki nʼebimuli ebyokutimba abatume, nga iye nʼabantu bonabona ekibaliku bati bagisadaakire abatume okubawa ekitiisya.
ACT.14.14	Neye abatume, oBbalunaba nʼoPawulo owebategeire abantu ekibataka okukola, ni banyiira ebizwalo byabwe omu kwekankaba nga balaga ngʼowebakyakanisya. Ni bayalamuka okwaba egiri ekiziima kyʼabantu nga webabaasyamikira bati, 
ACT.14.15	“Bantu inywe, niki ekibaleetera okukola ekyo? Swena ngʼowemutubona tuli bantu-buntu ooti niinywe. Tubaleeteire aMawuliro aMasa, ngʼekitubakoba kiri kiti, muzwe oku kusinza ebyo ebifaananyi-obufaananyi ebinambulamu, mwire oku kusinza oKibbumba onyere obwomi, oyo eyakolere eigulu nʼekyalo, nʼenyanza, nʼebyo byonabyona ebibirimu.
ACT.14.16	Omu mirembe egyabitire, oKibbumba yalekanga abantu aBatali Bayudaaya okwemalira omu kuweererya amagasani ngʼowebeetakiryanga. 
ACT.14.17	Neye aate era, tiyalekanga okubeeragisya. Yakolanga buliijo ebintu ebisa ebiraga ngʼowaaliyo, era ngʼowaakaali akikola paka atyanu. Abatoonyeserya oikendi, nʼabawa nʼamakungula amasa buli mwanka. Asiimisya emyoyo gyanywe ngʼabawa ebyokulya era nʼeisangaalo.” 
ACT.14.18	Neye waire abatume beefudireku okutumula ebibono ebyo, babbaire bakaya okuloberya abantu abo okubasadaakira.
ACT.14.19	Oluzwanyuma, ni wabbaawo aBayudaaya abamo abazwire Antiyokiya nʼe Ikoniya ni batuuka omu Lisitula. Awo, ni bagaluca ebiseego byʼabantu era ni babacooleserya oku batume. Kale ni bakubba oPawulo amabbaale, ni bamukulukuusa okumuwuluca omu kibuga nga baseega bati afiire. 
ACT.14.20	Neye oluzwanyuma, abeegi ba Yesu ababbairewo ni baiza egibamudyakire, ni bamweruguulirirya. Nga bali aawo, oPawulo nʼasetuka, era batyo ni bakanga naye omu kibuga. Eizo waaku oPawulo nʼoBbalunaba ni basetula ni baaba e Derubbe.
ACT.14.21	Nga bali omu Derubbe, oPawulo nʼoBbalunaba ni balaabba obukwenda bwa Kibbumba eeri abantu baamu okumala enaku egyera, era ni basunira oYesu abeegi bangi. Oluzwanyuma, ni bakangayo omwAntiyokiya nga babitira omu Lisitula nʼomwIkoniya. 
ACT.14.22	Mu buli kibuga kwebyo egibatuukanga, nga bagumya abeegi ba Yesu emyoyo era ni babasisiitira beekalangulire omu kwikiririrya omu Yesu. Babakobanga bati, “Tuteekwa okukaanya ebigosi bingi kaisi twezye okwingira omu bwakabaka bwa Kibbumba.” 
ACT.14.23	Owebamalire, ni baabula abakaire mu buli kanisa, era akati omu kusinza oKibbumba nʼokusiiba, ni babakwatisya oMusengwa ibo bona abanyere ogubaikiriirye. 
ACT.14.24	Ebyo nga biwoire, oPawulo nʼoBbalunaba ni babitira omu Pisiidiya, ni baiguka omwitwale lyʼe Panfiriya. 
ACT.14.25	Awo ni balaabba obukwenda bwa Kibbumba eeri abantu bʼomu kabuga kʼe Peruga, era owebamalire ni baserengeta oku mwalo ogwʼAtaliya.
ACT.14.26	Okuzwa Ataliya, ni bakwata eryato, ni baseeyeya okwirayo omu kibuga Antiyokiya, abanaabwe egibabakwatisiirye oKibbumba ababbeere omu mulimo gunu atyanu ogubamaliriirye. 
ACT.14.27	Nga batuukire omwAntiyokiya, ni beeta olukumbaana olwʼekanisa, ni babalonserya byonabyona oKibbumba ebiyabeezeserye okukola. Era, ni babakobera ngʼoKibbumba oweyabbaire awaire nʼabantu aBatali Bayudaaya enkabi okwikiririrya omu Yesu. 
ACT.14.28	Era, oPawulo nʼoBbalunaba ni bamala omwAntiyokiya awo eibbanga eryera nga bali nʼabasengereri ba Yesu abʼomu kibuga ekyo.
ACT.15.1	Awo ni wabbaawo abantu abamo abazwire omwitwale lyʼe Buyudaaya ni baiza omwAntiyokiya, ni batandiika okwaba nga beegesya aboluganda bati, “Okutoolaku nga inywe aBatali Bayudaaya nywena babakomoire ngʼeiteeka lya naabbi Musa oweriragira, oKibbumba tayezya kubalokola.”
ACT.15.2	Ekyo ni kireetawo oPawulo nʼoBbalunaba okwakana okwʼamaani nabo. Okumala empaka, ni basalawo bati oPawulo nʼoBbalunaba, nʼabamo oku baikirirya abʼomwAntiyokiya nga babeerekaku, baabe e Yerusaalemi egiri abatume nʼabakaire bʼekanisa babeebuulyeku oku nsonga eyo. 
ACT.15.3	Oluzwanyuma lwʼabʼekanisa yʼomu Foinisiya okusibirira oPawulo nʼoBbalunaba ebintu ebibeetaaga omu lugendo lwabwe, ni babaseebula. Kale ni babitira omu kyalo kyʼe Bufoiniiki, nʼomu Samaaliya. Baabanga bacaalira ekanisa yʼomu bitundu ebyo, nga webabakoberaku nga nʼaBatali Bayudaaya owebali kucuuka ni baira eeri oKibbumba. Aboluganda abo owebawuliire ebyo, ni baizula eisangaalo eribitiriri. 
ACT.15.4	Owebatuuka e Yerusaalemi, abʼekanisa aamo nʼabatume nʼabakaire bʼekanisa ni babasangaalira. OPawulo nʼoBbalunaba ni babalonserya byonabyona oKibbumba ebiyabbaire abeezyeserye okukola.
ACT.15.5	Awo abamo oku Bayudaaya ababbaire bʼomu kibbula kyʼaBafalisaayo neye nga bona baikirirya ba Yesu ni basetuka ni bakoba bati, “Abantu aBatali Bayudaaya kibeetaagisya okubakomola era nʼokubalagira okukwatanga aMateeka ga Musa.”
ACT.15.6	Okugolola ensonga eyo abatume nʼabakaire bʼekanisa ni bakubba olukiiko. 
ACT.15.7	Okuteeserera oku nsonga eyo owekwabiriire neye nga mpaawo ekituuce ekibaikiriziganyaku, oPeetero nʼasetuka nʼabakoba ati, “Boluganda, nywena abanyere mukimaite ngʼe nyumaku eedi oKibbumba oweyannonderemu mwinywe ati ndaabbe aMawuliro aMasa eeri aBatali Bayudaaya, bona beezye okwikiririrya omu Yesu.
ACT.15.8	Era oKibbumba, iye amaite ebiri omu mwoyo gwa buli muntu, okukikakasa nga bona owabasiima, yabawaire oMwoyo oMweru dala ngʼoweyamutuwaire iswe aBayudaaya.
ACT.15.9	Ekikoba kiti, tiyalagire enjabulo akati waiswe nabo olwakubba bona ebibbibibbi byabwe yabibasoniyire lwʼokwikirirya mu Yesu. 
ACT.15.10	Aale atyanu bainange, lwaki mwendererya oKibbumba nga mugereka oku baikirirya aBatali Bayudaaya ekijooko kyʼaMateeka ekyatukaire iswe abanyere naabba abazeiza baiswe okukwata ni tugatuukirirya? 
ACT.15.11	Tikiri nʼokubba kityo! Iswe ngʼowetwikirirya tuti tulokoka lwʼekisa kya Musengwa waiswe oYesu, kityo wekiri nʼeeri ibo bona.”
ACT.15.12	Awo bonabona ababbaire bakumbaine omu lukiiko ni basirika okuwulisisya oPawulo nʼoBbalunaba nga babalonserya ebyewunyo nʼebyamagero oKibbumba ebiyabbaire abeezyeserye okukola omu bantu aBatali Bayudaaya. 
ACT.15.13	Owebamalire okutumula, oYaakobbo, oyo nga yabbaire moiza oku batume abakulu, nʼakoba ati, “Boluganda, kaade mumpulisisyeku. 
ACT.15.14	OSimooni atusonzoleire engeri oKibbumba omu kusookesya eedi oweyalagire okulumirwa abantu aBatali Bayudaaya oweyabalonderemu abamo kwibo okubba ababe nakimo. 
ACT.15.15	Ekyo kikwatagana kusani ino nʼekyo ekiri omu Biwandiike byʼabanaabbi ekikoba kiti oKibbumba ati waakoba:
ACT.15.16	‘Egibwizaku eeyo, naliira
ACT.15.16	ni njiryawo buyaaka obwakabaka bwa Dawudi obwagwire.
ACT.15.16	Ngʼowoobona owebairamu okwombeka enyumba
ACT.15.16	eyabbaire esensemukire nʼegwa
ACT.15.16	neye ni bagiiryawo buyaaka,
ACT.15.16	ntyo wenalibwiryawo.
ACT.15.17	Awo kaisi abantu bonabona abasigairekuuwo,
ACT.15.17	aamo nʼaBatali Bayudaaya abenalonderemu okubba abantu bange
ACT.15.17	basunenge enyonta yʼokuntwalanga ngʼoMusengwa waabwe.
ACT.15.17	Atyo oMusengwa, iye eyagirire ebintu ebyo
ACT.15.18	ni babimanya okuzwa eira nʼeira, waakoba.’ ”
ACT.15.19	OYaakobbo ni yeeyongerayo ati, “Nʼolwekyo, nze embona eyange eri nti tuleke okugosiyisirya aBatali Bayudaaya okucuuka okwira eeri oKibbumba nga tubapaatiikaku nʼaMateeka nʼobulombolombo bwa Musa. 
ACT.15.20	Wazira ekitubba tukola, tubawandiikire bbaluwa tubakobe bazire okulyanga ekintu kyonakyona ekibawongere eeri ebifaananyi, beewale nʼobulendi, era balekeraawo okulyanga ebisolo ebibamyedere-obumyedi ooba okulya osuudo.
ACT.15.21	Ekyo kityo olwakubba ebyo niibyo ebintu ebikulu omu Mateeka oMusa ageyawandiikire, era nenca ebibeegesya mu buli kibuga era okuzwa eira nʼeira ebibasoma omu makumbaaniro buli ku Saabbaato.”
ACT.15.22	Nʼolwekyo, abatume nʼabakaire, aamo nʼekanisa yonayona ni basalawo beerondemu abakwenda babatume omwAntiyokiya, aamo nʼoPawulo nʼoBbalunaba. Kale ni balonda oYuda abandi ogubeeta oBbalusabba nʼoSiira, ngʼabo babbaire basaiza beekubbemberi omu boluganda abanaabwe. 
ACT.15.23	Olukiiko ni lukwatisya abakwenda abo ebbaluwa ekoba eti:
ACT.15.23	Iswe aboluganda abanaanywe, abatume aamo nʼabakaire bʼekanisa, tubawandiikira inywe aboluganda aBatali Bayudaaya abali omu kibuga Antiyokiya, nʼokutwalirya aamo omu matwale gʼe Siiriya nʼe Sirisiya. Tubasugiirye ino.
ACT.15.24	Tubuliire nambu waliyo abamo mwiswe abaizire eeyo anambula kusuna lukusa okuzwa egituli, ni batumula ebibono ebyabatabwiretabwire era ni bibaleyerya ebiseego. 
ACT.15.25	Kagira owetubbaire omu lukiiko, tutuukire oku kwikirizaganya tuti tulonde abakwenda tubatume egimuli. Baiza nʼabatake baiswe oBbalunaba nʼoPawulo, 
ACT.15.26	abasaiza abanandi batya okuteeka obwomi bwabwe oku weenene olwʼokuweererya oMusengwa waiswe oYesu Kurisito. 
ACT.15.27	Ngonu tusindikire oYuda nʼoSiira egimuli babakakase maiso ku maiso binu ebitubawandikiire inywe.
ACT.15.28	OMwoyo oMweru, era na iswe swena tukiboine nga niikyo ekisaaniire okutabagosiyirira nga tubagerekaku ekyetaagisya ekindi kyonakyona okutoolaku ebyo omwikirirya ebyateezya kulekerera. 
ACT.15.29	Mu binu niimwo omuli: Okuzirira nakimo okulyanga ebyokulya ebibawongeire amagasani, nʼeisaaye, nʼenyama yʼebisolo ebibatasalireku, kwebyo oteekeku nʼobulendi. Singa mwaleka ebintu ebyo, mwabba mwebitya mu ngeri esaaniire. Aale mweraba.
ACT.15.30	Awo abʼekanisa ni baseebula abakwenda abo, bona ni basetula okwaba omwAntiyokiya. Owebatuukire, ni bakumbaania ekanisa yʼoomwo, ni babakwatisya ebbaluwa. 
ACT.15.31	Abaikirirya bʼomwAntiyokiya owebasomere ebbaluwa eyo, obukwenda obwagibbairemu ni bubairyamu amaani, ni baizula eisangaalo. 
ACT.15.32	Awo oYuda nʼoSiira, abo bonabona nga babbaire nʼekirabo kyʼobunaabbi, ni batumula ebibono bingi eeri aboluganda okubairyamu amaani nʼokubagumya emyoyo. 
ACT.15.33	Oluzwanyuma lwʼakabbanga akeera, aboluganda abʼomwAntiyokiya ni baseebula oYuda nʼoSiira okwirayo e Yerusaalemi egiri ababatumire, nga babatakirya enkabi nʼeidembe. [
ACT.15.34	Neye oSiira iye nʼasalawo okusigala omwAntiyokiya, nʼolwekyo oYuda nʼakanga yenkani].
ACT.15.35	Ibo oPawulo nʼoBbalunaba bona ababbaire basigaire omwAntiyokiya aamo nʼabanaabwe abandi, ni balaabba aamo nʼokwegesya abantu ekibono kya Musengwa.
ACT.15.36	Lumo, awo nga wabitirekuuwo eibbanga eryera, oPawulo nʼakoba oBbalunaba ati, “Twirekuuyo mu buli kibuga egitwalaabbire ekibono kya Musengwa tulambuuleku aboluganda, tubone embeera egibalimu.”
ACT.15.37	OBbalunaba oweyaikiriirye, omu kusetula nʼataka ati baabe nʼoYokaana, oyo ogubeetanga erindi bati Maako. 
ACT.15.38	Neye ekyo ekyʼokwaba nʼomuntu eyabeekutwireku nʼabaleka omu Panfiriya, oPawulo iye nʼatakisiima.
ACT.15.39	Nʼolwekyo, ni wabbaawo okwakana okwʼamaani akati waabwe. Era owebakayire okwikirizagana, ni baawukana. Atyo oBbalunaba nʼatwala oMaako, ni baniina omu lyato, ni baaba oku kizinga e Kupulo. 
ACT.15.40	OPawulo iye nʼalonda oSiira, bona ni basetula ngʼaboluganda bamalire okubasabira okubakwatisya oKibbumba ababbeere omu lugendo lwabwe. 
ACT.15.41	Ababiri abo ni babitabita omu byalo byʼe Siiriya nʼe Sirisiya, nga baaba bagumya emyoyo gyʼabʼekanisa.
ACT.16.1	Awo oPawulo nʼabainaye ni batuuka omu kibuga kyʼe Derubbe, era ni beeyongerayo e Lisitula. Omu Lisitula mwabbairemu omusengereri wa Yesu eriinalye bati Temuseewo. Omaaye wa Temuseewo oyo yabbaire Namuyudaaya era omwikirirya wa Kurisito, neye oiteeye iye nga Muyonaani. 
ACT.16.2	Aboluganda abʼomu Lisitula nʼomwIkoniya bonabona babbaire ngʼebibatumula oku oTemuseewo oyo bisa byereere. 
ACT.16.3	Kale oPawulo nʼakoba oTemuseewo ati ayabe naye omu lugendolwe. Nʼolwekyo, engeri oTemuseewo egiyabbaire timukomole, oPawulo nʼamukomola demba aBayudaaya abʼomu kitundu ekyo ni bagaana okubawuliriramu olwakubba bonabona babbaire bakimaite ngʼoiteeye wa Temuseewo oweyabbaire Muyonaani. 
ACT.16.4	Baabanga babitabita omu bibuga, nga webakalaatira abaikirirya okukwata ebyo abatume nʼabakaire bʼekanisa yʼomu Yerusaalemi ebibabbaire basalirewo bati abaikirirya baabirengeku. 
ACT.16.5	Nʼomu ngeri eyo, abʼomu makanisa ni bakalangukira omu kwikirirya, era ababeeyungangaku ni beeyongerangaku obungi nabuli olwacanga.
ACT.16.6	Awo oPawulo nʼabainaye, ngʼoMwoyo oMweru tabaganyire okulaabba ekibono kya Kibbumba omwitwale lyʼAsiya, ni babitabita omu kitundu ekitwaliryamu e Furigiya nʼe Galatiya okumalaku. 
ACT.16.7	Owebatuuka oku nsalo wʼeisaza lyʼe Maisiya eriri oku nsalo lyʼeitwale lyʼe Bbisiiniya, ni bagezyaku bati baingire omu Bbisiiniya, neye oMwoyo wa Yesu nʼatabaganya oku kingiramu. 
ACT.16.8	Nʼolwekyo ni baira basalaagalirya mu Maisiya, ni baserengeta oku mwalo e Tulowaasi. 
ACT.16.9	Omu kiire, oPawulo nʼasuna okwolesebwa. Oomwo oPawulo nʼabona omusaiza azwera e Makedooniya ngʼayemereire amwegairira ati, “Neso owoizaku e Makedooniya nʼotubbeera.” 
ACT.16.10	OPawulo oweyasagamukire okuzwa omu kubona okwo nʼatukobera, titwasibiremu. Amangu ago ni twetegeka okwaba e Makedooniya olwakubba twabbaire tumalire okukitegeera tuti oKibbumba atulagiire twabe tulaabbe eeri abaayo aMawuliro aMasa.
ACT.16.11	Okuzwa e Tulowaasi, twakwaite lyato ni tuseyeeya buterembereri paka ku kizinga e Samosireesi ni tugona awo. Kaisi olunaku olwairireku ni tutuuka omu kibuga e Neyapooli. 
ACT.16.12	Okuzwa awo, twabitiire kwitakali paka Firipi, ekibuga ekikulu omu kitundu kyʼe Makedooniya, era eitwale lyʼaBalooma. Awo ni tumalawo enaku egyeraku.
ACT.16.13	Oku Saabbaato, ni tuwulukaku omu kibuga, ni twaba oku mbale mbale kwʼomwiga egitwabbaire tusuubira okwaja ekifo abantu egibakumbaanira okusaba oKibbumba. Owetwatuukireyo, ni tutyama ni tutandiika okulonsyamu nʼabakali ababbaire bakumbaaniire awo okusinza. 
