MAT.1.1	Buk towen waseg delen Yeisuw Kelis, tabun kweiboug Deibid, kweiboug tonen tabun Ebelam.
ACT.19.23	Misiya̱mun towen, gamaga babaw inoyes Yeisuw inaked, mapuna ven towen Epesos gimgilis mo ilivatus moumouvita singay.
ACT.19.24	E, takatanak teitan yagan Dimitil, mtowen tawtelein didawag silib, ibwabubs sen nagamag; biyakousis, mo bimeis gamaga babaw bigimwals; bikawes binawes va̱gan simeg bidagis wanuwan didawag towen; imgamegs silma̱nin siyowbad na̱tan yagan Dayan, va̱gan kid bilabes. Didawag tasiyas singay kawkwa̱vek mayses.
ACT.19.25	O gamag babaw inganegs Pawl anilivan, mo ipiyaves meg silma̱nin na̱wen Dayan; mapuna Dimitil idawes nagamag sisiyas takatanaks babaw; ikatuyouns imeis, Dimitil mo iliwon; ilana, “Tawaw, kukwakins dawotets towen waseg kads taba̱nes va̱gan bitakams.
ACT.19.26	“O kukwakins Epesos gimgilis, o gimgilis ven tasiyas Esiy wawnuwan, bo iliganes aygan Pawl, mo ipiyaves adgeileiws tatoneids, peinan Pawl anilivan ma̱wana, ‘Yowbad tasiyas kubunis wanimamiy, yowbad tobwag tasiyas.’
ACT.19.27	“Adok tut kalbaleb bitalivatus; peinan gamag bipiyaves Dayan navavag tasiyas tabunins; o dayowbads avakaein na̱wen bidokes tobwag yowbad, bipiyaves kid nabunatum; mo biyakous yakawanan mana̱wen Dayan. Bo igak, peinan babaw ya̱kids takululs-wan wamatan Dayan, min-Esiy ya̱kids, o gimgilis vena babaw wadaban pwepway.”
ACT.19.28	Iliganes, mo ikavikuns avakaein, iwkuwaks, ilansa, “Min-Epesos ya̱kids dayowbads Dayan, mana̱wen singay natawtoun.”
ACT.19.29	Wankuyeim gamaga babaw ven towen waseg mo isilamaws wak, makava ikawna̱weins, mamagina takabala̱weins tasiyas. Wankuyeim babaw gamag mo isawls, iyousis min-Masidoniy tasiyas Gayus son Alistak, mo ibiteilis inawes buntuman kaleiwag waseg. Kweiboug tasiyas sisiy Pawl nimeis wa̱ked.
ACT.19.30	Pawl sivinan beisiw bein buntuman kaleiwag wanuwan, tage tayakelesiys bo isilbwades.
ACT.19.31	Tasiyas guyawun Esiy mwasanin, kweiboug-o nisiwa̱youbs waseg Pawl, tasiyas mo ikayabes sigamag va̱gan kid bidibakes Pawl, ilansa, “Awoum ya̱koum bukun buntuman kaleiwag wanuwan; awoum!”
ACT.19.32	Gamag babaw, asilivan kweitan kweitan iwkuwaks, ta-kal biligen; o babaw gamag nag ikakins aveiyag wawun ikatuyouns nimeis, iwkuwaksa mav.
ACT.19.33	Min-Yudiy mo idibakes Alekisan, ilansa, “Kulivan va̱gan babaw gamag bikakins yakamey ta-ivag silawun sinap towen;” gamag babaw mo iyabinis towen Alekisan, in wamtes gamag babaw, itamnow naman va̱gan bika̱pays, mo bilivan.
ACT.19.34	Gamaga babaw ikakins gum-Yudiy towen, mo iwaks, ages ikobobt-wan, akweiy veit waseg iwkuwaks, ilansa, “Min-Epesos ya̱kids daguyaws Dayan, mana̱wen singay natawtoun.”
ACT.19.35	Tanuwagan ven isap, mo ikatitun sikawnawein, ilana, “Min-Epesos yakamiy, vena babaw gimgilis ikakinsa davanuys bulagan peinan ya̱kids tamtakavateins nabunatum dayowbads avakaein Dayan, sona nadakul nises, kweiboug-o meinoy neim liba̱lab nikalivatow neim watinow.
ACT.19.36	“Peinan youd tasiyas mounid, nag kadilok teitan gamag bisen kweitan livan, nag. E, kadilokena kukwa̱pays kusesus, peinan nag aveiyag bivag, nag. Awoum kuwkuwaks, o kwawnaweinsa mav, awoum.
ACT.19.37	“Gamag tasiyas nukumeyes nag ineis iveinaws Dayan wanbunatum; nag ivtokes livan dayowbads mana̱wen, nag.
ACT.19.38	“Magat Dimitil sivinan biyatel teitan gamag, o magat takatanaks yakamiy simiy Dimitil sivnamiy bukuyateles teitan gamag, ya̱tal nises, o gabman nisesus; kadiloka bukuyateles simiy, gabman mo bikaleiwags.
ACT.19.39	“Kukin bika̱bwag sikaleiwag tasiyas gabmans, igaw tutan gamag babaw bikatuyouns bimeis, mo babawa gamag bikaleiwags sinap towen silma̱nin.
ACT.19.40	“Nag ivag silawun sinap towen nagein kwawnaweinsa mav. Magat daguyaws avakaein biligen, mo bikatiga̱neids, nag kweitan livan nises waseg ya̱kids va̱gan bitakatimapus anilivan; moumouvit mo bitalivatus. Kadiloka kunounas kuneis wamibunatum tatineimiy.” Iliganes, mo inounas, ineis wasibunatum. 
ACT.19.41	(-)
ACT.20.1	Bo iyakousis asisinap to nikawnaweins mav; nag ivag kweitan kawnawein, nag ivag kweitan tamwa̱geg, nag. Bo ikous. Pawl mo idawes ven towen tayakelesiys-nen, iguyes tasiyas, imulouls siney, mo inoun in Masidoniy.
ACT.20.2	Ita̱vin ven tasiyas Masidoniy wawnuwan; anilivan babaw igeiguy wasigeis, mo inoun in Gilis.
ACT.20.3+ACT.20.4	Isesuna ee... kweitoun tibukon, min-Yudiy mo asisinap ikatilawos sivines kid beiweiys Pawl. Misiya̱mun towen Pawl nanon ivag bo beikuk bein Siliy; mo iligen liva̱nen asisinap kalbaleb, mapuna ikanavin nanon, mo inounas wa̱ked, ikanapels Masidoniy, siney gum-Beloy teitan, Pilos natun yagan Sopetal, sisiy min-Tesalonik asteiy, Alisitak son Sikanid; sisiyas gum-Da̱biy yagan Gayus son Timotiy, sisiyas min-Esiy tasiyas Tikikos son Tilopim.
ACT.20.5	Tasiyas imgwayemas, mo ikaymatemas ven Tilowas waseg.
ACT.20.6	Ikous sagal to nag bitakams bled son yist, mo ka̱touw ven Pilipay waseg, ka̱kuk ee... yam kweinim ikous mo ka̱lug Tilowas, mo kanekes tasiyas; kases simayas katanok wik.
ACT.20.7	Wik kweitan nakabsilamaw, Sa̱bat waseg, kakatuyoun nakam, va̱gan bakakiv bled baka̱kam, ma̱wan Yeisuw nakaleiwag. Pawl mo iguyes tasiyas; o peinan bo binoun nubweig, singay iveiyov anilivan wasigeis tasiyas.
ACT.20.8	Mabunatum wanakaew, o imalamp babaw wabunatum towen.
ACT.20.9	Watapwan boug, Pawl igawa illivan; tawlat teitan yagan Yutikos isin wasinta̱boul, matan inanup; o Pawl igawa illivan, taw towen imasis kangagay, mo ikalouw bunatum kastounun waseg, in watinow. Gamag ineis watinow, ikines imasis, inupes bo imat.
ACT.20.10	Pawl ibus, ibasin kitatun, mo iwliboub wa̱won taw towen, ilivan, idibakes gamag, ilana, “Awoum bigeg ninoumiy; mwamovan nises.”
ACT.20.11+ACT.20.12	Pawl imwen in wanakaew, sinsiney mo ikivis bled ikams, illivans ee... walalayis mo inoun in. Gwad towen itokes inawes wanbunatum, imwa̱saws seikwan, peinan sona mwamovan.
ACT.20.13	Yakamey nakan naka̱touw wa̱wag, naka̱kuk silma̱nin Asos va̱gan bakakayamat Pawl ven towen waseg; towen gog sivinan kid beinoy wa̱ked, o nidibakem ma̱wan.
ACT.20.14	E, imekem Asos waseg, simey towen naka̱kuk nakan Mitilin.
ACT.20.15	Neiyam nen mo ka̱kuk kan Kiyos walasin; neiyam nen mo kasap Samos; neiyam nen mo ka̱lug Milit.
ACT.20.16	Nakakalipouy Epesos peinan nanon Pawl bo ma̱wan; nag ivag sivinan yam babaw bisesuna Esiy, ikatima̱mal nuwanaw kid bisap Yelusalem, silma̱nin Kaltuwon anayam mo bilouvat Yelusalem waseg.
ACT.20.17	Ven Milit waseg Pawl idawes min-Epesos tayakelesiys situwa̱veks bimeis.
ACT.20.18	Isaps mo idibakes mamagina, “Kukwakinsa agusinap tuta babaw nases wasigeis yakamiy. Wanmugwana asap Esiy waseg nukukineigs ee... bweilima babaw agusinap bo ma̱wan-wan.
ACT.20.19	“Nawwotet daGuyaws nawotet, ta-akaypom sinap; tut babaw nanoug igeg, navva̱lam-wan, o min-Yudiy tut babaw biyagageigs kid, a̱bag niva̱ges singaya igeg.
ACT.20.20	“Nag akayus agulivan wasigeis yakamiy, nag. Ivag sivinag balabeimiy; babaw bo asekeimiy, bo akatimlakeimiy buntuman tapwa̱loul waseg o wamibunatum-vak tatineimiy.
ACT.20.21	“O min-Yudiy bo adibakeimiy, o mina-Gilis bo adibakeimiy, alana, ‘Kadiloka bikanavin ninoumiy, bukunekes Yowbad, o bukusimounids daGuyaws Yeisuw waseg.’
ACT.20.22+ACT.20.23	“Tut gog towen Yowbad Kululuwan bo isimkineig ban kid Yelusalem. Nag akakin aveiyag balouvat ven towen waseg; deisa vena babaw wasigeis Kululuwan Towen Bwanabwein ikatimlakeig a̱bag bo bigeg, o bisenags wa̱deil ven to Yelusalem waseg.’
ACT.20.24	“O peinan daGuyaws Yeisuw nawotet bo isekeig gunawotet towen, akokew kid liva̱nen nasiwa̱youb Yowbad, bassekes kid gamag babaw wasigeis; o nag akayus mwamovag tatoneig; deisa bayakous Yeisuw nawotet towen.
ACT.20.25	“Kweiboug-o nageiguy aguyeimiy liva̱nen Yowbad nakaleiwag; o nagein gog kamnat akakin-wan nag vayuwein ba̱yum bam bukukines magig, nag.
ACT.20.26+ACT.20.27	“Nagein adibakeimiy mounid bo asekeimiy Yowbad anilivan va̱gan biymoveimiy; nag kweitan akayus, nag akawum, nag. Kukin kavel yak bukupiyev, mo bukukwanig; takaleiwag ya̱koum.
ACT.20.28	“Kuvna̱seimiy yakamiy, o kuvna̱ses Yowbad nagamags, Kululuwan Towen Bwanabwein nisekeimiy miwotet va̱gan kid bukumtakavates tasiyas; kadiloka kumtakavates Yowbad alen mamagina tayakelesiys tasiyas, peinan bo iyamayises tasiyas buya̱vin tonen waseg.
ACT.20.29	“Yey bo banoun; akakin-wan takalbalebs mwasanin igaw mo biweis wasigeis yakamiy; biyagages tayakelesiys; o tasiyas magina awuk bulawud, bikapasal nuwes bikananeiys; o tayakelesiys magina sip, mamagina awuk bulawud bigades, bikatimates.
ACT.20.30	“Akakin mwasanin gamag yakamiy igaw bukutamanaws, bukwatidavis tayakelesiys mwasanin, va̱gan kid bikabkunimiy yakamiy.
ACT.20.31	“Kadiloka kuvna̱seimiy. Kununuways-wan kweitoun bweilim nases wasigeis yakamiy, adibakeimiy, aguyeimiy katanok katanok yakamiy; iwta̱wout mitinagig, yam katanok katanok waseg, o boug katanok katanok waseg.
ACT.20.32	“Tut towen nagein kadilok Yowbad bimtakavateimiy, kadiloka kuliganes liva̱nen nasiwa̱youb wasigeis yakamiy, mo bikatimweis kululuwamiy, bikayuseimiy simiyas yakamey, angamag tonen babaw ya̱kids.
ACT.20.33	“Kweiboug simiy yey nitasesus, nag apwa̱kit soug namoney o anakweim o nawliyoug; nag.
ACT.20.34	“Kukwakinsa wanamag tatoneig nawtel silma̱nin kag o gunavavag, o bo awotet va̱gan bagimwel sigwey sivavag o kaeis tatineis.
ACT.20.35	“Agusinap towen waseg, bo akatimlakeimiy va̱gan kid bukukwakins bweina bitawotets ma̱wan, va̱gan bitalabes sidayas tasiyas tougweys. Kadiloka kid taninuways daGuyaws Yeisuw anilivan mamagina, ‘Soum bisiwyoubum mo bukumwa̱saw; tage bukusiwyoub soum bukumwa̱saw singay avakaein.’”
ACT.20.36	Illivan ikous, mo ikululs siney tasiyas, initoug Yowbad waseg.
ACT.20.37+ACT.20.38	Ikous, mo iva̱lams asibabaw-wan, iwliboubs Pawl wa̱won, imulouls sisiy. Iva̱lams avakaein peinan anilivan Pawl mamagina, “Nag yamtan yam bukukines magig, nag.”
ACT.20.37+ACT.20.38	Igawa ivva̱lams mo sisiy Pawl ineis wa̱wag.
ACT.21.1	Pawl itouw wa̱wag, mo itanouy sineyas wasigeis. Yakamey katanouy, ikous, ka̱kuk, kadumwala Kos. Neiyam nen, mo kan Lods; kakilev Lods mo kan Patal.
ACT.21.2	Ven Patal waseg mo kaban wag akitan, kakita bikilev silma̱nin Pinisiy, mapuna ka̱touw mo ka̱kuk.
ACT.21.3	Ka̱kuk kasisawl ee... mo kaban ven Saypilos, inoy wamakimaw, kasawl mo kan Siliy, ka̱lug ven yagan Ta̱yil va̱gan wuliyoug babaw wa̱wag beibus bein wanakaew.
ACT.21.4	Kanineiv tayakelesiys, kaban mwasanin, mo kasesuna simayas tasiyas katanok wik; o peinan Yowbad Kululuwan ikatimlakes, ikakins-wan igaw min-Yelusalem biyagages kid Pawl, mapuna illivans, “Awoum kun Yelusalem.”
ACT.21.5+ACT.21.6	Bo ikous matut simayas tasiyas mo katamanaw kanoun. O simayas tasiyas, sisiyas sikwavas o nitsiyas, nakan watoulan ven, kabasin kititum wakawalaw kanitoug Yowbad waseg, mo kamuloul simsimeyas tasiyas, ka̱touw wa̱wag, mo katanouy; tasiyas mo iyums ineis wasiven.
ACT.21.7	Kakilev Ta̱yil kasisawl ee... mo ka̱lug Pitolimey, kanekes tayakelesiys, kamuloul simayas tasiyas, kases-vak wasibunatum katanok yam.
ACT.21.8	Neiyam nen nakatanouy nakaw Sisaliy, mo ka̱siw Pilip wanbunatum, anbwabwal yakamey. Mtowen Pilip nawotet igeiguy-wan livan bwanabwein, liva̱nen Yeisuw. Kweiboug-o takaweins liva̱nen Yeisuw nisekes siwotet towen siney tawaw teinim tatanok, ven Yelusalem waseg.
ACT.21.9	Nitun nakubukwabs na̱nim nay; Yowbad nisekes asisinap, mo ilivnakes Yowbad anilivan.
ACT.21.10+ACT.21.11	Kasesun ee... bo imwemway-nen, teitan palopit meinoy neim Yudiy; mtowen yagan Agabous, imekem mo ikow Pawl anpalit iyawen naman o kaken tatonen; ilana, “Yowbad Kululuwan ilivan ma̱wana: Ven Yelusalem waseg min-Yudiy biyawanis naman o kaken tanuwagan palit towen, bisilkodes va̱gan kid tobwag ven gimgilis mo biyagages.”
ACT.21.12	Kaligen anilivan ma̱wan; simayas tasiyas misikena gimgilis ven towen; yakamey mo kadibek Pawl; kalana, “Awoum kun Yelusalem; bweina kuses.”
ACT.21.13	Pawl mo ikatimop agem, ilana, “Awoum kuva̱lams; ma̱wan bo bigeg nanoug. Nanoug bo atam va̱gan kid tasiyas biyagageigs, daGuyaws Yeisuw peinan. Bweina biyousigs; bweina bikatimateigs; bwein-wan.”
ACT.21.14	Tage Pawl nag biligen amalivan, mapuna kasesun-wan, kalana, “Magat Yowbad nanon ma̱wan, bweina bivag.”
ACT.21.15+ACT.21.16	Ikous, mo kakatunag bakan Yelusalem, simayas tasiyas min-Sisaliy tayakelesiys mwasinis. Tasiyas imgwayemas nakan Mineson wanbunatum, kamasis. Mtowen gum-Saypilos, wanmugwana niligen liva̱nen Yeisuw.
ACT.21.17	Nakasap Yelusalem, tayakelesiys mo ikinemas, singaya imwa̱saws pinem.
ACT.21.18	Neiyam nen simey Pawl mo kanekes Yemes siney tayakelesiys situwa̱veksa babaw.
ACT.21.19	Pawl imulouls siney tasiyas ikous, mo ikamtel youd katanok katanok Yowbad niwtel tobwag ven gimgilis wasigeis, peinan Yowbad son Pawl niwteles wotet towen.
ACT.21.20	Iliganes, iya̱kawns Yowbad waseg, mo idibakes Pawl; ilansa, “Gwade, adok kukwakin min-Yudiy singay babaw tawsans bo niliganes liva̱nen Yeisuw; tasiyas babaw-wan ivna̱ses bwein Moses nakaleiwag waseg.
ACT.21.21	“Bo niliganes liva̱neim mamagina, ‘Towen Pawl ipiyev Moses nakaleiwag, o ikatimlakes min-Yudiy vena babaw wadaban pwepway, va̱gan nag bibwabwes momwes nitsiyas, o bipiyaves kid adsinaps kweiboug Moses nisekeids.’
ACT.21.22	“Ama̱wan bitavkek? Peinan bo biliganes liva̱neim yak, mwana nukum Yelusalem waseg.
ACT.21.23+ACT.21.24	“Adok kuvag ma̱wan. Tawaw tayakelesiys simayas teivas nisesus; peinan asilivan waseg Yowbad, kakita bo biduyes kunus mo bisiwa̱youbs Yowbad waseg, ma̱wan Moses nakaleiwag. Kadiloka kunekes simwey tasiyas, kuwidis woumiy, money kusekes va̱gan beiluns beibwein Yowbad waseg, mo biduyes kunus tasiyas. Gamag babaw bikineimiy simwey tasiyas, mo bikakins liva̱neim to niliganes kweiboug iyyaweids-wan, peinan nukutam Moses nakaleiwag waseg, o kuvnas nakaleiwag towen.
ACT.21.25	“Makaleiwag wasigeis tobwag ven gimgilis, kalisiy isimounids waseg Yeisuw, nakalel silet nein wasigeis tasiyas, nakakaleiwag va̱gan kid bipiyaves kan nimgwavis silma̱nin tobwag yowbad, o buyav, o viniyonan man bo niskwen kayon neimat nanawan; o nag bikanavays mav.”
ACT.21.26	Pawl iligen, itam. Neiyam nen itokes gamag tasiyas, iwidis wous, mo isiw Yowbad wanbunatum, Pawl mo idibek tanuwagan lun; ilana, “Yakamey amalivan Yowbad waseg; yam tasiyas beikous bakaduy kunum, bo baka̱lun Yowbad waseg, ma̱wan Moses nakaleiwag.”
ACT.21.27+ACT.21.28	Asiwik kakita beikous, Pawl sen tawaw tasiyas nisesus Yowbad wanbunatum; min-Yudiy siven Esiy waseg mo ikines, ika̱buts gamaga babaw, iyousis Pawl; iwkuwaks; ilansa, “Tawaw, min-Yisleil yakamiy kulabemas. Taw towen tuta babaw ikatimlakes vena babaw gimgilis va̱gan kid bikasigumids ya̱kids, o bikasigumis adsinaps, o Yowbad nabunatum towen. Tut gog towen bo imeyes mina-Gilis, isiws wanuwan Yowbad nabunatum bunawen nikayus silma̱nin min-Yudiy ya̱kids. Bo igak!”
ACT.21.29	Ilivans ma̱wan peinan kweiboug nikines gum-Epesos towen Tilopim son Pawl nisesus waven; idokes kid Pawl itok taw towen ineis Yowbad wanbunatum.
ACT.21.30	Ven towen gimgilis asibabaw-wan mo isaps, isisawls, ikatuyouns imimeis, iyousis Pawl, ibiteilis Pawl, in watoulan Yowbad nabunatum, awkwedan mo ikatibagus.
ACT.21.31	Tasiyas iwaweiys Pawl, sivines kid bikatimates. Mina-Lom sitakanaviy babaw nisesus Yelusalem. Teitan gamag mo inek takanaviys sitovek, ikow liva̱nen asisinap tasiyas min-Yelusalem, peinan ikawnaweinsa mav.
ACT.21.32	Takanaviys sitovek mo idawes takanaviys sisiyas sitakalikays, nuwanaw isawls va̱gan binekes gamag tasiyasa babaw. Tasiyas ikines takanaviys sisiy sitovek bo nimeis, mo ipiyaves anwaway Pawl.
ACT.21.33	Takanaviy sitovek mo iyous Pawl, idibakes natakanaviys biyawanis kid Pawl naman palayun-wan sen waseg, mo ilana, “Kal mtowen? Aveiyag inuwek?”
ACT.21.34	Gamag babaw mo iwkuwaks, livan kweitan kweitan illivans. Ta-ma̱wan biligintun liva̱nen taw towen; idibakes natakanaviys; ilana, “Kutokes taw towen, kumeyes; taneis wadabunatums.”
ACT.21.35+ACT.21.36	Mo itokes Pawl, inawes wasibunatum. Ikapasal nuwes gamaga babaw ikabwa̱kunsa watiblous, silma̱nin beiweiys kid, iwkuwaks ilansa, “Kuweiys! Kuweiys!” Ilivatus wa̱tet, takanaviys tasiyas mo inupes Pawl, inounas, peinan gamaga babaw sivinesa biyousis.
ACT.21.37+ACT.21.38	Kakita beisiws wanuwan takanaviy sibunatum, Pawl mo idibek sitovek; aga-Gilis waseg ilivan; ilana, “Tab kadilok balivan waseg yak?” Sitovek ilana, “Kukwakin aga-Gilis, ne? Adok ya̱koum gum-Yidipt towen mwana nukumgwayes kweivas tawsan tawaw, tasiyas tawayins gamag, nukuneis wanawoud sivinamiy kid bukwanaviys wasigeis Gabman Lom takanaviy yakamey.”
ACT.21.39	Pawl ilana, “Nag, yey gum-Yudiy, gunaven avakaein yagan Talisus wawnuwan ven avakaein Silisiy. Tab kadilok balivan gamaga babaw wasigeis?”
ACT.21.40	Takanaviy sitovek itam. Pawl iton tet towen wakunuwatan, itamnow naman, mo ika̱pays tababaws-wan; wankuyeim Pawl mo ilivan aga-Ibliw waseg, ilana:
ACT.22.1	“Sigwey, timog budag yakamiy, kuliganes agulivan, mamagina akayan wasigeis yakamiy.”
ACT.22.2	Tasiyas iliganes aga-Ibliw waseg illivan, mo ikika̱pays va̱gan kid binganegs bwein. Mo ilivan.
ACT.22.3	Ilana, “Yey gum-Yudiy yey. Inag nikopweig ven Talisus waseg, wawnuwan ven avakaein Silisiy; tage bo askul ven towen Yelusalem waseg. Tamwey towen yagan Gamaliyel ikatimlakeig, mo akakin dakaleiwags ya̱kids, akakinbunik, iseiw nuwag Yowbad nawotet, ma̱wana babaw yakamiy tut towen.
ACT.22.4	“O gamag tasiyas inoyes kadetan ked, bo amop asisinap; mwasinis akatimates. Vinay o tawaw ayousis asenas wa̱deil.
ACT.22.5	“Tanuwgwes lun sitovek avakaein, o tammwayas babaw ikakins agulivan towen mounid. Peinan bo isekeigs let silma̱nin budidayas ven Damasik waseg, anounana wa̱ked silma̱nin Damasik va̱gan bayousis gamag, bameyes Yelusalem, va̱gan kid takaleiwags mo bimop asisinap.
ACT.22.6	“Ya̱nay waseg anoun kadiyakusa Damasik, mo mititeilin avakaein imekeig, ma̱wana kavikawn meinoy neim walba̱lab.
ACT.22.7	“Akalouw wapwepway aligen aygan teitan; ilana, ‘Soul, Soul, aveiyag wawun kuybilebeig yey?’
ACT.22.8	“Akatimop aygan, alana, ‘O guyaw, kavel yak?’ Ilana, ‘Yey gum-Nasalet Yeisuw, mtowen tut babaw nukuybileb.’
ACT.22.9	“Tasiyas sigwey nakan, bo ikines mititeilin, tage nag biliganes aygan towen, soug yey nakallivan.
ACT.22.10	“Wankuyeim mo alivan; alana, ‘O guyaw, aveiyag bavag?’ Guyaw towen mo idibakeig, ilana, ‘Kutamanaw kun Damasik, igaw teitan gamag mo bikatimlakeim muwotet, aveiyag bakaleiwag va̱gan bukuwtel.’
ACT.22.11	“Peinan mititeilin ikaligwen matag, ta-ma̱wan bakin. Misinaka iyousis namag itokeigs, mo kan Damasik.
ACT.22.12	“Ven towen waseg taw yagan Ananiyas; min-Yudiy tasiyas misikes ven towen ikakinsa tadidumwal, peinan tavna̱sein Moses nakaleiwag towen.
ACT.22.13	“E, mtowen imekeig itamanaw itom mo ilivan; ilana, ‘Bwadag ya̱koum Soul, towen bukukin.’ Ilivan ikous mo akinbunik, akin taw towen Ananiyas.
ACT.22.14+ACT.22.15+ACT.22.16	“Mo ilivan, ilana, ‘Tammwayas siYowbad bo ikaliwageim va̱gan kid bukukwakin nanon, o bukukin tadidumwal towen, o bukuligen aygan tonen; o amsinap towen bisekeim kadiloka bukwatipel kusekes gamag babaw wasigeis. E, tut towen aveiyag kukwayamat? Kutamanaw, kutam mtowen waseg, mo babapta̱yseim, yagan tonen waseg, bo biwid mukwalbaleb, va̱gan beikous.’
ACT.22.17+ACT.22.18	“Ikous, na̱yum nam Yelusalem, akulul, annitoug Yowbad wanbunatum, matag mo isisawla mav, akin Guyaw towen idibakeig; ilana, ‘Nuwanaw kun kulisow Yelusalem, peinan min-Yelusalem bipiyaves amlivan, liva̱neig yey.’
ACT.22.19+ACT.22.20	“Yey alivan; alana, ‘O Guyaw, tasiyas ikakins sinagoga babaw wasigeis bo ayablebes taliganeins liva̱neim yak; mwasinis awaweiys vatul waseg, mwasinis asenas wa̱deil. Kweiboug neiweiys takanawein aygam mtowen Sitiben, yey bo a̱tam wotet towen waseg, natamanaw akikin, bo amtakavet asikweim tawayins taw towen.’
ACT.22.21	“Guyaw towen mo idibakeig, ilana, ‘Kunoun, bakayabeim bukun kadiveiyov, silma̱nin tobwag ven gimgilis.’”
ACT.22.22	Anilivan babaw iligintunis, tage iliganes livan towen “Tobwag ven gimgilis,” mo iwaks avakaein, ilansa, “Singaya takalbaleb towen; kuweiys taw towen. Na-ikadilok son mwamovan bises.”
ACT.22.23	Iwkuwaksa, ilivelovs asikweim, musamusan pwepway ilivelovs ininein wanakaew, singay ikapasal nuwes.
ACT.22.24	Takanaviy sitovek mo ilivan; ilana, “Kutokes taw towen kunawes wanuwan bunatum, kuweiys vatul waseg va̱gan bikamtel aveiyag anilivan waseg ikawkunes.”
ACT.22.25	Iyawanis won Pawl; ta-ma̱wan bigogewn naman o kaken. Takalikay teitan itamanaw wadadan. Pawl mo idibek takalikay towen; ilana, “Nag kadilok bukwatima̱veigs, guma-Lom yey. Kadiloka kuyateleigs, magat bukuba̱nes agusinap kalbaleb, mo kuweigs.”
ACT.22.26	Takalikay iligen anilivan towen, inek natovek, idibek, ilana, “Aveiyag bukuvag? Taw towen guma-Lom teitan.”
ACT.22.27	Takanaviy sitovek mo inek Pawl, ikatigan, ilana, “Adok ya̱koum guma-Lom ya̱koum, ne?”
ACT.22.27	Pawl ilana, “Ma̱wan.”
ACT.22.28	Takanaviys sitovek ilana, “Money avakaein bo asek, mo amlavag guma-Lom.”
ACT.22.28	Pawl ilana, “Peinan kweiboug-o tamag imlavag guma-Lom, mo inag nikopweig guma-Lom tatonen yey.”
ACT.22.29	Iliganes tasiyas, ikakiws wous peinan kakita bo beiweiys Pawl; sitovek-vak anpwa̱yat seikwan, peinan guma-Lom towen bo iyawanis naman o kaken.
ACT.22.30	Iyam nen ga̱boug mo ilikus vatul wa̱won Pawl, o peinan takanaviys sitovek sivinan bikakin wawun min-Yudiy sikavikun waseg Pawl, mo idibakes bimeis tasiyas tanuwgwes lun situwa̱veks sisiyasa takaleiwags babaw; teitan mo itok Pawl, imey, itamanaw wamtes tasiyas.
ACT.23.1	Pawl ikinbunikes takaleiwags tasiyas, ilana, “Tuwag yakamiy, yam babaw nases agusinap bwein wamatan Yowbad, nagein gog bo ma̱wan.”
ACT.23.2	Tanuwgwes lun sitovek avakaein Ananiyas mo idibakes tasiyas nitamanaws wadadan Pawl, ilana, “Kuweiys wadon taw towen, singay kalbaleb anilivan.”
ACT.23.3	Pawl mo idibek Ananiyas, ilana, “Yowbad bo beiweim yak, magina buda̱kay kalbaleb ya̱koum, ya̱lig isin, magin ibwein, tage bo ipwas, bukuyateleig Moses nakaleiwag waseg; tage bo kugulek nakaleiwag towen, peinan kudibakes tasiyas kid beiweigs mav.”
ACT.23.4	Tasiyas itomos wadadan Pawl, ilansa, “Oo ne! Bo kuyeg Yowbad nagamag towen, ne?”
ACT.23.5	Pawl ilana, “Nag bakakin mtowen tanuwagan lun sitovek avakaein. Akakin Bukitab liva̱nen mamagina, ‘Awoum kuyeg mitovek.’”
ACT.23.6	Pawl mo ikines tasiyas mwasanin Sadusiy, mwasanin Palisiy, aygan avakaein mo idibakes takaleiwags tasiyas, ilana, “Tuwag yakamiy, yey Palisiy yey, tamag gog Palisiy. Bo aya̱tal peinan bo anamis va̱gan bitakits vayuwein kanig waseg.”
ACT.23.7+ACT.23.8	Ilivan ma̱wan ikous, tasiyas Palisiy bo ikamnimans sisiyas tasiyas Sadusiy; ilivis, iva̱ges bod akweiy. Peinan tasiyas Sadusiy idokes gamag nag beikits vayuwein; ta-kweitan anelos nises; ta-kweitan kululuwan nises; tasiyas gog Palisiy idokes gamag beikits vayuwein, o anelos nises, o kululuwads nises-vak.
ACT.23.9	Tasiyas babaw-wan mo ikamnimans avakaein. Igawa ikamnimans takatimlakeins Palisiy sikaleiwag mwasanin mo itamanaws, ages avakaein, ilansa, “Kadok nag kweitan kalbaleb nises taw towen waseg; nag. Adok anelos teitan o kululuwan teitan bo ikatimlek ansinap.”
ACT.23.10	Tasiyas babaw-wan singay ikavikuns; takanaviy sitovek idok kakita biyousis Pawl bikisa̱lis kid won, mapuna idibakes natakanaviy biyousis Pawl, bikawes, binawes wasibunatum.
ACT.23.11	Boug towen waseg naGuyaw Yeisuw mo itamanaw wadadan Pawl, ilana, “Awoum beivag ampwa̱yat. Ma̱wan kweiboug liva̱neig nukusek ven Yelusalem waseg, igaw ven Lom waseg bo ma̱wan.”
