MAT.1.1	Yisas Karaisi maen Abaraamun nú Kin Devitin núi anan pintéi afoká ukhan mi ma ven anafuyan aví ino.
ROM.8.30	Béi ma fefá aní ukharé ein kékái arakhen mino. Mai ma véi arakhein kéka san puntákein kéká ino sen araren mai kéká kákan bíi aminten mino.
ROM.8.32	Tiyarafenu ano ída ve Anin pákan tetin tiyaino van béin tiantan eren mino. Be Anin ma setin timikhanten maen mai ídá ena yanasinta vá dere fara siminten nafino.
ROM.8.34	Iye anó teti nan ume ayá namu miyan barano sinten nafino. Ída ino. Yisas Karaisi fúaren e mantavin Tiyarafenu ano véin kákan bí amiran ben ayan kurompá báken tetin tiyaino van Tiyarafenu siamiyan mino.
ROM.8.35	Karaisini avábá pinte nái yaná anó tetin do siviranten nafino. Aau anó tetimpin afoká inten nafi uman nafi vanta kayo anó tetin namu usintanten nafi sirafan nará ótifante rafu ída ma suí daná ban nain mano fi áa namu yaná anó tetin namu inten nafi áa furin nan ma akhokho van in mano fi mai minó máa yanasinta ano kaná Karaisini avábá pintena yo siviranten nafino. 
ROM.8.36	Mai yanasinta ma setimpin ma afoká é iyain mai Tiyarafenui vompon dóki ano máa sikhan mino.
ROM.8.36	“Tetí ankan eni vanasin bákun ena ena yamú tetin tiruan puriyan mino.
ROM.8.36	Sipisipi an den tetin timen tíkano van manan iyan mino.” 
ROM.8.37	Máan tukhé tifé umpo mai yanasinta afoká inten mifo mai ma Karaisi ano setin nan avábá iyain mai véi anon tiyaintí mai yanasinta esantanté uno. 
ROM.8.38	Ída mana yaná ano kaníen beni avábá pintena setin do siviranten mino. Purin má ayun ma fara van mano fi áa enisori kayo vá namu aunan má ano fi áa saréa ma afoká ukhein danasinta vá ínaimpá ma afoká inain danasinta vá ano fi áa minó ákona vain ara ara yanasinta vá ano fi mai yanasinta ano ída kanaíen Tiyarafenui avábá pintena setin do siviranten mino. 
ROM.8.39	Tetí ankan dan uron ná un bá tifante rafu áa un nompin námen ná orun bá tifante rafu mai Tiyarafenu ano ma uvamádan bain mai yanasinta ano ída kanaíen tetisi Bafan Yisas Karaisin táké ma Tiyarafenu ano aní ukhein avábá pintena seti yo siviranten mino.
ROM.9.1	Téi Karaisini yoran bantan bákun Kantá Aunan mano se súpin báken ineine simiyái ída kampun tin téi fura vaya anan tiyá uno. 
ROM.9.2	Ena ena yamú te súpin kákan tirunan ná édaviyáká kokhon ineine anan iyá báé iyá uno. 
ROM.9.3	Isareri kéká ma se siyofi sifá tiváeyan ma vain mai Tiyarafenu ano evaránen avirano van mi iniyá uno. Téi ma Karaisin pinte yo sisintan nain mano ma vetin ayairí ma ukhantin mai kasaen téin tisintano van mino. 
ROM.9.4	Betí ankan Isareri nanin bantan bákan mi Tiyarafenu ano vetin nan be akhafana e sikhen mino. Tiyarafenu ano vei kakhan má ákona vá betin aní uren betí ankan má ará manafin kasen ban avúavái aníen bei man baya amen mino. Amiren monó tin avúavá betin aní uantáden kama yaná iyáantan ban mino. 
ROM.9.5	Pefá betí anafu aráo ano Tiyarafenui yorampin aví bain nanin bantan baré íkan mi Karaisi ano vetíi kékápin mi vantaíen mino. Karaisi véi Tiyarafenun báken minó danáká dafíken mifo ena ena yamusá ben aví daní ó tifano. Mai fura ino.
ROM.9.6	Tiyarafenu ano ma Abaraamun iyáantákaré ein baya ano ída fa savifá afe en mino. Ída ino. Para vara seyo, Yekopun ana akhá pinté ma e afoká iyain kéká ano seti Isareri kéká uno siyan mifo ída fura sen Tiyarafenurá mumunan ukhen mino. 
ROM.9.7	Abaraamun pinté ma ayuman ukhein nan mi véin ana akhafanan bá uno siyan mifo vetí ankan ída fura sen ben ana akhafanan ban mino. Para vara seyo, Tiyarafenu ano fefá Abaraamun máa sen tiamikharemí, “Kokhon iyampon kaesin banten mifo Aisakin pinté ma ayuman inain nanin banta mai senti kékái vanten mino.” 
ROM.9.9	Mai van mi Tiyarafenu ano máa sen iyáan temí, “Mai ma sikará onuna yamú ma séi ovaráné erékun maen Sara ain iyampon kainten mino.” 
ROM.9.10	Mai ma sikharé ein iyampon teti sinafu Aisakin mi kain baren e anoní uaren Revekan mamáken ain iyampon kanan karina kaen mino. 
ROM.9.11+ROM.9.12	Reveka karina iyampon kanan kauran maen Tiyarafenu ano míkani kama avúavá bá namu avúavá bákasa ódaren aníen naino. Ída ino. Tiyarafenu ano vei anunurái mana aníen mino. Béi fe o útúben Revekan tiamikharen mino. “Esé ma ká inain iyampon mano ínain ma afoká inain iyamponi yoran bantaíi inten mino.” 
ROM.9.11+ROM.9.12	Mai ma siamikharéin ma afoká ein avúavá ano Tiyarafenui ineine ánain mi vákuren mifo seti ma kama yoran má namu yoran má ma variyarunara saino. Ída ino. 
ROM.9.13	Tiyarafenui vompon dóki ano máa sikhen mino. “Téi Yekopun nan mi sinunu iyá umpo Iso nan ída sinunu iyá uno.” 
ROM.9.14	Mai van Tiyarafenu ano ída funtákein avúavasíi iyan minó té tifante rafuno. Ída ino. 
ROM.9.15	Mai fara vara seyo, Tiyarafenu ano Mosesin pefá tiamikharen mino,
ROM.9.15	“Téi mana vanta ma sirunan uantano van tesi sinunurái máan té iyá uno.
ROM.9.15	Inká téi mana vanta ma avábá uantano van tesi sinunurái máan té iyá uno.” 
ROM.9.17	Para vara seyo, vompon dókifin Tiyarafenu ano ena vaya máa sen Kin Feron tiamikharen mino. “Éin ma maman kiní uréku vaona mai sesi kákan ákona éintá aní urékun ten tiví ano ma varará orera ino van muno.” 
ROM.9.18	Máan tukhanti seti afova sá ó tifano. Tiyarafenu ano manáa kéká ma arunan uantano van mai vetin arunan uanté iyan mino. Inká béi ma manáa kékái ineinerá ma yasirádantin baya ída inino van ma é iyain mai vei anunu fóké máan té iyan mino.
ROM.9.19	Tiretí ankan pinté manáa ano máa sin nono. “Tiyarafenu ano veyantá ma yuvun intin banasi ano namu avúavá bariyan nain nan mai fará tenti vaya ída iniyá uno sen béi sinten nafino.”
ROM.9.20	Ída vá máan baya seno. Éi varará banta ano iyé bakeyá Tiyarafenu ano ma vara nain avúava san asinte fono. Kave ano kanaisá en ná ben ma uvarein banta van ten ná, “Éi fará téin máan uvararí e fono” 
ROM.9.22	Tiyarafenu ano véimpin ákona vantin pasen banasi yaiminten mino. Máan tinten mifo inká beimpin ákona vantin kasaen mai ma veni vaya átakharé inain kéká ave ukharen ínaimpákéi yaíden uman aminten mino. 
ROM.9.23	Mai fara va ino véimpin ákona van bei arunanápin ma aviádantin bano ma sikhein nanin banta vá deren bei kakhan aní intin onanten mino. 
ROM.9.24	Tiyarafenu ano ma sen Yutan kéká bá ena anan nanin banta kayo vái arakhé uno ma siyain mai setin nan mi siyan mino.
ROM.9.25	Sakhanampa vanta Oseani vompon dókifin Tiyarafenu ano ena anan nanin banta kayo van máa sikhen mino.
ROM.9.25	“Mai ma fefá ída senti vanasi varé ein mai ínaimpáké tesi vanasi oe sé aranté uno.
ROM.9.25	Inká mai ma ída sinunu iyaréeruna kéká ínaimpáké móeké tinunu ukheruna kéká ino senté uno.” 
ROM.9.26	Inká ena anafin máa sikhen mino.
ROM.9.26	“‘Ída senti vanasi ono’ ma sikharé inain kéka san ínaimpáké ‘taunan bain Tiyarafenu sikhafana ono’ sinten mino.” 
ROM.9.27	Isareri kéka san Aisaiya iniyáken ovaraaren temí,
ROM.9.27	“Isareri nanin banta ano kokhoníen non akhempá ma vain eyu an ma yesin maen
ROM.9.27	Bafan mano manáa nanin banta anan aviranten mino.
ROM.9.28	Para vara seyo, Bafan mano varará nanin banta ainen mi
ROM.9.28	kó tiantáden uman aminten mino.” 
ROM.9.29	Inká ena anafin Aisaiya máa sikhen mino.
ROM.9.29	“Minó ákona ma vain Bafan mano
ROM.9.29	setin tinafu siráon manáa ída áen baren
ROM.9.29	mai Sodomu vá Komora vá ma einíen
ROM.9.29	minó tiruan kípanté ein mino.” 
ROM.9.30	Mai avúava san tetí ankan inte esá tente rafuno. Máan ná té tifano. Ena anan nanin banta ano Tiyarafenu van ída yosiyan mifo vetíi mumunantá Tiyarafenu avorá puntákein nanin bantan ban mino. 
ROM.9.31	Ban mifo Yutan kéká ano man baya ánain dakhádé puntákein nanin bantaí ono van en mifo ída kanaíen mai avúavá baran nainíen mino. 
ROM.9.32	Mai fara fino. Mumunan ma uren Tiyarafenu avorá puntákein nanin bantaí oren mi man baya ánain dakhafiyá kama avúavá baranté uno sen inikharen mino. Máa sen inikhan betimpin ída mumunan bákan mai ano kákan onámaná ma aasá bainí ukharéin eyúpóen ankamen mino. 
ROM.9.33	Tiyarafenui vompon dóki ano mai van mi afova amikharen mino.
ROM.9.33	“Ineno. Banasi ano ma eyúpó en ma eraven ankamin nain onámaná
ROM.9.33	Yerusaremí kaonté uno. 
ROM.9.33	Mai onámanáká ma mumunan inain nanin banta ano
ROM.9.33	ída ayave van inten mino.” 
ROM.10.1	Mumunan tiyofi sifá tiváeyan noe, Tiyarafenu ano Isareri kayo aya uren evaránen avirano van mi sen tú ano vetin nan moéken anunu iyákái Tiyarafenu vaípá timúkuan amé iyá uno. 
ROM.10.2	Téi afová ukhékun Tiyarafenun ma anunu ukhein avúavá ánain dakhafiyá uno siyan mifo véin ánain ma yakhafin mai avúavá betí ída afová ukhen mino. 
ROM.10.3	Mai fara vara seyo, Tiyarafenu ano ma vetin maman puntákein nanin bantaí ma in aa ída afová ukhen mino. Man baya ánain ma yakhafin avúavúpókéi Tiyarafenu avorá puntákein nanin bantaí onté uno siyan mifo Tiyarafenui funtákein ine inerá ída oriyan mino. 
ROM.10.4	Mosesini man baya inka Karaisi me kanaí ukhein minó nanin banta ano ma mumunan inteya mai Tiyarafenu avorá puntákein nanin bantaí inono.
ROM.10.5	“Minó man baya ánain ma yakhafin nain nanin banta anon Tiyarafenu avorá puntákein nanin bantaí inten mino” sen Mosesi vompompin uvantaren mino. 
ROM.10.6	Máa sikhen mifo Tiyarafenu avorá ma funtákein nanin bantaí inain nan máa sikhemí, Yisas Karaisi aya ino van “ída kanaí e inaru fáke un avire eran nono.” 
ROM.10.7	Inká máa sikhemí, “Yisas Karaisin evaráne avían mantano van ída kanaí e furin nanin bantai varufin aravin nono.” 
ROM.10.8	Yisas Karaisintá ma mumunan esin Tiyarafenu ano siretin evaránen aviran nain nan bompon dóki ano máa sikhen mi, “Mai vaya ano yákó bákayai kasae vanasi siamiyan nan tiretin aúpin ban mino.” 
ROM.10.8	Mai vaya anan teti siamiyá uno. 
ROM.10.9	Mai fara vara seyo, siretin pinté mana ano ma Yisasi nan Bafan mino sireya ma Tiyarafenu ano masí pintena véin avían mantakhen mino seya aúkáké mumunan inteya mai Tiyarafenu ano éin evaránen aviranten mino. 
ROM.10.10	Mai fara vara seyo, setí túkáké ma mumunan iyarunarái Tiyarafenu ano setin nan puntákein nanin banta e sé iyan mino. Máa sé iyan mifo inká too fóké ma setisi mumunan tian amá iyarunarái Tiyarafenu ano setin evaránen tiviranten mino. 
ROM.10.11	Tiyarafenui vompon dóki ano mai van máa sikhen mino. “Béintá ma mumunan inain kéká ano ída ayave van inten mino.” 
ROM.10.13	Mai fara vara seyo, “Bafan aví ma aran nain nanin banta mai véi aya uren betín evaránen aviranten mino.” 
ROM.10.14	Aviranten mifo vetí ankan ma ída véin nan mumunan iyáken intesá urená ayain nan be vaípá inantinten nafino. Beti ankan ída ma veni vaya inikhen mai intesá uren ná bentá mumunan inten nafino. Mana ano ma vetin ída vaya siamintin maen mai veti intesá uren ná beni vaya ininten nafino. 
ROM.10.15	Baya siamino van ma ída vanta siantantin mai inté uren ná baya siaminten nafino. Tiyarafenui vompon dóki ano máa sikhen mino. “Kama vaya ma varen eriyain kéká ano setin mi simusin timiádiyan mino.” 
ROM.10.16	Timiyan mifo ída minó nanin banta ano mai kama vaya inikhen mino. Mai fara vara seyo, Aisaiya máa sikharen mino. “Bafan noe, setí ankan ma vetin tiamiyaruna vayará iye anó mumunan ukhen nafino.” 
ROM.10.17	Karaisini kama vaya ma inin avúavá anon mumunan afoká é iyan mino.
ROM.10.18	Máan tukhen mifo Yutan kayo ano fura sen ná mai vaya inikhen nafino. Eyo inka inikhen mino.
ROM.10.18	“Tiyarafenu ano ma minó danasinta uvantein baya ano
ROM.10.18	inka minó nanin bantafin oriaren
ROM.10.18	mai vaya ano minó barafá orera ukhen mino.” 
ROM.10.19	Orera ukhen mifo mai fura sen ná Isareri nanin banta ano minó bayai ana afova suren ukhen nafino. Eyo mai fura sen betí ankan afova suren ukhen mino. Para vara seyo, Mosesini yamú dere Tiyarafenu ano máa sikharen mino.
ROM.10.19	“Ena vara fákena ída aví bain nanin banta séi avábá uantanuna van tiretin ará uman daantan nono.
ROM.10.19	Inká ena anan nanin banta ma ída afova vain kayo ma avábá uantanuna van tiretí ankan betin aranan uantan nono.” 
ROM.10.20	Máa siran ínaimpáké Aisaiya ano Tiyarafenu van máa semí,
ROM.10.20	“Téin nan ma ída yosiyaré ein kéká avorá inka yákó é uno.
ROM.10.20	Téin nan ma ída iniyá ein kékápin inka seyan aní é uno.” 
ROM.10.21	Máa sikhan mi Isareri nanin banta van iniren Tiyarafenu ano semí,
ROM.10.21	“Minó damú betin ariyákun mifo
ROM.10.21	senti vaya átakharé uren ten toofá do yuriyan mino.” 
ROM.11.2	Máan tukhékun Tiyarafenu ano fefá araí in táké ma veinaí ukhein nanin banta ída me ampikhein mino. Mai van ma vompon dóki ano sikhein tireti ídá afová ukhe fono. Sakhanampa vanta Iraiya ano Isareri nanin banta ayaino van Tiyarafenu vaípá ákonaen máa sikhen mino. 
ROM.11.3	“Bafan noe, eni sakhanampa vanta kéká minó aruan púden éin ma íkun uan amin kará kayo vá dere varakuariyan karúdará teya anan ukhékun téin má tirono van dakhafiyá uno.” 
ROM.11.4	Máa síkan Tiyarafenu ano ma evaránen béin tiamein mai vaya afová ukhe fono. Tiyarafenu ano semí, “Éi ída eyaká ana vaono. Dan manápá ifo afápá kan un kádan tauseni (7,000) ano ma kampun ayarafenu rá ída monó tiyain kayo vá deren para van mino.” 
ROM.11.5	Máan tukhan taréa minó Yutan kayo vá dere Tiyarafenu me ampikhen naino. Mai ma Tiyarafenu ano sarisari uren avíkaré ein nan manáa ano fara van mino. 
ROM.11.6	Máan tukhan betíi yorantasá avíken naino. Tiyarafenu ano vei sarisari rái avíken mino. Betíi dorantá ma avíkantin maen Tiyarafenui sarisari ano ída fura yanasíi inten mino. 
ROM.11.7	Máan tukhen mifo mai seti inte esá té tifante rafuno. Isareri kéká ano mai yaná barano van ákona yorari uvákon den mifo ída varan nainíen mino. Betíi kéká pintena mai ma Tiyarafenu aní uran ben ninaí ukharé ein máa anon baren mifo minó kayoi ineinerá dasirákaren mino. 
ROM.11.8	Tiyarafenui vompon dóki ano máa sikharéin mino.
ROM.11.8	“Tiyarafenu ano vetin maman purin banta an daran aunká bakhen
ROM.11.8	eriyaren taréa vetin aurá iyádan ída onaríin
ROM.11.8	átaren dasíkaran ída vaya iniyan mino.” 
ROM.11.9	Devitin má dere máa sikhen mino.
ROM.11.9	“Áesin ná beti ma omasí inain mano maman betíi oyivan an davintin ná
ROM.11.9	anuran ariyan nain nan kana vá uno vá tino.
ROM.11.9	Áesin ná mai amusin mano sin nainíen uman barano.
ROM.11.10	Áesin ná betin auu yufúkuvintin ída vá onano.
ROM.11.10	Áesin ná uman mano amininá ódiven ayorun davénarantin ná mátinten bano.” 
ROM.11.12	Isareri kéká ano ma Tiyarafenu oyan amiran mai van mi ena anan nanin bantafin Tiyarafenu ano avábá amikhen mifo ínaimpáké Isareri kéká ano ma Tiyarafenu vaípá ovaránen erintin maen minó nanin bantafin beni avábá ano mo kákani suron inten mino.
ROM.11.13	Mai van mi siretíena anan nanin banta ma vaona van mi séi siyá uno. Ena anan nanin bantafin baya varen orino van ma Tiyarafenu ano séin aní ukhein mai kákan doran uron mino. 
ROM.11.14	Mai fara vara seyo, Tiyarafenu ano ma sireti ena anan nanin banta kama avúavá uantan nain mano Isareri kayo auu yavo sintin Tiyarafenu ano senti yorantá betin pinte manáa ovaránen avirano van muno. 
ROM.11.15	Mai fara va ino. Tiyarafenu ano Isareri nanin banta oyan amiren mai van mi sireti ena anan nanin banta avíden avábá uanten mino. Máan ten mifo Yutan kayo ano ma Tiyarafenu vaípá ovaránen erinten maen mai fúkaren ma e manteiníi intin Tiyarafenu ano vetin moéken avábá inten mino. 
ROM.11.16	Abaraamu má Isareri kayo ma ayuman in banta kéká bá ano ma kantasí ukhantin maen mai vetin ana akhafana vá ano yeren kantasí inten mino. Inká daa arú kayo ano ma kama ukhantin maen mai yaa ayan kayo vá ano yeren mo kama inten mino.
ROM.11.18	Máan tukha ompo ída vá mai ma iyaan karúdakhein ayan kayo van esantakhé uno se ineno. Tireti ma máan ineine ma iyanteya mai sireti afova sá ono. Ída yaa ayan mano arúpin anu aminten mifo yaa arú anoi yaa ayampin anu aminten mino.
ROM.11.19	Amé iyan mifo siretí ankan ída vá teya “Tiyarafenu ano mai ayan kayo síkaran bain téin maifin asotú inten mino” sire avan avan ono. 
ROM.11.20	Mai fura máan tin nompo Yutan kayo ano ma ída mumunan ein nan mi Tiyarafenu ano yo síkaan karúdakhen mino. Tiretí ankan ma mumunan eona van mi maifin maman asotú ura va ompo ída vá avan avan iyákeya siretin ma Tiyarafenu ano yo síkaan karúdan nain mai vará perano. 
ROM.11.21	Para vara seyo, Tiyarafenu ano fefá ma varé ein daa ayan ma yo síkakhanti mae mai siretí ankan má dere yo síkanten mino.
ROM.11.23	Mai ma fefá daa ayan kayo ma sikakharé ein mai Yutan kéka san mi sikhein mai veti ma mumunan intin maen Tiyarafenufin ákona vantin kasaen evaránen maman mai ma síkakhareéimpin asótú inten mino. 
ROM.11.24	Tiretí ankan afová ukha ono. Tireti fefá afá orifi yaa ayan an mi yakharé en nan Tiyarafenu ano síkaren ayuntáke orifi yaa anará mo asótú ura vaompo mai ída éi mai finte yaa ayan uron mono. Máan tukhantin pasen Tiyarafenu ano kasaen mai ma yo síkan karúdakharé ein ayan evaránen maman asótú inten mino.
ROM.11.25	Ena anan nanin banta ma mumunan iyaona kéka soe, aúpá baya sireti afová ono van muno. Ída vá teya Tiyarafenu ano Isareri nanin banta inka me oyan amiren teti nan mana iniyá uno sire au khákan ono. Manáa Isareri kékái ará bá ineine vá ano ákona ukhen bantin ma ena anan nanin banta kayo ano mumunan en maifin mun asótú uvintin mi máan tinten mino. 
ROM.11.26	Mai aa sákéi minó Isareri kayo evaránen avirantéin mi Tiyarafenui vompon dóki ano máa sikhen mino.
ROM.11.26	“Isareri kéká ma aya ino van ave ukharé ein banta ano Yerusaremíké emanten eren me ayaintin
ROM.11.26	Isareri kéká ano ma Tiyarafenu oofá átakharé iyá ein avúavá me an pinten mino. 
ROM.11.27	Ampirantí maí damúi séi vetíi ume arúantádé
ROM.11.27	tirá manafiní é kasé banté uno.” 
ROM.11.28	Isareri kayo ano Yisasini kama vaya oyan amiran mai anon Tiyarafenu vá namuroíen mino. Namuroí ein nan mi Tiyarafenu ano vei avábá po ena anan nanin banta ayaen mino. Ayaen mifo fefá ma Abaraamun ana akhápin ma iyáan takharé ein nan mi Tiyarafenu ano veinaí ukhein bákan taréa vetin nan para anunu ukhen mino. 
ROM.11.29	Mai fara vara seyo, Tiyarafenu ano ma veinaí ono siren aren ma inká bei amusin amen ma uran nain daná ída evaránen do varanten mino. 
ROM.11.30	Pefá tiretí ankan Tiyarafenui vaya átakharé iyare ompo saréa Isareri kéká ano ma vaya átakharé iyain mai anarái Tiyarafenu ano siretin tarisari uanten mino. 
ROM.11.31	Mai ma fefá baya átakharé iyá eonaíen mi saréa Isareri kéká ano Tiyarafenui vaya átakharé íkan mai van mi siretin tarisari uanten mifo maná damusí ma intin maen betin má deren Tiyarafenui sarisari varanten mino. 
ROM.11.32	Minó nanin banta ano vaya átakharé uran mi Tiyarafenu ano vei sarisari aní ono van mi vetíi ume avúava san karavusií uádan baren mino.
ROM.11.33	Onano, véi ma ineine uren bariyain avúavá
ROM.11.33	mai seti ída kanaíé afová ó tifanté uno.
ROM.11.34	Inká iye anó kanaíeya véin ineine aminte fono.” 
ROM.11.35	“Iye naré Tiyarafenu mana yaná amiresin ná anona éin ovaránen aminten nafino.” 
ROM.12.2	Tiretí ankan ída vá ma vara ráke avúavá ánain dakhafiyákeya áesin ná Tiyarafenu ano siretíi ineine maman auyení uranti vá puntákein avúavá basá nono. Máan ma urantiyan inte yanasá Tiyarafenu avorá kama ukhan ná ben ma amusin amin avúavá ban ná puntákanti varano van béi inikhen nafi mai afová inono.
ROM.12.4	Tetisi minó bukhafa ano ída mana yorarí ana é iyan mifo mana mana vukhafa ano veyan ara ara yorarí i é iyan mino. 
ROM.12.5	Máan manan é tetí minó ano Karaisini mana mana vukhafa an mi yakhé tiféi ara ara yorarí ó tifanté uno. Karaisin má mana vukhafaí ma ukhantesá ben aya ven aya é dorá tifano.
ROM.12.7	Inká banasi ayain afova ma éin Tiyarafenu ano amikhantiya mai kama ure vá banasi aya ono. Inká arú doraríin afova ma éin Tiyarafenu ano amikhantiya mai kama ure vá afova ameno. 
ROM.12.8	Inká ará bá ineine vá ákona uantan afova ma amikhantiya mai yorarisá ono. Inká ona avaríin doran ma amikhantiya mai aúkáke sá avarí ono. Inká Tiyarafenu ano ma yafisin doran ma amikhantiya mai fura yorarisá ono. Inká éin ma ena sarisari in doran ma amikhantiya mai amusin iya vá dorano.
ROM.12.9	Ena nanin banta ma avábá ono van pura se aúkáke sá avábá ono. Namu avúavá oyan amireya funtákein avúava sá pákaan ákona ono. 
ROM.12.10	Tireti ankan Tiyarafenui vanasi vá ara amireya e afá aváeyan ma avábá iyaonai sá ono. Tiretí ankan eyan maman bararasí ure vá ena aví ana vá daní ono. 
ROM.12.11	Tiretí ankan ída vá avesara yorarí iyákeya avúavá basá Bafani yorarí ono. 
ROM.12.12	Mai ma Tiyarafenu ano ma kama uantano van ma iyain nará amusin iya ave ukhe vá bano. Uman ma siretimpin afoká iyantiya mantaan ákona ukhe vá amúkiya vano. 
ROM.12.13	Tiyarafenui vanasi ano ma mana yana san ma o afasí intiya mai vetin ná aya ono. Ena varu fáke nanin banta ano ma sireti vaonará ma erintiya mai vetin ná kama ure yafiseno.
ROM.12.15	Amusin ma inain nanin banta vasá manafin amusin ono. Inká arunaná ma varan nain nanin banta vasá tireti manafin arunan ono. 
ROM.12.16	Tiretí ankan banasi vá manafin ná amun amun iya vano. Tiretí ankan ída vá téimpin mana afova vá uno sire kákan banta an diyákeya fara nanin banta vasá manafin bano.
ROM.12.18	Minó nanin banta vá ma ará manafiní uren ma kusen ban aa vará ákona e yoseno. 
ROM.12.19	Te sirona kayo oe, siretin ma namu uantantiya anona ída vá evaráne vetin namu uantano van iyákeya Tiyarafenui ayampin ná ampiádano. Mai fara vara seyo, Bafan mano vei vompon dókifin máa sikhen mino.
ROM.12.19	“Namu uantan ayá ma amin mai senti yoran mino.
ROM.12.19	Namu ma uantein ayá téi vetin afova amenté uno.” 
ROM.12.20	“Namuro kéká ano ma arafan nan intiya yunan ná betin ameno.
ROM.12.20	Inká non nan ma intiya non ná dáan ameno.
ROM.12.20	Tireti ma máan tesin maen betí ma namu avúavá bariyá ein nan ayave inten mino.” 
ROM.12.21	Ída vá áesin namu avúavá ano siretin maman bararasí ino. Kama avúavá posá namu avúavá maman bararasí ono.
ROM.13.2	Máan tukhanti kamanini man baya ma ída inin nain kéká ano mai Tiyarafenui vayan átakharé iyain ínaimpáké uman baranten mino. 
ROM.13.3	Para vara seyo, kama avúavá ma variyain kékasa kamani ano akhokho amen novara ino. Mai ma namu avúavá ma variyain kékái akhokho ameno van mino. Máan tinten mifo kamanin mano ma inikhein avúavá ana ma yakhafinteya mai kama iya ono siren amo sinten mino. 
ROM.13.4	Tiretí ankan ayaintiya kama e vano van mi Tiyarafenu ano kamanin kain ban mifo sireti ma namu avúavá bariyá inte veni miyan baran nompo vá perano. Namu avúavá ma uran nain ma yaíden evaránen miyan amin nain mai anarái Tiyarafenu ano kamanin ákona amiren kain ban mino. 
ROM.13.5	Máan tukhanti vá kamanini aránaópá báke vá namu avúavá bá kama avúavá bá oman afová iyákeya aau ma varan nará perano.
ROM.13.7	Tiretí ankan nan ma yorano sikhan nain doran purase vá dorano. Tireti ma ye nan bain danasinta vá inká enafáke ma ovariyaona yanasintará bá ma kamani ano ma sakisi van inantintiya mai kasae vá ameno. Inká tiretí ankan kamanini aránaópá báke vá kama avúavasá aní ono.
ROM.13.9	Tiyarafenui man baya ano máan mi sikhen mino.
ROM.13.9	“Ída vá pamúkuí eya”
ROM.13.9	inká “ída vá ena aruan pureya” inká
ROM.13.9	“ída vá ena ina yanasinta umoyan bareya” inká
ROM.13.9	“ída vá ena ina yana san aran nano.” 
ROM.13.9	Mai man baya kayo vá ena man baya kayo vá anoi ma mana man bayafin manan ban mino. “Eyan nan ma anunu iyaonaíe vá ena van anunu ono.” 
ROM.13.12	Mai ma yuntaré ein inka yo kakhan ádé iyan mifo ída vá dunin avúavápin báke kakhakhein avúavá po sá maman aruvin auí daná ma yampeini sá ono. 
ROM.13.13	Máan ture vá kakhakheintá ma noin nanin banta an de vá puntádé nono. Tetí ankan ída vá óen non nare sá óen é nóké pamúku avúavá iyáké inká ena nanin banta ina yana san ída vá tirá namu uré tiruve sisive é nó tifano. 
ROM.13.14	Áesin ná Bafan Yisas Karaisini avúavá ano siretíi auí daná an dakhanti ída vá dan bukhafai anunu ánain dakhafono.
ROM.14.2	Para vara seyo, manáa ano ma mumunan iyain mai kasaé minó dunan nanté uno siren niyan mifo manáa ano auraren maen manáa yunan máan né iyan mino. 
ROM.14.3	Máan té iyan mifo mai ma minó dunan ma niyain kéká ano ída vá mai ma manáa yunan aurakhein kéká oyampá bayo se siná inká manáa yunan ma aurakhein kéká ano ída vá minó dunan ma niyain kéká daimono. Mai fara vara seyo, Tiyarafenu ano minói aviranten mino. 
ROM.14.4	Éi iyé bákeyá enai yoran bantai avúavá daiminte fono. Daimin nompo veni avúavá ano mo kama inten nafi áa namu inten nafi mai Bafan mano anan betin daíden ayaintin mantaan ákona inten mino.
ROM.14.6	Mai ma maná damu san inian kákan damusí uren monó tiyain kéká ano mai Bafan nan mi iniren máan tiyan mino. Inká mai ma minó dunan niyain kéká ano Bafan nan iniren Tiyarafenun naren tusu siantáden né iyan mino. Inká mai ma manáa yunan ma aurakhein kéká ano Bafan amusin uantano van mi Tiyarafenun naren tusu siantáden né iyan mino. 
ROM.14.7	Mai van mi ayun ma fara van má purin má maen mai ída seti sinunurá banté tifé umpo Tiyarafenui na yaná ino. 
ROM.14.8	Bafan amusin uantano van mi ayun para vátifé umpo ínaimpáké ma furonuna ano yere mai venina anan banté uno. Máan tukhantíi seti ayun para vante rafu áa furonte rafu mai Bafan nina yaná ana ino.
ROM.14.9	Mai ma fara ayun bain kayo vá mai ma fúkein kayo vái Bafan ninaí ono van mi Karaisi ano fúaren e mantakhen mino. 
ROM.14.10	Máan tukhen mifo mai fará ena mumunan kékái avúavá daídeya vetin maman bararasí iya fono. Tiyarafenun avorái mana mana ano mantavékun mi setin daiminten mifo afovasá ono. 
ROM.14.11	Tiyarafenui vompon dóki ano máa sikhen mino.
ROM.14.11	“‘Téi ena ena varuna Bafan mano fura uron té uno.
ROM.14.11	Minó ma varará nanin banta ano séi varunará eriven me aron durafúden
ROM.14.11	te nan Tiyarafenu uron mino sinten mino.’” 
ROM.14.12	Máan tukhein nan mi setí afová ukhé tiféuno. Minó teti ma variyaruna sivútivá Tiyarafenu siamékun ná béi ana vá daimino.
ROM.14.13	Máan ná tin nompo ída vá mumunan nanin bantai avúavá daimin maran ono. Máan ma ótifanuna anoi vetíi aa iyará tifanté uno. 
