MAT.1.1	Jeacuu tiene aay ke bang Deabid kedea Deabid tiene aay ke bang Abraahm.
JHN.7.29	Abea a beehda anweehd keehde, bang gihn a abeehn ke bange kedea e naa aoohr an.”
JHN.7.31	 Abea nyoge me thoohdh kiin yaa akuud ge yiiho ke lume kedea ukoohb gene, “Nea Kriihjto ubeehn wudhu aparu kejea yihre unaa giih me gaahy nyoge me kaal muu ngaan ne?”
JHN.7.32	Paarijea mooge ngo abeehn gene ne lihngo e nyoge ge urubo ke nying Jeacuu, noono e gen kedea jo doong yaa lam maa acaakere giih koar Wod Juog ge aoohr gene ne mag Jeacuu.
JHN.7.34	 A udaahdu abea a buu uyoadu bang gihn wu buu uwahnh ka nahga yea.”
JHN.7.35	Maa arub yaa Judea ke kiin gen kob gene, “Kee ge daahde ci yea ni, ge bahnge ngo be yoado ni? Ngo ucaa wudh geedh Griihge ge beed jo paaro upuohnye gen ne? 
JHN.7.36	Arobe kea, ‘A udaahdu abea a buu yoadu,’ kedea, ‘Ka nahga yea wu buu uwahnh yea?’ Ngo daahd gihn ke robo yihro?”
JHN.7.38	Wa kaa anaa agweede yi kitaab Juog kejea a nuu unahg naam me yea ne piih me boadh wahy nyoge mooge.” 
JHN.7.39	 Ge arub Jeacuue ke nying piih e gihre anahg rob ke nying Wahy Juog ge uyoad yaa ayiih lume. Ge arob Jeacuue gihn nu e Wahy Juog poohd kuu anaa acub bang gihn Jeacuu apoohdo e kuu aci Maalo Paar Juog kaa umoar wiihe yea.
JHN.7.41	Nyoge mooge kob gene, “Ngo beehda Kriihjto.” Abea nyoge mooge kob gene, “Kriihjto ngo akuong beehno ke yoohn Gaalili ne? 
JHN.7.42	 Ngahda anaa agweed yi kitaab Juog kejea, Kriihjto ubeehn oogo kii dhe wod paar Deabid ge anahg ruohdh ne? Kedea unyuol yi geen Bedhlehm ge anaa abeed Deabide ne?” 
JHN.7.43	Kaano e nyoge luub gen apaah ke nying Jeacuu. 
JHN.7.44	Nyoge mooge ge daahd umag gene ngo abea ngaa maa ajag cinge rih ngo tooro.
JHN.7.45	Batiene e acaakere giih koar Wod Juog ge abeehn ne doo caahn bang jo doong yaa lam kedea Paarijea. Gihn nu e ge apeehny gene kejea, “Gihn ge bahnge ngo kuu amagu ukahlu ngo ni?”
JHN.7.46	Maa abeehr acaakere ngo, “Ngaa maa akuong rob wa kwaad mar nyin nu tooro.”
JHN.7.47	Maa apeehy Paarijea, “Rogu ameehgu dwaahngo yihre thiow? 
JHN.7.48	Ne ruohdh Judea wale Paarijea maa akuongu ke yoado e ayiiho ke lum Jeacuu ne? 
JHN.7.49	Gahng! Abea beehda nyoge me kwihy loohnge ge naa ayiih lume. Nea wa maano kea beehn Juoge lame gen uyoad gene gihn me raaj.” 
JHN.7.50	 Nikoadiihmuj ngad Paarijea ge naa acidho bang Jeacuu coon, arubo yihr nyoge mooge kea, 
JHN.7.51	“Yi loohng gihro ngo padh kare ukihm dhaano e ngo kuu akuong ke peehnyo kedea ungey gihn atiihye.”
JHN.7.52	Maa angier gene ngo ukoohb gene, “Beer! Ngahda yih beehda ngad Gaalili ne? Kwaan kitaab Juog gihn agweed, nea ngo uyoadi kejea agamloohngjuog maa akuong beehno ke yoohn Gaalili nud?” 
JHN.7.53	Noono maa a'aay gene e ngaa man caa paare.
JHN.8.1	Abea mar Jeacuu ngo abeehn ne ci wiih good me cuohn ne Ulihbe. 
JHN.8.2	 Yi ruung piny ke nyango e Jeacuu aduu yi laaro gihr Wod Juog. Kaano e nyoge me thoohdh rog ge acong gene buude kedea uthube ke puohny gen. 
JHN.8.3	Nye wong kaano e yaa loohng Juog kedea Paarijea dhaago maa amag ke dhecuow abeehn gene ne kahlo kedea umeehg gene ngo cuung nyum gen. 
JHN.8.4	Urub gene yihr Jeacuu kob gene, “Ngad puohny, dhaar ni ngo amag ke dhecuow. 
JHN.8.5	Abea loohng Moaje arubo yihro kejea kwaad ngaa yug awuohj me wa gihn nu e ngo ke bahno ke leele uthowe. Gihn e ne robi ke nyinge?” 
JHN.8.6	 Ge apeehyo wa maano bang ne waale beere e urubo ke rob me raaj nyum nyoge, me meehg ngo mago yihr gen.
JHN.8.6	Abea Jeacuu wiihe akuule piny e ugweehdo yi ngoom ke lweede. 
JHN.8.7	Abea naa apoohde e ge bar maalo ke piehj e wiihe atihnge maalo maa arube yihr gen kea, “Ngaa ree tooro adhemuohm kiinu kare nud unahge en e ne kuong leen umodho ke baahlo ne nahg dhaar ni.” 
JHN.8.8	Maa adoge piny ne gweed yi ngoom.
JHN.8.10	Maa atihng Jeacuue wonge maalo upeehnye dhaar ni kea, “Jo akoohbo kejea yih ayug awuohj, ge ne kee?”
JHN.8.11	Maa akoohb Jeacuue kea, “A thiow yih be kihma keehd maa atiihyi adhemuohm. Abea cidhi kedea giih adhemuohm ge keá cahg ke yugo keehdo.”
JHN.8.15	 Nyoge ge kihmu kaa dhe yoohn ukihm mar dhaano utaahngo, abea a be kihmo ke dhaano kejea ngo ayug awuohj. 
JHN.8.16	Abea nea dhaano maa ayug awuohj kihma kihmo e ngo kihma kaa dhe yooh me ne cohg. A ne kihmo ke dhe yooh me ne cohg bang gihn padh a keeda a ne kihmo abea Wura ngaa aoohr an nud ke an. 
JHN.8.17	Nud keehd luube maa agweed yi loohnge giihu kejea nea nyoge ariow ge arob lubo acielo ke nying nyepiny, e lum gen ngo adiehr. 
JHN.8.18	 A rob gihn maa adiehr ke nyinga kedea Wura ge aoohr an ni e ne rob athiir ke nyinga.”
JHN.8.19	Maa abeehr Jeacuue ngo yihr gen kobe, “A kwihyu kedea Wura kwihyu? Nea a ne ngahyu e Wura nuu angahyu thiow.” 
JHN.8.20	 Luube giih ni ge arobe e puohny nyoge yi laaro gihr Wod Juog, buud kaa acub caanduug gihn thoohr nyoge ngiihny cub ke nying Wod Juog yea. Ngaa maa amag ngo tooro bang gihn padh e naa cahng akob Juoge kejea ngo umag yea.
JHN.8.22	Ke nying gihn ni e ruohdh yaa Judea ge athubo ke rob ke rog gen, “Ree unahge naah wale gihn? Gihn ge koohbe kejea ka cea yea wo buu rom wahnh yea?”
JHN.8.24	 E naa gihn aroba ngo yihru kejea wu uthow kaa anyoohne rogu nea wu buu uyiiho kejea A Juog wa ka na roba ngo yihru.”
JHN.8.25	E ngo abeehn gene ne peehnyo kob gene, “Yih naa ngaa?”
JHN.8.25	Maa abeehr Jeacuue ngo kea, “A Juog wa ka na roba ngo yihru coon. 
JHN.8.26	Yihra ne giih me thoohdh me roma ke robo ke nyingu kedea giih me thoohdh me roma wun ke kihmo ke nying gen. Abea giih nu ge be roma tiihyo ke kar wiiha bang gihn arob adiehj gihn alihnga bang ngaa aoohr an yihr yaa wiih piny kan.”
JHN.8.27	Yaa alihng giih arobe ngo kuu angey gene kejea ngo rubo kaa nying Juog Wuur. 
JHN.8.28	 Noono e ngo arobe yihr gen, “A ge Ngad Boadh nyoge, cahng ugur an maalo rih yaadh maa ariihw e nuu ungeyu ngo kejea a Juog wa ka na roba yihru. Kaano e nu ungahyu ngo kejea a be tiihyo kaa tee mara a keeda bang gihn gihn roba beehda gihn arob Juog Wuure yihra kejea roba ngo yihru. 
JHN.8.29	Kedea wura ngaa aoohr an nud tiehd keehd an. A keá wii kara keeda, ngo nud keehd an ke nying nihn bang gihn gihn tiihya ngo nhyaare nhyaaro.” 
JHN.8.30	 Ge arobe giih ni, e nyoge me thoohdh ge abeehn ne yiiho yi lume.
JHN.8.32	Noono e giih beeye naa anyoadh Juoge ge beehnu ke ne ngeyo kedea giih nu beeye ge nuu ulony wun oogo yi bahng.”
JHN.8.35	Paajo be doohng yi cing ubaahng ne maa, bang gihn beehda waahd ngad paajo e ne wii paajo yi cinge. 
JHN.8.36	 Nea waahd ngad paajo e naa aluny wun oogo yi bahng, e wu adoohng ne nyoge me tooro yi bahng ne cohg. 
JHN.8.37	 Ngo ngahya kejea wu yaa Judea wu beehda kwaay Abraahm. Abea keehd maano e wu daahd unahgu an bang gihn cwihnyu tooro utiihyu ke dhe yoohn apuohnya yihru. 
JHN.8.38	A rob gihn aniida ge anuda buud Wura kedea wu tiihyu gihn alihngu bang weehgu na anahgu yaa agamloohngjuog.”
JHN.8.39	Maa aduog Jeacuue ngo kea, “Nea wu ne nahg kwaaye ne cohg, e wu ne ke beehdo ke beehd Abraahme kedea utiihyu giih ne tiihye. Abea awaahn ni wu daahd unahgu an. A ge rub yihru ke nying giih arob Juoge yihru. 
JHN.8.40	Gihn atiihya beehda gihn ateeda giih alihnga bang Juog yihru. Noono e ne daahdu an ke naah. 
JHN.8.41	Gihn me kuu akuong Abraahme ke tiihyo. Wu tiihy kwaad giih na tiihy ge weehgu yaa na tiihyo yihr atiihb ukeehg.”
JHN.8.41	Maa abeehr gene ngo kob gene, “Ngaa maa anyuol e tuong kiin wan tooro. Yihr wan ne wur wan acielo cog ge beehda Juog ke ngude ni.”
JHN.8.43	Gihn e bahnge gihn roba yea be deadu ni? Yea be deadu bang gihn wu akweer ke lihng luma. 
JHN.8.44	 Wu beehda nyethea atiihb ukeehg wuru kedea wu daahd utiihyu giih tiihy weehgu. Atiihb ukeehg gihre beehda nahg nyoge kedea gihn maa adiehr me robe tooro bang gihn gihre maa adiehr tooro. Nea atiihb ukeehg urubo, e rubo kaa luub toohd bang gihn rob toohd e naa gihn ngahye. Ngo ngad toohd kedea toohd yoad ke bange. 
JHN.8.45	Abea mara a rob gihn maa adiehr e naa gihn bahnge luma be yiihu. 
JHN.8.46	 Ngaa kiin nu e ne rom rob riha kea a ngad adhemuohm? Nea a urubo yihru kaa athiir e gihn e bahnge ngo be yiihu ni? 
JHN.8.47	 Ngaa beehn ke yoohn bang Juog nhyaar lum teed Juoge abea wu ge kuu abeehno ke yoohn bang Juog lum Juog be yiihu.”
JHN.8.49	Maa abeehr Jeacuue ngo kea, “Atiihb ukeehg me ne riha tooro. Gihn nud Wura wiihe moara moaro abea wun, wiiha be moaru. 
JHN.8.50	 Cwihnya tooro meehg nyoge moar wiiha ke nying ngud mara. Abea ngaa me daahd nyoge umoar gene wiiha ngo nud kedea ngaan nu e ne rob gihn maa adiehr ke nyinga. 
JHN.8.51	 A rob athiir yihru, ngaa yiih luma e ngo be kuong thoo.”
JHN.8.52	Maa aduog gene ngo yihr Jeacuu kob gene, “Awaahn ni ngo angey wane kejea rihi ne atiihb ukeehg! Abraahm athow kedea yaa gamloohngjuog ge athow kedea yih poohd urubo kejea nea ngaa yiih lumi e ngo be kuong thoo! 
JHN.8.53	 Yih ne duohng rih Abraahm kuow wan ge athow ne? Abraahm athow kedea yaa agamloohngjuog ge athow. Wiihi apari kejea yih naa ngaa?”
JHN.8.54	Maa abeehr Jeacuue ngo kea, “Nea a ne nahg ngaa me moar wiiha a keeda, e gihr nying moar wihj gihn nu ne tooro. Wura ge cuohnu ne Juog gihru ni, e naa Wura ge moar wiiha. 
JHN.8.55	 Keehd maan kwihyu en, e ngo beehda ngaa me ngo ngahya. Nea a urubo kejea ngo kwihya, e a beehda ngad toohd wa wun. Ngo beehda ngaa me ngahya kedea luube ge ne tiihya ke gen. 
JHN.8.56	Abraahm ge beehda wuru ni cwihnye anaa amihno ge angahye cahng ubeehna wiih piny kan. Cahng ngo aniide kedea umihn cwihnye.”
JHN.8.57	Maa aduog gene wiih lubo yihre kob gene, “Runi puud kuu awahdh yi jiehariow wonge apaar abea yih urubo kejea Abraahm aniidi ne?”
JHN.9.1	Ge anaa acaahdh Jeacuue caahdho tiehd keehd jo waahdhe ni, e dhaano maa anyuol e acoor aniide niido. 
JHN.9.2	 Maa apeehny jo waahdhe ngo kob gene, “Ngad puohny beehda adhemuohm gihr ngaa e naa ameehg ngo nyuolo e acoor? Beehda adhemuohme giihe wale adhemuohme giih atiihy ge wahne?” 
JHN.9.3	 Maa abeehr Jeacuue ngo kea, “Padh ke nying adhemuohme giihe wale adhemuohme giih ge wahn ge naa ameehg ngo nyuolo e wonge acoor. Abea ngo acoor beere ka tiihy tee Juoge kii ngo ke niido. 
JHN.9.4	 Wo cang, laaro giih aoohr an ke nying gen ke tiihyo. Laaro ge ke tiihyo e wong cahng nud bang gihn nea piny ayuudho e ngaa me rom tiihj tooro. 
JHN.9.5	 A naa daahr gihn meeny piny cang yihr nyoge ka poohde e a nud wiih piny kan.”
JHN.9.7	kedea urube yihr ngo kea, “Cidhi uluogi wongi yi Paahl gihr Ciloam.”
JHN.9.9	Nyoge mooge kob gene, “Beehda en.”
JHN.9.9	Kedea nyoge mooge kob gene, “Padh en abea beehda ngaa me room keehde.” Gihn nu e nyin ke ngude arubo kea, “Beehda an ge na kwahyo ni.”
JHN.9.10	Noono e ge ake rubo yihre, “Gihn e naa ayab wongi uniidi nyepinye?”
JHN.9.11	Maa abeehre ngo kea, “Ngaan cuohn ne Jeacuu e naa anween lahbo ke laaw dhee ugwaahye ngo yi wonga maa arube yihra kea, ‘Cidhi wiih Paahl gihr Ciloam kedea uluogi wongi.’ Gihn nu, naa acidha uluoga wonga e wonga ree ayabe yabo uniida nyepinye.”
JHN.9.12	Maa apeehy gene, “Ngaan ngo naa kee?”
JHN.9.12	Maa abeehre ngo kea, “Kaa acea yea ngo kwihya.”
JHN.9.13	Kaano e arob gene kejea beehn nyine cidhe ke gen bang Paarijea. 
JHN.9.14	 Ngo anahg cahng Cabadh ge anaa abeehn Jeacuue unweene lahbo ne yab wong nyin. 
JHN.9.15	Noono e Paarijea nyin adog gene ke peehnyo ke dhe yoohn ayab wonge kii ngo. Maa arobe ngo yihr gen kea, “Lahbo e naa agwaahye yi wonga uluoga wonga kedea piny uneehno yihra awaahn ni.”
JHN.9.16	Abea nyoge mooge kob gene, “Ngad adhemuohm giih me gaahy nyoge ge be rome ke tiihyo.” Kaano e luub gen awaahj upaah yihdh gene.
JHN.9.17	Maa abeehre ngo kea, “Ngo beehda ngad agamloohngjuog.”
JHN.9.18	Ruohdh yaa Judea apoohd e be yiih gene kejea ngaan ni abeehdo e wonge anaa acoor kedea wonge ayahbo, noono maa acuohn gene wahn kedea men. 
JHN.9.19	Maa apeehny gene gen kob gene, “Gihn beehda waahdu ne? Kobu ngo anyuol e ngo acoor, abea wonge abeehn ne yahbo ke ne diih?”
JHN.9.20	Maa abeehr ge wahne ngo kob gene, “Adiehr muon, ngo beehda waahd wan abea ngo beehda adiehr thiow kejea anyuol e wonge acoor. 
JHN.9.21	Abea gihn ayab wonge ngo kwihy wane? Ngo beehda ngaa me duohng. Peehnyu ngo ke ngaa ayab wonge. Kare nud yihre ubeehre lumu.” 
JHN.9.22	 Gihn ni arob gene ke nying gihn ge atud yihr Ruohdh yaa Judea. Ngo beehda gihn maa agweehg Ruohdh yaa Judea coon kejea ngaa yiih ngo kea Jeacuu beehda Ngad Boadh nyoge, e ngaan nu riem oogo yi wod amaad gihr Judea, 
JHN.9.23	e naa gihn arub ge wahne kob gene, “Ngo ngaa me duohng peehnyu ngo.”
JHN.9.24	Noono maa acahg gene nyin wonge anaa acoor ke cuohno keehdo urub gene yihr ngo kob gene, “Kuohng rihi nyum Juog. Ngahy wane kejea ngaa athiehdh yihn ngo ngad adhemuohm!”
JHN.9.25	Noono e ngo abeehr nyine kea, “Kwihya me nahge ngad adhemuohm wale padh ngad adhemuohm. Abea gihr nyepiny acielo e ne ngahya: a anaa acoor kedea piny uneehnu yihra awaahn ni.”
JHN.9.26	Batiene e ngo apeehny gene keehdo, “Gihn ne cohg e naa ayuge rihi ge ayahb wongi ni?”
JHN.9.27	Maa abeehre ngo yihr gen kea, “Ngo aroba yihru kedea wu be daahd uyiihu gihn aroba. Gihn ge daahdu ngo ke lihngo keehdo? Ka moogo e wu daahd udoohngu ne yaa waahdhe!”
JHN.9.28	Noono uyeny gene ngo kob gene, “Yih naa ngad waahdhe abea wa beehda yaa waahdh Moaje. Moaje kuow wan ge acub loohnge yihr wan. 
JHN.9.29	 Ngahy wane kejea Juog arubo yihr Moaje. Abea ngaan nu keehd paan abeehne kii ngo kwihy wane.”
JHN.9.30	Maa abeehre ngo yihr gen kobe, “Gihn ge adogu wiiha ke lyaahbo ni! Wonga athiehdhe abea paan abeehne ke yoohn yi ngo, kwihyu ne! 
JHN.9.31	Beehda gihn me ngahj kejea Juog, gihn kway yaa adhemuohme ngo be cube yihr gen. Juog muoj yaa wuor en kedea utiihy gene gihn daahd Juoge. 
JHN.9.32	Kuu umodho coon ge anaa acag piny ni ngaa e naa akuong ke lihngo kejea wong ngaa maa acoor ayabe? 
JHN.9.33	 Nea padh Juog e naa aoohr ngo e kwaad gihn be nea rom ke tiihyo.”
JHN.9.35	Gihn ayug ree anaa abeehn Jeacuue ne lihngo. Noono naa abeehn Jeacuue uyoade nyin keehdo e apeehnye kea, “Lum ngaan adoohng ne dhaano utaahngo ngo ayiihi?” 
JHN.9.36	Maa abeehr nyine ngo kobe, “Ngo beehda ngaa Ruohdh beere lume yiiha yiiho?”
JHN.9.38	Maa akob nyine ngo kea, “Ruohdh! Ayiiha.” Kedea uthube ke rung cunge piny nyum ngo ne wuor ngo.
JHN.10.1	“A rob athiir yihru yaa ge koara koaro wa gihr ngad kwaah. Ngad kwaah e naa ngaan mon yi roog diehg ke dhe wod, abea ngaan mon yi roog ke dhe yooh moogo ngo beehda ngad kahw wale ngad yaahg. 
JHN.10.2	Ngaan mon yi roog ke dhe wod ni e naa ngad kwaah me ne cohg. 
JHN.10.3	Ngad kwaah e ne meehg mon wod kedea duone ngahy diehge. Diehg ge cuohne kaa nying gen naa acielo acielo kedea ukoohle gen oogo. 
JHN.10.4	 Nea diehg ge akoohle oogo cang, e caa wong maalo nyum gen kedea ubuodh diehg batiene bang gihn duone ngahy diehge. 
JHN.10.5	Abea ge be kuong pahdh batien ngaa me kwihj gene. Ge goohd oogo rih ngo bang gihn duon ngaa maa aley kwihy gene.” 
JHN.10.6	 Ucaale gihn ni arob Jeacuue yihr gen abea yea ngo kuu angey gene.
JHN.10.7	Noono e Jeacuu arubo keehdo kea, “A rob athiir yihru: A uroomo wa dhe roog ge mon diehge kii ngo. 
JHN.10.8	Kwaad yaa umodho cang naa abeehno e a poohd kuu awahnho ge anahg yaa kahw kedea yaa yaahg kedea gihn arob gene be kuong diehg ke lihngo. 
JHN.10.9	 A uroomo wa dhe wod. Kwaad ngaa mon wod ke dhe yoohn banga e ubodho yi gihn me raaj. Ngo rom beehn wod kedea urome cidh oogo maa uyoade ka me beer wa gihr diel e yoad lum ulemo. 
JHN.10.10	Ngad kahw beehn kaa nying kahw kedea ne naahg maa raahnyo. Abea a abeehno bang uyoad kuowo me ne cohg.
JHN.10.12	 Ngad kwaah me koog, padh ngad kwaah me ne cohg bang gihn cwihnye naa bang ngiihny. Ge niide uthuohn e beehn bang diehg, e diehg wiie ke piny kedea ugoohde ke ngweej. Noono e uthuohn diehg mage mago kedea ukeedh mooge. 
JHN.10.13	Ngad kwaah me koog ugoohdo ke nying gihn be dier kedea yihre tooro nhyaahro yi cwihnye ke nying diehg.
JHN.10.16	 Diehg mooge nud me beehda diehga abea ge poohd tooro yi roog. Ge dhiila kaa mahd yihdh diehg giih thiow. Duona udhiil gene ke lihngo kedea umahd gene rog gen bang diehg muu nud, noono udoohng gene ne lwaag acielo kedea yihr gen unaa ngad kwaah acielo. 
JHN.10.17	 Wura, a anhyaare ke nying gihn agwaaya wahya yi thoo beere wahy ge cahga kaa yoado ucahra. 
JHN.10.18	 Ngaa me rom wahya ke kaabo uthowa tooro. Beehda an ke nguda, an ne gwaay riha yi thoo wa kaa apara ngo. Yihra naa adiehja me gwaaya riha yi thoo kedea yihra naa adiehja thiow me duua wahya riha, ucahra. Gihn nu e naa arob Wura kea tiihya ngo.”
JHN.10.20	 Nyoge mooge me thoohdh kiin gen kob gene, “Yaage! Dhaano ree naa atiihb ukeehg e naa gihn amuohle. Giih robe ge keá lihngu.”
JHN.10.21	Abea nyoge mooge kob gene, “Luub ni ge padh luub ngaa me ree naa atiihb ukeehg. Ngaa me ree naa atiihb ukeehg wong ngaa maa acoor yabe yabo ne?”
JHN.10.22	Ngo anahg ruudo kedea nyoge anaa yi Yaan Wod Juog
JHN.10.23	 kedea e Jeacuu anaa yi laaro gihr Wod Juog kedea ngo ake caahdho ke thar Aar gihr Caloamon. 
JHN.10.24	 Kaano e naa acong yaa Judea rog gen buude maa apeehny gene ngo kob gene, “Wa keá meehg koar ke raahyo. Rob lubo maa adiehr yihr wan. Yih naa Ngad Boadh nyoge?”
JHN.10.26	 Abea wu kuu ayiiho bang gihn wu padh diehga. 
JHN.10.27	 Diehg giiha gihn roba lihng gene lihngo kedea ge ngahya maa batiena buodh gene buodho. 
JHN.10.28	 A ne cub kuowo me ne cohg yihr jo ayiih luma kedea ge be cahg thoo keehdo maa ngaa me rom gen ke yag oogo yi cinga tooro. 
JHN.10.29	Wura ge acub gen yihra ni, e ne duohng rog giih nyepinye cang kedea be ngaa me rom gen ke kaabo oogo yi cing Juog Wura. 
JHN.10.30	 A kedea Juog Wura wa beehda acielo.”
JHN.10.32	Abea Jeacuu arubo yihr gen kea, “Giih me gaahy nyoge me teeg me thoohdh ge ayuga yihru ke tee gihn acub Wura yihra maa aweehne kiin gen e ne daahdu an ke bahno ke nyinge?”
JHN.10.34+JHN.10.35+JHN.10.36	‘A ge adoohng ne dhaano utaahngo
JHN.10.34+JHN.10.35+JHN.10.36	a beehda Juog.’
JHN.10.34+JHN.10.35+JHN.10.36	Nea loohnge giihu ge beehda loohnge maa ather ukoohbo kejea ngaa akahl Juoge lume yihr ngo, ngo beehda Juog e gihn ge koohbu kejea Juog adhahla ge aroma riha keehde. Kare tooro ukoohbu kejea Juog adhahla nea a ukoohbo kaa a waahd Juog kedea Juog wiiha amoare naa aoohre an wiih piny. 
JHN.10.37	Nea padh tiihy Wura e ne tiihya e wu keá yiiho yi luma. 
JHN.10.38	 Abea nea beehda tiihy Wura e ne tiihya e wu dhiil yiiho yi gihn atiihya. Giih tiihya ge dhiilu kaa yiiho beere ngo ngahyu ngahyo ne cohg kejea Juog Wuur beehda anweehd ke an kedea an beehda anweehd ke Juog Wuur.”
JHN.10.41	 Maa abeehn nyoge me thoohdh bange kedea e ge urubo kob gene, “Keehd me bahnge giih me gaahy nyoge maa atiihy Joone tooro, e giih arobe ke nying nyin ge beehda athere.” 
JHN.10.42	 Maa abeehn nyoge me thoohdh uyiih gene lume.
JHN.11.2	Maarya ge anaa abeehn ne loar wiih Jeacuu ke mow kedea uwuunye tien ngo keehd yiehy wiihe. Anahg Laajoruj umiih gen e naa atwaany. 
JHN.11.3	 Noono e ge nyemen lubo aoohr gene bang Jeacuu, kob gene, “Ruohdh gomi ge anhyaari ngo atwaany.”
JHN.11.5	Maartha maa Maarya kedea Laajoruj umiih gen ge anhyaar Jeacuue keraahyo. 
JHN.11.6	Abea keehd maano, naa alihng Jeacuue lum atwaany Laajoruj e nihn ariow mooge ge adoge ke naah ce thube ke cidho.
JHN.11.7	Kaano e arobe yihr jo waahdhe kea, “Beehn dogo Judea.”
JHN.11.10	Abea nea ngaan ngo caahdh kii diehr waahr e kare nud ucwahnye bang gihn piny beehda muudho, gihn me meeny ngo tooro.” 
JHN.11.11	 Giih ni ge arobe kedea ubare maalo ke rob yihr gen kobe, “Goma Laajoruj ngo aneno abea adaahd ucaa ne tahnge.”
JHN.11.12	Maa abeehr jo waahdhe ngo yihre, “Ruohdh! Nea beehda niine e naa anene e atwaanye udoohng beer.” 
JHN.11.13	Abea Jeacuu anaa arubo kaa nying thon Laajoruj, abea jo waahdhe cuohn gene e ngo rubo kaa nying niin Pe'Dihmo now.
JHN.11.14	Gihn nu e ngo abeehne ne robo yihr gen kejea, “Laajoruj beehde athow. 
JHN.11.15	Abea cwihnya med, ke nying gihn toora buude beere wu uyiiho. Kea noono aayo ucidho ne maanye.”
JHN.11.17	Ge anaa awahnh Jeacuue ni e abeehne ne yoado kejea Laajoruj athow kedea yihre ne nihn angween naa akoanye. 
JHN.11.18	Bathany anahg geew me be baahr ke Jeruucalem, ngo anahg kar meale ariow. 
JHN.11.19	Kedea yaa Judea me thoohdh ge anaa abeehn bang Maartha kedea Maarya nyemen bang ne ciihm cwihny gen ke nying thon umiih gen. 
JHN.11.20	Kaa alihng Maarthae ngo kejea Jeacuu nii yooh ne beehno e a'aj maalo ucea ne lor ngo. Abea Maarya adoohng paajo.
JHN.11.22	Abea ngo ngahya keehd awaahn ni kan e Juog gihn kwayi ngo cube cubo yihri.”
JHN.11.23	Maa abeehr Jeacuue ngo yihre kea, “Umiihu ngo ucahr keehdo.”
JHN.11.26	Nea ngaa me kuow maa ayiih luma e ngo be kuong thoo. Gihn ni ngo ayiih Maartha.”
JHN.11.28	Naa athum Maarthae ke rob e acidho ne cuohn Maarya nyemen oogo kiin nyoge. Maa amuonge yi yihdh ngo kea, “Ngad puohny abeehno kedea yih daahde daahdo.” 
JHN.11.29	Naa alihng Maarya lum nu, e ngo aguo yedh maalo ne ci bang ngo. 
JHN.11.30	(Jeacuu apoohd ke kaa anaa ayoad Maarthae ngo yea, e poohd kuu awahnh yihdh miehr). 
JHN.11.31	Kaano e yaa Judea giih anaa wod ne ciihm cwihny Maarya ge athubo ke buodh batiene naa aniid gene ngo e a'aj maalo ke laahdo ne ci oogo, cuohn gene kejea ngo caa wiih liel ne lalo.
JHN.11.33	Naa aniid Jeacuue Maarya maa yaa Judea giih abeehno keehde e ge uyuog e cwihnye ake rahnyo kedea uyuog aduune keraahyo. 
JHN.11.34	Maa apeehy Jeacuue kea, “Kuohme akanu kee?”
JHN.11.34	Maa abeehr gene ngo kejea, “Ruohdh beehn ni uniidi kaa ngo.”
JHN.11.36	Maa arub yaa Judea kob gene, “Maahnyu kaa anhyaare ngo kii ngo.”
JHN.11.39	Maa akoohb Jeacuu kea, “Looru leelo oogo dhe liel.”
JHN.11.39	Maa akoohb Maarthae nyemiih ngaa athow kea, “Ruohdh kuohm dhaano anahg nihn angween yi buur, awaahn ngo ungwaahyo.”
JHN.11.40	Maa ataahny Jeacuue rih Maartha kea, “Kaa anaa robo yihri ne kejea nea yih yiiho e kaa amoar wiih Juog kii ngo niidi niido?”
JHN.11.41	Maa akahl gene leelo oogo dhe buur. Noono ubeehn Jeacuue umaahnye maalo maa arube kea, “Abaa Wura koohri amuoja bang gihn alihngi luma. 
JHN.11.42	 Ngo ngahya kejea luuba ge beehde e ge yiihi yiiho kedea ngo roba kaa nying yaa ni cuung kan bang ungahy gene ngo kejea yih naa aoohr an.”
JHN.11.43	Ge athume keehd rob e ake cuohdo e duone ne maalo kea, “Laajoruj beehn oogo.” 
JHN.11.44	 Maa abeehne oogo e cinge kedea tiene poohd e ge atuohj ke waaro kedea e wonge abahj ke waaro.
JHN.11.44	Maa arob Jeacuue ngo yihr gen kea, “Kahlu waay thoo oogo yi kuohme umeehgu ngo ci paajo.”
JHN.11.46	Abea nyoge mooge kiin gen ge abeehn ne ci bang Paarijea urob gene kwaad gihn atiihy Jeacuue ge aniid gene ni. 
JHN.11.47	 Maa abeehn jo doong yaa lam kedea Paarijea ucuohn gene amaad gihr Akuud Judea; noono upiih gene ne peehny rog gen, “Maahnyu ka beehn nyine utiihye giih me gaahy nyoge me thoohdh! 
JHN.11.48	Nea ngo meehgo ke bar maalo ke yug giih ni, e amahr nyoge giih puohnye ge beehn gene ke ne yiiho noono e apahne giih Roama kar kwaj gihro beehn gene ke ne kaabo kedea utoar gene ngo piny.”
JHN.11.50	Ngo kwihyu kejea ngo beer ubeehn dhaano acielo uthowe ke nying nyoge cang yi man beehn paajo ke kare cang uthowe.”
