MAT.1.1	Dool asaame hana juduud Isa al-Masiih ibn Dawuud ibn Ibraahiim. 
JHN.12.29	Wa naas waahidiin gaalo : Waahid min al-malaa’ika hajja leyah.
JHN.12.30	Wa Isa radda leehum wa gaal : Al-hiss da ansama’ le faayditku wa ma le faayditi. 
JHN.12.31	Hassa’ bas al-hukum yaji foog fasaalat al-dunya. Wa hassa’ bas taridiin Ibliis sultaan al-dunya. 
JHN.12.32	Wakit yarfa’ooni foog min al-ard, ninaadi kulla l-naas.
JHN.12.33	Wa Isa gaal al-kalaam da achaan yi’ooriihum be kikkeef hu yumuut. 
JHN.12.34	Wa l-naas al-haadiriin raddo leyah wa gaalo : Allamoona min al-Kitaab kadar al-Masiih yagood ila l-abad. Wa be da, maalak gult Ibn al-Insaan laabudda yarfa’ooh ? Wa Ibn al-Insaan da, hu yaatu ?
JHN.12.35	Wa Isa gaal leehum : Al-nuur yagood ma’aaku wakit chiyya bas. Ruukhu fi l-nuur achaan al-dalaam ma yinnasir foogku. Al-naadum al-yuruukh fi l-dalaam ma ya’arif al-bakaan al-derbah yiwaddiih foogah. 
JHN.12.36	Wakit al-nuur lissaa’ ma’aaku, aamunu be l-nuur. Wa be misil da, tabgo ahal al-nuur.
JHN.12.36	Wa ba’ad hu gaal al-kalaam da, hu macha wa allabbad minhum.
JHN.12.37	Isa sawwa ajaayib katiiriin fi ust al-Yahuud wa laakin be da kula, humman ma aamano beyah. 
JHN.12.38	Wa be misil da, kalaam al-nabi Icha’ya tamma. Hu gaal {Ya Allah, yaatu minhum saddakh kalaamna ? Wa yaatu al-chaaf gudrat Allah wa irifha ?} 
JHN.12.39	Wa l-Yahuud ma gidro yi’aamunu beyah achaan Icha’ya kula gaal 
JHN.12.40	{Allah sadda uyuunhum wa gaffal guluubhum achaan ma bichiifu be uyuunhum wa ma yafhamo fi guluubhum. Wa ma yigabbulu leyi ana Allah achaan nantiihum al-aafe}. 
JHN.12.41	Wa Icha’ya gaal al-kalaam da, achaan hu chaaf majd al-Masiih wa hajja beyah.
JHN.12.42	Wa fi l-wakit da kula, naas katiiriin min al-kubaaraat aamano be Isa. Wa laakin ma gaalo cheyy giddaam al-naas achaan humman khaayfiin min al-Fariisiyiin. Humman ma dawwaro al-Fariisiyiin yaturduuhum min buyuut al-sala. 
JHN.12.43	Wa dawwaro rida al-naas ziyaada min rida Allah.
JHN.12.44	Wa Isa hajja be hiss foog wa gaal : Ayyi naadum al-mu’min beyi, hu ma mu’min beyi ana bas laakin hu mu’min be Allah al-rassalaani kula. 
JHN.12.45	Wa ayyi naadum al-yichiifni, yichiif al-rassalaani kula. 
JHN.12.46	Ana jiit achaan nabga nuur le l-dunya. Wa ayyi naadum al-yi’aamin beyi ma yagood fi l-dalaam. 
JHN.12.47	Kan naadum yasma’ kalaami wa ma yitaabi’ah, ana zaati ma nihaasibah achaan ana jiit ma le nihaasib naas al-dunya laakin le ninajji naas al-dunya. 
JHN.12.48	Al-naadum al-ma yidoorni wa yaaba ma yitaabi’ kalaami indah gaadi al-yihaasibah. Fi l-yoom al-akhiir, al-kalaam al-ana gultah yijiib foogah al-hisaab marra waahid. 
JHN.12.49	Wa yabga misil da, achaan ana ma kallamt hasab raayi ana bas. Abuui Allah rassalaani be wasiiytah wa ooraani kulla l-kalaam al-waajib nuguulah. 
JHN.12.50	Wa ana na’arif kadar wasiiyat Allah tanti le l-naas al-haya al-abadiiye. Wa achaan da, ana nuguul al-kalaam al-Abuui ooraani beyah.
JHN.13.1	Wa gubbaal Iid al-Fisha ma yabda, Isa irif kadar al-wakit tamma leyah wa laabudda yamrug min al-dunya wa yigabbil le Abuuh. Wa min al-bidaaya, hu yihibb naasah al-gaa’idiin fi l-dunya wa yihibbuhum lahaddi al-akhiir.
JHN.13.2	Wa Isa wa talaamiizah gaa’idiin fi l-acha. Wa Yahuuza wileed Sim’aan al-Iskhariyooti indah niiye fi galbah min Ibliis achaan yukhuun Isa. 
JHN.13.3	Wa Isa ya’arif kadar hu ja min Allah wa yigabbil le Allah wa ya’arif kadar Abuuh antaah gudra foog kulla cheyy. 
JHN.13.4	Wa wakit gaa’idiin yaakulu, Isa gamma foog wa salla khalagah al-barraani wa chaal al-git’e al-buguchchu beeha wa rabat beeha sulbah. 
JHN.13.5	Wa sabba almi fi maa’uun wa bada yikhassil rijileen talaamiizah. Wa gachchaahum be l-git’e al-rabat beeha sulbah.
JHN.13.6	Wa ja le Sim’aan Butrus. Wa Butrus gaal : Sayyidna, tidoor tikhassil rijileeni walla ?
JHN.13.7	Wa Isa radda leyah wa gaal : Inta lissaa’ ma fihimt al-cheyy al-ana gaa’id nisawwiih laakin ba’adeen tafhamah.
JHN.13.8	Wa Butrus gaal : Abadan ma tikhassil rijileeni.
JHN.13.8	Wa Isa radda leyah wa gaal : Kan ma nikhassilak, inta ma hanaayi.
JHN.13.9	Wa Sim’aan Butrus gaal : Sayyidna, kan yabga misil da, ma tikhassil rijileeni bas. Khassil iideeni wa raasi kula.
JHN.13.10	Wa Isa gaal : Kan naadum barrad khalaas, al-khasuul ma waajib leyah illa fi rijileenah. Hu nadiif marra waahid wa intu nudaaf laakin ma kulluku.
JHN.13.11	Wa Isa irif al-naadum al-yidoor yukhuunah wa achaan da gaal «Ma kulluku nudaaf».
JHN.13.12	Wa wakit Isa khassal rijileenhum khalaas, hu libis khalagah wa gabbal fi bakaanah wa hajja leehum wa gaal : Ta’arfu al-cheyy al-ana sawweetah leeku walla ? 
JHN.13.13	Intu tuguulu ana mu’allimku wa sayyidku wa kalaamku sahiih. 
JHN.13.14	Wa kan ana sayyidku wa mu’allimku wa ana khassalt rijileenku, waajib kamaan ayyi waahid minku yikhassil rijileen al-aakhariin. 
JHN.13.15	Al-cheyy al-ana sawweetah da masal leeku achaan intu kula tisawwu misil ana sawweetah leeku. 
JHN.13.16	Asma’o, nuguul leeku al-hagg, al-abid ma akbar min siidah wa l-mursaal ma akbar min al-rassalah. 
JHN.13.17	Wa khalaas, ta’arfu al-kalaam da wa mabruuk leeku kan tisawwuuh.
JHN.13.18	Wa fi l-kalaam al-nuguulah hassa’ da, ma nihajji beeku kulluku. Na’arif al-naas al-ana ikhtirtuhum. Wa laakin al-kalaam al-maktuub fi l-Kitaab laabudda yukuun. Buguul {Al-naadum al-akal ma’aayi gamma bigi aduui}. 
JHN.13.19	Ni’ooriiku hassa’ be l-cheyy al-yidoor yabga gubbaal ma yabga. Achaan da, wakit bigi khalaas, intu ti’aamunu ana hu. 
JHN.13.20	Asma’o, nuguul leeku al-hagg, ayyi naadum al-yakhbal mursaali, yakhbalni ana. Wa l-naadum al-khiblaani ana, khibil Allah al-rassalaani.
JHN.13.21	Wa wakit Isa gaal al-kalaam da, hu hizin fi galbah marra waahid. Wa hajja leehum wa gaal : Asma’o, nuguul leeku al-hagg, naadum waahid minku yukhuunni.
JHN.13.22	Wa l-talaamiiz ajjabo wa ma irifo al-naadum al-minhum al-Isa hajja beyah. Wa kulluhum gaa’idiin yichchaawafo ambeenaathum. 
JHN.13.23	Wa naadum waahid min talaamiizah muntaki jamb Isa fi nussah al-zeenaay wa hu al-tilmiiz al-Isa biriidah bilheen. 
JHN.13.24	Wa Sim’aan Butrus sawwa leyah ichaara achaan yas’al Isa yaatu al-naadum al-hajja beyah. 
JHN.13.25	Wa l-tilmiiz takka wara lahaddi lihig sadur Isa wa sa’alah wa gaal : Sayyidna, hajjeet be yaatu ?
JHN.13.26	Wa Isa radda leyah wa gaal : Chiif, nichiil lugma wa nimallihha be mulaah wa nantiiha le naadum waahid. Wa da bas hu.
JHN.13.26	Wa chaal lugma wa mallahaaha wa antaaha le Yahuuza wileed Sim’aan al-Iskhariyooti. 
JHN.13.27	Wa Yahuuza chaal al-lugma wa khalaas Ibliis dakhal fi galbah. Wa Isa hajja leyah wa gaal : Al-cheyy al-tidoor tisawwiih, sawwiih ajala.
JHN.13.28	Wa kulluhum al-gaa’idiin yaakulu sim’o al-kalaam al-Isa gaalah le Yahuuza laakin ma irifo ma’anaatah.
JHN.13.29	Yahuuza hu mas’uul hana sanduug al-gurus wa fi fikir waahidiin, Isa gaal leyah khalli yamchi yachri al-khumaam al-waajib le l-iid. Wa fi fikir waahidiin, Isa gaal leyah khalli yamchi yanti sadakha le l-masaakiin. 
JHN.13.30	Wa Yahuuza chaal al-lugma wa tawwaali ke gamma marag. Wa l-leel gaa’id wa l-wata dalma.
JHN.13.31	Wa wakit Yahuuza marag khalaas, Isa hajja leehum wa gaal : Hassa’ gudra majiide hana Ibn al-Insaan tinchaaf wa beyah hu, gudra majiide hana Allah kula tinchaaf. 
JHN.13.32	Wa kan gudra majiide hana Allah tinchaaf be sababah, akiid Allah yanti le Ibn al-Insaan gudra majiide ma’aayah wa yantiih gudra majiide tawwaali.
JHN.13.33	Ya iyaali, ana nagood ma’aaku wakit chiyya bas. Intu tifattuchuuni wa laakin nuguul leeku nafs al-kalaam al-gultah le l-Yahuud. Al-bakaan al-namchi foogah intu ma tagdaro taju foogah. 
JHN.13.34	Wa nantiiku wasiiye jadiide wa l-wasiiye hi arraayado ambeenaatku. Arraayado misil ana niriidku. 
JHN.13.35	Wa misil da bas, kulla l-naas ya’arfu intu talaamiizi kan intu tirraayado ambeenaatku.
JHN.13.36	Wa Sim’aan Butrus gaal : Sayyidna, inta maachi ween ?
JHN.13.36	Wa Isa radda leyah wa gaal : Al-bakaan al-namchi foogah lissaa’ ma tagdar titaabi’ni foogah. Laakin wakit aakhar titaabi’ni.
JHN.13.37	Wa Butrus sa’alah wa gaal : Sayyidna, maala ma nagdar nitaabi’ak hassa’ ? Nitaabi’ak lahaddi nafdaak be ruuhi.
JHN.13.38	Wa Isa radda leyah wa gaal : Hal sahiih ke tidoor tafdaani be ruuhak walla ? Asma’, nuguul leek al-hagg, gubbaal al-diik ma yi’oo’i, inta tankurni talaata marraat.
JHN.14.1	Ma tihimmu. Aamunu be Allah wa aamunu beyi. 
JHN.14.2	Fiyah buyuut katiiriin fi hooch hana Abuui. Wa kan ma ke, ana ma nuguul leeku kadar namchi hinaak nihassil leeku bakaan. 
JHN.14.3	Wa wakit macheet hassalt leeku bakaan, nigabbil niwaddiiku hinaak achaan tagoodu ma’aayi. Wa be misil da, intu tagoodu fi l-bakaan al-ana gaa’id foogah. 
JHN.14.4	Wa ta’arfu derib hana l-bakaan al-namchi foogah.
JHN.14.5	Wa Tuuma sa’alah wa gaal : Sayyidna, ma na’arfu al-bakaan al-tamchi foogah. Kikkeef na’arfu derbah ?
JHN.14.6	Wa Isa radda leyah wa gaal : Ana bas al-derib wa l-hagg wa l-haya. Ma fi naadum yalhag Allah illa beyi. 
JHN.14.7	Kan iriftuuni, akiid ta’arfu Abuui Allah kula. Wa min hassa’ ta’arfuuh wa chiftuuh khalaas.
JHN.14.8	Wa Filibbus gaal : Sayyidna, khalliina nichiifu Abuuk wa abadan ma nas’alo cheyy aakhar.
JHN.14.9	Wa Isa gaal leyah : Filibbus, ana tawwalt ma’aaku. Kikkeef ma iriftini ? Ayyi naadum al-chaafaani, hu chaaf Abuui khalaas. Kikkeef tuguul «khalliina nichiifu Abuuk» ?
JHN.14.10	Wa Isa sa’alah wa gaal : Lissaa’ ma aamant kadar ana fi Abuui wa Abuui fiyi walla ? Al-kalaam al-nuguulah leeku ma jaayi minni wiheedi. Abuui mawjuud fiyi wa hu yisawwi amalah. 
JHN.14.11	Aamunu kadar ana mawjuud fi Abuui wa Abuui mawjuud fiyi. Wa kan ma ti’aamunu kalaami kula, fakkuru fi l-a’maal al-sawweethum wa aamunu beyi be sababhum. 
JHN.14.12	Asma’o, nuguul leeku al-hagg, ayyi naadum mu’min beyi hu kula yisawwi al-a’maal al-ana nisawwiihum. Aywa hu yisawwi a’maal kubaar minhum achaan ana gabbalt le Abuui. 
JHN.14.13	Wa ayyi cheyy al-tas’alooh be usmi, ana nisawwiih achaan Abuui yalga chukur ziyaada be sabab Ibnah. 
JHN.14.14	Aywa, ayyi cheyy al-tas’alooh be usmi, nisawwiih.
JHN.14.15	Kan tihibbuuni, intu titaabu’u al-wasaaya al-anteethum leeku. 
JHN.14.16	Wa ana nas’al Abuui wa hu yantiiku fi badali al-Mu’aawin. Wa l-Mu’aawin yagood ma’aaku daayman. 
JHN.14.17	Hu Ruuh al-Hagg. Naas al-dunya ma yagdaro yakhbalooh fi guluubhum achaan humman ma yichiifuuh wa ma ya’arfuuh. Wa laakin intu ta’arfuuh achaan hu gaa’id ma’aaku wa ba’adeen yagood fi guluubku.
JHN.14.18	Ana nikhalliiku laakin ma nikhalliiku marra waahid. Ana naji leeku battaan. 
JHN.14.19	Ba’ad wakit chiyya bas, ana namchi wa naas al-dunya ma yichiifuuni battaan laakin intu tichiifuuni. Ana nahya wa achaan da, intu kula tahyo. 
JHN.14.20	Wa fi l-yoom da, ta’arfu kadar ana gaa’id fi Abuui wa intu gaa’idiin fiyi wa ana gaa’id fiiku. 
JHN.14.21	Ayyi naadum al-simi’ al-wasaaya al-ana anteethum wa gaa’id yitaabi’hum, da bas al-naadum al-yihibbini. Wa kan naadum yihibbini, Abuui Allah yihibbah wa ana kula nihibbah wa naji leyah wa nibayyin nafsi leyah.
JHN.14.22	Wa tilmiiz waahid usmah Yahuuza wa hu ma Yahuuza al-Iskhariyooti wa hu sa’al Isa wa gaal : Sayyidna, kikkeef tibayyin nafsak leena wa ma le naas al-dunya ?
JHN.14.23	Wa Isa radda leyah wa gaal : Kan naadum yihibbini hu yitaabi’ kalaami. Wa Abuui yihibbah wa aniina naju leyah wa naskunu ma’aayah. 
JHN.14.24	Wa l-naadum al-ma yihibbini ma yitaabi’ kalaami. Al-kalaam al-tasma’ooh min khachmi ma hanaayi. Al-kalaam da jaayi min Abuui al-rassalaani. 
JHN.14.25	Ana gult al-kalaam da wakit ana lissaa’ gaa’id ma’aaku. 
JHN.14.26	Laakin al-Mu’aawin yaji wa hu al-Ruuh al-Khudduus wa Abuui yirassilah leeku be usmi. Wa hu yi’allimku kulla cheyy wa yifakkirku kulla l-kalaam al-ana gultah leeku. 
JHN.14.27	Nikhalliiku be salaam. Nantiiku salaam hanaayi. Al-salaam al-ana nantiih leeku afdal min ayyi salaam al-talgooh fi l-dunya. Ma tihimmu wa ma takhaafo. 
JHN.14.28	Intu simi’tu ana gult namchi wa nigabbil leeku. Kan tihibbuuni, tafraho ma’aayi achaan Abuui akbar minni wa ana namchi leyah. 
JHN.14.29	Wa khalaas ana ooreetku be l-cheyy al-gariib yabga. Wa hajjeet beyah gubbaal ma yabga achaan wakit da bigi khalaas, intu ti’aamunu. 
JHN.14.30	Wa nihajji ma’aaku chiyya bas achaan Ibliis sultaan al-dunya jaayi. Hu ma yagdar yisawwi leyi cheyy. 
JHN.14.31	Wa laakin ana nisawwi kulla cheyy al-Abuui amaraani beyah achaan kulla naas al-dunya ya’arfu ana nihibb Abuui. Khalaas gummu foog wa namchu.
JHN.15.1	Ana bas chadarat al-inab al-sahiihe wa Abuui hu siid al-jineene. 
JHN.15.2	Ayyi firi’ al-ma gaa’id yalda, hu yamurgah minni. Wa ayyi firi’ al-gaa’id yalda, hu yibarbirah achaan yabga nadiif wa yalda ziyaada. 
JHN.15.3	Wa intu bigiitu nudaaf khalaas be gudrat al-kalaam al-ana gultah leeku. 
JHN.15.4	Agoodu saabtiin foogi wa nagood saabit foogku. Al-firi’ ma yagdar yalda wiheedah. Al-firi’ yalda achaan gaa’id saabit fi l-chadara. Wa intu kula ma tagdaro tisawwu al-cheyy al-Allah bidoorah, illa kan intu tagoodu saabtiin foogi.
JHN.15.5	Ana chadarat al-inab wa intu al-furuu’. Kan naadum gaa’id saabit foogi, ana nagood saabit foogah wa hu yabga misil al-firi’ al-yalda katiir. Wa intu ma tagdaro tisawwu cheyy illa beyi. 
JHN.15.6	Kan naadum ma gaa’id saabit foogi, hu yabga misil firi’ al-ma yalda wa yamurguuh min al-chadara wa yazguluuh wa hu yaybas marra waahid. Wa l-furuu’ al-misil da, yilimmuuhum wa yidaffuguuhum fi ust al-naar wa yiharruguuhum. 
JHN.15.7	Kan intu tagoodu saabtiin foogi wa kalaami yagood saabit fi guluubku, as’alo min Allah ayyi cheyy al-tidooruuh wa Allah yisawwiih leeku. 
JHN.15.8	Kan intu talaamiizi, intu tabgo misil al-furuu’ al-yaldo iyaal katiir wa be misil da, Abuui yalga chukur ziyaada. 
JHN.15.9	Min al-awwal ana nihibbuku misil Abuui yihibbini. Agoodu saabtiin fi mahabbati. 
JHN.15.10	Kan intu titaabu’u al-wasaaya al-anteethum leeku, intu tabgo saabtiin fi mahabbati misil ana saabit fi mahabbat Abuui achaan ana taaba’t wasaayaah. 
JHN.15.11	Ana gult leeku al-kalaam da achaan al-farha al-gaa’ide foogi talhagku wa achaan tabgo farhaaniin marra waahid.
JHN.15.12	Wa l-wasiiye al-nantiiha leeku di hi, waajib tirraayado ambeenaatku misil ana niriidku. 
JHN.15.13	Wa ma fi mahabba kabiire min mahabbat al-naadum al-yihibb rufgaanah lahaddi yafdaahum be ruuhah. 
JHN.15.14	Wa intu rufgaani kan titaabu’u wasaaya al-anteethum leeku. 
JHN.15.15	Ana ma nuguul battaan intu khaddaamiini achaan al-khaddaam ma ya’arif kulla cheyy al-sayyidah gaa’id yisawwiih. Ninaadiiku rufgaani achaan ana ooreetku be kulla cheyy al-simi’tah min Abuui. 
JHN.15.16	Intu ma ikhtirtuuni. Ana bas ikhtirtuku wa rassaltuku achaan tijiibu leyi faayde wa achaan al-faayde di tuduum. Wa ayyi cheyy al-tas’alooh min Abuui be usmi, hu yantiiku. 
JHN.15.17	Wa diihi al-wasiiye al-nantiiha leeku, arraayado ambeenaatku.
JHN.15.18	Kan naas al-dunya yakrahooku, a’arfu kadar kirhooni ana gubbaal ma yakrahooku. 
JHN.15.19	Kan intu hagg al-dunya halaalha, naas al-dunya yihibbuuku wa yuguulu intu akhwaanhum. Laakin hassa’ intu ma naas hana l-dunya achaan ana ikhtirtuku min usut naas al-dunya achaan tabgo naasi wa khalaas naas al-dunya yakrahooku. 
JHN.15.20	Fakkuru fi l-kalaam al-ana gultah leeku. Ana gult al-abid ma akbar min siidah. Wa kan ta’’abooni ana, yita’’ubuuku intu kula. Wa kan khiblo kalaami, yakhbalo kalaamku kula. 
JHN.15.21	Yita’’ubuuku intu achaan intu naas hana usmi wa achaan ma irifo Allah al-rassalaani. 
JHN.15.22	Awwal kan ma jiit kallamt leehum, humman ma yabgo khaatiyiin. Laakin khalaas, ana kallamt leehum wa l-khata saabit fooghum. 
JHN.15.23	Ayyi naadum al-yakrahni, yakrah Abuui kula. 
JHN.15.24	Awwal kan ana ma sawweet fi usuthum amal al-naadum aakhar abadan ma sawwaah, humman ma yabgo khaatiyiin. Laakin hassa’ chaafo al-ajaayib wa kirhooni wa kirho Abuui. 
JHN.15.25	Wa be misil da, al-kalaam al-maktuub fi l-Kitaab al-humman yagruuh bigi fooghum sahiih. Maktuub {Kirhooni bala sabab}.
JHN.15.26	Laakin al-Mu’aawin yaji. Ana nirassilah leeku min bakaan Abuui wa hu Ruuh al-Hagg al-naazil min Allah. Wa wakit hu yaji, hu yachhad leyi 
JHN.15.27	wa intu kula tachhado leyi achaan intu ma’aayi min al-bidaaya.
JHN.16.1	Ana gult leeku kulla l-kalaam da achaan ma tamurgu min al-derib al-adiil. 
JHN.16.2	Yaturduuku min buyuut al-sala. Wa yaji wakit waahid ayyi naadum al-yaktulku yuguul hu gaa’id yakhdim le Allah. 
JHN.16.3	Yakrahooku misil da achaan Abuui Allah ma irifooh wa ma irifooni ana. 
JHN.16.4	Laakin gult leeku al-kalaam da achaan wakit al-ta’ab yaji foogku, tifakkuru wa ta’arfu kadar ana ooreetku beyah. Wa ana ma ooreetku min al-bidaaya be l-ta’ab al-yajiiku achaan awwal ana gaa’id ma’aaku.
JHN.16.5	Wa hassa’ ana nigabbil le Allah al-rassalaani wa ma fi naadum minku yas’alni «Inta maachi ween ?». 
JHN.16.6	Intu haznaaniin bilheen achaan ana hajjeet leeku be l-kalaam da. 
JHN.16.7	Laakin nuguul leeku al-hagg, yukuun leeku akheer kan namchi. Kan ana ma namchi, al-Mu’aawin ma yaji leeku. Laakin kan ana macheet khalaas, nirassilah leeku. 
JHN.16.8	Wa wakit hu yaji, hu yi’arrif le naas al-dunya zunuubhum wa yi’arrifhum al-haal al-saalhe wa l-hisaab. 
JHN.16.9	Hu yi’arrifhum al-zanib achaan ma aamano beyi. 
JHN.16.10	Hu yi’arrifhum al-haal al-saalhe achaan ana namchi le Abuui wa ma tichiifuuni. 
JHN.16.11	Hu yi’arrifhum al-Hisaab achaan Allah haasab Ibliis sultaan al-dunya khalaas.
JHN.16.12	Indi kalaam ziyaada nidoor nuguulah leeku laakin hassa’ intu ma tagdaro tahmalooh. 
JHN.16.13	Wakit Ruuh al-Hagg yajiiku, hu yuguudku fi l-hagg al-kaamil. Al-kalaam al-yuguulah ma jaayi minnah bas laakin hu yuguul kulla cheyy al-yasma’ah wa yi’ooriiku be l-cheyy al-lissaa’ ma bigi. 
JHN.16.14	Hu yichiil min kalaami wa yi’ooriiku beyah wa misil da, hu yibayyin leeku gudurti al-majiide. 
JHN.16.15	Kulla cheyy hana Abuui hanaayi. Wa achaan da, gult leeku hu yichiil min kalaami wa yi’ooriiku beyah. 
JHN.16.16	Ba’ad chiyya bas, ma tichiifuuni wa ba’ad chiyya battaan, tichiifuuni.
JHN.16.17	Wa waahidiin min talaamiizah hajjo ambeenaathum wa gaalo : Maala gaal «Ba’ad chiyya bas ma, tichiifuuni. Wa ba’ad chiyya battaan, tichiifuuni». Wa maala gaal «achaan nigabbil le Abuui» ? Chunu ma’ana al-kalaam da ?
JHN.16.18	Wa gaalo : Wa da chunu «wakit chiyya» ? Ma fihimna kalaamah.
JHN.16.19	Wa Isa irif kadar dawwaro yas’alooh. Wa sa’alaahum wa gaal : Hal intu gaa’idiin tichaawuru ambeenaatku fi kalaami walla ? Hal fihimtu kalaami «ba’ad chiyya bas, ma tichiifuuni wa ba’ad chiyya battaan, tichiifuuni» ? 
JHN.16.20	Asma’o nuguul leeku al-hagg, intu tabku wa tahzano wa naas al-dunya yafraho. Sahiih, intu tahzano laakin al-farha tibaddil leeku al-hizin. 
JHN.16.21	Kan mara khalbaane wa wakt al-waaluuda ja, hi tat’ab ta’ab chadiid. Wa wakit wildat sakhiirha khalaas, hi farhaane wa tansa al-ta’ab achaan jaabat naadum fi l-dunya. 
JHN.16.22	Wa yabga leeku misil da. Hassa’ tat’abo laakin ana nigabbil battaan nichiifku wa intu tafraho farha chadiide wa ma fi naadum yichiil minku al-farha. 
JHN.16.23	Fi l-yoom al-yaji da, intu ma tas’alooni cheyy. Asma’o, nuguul leeku al-hagg, ayyi cheyy al-tas’alooh min Abuui be usmi, hu yantiiku. 
JHN.16.24	Lahaddi l-yoom, intu ma sa’altu cheyy min Allah be usmi. As’alooh wa hu yantiiku achaan tafraho farha chadiide. 
JHN.16.25	Ana hajjeet leeku be amsaal laakin fi l-wakit al-baji, ma nihajji be amsaal wa ni’ooriiku be Abuui be kalaam waadih. 
JHN.16.26	Wa fi l-wakit al-yaji tas’alo Allah be usmi. Ana ma nuguul kadar ana nas’al Abuui fi chaanku. 
JHN.16.27	Abuui zaatah yihibbuku achaan intu habbeetuuni wa aamantu ana jiit min Allah. 
JHN.16.28	Ana jiit min Abuui wa dakhalt fi l-dunya. Wa hassa’ namrug min al-dunya wa nigabbil le Abuui.
JHN.16.29	Wa talaamiizah gaalo : Khalaas hassa’ da hajjeet be kalaam waadih wa ma be amsaal. 
JHN.16.30	Hassa’ na’arfu inta ta’arif kulla cheyy wa kan naadum ma yas’alak kula, inta ta’arif su’aalah. Wa achaan da, aniina nisaddukhu inta jiit min Allah.
JHN.16.31	Wa Isa radda leehum wa gaal : Hassa’ tuguulu aamantu walla ? 
JHN.16.32	Laakin wakit waahid yaji wa hassa’ al-wakit da ja. Wa fi l-wakit da, yichattutuuku ayyi waahid yamchi le beetah. Intu tikhalluuni wiheedi. Laakin be l-sahiih, ana ma wiheedi achaan Abuui gaa’id ma’aayi. 
JHN.16.33	Ana gult leeku kulla l-kalaam da, achaan talgo al-salaam be alaakhitku ma’aayi wa guluubku yarugdu. Akiid, tat’abo fi l-dunya laakin ana annasart fi l-dunya wa achaan da, chiddu heelku.
JHN.17.1	Wa wakit Isa gaal kulla l-kalaam da khalaas, hu rafa’ raasah wa chaaf foog fi l-sama wa gaal : Ya Abuui, al-wakit ja. Bayyin gudurtak al-majiide fi Ibnak achaan Ibnak yibayyin le l-naas gudurtak al-majiide. 
JHN.17.2	Wa leyi ana Ibnak, inta anteetni sulta foog kulla Bani Adam achaan ana nanti al-haya al-abadiiye le kulla l-naas al-inta anteethum leyi. 
JHN.17.3	Wa di bas al-haya al-abadiiye, ya’arfuuk inta Allah al-Waahid al-sahiih wa ya’arfu Isa al-Masiih al-inta rassaltah.
JHN.17.4	Ana kammalt al-amal al-inta kallaftini beyah wa be da, ana wassaft gudurtak al-majiide fi l-ard. 
JHN.17.5	Wa hassa’ arfa’ni fi majdak achaan nagood fi l-majd al-ana ga’adt foogah gubbaal bidaayit al-dunya. 
JHN.17.6	Ana wassaft gudrat usmak le l-naas al-inta naadeethum min usut naas al-dunya achaan tantiihum leyi. Awwal humman hanaak wa kallaftini beehum wa humman taaba’o kalaamak. 
JHN.17.7	Wa hassa’ ya’arfu kadar kulla cheyy al-inta anteetni ja minnak 
JHN.17.8	achaan ana anteethum al-kalaam al-inta anteetni. Wa humman khiblooh wa ya’arfu akiid ana jiit minnak wa saddakho kadar inta rassaltini.
JHN.17.9	Wa ana nas’alak leehum. Ana ma nas’alak le naas al-dunya laakin le l-naas al-inta kallaftini beehum achaan humman hanaak. 
JHN.17.10	Kulla naas hanaayi hanaak wa kulla naas hanaak hanaayi. Wa fooghum humman, gudurti al-majiide tibiin. 
JHN.17.11	Wa hassa’ ma nagood fi l-dunya laakin humman gaa’idiin fi l-dunya wa ana naji leek. Ya Abuui al-Khudduus, ahfadhum be gudrat usmak al-anteetni achaan humman yabgo waahid misil aniina waahid. 
JHN.17.12	Wakit ana gaa’id ma’aahum ana hafadtuhum be gudrat al-usum al-inta anteetni. Ana harastuhum wa ma fi naadum minhum waddar, illa l-naadum al-laabudda yiwaddir achaan al-kalaam al-maktuub fi l-Kitaab yitimm.
JHN.17.13	Wa hassa’ naji leek. Wa wakit ana lissaa’ fi l-dunya, nuguul al-kalaam da achaan humman yafraho farha chadiide misil ana nafrah. 
JHN.17.14	Ana ooreet naasi be kalaamak wa naas al-dunya kirhoohum achaan naasi ma hana l-dunya misil ana kula ma hana l-dunya. 
JHN.17.15	Ana ma nas’alak achaan tamrughum min al-dunya. Nas’alak achaan tahfadhum min Ibliis al-chariir. 
JHN.17.16	Humman ma naas hana l-dunya misil ana kula ma hana l-dunya. 
JHN.17.17	Khalli al-hagg yisawwiihum khaassiin leek. Kalaamak bas al-hagg. 
JHN.17.18	Ana rassaltuhum fi l-dunya misil inta awwal rassaltini fi l-dunya. 
JHN.17.19	Wa le faaydithum, ana naj’al nafsi khaass leek achaan humman kula yabgo khaassiin leek be l-sahiih.
JHN.17.20	Ana ma gaa’id nas’alak leehum wiheedhum. Ana nas’alak le l-naas al-yasma’o kalaamhum wa yi’aamunu beyi. 
JHN.17.21	Ya Abuui, ana gaa’id nas’alak leehum achaan kulluhum yabgo waahid. Misil inta waahid ma’aayi wa misil ana waahid ma’aak, khalli humman kula yabgo waahid ma’aana. Khalli yabgo waahid achaan naas al-dunya yisaddukhu kadar inta rassaltini.
JHN.17.22	Al-nuur al-majiid al-anteetah leyi ana anteetah leehum achaan humman yabgo waahid misil aniina waahid 
