GEN.1.1	Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,
LEV.10.7	Ag kayo ontataynan ed lolooban na Tulda, ta no ontaynan kayo ompatey kayo, lapud nisaklang kayo diad panamegley na ilalana a larak na 
LEV.10.8	Say 
LEV.10.9	“Sika tan saray lalakin anak mo et ag nepeg ya onloob ed Tuldan Ayaman ko kayari yon oninom na alak odino arum nin mabayanin inomen, ta no gawaen yo ya, ompatey kayo. Sikato ya so sakey a ganggan a nepeg a sumpalen na amin a kabyangay boleg mo. 
LEV.10.10	Nepeg yon pambiigan so bengatlan kayaryan na Dios tan say bengatlan kayaryan na karaklan; nepeg yo met a pambiigan so malinis tan say marotak onung ed ganggan. 
LEV.10.11	Nepeg yo met ya ibangat ed saray totood Israel iray amin a ganggan ya inter kod sikara diad panamegley nen Moises.”
LEV.10.12	Si Moises inkuantod kinen Aaron tan saray nakdaan a lalakin anak to a di Eleazar tan Itamar, “Ala yoy bagat a trigo ya akeraan ed bagat a popoolan ed 
LEV.10.13	Akan yod sakey a masanton pasen; sikato ya so betang yo tan saray lalakin anak yo ed bagat a popoolan ed 
LEV.10.14	Balet sikayo tan saray anak yon lalaki tan bibii et nayarian yon kanen so pagew tan say kamanonur a sali a nisaklang a nidoma-doman rigalo ed 
LEV.10.15	Awiten da so kamanonur a sali tan say pagew no isaklang a bagat a popoolan ed 
LEV.10.16	Si Moises tinepet to so nipaakar ed samay kanding ya ibagat para kasalanan, et naamtaan to ya apoolan la. Lapud saya, akapasnuk si Moises ed kinen Eleazar tan si Itamar. Inkuantod sikara, 
LEV.10.17	“Akin et ag yo inakan ed masanton pasen imay bagat a para kasalanan? Masanton tuloy iman, et say 
LEV.10.18	Bangta say dala to et ag niakar ed dalem na masanton Tulda, nepeg komun ya inakan yod man imay bagat onung na ingganggan ko.”
LEV.10.19	Inmebat si Aaron, “Natad sayan agew say totoo angisaklang irad arap na 
LEV.10.20	Akaliket si Moises nen nadngel to yan ebat nen Aaron.
LEV.11.1	Say 
LEV.11.2	a nepeg a tombuken na saray totood Israel. Nayarian yon kanen so dinan man ya ayep ed tapew na dalin 
LEV.11.3	a pisag so koko to tan mamparintek. 
LEV.11.4+LEV.11.5+LEV.11.6	Balet ag yo nepeg a kanen iray kamilyo, saray konihod takel, odino saray konihon amo. Ipasen yon marotak ira yan ayayep, ta mamparintek ira balet aliwan pisag so koko ra. 
LEV.11.7	Ag kayo mamangakan na baboy ta ipasen yon marotak ya ayep; pisag iray koko to, balet ag mamparintek. 
LEV.11.8	Ag kayo mamangakay dinan man ed sarayan ayayep, ni didiwiten so laman ton inatey; marotak ira yan ayayep.
LEV.11.9	Nayarian yo a kanen so anggan dinan a sira a nanggigim tan nansiksik, 
LEV.11.10	balet ag nayarin kanen so antokaman a manaayam ed danum ya anggapoy gigim tan siksik. 
LEV.11.11	Ipasen yon marotak ira yan sira. Ag yo ra kakanen, ni didiwiten iray laman dan inatey. 
LEV.11.12	Ag kayo mamangakay antokaman a mabilay ya ag nansiksik tan ag nanggigim a manaayam ed danum.
LEV.11.13+LEV.11.14+LEV.11.15+LEV.11.16+LEV.11.17+LEV.11.18+LEV.11.19	Ag yo nepeg a kanen iray onggendan a marotak a manok: agila, kulayot, baga, gikgik; busardo, buitri, wawak; abistrus; garsita, tigkalak, dulakak, pilikano, kalamon, abudilla, tan kaging.
LEV.11.20	Amin a nampayak a bigis et marotak 
LEV.11.21	likud labat ed saray manlukso. 
LEV.11.22	Nayarian yoy mangan na dorun, dalokduk, odino wirwir. 
LEV.11.23	Balet amin a nampayak tan mankorung et ipasen yo ran marotak.
LEV.11.24+LEV.11.25+LEV.11.26+LEV.11.27+LEV.11.28	Siopamay makadiwit ed inatey a laman na saray onggendan ya ayayep et marotak ya anggad labi: amin ya ayayep a nankoko likud no pisag so koko ra tan mamparintek ira, tan amin ya ayayep ya apatiray sali tan andorokey so koko ra. Siopamay manawit na inatey a laman da ra yan ayayep nepeg ya ipesak toy kawes to, balet sikatoy marotak ni ya anggad labi.
LEV.11.29+LEV.11.30	Ipasen yon marotak iray bulilit, otut, tilay, toko, tiki, buaya, basakay, tan angga. 
LEV.11.31	Siopamay maniwit ed saraya odino say inatey a laman da et marotak ya anggad labi. 
LEV.11.32	Amin a bengatlan adapoan na laman dan inatey et marotak. Sarayan bengatla et tabla, abel, katat, odino sako ya anggan antoy pangikakanaan. Nakaukolan ya itaksaw irad danum balet mansiansia ran marotak ya anggad labi. 
LEV.11.33	Et no dinmapod banga so inatey a laman da, amin a karga to may banga magmaliw a marotak, tan nepeg yon betagen. 
LEV.11.34	Amin a kakanen a naibungan na danum a walad saman a banga et magmaliw a marotak tan amin a nayarin inumen a wadman ed saman a banga et magmaliw a marotak. 
LEV.11.35	Anggan anton bengatla a nadapoan na inatey a laman et magmaliw a marotak; say dalin a dalikan odino pogun et nepeg a betagen, 
LEV.11.36	balet say sobul odino bobun et mansiansian malinis anggaman ya amin a bengatlan nadiwit na inatey a laman et magmaliw a marotak. 
LEV.11.37	No nadapoan day bokel ya itatanem, samay bokel mansiansian malinis. 
LEV.11.38	Balet no say bokel ya akatalem ed danum et napelagan na inatey a laman na ayep a marotak, samay bokel magmaliw a marotak.
LEV.11.39	Siopamay makadiwit na inatey a laman na sakey a nayarin kanen et magmaliw a marotak ya anggad labi. 
LEV.11.40	No walay mangan na anggan dinan a parti na samay inatey ya ayep, nepeg ton ipesak so kawes to, balet sikato niy marotak ya anggad labi; siopamay manawit na inatey ya ayep nepeg ya ipesak toy kawes to, balet sikato niy marotak ya anggad labi.
LEV.11.41	Ag yo nepeg so mansira na dinan man ya ankekelag ya ayep a manaakar ed tapew na dalin, ta marotak ira. 
LEV.11.42	Nayarin sarayan ayayep et maniilas ira, odino panaakar day apatiran sali ra, odino amayamay so sali ra. 
LEV.11.43	Ag yo dodotakay sikayon dili diad pangan yod sarayan ayayep. 
LEV.11.44	Siak so 
LEV.11.45	Siak so 
LEV.11.46	Sikato ya sirin so ganggan a nipaakar ed saray ayayep tan saray manok, nipaakar ed amin a manaayam ed danum, tan amin a manaakar ed tapew na dalin. 
LEV.11.47	Apiger yon pambiigan so malinis tan say marotak onung ed ganggan, saray ayayep a nayarin kanen tan saray ayayep a sebel a kanen.
LEV.12.1	Say 
LEV.12.2	a nepeg a sumpalen na saray totood Israel. Diad loob na pitoran agew kayariy pananak na sakey ya ina ed sakey a laki, sayan ina et marotak onung ed ganggan, a singa inkarotak to no naliliberan. 
LEV.12.3	Diad kumawalon agew nepeg a segaten so ogaw. 
LEV.12.4	Sayan ina talomplo tan taloy agew ni a siansian marotak lapud inkaekalan toy dala nen mananak; nepeg ya ag to mandiwit na antokaman a masanto, ni onloob ed dalem na masanton Tulda ya anggad pagmaliw to lan malinis onung ed ganggan.
LEV.12.5	Diad loob na labinapat agew kayariy pananak na ina ed sakey a bii, sayan ina et marotak onung ed ganggan, a singa inkarotak to no naliliberan. Insan anemaplo tan anem ya agew ni a siansian marotak lapud inkaekalan toy dala nen nananak.
LEV.12.6	No nagmaliw lan malinis onung ed ganggan kayari na inkarotak to lapud impananak to na laki odino bii, nepeg a mangyakar ed pari diad lolooban na Tuldan Ayamay 
LEV.12.7	Say pari isaklang to yan bagat ed 
LEV.12.8	No ag nayarian na sakey a bii so mangibagat na sakey a kordiro, nepeg a mangisaklang na duaran palekpek odino duaran malapati, say sakey isaklang a bagat a popoolan tan say sakey ibagat a para kasalanan. Say pari gawaen toy sirimonya a mangekal na inkarotak na samay bii et, diad ontan, magmaliw a malinis onung ed ganggan.
LEV.13.1	Say 
LEV.13.2	No say sakey a too et agiri odino apelsaan odino alanokan a nayarin magmaliw a singa sakit a kating, iyakar ed kinen Aaron odino diad sakey ed saray paparin anak to. 
LEV.13.3	Say pari nengnengen to may sakit na baog et, no pinmoti ray bagod kawalaan to tan singa kinmotlaung, singa kating yan sakit. Say pari ed satan sintinsiaan ton marotak imay too. 
LEV.13.4	Balet no samay sakit na baog et ampoti tan ag kinmotlaung tan ag pinmoti ray bago, say pari panayamen ton pitoy agew a bukbukor to imay too ed akabiig a pasen. 
LEV.13.5	Say pari nengnengen to lamet diad kumapiton agew imay too; no diad pakanengneng to et ag angoman imay sakit tan ag kinmayat, panayamen to nin pitoy agew ed akabiig a pasen. 
LEV.13.6	Samay pari nengnengen to lamet diad kumapiton agew et no nakal so poti to may sakit tan ag kinmayat, sintinsiaan ton malinis imay too onung ed ganggan; sakey labat a giri. Samey too ipesak tok kawes to et magmaliw a malinis onung ed ganggan. 
LEV.13.7	Balet no samay sakit et kinmayat kayari na impannengneng tan impanintinsia na pari a malinis imay too, nepeg a mampanengneng lamet imay too ed pari. 
LEV.13.8	Say pari nengnengen to lamet, et no kinmayat imay sakit, sintinsiaan to a marotak imay too; kating so sakit to.
LEV.13.9	No say sakey a too et walay sakit ton kating, iyakar ed pari 
LEV.13.10	a mannengneng ed sakit na samay too. No walay ampotin babag ed baog to ya amapoti na saray bago tan pinmaway lay laman, 
LEV.13.11	saya et abayag lan kating. Say pari sintinsiaan ton marotak; ag la nakaukolan a papawilen ton panayamen ed samay akabiig a pasen, mapatpatnag lan sikatoy marotak. 
LEV.13.12	No samay sakit et onkayat ed intiron laman to, manlapud olo ya anggad sali to, 
LEV.13.13	say pari nengnengen to lamet. No narumog ton kinmayat ed intiron laman to, sintinsiaan ton malinis onung ed ganggan. No amin a baog to et nagmaliw ya ampoti sikato so malinis onung ed ganggan. 
LEV.13.14	Balet manlapud bekta a walay tinmerak a babag, sikato so marotak. 
LEV.13.15	Say pari nengnengen to lamet, tan no nanengneng to so tinmerak a babag, sintinsiaan ton marotak imay too. Say tinmerak a babag et sakey a sakit a kating, kanyan marotak imay too. 
LEV.13.16	Balet no onabig so babag a tinmerak tan nagmaliw ya ampoti lamet, samay too onla ed pari 
LEV.13.17	a mannengneng lamet ed sikato. Et no pinmoti imay sakit, sikatoy malinis onung ed ganggan, tan say pari sintinsiaan ton malinis.
LEV.13.18	No say sakey a too et walay pelsa ton inmabig la 
LEV.13.19	balet no ag abayag et walay linmetaw ya ampotin larag odino ampotin balangaan a batek ed nanlapwan na samay pelsa, sikatoy onla ed pari. 
LEV.13.20	Nengnengen na pari, et no kinmotlaung imay batek tan pinapoti to ray bago, sintinsiaan ton marotak. Kating yan sakit a ginmapod pelsa. 
LEV.13.21	Balet no say pari et nengnengen to may batek tan narumog ton ag pinmoti rad may bago tan ag kinmotlaung, balet ta posisawan so kolor to, say pari panayamen ton pitoy agew imay mansasakit ed akabiig a pasen. 
LEV.13.22	No onkayat imay batek, say pari sintinsiaan ton marotak; walay sakit to. 
LEV.13.23	Balet no anggapoy pangomanan to may batek tan ag onkayat, sakey labat a piglat na pelsa, tan say pari sintinsiaan ton malinis imay too onung ed ganggan.
LEV.13.24	No say sakey a too et apoolay parti na laman to, tan nagmaliw ya ampoti odino ampotin balangaan a batek so apoolan a laman, 
LEV.13.25	say pari nengnengen to. No pinmoti ray bago diad kawalaay batek tan kinmotlaung, kating yan sakit a ginmapod inpakapoolan to, sintinsiaan ton marotak. 
LEV.13.26	Balet no ag pinmoti ray bago diad apoolan a parti, tan ag kinmotlaung, balet ta posisawan so kolor to, say pari panayamen ton pitoy agew a bukbukor to imay too ed akabiig a pasen. 
LEV.13.27	Say pari nengnengen to lamet diad kumapiton agew, et no onkakayat imay batek talagan sakit a kating, tan say pari sintinsiaan ton marotak imay too. 
LEV.13.28	Balet no anggapoy angomanan to may batek tan ag onkakayat tan posisawan so kolor to, aliwan sakit a kating. Say pari sintinsiaan ton malinis imay too, onung ed ganggan, lapud sakey labat a piglat na samay apoolan.
LEV.13.29	No say sakey a laki odino say sakey a bii et walay sakit tod baog na olo odino baba, 
LEV.13.30	say pari nengnengen to may sakit. No singa kinmotlaung tan saray bagod samay kawalaay sakit et duyawan tan pino, kating yan sakit; say pari sintinsiaan tod satan a marotak imay too. 
LEV.13.31	No diad pannengneng na pari ed samay too et naalmoan ton ag kinmotlaung imay sakit, balet ta aliwa nin magket iray bago, panayamen to na pitoy agew a bukbukor to may too ed akabiig a pasen. 
LEV.13.32	Diad kumapiton agew say pari nengnengen to lamet imay sakit, et no ag kinmayat tan anggapo ray duyawan a bago ed kawalaay sakit tan ag kinmotlaung, 
LEV.13.33	samay too kiskisan toy kaliber-liber na samay sakit. Say pari ed satan panayamen to lamet na pitoy agew a bukbukor to imay too ed akabiig a pasen. 
LEV.13.34	Diad kumapiton agew say pari nengnengen to lamet imay sakit, ta no ag kinmayat tan ag kinmotlaung, sintinsiaan ton malinis imay too onung ed ganggan. Samay too ipesak toy kawes to, tan sikatoy malinis la. 
LEV.13.35	Balet no kinmayat imay sakit kayari na impanintinsia ed sikato a malinis, 
LEV.13.36	say pari nengnengen to lamet. No kinmayat la so sakit ag to la nakaukolan a nengnengen no wala kasi odino anggapo so duyawan a bago; mapatnag a samay too et marotak. 
LEV.13.37	Balet no diad pakanengneng na samay pari et ag kinmayat imay sakit tan totobuan la ra na magket a bago imay sakit, inmabig lan talaga, tan samay pari sintinsiaan ton malinis onung ed ganggan.
LEV.13.38	No say sakey a laki odino bii et wala ray ampotin batek ed baog to, 
LEV.13.39	say pari nengnengen to yan too. No ampotin posisaw so kolor na saray batek, batek ira labat a linmetaw ed baog; say too et malinis onung ed ganggan.
LEV.13.40+LEV.13.41	No say sakey a too et ayangyangan ed beneg na olo to odino diad arap na olo to, sikatoy aliwan marotak no ag ta yangyangan labat. 
LEV.13.42	Balet no walay onletaw a balangaan ya ampotin giri ed samay ayangyangan a parti, sakit yan kating. 
LEV.13.43	Say pari nengnengen to, tan no walan talagay balangaan ya ampotin giri, 
LEV.13.44	samay pari sintinsiaan ton marotak imay too, lapud samay kating a walad olo to.
LEV.13.45	Say toon walay kating ed laman to nepeg a mankawes na apilat-pilat, ag mansagaysay, sakuban toy kapalduan lupa to ed bandad leksab, tan oneyag, “Marotak, marotak!” 
LEV.13.46	Mansiansian marotak legan a walay sakit to, tan nepeg a manayam ya arawid saray totoo, diad paway na kampo.
LEV.13.47	No walay boot
LEV.13.48	odino boot ed abel a lana odino linen, odino boot ed katat odino diad antokaman a ginawad katat, 
LEV.13.49	no birdian odino balangaan so kolor to, boot yan onkayat tan nepeg ya ipanengneng ed pari. 
LEV.13.50	Say pari nengnengen to tan isinup to na pitoy agew imay nipanengneng a bengatla. 
LEV.13.51	Nengnengen to lamet diad kumapiton agew, et no kinmayat imay boot, samay bengatla et marotak. 
LEV.13.52	Say pari poolan to, lapud onkayat yan pikas a nepeg a deralen diad panamegley na apoy.
LEV.13.53	Balet no diad panengneng na pari ed samay boot, et narumog ton ag onkakayat ed samay bengatla, 
LEV.13.54	iganggan to a nipesak tan nisinup nin pitoy agew. 
LEV.13.55	Insan to lamet nengnengen, et no ag angoman so kolor na samay boot anggaman ya ag kinmayat, siansia nin marotak; nepeg yon poolan imay bengatla, anggan say boot et walad arap odino diad beneg. 
LEV.13.56	Balet no diad pannengneng lamet na pari et kinmopas imay boot, satsaten toy parti na kawes odino katat a kawalaay boot insan to ekalen. 
LEV.13.57	Insan no ompatnag lamet so boot, onkakayat lamet tan nepeg a poolan na akankien so kawes odino katat. 
LEV.13.58	No ipesak to, et nakal imay boot, ipesak to lamet, et magmaliw lan malinis onung ed ganggan. 
LEV.13.59	Sikato ya sirin so ganggan a nipaakar ed boot ed kawes a lana odino linen, o abel a lana odino linen, odino diad pikas ed antokaman a ginawad katat.
LEV.14.1	Say 
LEV.14.2	iray onggendan a totontonen a nipaakar ed sirimonya a panlinis ed sakey a toon inmabig ed sakit a kating. Diad agew a say sakey a too et nasintinsiaan a malinis onung ed ganggan, sikatoy niakar ed pari. 
LEV.14.3	Insan say pari iyakar tod paway na kampo tan diman to nengnengen. No inmabig la may sakit 
LEV.14.4	say pari iganggan to a niakar ed sikato so duaran manok a malinis onung ed ganggan, sakey a poter na kiew a sidro, sakey ya ambalangan koldon, tan sakey a sangay isopo. 
LEV.14.5	Insan say pari iganggan to a samay sakey a manok et pateyen ya akasalur so sakey a bangan nankarga na danum ya inalad sobol. 
LEV.14.6	Alaen to may sananey a manok tan isawsaw tod dala na samay pinatey a manok; isawsaw to met imay kiew a sidro, samay ambalangan koldon, tan samay sangay isopo. 
LEV.14.7	Iwalsik ton mamimpito imay dala ed samay toon linisan ed sakit ton kating, insan sintinsiaan ton malinis onung ed ganggan. Paibolus tod kaalogan imay mabilay a manok. 
LEV.14.8	Samay too ipesak toy kawes to, poklisan toy olo to, tan manames; diad onya magmaliw a malinis onung ed ganggan. Nayarian toy onloob ed kampo balet ta manayam ni na pitoy agew ed paway na tulda to. 
LEV.14.9	Diad kumapiton agew kiskisan toy buek to, balbas to, kirep to, tan amin a bagoy laman to; ipesak toy kawes to tan manames. Diad onya magmaliw lan malinis onung ed ganggan.
LEV.14.10	Diad kumawalon agew sikatoy mangyakar na laman a duaran kordiron kalakyan tan sakey a kordiron kabatyan a sakey taon ya anggapoy deral na laman da, duaran kilon arina ya inkames ed larak na oliba tan talora tan kapalduan litro a larak na oliba. 
LEV.14.11	Say pari iyakar to may too tan sarayan bagat diad lolooban na Tuldan Ayamay 
LEV.14.12	Insan say pari alaen to may sakey a kordiron kalakyan tan, katekep na samay taloran tan kapalduan litron larak, isaklang to a bagat a pambayar. Isaklang to a nidoma-doman rigalod 
LEV.14.13	Pateyen to may kordiro diad masanton pasen a panamateyan ed saray ayep ya ibagat para kasalanan tan saray ayep ya ibagat a popoolan. Nepeg to yan gawaen lapud say bagat a pambayar et kayaryan na pari tan masanton tuloy a singa bagat a para kasalanan. 
LEV.14.14	Say pari mangala na daiset a dala to may kordiro, insan to iponaris ed gilig na kawanan a layag to may toon sintinsiaan a malinis onung ed ganggan, diad tangan na kawanan a lima to, tan diad tangan na kawanan a sali to. 
LEV.14.15	Say pari mangala na daiset a larak na oliba tan ipaterter tod daklap na kawigin lima to, 
LEV.14.16	idelnet toy tamoro na kawanan a lima to tan iwalsik tod man a mamimpito diad arapan na 
LEV.14.17	Mangala na daiset a larak a walad daklap to tan daiset a dala to may kordiro, insan iporanis to rad kawanan a gilig na layag to may toon sintinsiaan a malinis onung ed ganggan, diad tangan na kawanan a lima to, tan diad tangan na kawanan a sali to. 
LEV.14.18	Ilana tod olo to may too imay akeraan a larak ed daklap to. Diad onya gawaen toy sirimonya na panlinis.
LEV.14.19	Insan say pari isaklang toy bagat a para kasalanan tan gawaen toy sirimonya na panlinis. Kayari to ya, pateyen toy ayep a para bagat a popoolan 
LEV.14.20	tan, katekep na bagat a trigo isaklang tod tapew na altar. Diad onya say pari gawaen toy sirimonya na panlinis, tan samay too et magmaliw a malinis onung ed ganggan.
LEV.14.21	No mairap so bilay na sakey a too tan ag to nayarian ira yan ibagat, mangyakar na sakey labat a kordiron kalakyan ya isaklang ton bagat a pambayar ya onkanan panlinis ed sikato onung ed ganggan, sakey a nidoma-doman bagat ed 
LEV.14.22	Mangyakar met na duaran palekpek odino duaran malangwer a malapati; say sakey ibagat a para kasalanan tan say sakey para bagat a popoolan. 
LEV.14.23	Diad kumawalon agew na panlinis ed sikato iyakar to ra ya ed pari diad lolooban na Tulda. 
LEV.14.24	Say pari alaen to may kordiro tan samay larak na oliba tan isaklang ton nidoma-doman rigalo ed 
LEV.14.25	Pateyen to may kordiro tan mangala na daiset a dala to, insan to iponaris ed gilig na kawanan a layag to may too, diad tangan na kawanan a lima to, tan diad tangan na kawanan a sali to. 
LEV.14.26	Samay pari mangipaterter na larak ed daklap na kawigin lima to 
LEV.14.27	tan diad panamegley na tamoro na kawanan a lima to iwalsik tod man a mamimpito diad arapan na 
LEV.14.28	Mangipoyuk na daiset a larak ed saramay pasen ya angiponarisan to na dala: diad gilig na kawanan a layag to may too, diad tangan na kawanan a lima to, tan diad tangan na kawanan a sali to. 
LEV.14.29	Say akeraan ed samay larak a walad daklap to et ipoyuk tod olo na samay too tan diad onya gawaen to so sirimonya na panlinis. 
LEV.14.30	Insan mangisaklang na sakey ed saramay palekpek odino malangwer a malapati, 
LEV.14.31	a sakey a bagat a para kasalanan tan say sananey para bagat a popoolan a katekep toy bagat a trigo. Diad onya say pari gawaen toy sirimonya na panlinis. 
LEV.14.32	Sikato ya so ganggan a sumpalen na toon walay sakit ton kating balet ag to nayarian ya isaklang so ingganan bagat a para panlinis to.
LEV.14.33	Say 
LEV.14.34	iray onggendan a totontonen a nipaakar ed saray abung a nabobootan. (Sarayan totontonen et tombuken ira no saray totood Israel et akaloob la ra ed dalin na Canaan ya iter na 
LEV.14.35	Siopamay makalmo na boot ed abung to nepeg ya ibaga tod pari. 
LEV.14.36	Say pari iganggan to ya ekalen iray amin a karga to may abung kasakbayan a laen ton nengnengen so boot; ta no ag da ra ekalen nasintinsiaan ira a marotak onung ed ganggan. Insan onlad samay abung so pari 
LEV.14.37	ta nengnengen toy boot. No wala ray birdian odino balangaan a batek a singa kinmotlaung la rad dingding, 
LEV.14.38	taynan to may abung tan italak ton pitoy agew. 
LEV.14.39	Diad kumapiton agew ompawil ta nengnengen to lamet imay abung. No kinmayat imay boot, 
LEV.14.40	iganggan ton saray bato ed kawalaan na samay boot et ekalen ira tan ibantak irad sakey a marotak a pasen onung ed ganggan diad paway na siudad. 
LEV.14.41	Kayari to ya, paekal to ray amin a palitadad dalem na abung tan paibantak to rad sakey a marotak a pasen diad paway na siudad. 
LEV.14.42	Insan saray arum a bato la so isalat ed saramay baton nakal, tan palitadaan la na balo so dalem na abung.
LEV.14.43	No nabootan lamet imay abung kayarin nakal la ra may bato tan say palitada tan apalitadaan lay balo, 
LEV.14.44	say pari laen ton nengnengen. No kinmayat imay boot, samay abung et marotak. 
LEV.14.45	Nepeg a bagbagen la may abung; amin a bato to, saray kiew to, tan amin a palitada to et nepeg ya ibantak irad sakey a marotak a pasen diad paway na siudad. 
LEV.14.46	Siopamay toon onloob ed abung legan ya akatalak et magmaliw a marotak ya anggad labi. 
LEV.14.47	Siopamay toon ondokul odino mangan ed loob to may abung et nepeg ya ipesak toy kawes to.
LEV.14.48	No diad pannengneng na pari et ag la linmetaw so boot kayarin apalitadaan na balo imay abung, sintinsiaan na pari a malinis la onung ed ganggan imay abung lapud naandipat lan sigput so boot. 
LEV.14.49	Diad panlinis ed samay abung onung ed ganggan, say pari mangala na duaran manok, pigaran poter na kiew a sidro, sakey ya ambalangan koldon, tan sakey a sangay isopo. 
LEV.14.50	Pateyen to may sakey a manok ya akasalur so sakey a bangan nankargay danum ya inalad sobol. 
LEV.14.51	Insan to alaen ira may kiew a sidro, samay sangay isopo, samay ambalangan koldon, tan samay mabilay a manok tan isawsaw to ra ed dala na samay pinatey ton manok tan diad samay danum. Insan walsikan ton mamimpito imay abung. 
LEV.14.52	Diad onya linisan to may abung diad panamegley na dala na samay manok, samay danum ya inalad sobul, samay mabilay a manok, saray poter na kiew a sidro, samay sangay isopo, tan samay ambalangan koldon. 
LEV.14.53	Insan to ibolus ed paway na siudad diad kaalogan imay manok a mabilay. Diad onya gawaen toy sirimonya na panlinis na abung, a et magmaliw a malinis onung ed ganggan.
LEV.14.54	Sikara ya so ganggan a nipaakar ed saray sakit na baog; 
LEV.14.55+LEV.14.56	saray giri, saray pelsa, odino saray babag, tan nipaakar met ed boot na kawes odino boot na abung. 
LEV.14.57	Sarayan ganggan ipaamta ra no marotak odino malinis so antokaman.
LEV.15.1	Say 
LEV.15.2	a nepeg a sumpalen na saray totood Israel. No say sakey a laki et walay ompapaway ed kayaryan to, manterterter man odino nababara, 
LEV.15.3	marotak yan laki. 
LEV.15.4	Say katrin dokulan to odino antokaman a yorungan to et marotak. 
LEV.15.5	Siopamay makadiwit ed katri to yan laki 
LEV.15.6	odino onirung ed inirungan to et nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.7	Siopamay maniwit ed toon walay ompapaway ed kayaryan to et nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.8	No say toon walay ompapaway ed kayaryan to et alukdaan toy toon malinis onung ed ganggan, sayan toon alukdaan et nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.9	Say silyan yorungan na samay too et marotak. 
LEV.15.10	Siopamay makadiwit ed inirungan na samay too et marotak ya anggad labi. Siopamay mangawit na antokaman ya inirungan to may too et nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.11	Siopamay toon nadiwit na lakin walay ompapaway ed kayaryan to ya ag ni nanoras na lima to, nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.12	Say bangan nadiwit na samay too et nepeg a betagen, tan say kiew a yaung a nadiwit to et nepeg ya orasan.
LEV.15.13	Kayarin inmabig so lakin walay ompapaway ed kayaryan to, nepeg a manalagar na pitoran agew insan to ipesak so kawes to tan manames ed managagos a danum na sobul, et diad ontan sikato lay malinis onung ed ganggan. 
LEV.15.14	Diad kumawalon agew mangyakar na duaran palekpek odino duaran malapati diad lolooban na samay Tuldan Ayamay 
LEV.15.15	Say pari ibagat toy sakey a para kasalanan tan say sakey ibagat ton popoolan. Diad onya gawaen toy sirimonya a panlinis ed too.
LEV.15.16	No say sakey a laki et nampaterak, nepeg ya amesen toy intiron laman to, tan siansian marotak ya anggad labi. 
LEV.15.17	Antokaman a naplagan na samay impaterak to, abel man odino katat, nepeg ya ipesak, tan siansian marotak ya anggad labi. 
LEV.15.18	Kayari impanakdul na sanasawa nepeg a manames iran dua, tan siansia ran marotak ya anggad labi.
LEV.15.19	No naliliberan so sakey a bii, siansian marotak a pitoy agew. Siopamay makadiwit na laman to yan bii siansian marotak ya anggad labi. 
LEV.15.20	Antokaman a yorungan odino dokulan to legan na kaliliberan to et marotak. 
LEV.15.21+LEV.15.22+LEV.15.23	Siopamay makadiwit na katri to odino antokaman a yorungan to, nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.24	Siopamay lakin miakdul ed sikato legan na kaliliberan to et naalisan na inkarotak to tan siansian marotak a pitoy agew, tan dinan man a katrin dokulan to et marotak.
LEV.15.25	No say sakey a bii et mampapadala ed pigaran agew anggaman ya aliwa lan agew na kaliliberan to, odino siansian mampapadala ni anggaman ya asumpal lay agew na kaliliberan to, siansian marotak legan a mampapadala, a singa inkarotak to legan na kaliliberan to. 
LEV.15.26	Legan na pampapadala to say katri a dokulan to odino antokaman a yorungan to et marotak. 
LEV.15.27	Siopamay makadiwit ed saraya et marotak; nepeg ya ipesak toy kawes to tan manames, tan siansian marotak ya anggad labi. 
LEV.15.28	Katonda na pandadala to, nepeg a manalagar na pitoran agew, insan magmaliw a malinis onung ed ganggan. 
LEV.15.29	Diad kumawalon agew samay manpapadala mangyakar ed pari na duaran palekpek odino duaran malangwer a malapati, diad lolooban na Tuldan Ayamay 
LEV.15.30	Say pari ibagat ton para kasalanan imay sakey a manok tan ibagat ton popoolan imay sakey tan diad onya gawaen toy sirimonya na panlinis ed samay bii.
LEV.15.31	Say 
LEV.15.32	Sikara yay totontonen a nipaakar ed sakey a lakin walay ompapaway ed kayaryan to odino mampaterak, 
LEV.15.33	tan nipaakar ed biin naliliberan, odino nipaakar ed lakin miakdul ed biin marotak onung ed ganggan.
LEV.16.1	Say 
LEV.16.2	Inkuanto, “Ibagam ed kinen agim ya Aaron a no manepeg a panaon labat so iyakar tod dalem na kurtina diad Sankasantosan a Pasen, ta ompanengneng ak diman ed sakey a lorem diad tagey na sakub na Kaban na Sipanan. No ag to ya toluken, nepeg a pateyen. 
LEV.16.3	Nayarin onloob ed Sankasantosan a Pasen kayari ton angawit na kilaw a bakan kalakyan ya ibagat ton para kasalanan tan say sakey a karniron kalakyan ya isaklang a bagat a popoolan.”
