GEN.1.1	Indeeŋe ta matapopoten kat na, Anutu iur saamba mi toono mi koroŋ ta boozomen.
MAT.27.64	Tana ur sua pizin menderŋan ku be timenderkaala naala kini mi timboro kat ma irao ka mbeŋ tel imap. Kokena naŋgaŋ kini tila tikem putuunu ma tila tiur la lele toro, mi tipakaam ma tiso Anutu ipei i ma burup ma imaŋga mini. To pakaamŋana kizin tana ko ilip pa pakaamŋana mataana kana.”
MAT.27.65	Tana Pilatus iso pizin ta kembei: “Zin menderŋan timbotmbot a. Mi niom ituyom kala mi kuur zin be timenderkaala naala kwoono mi matan pa.” 
MAT.27.66	Tana tizem Pilatus, mi tila ma tipokaala naala kwoono ma tuŋ kat, mi tiur zin menderŋan be timboro.
MAT.28.1	Aigule potomŋana kizin tabe keten su pa i, imap ma ilae, mi aigule mataana kana ipet, to mbeŋbeŋŋana mi Maria ki Magdala ziru Maria toro tila be tilou naala. 
MAT.28.2	Molo som na, yeŋyeeŋge biibi kat itok toono, mi aŋela ki Anutu ta imbot saamba mi isu mi ipatimbil pat ma ilae pa naala kwoono. To mbuleene isala ma imbotmbot. 
MAT.28.3	Aŋela tina kuliini iyaara kembei ta lolo niini, mi mburu kini ikokou kat. 
MAT.28.4	Tana zin menderŋan tina tire i na, motoŋana biibi ikam zin mi timeete katkat ma tisu tikenne.
MAT.28.5	To aŋela tina iso pa moori ru tana ma iso: “Komoto pepe! Nio aŋute: Niomru kamar be kuru Yesu ta tipuni ma imeete sala ke pambaaraŋana na. 
MAT.28.6	Mi ni imbotmbot ti mini som. Imaŋga kek, kembei ta muŋgu itunu iso na. Kamar ma kere muriini ta ikeene pa na. 
MAT.28.7	To loŋa kala ma kosotaara zin naŋgaŋ kini ta kembei. Koso: ‘Ni burup ma imaŋga mini pa naala kek. Mi ko imuuŋgu ma ila Galilea be izza yom. Kala kepet kini, to ko kere i. Sua ta aŋso yom na.” 
MAT.28.8	Tabe moori ru tina menmeen zin kat, mi tamen timoto tomini. To karau men mi tizem naala, mi tiloondo ma tila be tisotaara zin naŋgaŋ kini. 
MAT.28.9	Tiloondo ma tila mi molo som na, Yesu itunu ipet kizin mi iso: “O niomru, aigule ambaiŋana!” Tona ziru tila titop su kereene uunu mi titeege kumbuunu mi tipakuri. 
MAT.28.10	Mi Yesu iso pizin mini ma iso: “Komoto pepe! Kala mi koso pa tiziŋ bizin be tila Galilea, to tire yo.” 
MAT.28.11	Tana moori ru tina tiwwa pa zaala ma tila, mi zin menderŋan pakan ta timborro naala na, zin tomini tila pa Yerusalem be tisotaara zin bibip kizin patoronŋana kan pa mbulu ta ipet pizin su naala uunu na. 
MAT.28.12	To zin bibip kizin patoronŋana kan ziŋan zin peeze kan tilup zin, mi timbuk sua be tikam zin menderŋan tina len pat biibi bekena tipakaala kwon pa. Kokena tiso sua tiŋgi ma ila irao iwal. Tiso pizin ta kembei: 
MAT.28.13	“Kala na, keswe sua ti pepe. Koso ta kembei: ‘Niam amkeenemeete pa mbeŋ, mi zin naŋgaŋ kini timar ma tikem putuunu ma tila len.’ 
MAT.28.14	Mi sombe gabana ki Rom ileŋ koroŋ ti uruunu, na niam ko amurpe ŋgar kini mi amso niom leyom uunu sa som.” 
MAT.28.15	Tana zin malmal kan tikam pat tina mi tila, to tikam kembei ta zin bibip tiso pizin na. Tanata zin Yuda tiwidit mbol tiŋgi ma imar indeeŋe koozi.
MAT.28.16	To naŋgaŋ kini laamuru mi ta tito Yesu kalŋaana, mi tila Galilea ma tilup zin sala lele mbukuunu ta ma timbotmbot. 
MAT.28.17	Beso tire i na, tilek kumbun pini mi tipakuri. Tamen tomtom kizin pakan lelen iwe ru. 
MAT.28.18	To Yesu ikoŋuru zin ma ila, mi iso: “Koroŋ ta boozomen ta imbot saamba mi toono na, Anutu iur ma imap imbot la nio kopoŋ mbarmaana kek. 
MAT.28.19	Tana kala ma karao pa lele ta boozomen mi kakam wal ta boozomen ma tiwe naŋgaŋ tio. Kakam yok pizin mi kapaata Tamaana, Lutuunu mi Bubuŋana Potomŋana zan ise kizin. 
MAT.28.20	Mi sua boozomen ta aŋur piom na, kapaute zin pa be tikis mi tito. Mi keleŋ. Nio ko aŋbotmbot raama yom totomen, mi aŋboro yom ma irao toono swoono.” 
MRK.1.1	Iŋgi aruunu ambaiŋana ki Anutu Lutuunu Yesu Krisi. Uraata kini imaŋga ta kembei.
MRK.1.2	Muŋgu Anutu kwoono Yesaya ibeede ka sua ma iso ta kembei:
MRK.1.2	Nio ko aŋgo tomtom tasa be iwe kwoŋ.
MRK.1.2	Mi ni ko imuuŋgu ma iurpe zaala pu.
MRK.1.3	Kalŋaana ta iboboobo su lele bilimŋana.
MRK.1.3	Iso: ‘Kuurpe zaala pa Merere!
MRK.1.3	Kapazal zaala pini.’
MRK.1.4	Sua tana iur ŋonoono se ki Yoan ta ikamam yok pizin tomtom. Pa ni ila pa lele bilimŋana, mi ikamam sua pizin tomtom be titooro lelen mi tikam yok. Naso Anutu ireege sanaana kizin.
MRK.1.5	Mi wal ta boozomen ki lele pakaana ki Yudea, ziŋan zin Yerusalem kan timap ma tilala kini isu yok Yordan. Mi tizzwe sanaana kizin ila kini, mi ni ikamam yok pizin isu tana.
MRK.1.6	Yoan, ni izebzeebi pa mburu ta tiurpe pa kamel rumuunu na, mi ipezekat lwoono pa pus. Mi siizi ta iwe ka kini, mi bigil suruunu ta iwe ka yok. 
MRK.1.7	Mi ni ikamam sua pizin tomtom ta kembei: “Tomtom tabe imar kaimer pio i, ni mburaana ilip pio. Tana aŋre ituŋ kembei aŋrao pini risa som kat. Uraata sorokŋana kembei aŋtuundu mi aŋputke kumbu keteene ka wooro, ina tomini, aŋrao aŋkam pini na som.
MRK.1.8	Pa nio aŋkam yok men piom. Mi ni, nako ikam Bubuŋana Potomŋana ma isalakaala yom.”
MRK.1.9	Yoan ikamam uraata kini, mi Yesu izem kar Nasaret ki Galilea, mi ipa ma ila ipet ki Yoan isu yok Yordan. To Yoan ikam yok pini su tana. 
MRK.1.10	Beso Yesu ise pa yok, mi mataana isala na, ire saamba imapaala mi kwoono ikaaga, to Bubuŋana isu kembei mbalmbal mi imbot sala ŋwaana.
MRK.1.11	To tileŋ kalŋaana ta imbot saamba mi isu ma iso ta kembei: “Nu na, nio lutuŋ ŋonoono. Nio leleŋ ambai pu mi leleŋ pu ilip.”
MRK.1.12	Tona loŋa men mi Bubuŋana imaŋga pa Yesu ma izem yok Yordan, mi ila ipet lele bilimŋana. 
MRK.1.13	Ni imbotmbot lele tana pa aigule tomtooru. Mi Sadan ila ma iwedet kini be itomtoombi. Mi ni imbotmbot raama zin buzur saŋsaŋŋan, mi zin aŋela timbesmbeeze pini.
MRK.1.14	Yoan ikamam uraata kini, mi tikiskisi ma tizeebi lela ruumu sanaana. Tona Yesu ila ipet lele pakaana ki Galilea, mi imaŋga be izzoyaryaara uruunu ambaiŋana ki Anutu. 
MRK.1.15	Ikamam sua pizin tomtom ta kembei: “Keleŋ! Nol ki Anutu tabe iswe peeze kini ma ipet mat, ta imar igarau kek. Tana kezem mbulu tiom sananŋana, kotooro leleyom, mi kuurla uruunu ambaiŋana!”
MRK.1.16	Aigule ta na, Yesu ipiyalyaala pa tai Galilea ka peende ma ila. Mi ire toŋmatiziŋ ru, Simon ma Andreas, tiwaswaaza ma timbotmbot. Pa ziru na, tomtom ye kan. 
MRK.1.17	Ire zin, to iso pizin. Iso: “Ai, niomru tina, kamar koto yo. Nio ko aŋpaute yom be kakam zin tomtom.” 
MRK.1.18	To loŋa men mi tizem pu kizin, mi tito i ma ziŋan tila.
MRK.1.19	Tiwwa ma tilae ri to, Yesu mataana ila na, ire Zebedi lutuunu bizin ru, Yems ziru tiziini Yoan, timbotmbot se wooŋgo mi tiurpewe pu kizin. 
MRK.1.20	Ire zin na, loŋa men mi iboobo zin be timar tito i. Tana ziru tizem taman ziŋan uraata kan kizin pakan ma timbotmbot wooŋgo, mi timar tito Yesu ma ziŋan tila.
MRK.1.21	Tiwwa ma tila tipet kar Kapenaum. Mi timbot ma ila aigule potomŋana, to Yesu ilela lupŋana muriini mi ikamam sua pizin tomtom. 
MRK.1.22	Zin iwal tileŋ sua kini ma kwon itaanda pa. Pa ni ikamam sua kembei ta zin ŋgarŋan ki tutu na som. Izzo katkat sua raama mburaana, kembei tomtom ta zaana pa uraata kini.
MRK.1.23	Lupŋana muriini kizin leleene na, tomtom ta imbotmbot. Ni, bubuŋana sananŋana izeebi. Indeeŋe ta Yesu ikamam sua pizin tomtom na, tomtom tana iboobi ma kalŋaana biibi mi iso: 
MRK.1.24	“Aii, Yesu ki Nasaret, nu sombe kam parei piam? Iŋgi mar be pambiriizi yam? Nio aŋkilaalu kek. Nu Anutu tomtom kini potomŋana.”
MRK.1.25	Tamen Yesu iŋasaari ma iso: “Hait, mane mi yooto pini!” 
MRK.1.26	Tabe bubuŋana sananŋana tina iyelkatkat tomtom tina, mi iyak ma kalŋaana biibi, to iyooto ma ila ne.
MRK.1.27	Zin iwal tana tire mbulu tina ma timorsop pa Anutu mburaana. Mi tiparwwi zin ma tiso: “Wai, mbulu ti, pareiŋana? Iŋgi sua popoŋana ta mburaanaŋana kat. Pa ni iurur sua pizin bubuŋana sananŋan, mi zin tomini tileŋleŋ la kalŋaana.” 
MRK.1.28	Tabe loŋa men mi Yesu uruunu irak ma irao pa kar ta boozomen ki lele pakaana ki Galilea.
MRK.1.29	Tiyooto pa lupŋana muriini, to loŋa men mi tila pa ruumu ki Petrus ziru Andreas. Mi Yoan ziru Yems, ta tigaaba zin ma ziŋan tila. 
MRK.1.30	Simon rwoono mooribi, ni kuliini ibayou kat ma ikenne. Tabe loŋa men mi tisotaara Yesu pini. 
MRK.1.31	To Yesu ila kini ma iteege namaana, mi iwiti ma imaŋga. Tana mete iko pini mi niini ambai mini, to ila ma iurpe kan kini.
MRK.1.32	Rou ma zoŋ isula na, zin iwal tiyyo meteŋan kizin ta boozomen ziŋan zin wal ta bubuŋana sananŋan tizeebe zin na ma tila ki Yesu. 
MRK.1.33	Zin kar kan timap ma timar tilup zin su ruumu kwoono. 
MRK.1.34	Mi Yesu iurpe tomtom boozomen pa mete matakiŋa ma nin ambai, mi iziiri bubuŋana sananŋan boozomen pizin tomtom tomini. Mi bubuŋana sananŋan na, tikilaali kek. Tana ni ipeteke zin be tiso ka sua pepe.
MRK.1.35	Aigule toro mbeŋbeŋŋana na, Yesu imaŋga mi izem kar, mi ila pa lele ta ka tomtom somŋana i bekena itutamen imbot mi isuŋ.
MRK.1.36	Mi Simon ziŋan waene bizin tila be tiru i. 
MRK.1.37	Tila ma tindeeŋi, to tiso pini ma tiso: “Wai, nu mar lele ti paso! Iwal biibi ta tirru u a.” 
MRK.1.38	Yesu ipekel kwon ma iso: “E-e, pa iŋgi be tala pa kar pakan ta koloulouŋan i, bekena aŋkam sua ki Anutu pizin tomini. Pa nio aŋmar pa uraata ta kembei.” 
MRK.1.39	Tana imaŋga mini, mi ipa pa kar ta boozomen ki Galilea ma ila. Mi ikamam Anutu sua kini pizin tomtom lela lupŋana murin kizin, mi izirziiri bubuŋana sananŋan pizin tomtom.
MRK.1.40	Tomtom ta, ni mbetmbeete sananŋana ikami. Imar ki Yesu mi iŋgun kumbu mbukuunu su kereene uunu, mi itaŋroro i ma iso: “O yae, sombe lelem isaana pio, na nu rao ziiri mete tio ti ma kuliŋ iŋgeeze mini.” 
MRK.1.41	Tana Yesu leleene isaana pini, mi iteegi ma iso: “E, nio leleŋ be aŋuulu u. Kulim ambai lak.” 
MRK.1.42	Mi loŋa men mi mete tana iko pini ma kuliini iŋgeeze mini. 
MRK.1.43+MRK.1.44	To Yesu iur sua mbolŋana pini ta kembei. Iso: “Leŋ kat! Sombe la, na so tomtom sa pa mbulu ti pepe. Kaŋkaŋ ma la, mi pamaala itum pa patoronŋana ka tomtom sa muŋgu. Mi kam patoronŋana pa Anutu mi pakuri pa kulim ta iŋgeeze na, kembei ta tutu ki Mose iso. Naso ipombol zin patoronŋana kan be tiurla tio.”
MRK.1.45	Tamen tomtom tina, ni ito sua ki Yesu som. Ila na, loŋa men mi isoyaara uraata tana uruunu pizin tomtom boozomen ma ila. Tabe Yesu, ni irao ilela kar sa leleene mini som. Ni imbotmbot lele bilimŋana men. Tamen zin karkari tikoŋuru i ma tilala kini.
MRK.2.1	Yesu imbotmbot su lele tina ma aigule pakan ilae, to imiili ma ila mini pa kar Kapenaum. Mi zin wal tileŋ uruunu kembei ni imiili ma imar imbotmbot ruumu kini, 
MRK.2.2	to tomtom boozomen timokor lela ruumu kini ma bok ma bok kat. Zin iwal biibi mete. Tabe tipakaala kataama ma zalan som. Yesu ikamam sua ki Anutu pizin, 
MRK.2.3+MRK.2.4	mi tomtom paŋ tisiŋ tomtom narapeŋana ta ma timar be Yesu iurpe i. Tamen len zaala sa be tilela na som. Tana tikam narapeŋana tina mi tisala pa ruumu uteene, to tipetepis mi titu i ma isula ma indeeŋe kat Yesu kereene uunu. 
MRK.2.5	Yesu ire wal tina urlaŋana kizin imbol kat. Tana iso pa tomtom narapeŋana tina ta kembei: “Tiziŋ, sanaana ku ta aŋreege kek.” 
MRK.2.6	Zin ŋgarŋan ki tutu pakan ta timbotmbot tana, tileŋ Yesu sua kini, to lelen iur pini ta kembei: 
MRK.2.7	“Ai, to ti iso sua kembeia paso? Iŋga sa ipasaana sua pa Anutu na! Tomtom sa irao be ireege sanaana na som. Anutu itutamen ta irao.” 
MRK.2.8	Mi Yesu, ni iute ŋgar kizin kek. Tana isu mi iso pizin. Iso: 
MRK.2.9+MRK.2.10	“Parei ta leleyom iurur mi kakamam ŋgar boozo. Sua taŋgoi ta imarra be aŋso: Aŋso pa tomtom narapeŋana ti be aŋreege sanaana kini, som aŋso pini be burup ma imaŋga, mi ilek mburu kini, mi ipa ma ila? Mi leleŋ be niom kuute kat ta kembei: Tomtom Lutuunu, ni zaana be ireege sanaana kizin tomtom isu toono.” Iso sua tana ma imap, to iso pa tomtom narapeŋana tana ma iso: 
MRK.2.11	“Nio aŋso pu: Maŋga, lek mi ku, mi la pa ruumu ku.” 
MRK.2.12	To wal ta boozomen tikor matan pa narapeŋana tina, mi ni imaŋga ma ilek mi kini, mi ila lene. Mi zin iwal ta tire mos tina na, timurur pa Anutu mburaana mi tikam ŋgar boozo pa. Mi tipakur Anutu ma tiso: “Wai, ta muŋgu mi imar na, tere mbulu sa ta kembei pasa zen.” 
MRK.2.13	To Yesu izem kar tina, mi ipiyaala mini pa tai Galilea ka peende. Mi iwal biibi ta tito i mi ziŋan tiwwa ma tila. 
MRK.2.14	Iwwa ma ila, mi ire Alpeus lutuunu Lebi, ni tomtom ta iyyo takesŋana i, imbutultul su uraata kini muriini mi ikamam uraata. Yesu ire i, to iso pini. Iso: “Mar to yo.” Tana Lebi imaŋga, mi ito i ma ziŋan tila.
MRK.2.15	Kaimer to Lebi iso pa Yesu ziŋan naŋgaŋ kini be tila tikan kini isu ruumu kini. Mi wal pakan ta tiyyo takesŋan i mi wal sananŋan pakan, ta timar mi ziŋan tikanan kini ma timbotmbot. Pa wal ta kembei na, boozomen ta titoto Yesu. 
MRK.2.16	Zin tutu kan pakan ta len ŋgar biibi pa tutu na, tire Yesu ziŋan zin wal ta tiyyo takesŋan i mi wal sananŋan tina tikanan kini ma timbotmbot, to timaŋga na tiso pizin naŋgaŋ kini. Tiso: “Wai, parei ta biibi tiom ziŋan zin wal sananŋan tina tikanan kini la mbata?” 
MRK.2.17	Yesu talŋaana ikam la pa sua tana, to iso pizin ma iso: “Parei, tomtom ta iurpewe zin meteŋan i, ko ila pizin wal ta nin ambaimbaiŋan? Som. Ni ilala be iuulu zin wal meteŋan. Mi nio ta kembena. Aŋmar be aŋboobo wal ndeeŋeŋan na som. Nio aŋmar pizin wal sananŋan.” 
MRK.2.18	Yoan ta ikamam yok pizin tomtom na, naŋgaŋ kini ziŋan naŋgaŋ kizin tutu kan tiŋgalseksek zitun pa kini kanŋana, bekena matan iŋgal kat Anutu. Tana aigule ta na, wal pakan tila ki Yesu mi tiwi i ta kembei. Tiso: “Naŋgaŋ ki Yoan ziŋan naŋgaŋ kizin tutu kan, zin tiŋgalseksek zitun pa kini kanŋana bekena matan iŋgal kat Anutu. Mi uunu parei ta naŋgaŋ ku tina titoto mbulu tana som?” 
MRK.2.19	Yesu ipekel kwon ma iso: “Sombe tikam kini biibi pa ula popoŋana sa, inako parei pa wal ta timar pa kini kanŋana na? Ko lelen ipata mi tikan kini som? Som. Ko tikan. Pa tomooto ta iwoolo popoŋana na, ni imbotmbot raama zin, tana lelen ambai. 
MRK.2.20	Mi kaimer, ma sombe wal sa timar mi tikam tomtom ula kana tina ma izem zin, tona toroono bizin ko lelen ipata pini, mi tiŋgalsek zitun pa kini kanŋana.”
MRK.2.21	Yesu iseeŋge sua kini mini ma iso: “Kawaala muŋguŋana ta imaraaza kek na, ko tesesekaala pa kawaala suruunu ta popoŋana i? Ina som. Kokena kawaala popoŋana suruunu iselul ma iwe musaari, to kawaala muŋguŋana tana imaraaza ma biibi kat. 
MRK.2.22	Mi yok baen ta kembena. Ko tiliŋ popoŋana isula baen putuunu muŋguŋana? Inako som tomini. Kokena baen popoŋana iti putuunu muŋguŋana, to imapaala mi baen borok su lene. Som. Baen popoŋana bela isula putuunu popoŋana.” 
MRK.2.23	Indeeŋe aigule potomŋana ta kizin Yuda tabe keten su pa i na, Yesu ziŋan naŋgaŋ kini tiwwa pa zaala ta ila pa wit lene. Mi naŋgaŋ kini tiwwa ma tila, mi tikewe ŋonon pakan. 
MRK.2.24	Mi tutu kan pakan tire zin, to timaŋga mi tiso pa Yesu ta kembei. Tiso: “Ai re! Iŋgi sa aigule potomŋana tabe ketende su pa i. Naŋgaŋ ku tina tikewe wit ŋonon paso? Pa mbulu ta kembei na, tutu iŋgalsek pa.” 
MRK.2.25+MRK.2.26	Yesu ipekel kalŋan ma iso: “Sua ta iso pa mazwaana ta king Dabit ziŋan wal kini petel zin ma tiru zalan na, niom kapaata som? Sua tana iso ta kembei: Indeeŋe Abiatar iwe biibi kizin patoronŋana kan na, Dabit ilela beeze ki Anutu mi ikan narabu potomŋana ta tiurur la Anutu kereene uunu na. Narabu tana, ka ŋgalsekiŋana. Pa tutu iso zin patoronŋana kan men ta tirao be tikan. Mi som. Dabit ikam ma ikan, mi ikam pizin wal kini ma tikan tomini. Mi ka sua sa som.” 
MRK.2.27	To Yesu iposop sua kini mi iso: “Aigule potomŋana tabe ketende isu pa i, ina Anutu iur be iwe pataŋana pizin tomtom som. Ina, ni iur bekena iuulu zin. 
MRK.2.28	Tana aigule potomŋana tabe ketende isu pa i, Tomtom Lutuunu ta imborro.” 
MRK.3.1	Indeeŋe aigule potomŋana toro tabe keten su pa i na, Yesu ilela lupŋana muriini mini, mi tomtom nama kaamaŋana ta, ni imbotmbot lela lupŋana tana. 
MRK.3.2	Mi tutu kan pakan, zin tireudut Yesu, beso ni iurpe tomtom tina pa aigule potomŋana, tonabe iwe le uunu be tiŋgal mataana pa. 
MRK.3.3	Tana Yesu iso pa tomtom nama kaamaŋana tina ma iso: “Maŋga mi mender la iwal biibi matan.”
MRK.3.4	Tona iwi zin tutu kan ma iso: “Mbulu pareiŋana ta ito kat aigule potomŋana ka tutu. Takam mbulu ambaiŋana, som takam mbulu sanaŋana? Tu'uulu zin tomtom, som tapasaana zin?” Yesu igiibi sua tina, mi zin len sua sa som. Timaane men. 
MRK.3.5	Tona igeede zin raama keteene malmal. Mi tamen leleene ipata pizin tomini. Paso ŋgar kizin imbol kat. Irao titooro zin na som. To iso pa tomtom nama kaamaŋana tina ma iso: “Swooro nomom.” Beso iswooro namaana na ambai. 
MRK.3.6	Tabe zin tutu kan tana timaŋga ma tizem lupŋana muriini, mi tila ma ziŋan zin wal ta tilae ki Erot na, tilup zin mi timbuuru Yesu kana be tipuni ma imeete. 
MRK.3.7	To Yesu ziŋan naŋgaŋ kini tizem lele tina, mi tisula pa tai Galilea. Mi iwal biibi ki Galilea, ta tito zin ma ziŋan tila. 
MRK.3.8	Mi zin wal ta Yudea kan, Yerusalem kan, Idumea kan, mi zin wal pakan ta timbot Yordan pakaana mbaaga, mi lele pakaana ki kar Tiro mi Sidon na tomini, zin tileŋ Yesu uruunu pa uraata bibip ta ni ikamam ma iwedet na, to timap ma tila be tire i. 
MRK.3.9	Yesu ire zin wal biibi tana, to iso pizin naŋgaŋ kini be tire le wooŋgo sa be ise. Kokena iwal biibi tisala pini. 
MRK.3.10	Pa ni iurpe zin meteŋan boozo ma nin ambai kek. Tana wal meteŋan boozomen tizorzooro ma tipusuksuk zin tomtom be tila tigarau i mi titeegi.
MRK.3.11	Mi zin bubuŋana sananŋan tire i na, titoptop su kumbuunu uunu, mi kalŋan izalla ma tiso: “O biibi, nu Anutu Lutuunu tau!” 
MRK.3.12	Tamen Yesu iŋasaara zin mi ipeteke zin be tiswe i pizin tomtom pepe.
MRK.3.13	Kaimer to Yesu iwwa ma isala abal ta, mi iboobo tomtom pakan ta ni leleene iur pizin na, ma tila kini. 
MRK.3.14+MRK.3.15	To ipeikat tomtom laamuru mi ru be tigaabi ma ziŋan tiwwa, mibe iŋgo zin ma tila tisoyaara Anutu sua kini. Mi ikam len mburan be tiziiri bubuŋana sananŋan pizin tomtom.
MRK.3.16	Zin laamuru mi ru ta ni iur zin pa uraata na, zan ta kembei: Simon (ni, Yesu ipaata zaana toro be Petrus), 
MRK.3.17	Yems ziru tiziini Yoan (wal ru tina, Zebedi lutuunu bizin. Mi zan toro tipaata tisombe Boanerges. Zaana tana ka uunu ta kembei: ‘Lolo lutuunu bizin’.) 
MRK.3.18	To Andreas, Pilip, Batolomai, Matai, Tomas mi Yems toro, ta Alpai lutuunu i, Tadeus, Simon (ni igabgaaba zin wal ta tisombe tikam malmal pa Rom mi tiziiri zin na), 
MRK.3.19	mi Yudas Iskariot ta kaimer iur Yesu ila ka koi bizin naman.
MRK.3.20	Tona Yesu ila ma ilela ruumu ta. Mi wal boozo ta tila timokor la kini mini. Tabe ziŋan naŋgaŋ kini tirao be keten su mi tikan kan kini na som. 
MRK.3.21	Mi indeeŋe Yesu tiziini bizin tileŋ uruunu, to tila be tikiskisi. Pa tiso ko ŋgar kini ikankaana. 
MRK.3.22	Mi zin ŋgarŋan pakan ki tutu ta timbot Yerusalem mi timar na, tiŋgal sua pini ta kembei. Tiso: “Belsebul, biibi kizin bubuŋana sananŋan ta izeebi mi ipombolmboli, tanata ni le mburaana be iziiri zin bubuŋana sananŋan.” 
MRK.3.23	To Yesu iboobo zin ma timar kini, mi ikam sua tooroŋana ti pizin. Iso: “Lak, ko Sadan iur koi pa itunu wal kini mi iziiri zin? 
MRK.3.24	Parei, lele sa, sombe ka tomtom bizin tibalak zitun mi tiparkam malmal pizin, ko timbot ambai? Som. 
MRK.3.25	Mi sombe ruumu sa ka tomtom bizin tiparwe kan koi mi tiporrou, ko ruumu tana irao be imbot? Som. 
MRK.3.26	Tana Sadan ta kembena. Sombe iur koi pa itunu mi wal kini mi tiparkamam malmal pizin, inako zaana mi mburaana imap.
MRK.3.27	“Parei, ko tomtom sa irao be ilela sorok ruumu ki tomtom ta ni mburaana biibi na, mi iyo mburu kini? Som. Bela ipun ruumu katuunu ma mburaana imap mi ipo namaana mi kumbuunu, tonabe iyo koroŋ kini ta boozomen. 
MRK.3.28	Nio aŋso kat piom ta kembei: Sanaana ta boozomen kizin tomtom, mi sua sananŋan boozomen ta tiwirri pa Anutu, inako Anutu irao ireege pizin. 
MRK.3.29	Tamen sua sananŋana ta so tipiri pa Bubuŋana Potomŋana, inako Anutu ireege pizin na som. Som ma som kat. Ko imbotmbot ma alok.” 
MRK.3.30	Yesu iso sua tana pizin paso, zin tisombe bubuŋana sananŋana ta izeebi.
MRK.3.31	Tona Yesu naana mi tiziini bizin timar ma timbot mat, mi tiso lela pini be ipet ma zin tire i. 
MRK.3.32	Tana Yesu imbotmbot lela iwal biibi lelen, mi sua ikami ta kembei: “Ai, nom ma tizim bizin ta timar timbotmbot mat a. Tiso tire u.” 
MRK.3.33	Tamen Yesu ipekel kwon ma iso: “Anaŋ ma tiziŋ bizin ziŋoi?” 
MRK.3.34	Tona mataana ikam zin wal ta tiliu i, mi iso ta kembei: “Kere. Wal ti ta nio anaŋ ma tiziŋ bizin. 
MRK.3.35	Pa wal ta so tileŋleŋ la sua ki Anutu mi titoto, ina zin ta ko tiwe nio anaŋ mi tiziŋ mi luŋri bizin.” 
MRK.4.1	To Yesu ipera pa tai Galilea ka peende, mi imaŋga mini be ikam sua ki Anutu pizin tomtom. Mi iwal biibi ta timokor la kini. Tana iru zalaana ma som, to ilu i se wooŋgo ma mbuleene isu, mi tipusuki ma iperae ŋana ri. Mi iwal biibi tana timaramraama su peende mi tiur talŋan pa sua kini. 
MRK.4.2	Mi Yesu ipaute zin pa koroŋ boozomen ila sua tooroŋan. Ni iso pizin ta kembei: 
MRK.4.3	“Kuŋgun talŋoyom mi keleŋ. Lwoono ta na, tomtom ta, ni ikam kini iweniwen, mi ila mokleene kini be itiyaara. 
MRK.4.4	Itiyaryaara ma ila na, pakan titoptop su zaala keteene. Mi man timar ma tire su pa, to tiŋa kan ma tila. 
MRK.4.5	Mi pakan na, titoptop su toono ta raŋ biibi imbot meleebe na. Tana tisula kat toono leleene som, mi karau men mi tindomdom. 
MRK.4.6	Beso zoŋ ise ma mataana kat, to run imelle ma timetmeete. Paso, uranuran isula kat toono leleene som. 
MRK.4.7	Mi pakan na, titoptop su toono pakaana ta worwooro matanmatanŋan tindomdom pa i. Beso worwooro tindom na, tikaukau kini tana ma isaana. Tabe kini iweniwen tana tipiyooto ŋonoono som. 
MRK.4.8	Mi pakan na, titoptop su toono pakaana ta ambaiŋana. Tana tise to, titum ambai ma tipiyooto ŋonoono. Kiini pakan tipiyooto ŋonon boozo, pakan boozo kat, mi pakan boozo ma ilip.”
MRK.4.9	Yesu iso sua tana ma imap, to ipombol ta kembei: “Niom so talŋoyom, na keleŋ sua ti mi kakam ŋgar pa.”
MRK.4.10	Kaimer ma zin iwal biibi tila len mana, Yesu ziŋan naŋgaŋ kini laamuru mi ru mi wal pakan, zin men timbotmbot. To zin tiwi i pa sua kini tooroŋaŋan. 
MRK.4.11	Mi ni iso pizin ma iso: “Peeze ki Anutu na, ka ŋgar turkeŋana. Mi iŋgi Anutu isombe ipeeze ŋgar tana ma imbot mat piom. Mi zin wal ta timbot lela peeze ki Anutu leleene som na, tileŋleŋ sua kini ila sua tooroŋan men.
MRK.4.12	Kokena titooro lelen mi Anutu ireege sanaana kizin.
MRK.4.12	Tanata tirre pa matan, tamen tikilaala som.
MRK.4.12	Mi talŋan ileŋleŋ, tamen tikam ŋgar pa ka uunu som.”
MRK.4.13	To Yesu iwi zin ma iso: “Niom sombe kakankaana pa sua ti ka uunu, inako kikilaala sua tooroŋan pakan kan un be parei? 
MRK.4.14	Kini iweniwen ta tomtom tana itiyaryaara, ina Anutu sua kini.
MRK.4.15	Kini iweniwen ta titoptop su zaala keteene na, ina ise kizin wal ta tileŋ sua ki Anutu, mi karau men Sadan imar mi itatke sua tana pizin. 
MRK.4.16	Mi kini iweniwen pakan ta titoptop su toono ta raŋ biibi imbot meleebe na, ina ise kizin wal ta tileŋ sua ki Anutu, mi loŋa men tikan la mi menmeen zin pa. 
MRK.4.17	Tamen sua tina isula kat lelen som. Tana tiurla mazwaana rimen, mi sombe pataŋana sa indeeŋe zin, som wal pakan tiseeze matan pa uunu tau titoto sua ki Anutu, to karau men mi tizem urlaŋana kizin. 
MRK.4.18	Mi kini iweniwen ta titoptop su toono pakaana ta worwooro matanmatanŋan tindomdom pa i, ina ise kizin wal ta tileŋ Anutu sua kini. 
