MRK.1.1	Dhaŋum ŋuwakurrun yana dhäwu. Ga dhäwum dhaŋu God-Waŋarrwuruy Gäthuꞌmiŋuwuruy,
MRK.9.24	Bala yana nhan banha moriꞌmiŋum mäḻiŋganminan bitjanan, “Marrkapmi, ḻinygun dhaŋu ŋayam mä-wulitjmiyinan. Gu, guŋgaꞌyuwan nhanany, mä nyäku ŋarru mä-wulitjinyaram marimin yana wanyuyi!”
MRK.9.25	Ga bilanyamiyum waluyu nhan Djesuyum nhäŋalan guḻkunhan yolŋunham warrany dhanal ŋarran giṯthuwan räli malami. Bala nhan yän-wuŋanminan bayikuya barrakinygum birrimbirrwu bitjanan, “Nhunu dhaŋu birrimbirr, walmiyan djinakuruya yothuwurum, mä nhan ŋarru ŋäman ga garruna! Ga ŋangawulnha biyapulma gulŋiya nhanguḻ!”
MRK.9.26	Ga banha nhan bayiŋuya barrakinydhum birrimbirryu ŋäkulam Djesunham garrunda, bala nhan yatjuwanam mariminan. Bala nhan banha yothum bitjuwayiŋ gälkinan, ḏalalakthuwanan, nhawun nyin rakunynha gayŋiyan. Bala gayŋan banha yolŋum warra rakaranhaminan banhalayam, “Wäy ḻinygun nhan dhaŋu waŋayinan!”
MRK.9.27	Bala nhan Djesuyum ŋarambiyan nhanany ŋayathan bala ṉakanharamiŋganan.
MRK.9.28	Bala dhanal Djesuyum ga guyurrꞌmiŋuyum warrayu nhanguru guŋnharrumanan banhayam ŋirrima bala gulŋiyan buṉbuḻin. Bala dhanal banhalayam dhä-wirrkaꞌyuwanan Djesunham bitjanan, “Wäy, nhäwu banha ŋanapum ŋangawul walmanharamiŋgan banhayam barrakinynha birrimbirrnha?”
MRK.9.29	Bala nhan Djesum garruwan bitjanan, “Ŋuwatjuma ŋäkam! Bilanyayam banha birrimbirr mala barrakinymin marimin. Ga bayiŋ nhuma ŋarru gayŋa ŋangawulma bitjuwayiŋ bukumiŋgan guŋgaꞌyundawum, nhumam ŋarru ŋangawulnha bilanyanham birrimbirrnha mala dhawaṯthuman yolŋuwurum.”
MRK.9.30	Ga bewaḻiyam bala nhan Djesuyum ga guyurrꞌmiŋuyum warrayu nhanguru guŋnharrumanan banhayam ŋirrima bala dhanal ŋarran Galaliḻin makaḻi waŋgalaḻi. Ga ŋangawul nhan gayŋan banha djälmiyin dhanal ŋarru yolŋum warra bitjuwayiŋ nhangu marŋgiyi banha nhan gayŋan banhalayam nyenan. 
MRK.9.31	Yo, djälmiyinam nhan gayŋan, nhan ŋarru gayŋa guyurrꞌmiŋunhan warrany yana nhanguway marŋgiyuman. Ga bitjan nhan garruwanam gamꞌ, “Yaka wikarra, bala dhanal barkthu nhänany ŋarambiya-guŋun waripuwuḻin mulkuruwuḻin yolŋuwuḻ. Bala dhanal barkthu nhänanham banha Gulitjŋunham Walꞌŋu Yolŋuny guwatharaŋun murrkayꞌyumun. Ga waŋayi ŋaya barkthu yulŋum, ŋarru ŋaya barkthu biyapulya bitjuwayiŋ wälŋayi dhurrwaraŋuru burrparyum munhayu.”
MRK.9.32	Yo, bitjanyan nhan gayŋan banha Djesuyum rakaran, ŋarru nhangu banha guyurrꞌmiŋum warra mä-yumbalꞌyuwanan. Ga ŋangawulnha dhanal banha biyapulma bitjuwayiŋ nhanany dhä-wirrkaꞌyuwan.
MRK.9.33	Ga bewaḻiyam bala dhanal Djesum ga guyurrꞌmiŋum warra nhangu ŋaykanan, ga waythuwan dhanal waŋgalaŋa yäkuŋa Gapuniyamnha. Ga banha dhanal gulŋiyanam buṉbuḻim bala nhan Djesuyum dhä-wirrkaꞌyuwanan dhanaliny bitjanan, “Wäy, nhäwuy mu nhuma ŋarran banha batjiwarr-ŋupanam dhurrwara-ḏupthunmin?”
MRK.9.34	Ga dhanalim banha ŋangawulnha nhangu ḏämbu-ganitjuman banha nhäwuy dhanal ŋarran garrunmin batjiwarr-ŋupan, yol gayŋa ŋurruŋuyi bewaḻiya ŋurrukŋuru.
MRK.9.35	Bala nhan Djesum nyenanan bala nhan gayŋan dhanaliny marŋgikuwanan bitjanan, “Bayiŋ nhunu gayŋa ŋunhuŋ yol yolŋu djälmiyi nhunu ŋarru ŋurruŋuyim, nhunum bayiŋ bitjun bitjuwayiŋ dhaŋu gayꞌ yolŋu djämamin yana bawalamiwun yolŋuwu.”
MRK.9.36	Bala nhan Djesuyum yothunhan ḻawꞌyuman bala dhangiꞌyuwanan nhanany, bala gunhanan ṉapuŋggaꞌḻin gumurrḻin dhanaliŋguḻ, bala nhan bitjanan garruwan, 
MRK.9.37	“Bayiŋ nhunu ŋarru ŋunhuŋ yol yolŋu gumurr-ŋuwatji nhäŋiniŋꞌkum yolŋuwu nhawun djinakum gayꞌ yothuwu, ḻinygu nhan banha nyäku bitjuwayiŋ yolŋu, banhayam nhunu nyäkun gumurr-ŋuwatjin. Ga bayiŋ nhunu nyäkum gumurr-ŋuwatjin, banham nhunu gumurr-ŋuwatjin nyäkuru moriꞌmiŋuwun, bayikuyan banha nhan nhänany djarrꞌyuwan ŋarranharawu räli dhambal munathaḻꞌ waŋgalaḻ.”
MRK.9.38	Ga dhurrwaraŋuru bayiwaḻiyam bala nhan Djesuwum guyurrꞌmiŋu yäku Djonma garruwan bitjanan, “Way marrkapmi, ŋunha ŋanapu yolŋuny nhäŋal nhan gayŋan barrakiny birrimbirr walmanharamiŋgan nhuŋguru yäkuyu. Ŋarru ŋanapum nhanany guluman ḻinygu nhan banha ŋangawul ŋalmaliŋguḻ bitjuwayiŋ malaŋuru.”
MRK.9.39	Bala nhan Djesum bitjanan dhanaliŋgu ḏämbu-ganitjuman, “Ŋangawul nhuma warri banha gulumarra nhanany. Ḻinygu banha nhan ŋarru gayŋa yolŋuyu djäma ganydjarrmim rom nyäkurum yäkuyu, ga yalalam nhan ŋarru banha ŋangawulnha nyäkum barrakinydjuman garrun. 
MRK.9.40	Ga bayiŋ nhan yolŋu ŋangawulma bitjuwayiŋ baku-ŋayathandami, banhayam nhan ŋalmaliŋguran galiꞌŋa.
MRK.9.41	Ŋuwatjuma guyaŋiyam! Bayiŋ nhan bilaŋ yol yolŋu marŋgi banha nhunu bayiŋ gayŋa malthun Maŋutji-yunupayumandawum yolŋuwu, bala dhanalim ŋarru nhuna guŋgaꞌyuna. Nhanmam ŋarru banha God-Waŋarryum banhayanham yolŋuny ŋangawulnha bitjuwayiŋ meṉgum, bayaya banha nhan ŋunhuŋ garmak yana nhangu bitjuwayiŋ guŋan.”
MRK.9.42	Ga biyapul nhan Djesu garruwan bitjan, “Bayiŋ ŋarru ŋunhuŋ yolthu yolŋuyu maŋutji-warrun nyäku yothuny barrakinyḻi romḻi, bala nhan ŋarru banha bitjuwayiŋ guluna nyäkurum mä-wulitjinyaŋuru, ŋuwakurrum banha bayikuyam yolŋuwu maŋutji-warrundamiwum nhanany ŋarru mayaŋnha mataꞌyuman rakiꞌyun, murrukaymiyun ṉutjurruyu, bala ḏupthuna dhulmuḻin ḏamurruŋꞌḻin garmakḻi, mä nhan ŋarru guḻwuḻyuna.
MRK.9.43	Ga bayiŋ nhuŋguru goŋdhu bitjuwayiŋ ŋunhuŋ nhä barrakiny warkthuwan, nhunum gulkthuwan banhayam goŋ. Ḻinygu ŋuwakurrum nhuŋgu nhunu ŋarru barkthu djiwarrꞌḻim gulŋiyi goŋ waŋganymin. Ga bayiŋ nhunu baḏak yana goŋ-burrparmim, nhunanham barkthu ḏupthu ŋunha ŋorrtjaḻin ŋunha dhä-girꞌyundamiḻin waŋgalaḻi.
MRK.9.44	[Ga banhayam dhaŋu barrakinynha marimin waŋgala. Ga ŋorrtjam bayiŋ ŋangawulnha ŋulipalyi ŋunhayam waŋgalaŋa. Ga mewirrimꞌ bayiŋ gayŋa wälŋan yana gaḻun, barrakinydjumana bayiŋ ŋarra ŋunhuŋ nhäm malany.]
MRK.9.45	Ga bayiŋ nhuŋguru ṉukuyu gutjparruwan nhuna barrakinyḻi, gulkthuman dhuwan ṉukunham. Ḻinygu ŋuwakurrum nhuŋgu nhunu ŋarru barkthu djiwarrꞌḻim djuḏupthu ṉuku waŋganymin. Ga bayiŋ nhunu baḏak yana ṉuku burrparmim nhunanham barkthu ḏupthu ŋunha ŋorrtjaḻin banha dhä-girꞌyundamiḻin waŋgalaḻi. 
MRK.9.46	[Ga banhayam dhaŋu barrakinynha marimin waŋgala. Ga ŋorrtjam bayiŋ banha ŋangawulnha ŋulipalyi ŋunhayam waŋgalaŋa. Ga mewirrimꞌ bayiŋ gayŋa wälŋan yana gaḻun, barrakinydjumana bayiŋ gayŋa yana ŋunhuŋ nhäm malany.]
MRK.9.47	Ga bayiŋ nhuŋguru maŋutjiyu nhuna gutjparruwan barrakinyḻi romḻi, nhunum yana ḏulŋurrꞌyuwan maŋutjim nhuŋguway bala ḏupthuwan, ḻinygu ŋuwakurrum nhuŋgu nhunu barkthu djiwarrꞌḻim gulŋiyi maŋutji waŋganymin, ga bayiŋ nhunu maŋutji burrparmim yana, nhunanham barkthu ḏupthu ŋunha ŋorrtjaḻin ŋunha dhä-girꞌyundamiḻin waŋgalaḻi.
MRK.9.48	‘Ga banhayam dhaŋu barrakinynha marimin waŋgala.
MRK.9.48	Ga ŋorrtjam bayiŋ banha ŋangawulnha ŋulipalyi banhalayam waŋgalaŋa.
MRK.9.48	Ga mewirrimꞌ bayiŋ gayŋa wälŋan yana gaḻun, barrakinydjumana bayiŋ ŋarra ŋunhuŋ nhäm malany,’ ga bilanya.
MRK.9.49	Yo, ga God-Waŋarryum ŋarru banha birrkaꞌyuna nhanguwayma malthundaminy warrany gumurr-wanyumurrun rommurru, bitjan bayiŋ gayŋa yolŋuyu ḏämbaꞌḏambakum nhanguway gaṉany dhuṉḏayyuman ŋorrtjayu.
MRK.9.50	Manymak, djeꞌlam dhaŋu ŋuwakurru, bayiŋuyan bayiŋ banha ŋathanham dhäkaymiŋgan. Ga banha ŋarru dhäkim dhawarꞌyun banham barrakinynha bitjuwayiŋ, bala bayiŋ djalkthuna. Yo, nhumam bitjan nhawun banha djeꞌlan, dhäkaymiŋganmiyan mä nhuma ŋarru gayŋa ŋuwatjumana nyenam yolŋuwuram warrawura malaŋa, mä-ŋuwatjinyaramin ŋarru gayŋa bukmaknha.
MRK.9.50	[Bilanya dhaŋu! Mä gaŋga warra dhaykunharamiyam, yol ŋarru buŋgawayi ga yol räywuy!”]
MRK.10.1	Bala nhan Djesum ŋarranan balan Djudiyaḻin makaḻi waŋgalaḻi. Ga balan bitjanan waripuḻin ŋirrimaḻi ŋunha bala mayaŋꞌŋa Djodannha galki galiꞌ dhimurrun. Ga guḻkun gayŋan banha yolŋum warra ḻuŋꞌthuwan nhanguḻ. Ga biyapulya nhan gayŋan Djesuyum bitjuwayiŋ marŋgikuwan.
MRK.10.2	Ga Baratji yolŋu warra balaya ŋaykan bala dhanal gayŋan dhä-wirrkaꞌyuwanan nhanany, yäna gayŋan birrkaꞌyuwan, bitjan, “Nhalpiyan mu gayŋa ŋunha ŋalmaliŋgum rom garrun,... nhan ŋarru ḏirramuyu guŋnharrumana nhanguway baṯaminynham bala yänguman nhanany?”
MRK.10.3	Ga nhanmam Djesum ḏämbu-ganitjuman bitjan, “Guyaŋiya ŋatjil, nhalpiyan gayŋa banha Mawtjitjkum rom garrun bayikuyam banha ŋalmaliŋgurum romgu?”
MRK.10.4	Ga dhanalim ḏämbu-ganitjuman, “Ŋunha ŋalmaliŋguru mala-ŋurrkanhayŋuwum Mawtjitjkum gayŋa rom barraŋgaꞌyun ŋalmaliŋgum bitjan: Ŋurruŋum nhan ŋarru djorraꞌ ŋatjil wukirri guŋnharrumanminyawu, ga ŋärrun nhan ŋarru gananma nhanany.”
MRK.10.5	Bala nhan Djesum ḏämbu-ganitjuman bitjanan, “Ŋäka warra! Gulitjmu nhan banha mala-ŋurrkanhayŋuyum Mawtjitjthum bitjanyam rom nhinathuŋgan, ḻinygu nhuma dhaŋu ŋayaŋu-wanyumi. 
MRK.10.6	Ga ŋangawul warra banhayam banha dhäwuny meṉguŋ ŋay, banha ŋurruyirrꞌyundam, banha nhan God-Waŋarryu bokman dhaŋu djiwarrꞌ waŋgala ga dhaŋu munathanyꞌ waŋgalany! Ŋunha gayŋa wukirriwuy djingaryun bitjan gamꞌ,
MRK.10.6	‘God-Waŋarryu banha bokman yolŋunham, ḏirramuny ga baṯaminy.
MRK.10.7	Ga bayikuyan gämurruꞌwu nhan ŋarru banha ḏirramuyum bitjuwayiŋ guŋnharruman nhanguway ŋäṉḏiꞌmiŋunham ga moriꞌmiŋunham,
MRK.10.7	bala ŋarran ga warraṯthuna nhanguway baṯaminhan, mä dhupal ŋarru nyenan ŋayaŋu-waŋganynha,
MRK.10.8	ga burrparma banha rumbal bitjuwayiŋ waŋganydjinan.’
MRK.10.9	Ga banha nhan God-Waŋarryu dhupaliny waŋganydjumanam, ga ŋangawulnha ŋarru banha dhupaliny bitjuwayiŋ ŋunhuŋ yolthum bärrkuwaḻyuman, ḻinygu banhayam dhaŋu barrakinynha marimin rom!”
MRK.10.10	Ga bewaḻiyam nhan Djesu ga guyurrꞌmiŋu warra nhangu gulŋiyanan buṉbuḻin guŋnharran. Ga banhalayan dhanal gayŋan ŋäŋꞌthuwanam nhanany Djesunham bitjanan, “Nhä mu nhunu gayŋan banha ŋanapiliny marŋgikuwanam yuṯayuṯaŋumim?”
MRK.10.11	Bala nhan Djesum ḏämbu-ganitjuman bitjanan, “Bayiŋ ŋarru ḏirramuyu guŋnharruman nhanguway baṯaminy ga warraṯthun nhan ŋarru ŋunha waripunhan, banhayam nhan gayŋa marrambanꞌ warkthun. 
MRK.10.12	Ga bilanyaya ḻinygu baṯamiwum. Bayiŋ nhan ŋarru guŋnharruman nhanguway dhuwayꞌmiŋuny bala gätthun ga waripunhan warraṯthun, banhayam nhan marranbanꞌ bitjuwayiŋ warkthuwan.”
MRK.10.13	Waŋganymim, yolŋuyu warrayu gutjparruwan dhanaliŋguway yumurrkunyꞌ Djesuwuḻ, mä nhan ŋarru dhanaliŋguḻ goŋ-ŋalthun ga ḏämbumiŋgan ŋäŋꞌthun God-Waŋarrnha mä nhangu ŋarru banha ŋayaŋu-ŋuwatjinyamim rom maḻŋꞌthuna dhanaliŋguran. Bala dhanalim banha guyurrꞌmiŋuyum warrayu dhaykuwanan dhanaliny ŋaŋꞌŋaŋdhuwanan.
MRK.10.14	Ga banha nhan Djesuyum dhanaliny nhäŋal bilanyaḻim bala nhan maḏakarritjtjinan nhanguwaywuru guyurrꞌmiŋuwum warrawu bala nhan garruwan bitjanan, “Yaw, ŋangawul dhuwan yumurrkuꞌnham ŋaŋꞌŋaŋdhuwa, ḻinygu God-Waŋarrwum dhaŋu yolŋu warra bilanyayan bitjuwayiŋ dhaŋuynha warra, gayꞌ. 
MRK.10.15	Yo, ŋuwatjuma warra bitja guyaŋiyam. Bayiŋ ŋarru banha ŋunhuŋ yol gulitjma walꞌŋu gayŋa djälmiyi God-Waŋarrwum, dhanalim ŋarru gulitjumana yana ŋayaŋumiyim nhangu, bitjana bitjuwayiŋ dhaŋuy warra yumurrkuꞌ bayiŋ gulitjuman gayŋa ŋayaŋumiyi dhanaliŋguwaywu ŋäṉḏiꞌmiŋuwu ga moriꞌmiŋuwu. Ga banha ŋangawulma, dhanalim ŋarru banha ŋangawulnha yana God-Waŋarrwum bitjuwayiŋ yumurrkuꞌ.”
MRK.10.16	Ga dhurrwaraŋuru bewaḻiyam bala nhan Djesuyum dhanaliny gayŋan yumurrkuꞌnham ḻawꞌḻawyumanan, bala nhan gayŋan goŋ-ŋalthuwanan bala ḏämbumiŋganan God-Waŋarrwuḻin nhan ŋarru dhayuŋgana nhanguway ŋayaŋu-ŋuwatjinyamim rom dhanaliŋguḻin, bukmakkuḻin yana.
MRK.10.17	Ga banha nhan Djesu gayŋan gurkuꞌyuwanam ŋarranharawum, bala nhangu ḏirramun waythuwan. Ga ḏämbu-nyilŋꞌthuwan nhan Djesuwuḻ gumurrŋa bala nhan dhä-wirrkaꞌyuwanan bitjanan, “Ŋuwakurru Marŋgikunhami, ŋaya nhuna dhä-wirrkaꞌyun ŋatjil. Bilanya dhaŋu gamꞌ: Nhalpiyan dhika ŋaya ŋarru yulŋum, mä ŋaya ŋarru gulitjma yana marŋgiyi banha ŋaya barkthu djiwarrꞌŋam nyenay God-Waŋarrwuḻim wikarraŋumim, wälŋa-dhawarꞌyundanharran?”
MRK.10.18	Ga nhanmam Djesum dämbu-ganitjuman, “Nhäwu nhunu dhaŋu bitjanam garruwan, ‘Ŋuwakurru Marŋgikunharami’?, bitjanam. Ŋangawul dhaŋu ŋunhuŋ yol yolŋu gulitjma walꞌŋu ŋuwakurru, God-Waŋarr dhaŋu nhanbayin yana ŋuwakurrum. 
MRK.10.19	Ḻinygu mu nhuma dhaŋu God-Waŋarrwurum yän-wuŋanminyarawu marŋgi banha gayŋa bitjan garrun,
MRK.10.19	‘Ŋangawul yolŋuny guwatharaŋ waŋayuma;
MRK.10.19	Ŋangawul marrambaꞌyiya;
MRK.10.19	Ŋangawul manaŋiya;
MRK.10.19	Ŋangawul djänguŋ rakaraŋ;
MRK.10.19	Ŋangawul mayaliꞌ-wilkthuwa yolŋuny, bala maŋgarra manaŋiyan nhangu nhäm malany;
MRK.10.19	Mä-ŋalthuwa nhuŋguway ŋäṉḏiꞌmiŋuwum ga moriꞌmiŋuwum.’ ”
MRK.10.20	Bala nhan banhayam yolŋu bitjanan ḏämbu-ganitjuman, “Gulitj yana marrkapmi Marŋgikunhami. Ŋayam gayŋan dhaŋu ŋayathan ga malthuwan djinakuyam romgu bewaḻi ḻinygu yana banha ŋayam yothu mu yana.”
MRK.10.21	Bala nhan gayŋan Djesuyum nhäŋalan banhaya yolŋunham ŋayaŋuyum-mä-ŋuwatjinyarayun bala nhan bitjanan garruwan, “Gatjuy ḏirruwan ŋirrimaḻin ga djalimnha nhuŋguway nhäm malany warrpamꞌthuwan yana. Ga bayiŋ nhunu ŋarru rrupiyam warraṯthun bala mala-wulkthuman banhayam, bala guŋa ŋunha ŋurruwuykminhan yolŋuny warrany. Bala nhunu ŋarru nyäkun malthun. Ga yalalam nhan ŋarru God-Waŋarryum ḏämbu-ḏirrumana guŋan nhuŋgum nhä mala ŋunhalan djiwarrꞌŋan.”
MRK.10.22	Ga banha nhan bayiŋuya yolŋuyu bilanyawuyma ŋäkul Djesunham, bala nhangu ŋayaŋum-barrakinydjinan. Bala nhan ŋirrimaḻim ŋirrimbuwan galŋa-barrakinydjinan, ḻinygu nhan banha gulitj yana ṉukunydjaꞌ.
MRK.10.23	Bala nhan Djesuyum nhäŋalan ŋarran, bala nhan garruwan nhanguru guyurrꞌmiŋuwum warrawu bitjanan, “Gumurr-wanyun dhaŋu marimin bitjuwayiŋ ṉukunydjaꞌwum yolŋuwu gulŋiyinyarawu balam djiwarrꞌḻim!”
MRK.10.24	Ga banha dhanal guyurrꞌmiŋuyum warrayu ŋäkulam nhanany bilanywuyma garrunda bala dhanal mä-yumbalꞌyuwanan. Ga nhanmam Djesum biyapul bitjuwayiŋ garruwan bitjan, “Ŋäkam warra ŋuwatjuma! Wanyu dhaŋu marimi gulŋiyinyarawu God-Waŋarrwuḻim gurruṯumiḻim Romḻi. 
MRK.10.25	Guyaŋiya banha warrakanꞌnha yäkuny gamuḻnha. Murrukay nhan banha marimi, ga gumurr-wanyun nhangu banha gulŋiyinyarawu ŋunha yutjuwaḻmurrum ŋarŋgamurru, banha girriꞌwuy djawarꞌyunda ṉel. Yo, bilanyayan banha yulŋum ṉukunydjaꞌwum yolŋuwu, marimin yana gumurr-wanyu gulŋiyinyarawu God-Waŋarrwuḻim gurruṯumiḻim Romḻi.”
MRK.10.26	Ga nhalpiyan nhan gayŋan banha Djesu bitjuwayiŋ garruwan, banham dhanal mariminan mä-yumbalꞌyuwan. Bala dhanal gayŋan dhä-wirrkaꞌyunminan bitjanan, “Ga, bayiŋ nhan gayŋa dhuwan gulitjma bitjuwayiŋ rakaram, ga yolnha ŋarru barkthu gayŋi banha nyenay ŋunhalam djiwarrꞌŋam nhanguram God-Waŋarrwuram?”
MRK.10.27	Bala nhan Djesuyum dhanaliny ŋarran nhäŋalan, ga bitjanan nhan garruwanam, “Yolŋum ŋarru banha ŋangawulnha nhanapinyay nhan wälŋakunharami. Ŋarru ŋangawul warra meṉguŋam, nhanmam ŋarru banha God-Waŋarryum djäma yana nhä malany bukmak.”
MRK.10.28	Ga nhanmam Betam ḏämbu-ganitjuman bitjanan, “Marrkapmi. Ŋanapum dhaŋu ḻinygu guŋnharruman nhä malany ŋanapiliŋguwayma bala ŋanapu malthuwan nhuŋgun. Ga nhä yika ŋanapiliŋgum ḏämbu-ḏirrunmaranhara?”
MRK.10.29+MRK.10.30	Bala nhan Djesum bitjanan garruwan, “Ŋaya nhumaliŋgu rakaraman! Bayiŋ ŋarru yolŋu djälmiyi malthundawu nyäkum, bala ŋarran guŋnharrumana ŋarru nhanguway ŋäṉḏiꞌmiŋuny ga moriꞌmiŋuny ga yumurrkunyꞌ nhanguway nhan ga yukuyukuꞌmiŋuny warrany nhanguway ga ŋirrima nhanguway ga djäma nhanguway ga nhä malany girriꞌ nhanguway, bala nhan ŋarru ŋarran gayŋa ḏämbu-ḻiwꞌyumana yolŋuwun warrawu dhäwun ŋarra ŋuwakurrun rakaram nyäkuruynha. Ga yalalaŋumiyum nhangum ŋarru banha ḏämbu-ḏirrunmaraŋ bulun walꞌŋu guḻkun marimin bukuḻin-ŋalthumu barkthu. Nhä malany nhan guŋnharruman, nhangum barkthu guḻkun ḏämbu-ḏirrunmaraŋ. Ga ŋayaŋu-ḻiyundamim rom barkthu nhan gayŋi warraṯthu yana, ḻinygu nhan bayiŋ gayŋa banha nyäku bitjuwayiŋ malthun. Ga yalalaŋumin baya barkthu dhaŋu munathaꞌ waŋgala dhawarꞌyu, bala nhan barkthu banha gayŋi nyinayim wikarraŋumin, wälŋa-dhawarꞌyundanharran ŋunhalan galkin yanan God-Waŋarrwuran. 
MRK.10.31	Ga bayiŋ ŋarru gayŋa yolŋu bitjanma ḻinygu guyaŋinyarami yindikunharamim, banhayam nhan ŋarru nyumukuṉinydjin, nhäŋiniŋꞌnha. Ga banha nhäŋiniŋꞌma yutjuwaḻma ŋarru barkthu ŋurruŋuyin, gämurruꞌŋun nhan yolŋu.”
MRK.10.32	Ga bilanyamiyum dhanal banha ŋaykanan balan Djurutjalamḻin ga nhanmam gayŋan banha Djesum ŋurruŋun bitjuwayiŋ ŋirrimbuwan ga dhanalim guyurrꞌmiŋum warra ga waripum yolŋu warra gayŋan ŋapa-munguyuwanan nhanany. Ga guyaŋin dhanal ŋarran yän nhanany garrunda bitjanda, “Yolŋuyum warrayu nhänany barkthu guwatharaŋun ŋunhalam Djurutjalamma.” Ga mariminan dhanal banha bitjuwayiŋ bawaꞌyuwanam, biyaṉiyinan manapan.
MRK.10.32	Ga nhanmam dhanaliny Djesuyum ŋäkul bala nhan ḻuŋꞌthumanan nhanguwayma guyurrꞌmiŋuny warrany ga biyapul nhan bitjuwayiŋ rakaran dhanaliŋgu banha nhalpiyu barkthu yolŋuyu warrayu nhanany ŋunhal Djurutjalam. 
MRK.10.33	Ga bitjan nhan garruwan, “Ŋäka warra nhuma! Dhaŋum ŋalma gayŋa ŋaykaman yulŋum Djurutjalamḻin. Ga dhaŋun ŋaya yulŋum Gulitjŋum Walꞌŋu Yolŋu, dhaŋum dhanal barkthu nhänany ŋarambiya-guŋun ŋurruŋu-ḏalkarramiwuḻin warrawuḻ ga rom-marŋgikunhamiwuḻin warrawuḻ. Bala dhanal ŋarru nyäku yoranharamin waŋayinyarawun. Bala dhanal barkthu nhänany ŋarambiya-guŋun ŋunha waripuwuḻin yolŋuwuḻ warrawuḻ, banha dhanal dhuŋanmin God-Waŋarrwu. 
MRK.10.34	Ga ŋunhalayan dhanal barkthu nhänany goṉa-wuŋum. Dhupthun dhanal barkthu nhänany ga bartjumun nyin, ŋanaknha nhänany guwatharaŋ. Ga dhurrwaraŋuru bewaḻiyam bala dhanal nhänany barkthu murrkayꞌyumun guwatharaŋ. Ga gulitj yana ŋaya barkthu banha waŋayim, ga munha burrpar barkthu djuḻkthu bala ŋaya barkthu biyapulya bitjuwayiŋ wälŋayi.”
MRK.10.35	Ga dhurrwaraŋuru bewaḻiyam bala dhupal banha Djibidiwum gäthuꞌmiŋu wulay Djayimma ga Djonma ŋarranan guwatjmanan Djesunhan. Bala dhupal ŋäŋꞌthuwanan nhanany bitjanan, “Marrkapmi Marŋgikunhami, dhaŋu ŋalinyu gayŋa yän nhuŋgu ŋayathan.”
MRK.10.36	Bala nhan Djesuyum dhupaliny dhä-wirrkaꞌyuwanan bitjanan, “Nhäwu nhuma ŋarru ŋäŋꞌthunma?”
MRK.10.37	Ga dhupalim bitjanan garruwan, “Marrkapmi, yalalaŋumiyum nhunum ŋarru dhaŋu ŋurruwuŋmin walꞌŋu ŋurru-warrundami ŋanapiliŋgu. Ga bilaŋ nhunu ŋarru bitjanya ḻinygu ŋalinyuŋgum guyaŋi? Mä ŋarru ŋalinyun nhuŋguram galki. Waŋganyma ŋarru nyena nhuŋguḻ dhunupaꞌŋuŋa galiꞌŋa ga waripum ŋarru nyena wiṉꞌkuŋuŋan galiꞌŋa.”
MRK.10.38	Ga nhanmam Djesum ḏämbu-ganitjuman, “Ŋangawul nhuma dhaŋu marŋgi nhäwu nhuma gayŋa dhaŋu ŋäŋꞌthun. Ŋayam barkthu dhaŋu yalalaŋumiyum dhaŋgaḏirryun marimin yana. Ŋalan? Nhalpiyu nhumam barkthu... bitjuya ḻinygu dhaŋgaḏirryu bitjan ŋaya, ga yanatj ḻinygu ga waŋayi barkthu?”
MRK.10.39	Ga dhupalim garruwan, “Ŋe... bitju mu ḻinygu, Marrkapmi.”
MRK.10.39	Ga nhanmam Djesum ḏämbu-ganitjuman bitjanan, “Yo, gulitj yana nhuma ŋarru banha dhaŋgaḏirryum, bitju yana ḻinygu bitjan ŋaya. 
MRK.10.40	Wäy-y, banhayam ŋarru nhanbayin yana God-Waŋarryun mala-yarrꞌyu, yol barkthu nyenay dhunupaꞌŋuŋa ga yol wiṉꞌkuŋa galiꞌŋa. Ga ḻinygu nhan banha ŋätjil yana mala-yarrꞌyunma. Banhayam dhaŋu ŋangawul nyäku mala-djarrꞌyundawu.”
MRK.10.41	Ga banha dhanal waripuyum guyurrꞌmiŋuyu warrayu ŋäkul dhupaliŋguŋ yänma bitjuwayiŋ ŋäŋꞌthundam, bala dhanal maḏakarritjinan dhupaliŋgu. 
MRK.10.42	Bala nhan Djesuyum dhanaliny yurrumꞌthumanan bala bitjanan garruwan, “Marŋgi mu nhuma dhaŋu: banha dhaŋu djinaŋum bala ŋurru-warrundayŋu yolŋu warra bilanyayan, rom-wanyumin, buŋgawakunharamin dhanal bayiŋ gayŋa yolŋuwum warrawu bukmakkun. Bilanyan gayŋa dhaŋu maḻŋꞌthunma buku-ḻiwꞌyumana yana djinalam munathaꞌŋam waŋgalaŋa. 
MRK.10.43	Ŋarru nhumam ŋarru ŋangawul bitjanya. Ga bayiŋ nhunu ŋunhuŋ yol yolŋu dhawuru malaŋuru gayŋa djälmiyi ŋurruŋuyinyarawum, nhunum ŋatjil ŋarru djämamiyi waripuwu yolŋuwu warrawu.
MRK.10.44	Ga bayiŋ nhan yolŋu djäl ŋurruŋuyinyarawum, nhanmam ŋarru djämami bukmakkun yana yolŋuwu.
