MAT.1.1	Bwen, aj ntzanije' kye tijajil Jesukrist aj tijajil Dawid aj tijajil Abran:
ROM.13.14	Qob'ajb'et waq iktza' te Qajaw Jesukrist nb'et, b'ix k'on xik qsi' lad te qchi'jel ti'j kyaqil aj nya'tx galan n'el tgani'.
ROM.14.1	Jun qerman aj mina' tok jwert ti'j titza' nqo'okslan, pe'ek'amon tetz, per k'on kxwululun tuky'i'l ti'j jun tidi' aj nya'tx b'an presis. 
ROM.14.2	Komo ate' junjun qerman aj kyetz tuj kynab'l b'a'n tuj twitz Qtata Dios tzan txik qwa'a' tidi'chq. Per ax ate' junjunky aj mina' tel kyniky' byenech ti'j te tume'l titza' nqo'okslan, kyetz tuj kynab'l nya'tx galan tzan qwa'an kyaqil, kyetz a'ox ch'i itzaj tb'el kywe' [tzan tpaj te aj nxik kyoksla']. 
ROM.14.3	Ntons, kye aj nkyewa'an kyaqil, k'onti'l tzan tel kyik'o' kye aj k'onti'l nkyewa'an kyaqil, b'ix yatzun kye aj k'onti'l nkyewa'an kyaqil, ax k'onti'l tzan kyyolin kyi'j kye aj nkyewa'an kyaqil; komo te Qtata Dios nk'amon kyetz [ikxtza'x kyetz nkyeb'isun]. 
ROM.14.4	¿Komo tidi' awoklen yatz tzan tqet ayoli' te tmos junky? Galan aj ntk'ulu' qa nya'txji, per a te tajaw e'el tetz b'ix te Qajawil b'a'n tzan tonen tuky'i'l tzan tk'ulun iktza' te aj presis. 
ROM.14.5	Ax ate' junjun tuj kynab'l kyetz junjun q'ij mas xjan twitz junky, b'ix ax ate' junjunky nkyq'uma' kyaqil q'ij parej. Junjunchaq a tgan tzan tqet kyb'isu' aj tume'l nqet tuj kywitz. 
ROM.14.6	Ab'l aj n'ok tsi' twi' ti'j jun q'ij, n'ok tsi' twi' ti'j tzan tqet tjiq'b'a' te Qajawil; b'ix ab'l aj b'a'n tzan twa'an kyaqil, ax nwa'an tzan tqet tjiq'b'a' te Qajawil tzan tpaj nxik tsi' pixon te Qtata Dios; b'ix te aj k'onti'l nwa'an kyaqil, k'onti'l nwa'an tzan tqet tjiq'b'a' te Qajawil b'ix nxik tsi' pixon te Qtata Dios. 
ROM.14.7	Komo nijunwt jun te qetz nqo'anq'in cha a'ox te jun galan te qetzx, b'ix ni te jkamiky nya'tx te qetzx. 
ROM.14.8	Qa itz'ojo', ntons te Qajaw itz'ojo'; b'ix qa nqokamik, te Qajaw nqokamik. Ikxji, qa itz'ojo' qatzun kamnaqo'ji, te Qajaw a'o'. 
ROM.14.9	Komo tzan tpaj ntzani te Krist okamik b'ix ojaw anq'in junky'el, tzan tok te Kyajawil kye kamnaq b'ix kye aj itz'oje'.
ROM.14.10	Per yatz, ¿tistil nqet ayoli' awerman? ¿Tistil n'el awik'o'? Jun q'ij qkyaqil qetz oqopoyon twitz Qtata Dios tzan stzaj tq'uma' qa at qil qatzun k'onti'lji.
ROM.14.11	Komo tuj te Tu'jal Dios oqtxi' nyolin te Qajawil ikxjani: “Iktza'x b'an'ax itz'ojin, ax b'an'ax iktza' oxe'l nsi' nyol ikxjani: Kyaqil xjal okyeqtel mejlet nwitz b'ix kyaqil oxe'l kyq'uma' wetz a'in Dios.”
ROM.14.12	Astilji qkyaqil qetz twitz Qtata Dios oxe'l jq'uma' kyaqil tidi' jk'ulb'en.
ROM.14.13	Ntons, astilji ya k'onky qet qyoli' junky sinoke intqet qb'isu' tuj tume'l tzan k'on jk'ulun jun tidi' aj ona'noyon tanim junky, b'ix k'on qok'ulun jun tidi' tzan tqet tz'aqik junky. 
ROM.14.14	Wetz web'en b'ix sewur atin, k'onti'l jun tidi' aj nya'tx galan tzan tpaj ikxji-wit tkajlen swa'.
ROM.14.15	Qa tzan tpaj te aj nxik awa'a', ona'noyon tanim junky awerman, ntons ikxji k'onti'l nchb'et tuj jun tume'l tzan tqet agani'. K'on xik awa'a' jun tidi' aj oqtel tz'aqik junky awitza', komo ax tzan tpaj te aj awerman te Krist okamik. 
ROM.14.16	Ntons, k'on chk'ulun ch'inwt tuky'i jun tume'l nya'tx galan; ikxji tzan k'on kyyolin txq'anky nya'tx galan ti'j te aj yatz tuj anab'l jun galan.
ROM.14.17	Komo tzan jkaj tuj tq'ab' Qtata Dios, te nini nya'tx tzan tpaj jun tidi' aj nxik qwa'a' qatzun aj nxik quk'a'ji, sinoke tzan qb'et tuj tume'l b'ix tzan qten galan qxolx b'ix tuky'i jun chalajsb'il tuj qanim tzan te Txew Dios. 
ROM.14.18	Te aj n'aq'unan te Krist ikxji, n'el galan tuj twitz Qtata Dios b'ix ax n'el galan tuj kywitz kye xjal.
ROM.14.19	Ntons astilji qob'ajk'ulun waq galan tzan qten galan qxolx b'ix tzan qten jwert qxolx tuky'i Qtata Dios. 
ROM.14.20	K'on ek'uluj tzan tponaj taq'un te Qtata Dios exol tzan tpaj aj nxik ewa'a'. B'a'n tzan qwa'an kyaqil, per nya'tx galan qa tzan tpaj aj nxik qwa'a' oqtel tz'aqik te jun ab'l qetz. 
ROM.14.21	Mejor-tal tzan k'on echo'on chib'j b'ix tzan k'on etuk'an ta'al ub tx'amsa' b'ix tzan k'on ek'ulun ch'inwt aj ok'uluyon tzan tqet tz'aqik awerman. 
ROM.14.22	Te tume'l titza' yatz wit'lik ak'u'j ti'j Dios, k'on kaj asi'. Galanx-alo te aj nk'ulun jun tidi' b'ix k'onti'l tidi' nyolin tanim ti'j. 
ROM.14.23	Per te aj [nxik twa'a' jun tidi' b'ix] nna'non tanim ti'j [qa b'a'n tzan] txik twa'a', ajixk nxik tpoqo' tib' tzan tpaj k'onti'l nxik twa'a' iktza' tetz wit'lik tk'u'j; komo kyaqil aj nqet jk'ulu' qa nya'tx iktza' wit'lik jk'u'j ntons nqojoyon choj.
ROM.15.1	Ntons astilji, qetz aj jwert ato' tuky'i Qtata Dios a tgan tzan sten qpasens kyi'j kye aj nya'tx jwert ate', b'ix nya'tx tzan tok qsi' jk'u'jx cha te jun galan te qetzx. 
ROM.15.2	Junjunchaq te qetz a tgan tzan tok qsi' jk'u'j tzan jkaj galan kyuky'i txq'anky tuj kyaqil tume'l tzan kyok jwert kyetz. 
ROM.15.3	Komo te Krist, tetz k'onti'l owok tsi' tk'u'j cha te jun galan te tetzx, sinoke iktza'x tz'ib'ankaj tuj Tu'jal Dios oqtxi' ikxjani: “Kyaqil te kyyasb'en kye aj nkye'ok yason te yatz, a'in in'el chojon tetz.”
ROM.15.4	Kyaqil te aj oqet tz'ib'let oqtxi', oqet tz'ib'let te jun xnaq'tzb'ilj te qetz tzan k'on tkaj qsi' tzan qokslan b'ix tzan tnimsan jk'u'j tzan tpaj te aj ntyoli' te Tu'jal Dios. 
ROM.15.5	Qtata Diosxwit aj ntzaj sin qpasens b'ix nnimsan jk'u'j, tz'onenxwit etuky'i'l tzan etanq'in galan exolx iktza'x te Krist tgan. 
ROM.15.6	Ikxji junx ekyaqil, tuky'i jun ewi' oqtel ejiq'b'a' te Qtata Dios aj stat te Qajaw Jesukrist.
ROM.15.7	Ntons pe'ek'amon waq etib'x exolx iktza'x te Krist otk'amoj a'o' tzan tqet jiq'b'a' te Qtata Dios. 
ROM.15.8	Nxik nq'uma' etetz, te Krist owul k'ulul jun galan kye aj tijajil Israel
ROM.15.9	B'ix ax owul tzan tqet kyjiq'b'a' te Qtata Dios kye aj nya'tx tijajil Israel tzan tpaj ax owok lo'et tk'u'j kyi'j kyetz; iktza'x tz'ib'ankaj tuj Tu'jal Dios oqtxi' ikxjani: “Astilji wetz oxe'l npakb'a' te tpakb'alil awi'j kxol kye aj nya'tx tijajil Israel b'ix okyinb'itzayon te yatz kxol kyetz.”
ROM.15.10	Ax nyolin tuj junky part ikxjani: “Etetz aj nya'tx tijajil Israel a'ix, pe'echalaj waq junx kyuky'i kye [aj tijajil Israel] aj pawame' te Qtata Dios.”
ROM.15.11	B'ix ax nyolin tuj junky part ikxjani: “Pe'ena'on te Qajawil tuky'i nim chalajb'il etetz aj nya'tx tijajil Israel a'ix, pe'ena'on te tetz kyaqil amaq' twitz tx'o'tx'.”
ROM.15.12	Ax te Chay okaj stz'ib'a' ikxjani: “Tzul jun aj tijajil Jesey,
ROM.15.13	Qtata Dios aj ja' lo'ik jk'u'j, tzaj sinxwit te etetz jun nim chalajsb'il b'ix jun chewsb'il tuj etanim etetz aj nkx'okslan ti'j, b'ix tzan tonen te Txew Dios etuky'i'l tuky'i nim tajwalil tzan tkaj lo'et ek'u'j ti'j te Qtat.
ROM.15.14	Wetz web'en waq erman, etetz b'an galan xjal a'ix, b'ix at jun enab'l tzan tel eniky' ti'j tidi'chq b'ix b'a'n tzan txik ekawi' kye txq'anky exolx etib'x. 
ROM.15.15	Wetz k'onti'l tuj nwitz, ma qet ntz'ib'a' te etetz ja ntzani tzan stzaj ena'o' tuj etanim jun tidi' aj presis. Nqet nk'ulu' ntzani tzan tpaj te wajwalil aj otzaj tsi' te Qtata Dios 
ROM.15.16	tzan waq'unan te Kristo Jesus kxol kye aj nya'tx tijajil Israel, tzan txik npakb'a' te tpakb'alil galan kxol, b'ix tzan kxik nxnaq'tza'. Ikxji tzan kxik nq'apo' te Qtata Dios iktza' jun oyej galan tuj twitz b'ix pawankaj a'ox te tetz tzan te Txew Dios. 
ROM.15.17	Astilji, wetz b'an nkyinchalaj tuky'i Kristo Jesus ti'j te waq'un aj nkyink'ulun te Qtata Dios. 
ROM.15.18	Wetz nlay b'antik tzan tjaw njaqo' ntzi' nich'inwt, sinoke a'ox ti'j te aj oje qet tk'ulu' Jesus wuky'i'l tzan kyokslan kye aj nya'tx tijajil Israel tzan tpaj npakb'en b'ix nk'ulb'en 
ROM.15.19	b'ix tuky'i tidi'chq yek'b'il aj at tidi' telponx b'ix tuky'i nim tajwalil Txew Dios. Ikxji nxik tuq npakb'a' te tpakb'alil galan ti'j Jesukrist tuj Jerusalen b'ix ja'chq max tuj tkwentil Ilíriko. 
ROM.15.20	Ikxji tuq wetz nkyin'ok il tzan txik npakb'a' kyuj kye luwar aj ja' mina' tok cha'let te tpakb'alil ti'j te Krist, tzan k'on txik npakb'a' aj ja' oje xik pakb'let tzan txq'anky 
ROM.15.21	sinoke [tzan npakb'an] iktza' ntq'uma' te Tu'jal Dios oqtxi' ikxjani: “Owokel kyen kye aj ja' k'onti'l oxik pakb'let, b'ix owokex tuj kywi' kye aj mina' tuq tok kcha'o' ni jun-el ti'j tetz.”
ROM.15.22	Astilji tzan tpaj ntzani k'onti'l ob'antik witza' tzan nxik q'olb'el etetz iktza'x ky'ila'j-el oqet nb'isu',
ROM.15.23	yatzun ajna'l oje b'antik kyaqil waq'un aj presis tuj kyaqil ja luwar tzani, b'ix tzan tpaj ky'ila'j aq'b'ixi' ngan tuq tzan nxik q'olb'el etetz. 
ROM.15.24	Astilji oj nxik Espany, ngan tzan nky'ik tb'ay q'olb'el etetz tzi, b'ix oj nten jun tyemp exol tzan qchalaj ch'in junx qkyaqil, yaji qanq b'a'n tzan etonen ch'in wuky'i'l tzan nxik tuj nb'ey max Espany. 
ROM.15.25	Per ajna'l okyinxe'l tuj Jerusalen, oxe'l win jun onb'il kye aj pawame' te Qtata Dios txini. 
ROM.15.26	Komo kye aj Masedony b'ix kye aj Akay, kyetz oqet kyb'isu' tzan tok kchimo' jun onb'il kye qerman
ROM.15.27	Komo ma qet kyb'isu' tuj tume'l tzan kyk'ulun ikxjani, b'ix b'an'ax presis tzan txik kswa', tzan tpaj kye aj tijajil Israel oje xik ksi' jun galan te kyetz, osey oje xik kypakb'a' te tpakb'alil galan kyuky'i'l, ntons ajna'l presis tzan kyonen kyuky'i kye aj tijajil Israel tuky'i jun tidi' aj at te kyetz.
ROM.15.28	Ya oj tkajb'aj nk'ulu' kyaqil ja ntzani b'ix oj tkaj nq'apo' kyetz ja onb'il ntzani, yaji oj nxik Espany okyinky'el q'olb'el etetz tzi. 
ROM.15.29	Wetz web'en oj npon exol etetz, owokel eten jun nim b'an galan aj otzajel tsi' Jesukrist te etetz. 
ROM.15.30	Wetz oxe'l nq'uma' etetz waq erman tuky'i tb'i Qajaw Jesukrist b'ix tzan tpaj te Txew ntnimsa' jk'u'j tzan tqet qgani' qib'x qxolx, nqet nwitz ewitz tzan etonen ch'in wuky'i'l tzan exnaq'tzan tuky'i jun tk'u'jlal wi'j wetz. 
ROM.15.31	Intxik exnaq'tza' tuky'i Qtata Dios tzan nqet tkolo' kxol kye aj k'onti'l nkyexnaq'tzan tuj Judey, b'ix tzan tel galan kyuky'i kye qerman
ROM.15.32	Ikxji tzan npon exol tuky'i jun chalajsb'il tuj wanim tzan te Qtata Dios b'ix tzan wojlan ch'in exol. 
ROM.15.33	Qtata Diosxwit aj chewsal qanim qetenxwit etuky'i'l ekyaqil etetz. ¡Ky'ikxwit ikxji!
ROM.16.1	Wetz ngan tzan txik nq'uma' ti'j te qerman Fébe aj tetz topis n'onen k'ulul kwent kye qerman tuj amaq' Senkrey, tetz jun galan xjal. 
ROM.16.2	Ngan tzan ek'amon tetz tuj jun tume'l b'an galan tuky'i tb'i Qajaw iktza' aj presis tzan jk'amon kye qerman aj pawame' te Qtata Dios; b'ix ngan tzan tok etone' tuky'i jun tidi' aj presis tetz, komo tetz oje tz'onen kyi'j ky'ila'j qerman b'ix ax wi'j wetz. 
ROM.16.3	Jun limb'il te qerman Akiy tuky'i txu'jel aj Xhil, a'e' aj nkye'onen wuky'i'l tuj qaq'un te Kristo Jesus.
ROM.16.4	Eb'aj'onen te wetz, dispwest tuq tzan kykamik tzan npaj, b'ix ajna'l nxik nsi' pixon te kyetz, b'ix nya'tx a'ox a'in sinoke ax kyaqil kye qerman aj nya'tx tijajil Israel, ax kyetz nxik ksi' pixon te kyetz. 
ROM.16.5	B'ix ax jun limb'il kye qerman aj n'ok kchimo' kyib' tuj kyjay [te Akiy b'ix Xhil]. B'ix jun limb'il te wajyol Epenet aj ajb'ila' nim witza'; a tetz te tb'ay tuj Akay aj owokslan ti'j Krist. 
ROM.16.6	Jun limb'il te Liy, aj oje tz'aq'unan te jun nim galan te etetz. 
ROM.16.7	Txik esi' ch'in jun limb'il kye a'e' nxjalil Andronk b'ix Júnias; kyetz a'e' tuq wuky'i'l aj akyeqex tuq pres; kyetz b'an otzqi'mj-e' kxol kye tky'ixel Jesus, b'ix kyetz e'okslan ti'j Krist tb'ayon nwitz wetz. 
ROM.16.8	Jun limb'il te wamiw Amplias aj ajb'ila' nim witza' tzan tpaj tetz werman tzan tpaj Krist. 
ROM.16.9	Jun limb'il te Urbáno aj n'onen wuky'i'l tuj qaq'un te Krist, b'ix jun limb'il te Estaks aj ajb'ila' nim witza'. 
ROM.16.10	Jun limb'il te Ape'xh aj oje tipaj [te preb] b'ix oje tz'el galan tuj twitz Krist, b'ix jun limb'il kye kyaqil tuj tjay Aristóbulo. 
ROM.16.11	Jun limb'il kye nxjalil Eradiy b'ix kye aj tuj tjay te Xhixh aj nkye'okslan te Qajawil. 
ROM.16.12	Jun limb'il te Trifena b'ix te Trifos aj nkye'aq'unan nim tuj taq'un Qajawil. B'ix jun limb'il te qerman Persid aj gani' nim qitza', tetz oje tz'aq'unan nim tuj taq'un Qajaw. 
ROM.16.13	Jun limb'il te Rúfo
ROM.16.14	Jun limb'il te Asinkrit, te Flejont, te Ermes, te Patrobs, te Ermas, b'ix kye kyaqil qerman aj akyeqet kyuky'i'l. 
ROM.16.15	Ax jun limb'il te Filólogo, b'ix te July, te Nerey b'ix te tanab', b'ix te Olimp, b'ix kye kyaqil aj pawame' te Qtata Dios aj akyeqet kyuky'i'l. 
ROM.16.16	Pe'eliman etetz etib'x exolx tzi tuky'i jun limb'il b'an tume'l
ROM.16.17	Ntons, ajna'l wetz ngan tzan txik nq'uma' etetz waq erman tzan tok esi' enab'l kyi'j kye aj nkyek'ulun tzan tok jun q'oj exol b'ix ax kyi'j kye aj nkyek'ulun tidi'chq tzan eqet tz'aqik, kyaqil aj nkyek'ulun nya'tx iktza' te xnaq'tzb'ilj aj oxik xnaq'tza' etetz. Intel epawa' etib' kyi'j 
ROM.16.18	tzan tpaj k'onti'l nkye'aq'unan te Qajaw Jesukrist, sinoke cha tzyume' tzan te aj n'el kygani', b'ix tuky'i kyyol b'an tb'anil nqet kyeq'i' kye xjal aj nya'tx b'an jwert ate' tuky'i te tume'l. 
ROM.16.19	Kyaqil oje tz'ok kcha'o' titza' etetz oje qet etoksla', astilji wetz b'an nkyinchalaj eti'j, b'ix ngan tzan tel eniky' byenech ti'j te tume'l galan b'ix tzan k'on tox esamo' etib' tuky'i te nya'tx galan. 
ROM.16.20	Ikxji te Qtata Dios aj nchewsan jk'u'j, tetz ch'inky tk'ulun tzan tox te Satanas tjaq' etoq. Tzajxwit si' etajsik etetz jun nim b'an galan tzan te Qajaw Jesukrist.
ROM.16.21	Jun limb'il te etetz tzan te wuky'i'l Timotey
ROM.16.22	Wetz, Tértios aj nkyintz'ib'an ja u'jni, ajna'l ax nkyinsaman jun limb'il te etetz tuky'i tb'i te Qajawil.
ROM.16.23	Ax jun limb'il etetz tzan Gay.
ROM.16.24	Tzajxwit si' etajsik etetz ekyaqil jun nim b'an galan tzan te Qajaw Jesukrist. ¡Ky'ikxwit ikxji!
ROM.16.25	Ntons jun pixon te Qtata Dios aj b'a'n tzan tk'ulun tzan eten mas jwert tuky'i'l iktza'x ntyoli' te tpakb'alil aj nxik npakb'a' wetz b'ix nxik nxnaq'tza' ti'j Jesukrist. Te ntzani iktza'xkix te aj oje tzaj tq'uma' Qtata Dios ti'j te aj ntb'isu' aj k'onti'l tuq qeb'en oqtxi', aj ewa' tuq atx aj mina' tuq tqet k'ulu' te twitz tx'o'tx'. 
ROM.16.26	Per ajna'l oje xik q'umlet tzan tpaj ktz'ib'en kye aj yolil tyol oqtxi' iktza'x oxik q'uma' kyetz tzan te Qtata Dios aj itz'oj te jun-ele'x. Te ja ntzani oje xik q'umlet tzan tqet kyoksla' kyaqil xjal tuj kyaqil amaq' tzan tok wit'let kyk'u'j ti'j te Qtat. 
ROM.16.27	¡Te Qtata Dios aj k'onti'l junky iktza' tetz b'ix aj totzqi' kyaqil, intqet jiq'b'a'xwit te jun-ele'x tzan tpaj te Jesukrist! ¡Ky'ikxwit ikxji!
1CO.1.1	Wetz a'in Pa'k aj inxik uk'le' tzan wok tky'ixel te Kristo Jesus tzan tpaj ikxji tgan tuq te Qtata Dios, ntons wetz junx tuky'i te qerman Sóstenes 
1CO.1.2	nqet ntz'ib'a' ja u'j ntzani te etetz waq erman
1CO.1.3	Tzaj si'xwit jun nim b'an galan etajsik ekyaqil etetz b'ix qet chewsa'xwit ek'u'j tzan te Qtata Dios b'ix te Qajaw Jesukrist.
1CO.1.4	Wetz b'ajq'ij nxik nsi' pixon te Qtata Dios eti'j etetz tzan tpaj te nim b'an galan aj oje tzaj tsi' etetz tzan tpaj mojb'a' etib' tuky'i Kristo Jesus. 
1CO.1.5	Komo junx atix tuky'i'l, tetz oje tzaj tsi' tidi'chq b'an galan tuj etanim, komo b'a'n tzan eyolin tb'anil b'ix oje tz'el eniky' ti'j tidi'chq. 
1CO.1.6	Ikxji te tpakb'alil aj owok echa'o' ti'j te Krist oje tz'ok en b'an b'an'ax exol. 
1CO.1.7	Ikxji k'onti'l npaltin te etetz ch'inwt ti'j etajb'en tzan kyok jwert kye qerman tuky'i Qtata Dios, man nkx'iyon tuky'i jun tk'u'jlal tzan tulky te Qajaw Jesukrist. 
1CO.1.8	Tetz otk'ulu'tz tzan eten b'an jwert max oj tul te jwisy, tzan k'on exik poqo' oj tul tetz. 
1CO.1.9	Te Qtata Dios jun yolin b'ix okxtzaj tuk'le' tzan eten junx tuky'i te Tk'wa'al, aj Jesukrist aj Qajawil.
1CO.1.10	Erman waq, tuky'i tb'i te Qajaw Jesukrist wetz oxe'l nq'uma' jun tume'l etetz tzan eten dyakwerd exolx b'ix k'on qet epawa' etib' exolx. Pe'etanq'in waq galan exolx tuky'i jun enab'l parej ekyaqil b'ix pe'eten dyakwerd ti'j te aj n'eb'isu'. 
1CO.1.11	Komo wetz oje tz'ok ncha'o' eti'j etetz waq erman, otzaj kyq'uma' kye aj tuj tjay te Kloey, at q'oj exol etetz b'ix nqet epawa' etib' exolx. 
1CO.1.12	Wetz n'ok ncha'o' ate' junjun exol etetz nkyq'uma' ikxjani: “Wetz a'in te Pa'k.” B'ix junjunky nkyq'uma': “Wetz a'in te Pol.”
1CO.1.13	¿Ti'tzun? ¿Pawa' petzun tib' te Krist? ¿A petzun te Pa'k te aj owok klabi' twitz krus tzan epaj? ¿Ojaw si' a' petzun ewi' tuky'i tb'i te Pa'k? 
1CO.1.14	Wetz nxik nsi' pixon te Dios tzan tpaj k'onti'l ojaw nsi' a' kywi' nijunwt exol etetz, sinoke a'ox te Krisp
1CO.1.15	Ikxji nijunwt exol etetz b'a'n tzan tyolin qa a'in injaw sin a' twi' tuky'i nb'i. 
1CO.1.16	Ah nye', ajna'l ntzaj nna'o', ojaw nsi' a' kywi' kye aj tuj tjay te Estéfan,
1CO.1.17	Wetz k'onti'l intzaj tlajo' Krist swal a' kywi' xjal sinoke pakb'al te tpakb'alil galan, b'ix nya'tx cha tuky'i junjun yol aj b'an tb'anil tok cha'on; ikxji tzan k'on tok chagan te tkamlen te Qajaw Krist twitz krus.
1CO.1.18	Tuj kywitz kye aj nkyexiknaj, te tpakb'alil ti'j te tkamlen [Jesus] twitz krus naqe cha k'onti'l tidi' token; per yatzun qetz aj kolomo' a'o'ni, [n'el qniky' te nini jun] tajwalil te Qtata Dios. 
1CO.1.19	Iktza'x tz'ib'ankaj [tuj Tu'jal Dios oqtxi'] ikxjani: “Wetz owelal win kynab'l kye aj at nim kynab'l, b'ix kye aj b'an list-e' owelal win kyaqil titza' nkyeb'isun.”
1CO.1.20	Ntons ¿ja' ate' kye aj b'an list-e'? B'ix ¿ja' ate' kye aj xnaq'tzal Kawb'il? B'ix ¿ja' ate' kye aj nkyewululun cha a'ox ti'j tidi'chq tzani twitz tx'o'tx'? ¿Ti'tzun, nya'tx b'an'ax te Qtata Dios oje qet tyek'u' te kynab'l kyetz k'onti'l token?
1CO.1.21	Te Qtata Dios oqet tb'isu' b'an tume'l tzan k'on tok kyotzqila' kye xjal te tetz tuky'i kynab'lx kyetz, sinoke oqet tb'isu' tzan tkolon kyi'j kye aj nkye'okslan ti'j iktza' nyolin te tpakb'alil galan aj nxik pakb'let, anke te tpakb'alilni n'el tuj kywitz junjun iktza' cha jun tidi' aj k'onti'l token. 
1CO.1.22	Kye xjal aj tijajil Israel kygan tzan tok kyen jun lab'al tuky'i nim tajwalil Qtata Dios tzan tok kyen qa b'an'ax, b'ix yatzun kye aj nya'tx tijajil Israel, kyetz nkyejoyon jun tume'l cha tzan stz'aqet mas kynab'l. 
1CO.1.23	Per yatzun qetz, nqopakb'an te tpakb'alil ti'j te Krist aj owok klabi' twitz krus. Te ntzani n'ok kye aj tijajil Israel iktza' jun ab'j aj nkyejaw xpetk'an ti'j,
1CO.1.24	Per kye aj uk'leme' tzan te Qtata Dios kxol kye aj tijajil Israel b'ix kxol kye aj nya'tx aj tijajil Israel, kxol kykab'il tijajil xjal, n'ok qen ti'j te Krist tajwalil te Qtata Dios, b'ix ax ti'j tetz n'ok qen te tume'l titza' te Qtata Dios nqet tb'isu' tuky'i jun tnab'l b'an tume'l. 
1CO.1.25	Komo te aj nkyb'isu' kye xjal ti'j te tk'ulb'en te Qtata Dios qa k'onti'l token, per kebaser te tk'ulb'enni a te aj mas b'an galan twitz kyaqil aj nkyb'isu' kye xjal. B'ix te aj nkyb'isu' ti'j tajwalil Qtata Dios qa nya'tx nim, a te aj mas b'an nim twitz kyaqil kyajwalil kyetz.
1CO.1.26	Instzaj ena'o' waq erman titza' tuq atix aj etzaj uk'le' etetz tzan te Qtata Dios. Nya'tx tuq ky'ila'j etetz b'an list a'ix tuj kywitz kye xjal, b'ix nya'tx tuq ky'ila'j etetz aj at nim etajwalil, b'ix nya'tx tuq tlimaqal xjal a'ix. 
1CO.1.27	Per te Qtata Dios e'el tjoyo' kye aj tuj kywitz kye xjal cha tont-e', tzan tel tin kky'exaw kye aj tuj kynab'lx kyetz b'an list-e'. B'ix e'el tjoyo' kye aj tuj kywitz kye xjal k'onti'l kyajwalil, tzan tel tin kky'exaw kye aj at nim kyajwalil tzani twitz tx'o'tx',
1CO.1.28	b'ix e'el tjoyo' kye aj nkye'el ik'o' b'ix kye aj k'onti'l nkyeqet en galan tzan kye xjal, b'ix owel tjoyo' te aj k'onti'l at
1CO.1.29	Ikxji oqet tk'ulu' te Qtata Dios tzan k'on tqet tjiq'b'a' tib' nijunwt xjal tuj twitz. 
1CO.1.30	Tzan tpaj te aj oqet tk'ulu' Qtata Dios, etetz mojb'a' etib' tuky'i Kristo Jesus; komo te Krist [oje tzul kolol te qetz] tzan tpaj ikxji oqet tb'isu' te Qtata Dios tuky'i jun tume'l b'an galan, b'ix a tetz te aj nk'ulun tzan tel in qchoj, b'ix tzan jkaj pawa' a'ox te Qtat, b'ix a tetz te aj nkolon te qetz. 
1CO.1.31	Komo iktza'x tz'ib'ankaj [tuj Tu'jal Dios oqtxi'] ikxjani: “Ab'l te aj tgan tzan tqet tjiq'b'a' tib' ti'j jun tidi', mejor intqet tjiq'b'a' tib' ti'j Qajawil.”
1CO.2.1	Erman, aj npon wetz etuky'i'l pakb'al te tpakb'alil Qtata Dios, wetz k'onti'l inpakb'an exol tuky'i pur tb'anil yol b'ix nya'tx tuky'i jun nnab'l aj kwest-wit tzan tel eniky' ti'j. 
1CO.2.2	Wetz aj akyinqet tuq exol, wetz oqet nb'isu' tuj wanim tzan k'on tqet nb'isu' ti'j junky tidi' sinoke a'ox ti'j te Kristo Jesus aj owok klabi' twitz krus. 
1CO.2.3	Wetz aj npon exol k'onti'l tuq nbalor b'ix nkyinlu'lun tuq tuky'i nxob'al. 
1CO.2.4	Aj nkyinpakb'an tuq te tpakb'alil galan, wetz k'onti'l oxik nq'uma' etetz tuky'i tb'anil yol tzan txik etoksla' iktza' nkyeyolin kye xjal, sinoke nkyinpakb'an tuq tuky'i jun nim tajwalil Txew Dios iktza'x aj owok eten etetz. 
1CO.2.5	Ikxji tzan k'on tok ewit'b'a' ek'u'j ti'j tyol jun xjal, sinoke tzan tok ewit'b'a' ek'u'j ti'j tajwalil te Qtata Dios.
1CO.2.6	Ntons oj qyolin kxol kye aj jwert ate' tuky'i Qtata Dios, nqoyolina tuky'i jun tume'l b'an b'isu' byenech, b'ix nya'tx tuky'i jun tume'l aj otzaj xnaq'tza'-wit qetza tzan kye xjal aj twitz ja tx'o'tx'ni, qatzun tzan kye k'ulul mandad aj twitz ja tx'o'tx'ni aj ikja'n kyponaj.
1CO.2.7	Sinoke nqoyolin a ti'j te aj b'isu' tuq tzan te Qtata Dios oqtxi', ti'j aj nijunwt ab'l tuq n'el tniky' ti'j, aj ojetq tuq qet tb'isu', atx aj mina' tuq tqet tk'ulu' te twitz tx'o'tx', tzan tok te jun nim b'an galan te qetz. 
1CO.2.8	Te ntzani jun tidi' aj mina' tel kyniky' kye k'ulul mandad aj twitz ja tx'o'tx'ni; qa owox-wit tuj kywi', k'onti'l-tal oqet kyklabi' twitz krus te Qajawil aj at mas nim xhchqitz'unal twitz kyaqil. 
1CO.2.9	Iktza'x nyolin [tuj te Oqtxi' Tu'jal Dios] ikxjani: “Nijunwt ab'l oje tz'ok en tetz, b'ix nijunwt ab'l oje tz'ok cha'on tetz, b'ix nijunwt ab'l oje qet tb'isu' ti'j te aj oje qet tk'ulu' te Qtata Dios [te jun galan] kye aj nkyeqet ganin tetz.”
