GEN.1.1	Kezdetben teremtette Isten az eget és a földet. 
PRO.23.4	a magad belátásából hagyd abba! 
PRO.23.5	Alig száll rá tekinteted, már nincs meg,
PRO.23.5	mert gyorsan szárnya támad,
PRO.23.5	az ég felé repül, mint a saskeselyű.
PRO.23.6	Ne edd az irigy ember kenyerét,
PRO.23.6	és ne kívánd jó falatjait,
PRO.23.7	mert olyan ő, mint aki
PRO.23.7	számolgat magában:
PRO.23.7	Egyél, igyál! – mondja neked,
PRO.23.7	de nem szívesen.
PRO.23.8	Megevett falatodat ki fogod hányni,
PRO.23.8	és kedves szavaidat elvesztegeted.
PRO.23.9	Az ostoba füle hallatára ne beszélj,
PRO.23.9	mert csak megveti okos szavaidat. 
PRO.23.10	Ne mozdítsd el az ősi határt,
PRO.23.10	ne orozd el az árvák mezejét! 
PRO.23.11	Mert megváltójuk erős:
PRO.23.11	ő perli majd perüket veled. 
PRO.23.12	Szívleld meg az intést,
PRO.23.12	és hallgass az okos beszédre!
PRO.23.13	Ne sajnáld megfenyíteni a gyermeket,
PRO.23.13	nem hal bele, ha megvered bottal. 
PRO.23.14	Te csak bottal vered meg,
PRO.23.14	de lelkét a holtak hazájától mented meg.
PRO.23.15	Fiam, ha bölcs a szíved,
PRO.23.15	örül az én szívem is. 
PRO.23.16	Vigad a bensőm,
PRO.23.16	ha ajkad őszintén szól.
PRO.23.17	Ne irigyelje szíved a vétkeseket,
PRO.23.17	inkább az 
PRO.23.18	mert van még jövendő,
PRO.23.18	és reménységed nem semmisül meg.
PRO.23.19	Hallgass rám, fiam, légy bölcs,
PRO.23.19	és irányítsd szíved a helyes útra!
PRO.23.20	Ne tarts a bor mellett dőzsölőkkel,
PRO.23.20	se a falánk húsevőkkel! 
PRO.23.21	Mert a dőzsölő és a falánk elszegényedik,
PRO.23.21	és rongyokba öltöztet a sok alvás. 
PRO.23.22	Hallgass apádra, ő nemzett téged,
PRO.23.22	és ne vesd meg anyádat, ha megöregszik! 
PRO.23.23	Vedd meg, és ne add el az igazságot,
PRO.23.23	a bölcsességet, az intést és az értelmet!
PRO.23.24	Vígan örvendezik az igaznak az apja,
PRO.23.24	és aki bölcset nemzett, örül annak. 
PRO.23.25	Örüljön apád és anyád,
PRO.23.25	vigadjon, aki szült téged!
PRO.23.26	Add nekem a szívedet, fiam,
PRO.23.26	és tartsd szemed előtt utaimat!
PRO.23.27	Mély verem a parázna nő,
PRO.23.27	és szoros kút az idegen asszony. 
PRO.23.28	Úgy leselkedik, mint egy rabló,
PRO.23.28	és szaporítja a hűtlen emberek számát. 
PRO.23.29	Kinek jaj? Kinek fáj?
PRO.23.29	Kivel veszekednek? Kinek van gondja?
PRO.23.29	Kit vernek véresre hiába?
PRO.23.29	Kinek zavaros a szeme? 
PRO.23.30	Azoknak, akik bor mellett mulatnak,
PRO.23.30	és a fűszeres bort kóstolgatni járnak.
PRO.23.31	Ne nézd a bort, hogyan vöröslik,
PRO.23.31	hogyan gyöngyözik a pohárban.
PRO.23.31	Bizony simán lecsúszik az!
PRO.23.32	De végül megcsíp, mint a kígyó,
PRO.23.32	megmar, mint a vipera.
PRO.23.33	Szemed zavaros dolgokat lát,
PRO.23.33	te magad pedig összevissza beszélsz.
PRO.23.34	És olyan leszel, mint aki
PRO.23.34	lefeküdt a tenger közepén,
PRO.23.34	vagy mint aki az árbockosárban fekszik.
PRO.23.35	Ütöttek engem, de nem fájt,
PRO.23.35	vertek, de nem tudtam róla!
PRO.23.35	Amint fölébredek, folytatom,
PRO.23.35	ugyanezt keresem.
PRO.24.1	Ne irigyeld a rossz embereket,
PRO.24.1	és ne kívánj velük lenni! 
PRO.24.2	Mert pusztításon töpreng a szívük,
PRO.24.2	és bántó, amit beszél az ajkuk.
PRO.24.3	Bölcsesség építi a házat,
PRO.24.3	értelem szilárdítja meg,
PRO.24.4	és ismeret tölti meg a szobákat
PRO.24.4	mindenféle drága és kedves értékkel.
PRO.24.5	A bölcs férfi erős,
PRO.24.5	és a tudós ember nagy erejű.
PRO.24.6	Megfontoltság kell a háborúhoz,
PRO.24.6	és segítséget jelent a sok tanácsadó. 
PRO.24.7	Magas a bolondnak a bölcsesség:
PRO.24.7	ne nyissa ki száját a kapuban!
PRO.24.8	Aki gonosz tettet tervez,
PRO.24.8	azt alattomos embernek hívják.
PRO.24.9	Az alattomos bolondság vétek,
PRO.24.9	és utálják az emberek a csúfolódót.
PRO.24.10	A nyomorúság idején kiderül,
PRO.24.10	hogy erős-e az, aki annak mondja magát.
PRO.24.11	Mentsd meg azokat,
PRO.24.11	akiket halálra visznek,
PRO.24.11	és ne fordulj el azoktól,
PRO.24.11	akiket a vesztőhelyre hurcolnak! 
PRO.24.12	Ha azt mondanád,
PRO.24.12	hogy erről nem tudunk,
PRO.24.12	az, aki a szíveket vizsgálja, beléd lát,
PRO.24.12	és aki lelkedet őrzi, ismer;
PRO.24.12	ő megfizet az embernek cselekedete szerint. 
PRO.24.13	Egyél, fiam, mézet, mert jó,
PRO.24.13	és a lépes méz édes az ínyednek.
PRO.24.14	Tudd meg hát,
PRO.24.14	hogy ilyen a bölcsesség a lelkednek:
PRO.24.14	ha megtalálod, van jövendőd,
PRO.24.14	és reménységed nem semmisül meg.
PRO.24.15	Ne ólálkodj, te bűnös,
PRO.24.15	az igaz lakóhelyénél,
PRO.24.15	ne pusztítsd el nyugvóhelyét!
PRO.24.16	Mert ha hétszer elesik is az igaz,
PRO.24.16	mégis fölkel,
PRO.24.16	de a bűnösök elbuknak a bajban. 
PRO.24.17	Ha elesik ellenséged, ne örülj,
PRO.24.17	és ha elbukik, ne vigadjon a szíved, 
PRO.24.18	mert az 
PRO.24.18	és elfordítja haragját róla.
PRO.24.19	Ne haragudj a gonosztevőkre,
PRO.24.19	ne irigyeld a bűnösöket! 
PRO.24.20	Mert nincs jövője a gonosznak,
PRO.24.20	a bűnösök mécsese kialszik. 
PRO.24.21	Fiam, féld az 
PRO.24.21	és felforgatók közé ne keveredj! 
PRO.24.22	Mert hirtelen támad
PRO.24.22	rájuk a veszedelem,
PRO.24.22	és ki tudja: kettőjüktől
PRO.24.22	milyen pusztulás jön?
PRO.24.23	Ezek is a bölcsek mondásai:
PRO.24.23	Nem jó a személyválogatás
PRO.24.23	a törvénykezésben. 
PRO.24.24	Aki igaznak mondja a bűnöst,
PRO.24.24	azt átkozzák a népek,
PRO.24.24	és kárhoztatják a nemzetek.
PRO.24.25	De akik igazságot szolgáltatnak:
PRO.24.25	jó dolguk lesz,
PRO.24.25	és gazdag áldás száll rájuk.
PRO.24.26	Ajkakat csókol az,
PRO.24.26	aki helyes választ ad.
PRO.24.27	Lásd el kinti tennivalódat,
PRO.24.27	és végezd el mezei munkádat,
PRO.24.27	azután építsd házadat! 
PRO.24.28	Ne tanúskodj ok nélkül
PRO.24.28	felebarátod ellen:
PRO.24.28	miért szednéd rá beszédeddel? 
PRO.24.29	Ne mondd: Ahogy ő bánt velem,
PRO.24.29	én is úgy bánok vele,
PRO.24.29	megfizetek mindenkinek
PRO.24.29	cselekedete szerint! 
PRO.24.30	Elmentem a lusta ember földje mellett,
PRO.24.30	és az esztelen ember szőlője mellett,
PRO.24.31	és láttam, hogy egészen fölverte a gaz,
PRO.24.31	színét elfedte a gyom,
PRO.24.31	és kőkerítése összedőlt.
PRO.24.32	Amikor ezt láttam, elgondolkoztam,
PRO.24.32	elnéztem, és ezt az okulást szereztem:
PRO.24.33	Még egy kis alvás, egy kis szunnyadás,
PRO.24.33	összetett kézzel fekvés: 
PRO.24.34	így tör rád a szegénység,
PRO.24.34	mint az útonálló,
PRO.24.34	és a szűkölködés,
PRO.24.34	mint egy fegyveres ember.
PRO.25.1	Ezek is Salamon példabeszédei, amelyeket Ezékiásnak, Júda királyának emberei gyűjtöttek össze: 
PRO.25.2	Isten dicsősége az,
PRO.25.2	hogy a dolgokat elrejti.
PRO.25.2	A királyok dicsősége az,
PRO.25.2	hogy a dolgokat kikutatják. 
PRO.25.3	Az ég magassága, a föld mélysége
PRO.25.3	és a királyok szíve kikutathatatlan.
PRO.25.4	Távolítsd el az ezüstből a salakot:
PRO.25.4	az ötvös edényt készít belőle.
PRO.25.5	Távolítsd el a bűnöst a király elől,
PRO.25.5	és trónját megerősíti az igazság. 
PRO.25.6	Ne tetszelegj a király előtt,
PRO.25.6	és az előkelők helyére ne állj,
PRO.25.7	mert jobb, ha azt mondják neked, hogy jöjj előbbre,
PRO.25.7	mint ha megaláznak egy előkelő előtt,
PRO.25.7	akit magad is látsz! 
PRO.25.8	Ne állj ki elhamarkodottan,
PRO.25.8	amikor perelsz,
PRO.25.8	mert mit csinálsz majd a végén,
PRO.25.8	ha ellenfeled megszégyenít?
PRO.25.9	A magad perét pereld ellenfeleddel,
PRO.25.9	de a más titkát ne fedd föl,
PRO.25.10	mert aki hallja, szidalmaz téged,
PRO.25.10	és rágalmazásod nem vonhatod vissza!
PRO.25.11	Mint az aranyalma ezüsttányéron,
PRO.25.11	olyan a helyén mondott ige.
PRO.25.12	Mint az aranyfüggő
PRO.25.12	és a színarany ékszer,
PRO.25.12	olyan a bölcs feddés
PRO.25.12	a szófogadó fülnek.
PRO.25.13	Mint hűsítő hóesés aratás idején,
PRO.25.13	olyan a megbízható követ
PRO.25.13	azoknak, akik küldik,
PRO.25.13	mert felüdíti urai lelkét. 
PRO.25.14	Felhő és szél eső nélkül:
PRO.25.14	ilyen az, aki meg nem adott
PRO.25.14	ajándékkal dicsekszik.
PRO.25.15	Türelemmel a fejedelmet is
PRO.25.15	rá lehet beszélni,
PRO.25.15	és a szelíd szó
PRO.25.15	a csökönyösséget is megtöri. 
PRO.25.16	Ha mézet találsz, egyél,
PRO.25.16	amennyi jólesik,
PRO.25.16	de túl sokat ne egyél, mert kihányod!
PRO.25.17	Ritkán tedd lábadat
PRO.25.17	felebarátod házába,
PRO.25.17	mert megsokallja, és meggyűlöl.
PRO.25.18	Pöröly, kard és éles nyíl
PRO.25.18	az olyan ember,
PRO.25.18	aki hamisan tanúskodik
PRO.25.18	felebarátja ellen.
PRO.25.19	Mint a rossz fog és a tántorgó láb,
PRO.25.19	olyan lesz a hűtlenek bizakodása
PRO.25.19	a nyomorúság idején.
PRO.25.20	Mint aki leveti ruháját hideg időben,
PRO.25.20	vagy mint aki ecetet kever lúggal,
PRO.25.20	olyan az, aki a rosszkedvű ember előtt dalol. 
PRO.25.21	Ha éhezik, aki gyűlöl téged,
PRO.25.21	adj neki kenyeret,
PRO.25.21	és ha szomjazik, adj neki vizet, 
PRO.25.22	mert parazsat gyűjtesz a fejére,
PRO.25.22	az 
PRO.25.23	Az északi szél esőt szül,
PRO.25.23	a suttogó nyelv pedig haragos arcot.
PRO.25.24	Jobb a háztető sarkán lakni,
PRO.25.24	mint zsémbes asszonnyal együtt a házban. 
PRO.25.25	Mint hideg víz a tikkadt embernek,
PRO.25.25	olyan a messze földről kapott jó hír. 
PRO.25.26	Fölkavart forrás és romlott vizű kút:
PRO.25.26	olyan az igaz, ha a bűnös előtt meginog.
PRO.25.27	Sok mézet enni nem jó,
PRO.25.27	és a nehéz dolgokat kutatni nehéz.
PRO.25.28	Mint a város,
PRO.25.28	amelynek csupa rés a kőfala,
PRO.25.28	olyan az az ember,
PRO.25.28	akinek nincs önuralma.
PRO.26.1	Mint hó a nyárhoz és eső az aratáshoz,
PRO.26.1	úgy nem illik az ostobához a dicsőség.
PRO.26.2	Ahogyan elszáll a madár,
PRO.26.2	és elrepül a fecske,
PRO.26.2	úgy az ok nélküli átok sem teljesül.
PRO.26.3	Ostor való a lónak, zabla a szamárnak,
PRO.26.3	és bot az ostobák hátának. 
PRO.26.4	Ne felelj az ostobának
PRO.26.4	a bolondságához illően,
PRO.26.4	mert magad is hasonló leszel hozzá!
PRO.26.5	Felelj meg az ostobának
PRO.26.5	a bolondságához illően,
PRO.26.5	hogy ne tarthassa magát bölcsnek.
PRO.26.6	Lábát vágja le, és erőszakot szenved,
PRO.26.6	aki ostobával küld üzenetet.
PRO.26.7	Példázatot mond az ostoba:
PRO.26.7	csak annyit ér az, mint bénának a lába.
PRO.26.8	Mint aki követ tesz a parittyába,
PRO.26.8	úgy jár az, aki tiszteletet ad az ostobának.
PRO.26.9	Beleakad a tövis a részeg kezébe,
PRO.26.9	meg a példázat is az ostoba szájába.
PRO.26.10	Mint egy íjász, aki mindenkit megsebez,
PRO.26.10	olyan az, aki ostobát
PRO.26.10	vagy csavargókat fogad fel.
PRO.26.11	Ahogyan a kutya visszatér okádására,
PRO.26.11	úgy ismétli meg bolondságát az ostoba. 
PRO.26.12	Láttál olyan embert,
PRO.26.12	aki bölcsnek tartja magát?
PRO.26.12	Több reményt fűzhetsz
PRO.26.12	az ostobához, mint hozzá. 
PRO.26.13	Ezt mondja a rest:
PRO.26.13	Ragadozó van az úton,
PRO.26.13	oroszlán jár a tereken! 
PRO.26.14	Forog az ajtó a sarkán,
PRO.26.14	a rest meg az ágyán.
PRO.26.15	Belenyújtja a rest a kezét a tálba,
PRO.26.15	de arra is lusta, hogy a szájához vigye. 
PRO.26.16	Bölcsebbnek tartja magát
PRO.26.16	a rest hét olyannál,
PRO.26.16	aki értelmesen felel.
PRO.26.17	Kóbor kutyát ragad fülön,
PRO.26.17	aki olyan perbe avatkozik,
PRO.26.17	amihez semmi köze.
PRO.26.18	Mint az eszeveszett ember, aki tüzes
PRO.26.18	és halálos nyilakat lövöldöz,
PRO.26.19	olyan az, aki becsapja felebarátját,
PRO.26.19	és aztán így szól:
PRO.26.19	Hiszen csak tréfáltam!
PRO.26.20	Ha elfogy a fa, kialszik a tűz,
PRO.26.20	ha nincs rágalmazó,
PRO.26.20	megszűnik a viszály. 
PRO.26.21	A szén parázslik, a fa lángol,
PRO.26.21	a viszálykodó ember pedig
PRO.26.21	perpatvart szít. 
PRO.26.22	A rágalmazó szavai, mint a jó falatok,
PRO.26.22	behatolnak a test belsejébe. 
PRO.26.23	Az ezüstmáz bevonja az agyagedényt,
PRO.26.23	a sima ajak pedig a gonosz szívet.
PRO.26.24	Beszédével álcázza szándékát a gyűlölködő,
PRO.26.24	míg magában alattomosságot gondol.
PRO.26.25	Ha kedvesen szól, ne higgy neki,
PRO.26.25	mert csordultig van a szíve utálatossággal!
PRO.26.26	El lehet takarni a gyűlöletet csalással,
PRO.26.26	de lelepleződik a gonoszság a gyülekezetben.
PRO.26.27	Aki vermet ás, beleesik,
PRO.26.27	és aki követ dob el, arra esik vissza. 
PRO.26.28	A hazug nyelvű gyűlöli azt, akit eltiport,
PRO.26.28	és a sima szájú bukást idéz elő.
PRO.27.1	Ne dicsekedj a holnapi nappal,
PRO.27.1	mert nem tudod, mit hoz az a nap! 
PRO.27.2	Más dicsérjen téged, ne a te szájad,
PRO.27.2	az idegen, és ne a te ajkad! 
PRO.27.3	Súlyos a kő, és nehéz a homok,
PRO.27.3	de a bolond bosszantása
PRO.27.3	mindkettőnél nehezebb.
PRO.27.4	Kegyetlen indulat a túláradó harag,
PRO.27.4	de ki állhat meg a féltékenységgel szemben?
PRO.27.5	Jobb a nyílt feddés
PRO.27.5	a titkolt szeretetnél. 
PRO.27.6	Jó szándékúak a baráttól kapott sebek,
PRO.27.6	de csalárd a gyűlölködő csókja. 
PRO.27.7	Az, aki jóllakott,
PRO.27.7	a lépes mézet is eltapossa,
PRO.27.7	de az éhes embernek
PRO.27.7	még a keserű is édes.
PRO.27.8	Mint a madár, amely elhagyja fészkét,
PRO.27.8	olyan az az ember, aki elhagyja lakóhelyét.
PRO.27.9	Az olaj és a jó illat vidámít,
PRO.27.9	de a jó barát lélekből jövő tanácsa is.
PRO.27.10	Barátodat és apád barátját
PRO.27.10	ne hagyd cserben!
PRO.27.10	Ne menj testvéred házába,
PRO.27.10	mikor bajban vagy!
PRO.27.10	Többet ér a közeli szomszéd
PRO.27.10	a távoli testvérnél.
PRO.27.11	Légy bölcs, fiam, és vidíts fel engem,
PRO.27.11	hogy megfelelhessek annak, aki gyaláz. 
PRO.27.12	Ha az okos látja a veszedelmet, elrejtőzik,
PRO.27.12	az együgyűek pedig belekeverednek, és megjárják. 
PRO.27.13	Vedd el ruháját,
PRO.27.13	mert kezességet vállalt másért,
PRO.27.13	és zálogold meg az idegenért! 
PRO.27.14	Aki kora reggel nagy hangon áldja felebarátját,
PRO.27.14	átoknak veszik azt tőle.
PRO.27.15	A záporeső idején csepegő háztető
PRO.27.15	és a zsémbes asszony egyformák: 
PRO.27.16	aki feltartóztatja, szelet tartóztat fel,
PRO.27.16	és jobbjával olajat fog meg.
PRO.27.17	Vassal formálják a vasat,
PRO.27.17	és egyik ember formálja a másikat.
PRO.27.18	Aki a fügefát gondozza,
PRO.27.18	az eszi a gyümölcsét,
PRO.27.18	és aki gondoskodik uráról,
PRO.27.18	azt megbecsülik.
PRO.27.19	Ahogyan a víz tükrözi az arcot,
PRO.27.19	úgy tükröződik a szívben az ember.
PRO.27.20	Amilyen telhetetlen a halál
PRO.27.20	és az enyészet helye,
PRO.27.20	éppoly telhetetlen az emberi szem. 
PRO.27.21	Ami az ezüstnek az olvasztótégely
PRO.27.21	és az aranynak az olvasztókemence,
PRO.27.21	az az embernek a jó hírneve.
PRO.27.22	Ha apróra töröd is a bolondot
PRO.27.22	mozsárban, mozsártörővel,
PRO.27.22	akkor sem megy ki belőle a bolondság.
PRO.27.23	Ismerd meg juhaidat egyenként,
PRO.27.23	törődj gondosan a nyájakkal,
PRO.27.24	mert a kincs nem marad meg örökké,
PRO.27.24	sem az ékszer nemzedékről nemzedékre!
PRO.27.25	Amikor behordják a szénát,
PRO.27.25	és a fű kizöldül újra,
PRO.27.25	mikor begyűjtik
PRO.27.25	a hegyekről a takarmányt,
PRO.27.26	akkor a bárányokért ruhát,
PRO.27.26	a kecskékért mezőt vehetsz;
PRO.27.27	és lesz elég kecsketejed
PRO.27.27	eledelre, házad népe eledelére
PRO.27.27	és szolgálóid megélhetésére.
PRO.28.1	Futnak a bűnösök,
PRO.28.1	ha nem üldözik is őket,
PRO.28.1	de az igazak biztosnak érzik magukat,
PRO.28.1	mint egy oroszlán. 
PRO.28.2	Sok a vezető,
PRO.28.2	ha pártütés van az országban,
PRO.28.2	míg egy értelmes és okos ember
PRO.28.2	soká fenntartja a rendet.
PRO.28.3	Ha szegény ember
PRO.28.3	a nincstelenek elnyomója,
PRO.28.3	olyan az, mint a felhőszakadás,
PRO.28.3	mely után nincs kenyér.
PRO.28.4	Akik elhanyagolják a tanítást,
PRO.28.4	dicsérik a bűnösöket,
PRO.28.4	de akik megfogadják a tanítást,
PRO.28.4	ellenük támadnak.
PRO.28.5	A rossz emberek nem értik meg a törvényt,
PRO.28.5	de akik keresik az 
PRO.28.6	Jobb a feddhetetlenül élő szegény
PRO.28.6	annál, aki gazdag, de görbe utakon jár. 
PRO.28.7	Aki ügyel a tanításra, értelmes fiú az,
PRO.28.7	de aki a dőzsölőkkel tart,
PRO.28.7	szégyent hoz apjára.
PRO.28.8	Aki kamattal és uzsorával
PRO.28.8	gyarapítja vagyonát,
PRO.28.8	annak gyűjt, aki könyörül a nincsteleneken. 
PRO.28.9	Aki elfordítja a fülét,
PRO.28.9	és nem hallgat a tanításra,
PRO.28.9	annak még az imádsága is utálatos. 
PRO.28.10	Aki a becsületeseket rossz útra csábítja,
PRO.28.10	maga esik a verembe,
PRO.28.10	de a feddhetetlenekre szép örökség vár. 
PRO.28.11	A gazdag ember bölcsnek tartja magát,
PRO.28.11	de a nincstelen, ha értelmes, átlát rajta.
PRO.28.12	Ha az igazak vigadnak,
PRO.28.12	az nagy dicsőséget jelent,
PRO.28.12	ha a bűnösök kerülnek felül,
PRO.28.12	keresni kell az embereket. 
PRO.28.13	Aki takargatja vétkeit,
PRO.28.13	annak nem lesz jó vége,
PRO.28.13	aki pedig megvallja és elhagyja,
PRO.28.13	az irgalmat nyer. 
PRO.28.14	Boldog ember, aki mindig istenfélő,
PRO.28.14	de a kemény szívű bajba esik.
PRO.28.15	Olyan a szegény népen uralkodó bűnös,
PRO.28.15	mint a morgó oroszlán és az éhes medve.
PRO.28.16	Ha esztelen a fejedelem,
PRO.28.16	nagy lesz az elnyomás,
PRO.28.16	de ha gyűlöli a nyerészkedést,
PRO.28.16	hosszú ideig él.
PRO.28.17	Akit vérontás bűne terhel,
PRO.28.17	hadd fusson a sírig, ne segíts neki! 
PRO.28.18	Aki feddhetetlenül él, az segítséget kap,
PRO.28.18	de aki görbe utakon jár,
PRO.28.18	egyszer csak elbukik.
PRO.28.19	Aki műveli a földjét,
PRO.28.19	annak elég kenyér jut,
PRO.28.19	de aki hiábavalóságokat hajhász,
PRO.28.19	annak szegénység jut. 
PRO.28.20	A megbízható ember bőven kap áldást,
PRO.28.20	de aki gyorsan akar meggazdagodni,
PRO.28.20	nem marad büntetlenül. 
PRO.28.21	A személyválogatás nem jó dolog,
PRO.28.21	egy falat kenyérért is
PRO.28.21	vétekbe viheti az embert. 
PRO.28.22	Gyorsan akar gazdagságra jutni a kapzsi,
PRO.28.22	de nem tudja, hogy ínségbe jut. 
PRO.28.23	Aki figyelmezteti az embereket, az végül
PRO.28.23	kedvesebb lesz annál, aki csak hízeleg. 
PRO.28.24	Aki meglopja apját és anyját,
PRO.28.24	és azt gondolja, hogy az nem bűn,
PRO.28.24	cinkosa az a gonosztevőnek. 
PRO.28.25	A telhetetlen ember viszályt szít,
PRO.28.25	de aki az 
PRO.28.26	Aki a maga eszében bízik, ostoba,
PRO.28.26	de aki bölcsen él, az megmenekül. 
PRO.28.27	Nem fog szűkölködni az,
PRO.28.27	aki ad a szegénynek,
PRO.28.27	de aki elfordítja tőle tekintetét,
PRO.28.27	azt sok átok éri. 
PRO.28.28	Ha fölemelkednek a bűnösök,
PRO.28.28	elrejtőzik az ember,
PRO.28.28	de ha azok elpusztulnak,
PRO.28.28	sokan lesznek az igazak. 
PRO.29.1	Aki a fenyítés ellenére is nyakas marad,
PRO.29.1	hirtelen gyógyíthatatlanul összetörik. 
PRO.29.2	Ha az igazak jutnak hatalomra,
PRO.29.2	örül a nép,
PRO.29.2	de ha a bűnösök uralkodnak,
PRO.29.2	nyög a nép. 
PRO.29.3	Aki szereti a bölcsességet,
PRO.29.3	örömet szerez apjának,
PRO.29.3	de aki paráznákkal barátkozik,
PRO.29.3	elpazarolja vagyonát. 
PRO.29.4	Igazsággal tartja fenn országát a király,
PRO.29.4	de ha ajándékot fogad el,
PRO.29.4	romba dönti azt.
PRO.29.5	Aki hízeleg felebarátjának,
PRO.29.5	hálót vet annak lába elé.
PRO.29.6	A gonosz embert csapdába juttatja vétke,
PRO.29.6	az igaz pedig ujjongva örül.
PRO.29.7	Az igaz megérti a nincstelenek ügyét,
PRO.29.7	a bűnös azonban nem tudja megérteni. 
PRO.29.8	Az öntelt emberek fellázítják a várost,
PRO.29.8	a bölcsek pedig lecsillapítják a haragot.
PRO.29.9	A bölcs ember vitatkozik az ostobával,
PRO.29.9	az pedig hol háborog, hol nevet:
PRO.29.9	nem marad nyugton.
PRO.29.10	A vérszomjas emberek
PRO.29.10	gyűlölik a feddhetetlent,
PRO.29.10	a becsületesek pedig gondoskodnak róla.
PRO.29.11	Egész indulatát szabadjára ereszti az ostoba,
PRO.29.11	de a bölcs végül is lecsendesíti.
PRO.29.12	Ha az uralkodó hallgat a hazug beszédre,
PRO.29.12	minden szolgája bűnössé válik.
PRO.29.13	A szegény és a zsarnok
PRO.29.13	egymás mellett élnek,
PRO.29.13	de mindkettő az 
PRO.29.13	kapta a szeme világát. 
PRO.29.14	Ha a király igazságosan
PRO.29.14	ítéli a nincsteleneket,
PRO.29.14	trónja mindvégig szilárdan áll. 
PRO.29.15	A bot és a fenyítés bölccsé tesz,
PRO.29.15	de a kényeztetett gyermek
PRO.29.15	szégyent hoz anyjára. 
PRO.29.16	Sok ott a bűn, ahol sok a bűnös,
PRO.29.16	de az igazak meglátják azok bukását. 
PRO.29.17	Fegyelmezd fiadat,
PRO.29.17	akkor nyugodt lehetsz felőle,
PRO.29.17	sőt örömöt találsz benne. 
PRO.29.18	Ha nincs kijelentés, elvadul a nép,
PRO.29.18	de boldog lesz, ha megfogadja
PRO.29.18	a tanítást.
PRO.29.19	Puszta szóból nem okul a szolga,
PRO.29.19	még ha megérti,
PRO.29.19	akkor sem ad rá semmit.
PRO.29.20	Láttál-e már elhamarkodott beszédű embert?
PRO.29.20	Több reményt fűzhetsz
PRO.29.20	az ostobához, mint hozzá. 
PRO.29.21	Aki gyermekkorától fogva
PRO.29.21	kényezteti szolgáját,
PRO.29.21	a végén nem bír vele.
PRO.29.22	A haragos ember viszályt szít,
PRO.29.22	az indulatos ember sok bűnt követ el. 
PRO.29.23	Megalázza kevélysége az embert,
PRO.29.23	az alázatos lelkűt pedig tisztelet övezi. 
PRO.29.24	Aki a tolvajjal tart, önmaga ellensége,
PRO.29.24	és az is, aki átkozódást hall,
PRO.29.24	de nem jelenti. 
PRO.29.25	Az emberektől való rettegés
PRO.29.25	csapdába ejt,
PRO.29.25	de aki az 
PRO.29.25	az oltalmat talál.
PRO.29.26	Sokan igyekeznek az uralkodó elé,
PRO.29.26	pedig az 
PRO.29.27	Utálják az igazak az álnok embert,
PRO.29.27	a bűnös meg a helyes úton járót utálja.
PRO.30.1	Ágúrnak, a masszái Jáke fiának beszéde.
PRO.30.1	Így szólt ez a férfi:
PRO.30.1	Elfáradtam, Istenem!
PRO.30.1	Elfáradtam, Istenem! Végem van!
PRO.30.2	Mert minden embernél
PRO.30.2	tudatlanabb vagyok,
PRO.30.2	nincs emberhez illő értelmem.
PRO.30.3	Nem tanultam bölcsességet,
PRO.30.3	és nem ismerem a Szentnek tudományát: 
PRO.30.4	Ki ment fel az égbe,
PRO.30.4	és ki szállott le onnan?
PRO.30.4	Ki szedte össze markába a szelet,
PRO.30.4	ki kötötte köntösébe a vizet?
PRO.30.4	Ki határozta meg az egész föld határát?
PRO.30.4	Talán tudod, hogy mi a neve,
PRO.30.4	vagy mi a fiának a neve? 
PRO.30.5	Istennek minden szava színigaz,
PRO.30.5	pajzsa ő a hozzá menekülőknek. 
PRO.30.6	Ne tégy hozzá szavaihoz semmit,
PRO.30.6	mert megcáfol, és hazugságban maradsz! 
PRO.30.7	Két dolgot kérek tőled,
PRO.30.7	mielőtt meghalok,
PRO.30.7	ne tagadd meg tőlem:
PRO.30.8	Óvj meg a hiábavaló
PRO.30.8	és hazug beszédtől!
PRO.30.8	Se szegénységet, se gazdagságot
PRO.30.8	ne adj nekem!
PRO.30.8	Adj annyi eledelt, amennyi szükséges, 
PRO.30.9	hogy jóllakva meg ne tagadjalak,
PRO.30.9	és ne mondjam: Kicsoda az 
PRO.30.9	El se szegényedjek, hogy ne lopjak,
PRO.30.9	és ne gyalázzam Istenem nevét! 
PRO.30.10	Ne rágalmazd a szolgát ura előtt,
PRO.30.10	mert megátkoz, és bűnhődni fogsz!
PRO.30.11	Micsoda népség az,
PRO.30.11	amely átkozza apját,
PRO.30.11	és anyját nem áldja!
PRO.30.12	Micsoda népség az,
PRO.30.12	amely tisztának tartja magát,
PRO.30.12	pedig ki sem mosták szennyéből! 
PRO.30.13	Micsoda népség az, a
PRO.30.13	mely kevély szemű
PRO.30.13	és fennhéjázó tekintetű! 
PRO.30.14	Micsoda népség az,
PRO.30.14	amelynek fogai kardok
PRO.30.14	és agyarai kések!
PRO.30.14	Megennék a nincsteleneket a földön,
PRO.30.14	a szegényeket az emberek között!
PRO.30.15	A piócának két lánya van:
PRO.30.15	add ide, add ide!
PRO.30.15	Ez a három nem lakik jól,
PRO.30.15	sőt négy nem mondja, hogy elég:
PRO.30.16	a holtak hazája és a meddő asszony,
PRO.30.16	a föld, mely sohasem telik el vízzel
PRO.30.16	és a tűz, mely nem mondja, hogy elég.
