MAT.1.2	Abraham Aisak tegi, Aisak Zekop tegi. Zekop Zuda gum ntogi tegi. 
ROM.2.8	Gumgi mbari, mbe warira ndɨkndɨgi. Mbe warira ndɨkndɨgap, tɨvir vhuuiŋ thav tɨvi mbatɨgi zɨn vui. Fhe Bakɨme mba gumgi gu mbigi ga nzuav guigira ndav shigi, ana ne ŋgarkarav vheza mbatɨga guarara mben nɨɨŋgirga. 
ROM.2.9	Simtɨga bakɨme gu zaa bakɨme za mba tɨvi mbatɨgi ga mbui gumgi gu mbigir hɨgɨrga. Mbe Zudaiŋ fharav mba zaa ndirga, mba harigi fhaiŋ ŋgui gumgi gu mbigi, mbe vhɨra mba zaa ndirga. 
ROM.2.10	Fhe Bakɨme Hevenan zɨ bakɨme gum mpirmpirɨga vhuun gum ndav mɨɨtɨgar tɨvir vhuuiŋ ga mbui gumgi gu mbigir nɨɨnga. Ana fharav Zudain nɨɨŋgip, ana vhɨra mba harigi fhaiŋ ŋgui gumgi gu mbigir nɨɨnga. 
ROM.2.11	Fhe Bakɨme gumgi gu mbigi ga nzuav nzuai, ana za mba suambarara za mba gumgi gu mbigi ga mbui. Ana khueŋ ndɨkndɨgi fhuvara, mbe harigi ntɨɨri ma. Ana mba ndɨkndɨga mbui fhuvara.
ROM.2.12	Ne khaŋ muuŋgi. Gumgi Fhe Bakɨme suaŋgi tɨv ki fhuv, mbe tɨva mbatɨgeŋ muuŋgi, mbe nera suaŋv fhɨrgiregɨrga. Mbe mba tɨv ki fhuv, mbe tɨvi mbatɨgi ga muuŋgi. Mba tɨv mbe suaŋv suaŋgirga fhuvara. Mbe mba muuŋgi tɨvi mbatɨgi ga suaŋ fhɨrgiregɨrga. Gumgi Fhe Bakɨme suaŋgi tɨv kim, mbe ne khara tɨgap tɨva mbatɨgeŋ muuŋgi. Fhe Bakɨme mba gumgi phɨrgi tɨva suaŋgi kameŋra zɨn ŋgɨp, mba tɨvara suaŋ mbe suaŋv suaŋgirga. 
ROM.2.13	Mba fhura Fhe Bakɨme suaŋgi tɨvi mbararav nta zɨn vui fhuv gumgi, mbe Fhe Bakɨme nɨman tɨvir vhuuiaŋ mbui gumgir mben kaai fhu. Fhe Bakɨme suaŋgi tɨvi zɨn vui gumgi, mba gumgira, Fhe Bakɨme tɨvir vhuuiaŋ mbui gumgir mben kamɨnga. 
ROM.2.14	Mba harigi fhaiŋ ŋgui gumgi, mbe Fhe Bakɨme suaŋgi tɨvi ki fhu. Mbe won ndɨkndɨgira, mbe Fhe Bakɨme suaŋgi tɨvi zɨn vui. Mbe Fhe Bakɨme suaŋgi tɨvi ki fhu, mbe maaŋ muuŋgip, Fhe Bakɨme suaŋgi tɨvi zɨn vui, mben ndɨkndɨgi nduarira tɨvir vhuuiŋ gum tɨvi mbatɨgi kaŋgi. 
ROM.2.15+ROM.2.16	Mbe mba tɨva mbuim, Fhe Bakɨme mben ndavi vheri ga tɨgi tɨvi, nta kɨrar hegi. Mbe vhɨra mba guigira mben ndavi vherir ki ndɨkndɨgi, nta guigira mbe ndiv kɨra phɨrgi, mba tɨvi mben ndavir vherir ki. Mbe ndɨkndɨgira mbe mba muuŋgi tɨvi ga suaŋ mbe suaŋgirga. Mbe tugi tharir, mbe muuŋgi tɨvi mbe suaŋv thugɨrga. Maaŋ muuŋgiap, Fhe Bakɨme mba sarigi tugar, ana mba gumgi zomzora mbui tɨvi gum, mbe zomzora nzuai buni, ana nta suaŋv mbe suanga. Gu bun nzua rui buna vhuueŋ khaŋ nzuai, Fhe Bakɨme mba gumgi gu mbigi muuŋgi tɨvi ga suaŋv mbe suan zav mba ŋaarar Zisas Krais ga nɨɨŋgi.
ROM.2.18	Nde Fhe Bakɨme vuzvuk kaŋgi. Nde vhɨra Fhe Bakɨmen tɨvi, mbe ntan nde khɨvigi. Nde maaŋ muuŋgiap tɨvir vhuuiŋ kaŋgiap, nde nta garav, nta heei. 
ROM.2.19+ROM.2.20	Nde kha ndɨkndɨga mbui, “Nza Fhe Bakɨmen tɨvi kaŋgiap, nza tɨvir vhuuiŋ nɨɨŋge kaŋgiap nza vhɨra buni guari, nza vhɨra nta kaŋgi. Nza tuavar mba rɨmgi mbatɨgi gumgi khɨvi gumgi fara muuŋgi. Nza mba gɨngɨnan ki gumgi, nza mben vhava ŋaara fara muuŋgiap ki. Nza maaŋ muuŋgia nza mba tɨvi vhuuiŋ zɨn ŋgɨrga tuktɨgi fhuv gumgi, nza tuavar mbe khɨvɨrga. Nza mba tari bisaŋri mparmparei ma.” 
ROM.2.21	Ahaŋ, nde harigi gumgi gu mbigi khɨvi. Nde ram muuŋgiap nduarira wari khɨvi fhu? Nde khaŋ nzuai, “Gumgi bigi kɨmɨ thari.” Nde maaŋ nzuav, nde nduarira vhɨra kɨɨi. 
ROM.2.22	Nde vhɨra khaŋ nzuai, “Mba mani ga rɨgi mbigi gu gumgi, mbe ruarir wari kɨmɨ thari.” Nde maaŋ nzuav, nde nduarira mba tɨva mbui. Nde mba tori gu mbarɨvi, nde guigira nta vuzvugi fhu. Nde maaŋ nzuav nde mba Fhe Bakɨme kaŋgi fhuv ntɨɨri, nde mbe tori gu mbarɨvi rotu mbui pheni vhen verav mbe bigi kɨɨi. 
ROM.2.23	Nde vhɨra nduarira wari wo zɨri ndiv vun kuamkuav khaŋ nzuai, “Nza Fhe Bakɨme suaŋgi tɨvi, nzan ki.” Nde maaŋ nzuav, nde nduarira Fhe Bakɨme suaŋgi tɨvi, nde nta khathivav, nde nduarira Fhe Bakɨmen zɨn farfagi. 
ROM.2.24	Fhe Bakɨmen buni vhuuiŋ ki gap, ana mba tɨva nzuai kameŋ khaŋ nzuai, “Nde pham mbuim, harigi fhain ŋgui gumgi, mbe Fhe Bakɨme nzɨɨv buni mbatɨgi ana nzuai.”
ROM.2.26	Maaŋ muuŋgip, mbe fooŋgi fhuv gumgi thari, mbe Fhe Bakɨme suaŋgi tɨvi, mbe nta zɨn ŋgɨv, mbe tɨvir vhuuiŋra muunga. Mba gumgi Fhe Bakɨme nɨman, mbe mben fooŋgi gumgir farar muuŋgip kɨrga. 
ROM.2.27	Nde Zudaiŋ, nde guigira Fhe Bakɨme suaŋgi tɨvi ki gap, nde ana suirigi, ana nden han kim, nde vhɨra warir fooŋgi. Nde maaŋ mbuav, nde Fhe Bakɨme suaŋgi tɨvi, nde nta khathivi. Maaŋ muuŋgip guma the, mbe ana fooŋgi fhuvara, ana tuituigiap Fhe Bakɨme suaŋgi tɨvi, ana nta zɨn vui. Mba guma, ana bunin nde sɨrga. 
ROM.2.28	Guma fhura Zuda zɨ khɨna tɨgi, mba guma, ana Zuda guma guar fhuvara. Mba fooi tɨv, ana fhura fhava ndera mbui tɨv fhuvara. Zakɨra fhuvara! 
ROM.2.29	Guma, ana Zuda guma guar, anan ndavar vhee gum anan ndɨkndɨgi, ana khueŋ kaŋgiri, ana Fhe Bakɨmen guma guar ma. Ana vhɨra mba won fooŋgi ndɨkndɨk, ana ndava vhee gum ndɨkndɨgar kɨri. Ana mba Fhe Bakɨme suaŋgi tɨvi, mbe nta khergi, ana ntara nzuav ki fhuvara, ana Fhe Bakɨmen Ŋina Ŋaar nduara mba tɨvir ana khɨvi. Mba khesharigi guma, ana gumgi gu mbigi nɨman zɨ bakɨme ndi fhuvara. Ana Fhe Bakɨme nɨman ana zɨ bakɨme ki.
ROM.3.1	Maaŋ muuŋgip, mba fooi tɨv, ana fhura fhava ndera mbui bigeŋ ma. Maaŋ muuŋgirga, mba Zudaiŋ mbe ram muuŋgip harigi fhaiŋ ŋgui gumgi kambararie? Mbe warir fooi, thagɨna bigɨna vhuuŋ mbe warir fooi ne suaŋv mben hɨgɨrie? 
ROM.3.2	Nza Zudaiŋ kɨr za mbui ne nɨɨeŋ khaŋ muuŋgi. Fhe Bakɨme Zudain kurkurarga bigir vhuuiŋ vhɨrvera ki. Ana fharav, nduara won buni vhuuin Zudaiŋ ga nɨɨŋgi, mbe nta ganɨnga. 
ROM.3.3	Mbe guigira, mbe mbari, mbe Fhe Bakɨme khothɨgap, mbe ana buni vhuuiŋ zɨn vui fhuvara. Maaŋ muuŋgip, ram muuŋgirie? Mbe ana khothɨgap, ana buni vhuuiŋ zɨn vui fhu, mba tɨv Fhe Bakɨme muuŋgirim, ana mba suaŋgi kameŋ, ana ne zɨn ŋgɨgɨrga fhuve? 
ROM.3.4	Zakɨra fhuvara! Gumgi, mbe za bigi guiguigi. Fhe Bakɨme, ana nduara zazera guigira wo buni nzuav nta zɨn vui. Ana buni vhuuiŋ ki gavar Devit wo muuŋgi tɨvi mbatɨgi ga nzuav nera nzuai,
ROM.3.4	“Fhe Bakɨme, ndu maaŋgi tugar ndu wo buni nzuai, kha gumgi mbe za ndu buni mbararav, mbe za khaŋ nzuai, ‘Ndu nzerara nzuai.’ ”
ROM.3.4	Mbe maaŋ muuŋgip ndu suaŋv suan saŋv, ndɨkndɨgɨrga, ndu zazera guigira mbe kamanga.
ROM.3.7	Guma the wo ndɨkndɨgar khaŋ suanga, “Gu guiguiga nzuai buni, nta Fhe Bakɨmen buni guari ndi hiiŋ khɨngirga, ana zɨ Bakɨme za mbar ŋgɨrga. Ana ram muuŋgi ne suaŋv tɨvi mbatɨgi ga mbui guman nan kamɨv, gu muuŋgi tɨvi mbatɨgi ga suaŋv na suaŋ suaŋrie?” 
ROM.3.8	Mba tɨv, ana vhɨra khaŋ nzuai buna mbatɨgeŋ fara muuŋgi. Mba kameŋ khaŋ nzuai, “Aria, nza tɨvi mbatɨgir muunga, mba tuav tɨvir vhuuiŋ hɨrga.” Gumgi mbari mba khesharigi kamen na nzuav bunin na sav na nzuav, khaŋ nzuai, gu nduara nzuai buni, nta mba buna mbatɨgeŋ fara muuŋgi. Fhe Bakɨme mba gumgi, ana mbe muuŋgi tɨvi mbatɨgi ga suaŋv mbe suaŋv, mbe muuŋgi tɨvi mbatɨgi tugɨra tɨgɨp vheza mbatɨgar mben nɨɨŋgirga.
ROM.3.10	Fhe Bakɨmen buni vhuuiŋ ki gap ne nzuav khaŋ suaŋgi,
ROM.3.10	“Tɨvir vhuuiaŋ mbui guma the ki fhu.
ROM.3.10	Zakɨra fhuvara!
ROM.3.11	Mba tuituigiap Fhe Bakɨme kaŋgi guma the ki fhu.
ROM.3.11	Fhe Bakɨme nzuav gari guma the ki fhu.
ROM.3.12	Mbe zam kɨr Fhe Bakɨme segi.
ROM.3.12	Mbe za mba tɨvara mbui, mbe bigɨn the muuŋgirga tuktɨgi fhuvara. Mbe vhɨra, mbe tɨvir vhuuin muuŋgirga tuktɨgi fhuvara.
ROM.3.12	Mbe the tɨvir vhuuiaŋ mbui fhu.
ROM.3.12	Zakɨra fhuvara!
ROM.3.13	Mbe zira domdore rav guiguigi buni vhɨrve, mbe nta nzuai.
ROM.3.13	Mbe kaathoori guigira gumgir farfagi buni, nta mben kaathoorir givav ki.
ROM.3.13	Mben buni kuruga mbatɨgar kuga fara muuŋgi.
ROM.3.16	Mbe zazera ruav harigi gumgi gu mbigir ntuur farfav simtɨgir mbe ndɨɨa rui.
ROM.3.17	Mbe harigi gumgi phorgɨp ndava bavira kɨrga tɨvi kaŋgi fhu.
ROM.3.20	Guma the Fhe Bakɨme Moses ga nɨɨŋgi tɨvi zɨn vui ne suaŋv Fhe Bakɨme tɨvir vhuuiaŋ mbui guman anan kamgirga tuktɨgi fhuvara. Fhe Bakɨme Moses ga nɨɨŋgi tɨvi, nta nza mbui tɨvi mbatɨgir nza khɨvi.
ROM.3.22	Mba tɨv khaŋ muuŋgi, mba guigira Zisas Krais khothɨgi gumgi gu mbigi, Fhe Bakɨme za tɨvir vhuuiaŋ mbui gumgi gu mbigir mben kaai. Mbe Zudaiŋ gum mba harigi fhaiŋ ŋgui gumgi, mbe zam, Fhe Bakɨme tɨva bavira mben muunga. 
ROM.3.23	Nza kha nuianan ki gumgi gu mbigi, nza za tɨvi mbatɨgi ga muuŋgi. Nza Fhe Bakɨme muungen nza vuzvugi tɨvir vhuuiŋ vhɨrve nza za ntan muuŋgirga tuktɨgi fhuvara. 
ROM.3.24	Fhe Bakɨme fhura nza kora muuŋgiap, ana Krais Zisas muuŋgi ŋaarar panan, ana taagi nza vhezgiap, nza ndigap, kha zɨn nzan kaai, nza tɨvir vhuuiaŋ mbui gumgi gu mbigi ma. Nza nduarira ŋaara vhuuŋ the muuŋgi ne nzuav, ana tɨvir vhuuiaŋ mbui gumgi gu mbigir nzan kaai fhuvara. Zakɨra fhuvara! Fhe Bakɨme fhura Krais Zisasan ŋaara panan mba zɨn nza nɨɨŋgi. 
ROM.3.25	Fhe Bakɨme Zisas farasarigi, ana rimgip won vɨzɨna siasuarga, guigira ana khothɨgi gumgi gu mbigi, ana vɨzɨn mbe muuŋgi tɨvi mbatɨgi ruagiri, nta vhɨzgirga. Ana won tɨvar vhuun nza khɨvɨr zav maaŋ muuŋgi. Fhum, Fhe Bakɨme mbarara kha gumgi gu mbigi ga mbuav, ana mbe muuŋgi tɨvi mbatɨgi ga nzuav vheza mbatɨgar mbe ndɨɨi fhuvara. 
ROM.3.26	Fhe Bakɨme ntigem khuen nza khɨvigi, ana nduara tɨvir vhuuiaŋ mbui Fhe Bakɨme ma. Ana tɨvar vhuuŋ zɨn vov, ana guigira Zisas khothɨgi gumgi gu mbigi, ana tɨvir vhuuiaŋ mbui gumgi gu mbigir mben kaai.
ROM.3.28	Ne khaŋ muuŋgi, nza ntige khueŋ kaŋgi. Nza guigira Zisas Krais khothɨgi tuavra, nza Fhe Bakɨme nɨman, nza tɨvir vhuuiaŋ mbui gumgi gu mbigi ki. Nza Fhe Bakɨme Moses ga nɨɨŋgi tɨvi zɨn vui ne nzuav fhuvara.
ROM.3.30	Ne guigi guarara, Fhe Bakɨ bavira ki. Ana mba warir fooŋgi gumgi, gum mba warir fooŋgi fhuv gumgi, mbe guigira Zisas Krais khothɨgi, ana tɨvir vhuuiaŋ mbui gumgi gu mbigir mben kaai. 
ROM.3.31	Nza maaŋ muuŋgip khaŋ suanga, guigira Zisas khothɨgi tɨv, ana guigira fharigi bigɨna guar ma. Nza khaŋ Fhe Bakɨme Moses ga nɨɨŋgi tɨvi ga suanga thi, nta fhura ki tɨvi ma? Zakɨra fhuvara! Nza Fhe Bakɨme Moses ga nɨɨŋgi tɨvi, nza ntan muuŋrim, nta guigira havhargiri.
ROM.4.1	Abraham, ana nza Zudaiŋ, ana nzan nzɨk ma. Maaŋ muuŋgip, nza ram ana suaŋrie? 
ROM.4.2	Abraham maaŋ muuŋgip, wo muuŋgi bigi ga suaŋv ana tɨvir vhuuiaŋ muuŋgi ne zɨ kɨv, ana ne suaŋv ana nduara mba gumgi gu mbigi nɨman wo zɨ ndi vun kuamkuari. Ana Fhe Bakɨme nɨman, ana ne suaŋv wo zɨ ndi vun kuamkuarga tuktɨgi fhuvara. 
ROM.4.3	Ram muuŋgi kameŋ ne Fhe Bakɨme buni vhuuiŋ ki gavar ki? Mba kameŋ khaŋ nzuai, “Abraham Fhe Bakɨme suaŋgi kameŋ khothɨgim, Fhe Bakɨme tɨvir vhuuiaŋ mbui guman anan kaai.” 
ROM.4.4	Guma ŋaara muuŋgiap nen vheza ndi, mba vhez nza khaŋ nzuai fhu, ana fhura mba bigɨna ndi. Fhuvara. Ana mba muuŋgi ŋaara nzuav ndi bigɨn ma. 
ROM.4.5	Ana khueŋ kaŋgiri, Fhe Bakɨme ana muuŋgi tɨvir vhuuiŋ thari gangiap, tɨvir vhuuiaŋ mbui guman anan kamgi fhuvara. Fhe Bakɨme, ana tɨvi mbatɨgi ga mbui gumgi gu mbigi, mbe guigira Fhe Bakɨme khothɨgɨrga, ana tɨvir vhuuiaŋ mbui gumgi gu mbigir mben kamgirga tuktɨgi. Maaŋ muuŋgip, guma the guigira Fhe Bakɨme khothɨgɨrga, Fhe Bakɨme, ana ana khothɨgi ne suaŋv, ana tɨvir vhuuiaŋ mbui guman anan kamɨnga. Ana kaŋgi, nza Fhe Bakɨme tɨvir vhuuiaŋ mbui gumgi gu mbigir nzan kamɨn saŋv, nza muunga ŋaara the ki fhu. 
ROM.4.6	Devit vhɨra mba khesharigi kameŋ nzuav khaŋ suaŋgi. Guma Fhe Bakɨme ana tɨvir vhuuiaŋ mbui guma anan kaai, mba guma ndikndigɨri. Fhe Bakɨme mba guma muuŋgi ŋaari ga nzuav, tɨvir vhuuiaŋ mbui guman ana kaai fhuvara. 
ROM.4.7	Devit khaŋ suaŋgi,
ROM.4.7	“Fhe Bakɨme maaŋ muuŋgip, guma the muuŋgi tɨvi mbatɨgi, ana nta vhɨzgip, nta ndɨkndɨk ŋangirim, mba guma ndikndigɨri.
ROM.4.8	Fhe Bakɨme mba guma muuŋgi tɨvi mbatɨgi, ana nta ndɨkndɨk ŋangip, ana suaŋv suaŋgirga fhu, mba guma ndikndigɨri.”
ROM.4.10	Fhe Bakɨme ramgi tugar tɨvir vhuuiaŋ mbui guman Abrahaman kamgi? Ee, ana won fooŋgi, o ana ntigar won foonga? Ana won fooŋgi fhuvara. Ana ntigar won foonga, Fhe Bakɨme fhumra tɨvir vhuuiaŋ mbui guman anan kamgi. 
ROM.4.11	Ana ntigar won foonga, ana fhura kav, ana Fhe Bakɨme khothɨgim, Fhe Bakɨme tɨvir vhuuiaŋ mbui guman anan kamgi. Ana Fhe Bakɨme khothɨgim, Fhe Bakɨme ana nzuaim, ana won fooŋgi. Mba tɨv, ana Fhe Bakɨme khothɨgim, Fhe Bakɨme tɨvir vhuuiaŋ mbui guman anan kamgi. Ana ne nzuav Fhe Bakɨme nɨman ne muuŋgi. Maaŋ muuŋgiap, Abraham, ana won fooŋgi fhuv gumgi, mbe Fhe Bakɨme khothɨgi, ana mben ndia fara muuŋgi. Fhe Bakɨme maaŋ muuŋgip, ana tɨvir vhuuiaŋ mbui gumgir mben kamɨnga. 
ROM.4.12	Ana vhɨra mba warir fooŋgi gumgi mbarir ndia fara muuŋgi. Ana mba fhura shɨshɨgap wari fooŋgi gumgir nzɨk fhuvara. Mbe warir fooŋgiap, mbe vhɨra nza wari won nzɨga Abraham tɨva zɨn vov Fhe Bakɨme khothɨgi. Abraham ana fhum ntigar won foonga, ana fharav mba tɨva muuŋgi.
ROM.4.14	Maaŋ muuŋgip, guigira Moses suaŋgi tɨvi zɨn vui gumgira, mbe Fhe Bakɨme mba nɨɨn za suaŋgi bigi, mbe za nta ndirga. Mba Fhe Bakɨme khothɨgi tɨv, ne fhura ki ne ma, vhɨra mba Fhe Bakɨme suaŋgi kameŋ, ne vhɨra fhɨrgi rɨgɨrga. 
ROM.4.15	Nza kaŋgi, Moses suaŋgi tɨvi ki, gumgi mba tɨvi phɨra suim, Fhe Bakɨme mbe nzuav ndav shi. Maaŋ muuŋgip, Moses suaŋgi tɨvi kɨrga fhu, nza gumgi tɨvi phɨri ne suanga fhu.
ROM.4.17+ROM.4.18+ROM.4.19	Fhe Bakɨmen buni vhuuiŋ ki gap mba kameŋ suaŋgi, “Gu ndu muuŋgi, ndu harigi fhain ki gumgi gu mbigir vhɨrver ndia fara muuŋgi.” Kha kameŋ, ne Fhe Bakɨme nɨman havhargi.
ROM.4.17+ROM.4.18+ROM.4.19	Abraham Fhe Bakɨme ana suaŋgi buni hɨrga tuav gangi fhu. Abraham mparive vov 100 thɨgim, ana won fhava ndɨkndɨgim, ana vurgiap, za mbekmbegi. Ana vhɨra khueŋ kaŋgi, Sara ana gon tara the tegɨrga tuktɨgi fhu. Abraham Fhe Bakɨme khothɨgi. Fhe Bakɨme ana vhɨzgi gumgi, ana bɨɨŋbɨɨn mbe ndɨɨv, ana vhɨra fhura nzuaim, ntigar hɨrga bigi, nta hɨrga Fhe Bakɨme ma. Abraham ne nzuav Fhe Bakɨme khothɨgi. Abraham, ana guigira mba Fhe Bakɨme ana suaŋgi kameŋ khothɨgap, ana mba bigir rarga ki. Fhe Bakɨme maaŋ muuŋgiap khaŋ ana suaŋgi, “Ndun nzɨgi gu nzɨk mbigi guigira vhɨrkɨvgirga.” Maaŋ muuŋgiap, ana harigi fhain ki gumgi gu mbigir vhɨrver ndia fara muuŋgiap ki. 
ROM.4.20	Fhe Bakɨme muun zav Abrahama ga suaŋgi bigi, Abraham mba bigi ndɨkndɨk suirav, ana ndɨkndɨk phuniaŋ mbuav Fhe Bakɨme khothɨgɨ thagi fhuvara. Ana Fhe Bakɨme khothɨgi ndɨkndɨk, mba ndɨkndɨk ana havhargim, ana Fhe Bakɨme zɨ ndi vun kuamkuagi. 
ROM.4.21	Ana Fhe Bakɨme zɨ ndi vun kuamkuav, ana kaŋgi, Fhe Bakɨme ŋkasŋka ki. Ana mba ana muun zav suaŋgi bigi, ana ntan muuŋgirga. 
ROM.4.22	Maaŋ muuŋgiap, Fhe Bakɨme Abraham ana khothɨgi tɨva gangiap, “Ana wo nɨman, fhura ana tɨvir vhuuiaŋ mbui guman Abrahaman kamgi.”
ROM.4.23	Fhe Bakɨmen buni vhuuiŋ ki gap khaŋ nzuai, “Fhe Bakɨme wo nɨman fhura tɨvir vhuuiaŋ mbui guman Abrahaman kamgi.” Ana Abrahamra nzuav khergi kameŋ fhuvara. 
ROM.4.24	Ana vhɨra nza nzuav khergi kameŋ ma. Nza vhɨra Fhe Bakɨme khothɨgi. Nza vhɨra Fhe Bakɨme nzan Bakɨme Zisas khavgim, nza ne khothɨgi. Ana nza ana khothɨgi ne suaŋv, nza Fhe Bakɨme nɨman, ana fhura tɨvir vhuuiaŋ mbui gumgi gu mbigir nzan kamɨnga. 
ROM.4.25	Fhe Bakɨme fhura mba gumgi garim, mbe Zisas shogim, ana rimgi. Ana rimgip, nza muuŋgi tɨvi mbatɨgi, ana nta vhɨzgirga. Ana rimgim, Fhe Bakɨme wom ana khavgi. Ana ana khavgip, nza suaŋv tuava muuŋgip, Fhe Bakɨme tɨvir vhuuiaŋ mbui gumgi gu mbigir nzan kamɨnga.
ROM.5.2	Nza guigira Zisas khothɨgi gumgi gu mbigi, ana nza nzuav tuav fhɨrgim, nza ntigem Fhe Bakɨme fhura nza kora mbui kora muumbar, nza anan vhen ki. Nza kav, Fhe Bakɨmen rargi, anan nza ndigirim, nza tuituigip ana han Hevenan piigiv kɨrga. Nza ne nzuav ndikndigap ki. 
ROM.5.3	Nza nera suaŋv ndikndigɨp kɨrga fhuvara. Nza vhɨra mba nzan hi simtɨgi, nza vhɨra nta suaŋv ndikndigɨrga. Nza kaŋgi, mba simtɨgi nzan hav, nzan ndavi havhargi. 
ROM.5.4	Nza ndavi havhargip kɨrga, maaŋ muuŋgip nzan panɨnga bigɨn thueŋ nzan hɨrga, nza thɨgɨ havhargip ne khɨgɨp rɨɨ thav, thɨgɨ havhargirga. Nza kaŋgi, nza thɨgɨ havhargiap, nza ana khothɨgap, ana rargi, ana nzan kurav, taagi nza ndigirga. 
ROM.5.5	Nza maaŋ muuŋgiap Fhe Bakɨme nzan kurkurar zav nza ana rarga ki. Maaŋ muuŋgiap, nza guigira kaŋgi. Ana mba zumgum nzan nɨɨn za suaŋgi bigir vhuuiŋ mbari, nza nta ndigi. Maaŋ muuŋgiap za guigira kaŋgi. Ana mba zumgum nzan nɨɨn za mbui bigɨr vhuuiŋ mbari, nza nta ndigi. Mba bigir panan fharigi bigɨn khare. Nza fhura ana rarga ki fhuvara. Fhe Bakɨme won Ŋina Ŋaarar nza nɨɨŋgi. Fhe Bakɨmen tɨv khare, ana guigira won ndavar harigi gumgi ga ndɨɨi. Ana Ŋina Ŋaar mba tɨva siav nza ndavi vheri ga suagi.
ROM.5.7	Ne guigi guarara, nza the tɨvir vhuuiaŋ mbui guma the suaŋv rimgirga tuktɨgi fhuvara. Nza maaŋ muuŋgip tɨvir vhuuiŋ guarira harigi gumgi ga mbui guma the gangip, nza wari wo ndavi havhargip, mba guman kurkura saŋv rimgirga thi? 
ROM.5.8	Nza tɨvi mbatɨgi ga mbui gumgi gu mbigi ga gegap mbara muuŋgiap kim, Krais nzan kurkura zav, nza nzuav rimgi. Mba tɨv, Fhe Bakɨme khuen nza khɨvigi, ana guigira won ndavar nza nɨɨŋgi. 
ROM.5.9	Krais rimgim, ana vɨzɨn sia suav, nza muuŋgi tɨvi mbatɨgi, ana nta ruagim, Fhe Bakɨme ntigem tɨvir vhuuiaŋ mbui gumgi gu mbigir nzan kaai. Maaŋ muuŋgiap, nza ntigem guigira kaŋgi. Ana khaŋ tɨgɨp guigira nzan kurkurarga. Fhe Bakɨme mba tɨvi mbatɨgi ga mbui gumgi gu mbigi ga nzuav guigira ndav shirga tuk hɨrga. Ana muumbara mbatɨgar mben muunga. Nza mba tugen, nza Krais muuŋgi ŋaarar panan, nza guigi guarara nzerara kɨrga. 
ROM.5.10	Nza fhum panan Fhe Bakɨmera kegap kim, ana Kam, ana rimgiap, ana mba nza panan ana kegi tɨva vhɨzgi. Ana mba tɨva vhɨzgiap, ana nza muuŋgim, nza Fhe Bakɨme phorgap guigira ndava bavira ki. Nza ntigem Fhe Bakɨme phorgap, ndava bavira ki gumgi gu mbigi, nza ntigem guigira kaŋgi, anan Kam ntigem taagia khavgiap zazera mbara muuŋgip ki bɨɨŋbɨɨŋ ndigi, maaŋ muuŋgiap, nza ntigem ana kɨvntogi guarira ana ntigem khaŋ tɨgɨp tɨvir vhuuiŋ guarira nzan muunga. 
ROM.5.11	Harigi bigɨna mueŋ phorga khare. Nza Bakɨme Zisas Krais, ana nza muuŋgim, nza ntigem Fhe Bakɨme phorgap ndava bavira ki. Maaŋ muuŋgiap, nza ntigem, nza guigira Fhe Bakɨmen ndikndigi.
ROM.5.13	Mba tugen, tɨva mbatɨk kha nuianan hɨgap ki. Fhe Bakɨme Moses ga nɨɨŋgi tɨvi, nta zumgum kha nuianan hɨgi. Fhe Bakɨme Moses ga suaŋgi tɨvi kha nuianan hɨgi fhu. Maaŋ muuŋgiap, Fhe Bakɨme kha gumgi bevbevira mbui tɨvi mbatɨgi ga suaŋv mbe suanga fhu. 
ROM.5.14	Mba Adam hɨgi tugen, kegap zav Moses hɨgi tuge thɨgi, mba tugen vhɨzi tɨv za kha nuianan ki gumgi gu mbigi mbevigi. Gumgi gu mbigi mbari, mbe Adam muuŋgi tɨva mbatɨgeŋ muuŋgi fhuvara, vhɨzi tɨv vhɨra mbe mbevigi. Adam ana mba zumgum hɨrga guman panpan ma. 
ROM.5.15	Adam Fhe Bakɨme suaŋgi kameŋ kharathɨgi tɨv gum Fhe Bakɨme fhura ndɨɨi bigɨn, mani mba farara muuŋgi fhuvara. Zakɨra fhuvara! Guma bavira Fhe Bakɨme suaŋgi kameŋ kharathɨgim, harigi gumgi gu mbigi ne nzuav vhɨzi. Fhe Bakɨmen fhura nza kora muuŋgi kora muumbar, ana guigira kɨvgi. Kha guma bavira, Zisas Krais, ana fhura nza kora muuŋgi kora muumbar, Fhe Bakɨme fhura anan kha gumgi gu mbigi vhɨrve ga nɨɨŋgi. Mba bigɨn, ana zazera mbara muuŋgiap ki bɨɨŋbɨɨŋ mbe ndɨɨi. 
ROM.5.16	Mba Fhe Bakɨme fhura nza muuŋgi bigeŋ gum guma bavira muuŋgi tɨva mbatɨgeŋ, mba bigeni mba tɨva bueŋra nza mbui fhuvara. Zakɨra fhuvara! Guma bavira mba bigɨna mbatɨgeŋ muuŋgim, Fhe Bakɨme kha gumgi gu mbigi ga nzuav nzuav khaŋ nzuai, “Mbe za mbatɨgirga.” Fhe Bakɨme fhura ndɨɨi bigeŋ khaŋ muuŋgi. Kha nuianan ki gumgi gu mbigi, mbe tɨvi mbatɨgi vhɨrve ga muuŋgim, Fhe Bakɨme fhura mbe kora muuŋgiap tɨvir vhuuiaŋ mbui gumgi gu mbigir mben kaai. 
