PSA.1.1	 Blažen 
ACT.2.23	 Njega, koji je predan po nepromjenljivoj odluci i proviđenju Božjem, i koga ste vi rukama bezakonika razapeli i ubili,
ACT.2.24	 koga je Bog uskrsnuo i oslobodio trudova smrti, jer nije bilo moguće da ga ona zadrži.
ACT.2.25	 Jer David za njega govori: ‘Unaprijed sam neprestano gledao Gospodina pred svojim licem, jer mi je on zdesna da se ne pokolebam.
ACT.2.26	 Zato mi se srce veseli, a moj jezik raduje, štoviše i tijelo će moje počivati u nadi,
ACT.2.27	 jer nećeš ostaviti moju dušu u paklu niti dopustiti da tvoj Sveti ugleda trulež.
ACT.2.28	 Ti si mi obznanio puteve života, ispunit ćeš me radošću svojim licem.’
ACT.2.29	 Ljudi 
ACT.2.30	 Stoga je 
ACT.2.31	 On je unaprijed vidio i govorio za Kristovo uskrsnuće da ‘mu duša nije ostavljena u paklu, niti mu je tijelo vidjelo trulež.’
ACT.2.32	 Toga Isusa, Bog je uskrsnuo, čemu smo svi mi svjedoci.
ACT.2.33	 Zato je desnicom Božjom uzvišen i primio od Oca obećanje Duha Svetoga, izlio je ovo što sada vidite i čujete.
ACT.2.34	 Jer David nije uzišao na nebesa nego sâm govori: ‘GOSPOD je rekao mome Gospodinu: Sjedi mi zdesna,
ACT.2.35	 dok ne položim tvoje dušmane 
ACT.2.36	 Stoga neka sav dom Izraelov zasigurno zna da je Bog učinio i Gospodinom i Kristom toga Isusa kojega ste vi razapeli!”
ACT.2.37	 A kad su 
ACT.2.38	 Tada im je Petar rekao: “Pokajte se i neka se svaki od vas krsti u ime Isusa Krista po oproštenju grijeha; i primit ćete dar Duha Svetoga.
ACT.2.39	 Jer je za vas ovo obećanje, i za vašu djecu i za sve one izdaleka, sve koje pozove Gospodin naš Bog.”
ACT.2.40	 I mnogim je drugim riječima svjedočio i opominjao govoreći: “Spasite se od ovog tvrdokornog naraštaja!”
ACT.2.41	 Tada su se krstili oni koji su rado primili njegovu riječ, i istog dana pridružilo 
ACT.2.42	 I bili su postojani u apostolskom nauku i zajedništvu, i u lomljenju kruha i u molitvama.
ACT.2.43	 A strah je obuzeo svaku dušu, i mnoga su se čudesa i znakovi događali po apostolima.
ACT.2.44	 I svi koji su vjerovali bili su zajedno i sve im je bilo zajedničko.
ACT.2.45	 I prodavali su svoja imanja i dobra te dijelili svakome kako ima potrebu.
ACT.2.46	 I ustrajali su složni svakodnevno u Hramu i od kuće do kuće lomili su kruh te zajedno uzimali hranu u veselju i jednostavnosti srca.
ACT.2.47	 Hvalili su Boga i uživali naklonost od svih ljudi. A Gospodin je svakodnevno pridruživao crkvi one koji bi bili spašeni.
ACT.3.1	 A Petar i Ivan su uzišli zajedno u Hram na molitveni sat, 
ACT.3.2	 I donosili su nekog čovjeka hromog od majčine utrobe, kojega su svaki dan postavljali kod hramskih vratiju zvanih Krasna, da bi prosio milodare od onih što ulaze u Hram.
ACT.3.3	 On je opazio Petra i Ivana, koji su upravo htjeli ući u Hram, 
ACT.3.4	 A Petar je s Ivanom upro pogled u njega pa mu rekao: “Pogledaj prema nama!”
ACT.3.5	 I on je zadržao pažnju na njima očekujući da nešto dobije od njih.
ACT.3.6	 Tada mu je Petar rekao: “Srebra ni zlata ja nemam, ali ono što imam, to ti dajem: U ime Isusa Krista Nazarećanina, ustani i hodaj!”
ACT.3.7	 I uhvatio ga je za desnu ruku te 
ACT.3.8	 pa je skočio, uspravio se i 
ACT.3.9	 I sav ga je narod vidio kako hoda i hvali Boga.
ACT.3.10	 I prepoznali su da je to onaj koji je zbog milodara sjedio kod hramskih Krasnih vratiju; i bili su puni čuđenja i divljenja zbog onoga što mu se dogodilo.
ACT.3.11	 A kako je hromi koji je ozdravio držao Petra i Ivana, sav se narod pun čuđenja strčao k njima u trijem zvani Salomonov.
ACT.3.12	 A kad je Petar 
ACT.3.13	 Bog Abrahamov, i Izakov, i Jakovljev, Bog očeva naših proslavio je svojega Sina Isusa, kojega ste vi predali i odrekli se ga pred licem Pilatovim kad je ovaj odlučio pustiti 
ACT.3.14	 Ali ste se vi odrekli Svetoga i Pravednoga, i zatražili da vam se dodijeli jedan ubojica,
ACT.3.15	 a ubili ste Kneza života, koga je Bog uskrsnuo od mrtvih; čemu smo mi svjedoci.
ACT.3.16	 I po vjeri u njegovo ime, njegovo je ime ojačalo ovog čovjeka koga vidite i poznajete. Štoviše, vjera koja je po njemu, podarila je ovome potpuno zdravlje u nazočnosti svih vas.
ACT.3.17	 A sada, braćo, znam da ste 
ACT.3.18	 I Bog je tako ispunio što je unaprijed objavio po ustima svih svojih proroka, da Krist treba trpjeti.
ACT.3.19	 Pokajte se dakle i obratite se da vam se mogu izbrisati grijesi, kada dođu vremena okrijepe od lica Gospodinovog,
ACT.3.20	 i on će poslati Isusa Krista koji vam je 
ACT.3.21	 Onoga koga nebo treba primiti do vremena uspostave svega što je Bog navijestio od postanka svijeta na usta svih svojih svetih proroka.
ACT.3.22	 Jer je Mojsije uistinu rekao očevima: ‘Proroka poput mene podignut će vam Gospodin Bog vaš između braće vaše. Njega slušajte u svemu sve što će vam govoriti.
ACT.3.23	 I dogodit će se, 
ACT.3.24	 Ali i svi proroci, koji su vam govorili od Samuela i onih poslije njega, isto su tako prorekli ove dane.
ACT.3.25	 Vi ste djeca proroka i Saveza kojeg je Bog sklopio s našim očevima govoreći Abrahamu: ‘I u tvojemu će sjemenu biti blagoslovljena sva plemena na zemlji.’
ACT.3.26	 Najprije je vama Bog podigao svojega Sina Isusa te ga poslao da vas blagoslovi, da se svatko od vas obrati od svojega bezakonja.”
ACT.4.1	 I dok su oni još govorili narodu, pristupili su im svećenici i zapovjednik Hrama i saduceji,
ACT.4.2	 ogorčeni što su poučavali narod i propovijedali uskrsnuće od mrtvih kroz Isusa.
ACT.4.3	 I digli su na njih ruke i stavili ih u pritvor do sutra, jer je već bila večer.
ACT.4.4	 Ipak su mnogi od onih koji su čuli riječ povjerovali te je broj muškaraca došao na oko pet tisuća.
ACT.4.5	 I dogodilo se sutradan da su se njihovi glavari, i starješine, i pismoznanci,
ACT.4.6	 i veliki svećenik Ana, i Kaifa, i Ivan, i Aleksandar, i svi koji su bilo od velikosvećeničkoga roda, sakupili u Jeruzalemu.
ACT.4.7	 A kad su ih postavili u sredinu, upitali su ih: “Kojom snagom ili po kojem ste imenu vi to učinili?”
ACT.4.8	 Tada im je Petar, pun Duha Svetoga, rekao: “Glavari naroda i starješine Izraelove!
ACT.4.9	 Ako nas danas ispitujete zbog dobrog djela učinjenog nemoćnom čovjeku, po kojem je ovaj ozdravio,
ACT.4.10	 neka bude znano svima vama i cijelom narodu izraelskom: Po imenu Isusa Krista Nazarećanina, kojega ste vi razapeli, a kojega je Bog uskrsnuo od mrtvih, po njemu ovaj čovjek pred vama stoji zdrav.
ACT.4.11	 Ovo je kamen koji ste vi graditelji odbacili, 
ACT.4.12	 Nema spasenja ni u kome drugom, jer nema pod nebom drugoga imena danog ljudima po kome mi trebamo biti spašeni.”
ACT.4.13	 A kad su vidjeli Petrovu i Ivanovu hrabrost, a uvidjeli su da su to ljudi neuki i neupućeni, čudili su se te su shvatili da su oni bili s Isusom.
ACT.4.14	 I kad su vidjeli čovjeka koji je bio ozdravljen kako stoji s njima, nisu mogli reći ništa protiv toga.
ACT.4.15	 Ali kad su im zapovjedili da izađu iz vijećnice, 
ACT.4.16	 govoreći: “Što da učinimo s tim ljudima? Jer doista, po njima se dogodilo očito čudo poznato svim stanovnicima Jeruzalema i mi 
ACT.4.17	 Ali da se ovo još više ne raširi među narodom, strogo im zaprijetimo da više nikome ne govore u to ime.”
ACT.4.18	 Zatim su ih pozvali te im zapovjedili da više nipošto ne govore i niti ne poučavaju u Isusovo ime.
ACT.4.19	 Ali su im Petar i Ivan odgovorivši rekli: “Prosudite je li pred Bogom ispravno slušati vas više negoli Boga!
ACT.4.20	 Jer mi ne možemo ne govoriti ono što smo vidjeli i čuli.”
ACT.4.21	 Kako nisu mogli naći ništa za što bi ih kaznili, nadalje su im zaprijetili te ih pustili zbog naroda, jer su svi slavili Boga zbog onoga što se dogodilo.
ACT.4.22	 Jer čovjeku na kojem se dogodilo to čudo ozdravljenja bilo je preko četrdeset godina.
ACT.4.23	 A 
ACT.4.24	 A kad su oni to čuli, složno su podigli glas k Bogu i rekli: “Gospodine, ti si Bog, koji si načinio nebo, i zemlju, i more i sve ono što je u njima,
ACT.4.25	 koji si rekao na usta svojega sluge Davida: ‘Zašto bjesne pogani i narodi smišljaju ispraznosti?
ACT.4.26	 Kraljevi zemaljski su ustali i glavari su se skupili zajedno protiv Gospodina i protiv njegovog Krista.’
ACT.4.27	 Jer su se zaista protiv svetog djeteta tvojega Isusa, koga si pomazao, udružili i Herod i Poncije Pilat zajedno s Poganima i narodom izraelskim
ACT.4.28	 da učine sve što je tvoja ruka i tvoj naum unaprijed odredio da se dogodi.
ACT.4.29	 A sada, Gospodine, pogledaj na njihove prijetnje i daj slugama svojim da sa svom hrabrošću govore riječ tvoju!
ACT.4.30	 Po ispruženoj ruci tvojoj da bude ozdravljenja; i da se znakovi i čudesa mogu događati po imenu svetog djeteta tvojega Isusa.”
ACT.4.31	 I kad su se pomolili, potreslo se mjesto na kome su bili okupljeni; i svi su se napunili Duhom Svetim te govorili s hrabrošću riječ Božju.
ACT.4.32	 A mnoštvo onih koji su povjerovali bili su jedno srce i jedna duša. I nitko od njih nije nazivao svojim ništa od onoga što je posjedovao, nego im je sve bilo zajedničko.
ACT.4.33	 I velikom su snagom apostoli davali svjedočanstvo o uskrsnuću Gospodina Isusa, i velika je milost bila nad svima njima.
ACT.4.34	 Među njima nitko nije oskudijevao, jer svi koji su posjedovali zemljišta ili kuće prodavali bi ih i donosili utržak od onoga što se prodalo
ACT.4.35	 te stavljali pred noge apostolima; a dijelilo se svakome kako je tko imao potrebu.
ACT.4.36	 A Josija, od apostola prozvan Barnaba, (što prevedeno znači sin utjehe), Levit, rodom Cipranin,
ACT.4.37	 posjedovao je njivu, koju je prodao i novac donio te 
ACT.5.1	 A jedan čovjek imenom Ananija, sa svojom je ženom Safirom prodao imanje.
ACT.5.2	 I za sebe zadržao 
ACT.5.3	 A Petar 
ACT.5.4	 Da ti je ostalo, ne bi li tvoje bilo? I nakon što je prodano, nije li bilo u tvojoj vlasti? Zašto si takvo što u srcu zamislio? Nisi slagao ljudima, nego Bogu.”
ACT.5.5	 A Ananija je kad je čuo te riječi, pao i izdahnuo. I velik je strah obuzeo sve koji su to čuli.
ACT.5.6	 Zatim su ustali mladići, zamotali ga, iznijeli i pokopali.
ACT.5.7	 I otprilike tri sata nakon toga ušla je njegova žena, ne znajući što se dogodilo.
ACT.5.8	 I Petar ju je upitao: “Reci mi, jeste li za toliko prodali zemljište?” A ona je rekla: “Da, za toliko.”
ACT.5.9	 Tada joj je Petar rekao: “Kako to da ste se složili iskušati Duha Gospodinova? Evo na vratima su noge onih koji su ti pokopali muža, i tebe će iznijeti!”
ACT.5.10	 Nato je ona odmah pala njemu do nogu te izdahnula. A kad su mladići ušli, našli su je mrtvu pa su je iznijeli i pokopali do njezina muža.
ACT.5.11	 I velik je strah došao na svu crkvu i na sve koji su to čuli.
ACT.5.12	 A po rukama apostolskim događali su se mnogi znakovi i čudesa među narodom. (I svi su oni bili složni u Salomonovu trijemu.)
ACT.5.13	 A nitko od ostalih im se nije usuđivao pridružiti, ali ih je narod veličao.
ACT.5.14	 I sve se više vjernika pridruživalo Gospodinu, mnoštvo i muškaraca i žena.
ACT.5.15	 Toliko da su na ulice iznosili bolesnike i stavljali 
ACT.5.16	 Dolazilo je i mnoštvo iz okolnih gradova u Jeruzalem 
ACT.5.17	 Tada je veliki svećenik ustao i svi oni što su bili s njim, (koji su sljedba saducejska), bili su puni zavisti
ACT.5.18	 te su digli ruke na apostole i bacili ih u javnu tamnicu.
ACT.5.19	 Ali je anđeo Gospodinov noću otvorio vrata tamnice, izveo ih pa im rekao:
ACT.5.20	 “Idite, stanite i govorite u Hramu narodu sve riječi ovog života!”
ACT.5.21	 A kad su 
ACT.5.22	 Ali kad su stražari stigli onamo i nisu ih našli u tamnici, vratili se i izvijestili,
ACT.5.23	 govoreći: “Našli smo tamnicu doista zaključanu sa svim osiguranjem i stražare gdje stoje vani pred vratima, no kad smo je otvorili, unutra nismo našli nikoga.”
ACT.5.24	 A kad su veliki svećenik i zapovjednik Hrama i glavari svećenički čuli te riječi, dvoumili su se zbog njih, što bi to moglo biti.
ACT.5.25	 Tada je netko došao te im dojavio govoreći: “Evo, oni ljudi što ste ih bacili u tamnicu stoje u Hramu i poučavaju narod!”
ACT.5.26	 Nato je otišao zapovjednik sa stražarima te ih doveo bez nasilja jer su se bojali naroda da ih ne bi kamenovao.
ACT.5.27	 A kad su ih doveli, postavili su 
ACT.5.28	 govoreći: “Nismo li vam strogo zapovjedili da ne poučavate u to ime? A evo, vi ste napunili Jeruzalem svojim naukom i namjeravate na nas navući krv tog čovjeka.”
ACT.5.29	 Tada su im Petar i 
ACT.5.30	 Bog otaca naših uskrsnuo je Isusa, kojega ste vi pogubili tako da ste 
ACT.5.31	 Njega je Bog desnicom svojom uzvisio 
ACT.5.32	 I mi smo njegovi svjedoci o tim stvarima; a 
ACT.5.33	 Kad su 
ACT.5.34	 Tada je ustao jedan od 
ACT.5.35	 Zatim im je rekao: “Ljudi, Izraelci! Pazite na sebe 
ACT.5.36	 Jer prije ovih dana podigao se Teuda, praveći se da je netko, i njemu se pridružilo na broj oko četiri stotine ljudi. On je bio ubijen, a svi koji su mu bili poslušni bili su raspršeni i postali ništa.
ACT.5.37	 Nakon njega, u doba popisa, podigao se Juda Galilejac i povukao dosta naroda za sobom. I on je propao, 
ACT.5.38	 A sada vam kažem: okanite se ovih ljudi i pustite ih! Jer ako je ovaj naum ili ovo djelo od ljudi, nestat će,
ACT.5.39	 ali ako je od Boga, nećete ga moći srušiti; da se i sami ne nađete u ratu protiv Boga!”
ACT.5.40	 I složili su se s njim te dozvali apostole, istukli 
ACT.5.41	 A oni su otišli ispred Vijeća radujući se što su se našli dostojni podnijeti sramotu za njegovo ime.
ACT.5.42	 I nisu prestajali svakog dana u Hramu i po kućama poučavati i propovijedati Isusa Krista.
ACT.6.1	 A u te dane, kad se povećavao broj učenika, počeli su Helenisti mrmljati protiv Hebreista, jer se njihove udovice zanemaruju u svakodnevnom posluživanju.
ACT.6.2	 Tada su Dvanaestorica dozvala mnoštvo učenika 
ACT.6.3	 Zato, braćo, pronađite između sebe sedam muškarca na dobru glasu, punih Duha Svetoga i mudrosti, koje ćemo postaviti nad tim poslom,
ACT.6.4	 a mi ćemo se predati neprestanoj molitvi i službi Riječi.”
ACT.6.5	 I ta besjeda se svidjela svemu mnoštvu te su izabrali Stjepana, čovjeka punog vjere i Duha Svetoga, zatim Filipa, i Prohora, i Nikanora, i Timona, i Parmena, i Nikolu prozelita iz Antiohije,
ACT.6.6	 koje su postavili pred apostole, a oni kad su se pomolili, položili su ruke na njih.
ACT.6.7	 I riječ se Božja širila, i broj se učenika u Jeruzalemu silno umnožio. I veliko je mnoštvo svećenika bilo poslušno vjeri.
ACT.6.8	 A Stjepan, pun vjere i snage, činio je velika čudesa i znakove među narodom.
ACT.6.9	 Tada su se podigli neki od onih iz sinagoge, zvane 
ACT.6.10	 I nisu se mogli oduprijeti mudrosti i duhu kojim je govorio.
ACT.6.11	 Tada su nagovorili neke muškarce koji su rekli: “Čuli smo ga kako govori bogohulne riječi protiv Mojsija i 
ACT.6.12	 I pobunili su narod, i starješine i pismoznance, zatim su mu pristupili te ga uhvatili i izveli pred Vijeće.
ACT.6.13	 I namjestili su lažne svjedoke koji su rekli: “Ovaj čovjek ne prestaje govoriti bogohulne riječi protiv ovog svetog mjesta i Zakona.
ACT.6.14	 Jer smo ga čuli kako govori da će taj Isus, Nazarećanin, srušiti ovo mjesto i promijeniti običaje koje nam je predao Mojsije.”
ACT.6.15	 Nato su svi koji su sjedili u Vijeću uprli pogled u njega 
ACT.7.1	 Tada ga je veliki svećenik upitao: “Je li to tako?”
ACT.7.2	 A on je rekao: “Ljudi, braćo i očevi, poslušajte: Bog slave pokazao se našem ocu Abrahamu kad je bio u Mezopotamiji, prije nego što se nastanio u Haranu,
ACT.7.3	 i rekao mu: ‘Izađi iz svoje zemlje i iz svoga roda i pođi u zemlju koju ću ti pokazati.’
ACT.7.4	 Tada je izašao iz zemlje Kaldejaca i nastanio se u Haranu. A odatle ga, nakon što mu je otac umro, preselio u ovu zemlju u kojoj sad vi živite.
ACT.7.5	 I u njoj mu nije dao baštine niti 
ACT.7.6	 A Bog mu je na taj način rekao da će njegovo sjeme boraviti u tuđoj zemlji te da će ih porobiti i zlostavljati četiri stotine godina.
ACT.7.7	 ‘Ali narodu kojem budu robovali, ja ću suditi,’ rekao je Bog, ‘i nakon toga će izaći te mi služiti na ovom mjestu.’
ACT.7.8	 Zatim mu je dao Savez obrezanja. I tako je 
ACT.7.9	 A patrijarsi su potaknuti zavišću prodali Josipa u Egipat, ali Bog je bio s njim,
ACT.7.10	 te ga oslobodio od svih njegovih nevolja i dao mu naklonost i mudrost pred faraonom, kraljem Egipta, i postavio ga je upraviteljem nad Egiptom i svom njegovom kućom.
ACT.7.11	 Zatim je došla glad i velika nevolja na svu zemlju egipatsku i Kanaan te naši očevi nisu mogli naći hrane.
ACT.7.12	 A kad je Jakov čuo da u Egiptu ima žita, poslao je onamo najprije naše očeve.
ACT.7.13	 A drugi 
ACT.7.14	 Tada je Josip poslao da se k 
ACT.7.15	 Tako je Jakov sišao u Egipat te je umro, on i naši očevi.
ACT.7.16	 I bili su preneseni u Sihem i položeni u grob koji je Abraham kupio za neku svotu novca, od sinova Hamorovih, 
ACT.7.17	 Ali kako se bližilo vrijeme obećanja za koje se Bog zakleo Abrahamu, narod se povećao i namnožio u Egiptu,
ACT.7.18	 sve dok nije ustao drugi kralj, koji nije poznavao Josipa.
ACT.7.19	 Taj je postupao lukavo s našim rodom i zlostavljao naše očeve, tako da moraju odbaciti svoju dječicu kako ona ne bi mogla preživjeti.
ACT.7.20	 U to se vrijeme rodio Mojsije i bio je izvanredno lijep i tri je mjeseca bio hranjen u kući svoga oca.
ACT.7.21	 A kad je bio odbačen, uzela ga je faraonova kćer i sebi othranila za sina.
ACT.7.22	 I Mojsije je bio poučen u svoj mudrosti egipatskoj i bio je silan u riječima i djelima.
ACT.7.23	 A kad je napunio četrdeset godina, došlo mu je u srce da pohodi svoju braću, sinove Izraelove.
ACT.7.24	 I kad je vidio kako jedan 
ACT.7.25	 Jer je shvatio da će njegova braća razumjeti da im Bog po njegovoj ruci daje oslobođenje, ali oni nisu razumjeli.
ACT.7.26	 A sutradan se pokazao među onima koju su se tukli te ih pokušao pomiriti govoreći: ‘Ljudi, vi ste braća, zašto činite nepravdu jedan drugome?’
ACT.7.27	 Ali onaj koji je činio bližnjemu nepravdu, odbio ga je govoreći: ‘Tko je tebe postavio za glavara i suca nad nama?
ACT.7.28	 Želiš li ubiti i mene kao što si jučer ubio Egipćanina?’
ACT.7.29	 Tada je Mojsije pobjegao zbog te besjede i nastanio se kao stranac u zemlji midjanskoj, gdje je rodio dva sina.
ACT.7.30	 I kad je prošlo četrdeset godina, pokazao mu se anđeo Gospodinov u pustinji Sinajske gore, u plamenu gorućega grma.
ACT.7.31	 Kad je 
ACT.7.33	 Tada mu je Gospodin rekao: “Izuj obuću sa svojih nogu, jer mjesto na kojem stojiš sveto je tlo.
ACT.7.34	 Vidio sam, vidio nevolju svoga naroda koji je u Egiptu i čuo njegovo stenjanje pa sam sišao da ga izbavim. A sad hajde, šaljem te u Egipat.’ “
ACT.7.35	 Toga Mojsija kojeg su se odrekli govoreći: ‘Tko je tebe postavio za glavara i suca?’ Istoga im je Bog poslao kao vladara i osloboditelja rukom anđela koji mu se pokazao u grmu.
ACT.7.36	 On ih je izveo nakon što im je pokazao čudesa i znakove u zemlji egipatskoj i u Crvenom moru i u pustinji četrdeset godina.
ACT.7.37	 To je onaj Mojsije koji je rekao sinovima Izraelovim: ‘Proroka poput mene podići će vam Gospodin, Bog vaš od braće vaše; njega slušajte.’
ACT.7.38	 To je onaj koji je u pustinji bio u crkvi s anđelom koji mu je govorio na Sinajskoj gori i 
ACT.7.39	 kome naši očevi nisu htjeli biti poslušni, nego su 
ACT.7.40	 govoreći Aronu: ‘Napravi nam bogove koji će nas predvoditi, jer ne znamo što se dogodilo tome Mojsiju koji nas je izveo iz zemlje egipatske.’
ACT.7.41	 I u one dane načinili su tele, te prinijeli žrtvu tom idolu i veselili se djelima svojih ruku.
ACT.7.42	 Tada se Bog okrenuo i predao ih da iskazuju štovanje vojsci nebeskoj, kao što je zapisano u knjizi proroka: O dome Izraelov, niste li mi prinosili zaklane životinje i žrtve 
ACT.7.43	 Da, podigli ste šator Molohov, i zvijezdu vašeg boga Remfana: likove ste načinili da im iskazujete štovanje. I odvest ću vas na onu stranu Babilona!’
ACT.7.44	 Naši su očevi u pustinji imali Šator svjedočanstva, kako je to odredio onaj koji je govorio s Mojsijem da ga napravi prema uzorku koji je vidio.
ACT.7.45	 A primili su 
ACT.7.46	 koji je našao naklonost pred Bogom te je želio naći šator Bogu Jakovljevu.
ACT.7.47	 Ali mu je Salomon sagradio Dom.
ACT.7.48	 Štoviše, Svevišnji ne prebiva u hramovima rukom napravljenim, kako je to prorok rekao:
ACT.7.49	 Nebo je moje prijestolje, a zemlja je podnožje nogama mojim. Kakvu ćete mi kuću vi sagraditi, govori Gospodin, ili kakvo je mjesto mog počinka?
ACT.7.50	 Nije li moja ruka sve ovo načinila?’
ACT.7.51	 Vi tvrdokorni i neobrezanih srdaca i ušiju! Vi se uvijek odupirete Duhu Svetom! Kako su 
ACT.7.52	 Koga od proroka nisu progonili očevi vaši? Poubijali su one koji su unaprijed najavljivali dolazak Pravednika, koga ste vi sada već izdali i ubili,
ACT.7.53	 vi koji ste primili Zakon prema naredbama anđela, ali 
ACT.7.54	 Kad su to čuli, bili su probodeni u srcima te počeli škripati zubima na njega.
ACT.7.55	 A on, pun Duha Svetoga, zagledao se u nebo i vidio slavu Božju i Isusa gdje stoji Bogu zdesna,
ACT.7.56	 te rekao: “Evo, gledam otvorena nebesa i Sina čovječjega gdje stoji zdesna Bogu.”
ACT.7.57	 Nato su oni povikali jakim glasom i začepili uši te složno navalili na njega.
ACT.7.58	 Izbacili su 
ACT.7.59	 I kamenovali su Stjepana, koji je zazivao 
ACT.7.60	 Zatim je kleknuo i viknu jakim glasom: “Gospodine, ne uzmi im ovo za grijeh!” I kad je to rekao, usnuo je.
ACT.8.1	 A Savao je odobravao njegovo ubojstvo. I u to vrijeme nastao je velik progon protiv crkve u Jeruzalemu, te su svi bili raspršeni po krajevima Judeje i Samarije, osim apostola.
ACT.8.2	 A pobožni su ljudi sahranili Stjepana i priredili za njim veliko žalovanje.
ACT.8.3	 No Savao je pustošio crkvu; ulazeći u svaku kuću odvlačio je iz njih muškarce i žene te 
ACT.8.4	 Stoga su oni što su bili raspršeni prolazili posvuda propovijedajući Riječ.
ACT.8.5	 Tada je Filip sišao u grad Samariju te im propovijedao Krista.
ACT.8.6	 I narod se složno priklanjao onome što je Filip govorio slušajući i gledajući čudesa koja je činio.
ACT.8.7	 Jer su nečisti duhovi s velikom vikom izlazili iz mnogih koji su bili opsjednuti 
ACT.8.8	 I nastala je velika radost u tom gradu.
ACT.8.9	 Ali bio je tu neki čovjek imenom Šimun, koji se već otprije bavio vračanjem i začaravao narod samarijski tvrdeći da je on netko velik.
ACT.8.10	 Uz njega su svi, od najmanjega do najvećeg pristajali govoreći: “Ovaj je čovjek velika snaga Božja.”
ACT.8.11	 A priklanjali su mu se jer ih je već dugo vremena začaravao 
ACT.8.12	 Ali kad su povjerovali Filipu koji je propovijedao o kraljevstvu Božjem i imenu Isusa Krista, krstili su se, i muškarci i žene.
ACT.8.13	 Tada je i sâm Šimun povjerovao te je, pošto je bio kršten, ostao uz Filipa i divio se gledajući velika čudesa i znakove što su se događali.
ACT.8.14	 A kad su apostoli u Jeruzalemu čuli da je Samarija primila riječ Božju, poslali su k njima Petra i Ivana,
ACT.8.15	 koji su se, kad su sišli, pomolili za njih da bi primili Duha Svetoga.
ACT.8.16	 (Jer još ni na jednoga od njih nije sišao; bili su samo kršteni u ime Gospodina Isusa.)
ACT.8.17	 Tada su položili na njih 
ACT.8.18	 A kad je Šimun vidio da se Duh Sveti daje polaganjem ruku apostola, ponudio im je novac
ACT.8.19	 govoreći: “Dajte i meni tu vlast da onaj na koga položim ruke primi Duha Svetoga.”
ACT.8.20	 A Petar mu je rekao: “Neka tvoj novac propadne zajedno s tobom, jer si mislio da dar Božji možeš kupiti novcem!
ACT.8.21	 Ti nemaš ni dijela ni udjela u ovom jer tvoje srce nije pravo pred Bogom.
ACT.8.22	 Pokaj se stoga od te svoje zloće i moli Boga ne bi li ti oprostio tu pomisao tvoga srca.
ACT.8.23	 Jer vidim da si u gorkoj žuči i 
ACT.8.24	 Tada im je Šimun odgovorio rekavši: “Molite vi Gospodina za mene, da me ne snađe ništa od onoga što ste rekli!
ACT.8.25	 I oni, pošto su posvjedočili i propovijedali riječ Gospodinovu, vratili su se u Jeruzalem i propovijedali evanđelje u mnogim samarijskim selima.
ACT.8.26	 Tada je anđeo Gospodinov rekao Filipu: “Ustani i idi prema jugu, na put koji se spušta iz Jeruzalema u Gazu. On je pust.”
ACT.8.27	 Filip je ustao i otišao. I gle, čovjek Etiopljanin, eunuh, visoki dostojanstvenik kod Kandake, etiopske kraljice, koji je bio zadužen za cijelu njezinu riznicu i koji je došao u Jeruzalem iskazati štovanje,
ACT.8.28	 vraćao se i sjedio u svojim kolima te čitao proroka Izaiju.
ACT.8.29	 Tada je Duh rekao Filipu: “Priđi i pridruži se tim kolima!”
ACT.8.30	 A Filip je pritrčao k 
ACT.8.31	 A on je rekao: “Kako bih mogao ako me netko ne uputi?” I zamolio je Filipa da se popne i sjedne pokraj njega.
ACT.8.32	 A mjesto koje je čitao iz Pisma bilo je ovo: “Odveli su ga na klanje kao ovcu; i kao što je janje nijemo pred onim koji ga striže, tako ni on nije otvorio svoja usta.
ACT.8.33	 U njegovom poniženju oduzet mu je sud i tko će objaviti njegov naraštaj? Jer se njegov život uzima sa zemlje.”
ACT.8.34	 Nato je eunuh upitao Filipa i rekao: “Molim te, o kome prorok ovo govori? O sebi ili o kome drugome?”
ACT.8.35	 Tada je Filip otvorio svoja usta te mu je od toga istog Pisma počeo propovijedati Isusa.
ACT.8.36	 I kad su tako putovali došli su do neke vode i eunuh je rekao: “Gledaj voda! Što me sprečava da budem kršten?”
ACT.8.37	 A Filip je rekao: “Ako vjeruješ od svega svoga srca, možeš.” A on je odgovorivši rekao: “Vjerujem da je Isus Krist Sin Božji.”
ACT.8.38	 I zapovjedio je da se zaustave kola. Tada su obojica sišla u vodu, i Filip i eunuh; i krstio ga je.
ACT.8.39	 A kad su oni izašli iz vode, Duh Gospodinov je odnio Filipa, tako da ga eunuh više nije vidio, i on je otišao svojim putem radujući se.
ACT.8.40	 A Filip se našao u Azotu te prošao, propovijedajući u svim gradovima sve dok nije došao u Cezareju.
ACT.9.1	 A Savao, koji je još više odisao prijetnjom i pokoljem protiv učenika Gospodinovih, otišao je k velikom svećeniku,
ACT.9.2	 te od njega zatražio pisma za sinagoge u Damasku da bi ih mogao, ako nađe nekoga od ovog puta, bilo da su muškarci ili žene, svezane dovesti u Jeruzalem.
ACT.9.3	 A dok je putovao približio se Damasku, i odjedanput ga je obasjalo svjetlo s neba.
ACT.9.4	 Tada je pao na zemlju i čuo glas koji mu govori: “Savle, Savle, zašto me progoniš?”
