MAT.1.1	Jisu Khrista David atu ate Abraham sanao pa puhang pahang na jiekka shi. 
JHN.19.34	Chutiweta ralmee akhana Jisu nakka sei hoh ae, hati inlen athi akha chu tui lunga shuk kae. 
JHN.19.35	(Hita shuk ri mee akhana rilphure, chuti lea chu nangei ko ngoiring ange. Maril ha adiekke, ‘Khachu amona matong hi adiekke ti dange.’) 
JHN.19.36	Maram chu, “Jisu saru akhaphao tikkang no ae,” Athieng abai sunga rilha tung ranga hita shukka ae. 
JHN.19.37	Hana adang abai akha na hita rille, “Meengeina nakka hoo amota anange.”
JHN.19.38	Hina anutinga, Arimethia Josep na Jisu pum phum ranga Pilatta niye. (Josep hi Jisu nutinga aruwa jui mee ae, maram chu amona Jehudi ngei ane angam ngeita ati yarra.) Pilatna amota apum ranga ngaipi so weh. Chuna Josep na choiya thing so weh. 
JHN.19.39	Jisuta yinting akha rilhak thing phurpa Nikodim ko Josep itta thingha ae, maminga aman tam ariemhoi tang somthum, khachu myrrh lea aloe choiya thinge. 
JHN.19.40	Hita ae ah manina Jisu pumha Jehudi ngei alam nu jui ah phum ranga ariem hoi choiya akha chu aman tam pun ah lhum so weh. 
JHN.19.41	Jisuta thatna amunt kolhana mahun akha ame, hana sunga atu akha phao phum no the lhan akha ammeh. 
JHN.19.42	Nahi Solhakni rukni mating ah sarukka, akha na lhanna naiya amsarukka, Jisu ha hana phum so weh.
JHN.20.1	Solhakni inthou huwar maah Madalini Mary na lhankunga thinge, hana lhan maiah dolla si alungha honga amha riso. 
JHN.20.2	Amona entinga tanna leweta Simon Pitar akha chu adang arui Jisuna lungsit manita rilsowe, “Manina Rengta lhansung hei thouwa choi thing so weh, hana hoiya siyomo kanina dangpha niyo onge!”
JHN.20.3	Hanapa chu Pitar akha chu adang rui hana lhankunga thingso ae. 
JHN.20.4	Manui aniha ranga tanna thinge, chuti weta adang rui hana Piterta lella tanna lhankunga amona ma-sa-a tungso ae. 
JHN.20.5	Amona unna anyuiya alhumna punha ri-ae, chuti weta asunga chu amo lutno ae. 
JHN.20.6	Manutinga Simon Pitar tungso, hana amona yangbakta lhankung sunga lutsowe. Amona alhumna punha lhum ma amha riphure. 
JHN.20.7	Hana Jisu lu lhumna punhachu apum lhumna pun kolla amno ae chuti weta athei chakka kulla ame. 
JHN.20.8	Lhankunga masa-a lung aruihako asunga lutso ae, akha chu amoko ngoiringso ae. 
JHN.20.9	(Manina athieng abaisunga rilphur ha amona athi heithouwa ringthou angetihi lunga lungkimno ae.) 
JHN.20.10	Chuna arui ngeihana intinga leso-ae.
JHN.20.11	Mary na lhan awao-a tappa amleiya, anona lham sunga birra thirre. 
JHN.20.12	Wanrui anina awar pen dir aeweta Jisuna yalphurna a akhana aluchung, akhana kekunga onga amha ripha so ae. 
JHN.20.13	“Namei ije sarukka tappa ama che?” manina amota saiye. amona sange, “manina ka Rengha choiya thing so weh, chuna manina hoiya simo keina dangpha ni ange.
JHN.20.14	Chuna amona heile a anyuiya Jisu hana ngira am ri so weh; chuti weta amona Jisu makke tihi dangno ae. 
JHN.20.15	“Namei nang eye sarukka tappa ama che?” Jisuna amota rille, “Atuta nang na yonga cha meh?” Mary na amohi mahun aepa ha rangeta halla amo na makolla rille, “Nangna amota la ah houtale, kakolla naha rilpi oh hana keina thing inge ae ta amota lathing tikke.” 
JHN.20.16	Jisuna makolla rille, “Mary!” Mary na maning tinga heiweta, Ebriya tonga rille, “Rabboni!” (Tichu “chupipa.”)
JHN.20.17	“Keita onoh oh,” Jisuna makolla rille, “Roulam chu kei atun kapa kolla thing no song inge. Chuna ka-u-kanao ngei kolla thingchaweta kei kapa akha chu nangei pa, kapa Chungthieng akha chu nangei Chungthieng kolla lesier ange ta rilthing oh.”
JHN.20.18	Chutipachu Mary Madalini na thing weta arui ngeita keina arengpu amota rishing: akha chu Jisuna maing nga ril mahei amona sui thing so weh.
JHN.20.19	Solhakni atai nietak phayui, arui ngeina Jehudi ane angam ngeit atit yarra manina inn sunga innkal kal weta amleiya. Jisuna lut weta mani karra ngir weta, “Adai ha nangei kolla amsu oh” ta amona rille. 
JHN.20.20	Hi rou rilsu in len, amona makut akha chu manak ha manita ripi ae. Arui ngeiha Rengta riyuiya ariemna siso ae. 
JHN.20.21	Jisuna manita leya rilsir ae, “Adai ha nangei kolla amsu-oh. Kapana keita lha hekta, nangeita ko keina lha inge.” 
JHN.20.22	Hana amona hukthal manichung sem weta rille, “Athieng Muilha ha pha au-oh. 
JHN.20.23	Nangei na mee ngei pak kokpi lechu mani ha kokpiso ae; nangei na manita kokpi nole, maniha kokniyo ae.”
JHN.20.24	Arui asomani sunga akha, Thoma (Abor tako kok) ha Jisu phaolei amochu mani itta amha phurno ae. 
JHN.20.25	Chuna adang rui ngeina makolla rille, “Kanina Rengha risonge!” Thoma na manita rille, “Keina makutta thir ame kakutta thamalim khachu anakka kakutta tham malim kei ngoiring ang nonge.”
JHN.20.26	Rukni sari nutinga arui ngeina leya insunga bomma amlei, Thoma kom mani itta amha ae. Inn harha kalle, chuti weta Jisuna lut weta mani karra ngir weta rille, “Adai ha nangei kolla amsu oh.” 
JHN.20.27	Hana amona Thoma ta rille, “Nakut chalha hina si oh; hana kakut hi anno; akhako nakutha yam chaweta kanakka thunno, nalung tinno ae no sa-oh ngoiring oh!”
JHN.20.28	Thoma na makolla sange, “Ka Rengpa khachu ka Chungthieng.”
JHN.20.29	Jisuna makolla rille, “Keita risarukka nangna ngoiring yo ah che? Eya ah yairha ah meh keita rino lutta ngoiringei ha!”
JHN.20.30	Jisuna aruingei maikunga anealah tullu eya ma lu phur hi Abai sunga yikno iya amsonge. 
JHN.20.31	Chuti weta Jisu chu Chungthieng sanaopa Messiya aeta nangeina ngoiring ranga, akha chu nangeina amota ngoiring jarra. Nangei ha aring pha ang ae.
JHN.21.1	Hina nutinga, Jisuna woiha leya Tiberi Tuipi kolla arui ngeita ripisir ae. Hana amona manita ripi. 
JHN.21.2	Simon Pitar, Thoma (Abor takok), Nathanel (Galily sung Caana thou phaopa), Zebedi sanaoparel, Jisu rui adang ani, hit manilim tulla amlei, 
JHN.21.3	Simon Pitar na adangei ta rille, “Kei tuirik manthing angsinge.” “Kani ko nanu jui ange,” manina makolla rille. chuna manilim kung akha chunga thing so weh, chuti weta zinting huwar phao manina ekhaphao mant no ae. 
JHN.21.4	Ni shukka hang jui ah, Jisuna tuihou ah ngirre, chuti weta arui ngeina chu Jisu ae ta dang phano ae. 
JHN.21.5	Hana amona manita saiye, “Unga ngei oh, nangei e akha phao mant no chou meh?” akha phao mamonge, manina sange.
JHN.21.6	Amona manita rille, “Nangeina lenha kung changting nakka yunno, hana ahre mant ang chou ae.” Chuna manina len ha yun so weh, hana tuirik tamma mant na len he kaine niyo ae.
JHN.21.7	Jisu na lungsit arui Pitar ta rille, “Hichu Rengpa ha ae!” Pitar na Rengpa ae ta theiyuiya, amona malinglut achulha lahou weta (tichu amona malinglut ha lip so.) tuisung chomma lut so weh. 
JHN.21.8	Adang rui ngeiko kungha chung weta tuihouwa tuirik na sihakti lenha kaiya wa-ae. Maniha kangpal pharang aram laniyowe, lam riha chak so weh. 
JHN.21.9	Manina kang palla tungle, manina meihol tungpi weta achunga turik roh ah am akha chu batol ahre amha manina riso ae. 
JHN.21.10	Jisuna manita rille, “Atuna nangei mant tuirik ahre choiya shukko.”
JHN.21.11	Simon Pitar na thing weta tuirik alok na sihakti lenha kaiya wa ae, tuirik limha tuljuiya riha lea somnga inthum shuk kae; haya tam yuihalko lenha itephao titno ae. 
JHN.21.12	Jisuna manita rille, “Bakwa aowo.” Arui atu akha phaona amota, “Nang atu ah che meh?” ta saino ae roulam chu manina Renge ta dange. 
JHN.21.13	Chuna Jisu na wa weta, batol laweta manita pe ae, tuirik ha ko laweta chuhekta ae so ae.
JHN.21.14	Chuna hi Jisuna athi hei thouwa ring thouwa amona aruingeita woithum su ah ripi so ae.
JHN.21.15	Manina baksulen, Jisu na Piter ta rille, “Simon Johon sanao pa, nangna hi adangei lungsitta lella keita lungsi cha meh?”
JHN.21.15	“Oh ae, Rengo,” amon sange, “Keina nangta lungsi ae ti nangna dangche ae.”
JHN.21.15	Jisuna amota rille, “Ka kelmo ha rhabakta anpi oh.” 
JHN.21.16	Woini lea ah Jisu na amota rille, “Simon, Johon sanaopa, nang kei ta lungsi cha meh?”
JHN.21.16	“Oh ae, Rengo,” amona sange, “Keina nangta lungsi ti nangna nadang ha ae.”
JHN.21.16	Jisu na amota rille, “Ka kelmo ngei ha rha bakta anpi oh.” 
JHN.21.17	Woithum shu ah Jisu na rille, “Simon, Johon sanaopa, nangna keita lugnsi cha meh?”
JHN.21.17	Pitar ha alung olso ae, roulamchu Jisuna amota waithum, “Nangha keita lungsi cha meh?” ta saipachu. Chuna amona makolla rille, “Rengo, nang na ripta dang che ae; “Keina nangta lungsi ae ti nang dangche ae!” Jisuna amota rille, “Ka kelmo ngei ha rhabakta anpi oh. 
JHN.21.18	Keina naninga adiek ka rillinge: nangna naoponglei chu nangna konghit sui weta nathing num na ah thingche ae; chuti weta nangna ulien chang jui chu, nangna naban dokkang che ae hana atuyong ngeina nangta huppange hana nathing numlou amunt ah thingang che ae.” 
JHN.21.19	(Hita rilna chu Pitar anutinga mathitrang ha rilla ae.) Akha Chungtheing mahung pek ranga chuna Jisuna rille, “Kanu yui-oh.”
JHN.21.20	Pitar na heiya anyui ah manungting Jisu na lungsit arui abakleiya Jisu ta haiton weta, “Rengo, atuna nangta yurrang ae ah meh?” ta sai arui ha ammeh. 
JHN.21.21	Pitar na amota riyuiya, amona Jisu ta sai ae, “Reng, hi apa hi chu alo tiang meh?”
JHN.21.22	Jisu na maninga sange, “Keina amota kayung malim amhakko rille, nakolla inarillang am mameh? Kanu yuiyo!”
JHN.21.23	Chuna Jisu arui limngei na, Jisu arui ngei chu thiangno ah ata rouhi thei hom so weh. Chutiweta Jisu na chu amoha thi ang no ae ti ah no ae, amona maril chu, “Kei na kayung malim amona hakka amlea chu, nahana nakolla eshukka meh? tia ae. 
JHN.21.24	Roulam ngeihi rilphur ae akha chu jiekka houphur aruiha hi ae, na majiek limhi adiekke ti anina dange.
JHN.21.25	Atun Jisuna aephur adang eya kon am meh. Halim ha akha akha jiek lea chu, simlei ram lima abai challang no ae ta ngai inge.
ACT.1.1	Masha tek ti abai hina Theophilus nakolla keina Jisu hina rouram ma alo ta athouna ah chupi takpi mo ae ta jiek inge. 
ACT.1.2	Thangwan ram ma amota rui ah kal lang rungnie pha malim ma mahalsa rouron kolla muihla athieng hana chupi jar ra. 
ACT.1.3	Aol madang sutakka amona matak mak ninga mani maikunga ri pi ah dangpi rungnie nasomly sunga Chungthieng rengram rouril phur ae. 
ACT.1.4	Mani hitta ma am ha leiya amo na manita Jerushalem houphurra thingno rang rou pe ae chuti weta, “Pathieng na saro ei sha khuthul ha hakka am mo naha chu karil phur nangei theipha rou ha ae.” 
ACT.1.5	Rouram chu Johon na tuisunga baptias ae pi hal kom nangei na muihla athieng hitta atun hai thou rungnie shot no wa baptias ae ange.”
ACT.1.6	Chuna ahalsha rouron mani makhai na phao weta rachun na makolla sai. “Rengpa Israel ngei rengram hi lea ah nasem rang apha hi jo mo ae?” 
ACT.1.7	Jisu na manita sange, “Apha rungnie ha nangei na dang rang ephao am no ae rouram chu naha Pathieng na mahal nujuija masem sa ae. 
ACT.1.8	Chuti weta nangei na muihla athieng hana jaitha pha juija Jerushalem ma kataranga nangei na meelung ngir pi anga ae hana Judiah akha chu Samaria hana simlei atreem na ram phao sunga.” 
ACT.1.9	Nahi rilla ma am lei apha ah akha chu mani na an na amlei ja amo ta Chungtienga sumphai na rui ah kalso mani maikunga. 
ACT.1.10	Amo na hata makal juija mani na wan tienga anna amlei sunga edang dang no wa mani am na ningkolla pun ngau hlum spa ani ngir tolla am so. 
ACT.1.11	Manui na ril, “Galily ah am malmashi ngei oh, ejeranga thangwan tienga mai hai ah ngirra an na am ma chau? Na Jisu, nangei ningkol hai thou wa wan ramma rui ah kal nangei ri hekta jung sier ange.”
ACT.1.12	Chuna mani na olivet mul hai thou wa Jerushalem ma lea so ae naha chu hupi haithou wa kelometer jong pa ae. 
ACT.1.13	Mani na Jerushalem lut juija mani na Pitar Johon, Jacob, Andrew, Philip Thomas, Bartholomeu Mithew, Alphaeus sanao Jacob akha chu Simon Zealot akha chu Jacob sanao Judas ngei am na inn kang chunga kal so. 
ACT.1.14	Na manilimpa hi mani takmak na atreem am no lutta namei ahre hitta nie ha ah am meh. Jisu manu Mary akha chu ma u-manao ngei kom tolla. 
ACT.1.15	Hana tak rungnie nutienga ngoiring ngei bom akha am meh (mani abom ha chu masing riha lea sam nie chuna Pitar nangirthou wa rillea.) 
ACT.1.16	“Uleh nao ngei oh” amona ril, “Jieksha rou hi tung ang so weh, ha chu, apha eja amatienga Jisu ta rui ah hup ranga lam kai phur Judas hina rou sarukka muihla athieng jarra David murra rilphur ha. 
ACT.1.17	Judas hi kani kar sunga akha ae, rouram chu amo kom matun mahlou taranga ahalsa akha ae.” 
ACT.1.18	(Mahratno na amant hana amo na phailou akha lei ae, chuna amo na bukka tu ve ta awon kui ah athibung ariel alei therak ti ae. 
ACT.1.19	Jerushalem ma am malmashi limnatheipha ah na phailoupuk hata mani tronga Akeldama ta dang hlak ae, na hina rilna chu “Athee hina phailou.”)
ACT.1.20	“Rouram chu Pslams sunga hita jiekka shi sha so ae,
ACT.1.20	‘Ma inn mun hi, hita rukka am shu oh;
ACT.1.20	atu akha na phao hana ring no shu oh.’
ACT.1.20	Hita kom jiekka shi shil ae,
ACT.1.20	akha chu ‘Atujung akha na mahut laa shu oh.’
ACT.1.21	“Chuna atujung spa akha na ani karra tol shu oh amo ha chu arengpu Jisu na ani kar hai thou shukka thing akha chu lut apha chang honna am tol akha changa tah ae. 
ACT.1.22	Johon na ae pi thou nie hai thou wa ani kar hai thou rui ah kal rungnie phao sunga amtol mee chang shu oh, rouram chu amo hana ani hitta maring thouna meelung ngir pekha ranga.”
ACT.1.23	Chuna mani na Josep akok na chu Barsabbas hana Justus takom danghlak akha chu Mathias manui ani ta halla hla so ae. 
ACT.1.24	Chuna mani na hita nie so, “Arengpu, nangna kani lim lung eheilim ri nea che ae chuna manui ani sunga kani taranga atu ta halla che? 
ACT.1.25	Judas hoitienga mo mahai na ah mathing sa rukka mahouphur rouron rui hana tun hlou ha shilranga.” 
ACT.1.26	Chuna sarukka mani na manui ani ta rawan chang ann hlakka naha Mathea na changa arui asom akha sunga tol pi so ae.
ACT.2.1	Lanpina rungnie apha ah chu ngoiring lim na amunt akha chakka mani na rachon so. 
ACT.2.2	Edang dangnowa wanram tieng hai thou wa ajap ahai hang hekta thirang tara na mani onga am na inn sunga shihak ti so. 
ACT.2.3	Hana mani ha sarmei hekti alei akhana mani lim changhon kolla sarmei hana tongso. 
ACT.2.4	Chuna mani limpa ha muihla athieng na shihak pi adang adang tronga thou so ae muihla athieng hana trong shukpi nea so. 
ACT.2.5	Amunt hana Chungthieng ta atri lim thangwan thuija jat lim na Jerushalem ma phao ah am meh. 
ACT.2.6	Wairul riha mani lim na atara ha theipha juija rachon na mani lim ha thanum tha thou ae rouram chu mani lim pana ngoiringei na tronga am hi masha mak trong hekta thei sarukka. 
ACT.2.7	Angak shukka mani mur shukka ril, “na rourilla am ngei hi Galily malmashi ngei no wa meh? 
ACT.2.8	Alo ti ah meh? ani limpa na mani rouril lim ani trong hekta theipha hi? 
ACT.2.9	Ani hi Parthia Media akha chu Elam; tieng no meh? akha chu Mesopotamiya, Judah akha chu Kappadokiah Pontus akha chu Asia tieng no meh. 
ACT.2.10	Phrygia Pomphylia tiengno meh akha chu Egypt ramtienga Cyrene ningkolla Libya tieng no meh, hana ani ahre na Rom tieng no meh. 
ACT.2.11	Jihudi akha chu jat adang Gentals hana kristen lea Arabia, ani ahre na kom Chungthieng na alok matullu ae na mani rouril ha ani tronghekta theipha nea ae!” 
ACT.2.12	Nungjel mangjella mani na angak shukka mani akha lea akha sai hlakka “Nahina ae am hi alo wa mo nu?” 
ACT.2.13	Chuti weta ahre na chu nuiso weta ril, “Mani hi leima ju rui so ae.”
ACT.2.14	Hana Pitar na rouron asom akha ngei hitta ngir thou weta sanrol shukka wairul riha ngei karra rou ril, “Jerushalem sunga am nangei lim akha chu kalungshit Jihudi ngei oh karou ngeithei oh nahina rou ram sarukka kei na nangei ta dangpi tikke. 
ACT.2.15	Nangei na halla am ha mani hi jurui no sa ae; atun apha hi nituk apha aku chak tul lim sunge. 
ACT.2.16	Chungthieng rouril Joel rilphur ha ae:
ACT.2.17	‘Chungthieng na ril atreem nie rungnie ah ka ae ang tullu ha na hi ae;
ACT.2.17	meelim chang honna kamuihla athieng boun ange.
ACT.2.17	Nasonaopa lea nasanaonu ngei na karou rillange;
ACT.2.17	nangei unga ngeina ri nea ange,
ACT.2.17	akha chu ulienchangei na amang mant ange.
ACT.2.18	Chuna kasuuk kakor snu spa, ngei ta phao
ACT.2.18	ha jongpa rungnie ah chu ka muihla athieng mani chunga boun ange,
ACT.2.18	hana chu mani na karou ril thing ange.
ACT.2.19	Keina Chungthieng wanna angakpi ae ange
ACT.2.19	hana thuitieng simlei ah angak shuk kange.
ACT.2.19	Hana sarmei ah athee am mange, akha chu meihut na shihak ti ange;
ACT.2.20	Nienu na thiemma amange,
ACT.2.20	akha chu apuhlapa na athee hekta san na wullange.
ACT.2.20	Arengpu hina alok ahoi jaihra marungnie tung matienga.
ACT.2.21	Hana chu, atujungpa atujungna arengpu amota
ACT.2.21	kok lim na sanpi pha ange.’
ACT.2.22	“Tonpi thanrul Israel, ngei oh rouhi Nazareth ta Jisu na nangei kar sunga ri ngei lou angakpi eja akha chu ane tullu najarra alimpa hi Chungthieng na angei mee ae ti hi nangei makna phao dangso ae. 
ACT.2.23	Chungthieng na mahal madangpha nu juija Jisu hi nangei kut chunga pe so ae hana hrano akha hana jurra amota khross chunga aban jump ma that ae. 
ACT.2.24	Chuti halkom Chungthieng na amota athi hai thou wa ring thoupiso, athi aol hana hai thou wa kom hla pi so. Rouram chu athi jaitha hana amota kolla shi nea rang ui thokno ae. 
ACT.2.25	Marou hana sarukka David na ril,
ACT.2.25	‘Keina apha chang honna karengpu ha ka matienga am ri pha inge
ACT.2.25	rouram chu amo ha kaban changtieng pa ae kei ephao
ACT.2.25	ollang nange.
ACT.2.26	Chuna sarukka kalung hi ariem na shihakti ae,
ACT.2.26	chuna karou limpa kom ariem chakkae,
ACT.2.26	katak kom sui no wa aring,
ACT.2.26	pha ange ta denna aminge.
ACT.2.27	Rouram chu nangna keita athi simlei karra etikkom
ACT.2.27	shi angno che ae hana chakno wa
ACT.2.27	narui athieng hata kom hrano
ACT.2.27	amut akha ae ta ri no ae.
ACT.2.28	Nangna keita ringchang lam thingrang
ACT.2.28	ri pi so che
ACT.2.28	akha chu kakolla na am sarukka
ACT.2.28	ariem na shihakti ae.’
ACT.2.29	“Ulehnao ngei oh, keina nangei kolla arat athei ani pu reng David hana rou riltikkae, atun hina makka mathit na akha chu ma uoi na hlan ha am meh. 
ACT.2.30	Amo hi rouphupa akha jarra Chungthieng na matu mate ngei sunga akhana maphomlu ong ange ta saro ei ha amo na dangne ae. 
ACT.2.31	Chungthieng ningtienga ejongpa ae ang mo ti kom David na ri nea jarra khrista Jisu ringthou ranga amo na ril,
ACT.2.31	‘Jisu athi simlei na kolla shi nea ang no ae
ACT.2.31	akha chu;
ACT.2.31	matak hi kom hrano amut ephao na nea ang no ae.’
ACT.2.32	Chungthieng na Jisu ta athi haithou wa ringa thou pi so ae chuna ani lim pa na na adiek rou hina meelung ngir ae. 
ACT.2.33	Chuna sarukka Chungthieng na maban changtiengpa ah wanga domma kalso. Chuna sarukka amo na Pathieng na saro eisha muihla athieng boun na jung atun nangei na ri ah am akha chu thei ah am rou ha ae. 
ACT.2.34	David na wanram ma kalno phao sunga kom amo na hita ril,
ACT.2.34	‘ka rengpu kolla arengpu na ril;
ACT.2.34	kaban changtiengpa ah ongo.
ACT.2.35	Nangta anda mee ngei ta nakaeto na kachangpi malim ma.’
ACT.2.36	“Chuna Israel inn sung lim na dang a ngoiring shu oh, khross chunga nangei that Jisu hi Chungthieng na sanpi nepa arengpu ae ta sem meh!”
ACT.2.37	Atun chu rou hi mani theipha juija mani lung leima olla Pitar akha chu arui ngei ta ril; “Ulenao ngei oh, kani hi alo ta ae ang meh?”
ACT.2.38	Pitar na sange, “Nangei lim na shilung hlonga Jisu khrista minga baptias ae oh, nangei pak sil pi ranga chule chu nangei na athieng muihla hana khuthul pha ange. 
ACT.2.39	Rouram chu Chungthieng na nangei unga ngai akhu chu nangei taranga hana aram anei alah lim pata makolla phao ranga anipa Chungthieng na saro ei ah arengpu minga kokka am.”
ACT.2.40	Pitar rou adang eja kom mani kolla hlem ma rouril, “Natak kom sanpi pha oh, hrano amut meerul hina.” 
ACT.2.41	Hana rouril hata lashil weta baptias ae mee ha lasing inthum tolla nani ah mani masing hel kat ae. 
ACT.2.42	Manina rouron ngei rourilhata mani theichakka lung lutta juija rochun na chupi takpi hana butol kuipi ah bakka akha chu nie ae,
ACT.2.43	Rouron ngei na angakpi anealah ae eja ta mani na ajak ati ae. 
ACT.2.44	Ngoiringei lim na hata rachonna mani am adon lim akha lea akha saruk ja hlakkae. 
ACT.2.45	Mani anei adon limpa jurhlakka mani lim sunga madarkar nujuija sam hlakkae. 
ACT.2.46	Rungnie chang honna mani na athieng inn na ranchon na mani na shilung thienga ariemma mani inn na bakha in ha ae. 
ACT.2.47	Malmashi limna ahra lunghal hana jarra ariemma manina Chungthieng ta dom meh. Chuna Arengpu na sanpi pha sha mani ta naha naha hella tolpi ae.
ACT.3.1	Nahani akha ah Pitar lea Johon na athieng inn sunga nie niek ranga chanutieng apha innthum takjuija thinge. 
ACT.3.2	Hana adon hai thou kaehor spa ta mee ngei na ehekta ahra innhar am na ah tha hanga shi phur ae rouram chu athieng inn hana lut mee limta sum niek ranga. 
ACT.3.3	Pitar lea Johon mel amona rijuija ejongpa akha pe ang mo ae ta nie ae. 
ACT.3.4	Manui na amo ta mun na an weta Pitar na ril, “Kanui ta anno!” 
ACT.3.5	Chunapa chu amo na manui ni kolla ejongpa mo kha chu pha ang sange ta mun na an ae. 
ACT.3.6	Chuti weta Pitar na amota ril, “Shum lea pai chu kei ekom am nonge, chuti weta kakolla ka-am ha nangta pe inge; Nazareth ta Jisu khrista minga kei na nangta thou weta thingrang trongsan pe inge!” 
ACT.3.7	Hana pa chu amo na aban changtiengpa oh weta ngir thou pi ae, apha ha mak ka akae horra am spa ha atun chu damso ae; 
ACT.3.8	amona akae hana chamma thou weta ahul tunga thingthou so, chuna amo na manui hitta athieng inn sunga luttol so. Athinglam ma chomma amo na Chungthieng ta dom ae. 
ACT.3.9	Thing weta Chungthieng ta riemma madom ri malmashi ngei na. 
ACT.3.10	Amo hi ahra inhar ningkolla ong veta sum nie ah am pa ae ta dangpha juija angak alau shukka machunga alo wa mo nu ta hallea.
ACT.3.11	Solomon leihal aeta kokna amunt hana Pitar lea Johon kolla haitonna am malmashi ngei na angak shukka mani am na ah wa ae. 
ACT.3.12	Pitar na mani lim ta ri juija ril, “Israel tonpi thanrul ngei oh, nahina sarukka alowa angak shukka chau hana ejeranga nangei mitta mun na kani ta an na chau? Ejongpa akha tienga kani jatha ae ta hal chau ano lea Chungthieng tol no ae ta hal chau, ha spa kanina thingpi hi. 
ACT.3.13	Abraham, Isaac akha chu Jacob hina Chungthieng hana ani pipu ngei hina Chungthieng na masuuk Jisu ta mahung majai pek phau ah nangei na amota athat ranga pe so chau, hana chakno wa Pilate na amo ta that no ranga lungir phao nangei na amo ta ngeinum no chau. 
ACT.3.14	Nangei na adiek athieng hata pa ngeinum no wa meethat mee ta pa hla pi so chau. 
ACT.3.15	Nangei na ringchang sempa ta that hal kom Chungthieng na amo ta athi hai thou ringpi so. Kani na hina taranga lung ngirra am munge. 
ACT.3.16	Jisu khrista minga ngoiring jarra nangei na ri ah am spa hi atun chu arat pha so ae Jisu minga ma ngoiring hana jarra machunga pumdam dam pi so ae nangei na ri ah am hi ae.
ACT.3.17	“Ulenao ngei oh atun chu, keina nangei ta dang singe nangei ta lamkai ngei hekta nangei na epromo ta am ha. 
ACT.3.18	Nahi Chungthieng na amatienga rouchoi ngei kolla rilsha rou sha ae, ha chu, khrista ha aol dong ange. 
ACT.3.19	Shilung hlonga Chungthieng ningtienga haileh oh, chu lea chu napak limpa kom silpi ange; ejonga nang na ae lea chu, jaitha pharanga apha ha areng kol hai thou phau ange. 
ACT.3.20	Hajong muihla rat rang ha arengpa kolla haithou phau ae hana amo na nangei taranga ahal sa. Sanpipa Jisu ta hla ange. 
ACT.3.21	Amo ha chu thongwan ram ma mapha ha pha ma lim chu am mange eheilim athar ra shak malim ma Chungthieng na marouchoi ngei kolla amatieng eja ah saro ei nujuija. 
ACT.3.22	Chuna Moses na ril, ‘Chungthieng nangei arengpu na nangei taranga rouchoi hla pi ange keita mahla hekta hana amo ha nangei mee makkange chuna nangei na kom maril eheilimpa ha jui ah ta ae. 
ACT.3.23	Atujong na rouchoi rouril jui no mee amo chu Chungthieng mee ngei kol hai thou hran pi weta amang ata shuk pi ange.’ 
ACT.3.24	Rouchoi rouril lim sunga Samuel akha chu manutienga phao ngei na kom awoni ah shukka am hi rilphur sa so ae. 
ACT.3.25	Chungthieng na marouchoi ngei kolla saro ei hi nangei taranga ae Chungthieng na nangei puthou Abraham kolla saro ei ah ril ha, ‘Simlei chunga natu nate ngei chunga keina jaihra pe ange.’ 
ACT.3.26	Chuna sarukka Chungthieng na marui ha hal weta amota masha ah nangei kolla hla ae, nangei limpa na nangei hrano lampi haithou wa lea weta jaihra pek ranga ae.”
ACT.4.1	Pitar Lea Johon na mee ngeita trong nga am lei ah thimpu ahre, mokna inn hak ahut shilla am offisar, lea Saddukise ahre kom waso. 
ACT.4.2	Mani lung leima hoino ae rouram chu rouron rui ani na Jisu thit na lea ringthou ah ringchan pha na chupi takpi ah am jarra. 
ACT.4.3	Chuna na nietak apha ah Pitar lea Johon ta mant na atuk huwar malim ma manui ta aral inn sunga hunga shi so ae. 
ACT.4.4	Chuti weta rouril theipha eja na ngoiringa malmashi hellatieng lasing ranga pha ah hangso. 
ACT.4.5	Hana hu warra lamkai ngei roukung ocha ngei akha chu ane angam na Jerushalem ma tuk hlakka. 
ACT.4.6	Hana chungtekty thiempu Annas hana Kaijaphas, Johon, Alexandar, akha chu adang chungtekty thiempu malmashi inn sung ngei kom tolla am meh. 
ACT.4.7	Mani na Pitar lea Johon ta mani maikunga rui ah wa ah manui ta rou sai thou so, “Ejongpa nangei jaitha ano lea atu minga nangei na tullu lu ah chou?” 
ACT.4.8	Hana muihla athieng na Pitar chunga shihakta mani chunga rouril: “Ane angam ngei akha chu lamkai ngei oh! 
ACT.4.9	Awoni hi ejonga nangei na kanui ta akae horra am spa hata lungshi ah dampi hana sarukka rou sai lea chu. 
ACT.4.10	Na hi nangei na dango, Israel meelim pa na; Nazareth ta Jisu khrista minga ae, khross chunga aban jam ma nangei that, Chungthieng na athi hai thou ringthou pi matienga ngir weta spa hata dam pi ah ae. 
ACT.4.11	Amo ha chu,
ACT.4.11	‘Inn sha ngei na denga hou alung ae,
ACT.4.11	anutienga chu amo na hella maru oui tek ti alung chang ha ah ae.’
ACT.4.12	Samla ringchanga hi Jisu kol ano wa atu akha kolla tukkang no ae wanthui atu akha minga ani na sanpi pha ranga.”
ACT.4.13	Pitar lea Johon thouna ri weh ta mani na manui hi abai kom chuno houphur ae ta angei thei ah, mani ha angak shukka ril Jisu hi manui hitta am ha ae. 
