MAT.1.1	E̱i̱ tjít'a ntje̱he̱ Jesucristo̱. Ntje̱he̱ David nibaha̱ ra̱ ko̱ ntje̱he̱ Abraham nibaha̱ ra̱.
ACT.13.16	—Jun xi ntje̱ Israel tje̱he̱nnu̱u ko̱ jun xi najmi ntje̱ Israel tje̱he̱nnu̱u xi yankjún Nti̱a̱ná, ta̱sinñjunú. 
ACT.13.17	Nti̱a̱ha̱ xu̱ta̱ Israel, kui xi j'ájihi̱n ntje̱ cháná ko̱ nku na̱xi̱nantá chánka kits'ín ma nk'ie nga tjíntu sa a̱nte Egipto̱, má nga y'entut'á x'a̱n. A̱skahan nga'yúhu̱n kik'onsjeko̱ho ntje̱ cháná a̱nte Egipto̱. 
ACT.13.18	Kits'íntsentaha̱ a̱nte kixiu̱ nkú ra̱ ma yachán nú. 
ACT.13.19	Kits'ínkje yatu nanki i xi tjín a̱nte Canaan ko̱ kitsjáha̱ ntje̱ cháná a̱ntehe̱ tu̱ xi ka̱ma ts'e̱he.
ACT.13.20	’A̱skahan, nkú ra̱ ma tsa ñju unchan ko̱ cháte nú, Nti̱a̱ná kitsjá xáha̱ já jue tu̱ xi ku̱a̱téxumaha̱ ra̱ na̱xi̱nantáná santaha nga tsichu ni̱stjihi̱n nda̱ profeta̱ Samuel. 
ACT.13.21	A̱s'a̱i tsanki na̱xi̱nantáná nga nku nda̱ rei̱ ku̱a̱téxumaha̱. B'a̱ ts'ín Nti̱a̱ná kitsjáha̱ ra̱ nku nda̱ rei̱. Yachán nú tjíhin tsatéxuma Saul xi ntíhi̱ Cis xi y'aha̱ ra̱ ntje̱he̱ Benjamin.
ACT.13.22	’A̱skahan Nti̱a̱ná kikje'áha̱ xóo̱ Saul ko̱ David kits'ín ma nda̱ rei̱hi̱ xu̱ta̱. Kitsúya Nti̱a̱ná yáha David: “Kuasakúna David ntíhi̱ Isai. Kui xi nku nda̱ xi tsjo maha̱ ani̱ma̱na̱, xi ts'i̱íntjusunyje xi nkú nga ts'ín mjena.” 
ACT.13.23	Ntje̱he̱ David nibaha nda̱ xi kitsúya títjun Nti̱a̱ná nga ts'i̱ín nibásehe̱ xu̱ta̱ Israel tu̱ xi ts'i̱ínk'ankihi. Kui ndo̱ xi Jesu.
ACT.13.24	’Kintehe̱ ni nga j'ai Jesu, Jua y'éni̱jmíhi̱ ngayjee̱ xu̱ta̱ Israel. B'a̱ kitsúhu̱ nga tjíhin nga ngju̱a̱i̱kj'áha̱ ra̱ ani̱ma̱ha̱ ko̱ sa̱téntá. 
ACT.13.25	Nk'ie nga ja tíbichúkjet'a xáha̱ Jua, b'a̱ kitsú: “¿Yá xi tíbixíún nga an? Najmi an nda̱ xi tíchuyóho̱o. A̱skahan nibá nku xi 'yún nk'a tje̱n sa nga an, nga santaha najmi an tsuhuna tsa an kjendáya n'úhu̱ ntéhe̱.”
ACT.13.26	’Jun já nts'e, jun xi ntje̱he̱ Abraham ko̱ jun xi najmi Israel tje̱he̱nnu̱u xi yankjún Nti̱a̱ná, ñá kin'e nibáná én xu'bi̱ xi ts'i̱ínk'ankiná. 
ACT.13.27	A̱t'aha̱ xu̱ta̱ Jerusalen ko̱ já tjíxáha̱ najmi kamankjihi̱n yáha Jesu ko̱ ta̱ ndaha ni xi tjít'a xu̱ju̱hu̱n já profeta̱ xi n'eya xki̱ xua̱tu̱. I̱ncha kitsú nga ngabaya tje̱he̱n ra̱ Jesu. B'a̱ ts'ín i̱ncha kits'íntjusuhun ni xi y'ét'a já profeta̱. 
ACT.13.28	Ndaha tsa najmi kisakújihi̱n mí kju̱a̱ha nga ka̱ma n'e̱k'iehen, tu̱nga tsinchihí ra̱ Pilato̱ nga n'e̱k'ien Jesu.
ACT.13.29	’Nk'ie nga ja kits'íntjusun jóo̱ ngayjee̱ ni xi tjít'a xu̱ju̱n éhe̱n Nti̱a̱ná má nga tínchja̱ni̱jmíyaha Jesu, a̱s'a̱i kikjeje̱nt'a kruu̱ ko̱ kingjáyanji. 
ACT.13.30	Tu̱nga Nti̱a̱náhá kits'ínkj'áíya ngáha̱ ra̱ ngabayoo̱. 
ACT.13.31	Jesu nkjin ni̱stjin tsakúchjihi̱ yjoho̱ já xi tsitjuko̱ho̱ a̱nte Galilea̱ nga ngjiko̱ho̱ nanki Jerusalen. Nd'a̱i̱ kui já xu'bo̱ xi tíi̱ncha tsuyaha̱ xu̱ta̱ ni xi i̱ncha kikie.
ACT.13.32	’Ji̱n ta̱ tíbixínyai̱ én nda tsu xu'bi̱ xi tínchja̱ ni xi Nti̱a̱ná kitsúya títjuhu̱n ntje̱ cháná nga tsjáha̱. 
ACT.13.33	Kui niu̱ xi ja kits'íntjusun Nti̱a̱ná ngandaná ñá xi y'ahaná ntje̱he̱ ntje̱ cháná, nk'ie nga kits'ínkj'áíyaha̱ Jesu ngabayoo̱. Xi nkú ts'ín tjít'a xu̱ju̱n salmo̱ xki̱ jo: “Ji xi Ntína̱, an xi tsichu ma Na̱'mihi̱.” 
ACT.13.34	Nti̱a̱ná kits'ínkj'áíya ngáha̱ ra̱ Jesu ngabayoo̱ tu̱ xi najmi ta̱ ku̱a̱tsúhun yjonintehe̱. A̱t'aha̱ b'a̱ kitsú: “Tsjanu̱u kju̱a̱ndana̱ xi kixihi̱n David.”
ACT.13.35	’Kui nga b'a̱ ta̱ ts'ín tjít'a yaha kj'a̱í salmo̱: “Najmi k'u̱a̱i̱ntei nga ku̱a̱tsún yjonintehe̱ nda̱ xi ts'i̱.” 
ACT.13.36	David, ni̱stjin nga y'ejña kits'ín ni xi mjehe̱ Nti̱a̱ná, a̱s'a̱i k'ien. Kama ñjakúko̱ xi cháha̱ ko̱ jentu yjonintehe̱. 
ACT.13.37	Tu̱nga máha nda̱ xi Nti̱a̱ná kits'ínkj'áíya ngáha̱ ra̱ ngabayoo̱, kui xi najmi jentu yjonintehe̱.
ACT.13.38	’Kui b'a̱ maha, jun já nts'e, tjíhin nga cha̱hanu ni xu'bi̱. Jesu kits'ín nga ka̱ma ndyjat'aha̱ xu̱ta̱ jéhe̱. Kui nihi xi tíb'eni̱jmíi̱ nd'a̱i̱. 
ACT.13.39	Kju̱a̱téxumaha̱ Moise najmi kamaha̱ kits'ín nda̱ínu̱u ngayjee̱ jé xi tjínnu̱u nginku̱n Nti̱a̱ná, tu̱nga Jesu ts'ín nda̱íhi̱ jéhe̱ ngayjee̱ xu̱ta̱ xi s'ejihi̱n.
ACT.13.40	’Kui nga chúhu̱n ru̱u yjonu̱u nga najmi tu̱ jun ni̱banenu̱u ni xi y'ét'a já profeta̱. A̱t'aha̱ b'i̱ ts'ín tjít'a xu̱ju̱n éhe̱n Nti̱a̱ná:
ACT.13.41	Cha̱so̱o, jun xi chajnucho xu̱ta̱ xingisoo̱,
ACT.13.41	katuma nkjúnnu̱u ko̱ kandyjajihi̱nsón.
ACT.13.41	A̱t'aha̱ an ts'ian nku ni ni̱stjin nga tintsu̱bo̱o,
ACT.13.41	nku ni xi najmi s'e̱jinnu̱u ndaha tsa tjín xi ku̱i̱tsu̱yanu̱u.
ACT.13.42	A̱s'a̱i tsitju ni'ya sinagoga̱ Pablo̱ ko̱ já xi tje̱nko̱. Xu̱ta̱ xi tjín yo̱ i̱ncha tsanki nga k'úínya saha̱ ni xu'bi̱ xua̱tu̱ xinkuu̱. 
ACT.13.43	Nk'ie nga tsitju xu̱to̱, nkjin xu̱ta̱ judio̱ ko̱ xi najmi judio̱ xi benkjún Nti̱a̱ná kitsjennkíhi̱ Pablo̱ ko̱ Bernabe. Kui b'a̱ kitsúhu̱ xu̱to̱ nga tjíhin nga k'úéntujín kju̱a̱ndaha̱ Nti̱a̱ná.
ACT.13.44	Xua̱tu̱ xinkuu̱ xi mjehé kama ñjakúyjee̱ xu̱ta̱ xi tjín yo̱ tu̱ xi ku̱a̱sínñjuhu̱ ra̱ éhe̱n Nti̱a̱ná. 
ACT.13.45	Tu̱nga nk'ie nga i̱ncha kikie já judio̱ xu̱ta̱ nkjiu̱n, 'yún kama nchi̱ni̱. Ngji kontra̱ha̱ ni xi tíb'éni̱jmí Pablo̱ ko̱ ch'on kitsúhu̱. 
ACT.13.46	A̱s'a̱i 'yún ndjá kinchja̱ sa Pablo̱ ko̱ Bernabe. B'i̱ i̱ncha kitsú:
ACT.13.46	—Kamachjéhe̱n nk'ie nga jun títjun kis'eni̱jmínu̱u éhe̱n Nti̱a̱ná, tu̱nga najmi tín'ekjáíhín ru̱u ée̱n. B'a̱ ts'ín tíbakuchjíhinu nga najmi tje̱he̱nnu̱u nga ku̱i̱ntsu̱ba̱ tík'un síún. Kui kju̱a̱ha nga tu̱ sahá xu̱ta̱ xi tjín a̱sunntee̱ kuankínk'ieni̱jmíhi̱ ri̱ nd'a̱i̱. 
ACT.13.47	A̱t'aha̱ b'i̱ kitsúni̱ Nti̱a̱ná nga y'éxáni̱:
ACT.13.47	Ji xi nkú joyaha nku nd'í
ACT.13.47	xi tsjaha̱ xu̱ta̱ xi tjín a̱sunntee̱,
ACT.13.47	tu̱ xi k'úínko̱honi én xi ts'ínk'ankihi̱ xu̱ta̱
ACT.13.47	santaha má fekuhu̱ a̱sunntee̱.
ACT.13.48	Nk'ie nga kint'é én xu'bi̱ xu̱ta̱ xi najmi ntje̱ judio̱ tje̱he̱n ra̱, kama tsjoho̱ ko̱ b'a̱ i̱ncha kitsú nga tjíhi̱n kju̱a̱chánka éhe̱n Nti̱a̱ná. Kis'ejihi̱n ni xi y'éni̱jmí Pablo̱ ngayjee̱ xu̱ta̱ xi ja j'ájin Nti̱a̱ná nga tjíhin nga k'úéntu tík'un sín.
ACT.13.49	Ngjindju éhe̱n Nti̱a̱ná nga kis'eni̱jmí ngayjee̱ a̱nte xu'bo̱. 
ACT.13.50	Tu̱nga já judio̱hó tsinchá'a jminchjín xi benkjún Nti̱a̱ná ko̱ xi nda behe̱ xu̱ta̱, ko̱ ta̱ tsinchá'a já k'aku̱hu̱ nankiu̱ xi má nga tsinchákjaha̱n. Kitsjennkí unkie Pablo̱ ko̱ Bernabe ko̱ kik'onsje nankihi̱.
ACT.13.51	A̱s'a̱i y'étsujne ndyjo tsu̱ku̱ Pablo̱ ko̱ Bernabe tu̱ xi tsakúchjihi nga najmi kui xi tjíhi̱n jé. A̱s'a̱i i̱ncha ngji nanki Iconi̱o̱. 
ACT.13.52	Xu̱ta̱ xi yjankihi̱ Jesu xi y'entu Antiokia̱, nanki xi tíjñajihi̱n Panfili̱a̱, kis'e ṉkjúhu̱n kju̱a̱tsjo ko̱ kitsejíhi̱n ra̱ Espiri̱tu̱ Santo̱.
ACT.14.1	Nk'ie nga jas'en Pablo̱ ko̱ Bernabe ni'ya sinagoga̱ha̱ xu̱ta̱ judio̱ xi tjín nanki Iconi̱o̱, i̱ncha y'éni̱jmí éhe̱n Nti̱a̱ná nga i̱xí nkjihín xu̱ta̱ judio̱ ko̱ xi najmi judio̱ kis'ejihi̱n ni xi tíi̱ncha b'éni̱jmí. 
ACT.14.2	Tu̱nga já judio̱ xi najmi s'ejihi̱n yáha Jesu tsinchákjaha̱n xu̱ta̱ xi najmi judio̱ xi má nga ch'on ts'ín ku̱a̱se̱he̱ já nts'eé.
ACT.14.3	Nkjin ni̱stjin ts'andayaha̱ Pablo̱ ko̱ Bernabe yo̱. I̱ncha behe̱ k'un nga Nda̱ Nti̱a̱ná Jesu tíbasinko̱ho̱ ko̱ ndjá kinchja̱ni̱jmíyaha kju̱a̱ndaha̱ Nda̱ Nti̱a̱ná. Kin'echjén jóo̱ nga kits'ín kju̱a̱nkjún ko̱ kama ni xi tsakúchji nga kju̱axi̱ én xi tínchja̱.
ACT.14.4	A̱s'a̱i tsakjánya yjoho̱ xu̱ta̱ na̱nti̱o̱. Tjín xi kamako̱ xu̱ta̱ judio̱ ko̱ tjín xi kamako̱ já postru̱. 
ACT.14.5	Já nankiu̱ ko̱ já judio̱ y'éndako̱ já tjíxóo̱ tu̱ xi ts'i̱ín'uhu̱n ra̱ ko̱ k'u̱éhe̱ ra̱ ndji̱o̱ já postru̱. 
ACT.14.6	Nk'ie nga kint'é já postru̱ niu̱, Listra̱ ko̱ Derbe̱ i̱ncha tsanka, nanki xi tjíntujíhi̱n a̱nte Licaoni̱a̱. Ko̱ ngji ya a̱nte xi tjíndai yo̱ 
ACT.14.7	má nga ta̱ i̱ncha y'éni̱jmí én nda tsuhu̱ Jesu.
ACT.14.8	Listra̱ y'ejña nku nda̱ ni̱ma̱ xi tu̱ b'a̱ ts'ín najmi mahá fi nkúhu nga kitsin. Kui xi y'ejña 
ACT.14.9	nga tsasínñjuhu̱ ni xi tínchja̱ Pablo̱. A̱s'a̱i Pablo̱ tsase'a ndo̱ ko̱ kikie nga s'ejihi̱n xi má nga ka̱manda. 
ACT.14.10	A̱s'a̱i b'i̱ kitsúhu̱ nga 'yún kinchja̱:
ACT.14.10	—Ti̱si̱njña kixi̱.
ACT.14.10	A̱s'a̱i i̱xí kikjennk'áhá ndo̱ ko̱ kikjatsú'ba. 
ACT.14.11	Nk'ie nga kikie xu̱to̱ ni xi kits'ín Pablo̱, b'i̱ i̱ncha kitsú nga i̱ncha kikjintáya nga én Licaoni̱a̱:
ACT.14.11	—Ja kaf'aijénjinná jo nti̱a̱. Yjonintehe̱ xu̱ta̱ i̱ncha kab'a.
ACT.14.12	B'a̱ i̱ncha kitsú nga Bernabe xi nti̱a̱ Zeu̱s ko̱ nga Pablo̱ xi nti̱a̱ Herme̱s, a̱t'aha̱ Pablo̱ xi tínchja̱. 
ACT.14.13	A̱s'a̱i nda̱ na̱'mi xi ts'ínxáha̱ nti̱a̱ Zeu̱s j'aiko̱ turu̱ ko̱ naxú tsjo k'un a̱nkju̱a̱ha̱ nankiu̱, má nga síjña ni̱nku̱hu̱ nti̱a̱ Zeu̱s. Nda̱ na̱'miu̱ ko̱ xu̱ta̱ na̱nti̱o̱ i̱ncha mjehe̱ tsjáha̱ chje̱ já postru̱. 
ACT.14.14	Tu̱nga nk'ie nga kamankjihi̱n Bernabe ko̱ Pablo̱ ni xi tímoo̱, kikjenti̱yajen najyuhu̱n ko̱ ki̱tsa̱ ngjijihi̱n xu̱ta̱ na̱nti̱o̱ nga i̱ncha kikjintáya nga 
ACT.14.15	b'i̱ i̱ncha kitsú:
ACT.14.15	—Jun já, ¿á b'a̱ tín'ehenu? Ta̱ xu̱ta̱ níi̱ xi nkúhu jun. Tíb'eni̱jmíi̱ a̱jinnu̱u nga tjíhin nga k'úéntu ni xu'bi̱ xi najmi chumi ni chjíhi̱ ra̱ ko̱ n'e̱kjóho̱on Nti̱a̱ xi tíjña tík'un. Kui xi kits'ínnda nk'a ján, t'anankiu̱, ntáchak'uu̱n ko̱ ngayjee̱ ni xi tjíhi̱n. 
ACT.14.16	Ni̱stjin nk'ie kitsjánte Nti̱a̱ná nga xu̱ta̱ xi tjín a̱sunntee̱ ts'i̱ín sin chá xi be. 
ACT.14.17	Tu̱nga tu̱ nkú kitsjáhá ra̱ xu̱ta̱ ni xi nda tu̱ xi tsakúchjihi yjoho̱. A̱t'aha̱ kui xi ts'ín nibáná ts'í ko̱ tsjáná cha̱n xi nda. Tsjáná nichine ko̱ ts'íntsehe ani̱ma̱ná kju̱a̱tsjo.
ACT.14.18	B'a̱ kitsú Pablo̱ ko̱ Bernabe. A̱s'a̱i tu̱ ni xí kis'enkihí ra̱ kju̱a̱ni̱ma̱ nga k'u̱éch'oho̱ xu̱ta̱ nga̱t'aha̱ chje̱ xi mjehe̱ tsjá.
ACT.14.19	A̱s'a̱i já judio̱ xi nibaha nanki Antiokia̱ ko̱ nanki Iconi̱o̱ j'ainchá'a xu̱ta̱ nkjiu̱n. I̱ncha y'éhe̱ ndji̱o̱ Pablo̱ ko̱ kikjebéfehe̱ na̱tsin na̱nti̱o̱. Ja ka'me i̱ncha kitsú. 
ACT.14.20	Tu̱nga nk'iehé nga kama ñjakúndaihi̱ Pablo̱ xu̱ta̱ xi yjankihi̱ Jesu, tsisintje̱n Pablo̱ ko̱ jas'en a̱jin na̱nti̱o̱. Ni̱stjin xi ma ndyjuu̱n ngjiko̱ Bernabe nanki Derbe̱.
ACT.14.21	Y'éni̱jmí Pablo̱ ko̱ Bernabe én nda tsuhu̱ Jesu nanki Derbe̱ ko̱ nkjin ṉkjún xu̱ta̱ xi tjín yo̱ kitsjennkíhi̱ Jesu. A̱s'a̱i kik'óya ngáha jóo̱ nanki Listra̱, Iconi̱o̱ ko̱ Antiokia̱. 
ACT.14.22	Nk'ie nga i̱ncha j'a yo̱, b'a̱ i̱ncha kitsúhu̱ xu̱ta̱ ni'yakuyóo̱ nga tjíhin nga k'úéntujín tehe̱nte ni xi s'ejihi̱n. B'i̱ kitsú yaha̱:
ACT.14.22	—Nkjin tíkjá kju̱a̱ni̱ma̱ bitjajiáán tu̱ xi bitjas'e̱njihinná nga Nti̱a̱ná xi batéxumaná.
ACT.14.23	Xki̱ ni̱nku̱ xi tjín nanki xu'bo̱ i̱ncha kinchja̱ko̱ Nti̱a̱ná ko̱ y'entu kjintíá, a̱s'a̱i y'ét'a xá já xi ku̱a̱se̱he̱ ni̱nku̱. Kits'ínkjas'en jóo̱ a̱ya ntsja Nti̱a̱ná a̱t'aha̱ kis'ejihi̱n Nti̱a̱ná.
ACT.14.24	A̱s'a̱i i̱ncha j'a Pablo̱ ko̱ Bernabe nanki xi tjín a̱nte Pisidi̱a̱ ko̱ i̱ncha j'ai a̱nte Panfili̱a̱. 
ACT.14.25	Nk'ie nga ja y'éni̱jmí éhe̱n Nti̱a̱ná nanki Perge̱, i̱ncha ngji nanki Atali̱a̱. 
ACT.14.26	Yo̱ jas'en nku tsutsu xi ngjiko̱ho̱ nanki Antiokia̱, yo̱ má nga kin'ekjas'en a̱ya ntsja Nti̱a̱ná nga tjuhu̱n ni tu̱ xi ku̱a̱si̱nko̱ho̱ ra̱ xá xi ts'i̱ín. J'ai yo̱ a̱t'aha̱ ja kama ndju̱ú xóo̱.
ACT.14.27	Nk'ie nga j'ai nanki Antiokia̱, kinchja̱ ñjakúhu̱ xu̱ta̱ ni̱nku̱ ko̱ kitsúyaha̱ ngayjee̱ ni xi kits'ínko̱ho̱ Nti̱a̱ná ko̱ xi nkú ts'ín Nti̱a̱ná kitsjántehe̱ xu̱ta̱ xi najmi ntje̱ judio̱ tje̱he̱n ra̱ xi má nga ko̱ kui s'e̱jihi̱n éhe̱n Nti̱a̱ná. 
ACT.14.28	Nkjin ni̱stjin ts'andayaha̱ Pablo̱ ko̱ Bernabe yo̱ nga y'entujíhi̱n xu̱ta̱ xi yjankihi̱ Jesu.
ACT.15.1	A̱s'a̱i tsichu nanki Antiokia̱ k'u̱a̱ já xi nibaha a̱nte Judea̱. Kui xi b'i̱ ts'ín tsakúyaha̱ xu̱ta̱ ni̱nku̱:
ACT.15.1	—Tsa najmi n'e̱nu̱u ni circuncision xi nkú ts'ín tíjña sin chá xi y'ét'aná Moise, najmi ka̱ma k'u̱a̱nkiu.
ACT.15.2	Kui nga Pablo̱ ko̱ Bernabe y'ésiko̱ho jóo̱. 'Yún kinchja̱ni̱jmíyako̱ho jóo̱ niu̱. Kui nga b'a̱ ts'ín i̱ncha y'éndako̱ho xinkjín xu̱ta̱ ni̱nku̱ nga Pablo̱ ko̱ Bernabe ko̱ k'u̱a̱ já ni̱nku̱ nanki Antiokia̱ i̱ncha ngju̱a̱i̱ nanki Jerusalen xi má nga ku̱i̱nchja̱ni̱jmíyako̱ho já postru̱ ko̱ jácháha̱ ni̱nku̱ nanki Jerusalen kju̱a̱sti xu'bi̱.
ACT.15.3	A̱s'a̱i tsitju já xi kits'ínkji xu̱ta̱ ni̱nku̱. I̱ncha j'a a̱nte Fenici̱a̱ ko̱ a̱nte Samari̱a̱ nga tíi̱ncha tsuya xi nkú ts'ín kits'ínk'óntjaiya yjoho̱ ko̱ kis'ejihi̱n Nti̱a̱ná xu̱ta̱ xi najmi ntje̱ judio̱ tje̱he̱n ra̱. Ngayjee̱ já nts'eé tu̱ xí tsjohó kamaha̱ nga kint'é én xu'bi̱.
ACT.15.4	Nk'ie nga i̱ncha j'ai nanki Jerusalen, xu̱ta̱ ni̱nku̱, já postru̱ ko̱ jácháha̱ ni̱nku̱ kits'ínkjáíhi̱n. A̱s'a̱i kitsúya jóo̱ ngayjee̱ ni xi kits'ínko̱ho̱ Nti̱a̱ná. 
ACT.15.5	Tu̱nga tsisintje̱hén k'u̱a̱ já fariseo̱ xi ja kis'ejihi̱n Jesu ko̱ b'i̱ i̱ncha kitsú:
ACT.15.5	—Xu̱ta̱ xi najmi ntje̱ judio̱ tje̱he̱n ra̱ tjíhin nga n'e̱he̱ ni circuncision ko̱ tjíhin nga s'e̱ni̱jmíhi̱ nga ts'i̱íntjusun kju̱a̱téxumaha̱ Moise.
ACT.15.6	A̱s'a̱i kama ñjakú já postru̱ ko̱ jácháha̱ ni̱nku̱ nga kinchja̱ni̱jmíyako̱ho xinkjín ni xu'bi̱. 
ACT.15.7	Nk'ie nga ja 'yún tse kinchja̱ni̱jmíyaha niu̱, a̱s'a̱i tsisintje̱n Pedro̱ ko̱ b'i̱ kitsú:
ACT.15.7	—Jun já nts'e, ja yo nga nd'a̱i j'ájihinna Nti̱a̱ná a̱jinnu̱u xi má nga an xínyaha̱ xu̱ta̱ xi najmi ntje̱ judio̱ tje̱he̱n ra̱ én nda tsuhu̱ Jesu tu̱ xi s'e̱jihi̱n ra̱. 
ACT.15.8	Nti̱a̱ná be ani̱ma̱ha̱ ngayjee̱ xu̱ta̱ ko̱ kui tsakúchji nga ta̱ kits'ínkjáíhi̱n xu̱ta̱ xu'bo̱ nk'ie nga kitsjáha̱ Espiri̱tu̱ Santo̱ xi nkú ts'ín kitsjáná. 
ACT.15.9	Najmi ngabi kits'ín Nti̱a̱ná a̱jihi̱n xu̱ta̱ xu'bo̱ ko̱ a̱jinná. Tu̱ sahá ta̱ kits'ín je ani̱ma̱ha̱ tu̱ nga̱t'aha̱ nga kis'ejihi̱n Jesu.
ACT.15.10	’Kui b'a̱ maha nd'a̱i̱, ¿á tíbankín kontra̱ha̱ ru̱u Nti̱a̱ná nga mjehe̱nu̱u n'e̱k'anjihinu xu̱ta̱ xi s'ejihi̱n ra̱ Jesu ch'á xi najmi tsichukju̱a̱ha̱ ra̱ ntje̱ cháná ko̱ xi ta̱ ndaha ñá najmi chúkju̱a̱ná nga ch'anjiá? 
ACT.15.11	S'ejin níná nga k'u̱a̱nkiá tu̱ nga̱t'aha̱ kju̱a̱ndaha̱ Nda̱ Nti̱a̱ná Jesu xi nkú ko̱ ta̱ ts'ín k'u̱a̱nki xu̱ta̱ xu'bo̱.
ACT.15.12	A̱s'a̱i kindyjanta ngayjee̱ xu̱ta̱ ko̱ tsasínñjuhu̱ ni xi kitsú Bernabe ko̱ Pablo̱, xi nkú ts'ín Nti̱a̱ná kitsjáha̱ nga'yún nga kits'ín a̱jihi̱n xu̱ta̱ xi najmi ntje̱ judio̱ tje̱he̱n ra̱ kju̱a̱nkjún ko̱ ni xi tsakúchji kju̱a̱chánkaha̱ Nti̱a̱ná. 
ACT.15.13	Nk'ie nga ja kamaha̱ nga i̱ncha kinchja̱ Bernabe ko̱ Pablo̱, b'i̱ kitsú Santiago̱ nga kinchja̱:
ACT.15.13	—Jun já nts'e, ta̱sinñjunú. 
ACT.15.14	Ja kuatsúyaná Simon xi nkú ts'ín Nti̱a̱ná kik'atuts'i̱hi̱n ra̱ nga kama ni̱ma̱ha̱ xu̱ta̱ xi najmi ntje̱ Israel tje̱he̱n ra̱ ko̱ j'ájin a̱jihi̱n xu̱ta̱ xu'bo̱ nku na̱xi̱nantá xi ta̱ ka̱ma ts'e̱. 
ACT.15.15	Ta̱ kui nii̱ xi kitsú já profeta̱ má nga b'i̱ ts'ín y'ét'a:
ACT.15.16	A̱skahan kjúái̱ ngáhana
ACT.15.16	ko̱ ts'inndáya ngáhana ni'yaha̱ David xi ja tsijneya.
ACT.15.16	Ts'inndáya ni xi tsatsuu̱n ko̱ kjesíntje̱n ngáhana,
ACT.15.17	tu̱ xi xu̱ta̱ xingisoo̱ ku̱a̱ngisjaihina,
ACT.15.17	ngayjee̱ xu̱ta̱ xi j'ajíán.
ACT.15.18	B'a̱ kitsú Nti̱a̱ná, kui xi y'éjña chji ni xu'bi̱
ACT.15.18	santaha nkúhu nú chá ján.
ACT.15.19	’Kui nga b'a̱ tíxihinna nga najmi tu̱ nchjá n'ehe̱ ra̱á ée̱n xu̱ta̱ xi najmi ntje̱ Israel tje̱he̱n ra̱ xi s'ejihi̱n Nti̱a̱ná. 
ACT.15.20	Tu̱ sahá n'e̱kjíhi̱í xu̱ju̱n nga b'a̱ k'úíhi̱ín nga najmi tu̱ kji̱ne̱ nichine xi chje̱ kik'a̱i̱hi̱ ra̱ nti̱a̱ xi ts'ínnda xu̱ta̱, nga najmi tu̱ katjantuko̱ jminchín nga najmi kje̱e bixan, nga najmi kji̱ne̱ yjoho̱ chu̱ xi nubantu, ko̱ nga najmi kji̱ne̱ jní. 
ACT.15.21	A̱t'aha̱ santaha nkúhu nk'ie tjín xi b'éni̱jmí kju̱a̱téxumaha̱ Moise xki̱ nanki nk'ie nga n'eya kju̱a̱téxumoo̱ xki̱ xua̱tu̱ ni'ya sinagoga̱.
ACT.15.22	A̱s'a̱i y'éndako̱ xinkjín já postru̱ ko̱ jácháha̱ ni̱nku̱ ko̱ ngayjee̱ xu̱ta̱ ni̱nku̱ nga kj'u̱ájin já xi ts'i̱ínkjiko̱ Pablo̱ ko̱ Bernabe nanki Antiokia̱. Y'ét'a xá Juda̱ xi ta̱ 'mi Barsaba ko̱ Sila̱. Já k'aku̱ a̱jihi̱n já nts'eé já xu'bi̱. 
ACT.15.23	B'i̱ tsu xu̱ju̱n xi kamanda:
ACT.15.23	“Ji̱n, já postru̱ ko̱ jácháha̱ ni̱nku̱ Jerusalen, tín'ekjíi̱hi̱ kju̱a̱suniña já nts'eé xi najmi ntje̱ judio̱ tje̱he̱n ra̱ xi tjíntu nanki Antiokia̱ ko̱ nanki xi tjíntujín a̱nte Siri̱a̱ ko̱ a̱nte Silici̱a̱.
ACT.15.24	’Kinu'yái̱ nga tjín k'u̱a̱ já xi e̱i̱ tsitjujihi̱nni̱, já xi najmi ji̱n y'exái̱. Kits'ín ntji̱nu̱u ni xi tsakúya jóo̱ ko̱ kits'ínndyjajinnu̱u xi nkú ts'ín s'ejinnu̱u. 
ACT.15.25	Kui nga tjínkuhu̱ni̱ nga y'ét'a xái̱ já xi tín'ekjíko̱i̱ Bernabe ko̱ Pablo̱. Kui xi tjoni̱ 
ACT.15.26	ko̱ kui xi ja kitsjáha̱ yjoho̱ nga tsa ku̱a̱yá nga̱t'aha̱ Nda̱ Nti̱a̱ná Jesucristo̱. 
ACT.15.27	Tín'ekjíi̱ Juda̱ ko̱ Sila̱, kui xi ku̱i̱nchja̱ko̱nu̱u nga ku̱i̱tsu̱yanu̱u ni xi y'endai̱.
ACT.15.28	’A̱t'aha̱ Espiri̱tu̱ Santo̱ ko̱ ji̱n b'a̱ mani̱ nga nda tjín nga tu̱ nkuhú ch'á xu'bi̱ xi n'e̱k'anjii̱hi̱, xi tjíhin nga n'e̱tjusun. 
ACT.15.29	Najmi tu̱ chino nichine xi chje̱ kik'a̱i̱hi̱ ra̱ nti̱a̱ xi ts'ínnda xu̱ta̱, ta̱ ndaha jní, ta̱ ndaha yjoho̱ chu̱ xi kinubantu, ko̱ najmi tu̱ suntuko̱ jminchjín nga najmi kje̱e bixon. Tsa k'úéntu t'axíún ni xu'bi̱, nda n'o̱o. Nda kat'enu̱u.”
