GEN.1.1	Muga na maki lobo ni rata, a Vure i rata rike a hunu a malala. 
MAT.23.34	I mavonga, ga rudu lakea ne mua e huriki a propet, e huriki a bakovi na lohokanga, e huriki a mari na vinara na lotu. Bara mu rabalaki ranga, mu paditata na kai tavalavala ranga. Bara mu lagu pololilo na roho na vaponga ranga, pali e huriki ranga bara mu lili lae ria na maka tanga. 
MAT.23.35	Na naro iea kunana bara mu rare na matenga ne huriki a bakovi malamala ni rabalaki, i vakatubu na bakovi malamala e Abel, i valai i harena ne Sakarias, e tune Berekia, ra mu rabalakia na roho na Vure, na kurukuruna tabeke ni gamai, a dede. 
MAT.23.36	A taki muholi mua, mua e huriki na tahuna mona bara mu bole a nimadihi, a vuhuna e huriki a bakovi nga ni rabalaki.
MAT.23.37	“Ierusalem, Ierusalem! Mu rabalaki e huriki a propet, mu rabalaki na kedo e huriki a rudu valai ne mua. Balaka kupo a ngaru ni kalipopo palupu mua, i manga a kinana kureko i kavitagu a maka tuna na karapana, ga matakari mua. Pali mu koi mua. 
MAT.23.38	A Vure i pea pali a roho ne mua. 
MAT.23.39	Ngane a taki mua, i uka ma mu gu matai tabu iau ge harena na parava mu gu ta maea, ‘Si gi kavurikea a viri i valai na rane Bakovi Dagi.’ ”
MAT.24.2	Lakea e Isu i koli, i ta maea, “Ra maka roho nga, a taki muholi mua, i uka tara kedo ge tabuli langa vona a kedo tara. A kedo lobo bara ni ubi puka puru.”
MAT.24.3	Na tahuna e Isu i mamade na lolo e Oliva, e huriki a murimuri vona ri valai kapiloho vona, ri nanea, “Ra maki nga, garika ri gi bele? Ge mata navai a kilakila muga ne ioe go bele, muga na nilobona parava?”
MAT.24.4	E Isu i koli, i ta maea, “Mu mamata, nahea tara viri ge tami mua. 
MAT.24.5	E huriki ala kupo bara ri valai na ragu, bara ri tami e huriki, ri ta maea, ‘Iau e Kristo.’ Lakea bara ri tami e huriki ala kupo. 
MAT.24.6	Bara mu longo a ngava na vabinga, a nita viliha na vabinga. Pali naha ni turutu. A maki nga bara ri bele, pali a nilobona parava i tabana. 
MAT.24.7	E huriki a kabu na robo tara bara ri vaubi turana kabu na robo tara. E huriki a tara na hariki tara bara ri vaubi turana tara na hariki tara. A pago, a vuruke bara ri bele na tabeke legelege. 
MAT.24.8	Ra maki nga bara ri bele muga, i manga a nimadihi na ngatavine i pahea a koma.
MAT.24.10	Muri e huriki ala kupo bara ri lohopile iau, ri vatepu, ri vahabi ria na limana pile. 
MAT.24.11	E huriki a nitamina propet ala kupo bara ri bele, ri tami e huriki. 
MAT.24.12	E huriki ala kupo bara ri lobo ni vangaru, a vuhuna e huriki ala kupo bara ri longotaro a vinara. 
MAT.24.13	Pali e rei i pesi tora ge harena na parava i mate vona, a Vure bara i korimulea. 
MAT.24.14	A Velenga Kamumu na harikianga bara ni vakalongo taro na tanga lobo na malala. Muri bara i bele a nilobona parava.
MAT.24.16	Na tahuna mu masia a maki iea ge bele, mu ha. E huriki ri made o Iudea ri gi ha sike na lolo. 
MAT.24.17	E rei a viri i pesi polomeli na mapana roho vona, nahea ge dili na ruma ge bole a maki vona. Ge ha pa kunana. 
MAT.24.18	E rei a viri i leho na hania, nahea ge hamule na tanga ge bole a varakia vona. Ge ha pa kunana. 
MAT.24.19	E huriki a ngatavine ri singou, e huriki a ngatavine ri vakaruru a koma kiroko, bara ri marego hateka na parava iea! 
MAT.24.20	Mu vasileki nahea ge bele a maki iea na tahuna na malangia o na Parava Nimalo.
MAT.24.22	Bara a Vure i uka ma ge vakakapo a parava nga, e huriki lobo bara ri mate. Pali a Vure bara i vakakapo ria, ge korimule e huriki a bakovi a ngatavine i vulaki ria. 
MAT.24.23	I mavonga, nahea mu gu longo mai e huriki a bakovi ri ta maea, ‘Mata valai! E Kristo ia koea,’ o ‘Mata lakea! E Kristo ia lake!’ Naha ni longo mai ria, 
MAT.24.24	a vuhuna e huriki a nitamine kristo, a nitamina propet bara ri bele, ri rata a maka nivakasiri dagi, a maki dagi ni turutu vona, ri ngaru ni tami e huriki. Bara i kara ria, bara ri tami tabu e huriki a bakovi a ngatavine a Vure i vulaki ria. 
MAT.24.25	Mu longo kamumu. Iau a vakalongo muga mua pali. 
MAT.24.26	I mavonga, na tahuna ri taki mua, ‘Oi! Ia lilo na robo!’ naha ni dili mai ia. O a viri tara ge ta maea, ‘Oi! I made kapiloho lilo!’ naha ni longo mai ia. 
MAT.24.27	Na tahuna a Tuna Bakovi ge valai, bara i luve kavakava manga a vila. A vila i maravila na nirike na haro, i para lobo vona a hini i lakea na nirolona haro. 
MAT.24.28	Na hini i tabuli vona a podana viri, a maka pangopangokaba bara ri vapopo.
MAT.24.30	Muri a kilakila na Tuna Bakovi bara i bele na hunu. E huriki a kabu lobo na malala bara ri tangi. Muri bara ri masia a Tuna Bakovi i pesi langa na bubu, i puru valai na hunu turana nitora, a nipara dagi. 
MAT.24.31	Muri a tavure bara i tangi dagi na tahuna i rudu e huriki a agelo vona ri gi bole sike palupu na tabeke lobo na malala e huriki a bakovi a ngatavine i vulaki ria. Bara ri bole ria na tabeke lobo, i vakatubu na tabeke tara na malala, i vano i lakea na tabekena tara.
MAT.24.32	“Mu bole a lohokanga vona a kai a balele. Na tahuna i tahoka a totona a rahana, i lubu a pagana, bara mu pasi­mata vona a tahuna na haro i tabukoi. 
MAT.24.33	I mavonga kunana na tahuna mu matai a maki nga ri bele, bara mu lohoka vona a Tuna Bakovi i valai tabukoi hateka pali. 
MAT.24.34	A taki muholi mua, e huriki a bakovi a ngatavine na tahuna iea i uka ma ri gi mate ma, bara i bele taro a maka maki nga. 
MAT.24.35	A hunu a malala bara ru lobo, pali a nitagu bara i tabuli vakaroro.
MAT.24.37	A niluve na Tuna Bakovi bara i manga kunana a niluve na marungulolo hosi na tahuna e Noa i made na malala. 
MAT.24.38	Muga na marungulolo e huriki ri kani, ri ninu, ri vaparangi, i vano i harena na tahuna e Noa i dili na agarungu. 
MAT.24.39	Ri made manga manga kunana, muri a marungulolo i bele vakaturutu, ria lobo ri mate. Bara i mavonga kunana na tahuna a Tuna Bakovi i valai. 
MAT.24.40	Na parava iea, a bakovi ala rua bara ru leho na hania. A viri tara bara ni bole. A viri tara bara i made mule. 
MAT.24.41	A ngatavine ala rua bara ru ubi momo a vit, ru gu rata a bret vona. A viri tara bara ni bole. A viri tara bara i made mule. 
MAT.24.42	I mavonga mu mamata, a vuhuna i uka ma mu lohoka vona a parava ge valai vona e Bakovi Dagi. 
MAT.24.43	Mu luhoia a ngava iea: A tahona ruma bara i lohoka vona a ra kilala ge valai vona a bakovi ni panaho, bara i matapara mavonga, i uka tara viri ge pukea a ruma vona. 
MAT.24.44	I mavonga kunana mu matapara, a vuhuna a Tuna Bakovi bara i valai vakaturutu. Bara i valai na tahuna i uka ma mu luhoi ge valai vona.
MAT.24.45	“E rei ngane ge ia a voravora ge moro, ge rata kamumu a leho lobo a bakovi dagi vona i takia ge rata? A bakovi dagi vona bara i takia ge matakari e huriki a vora ranga, ge habi ne ria a maki ni kani na parava vakaroro. 
MAT.24.46	Muri, na tahuna a bakovi dagi i hamule valai, i masia a bolekori iea i rata kamumu a leho vona, bara i rata kamumu hatekea. 
MAT.24.47	A taki muholi mua, bara i ru ia ge matakari a mahala lobo vona. 
MAT.24.48	Pali a vora iea bara ia a bakovi hale, bara i taki mulea, i ta maea, ‘A bakovi dagi nau i uka ma ge valai malaviriri.’ 
MAT.24.49	Lakea i vakatubu ni ubi e huriki a vora turana, i kani i ninu turana e huriki a bakovi ni ninu. 
MAT.24.50	Ra bakovi dagi vona, bara i valai vakaturutu na parava a vora i pahaluhoi ta i uka ma ge valai vona. Bara i luve na kilala a vora i pahadaki ta i uka ma ge luve vona. 
MAT.24.51	Lakea a bakovi dagi bara i tolo pilea ra vora iea. Muri bara i ru turane huriki a tabele rua. Ra tanga iea, e huriki bara ri tangi, i vaheri mavonga a ngine ria, a vuhuna i madihi a hatene ria.
MAT.25.2	A sirula ala lima ri manga manga, pali a sirula ala lima ri lohoka. 
MAT.25.3	E huriki a sirula manga manga ri bole a lam, pali i uka ma ri bole a karasin. 
MAT.25.4	E huriki a sirula ri lohoka ri guru na ulo a lingena karasin, ri bole turana lam ne ria. 
MAT.25.5	A bakovi i parangi karaba i uka ma i valai malaviriri, lakea e huriki a sirula ri matatulu, ri mahita. 
MAT.25.6	Na kuru rodo ngane, a bakovi tara i gale tala, i ta maea, ‘A bakovi i parangi karaba i valai ngane! Mu valai mu tagui ia!’
MAT.25.7	“Lakea ri hadongo, ri kisi a lam ne ria. 
MAT.25.8	E huriki a sirula manga manga ri nongi a karasin ne huriki a sirula lohoka, ri ta maea, ‘Mu habi ne mia ranga karasin. I para hoho a lam ne mia.’
MAT.25.9	“Pali ri koli ria, ri ta maea, ‘I uka. A karasin i uka ma i kara hita lobo. Mu vano mu lakea ne huriki ri habi a karasin, mu kona ranga ge ne mua.’
MAT.25.14	“Mu mamata, a vuhuna na tahuna a Tuna Bakovi ge hamule valai, bara i manga a bakovi tara i havai. I gale palupu e huriki a vora vona, i vakasiri tou vona a mahala vona to go matakari. 
MAT.25.15	I vaveru ne tou a moni, i muri mai a lohokanga ne tou. I habi na vora tara moni gol i 5,000. I habi na vora tara moni gol i 2,000. I habi na viri tara moni gol i 1,000. Muri i vano, i havai. 
MAT.25.16	A viri i bole a moni gol i 5,000 i vano, i rata a leho vona, i vakabele tabu a moni gol i 5,000. 
MAT.25.17	A viri i bole a moni gol i 2,000 i vano, i rata a leho vona, i vakabele tabu a moni gol i 2,000. 
MAT.25.18	Pali a viri i bole a moni gol i 1,000 i keli a malala, i tanu vonga a moni na bakovi dagi vona.
MAT.25.19	“I tabaka ngane, a bakovi dagi i hamule valai, i pelekado turane tou a moni i habi ne tou muga. 
MAT.25.20	A vora i habi a moni gol i 5,000 vona i bole valai tabu a moni i 5,000, i ta maea, ‘Bakovi dagi. Ra moni i 5,000 o habi nau, ngane a vakabele tabu a moni i 5,000.’
MAT.25.22	“A vora i bole a moni i 2,000, ia tara i valai, i ta maea, ‘Bakovi dagi, ra moni i 2,000 o habi nau, a vakabele tabu a moni i 2,000.’
MAT.25.23	“Lakea a bakovi dagi i koli, i ta maea, ‘Kamumu hateka. Ioe a vora kamumu. O rata kamumu vakaroro a leho lobo a habi vomu! Ngane go matakari a maki ge kupo, a vuhuna o matakari kamumu a leho kiroko iea. O valai o vivi turagu!’
MAT.25.24	“Muri a vora i bole a moni i 1,000 i valai, i ta maea, ‘Bakovi dagi, a lohoka vomu ioe a bakovi hateka. O mirio na hania i varo e huriki ranga. 
MAT.25.25	Lakea a mangenge, a kelia a malala, a tanu vonga a moni vomu i 1,000. O mata valai, a moni vomu nga.’
MAT.25.26	“A bakovi dagi i koli, i ta maea, ‘Ioe a vora hale, ioe a malai! O lohoka vona iau a mirio na hania i varoa e huriki ranga. 
MAT.25.27	Pali i navai i uka ma o ru dili na roho na tava a moni nau? Na tahuna a hamule valai, bara bole mule turana a moni ranga ni ru langa tabu vona.
MAT.25.28	“Muri a bakovi dagi i ta maea, ‘Mu bole mulea vona a moni i 1,000, mu habi na viri i tahoka a moni i 10,000. 
MAT.25.29	Mu rata mavonga, a vuhuna a viri i tahoka a maki pali bara ni habi tabu ranga, ge tahoka a maki i kupo. Pali e rei a viri i uka ma i tahoka a maki, a maki popote vona i tahoka pali bara ni bole hamule vona. 
MAT.25.30	Mu bolea a vora hale iea, mu voro talea na uvo. Ra hini nga, e huriki ri gi haloho, i vaheri mavonga a ngine ria, a vuhuna i madihi a hatene ria.’
MAT.25.32	E huriki na tanga lobo bara ri pesi na matana. Bara i vakalipida e huriki na tara i rua, i manga a matakari na sipsip i vakalipida a maka sipsip, a meme. 
MAT.25.33	Bara i ru na limana a kanena e huriki a sipsip. Bara i ru na limana a maurina e huriki a meme. 
MAT.25.34	Muri a Hariki bara i taki e huriki ri pesi na limana a kanena, ‘Mu valai, mua e huriki e Tata i vakabagetu mua. Mu bolea a harikianga, ra ni rata puru ne mua na tahuna i ratarike a hunu a malala. 
MAT.25.35	Mu bolea a harikianga, a vuhuna hosi na tahuna a vitolo mu habi a maki ni kani nau. Na tahuna a marohu mu habi a naru nau. Na tahuna iau a mosi mu tagui iau. 
MAT.25.36	Na tahuna a uka maki ni rodo, mu habi a varakia nau. Na tahuna a giloa mu matakari iau. Na tahuna a dili na bavi mu valai mu gosi iau.’
MAT.25.37	“Muri e huriki a bakovi a ngatavine malamala bara ri nanea, ‘Bakovi Dagi, garika mi matai ioe o vitolo mi vakani ioe? Garika o marohu mi habi a naru vomu? 
MAT.25.38	Garika mi matai ioe o made manga mosi mi tagui ioe? Garika mi matai ioe o uka a varakia, mi habi a varakia vomu? 
MAT.25.39	Garika mi matai ioe o giloa, o dili na bavi mi vano mi gosi ioe?’
MAT.25.42	Hosi na tahuna a vitolo i uka ma mu vakani iau. Na tahuna a marohu i uka ma mu habi a naru nau. 
MAT.25.43	Na tahuna iau a mosi, i uka ma mu tagui iau. Na tahuna a uka varakia i uka ma mu habi a varakia nau, ga rodo. Na tahuna a giloa, a dili na bavi i uka ma mu gosi iau.’
MAT.25.44	“Muri ria ranga bara ri nanea, ‘Bakovi Dagi, garika mi matai ioe o vitolo, o marohu, o uka murina ni mahita, o uka varakia, o giloa o dili na bavi, lakea i uka ma mi kori ioe?’
MAT.25.45	“E Bakovi Dagi bara i koli, i ta maea, ‘A taki muholi mua, a maki i uka ma mu rata virihi e huriki a turagu matasia vona, i uka mu rata virihi iau vona.’
MAT.26.1	E Isu i taki lobo a ngava nga, muri i taki e huriki a murimuri vona, i ta maea, 
MAT.26.2	 “Mu lohoka vona a Habu na Nipagepolo bara i bele muri na parava i rua. Na parava iea a Tuna Bakovi bara ni habi na limane huriki a pile. Muri bara ri paditatea na kai tavalavala.”
MAT.26.3	Na tahuna iea e huriki a prister dagi, e huriki a gare ri vapopo na roho dagi na prister dagi tara, a rana e Kaipas. 
MAT.26.4	Ri varodo a ngava ri gi lakavu kapilohoa e Isu, ri gi rabalakia. 
MAT.26.5	Lakea ri ta maea, “Nahea si gi ratea na habu ra naro iea, ma ge vaubi e huriki.”
MAT.26.6	E Isu i made o Betani, na ruma e Simon, ra bakovi hosi i ratapilea a patala. 
MAT.26.7	E Isu i made na dede, lakea a ngatavine tara i valai vona, i bolea a ulo ni rata na kedo a alabasta. A ulo i vona a nibiri mangisipa ni kona na moni dagi. I guru langea na gine Isu.
MAT.26.8	Na tahuna e huriki a murimuri ri masia a ngatavine i rata mavonga, ri kanikaha, ri ta maea, “I navai i guru tavulea a mangisipa iea? 
MAT.26.9	Ra mangisipa iea, bara ni habi na viri tara, bara i konea na moni dagi, lakea a moni bara ni habi ne huriki a matasia.”
MAT.26.10	Pali e Isu i lohoka vona a nitane ria, lakea i taki ria, “I navai mu padimomoa a ngatavine iea? A naro i ratea nau i kamumu hateka. 
MAT.26.11	E huriki a matasia bara ri made vakaroro turane mua. Pali iau i uka ma ga made vakaroro turane mua. 
MAT.26.12	Na tahuna i guru a mangisipa langa na gigu, i kisi puru iau, bara ni tanu. 
MAT.26.13	A taki muholi mua, na tanga lobo na malala ni vara vona a Velenga Kamumu muri ma, a naro i ratea a ngatavine iea bara ni vakalongo, e huriki ri gi luhoi mule ia.”
MAT.26.14	Muri e Iudas Iskariot, ra turane huriki a murimuri ala ravulu a polona i rua, i lakea ne huriki a prister dagi, 
MAT.26.15	i ta maea, “Iau ga habia na limane mua e Isu, pali a ra maki mu gu habia nau?” Lakea ri konea na moni silva i ravulu tolu (30). 
MAT.26.16	I vakatubu vonga e Iudas i virokanea a dala ge habia e Isu na limane huriki a pile.
MAT.26.18	E Isu i koli, i ta maea, “Mu dili na tanga dagi, mu masia a bakovi tara. Mu takia, ‘A mari ni tovo i ta maea, a parava nau i valai tabukoi. Ga ratea a Habu na Nipagepolo na ruma vomu turana e huriki a murimuri nau.’ ” 
MAT.26.19	Lakea e huriki a murimuri ri muri mai a ngavane Isu, ri vano ri rata puru a maki ni kani na Habu na Nipagepolo.
MAT.26.20	Na rodo i made na dede turana e huriki a murimuri ala ravulu a polona i rua, ri kani. 
MAT.26.21	Na tahuna ri kakani, e Isu i taki ria, “A taki muholi mua, a viri tara ne mua bara i habi iau na limane huriki a pile.”
MAT.26.22	Ri longoa a ngava iea, ri dodo. Lakea ria takutaku ri nanea, “Bakovi Dagi, ma ge iau?”
MAT.26.24	A Tuna Bakovi bara i mate, i manga a nita ni here puru hosi. Pali ra bakovi i habia na limane huriki a pile, a Vure bara i ratapilea! Bara i kamumu hateka e kinana i uka ma ge podea hosi.”
MAT.26.25	Muri e Iudas, ra viri bara i habia e Isu ne huriki a pile, i ta maea, “Mari ni tovo, ma ge iau?”
MAT.26.25	E Isu i koli i ta maea, “I manga a hini o taki.”
MAT.26.26	Na tahuna ri kakani, e Isu i bolea a bret, i kavurikea a Vure, i kevea, i habi ne huriki a murimuri, i ta maea, “A bret iea a bobogu. Mu bolea, mu kania.”
MAT.26.27	Muri i bole rikea a kap na vain, i kavurikea a Vure. I habia ne ria, i ta maea, “Mua lobo mu ninu vona, 
MAT.26.28	a vuhuna a vain iea a daragu, ge pori nau ne vona ni vakatorea a ngava muholi a Vure i rata karaba turane huriki. Ge pori ne vona ni puga vuroki a naro hale ne huriki ala kupo. 
MAT.26.29	A taki mua, iau i uka ma ga ninu tabu a vain, bara i vano i harena na parava a ninu a vain karaba turane mua na harikianga ne Tata.”
MAT.26.31	‘Ga rabalakia a matakari na sipsip,
MAT.26.31	bara ri ha viliha a maka sipsip.’
MAT.26.33	Lakea e Petrus i koli, i ta maea, “E huriki lobo bara ri matai a maki i bele vomu, bara ri ha. Pali iau i uka ma ga ha.”
MAT.26.35	E Petrus i koli, i ta maea, “Iau i uka ma ga nana rovi ioe. Bara mate turamu!” E huriki a murimuri lobo, ria ranga ri ta mavonga.
MAT.26.36	E Isu i tuli e huriki a murimuri vona, ri lakea na tabeke ni gale e Getsemani. Na tahuna ri bele, i taki ria, “Mu made koea mu dava iau. Ga lakea taro, ga vasileki.” 
MAT.26.37	I tuli kunana e Petrus, e tune Sebedi ala rua. E Isu i vakatubu ni dodo, ni luhoi lege, 
MAT.26.38	lakea i taki tou, “Iau a dodo hateka, a nidodo i popote ge rata iau ga mate. Moto made koea, moto matapara, moto mamata turagu.”
MAT.26.39	I laho lokovonga popote i tabuli ngala­tudu, i vasileki, “O Tata, ioe bara o ngaru, o bole vurokia nau a nimadihi dagi iea ta ge valai. Pali naha ni ramai a ningaru nau. O ramai kunana a ningaru vomu.”
MAT.26.40	Muri i hamule mai a murimuri vona, i matai tou to mahita, lakea i nanea e Petrus, “Ra matou, moto keri ni matapara turagu na kilala i taku kunana? 
MAT.26.41	Moto mamata, moto vasileki, ma moto go dili na nitoni. A hatene matou i ngaru ni ratea, pali a kakaine matou i uka ma i gao.”
MAT.26.42	Lakea i vano i vasileki tabu, i ta maea, “O Tata, ra nimadihi iea, o masia i uka ma ge polo tavula, bara kalohoa. A ningaru vomu.”
MAT.26.43	Muri i hamule mai tou, i matai tou to mahita tabu, a vuhuna to matatulu. 
MAT.26.44	I mavonga i pe kunana tou, i vano i vasileki tabu, i manga a nivasileki vona muga.
MAT.26.45	Muri i hamule lakea na murimuri vona, i taki tou, “Ra matou, moto tabana ni mahita, ni malo? Moto longo valai! A kilala i valai tabukoi pali. A Tuna Bakovi bara ni habi na limane huriki a bakovi hale. 
MAT.26.46	Moto pesi rike te ge vano! A viri ge habi iau na limana pile i valai ngane!”
MAT.26.47	E Isu i tabana ni ta, e Iudas, ra turana murimuri i ala ravulu a polona i rua, i bele. E huriki a prister dagi, e huriki a gare ne Israel ri rudu turane Iudas a bakovi ala kupo. Ria lobo ri nugu a lebo, a bainat. 
MAT.26.48	Ra bakovi hale iea, ta ge habia e Isu na limane huriki a pile i taki puru ri gi matakilala navia e Isu, i ta maea, “A viri mu masia ga ngurua, ra bakovi iea kunana. Mu lakavua.” 
MAT.26.49	 I mavonga, i malaviriri kunana e Iudas i lakea ne Isu, i ta maea, “Mari ni tovo, a rodo!” Muri i ngurua.
MAT.26.50	E Isu i koli i ta maea, “Turagu, o ratea a maki o valai vona.” Lakea e huriki a bakovi ri lakavua. 
MAT.26.51	Ngane a bakovi tara i laho turane Isu i lalu talea a bainat vona, i voro, i palakudua a talingana vora na prister dagi.
MAT.26.53	Iau bara ngaru, bara takia e Tata, bara i rudu valai a tara bulolo ne huriki a agelo, ri gi kori iau. 
MAT.26.54	Pali i uka ma ga rata mavonga, a vuhuna bara rata mavonga, ge bele muholi navai a ngava ni here puru na Hinere?”
MAT.26.56	Pali a maka naro nga ri bele ge bele muholi a ngava i here puru e huriki a propet.” E Isu i ta lobo, muri e huriki a murimuri ri ha taroa.
MAT.26.57	E huriki ri lakavua e Isu ri turaria lakea ne Kaipas, a prister dagi. E huriki a mari na vinara na lotu, e huriki a gare ne huriki a Israel ri vapopo pali vonga. 
MAT.26.58	E Petrus i muri gosi basi popote vona, i lakea liu na mataruma na prister dagi. I dili pololilo, i made puru turane huriki a tagari, ge masia ri gi rata navia.
MAT.26.59	E huriki a prister dagi turane huriki a tara na kot ne huriki a Iuda ri matakana a nitamina ngava ri gi padi virihia e Isu vona, ri gi rabalakia. 
MAT.26.60	E huriki ala kupo ri valai ri rata a nitamina ngava, pali i uka ma ri matavisia tara ngava ge kamumu.
MAT.26.60	Muri a bakovi ala rua ru valai, 
MAT.26.61	ru pukatala a ngava, ru ta maea, “Ra bakovi iea i ta maea, ‘I kara iau ga pukea a roho na Vure, muri ga hae mulea na parava i tolu kunana.’ ”
MAT.26.62	Lakea a prister dagi i pesi rike, i ta maea, “I navai i uka ma o taratoto? O luhoi navai vona a ngava ni padi virihi ioe vona?” 
MAT.26.63	Pali e Isu i vulai mavonga. Lakea a prister dagi i nanea, “A taki ioe na rana Vure Mahuri, o vakalongo mia ngane, ioe e Kristo, a Tuna Vure?”
MAT.26.66	Mu luhoi navai?”
MAT.26.66	Ri koli, ri ta maea, “Ge mate.”
MAT.26.68	ri ta maea, “Kristo, o ta propet ne mia ngane, e rei a viri i ubi ioe?”
MAT.26.69	E Petrus i made polovavo na mata­ruma. A vora ngatavine tara i valai maia, i takia, “Ioe tara o turane Isu, ra bakovi o Galili.”
MAT.26.70	Pali i lavuni na matane ria lobo, i ta maea, “Iau i uka ma lohoka vona a ngava o takikia.”
MAT.26.71	Muri e Petrus i vuru tala na logo, lakea a vora ngatavine tara i masia, i taki e huriki ri mamade vonga, “Ra bakovi iea i laho turane Isu, ra bakovi o Nasaret.”
MAT.26.72	I lavuni tabu, i kaba, i ta maea, “Iau i uka ma lohoka vona a bakovi iea!”
MAT.26.73	I uka ma i tabaka hateka, e huriki ri pepesi vonga ri takia e Petrus, ri ta maea, “Muholi hateka, ioe a turane ria. Mi longokilalea a tabelemu.”
MAT.26.74	Pali ngane e Petrus i taba rike na maki hale tara ge ratapilea, i kaba, i ta maea, “Iau i uka ma lohoka vona a bakovi iea!”
MAT.26.74	Malaviriri kunana a kureko i tangi. 
MAT.26.75	Lakea e Petrus i longovisi a ngava e Isu i takia vona, “Muga na kureko ge tangi barama, bara o nana rovi iau balaka tolu.” Muri i pagitala i kilu, i upu rike a nangi, i tangi.
MAT.27.1	Na hatelanga pokopoko e huriki a prister dagi, e huriki a gare ri valongo mai a ngava ri gi rabalakia e Isu. 
MAT.27.2	Muri ri kolotatea, ri turaria lakea ne Pilato, ra bakovi i matakari a tabeke iea.
MAT.27.3	Na tahuna e Iudas, ra viri i habia e Isu na limane huriki a pile, i masia ri gi rabalakia e Isu, i kilu vona a naro i ratea, lakea i habi mule ne huriki a prister dagi, a gare, a silva i ravulu tolu. 
MAT.27.4	I taki ria, “A rata a naro hale. Ra viri a habia ne mua, a bakovi malamala.” Pali ri koli, ri ta maea, “A maki vomu.”
MAT.27.6	E huriki a prister dagi ri poi mule a moni, ri ta maea, “Ra moni iea, a mapana bakovi ni rabalaki. A vinara i taki i uka ma ge dili na tava na roho na Vure.” 
MAT.27.7	Lakea ri valongo mai a ngava, ri bole a moni iea, ri konea a malala na mari ni ratana ulo, ge a murina ni tanu a podane huriki a mosi ri mate. 
MAT.27.8	I mavonga ni gale liu a malala iea, “A Malala na Dara.” 
MAT.27.9	Ngane a nita hosi na propet e Ieremaia i bele muholi. Ra ngava iea i maea, “Ri bole a moni silva i ravulu tolu, ra mapana nimate na viri e huriki e tune Israel ri ngarua ge mate. 
MAT.27.10	Ri bolea a moni iea, ri konea a malala na mari ni rata a ulo, i manga a hini e Bakovi Dagi i taki iau vona.”
MAT.27.11	E Isu i pesi na matane Pilato, lakea a matakari i nanea, “Ra ioe, i muholi ioe a hariki ne huriki a Iuda?”
MAT.27.11	E Isu i koli i ta maea, “A ngava o takia pali.”
MAT.27.13	Muri e Pilato i nanea, “Ra maka ngava ni padi virihi ioe vona, o longo?” 
MAT.27.14	Pali e Isu i uka ma i taratoto. Lakea e Pilato i turutu hateka vona.
MAT.27.15	Na pida lobo na parava na habu, a matakari bara i nana e huriki ne rei a bakovi ge vakapagetala tavulea na bavi. 
MAT.27.16	Na tahuna iea i tahoka tara bakovi hale i made na bavi, a rana e Barabas. E huriki lobo ri lohoka vona. 
MAT.27.17	Na tahuna e huriki ri vapopo na ruma ne Pilato, i nana ria, “E rei a viri mu ngarua ga vakapagetalea na bavi? E Barabas, o e Isu, ra bakovi ni gale e Kristo?” 
MAT.27.18	E Pilato i nana ria, a vuhuna i lohoka vona ri turari vilia vona a vuhuna i madihi a hatene ria vona a hini e Isu i rangi ria.
MAT.27.19	Pali e Pilato tara i mangenge, a vuhuna na tahuna e Isu i pesi na matana, e girihina i talo rike a ngava vona, i ta maea, “Naha ni ratea tara maki na bakovi malamala iea, a vuhuna a bole a nima­dihi dagi mona na tahuna a masia baroko na vuregu.”
MAT.27.20	Pali e huriki a prister dagi, a gare ri voro dili a ngava ne huriki ri gi ta hinituhana vona e Barabas ge pagitala, pali e Isu ni gi rabalaki.
MAT.27.21	Lakea a matakari i nana ria, “E rei ne rua ga vakapagetalea na bavi? E Barabas o e Isu?”
MAT.27.21	Ri koli ria ri ta maea, “E Barabas.”
MAT.27.22	E Pilato i nana tabu, “Pali ga rata navia ngane e Isu, ra ni gale e Kristo?”
MAT.27.22	Ria lobo ri koli, ri ta maea, “Ni gi paditata na kai tavalavala!”
MAT.27.23	E Pilato i nana ria, “I navai ge mavonga? A ra rabu hale i ratea?” Pali ri gale dagi hateka, ri ta maea, “Ni gi paditata na kai tavalavala!”
MAT.27.26	Muri i vakapagetalea e Barabas, i taki e huriki a nugumaheto ri gi lagua e Isu, ri gi paditatea na kai tavalavala.
MAT.27.27	Muri e huriki a nugumaheto ne Pilato ri turaria e Isu i lakea na roho ne ria, lakea a tara lobo na nugumaheto ri vapopo na ngalana. 
MAT.27.28	Ri kali tala a varakia vona ri vakarodoa vona a varakia kuakua. 
MAT.27.29	Ri padiviri a barakau i manga a tama hariki, ri vakakubea na gina. Ri vakabolea vona a kodo hariki, ri turume puru na ngalana, ri padikedea ri ta maea, “Ge made vakaroro a hariki ne huriki a Iuda!” 
MAT.27.30	Ri kalupe tahoa, ri bole mulea a kodo, ri ubi balaka kupo a gina. 
MAT.27.31	Ri padikedea, muri ri kali talea a varakia, ra ri vakarodoa vona. Muri ri vakarodo tabu vona a varakia vona. Muri ri turari talea ni gi paditata na kai tavalavala.
MAT.27.32	Na tahuna ri pagitala, ri vakorokoro a bakovi o Sirene, a rana e Simon. Ri vakukua ge kaloho poloa a kai tavalavala ne Isu. 
MAT.27.33	Ri bele na tabeke ni gale e Golgota. A rana tanga iea, ni vunu muri mai a tuhana gina bakovi. 
