GEN.1.1	Paphibangga, Tingwang niu ting-kadih damsubo tingga,
ISA.5.29	Paliu rimaidung haira ndongquiniu, wakhao tu kamshat lujiu paliu khugasu mai khatniudi sutmi makra ponlujiu marung kabam kumme.
ISA.5.30	Sibo tingmik wangboga, Israel mai riga, duipui khuan katanbo kumjiu, paliuniu senjiu kahuwang sune. Phuilo haibo dih hai! Tamiubo nai chunsabo ronna-e! Kabenbo situ tamiubo siniu kajong lude.
ISA.6.2	Pawan jengga benjiu bambo khaoringdung siniu chap magui bamme, sibo khaoring hinase pakan charuk-ruk phung kamme. Khaoringdungse paliu kan nianiu paliu zu tomme, khatdi kan nianiu paliu pum tomme, khatdi kakibo kan nia siniu lenra leng-e. 
ISA.6.3	Paliuniu khat khattu kujiu din-e:
ISA.6.3	Masanbo, masanbo, masanbo!
ISA.6.3	Ngamkambo 
ISA.6.3	Pakendibo siniu kadihpiri phui bamme.”
ISA.6.5	Iniu din-e, “Achun-ara thiuta mide! I hai nchum mide, palamra amuntai gasu padbo hinase nuanniu phui-e, khatdi nuanniu phuibo ladkeng maliang dinbo maidung ruangga I lung-e. Chiudi amiksiakniu, Chawang, 
ISA.6.6	Siga khaoring ruangga khatniu, rathak bamgasu kibambo mitikangtu, takapniu machit lujiu, akhuga lenkiu-e. 
ISA.6.7	Paniu amuntai situ kijiu bambo mitikang siniu niakhaijiu din-e, “Haisiniu namuntai niakhai mide, siniu tuhoira namaose hamide, khatdi nanuanse kuakkhai mide.”
ISA.6.8	Siga 
ISA.6.8	Iniu paokakge, “Iniu tadne! Atu langkhailo!”
ISA.6.10	Siga paniu akhuga din-e, “Haibo maidung maningse kam mada milo, paliu kuonse kamtid milo, khatdi paliu mikse kamtiat milo, chiusai paliuniu ngaolu lakge, maksai chiungamlu lakge, maksai singamlu lakge. Paliuniu singam lusai, paliuniu akhulam mariwangsai, wikhaimi rabo-e.”
ISA.6.11	Iniu maniu-e, “Haise dethengkha haichiujiu bamralo, 
ISA.6.11	Paniu paokakge, “Namdidungse kao nchumjiu, maruangmi makthen—chaky gase maidungniu lungtami makthen—haibo kadih siakdi kam mahami makthenna haise padrabo-e. 
ISA.6.12	Maidungtu Iniu kadiulam langkhai mine khatdi kadih haise mainiu lungdao lakbo khat thiukhai mine. 
ISA.6.13	Haibo kadihga lungbambo chamai kariu ruanggasu mai khat masiaklu tadi, patudi kam mahami rabo-e; pahai dongtap mibo nphubangmui kummi rabo-e.”
ISA.6.13	(Singmui siniu Tingwang maidung kasan sulan rabotu lenkhaibo-e).
ISA.7.2	Syria maigu riphendungniu Israel mai ramlungga wangjiu ngut masuang bam mide chiubo khuanse Judah mai wangpiuniu chiuluboga, tingkainiu singbangtu hun-kanukbo kumjiu padi, pamaidungdi pingboniu kaphik rai-rai mide.
ISA.7.4	Lungring sijiu khatdi maliu makjiu bamra, khatdi charenmi makra maksai kabuakmi makra pakhuga dinkhai bilo. Chawang Rezin nai pamai Syria maidung khatdi chawang Pekah gu lungpomse mikhut padbo pajong kaniasuang nkiubo makge chiulo. 
ISA.7.5	Syria mainiu Israel mai khatdi paliu wangtu majanglujiu tason kam mide. 
ISA.7.6	Paliuniu Judah maitu chari thiujiu, maidungtu kam manang khailujiu, paliu khulam jaomira, khatdi Tabeel nahpiu siniu chawang bamse malin mira kambo-e.
ISA.7.7	“Chiudi 
ISA.7.8	Dekam jiulo? Palamra Syria mai hai pagu dihsing namdi, Damascus suang tan nkiubo makge, khatdi Damascus hai Chawang Rezin suang tan nkiubo makge. Israel mailengra haise takum riakcharuk-je-mangiukiu lung maren padlujiu jat khat thiulu lakmi rabo-e. 
ISA.7.9	Israel mai hai, pagu dihsing namdi, Samaria suang tan nkiubo makge, sigasu Samaria hai Chawang Pekah suang tan nkiubo makge.
ISA.7.9	“Nagu malumse khengngam makge sai, nang khengngam lakge.”
ISA.7.11	“Naliu 
ISA.7.12	Ahaz niu paokakge, “Iniu madan wadao khatdi khenglakge. Iniu 
ISA.7.13	Siga Isaiah niu paokakge, “Kinglo, tuhoira, Chawang David kaikikdung yo, Maidungniu khengbambo situ phung ngamlulak mibose naliulung saju-e—Tingwang niu khengbambo tudi naliu khengngam lakmi rama? 
ISA.7.14	Wide chiusai, 
ISA.7.15	Paniu tankhangjiu kawibo kada lujiu kasabotu lukhai makra, kabui ndui sakrabo-e khatdi makhuidui tiurabo-e.
ISA.7.16	Sibo wanse wangmakbo tingga, naliutu kam manang khaibo chawang kaniagu kadih haitu kathaidih pithiu khaimi rabo-e.
ISA.7.17	“
ISA.7.18	“Sibo wanse wangboga, 
ISA.7.19	Paliuniu pabam kasabo ramjeng khatdi chakhao-turen-ga lenwang khopjiu, paliuniu tathu—karaphe riga khatdi chapiubuan hina riga lunggom mirabo-e.
ISA.7.20	“Sibo wanse wangboga, 
ISA.7.21	“Sibo wanse wangboga, chalu tien thiumai khangkhatniu matompoi khat, sigasu kami nia marui ngamlusai, 
ISA.7.22	paliuniu nduise kengchangkha daolune chiusai paniu lunibo hinadi bammi rabo-e. Yo, sibo kadihga poinakha ring masiakbo mainiu kabui ndui nai makhuidui tiura daolune.
ISA.7.23	“Sibo wanse wangboga, kawibo mumsireng hina, rangkang sang khat pibuibo mumsireng situ tathuphe nai chariangken siniu lunggom mirabo-e. 
ISA.7.24	Maidungniu tavaipi nai pathu thinlujiu siga tathiu hara tadne. Yo, kadih pakhiangnase chariang kenniu khatdi tathu-karabangniu kenphui mirabo-e. 
ISA.7.25	Luongbut riga lungbo miusydung situ tathu-karabangniu lunggom mijiu mai khatniudi siga tadkhaita mine. Sise kabui nai milyniu tagibo bam thiumi rabo-e.”
ISA.8.2	Malum buibo mai khangnia, chiubora singku Uriah nai Jeberekhiah nahpiu, Zechariah tu jengdin thiura maluang lulo.”
ISA.8.3	Pakak khat saiga anao pawan phungmide. Anai nahpiu lunglubo sai, 
ISA.8.4	Haibo nah siniu ‘Apui yo, Apiu yo’ chiujiu dikhangjiu kusi makhabo suangga, Damascus gu chakhiu-chalan hina khatdi Samaria lamsu sutwangbo pakhiangnase Assyria maigu chawangniu phungtad mirabo-e.”
ISA.8.6	Paniu din-e, “Haibo maidungniu Shiloah gu duiruak gasu luangwangbo manuanbo dui situ lukhai makjiu, Chawang Rezin nai Chawang Pekah masuangga pingjiu manang mide. 
ISA.8.7	 Iniu, Assyria mai wangpiu khatdi pagu riphenmai pakhiangnatu puiwangjiu Judah maitu chari thiune. Paliu hai Euphrate Giuki duidetniu pagu chaphuga luang kahak bambo kumjiu hawang rabo-e. 
ISA.8.8	Judah ga duidet siniu diwangjiu paliu makhuakke katang kukhangjiu wahinatu naikammi rabo-e.”
ISA.8.8	Tingwang aliutu maluang bamme! Pagu henpadbo pakan siniu kadih haitu gukhaijiu bamme.
ISA.8.9	Jatdung yo, naliu pingjiu wang madui lulo! Kadiubo kadihga bam maidung naliu nkinglo! Yo, chari thiura kaden lulo, chiudi pingsi lulo! 
ISA.8.10	Naliu wakamra ranglulo! chiudi sise wadaodi wangtang lakge. Npao kanithen npao lulo! Chiudi wahinase pageng ha-e, palamra Tingwang aliutu maluang bamme.
ISA.8.11	Maidungniu luijiu bambo npuise luimak raleng 
ISA.8.12	“Maidungniu wa rangboga jaomane khatdi paliuniu manangjiu bambo lamga pingmi tulo. 
ISA.8.13	, I haira, Ngamkambo khatdi masanbo-e, nangniu atu ronna pingrabo-e. 
ISA.8.14	Agu masanbo gu kapingbo siniu I hai maidungniu paliu phi masui rabo tu kumbo-e, I haira Judah mai nai Israel mai sigasu Jerusalem wangdihtu manrabo tathak khat kumbo-e. 
ISA.8.15	Mai kakeng khaniu paliu phi masui rabo-e; siga paliu kaokiujiu paliutu niakpet mine. Paliutu tathakga manmi rabo-e.”
ISA.8.16	Akhommaidung yo, naliu, Tingwang niu akhuga pikhaibo chamdungse lukhaijiu khatdi akhi sijiu bam rabo-e. 
ISA.8.17	 papum siakniu pamaidung khugasu nbai mibo-e, chiudi Iniu patu malumne khatdi agu ramgunbose pakhuga bamme.
ISA.8.19	Chiudi maidungniu sailad dinmai nai chamang phungmai, wa chamlamjiu dinmai khuga tacham maniura naliu khuga dinsune. Paliuniu din-e, “Sichiudi, maidung siniu hiunadung khugasu khatdi ringjiu bambo maidunggu malin ga shaimibo maidung khuga chamang phungra dinsu rabo-e.”
ISA.8.20	Naliuniu paliu khuga haichiu paokak rabo-e, “
ISA.8.21	Maidung siniu pabam hinaga paliu lung nkhinjiu paliu won mariujiu rontad sune. Paliu won mariu lamsu khatdi paliu lungpom lamsu paliu wangpiu nai paliu Rawang tu siangsu rabo-e. Paliuniu tingpuk lam ngang khangjiu phui sune, 
ISA.8.22	maksai kadihga phui sune, chiudi paliutu thonkhai mirabo magenthiu chariubo nai tamiubo khatdi kapingbogu tamiubo situ makjiu katambo ngao lakge.
ISA.9.1	Zebulun nai Naphtali kiphiu kaniagu kadihse pawan khatga pazu sabam niu-e, chiudi pasai haibo luongriang ga chakhuang thiubo hai, Maditerranean tingbang lamsu Jordan hugen khatlam tangbo, khatdi sangdiu maidung siniu lungbo Galilee ga tadi wangrabo-e.
ISA.9.2	Paliu hai ting ka-ajuibo ramga lungbam niu-e
ISA.9.2	chiudi tuhoira kabenbose paliu riga thaoben khaijiu bamme.
ISA.9.3	nangniu paliutu pi chunwi khai bide.
ISA.9.3	Maidung siniu paliugu miusy atiatbo tingga chunwibo kumjiu,
ISA.9.3	maksai paliuniu chariga sutlubo mania njanbo kumjiu,
ISA.9.3	nangniu paliu khuga tenkhaibo situ paliu chun wi-e.
ISA.9.4	Palamra paliu bangrid thiujiu bambo wongkhamse
ISA.9.4	khatdi paliu makhuaktu lekjiu bambo chagi tangse nangniu kampang khaide.
ISA.9.4	Nda Midia rimaitu nangniu kamkao mibo kumjiu,
ISA.9.4	maidungtu kam chariujiu khatdi kam mahajiu bambo jattu nangniu kamkao khaide.
ISA.9.5	Chari thiuboga riphen mainiu sunglubo maniadung
ISA.9.5	khatdi tazai kaluikhai mibo paliu faini pakhiangnase chaminiu kam mahami rabo-e.
ISA.9.6	Aliuleng ngena khat lungkhai bamme!
ISA.9.6	Aliuleng npiumainah khat pikhai bamme!
ISA.9.6	Sichiujiu paniu aliugu mawangpao thiune.
ISA.9.6	Patuse, “Maisuang habo Ladpikhaipiu,”
ISA.9.6	“Ngamkambo Tingwang.” “Tingtheng Ringbopiu,”
ISA.9.6	“Agi-manaibo Wangnahpiu,” chiujiu kune.
ISA.9.7	pawangdih hai pawan machangna agi-manaijiu bamne,
ISA.9.7	Pagu pumtanse majibo nai nchangbo thinjiu,
ISA.9.7	Paniu Chawang David bam malinjiu mawangne,
ISA.9.7	tuhoi gasu kaloibo wan tangbo mawangne.
ISA.9.7	Ngamkambo 
ISA.9.9	Israel maidung pakhiangna, Samaria gu namdi lungga lungbo mai hinaniu, haise paniu kamkhaibo-e chiubose silune. Tuhoira paliuse chaliangjiu khatdi wasao thiujiu bamme. Paliuniu din-e, 
ISA.9.10	“Chagam kangniu thiubo kydidungse kaomide, chiudi aliuniu tatu kangniu thiu malinmi rabo-e. Biuruibang pumdungse huikao khai bamme, chiudi aliuniu withubo cedar singniu malinmi rabo-e.”
ISA.9.11	Paliutu asunra 
ISA.9.12	Israel maitu kajong lura, Syria mainiu tingbang lam, khatdi Philistia mainiu tingnu lam, paliu mun n-nga padlujiu bamme. Haichiu bamliudi 
ISA.9.13	Ngamkambo 
ISA.9.14	Ngamkambo 
ISA.9.15	Katingmai nai chakhuang thiubuibo maidungse papee ye khatdi pamise aratbo cham kadinbo phaimiukakung maidung si-e! 
ISA.9.16	Paliutu jukhaijiu bambo maidung siniu paliutu jumao mide sichiujiu paliu chun kam maha mide. 
ISA.9.17	Sijeng gasu 
ISA.9.18	Tathu-karatu chaminiu karubo kumjiu maidunggu kasabo siniu tao bamme. Haise mariuga chami taojiu mikhut khathung-thung kabam kum taorabo-e. 
ISA.9.19	Ngamkambo 
ISA.9.20	Sibo ramlung pakhiangnaga maidungniu paniu-paniu daolubo saisuijiu kadao hina khoitiu rabo-e, chiudi paliu won mariubose kimlu makge. Paliu nahmai siak tudi paliuniu tiune! 
ISA.9.21	Manasseh maidung nai Ephraim maidung khat-khattu chari thiune, khatdi paliu aruanglujiu Judah maitu chari thiune. Haichiujiu bamliudi 
ISA.10.1	Naliura nchum mide! Naliuniu amaidungtu kam masara majimakbo tacheng tajai kampadle. 
ISA.10.2	Haichiujiu naliuniu kalek samainiu daorabo dam khatdi paliugu maji daorabo hina gasu khamme. Haichiujiu naliuniu kamipuidung nai magen nahdunggu maniase suttiu-e. 
ISA.10.3	Tingwang niu naliutu sajai piboga naliuniu dekam ralo? Paniu naliu riga kapingbose kadiubo ramlamsu phungwangboga naliuniu degu kamralo? Nkha khaibo daolura naliu delam pakkhai ralo? Naliugu chakhiu-chalanse delam baikhai ralo? 
ISA.10.4	Naliutu chari bamga kamshat mirabo-e, maksai kavangky lam jukhai mirabo-e. Chiubam liudi 
ISA.10.6	Alungpom kamkhaibo maidung, charatu simakbo jattu chari thiura, Iniu Assyria maitu langkhaine. Paliutu pijiu maigu sutra khatdi agara, sigasu puidiga bambo karasuttu kumjiu maidungtu taomalui mira Iniu langkhai mibo-e.”
ISA.10.7	Chiudi Assyria mai wangpiu sira chari thiurabo lungchunse pakhuga bamme. Paniu jat kakengtu kam mahara palung chap bamme. 
ISA.10.8	Agu charipi hinase chawang khatle, chiujiu paniu wasao thiu bamme! 
ISA.10.9	Iniu Calno nai Carchemish gu namdidung, Hamath nai Arpad namdidungtu chari thiujiu lulude. Iniu Samaria nai Damascus tu chari thiujiu lulude. 
ISA.10.10	Charamengtu kahumbo wangdih, Jerusalem nai Samaria maigu charameng suang keng nkiubo situ sajai pira Iniu aben henpad khaide. 
ISA.10.11	Iniu Samaria nai sibogu charameng pakhiangnatu kam maha mide, sikum siakjiu Jerusalem khatdi siga kahumbo ramengdungtu kam maha mine.”
ISA.10.12	Chiudi 
ISA.10.13	“Pakhiangna haise Assyria mai wangpiu Iniu aronna kamlubo-e,” chiujiu pasao thiu-e. “I tanne, Ira si-e khatdi Ira ngao-e. Iniu jatdung kakga bambo ramraise kam maha mide. Sigasu paliuniu pon kabao khai bambo katiu kasakse sutlude. Siga lungjiu bambo maidung riga Iniu matomchi kumjiu taoni khai mide. 
ISA.10.14	Kadihpirigu jatdung haira thingnasip khat kumbo-e, sichiujiu Iniu paliugu chakhiu-chalanse maruibum khoi madui malapabo kumjiu khoi madui lude. Pakan khatniudi atu kahap thonlu makge; pamun khatniudi ngapad lujiu atu machao kalam khai makge!”
ISA.10.15	Chiudi 
ISA.10.16	Tuhoi tiu kanithen tiujiu bambo pamai kawibo maidungtu Ngamkambo 
ISA.10.17	Israel maigu kabenbo, Tingwang se, chami mawimi rabo-e. Masanbo Israel maigu Tingwang se naikhat lungga chamipuang thiumi rabo-e, sibo mipuang siniu wahina rumaha kiujiu, tathuphe-karaphe katang ruthon mirabo-e. 
ISA.10.18	Mai khattu kasabo rapotniu kam masa mibo kumjiu, mariu-kajing khatdi chalu-kareng pakhiangnatu kam mahami rabo-e. 
ISA.10.19	Singbang hinase taodok mijiu sise nahmai khatniudi pariak chak ngamlumi rabo-e.
ISA.10.20	Ring masiak lubo Israel maidungniu paliutu kam maha mirabo jat riga mangiu khai tamirabo wanse wangkinne. Paliuniu paliugu malumse majijiu Israel maigu masanbo Rawang, 
ISA.10.21	Israel maidung poinakha ronna paliugu kangambo Tingwang khuga wanglanne. 
ISA.10.22	Tuhoi Israel maidungse nbuiniang kumjiu kengbam liudi, chamai poinakha ronna malanwang rabo-e. Kam maha mirabo siniu maidungtu khuan bamme, haise buigap-e. 
ISA.10.23	Yo, paniu kamne chiujiu dinbo kum, Dithubo, Ngamkambo 
ISA.10.24	Dithubo Ngamkambo, 
ISA.10.25	Iniu naliutu sajai pikhai lubo sai, Iniu paliutu kam maha mirabo-e. 
ISA.10.26	Ngamkambo, 
ISA.10.27	Sibo wan wangboga, Iniu naliutu Assyria maigu pumtan gasu khen-rang pithiu khai bine, sichiujiu paliu wongkhamse naliuleng bangrid thiutami rabo-e.”
ISA.10.28	Mikre maigu riphen mainiu Ai gu namditu sutlude! Paliu Migron tangbo tadpadle! Paliuniu paliugu katiu kasakse Michmash ga khaidiak mide! 
ISA.10.29	Paliu npui kenpad lujiu, Geba ga sibo nchunse bamkhai mide. Ramah gu namdak lungga bambo maidungtu kam charen khaide, khatdi Chawang Saul gu namdak Gibeah lungga bambo maidungse pakkam mide. 
ISA.10.30	Gallim maidung yo, sensulo! Laishah maidung yo, nkinglo! Anathoth maidung yo,paokak khailo! 
ISA.10.31	Madmenah nai Gebim maidung ringlu raleng pak kimme. 
ISA.10.32	Mikre maise thainai Nob gu namdak lungga bamme, khatdi siga paliuniu Zion Luong ga, Jerusalem namdiga, paliu njum thunlujiu paliu pee kangum bamme.
ISA.10.33	Singbang khat gasu bitap padmibo singkedung kumjiu Ngamkambo 
ISA.10.34	Mariu n-gangga singbangdung tu mariniu huikaobo kumjiu, Lebanon gu withubo singbangdi kaomibo kumjiu, 
ISA.11.2	pamaidungtu paniu mawangra khaotibo nai ningting pikhai rabo-e.
ISA.11.3	pacham majaiboga palung kimrabo-e.
ISA.11.3	Paniu tazu-chalun phuijiu maksai mai thaocham phungjiu ladjan thiu lakge;
ISA.11.4	paniu kalek samaitu masanjiu ladjan thiurabo-e
ISA.11.4	sigasu pumtan hamaigu majise phuikhai birabo-e.
ISA.11.4	Pagu chamtan gasu maidungtu sajai pirabo-e,
ISA.11.4	siga kasabo maidungse shairabo-e.
ISA.11.6	khatdi quirukdung siniu kamipoidungtu maluang ji aruangne.
ISA.11.6	Kabuipoidung nai chaquipoidung maluang tiu aruangne,
ISA.11.6	sichiujiu nahmaidungniu paliutu akhi sune.
ISA.11.7	Matomdung nai chahomdung maluang tiu aruangne,
ISA.11.7	khatdi matompoidung nai chaquipoidung agi-manaijiu ji aruangne.
ISA.11.7	Quichangdung siniu matom kumjiu magaose tiune.
ISA.11.8	Ngenadung siniu patai karabo kaniu mungga
ISA.11.8	mathen bamdi paliutu kam masa lakge.
ISA.11.9	Tingwang gu masanbo luongbut Zion riga, wakhatdi kahabo khatdi kasabo thiu lakge.
ISA.11.9	Duipuiga taduiniu phuijiu bambo kumjiu kadih haiga 
ISA.11.11	Sibo tingmik wangboga, 
ISA.11.12	Lung maratad mibo Israel mai nai Judah maidung situ kadih pake madai gasu puiwang lanrabo madanse jatdung khuga lenkhaira 
ISA.11.13	Israel maigu chawang dihniu Judah maitu manma lanlak mide, khatdi Judah mainiu Israel maitu mikre lanlak mide. 
ISA.11.14	Paliuniu aruanglujiu Philistine maitu tingnulam aphenne, khatdi tingbanglam bambo maidunggu mania sutne. Paliuniu Edom mai nai Moab maidungtu chari ngamlu rabo-e khatdi Ammon maidungniu paliu kadin piurabo-e. 
ISA.11.15	 niu Suez Zaibek kam masang mirabo-e, sigasu giuna chinnia ronna saodia lujiu, Euphrate giuse kam masang mira paniu kathiubo tingkai phungwangne, sichiujiu mai hina sise tadken padlu bui-e. 
ISA.11.16	Sibo bamga ring masia padbo Israel maileng Assyria gasu puidi, paliu paopeh mainiu Egypt phutpadbo tingga bamniubo kumjiu bammi rabo-e.
ISA.12.1	Maidungniu haichiujiu chalui thiubo tingmikse wangkinne,
ISA.12.1	“Iniu natu thuonne, 
ISA.12.1	Nangniu atu nalung pomjiu bamniu-e,
ISA.12.1	chiudi tuhoira nangniu atu hiam khaijiu, nalung pomta mide.
ISA.12.2	Iniu patu malum bamne khatdi pinglakge.
ISA.12.2	pahai atu ranpao-e.
ISA.12.3	Tadui ka-agi siniu charibotu pikim khaibo kum,
ISA.12.3	Tingwang niu pamaidungtu rankhaiboga paliu chunwijiu matha-e.”
ISA.12.4	Maidungniu chalui thiurabo tingmikse wangkinne,
ISA.12.4	“
ISA.12.4	Paniu kamkhai mibose jat hina khuga dinkhai bilo!
ISA.12.4	Pahai dejiukha dilo chiubo paliu khuga dinkhai bilo!
ISA.12.5	Paniu kadibo kamkhai mibo jengniu 
ISA.12.5	Kadihpiri pabam hinaga haibo chamse pichiu khailo.
ISA.12.6	Zion ga lungbammai hinaniu senlo khatdi chalui thiulo!
ISA.12.6	Israel maigu masanbo Tingwang hai di-e,
ISA.12.6	khatdi paniu pamaidung ruangga lung bamme.”
ISA.13.2	Kathaidih luongton khat riga charigu pengfai jusu khai bamme! Riphen maidung khuga senlo khatdi chaliangbo namdigu rengmundung situ chari thiura paliu khuga naliu npom pon-chagang padjiu senlo. 
ISA.13.3	 niu pagu chaliangbo khatdi malum suibo riphendungtu masanbo chari thiura khatdi paniu palung pombo maidung situ sajai pira kukhai mide
ISA.13.4	Maluang riga maidung dungdi khuan, jatdung nai chawangdihdung siniu wang madui bambo khuanse nking khailo. Riphen maidunggu 
ISA.13.5	Paliu hai kadiu-diubo kadih malan lamsu wangkinne. 
ISA.13.7	Mai hina bense pachengsai riang-riang mirabo-e, khatdi mai hina hotse hami rabo-e. 
ISA.13.8	Paliu mathiu pingkammi rabo-e, khatdi maipui khatgu manathad kumjiu thiubo thad siniu kheng ngamlakmi rabo-e. Pingbo siniu khatniu khat khuga phuisune, khatdi paliu zu haise mangambo siniu phui rabo-e. 
ISA.13.9	 gu lungpom kasabo, chami kumjiu taobo kapingbo lungpom tingmikse wangkinne. Kadihpiri haitu kathaidih pithiu khai mine, khatdi nuan phungmai hinatu kam mahami rabo-e. 
ISA.13.10	Chahiu, chagan hina bentami rabo-e, naimik padtadi tamiumi rabo-e, chahiuniu pa-nbiu pikhai lanlakmi rabo-e.
ISA.13.12	Ringmasiak maira kachiasuang riang rabo-e. 
ISA.13.13	Ngamkambo 
ISA.13.14	“Babylon ga lungbambo sangdiu maidungse paliu ram-ramga, tathanniu tathiu hamai khugasu pakbo kum, khatdi mily khuanpao habo milydung kumjiu, lungmara marentad mirabo-e. 
ISA.13.15	Minlubo mai hinatu chushat phenshat mirabo-e. 
ISA.13.16	Paliu wathak thiura hajiu bamboga, paliu nahdungtu lekshat mirabo-e, paliu ky hinase sungtiu-humtiu mirabo-e, khatdi paliu naodungtu manomjiu minrabo-e.”
ISA.13.18	Paliuniu tavaipi nai pathuniu chabon maitu kamshat mirabo-e. Paliuniu ngenadung nai pamnahdungtu wakhatdi lungsason lakge. 
ISA.13.19	Babylon hai chawangdih pakhiangna ruangga ngaowi thubo-e; haise siga lungbam maigu n-gengbo si-e. Chiudi 
ISA.13.20	Rontad kinbo Arab mai khatniudi pagu mathenky siga lensu lanlakge, khatdi mily khuanmai khatniudi siga milytu pijiu tagi khai lanlakge. 
ISA.13.21	Sigase kathaidihga lungbo khaorui-khaonadung siniu lungmi rabo-e, khatdi avengdungniu paliu sip ponkhai rabo-e. Ruididung siniu siga lungmi rabo-e, khatdi kao nchum mibo bam pakhiangnaga chahungdung siniu paliu nbaibam thiumi rabo-e. 
ISA.13.22	Chaky tondung nai chawangkining hinase nkangquidung nai tanydung marabo kavai khuanniu kawan rabo-e. Babylon gu pawanse wangmide! Pagu tingmikdungse loimi lajiu bamme.”
ISA.14.2	 niu paliuleng pikhaibo kadihga malanwang raleng Israel maidungtu jat kakeng ganiu nkha khai rabo-e, khatdi siga jatdungniu Israel maigu kavangdung kumjiu macharabo-e. Pawan khatga Israel maitu chari thiujiu sutlubose tuhoira Israel mainiu chari thiujiu sutmine, sigasu Israel maitu pawan khatga kam masa khai mibo maidung riga Israel mainiu mawangne.
ISA.14.4	Paniu haise kam khaiboga, paliuniu Babylon wangpiutu nuimenjiu dinsune:
ISA.14.4	“Palung kasabo wangpiu hai kaomide! Paniu mai khattudi, wadaodi kam chariu lanlak mine! 
ISA.14.5	Paliu lung kasabo mawangpaodunggu pumtanse 
ISA.14.6	paliu haira paliu lung pomjiu maitu kam masabo khatdi paliuniu ngamlubo jatdungtu wadaodi saomakjiu kam mathadjiu bambo maidung-e. 
ISA.14.7	Tuhoira kanamboga kadihpiri pakhiangnaniu chariubo gasu mathakjiu agi-manaibo lutaojiu, khatdi mai hina chunwijiu chalui thiu bamme. 
ISA.14.8	Cypress bangdung khatdi Lebanon gu cedar bangdungniu, kaomibo chawang riga paliu chun wijiu bamme, palamra paliutu huikao raleng mai khatdi hamide, tuhoira pah hamide!
ISA.14.9	“Charuidih siniu Babylon gu chawangtu paliu chun wijiu lukhaira kadenjiu bamme. Kadihpiriga pumtan bambo maidunggu mahiudungse kabuakjiu bamme. Chawangdunggu mahiudungse paliugu chawangbam gasu sujiu bamme. 
ISA.14.10	Paliu mathiu siniu patu kujiu din-e, ‘Tuhoira nang hai aliu kumgapjiu sonmide! Nang hai aliu kumbo mai khatle! 
ISA.14.11	Natura nthiam-taragu chalui siniu chakhuang thiukhai kamigu-e, chiudi tuhoira nang hai charuidih haiga bam mide. Tuhoira masanpui jiuga nazi thiulujiu khatdi takipui siniu nafai thiulujiu bam mide.’
ISA.14.13	Nangniu tinggen ga khanglujiu khatdi kuthubo chagandung riga nagu chawangbamse khaira nalung chun chapkhai kamigu-e. Duiruaklam bambo maluong riga charadungniu wang maduiboga nang hai chawang khat kumjiu ntaone chiujiu nangniu maning khai kamigu-e. 
ISA.14.14	Kamuang riga nang khanglujiu Ngamkambopiu kum mine chiujiu nangniu dinkhai mibo-e. 
ISA.14.15	Chiudi sibo sung natu charuidih suk kachangbo bamga pikiu khai mide.
ISA.14.16	“Kashaibo siniu pasuang hajiu, pamun ngajiu natu phui sune. Paliuniu maniu sune, ‘Kadihpiritu thin kanukjiu khatdi chawangdungtu kam malai khaijiu kapin bambo piuse, haibo piu sima? 
ISA.14.17	Namdidungtu kam maha khailujiu khatdi kadihpiritu pijiu kathaidih thiukhai mibose haibo piu sima? Pagu kavangkyga bambo kavang maidungtu wadaodi lepad khaimakbo maksai paliu kylam pi tadkhai makbo piuse haibo piu sima?’ 
ISA.14.18	Kadihpirigu chawangdung pakhiangna siniu paliugu paman kungbo charao lungga jikam bamme, 
ISA.14.19	chiudi naraw lengra ha-e, haichiujiu naphawse pon thonjiu tenmi rabo-e. Sise chariga shaimibo riphenmai phawdung siniu majiukhai lujiu, chakhomga thonkhaijiu tao malui mirabo-e. 
ISA.14.20	Palamra nangniu nadihtu kammaha lujiu khatdi namaidung siaktu kamshat mide, natura kakibo chawangdung situ kumjiu nphumjiu bailakge. Kasabo nakikhun mai khatnadi ring masiak lakge. 
ISA.14.21	Kamshat rabo maise sulo! Haibo wang nahpiudungse paliu pao-pehdung nuan jengniu shairabo-e. Paliu mai khatna niudi kadihpiriga wadaodi mawang lakge maksai namdiga lung lakge.”
ISA.14.22	Ngamkambo 
ISA.14.23	Babylon haitu Iniu manamhang pithiu khai mine, khatdi siga avengniu lungne. Wahina biakthon mibo nphiak siniu Babylon maitu Iniu biakthon mirabo-e. Ngamkambo 
ISA.14.25	Iniu Assyria maitu amai Israel mai dih gasu kam maha mine khatdi paliutu agu maluang rigasu aphiniu taoni rabo-e. Iniu amaidungtu Assyria maigu wongkham gasu khatdi paliuniu phungrabo bangrid gasu lepad khaibi rabo-e. 
ISA.14.26	Haise kadihpiri leng Iniu rangkhai mibo si-e, sichiujiu jatdung situ sajai piraleng aben npom chagang pad mibo-e.” 
ISA.14.27	Ngamkambo 
ISA.14.30	 niu lunglakbo pamaidunggu khuanpao thiu rabo-e, sichiujiu paliutu pi manang makjiu lungkhai rabo-e. Chiudi Philistia mai naliu riga paniu kapingbo charakhum langwangne, siga naliu mai khatnadi ringmasiak lulakge.
ISA.14.31	Philistia maigu namdidung pakhiangna naliu achunglujiu nkha khaira khenglulo! Naliu mathiu pingsi lulo! Tingpi lamsu kamuang kangkhat wangkinne—paliu haise wadi pingmakbo riphendung-e.
