GEN.1.1	Er penn-kentañ, Doue a grouas an neñvoù hag an douar. 
PSA.109.31	rak en em zalc'h en tu dehou d'an ezhommeg, evit e savetaat eus ar re a gondaon e ene.
PSA.110.1	Salm David.
PSA.110.1	An 
PSA.110.2	An 
PSA.110.3	Da bobl a vo ur bobl a volontez vat, e deiz ma'z aio da arme er-maez e meurdez e santelezh; da soudarded yaouank a vo dirazout evel ur c'hlizhenn o tont e-kreiz gouloù-deiz. 
PSA.110.4	An 
PSA.110.5	An Aotrou a zo a-zehoù dit, bruzunañ a raio rouaned e deiz e fulor. 
PSA.110.6	Barn a raio e-touez ar broadoù, leuniañ a raio holl gant korfoù marv, bruzunañ a raio ar penn a ren war ur vro vras. 
PSA.110.7	Evañ a raio eus ar froud en hent, dre-se e savo e benn.
PSA.111.1	Meulit an 
PSA.111.2	Oberennoù an 
PSA.111.3	E oberenn n'eo nemet splannder ha meurded, hag e reizhder a bad da viken. 
PSA.111.4	Lezet en deus an eñvor eus e vurzhudoù, an 
PSA.111.5	Reiñ a ra da vevañ d'ar re holl a zouj anezhañ, soñj en deus atav eus e emglev. 
PSA.111.6	Roet en deus da anavezout d'e bobl galloud e oberennoù, en ur reiñ dezhañ hêrezh ar broadoù. 
PSA.111.7	Oberennoù e zaouarn n'int nemet reizhder ha gwirionez, hag e holl c'hourc'hemennoù a zo gwirion. 
PSA.111.8	Startaet int atav ha da viken, graet int gant gwirionez hag eeunder. 
PSA.111.9	Kaset en deus an dasprenadur d'e bobl, lakaet en deus e emglev da viken. E anv a zo santel ha spontus. 
PSA.111.10	Penn-kentañ ar furnez eo doujañs an 
PSA.112.1	Meulit an 
PSA.112.2	E lignez a vo galloudus war an douar, gouenn an dud eeun a vo benniget. 
PSA.112.3	Ar fonnusted hag ar binvidigezh a vo en e di, hag e reizhder a bado da viken. 
PSA.112.4	Ar sklêrijenn a sav en deñvalijenn evit an den eeun; truezus eo, trugarezus ha reizh. 
PSA.112.5	Eürus an den a zo truezus hag a brest, urzhiañ a ra e oberoù gant reizhder! 
PSA.112.6	Ne vo biken brañsellet, eñvor an den reizh a vo peurbadus. 
PSA.112.7	N'en deus ket aon rak ar c'heloù fall, e galon a zo start, o fiziout en 
PSA.112.8	E galon, harpet mat, n'he devo ket aon, betek ma en devo diskuizhet e sell war e enebourien. 
PSA.112.9	Skuilhet en deus, roet en deus d'ar beorien, e reizhder a bad da viken hag e benn a sav gant gloar. 
PSA.112.10	An hini drouk a wel anezhañ, en deus desped a gement-se, a c'hrigoñs e zent hag a zisec'h. C'hoant ar re zrouk a yelo da get.
PSA.113.1	Meulit an 
PSA.113.2	Ra vo benniget anv an 
PSA.113.3	Adalek ar sav-heol betek ar c'huzh-heol, ra vo meulet anv an 
PSA.113.4	An 
PSA.113.5	Piv a zo heñvel ouzh an 
PSA.113.6	a sell d'an traoñ ouzh an neñv hag ouzh an douar, 
PSA.113.7	a denn an hini bihan eus ar poultr hag a sav ar paour diwar an teil, 
PSA.113.8	evit e lakaat da azezañ gant ar re vras, gant ar re vras eus e bobl. 
PSA.113.9	Reiñ a ra un tiegezh d'ar wreg gaonac'h, hag e ra anezhi ur vamm laouen da veur a vugel. Meulit an 
PSA.114.1	Pa'z eas Israel er-maez eus an Ejipt, ha tiegezh Jakob eus a-douez ur bobl barbar, 
PSA.114.2	Juda a voe e santual, hag Israel a zeuas e zomani. 
PSA.114.3	Ar mor en gwelas hag a dec'has, ar Jordan a zistroas a-dreñv, 
PSA.114.4	ar menezioù a lammas evel meot, hag ar c'hrec'hiennoù evel oaned. 
PSA.114.5	Petra az poa, o mor, evit tec'hout? Ha te, Jordan, evit distreiñ a-dreñv? 
PSA.114.6	Ha c'hwi, menezioù, evit lammat evel meot? Ha c'hwi, krec'hiennoù, evel oaned? 
PSA.114.7	Dour, kren dirak dremm an Aotrou, dirak dremm Doue Jakob, 
PSA.114.8	a dro ar roc'h en ur stank, ar maen kalet e mammennoù doureier.
PSA.115.1	N'eo ket deomp-ni, 
PSA.115.2	Perak e lavarfe ar broadoù: Pelec'h eta emañ o Doue? 
PSA.115.3	Hon Doue, en neñvoù emañ; ober a ra kement a blij gantañ. 
PSA.115.4	O idoloù a zo arc'hant hag aour, labour daouarn an den. 
PSA.115.5	Ur genoù o deus ha ne gomzont ket, daoulagad o deus ha ne welont ket, 
PSA.115.6	divskouarn o deus ha ne glevont ket, ur fri o deus ha ne c'hweshaont ket, 
PSA.115.7	daouarn ha ne stokont ket, treid ha ne gerzhont ket, ne reont trouz ebet gant o c'horzailhenn. 
PSA.115.8	Dont a raio heñvel outo ar re o gra, hag ar re a laka o fiziañs enno. 
PSA.115.9	Israel, en em fiz en 
PSA.115.10	Tiegezh Aaron, en em fiziit en 
PSA.115.11	C'hwi a zouj an 
PSA.115.12	An 
PSA.115.13	Bennigañ a raio ar re a zouj an 
PSA.115.14	An 
PSA.115.15	C'hwi a zo benniget gant an 
PSA.115.16	Diwar-benn an neñvoù, an neñvoù a zo d'an 
PSA.115.17	Ar re varv ne veulint ket an 
PSA.115.18	Met ni a vennigo an 
PSA.116.1	Karout a ran an 
PSA.116.2	rak stouet en deus e skouarn war-zu ennon; dre-se e pedin anezhañ va buhez-pad. 
PSA.116.3	Ereoù ar marv o doa va c'helc'hiet, enkrezioù ar bez o doa kroget ennon, kavet em boa an dristidigezh hag ar glac'har, 
PSA.116.4	met e pedis anav an 
PSA.116.5	An 
PSA.116.6	An 
PSA.116.7	Distro da'z tiskuizh, va ene, rak an 
PSA.116.8	Dieubet ec'h eus va ene eus ar marv, va daoulagad eus an daeroù, va zreid eus ar gouezhadenn. 
PSA.116.9	Kerzhout a rin dirak dremm an 
PSA.116.10	Kredet em eus, setu perak em eus komzet. Bet e oan gwall c'hlac'haret. 
PSA.116.11	Lavarout a raen em zrubuilh: Pep den a zo gaouiat. 
PSA.116.12	Petra a rentin d'an 
PSA.116.13	Kemer a rin hanaf an dieubidigezh, hag e pedin anv an 
PSA.116.14	Peurober a rin va gouestloù e-keñver an 
PSA.116.15	Marv re garet-mat an 
PSA.116.16	Da bediñ a ran, o 
PSA.116.17	Me a ginnigo dit an aberzh a drugarekadennoù, hag e pedin anv an 
PSA.116.18	Peurober a rin va gouestloù e-keñver an 
PSA.116.19	e leurioù ti an 
PSA.117.1	Meulit an 
PSA.117.2	Rak e vadelezh a zo bras en hor c'heñver, ha fealded an 
PSA.118.1	Meulit an 
PSA.118.2	Ra lavaro Israel ivez penaos e pad e drugarez da viken. 
PSA.118.3	Ra lavaro tiegezh Aaron penaos e pad e drugarez da viken. 
PSA.118.4	Ra lavaro ar re a zouj an 
PSA.118.5	Eus a-greiz an dristidigezh em eus galvet an 
PSA.118.6	An 
PSA.118.7	An 
PSA.118.8	Gwelloc'h eo en em dennañ war-zu an 
PSA.118.9	Gwelloc'h eo en em dennañ war-zu an 
PSA.118.10	An holl vroadoù o doa va enkelc'hiet, met en anv an 
PSA.118.11	Va enkelc'hiet o doa, ya, va enkelc'hiet o doa, met en anv an 
PSA.118.12	Va enkelc'hiet o doa evel ar gwenan, mouget int bet evel un tan drein, rak en anv an 
PSA.118.13	Bountet ez poa ac'hanon start evit va lakaat da gouezhañ, met an 
PSA.118.14	An 
PSA.118.15	Ur vouezh a youc'hadegoù a drec'h a sav e teltennoù ar re reizh: Tu dehou an 
PSA.118.16	Tu dehou an 
PSA.118.17	Ne varvin ket met bevañ a rin, hag e tisklêrin oberennoù an 
PSA.118.18	An 
PSA.118.19	Digorit din dorioù ar reizhder; mont a rin ennoc'h hag e veulin an 
PSA.118.20	Amañ emañ dor an 
PSA.118.21	Me az meulo rak selaouet ec'h eus ac'hanon, hag out bet va dieuber. 
PSA.118.22	Ar maen taolet kuit gant ar re a vañsone a zo deuet da vezañ ar maen-korn. 
PSA.118.23	Kement-se a zo bet graet gant an 
PSA.118.24	Hemañ eo an deiz en deus graet an 
PSA.118.25	O 
PSA.118.26	Benniget ra vo an hini a zeu en anv an 
PSA.118.27	An 
PSA.118.28	Te eo va Doue, me az meulo. Va Doue, da ganmeuliñ a rin. 
PSA.118.29	Meulit an 
PSA.119.1	Eürus ar re a zo eeun en o hent, a gerzh hervez lezenn an 
PSA.119.2	Eürus ar re vir e destenioù, a glask anezho a-greiz o c'halon, 
PSA.119.3	na reont ket an direizhder, met a gerzh en e hentoù! 
PSA.119.4	Urzhiet ec'h eus da gemennadurioù, evit ma vint miret gant evezh. 
PSA.119.5	O! Ra vo va hentoù reizhet mat, evit ma virin da reolennoù. 
PSA.119.6	Neuze ne ruzin ket, o sellout ouzh da holl c'hourc'hemennoù. 
PSA.119.7	Da veuliñ a rin en eeunder va c'halon, pa em bo desket barnedigezhioù da reizhder. 
PSA.119.8	Fellout a ra din mirout da reolennoù; na'm dilez ket holl!
PSA.119.9	Penaos e lakaio an den yaouank e hent da vezañ glan? O teurel evezh outañ hervez da gomz. 
PSA.119.10	Da glask a ran eus kreiz va c'halon, na'm lez ket d'en em goll pell diouzh da c'hourc'hemennoù! 
PSA.119.11	Dalc'het em eus da c'her em c'halon, evit na bec'hin ket en da enep. 
PSA.119.12	Ra vi benniget, o 
PSA.119.13	Disklêriañ a ran gant va muzelloù holl varnedigezhioù da c'henoù. 
PSA.119.14	En em laouenaat a ran en hent eus da destenioù, evel ma vefe ganin holl binvidigezhioù. 
PSA.119.15	Prederiañ a rin war da gemennadurioù, hag e sellin ouzh da wenodennoù. 
PSA.119.16	Kavout a rin plijadur en da reolennoù, ha n'ankounac'hain ket da gomzoù.
PSA.119.17	Gra ar vadelezh-se da'z servijer, ma vevin, ha ma virin da gomz. 
PSA.119.18	Digor va daoulagad, evit ma welin burzhudoù da lezenn. 
PSA.119.19	Diavaeziad on war an douar, na guzh ket da c'hourc'hemennoù ouzhin! 
PSA.119.20	Va ene a zo debret gant ar garantez en deus a bep amzer evit da varnedigezhioù. 
PSA.119.21	Gourdrouz a rez ar re lorc'hus ha milliget, a bella eus da c'hourc'hemennoù. 
PSA.119.22	Lam diwarnon ar vezh hag an dispriz, rak mirout a ran da destenioù. 
PSA.119.23	Ar re c'halloudek zoken a zo azezet hag o deus komzet em enep, met da servijer a breder war da reolennoù. 
PSA.119.24	Dre-se da destenioù a zo va flijadurioù ha va c'huzulierien.
PSA.119.25	Va ene a zo staget ouzh ar poultr; va laka da advevañ hervez da gomz! 
PSA.119.26	Disklêriet em eus dit va hentoù hag ec'h eus respontet din; desk din da reolennoù. 
PSA.119.27	Ro din da anavezout hent da gemennadurioù, hag e prederin war da vurzhudoù. 
PSA.119.28	Va ene a ouel gant ar glac'har; va adsav hervez da gomz! 
PSA.119.29	Pella diouzhin hent ar gaou, ha ro din ar c'hras da virout da lezenn. 
PSA.119.30	Dibabet em eus hent ar wirionez, lakaet em eus da varnedigezhioù dirak va daoulagad, 
PSA.119.31	en em staget on ouzh da destenioù; 
PSA.119.32	Redek a rin en hent da c'hourc'hemennoù, pa ez po lakaet va c'halon er frankiz.
PSA.119.34	Ro din skiant, hag e virin da lezenn; me a heulio anezhi a-greiz va c'halon. 
PSA.119.35	Va laka da gerzhout en hent da c'hourc'hemennoù, rak kavout a ran plijadur enno. 
PSA.119.36	Stou va c'halon etrezek da destenioù, ha neket war-zu ar gounid. 
PSA.119.37	Distro va daoulagad diouzh gwel an traoù didalvez, va laka da advevañ en da hentoù! 
PSA.119.38	Starta da c'her evit da servijer, an hini a zo evit ar re a zouj ac'hanout. 
PSA.119.39	Distro diouzhin ar vezh am eus aon anezhi, rak da varnedigezhioù a zo mat. 
PSA.119.40	Setu, e huanadan war-lerc'h da gemennadurioù; va laka da advevañ dre da reizhder!
PSA.119.41	Ra zeuio da vadelezh warnon, o 
PSA.119.42	Hag em bo peadra da respont d'an hini am zamall, rak en em fizian en da gomz. 
PSA.119.43	Na lam ket holl eus va genoù ar gomz a wirionez, rak en em c'hortoz a ran da'z parnedigezhioù, 
PSA.119.44	hag e virin da lezenn dalc'hmat ha da viken. 
PSA.119.45	Kerzhout a rin er frankiz, rak em eus klasket da gemennadurioù. 
PSA.119.46	Komz a rin eus da destenioù dirak ar rouaned, ha ne'm bo ket a vezh. 
PSA.119.47	Kavout a rin plijadur en da c'hourc'hemennoù a garan. 
PSA.119.48	Sevel a rin va daouarn etrezek da c'hourc'hemennoù a garan, hag en em zalc'hin ouzh da reolennoù.
PSA.119.49	Az pez soñj eus ar gomz roet da'z servijer, ac'h eus va lakaet da esperout enni. 
PSA.119.50	Houmañ eo va frealz e-kreiz va foan, eo ma ro da c'her ar vuhez din. 
PSA.119.51	Ar re lorc'hus am golo a c'hoapaerezh, met ne bellaan ket diouzh da lezenn. 
PSA.119.52	Me am eus soñj eus da varnedigezhioù a wechall, o 
PSA.119.53	An droug a grog ennon a-enep ar re fall a zilez da lezenn. 
PSA.119.54	Da reolennoù eo abeg va c'hanaouennoù, en ti ma choman ennañ evel un diavaeziad. 
PSA.119.55	En noz em eus soñj eus da anv, o 
PSA.119.56	Hemañ eo un dra a zo din, mirout da gemennadurioù.
PSA.119.57	Va lodenn, o 
PSA.119.58	Da bedet em eus kreiz va c'halon: Az pez truez ouzhin hervez da c'her! 
PSA.119.59	Kontet em eus va hentoù, hag em eus troet va c'hammedoù etrezek da destenioù. 
PSA.119.60	Hastañ a ran, ne zalean ket, evit mirout da c'hourc'hemennoù. 
PSA.119.61	Stignoù ar re zrouk a oa en-dro din, ne'm eus ket ankounac'haet da lezenn. 
PSA.119.62	Sevel a ran da hanternoz evit da veuliñ, abalamour da'z parnedigezhioù reizh. 
PSA.119.63	Me a zo keneil d'ar re holl a zouj ac'hanout, ha d'ar re a vir da gemennadurioù. 
PSA.119.64	, an douar a zo leun eus da vadelezh. Desk din da reolennoù.
PSA.119.66	Desk din kaout furnez ha skiant, rak kredet em eus da c'hourc'hemennoù. 
PSA.119.67	A-raok bezañ glac'haret, en em gollen, met bremañ e viran da c'her. 
PSA.119.68	Te a zo mat ha madoberus; desk din da reolennoù. 
PSA.119.69	Tud lorc'hus o deus ijinet traoù faos em enep. Me a viro da gemennadurioù e kreiz va c'halon. 
PSA.119.70	O c'halon a zo tevaet evel al lard, me a gav va flijadurioù en da lezenn. 
PSA.119.71	Mat eo din bezañ bet glac'haret, evit ma teskin da reolennoù. 
PSA.119.72	Lezenn da c'henoù a zo priziusoc'h din eget milieroù a bezhioù aour hag arc'hant.
PSA.119.73	Da zaouarn o deus va graet ha va stummet; ro din skiant, hag e teskin da c'hourc'hemennoù. 
PSA.119.74	Ar re a zouj ac'hanout am gwelo hag a drido a levenez, rak esperout a ran en da gomz. 
PSA.119.75	Anavezout a ran, o 
PSA.119.76	Ra frealzo da vadelezh ac'hanon, hervez ar ger ac'h eus roet da'z servijer. 
PSA.119.77	Ra zeuio da druez warnon ha me a vevo, rak da lezenn a ra va flijadurioù. 
PSA.119.78	Ra vo mezhek ar re lorc'hus a wask ac'hanon hep abeg! Prederiañ a rin war da gemennadurioù. 
PSA.119.79	Ra zeuio da'm c'havout ar re a zouj ac'hanout, hag ar re a anavez da destenioù. 
PSA.119.80	Ra vo va c'halon eeun en da reolennoù, evit na vin ket mezhek!
PSA.119.81	Va ene en em guzum war-lerc'h da silvidigezh; esperout a ran en da gomz. 
PSA.119.82	Va daoulagad en em guzum war-lerc'h da c'her. Lavarout a ran: Pegoulz e frealzi ac'hanon? 
PSA.119.83	Rak evel ur sac'h-lêr ez on er moged, met n'ankounac'haan ket da reolennoù. 
PSA.119.84	Pegeit e pado deizioù da servijer? Pegoulz e kasi da benn da varnedigezhioù war ar re a heskin ac'hanon? 
PSA.119.85	Ar re lorc'hus o deus toullet fozioù evidon, ar pezh n'eo ket hervez da lezenn. 
PSA.119.86	Da holl c'hourc'hemennoù n'int nemet gwirionez; va heskinañ a reer hep abeg, sikour ac'hanon! 
PSA.119.87	War-bouez nebeut, hag e tistrujent ac'hanon war an douar; met ne zilezin ket da gemennadurioù. 
PSA.119.88	Laka ac'hanon da advevañ hervez da vadelezh, hag e virin testenioù da c'henoù.
PSA.119.89	O 
PSA.119.90	Da wirionez a bad a oad da oad. Diazezet ec'h eus an douar, hag e chom start. 
PSA.119.91	Pep tra a bad hiziv hervez da varnedigezhioù, rak an holl draoù a servij ac'hanout. 
PSA.119.92	Ma ne vije ket bet va flijadurioù en da lezenn, e vijen marvet em glac'har. 
PSA.119.93	Biken n'ankounac'hain da gemennadurioù, rak drezo eo ec'h eus roet ar vuhez din. 
PSA.119.94	Me a zo dit; va savete, rak klasket em eus da gemennadurioù. 
PSA.119.95	Ar re zrouk o deus va gedet evit va lakaat da vervel, met me a zo evezhius ouzh da destenioù. 
PSA.119.96	Gwelet em eus harzoù da gement a zo peurvat; da c'hourc'hemenn a zo astennet diharz.
PSA.119.97	Pegement e karan da lezenn! Prederiañ a ran warni a-hed an deiz. 
PSA.119.98	Va lakaat a rez furoc'h eget va enebourien dre da c'hourc'hemennoù, rak bepred emaint ganin. 
PSA.119.99	Tremenet em eus e furnez e-biou d'ar re holl o deus va c'helennet, rak e prederian war da destenioù. 
PSA.119.100	Me 'zo muioc'h desket eget ar re gozh, dre ma em eus miret da gemennadurioù. 
PSA.119.101	Distroet em eus va c'hammedoù diouzh pep hent fall, evit mirout da gomz. 
PSA.119.102	N'on ket pellaet diouzh da varnedigezhioù, rak te eo ec'h eus va desket. 
PSA.119.103	Pegen dous eo da c'her da'm staon, dousoc'h eget ar mel da'm genoù! 
PSA.119.104	Da gemennadurioù a ro skiant din, setu perak e kasaan pep hent gaouiat.
PSA.119.105	Da gomz a zo ul lamp da'm zreid, hag ur sklêrijenn war va hent. 
PSA.119.106	Touet em eus hag en dalc'hin, da virout da varnedigezhioù reizh. 
PSA.119.107	Gwall c'hlac'haret on, 
PSA.119.108	, degemer mat ar gouestloù a ginnig va genoù dit, ha desk din da varnedigezhioù! 
PSA.119.109	Va buhez a zo dalc'hmat en arvar, koulskoude ne'm eus ket ankounac'haet da lezenn. 
PSA.119.110	Ar re zrouk o deus stegnet antelloù din, met n'on ket en em bellaet diouzh da gemennadurioù. 
PSA.119.111	Kemeret em eus da destenioù evel hêrezh peurbadus, rak ez int levenez va c'halon. 
PSA.119.112	Stouet em eus va c'halon da seveniñ da reolennoù, dalc'hmat ha betek an diwezh.
PSA.119.113	Kasaat a ran ar soñjoù didalvez, met karout a ran da lezenn. 
PSA.119.114	Bez' ez out va repu ha va skoed, me en em c'hortoz da'z komz. 
PSA.119.115	Tud drouk, pellait diouzhin, ha me a viro gourc'hemennoù va Doue. 
PSA.119.116	Harp ac'hanon hervez da c'her evit ma vevin, ha na'm laka ket da vezañ mezhek em esperañs! 
PSA.119.117	Harp ac'hanon evit ma vin salvet, hag e vo atav va daoulagad war da reolennoù! 
PSA.119.118	Disteurel a rez kuit ar re a bella diouzh da reolennoù, rak o zromplerezh a zo ur gaou didalvez. 
PSA.119.119	Kas a rez da netra evel eon holl re zrouk an douar, setu perak e karan da destenioù. 
PSA.119.120	Va c'hig a gren gant an aon am eus razout, hag e toujan da varnedigezhioù.
PSA.119.121	Miret em eus ar varnedigezh hag an reizhder, na'm dilez ket da'm gwaskerien. 
PSA.119.122	Bez gwarant da servijer evit e vad, ra ne wasko ket ac'hanon ar re ourgouilhus. 
PSA.119.123	Va daoulagad en em guzum war-lerc'h da silvidigezh, ha war-lerc'h ger da reizhder. 
PSA.119.124	Gra e-keñver da servijer hervez da vadelezh, ha desk din da reolennoù. 
PSA.119.125	Me eo da servijer; ro din skiant, hag ec'h anavezin da destenioù. 
PSA.119.126	Poent eo d'an 
PSA.119.127	Setu perak e karan da c'hourc'hemennoù, muioc'h eget an aour, muioc'h zoken eget an aour glan. 
PSA.119.128	Setu perak e kavan reizh da holl gemennadurioù, hag e kasaan pep hent gaouiat.
PSA.119.129	Da destenioù a zo estlammus, setu perak va ene en deus o miret. 
PSA.119.130	Diskuliadur da gomzoù a ro sklêrijenn, reiñ a ra skiant d'ar re zinerzh. 
PSA.119.131	Digoret em eus va genoù, ha huanadet em eus, rak em eus c'hoantaet da c'hourc'hemennoù. 
PSA.119.132	Sell ouzhin ha kemer truez ouzhin, evel ma ec'h eus ar c'hiz d'ober e-keñver ar re a gar da anv. 
PSA.119.133	Starta va c'hammedoù en da c'her, ha na lez direizhder ebet da ren warnon. 
PSA.119.134	Dieub ac'hanon eus gwaskerezh an dud, evit ma virin da gemennadurioù! 
PSA.119.135	Laka da zremm da lugerniñ war da servijer, ha desk din da reolennoù! 
PSA.119.136	Stêrioù dour a red eus va daoulagad, o vezañ na virer ket da lezenn.
PSA.119.137	Te a zo reizh, o 
PSA.119.138	Gourc'hemennet ec'h eus testenioù gant reizhder, ha gant ur wirionez bras. 
PSA.119.139	Va gred en deus va devet, rak va enebourien o deus ankounac'haet da gomzoù. 
PSA.119.140	Da c'her a zo glan-meurbet, setu perak da servijer e gar. 
PSA.119.141	Me a zo bihan ha disprizet, met n'ankounac'haan ket da gemennadurioù. 
PSA.119.142	Da reizhder a zo ur reizhder peurbadus, ha da lezenn n'eo nemet gwirionez. 
PSA.119.143	An dristidigezh hag an enkrez o deus va zapet, met da c'hourc'hemennoù eo va flijadurioù. 
PSA.119.144	Da destenioù n'int nemet gwirionez peurbadus; ro din ar skiant anezho evit ma vevin!
PSA.119.145	Krial a ran eus kreiz va c'halon; respont din, 
PSA.119.146	Krial a ran dit; saveta ac'hanon, hag e virin da destenioù. 
PSA.119.147	Diaraogiñ a ran an deiz hag e krian; esperout a ran en da gomz. 
PSA.119.148	Va daoulagad a ziaraog beilhadennoù an noz, evit prederiañ war da c'her. 
PSA.119.149	Selaou va mouezh hervez da vadelezh; 
PSA.119.150	Ar re o deus c'hoantoù fall a dosta; en em zerc'hel a reont pell diouzh da lezenn. 
PSA.119.151	Te a zo tost, o 
PSA.119.152	Abaoe pell 'zo ec'h ouzon dre da destenioù, penaos ec'h eus o diazezet evit biken.
PSA.119.153	Sell ouzh va glac'har ha dieub ac’hanon, rak ne'm eus ket ankounac'haet da lezenn. 
PSA.119.154	Difenn va c'haoz ha va daspren, va laka da advevañ hervez da c'her! 
PSA.119.155	Ar silvidigezh a zo pell diouzh ar re zrouk, dre na glaskont ket da reolennoù. 
PSA.119.156	Da druez a zo diniver, o 
PSA.119.157	Va heskinerien ha va enebourien a zo diniver, met n'en em zistroan ket diwar da destenioù. 
PSA.119.158	Gwelet em eus ar re disleal hag em eus bet heug outo. Ne viront ket da c'her. 
PSA.119.159	Taol evezh penaos e karan da gemennadurioù; 
PSA.119.160	Diazez da gomz eo ar wirionez, ha reizhder da varnedigezhioù a zo peurbadus.
PSA.119.161	Ar re vras o deus va heskinet hep abeg, met va c'halon n'he deus ket aon nemet rak da gomzoù. 
PSA.119.162	En em laouenaat a ran en da c'her, evel an hini a gav ur preizh bras. 
PSA.119.163	Euzh am eus ouzh ar gaou hag e kasaan anezhañ; karout a ran da lezenn. 
PSA.119.164	Da veuliñ a ran seizh gwech an deiz, en abeg da'z parnedigezhioù reizh. 
PSA.119.165	Ur peoc'h bras a zo evit ar re a gar da lezenn, ha netra ne c'hell o diskar. 
PSA.119.166	, esperout a ran ez tieubidigezh, hag e sentan ouzh da c'hourc'hemennoù. 
PSA.119.167	Va ene a vir da destenioù, hag o c'harout a ran gant ur garantez vras. 
PSA.119.168	Mirout a ran da gemennadurioù ha da destenioù, rak va holl hentoù a zo dirazout.
PSA.119.170	Ra zeuio va fedenn dirazout! Dieub ac'hanon hervez da c'her. 
PSA.119.171	Va muzelloù a embanno da veuleudi, pa ez po desket din da reolennoù. 
PSA.119.172	Va zeod ne gomzo nemet diwar-benn da c'her, rak da holl c'hourc'hemennoù a zo reizh. 
PSA.119.173	Ra vo da zorn ur sikour din! Rak dibabet em eus da gemennadurioù. 
PSA.119.174	, huanadiñ a ran war-lerc'h da silvidigezh, ha da lezenn a zo va holl blijadur. 
PSA.119.175	Ra vevo va ene evit da veuliñ, ha ra zeuio da varnedigezhioù war va sikour! 
PSA.119.176	Dianket on evel un dañvad kollet: klask da servijer, rak ne'm eus ket ankounac'haet da c'hourc'hemennoù.
PSA.120.1	Kanaouenn ar "Maalod" 
PSA.120.1	Kriet em eus d'an 
PSA.120.2	, dieub va ene eus ar muzelloù gaouiat, eus an teod touellus! 
PSA.120.3	Petra a roio dit, petra a c'hounezo dit, an teod tromplus? 
PSA.120.4	Biroù lemm evel reoù ur brezelour, gant glaou-bev ar balan. 
PSA.120.5	Gwalleürus on da chom e Meshek, da vezañ e-touez teltennoù Kedar! 
PSA.120.6	Re bell eo chomet va ene gant an hini a gasa ar peoc'h. 
PSA.120.7	Me a gar ar peoc'h, met kerkent ha ma komzan, emaint evit ar brezel.
PSA.121.1	Kanaouenn ar "Maalod" 
PSA.121.1	Sevel a ran va daoulagad etrezek ar menez, a-belec'h e teuio sikour din. 
PSA.121.2	Va sikour a zeu digant an 
PSA.121.3	Ne lezo ket da droad da vrañsellat; an hini a ziwall ac'hanout ne gousko ket. 
PSA.121.4	Setu, ne gousko ket ha ne voredo ket, an hini a ziwall Israel. 
PSA.121.5	An 
PSA.121.6	An heol ne skoio ket ac'hanout e-pad an deiz, nag al loar e-pad an noz. 
PSA.121.7	An 
PSA.121.8	An 
PSA.122.1	Kanaouenn ar "Maalod" 
PSA.122.1	Sederaat a ran pa lavarer din: Deomp da di an 
PSA.122.2	Hon treid a chom a-sav, en da zorojoù, o Jeruzalem! 
PSA.122.3	Jeruzalem, savet out bet evel ur gêr a zo liammet etrezo an tiez enni. 
PSA.122.4	Eno eo e pign ar meuriadoù, meuriadoù an 
PSA.122.5	Eno eo savet an tronioù evit ar reizhder, an tronioù evit tiegezh David. 
PSA.122.6	Pedit evit peoc'h Jeruzalem! Ra o devo ar peoc'h ar re a gar ac'hanout! 
PSA.122.7	Ra vo ar peoc'h etre da vogerioù, hag an diskuizh e-barzh da balezioù! 
PSA.122.8	Abalamour da'm breudeur ha da'm mignoned, e pedin evit da beoc'h. 
PSA.122.9	Abalamour da di an 
PSA.123.1	Kanaouenn ar "Maalod" 
PSA.123.1	Sevel a ran va daoulagad etrezek ennout, te hag a chom en neñvoù. 
PSA.123.2	Setu, evel ma sell daoulagad ar servijerien ouzh dorn o mestroù, ha daoulagad ar vatezh ouzh dorn he mestrez, evel-se e sell hon daoulagad war-zu an 
PSA.123.3	Az pez truez ouzhimp, 
PSA.123.4	Hon ene en deus e walc'h eus goapaerezh ar re a zo er fonnusted, eus dispriz ar re lorc'hus.
PSA.124.1	Kanaouenn ar "Maalod" 
PSA.124.1	Ma ne vije ket bet an 
PSA.124.2	hep an 
PSA.124.3	neuze o dije hon lonket en bev, pa en em dane o fulor en hon enep. 
PSA.124.4	Neuze an doureier o dije hon lonket, ur froud en dije tremenet war hon ene. 
PSA.124.5	Neuze an doureier herrus o dije tremenet war hon ene. 
PSA.124.6	Benniget ra vo an 
PSA.124.7	Hon ene en deus tec'het kuit evel ul labous eus roued al labousetaer. Torret eo bet ar roued, ha ni hon eus tec'het kuit. 
PSA.124.8	Emañ hor sikour en anv an 
PSA.125.1	Kanaouenn ar "Maalod" 
PSA.125.1	Ar re a laka o fiziañs en 
PSA.125.2	Emañ menezioù en-dro da Jeruzalem, hag emañ an 
PSA.125.3	Rak gwalenn an drougiezh ne chomo ket war lodenn ar re reizh, gant aon na lakafe ar re reizh o daouarn en drougiezh. 
PSA.125.4	, gra vad d'ar re vat, d'ar re o deus ar galon eeun! 
PSA.125.5	Met evit ar re a zibab hentoù troidellek, an 
PSA.126.1	Kanaouenn ar "Maalod" 
PSA.126.1	Pa zegasas en-dro an 
PSA.126.2	Neuze hor genoù a oa leuniet a griadennoù laouen, hag hon teod a ganaouennoù trec'hus; neuze e veze lavaret e-touez ar broadoù: An 
PSA.126.3	An 
