MAT.1.1	Абраһамай үри һадаһан болохо Давидай үри һадаһан Иисус Христосой уг гарбалынь иимэ:
JHN.18.3	Иуда Римэй бүлэг сэрэгшэдые, мүн түрүү санаартанай, фарисейнүүдэй эльгээһэн Бурхан Һүмын харуулшадые абаад, баһа сэсэрлиг руу ерэбэ; тэдэнэр бултадаа буу зэбсэг, гэрэл фонарь, гал түүдэгүүдые гартаа барижа ябаа. 
JHN.18.4	Иисус өөртэйнь ямар юумэ тохёолдохые уридшалан мэдэжэ байһанһаа, урдаһаань гаража:
JHN.18.4	– Таанар хэниие бэдэрнэбта? – гэжэ һураба.
JHN.18.5	– Назаредэй Иисусые бэдэрнэбди, – гэжэ тэдэнь харюусаба.
JHN.18.5	– Энэ би байнаб, – гэбэ Иисус.
JHN.18.5	Иуда урбагша баһал тэдэнтэй хамта байлсаа. 
JHN.18.6	«Энэ би байнаб» гэжэ Иисусай хэлэмсээр, тэдэнь гэдэргээ сухарин, газарта унашабад.
JHN.18.7	– Таанар хэниие бэдэрнэбта? – гэжэ Иисус дахин тэдэнһээ асууба.
JHN.18.7	– Назаредэй Иисусые бэдэрнэбди, – гэжэ тэдэнь харюусаба.
JHN.18.8	– Энэ би байнаб гэжэ таанарта хэлээ хамнайб. Хэрбээ таанарта би хэрэгтэй һаа, эдэ хүнүүдые табигты, – гэбэ Иисус. 
JHN.18.9	Тэрэ юундэ тиигэжэ хэлээб гэбэл:
JHN.18.9	«Намда шинии үгэһэн хүнүүдэй
JHN.18.9	нэгэнииньшье хосороогүй», – гэжэ Иисусай хэлэһэн үгэнүүд хүсэлдэн бэелүүлэгдэхэ ёһотой байгаа.
JHN.18.10	Һэлмэтэй байһан Симон Петр һэлмэеэ гаргаһан бэеэрээ ахамад санаартын зарасын баруун шэхые таһа сабшаба. Тэрэ зарасань Малх гэжэ нэрэтэй байгаа.
JHN.18.11	– Һэлмэеэ хуйдань хэ! Иимэ хуби заяа Эсэгэмни намда үгөө юм. Энээнһээ би арсаха аалби? – гэжэ Петрто Иисус хэлэбэ.
JHN.18.12	Тиихэдэнь Римэй сэрэгшэд даргатаяа хамта, мүн ахамад санаартын болон фарисейнүүдэй эльгээһэн Бурхан Һүмын харуулшад Иисусые барижа хүлибэ. 
JHN.18.13	Тэрээние түрүүн тэрэ жэлдэ ахамад санаарта байһан Кайафа гэгшын хадам эсэгэнь болохо Аннада абаашаба. 
JHN.18.14	Бүхы еврей зоной орондо гансал хүн хосороо һаа дээрэ байха гэжэ еврейнүүдэй ахамадуудта зүбшэл үгэһэн хүниинь эгээл тэрэ Кайафа гэгшэ байгаа. 
JHN.18.15	Иисусай хойноһоо Симон Петр, баһа нэгэ шабинь дахажа ябаа. Тэрэ шабинь ахамад санаартатай танил байһан дээрэһээ ахамад санаартын буусада Иисустай хамта оробо. 
JHN.18.16	Харин Петр бартаагай саана үлэбэ. Удаань ахамад санаартатай танил шабинь газаа гаража, бартаагай үүдэ һахидаг зараса эхэнэртэй хөөрэлдөөд, Петрые хорёо соо оруулба.
JHN.18.17	– Ши энэ хүнэй шабинь хаяаш? – гэжэ зараса эхэнэрынь Петрто хэлэбэ.
JHN.18.17	– Бэшэб даа, – гэжэ Петр харюусаа.
JHN.18.18	Газаа хүйтэн байгаа. Зарасанар болон Бурхан Һүмын харуулшад гал түүдэг носоогоод, хажуудань дулаасажа һуугаа. Мүн Петршье тэдэнэй хажууда зогсоод, дулаасажа байгаа. 
JHN.18.19	Тэрэ үедэнь ахамад санаарта Иисусай шабинар тухай, тэрэнэй һургаал номнол тухай Иисусһаа асуулта абажа байба.
JHN.18.20	– Би бүгэдэ зоной урда сэхэ хэлэдэг һэнби. Би мүргэлэй гэрнүүд соо ба Бурхан Һүмэ соо хододоо һургаалаа номногшо һэм. Тэндэ бүхы еврейнүүд ерэдэг һэн, – гэжэ Иисус харюусаба. – Нюуса юумэ би огто хэлээгүйб. 
JHN.18.21	Юундэ таанар намайе мүрдэжэ мүшхэжэ байна гээшэбта? Юу хэлэһэн тухаймни минии шагнагшадһаа һурыт, юун гэжэ хэлэһыемни тэдэ мэдэхэл.
JHN.18.22	Иигэжэ хэлэхэдэнь, Иисусай хажууда зогсожо байһан харуулшадай нэгэниинь тэрэнэй нюурыень альгадаад:
JHN.18.22	– Ахамад санаартын урдаһаа юундэ иигэжэ дуугарнабши! – гэжэ зандаран хэлэбэ.
JHN.18.23	– Хэрбээ али-нэгэн буруу юумэ минии хэлээ һаа, ямар юумэниинь бурууб гэжэ намда хэлыш. Хэрбээ үнэн зүб юумэ хэлээ һаамни, ши намайе юундэ сохинобши, – гэбэ Иисус.
JHN.18.24	Тиихэдэнь Анна Иисусые хүлеэтэй зандань ахамад санаарта Кайафада эльгээбэ
JHN.18.25	Симон Петр газаа дулаасажа байба.
JHN.18.25	– Ши баһа Иисусай шабинь хаяаш? – гэжэ тэрээндэ хэлэбэд.
JHN.18.25	– Бэшэб, – гэжэ Петр харюусаба.
JHN.18.26	– Сэсэрлиг соо шамайе Иисустай хамта байхыешни би хараа бэшэ һэн аалби? – гэжэ ахамад санаартын зарасанарай нэгэн асууба. Тэрэ зарасын түрэл болохо хүнэй шэхэ Петр һэлмээрээ таһа сабшаһан байгаа.
JHN.18.27	– Би шабинь бэшэб, – гэжэ Петр баһа мэлзэбэ. Тиигэмсээрнь эрэ тахяа дуугарба.
JHN.18.28	Эртэ үглөөгүүр еврейнүүд Иисусые удамаршын
JHN.18.29	Тиимэһээ удамарша Пилат тэдэнтэй уулзахаяа гараба.
JHN.18.29	– Энэ хүниие таанар юун гэжэ зэмэлнэбта? – гээд тэрэ асууба.
JHN.18.30	– Хэрбээ гэм хээгүй һаань, бидэ энээниие шамда асархагүй һэмди, – гээд тэдэнь харюусаба.
JHN.18.31	– Энээнээ өөһэдөө абаашаад, өөһэдынгөө хуулиин ёһоор шүүбэрилэгты, – гэбэ Пилат.
JHN.18.31	– Римэй засагаархин хүниие саазалха эрхэ бидэндэ олгоногүй ха юм, – гэжэ тэдэнь арсаба.
JHN.18.32	Иигэжэ ямар үхэлөөр үхэхэ тухайгаа Иисусай хэлэһэн үгэнүүд хүсэлдэн бэелүүлэгдэбэ. 
JHN.18.33	Пилат ордондоо дахин ороод, Иисусые дуудажа:
JHN.18.33	– Ши еврейнүүдэй хаан гүш? – гэжэ асууба.
JHN.18.34	– Нам тухай ши өөрөө тиигэжэ һанаһанаа хэлэнэ гүш, али ондоо хүнүүд шамда тиигэжэ хэлээ гү? – гээд Иисус һураба.
JHN.18.35	– Би еврей аалби? Шинии өөрыншни нютагаархин, түрүү санаартан шамайе намда асаржа тушаагаа. Ямар тиимэ муу юумэ ши хээбши? – гэбэ Пилат.
JHN.18.36	Иисус харюусаба:
JHN.18.36	– Минии хаан түрэ энэ дэлхэй дээрэхи засаг түрэдэл адли бэшэ юм. Хэрбээ минии хаан түрэ энэ дэлхэй дээрэхи засаг түрэдэл адли байгаа һаа, минии албатан намайе еврейнүүдэй ахамадуудай гарта оруулхагүй гэжэ оролдохо һэн. Минии мэдэлэй хаан түрэ энэ дэлхэй дээрэхи засаг түрэдэл адли бэшэ юм.
JHN.18.37	– Тиихэдээ ши яабашье һаа, хаан болоно хаяаш? – гэжэ Пилат асууба.
JHN.18.37	– Ши өөрөө намайе хаан гэнэш. Би үнэн зүйлые гэршэлхын тула түрэһэн, дэлхэйдэ ерэһэн байнаб. Үнэн зүйлые баримталагшад бултадаа минии хэлэһые дуулана, – гэбэ Иисус.
JHN.18.38	– Үнэн зүйл гэжэ юун бэ? – гээд Пилат асууба.
JHN.18.38	Пилат дахин еврейнүүдтэй уулзахаяа гаража:
JHN.18.38	– Би энэ хүндэ зэмэ тохохо ямаршье баримта олоногүйб, – гэбэ. – 
JHN.18.39	Паасхынтнай үедэ би нэгэ хүнииетнай таанарта саазаһаа сүлөөлжэ үгэдэгби – танайда тиимэ заншал бии ха юм. Еврейнүүдэй хааниие танда табихыемни хүсэнэ гүт?
JHN.18.40	– Үгы! Тэрээниие бэшэ! Бараббые бидэндэ таби! – гээд тэдэнь хашхаралдаба. Харин Барабба гэдэгынь үймүүлэгшэ байгаа.
JHN.19.1	Тиихэдэнь Пилат Иисусые ташуурдагты гэжэ захирба. 
JHN.19.2	Сэрэгшэдынь үүргэнээр гүрлөө гүрэжэ, толгой дээрэнь табиба, тэрээндэ улаан суба үмдэхүүлбэ. 
JHN.19.3	Иисуста дүтэлжэ ерээд:
JHN.19.3	– «Еврейнүүдэй хаан» мандаха болтогой! – гэлдэн, Иисусай нюур хасарые альгадана.
JHN.19.4	Пилат дахин гаража, еврейнүүдтэ хандан:
JHN.19.4	– Тэрэниие таанадта харуулхамни. Таанар мэдэжэ байгты: би энэ хүндэ зэмэ тохохо ямаршье баримта олоногүйб, – гэбэ.
JHN.19.5	Тиихэдэнь Иисус ордон сооһоо гаража ерэбэ, хадхууртай үбһэн гүрлөө толгой дээрэнь табигданхай, улаан суба үмэдхүүлэнхэй байба.
JHN.19.5	– Тэрэ хүн энэл даа! – гэбэ Пилат.
JHN.19.6	Теэд түрүү санаартан, харуулшад Иисусые хараад:
JHN.19.6	– Тэрээниие хэрээһэндэ хада, хэрээһэндэ хада! – гэжэ хашхаралдаба.
JHN.19.6	– Өөһэдөө барижа, энээнээ хэрээһэндэ хадагты! Би энээниие зэмэлхэ юумэ олоногүйб, – гэжэ тэдэндэ Пилат хэлэбэ.
JHN.19.7	– Манай Хуулиин ёһоор энэ хүн үхэхэ ёһотой, юундэб гэхэдэ, өөрыгөө Бурханай Хүбүүн гэжэ айладхана, – гэжэ еврейнүүд харюусаба.
JHN.19.8	Пилат энээниие дуулаад, бүри ехээр айшаба. 
JHN.19.9	Дахин ордондоо ороод:
JHN.19.9	– Ши хаанаһаабши? – гэжэ Иисусһаа һураба.
JHN.19.9	Теэд Иисус харюусабагүй.
JHN.19.10	Тиихэдэнь Пилат:
JHN.19.10	– Намтай хөөрэлдэхэ дурагүй байна гүш? Би шамайе табюулхашье эрхэтэйб, саазалуулхашье эрхэтэйб – энээниие мэдэнэгүй гээшэ гүш? – гэбэ.
JHN.19.11	– Хэрбээ дээрэһээ тиимэ эрхэ шамда үгтөөгүй һаа, ши намайе мэдэлдээ абажа заяандаашье шадахагүй һэнши. Тиимэһээ намайе шамда тушааһан хүнэй нүгэлынь бүришье ехэ юм.
JHN.19.12	Тиигэжэ хэлэхэдэнь, Пилат Иисусые хаалтаһаа сүлөөлхэ гэжэ оролдоһон байна. Теэд еврейнүүд:
JHN.19.12	– Хэрбээ ши энээниие табяа һаа, Римэй хаанай нүхэр бэшэш! Өөрыгөө хаан гээшэб гэдэг хүн хадаа императорай урдаһаа эсэргүүсэн тэмсэнэ гээшэ! – гэжэ хашхаралдаба.
JHN.19.13	Пилат энээнииень дуулаад, Иисусые ордон сооһоо гаргаһан бэеэрээ, заргашын һуудаг креслэдэ һууба. Энэнь «Шулуугаар дэбдигдэһэн газар» (еврей хэлээр «Габбата») гэжэ нэрэтэй. 
JHN.19.14	Энэ ушар Паасхын һайндэрэй урдахана, зургаан гарагай хахаддэрэй багаар болоо.
JHN.19.14	– Харагты даа, энэ таанарай хаан гээшэ! – гэжэ Пилат еврейнүүдтэ хандан хэлэбэ.
JHN.19.15	– Үгы болог! Тонилог саашаа! Энээниие саазала! – гэжэ тэдэнь хашхаралдаба.
JHN.19.15	– Таанарай хааниие би саазалхамни гээшэ гү? – гэжэ Пилат асууба.
JHN.19.15	– Римэй хаанһаа бэшэ ондоо хаан маанадта байхагүй! – гэжэ түрүү санаартан харюусаба.
JHN.19.16	Тиихэдэнь лэ Иисусые хэрээһэндэ хадажа саазалхыень Пилат зүбшөөһэн байна. Тиихэдэнь тэдэ Иисусые туужа абаашаба.
JHN.19.16	Тиихэдэнь тэдэ Иисусые туужа абаашаба. 
JHN.19.17	«Хохимой» (еврей хэлээр «Голгофо») гэжэ нэрэтэй газар хүрэтэр Иисус хэрээһэеэ бэе дээрээ үргэлөөд ябаха ёһотой байгаа. 
JHN.19.18	Тэндэ Иисусые хэрээһэндэ хадаад, һүүлдэ хэрээһыень бодхообо. Тэрээнтэй хамта үшөө хоёр хүниие: нэгыень баруун тээнь, нүгөөдыень зүүн тээнь, Иисусые дундань хэрээһэн дээрэ үргэбэ. 
JHN.19.19	Хабтагай модо бэлдээд, хэрээһэн дээрэнь хадаха гэжэ Пилат захирба. Тэрэ хабтагай дээрэнь: «Назаредэй Иисус, еврейнүүдэй хаан» гэжэ бэшээтэй байгаа. 
JHN.19.20	Тэрэниие олон еврейнүүд уншаа һэн. Юундэб гэбэл, Иисусай саазалуулһан газарынь городһоо холо бэшэ һэн, тэрэнь еврей, лата, грек хэлэнүүдээр бэшээтэй байгаа. 
JHN.19.21	Еврейнүүдэй түрүү санаартан Пиладта иигэжэ хэлэһэн байнад:
JHN.19.21	– «Еврейнүүдэй хаан» гэжэ бү бэшэ! «Энэ хүн өөрыгөө еврейнүүдэй хаан гэдэг һэн» гэжэ бэшэ.
JHN.19.22	– Юун гэжэ бэшээбиб, тэрээгээрээл байг, – гэжэ Пилат харюусаба.
JHN.19.23	Сэрэгшэд Иисусые хэрээһэндэ хадажа саазалаад, тэрэнэй субые абажа, сэрэгшэдэй тоогоор – дүрбэн хэһэг болгожо, өөһэд хоорондоо хубааба. Зүйдэлгүйгөөр нэхэгдэһэн субыень баһа абаба.
JHN.19.24	– Энээнииень бү шуулая, жээрэб хаяябди, хэндэмнай туданаб, тэрэ хүн абаха, – гэжэ өөһэд дундаа хэлсэбэ. Иигэжэ Нангин Бэшэг соо: «Минии хубсаһые хоорондоо хубаагаад абаа, минии хубсаһа тухай жээрэб хаяа» гэжэ бэшээтэй үгэнүүд хүсэлдэн бэелүүлэгдээ. Сэрэгшэд иимэл юумэ хэһэн байгаа.
JHN.19.25	Иисусай хэрээһэнэй хажууда тэрэнэй эжы, нагаса эжынь, Клопасай һамган Мария, мүн Магдалай Мария гэгшэд зогсожо байгаа һэн. 
JHN.19.26	Иисус эжыгээ, эжынгээ хажууда зогсожо байһан өөрынгөө дуратай шабиие хараад, эжыдээ:
JHN.19.26	– Эжымни, энэ болбол шинии хүбүүн гээшэ, – гэжэ хэлэбэ. 
JHN.19.27	Удаань шабидаа: – Энэ болбол шинии эжы гээшэ, – гэбэ.
JHN.19.27	Тииһэнэйнь хойно тэрэ шабинь Иисусай эжые гэртээ асаржа байлгаа.
JHN.19.28	Болохо юумэн боложо дүүрэхын заха үзэгдэхые Иисус ойлгожо, Нангин Бэшэг соо бэшэгдэһэн мүрнүүдые хүсэлдүүлэн:
JHN.19.28	– Ундам хүрэнэ! – гэбэ.
JHN.19.29	Тэндэ дүүрэн домбо соо гашуун архи байба. Сэрэгшэд бамбагар юумэн дээрэ тэрэ архиһаа адхаад, тэрэнээ иссоп ургамалай мүшэр дээрэ табяад, Иисусай уралда ойртуулба. 
JHN.19.30	Иисус тэрэ улаан архииень амсаад:
JHN.19.30	– Бүтэбэ даа! – гэжэ хэлэбэ. Тиин тархяа тонгойлгон, ами табиба.
JHN.19.31	Тиихэдэ пятница, субботодо бэлдэхэ үдэр байгаа. Саазалуулһан хүнүүдэй бэеые субботын үдэр үлгөөтэй зандань байлгахагүй гэжэ еврейнүүдэй ахамадууд оролдоо. Теэдшье тэрэ субботодо Паасхын ехэ һайндэр тудаа. Иимэ ушарһаа, саазалуулагшадай шэлбыень хуха сохёод, бэеыень хэрээһэнһээнь абхуулыт гэжэ еврейнүүдэй ахамадууд Пиладые гуйба. 
JHN.19.32	Сэрэгшэд ерэжэ, Иисустай хамта саазалуулһан нэгэ хүнэйнь шэлбые хухалба, удаань хоёрдохи хүнэйхииень хухалба. 
JHN.19.33	Тиигээд Иисусай хажууда ерээд харахадань, тэрэ үхэшэһэн байба, тиимэһээ шэлбыень хухалбагүй. 
JHN.19.34	Гэбэшье нэгэ сэрэгшэнь тэрэнэй һүбээе жадаараа сүмэ хадхаба. Тиигэмсээрнь тэндэһээнь шуһан ба уһан гоожобо. 
JHN.19.35	Таанарайшье үнэншэхын тула бараниие өөрынгөө нюдөөр хараһан хүн энээн тухай хөөрөө бэлэй. Тэрэ хүнэй гэршэлэн харуулһаниинь үнэн зүб юм, үнэн зүб юумэ хэлэнэб гэжэ тэрэ хүн мэдэнэ. 
JHN.19.36	Тэрэнэй гансаханшье яһаниинь хухархагүй гэһэн Нангин Бэшэгэй үгэнүүд хүсэлдэн бэелүүлэгдэбэ. 
JHN.19.37	Сүм хадхаһан хүнөө тэдэ хараха гэжэ Нангин Бэшэгэй баһа ондоо тээ хэлэгдэнэ.
JHN.19.38	Энээнэй һүүлдэ Аримафейн Иосиф гэдэг хүн ерэжэ, Иисусай бэеые абаашаха зүбшөөл Пиладһаа гуйба (Иосиф еврейнүүдэй засагаархинһаа айжа байһан дээрэһээ Иисусай нюуса шабинь байгаа). Пилат тэрээндэ зүбшөөлөө үгэбэ. Иосиф Иисусай бэеые абаашаба. 
JHN.19.39	Нэгэтэ һүни Иисуста ерэһэн Никодим мүнөө баһа ерэлсэбэ. Никодим зуугаад һүүнтэ
JHN.19.40	Тэдэ хоёр Иисусай шарилые һайхан хангалтай шүүһэндэ дэбтээһэн бүдөөр орёобо (еврейнүүд тиигэжэ хүдөөлүүлдэг заншалтай байгаа). 
JHN.19.41	Иисусай саазалуулһан һууриһаа холо бэшэ сэсэрлиг бии һэн, тэндэнь урдань хэнэйшье хэбтээгүй шэнэ агы нүхэн түхеэрэгдээд байгаа. 
JHN.19.42	Субботын урдахи үдэр һэн тула, мүн шэнэ агы нүхэн дүтэхэн байһан дээрэһээ, Иисусые тэрэ агы нүхэндэ хадаглаба.
JHN.20.1	Гарагай нэгэнэй, воскресениин эртэ үглөөгүүр, газаа харанхы байхада, Магдалай Мария агы нүхэндэ дүтэлэн ерэхэдээ, тэрэнэй амһарыень хаагаад байһан шулуунайнь хажуу тээшээ болгогдоод байхые обёорон хараба. 
JHN.20.2	Магдалай Мария Симон Петрто, мүн Иисусай дуратай байһан нүгөөдэ шабидань гүйжэ ошоод:
JHN.20.2	– Дээдын Эзэнэй шарилые агы нүхэнһөөнь абаашаһан байна, хайшань абаашаһыень бидэ мэдэнэгүйбди, – гэжэ тэдэндэ дуулгаба.
JHN.20.3	Петр ба нүгөөдэ шаби хоёрынь агы нүхэн тээшэ ошобо. 
JHN.20.4	Хоюулаа гүйбэшье, нүгөөдэ шабинь Петрһоо хурдан байһан дээрэһээ, агы нүхэнэй хажууда түрүүн гүйжэ ерээ. 
JHN.20.5	Тонгойгоод харахадань, тэндэ Иисусые хүдөөлүүлхэдээ орёоһон бүдынь лэ байба. Теэд агы нүхэ руу тэрэ оробогүй. 
JHN.20.6	Хойноһоонь Симон Петр гүйжэ ерээд, агы соонь ороходоо, бүдынь хэбтэхые хараба. 
JHN.20.7	Мүн толгойень бооһон бүд тэндэ байба. Теэд толгойень бооһон бүд бэеыень орёоһон бүдтэй хамта бэшэ, харин байһан байрадаа монсогойлоотой, амяараа хэбтээ. 
JHN.20.8	Агы нүхэндэ түрүүн гүйжэ ерэһэн нүгөөдэ шабинь баһа тэндэ ороод, тиимэ юумэ харахадаа, этигэбэ. 
JHN.20.9	Теэд Иисус үхөөд амидырха гэжэ Нангин Бэшэг соо бэшээтэй байһан зүйлые тэдэ шабинарынь үшөөл ойлгоногүй байгаа. 
JHN.20.10	Тэдэ гэртээ бусаба.
JHN.20.11	Мария агы нүхэнэй хажууда зогсоод уйлажа байба. Уйлажа байгаад, агы нүхэ руу тонгойжо харахадаа, 
JHN.20.12	иимэ юумэ обёорбо: Иисусай бэеын хэбтэһэн газарта Бурханай хоёр эльгээмэл сагаан хубсаһа үмдэнхэй һуужа һууба – нэгэниинь толгой таладань, нүгөөдэнь – хүлзүүр таладань һууба.
JHN.20.13	– Эхэнэр аа, ши юундэ уйлажа байнабши? – гэжэ тэдэ хоёрынь асууба.
JHN.20.13	– Багшымни шарилые агы нүхэн сооһоонь абаашаһан байна, хайшань абаашаһыень би мэдэнэгүйлби, – гэжэ Мария харюусаба.
JHN.20.14	Тиигэжэ хэлээд, гэдэргээ эрьежэ харахадань, урдань Иисус зогсожо байба. Теэд Мария тэрэниие танибагүй.
JHN.20.15	– Эхэнэр аа, ши юундэ уйлажа байнабши? Хэниие бэдэрнэбши? – гэбэ Иисус.
JHN.20.15	Энэнь саад таригша байна гэжэ һанаад, Мария тэрээндэ:
JHN.20.15	– Эзэмни аа, хэрбээ тэрэнэй шарилые ши абаашаа һаа, хаана орхёобши – хэлыш, би тэрэнииень абаашахамни, – гэбэ.
JHN.20.16	– Мария! – гэбэ Иисус.
JHN.20.16	Мария гэдэргээ эрьен хараад:
JHN.20.16	– Раббуни! – гэжэ еврей хэлэн дээрэ хашхараад абаба (энэнь «багша» гэһэн удхатай үгэ).
JHN.20.17	– Намайе бү бари! – гэжэ Иисус тэрээндэ хэлэбэ. – Би Эсэгэдээ үшөө бусаагүй байнаб. Минии аха дүүнэртэ ошоод, «Би өөрынгөө, мүн таанарай Эсэгэдэ, өөрынгөө, мүн таанарай Бурханда бусанаб», – гэжэ хэлэ.
JHN.20.18	Магдалай Мария шабинартань ерээд:
JHN.20.18	– Би Дээдын Эзэниие харааб! – гэбэ.
JHN.20.18	Тиигээд Иисусай хэлэһэн үгэнүүдые тэдэндэ дамжуулан дуулгаба.
JHN.20.19	Тэрэл үдэрэйнгөө үдэшэ, ондоогоор хэлэхэдэ, гарагай нэгэнэй үдэшэ шабинарынь суглараад, еврейнүүдэй ахамадуудһаа айжа, үүдээ шэбхэдээд һууба. Тэрэ үедэнь Иисус орожо, тэдэнэй дунда зогсоод:
JHN.20.19	– Амгалан тайбаниие таанадта айладханаб! – гэбэ.
JHN.20.20	Тиигээд тэдээндээ гараа, һүбээгээ харуулба. Шабинарынь Дээдын Эзэнээ хараад, ехэ баярлаба.
JHN.20.21	– Таанарта амгалан тайбан! – гэжэ Иисус дабтан мэндэшэлбэ. – Намайе Эсэгэмни эльгээгээ, баһа бишье таанараа эльгээнэб.
JHN.20.22	Тиигэжэ хэлэмсээрээ, Иисус тэдэн тээшээ үлеэгээд:
JHN.20.22	– Нангин Һүлдые тогтоон абагты!
JHN.20.23	Хэнэй нүгэлые хүлисэнэбта,
JHN.20.23	тэрэнэй нүгэлынь хүлисэгдэхэ,
JHN.20.23	хэнэйхииень хүлисэнэгүйбта,
JHN.20.23	тэрэнэй нүгэлынь хүлисэгдэхэгүй, – гэжэ хэлэбэ.
JHN.20.24	Иисусай ерэхэдэ, арбан хоёр шабиинь нэгэн Фома (далда нэрэнь – Эхир) тэдэнтэй байлсаагүй һэн.
JHN.20.25	– Дээдын Эзэниие бидэ хараабди! – гэжэ Фомада бэшэ шабинарынь хэлэбэ.
JHN.20.25	– Тэрэнэй гарта хадааһаар хадаһанай шарха хараадүйдөө, тэрэ шарха руунь хургаяа хэжэ үзөөдүйдөө, һүбээгэйнь шархые гараараа барижа үзөөдүйдөө, би этигэхэгүйб! – гэжэ Фома харюусаба.
JHN.20.26	Долоо хоноод, Иисусай шабинарынь дахин сугларба, мүнөө тэдэнтэй хамта Фомашье байлсаа. Үүдэнь хаалтатай байгаа. Иисус орожо ерээд, тэдэнэй урда зогсон:
JHN.20.26	– Таанарта амгалан тайбан! – гэбэ. 
JHN.20.27	Удаань Фомада хандажа: – Хургаяа үгэ! Энэ минии гарые барижа үзэ. Гараа һарбайгаад, һүбээгэйм шарха руу хэ! Юумэндэ һэжэг түрэхэеэ боли, этигэжэ яба! – гэбэ.
JHN.20.28	– Дээдын Эзэмни, Бурхамни! – гэжэ Фома хашхараад абаба.
JHN.20.29	– Ши намайе харахадаал этигэбэш. Теэд намайе хараагүй аад, этигэһэн хүнүүд жаргалтай! – гэжэ Иисус тэрээндэ хэлэбэ.
JHN.20.30	Мүн баһа ондоошье Иисусай бүтээһэн олон тоото гайхамшаг дүлгэ тэмдэгүүдые тэрэнэй шабинарынь хараһан байна. Энээн тухай энэ ном соо бэшэгдэбэгүй. 
JHN.20.31	Теэд Иисус болбол Бурханай табисуурта, Бурханай Хүбүүн гэжэ таанарай этигэхын түлөө, Иисуста этигэдэгэйнгээ ашаар амиды ябахынтнай түлөө энэ бүхы юумэн бэшэгдэбэ гээшэ.
JHN.21.1	Энээнэй удаа Тибериада нуурай
JHN.21.2	Симон Петр, Эхир гэжэ ара нэрэтэй Фома, Галилейн Канаһаа гарбалтай Натанаил, Зэбэдэйн хүбүүд, Иисусай ондоо хоёр шабинар бултадаа сугларба.
JHN.21.3	– Би загаһа барихаяа ошохомни, – гэжэ Симон Петр тэдэндэ хэлээ.
JHN.21.3	– Бидэшье шамтай ошолсохомнай, – гэжэ бэшэниинь хэлэбэ.
JHN.21.3	Тэдэнэр онгосодо һуугаад, нуураар тамарба, теэд тэрэ һүни нэгэшье загаһа барибагүй. 
JHN.21.4	Үүр сайжа эхилхэдэ Иисус нуурай эрьедэ зогсожо байба. Теэд шабинарынь Иисусые танибагүй.
JHN.21.5	– Хүбүүд, загаһа бариба гүт? – гэжэ Иисус тэдэнһээ асууба.
JHN.21.5	– Баряагүйбди, – гэжэ тэдэнь харюусаба.
JHN.21.6	– Губшуураа онгосынгоо баруун тээнь хаягты, тиигээ һаа, барихат, – гэбэ Иисус.
JHN.21.6	Тэдэнь гүльмэеэ хаяба, тиихэдэнь гүльмэ соонь татажа гаргахын аргагүй олон загаһа орошоод байба.
JHN.21.7	– Энэ Дээдын Эзэн байна! – гэжэ Иисусай дуратай шабинь Петрто хэлэбэ.
JHN.21.7	Энэ Дээдын Эзэн байна гэжэ дуулахадаа, Симон Петр гадар хубсаһаа үмдөөд, уһа руу һүрэбэ. Энээнэй түрүүн Симон Петр загаһа барихаяа гадар хубсаһаа тайлаад байгаа. 
JHN.21.8	Нүгөөдэ шабинарынь загаһатай гүльмэеэ хойноһоо шэрээд, онгосоороо эрье тээшэ тамарба. Нуурайнь эрье холо бэшэ һэн – зуугаад тухай метртэ байгаа. 
JHN.21.9	Уһанай эрьедэ гарахадаа, носожо байһан улаан сог, дээрэнь загаһа, хажуудань хилээмэ байхые шабинарынь хараба.
JHN.21.10	– Мүнөө бариһан загаһанһаа үшөө нэгэ хэдые асарагты, – гэжэ Иисус тэдэндэ хэлэбэ.
JHN.21.11	Симон Петр уһанай эрьедэ гараад, гүльмэеэ татажа гаргаба, тэндэнь зуун табин гурбан томо гэгшын загаһа дүүрэн ороод байба. Тиимэ олон загаһа ороод байбашье, гүльмэнь таһарбагүй.
JHN.21.12	– Үглөөнэй хоол барихаяа һуугты, – гэбэ Иисус.
JHN.21.12	Ши хэн гээшэбши гэжэ тэрээнһээ асуухаяа шабинарай хэнииньшье зүрхэлбэгүй. Энэмнай Дээдын Эзэн байна гэжэ тэдэнь мэдээ ха юм. 
JHN.21.13	Иисус хажуудань ерэжэ, хилээмэ абаад, тэдэндээ хубааба, мүн загаһа хубаажа үгэбэ. 
JHN.21.14	Амидырһанайнгаа һүүлдэ шабинартаа Иисусай гурбадахияа өөрыгөө үзүүлхэдэнь, тиимэ ушар болоо һэн.
JHN.21.15	Тэдэнэй эдеэлһэн хойно Иисус Симон Петрто хандан:
JHN.21.15	– Иоаннай хүбүүн Симон, ши намда эдэнһээ бүри ехээр дуратай гүш? – гэжэ асууба.
JHN.21.15	– Тиимэ даа, Дээдын Эзэн, шамда минии дуратайе ши мэдэнэ ха юмши, – гэжэ Петр харюусаба.
JHN.21.15	– Минии хурьгадые харууһалжа бай, – гэбэ Иисус. 
JHN.21.16	Тэрээнһээ хоёрдохиёо: – Иоаннай хүбүүн Симон, ши намда дуратай гүш? – гэжэ һураба.
