GEN.1.2	Umhlaba wawulihlane lelingenalutfo, bumnyama babumbonye emanti nekujula kwawo; Moya waNkulunkulu
JER.3.9	Njengobe bugwadla ba-Israyeli abusho lutfo kuye, walingcolisa live, waphinga netithico letingematje naletitigodvo. 
JER.3.10	Ngetulu kwako konkhe loko, dzadzewabo longetsembeki, Juda, akazange abuyele kimi ngayo yonkhe inhlitiyo yakhe, kodvwa kwaba ngekutentisa nje,” kusho Simakadze.
JER.3.12	Hamba, umemetele lombiko ngasenyakatfo utsi:
JER.3.12	“ ‘Buya Israyeli longaketsembeki,’ kusho Simakadze.
JER.3.12	‘Ngingeke ngisaphindza ngikuswacele,
JER.3.12	ngobe nginemusa,’ kusho Simakadze.
JER.3.12	‘Ngingeke ngisakutfukutselela siphelane.
JER.3.13	lekutsi umhlubukile Simakadze Nkulunkulu wakho,
JER.3.13	usakate kutsandza kwakho kubonkulunkulu betive
JER.3.13	ngaphansi kwato tonkhe tihlahla letendlala emagala ato,
JER.3.13	wangete wangilalela mine,’ ” kusho Simakadze.
JER.3.14	“Buyani, nine bantfu labangaketsembeki,” kusho Simakadze, “ngobe mine ngiyindvodza yenu. Ngiyawukhetsa munye wenu kuwo onkhe emadolobha enu, ngikhetse babili kuto tonkhe tinsendvo tenu, bese nginimikisa eSiyoni.
JER.3.16	Ngalawo malanga nase nandzile naba banyenti kakhulu eveni,” kusho Simakadze, “bantfu bangeke basasho batsi: ‘Libhokisi lesivumelwane saSimakadze.’ Kungeke kusangena ngisho nasetingcondvweni tabo, futsi kungeke kukhunjulwe kugejeke, futsi kungeke kuphindze kwenteke. 
JER.3.17	Ngalawo malanga iJerusalema bayawuyibita ngekutsi Sihlalo Sebukhosi SaSimakadze, tonkhe tive tiyawubutsana eJerusalema, tiyewuhlonipha Libito laSimakadze. Bangeke basayilandzela inkhani yetinhlitiyo tabo letimbi. 
JER.3.18	Kulawo malanga indlu yakaJuda iyawutihlanganisa nendlu yaka-Israyeli, bete kanyekanye baphuma eveni lelingasenyakatfo, batewungena eveni lengalipha boyisemkhulu kutsi libe lifa labo.”
JER.3.19	“Mine cobo lwami, ngatsi:
JER.3.19	‘Bengingajabula kanjani
JER.3.19	kuniphatsisa kwemadvodzana ami,
JER.3.19	ngininike live lelifanelekile kakhulu,
JER.3.19	lifa lelihle kakhulu kwendlula tonkhe letinye tive.’
JER.3.19	Bengicabanga ngitsi nitangibita, nitsi kimi: ‘Babe,’
JER.3.19	ningajiki ekulandzeleni mine.
JER.3.20	Kodvwa njengemfati longaketsembeki endvodzeni yakhe,
JER.3.20	kanjalo, wenandlu yaka-Israyeli, awuketsembeki kimi,”
JER.3.20	kusho Simakadze.
JER.3.21	letingamili lutfo,
JER.3.21	yebo, kukhala nekuncenga kwesive saka-Israyeli,
JER.3.21	ngobe siphambukise tindlela taso,
JER.3.21	samkhohlwa Simakadze Nkulunkulu waso.
JER.3.22	“Ncandzekani sive lesingaketsembeki,
JER.3.22	ngiyawunelapha kulokuhlubuka kwenu.”
JER.3.22	“Yebo, siyakuta kuwe,
JER.3.22	ngobe wena unguSimakadze Nkulunkulu wetfu.
JER.3.23	yebo, kuyaluka emagcumeni
JER.3.23	nasetintsabeni kutiyenga nje.
JER.3.23	Impela insindziso yaka-Israyeli
JER.3.23	ikuSimakadze Nkulunkulu wetfu.
JER.3.24	Kusukela ebusheni betfu bonkulunkulu labangemahlazo
JER.3.24	badle titselo tetitfukutfuku tabokhokho betfu,
JER.3.24	lekungimihlambi yabo yetimvu neyetimbuti
JER.3.24	nemihlambi yabo yetinkhomo,
JER.3.24	yebo, emadvodzana abo nemadvodzakati abo.
JER.3.25	sidliwe ngemahloni.
JER.3.25	Sonile kuSimakadze Nkulunkulu wetfu,
JER.3.25	yebo, tsine kanye nabobabe betfu;
JER.3.25	kusukela ebusheni betfu kuze kube ngulamuhla,
JER.3.25	asikamlaleli Simakadze Nkulunkulu wetfu.”
JER.4.1	“Awu, Israyeli, nawungamane uphendvuke nje,
JER.4.1	ubuye kimi,” kusho Simakadze.
JER.4.1	“Nawungesusa letithico takho letitinengiso,
JER.4.1	lapha embikwami, ungabe usanhlanhlatseka,
JER.4.2	ngekweliciniso nangekulunga, utsi:
JER.4.2	‘Ngifunga kuphila kwaSimakadze,’
JER.4.2	tive-ke tiyawubusiswa ngaye
JER.4.2	tidvumise kuye futsi.”
JER.4.3	“Limani umhlaba wenu longakalinywa,
JER.4.3	ningahlanyeli nje ekhatsi emanyeveni.
JER.4.4	sokani tinhlitiyo tenu,
JER.4.4	nitinikele kuye ngalokuphelele,
JER.4.4	nine madvodza akaJuda nesive saseJerusalema.
JER.4.4	Ngaphandle kwaloko lulaka lwami
JER.4.4	lutawucitseka luvutse njengemlilo
JER.4.4	ngenca yebubi lenibentile,
JER.4.4	luvutse, kubete nalongalucisha.”
JER.4.5	“ ‘Shayani licilongo kulo lonkhe live!’
JER.4.5	Memetani kakhulu nitsi:
JER.4.5	‘Butsanani ndzawonye!
JER.4.5	Asibalekeni siye emadolobheni labiyelwe.’
JER.4.6	Balekani nitewusindza, ningephutisi.
JER.4.6	Ngobe ngiletsa inhlekelele
JER.4.6	lechamuka ngasenyakatfo,
JER.4.6	yebo, imbhubhiso leyesabekako.”
JER.4.7	umbhubhisi wetive sewuphumele ngephandle.
JER.4.7	Selisukile endzaweni yalo, litewuphundla lelive lenu.
JER.4.7	Emadolobha enu atawuba tindzala,
JER.4.7	abete bantfu labahlala kuwo.
JER.4.8	ngobe intfukutselo leyesabekako yaSimakadze
JER.4.8	ayikesuki kitsi.
JER.4.9	Simakadze utsi:
JER.4.9	“Ngalelo langa, inkhosi netindvuna
JER.4.9	bayawuphelelwa ngemandla,
JER.4.9	baphristi bayawukwesaba,
JER.4.9	nebaphrofethi bayawutfutfumela.”
JER.4.11	Ngalelo langa lesive kanye nebantfu baseJerusalema bayawutjelwa kutsiwe: “Umoya loshisako lochamuka etindzaweni letiphakeme tasehlane uhhusha ucondze kulesive sami, kodvwa hhayi kutewuhlunga nome kutewuhlambulula; 
JER.4.12	yebo, umoya lonemandla kakhulu kunaloko uphuma kimi.
JER.4.13	tincola takhe temphi
JER.4.13	tiyayalutela njengesiwunguwungwana,
JER.4.13	emahhashi akhe agijima kwendlula tinsweti.
JER.4.14	Maye Jerusalema, geza bubi lobusenhlitiyweni yakho,
JER.4.14	khona utewusindziswa.
JER.4.14	Uyawuyifukamela kuze kube ngunini
JER.4.14	lemicabango yakho lemibi?
JER.4.15	limemetela inhlekelele lesuka emagcumeni aka-Efrayimu.
JER.4.16	“Khulumani loku etiveni,
JER.4.16	nikumemetele eJerusalema, nitsi:
JER.4.16	‘Imphi letewuvimbetela iphuma eveni lelikhashane,
JER.4.16	isuse umsindvo wekuhlaba inyandzaleyo,
JER.4.16	kutsi kuhlaselwe emadolobha akaJuda.
JER.4.17	ngobe ungihlubukile,’ ” kusho Simakadze.
JER.4.18	“Kutiphatsa kwakho netento takho,
JER.4.18	nguko lokwehlisele loku etikwakho.
JER.4.18	Lesi sijeziso sakho.
JER.4.18	Maye, kubuhlungu bo! Maye, kuyayihlaba inhlitiyo bo!”
JER.4.19	Ngiyashumpha etinhlungwini tami.
JER.4.19	Maye, kuqaqamba kwenhlitiyo yami!
JER.4.19	Inhlitiyo yami iyaqaqamba ngekhatsi kwami,
JER.4.19	ngehluleka nekubindzisa.
JER.4.19	Ngobe ngikuvile kukhala kwelicilongo,
JER.4.19	ngikuvile kuhlatjwa kwemkhosi wemphi.
JER.4.20	Inhlekelele ilandzela inhlekelele,
JER.4.20	live lonkhe lisele litindzala.
JER.4.20	Ngekucwabita kweliso emathende ami asabhidlitiwe,
JER.4.20	yebo, umkhukhu wami ngesikhashana nje.
JER.4.21	Sekuyawuze kube ngunini
JER.4.21	solomane ngibuka lesiboniso semphi,
JER.4.21	ngilalele umsindvo welicilongo?
JER.4.22	Babantfwana labangenangcondvo, abanako nekucondza.
JER.4.22	Babochwephesha ekwenteni lokubi,
JER.4.22	abakwati kwenta lokuhle.”
JER.4.23	ngabuka nasemazulwini, kukhanya kwawo kwase kunyamalele.
JER.4.24	Ngabuka tintsaba,
JER.4.24	nato tatinyikanyika,
JER.4.24	onkhe emagcuma abeyendza.
JER.4.25	tonkhe tinyoni tesibhakabhaka
JER.4.25	tase tindizile, tabaleka.
JER.4.26	Ngatsi ngiyabuka,
JER.4.26	ngakhandza lelive lelalivundzile selilihlane,
JER.4.26	onkhe emadolobha alo abesatindzala embikwaSimakadze,
JER.4.26	embikwentfukutselo yakhe leyesabekako.
JER.4.27	“Live lonkhe litawuphundleka,
JER.4.27	noko ngingeke ngilibhubhise liphele nya.
JER.4.28	Ngako-ke umhlaba utawulila,
JER.4.28	nemazulu ngetulu agucuke abe mnyama,
JER.4.28	ngobe sengikhulumile,
JER.4.28	futsi ngingeke ngibuye ngigucuke,
JER.4.28	sengincumile, futsi ngingeke ngijike.”
JER.4.29	Kutsi nakuvakala umsindvo
JER.4.29	webagibeli bemahhashi nalabanemba ngebutjoki,
JER.4.29	onkhe emadolobha abaleke.
JER.4.29	Labanye bantfu babaleka bayewubhaca emahlatsini,
JER.4.29	labanye bekhwela etulu emadvwaleni.
JER.4.29	Onkhe emadolobha asele akhala libhungane,
JER.4.29	kute namunye lohlala kuwo.
JER.4.30	Wentani wena lobhidlitiwe?
JER.4.30	Utembatsiselani ngaletibovu klebhu
JER.4.30	wegabe nebuhlalu begolide?
JER.4.30	Emehlo akho uwagcobiseleni ngapende?
JER.4.30	Utihlobisela lite.
JER.4.30	Emashende akho ayakwedzelela,
JER.4.30	afuna kukubulala.
JER.4.31	Ngiva kukhala lokunjengekwemfati lophetfwe ngumhelo,
JER.4.31	kuquma lokunjengekwalowo lobeleka litubulo lakhe,
JER.4.31	kukhala kweNdvodzakati yaseSiyoni,
JER.4.31	lephefumulela etulu, leyelula tandla tayo itsi:
JER.4.31	“Maye, ngiyacaleka,
JER.4.31	kuphila kwami kunikelwe etandleni tebabulali.”
JER.5.1	calatani ndzawo tonkhe nicabange kahle,
JER.5.1	phenyisisani tonkhe tinkhundla tayo.
JER.5.1	Naningakhandza nome munye nje umuntfu
JER.5.1	lowenta tintfo ngekwetsembeka,
JER.5.1	afune liciniso,
JER.5.1	ngitalitsetselela lelidolobha.
JER.5.2	Nome bakhuluma batsi:
JER.5.2	‘Ngifunga kuphila kwaSimakadze,’
JER.5.2	noko basafunga emanga.”
JER.5.3	akafuni lona yini liciniso?
JER.5.3	Wabashaya, kodvwa abazange babuve buhlungu,
JER.5.3	wabapitjita, kodvwa bakwala kucondziswa.
JER.5.3	Benta buso babo baba lukhuni kunelitje,
JER.5.3	bala kuphendvuka.
JER.5.4	Ngacabanga ngatsi: “Laba ngulabamphofu bodvwa,
JER.5.4	batilima, ngobe abayati indlela yaSimakadze,
JER.5.4	imiyalo lefunwa nguNkulunkulu wabo, kubo.
JER.5.5	ngempela, bayayati indlela yaSimakadze,
JER.5.5	imiyalo lefunwa nguNkulunkulu wabo, kubo.”
JER.5.5	Kodvwa nabo futsi nganhlitiyonye
JER.5.5	balephula lijoko,
JER.5.5	batidzabula netibopho.
JER.5.6	leliphuma ehlatsini,
JER.5.6	batawuphangwa yimphisi lephuma ehlane,
JER.5.6	ingwe itawubalalela endleleni
JER.5.6	edvutane nemadolobha abo;
JER.5.6	itemdzabudzabula abe ticucu
JER.5.6	nome ngubani lotsi uyaphuma,
JER.5.6	ngobe kuhlubuka kwabo kukhulu,
JER.5.6	nekweduka kwabo kunyenti.
JER.5.7	“Kufanele ngani kutsi nginitsetselele?
JER.5.7	Bantfwabenu bangishiyile mine,
JER.5.7	bafunga ngemabito abonkulunkulu
JER.5.7	labangesibo bonkulunkulu.
JER.5.7	Ngabanika konkhe lababekweswele,
JER.5.7	noko bachubeka nekuphinga,
JER.5.7	babutsana etindlini tetingwadla.
JER.5.8	nguleyo ikhalela umfati walenye indvodza.
JER.5.9	kusho Simakadze.
JER.5.9	“Akukafaneli yini ngitenanele mine
JER.5.9	kulesive lesifanana nalesi?
JER.5.10	kodvwa ungatibhubhisi tiphele titsi nya.
JER.5.10	Waphundle emagala ato,
JER.5.10	ngobe labantfu abasibo baSimakadze.
JER.5.11	Indlu yaka-Israyeli nendlu yakaJuda
JER.5.11	betingaketsembeki nakancane nje kimi,”
JER.5.11	kusho Simakadze.
JER.5.12	“Kute latakwenta!
JER.5.12	Kute lokubi lokutasehlela,
JER.5.12	singeke siyibone inkemba nome indlala.
JER.5.13	Baphrofethi bangumoya nje,
JER.5.13	kute nelivi kubo;
JER.5.13	ngako akwenteke kubo loko labakushoko.”
JER.5.14	Ngako naku lokushiwo nguSimakadze Nkulunkulu longuSomandla, utsi:
JER.5.14	“Njengobe bantfu bakhulume lamavi,
JER.5.14	emavi ami ngitawenta abe ngumlilo emlonyeni wakho,
JER.5.14	labantfu babe tinkhuni letitawudliwa ngiwo.
JER.5.15	“ngitawuletsa sive lesikhashane sitekulwa nani,
JER.5.15	sive sasendvulo lesicinile,
JER.5.15	sive lesikhuluma lulwimi leningalwati,
JER.5.15	yebo, lesikhuluma lulwimi leningaluva.
JER.5.16	Imigodla yaso injengelithuna lelivulekile,
JER.5.16	bonkhe bangemachawe lanemandla.
JER.5.17	bashwabudzele emadvodzana nemadvodzakati enu,
JER.5.17	bashwabudzele imihlambi yenu yetimvu neyetinkhomo,
JER.5.17	bashwabudzele emavini enu nemikhiwa yenu.
JER.5.17	Lamadolobha enu labiyelwe lenetsembele kuwo
JER.5.17	batawabhubhisa ngenkemba.”
JER.5.19	Bantfu nabakubuta, Jeremiya, batsi: ‘Simakadze ukwenteleni konkhe loku kitsi?’ uyawubatjela utsi: ‘Njengobe ningishiyile mine nakhonta labanye bonkulunkulu betive eveni lenu, ngako manje seniyawukhonta betive eveni lekungesilo lenu.’ ”
JER.5.20	“Memetelani loku endlini yaJakobe,
JER.5.20	nikumemetele nakaJuda nitsi:
JER.5.21	labatilima nalabangenangcondvo,
JER.5.21	labatsi banemehlo
JER.5.21	kodvwa babe bangaboni,
JER.5.21	labatsi banetindlebe
JER.5.21	kodvwa babe bangeva:
JER.5.22	“Akufanele yini nitfutfumele ebukhoneni bami?
JER.5.22	Ngenta sihlabatsi saba ngumnyele welwandle,
JER.5.22	umtsangala waphakadze lolungeke luwengce.
JER.5.22	Emagagasi angakhephuka, kodvwa angeke aphumelele,
JER.5.22	angabhodla, kodvwa angeke awengce.
JER.5.23	Kodvwa labantfu banenkhani
JER.5.23	netinhlitiyo letihlubukako,
JER.5.23	bakhweshele eceleni bahamba.
JER.5.24	‘Asesabe Simakadze Nkulunkulu wetfu,
JER.5.24	lowehlisa timvula tasekwindla netasentfwasahlobo,
JER.5.24	ngesikhatsi lesifanele;
JER.5.24	losinika siciniseko ngekutsi
JER.5.24	sikhatsi sekuvuna sitawufika.’
JER.5.25	Konkhe loku kuvinjwe kona kwenu,
JER.5.25	tono tenu tinemuke lokuhle.
JER.5.26	“Emkhatsini wesive sami kukhona emadvodza lamabi
JER.5.26	labahlala bagadzile njengebantfu labetsiya tinyoni,
JER.5.26	nanjengalabo lababekela bantfu tingibe tekubabamba.
JER.5.27	Tindlu tabo tigcwele emacebo
JER.5.27	njengetindlu tetinyoni letigcwele tinyoni;
JER.5.27	sebaze banjinga baba nemandla,
JER.5.28	Tento tabo letimbi atinamkhawulo,
JER.5.28	ababameleli labo labate boyise kutsi bangalahlwa licala,
JER.5.28	abawalweli nemalungelo alabamphofu.”
JER.5.29	Simakadze utsi:
JER.5.29	“Akukafaneli yini kutsi ngibajezise ngaloku?
JER.5.29	Akukafaneli yini kutsi ngitenanele kulesive lesinje?
JER.5.30	“Kwenteke intfo lembi naleshacisako eveni:
JER.5.31	baphristi baphetse ngeligunya labo,
JER.5.31	nebantfu bami bakutsandza ngaleyo ndlela.
JER.5.31	Kodvwa nitakwenta njani ekupheleni?”
JER.6.1	Sukani eJerusalema nibaleke!
JER.6.1	Shayani impalampala eThekhowa!
JER.6.1	Phakamisani siboniso semlilo eBhethi Hakheremu!
JER.6.1	Ngobe kulunguta inhlekelele, ichamuka ngasenyakatfo,
JER.6.1	yebo, imbhubhiso lenkhulu.
JER.6.2	Ngiyawuyibhubhisa iNdvodzakati yaseSiyoni,
JER.6.2	lenhle kangaka naleyincelencele kangaka.
JER.6.3	kanye nemihlambi yabo
JER.6.3	bayawumisa emathende abo bayitungelete,
JER.6.3	ngulowo nalowo anakekele indzima yakakhe.”
JER.6.4	Batsi: “Tilungiseleleni imphi yekubhekana nayo!
JER.6.4	Sukumani nihlasele kusesemini!
JER.6.4	Kodvwa bukani, kukhanya kwelilanga sekuyafiphala,
JER.6.4	nematfunti akusihlwa semadze.
JER.6.5	Ngako-ke sukumani,
JER.6.5	asihlasele ebusuku,
JER.6.5	sibhubhise tinqaba tayo!”
JER.6.6	Naku lokushiwo nguSimakadze longuSomandla, utsi:
JER.6.6	“Gawulani tihlahla,
JER.6.6	nibutsise tindvundvuma tekuvimbetela iJerusalema.
JER.6.6	Lelidolobha kufanele lijeziswe;
JER.6.6	ligcwele incindzetelo.
JER.6.7	Njengemtfombo umpompota emanti awo,
JER.6.7	nalo liwukhafula kanjalo-ke umonakalo walo.
JER.6.7	Budlwangudlwangu nembhubhiso kuhokoma kulo,
JER.6.7	kugula kwalo nemanceba alo asembikwami njalo.
JER.6.8	Tsatsa seluleko, wena Jerusalema,
JER.6.8	nome-ke ngitakufulatsela nawungasitsatsi,
JER.6.8	live lakho ngilente lisale lilihlane,
JER.6.8	khona kutebate umuntfu lohlala kulo.”
JER.6.9	Naku lokushiwo nguSimakadze longuSomandla, utsi:
JER.6.9	“Abakhukhute insali yaka-Israyeli,
JER.6.9	bayikhwimite njengemvini;
JER.6.9	phindza wendlulise sandla sakho etikwemagala,
JER.6.9	ulingise umuntfu lovuna emagelebisi.”
JER.6.10	Ngubani lotangilalela?
JER.6.10	Tindlebe tabo tivalekile,
JER.6.10	Livi laSimakadze lisikhubekiso kubo,
JER.6.10	abajabuli ngalo.
JER.6.11	futsi ngingeke ngisalubeketelela lukimi.
JER.6.11	Simakadze wase utsi kimi:
JER.6.11	“Lutfululele kubantfwana labasetitaladini,
JER.6.11	nasemajaheni labutsene ndzawonye;
JER.6.11	bonkhe bafati nemadvodza abo bayawubhajwa kulo,
JER.6.11	kanye nalabadzala labo lasebahanjelwe ngiminyaka.
JER.6.12	konkhe kanye nemasimi abo nebafati babo,
JER.6.12	nangiphindza ngelula sandla sami
JER.6.12	kulabo labahlala kulelo live,” kusho Simakadze.
JER.6.13	bonkhe babogubhela kwesabo;
JER.6.13	baphrofethi nebaphristi bayafanana,
JER.6.13	bonkhe bayayengana.
JER.6.14	kube shangatsi yintfo nje lengenamsebenti,
JER.6.14	babe batsi: ‘Kuthula, kuthula,’
JER.6.14	kube kantsi kute nalokuthula.
JER.6.15	Kantsi banawo yini emahloni
JER.6.15	ngemanyala abo labawentako?
JER.6.15	Cha, bate nalamancane nje emahloni,
JER.6.15	abakwati ngisho nekukhophota.
JER.6.15	Ngako batakuwela kulabawile,
JER.6.15	bayawukwehliselwa phansi nangibajezisa,”
JER.6.15	kusho Simakadze.
JER.6.16	“Manini emahlanganweni etindlela, nibuke,
JER.6.16	butani tindlela takadzeni,
JER.6.16	butani kutsi nguyiphi indlela lelungile,
JER.6.16	bese nihamba ngayo,
JER.6.16	niyawutfola kuphumula kwemiphefumulo yenu.
JER.6.16	Kodvwa nine natsi: ‘Singeke sihambe ngayo.’
JER.6.17	‘Lalelani kukhala kwempalampala,’
JER.6.17	kodvwa nine natsi: ‘Ngeke sikulalele.’
JER.6.18	Ngako lalelani, nine tive.
JER.6.18	Caphelisisani, nani bofakazi,
JER.6.18	kutsi kuyakwenteka njani kubo.
JER.6.19	Awu mhlaba, vani!
JER.6.19	Ngitakwehlisela inhlekelele kulesive,
JER.6.19	sitselo semacebo abo,
JER.6.19	ngobe abakawalaleli emavi ami,
JER.6.19	bawala nemtsetfo wami.
JER.6.20	nome-ke nemakha ekhalamusi lanongotelako
JER.6.20	laphuma eveni lelikhashane?
JER.6.20	Iminikelo yenu yekushiswa ayikemukeleki kimi,
JER.6.20	nemihlatjelo yenu ayingijabulisi.”
JER.6.21	Ngako-ke naku lokushiwo nguSimakadze, utsi:
JER.6.21	“Ngiyawubeka emavimbandlela embikwalesive.
JER.6.21	Boyise kanye nemadvodzana bayawukhutjwa kuwo,
JER.6.21	bomakhelwane kanye nebangani bayawubhubha.”
JER.6.22	“Buka, kuta imphi,
JER.6.22	lechamuka eveni langasenyakatfo,
JER.6.22	sive lesikhulu sichukulutiwe,
JER.6.22	sisukela emikhawulweni yemhlaba.
JER.6.23	Bahlome ngebutjoki nangesikhali;
JER.6.23	banelulaka, abanamusa.
JER.6.23	Bevakala njengelwandle loludvumako,
JER.6.23	nabagijima ngemahhashi abo;
JER.6.23	beta njengebantfu labavivele imphi,
JER.6.23	batewuhlasela wena,
JER.6.23	awu, Ndvodzakati yaseSiyoni.”
JER.6.24	saphela emandla,
JER.6.24	imikhono yetfu iyalenga nje kitsi,
JER.6.24	sibanjwe kudzabuka nekwesaba lokukhulu,
JER.6.24	tinhlungu letifanana netemfati lobelekako.
JER.6.25	Ningaphumeli emasimini,
JER.6.25	nome-ke nihambe emigwacweni,
JER.6.25	ngobe sitsa siphetse inkemba,
JER.6.25	kuyesabeka yonkhe indzawo.
JER.6.26	nitiphucaphuce emlotseni;
JER.6.26	lilani ngekudzabuka lokukhulu,
JER.6.26	kube shangatsi kwendvodzana lekukuphela kwayo,
JER.6.26	ngobe umbhubhisi uyakusitselekela
JER.6.26	ngekushesha lokukhulu.
JER.6.27	nebantfu bami bayinsimbi,
JER.6.27	khona utewucaphela utivivinye tindlela tabo.
JER.6.28	bahambe bahlambalata.
JER.6.28	Balukhuni balitfusi nensimbi,
JER.6.28	bonakele bonkhe ngetento tabo letimbi.
JER.6.29	Umfutfo uyafutseka kuyesabisa,
JER.6.29	kutsi utewushisa umtfofu ngemlilo,
JER.6.29	kodvwa kucengisiselwa lite nje,
JER.6.29	ngobe laba lababi abakhishwa.
JER.6.30	Babitwa ngekutsi bayisiliva lelahlwako,
JER.6.30	ngobe mine Simakadze ngibalahlile.”
JER.7.1	Leli livi laSimakadze lelefika kuJeremiya, latsi: 
JER.7.2	“Mani esangweni lendlu yaSimakadze; ushumayele umemetele nankha emavi:
JER.7.2	“ ‘Vanini livi laSimakadze, nonkhe nine sive sakaJuda leningena kulamasango kuyawukhonta Simakadze. 
JER.7.3	Naku lokushiwo nguSimakadze longuSomandla, Nkulunkulu wema-Israyeli, utsi: Guculani tindlela tenu kanye netento tenu tilunge, khona ngiyawunivumela kutsi nihlale kulendzawo. 
JER.7.4	Ningawetsembi lamagama langemanga nitsi: “Leli lithempeli laSimakadze, lithempeli laSimakadze, lithempeli laSimakadze!” 
JER.7.5	Nanitigucula ngempela tindlela tenu netento tenu, niphatsane ngekwemtsetfocotfo, 
JER.7.6	naningabacindzeteli labo bekuhamba, nalabangenaboyise, nebafelokati, ningayicitsi nengati lengenacala kulendzawo, ningabalandzeli labanye bonkulunkulu kutsi nitilimate nine, 
JER.7.7	mine-ke ngiyawunenta nihlale kulendzawo, eveni lengalipha boyihlomkhulu kutsi libe labo phakadze naphakadze. 
JER.7.8	Kodvwa bukani la, nine netsembele emavini langemanga nalangenamsebenti.
JER.7.10	bese niyeta nitewuma lapha embikwami kulendlu leneLibito lami, nitsi: “Siphephile,” kambe niphephele kutsi nente tonkhe letintfo letisinengiso? 
JER.7.11	Kungabe lendlu, leneLibito lami, seyigucuke yaba ngumhume wabosidlani yini lapha kini? Kodvwa bengisolomane ngibuka! Kusho Simakadze.
JER.7.13	Ngesikhatsi nenta tonkhe letintfo, bengikhuluma kini njalonjalo ngaletintfo, kodvwa anikangilaleli; nginibitile, kodvwa anikasabeli, kusho Simakadze. 
JER.7.14	Ngako-ke loko lengakwenta eShilo, ngisetakwenta nanyalo kulendlu lebitwa ngeLibito lami, lelithempeli lenetsembele kulo, nendzawo lengayipha nine kanye naboyihlomkhulu. 
JER.7.15	Ngitanikhipha lapha ebukhoneni bami nginilahle, njengaloku ngenta kubomnakenu, sonkhe sive saka-Efrayimu.’ ”
JER.7.17	Awuboni yini kutsi bentani kulamadolobha akaJuda, nasetitaladini taseJerusalema? 
JER.7.18	Bantfwana batfota tinkhuni, emadvodza alumekela imililo, bafati badovana nenhlama, babhaka emakhekhe eNdlovukazi yeliZulu. Batfulula iminikelo yetinatfo kulabanye bonkulunkulu bentela kuchukuluta lulaka lwami. 
JER.7.19	Kodvwa ngimi yini lona labamchukulutako? kusho Simakadze. Abatilimati bona yini, batitsele bona ngelihlazo?
JER.7.20	“Ngako-ke naku lokushiwo yiNkhosi Simakadze, itsi: Intfukutselo yami kanye nelulaka lwami kutawutfululelwa etikwalendzawo, etikwebantfu netinkhomo, etikwetihlahla tesiganga kanye nasetikwetitselo temhlaba, lutawuvutsa lungaphindzi lucimeke.
JER.7.21	“Naku lokushiwo nguSimakadze longuSomandla, Nkulunkulu wema-Israyeli, utsi: Chubekani, yengetani leminikelo yenu yekushiswa kulena leminye imihlatjelo yenu, nijinge nitidlele kwanine lenyama! 
JER.7.22	Ngobe ngesikhatsi ngikhipha boyihlomkhulu eGibhithe, ngikhuluma kubo, angizange ngibanike imiyalo ngeminikelo yekushiswa nangemihlatjelo, 
JER.7.23	kodvwa ngabanika umyalo lotsi: Ngilaleleni, mine-ke ngiyawuba nguNkulunkulu wenu, nine nibe sive sami. Hambani ngato tonkhe tindlela tami lenginiyale ngato, kuze kunihambele kahle. 
JER.7.24	Kodvwa abazange balalele, futsi abanakanga nekunaka; esikhundleni saloko balandzela kutsambekela kwenkhani yetinhlitiyo tabo letimbi. Babuyela emuva, bangete baya embili. 
JER.7.25	Kusukela ngesikhatsi lekwaphuma ngaso boyihlomkhulu eveni laseGibhithe, kuze kube ngunyalo, benginitfumelela tinceku tami baphrofethi lilanga ngelilanga njalo nje. 
JER.7.26	Kodvwa abazange bangilalele, abanginakanga nekunginaka. Bacinisa tinhloko tabo, benta tono letinyenti kakhulu kunaletentiwa boyisemkhulu.
JER.7.27	“Nawubatjela konkhe loku, bangeke bakulalele; nawubabita, bangeke basabele. 
JER.7.28	Ngako-ke tsani kubo: ‘Lesi sive lesingamlalelanga Simakadze Nkulunkulu waso, futsi asiphendvukanga nasicondziswa. Liciniso seliphelile; linyamalele emilonyeni yabo. 
JER.7.29	Hhulani tinwele tenu, nine bantfu baseJerusalema, nitilahle, nilile sililo emagcumeni laphakeme, ngobe Simakadze usilahlile, wasishiya lesitukulwane lesingaphansi kwelulaka lwakhe.’ ”
JER.7.30	“ ‘Sive sakaJuda sente bubi emehlweni ami, kusho Simakadze. Bagcumeke tithico tabo letitinengiso endlini lebitwa ngeLibito lami, bayingcolisa. 
JER.7.31	Bakhe tindzawo letiphakeme taseThofethi
JER.7.32	Ngako-ke caphelani, ayeta emalanga, kusho Simakadze, lapho bantfu bangasayikuyibita ngekutsi yiThofethi
JER.7.33	Tidvumbu talabo bantfu tiyawuba kudla kwetinyoni tasemoyeni nekwetilwane tesiganga; kuyawubate nalokuyatetfusa, aticoshe. 
JER.7.34	Ngiyawucedza imisindvo yekujabula neyekutsakasa, ngicedze neliphimbo lemyeni nelamakoti emadolobheni akaJuda nasetitaladini taseJerusalema, ngobe lelive liyawusala likhala libhungane.’ ”
JER.8.1	“ ‘Simakadze utsi: Ngaleto tikhatsi, ematsambo emakhosi newetindvuna takaJuda, nematsambo ebaphristi newebaphrofethi, nematsambo ebantfu baseJerusalema ayawususwa emadlizeni abo. 
