GEN.1.1	Me'ttia'ye Chigaja sefacco, andeve'qque agattoen. 
ACT.8.1	Tsequi a'ta tsa'caen tsomba ñoa'me iyicca'yepa mandiañe ashaen'fa Jerusaléni'su Jesúsve in'jan'chondeccuma'qque. Tsa'cansi poiyi'cco dyopa ccuyapa jaja'fa. Majanjan Judea andeni, majanjan Samaria andeni'qque jaja'fa. Nane tsa doce Jesúsne afasundeccuyi tsu toya Jerusaléni can'jen'fa. 
ACT.8.2	Tsa'ma tsa'caen ccuya'fasi majan Chigave in'jan'chondeccuja Estebanma mende'yepa a'tu'fa. Tsa'caen a'tupa tsain'bitsse i'na'fa Estebane.
ACT.8.3	Toya'caen Jesúsve in'jan'chondeccuma iyicca'yepa mandian'jen'fasi Saulo'qque fae'ngae mandian'jen. Faesu tsa'o, faesu tsa'onga ca'nimba tsandie pushesuma'qque indipa angapa piccoje'cho ettinga picco.
ACT.8.4	Tsa'ma majan Jerusaléne ccuyapa mani ja'a'qque toyayi Chiga Aya'fa ñotsse condase'choma condase'fa. 
ACT.8.5	Tsa'camba Felipeja Samaria ande'su canqqueni japa Cristone condaseye ashaen. 
ACT.8.6	Tsonsi aindeccuja bopa Felipe afa'je'choma paña'jen'fa. Sefacconi'su canjaen'choma'qque canjaensi tsama attepa fae injama'choa'caeñi in'jamba paña'fa tise su'choma. 
ACT.8.7	Nane majan cocoya ca'ni'chondeccuma ccushaensi tsendeccu'ye cocoya'qque fundopa somboin ja. Toya'caen tsain'bio ccutsumbindeccu, ccareshendeccuma'qque Felipeja ccushashaen'jen. 
ACT.8.8	Tsa'caen tsonsi tsa canqque'su aindeccuja avujatssi'fa.
ACT.8.9	Tseni tsu can'jen fae tsandie tise inise Simón. Tsaja tayopi coragave dapa poiyi'cco samariasundeccunga mágicoa'caen canjan'jen. Tsa'caen canjan'jemba tisuja joccapitssia a'i qquen tsu aindeccuma in'jaen. 
ACT.8.10	Nane toya Felipe jimbi'te poiyi'cco a'i majan ti'tsse'tssia, majan utu'ccoa Simón su'choma ñotsse paña'fa. Pañamba tisema qquen su'fa:
ACT.8.10	—Va tsandieja Chiga'caeñi tsu osha'choma oshacho.
ACT.8.11	Tsa'caen in'jamba tsain'bitssi canqque'fave tise su'choma paña'fa. Nane Simónjan mágicopa tsa'caen canjaensi Samariasundeccuja tsama can'boemba tisema ñotsse paña'fa. 
ACT.8.12	Tsa'ma Felipe jipa Chiga aindeccuve daya'chone toya'caen Jesucristove in'jaña'chone'qque condasesi tsendeccuja pañamba in'jan'fa. Tsa'caen Jesucristove in'jamba tsandiendeccu, pushesundeccu'qque fetiye'fa. 
ACT.8.13	Toya'caen Simón'qque Cristove in'jamba fetiye. Fetiyepa Felipei'ccu fae'ngae jacañe ashaen. Sefani'su canjaen'cho, sefani'su agattoen'choma'qque attepa can'boemba asi'ttaen.
ACT.8.14	Tsa'caen da'fasi Jerusaléni can'jen'cho Jesúsne afasundeccu paña'fa Samariasundeccu Chiga Aya'fama paña'jen'fa'choma. Tsa'caen pañamba Pedro, Juanma'qque tseni mandamoen'fa. 
ACT.8.15	Tsonsi japa Samariani napipa Chigama iñajan'fa Samaria'su Jesúsve in'jan'chondeccune cuintsu Chiga Qquendya'pa tsendeccunga ca'niñe. 
ACT.8.16	Nane Chiga Qquendya'paja toya majangayi'qque tseni'su a'inga ca'nimbisi aqquiayi Na'su Jesús a'ive dapa fetiye'fa'cho. 
ACT.8.17	Tsa'cansi Pedro, Juan'qque Chigama iñajamba tivei'ccu tsendeccuma pporaensi tse'faei'ccuyi Chiga Qquendya'paja tsendeccunga ca'ni.
ACT.8.18	Tsa'caen Jesúsne afasundeccu tise'pa tivei'ccu a'ima pporaensi Chiga Qquendya'pa ca'nisi attepa Simónjan corifin'dima afepoeñe in'jamba 
ACT.8.19	su:
ACT.8.19	—Ñanga'qque atesian'faja ma'caen qui osha'choma oshacho. Ña'qque quia'caeñi tsoñe gi in'jan majanga ña tivei'ccu pporae'ninda cuintsu Chiga Qquendya'pa tsanga ca'niñe.
ACT.8.20	Tsonsi Pedroja su:
ACT.8.20	—¡Cuintsu catiyeja que corifin'di'qque quei'ccu fae'ngae! ¿Jongoesie qui in'jan Chiga afe'choma corifin'di'ccu chavaye? 
ACT.8.21	Que injama'chota qui shacapa Chigane. Tsa'camba qui queja vama isuye oshambi. 
ACT.8.22	Que egae tsincon'choma antteja. Na'su Chigama iñajanjan atesuye que injama'cho egae in'jan'choma tsu joqquitssian'me'se. 
ACT.8.23	Nane atte gi queja injama'cho mechoa qui egae tsincon'cho quema patsupa indichosi.
ACT.8.24	Qquen susi Simónjan su:
ACT.8.24	—Na'su Chigama iñajan'faja ñane que suqquia'caen ña dasa'ne.
ACT.8.25	Tsonsi Pedro, Juan'qque Chiga tson'jen'chone condapa Chiga Aya'fama tansintsse condasepa Samaria'su faesu canqquenga'qque japa Jesúsne ñotsse condase'choma condase'fa. Tsa'caen cca'tti cca'tti condasepa toequi Jerusaléni ja'fa.
ACT.8.26	Tsonsi omboe Chigama sefacconi'su shondo'su Felipenga jipa su:
ACT.8.26	—Jangipa ccani jaja Gaza canqqueni ja'je'cho tsaiquingae –tsa Jerusaléne ande'jeni.
ACT.8.26	Tsa tsaiqui tsu a'i meniangae ja'cho. 
ACT.8.27	Felipe pañamba jangipa tsaiqui'ye jayipa Etiopía ande'su a'ima cachui. Tsa tsu onoco, joccapitssia a'i. Tise na'suja Etiopía ande na'su pushesu, Candase, qquen inisecho'cho. Onocoja na'sumbe corifin'dima coira'su. Tsa tsu Jerusaléni Chigama iñajañe ja'ngapa ji'je. 
ACT.8.28	Cavayo carongae toequi dyai jiñamba tayopi'su Chiga Aya'fama afa'su Isaías tevaen'jema camba afá jiña. 
ACT.8.29	Tsonsi Chiga Qquendya'pa Felipenga su:
ACT.8.29	—Tsa caronga catsepa pporotsse jacanjan.
ACT.8.30	Tsonsi Felipeja butto catsepa tise Isaías tevaen'jema camba afa'je'choma paña. Tsa'caen pañamba iñajampaña:
ACT.8.30	—¿Paña ti qui que camba afa'je'choma?
ACT.8.31	Tsonsi tsa tsandieja su:
ACT.8.31	—¿Ma'caen gi pañaña majan ñanga condambian'jan?
ACT.8.31	Qquen supa Felipema ttu'se caronga ansundepa tisei'ccu dyaiye.
ACT.8.32	Tise Chiga Tevaen'jema camba afa'je'choja qquen:
ACT.8.32	Ovejama'caen fi'ttiye anga'fa.
ACT.8.32	Oveja tise tosema chattu'je'fasi ayafambie daqquia'caeñi tise'qque afambi.
ACT.8.33	Cca'indeccuja tisema patsupa ñoa'me su'choma tta'tta'fambi.
ACT.8.33	¿Majan tsu tise a'ine condaseya?
ACT.8.33	Nane tisema fi'ttisi tsu tsangae va ande'ye ja.
ACT.8.34	Qquen camba afapa onocoja Felipema iñajampaña:
ACT.8.34	—Chigáne ñanga condaja. ¿Majane tsu qquenjan conda? ¿Toe Chiga Aya'fama afa'sune ti? ¿Tsambi'ta ti faesune?
ACT.8.35	Tsonsi Felipeja tise Chiga Tevaen'jema canjan'jen'ttie ashaemba Jesúsne ma'caen jincho'choma conda. 
ACT.8.36	Tsa'caen condasepa tsaiquingae jayipa singu'ccuma atte'fa. Attepa onocoja su:
ACT.8.36	—Va'tti tsu singu'ccuja jin. ¿Ñama fetiye'ta ti ñotssi?
ACT.8.37	Tsonsi Felipeja su:
ACT.8.37	—Pa'cco injama'choi'ccu Jesúsve in'jan'da fetiyeye tsu ñotssi.
ACT.8.37	Tsonsi tsandieja su:
ACT.8.37	—In'jan gi Jesucristoja Chiga Dutssi'ye.
ACT.8.38	Qquen supa caroma zuña ccuiñañe manda. Tsomba Felipe, onoco'qque sombopa singu'ccuni andin japa cca'ya ccutsu'fa. Tsomba Felipeja onocoma feti. 
ACT.8.39	Fetipa singu'ccuye sombo'fasi Chiga Qquendya'pa Felipema ccani anga. Tsa'caen angasi onocoja Felipema ccatsse attembi'ma avujatsse tsaiqui'ye ja. 
ACT.8.40	Toya'caen Felipeja Chiga Qquendya'pa tisema angasi Azotoni attian. Tse'ttinga attiamba faesu canqque faesu canqquenga Jesúsne ñotsse condase'choma condasé jacan Cesarea canqquenga napiya'ngae.
ACT.9.1	Felipe tsa'caen tson'jen'ni Sauloja toya iyiccaye'jepa Na'su Jesúsve in'jan'chondeccuma fi'ttiye in'jamba Chigama afa'su na'suni ja. 
ACT.9.2	Japa a'ima indiya'cho tevaen'jeme iñajan Damasco canqque'su israe Chigane atesian'jen'ttinga angapa canjaeñe. Tsa tevaen'jen tsu manda cuintsu Sauloma antte'faye Jesúsve in'jan'chondeccuma indiye. Nane tsa'caen in'jan'chondeccuve'yi tta'ttapa indipa, majan tsandie, majan pushesuma'qque Jerusaléni candenai'ccu tandamba iye antte'faye tsu manda. 
ACT.9.3	Tsa'ma Saulo toya tsaiqui'ye jayi'ni Damasconga ca'tsa napiji'ni sefaccone pa'cconga chanjunqquia'caen tsu tisenga attian. 
ACT.9.4	Tsa'caen attiansi Sauloja andenga amppipa qquen su'choma paña:
ACT.9.4	—Saulo, Saulo, ¿jongoesie qui ñama noñangiamba mandiancan?
ACT.9.5	Qquen susi Sauloja iñajampaña:
ACT.9.5	—Na'su, ¿majan qui queja?
ACT.9.5	Tsonsi sefane afa'je'choja su:
ACT.9.5	—Ñanda gi Jesús, que noñangiamba mandiancan'cho. Queja ñama in'jangae tsincomba qui tisuma bove iñaccaen. Nane na'su quiccu'je'chonga vaura tsuipa tisuma ti'tsse iñaccaenqquia'caen qui tisuma bove iñaccaen.
ACT.9.6	Tsa'caen pañamba Sauloja ttun'dundu'jeve dyopa su:
ACT.9.6	—Na'su, ¿ma'caen ña tsoñe qui in'jan?
ACT.9.6	Tsonsi na'suja su:
ACT.9.6	—Jangipa jaja canqqueni. Tseni que jasi tsu quenga condaseya ma'caen tsoña'chove.
ACT.9.7	Tsa'caen tson'jen'ni'qque Sauloi'ccu fae'ngae jacansundeccuja dyopa afambe'yi ccutsu'fa. Afa'choma paña'ma a'ive atte'fambi. 
ACT.9.8	Tsonsi Saulo jangi ccutsupa bitta camba atteye oshambi. Tsa'caen dasi tisei'ccu jacansundeccu tive'ye fendepa anga'fa Damasco canqqueni. 
ACT.9.9	Tseni angasi biniñi tres a'tave can'jen. Ambe'yi ni cu'imbitsseyi can'jen.
ACT.9.10	Tse'tti Damasconi tsu can'jen fa'e Jesúsve in'jan'cho, tise inise Ananías. Tsanga attiamba Na'su Jesúsja su:
ACT.9.10	—¡Ananías!
ACT.9.10	—Ju, Na'su.
ACT.9.10	Qquen pañamba susi 
ACT.9.11	Na'suja su:
ACT.9.11	—Junde jaja “Tansintssia Tsaiqui” qquen inisian'cho tsaiqui'ye. Judas tsaoni japa iñajampañajan Tarso canqque'su Saulove. Tiseja ja'ño Chigama iñajan'jen. 
ACT.9.12	Tayo tsu atte attian'choma. Quema tsu atte, Ananías, cuartonga ca'nimba tivei'ccu tisema pporaensi ccase tso'feja bitta.
ACT.9.13	Tsama pañamba Ananíasja su:
ACT.9.13	—Na'su, tsa a'inenda tsu ñanga condase'fa. Tiseja osha'cho egae tsincon Jerusaléni'su queve in'jan'chondeccuma. 
ACT.9.14	Va'tti'qque Chigama afa'su nasundeccu indiye manda'cho tevaen'jema tsu an'bian poiyi'cco queve in'jan'chondeccuma indipa candenai'ccu tandamba angaye.
ACT.9.15	Tsa'ma na'suja Ananíasnga su:
ACT.9.15	—Dyombe jaja. Tsa Saulo tsu ña in'jan'cho, cca'indeccunga ñane condase'su. Tise'pa nasundeccunga'qque, toya'caen israendeccunga'qque tsu ñane condaseya. 
ACT.9.16	Ña gi Saulonga canjaeñe cuintsu tise'qque me'detsse vanañe ñane afa'je'ta.
ACT.9.17	Qquen susi Ananíasja japa Judasmbe tsa'onga ca'nimba tisu tivei'ccu Sauloma pporaemba su:
ACT.9.17	—Antian Saulo, que tsaiquingae ji'je'ni attian'cho, Na'su Jesús, tsu ñama'qque manda queni jiye. Mandasi gi ji cuintsu que tso'fe bittasi Chiga Qquendya'pa quenga ca'niñe.
ACT.9.18	Tse'faei'ccuyi tso'fe'ye tsupiriaca'en batti shequesi Sauloja ccase atteye osha. Tsomba jangipa japa fetiye. 
ACT.9.19	Toya'caen tse'i aña'choma amba ccase quinsetssia've da. Tsomba Damasconi'su Jesúsve in'jan'chondeccui'ccu re'riccoe can'jen.
ACT.9.20	Can'jemba junde Sauloja Jesúsne candusiañe ashaen Damasconi'su Chigane atesian'jen'ttinga. Candusiamba “Jesúsja Chiga Dutssi'ye” qquen tsu condase. 
ACT.9.21	Qquen condase'jesi poiyi'cco pañasundeccu asi'ttaemba su'fa:
ACT.9.21	—¿Va tsandie'ta ti Jerusaléni'su Jesúsve in'jan'chondeccuma fi'ttiye mandian'can'sumbi'a? ¿Toeyita ti vanisundeccuma'qque indipa Chigama afasundeccunga angapa afeye jimbi?
ACT.9.22	Tsa'ma Sauloja ñoa'metsse candusiamba “Jesúsja Cristo, Chiga In'jan'cho” qquen tansintsse canjaemba Damasco'su israendeccuma patsupa ziyaen.
ACT.9.23	Bo'tsse candusian can'jensi poiyi'cco israendeccu fae'be injama'choa'caeñi in'jamba Sauloma fi'ttiye in'jan'fa. 
ACT.9.24	Tsa'caen in'jan'fa'choma Sauloja tayo atesu. Nane pa'cco cose pa'cco a'ta israendeccuja canqque sombo'ttinga Saulove ronda'je'fa tisema fi'ttiye. 
ACT.9.25	Tsa'ma cose Cristove in'jan'chondeccu Sauloma rande saparonga dyaiñamba a'tutsseyi canqquema patui'ccu ttu'cho joccafanga andian'fa cuintsu ccani jaye.
ACT.9.26	Sauloja Jerusaléni japa faenga'su Jesúsve in'jan'chondeccunga piye in'jansi tsendeccuja dyojopa in'jan'fambi. Nane Sauloja aqquia Jesúsve in'janqquia'caen afopoen qquen in'jamba tsu tisema dyojo'fa. 
ACT.9.27	Tsa'ma Bernabé Sauloma anga Jesúsne afasundeccunga cuintsu cachuiccoye. Tsa'caen angapa Bernabéja pa'tssima conda ma'caen tsaiqui'ye jayisi Na'su Jesús Saulonga attiamba conda'choma, ma'caen Saulo'qque dyombi'tsse Damasconi Jesúsne condase'choma. 
ACT.9.28	Tsa'caen condasesi Sauloja Jerusaléni can'jemba fae'ngae jacan Jesúsne afasundeccui'ccu. 
ACT.9.29	Tsa'caen jacamba dyombi'tsse Saulo'qque condase Na'su Jesúsne. Tiseja griegongae afa'je'cho israendeccui'ccu afaccopa condase. Tsa'caen tise'pai'ccu condasesi tsendeccuja iyicca'yepa Sauloma fi'ttiye in'jan'fa. 
ACT.9.30	Tsama attepa faenga'su Jesúsve in'jan'chondeccuja Sauloma anga'fa Cesarea canqqueni. Tse'ttie mandamoen'fa Tarso canqqueni.
ACT.9.31	Tsonsi tse'i poiyi'cco Jesúsve in'jan'chondeccu, Judea'su, Galilea'su, Samariasundeccu'qque ñotsse dyombi'tsse canse'fa, faesu tsendeccuma noñangiamba mandian'cambisi. Tsa'caen can'jemba tise'pa Jesúsve in'jan'choma ti'tsse'tsse in'jamba Na'su Chiga Quitsama dyoe'sui'ccuyi pañamba tsa'caen ñotsse canse'fa. Toya'caen Chiga Qquendya'pa fuitesi ti'tsse'o a'i tsu Jesúsve in'jan'fa.
ACT.9.32	Tsonsi Pedro poiyi'cco faengasundeccuma can'su jacamba Lida canqque'su Jesúsve in'jan'chondeccuma'qque can'su ja. 
ACT.9.33	Tseni japa fae a'i, Eneas, qquen inisecho'choma cachui. Tsa a'ija ishopa pajipa ocho canqque'fave ana'jen'choniñi ccuicho. 
ACT.9.34	Tsama attepa Pedroja su:
ACT.9.34	—Eneas, Jesucristo tsu quema ccushaen. Jangipa que ana'jen'choma onccanjan.
ACT.9.34	Tse'faei'ccuyi Eneasja ccushapa jangi ccutsu. 
ACT.9.35	Tsa'caen ccushasi attepa poiyi'cco Lida canqquesundeccu Sarón canqquesundeccu'qque tise'pa tayopi in'jan'choma anttepa Na'su Jesúsve in'jan'fa.
ACT.9.36	Lida canqquei'ccu pporotsse, Jope canqqueni Jesúsve in'jan'cho pushesu, Tabita, qquen inisecho'cho, can'jen. Griegongae tise iniseja, Dorcas. Tsa pushesuja faengasundeccuma ñotsse in'jamba fuitepa canse. Osha'choma mendeqquianga afeye atesu'cho. 
ACT.9.37	Tsequi a'ta Dorcasja pave dapa pa. Tsonsi tise ai'voma onjoemba sefani'su cuartonga ansundiamba ccuiña'fa. 
ACT.9.38	Tsomba Pedro pporotsse, Lidani can'jen'choma pañamba Jesúsve in'jan'chondeccuja dos a'ima mandamoen'fa cuintsu ttusengaye. Tsonsi jipa su'fa:
ACT.9.38	—Chigáne, utatsse ingi'ccu jija.
ACT.9.39	Qquen su'fasi Pedro jangipa tsendeccui'ccu ja. Jopeni napisi tsaoni ca'nimba a'ija Pedroma anga'fa sefani'su cuartoni, pa'cho ccuini. Tsonsi poiyi'cco tsandupajen'chondeccu Pedronga catsepa i'na'fa. Tsa'caen catsepa canjaen'fa osha'cho conto, ondiccu'jema'qque, Dorcas canseite anchomboemba afe'je'choma. 
ACT.9.40	Tsonsi Pedroja cuarto'ye poiyi'ccoma somboemoemba ccarupa Chigama iñajan. Iñajan nanimba pa'cho ai'voma camba su:
ACT.9.40	—Tabita, jangija.
ACT.9.40	Qquen susi Tabitaja qquendyapa bitta can. Bitta camba Pedroma attepa jangi dyai. 
ACT.9.41	Jangi dyaisi Pedroja tive'ye indipa qquitssa jangiamba ccutsian. Tsomba poiyi'cco Jesúsve in'jan'chondeccuma, tsandupajen'chondeccuma'qque ttu'sepa canjaen Tabitama, ccase qquendya'choma. 
ACT.9.42	Tsa'caen ccushaen'choma poiyi'cco Jope canqque'su a'i paña'fa. Tsain'bio a'i pañamba Na'su Jesúsve in'jan'fa. 
ACT.9.43	Tsomba Pedroja Jopeni bo'tsse can'jen Simón tsaoni. Simón tsu ttonoma qque'shopa ñoña'su.
ACT.10.1	Sundaro capitán tsu can'jen Cesarea canqqueni, Cornelio qquen inisecho'cho. Tise sundarondeccuja Italiano Sundarondeccu qquen inisecho'cho. 
ACT.10.2	Cornelio poiyi'cco tise tsaoni can'jensundeccu'qque Chigave in'jan'fa. Tiseja dyoe'sui'ccu Chigama in'jamba paña. Se'pimbe'yi tsu osha'choma afeye atesu israendeccunga. Poi a'ta tsu Chigama iñajan'jen. 
ACT.10.3	Tsa'camba fae a'ta tayo ondusesi Cornelioja attian'choma atte. Chigama sefacconi'su shondo'su tise cuartonga ca'nisi tsu atte. Tsa'caen attiamba su:
ACT.10.3	—¡Cornelio!
ACT.10.4	Qquen susi Cornelioja dyopa Chigama sefacconi'su shondo'suma can'boemba iñajampaña:
ACT.10.4	—Na'su, ¿jongoesu qquen qui in'jamba ji?
ACT.10.4	Tsonsi Chigama sefacconi'su shondo'suja su:
ACT.10.4	—Chiga Quitsa tsu ñotsse pañamba in'jan que iñajan'choma. Ñotsse tsu attepa in'jan que ñotsse se'pimbe'yi mendeqquianga afe'choma. 
ACT.10.5	Mandaja a'ima Jope canqqueni Simón Pedro, qquen inisecho'choma cuintsu ttu'sengaye. 
ACT.10.6	Tsata tsu can'jen faesu Simón ettini, tsa ttonoma qque'shopa ñoña'sui'ccu. Tsambe tsa'oja mar otafani. Pedro tsu quenga condaya ma'caen tsoña'chove.
ACT.10.7	Chigama sefacconi'su shondo'su jasi Cornelioja ttu'se dos tisema coirasundeccuma. Toya'caen fae sundaroma'qque ttu'se. Tsa sundaroja Cornelioma shondo'supa tise'qque Chigave ñotsse in'jan'cho. 
ACT.10.8	Tsa'caen ttu'sepa Cornelioja pa'tssima condapa Jope canqqueni tsendeccuma mandamoen.
ACT.10.9	Ccaqui a'ta mandasi ja'chondeccu toya tsaiqui'ye jiñamba ca'tsa Jope canqqueni napiji'fa'ni Pedroja tsa'o tansinfani'su ppappacconga ansunde Chigama iñajañe tayo enttinge a'tave dasi. 
ACT.10.10	Chigama iñajan'jemba qquipoe'supa añe in'jan. Tsa'ma toya tise'be shoccoen'jen'ni Pedroja ayo'oqquia'caen attian'choma atte, 
ACT.10.11	sefacco fettaye'choma. Tsa'caen fettayesi randeje'a sarupama cuatro suivo'fai'ccu tandandusiamba andian'fa'choma atte. 
ACT.10.12	Tsa sarupani tsu sheque osha'cho aña'cho –anqque'su, toya'caen an'masia'qque. Tsu'tte, tivei'ccu jacanqque'su, osha'cho andeye manguqque'su, osha'cho sefane chhajepa jacanqque'su tsu sheque. 
ACT.10.13	Tsa'caen attiansi Pedroja afa'choma paña qquen su'choma:
ACT.10.13	—Pedro, jangipa fi'ttipa anjan.
ACT.10.14	Tsa'ma Pedroja su:
ACT.10.14	—Me'i, Na'su, in'jambi gi. Minga'ni'qque gi ambi tsa'caen an'masia aña'chomaja.
ACT.10.15	Tsonsi afa'je'choja ccase afapa su:
ACT.10.15	—Que atte'choja anqque'su tsu. Chiga Quitsa “Tsa aña'choja ñotssi” qquen su'ninda ¿jongoesie qui asettu'je?
ACT.10.16	Tres se tsa'caen Pedronga attiamba pa'cco sarupa toequi sefacconi ansunde. 
ACT.10.17	¿Jongoesune tsu attian? qquen Pedro toya asi'ttaen'jen'ni Cornelio aindeccuja jipa tsotefasu sombo'ttini ccutsu'fa. Nane tsendeccuja Simón tsa'ove iñajampañamba ji'fa. 
ACT.10.18	Tsa'onga napipa quia'me afa'je'fa:
ACT.10.18	—¿Ñoa'me ti vani Simón Pedro qquen inisecho'chota can'jen?
ACT.10.19	Pedro toya attian'choma asi'ttaen'jen'ni Chiga Qquendya'pa tisenga conda:
ACT.10.19	—Tres a'i tsu queve tta'tta'je'fa. 
ACT.10.20	Jangipa andepa dyombe'yi tsendeccui'ccu jaja. Nane ña gi tsendeccuma manda queve ttu'seye.
ACT.10.21	Tsonsi Pedroja ande Cornelio manda'cho aindeccu ccutsu'fani. Andepa qquen su:
ACT.10.21	—Ña gi que'i tta'tta'je'cho. ¿Jongoesie in'jamba qui ji'fa?
ACT.10.22	Tsendeccuja su'fa:
ACT.10.22	—Capitán Cornelio mandasi gi ji'fa. Tiseja ño'a a'i. Chigave in'jamba dyoe'sui'ccu Tisema pañamba canse. Poiyi'cco israendeccu'qque tisema ñotsse in'jan'fa. Tsa ño'a Chigama sefacconi'su shondo'su tsu Cornelioma manda cuintsu quema ttu'sesi queja tise tsaoni japa afasi tiseja que su'choma pañañe.
ACT.10.23	Tse'i Pedroja su:
ACT.10.23	—Jipa ja'ño cose vani ana'faja.
ACT.10.23	Ana atapa Pedro tsendeccui'ccu fae'ngae ja. Faesu Jope canqque'su Jesúsve in'jan'chondeccu'qque fae'ngae jaja'fa.
ACT.10.24	Ccaqui a'ta napi'fa Cesarea canqqueni. Cornelioja tise antiandeccu, tise ñotsse in'jan'cho amigondeccuma'qque ttu'sepa ronda'je'fa. 
ACT.10.25	Tsa'caen ronda'jepa Pedro tsa'onga napisi Cornelioja sombopa cachui. Cachuipa Pedronga ccarupa Chigama iñajanqquia'caen iñajan. 
ACT.10.26	Tsa'ma Pedroja tisema qquitssa jangiamba su:
ACT.10.26	—Ccutsuja. Ña'qque quia'caen, aqquia a'iyi gi.
ACT.10.27	Condasé ca'nimba atte'fa tsain'bitssi a'i bojin sheque'fa'choma. 
ACT.10.28	Attepa Pedroja su:
ACT.10.28	—Que'ija atesu'fa qui israendeccuja asettu'chopa pa'o israembindeqquiai'ccu boye osha'fambi. Ni cca'imbe tsa'onga'qque ca'niñe osha'fambi. Tsa'ma Chiga Quitsa ñama atesiansi gi in'jan majameñi'qque ega qquen su'masia. 
ACT.10.29	Tsa'camba gi que ttu'sesi isha'qque afambe'yi ji. Tsa'camba gi atesuye in'jan, ¿jongoesie qui ñama ttu'se'fa?
ACT.10.30	Tsonsi Cornelioja su:
ACT.10.30	—Tayo tsu cuatro a'ta pasa ña atte'cho. Qquia'ni gi toya ambe'yi sime Chigama iñajaña'cho hora napisi iñajan'jemba atte a'ima. Tise ondiccu'jeja chhariccotssi. 
ACT.10.31	Tsa tsu ñama su: “Cornelio, Chiga Quitsa tsu ñotsse pañamba in'jan que iñajan'choma. Ñotsse tsu attepa in'jan que ñotsse se'pimbe'yi mendeqquianga afe'choma. 
ACT.10.32	A'ima mandaja Jope canqqueni Simón Pedro, qquen inisecho'choma, cuintsu ttu'sengaye. Tsata tsu can'jen faesu Simón ettini, tsa ttonoma qque'shopa ñoña'sui'ccu. Tsambe tsa'oja mar otafani. Pedro jipa tsu quei'ccu afaya.” 
ACT.10.33	Qquen pañamba gi junde mandamoen queve tta'ttangaye. Ñotsse qui queja vani ji. Ja'ñojan ingi poiyi'cco gi va'tti can'jen'fa. Chiga Quitsa'qque tsu va'tti can'jen. Tsa'camba gi pañañe in'jan'fa pa'cco osha'cho jongoesuma Na'su Chiga quenga manda'choma.
ACT.10.34	Tsonsi Pedroja afaye ashaemba su:
ACT.10.34	—Ja'ño gi atesu Chiga Quitsaja israendeccuveyi in'jambi. Tsa'ma poiyi'cco israembindeqquiama'qque tsu in'jan. 
ACT.10.35	Nane poiyi'cco majan dyoe'sui'ccu Tise've in'jamba canse'fa'nijan ccane'qque tsu Chigaja tise'pama in'jan. 
ACT.10.36	Chiga Quitsa tsu israendeccunga conda va ñotsse condase'choma ma'caen Jesucristoja a'i injama'choma ñoquian'suve. Tsa Jesúsyi tsu poiyi'ccombe na'su. 
ACT.10.37	Que'i'qque tayo paña'fa pa'cco Judea ande'ye ma'caen da'choma. Nane Galileani tsu ashaen Juan candusiamba feti'cho nanisi. 
ACT.10.38	Toya'caen qui paña'fa ma'caen Chiga Quitsaja Tise Qquendya'pai'ccu Jesús Nasareno'suma in'jaensi tiseja ñotsse tsoñe jacamba poiyi'cco cocoya na'su vanaen'jendeccuma ccushaen. Chiga tisei'ccu can'jensi Jesúsja tsa'caen tson.
ACT.10.39	Ingija attepa condasundeccu gi pa'cco Jesús ma'caen tson'choma Judea andeni, Jerusalén canqqueni'qque. Tsa'caen jacansi tsu tsendeccuja Jesúsma avuja'cconga otipa fi'tti'fa. 
ACT.10.40	Tsa'caen fi'tti'fasi Chiga Quitsaja tres a'tangae ccase Jesúsma qquendyaen. Tsa'caen qquendyaemba inginga attian. 
ACT.10.41	Nane poiyi'cco a'inga attiambipa ingingayi tsu attian. Jesús toya pambi'te Chigaja ingima ttu'se tisene afa'suve. Tsa'cansi ingija Jesús papa ccase qquendyasi tisei'ccu amba cu'i'fa. 
ACT.10.42	Tsonsi Chiga Quitsaja ingima manda a'inga candusiamba qquen condase'faye: “Chigaja Jesúsma na'suve tson cuintsu cansendeqquiambe injama'choma, toya'caen pa'chondeccumbe injama'choma'qque somboeñe.” 
ACT.10.43	Toya'caen tayopi'su Chiga Aya'fama afasundeccu'qque Jesúsne afapa su'fa: “Poiyi'cco majan tise've in'jan'chondeccu tise a'ive dasi tsu Chiga Quitsaja tise'pa egae tsincon'choma joqquitssiaña.”
ACT.10.44	Toya Pedro afa'je'ni Chiga Qquendya'paja poiyi'cco tisema pañasundeccunga ca'ni. 
ACT.10.45+ACT.10.46	Tsa'caen ca'nisi faesu aya'fangae afapa Chigama ñotsse afa'fa. Tsonsi Pedroi'ccu ji'cho Cristove in'jan'cho israendeccuja attepa can'boen ccutsu'fa. Nane ¿Chiga Qquendya'pa ti israembindeqquianga'qque ca'ni? qquen in'jamba can'boen ccutsu'fa. Tsonsi Pedroja su:
ACT.10.47	—Tayo ingia'caen Chiga Qquendya'pama isu'fa'ninda ¿ma'caen gi se'pi'faya va aindeccu fetiyeya'chone?
ACT.10.48	Tsa'caen supa manda cuintsu tayo Na'su Jesucristo a'ive da'ta fetiye'faye. Qquen susi poiyi'cco a'i fetiyepa Pedroma su'fa cuintsu boyi a'ta tise'pai'ccu can'jeñe.
