MAT.1.1	Ujawawu wata situuba Yéesu 
ACT.21.34	Bale li búsukabu, kukee fan kulob butiya maame, kaabuku li kulob maama. Emmuu húcuhahu hújiji anahaanawu ata esollaaliyayi ayilaat ajam to wah wata mal̥egen, li alob min kújowetum Fool boot li hukinahu hata esollaaliyayi. 
ACT.21.35	Nan Fool aŋejumuu tin sikabilikabasu
ACT.21.36	Mata ésukayi feh énabuunabul li akila, ban li enaak elob butiya yoon:
ACT.21.36	— Laate aket!
ACT.21.37	Nan kulakomuu li kukaan Fool anoken li hukinahu hata esollaaliyayi, li agel̥l̥en anahaanawu ata esollaaliyayi aanool:
ACT.21.37	— Mantee liyilo ilobi hulim?
ACT.21.37	Anahaanawu ata esollaaliyayi li agel̥l̥enool aan:
ACT.21.37	— Kama lujame kugilekaay? 
ACT.21.38	Kama inti awu ommuu anawu ata Ejíf ájimuu ésukayi li éguul̥oo kunakaku unke, ban li aŋa’ bukan koono sínjunne sibakii kamuke bukan, ájowetum li kayiinaayaku?
ACT.21.39	Fool li aanool:
ACT.21.39	— Injé li mal̥egen asuwif leem. Li ésukayi yata Taalus libuki, yammuu li etaamayi yata Silisi. Esúkayi yúmbaam inti ésuk yatit. Liyaaki, ubonket ukatom min ilob li búsukabu.
ACT.21.40	Mal̥egen anahaanawu ata esollaaliyayi li akatool min alob. Muñeˈe Fool li ayito li sikabilikabasu, min ateb kaŋenool áyiit búsukabu. Nan kulumuu, li alob li buko li elobayi yata Kusuwifaku aaniil:
ACT.22.1	— Kutuyom li situubawom, muñeˈe jijanten wahawu wan emmuu li ilobuul min icahenoolo.
ACT.22.2	Nan kujamumuu Fool li alob li elobayi yooliil, yammuu yata Kusuwifaku, li kuhaŋ maluukoo. Muñeˈe Fool li alaañen aaniil:
ACT.22.3	— Injé Asuwif leem, abuki li ésukayi yata Taalus yammuu li etaamayi yata Silisi. Bale taate Yeelusalem lanke, min Gameliyel alako no anahaanawu úmbaam, aliikenommuu jak 
ACT.22.4	Litiikentiiken bukanabuku kanabumuu li bútinabu bata Amaaŋenawu yok kuket. Li ijok káyine li kanaale ikul̥. 
ACT.22.5	 li 
ACT.22.6	— Nan ilakomuu ejowayi boot Damaas, ijow ilehen ésukayi tinak bayitene, mawuŋe majaaŋe ŋáa’, li múfulumul li emitayi mubil muhiitenom múwooñen. 
ACT.22.7	Li ilo teetaam, ban li ijam hulim li hoonom: «Sóol, Sóol, wáa újiye li oono li jálaatenom?» 
ACT.22.8	Li igel̥l̥en een: «Awu ommuu ayi, 
ACT.22.9	Bukanabuku kan jinaboomuu li kujuk mawuŋaamu, bale kujamut hulimahu hata anawu alobumuu lí ínje. 
ACT.22.10	Muñeˈe li igel̥l̥en een: «Muñeˈe boot min ikaan buu, Amaaŋen?» Amaaŋenawu li aanom: «Uyito ujow boot Damaas, úliiŋ bomuu fan kukitteni wahawu feh wan Ateemit afañumuu min ukaan.» 
ACT.22.11	Bale emmuu kaleñaku kata mawuŋaamu ummu, kuyansaan kukaanom ífuum, kufaalom li kútukom li kaŋen min kújowetumom boot Damaas.
ACT.22.12	«Li baj li ésukayi inyu ánayine akee an koone Ananiyaas. Ananiyaas li akaan an áyinene ŋáa’, ban li anab li 
ACT.22.13	Li abil ajukom ban li aanom: “Atuyom Sóol, ulaañen ujuk!” Li iyaan ijuk yaan no unnu, ban li ijukool jak. 
ACT.22.14	Muñeˈe Ananiyaas li alaañen aanom: “Ateemit ata situubawolaal sihaan lal̥usil̥us akat to boot min uhaas húnongumahu hoola, li ujuk Yéesu acolumuu, ban li újamum li butumool hulimahu hoola. 
ACT.22.15	Mata fan ulob boot li okila hákil bukanabuku feh. Fan ulobiil wahawu feh wan ujukumuu li wan ujamumuu. 
ACT.22.16	Muñeˈe kama waa lukobe li wo? Uyito úbatiiseyi min uhoofoolawu wooli ufosi awu bahooñe kajawaku kata Amaaŋenawu.”»
ACT.22.17	Fool li afamen aan:
ACT.22.17	— Fúlum tó, li ilaañ boot 
ACT.22.18	li aanom: «Usommen úfu’ li ésukayi yata Yeelusalem, mata bukanabuku kakin dómuu let kufañ min kúyinen kulimaku kan ommuu ulobiil múmbaam.» 
ACT.22.19	Li eenool: «
ACT.22.20	Ban nan kumukumuu alokaawu ooli Ecen, to foof lilakowe. Alóli jijamoole li bukanabuku kalakowoolumuu jamukaju, mín ínje ítukiil wañawu wooliil.» 
ACT.22.21	Muñeˈe Amaaŋenawu li aanom: «Ujow, mata boot min iboñi lóyi, bata bukanabuku kákaanumutumuu li Ateemit balewool.»
ACT.22.22	Búsukabu li bujanten kale Fool min alob boot yok nan alobumuu kulimaku unku. Muñeˈe li kunaak kulob butiya koon:
ACT.22.22	— Anáyinaawu ummu laate aniileni li etaamaye! Aatut aloŋ!
ACT.22.23	Li kul̥ol̥l̥okoo butiya, ban li kúhalafen wañawu wooliil, ban li kufotten. 
ACT.22.24	Anahaanawu ata esollaaliyayi yata Lom li alob min kukaan Fool anoken li hukinahu hata kusollaaliyaku, min kuŋa’ kukaluwaas min kutekool min kugel̥l̥enoolool mantee kay li álobul, min ahaas wahawu wájimuu búsukabu li bunaak bulob kulimaku unku butiya buya li akila. 
ACT.22.25	Bale, nan kukokoolumuu kuban boot min kutekool, Fool li agel̥l̥en anahaanawu ata esollaaliyayi alako tomuu aanool:
ACT.22.25	— Mantee jibaje kakaañen min jitek an ata Lom akila batiiboluti?
ACT.22.26	Nan anahaanawu ummu ajamumuu kulimaku unku, li ajow áhebul anahaanawu oola aanool:
ACT.22.26	— Bale awu luhaase wahawu wan ulakomuu li ukaan? Anáyinaawu ummu an ata Lom!
ACT.22.27	Anahaanawu ata esollaaliyayi li abil boot tan Fool alakomuu min agel̥l̥enool aanool:
ACT.22.27	— Uhebom mantee mal̥egen awu an ata Lom?
ACT.22.27	Fool li aanool:
ACT.22.27	— Eéhe’.
ACT.22.28	Anahaanawu ata esollaaliyayi li aan Fool:
ACT.22.28	— Injé licancaam sídalam sáamak ítowum ilako an ata Lom.
ACT.22.28	Fool li aanool:
ACT.22.28	— Injé nan ibukimuu léemi an ata Lom.
ACT.22.29	Bukanabuku kaateenumuu kutek Fool min álobul, li kuyaan kuyiisoo kukatool to. Anahaanawu humumool ata esollaaliyayi li ákoli, nan ahaasumuu aan Fool an alobumuu min kujenkool, kama an ata Lom.
ACT.22.30	Anahaanawu ata esollaaliyayi li afañeen min ahaas jak wáa újimuu 
ACT.23.1	Muñeˈe Fool li ajuke bukanabuku kata hujojahu súy aban li aaniil:
ACT.23.1	— Kutuyom, li buyinumom ifetut min éemimuu li bulok boot li Ateemit boot yok síyaat.
ACT.23.3	Muñeˈe Fool li aanool:
ACT.23.3	— Awu Ateemit ammuu li atek. Min úhoolo muñowu
ACT.23.4	Bukanabuku kakoojumuu Fool li koonool:
ACT.23.4	— Awu álambaawu áamakawu ata Ateemit lugelumuu?
ACT.23.5	Fool li aaniil:
ACT.23.5	— Kutuyom, ihaasut een kama okila ammuu álambaawu áamakawu. Mata Hulimahu hata Ateemit honsoon: «Jakum ulob majakut uya li anahaanawu ata etaamayi dán ukinumuu
ACT.23.6	Fool lahaase aan bukanabuku kammuu li hujojahu háamakahu, kukee li buko 
ACT.23.6	— Kutuyom, ínje Afaaliisiyeŋ leem, ban li éemi foof añiil ata kufaaliisiyeŋ. Min íkangummuu li kayitowulaku kata bukanabuku li eketayi, mó mújimuu li eenoyi li batiib.
ACT.23.7	Nan Fool alobumuu kulimaku unku, búwonnoo báamak li bulako li Kufaaliisiyeŋaku li Kusaduusiyeŋaku, min hujojahu húgaatuloo. 
ACT.23.8	(Kusaduusiyeŋaku buko koone kaketumuu let kuyitowumul li eketayi, ban 
ACT.23.9	Li kúwonnoo to yok kulimaku kooliil kujow haatiya. Muñeˈe kukee li bukanabuku kaliikenemuu ésukayi eluwaayi yata Móyiis, ban li kulaañ bata hujojahu hata Kufaaliisiyeŋaku, li kuyito kulob li sembe koon:
ACT.23.9	— Jijukut majakut manooman man ánayinaawu ummu akaane. Nakeemaa buyinum mantee foof amalaka alobe li akila!
ACT.23.10	Búwonnoolabu li buhaŋ másuf, gay anahaanawu ata esollaaliyayi li ákoli min kuban li kulinculoo Fool. Muñeˈe li alob esollaaliyayi yoola min kujow kúfulen Fool li tutayi yata búsukabu, kujow kukaan li hukinahu hata esollaaliyayi.
ACT.23.11	Li líiŋ li ehukaayi yanab tomuu, 
ACT.23.11	— Sákoli! Lulollob jak múmbaam li ésukayi inye yata 
ACT.23.12	Li líiŋ hunak hukaten li bújom, 
ACT.23.13	Bukanabuku kajamommuu hulimahu unhu, kuhaŋe bukan kúyii kúl̥uba. 
ACT.23.14	Li kujow kutook kunahaanaku kata élambaayi li kunahaanaku kata ésukayi min kooniil:
ACT.23.14	— Alóli jinuunuu li kabane hákil Ateemit kaanaku let jitiñ wahoowah, boot yok nan jommuu li jimuk Fool. 
ACT.23.15	Kama muñeˈe bukuluul, li hujojahu háamakahu feh hata Kusuwifaku, jilob anahaanawu ata esollaaliyayi min áŋaluluul Fool, min lako jifanfañ min jilaañen jítaluloo moola jak. Alóli húmumoli jifaleˈe mata min jimukool átowum áŋejul taate.
ACT.23.16	Bale añiilawu ata áliinawu ata Fool li ajamiil nan kulakomuu elobayi yata min kommuu li kukaan min kumuk Fool, li ajow aheb Fool li hukinahu hata esollaaliyayi. 
ACT.23.17	Muñeˈe Fool li áhooñul akee li kunahaanaku kata kusollaali téemeel min aanool:
ACT.23.17	— Ujówetum áfulawu ummu bata anahaanawu ata esollaaliyayi, mata labaje hulim han áami li alobool.
ACT.23.18	Mal̥egen anahaanawu ata esollaaliyayi li aŋalool ájowetum boot bata anahaanawu áamakawu áliiŋ, li aanool:
ACT.23.18	— Fool akul̥imuu ahooñom min aanom íŋaluli añiilawu umme, mata lababbaj hulim han áami li alobi.
ACT.23.19	Anahaanawu áamakawu ata esollaaliyayi li átuk añiilawu li kaŋen, min aŋalool kuyinno li kakaŋ, ban li agel̥l̥enool aanool:
ACT.23.19	— Waa lubaje ulobom?
ACT.23.20	Añiilawu li aanool:
ACT.23.20	— Kusuwifaku kujamoojamoo boot min kubil kul̥awi min újowetum Fool kajom hákil hujojahu háamakahu. Fan kuban li kukaan loon hujojahu hufañe min hútaluloo jooŋ mata Fool. 
ACT.23.21	Bale jakum úyineniil! Mata bukan li buko kahaŋe kúyii kúl̥uba, fan kujow kuyolo min ban li kujokool. Kunuunuu hákil Ateemit koon let kutiñ, let kuhob boot yok nan kommuu kumuk Fool. Muñeˈe kufaleˈe kuban, min koono li kakob hulimahu han ommuu li ulob.
ACT.23.22	Nan anahaanawu áamakawu ata esollaaliyayi ajamumuu kulimaku unku aban, li aan añiilawu:
ACT.23.22	— Ban jakum ulob anoowan wahawu wan ulobommuu. Muñeˈe luyilo úbalo.
ACT.23.23	Fúlum tó, anahaanawu áamakawu ata esollaaliyayi li áhooñul kunahaan kúl̥uba kata kusollaali téemeel min aaniil:
ACT.23.23	— Jiwoogen kusollaali síteemeel síl̥uba, li kusollaali kúyii kúhaaji li kuŋen kalemboole li sifilinjebe, li kánayine koono síteemeel síl̥uba kajunkowume ubaay, ban li jifale foofuul feh boot ejow boot Sesaale kátiim, ewaatuwayi etoken li ebakiilenayi báliiŋe. 
ACT.23.24	Jifale foof sifilinjebe bánum li jíjuf Fool jíjowetum boot bata águubelunaalawu Féeliis, ban jakum wah ubajool.
ACT.23.25	Muñeˈe anahaanawu áamakawu li akiic eleetalayi inye aseniil:
ACT.23.26	«Féeliis, awu ammuu águubelunaal áamak, ínje Kúlod Lisiyaas lísaafuli. 
ACT.23.27	 kujoojok anawu ummu, ban booteen min kumukool, li ijam kaanaku kama okila an ata Lom. Li iŋa’ kusollaaliyaku kúmbaam min jijow jifakenool. 
ACT.23.28	Emmuu lifañenfañ min ihaas waa Kusuwifaku kujuke li akila wajakut, li iŋalool íjowetum bata hujojahu hooliil háamakahu. 
ACT.23.29	Muñeˈe li ijuk een kama mata 
ACT.23.30	Muñeˈe li ijam kaanaku Kusuwifaku kúsonoosonoo boot jamukool, li iyaan een kama íboñuliwool, ban li ilob foof Kusuwifaku kal̥oofoolumuu, kúŋalul elobayi boot booli.»
ACT.23.31	Kusollaaliyaku li kukaan loon anahaanawu ooliil alobumuu: min líiŋ li hukahu, li kújowetum Fool boot Antifaatiliis. 
ACT.23.32	Hunak hukaten, kusollaaliyaku kajowumuu koot, li kúlaañul boot li hukinahu hooliil min kukat kata sifilinjebaasu min kúhaaŋetum Fool. 
ACT.23.33	Nan kusollaaliyaku kúliiŋumuu Sesaale, li kusen águubelunaalawu eleetalayi, ban li kukat Fool li kuŋenool. 
ACT.23.34	Agúubelunaalawu li ajanga eleetalayi ajow aban, li agel̥l̥en Fool li etaam yay láfulumulo. Muñeˈe li ajam kaanaku Fool an ata Silisi, 
ACT.23.35	li aanool:
ACT.23.35	— Fan ban li ijanteni min ulob, nan bukanabuku kal̥oofimuu kommuu li kúŋejul.
ACT.23.35	Ban li alob min kuŋa’ Fool kukaan li káyiiyaku kata 
ACT.24.1	Nan bajumuu kunak hutok, 
ACT.24.2	Muñeˈe li kúhooñul Fool áliiŋul, Teelitulus li átoŋ alob kulimaku unke aya li akila:
ACT.24.2	— Ahaanawu Féeliis, bújallowabu buya, li wahawu feh uwunkulawu wan ukaanumuu boot li bukanabuku, wó újimuu kásuumaay káamak li kubaj li ésukayi inye. 
ACT.24.3	Uhaas oon nanoonan li banooban, jiyabe majakaamu ummu feh man ukaanumuu boot li áloli, ban jisali ŋáa’. 
ACT.24.4	Bale ifañut min ijoki taate fiyo, mó mújimuu li il̥awi min ubonket újantenoli jakee. 
ACT.24.5	Jijuujuk joon ánayinaawu ummu busik. Lájiji 
ACT.24.6	Lajoweene boot kahuusul máñeyiyaamu mata 
ACT.24.7	bale anahaanawu ata esollaaliyayi an koonemuu Lisiyaas li abil abotool li kúŋenoli li sembe. 
ACT.24.8	Ban Lisiyaas li aan bukanabuku kal̥oofoolumuu, kubiletum elobayi boot booli Féeliis, awu ammuu águubelunaalawu.]
ACT.24.9	Kusuwifaku li kuyaan kukooŋen Teelitulus, min koon wahawu wan alobumuu mal̥egen.
ACT.24.10	Muñeˈe águubelunaalawu li áyiit Fool kaŋen min aanool álobul. Fool li aan:
ACT.24.10	— Lihaase een muñeˈe baje simit nan óomi atiibaawu ata etaamayi inye. Mó mújimuu, li kákangumaku kan ibajumuu li awu, léetummuu ilob kulimaku unke min icahenoolo. 
ACT.24.11	Bajolut kunak kuŋen li kúl̥uba nan ijowumuu boot 
ACT.24.12	Kutookutom li búwonnoo li akee li 
ACT.24.13	Ban bukanabuku umbuku kuyilaat kúhiisi col kaanaku wahawu wan kúmalumuu kul̥oofom muñeˈe, mal̥egen. 
ACT.24.14	Bale boot eeni wahawu unwe wo mal̥egen: li bútinabu buwunkulabu ban kujokumuu loon bulet mal̥egen, linabe. Ban li eeno li bulok boot li Ateemit ata situubawolaal sihaan. Líyinenyinen li wahawu feh wakiicimuu li éliibalayi yata 
ACT.24.15	Liyaakaayaakaal li Ateemit loon buko foof kuyaakaalumuu li Ateemit kaanaku anoowan, acol, acolut, aketumuu fan abil ayitowumul li eketayi. 
ACT.24.16	Mó mújimuu, li eeno nanoonan li kahanken min ikaan buyinumom jak hákil Ateemit li hákil bukanabuku.
ACT.24.17	«Muñeˈe nan ífu’muu Yeelusalem jow baj simit, lí ílaañul boot bo li sídalam ló sata kalamben ésukom, li boot kasen bujuuñak Ateemit. 
ACT.24.18	Wahawu unwu lilakomuu kakaanaku li kútookulom li eluufayi yata Ateemit, ínje bágiileneyi iban. Ban no unnu bajut búsuk báguutom, ésukayi foof éguul̥oolut. 
ACT.24.19	Bale 
ACT.24.20	Mantee foof bukanabuku umbuke kammee taate, li kulob wahawu wan ínje ífetummuu li buko nan icahenoolomuu hákil Hujojahu háamakahu. 
ACT.24.21	Mantee yo yommuu hulimahu unhe bale, han ilobumuu butiya mayitowe hákiliil een: “Mata min íyinenumuu kaanaku kaketumuu fan kuyitowul li eketayi, mó mújimuu li eeno li itiibi síyaat hákiluul.”»
ACT.24.22	Muñeˈe águubelunaalawu Féeliis, agel̥l̥enumuu min ahaas jak mata «Bútinabu bata Amaaŋenawu», li ayinnen batiibabu bata Fool min aaniil:
ACT.24.22	— Nan Lisiyaas, anahaanawu áamakawu ata esollaaliyayi ammuu li abil, li itiib elobayi yooluul. 
ACT.24.23	Muñeˈe Féeliis li alob anahaanawu ata kusollaali téemeel, min akat Fool li hukul̥ahu ban jakum kujenkool, ban li kukat bukanool min kulambenool li wah wan afañe.
ACT.24.24	Muñeˈe li baj kunak, Féeliis buko li aseekool Dúlisil ammuu 
ACT.24.25	Bale nan Fool ajeˈe alobumuu mata buloŋ bacole, mata hujokoo, li mata batiibabu bammuu li bubil, Féeliis li ákoli min aanool:
ACT.24.25	— Muñeˈe luyilo ujow. Nan emmuu li ibajo, li íhooñuli.
ACT.24.26	Féeliis lanaanaak foof ayinoo li aan Fool fan asenool sídalam, mó mújimuu li anaak áhooñulool ñameeŋe kúsuumen.
ACT.24.27	Li jow baj simit síl̥uba, Fólisiyis Fésitiis li alako águubelunaal min aŋa’ kaŋenaku kata Féeliis. Emmuu Féeliis lafanfañ min akaan Kusuwifaku súumiil, li akat Fool li hukul̥ahu.
ACT.25.1	Nan águubelunaalawu Fésitiis áliiŋulumuu li etaamayi ajow abaj kunak kúhaaji bale, li ájowum Sesaale boot 
ACT.25.2	Nan áliiŋ bómuu, kunahaanaku kata élambaayi li bukanabuku káamakaku kata 
ACT.25.3	mantee kay li akatiil min kukaan Fool álaañul boot Yeelusalem; ban li mal̥egenamu buko básonoole kuban boot li Fool, min kuban li kumukool li bútinabu. 
ACT.25.4	Bale Fésitiis li aaniil:
ACT.25.4	— Fool ummu li hukul̥ li etaamayi yata Sesaale, ban ínje humumom boot min ilaañ boot bo muñeˈe.
ACT.25.5	Ban li afamen aan:
ACT.25.5	— Kama kunahaanaku kooluul kayilimuu kujow, kubil min áloli jinaboo boot Sesaale, min kujow kulob wahawu wan anawu ummu akaanumuu, nokoomuu loon lakankaan majakut.
ACT.25.6	Fésitiis li akaan kunak káliiŋe hutok li kúhaaji mantee foof kuŋen bale li buko, fú’ tó, li alaañ boot Sesaale. Nan áliiŋumuu, li ajow hunak hukaten abah li hutiibahu, li alob min kúŋalul Fool. 
ACT.25.7	Nan Fool áliiŋulomuu, Kusuwifaku kabilumulomuu Yeelusalem, li kúguutool min kulob wah wajakut wameeŋe, wákoyileniye kuya li akila min koon okila akaan wo. Ban buko humumiil kuyilaat kúhiis kaanaku mal̥egen okila akaan wo. 
ACT.25.8	Bale Fool li acahenoolo aan:
ACT.25.8	— Ifetut li wahoowah li 
ACT.25.9	Fésitiis li afañ min akaan Kusuwifaku súumiil, li agel̥l̥en Fool aanool:
ACT.25.9	— Mantee lufañe min ujow boot Yeelusalem, ujow utiibi bo hákilom mata elobayi inye?
ACT.25.10	Fool li aanool:
ACT.25.10	— Li hutiibahu hata áyiiyawu áamakawu leem, ban to lemmuu li itiibi. Ikaanut Kusuwifaku wah ukee wajakut, loon awu humumi uhaas yomuu jak. 
ACT.25.11	Nokoomuu loon lifeefet, ban li ikaan wah wajakut watooke min iket, ihoyut min iket. Bale nokoomuu loon wahawu feh wan kulobemuu li wo kuya lí ínje let mal̥egen, an abajut kakaañen min ajokom aseniil maamiñ. Lifañe min áyiiyawu áamakawu atiibom okila humumool.
ACT.25.12	Muñeˈe nan Fésitiis alobumuu li huhaanaahu hoola aban, li aan Fool:
ACT.25.12	— Emmuu áyiiyawu áamakawu lufañe min atiibi, kama boot min ujow boot bata áyiiyawu áamakawu.
ACT.25.13	Li baj kunak, áyiiyawu Agilifa buko li áliinool Beleniis li kujow boot Sesaale basaaf Fésitiis. 
ACT.25.14	Emmuu boot min kukaan to kunak kafame, Fésitiis li alob áyiiyawu mata elobayi yata Fool aanool:
ACT.25.14	— Baje láale ánayine akee an Féeliis akate li hukul̥ahu. 
ACT.25.15	Nan ijowumuu 
ACT.25.16	Li eeniil kata Lom kúbeteliit an an koone majakut lakaane, li kuŋen kata kutiiba, anawu ummu báfimboolut li bukanabuku kaanumuu majakut lakaane mata min kutalen, mantee li ayili acahenoolo mata wahawu wajakutumuu wan koonumuu wo lakaane. 
ACT.25.17	Muñeˈe kunahaanaku kooliil li kúnaboolul lí ínje boot taate. Ikatut fiyo: nan tikatenumuu, li ijow ibah li hutiibahu ban li iboñ kujow kúhooñulom Fool. 
ACT.25.18	Kulatoolawool li kubil kúliiŋul, kukitut koon wah waman lakaanumuu wajakut, loon ínje iyinooleenumuu. 
ACT.25.19	Kama búwonnoo bale kubaje li akila mata bútinabu booliil, li mata akee an koone Yéesu akete, an Fool aane ummu li buloŋ. 
ACT.25.20	Ihaasut buu léemi li ilob elobayi inyu eeno, mó lí múji li igel̥l̥en Fool mantee lafañe min ajow boot Yeelusalem, min ajow atiibi bo mata elobayi inyu. 
ACT.25.21	Bale Fool li aan kama áyiiyawu áamakawu atiibool. Muñeˈe li ilob min kukatool li hukul̥ahu boot yok nan emmuu iyili iboñool bata áyiiyawu áamakawu.
ACT.25.22	Agilifa li aan Fésitiis:
ACT.25.22	— Lifañe mín ínje humumom foof ijam ánayinaawu ummu.
ACT.25.22	Fésitiis li aanool:
ACT.25.22	— Fan ujamool kajom.
ACT.25.23	Muñeˈe nan tikatenumuu, Agilifa li Beleniis li kútekul kayooŋ buko li kunahaanaku káamakaku kata esollaaliyayi, li bukanabuku káamakaku kata ésukayi makokowe jak, kujow kunoken li hulakahu hata hutiibahu dán kuyabemuu bukanabuku. Fésitiis li alob min kúŋalul Fool. 
ACT.25.24	Ban li aan:
ACT.25.24	— Ayíiyawu Agilifa li bukuluul feh jáamimuu taate li óloli, jijuke ánayinaawu ummu, an Kusuwifaku feh kubilumuu kulobom moola Yeelusalem li taate foof, min kunaak kulob butiya koon aatut akati li buloŋ. 
ACT.25.25	Bale ínje ijukut li akila wah wajakut waate úji li amuki. Bale emmuu akila humumool aane áyiiyawu áamakawu atiibool, li een kama iboñool o’. 
ACT.25.26	Ibajut wah wata mal̥egen wan éemi li ikiic min ilob áyiiyawu áamakawu moola. Mó mújimuu, li ikaanool alob hákiluul, háŋum hákili awu áyiiyawu Agilifa, bánum li agel̥l̥enooli min íbajum tó wah wan éemi li ikiic. 
ACT.25.27	Lenseen li mal̥egen colut min an aboñ an akul̥i boot Lom, akila bakiicut min alob jak wahawu wan anawu ummu akaanumuu wajakut.
ACT.26.1	Agilifa li aan Fool:
ACT.26.1	— Luyilo ulob min ucahenoolo.
ACT.26.1	Muñeˈe Fool li ateb kaŋenool min acahenoolo li kulimaku unke:
ACT.26.2	— Ayíi
ACT.26.3	Lilollob loon muñaˈa mata awu humumi luhaase jak múkaaniinamu mata Kusuwifaku li wahawu wan kúwonnoolemuu mata wo. Mó mújimuu, ínje ummu li kal̥awi min ubeben beb min ujantenom.
ACT.26.4	«Kusuwifaku feh kuhaase buu liloŋumuu eeno kábilum ínje áfulawu. Kuhaase foof buu liloŋumuu yaan no li húkitumahu li bukanabuku kúmbaam, li híndo 
ACT.26.5	Fiyowe nan kuhaasom ban kuyilo kulob, buko bafañe, kaanaku lilolloŋ loon hujojahu hahaŋumuu majok jak bútinabu bóololi hulobumuu, hammuu hata 
ACT.26.6	Ban muñeˈe li éemiyi li batiib mata min iyaakaalumuu li hulimahu han Ateemit alobumuu kakaan sítuubawoli sihaan. 
ACT.26.7	Utoŋawu kuŋen li úl̥ubaawu wata etaamayi yóololi, unaanaak uhanken min ulok etihunaka uban ehuka boot li Ateemit, min uyaakaal min ujuk hulimahu unhu han Ateemit alobumuu kakaan, li hubaj. Ban Agilifa, yaakaalayi inyu éjimuu Kusuwifaku li koon majakut likaane. 
ACT.26.8	Wáa újiye bukuluul Kusuwifake li jiyin li joon Ateemit ayilaat akaan bukanabuku kaketumuu kuyitowumul li eketayi?
ACT.26.9	«Muñeˈe ínje humumom liyinooleene li een, leete ikaan manooman li sembewom feh min ikajen kajawaku kata Yéesu ata Nasalet. 
ACT.26.10	Wahawu unwu li kaanumuu Yeelusalem. Kunahaanaku kata élambaayi kusenonsen sembe min inaak íjokul bukan kameeŋe káyinenumuu li Yéesu ijow ikul̥. Ban, nan kutiibeyiilumuu min koon boot min kuket, linaanaak een éehe’ li mo. 
ACT.26.11	Linaanaak ijow ñameeŋe li 
ACT.26.12	— Muñowu líiŋumuu hunak hukee, kunahaanaku kata élambaayi li kusenom sembe mata min ijow boot Damaas, ijow ikaan kúboñaku kan kusenommuu. 
ACT.26.13	Ayíi, muñeˈe li ilako ejowayi li bútinabu banakabu bayitene, li ijuk mawuŋe maleñe muhaŋ banakabu, li múfulumul li emitayi mubil muhiitenom múwooñen, ínje li kufaalom kan jinaboomuu. 
ACT.26.14	Alóli fóofoli feh li jilo teetaam. Li ijam hulim li hoonom li elobayi yóololi: «Sóol, Sóol wáa újiye li óomi li jálaatenom? Fan ban li séngiyi ŋáa’ awu bahoye bakaan wahawu wan anahaanawu ooli afañumuu
ACT.26.15	Li igel̥l̥en een: «Awu ommuu ayi, Amaaŋen?» 
ACT.26.16	Bale úl̥aalulo min uyito. Lífulifu’ boot min iŋali ikaan alokawom. Fan ulako an áami li alob múmbaam bukanabuku, min uhebiil buu lujukommuu síyaat, ban li ulobiil foof wahawu wan emmuu li ilaañen íhiisi. 
ACT.26.17	Boot min iboñi boot bata Kusuwifaku li bata bukanabuku kákaanumutumuu li Ateemit balewool, ban fan ifooyi hákiliil. 
ACT.26.18	Boot min iboñi ujow úbabul kúkilaku kooliil, li úfulenuliil li élimayi kubil kulako li mawuŋe, li úfulenuliil foof li kaŋenaku kata 
ACT.26.19	Fool li afamen aan:
ACT.26.19	— Ayíi, wahawu unwu újimuu ihoyut bakaan loon ijukumuu li kahimmowaku kabilummuu li emitayi. 
ACT.26.20	Bale lijanjand iwaale bukanabuku kata Damaas li kata 
ACT.26.21	Wahawu unwu újimuu 
ACT.26.22	Bale Ateemit li afooyom boot yok síyaat, min iloŋ li éemi taate li elob bukanabuku feh moola, bajut añiil, bajut anahaan. Ilobut wah ukee úbuti li wan 
ACT.26.23	Konsoon 
ACT.26.24	Emmuu Fool muñowu lalobumuu min acahenoolo, Fésitiis li abaŋulowool aan:
ACT.26.24	— Fool, awu luwewwel! Wahawu wan uliikenumuu umemmeeŋ, gay li uweleni!
ACT.26.25	Fool li aan Fésitiis:
ACT.26.25	— Ahaanawu, iwelut. Kulimaku kan ilobumuu mal̥egen, ban inti bul̥uuhoo. 
ACT.26.26	Ayíiyawu Agilifa lahaase mata wahawu unwu feh, ban mó mújimuu liyilo ilob li kabanewom hákilool. Hiitonhiit li buyinum kaanaku bajut wah wano li wo wan ahaasut, mata inti li egool̥ yayolowe wahawu unwu ukaani. 
ACT.26.27	Agilifa, inti lúyinenyinen kulimaku kan 
ACT.26.28	Agilifa li aan Fool:
ACT.26.28	— Lonsoon luyilo ukaanom ilako akelecen yaan muñeˈe?
ACT.26.29	Fool li aanool:
ACT.26.29	— Eéti ŋa’ taŋ yatit mantee foof yáamak, wahawu wan il̥awumuu Ateemit, inti mata min awu baleyi, bale foof min bukuluul feh jáamimuu li bajantenabu búmbaam síyaat, jinokoo loon ínje, búti li sijenkase san íjenkumimee!
ACT.26.30	Muñeˈe áyiiyawu buko li águubelunaalawu li Beleniis, li bukanabuku feh kalako tomuu li buko, li kuyito. 
ACT.26.31	Nan kuyitomuu kúfu’, li kunaak koonoo:
ACT.26.31	— Anáyinaawu ummu akajenut wahoowah watooke min amuki, mantee foof li akul̥i.
ACT.26.32	Agilifa li aan Fésitiis:
ACT.26.32	— Anáyinaawu ummu layilleene akateni, okila baaneenut áyiiyawu áamakawu atiibool.
