MAT.1.1	Jesucristowa kwal an ñamin kwal uztuza wian kit ka munara: Davidpa kwalkas Abrahampa kwalkas.
ACT.28.9	Sun kitpane, mamaz imturuzne sun pi paizka sukis ussa aara. Wanta kakulninnara. 
ACT.28.10	Uspane aumɨza wat minñat kit kwiztane au we aizpa wantain mɨlaara. Mamasa kanuawara ɨamtuchasmin, uspane au we aizpa aumɨza mɨlaara.
ACT.28.11	Kutña mish pailtawane, aune kanuara waat kit su pi paizkakis ɨaiznash. Alu kimɨzta akwa, an kanua an ñamin Alejandría pɨpuluras at kit sua mara. Sun kanua pitkin paas dios kɨzpukanain waj. An diosne Cástorkas Póluxkas muntɨt. 
ACT.28.12	Siracusa kanua piannamkin pianarawane, aune kutña payukima maaiznash. 
ACT.28.13	Suasne pimamin pɨlzat kit Regio pɨpulura pianaiznash. Tɨlawara inkwa suras pamɨzkane, aune paas payukanain Puteoli pɨpulura pianaiznash. 
ACT.28.14	Suane aune mɨnpazha Jesústa piantuzkasa wanmalanash. Uspane aumɨza yal nammɨlanara maza domingokima. Kwiztane Roma pɨpulura ɨaiznash. 
ACT.28.15	Roma pɨpuluras izmuruzne au aamtu piankamat kit mimal aumɨza wanmalnaara. Mɨnpazha Apio pɨpulura muntɨtkin ɨara. Mamaztuzne kutña pitmu muntɨtkin ɨara. Pablone usparuza iznat kit Diosta aishtaish kizta. Usne kwisha wat kulta. 
ACT.28.16	Roma pɨpulukin piannatpane, suldaru ɨninmikane, wan kuhtɨttuza kajchira chɨhkanara. Pablone suldaru ɨninmikasha paikwara, paimpa uzna. Sua maza suldarune ussa izta.
ACT.28.17	Kutña payu pailtawane, Pablone Roma pɨpuluras Judío awa ɨninturuza akwanpa ɨninnara. Wanmakkarawane, kaiznara:
ACT.28.17	—Añaruz, nawa mɨrain. Nane Judío awaruza chinkas kitchish. Na au an ñancha kwal uztuza kwail kitchikas, Judío awaruzne Jerusalén pɨpulukin nawa pizat kit Romano ɨninturuza chɨhkaara. 
ACT.28.18	Nawa mɨmarawane, uspane nawa chɨhtshiara, na kwail kitchi akwa. Na kwail kitchikas, uspane nawa piantashiara. 
ACT.28.19	Judío awa nawa chɨhtshiarachi akwa, nane Romano katsa mikwara ɨninnapa paikwarau, nawa iznapa, na kwail kirɨt aizpa kiznapa. Nane au awaruza kwail kiarɨt kiznamtuchish. 
ACT.28.20	Katmizna, nane uruza akwanarau, uruza iz kit parananapa. Judío awaruzne Dios ɨnintamikasha izshiat kit tɨrizamtu. Na Jesúspa kwinta kimtu akwa, mane nane cadena kuhtɨt tus.
ACT.28.21	Suasne Judío awaruzne kaizara:
ACT.28.21	—Aune Judea sura uzturuztas pɨnkɨh nuwa sappamanash. Judío aimpihsh tas piannamtuzne nuwa kwail kizarachi. 
ACT.28.22	Aune nu mintu aizpa mɨshipuspas. Aune masas wanmakmuruzpa mɨat kit Jesústa kanpamtuzpa piankamshimtumakpas. Wan awane masas wanmakmuruza aliz kulamtu.
ACT.28.23	Suasne maza payu ussa izna naarawane, kwisha akkwan awane Pablo tukin piannaara. Tɨlawain nashnakima Pablone usparuza Dios awaruza ɨninshinamtui kiz kit nil kainanara. Usne usparuza kamtanat kit us kaizta aizpa watcha i mɨnninnashira. Usne Moisés kaizta aizpakas Dios pit kainammtuz kaizta aizpakas kamtanara, Jesústa piankamanapa. 
ACT.28.24	Mɨnpazha Pablo kaizta aizpa nɨjkulara. Anpane mɨarachi. 
ACT.28.25	Usparuzpain Pablo kaizta aizpa nɨjkulamtuki akwa, ɨamɨzta. Suasne Pablone minpa pit kaiznara: “Diospa Sɨnam Izpulne an ñancha kwalta watcha kainanara. Usne Isaías kainammmikasha ka paninta:
ACT.28.26	‘An awara ɨt kit kaiznari:
ACT.28.26	Dios kainammtuza mɨarakas, une piankamamanazi.
ACT.28.26	Uspa para aizpa izarakas, une nɨjkulamanazi.
ACT.28.27	An awa piankamashitchi akwa, usparuzpa kailne mɨasachikana parɨt,
ACT.28.27	usparuzpa kasune sɨppatɨtkana parɨt.
ACT.28.27	Katmizna nɨjkulashitchi akwa,
ACT.28.27	mɨashitchi akwa, uspane piankamasachi.
ACT.28.27	Uspane nawa kaiyamanazi,
ACT.28.27	na usparuza watsat mɨlnanapa.’ ”
ACT.28.28	Ɨamtuchasmin, Pablone kaiznara: “Mane une piankam kit mɨrain. Makis Diosne paiña pit Judío awachiruza ɨninamtu, usparuza watsat mɨlnanapa. Uspane watcha ussa mɨanazi.” 
ACT.28.29	(Pablo sun kiztawane, Judío awane ɨat kit usparuzpain tɨnta kwinta kiara.)
ACT.28.30	Pablone yal nampiz kit paiña yalta uzta. Paas añokima sua uz kit wan ussa iznamtuza napninnara. 
ACT.28.31	Pablone Dios awaruza ɨninashimtui. Wanta kaiznat kit Anpat Jesucristowa kamtanara. Mɨnminkas ussa pilchapuzarachi.
ACT.28.31	Pailti.
ROM.1.1	Nane Pablo mun ish. An pɨnkɨh uruza panamtus. Nakas Jesucristowa kiwainmika ish. Diosne nawa nat kit akwat kit paiña ɨnintamika namta, paiña watsal pit akkwan awaruza kainananapa.
ROM.1.2	Diosne ñamin paiña watsal pit paranana namta. Suasne paiña kainammturuza Dios pit pɨnkɨhta paninnara. 
ROM.1.3+ROM.1.4	Sun pitne Dios Painkulpa, au Anpat Jesucristowa kainammtu. Awakanain kawira. Ñamin paiña pampane David munazi. Ñamin Davidne katsa mikwa azi. Diosne ussa Dios Painkul mun kit paiña Sɨnam Izpul akwa irɨttuztas tɨnta kakulninta.
ROM.1.5	Cristo akwa, Diosne nawa kiwain kit paiña ɨnintamika namta, paiña pit kainanapa, akkwan awa wan suras nɨjkulat kit Dios ɨninta aizpa kianapa. 
ROM.1.6	Diosne uruzakas, Roma pɨpulura uztuzakas, akwanara, Jesucristora piankamanapa. 
ROM.1.7	Nane uruza, Roma pɨpulura uztuza, Diosta pashimturuza, an pɨnkɨh panamtus. Mane nane au Diostakas au Anpat Jesucristorakas paikumtus, uruza wat kiwainanapa, kalpain uzanapa.
ROM.1.8	An ñancha nane Diosta u akwa aishtaish kiztus, Jesucristo uruza tɨnta kiwainnara akwa. Nakas watsal ish, akkwan awa au sukin u Jesucristora nɨjkulamtu aizpa mɨamtu akwa. 
ROM.1.9	Nane Diospa kal sap kit tɨnta kal kirau, Dios watsal pitkas paiña painkulpakas kainanapa, pailnakima. Pailta payukima Diosta paikumtasmin, nane uruza minamtus. Diosne na kiztu aizpa watcha i pian. 
ROM.1.10	Nane Diosta paikumtus, na u uzkinkima piannan, sun minpa payura uruza iznana. Dios sun pashitne, kainchash ɨrɨnash. 
ROM.1.11	Nane uruza kwisha iznashimtus, Dios Sɨnam Izpul uruza kiwainnamtu kamtanana. Suasne une u kaijchura an tɨnta namanazi. 
ROM.1.12	Sunmin kaiznashimtus. Aune auruzpain kiwaintawamakpas. Une an tɨnta kulashina, na nɨjkultu akwa. Nakas an tɨnta kulshinas, u nɨjkulamtu akwa.
ROM.1.13	Cristora nɨjkulturuz, na pampa payukima u uzkin pianashira piankamtain. Chiwazha nawa ɨnintachi. Makima pianasachish. Nane u uzkin awaruza Jesucristora nɨjkulninnashimtus. Mamaz sura sunkana kirau. 
ROM.1.14	Nane kiwainmumika ish, wan awaruza kiwainana. Nane altɨm awaruzakas musu awaruzakas kiwainashimtus. Nakas pɨnkɨh pianchiruzakas pɨnkɨh piantuzakas kiwainashimtus. 
ROM.1.15	Katmizna nane uruzakas, wan Roma pɨpulura uztuzakas, Dios watsal pit kainanashimtus.
ROM.1.16	Nane Dios watsal pitpa mɨtsal kimanash. Sun pitkasa Diosne wan Dios pit para aizpa nɨjkulturuza watsat mɨlnanashina. An ñancha Judío awaruzakas, an kwizta Judío chi awaruzakas watsat mɨlnanashina. 
ROM.1.17	Diosne paiña watsal pitkas aumɨza mɨnninnamtu, nil uzanapa. Diosne Diosta nɨjkulturuza nil uzninnashinai. Dios pit ka parɨt: “Diosne ussa nɨjultumikasha nil namninnazi, pailta payukima uzanapa.”
ROM.1.18	Chiyuras Diosne wan awaruza Dios kimtu aizpa mɨninnamta. Awa Diosta nɨjkularachi akwa, Diosne usparuza ilnanazi, uspa kwail kiarɨt akwa. Uspa kwail kiamtu akwa, uspane watcha Dios kaiztu aizpa sappashimtuchi. 
ROM.1.19	Sun akwa Diosne usparuza ilnanazi. Uspane Diospa wat piankamara, us usparuza Diospa annara akwa. 
ROM.1.20	Dios an su sarasmin, awane Dios tɨnta i piankamashina. Diosta izasachikas, Diostakas piankamashina, paiña kal an sukin kimtu akwa. Katmizna sun kwail awaruzne Dios iztakin uspa kiarɨt aizpa pakpaasachi. 
ROM.1.21	Diospa mɨamtukas, Dios uztu piankas, uspane Dios kwisha wari kizarachi. Diosta “aishtaish” kizarachi. Uspa minñakane, uspane Diospa minñashitchi. Kain minñamtu akwa, uspane tɨmpa awakana minñara. Uspane wat chi minñara. 
ROM.1.22	Akkwan pianmakpas kizamtukas, uspane tɨmpa awakana mai. 
ROM.1.23	Mane uspane Dios uzmikasha wakpuj wainñamtuchi. Tɨ awakana sarawane, sunta wakpuj wainñamtu. Katsa wamkanakas, kalpakanakas, piaintɨkanakas saat kit wakpuj wainñara.
ROM.1.24	Katmizna tɨmpa awa akwa, Diosne usparuza chɨhkanarɨt, wan kwail minñashimtu aizpa kianapa. Usparuzpain akkwan tuntu mɨtsal kwail kiarɨt, uspa ñakin kwail kiarakima. 
ROM.1.25	Uspa watcha Diosta nɨjkulashitchi akwa, uspane tɨkasa sarɨt aizpa wakpuj wainñara. Sun tɨne dios chi. Uspane wan dios sarɨt aizpa minñat kit wakpuj wainñara. Diosta, wan saramikasha, wakpuj wainñashitchi. Awane an wat Diostain pailta payukima wakpuj wainñarawa. Sunne watcha i. Ka.
ROM.1.26	Tɨmpa awa sunkana kiamtu akwa, Diosne usparuza chɨhkanarɨt, wan mɨtsal kwail minñamtu aizpa kianapa. Paas ashampane parejuin pitshiilta. Mazane ampukanain namtu. Ashamparuzpain pit kit kwail kiamtu. Sunkana uzam. 
ROM.1.27	Kawarain ampuruzne uspa ashamparuza chɨhkamtu, ashampakasa pitmanpa, ampukasa pittana. Paas ampune parejuin pitshiilta. Mazane ashampakanain namtu. Ampuruzpain pit kit kwail kiamtu. Sunkana uzam. Sun kwailne mɨtsal kiarɨt. Katmizna uspa sunkana uzamtu akwa, Diosne usparuza ilnanazi.
ROM.1.28	Diospa watmin minñamtuchi akwa, uspane Diosta piankamashitchi. Katmizna Diosne usparuza chɨhkananazi, uspa kwail minñamtu aizpa kianapa. 
ROM.1.29	Uspane wan tuntu kwail kiashimtu. Mamaztuza kwail kiashimtu. Mamaz mɨjtuzkin an akkwan pashiamtu. Wan awaruza aliz kulamtu. Patna mɨj aizpa pashiamtu. Mamaztuza piantashimtu. Mamazkasa waya kiamtu. Uspane mamaztuza pɨrail appamtu. Akkwan tuntu kwail kiana minñamtu. Mamazpa parakane, kwail paraamtu. 
ROM.1.30	Anparuzne mamaztuzpa kwail paramtu. Diosta aliz kulamtu. An we tɨntamikasha aliz paramtu. Usparuzpain “aune an tɨnta makpas” kizamtu. Mamaztuza “aune an tɨnta makpas” kizamtu. Mamaztuza kwail kianapa minñamtu. Uspane papihshtakas akkuhshtakas mɨashimtuchi. 
ROM.1.31	Uspa minñarakas, mɨashitchi. Uspa kin namtu aizpa kiamtuchi. Uspa kwaltuza pashiamtuchi. Mamaztuza wat kulashimtuchi. Naizturuz akwa chinkas mazamtuchi. 
ROM.1.32	Sun awa Dios kaizta aizpa an wat piankas, Diosne sunkana kwail kimturuza iarɨnazi kiznara. Sun kwail kimturuzne mamaztuz kwail kiamtu aizpa wari kizamtu.
ROM.2.1	Diosne Judío chi awaruza ilnanazi, uspa kwail kiamɨztu akwa. Katmizna mɨnminkas uruztas Judío chi awaruza nu kwail kirɨt kaiznawachi. Judío awa Judío chi awaruza “nu kwail kirɨt” kizturuzne uruzpain Dios iztakin pakpasachi, nukas sun kwailmin kimtu akwa. 
ROM.2.2	Dios kimtu aizpa watcha i pianmakpas. Dios Judío chi kwail kirɨttuza ilnanapa ɨninkane, usne nil aizpa kimtu. 
ROM.2.3	Nu Judío awane Judío chi kwail kimturuzkanain kimtu. Nune Judío chi awaruza “une kwail kiamtu” kiznamtu. Dios kwail kimturuza ilnana ɨninkane, Diosne watcha u Judío awaruzakas tɨnta ilnanazi. 
ROM.2.4	Nune Diospa wat mintuchi. Usne wantuza kwisha wat kininnashimtu. Uskas uspa kwail akwa awaruza azain ilnamtuchi. Uskas uruza kwisha pashinamtu. Diosne nua wat kimtu, nu kwail kimtu aizpa chɨhkanpa, nu Diosta anpa, Dios nua maiznapa. 
ROM.2.5	Nu Dios kaiztu aizpa mɨshimtuchi akwa, nune u kwail kishimtu aizpa chɨhkamtuchi me. Nu Diosta kailtuchi akwa, Diosne nukasa aliz kultu, nu akkwan kwail kirɨt akwa. Dios kimtu aizpa watcha i. Katmizna nua ilna ɨninkane, Diosne nua an tɨnta naizninnazi. 
ROM.2.6	Diosne wat kimturuza wat kiwainnanazi. Uskas kwail kimturuza ilnanazi, uspa kwail kiarɨt akwa. 
ROM.2.7	Diosta saimturuzne mamaztuza wat kinanazi. Diosne suntuza “u watsal kiamti” kiznanazi. Diosne usparuza wat minñanazi. Diosne usparuza pailta payukima chiyura uzninnanazi. 
ROM.2.8	Uskas waya kishimturuzakas watcha mɨamtuchiruzakas kwail kiamturuzakas pilchapuznanazi. Usparuza tɨnta ilnanazi. 
ROM.2.9	Diosne wan kwail kimturuza tɨnta naizninnanazi, kwisha ishnakima. An ñancha Judío awaruzne naizanazi. Kwizta Judío chi awaruzne naizanazi. 
ROM.2.10	Diosne wan wat kimturuza “une watsal kiamti” kiznanazi. Usparuza wat minñanazi. Usparuza kalpain uzninnanazi. An ñancha Diosne Judío awaruzakas kwizta Judío chi awaruzakas watsal uzninnanazi.
ROM.2.11	Diosne pailta awaruza kawarain kinanazi. 
ROM.2.12	Judío chi awaruzne Moisés ɨninta aizpa sapparachi. Moisés ɨninta aizpa mɨjchikas, uspane kwail kiat kit mama iarɨnazi. Judío awaruzne Moisés ɨninta aizpa sappazi. Uspa kwail kiamtu akwa, Diosne usparuza Moisés parɨt akwa ilnanazi. 
ROM.2.13	Diosne Moisés ɨninta aizpa mɨmturuza wat paninnamanazi. Usne Moisés ɨninta aizpa kimturuza wat paninnanazi. 
ROM.2.14	Diosne Judío chi awaruza Moisés ɨninta aizpa mɨlanarachi. Awa Moisés ɨninta aizpa sapparachikas, mɨnpazha us ɨninta aizpa kimtune, usne Dios pashimtu aizpa piankam kit kimtu. 
ROM.2.15	Kaijchura Dios ɨninta aizpa nɨjkulamtu akwa, uspane sun ɨninta aizpa minñat kit kiamtu. Ayukta wa aizpa ussa kuruntu. Masetne kaijchura kwail kirau mintu. Masetne kaijchura wat kirau mintu. 
ROM.2.16	Iltu payura taizkane, Diosne awa ayukta puintɨt mɨj aizpa mɨmanazi, usparuza ilnana. Sunkanane nane Jesucristowa watsal pit uruza kainannamtus.
ROM.2.17	Mane u Judío awaruza parananash. Nune “Judío awa ish” kiztu. Nune “Dios ap Dios i” mintu. Nune “na an tɨnta ish” kiztu, Moisés ɨninta pit nuwa mɨlarɨt akwa. 
ROM.2.18	Nune “Dios pashimtu aizpa pianish” kiztu. Dios paiña pit nuwa kamtarɨt akwa, “Mane watmin nanash,” kiztu. 
ROM.2.19	Nune “kamtammika namtus” kiztu, Diosta we piantuzakas Diosta wat nɨjkultuchiruzakas kamtananapa. 
ROM.2.20	Nune “pianchiruza kamtanashimtus” kiztu. Nune “Dios pɨnkɨh panintɨt aizpa nɨjchiruza piankamninamtus,” kiztu, watcha piankamanapa. Nu sunkana mintu aizpa kain. Nu salamtɨt. 
ROM.2.21	Nu mamazta kamtamtukas, nune nu kamtamtu aizpa kimtuchi. Mamazta walkumun kiztukas, nune walkumtu. 
ROM.2.22	Nu mamazpa ashampa mɨlmun kiztukas, nune mamazpa ashampara nakat kit mɨltu. Nu dioskana sarɨtta wakpuj wainmun kiztukas, nune sun dios sarɨt uzkin nap kit pial tarɨt aizpa walkumtu. 
ROM.2.23	Nune “nain an warish” mintu, nu Moisés ɨninta aizpa iztu akwa. Nu Moisés ɨninta aizpa iztukas, nune us ɨnintu aizpa kimtuchine, Diosne nua ilnazi. 
ROM.2.24	Dios pɨnkɨhta ka parɨt: “Nu Judío awa Diosta izkitchi akwa, Judío chi awaruzne Diospa kwail paraamtu,”
ROM.2.25	Judío awa Moisés ɨnintu aizpa mɨmturuzne watsal kianazi. Judío awa Moisés ɨnintu aizpa mɨmtuchiruzne, Judío chi awa uztukanain uzamtu. Uspane Diospa kwal namamanazi, tɨtta señal samtuchiruzkana, circuncisión kitchiruzkana. 
ROM.2.26	Judío chi awa Moisés ɨnintu aizpa mɨmtune, usne Judío awakanain, tɨtta señal samtumikakanain, circuncisión kirɨtmikakanain, namnazi. Suasne Diosne ussa sapnazi, Dios ɨninta aizpa mɨt kit kirɨt akwa. 
ROM.2.27	Sun tɨtta señal samtuchimikane, circuncisión kirɨtchimikane, Moisés ɨninta aizpa mɨmtune, sun tɨtta señal samtumikakana, circuncisión kirɨtmikakanain, namnazi. Suasne sun Judío chi awaruzne Judío awaruza, tɨtta señal samturuza, circuncisión kittuza, Moisés ɨninta aizpa saptɨttuza “kwail kiare” kiznanazi, uspa Moisés ɨninta aizpa mɨarachi akwa. 
ROM.2.28	Judío awaruzne “aune Diospa kwal makpas” kizmumai. Une u Judío papihsh akwa, u Judío akkuhsh akwa Diospa kwal namasachi. Tɨtta señal ñara samturuzne, circuncisión kirɨttuzne, une sun akwa Diospa kwal namasachi. 
ROM.2.29	Dios Izpulne awa ayukta, paiña kaijchukin, maiz kit Diospa kwal namnintu, Dios ɨnintu aizpa kinpa. Diospa kwalne kaijchukin Diosta nɨjkul kit us kuruntu aizpa kimtu. Diosne kaijchukin maiztɨttuza “une wat awa mai” kiznanazi.
ROM.3.1	Na kaiztu aizpa mɨnaka. Dios Judío awaruza nanarɨt akwa, Diosne Judío awaruza, tɨttɨt señal sarɨttuza, circuncisión kirɨttuza, wat iznamtu. 
ROM.3.2	Uspane Diostas akkwan sappara. An ñancha Diosne usparuza akkwan pit kin nam kit Dios pit chɨhkanara, wantuza kamtananapa. 
ROM.3.3	Judío awa Dios pit sapparɨtkas, mazantuzne us kaizta aizpa mɨashitchi. Mazantuz us kaizta aizpa mɨashitchikas, Diosne mizurainkas awakanain maizmanazi. Dios kin namtɨt aizpa kimanazi kizmanapas. Watcha Diosne au akwa us kin namtɨt aizpa kinazi. 
ROM.3.4	Diosne mizurainkas wenammanazi. Wan awa pɨrail kaizamtukas, Diosne pailta payu watcha kaiztu. Dios pitta ka parɨt:
ROM.3.4	“Awa Dios paramtu aizpa piankamarawane,
ROM.3.4	awaruzne ‘Dios kirɨt aizpa wan nil i’ kizanazi”
ROM.3.5	Mɨnpazha ñanta ka kaizshinamai: “Awa pailta payu kwail kimtuasmin, suasne Diosne pailta payu paiña kwail kimtu aizpa wat kulnazi. Suasne Dios kwisha wat akwa, usne nawa ilmanazi,” kizanazi. Sunkana awa mintukanain minman. Dios wan nil kimtu akwa, usne wan kwail kimturuza ilnanazi. 
ROM.3.6	Diosta kain pit kaizman. Diosne mizurainkas wenammanazi. Dios kwail kiratne, usne an sukin kwail kimtuza ilshinamanazi. Dios nil kimtu akwa, Diosne kwail kimturuza uspa kwail kiamtu aizpa kaiznanazi.
ROM.3.7	Mɨnpazha ñanta kaizshinamai: “Na Dios ɨnintu aizpa mɨmtuchikas, Diosne nawa wan chiwal wat kulnazi. Suasne Dios awara wat kulna kin namtɨt akwa, awane kwisha wari kizanazi. Katmizna Diosne nawa ilnawachi.” 
ROM.3.8	Suntuzne sunkana ñanta kaizamtu: “An akkwan kwail kitpamakpas, Dios an akkwan kwail kimtu aizpa wat kulnapa.” Uspane pɨrail kaizat kit na sunkana kamtamtus kizamtu. Diosne sunkana kaizamturuza watcha naizninnanazi.
ROM.3.9	Sun akwa Judío awane Judío chi awakin an palichi mai. Judío awaruzkas Judío chi awaruzkas Dios iztakin kawarain mai, Dios u Judío awaruzkas Judío chi awaruzkas kwail kiarɨt kiznarɨt akwa. 
ROM.3.10	Dios pitta ka parɨt:
ROM.3.10	“Mɨnminkas nil kisachi.
ROM.3.11	Mɨnminkas mɨsachi.
ROM.3.11	Mɨnminkas Diosta saimtuchi.
ROM.3.12	Wantuzne Dios kuruntu aizpa chɨhkaara.
ROM.3.12	Uspane kwail kiamtu uzamtu.
ROM.3.12	Mɨnminkas wat kimtuchi.”
ROM.3.13	“Kwail awa parakane, usne paiña pit ɨsak
ROM.3.13	kit kwail pitmin paramtu.”
ROM.3.13	“Uspane pɨrail appamtu. Kamta awara kwatne, pininu akwa irɨnazi.
ROM.3.13	Sunkana kwail paramturuzne awaruza kwail kirɨnanazi.”
ROM.3.14	“Awaruza kwail pit paramtuasmin, sun aliztuzne awaruza kwail kiashimtu.”
ROM.3.15	“Uspane azain ɨamtu, awara aim kiana, awara piantana.
ROM.3.16	Uspane mamaztuza kwail kiashit kit tayalninnamtu.
ROM.3.17	Uspane mamaztuza kalpain uzninnamtuchi.”
ROM.3.18	“Uspane Diosta mɨkiamtuchi. Diosta mɨkiamtuchi akwa, ussa ishkuamtuchi.”
ROM.3.19	Aune Dios paiña pit wantuza ɨninta pianmakpas. Katmizna mɨnminkas “nane kwail kitchish” kizsachi. Pailta awane Dios iztakin kunnat kit sua uspa kwail kiarɨt aizpa nɨjkulanazi. 
ROM.3.20	Diosne Moisés ɨninta aizpa mɨashimturuza sapnamanazi. Uspa kwail kiamtu akwa, usne usparuza wat kulnamanazi. Dios paiña pit awaruza ɨninnarɨt akwa, awane uspa kwail kiamtu aizpa piankamashina, mɨnminkas wan ɨnintɨt aizpa kit akwa.
ROM.3.21	Mane mɨzhain. Awane Moisés Judío awaruza ɨninta aizpa kiasachi, Dios usparuza wat kulnanapa. Awa Moisés ɨninta aizpa mɨamtuchikas, Diosne awaruza sapnanazi, uspa kwail wat kulnanapa. Ñamin Dios kainammtuzne Dios pɨnkɨhta “Dios awaruza sapnat kit wat kulnanazi” paarɨt. 
ROM.3.22	Diosne wan Jesucristora nɨjkulturuza sapnat kit uspa kwail kiarɨt aizpa wat kulninnamtu. Judío awaruzkas Judío chi awaruzkas Jesucristora nɨjkularawa, Dios uspa kwail wat kultananapa. Judío awakas Judío chi awakas Dios iztakin kawarain mai. 
ROM.3.23	Pailta awa kwail kiarɨt akwa, uspane Dioskis attish chaamtu. 
ROM.3.24	Dios aumɨza pashinamtu akwa, Diosne au kwail kiarɨt aizpa kainmin wat kulnarɨt, Diospa kwal namanapa. Jesucristo au akwa irɨt akwa, Diosne au kwail kiarɨt aizpa kaninnara, au kwail akwa naizamanpa. 
ROM.3.25	Diosne Jesucristora wan awa akwa inapa ɨninta. Usne irɨt, Dios Cristora nɨjkulturuza wat kultananapa, Dios awakasa pilchapuzmanpa. Diosne an ñamin uztuza tailchanat kit impara imparain kurunnara. Kwail kiarɨtkas, mane Diosne Jesucristo akwa uspa kwail kiarɨt aizpa wat kulshinat kit nil namnara. 
ROM.3.26	Ma payu Diosne kwail kimturuza naizninnat kit wantuza us wat kimtu aizpa ananamtu. Dios wat akwa, usne Cristora nɨjkulturuza wat kulnashina, usparuza wat awa namanapa.
ROM.3.27	Mɨnminkas Dios iztakin “nane wat kulish” kizsachi. Awa wat kal kimtukas, Diosne awaruza uspa wat kal akwa wat kulmanazi. Awa Cristora nɨjkulamtu akwa, Diosne awaruza wat kulnashina. Sunkana Diosne awaruza paiña kwal namninamtu. 
ROM.3.28	Sun akwa aune sunkana minpuspas. Diosne Judío awaruza, Moisés ɨnintɨt aizpa mɨamturuza wat kulnamanazi. Usparuza sapnamanazi. Usne Cristora nɨjkulturuzain sapnanazi, uspa kwail kiarɨt aizpa wat kulnanapa.
ROM.3.29	Diosne Judío awaruzain nanazi, paiña kwal namanapa. Usne Judío chi awaruzakas nanara, paiña kwal namanapa. Watcha Diosne Judío awaruzakas Judío chi awaruzakas kawarain nanara, Dios iztakin nil uzninnanapa. 
ROM.3.30	Katmizna maza Dios uztu akwa, usne Judío awa nɨjkulamturuzakas Judío chi awa nɨjkulamturuzakas kawarain wat kulnanat kit paiña kwalkanain sapnanazi. 
ROM.3.31	Cristora nɨjkulturuzne Dios Moisésta ɨnintɨt aizpa chɨhkaapiznamanazi. Aune Dios ɨnintɨt aizpa wari minpuspas.
ROM.4.1	Mane Abrahampa, au ñamin irɨt kwalpa minñazsan. Abraham kamtɨt aizpa piankamasan. 
ROM.4.2	Dios Abrahamta wat kultakas, ussa wat namtɨtkas, Diosne ussa saptachi, paiña wat kal akwa. Katmizna Abrahamne Dios iztakin “Na kirɨt akwa, wat namish” kizsachi. 
ROM.4.3	Dios pɨnkɨhta ka parɨt: “Abraham Diosta nɨjkultɨt akwa, Diosne ussa wat namnin kit paiña kwail kirɨt aizpa wat kultɨt.”
ROM.4.4	Kalpamikane kal kimmikasha pial tamtu, paiña kal kimtu akwa. Kalpamikane kain mɨlamtuchi, kal kimtumika us saptu aizpa kana kimtu akwa. 
ROM.4.5	Kawarain mɨnminkas paiña kal kisachi, Dios ussa wat namninnapa. Diosne sunkana awaruza kamtanamtuchi. Diosne kwail kimturuza, Diosta nɨjkulturuza wat namninnat kit uspa kwail wat kulnanazi. Awa Diosta nɨjkulamtu akwa, Diosne usparuza sapnat kit uspa kwail kaninnanashina. Awane chinkas kisachi, ussain watsat mɨlnana. 
ROM.4.6	Ñamin Davidne watsal kimtumikawa kainara. Awa Moisésta ɨnintu aizpa kimtuchikas, Diosne awara wat namninshina. Wat namtɨtmikane wat kulnazi. 
ROM.4.7	Sunkana parɨt:
ROM.4.7	“Diosne Dios ɨnintu aizpa mɨmtuchiruzakas ñanta kwail kimtuzakas wat kulninnamtu.
ROM.4.7	Sun akwa uspane wat kularɨt maanazi.
ROM.4.7	Uspane watsal maanazi, Dios uspa kwail kaninnamtu akwa.
ROM.4.8	Uspane wat kularɨt maanazi,
ROM.4.8	Dios uspa kwail mainnintu akwa.”
ROM.4.9	Diosne Judío awa señal samturuzakas Judío awa señal samtuchiruzakas wat kularɨt maanazi. Mamasa ka kaiznamtus: “Abraham Dios kaizta aizpa nɨjkultɨt akwa, Diosne ussa sap kit paiña kwail wat kul kit wat namninta.”
ROM.4.10	Diosne Abrahamta sap kit wat namnintɨt, Abraham Judío awa señal paiña ñara sarachasmin. Dios Abrahamta wat namnintawane, Diosne Abrahamta Judío awa señal paiña ñara sanapa ɨninta. 
ROM.4.11	An ñancha Diosne Abrahamta wat namninta. Kwiztane Abrahamne Judío awa señal paiña ñara sanintɨt. Dios Judío awa sarachasmin, Dios Abrahamta sun señalkasa sanintachasmin, Abrahamne Diosta nɨjkulta. Diosne wan ussa nɨjkulturuza sapnat kit uspa kwail wat kulninnamtu. Wan Diosta nɨjkulturuzne Abrahamta uspa papihshkanain mɨjmazi. 
ROM.4.12	Judío awa señal uspa ñara saamturuzne Abrahamta uspa papihshkanain mɨjanazi, Abraham nɨjkultakanain nɨjkularane. Circuncisión kitchasmin, Abrahamne Diosta nɨjkulta.
ROM.4.13	Diosne Abrahamtakas paiña kwizta kwaltuzakas sun su sappanapa mɨlan namnara. An sukin uztuasmin, Abraham Dios mɨlan namtɨt aizpa saptachikas, usne Dios kaizta aizpa mɨra. Diosta nɨjkultɨt akwa, Diosne ussa wat namnin kit paiña kwail wat kulta. 
ROM.4.14	Moisés ɨninta aizpa mɨmturuzne “aune Dios mɨlan namtɨt aizpa sappanapas” ñanta minñamtu. Katmizna Dios kin namtɨt aizpa uspa akwa kainsɨh. Sunkana minñamtune, Diosta nɨjkulna kainsɨh. 
