MAT.1.1	Inu nərgɨ tɨpɨ Iesu Kristo rat mɨn, kit in Kig Tefɨt, kən kit mɨn in Epraham.
JHN.4.44	Məto-inu aupən, in təmatən məmə ien mɨn rəha Uhgɨn, natiməlat mɨn, ilat kəsotɨsiai-inən ilat.
JHN.4.45	Netəm Kalili, aupən ilat kəmotuwɨn Jerusalem moatol lafet rəha Nuhagego-inən, kən e nian əh, ilat kəmotəplan natɨmnat mɨn itəm in təmol ikɨn əh. Kən nian Iesu təmuwɨn Kalili, nɨkilat təmagien ron.
JHN.4.46	Kən Iesu təmɨtəlɨg-pən mɨn e latuənu Kena, əpəh Kalili. Ikɨn əh aupən, in təmol nəhau tuwa mol wain.
JHN.4.47	Kən nian suah u təməto məmə Iesu təmɨsɨ-pən u Jutia mɨnuwa rəkɨs Kalili, kən in təmuwa məplan Iesu. Kən mən-ipən ron məmə oteiuaiu muwɨn əpəh Kapaneam kən mol-wɨr nətɨn. Məto-inu suakəku nol otɨmɨs.
JHN.4.48	Kən Iesu tən-ipən kəm suah un məmə, “!Nəman! Itəmat u, nakotəmə onəkotəplan əm nəmtətin mɨn ne natɨmnat mɨn itəm narmɨtəmat otiwɨg ron aupən, kənu uarisɨg un, nəpanotahatətə lak. Məto okəmə nəsotəplanən, okol nəsotahatətəən lak.”
JHN.4.49	Kən suah un təmə, “!Etəm-iasol, awi! !Pəs kian uəhai əm! !Otəsuwəhən roiu nətɨk tɨmɨs!” 
JHN.4.50	Kən Iesu təmən-ipən kəm in məmə, “Uwɨn; nətɨm otəpanəmegəh.” Kən suah un təmahatətə e nəghatən rəha Iesu kən mɨtəlɨg.
JHN.4.51	Nian in təmatuwɨn əh e suatɨp, təməplan rəhan iolwək mɨn, kən ilat kotən-ipən kəm in məmə, “Rəham suakəku tɨnəmegəh rəkɨs.” 
JHN.4.52	Kən in təmətapəh olat məmə, “?Təməwɨr e nian naka?” Kən ilat kəmotən-ipən kəm in məmə, “Nəniəp ehnaipən e wan klok rəhan nəgəpanən təmɨkə.” 
JHN.4.53	Kən suah un, təmɨtun məmə, e nian ətuatɨp əh inəh, Iesu təmən-ipən kəm in məmə, “Rəham suakəku otəpanəmegəh.” Kən in ne rəhan mɨn, kəmotahatətə e Iesu. 
JHN.4.54	Inu nian tatol kəiu lan itəm Iesu təmiet Jutia, muwa Kalili kən mol nəmtətin kit.
JHN.5.1	Uarisɨg e nian əh, Iesu təmər muwɨn e taon u Jerusalem, məto-inu katol lafet kit rəha netəm Isrel əh-ikɨn əh.
JHN.5.2	E Jerusalem, noan asol kit əpəh ikɨn, itəm kətaig lan. E nəghatən rəha netəm Isrel katən nərgɨn məmə Petseta. Kən nimə kit tatətul iuəhkɨr o noan əh. Nimə un, feranta lan, faif. In əh iuəhkɨr o ket u e fenɨs rəha taon u, nərgɨn u, Ket rəha Sipsip. 
JHN.5.3+JHN.5.4	Kən ikɨn əh, e feranta mɨn, netəm koatɨmɨs tepət koatapɨl əh-ikɨn. Neen nɨganəmtɨlat təpɨs, kən neen nelkɨlat tərat, neen mɨn nɨpətɨlat nəwtain təmɨmɨs.
JHN.5.5	Kən suah kit əh-ikɨn əh tətapɨl. In təmatɨmɨs mɨnos rəkɨs nup tate-eit. 
JHN.5.6	Kən Iesu təplan suah un tətapɨl, kən in mɨnɨtun məmə suah u təmɨmɨs nuwəh məsɨn, kən tətapəh ron məmə, “?Tahro? ?Nakolkeike məmə onakəwɨr?”
JHN.5.7	Etəm tatɨmɨs un tən-ipən kəm in məmə, “Etəm-iasol, etəmim tɨkə məmə otɨləs io meiuaiu muwɨn e noan əh nian nəhau tatəloal. Nian rafin, io etalkut pɨk məmə ekeiuaiu muwɨn e noan əh, məto netəmim neen ilat kotaprəkɨs-in io moteiuaiu motuwɨn. Kən ilat motaupən motek nəhau.”
JHN.5.8	Kən Iesu tən-ipən kəm in məmə, “!Ətul! Mos rəham nɨmɨtiwɨn maliwək matuwɨn.” 
JHN.5.9	Kən roiu agɨn suah apon təməwɨr mɨn. Kən maiuaiu rəhan nɨmɨtiwɨn mos matuwɨn.
JHN.5.9	Nat u kəmol e nian rəha Sapat,
JHN.5.10	kən netəm-iasol mɨn rəha Isrel kəmotəhai suah un itəm tɨnəmegəh e rəhan nɨmɨsən, motəmə, “Nian u-roiu rəha Sapat; kən təsətuatɨpən e Lou rəhatat məmə onakos nulan rəham nɨmɨtiwɨn.”
JHN.5.11	Kən in tən-ipən kəm netəm mɨn u məmə, “Məto suah u təmol-wɨr io, in təmən-ipa məmə ekos rəhak nɨmɨtiwɨn maliwək matuwɨn.”
JHN.5.12	Kən ilat kəmotətapəh ron məmə, “?Suah pah apon təmən-ipɨnə kəm ik məmə onəkol nat un?”
JHN.5.13	Məto suah un təruru nərgɨ Iesu, məto-inu netəmim tepət ikɨn əh, kən Iesu təmɨkə-pən əm əh ilugɨn elat.
JHN.5.14	Kən uarisɨg, Iesu təməplan suah un e Nimə Rəha Uhgɨn, kən tən-ipən kəm in məmə, “!Ei! !Əplan-tu! !Ik nɨnəwɨr rəkɨs! Məto onatəto ik məmə nəsol mɨnən təfagə rat mɨn. Okəmə nakol, nəratən kit otɨləs mɨn ik, itəm tərat təhmɨn mɨn.”
JHN.5.15	Kən suah apon təmuwɨn mən-ipən kəm netəm-iasol mɨn rəha Isrel məmə, “Suah u itəm təmol-wɨr io, nərgɨn un, Iesu.”
JHN.5.16	Kən tol nəhlan, netəm-iasol rəha netəm Isrel, ilat kɨnoatɨtəp-ɨtəp Iesu məmə okotol nəratən kəm in, məto-inu ilat kotəplan in tatol natɨmnat mɨn tol nəhlan e nian rəha Sapat.
JHN.5.17	Məto Iesu təmən-ipən kəm ilat məmə, “Nian rafin rəhak Tata tatol əh wək, kən io mɨn oekatol wək.”
JHN.5.18	Kən nəghatən u, tol nətəlɨgən rəhalat təskasɨk təhmɨn mɨn, məmə okotohamnu in tɨmɨs. Məto-inu roiu əh, sənəmə məmə tatətgəhl əm Lou rəha Sapat, məto nat in iahgin pɨk, in tatən məmə rəhan u Tata ətuatɨp Uhgɨn, kən tol nulan, in matol məmə in tahmen ətuatɨp e Uhgɨn.
JHN.5.19	Kən Iesu tən-ipən kəm ilat məmə, “Nɨpahrienən agɨn un iatən kəm itəmat, Nətɨ Uhgɨn təruru nolən nat kit e rəhan atɨp əm nətəlɨgən. Tɨtun əm nolən natɨmnat mɨn un itəm Tata Uhgɨn tatol, məto-inu natɨmnat rafin u itəm Tata Uhgɨn tatol, Nətɨn, in mɨn in tatol.
JHN.5.20	Nətɨn tɨtun nolən nəhlan, məto-inu Tata Uhgɨn tolkeike pɨk Nətɨn, kən in tatəgətun kəm in natɨmnat rafin itəm in tatol. Kən in otəpanəgətun mɨn natɨmnat mɨn kəm in itəm iahgin mɨn kotaprəkɨs-in in mɨn u, məmə otol itəmat narmɨtəmat tatiwɨg pɨk ron.
JHN.5.21	“Məto-inu Tata Uhgɨn tatol netəm kəmotɨmɨs ilat koatəmegəh mɨn, kən e nolən kitiəh əm, Nətɨn tɨtun nos-ipənən nəmegəhən kəm netəmim itəm nɨkin tagien məmə otos-ipən kəm ilat.
JHN.5.22	Məto-inu sənəmə Tata Uhgɨn itəm in otakil netəmim, məto in təmələhəu-pən rafin nakilən e nelmɨ Nətɨn,
JHN.5.23	məmə netəmim ilat rafin okotɨsiai-in Nətɨn, tahmen əm məmə inun koatɨsiai-in mihin Tata Uhgɨn. Etəmim itəm təsɨsiai-inən Nətɨn, okol təsɨsiai-inən Tata Uhgɨn u itəm təmahl-ipa Nətɨn.
JHN.5.24	“Nɨpahrienən agɨn u iatən kəm itəmat məmə, etəmim itəm tatəto rəhak nəghatən, kən mətahatətə e Uhgɨn itəm təmahl-ipa io iakuwa, in tɨnatos nəmegəhən itulɨn. In okol təsətulən e nɨganəmtək məmə oekən-iarəp nalpɨnən rəhan. In tɨnagɨm rəkɨs e nɨmɨsən, kən mɨnuwa o nəmegəhən.
JHN.5.25	Nɨpahrienən agɨn u iatən kəm itəmat, məmə o nian kit itəm tatuwa, kən tɨnuwa rəkɨs, netəm mɨn u kəmotɨmɨs, ilat okotəto nəwia Nətɨ Uhgɨn, kən netəm mɨn u ilat kotətəlɨg-in, ilat okotos nəmegəhən. 
JHN.5.26	Tata Uhgɨn in Nəukətɨ Nəmegəhən, kən e nolən kitiəh əm, in təmol mə Nətɨn in mɨn Nəukətɨ Nəmegəhən,
JHN.5.27	kən in təmələhəu-pən nəsanənən ne nepətən e nelmɨ Nətɨn məmə in otakil nolən mɨn rəha netəmim, məto-inu in Nətɨ Etəmim.
JHN.5.28	“Təsəwɨrən məmə narmɨtəmat otiwɨg pɨk o nat u, məto-inu nian əh-ikɨn tatuwa itəm netəm kəmotɨmɨs okotəto nəwia Nətɨn, 
JHN.5.29	kən ilat okotətul e rəhalat mɨn suwɨt, ilat mɨn u aupən kəmoatol nolən wɨr mɨn okotəkəike motətul mɨn motos mɨn nəmegəhən, məto itəm mɨn aupən ilat kəmoatol nolən rat mɨn, ilat okotəkəike motətul mɨn e nɨmɨsən kən motətul e nɨganəmtɨ Tata Uhgɨn məmə Nətɨn otən-iarəp rəhalat nalpɨnən.
JHN.5.30	“Io ekəruru nolən nat kit e rəhak atɨp əm nəsanənən. Io iakatakil nolən mɨn rəha netəmim mɨn, məto iatol ətuatɨp əm məmə rəhak Tata tatən mihin ne məmə oekol. Kən nian iakakil nolən rəha netəmim, ekɨtun mə ekol tətuatɨp, məto-inun oesalkutən məmə ekol əm e rəhak nəsanənən. Məto io, ekəike malkut məmə iakol tahmen e nətəlɨgən rəha Uhgɨn itəm təmahl-ipa io ekuwa.”
JHN.5.31	Okəmə io pɨsɨn əm iakəghat-in io, kən rəhak nəghatən okol təsətulən.
JHN.5.32	Məto suah kit mɨn əh-ikɨn in tatətul-arəp kən matol nəfɨgəmən ron io, kən io ekɨtun məmə nəghatən mɨn u rəhan itəm tatən lak in nɨpahrienən.
JHN.5.33	“Aupən, itəmat nəmotahl-ipən rəhatəmat mɨn netəmim məmə okotuwɨn motətəlɨg-in nəghatən rəha Jon, kən in təmatətul-arəp o nɨpahrienən.
JHN.5.34	Iatəghat nulan, məto esagɨleən e nəghatən rəha etəmim əm kit məmə tɨtun nolən nəfɨgəmən ron io. Kəpə. Təsolən nulan.
JHN.5.35	Jon u, tahmen e lait kit. Tatuəp məhag-əhag wɨr, kən nɨkitəmat təmagien ron o nian təkuəkɨr əm.
JHN.5.36	“Məto rəhak wək mɨn, ilat mɨn koatol nəfɨgəmən ron io. Kən ilat kotəsanən motaprəkɨs-in nəghatən mɨn un Jon təmatən. Wək mɨn un, rəhak Tata təmos-ipa kəm io mə oekol namnun elat. Kən wək mɨn u rəhak, ilat koatən-iarəp io, kən ilat moatol əp io məmə rəhak Tata in təmahl-ipa io.
JHN.5.37	Kən Tata Uhgɨn itəm təmahl-ipa io, inun itəm tɨnatətul-arəp ron io. In tatən-iarəp io pap, məto itəmat nəsotətoən nəwian, kən itəmat nəsotəplanən nɨganəmtɨn. 
JHN.5.38	Kən nəghatən rəhan təsatɨg wɨrən e nɨkitəmat, məto-inun itəmat nəsotahatətəən lak, io u, itəm in təmahl-ipa io iakuwa.
JHN.5.39	“Itəmat noatafin pɨk nəghatən mɨn e Naoa Rəha Uhgɨn, kən motahatətə e nəghatən mɨn əh məmə itəmat onəkotos nəmegəhən itəm namnun tɨkə. Məto otəplan-tu. Nəghatən mɨn əh e Naoa Rəha Uhgɨn, ilat koatəghat-in io, moatən-iarəp io. 
JHN.5.40	Məto itəmat nakotapəs nuwamən ron io məmə nakotos nəmegəhən ron io.
JHN.5.41	Esolən nat agɨn-əh e nənwiwiən rəha netəmim. Kəpə. 
JHN.5.42	Məto itəmat u inun, io ekɨtun wɨr itəmat, kən io ekɨtun wɨr məmə nolkeikeən rəha Uhgɨn tɨkə e nɨkitəmat. 
JHN.5.43	Io emuwa e nərgɨ Tata rəhak, məto itəmat nəsotosən io e nɨkitəmat, nɨkitəmat təsagienən ron io; məto okəmə etəmim kit tatuwa e nərgɨn atɨp əm, kən nɨkitəmat tos, kən motagien ron. 
JHN.5.44	Nian rafin itəmat nakotolkeike məmə nakotos nənwiwiən rəhatəmat mɨn, məto nəsotalkut agɨn-əhən məmə onəkotol nat kit itəm Uhgɨn u, in pɨsɨn əm in Uhgɨn, otənwiwi itəmat ron. ?Onəkotahatətə ahro nulan lak e nolən əh?
JHN.5.45	“Təsəwɨrən məmə nɨkitəmat otəht məmə, io oekən-iarəp nolən rat mɨn rəhatəmat e nɨganəmtɨ Tata Uhgɨn. Kəpə. Məto Moses ilə, nian rafin itəmat noatuag-pən ron,
JHN.5.46	Məto-inu okəmə itəmat nəmotahatətə pahrien e nəghatən mɨn rəha Moses, kən itəmat onəkotahatətə mɨn e rəhak nəghatən mɨn. Məto-inun, nəghatən mɨn itəm in təməte rəkɨs, ilat koatəghat-in io. 
JHN.5.47	Məto itəmat nəsotahatətəən e nəghatən mɨn itəm in təməte, tol nəhlan, suatɨp tɨkə agɨn məmə onəkotahatətə lak.
JHN.6.1	Uarisɨg e natɨmnat mɨn u, Iesu təmuwɨn əpəh entənɨpən e nəhau asol nərgɨn un, Lek Kalili. Kən nərgɨn kit mɨn un, Lek Taepirias. 
JHN.6.2	Kən nɨmanin netəmim kəmoatuarisɨg-in, məto-inun koatəplan nəmtətin mɨn rəhan, itəm tatol netəmim koatɨmɨs koatəto təwɨr. 
JHN.6.3	Kən Iesu təmuwɨn əpəh ilɨs e nɨtot kit, kən matəpələh ikɨn əh ilat rəhan mɨn netəmim. 
JHN.6.4	E nian əh, lafet kit rəha netəm Isrel u, kətaun-in məmə lafet rəha Nuhagego-inən tɨnatuwa iuəhkɨr.
JHN.6.5	Kən nian Iesu tasɨpən əpəh isəu, kən məplan nɨmanin netəmim tepət ilat koatuwa, kən in tətapəh o Filip məmə, “?Okotəhrol motos pɨret tepət tahmen-in netəm mɨn u məmə ilat okotun?” 
JHN.6.6	In təmən asgəwɨn əm məmə otəplan nahatətəən rəha Filip, məto in tɨnɨtun rəkɨs nat naka itəm in otəpanol.
JHN.6.7	Kən Filip tən-ipən kəm in məmə, “!Ei! Okəmə okos-nəmtɨn pɨret məni lan tahmen e tu-hanrɨt tenarius pap,
JHN.6.8	Kən etəmim kit rəha Iesu, pian u Saimon Pita, nərgɨn u Antru, in təmən-ipən kəm Iesu məmə, 
JHN.6.9	“Suakəku kit əh-ikɨn əh, in tatos pɨret faif kəmol e pale, ne nəm kəiu. Məto okol təsahmen-in agɨn-əhən netəm mɨn əh.”
JHN.6.10	Kən Iesu təmə, “Otən-ipən-tu kəm netəmim kotəpələh.” Kən ikɨn əh, manuwɨhl tepət, kən ilat kəmotəpələh. Kən nampa rəha nəman əm, in nat kit tahmen e faif-taosan.
JHN.6.11	Kən Iesu təmos pɨret, mən tagkiu kəm Uhgɨn ron, kən mos-ipən pɨret un kəm ilat rafin u koatəpələh, kən matɨg mol mɨn nat kitiəh əm e nəm. Kən ilat kəmotun tahmen-in nərpɨlat.
JHN.6.12	Kən nian kɨnotagwən rəkɨs, nərpɨlat tasis, kən Iesu təmən-ipən kəm rəhan mɨn netəmim məmə, “Otuwɨn motuwər nɨmɨsmɨsɨ pɨret mɨn əh koatɨs. Təsəwɨrən məmə okotərəkɨn.” 
JHN.6.13	Kən ilat kəmotuwɨn motuwər nɨmɨsmɨsɨ pɨret kən motaii-pən e kətɨm asol mɨn ilat tuelef kotərioah wɨr. Pɨret u, in nɨmɨsmɨsɨ pɨret ilat faif kəmol e pale itəm netəmim kəmotun kapəs.
JHN.6.14	Kən nian netəmim kəmotəplan nəmtətin əh itəm Iesu təmol, kən ilat kəmotən məmə, “Nɨpahrienən. !Ien pahrien u
JHN.6.15	Kən Iesu təmɨtun məmə netəm mɨn u kotəmə okotuwa motos in motuwɨn motəkəike kəm in məmə in otuwa mol kig rəhalat. Kən in təmagɨm mɨn, mapəs ilat muwɨn əpəh e nɨtot, mətan in pɨsɨn əm.
JHN.6.16	Nian mɨtgar təmeiuaiu, netəmim rəha Iesu mɨn kəmoteiuaiu motuwɨn e lek əh.
JHN.6.17	Kən tɨnapinəp, məto Iesu tɨkə, təsuwamən əh. Kən əmun, ilat kəmotuwɨn motər e pot kit, kən mɨnotasuə lan motaulego mɨn e lek un, məmə ilat okotuwɨn Kapaneam. 
JHN.6.18	Kən nɨmətag asol kit təmətul mɨnol nəhau tɨnərat-nərat. 
JHN.6.19	Kən nian ilat kəmotasuə motuwɨn, tahmen e faif o sikis kilomita, kən ilat kotəplan Iesu taliwək e nətuei nəhau
JHN.6.20	məto in təmən-ipən kəm ilat məmə, “Əsotəgɨn pɨkən, io u inu.
JHN.6.21	!Kən nɨkilat təmagien o nɨləsən in e pot, moatol əmun, roiu agɨn, məto pot tɨnuwɨn e nəwtain nəhau entənɨpən-pən ikɨn-un kəmotən məmə okotuwɨn ikɨn!
JHN.6.22	Kəmən lawɨgin, netəmim mɨn itəm kotatɨg əh entənɨpən-pa ikɨn e lek asol u, ilat kəmotəplan məmə aupən, pot kitiəh əm tatətul ukɨn-u. Kən ilat kotɨtun məmə Iesu təsuwɨnən e pot u ilat rəhan mɨn netəmim, məto-inun nian kəmotiet, ilat pɨsɨn əm moatuwɨn. 
JHN.6.23	Kən pot mɨn neen, kəmotɨsɨ-pən e taon u Taepirias, ilat kəmotuwa. Ilat kəmotuwar iuəhkɨr əm o ikɨn-u itəm Ierəmərə təmətul ikɨn məfak matən tagkiu o pɨret, kən netəmim kəmotun. 
JHN.6.24	Kən tol nəhlan, nian ilat kəmotəplan məmə Iesu tɨnɨkə u ikɨn-u, kən rəhan mɨn netəmim kotɨkə, ilat mɨn kəmotasuə mɨn e pot kit, motuwɨn e Kapaneam, moategəs-in.
JHN.6.25	Nian netəm mɨn u kəmotəplan Iesu əpəh entənɨpən-pən əpəh e lek u, kotətapəh ron məmə, “?Iəgətun, ik nəmuwa ikɨn-u nəghan?”
JHN.6.26	Məto Iesu təmən-ipən kəm ilat məmə, “Nɨpahrienən agɨn iatən kəm itəmat məmə, itəmat noategəs-in io, sənəmə nəmotəplan nəmtətin mɨn u itəm emol, məto itəmat nəmotun əm pɨret, nərpɨtəmat tasis. 
JHN.6.27	Məto təsəwɨrən məmə itəmat nahgitəmat otɨkə o nosən pɨret itəm otəpanəmnəmɨt mɨkə.
JHN.6.28	Kən ilat kəmotətapəh ron məmə, “?Nolən naka mɨn un itəm Uhgɨn tolkeike məmə itɨmat oekotol?”
JHN.6.29	Kən Iesu tən-ipən kəm ilat məmə, “Itəmat nəkotəkəike motahatətə lak, məmə Uhgɨn təmahl-ipa io.
JHN.6.30	Kən ilat kəmotətapəh mɨn ron məmə, “?Məto ik onəkol nəmtətin naka, məmə itɨmat ekotəplan kən ekotahatətə lam? ?Ik onəkol nat naka? 
JHN.6.31	Nian rəhatat pipi mɨn u aupən, ilat kəmotan ikɨn taruən-aruən ikɨn, ilat kəmotun ‘mana.’
JHN.6.32	Məto Iesu təmən-ipən kəm ilat məmə, “Nɨpahrienən agɨn u iatən kəm itəmat məmə, sənəmə Moses təmos-ipən pɨret u itəm tatɨsɨ-pən e Nego e Neai məmə nakotun. Rəhak Tata ilə in tatos-ipɨnə. Kən inun tatos-ipən pɨret pahrien itəm tatɨsɨ-pən e Nego e Neai, məmə itəmat onəkotun. 
JHN.6.33	Məto-inu pɨret rəha Uhgɨn, inu in itəm tatɨsɨ-pən e Nego e Neai, mateiuaiu-pa e nətueintən.
JHN.6.34	Kən ilat kəmotən-ipən kəm in məmə, “Etəm-iasol, awi os-ipa-tu pɨret u kəm itɨmat nian rafin.”
JHN.6.35	Kən Iesu təmən-ipən kəm ilat məmə, “Io u, io
JHN.6.36	Məto io emən-ipɨnə rəkɨs kəm itəmat, məmə nat əpnapɨn nəkotəplan io, məto itəmat nəsotahatətəən əh lak. 
JHN.6.37	Netəmim itəm rəhak Tata tatos-ipa ilat kəm io, ilat okotuwa ron io. Kən etəmim itəm otuwa ron io, okol iakəsahl-iarəp-ən.
JHN.6.38	Məto-inu io eməsɨsɨ-pənən e Nego e Neai meiuaiu-pa e nətueintən məmə iakol natɨmnat mɨn u io əm ekolkeike. Məto emuwa məmə ekol natɨmnat mɨn u itəm rəhak Tata təmahl-ipa io ekuwa ron. 
JHN.6.39	Kən in tolkeike məmə io esəmkarəpən-inən netəm mɨn un itəm in təməmki-pa ilat kəm io. In tolkeike məmə e namnun nian, io oekol netəm mɨn u ilat okotəmegəh mɨn e nɨmɨsən.
JHN.6.40	Məto-inu rəhak Tata in tolkeike məmə netəmim rafin itəm kotuag-pən o Netɨn, kən motahatətə lan, ilat okotos nəmegəhən itulɨn. Kən e namnun nian, io oekol netəm mɨn u ilat okotəmegəh mɨn e nɨmɨsən.”
JHN.6.41	O nat u, netəmim nɨkilat tɨnətuoun mətagət, məto-inu in tatən məmə, “Io u, Pɨret itəm tatɨsɨ-pən e Nego e Neai, meiuaiu-pa e nətueintən.” 
JHN.6.42	Ilat koatən məmə, “?Təhrol? Suah u in Iesu, nətɨ Josep, kitat kotɨtun əm rəhan tata ne mama. ?Təhrol in tatən nulan məmə, ‘Io emɨsɨ-pən e Nego e Neai, matuwa e nətueintən’?”
JHN.6.43	Iesu təmən-ipən kəm ilat məmə, “Nɨkitəmat təsagət-agətən nulan. 
JHN.6.44	Okəmə Tata Uhgɨn itəm təmahl-ipa io ekuwa, in təsiuw-pamən etəmim kit tuwa ron io, kən okol etəmim un təsuwa atɨpən ron io məmə io oekol in otəmegəh mɨn e nɨmɨsən e namnun nian.
JHN.6.45	Nəghatən itəm ien kit təməte aupən e Naoa rəha Uhgɨn, tatən nulan məmə, ‘Uhgɨn in otəgətun netəmim rafin.’ Etəmim itəm tatətəlɨg-in nəgətunən rəha Tata Uhgɨn, in tatuwa ron io.
JHN.6.46	Etəmim kitiəh ne tɨkə, itəm təməplan Tata Uhgɨn. In pɨsɨn əm un itəm təmɨsɨ-pən lan, təməplan in.
JHN.6.47	Nɨpahrienən agɨn u iatən-ipɨnə kəm itəmat məmə, etəmim itəm tətahatətə lak, in tɨnos nəmegəhən lilɨn. 
JHN.6.48	Io un, Pɨret rəha nəmegəhən.
JHN.6.49	Nat əpnapɨn tɨpɨtəmat mɨn aupən, ilat kəmotun pɨret u ‘mana’ əpəh ikɨn taruən-aruən ikɨn, məto ilat kɨnotɨmɨs rəkɨs. 
JHN.6.50	Məto Pɨret itəm tatɨsɨ-pən e Nego e Neai meiuaiu-pa u-roiu, in tol pɨsɨn. Pɨret u, təmeiuaiu-pa məmə etəmim itəm tatun, okol təsɨmɨsən. 
JHN.6.51	Io u, io Pɨret itəm tatəmegəh, təmɨsɨ-pən e Nego e Neai, meiuaiu-pa e nətueintən. Etəmim itəm otun Pɨret u, in otəmegəh matuwɨn, matuwɨn, namnun tɨkə; kən Pɨret u, itəm io oekos-ipən o nəmegəhən rəha netəmim e nətueintən, inun, noanuwəhgək.”
JHN.6.52	Nəghatən u təmol netəmim kɨnotətul mɨnoatərgəhəu kəm ilat mɨn, motəmə, “?Təhrol? ?Suah u tɨtun nos-ipamən noanuwəhgɨn kitat kotun?”
JHN.6.53	Kən Iesu təmən-ipən kəm ilat məmə, “Nɨpahrienən agɨn u iatən-ipɨnə kəm itəmat məmə, okəmə itəmat nəsotunən noanuwəhgɨ Nətɨ Etəmim, kən məsotənɨmən nɨtan, okol nakəsotosən nəmegəhən.
JHN.6.54	Etəmim itəm tatun əm noanuwəhgək matənɨm nɨtak, in otos nəmegəhən lilɨn,
JHN.6.55	Emən nəhlan, məto-inu noanuwehgək in pɨret pahrien nɨgɨ netəmim. Kənu nɨtak, in nənɨmən pahrien nɨmɨ netəmim. 
JHN.6.56	Etəmim itəm tatun noanuwəhgək, kən matənɨm nɨtak, in otatɨg lak. Kən iakətatɨg lan.
JHN.6.57	“Rəhak Tata itəm təmahl-ipa io ekuwa, in nəukətɨ nəmegəhən. Kən io iatos nəmegəhən ron. Kən e nolən kitiəh əm, etəmim itəm tatun io, inu tatos nəmegəhən ron io. 
JHN.6.58	Io u pɨret pahrien, itəm təmɨsɨ-pən e Nego e Neai, meiuaiu-pa e nətueintən. In təsahmenən e pɨret u, itəm tɨpɨtəmat mɨn aupən kəmoatun. Nat əpnapɨn məmə ilat kəmoatun pɨret əh, məto ilat kɨnotɨmɨs rəkɨs. Məto etəmim itəm tatun pɨret u, in otos nəmegəhən lilɨn, itəm namnun tɨkə.”
JHN.6.59	Iesu təmən-iarəp nəghatən mɨn u, nian təmatəgətun netəmim əpəh e nimə rəha nuəfɨmɨnən
JHN.6.60	Netəmim tepət rəha Iesu kəmotəto nəghatən u rəha Iesu, kən ilat kotəmə, “!Nəman! !Nəghatən u tiəkɨs pɨk! ?Pah u tɨtun nosən nəghatən tol nəhlan?”
JHN.6.61	Kən Iesu təmɨtun atɨp məmə netəmim mɨn rəhan, kɨnotasiwɨn-asiwɨn-in nəghatən əh rəhan. Kən in təmən-ipən kəm ilat məmə, “?Təhrol əh? ?Nətəlɨgən rəhatəmat təmeiuaiu o nat u? 
JHN.6.62	?Məto okəmə naka nəkotəplan Nətɨ Etəmim tər matuwɨn mɨn ikɨn əh, in təmɨsɨ-pən ikɨn aupən, təhrol u-roiu?
JHN.6.63	Narmɨn Rəha Uhgɨn əm tɨtun nos-ipənən nəmegəhən kəm etəmim.
JHN.6.64	Məto itəmat neen u ikɨn-u, itəmat nəsotahatətəən əh lak.” (Iesu təmən nulan məto-inu in tɨnɨtun rəkɨs e nətuounən məmə netəm pah mɨn u kəsotahatətəən lan, kən pah un in otegəhan-in-pən in e nelmɨ tɨkɨmɨr mɨn rəhan.)
JHN.6.65	Kən in təmən məmə, “O nat u inu, io enəmən rəkɨs kəm itəmat, məmə okol etəmim kit təsuwamən ron io okəmə Tata Uhgɨn təsolən suatɨp ron.”
JHN.6.66	Uarisɨg e nəghatən əh, netəmim rəhan tepət kəmotagɨm, mɨnotapəs nətəu-pənən.
JHN.6.67	Kən Iesu təmətapah o rəhan netəmim tuelef məmə, “?Təhrol etəmat? ?Itəmat mɨn nakotən məmə nakotagɨm kapəs io?”
JHN.6.68	Kən Saimon Pita təmən-ipən kəm in məmə, “?Iərəmərə, itɨmat oekotuwɨn o pah? Ik əm un, rəham əm nəghatən in tatos-ipən nəmegəhən itəm namnun tɨkə.
JHN.6.69	Kən itɨmat enotahatətə rəkɨs lam, kən itɨmat enotɨtun rəkɨs məmə ik Etəm Asim rəha Uhgɨn.”
JHN.6.70	Kən Iesu təmən-ipən kəm ilat məmə, “Itəmat u, netəm tuelef rəhak. Io u, emɨtəpun itəmat, məto itəmat kitiəh u ikɨn, in iərmɨs.”
JHN.6.71	In tatən Jutas, nətɨ Saimon Iskariot, məto-inu in mɨn in etəm tuelef kit rəha Iesu, məto uarisɨg ikɨn, in otəpanegəhan-in-pən in e nelmɨ rəhan tɨkɨmɨr mɨn.
JHN.7.1	Uarisɨg e natɨmnat mɨn u, Iesu təsolkeikeən məmə otuwɨn latuənu mɨn e Jutia məmə otol rəhan wək əh-ikɨn əh, məto-inun, netəm-iasol rəha netəm Jutia kəmoatəte noa anion kit ron. Kən tɨtəlɨg muwɨn latuənu mɨn e nɨtən Kalili. 
JHN.7.2	Məto nian tɨnuəkɨr e nian rəha nolən lafet kit rəha netəm Isrel, nərgɨn un, lafet rəha Nolən Makeen.
JHN.7.3	Kən pia Iesu mɨn kəmotən-ipən kəm in məmə, “Təwɨr məmə nakiet muwɨn əpəh Jutia, mə pəs netəmim mɨn rəham əh-ikɨn əh, ilat kotəplan nat pɨspɨs mɨn rəham itəm natol. 
