MAT.1.1	Yesu Kristu kaweriti mwiwuka gwa Dawudi na mwiwuka gwa Aburahamu. Ayi ndo walanga ya ukowu wakuwi,
JHN.8.57	Su, Wayawudi wamgambira, “Gwenga gwankali kusoka vinja lilongu muhanu, nagwenga gumwona Aburahamu?”
JHN.8.58	Yesu kawagambira, “Nakaka nuwagambirani, pamberi Aburahamu kangali kwiwuka, ndo Neni.”
JHN.8.59	Panu wasola mabuwi wamgumangi yomberi, kumbiti Yesu kalififa, kalawa Mnumba nkulu ya Mlungu.
JHN.9.1	Yesu pakaweriti kankupita, kamwoniti muntu yumu kana lwisi kwanjira kwiwuka. 
JHN.9.2	Wafundwa wakuwi wamkosiya, “mfunda! Hashi, gaa ndo yakatenda vidoda vyavimtenda muntu ayu kayiwuki pakawera lwisi? Hashi, vidoda vyakuwi mweni ama vidoda vya walera wakuwi?”
JHN.9.3	Yesu kankula, “Shitwatila ashi shilawira ndiri toziya ya vidoda vyakuwi yomberi, ama vidoda vya walelwa wakuwi, ira kiwuka lwisi su makakala ga Mlungu gawonikani gatenda lihengu mwakuwi. 
JHN.9.4	Kuweri kwankali paliwala tufiruwa kwendeleya kutenda lihengu lya uliya yakantumiti, mana pashiru peni pakwiza muntu hapeni kawezi kutenda lihengu. 
JHN.9.5	Shipindi nankali pasipanu, neni ndo gulangala gwa pasi panu.”
JHN.9.6	Pakatakuliti kala aga, katema mata pasi, kalitenda linkandiga, kamswagaziya mumasu ulii yakawera na lwisi, 
JHN.9.7	kamgambira, “Gugendi na gukalifyankuli palitanda lya Silowamu.” Mana ya litawu ali ndo “Yawamtumiti”. Muntu kana lwisi uliya kagenda na kulifyankula kulitanda lya Siloam, shakapanu kawuya pakawera kankuwona.
JHN.9.8	Su, wapakwegera wakuwi na walii yawaweriti wavimana handa kaweriti muhushu mluwa, walonga, “Hashi, ayu ndiri uliya muhushu yakaweriti pakalivaga na kuluwa luwa?”
JHN.9.9	Wamonga pawatakula, “Ndomweni.” Wantu wamu watakula, “ndala! Ira kalifana nayomberi.”
JHN.9.9	Uliya yakaweriti lwisi katakula, “Ndo neni!”
JHN.9.10	Wamkosiya, “Vinu, masu gakuwi gapata hashi kutumula?”
JHN.9.11	Nayomberi kawankula, “Muntu uliya yawamshema Yesu katenditi linkandiga, kaswagaziya mumasu na kung'ambira, ‘Gugendi gwakalifyankuli palitanda lya Silowamu,’ su neni ng'enda, nulifyankula sheni shangu, mpata kwona.”
JHN.9.12	Wamkosia, “Yomberi ka koshi?”
JHN.9.12	Nayomberi kawankula, “Neni nuvimana ndiri!”
JHN.9.13	Shakapanu wamjega muntu uliya yakaweriti kana lwisi kwa Mafalisayu. 
JHN.9.14	Lishaka ali Yesu pakatenditi linkandiga na kumtumuziya masu muntu ayu, iweriti Lishaka lya kwoyera. 
JHN.9.15	Mafalisayu wamkosiya kayi muntu ayu, “Gupata hashi kwona?” Nayomberi kawagambira, “Kantyeremeka linkandiga mumasu, naneni nulifyankula sheni shangu, vinu weza kwona.”
JHN.9.16	Mafalisayu wamu walonga, “Muntu kantenditi hangu hapeni kalawi kwa Mlungu, toziya kajimira ndiri malagaliru ga Lishaka lya kwoyera.”
JHN.9.16	Kumbiti wamonga walonga, “Muntu kana vidoda kaweza hashi kutenda liuzauza lya ntambu ayi?” Kuwera na malekaniru pakati pawu.
JHN.9.17	Mafalisayu wamkosiya kayi muntu ayu, “Yomberi kagagubutula masu, gutakula shishi kwa yomberi?”
JHN.9.17	Muntu uliya kawagambira, “Yomberi ndo mbuyi gwa Mlungu!”
JHN.9.18	Wakulu wa Shiyawudi wajimira ndiri handa muntu ayu kaweriti lwisi na vinu kankuwona mpaka pawawashemiti walera wakuwi 
JHN.9.19	na wawakosiya walera awa, “Hashi, ayu mwana gwenu ndo mwenga mlonga kiwukiti lwisi? Hashi vinu kapata kwona?”
JHN.9.20	Walera wakuwi wankula, “Tuvimana handa ayu ndo mwana gwetu na kiwukiti lwisi. 
JHN.9.21	Kumbiti kapata hashi kwona, hapeni tuvimani na wala tuvimana ndiri uliya yakamtumuziyiti masu. Mumkosiyi mweni, yomberi ndo muntu mkulu, kaweza kulitakulira mweni.” 
JHN.9.22	Walera wakuwi walongiti hangu toziya wawatiriti wakolamlima wa Shiyawudi, kwani wakolamlima awa waweriti waliragilirana handa muntu yoseri yakamini handa Yesu ndo Kristu kalivagi kunja kwa numba ya Mlungu. 
JHN.9.23	Walelwa wakuwi walongiti, “Yomberi ndo muntu mkulu, Mumkosiyi.”
JHN.9.24	Su, wamshema kayi muntu ulii yakiwukiti lwisi na wamgambira, “Gumpanani ukwisa Mlungu! Twenga tuvimana kuwera muntu ayu ndo kana vidoda.”
JHN.9.25	Yomberi kankula, “Handa ndo nana vidoda neni nuvimana ndiri. Kumbiti shintu shimu nushimana, neriti na lwisi na vinu mona.”
JHN.9.26	Wamkosiya, “Kakutenderiti shishi? Hashi kakutumuliziya masu gaku?”
JHN.9.27	Muntu ayu kawankula, “Nuwagambireni mbera kala, namwenga mpikanira ndiri, mfira shishi kupikinira kayi? Hashi mwenga viraa mfira muweri wafundwa wakuwi?”
JHN.9.28	Kumbiti womberi wamwigira pawatakula, “Gwenga ndo mfundwa gwakuwi, twenga wafundwa wa Musa. 
JHN.9.29	Twega tuvimana handa Mlungu katakuliti na Musa, kumbiti muntu ayu tumumana ndiri kalawira koshi!”
JHN.9.30	Muntu ulii kawankula, “Ashi ndo shitwatira sha kulikangasha! Mwenga muvimana ndiri kalawira koshi, kumbiti kantumuliziya masu gangu! 
JHN.9.31	Tuvimana handa Mlungu hapeni kawapikiniri wantu wana vidoda, ira kumpikinira yoseri yakamjimira na kutenda vyakafiriti. 
JHN.9.32	Kwanjira lupaga pasipanu ipikanirika ndiri handa muntu kagatumuziya masu ga muntu yakayiwukiti lwisi. 
JHN.9.33	Payiwera ndiri muntu ayu kalawa kwa Mlungu, mekaweziti ndiri kutenda shintu shoseri!”
JHN.9.34	Womberi wamwankula, “Gwenga gwiwuka na kulelwa pavidoda, na hashi guweza kutufunda twenga?” Wamwinga kulawa Mnumba ya Mlungu.
JHN.9.35	Yesu kapikiniriti yagalawiliti, kamwoniti muntu uliya kamkosiya, “Hashi, gwenga gumjimira Mwana gwa Muntu?”
JHN.9.36	Muntu ayu kankula, “Mtuwa, gung'ambiri yomberi ndo gaa, su mpati kumjimira!”
JHN.9.37	Yesu kamgambira, “Gumwona kala na yomberi ndo yakatakula nagwenga vinu.”
JHN.9.38	Muntu ayu katakula, “Nukujimira, Mtuwa!” Na kamsuntamilira Yesu.
JHN.9.39	Yesu katakula, “Neni niza pasipanu kutoza wantu, wanalwisi wapati kuwona na woseri yawalola waweri lwisi.”
JHN.9.40	Mafalisayu wamu waweriti pamuhera na yomberi wampikinira pakatakuriti aga na wamkosiya, “Gumaanisha natwenga twanalwisi viraa?”
JHN.9.41	Yesu kawankula, “Mwangaweriti mwana lwisi, mwangaweriti ndiri na vidoda, kumbiti mwenga vinu mtakula, twenga tuwona, ayi ilanguziya kuwera mwana vidoda.”
JHN.10.1	“Yesu kawagambira, yoseri yakingira ndiri mulizizi lya kondolu kwa kupitira mlyangu, ira mulupenu na kwingira kwa njira yimonga, ayu ndo mwivi na mkwepula. 
JHN.10.2	Muntu yakingira kwa kupitira pamulyangu, ayu ndo mweni mlolera gwa kondolu. 
JHN.10.3	Mlolera mlyangu kamvugulira yomberi, kondolu wapikinira liziwu lyakuwi, nayomberi kawashema kondolu wakuwi kila yumu litawu lyakuwi na kuwalonguziya kunja. 
JHN.10.4	Pakawalavia kunja kawalongulera palongolu, nawomberi kondolu wamfata, kwani walimana liziwu lyakuwi. 
JHN.10.5	Kondolu awa hapeni wawezi kumfata muntu gwingi, ira watuga toziya walimana ndiri liziwu lyakuwi.”
JHN.10.6	Yesu kawagambiriti mfanu agu, kumbiti womberi wavimana ndiri shakafiriti kuwagambira.
JHN.10.7	Su, Yesu katakula kayi, “Nakaka nuwagambireni, neni ndo mlyangu gwa kondolu. 
JHN.10.8	Wamonga woseri walii wiziti pamberi pa neni ndo wivi na wakwepula, kumbiti kondolu wawapikinira ndiri. 
JHN.10.9	Neni ndo mlyangu. Yakingira kupitira neni hakalopoziwi, hakingiri na kulawa na hakapati maliziwu. 
JHN.10.10	Mwivi kizaga su kiwi na kalagi na kahalabisiyi. Neni niza mpati kuwera na ukomu, ukomu ukamilika.
JHN.10.11	“Neni ndo mlolera muheri. Mlolera muheri kalaviyaga ukomu wakuwi kwa kondolu wakuwi. 
JHN.10.12	Muntu gwa shibenamgongu, yomberi mlolera ndiri na wala kondolu wakuwi ndiri, pakamuwona liminyi kankwiza, kaleka kondolu na kutuga, liminyi kawabata wakondolu na kuwapalasiyanga. 
JHN.10.13	Muntu gwa shibenamgongu katuga toziya yomberi gwa shibenamgongu hera, hapeni kawaloleri wakondolu. 
JHN.10.14	Neni ndo mlolera muheri. Nuwamana wakondolu wangu nawomberi wamana neni, 
JHN.10.15	gambira Tati ntambu yakamana neni, naneni ntambu yanummana Tati. Neni ndaviya ukomu wangu kwajili ya womberi. 
JHN.10.16	Nana wakondolu wamonga yawaweriti ndiri mulizizi ali. Inazimu kuwajega viraa, womberi hawalipikiniri liziwu lya neni, na hakuweri shipinga shimu na mlolera yumu.
JHN.10.17	“Tati kanfira neni toziya ndaviya ukomu wangu, su mpati kuwuwanka kayi. 
JHN.10.18	Kwahera muntu yakampoka ukomu wangu, neni nuwulaviya mweni. Nana uwezu wa kuwulaviya na kuwutola kayi. Hangu ndo Tati kandagaliriti ntendi.”
JHN.10.19	Kuwera kayi na malekaniru pakati pa Wayawudi toziya ya visoweru avi. 
JHN.10.20	Wantu wavuwa watakuliti, “Kana shamshera, kayi kanalukwali! Gwa shishi kumpikinira?”
JHN.10.21	Wamonga walonga, “Shisoweru ashi sha muntu kana shamshera ndiri. Hashi, shamshera kaweza ashi kuponiziya muntu kana lwisi?”
JHN.10.22	Aku Yerusalemu kuweriti na msambu gwa kumlavilira Mlungu Numba nkulu ya Mlungu, shipindi ashi shiweriti sha mpepu. 
JHN.10.23	Yesu kaweriti kankugendagenda Mnumba nkulu ya Mlungu pahala wapashemiti Mdamu gwa Selemani. 
JHN.10.24	Su, Wayawudi wamzyengeta Yesu, wamkosiya, “Hagutuleki pota na nakaka mpaka ndii? Gutugambiri nakaka pota kufifa, Hashi, gwenga ndo Kristu?”
JHN.10.25	Yesu kawankula, “Nuwagambireni kala, kumbiti mnjimira ndiri. Lihengu lyantenda neni kwa uwezu wa Tati gwangu wakuntakuziya. 
JHN.10.26	Kumbiti mwenga mnjimira ndiri toziya mwenga mwa kondolu wa neni ndiri. 
JHN.10.27	Wakondolu wangu wapikinira liziwu lyangu, neni nuwamana, nawomberi wanfati. 
JHN.10.28	Neni nuwayupa ukomu wa mashaka goseri, nawomberi hapeni wahowi. Kwahera muntu yakaweza kuwawusiya mmawoku mwangu 
JHN.10.29	Tati gwangu ndo mweni yakanupiti hawa nayomberi ndo mkulu kuliku woseri. Kwahera yakaweza kuwawusiya mmawoku mwakuwi. 
JHN.10.30	Neni na Tati, twayumu.”
JHN.10.31	Su, Wayawudi watola mabuwi wamgumi. 
JHN.10.32	Yesu kawagambira, “Nuwalanguziyeni mahengu gavuwa kulawa kwa Tati. Nuwatendera shishi shamfira kung'uma na mabuwi?”
JHN.10.33	Wayawudi wamwankula, “Hapeni tukugumi kwajili ya matendu maheri, kumbiti kwa kumwigilanga Mlungu! Gwenga ndo muntu hera kumbiti mweni gwenga gulitenda kuwera Mlungu.”
JHN.10.34	Yesu kawankula, “Walembiti Mumalagaliru genu, Neni nonga, ‘mwenga ndo milungu?’ 
JHN.10.35	Mlungu kawashemiti milungu walii wawapanana ujumbi wakuwi, natwenga tuvimana handa Malembu Mananagala gatakula nakaka mashaka goseri. 
JHN.10.36	Kumbiti neni, Tati ndo kansyaguliti na kantumiti pasipanu. Iwera ashi mung'ambira neni nigilanga toziya ntakuliti ‘Neni Namwana gwa Mlungu?’ 
JHN.10.37	Namunjimira neni, pamwona ntenda ndiri vitwatira vya Tati gwangu. 
JHN.10.38	Kumbiti pantenda vitwatira avi, ata pamunjimira ndiri neni, muvijimiri ata vitwatira vyantenda, su mpati kuvimana nakaka kulonga Tati ka mngati mwangu na neni namngati mwa Tati.”
JHN.10.39	Wajeriti kayi kumbata Yesu kumbiti kawukiti pakati pawu.
JHN.10.40	Yesu kagenda kayi kumwambu ku lushemba Yoridani, pahala Yohani pakaweriti kankubatiza, kalikaliti aku. 
JHN.10.41	Wantu wavuwa wamgenderiti pawalonga, “Yohani katenda ndiri liuzauza lyoseri, ira goseri Yohani gakatakuliti kuusu muntu ayu ndo nakaka.” 
JHN.10.42	Na wantu wavuwa pahala palii wamjimira.
JHN.11.1	Muntu yumu yawamshema Lazaru, kalikaliti Betaniya, kaweriti mlweri. Betaniya lushi lwawalikaliti Mariya na Marita muhasha gwakuwi. 
JHN.11.2	Mariya ndo uliya yakamswagiti uturi Mtuwa na kumpukuta kwa viri zyakuwi. Ayu ndo Lazaru kaka gwakuwi yakaweriti mlweri. 
JHN.11.3	Wahasha watuma ujumbi kwa Yesu, “Mtuwa, ganja gwaku yagumfira, mlweri!”
JHN.11.4	Yesu pakapikaniriti aga, katakula, “Ulweri awu hapeni hujegi kuhowa kwa Lazaru, ira ndo kwajili ya kumkwisa Mlungu na kwa mana ayi Mwana gwa Mlungu kakwiswi.”
JHN.11.5	Yesu kamfiriti Marita na muhasha gwakuwi pamuhera na Lazaru. 
JHN.11.6	Pakapatiti shisoweru handa Lazaru mlweri, kulikala pahala panu kwa mashaka mawili nentu. 
JHN.11.7	Shakapanu kawagambira wafundwa wakuwi, “Tuwuyi kayi Yudeya!”
JHN.11.8	Wafundwa wamgambira, “Mfunda! Shipindi shifupi hera shipita Wayawudi wafira kukuguma mabuwi, na gwenga gufira kugenda kayi aku?”
JHN.11.9	Yesu kankula, “Lishaka lyana saa lilongu na mawili ndiri, ndo hangu? Pakagendagenda paliwala hapeni kawezi kulikwala, kawona kulangala kwa pasipanu. 
JHN.11.10	Kumbiti muntu pakagendagenda pashiru katalikwala, Toziya kulangala kwahera.” 
JHN.11.11	Yesu katakuliti hangu na pakamaliriti, kawagambira, “Ganja gwetu Lazaru kagonja, kumbiti neni nankugenda na kumyumusiya.”
JHN.11.12	Wafundwa wakuwi wamgambira, “Mtuwa, handa yomberi kagonja su hakaponiziwi.”
JHN.11.13	Kumbiti Yesu kaweriti kankutakula kuusu kuhowa kwakuwi, womberi waliholiti kuwera kankutakula kuusu kugonja mbota. 
JHN.11.14	Yesu kawagambira pota kufifa, “Lazaru kahowa, 
JHN.11.15	kumbiti nemelera kwa ajili ya mwenga handa mweri ndiri aku, su mpati kujimira. Haya tugendeni kwakuwi.”
JHN.11.16	Tomasi yawamshema mawira kawagambira wantumini wamonga, “Tugendeni woseri pamuhera na mfunda tukahowi!”
JHN.11.17	Yesu pakafikiti aku, kamwoniti Lazaru wamtula kala mlipumba kwa mashaka msheshi. 
JHN.11.18	Shijiji sha Betaniya shiweriti pakwegera na Yerusalemu utali wa kilumita ntatu, 
JHN.11.19	na Wayawudi wavuwa wiziti kumlola Marita na Mariya kuwapanani ushiwa kwa kuhowa kaka gwawu.
JHN.11.20	Shipindi Marita pakapikaniriti handa Yesu kaweriti kamkwiza, kagenda kumwanka, kumbiti Mariya kasigaliti ukaya. 
JHN.11.21	Marita kamgambira Yesu, “Mtuwa handa gwangaweriti panu, kaka gwangu mekahowiti ndiri! 
JHN.11.22	Kumbiti nuvimana handa ata vinu shoseri shagufira kumluwa Mlungu, hakakupi.”
JHN.11.23	Yesu kamgambira, “Kaka gwaku hakawuyi mkomu kayi.”
JHN.11.24	Marita kamwankula, “Nuvimana handa hawazyuki shipindi sha uzyukisiwu, mulishaka lya kupelera.”
JHN.11.25	Yesu kamgambira, “Neni ndo uzyukisiya na ukomu. Yakanjimira neni ata tembera hakahowi, hakalikali. 
JHN.11.26	Na kila yakalikala na kunjimira, hapeni kahowi. Hashi, gujimira aga?”
JHN.11.27	Marita kamwankula, “Yina, Mtuwa! Neni njimira handa gwenga ndo Kristu, Mwana gwa Mlungu, uliya yakiza pasipanu.”
JHN.11.28	Marita pakatakuliti aga, kagenditi na kumshema Mariya mlongu gwakuwi, kamgambira pagweka, “mfunda kapanu na kafira kukuwona.” 
JHN.11.29	Nayomberi pakapikaniriti aga, kamukamu kagoloka, kamgendera Yesu. 
JHN.11.30	Yesu kaweriti keniyingiri mushijiji, kumbiti kaweriti palaa palii Marita pakamwankiti. 
JHN.11.31	Su, Wayawudi yawaweriti ukaya pamuhera na Mariya pawamnyamaziya muushiwa, pawamwoniti kagoloka na kulawa kunja vumu, wamwiziriti. Wavimaniti kaweriti kankugenda mulipumba kudaya.
JHN.11.32	Mariya pakasokiti pahala palii Yesu pakaweriti na kumwona, kasuntamala, kamgambira, “Mtuwa, handa gwangaweriti panu, kaka gwangu kangahowiti ndiri!”
JHN.11.33	Yesu pakamwoniti kankulira na Wayawudi walii wawiziti pamuhera nayomberi wankulira viraa, kamemiti na maholu na kuhinginika mumoyu. 
JHN.11.34	Shakapanu kawakosiya, “Lipumba lya koshi?”
JHN.11.34	Wamgambira, “Mtuwa, gwizi na gulori.”
JHN.11.35	Yesu kalira. 
JHN.11.36	Su, Wayawudi watakula, “Mlori ntambu yakamfiriti!”
JHN.11.37	Kumbiti wamonga wawu watakula, “Hashi, ayu yakamtenditi katumuli masu lwisi uliya, kaweza ndiri kumtenda Lazaru nakahowi?”
JHN.11.38	Su, Yesu kahinginika kayi mmoyu, kiziti mlipumba. Lipumba lyeni liweriti mpanga na liweriti ludiwirwa kwa libuwi. 
JHN.11.39	Yesu kalagaliriti, “Mliwusiyi libuwi ali!”
JHN.11.39	Marita mlongu gwakuwi ayu yakahowiti kamgambira, “Mtuwa kanja kala kununka, kalikala mulipumba mashaka msheshi!”
JHN.11.40	Yesu kamgambira, “Hashi, nukugambira ndiri handa pagujimira haguwoni ukwisa wa Mlungu?” 
JHN.11.41	Su waliwusiya libuwi lilii, Yesu kalola kumpindi, katakula, “Mayagashii Tati toziya gwenga gumpikanira. 
JHN.11.42	Nuvimana handa gumpikanira neni. Kumbiti ntakula aga toziya ya wantu awa wapala panu su wapati kujimira handa gwenga ndo yaguntumiti.” 
JHN.11.43	Pakamaliriti kutakula aga, kashema kwa liziwu likulu, “Lazaru! Gulawi kunja!” 
JHN.11.44	Uliya yakaweriti kahowa kalawiti kunja, aku wamyopa sanda mmagulu na mmawoku na sheni shakuwi shigubikirwa. Yesu kawagambira, “Mumyopoli, mkamleki kagendi zyakuwi.”
JHN.11.45	Su, Wayawudi wavuwa waweriti wamtyangira Mariya pawawoniti Yesu shintu gaa shakatenditi, na kumjimira. 
JHN.11.46	Kumbiti wamonga wawu wagenditi kwa Mafalisayu na wawagambira shitwatira ashi shakatenditi Yesu. 
JHN.11.47	Mafalisayu na watambika wakulu waliwoniti Mwashizungu na watakula, “Tutendi shishi? Muntu ayu kankutenda mauzauza nentu. 
JHN.11.48	Patumleka hera wantu woseri hawamjimiri, womberi Warumi hawizi kuwalibisiya Numba nkulu ya Mlungu gwetu na isi yetu!”
JHN.11.49	Panu yumu gwawu, yawamchema Kayafa, ndo kiwiti mtambika mkulu wa shinja ashi, kawagambira, “Mwenga muvimana ndiri shintu! 
JHN.11.50	Hashi, mwona ndiri handa ndo mbaka kwamwenga muntu yumu kahowi kwa ajili ya wantu, kuliku isi yoseri ipalanganyika?” 
JHN.11.51	Yomberi katakula ndiri hangu ntambu yakafiriti mweni, ira kaweriti mtambika mkulu shinja ashi su katungiti handa Yesu hakahowi toziya ya wantu wa Isi ya Shiyawudi, 
JHN.11.52	na toziya ndiri gweka yawu hera, kumbiti kapati kuwajega pamuhera munshimba yimu yaipalanganyikiti kwa wantu wa Mlungu.
JHN.11.53	Su, kwanjira lishaka ali watuwa wa Shiyawudi watenda mipangu gwa kumlaga Yesu. 
JHN.11.54	Su, Yesu hapeni kagendigendi kayi paweru muisi ya Wayawudi, kumbiti kawukiti panu kagenditi pahala pagwekera na kushiwala, mlushi lwa walushema Efrayimu. Kalikaliti aku pamuhera na wafundwa wakuwi.
JHN.11.55	Shipindi sha msambu sha Wayawudi sha Pasaka shiweriti pakwegera na wantu wavuwa walawa muisi wagenditi Yerusalemu su walipungi pa msambu agu. 
JHN.11.56	Su, waweriti wankumsakula Yesu. Na womberi pawaliwoniti Mnumba nkulu ya Mlungu, walikosiyana, “Mulihola hashi? Nakaka hakizi ndiri ku msambu agu, awu ndiri?” 
JHN.11.57	Watambika wakulu na Mafalisayu walagalira kuwera, handa muntu yoseri pakavimaniti pahala pakaweriti Yesu, kalazimika kutakula su wapati kumbata.
JHN.12.1	Pamberi pa mashaka sita ga msambu gwa Pasaka, Yesu kafikiti Betaniya pakaya pa Lazaru, muntu yakamzyusiyiti kulawa kwawahowiti. 
JHN.12.2	Aku wamtuliriti shiboga sha pamihi na Marita kaweriti kamtendera. Lazaru kaweriti yumu gwa walii wawaweriti wankuliya pamuhera na Yesu. 
JHN.12.3	Mariya katoliti supa ya uturi yawayishema naridu iherepa ya mpiya zivuwa, kamswaga Yesu mumagulu na kugapukuta kwa viri zyakuwi numba yoseri inunkira uturi. 
JHN.12.4	Yumu gwa wafundwa wa Yesu, Yuda Isikariyoti yakafiriti kumgalambuka Yesu, katakula, 
JHN.12.5	“Uturi awu waweza kuwuza kwa mpiya zya shibena mgongu sha myezi tisa na mpiya azi wawayupi wahushu?” 
JHN.12.6	Katakuliti hangu, kwakuwawonera ndiri wahushu lusungu, toziya kaweriti mwivi na yomberi ndo yakakoliti muhaku gwa mpiya na kavitoliti vyawatuliti amu.
JHN.12.7	Yesu katakula, “Mumleki mdala ayu! Kavituriti vyoseri vyakaweriti navi kwa lishaka lya kusilwa kwa neni. 
JHN.12.8	Wahushu mwanawu mashaka goseri, kumbiti hamuweri ndiri na neni mashaka goseri.”
JHN.12.9	Wayawudi wavuwa wapikiniriti handa Yesu Kabetaniya. Su womberi wagenditi aku, wapati kumwona Yesu, kayi wafiriti kumwona Lazaru ulii yakamzyusiyiti na Yesu kulawa kwa wahowiti. 
JHN.12.10	Watambika wakulu wasakuliti ntambu ya kumlaga Lazaru, 
JHN.12.11	toziya Wayawudi wavuwa wawalemiti wayawu na wamjimira Yesu.
JHN.12.12	Shirawu yakuwi, lipinga likulu lya wantu wiziti kumsambu wapikiniriti Yesu kaweriti mnjira kwiza Yerusalemu. 
JHN.12.13	Watola maputira ga mitendi, walawa kugenda kumwanka, wabota pawatakula, “Gwenga mlopoziya gwetu! Katekelerwi ayu yakiza mulitawu lya Mtuwa. Katekelerwi Mfalumi gwa Israeli.”
JHN.12.14	Yesu kakwena mwana punda, kalivaga pampindi pakuwi gambira ntambu yagatakuliti Malembu,
JHN.12.15	“Kotu kutira gwe lushi lwa Sayuni,
JHN.12.15	Mfalumi gwaku kamkwiza,
JHN.12.15	Kalivaga pampindi pa mwana punda.”
JHN.12.16	Shipindi ashi wafundwa wakuwi wavimaniti ndiri shitwatira ashi shoseri, kumbiti Yesu pawamkwiswiti kala, womberi wagaholiti Malembu Mananagala gatakuliti kuusu yomberi na wagatenditi aga kwa yomberi.
JHN.12.17	Lipinga lya wantu walii wawaweriti pamuhera nayomberi shipindi pakamshemiti Lazaru kulawa mlipumba, kamzyusiya kulawa kwawahowiti, watakuliti yagalawiriti. 
JHN.12.18	Toziya ya aga, lipinga likulu lya wantu awa wamgenderiti Yesu, mana woseri wapikiniriti handa Yesu katenditi liuzauza ali. 
JHN.12.19	Mafalisayu waligambiziyana, “Mwona? Hapeni tuwezi kutenda shoseri! Mlori, wantu wa pasipanu woseri wankumfata.”
JHN.12.20	Kuweriti na Wagiriki wamu mu wantu yawaweriti wiza Yerusalemu kumkwisa Mlungu mushipindi sha msambu. 
JHN.12.21	Womberi wamgenderiti Filipu, yakalawiriti Betisayida mu Galilaya na watakula, “Mtuwa, tufira kumwona Yesu.”
JHN.12.22	Filipu kagenda na kamgambira Andereya na wawili wagenda na kumgambira Yesu. 
JHN.12.23	Yesu kawawankula, Saa isoka kala kwa Mwana gwa Muntu kukwiswa! 
JHN.12.24	Nukugambirani nakaka, mbunji ya nganu isigala mbunji hera payiyalwa ndiri mulitapaka na kuwola. Handa payiwola, su ilera mbeyu zivuwa. 
JHN.12.25	Woseri yawafira ukomu wawu hawawuhoviyi, yakagahoviya makaliru gakuwi pasipanu, hakagaponiziyi kwa makaliru ga mashaka goseri. 
JHN.12.26	Yakafira kuntendera ndo mpaka kanfati, pawera neni na ntumintumi gwangu hakaweri, kayi muntu pakantendera Tati hakampanani ligoya.
JHN.12.27	“Vinu rohu yaneni intama, ntakuli shishi? Ntakuli, ‘Tati, gunopoziyi shipindi ashi pashisoka?’ Kumbiti ayi ndo toziya ya kwiza. Su shimpiti shipindi ashi sha ntabiku. 
JHN.12.28	Tati, Kakwiswi litawu lyakuwi.”
JHN.12.28	Panu liziwu litakula kulawa kumpindi kwa Mlungu. “Nulikwisa na hanulikwisi kayi.”
JHN.12.29	Lipinga lya wantu lyaligolokiti palii lipikaniriti liziwu ali na wamu wawu watakuliti, “Ntumintumi gwa kumpindi kankuyowera nayomberi!”
JHN.12.30	Kumbiti Yesu kawagambira, “Liziwu ali lirandula ndiri kwajili yaneni, ira kwajili ya mwenga. 
JHN.12.31	Vinu ndo shipindi sha pasipanu kutozwa, vinu mtuwa gwa pasipanu hawamwusiyi. 
JHN.12.32	Neni panu panyasulwa kumpindi kwa Mlungu hanumkwezeniziyi kila muntu.” 
JHN.12.33	Kakutakula hangu kalanguziya ntambu gaa hakahowi.
JHN.12.34	Lipinga ali limwankula. Twenga watugambira Malagaliru getu handa Kristu hakalikali mashaka goseri. Su, guweza hashi kutakula eti mwana gwa Muntu imbidi kanyasulwi? Mwana gwa Muntu ndo gaa?
JHN.12.35	Yesu kawagambira, “Gulangala haguweri pakati penu katepu hera. Mgendi toziya mnawu gulangala agu, ntiti hapeni iwapati, toziya yakagendagenda muntiti kavimana ndiri kwakagenda. 
JHN.12.36	Shipindi shamuwera na gulangala agu, mugujimiri, su mpati kuwera wantu wa gulangala.” Pakalongiti kala visoweru avi, Yesu kagenditi zakuwi na kulififa kutali na womberi.
JHN.12.37	Tembera Yesu katenditi mauzauza goseri aga palongolu pawu, womberi wamjimira ndiri. 
JHN.12.38	Su visoweru vyakatakuliti Isaya mbuyi gwa Mlungu vitimiya.
JHN.12.38	“Mtuwa, gaa yakajimiriti ujumbi watutakuliti?
JHN.12.38	Na uwezu wa Mtuwa ulilanguziya kwa gaa?”
JHN.12.39	Na hangu womberi waweza ndiri kujimira, toziya Isaya katakula viraa,
JHN.12.40	“Mlungu kagatula lwisi masu gawu
JHN.12.40	Na kagazezetiya mahala gawu,
JHN.12.40	Wawoni ndiri kwa masu gawu,
JHN.12.40	Wavimani ndiri kwa mahala gawu,
JHN.12.40	Na wanizira ndiri neni, Mlungu katakula,
JHN.12.40	Su mpati kuwaponiziya.”
JHN.12.41	Isaya katakuriti visoweru avi toziya kawoniti ukwisa wa Yesu, pakatakula visoweru vyakuwi.
JHN.12.42	Ata hangu, kuvuwa kwa watuwa wa wakulu wa Shiyawudi wamjimiriti Yesu. Kumbiti toziya ya mafalisayu, wamjimiriti ndiri paweru kwa kutira handa wawatuli gweka mnumba ya Mlungu. 
JHN.12.43	Wafiriti kuzyumwa na wantu kuliku kuzyumwa na Mlungu.
JHN.12.44	Shakapanu Yesu katakula kwa liziwu likulu, “Muntu yakanjimira, kanjimira ndiri neni hera, ira kamjimira viraa uliya yakantumiti. 
JHN.12.45	Yakamona neni kankumwona viraa ulii yakantumiti. 
