MAT.1.1	Ini se guhud te kepuun ni Hisu Kristu, kevuwaran ni David wey kevuwaran dema ni Abraham.
ACT.7.53	Ne sikiyu se mibehayan te penduan te Eleteala rengan,” ke si Esteban, “ne intetehak impepevayà dut te menge suluhuen din, ugaid ne warà niyu tumana.”
ACT.7.54	Guna su nerineg dut te menge Perekukum ini se lalag ni Esteban, ne nengeepes dan nevenar ne nekepengingitel dan te kegkeepes dan kandin. 
ACT.7.55	Ugaid ne si Esteban ini, ne midlumun en kandin ke Kedesenan ne Ebpetuntul te Menusiyà ne midlingakà sikandin diyà te langit ne nekita rin ke daman dut te Eleteala ne ketà ne nekita rin dema si Hisus ne mid-itindeg diyà te egkekewanan te Eleteala. 
ACT.7.56	“Intengi niyu ma,” ke si Esteban, “su egkekita ku ne nevukaan en ke langit ne sikandin ke Impeanak te Menusiyà se ed-itindeg diyà te egkekewanan te Eleteala!”
ACT.7.57	Nerineg dà ini rut te menge Perekukum ne midsabpeng dan te telinga ran se egkuleyì. Ne ketà ne midlingketawan dan sikandin, 
ACT.7.58	ne migeweran dan ne miguyud dan diyà te liyu te inged dan ne Hirusalim, ne mibpenrumbag dan en te batu. Ne ini se menge etew ne mid-isuhat kandin te lalag, su ini ke ed-ingaranan te titihus, ne insavuk dan ke menge kumbalà dan ne mibentayan dut te senge etew ne ed-ingaranan ki Saulo. 
ACT.7.59	Ne rutun te kedrumbaha ki Esteban te batu ne mibpengeningeni sikandin se egkahi te, “Ey Kerenan ku ne si Hisus, telimaa nu ini se gimukud ku!” 
ACT.7.60	Ketà ne mibpenimbuel en sikandin ne mibmerahing se suwara rin se egkahi te, “Ey Kerenan, kenà nu penunduha ke menge salà dan!” Neipus din dà te egkahi ini, ne nepandus en ke hinawa rin.
ACT.8.1+ACT.8.2	Ketà dema si Saulo te kinerumbaha te batu ki Esteban, ne kiyug din iya se kineimetayi ran kandin.
ACT.8.1+ACT.8.2	Inleveng si Esteban dut te menge etew ne mepegeleteala ne mibpeninehew ran wey mibpenderawit kandin. Igenat dut te hewii ne kineimetayi ran kandin ne midrudsù ke kegkerasey dut te langun ne mibperetiyaya ki Hisus diyà te Hirusalim. Tembù be nevurahey ke langun ne mibperetiyaya diyà te menge inged ne lusud te Hudiya wey Semeriya, ne ini rà te sepulù wey deruwa ne menge kedserihan se warà med-awà kayi te Hirusalim.
ACT.8.3	Ne si Saulo ini, ne mibpekesekitan din ke menge etew ne mibperetiyaya ki Hisus su apey ran egkereeti perem. Su midsihid sikandin diyà te menge valey ne midlusud ne miguyud din ke menge meama wey meritan ne mibperetiyaya ne mibilanggù din.
ACT.8.4	Ne ini se mibperetiyaya ki Hisus ne nevurahey en, ne mid-eneb-eneb dan en diyà te langun ne menge inged se ebpesabut dut te Lalag te Eleteala. 
ACT.8.5	Ne senge etew kandan ne ed-ingaranan ki Felipe ne mibpendiyà te senge inged ne lusud te Semeriya se mibpesabut din ke menge etew mekeatag dut te Impasad te Eleteala ne Ebperetuen te menge etew. 
ACT.8.6	Ne guna su nerineg dut te denda ne menge etew arà te lalag ni Felipe ne nekita ran ke menge ulaula ne mekegeyip ne mibeelan din, ne egkeseveka ran ne ebpemineg kandin. 
ACT.8.7	Merakel se menge etew ne mibpenegseg din ke menge busew ne midsuuk kandan, ne nekepenguleyì ini se busew te kinepeawà kandan. Ne merakel dema se midtibas te ayew wey menge pungkù ne nengeulian din. 
ACT.8.8	Tembù be nehalew nevenar ke menge etew dut te ini ne inged.
ACT.8.9	Duen senge etew ne ed-ingaranan ki Simon ne mid-ubpà ketà ne inged ne nekebpipira en ne rahun ne negeyip nevenar ke menge etew te Semeriya rut te mibeelan din ne malik mata. Mibpeperetiyaya sikandin te menge etew te ruen kun uvag gehem din. 
ACT.8.10	Ne langun ne menge etew ketà ne igenat te mepurù taman te kevevaan ne intahù dan te hinawa ke langun ne lalag din. Ke sikandan te, “Ini se gehem ne impekita rin ne gehem te Eleteala ne ed-ingaranan te ‘Ke Dekelà ne Gehem’.” 
ACT.8.11	Tembù be mibperumaruma ran kandin su neuhet en ne negeyip dan dut te malik mata ne mibeelan din. 
ACT.8.12	Ugaid ne guna su impesabut ni Felipe ke Meupiya ne Tudtul mekeatag te Edetuan te Eleteala ke menge etew wey mekeatag ki Hisu Kristu ne mibpebunyag ke menge bayi meama tuus te mibperetiyaya ran. 
ACT.8.13	Misan si Simon ini ne mibaal te malik mata ne mibperetiyaya en dema. Guna su mibpebunyag en sikandin ne midumaruma en sikandin ki Felipe ne negeyip sikandin dut te nekita rin ne mibeelan ni Felipe ne mekegeyip wey ke dekelà ne ned-ulaula rin ne mekeinuinu.
ACT.8.14	Ne nerineg dut te menge kedserihan diyà te Hirusalim te mibperetiyaya en ke menge etew te inged ne Semeriya, ne ketà ne impependiyà dan si Pedro ki Juan. 
ACT.8.15	Nekeuma ran ne impengeningeni ran te Eleteala ke langun ne mibperetiyaya ki Hisus su apey ebpekelumun kandan ke Kedesenan ne Ebpetuntul te Menusiyà. 
ACT.8.16	Su warà pà mekeuma ke kedlumun dut te Kedesenan ne Ebpetuntul te Menusiyà dut te ini ne menge etew. Su nebunyahan dan dà se tuus te mibpesakup dan ki Hisu Kristu. 
ACT.8.17	Rutun ne indampen dan ke velad ni Pedro ki Juan dut te menge etew, ne ketà ne midlumun en kandan ke Kedesenan ne Ebpetuntul te Menusiyà.
ACT.8.18	Nekita ni Simon te kinedampen dut te menge kedserihan dut te mibperetiyaya ki Hisus ne midlumun en ke Kedesenan ne Ebpetuntul te Menusiyà, ne ebehayan din perem te kureta si Pedro ki Juan. 
ACT.8.19	Ke sikandin te, “Behayi a rema kayi te gehem ini su apey ruen edempenan ku ne edlumunan sikandin dut te Kedesenan ne Ebpetuntul te Menusiyà.”
ACT.8.20	Ugaid ne migkehiyan sikandin ni Pedro te, “Embiya perem edusaan ka te Eleteala abpeg dut te kureta nu su kunaan nu ke egkepakey ne egkepemasa ini se gehem ne imbehey te Eleteala! 
ACT.8.21	Warà kebpekeamung nu etawa kebpekeruma nu te ini ne helevek dey,” ke si Pedro, “su kenà metidtu ke hinawa nu riyà te etuvangan te Eleteala. 
ACT.8.22	Tembù be pedsendit ka ne engkeri nu ke meraat ne netahù te itungan nu, ne ebpekevuyù ka te Eleteala te ebpeseharen din ke nepegitung nu ne meraat. 
ACT.8.23	Su netuenan ku,” ke si Pedro, “te laus ka ne egkesihi ne uripen ka dut te meraat ne ed-ul-ulaan nu.”
ACT.8.24	Migkehiyan ni Simon si Pedro ki Juan te, “Ibpengeningeni a niyu te Kerenan su apey ke rawak niyu kedì ne kenà egked-ulaula.”
ACT.8.25	Ne taman te nekebpipira ne hewii ne mibpesabut si Pedro ki Juan dut te Lalag te Kerenan wey mibpenudtul dan mekeatag ki Hisus ke Kerenan, ne mid-ulì dan en maa diyà te Hirusalim. Ne gewii ran te riyà te ralan ne impesabut dan ke Meupiya ne tudtul diyà te merakel ne menge inged ne imbayà dan lusud te Semeriya.
ACT.8.26	Ne ruen suluhuen te Kerenan ne migkahi ki Felipe, ke sikandin te, “Ipanew ka guntaani ne pendiyà ka te belengkayan diyà te ralan ne egenat te Hirusalim ne ebpependiyà te inged ne Gasa.” (Ini ne ralan ne warà en ebpevayà guntaani.) 
ACT.8.27+ACT.8.28	Ketà ne migenat en si Felipe. Ne rutun te ralan ne ruen etew ne yanuku riyà ebpuun te inged te Itiyupiya ne ed-ulì diyà te kandan su mibpendiyà ini se etew te Hirusalim su ebpengarap te Eleteala. Mepurù ne egkamal sikandin dut te menge kearen te Bai ketà te inged ne Itiyupiya. Gewii te ed-ulì en sikandin te ed-untud te kerumata ne ebasa sikandin te riberù ne impesurat ki Isayas, senge etew ini ne ebpelambas te Lalag te Eleteala rengan. 
ACT.8.29	Ne migkehiyan rutun si Felipe dut te Kedesenan ne Ebpetuntul te Menusiyà te, “Uvey ka ketà te kerumata rin.” 
ACT.8.30	Nekeuvey rà si Felipe rutun ne nerineg din en ke meama ne ebasa dut te impesurat ki Isayas, ke ebpelambas te Lalag te Eleteala rengan. Ke si Felipe te, “Menu, egkesebutan nu ini se ebesaan nu?”
ACT.8.31	Ne migkahi ke meama te, “Memenu ve se kegkesebuti ku ke embiya warà ebpenurù kediey?” Ketà ne impeuntud din en si Felipe dut te kerumata rin. 
ACT.8.32	Ini se mibasa rin ne Lalag te Eleteala ne ke impesurat ki Isayas rengan ne egkahi te,
ACT.8.32	“Iring sikandin te bilibli ne eduma
ACT.8.32	ne edtuyuken su edsumbelien;
ACT.8.32	uya iring sikandin te nati te bilibili ne kenà ed-erang
ACT.8.32	ke edtevungawan,
ACT.8.32	su warà kekehiyen din.
ACT.8.33	Pinegkayà sikandin
ACT.8.33	wey bigkug se kukuman dan kandin.
ACT.8.33	Warà ebpekeguhud dut te inenakan din,
ACT.8.33	su nepupus en ke umur din
ACT.8.33	kayi te ampew te dunya.”
ACT.8.34	Nekeipus ini se meama ne ebasa ne mid-insà ki Felipe te, “Engkey etawa ini se edlelehen kayi te ebpelambas te lalag te Eleteala rengan ne si Isayas? Edlalag be sikandin mekeatag te kandin ne hinawa etawa ruma ne etew?” 
ACT.8.35	Ketà ne midlalag si Felipe, ne igenat te arà ne nekesurat ne Lalag te Eleteala ne nevasa dut te meama ne impesabut en ni Felipe kandin ke Meupiya ne Tudtul mekeatag ki Hisus. 
ACT.8.36	Neiseg-iseg te ked-ipanew ran ne ruen neumaan dan te wayig. Migkahi ke meama te, “Ruen wayig ini. Menu, egkepakey en ne ebunyahan a nu?” [ 
ACT.8.37	Ne migkehiyan ni Felipe sikandin te, “Egkepakey ne ebunyahan ka embiya imbehey nu en ke hinawa nu ki Hisus su mibperetiyaya ka kandin.”
ACT.8.37	“Mibperetiyaya ad,” ke se meama, “su mibperetiyaya a te si Hisu Kristu ke Anak te Eleteala.”]
ACT.8.38	Ketà ne impeengked dut te meama ke kerumata ne mibpemenaug dan en ki Felipe ne midlumbuk dan diyà te wayig ne mibunyahan en ni Felipe ke meama. 
ACT.8.39	Guna su migaun dan en ne netekew te neawà si Felipe dut te Kedesenan ne Ebpetuntul te Menusiyà. Warà en mekita dut te meama, ugaid ne midlaus en ini se meama ne mehalew nevenar. 
ACT.8.40	Si Felipe ini, ne diyan en mekita te inged ne Asutu. Ne impesabut din ke Meupiya ne Tudtul mekeatag ki Hisus diyà te langun ne menge inged ne midseharan din taman te nekeuma sikandin diyà te inged ne Sisariya.
ACT.9.1	Ketà ne hewii ne warà pà lavew med-engked si Saulo te meilut ne kebpemeliandek din dut te menge mibperetiyaya ki Hisus ke Kerenan. Mibpendiyà sikandin te Pinekemepurù ne Terebpelengesa 
ACT.9.2	ne mibuyù te ebpesuratan din ke egkamal dut te menge baley ne ebpengedian te penduan te menge Hudiyanen ne riyà te inged ne Demasku. Ne ed-ewiten din be ini su apey egkekilala sikandin ne idtuhut kandin se edsigkem te menge etew ne eduma te penurù ni Hisus wey ed-ewiten din sikandan te edlived diyà te Hirusalim su ebilengguen.
ACT.9.3	Guna su ebpelundani en si Saulo diyà te inged ne Demasku, ne netekew en te ruen mermerayag ne ebpuun te langit ne neketayew kandin. 
ACT.9.4	Nepiley sikandin ne ruen suwara ne nerineg din ne egkahi te, “Ey Saulo, Saulo, meambe ke ebpekesekitan a nu?”
ACT.9.5	Migkahi si Saulo te, “Engkey ka etawa, Kerenan?”
ACT.9.5	“Si Hisus a,” ke se suwara, “ne mibpekesekitan nu. 
ACT.9.6	Na, enew ka en ne laus ka riyà te inged su ketà ne ibpenurù keykew ke engkey se ed-ul-ulaan nu.”
ACT.9.7	Ne ini se menge etew ne miduma ki Saulo ne nekeitindeg ketà te warà dan mekekahi su nengegeyip dan. Nerineg dan ke suwara, ugaid ne warà ma nekita ran. 
ACT.9.8	Mid-enew si Saulo ne nehimerat ke mata rin, ugaid ne kenà en ebpekekita sikandin. Ne ketà ne mid-ahak dan sikandin se ebpendiyà te Demasku. 
ACT.9.9	Ne lusud te tetelu ne hewii ne kenà ebpekekita sikandin ne edtuyun en sikandin.
ACT.9.10	Ketà te inged ne Demasku ne ruen senge etew ne ed-ingaranan ki Ananias ne mibperetiyaya ki Hisus ne Kerenan. Ne mibpekitakita kandin ke Kerenan se egkahi te, “Ey, Ananias!”
ACT.9.10	“Ini a red, Kerenan!” ke se meama.
ACT.9.11	Ke se Kerenan te, “Ipanew ka ne pendiyà ka te ralan ne ed-ingaranan te Metidtu ne Ralan ne riyà te baley ni Hudas ne insà ka ke ruen etew ketà ne ed-ingaranan ki Saulo ne riyà ebpuun te inged ne Tarsu. Su ketà sikandin ebpengeningeni, 
ACT.9.12	ne ruen impekita ku en kandin mekeatag keykew, Ananias. Su ketà te impekita ku kandin ne ruen etew ne ed-ingaranan ki Ananias ne nekeuma ne edlusud te valey rin su edampen kandin su apey ebpekekita en maa sikandin.”
ACT.9.13	Ugaid ne migkahi si Ananias te, “Kerenan, nerineg ku riyà te merakel ne etew mekeatag kayi ne etew su meraat te mid-ulaula rin dut te menge mibperetiyaya keykew ne riyà te Hirusalim. 
ACT.9.14	Guntaani,” ke si Ananias, “ne ini en sikandin te inged ne Demasku su intuhut kandin dut te menge mepurù te terebpelengesa te ibpesigkem kandin ke langun ne menge etew ne ebpengeningeni keykew.”
ACT.9.15	“Ipanew ka,” ke se Kerenan, “su mibpemilì ku en sikandin ne egelevek kediey. Su sikandin se ebpemenudtul mekeatag kediey riyà te menge etew ne kenà Hudiyanen wey ke menge datù dan abpeg dut ne menge Hudiyanen. 
ACT.9.16	Ne ibpekita ku kandin langun ne kegkerasey rin su atag dut te keduma rin kediey.”
ACT.9.17	Ketà ne mid-ipanew en si Ananias. Nekeuma rà ne mibpemenayik en diyà te baley ne midampen din en si Saulo te migkahi, “Saulo, sikew se suled ku. Impepengkayi a rut te Kerenan tew ne si Hisus ke mibpekitakita keykew diyà te ralan te kebpengkayi nu te ini ne inged. Impepengkayi a su apey ka ebpekekita en maa, wey egkelumunan ka rut te Kedesenan ne Ebpetuntul te Menusiyà.” 
ACT.9.18	Arà dà ne ruen neulug ne riyà ebpuun te menge mata ni Saulo ne iring te enir te serà, ne ebpekekita en sikandin. Ketà ne mid-enew sikandin ne mibpebunyag en su tuus te mibpesakup en sikandin ki Hisus. 
ACT.9.19	Ne migkaan en ne nekeulit en ke baher din.
ACT.9.19	Ne mid-ubpà pà si Saulo duma dut te menge edurumaruma ki Hisus kayi te inged ne Demasku taman te nekebpipira ne hewii. 
ACT.9.20	Dutun ne mibpendiyà sikandin te menge baley ne ebpengedian te menge Hudiyanen te penduan dan su ebpesabut te si Hisus ke Anak te Eleteala. 
ACT.9.21	Ne langun te nekerineg kandin ne nengegeyip nevenar se egkahi te, “Kenà be sikandin ayan ke riyà te Hirusalim ne ebpemekesakit dut te menge etew ne ebpengarap ki Hisus? Kenà be iyan din kebpengkayi ne ebpenigkemen din ke edurumaruma ki Hisus su ed-ewiten din diyà te mepurù ne terebpelengesa diyà te Hirusalim?”
ACT.9.22	Ne ini se kebpesabut ni Saulo mekeatag ki Hisus ne mid-iseg se kevaher din te kebpekepehimbenar dut te menge etew. Ne mepayag nevenar ke tuus ketà te impesabut din te si Hisus ke Impasad te Eleteala ne Ebperetuen te langun. Tembù be ini se menge Hudiyanen ne kayi te Demasku ne warà mekekahikahi.
ACT.9.23	Warà meuhet ne miburun ke menge Hudiyanen ne netahù te itungan dan te ed-imetayan dan si Saulo, 
ACT.9.24	ugaid ne ruen imbaag kandin mekeatag dut te netahù te itungan dan. Ne merukilem meandew ne mibentayan dut te menge Hudiyanen ke menge bengawan ne idlusud wey idlihawang ketà te inged dan su apey egkeimetayi sikandin embiya egkekita ran. 
ACT.9.25	Ugaid ne senge kerukileman, ne ruen menge edurumaruma kandin ne migkuwa kandin su intahù dan diyà te bukag su midtuntun dan sikandin diyà te sulawan dut te pehalad ne nekelingut ketà te inged.
ACT.9.26	Ne mibpendiyà si Saulo te Hirusalim. Nekeuma sikandin ne ebpekidseveka perem dut te menge kedserihan ni Hisus. Ugaid ne nengeandek dan su warà dan mebpehimbenar te si Saulo ne tidtu en ne edurumaruma ki Hisus. 
ACT.9.27	Ugaid ne midtevangan si Saulo ni Bernabe su miduma rin te ebpendiyà te menge kedserihan, ne impenudtul din kandan te mibpekitakita si Hisus ke Kerenan ki Saulo te riyà dan te ralan gewii te ebpendiyà sikandin te inged ne Demasku ne mibpekidlalag ke Kerenan kandin. Ne impenudtul din elin te mevag-et ke kebpesabut ni Saulo dut te menge etew riyà te Demasku mekeatag te Meupiya ne Tudtul ibpepevayà dut te ngaran ni Hisus. 
ACT.9.28	Ne si Saulo ini, ne mid-amur en dut te menge kedserihan ne midsihid din ke lusud te Hirusalim te warà kegkeandek din ne ebpesabut mekeatag ki Hisus ke Kerenan ibpepevayà dut te ngaran din. 
ACT.9.29	Ne mibpekidlalag wey mibpekidlawan sikandin dut te menge Hudiyanen ne Gerisiyanen se kinehiyan din, ugaid ne ed-imetayan dan perem sikandin. 
ACT.9.30	Guna su nerineg ini dut te menge ruma rin ne edurumaruma ki Hisus, ne mid-ewit dan si Saulo diyà te inged ne Sisariya ne impelaus dan sikandin diyà te inged ne Tarsu.
ACT.9.31	Ne ketà ne merinew se ked-ubpà dut te langun ne menge mibperetiyaya ki Hisus diyà te lusud te Hudiya, Geliliya wey Semeriya. Ne midtevangan dan dut te Kedesenan ne Ebpetuntul te Menusiyà, tembù be mevag-et se kebperetiyaya ran ki Hisus wey mid-iseg te kebmerakel dan. Su ke langun ne ked-ulaula ran ne iyan dan ibpeuna ne ke ebpekesuhat te hinawa ni Hisus ne Kerenan dan.
ACT.9.32	Mibeyaan ni Pedro ke merakel ne menge inged, ne senge hewii ketà ne mibpendiyà sikandin te inged ne Lida su ebpenumbelayan din ke menge edurumaruma ki Hisus ne ed-ubpà ketà. 
ACT.9.33	Ketà ne ruen neuma rin ne senge etew ne ed-ingaranan ki Eneas. Midtibas te ayew ini se etew ne nekedwalu en ne rahun ne warè en mekeenew-enew sikandin. 
ACT.9.34	“Eneas,” ke si Pedro, “egkeulian ka guntaani ni Hisu Kristu! Enew ka ne peninesa nu ke ikam nu.” Arà dà ne mid-enew en si Eneas. 
ACT.9.35	Nekita sikandin dut te langun ne menge etew te inged ne Lida wey Sarun te neulian sikandin, ne ketà ne mibperetiyaya ran ki Hisus ke Kerenan.
ACT.9.36	Na riyà te inged ne Hupa ne ruen meritan ne ed-ingaranan ki Tabita ne mibperetiyaya ki Hisus. (Ne ini se ngaran din dut te kinehiyan te Gerisiyanen ne si Dorcas su iyan din meana ne “selareng”.) Ne layun din ed-ul-ulaa ke meupiya, ne edtavang dut te menge ayuayu. 
ACT.9.37	Arà ne hewii ne neumaan te daru sikandin ne minatey en. Ne midihuen ini se lawa rin wey imperey-as diyà te sungkù ne riyà te divavew. 
ACT.9.38	Ne ini se inged ne Hupa ne kenà meriyù dut te inged ne Lida. Guna su nerineg dut te menge mibperetiyaya ketà te inged ne Hupa te riyan en si Pedro te inged ne Lida, ne ruen deruwa ne meama ne midsuhù dan ne ebpendiyà se ebpenudtul kandin te, “Gaangaan ka pengkayi.”
ACT.9.39	Nerineg dà ni Pedro ne miduma en kandan. Guna su nekeuma ran ne impepenayik dan sikandin diyà te sungkù ne mibperey-asan dut te minatey. Ke langun ne menge valu ne meritan ne midlingut kandin se ebpeninehew, ne impekita ran kandin ke menge kumbalà wey ruma ne menge belegkas ne mibpemenai ni Dorcas te biviyag pà sikandin.
ACT.9.40	Ne impeluwal ni Pedro langun dan dut te sungkù, ne mibpenimbuel sikandin se ebpengeningeni te Eleteala. Rutun ne midsineruwan din ke minatey ne migkehiyan din te, “He Tebita, enew ka!” Nehimerat ke mata rin ne nekita rin si Pedro ne ketà ne mibpinuu. 
ACT.9.41	Migeweran ni Pedro ke velad din su apey ibpeitindeg. Ketà ne midtawag din ke langun ne menge mibperetiyaya abpeg ke menge balu ne meritan, ne impekita rin kandan te neviviyag si Dorcas. 
ACT.9.42	Nekeeneb en ke tudtul mekeatag kayi te langun ne inged te Hupa, ne merakel ne menge etew se mibperetiyaya ki Hisus ne Kerenan. 
ACT.9.43	Ne mid-ubpà-ubpà pà si Pedro ketà te inged ne Hupa taman te pipira ne hewii su riyà sikandin te baley te senge etew ne ed-ingaranan ki Simon ne ebpembaal te biasbias te menge lundis te binatang.
ACT.10.1	Ne riyà te inged ne Sisariya ne ruen senge etew ne ed-ingaranan ki Cornelio. Kepitan sikandin dut te menge sundaru ne ed-ingaranan te “Kumpeniyà te Italiya.” 
ACT.10.2	Si Cornelio ini ne mepegeleteala ne langun dan te telteleanak ne mibpengarap te Eleteala. Ne dekelà se tavang din dut te menge Hudiyanen ne ayuayu wey layun ebpengeningeni sikandin te Eleteala. 
ACT.10.3	Senge hewii te edluuk pà ebpemenaug te andew, ne ruen impekita kandin. Ketà te impekita kandin ne ruen suluhuen te Eleteala ne nekita rin ne mepayag ne nekeuma ne egkahi te, “Ey, Cornelio!”
ACT.10.4	Ne netengtengan din ini se suluhuen te Eleteala su neandek ne migkahi te, “Engkey ma, Mama?”
ACT.10.4	Migkahi ke suluhuen te Eleteala te, “Nerineg te Eleteala ke pengeningeni nu wey nekita rin ke tavang nu te menge ayuayu ne kenà din egkelipatan su nekesuhat ini te hinawa rin. 
ACT.10.5	Na, suhù ka ve te menge etew ne ibpependiyà te inged ne Hupa su ibpeangey nu se senge etew ne ed-ingaranan ki Simon ne ed-ingaranan ded maa ki Pedro,” ke se suluhuen te Eleteala. 
ACT.10.6	“Su riyà ed-ubpà sikandin te baley te etew ne ed-ingaranan dema ki Simon ne ebpembaal te biasbias ne menge lundis te binatang, ne ke valey rin ne riyà te beyvey te rahat.”
ACT.10.7	Ne guna su mid-awà en ke suluhuen te Eleteala, ne midtawag en ni Cornelio ke deruwa ne sugsuhuen din kayi te valey rin wey senge etew ne sundaru rin. Ebpengarap dema te Eleteala ini se sundaru ne senge etew sikandin ne kedserihan ni Cornelio. 
ACT.10.8	Mibpenudtul din kandan ke langun mekeatag dut te impekita kandin te suluhuen te Eleteala, na impependiyà din en sikandan te inged ne Hupa.
ACT.10.9	Ketà te neketundug ne hewii te riyà dan pà te ralan te ebpelpelingguma ran en te inged ne Hupa. Ugaid ne diyan en te lusud te inged ne Hupa ne mibpemenayik si Pedro diyà te mepatag ne atep te baley rin te neudtu su ebpengeningeni. 
ACT.10.10	Neiseg-iseg ketà ne nevitil sikandin ne egkesuat en ne egkaan. Gewii te ed-ilutù te egkeenen, ne ruen impekita kandin. 
ACT.10.11	Ne nekita rin ketà te nepuwasan ke langit ne ruen iring te saput ne mid-iketan ketà te epat ne pediyulu ne intuntun. 
ACT.10.12	Ne ruen intahù ketà ne biasbias ne binatang su ruen ed-ipanew, ruen edulug, wey ruen edlayang. 
ACT.10.13	Ne ruen suwara ne migkahi kandin te, “He Pedro, enew ka ne sumbalì ka su apey ka mekekaan.”
ACT.10.14	Ugaid ne migkahi si Pedro te, “Kenà a, Kerenan! Su taman guntaani ne warà a pà mekekaan te misan engkey ne meredsik ne iring keniyan su indawey dut te penduan ta.”
ACT.10.15	Ne migkahi en maa ke suwara te, “Arà se migkahi te Eleteala ne meupiya, kenà nu egkehiya te meredsik.”
ACT.10.16	Ketetelu rin ini mekita wey nerineg, ne ketà ne in-ulì diyà te langit arà se intuntun.
ACT.10.17	Gewii te ebpegpegitungen pà ni Pedro ke engkey se meana dut te impekita kandin, ne netuntulan en dut te menge meama ne midsuhù ni Cornelio en ini ran en te bengawan dut te baley rin. 
ACT.10.18	Mibpetukewtukew ran se ed-insà te, “Menu, duen etew kayi ne ed-ubpà ne ed-ingaranan ki Simon Pedro?”
ACT.10.19	Kemulu pà ne ebpegitungen ni Pedro ke engkey se meana dut te impekita kandin. Ne migkehiyan sikandin dut te Kedesenan ne Ebpetuntul te Menusiyà te, “Duen tetelu ne etew ne ebpemengà keykew. 
ACT.10.20	Kayi ke en ne pemenaug ke en ne kenà ka meandek ne eduma kandan su siaken se midsuhù kandan.”
ACT.10.21	Ketà ne mibpemenaug si Pedro ne migkehiyan din ke menge meama te, “Siaken ke ebpemengaan niyu. Meambe ke ini kew?”
ACT.10.22	Midtavak dan te, “Impepengkayi key rut te Kepitan ne si Cornelio. Metidtu ne etew sikandin ne ebpengarap te Eleteala wey ed-edatan sikandin dut te langun ne menge Hudiyanen. Ne ruen suluhuen te Eleteala ne migkahi kandin te ibpeangey ka, Simon Pedro, su apey mekerineg sikandin dut te ibpesabut nu.” 
ACT.10.23	Ne impelusud ni Pedro ke menge meama ne impeirehà din sikandan te senge kerukileman.
ACT.10.23	Guna su nepawà en ne miduma si Pedro kandan. Ne ruen menge mibperetiyaya riyà te Hupa ne miduma kandin dema. 
ACT.10.24	Neketundug ne andew ne nekeuma ran en diyà te inged ne Sisariya. Riyà te baley ni Cornelio ne edtahad elin ke menge suled din wey menge sepekat din ne mid-inggat din. 
ACT.10.25	Guna su edlusud en si Pedro perem dutun te valey, ne midsinuhung en ni Cornelio se mibpenimbuel su ebpengarap kandin. 
ACT.10.26	Ugaid ne pinetindeg sikandin ni Pedro. “Itindeg ka,” ke sikandin, “su siaken ne etew a red dema iring keykew.”
ACT.10.27	Ne ebpelelahey ran gewii te edlusud dan dut te baley ne nekita ni Pedro ke merakel ne etew ne nevurun ketà. 
ACT.10.28	Migkahi si Pedro kandan te, “Netuenan niyu te ke penduan dey te menge Hudiyanen ne kenà idtuhut ne ebpekiduma key te menge etew ne iring keniyu te kenà Hudiyanen, etawa misan ebpenumbaley rà diyà te keniyu. Ugaid ne impesabut kedì te Eleteala te kenà din egkiyuhan ne ebpegitungen ku te meredsik wey indawey se misan engkey ne etew. 
ACT.10.29	Tembù be arà se impeangey a niyu, ne warà a med-alang-alang te ebpengkayi. Na, ed-insà a ve keniyu ke meambe ke impeangey a niyu?”
ACT.10.30	Midtavak si Cornelio te, “Neked-epat en ne hewii arà ne mibpengeningeni a kayi te lusud te baley ku te iring kayi ne uras te edluuk ebpemenaug ke andew. Netekew te ruen mid-itindeg kayi te uvey ku ne mesihey se belegkas din. 
ACT.10.31	Ne migkahi te, ‘Ey, Cornelio, nerineg dut te Eleteala ke kebpengeningeni nu wey kenà din egkelipatan ke tavang nu rut te menge ayuayu. 
ACT.10.32	Na, suhù ka te ebpependiyà te Hupa su ibpeangey nu te senge etew ne ed-ingaranan ki Simon ne ed-ingaranan ded maa ki Pedro. Su riyà ed-ubpà sikandin te baley te etew ne ed-ingaranan dema ni Simon ne ebpembaal te biasbias ne menge lundis te binatang, ne ke baley rin ne riyà te beyvey te rahat?’ 
ACT.10.33	Arà dà iya ne impeangey ku en sikuna ne meupiya su migkiyug ke red ne ebpengkayi. Na guntaani,” ke si Cornelio, “ne langun dey ini ne nevurun kayi te etuvangan te Eleteala su ebpemineg key te langun ne ibpekahi te Kerenan keykew se ebpesabut kenami.”
ACT.10.34	Migkahi si Pedro te, “Netuenan ku en ne benar te warà misan engkey ne etew ne ibpeuna te Eleteala 
ACT.10.35	su ke etew te misan endei ne inged ke embiya ed-edatan din ke Eleteala wey metidtu se ulaula rin ne edtelimaan dut te Eleteala. 
ACT.10.36	Ne netuenan niyu te impesabut te Eleteala kenami ne menge kevuwaran ni Israyil te ini se Meupiya ne Tudtul ne ebpekerinew te hinawa tew ne riyà ebpuun te ki Hisu Kristu ne Kerenan dut te langun. 
ACT.10.37	Ne netuenan niyu lavew,” ke si Pedro, “ke ned-ulaula riyà te langun ne inged te kevuwaran ni Israyil egenat te inged ne Geliliya ne gewii te nekeipus si Juan se ebpesabut mekeatag te kebunyag ne tuus te kebpedsendit. 
